Hybridization REF	TCGA-E2-A1BD-01A-11R-A12P-07
UBE2L6	1.6115
MED14	-1.16733333333333
HP1BP3	-1.2416
C6orf208	-0.0285000000000001
TPBG	0.482
OSR2	-0.75475
XPC	0.717
KLHL7	-1.11508333333333
CCR3	-0.37775
AGTPBP1	-1.299
PCSK6	-0.378933333333333
STAT5A	-0.085
FAM18B	0.4405
LONRF2	0.695833333333333
PTPN2	-0.850875
SF3A3	-0.813
EFCBP2	0.36325
HCFC1	-0.618333333333333
AHNAK	0.07765
ACTR5	0.95775
KIF14	-2.20871428571429
TENC1	2.014
HEATR5B	0.989
YIPF2	0.640333333333333
MYEOV2	1.45633333333333
DUSP18	0.23075
KIAA1012	-0.4035
AHR	-0.121166666666667
C17orf53	-0.909833333333333
PTPRH	-3.761
ATP6V1C1	0.1294
TAS2R3	-1.132
LOC440356	1.12575
COQ10B	0.56675
PSMF1	0.62675
SORBS2	3.68358333333333
NFE2L2	-0.209
TMCO7	-0.8495
SH3PXD2A	-0.6999
SH2D2A	-0.87475
SPINK5	-2.009
MRPS24	-1.2235
OPA3	-0.02725
TRAF7	0.594666666666667
C4orf35	0.0595
MT1G	-2.72825
MGC39545	2.04933333333333
HS1BP3	0.31725
OR2B2	0.571
CHRM4	0.1715
SFRP2	4.02375
RIC3	-0.49625
ART1	-1.1415
C6orf1	0.613125
DUS4L	-0.7215
C10orf104	0.073
TNFAIP6	2.384
RTEL1	-1.79875
CCT4	-0.849
ZNF709	0.015
CHMP6	-0.392333333333333
UPP2	0.3205
CYP19A1	-2.21916666666667
CD151	0.1795
NDUFA13	-0.277333333333333
ARFRP1	-1.01916666666667
FAM26B	1.16375
CRYBA1	-2.2375
MRPL41	-0.34
NPFFR2	-1.55314285714286
HRH2	0.376
SCAMP3	0.437833333333333
MTMR6	-0.2681
MTG1	-1.18416666666667
UBTD1	0.861
CRABP1	-2.387
FLJ33790	0.2743
KIAA1908	1.09983333333333
GPR158	-2.5955
PACSIN3	0.379666666666667
OMD	3.18016666666667
CATSPER1	-0.656333333333333
HOXB8	-0.773285714285714
FBXO46	1.719
OAS1	1.8255
SVIL	0.5595
PHB2	-1.31525
ADCY3	-1.1425
NDRG2	1.687
ERMAP	0.1575
APBA2	-0.534666666666667
IGSF9	2.66575
WNT6	-0.896
MYCBPAP	1.697
ATP2B2	-0.0583
CPVL	-1.9248
TRAM2	-0.470333333333333
NOP5/NOP58	0.024
ZNRF4	0.254
TLK1	0.022125
MTMR12	0.613142857142857
ZNF384	0.296166666666667
FAM9B	-2.791
RPN1	0.4337
PMVK	2.424
EIF3D	-0.2129
SIX2	0.24175
HPS1	0.597142857142857
RNF7	0.79875
PSKH2	0.0505
KCTD13	-0.166166666666667
CSMD3	-0.159333333333333
FBF1	1.03
IL8	-5.43125
SERPINB13	0.766875
FBXL20	0.87425
BLR1	0.2555
SH2B1	0.592166666666667
RFNG	0.256
RAB20	1.40183333333333
RBM7	-1.81025
POLR1A	-0.343
TMPRSS4	-3.1225
TAF9	-0.610375
TERF2	-0.614666666666667
TNFRSF1A	0.840916666666667
ACADVL	-0.431833333333333
GTF2H5	0.4515
EDG8	-0.4862
C9orf140	-1.823625
UST6	0.34325
ZBTB8OS	-0.56825
ZNF710	-0.4525
GPR174	0.1375
ATP6V0A2	-1.649
KIAA0319L	0.750666666666667
XKRX	0.2285
DOPEY2	2.2953
SDHD	-1.21141666666667
SUMF1	2.203
OSM	-0.0907500000000001
OPN3	-0.103
DAGLB	0.705666666666667
PPFIBP1	-0.5138
TRIM63	-3.06
C10orf53	-1.17
LYPD3	0.1165
BCL7A	0.001
AGER	-0.741666666666667
TCF19	-1.520125
SAT2	-0.006
PFTK1	1.19516666666667
GABRE	-0.532
C15orf38	0.3248
FIS1	0.3815
KCNV2	-0.83825
CLPS	0.3795
PPCDC	-0.4335
FOXN2	-0.703
NT5E	-3.3424
CD83	-0.1085
IL18	-0.370125
VPS16	0.9785
IGFBP2	0.3355
NOTCH2	0.5955
SIGLEC1	1.51825
CD93	4.759
SULF2	0.07725
CEP164	-0.040375
P53AIP1	0.333666666666667
TOR2A	0.119333333333333
ZNF136	1.088
MGP	5.0937
CCDC144A	0.424333333333333
TRPC1	-0.848666666666667
SMS	-0.323
MAPK7	-0.199166666666667
RRAGC	0.518
PARD6A	-0.477
NUB1	0.636166666666667
SYNGR4	-0.2725
OR11H12	0.2505
WIF1	0.367
GCH1	-0.572
OR11H4	-0.2045
SLC44A5	0.539
GPRIN2	1.30083333333333
LOC401431	0.00375
CPA4	-1.8945
MELK	-2.03333333333333
IL15RA	-0.57775
CUL3	0.301
HMBOX1	1.83725
PODXL	-1.1845
CCT6B	0.640333333333333
COMTD1	-1.24125
MUC20	0.645166666666667
GPX2	-2.616
ITK	-2.15285714285714
FBXL5	1.4925
C13orf27	-1.13675
DEFA5	1.4885
TRHDE	3.03
MTP18	-1.11316666666667
UQCRQ	0.4006
ITGB2	0.505583333333333
CSRP2BP	0.5885
TAS2R44	0.2405
PHPT1	0.2155
FAM44C	-0.28775
ERH	-0.7685
MPHOSPH1	-1.20883333333333
MORC1	-0.135
PARVB	-1.6195
LAMA1	-1.82991666666667
PGBD3	0.2365
GIMAP6	3.28425
AREG	-1.64366666666667
LIPT1	-0.01875
MGC99813	-0.78025
C1orf201	0.8355
GRIN2A	-0.5758
MAN2C1	-0.986125
NSUN5	-0.866
SF3B5	0.3
MYC	-2.11275
NRXN1	-1.30771428571429
ZNF18	0.72625
SPDYA	0.572125
SLC37A1	1.181
DECR2	1.0965
ANKRD38	0.652857142857143
SPTLC3	-0.0619166666666667
SUPT16H	-0.125375
DTWD2	0.753
ULBP1	-0.432
ZADH1	0.511833333333333
OIP5	-3.2805
IL10RB	0.4105
OTUB2	-0.084
VWA3A	0.634333333333333
SPIC	0.2454
OR6C4	-0.1335
PSCD4	0.414666666666667
DPY19L2P2	0.901
TRAPPC6A	1.50166666666667
C21orf2	0.345166666666667
CEMP1	0.83575
LIN7B	-0.0945
E2F7	-2.47316666666667
VCP	0.2905625
LAMA3	1.02816666666667
BGN	1.22225
GPR160	0.787833333333333
COCH	-5.81233333333333
GPR81	1.245
APOBEC3F	-1.941
tcag7.1017	-0.01325
C1orf32	0.466
SCGB1D2	7.61975
FLJ43987	1.0705
C6orf170	0.26475
KLK9	0.455
GPD1L	0.823125
VPS37B	-1.14825
ATG3	-0.255333333333333
ADAMTS17	-1.0485
KLHDC2	0.555
NDUFV2	0.40675
BLK	-1.15866666666667
MATN4	-1.5185
GPM6A	0.179833333333333
GBP4	4.433
TMEM162	-0.6588
PKP2	0.3695
HRASLS	-0.989
MMP1	-4.75325
SFXN3	-0.1433
FSD1	-1.1815
ST6GALNAC3	-1.744
CA12	3.5734
NCOA6	1.2375
C19orf58	0.0189
PPP4R1	-0.011
MAN1A2	0.0608333333333334
IKBKAP	-1.70725
UPF1	0.176
KIAA1219	1.12225
WNT16	0.7372
SNW1	-0.126125
IL18RAP	0.861666666666667
RPP30	-0.00975000000000001
CDC40	-0.1485
SETD3	0.570833333333333
SLAMF6	-0.3675
ELK4	-0.344
TRIM47	-0.3055
ACOX3	1.315375
TRIM6	1.552375
KIAA0372	0.0348333333333333
TP53AP1	2.37325
SMURF2	-0.9845
ADAD1	0.38925
EBP	-1.1771
KRTAP13-2	-0.6345
FLJ36874	-0.692833333333333
TOR1A	0.344333333333333
P2RY4	-0.0055
GPBP1	0.97625
TRPV1	0.89375
ADAMTS12	-0.202
PES1	-0.0622222222222222
ATG4A	0.574666666666667
MAGEA10	-4.34625
WFS1	1.46225
CC2D1B	0.617
PABPN1	-0.50225
SLC25A30	-0.02575
SLCO1C1	0.1005
SLC22A5	1.19325
KIF23	-2.61016666666667
SYN2	-0.4034
ASPN	7.71116666666667
CENTG2	-0.083
QSOX2	-2.0007
FLJ10815	-0.265
STK24	0.340625
SPEG	-0.1385
STK10	-0.334666666666667
DACT2	-0.765
AAAS	-0.584
SSX3	-0.306125
ABCD3	0.4496
C4orf12	-0.940875
PARVG	-0.1395
FIG4	1.2055
C9orf46	2.088
TMCO6	-0.1405
IGHMBP2	-0.21325
DUS2L	-0.474333333333333
FAM3C	-0.889875
TMEM16D	-1.151
DCTN4	1.389
KCNH3	0.06025
EIF2AK2	0.6295
AP1S3	-0.38325
CST4	0.9455
PAM	0.321
NUTF2	-0.13675
CITED2	0.7917
SLC39A4	-0.7315
C2orf52	0.385
GRM3	-0.991
C12orf49	-0.666
CCDC49	-0.1387
GRAMD1B	-1.60271428571429
FNDC4	0.1375
SIAH2	0.49925
GDPD4	-0.7055
C21orf87	0.386375
ATP5A1	-0.964833333333333
C16orf63	-0.09025
LOC388135	-1.1655
ATP5J2	-0.05
MMP3	-0.1925
EMID2	-0.9955
CRHR1	-0.1175
WDR70	-0.03225
C13orf31	0.7475
ZFAND1	-0.13775
CCL18	1.16516666666667
C3orf49	0.545
RINT1	-1.159
KIAA0408	-1.83683333333333
F13A1	4.1188
SLC10A1	0.821166666666667
OGN	2.01275
GIPC2	-0.838833333333333
XPO6	0.120166666666667
LCE1A	0.6355
FMR1	-0.1491
LOC374920	1.207
DUSP3	0.059375
ANKMY1	0.95825
C7orf50	0.09775
BBS9	0.4509
UNC119B	-0.460571428571429
C9orf72	-0.586875
MGC35440	0.0296666666666667
ENTPD6	-0.1415
PPP1R2P9	0.79725
ERCC4	0.68625
FAHD2B	-0.1325
HMHA1	-0.5695
HACL1	-0.934
RAD23A	-1.065
FAM83B	-1.34025
PPP5C	-0.386666666666667
RNASEH2C	-0.646875
C9orf153	-0.704666666666667
SCAMP4	0.966625
GHITM	0.1654
NDUFB7	-0.011375
ADCYAP1	-1.00875
SP110	2.116
MAP3K7IP2	1.3055
DHH	0.083
AGRN	0.785428571428572
WDR33	0.967833333333333
CEP290	0.4045
PRPS1L1	-1.47316666666667
KLRA1	-0.458
GPR97	0.0745
CHD7	-0.925583333333333
TLR10	0.18475
SLC30A8	0.459
HIC1	0.5432
IAPP	0.22
RXFP4	0.00875000000000001
GP1BB	0.45775
SHQ1	-1.001
NKX2-3	0.2624
API5	-0.8115
FTHP1	-0.6145
MOV10L1	0.03
TRIM6-TRIM34	2.38433333333333
ADHFE1	1.7745
FAM117A	0.09225
DDI1	-0.319166666666667
CDON	0.234166666666667
TRIM73	-0.575
IGKC	1.6715
MMP14	0.373083333333333
DYNC1LI1	-0.299
C11orf66	0.503
TRBV3-1	-2.432
FASTKD5	-0.3655
BIVM	-1.94925
LHX4	0.0675
CXCL2	-1.2215
RAB2B	-0.513166666666667
IZUMO1	-0.389
MAP3K15	-1.51114285714286
FAM19A2	-0.291666666666667
ZC3H8	-0.351333333333333
ZMAT1	3.4345
SPINK5L3	-2.67775
SLC10A6	0.6225
APPL2	0.1665
CARD10	-0.604833333333333
LOC402176	-1.278625
EEF1D	1.0537
RAB6A	-0.0663
C12orf5	-1.615625
PAPOLG	0.75025
MSRB2	1.15125
BCR	0.679764705882353
PUS3	-0.51475
TIAM2	0.5385
ZNF317	0.0465
CHD2	-0.0753571428571428
FZD5	-2.41513636363636
NUDT8	-2.66025
ZNF763	0.0155
PRC1	-2.46233333333333
ABCB9	-0.744166666666667
SPATA3	1.0195
TRAK2	0.43525
STAB1	1.67775
LRRTM2	0.3202
psiTPTE22	0.214
DBI	0.6625
SERPINA11	-1.14025
NAT5	0.45925
C20orf58	-1.268
RPS6KA4	-0.741666666666667
FLJ90650	-0.0185
TGFBRAP1	0.291
CHRDL2	-0.925375
FAHD2A	-0.861666666666667
CNTN1	-0.103333333333333
BBS4	-0.1606
TMEM181	-0.29725
MINPP1	-1.7425
MPHOSPH6	-1.19883333333333
HOXC10	1.9876
ITPKB	0.56175
CLPTM1L	0.32775
MEOX2	-1.01066666666667
ATP6V0C	-0.194125
PRPF8	-0.343166666666667
TMC5	3.5275
FKBP3	0.06
PLEKHB2	0.0395
OR4D6	0.403
ZNF544	-0.1943
D2HGDH	-0.4555
RPL18A	-0.5665
HEL308	-0.47075
MPP6	-4.15775
TCERG1	-1.1535
KRT16	-0.424833333333333
KLF17	-0.5625
KLF5	-1.1865
CDR1	2.114
VCX3A	-4.05
FBLN2	2.286875
C14orf104	0.26925
HBE1	-5.1075
OR4S2	1.238
C1orf108	-1.66916666666667
ROBO4	2.08616666666667
CPEB4	1.59425
C11orf80	-1.26266666666667
BCKDHA	0.123833333333333
MYOC	-0.21625
GIF	-0.178
CKMT1A	0.1125
RPL3	1.0354
THBS1	2.247
APOO	-1.1865
ARMCX1	2.75775
HSZFP36	1.4305
SNAPC5	0.069
EIF4ENIF1	0.012
ZNF433	0.39575
TNFRSF21	-1.438375
TMPRSS7	-0.8615
SPATA18	0.9357
HPDL	-2.616
MKL2	2.1139
TBX3	2.18746153846154
C21orf93	-0.0594
DAXX	0.565
ELMO1	-0.55525
RGS13	3.02433333333333
TAF11	-0.733
UNC13A	-0.896125
LOC653314	-0.0125
ORC3L	0.15225
IMAA	-1.592
TARBP2	-0.86025
CABIN1	-0.5295
TRIOBP	0.288625
HIST1H2AC	1.034
RGS22	0.850166666666667
NCOA1	0.5265
IL25	1.437
SNCG	1.9925
GPR6	0.6
AMDHD1	-1.00433333333333
CHEK2	-1.393125
C6orf142	-1.136
DRD4	-0.32225
C14orf68	-0.93275
GDF11	-2.65425
SEMG2	1.348
CD247	-2.70825
CDAN1	-0.512
RBMX2	-0.186666666666667
TGS1	-0.4315
OIT3	-0.2185
SYF2	0.817
MCM4	-1.463375
PKHD1L1	-0.437285714285714
CEP192	-1.16083333333333
IFT88	1.9935
RPL9	0.533071428571429
RAB32	-0.8365
DDX43	-2.4975
P2RX2	0.658166666666667
OR5D18	0.3875
UBE1	0.00341666666666667
SLC24A1	0.40325
ARHGAP5	-0.206
CETP	-0.7
KIAA1731	-0.3556
SLC9A4	0.792
PTPN6	1.356
BAHD1	0.23225
GRIK3	0.4185
CACNB2	0.0686
PDE10A	-1.27625
DGCR14	-0.3415
PCDHB9	-0.174166666666667
RHOQ	-0.471333333333333
MAP3K4	0.5775
KTI12	0.482
RPL23AP13	-1.641
GNG11	-0.0055
CLCN3	-0.254333333333333
GPAM	-0.32825
VSTM2A	0.254
SLAMF7	0.442666666666667
INTS2	-1.281
PPP2CA	0.135
LRP12	-1.2762
SEC14L2	4.24555555555556
DKFZP586H2123	1.45775
MC3R	-0.3715
CIRH1A	-2.00083333333333
HIST1H2AB	0.8905
POLH	-0.484875
MGC16703	-0.856833333333333
SNAPC2	0.2055
FILIP1L	0.5045
RASGRP4	0.095
LRRC1	1.44875
GAS1	0.43325
PRAC	-0.683
DGKA	-0.157
NT5C3	-0.5615
PEG3	-1.14441666666667
NADK	-0.32425
PRR17	-0.957
LOC374569	-0.79525
SGSH	0.00516666666666663
NLRP8	1.028
GALT	-1.0565
MCF2	-1.4485
ZNF263	1.9405
TACSTD1	1.24533333333333
TYR	-5.4893
ATP6AP2	-0.365
RNUXA	0.29775
ABHD10	0.267444444444444
GDPD2	-0.12675
SLC35C1	-0.71825
UBE2A	0.220125
HERC5	-0.413333333333333
FAM112B	-4.5462
FBXL16	2.4285
DKFZP434A0131	-0.47375
ELA3A	-1.9455
RBM41	-0.536
HAO2	-0.054
RNH1	-0.07025
SHANK2	1.64016666666667
OSBP2	-1.770625
DAK	-0.133333333333333
C3orf58	-0.687909090909091
TCL1B	-0.3155
KBTBD2	0.00712500000000001
SUGT1L1	0.483
UBE2E2	-0.9965
MYL9	2.697625
CDC23	-0.381833333333333
PBXIP1	1.8672
CXorf40B	0.381
NBL1	0.5325
RTBDN	-0.0205
RAB11FIP5	0.09325
TTTY13	0.8105
SCOTIN	0.541333333333333
SOHLH1	0.2526
CDKN1A	-0.73
NCK1	-0.1375
ZNF550	-0.0585
SAPS3	-0.30425
SPIN3	1.26233333333333
MAGEE2	0.27875
MIS12	-0.412
OR8H2	-0.0045
KIAA0774	-1.747
UNC5D	-1.871
CUL7	-0.616666666666667
LIPC	-3.7665
DIO1	-0.517
C20orf11	0.2995
CTRL	-0.102
HS3ST2	0.32875
PAK4	0.981833333333333
CCRL1	1.66725
RNF10	0.415375
ZNF567	0.54075
ZNF660	-1.0965
TCEAL3	1.59325
MAGOH	0.0535
CENPB	0.252333333333333
C19orf7	1.5575
LOC388965	0.14475
ZCCHC13	1.0175
JMJD1A	-0.3673
HIST1H4H	0.1375
TBRG1	-0.7794
GPC3	-3.52725
TAF1C	-0.693875
EBNA1BP2	-0.7955
CIAPIN1	-0.72475
PDGFRA	-0.929294117647059
CSTB	-0.790625
CENPI	-2.0855
GTF2E2	-0.626
RPP21	-0.917
CCNF	-0.803333333333333
KCNQ3	0.1895
FAM79A	0.4275
SLC22A12	0.133
NOVA1	1.46283333333333
FZD3	0.9277
AKAP8	-0.594
SOCS5	-0.700125
CFDP1	-0.54625
DLG5	0.51275
PGM5	0.257
C1orf144	0.222166666666667
HDAC10	-0.73
RND2	-0.5415
C20orf199	-0.67475
RNMT	-0.713625
SLURP1	-0.27875
ASTN1	-0.161142857142857
SH3BGR	0.8235
MYCL1	-0.141125
ZHX1	0.387166666666667
CENPK	-1.9835
FOSB	-0.0654
LOC643406	0.057125
C2orf59	-0.63025
TMEM135	-0.202285714285714
SLC27A2	-1.6075
KRT33A	1.566
OVOL1	1.155875
PAMCI	-2.10416666666667
S100A7	3.8375
ZNF789	-0.725
HARS2	0.63025
RPL23A	-1.08433333333333
TCF23	0.30825
UPF3B	-0.708125
C17orf78	-1.9615
HLA-DOB	0.413666666666667
C14orf142	-0.0131666666666667
TEKT5	1.193
DMWD	-0.1805
POLD1	-2.222
GSCL	-1.501
CALD1	-0.0933
SCRT1	-0.519833333333333
AIG1	1.3995
UNC84B	0.509
ZNF404	0.75325
TMED6	-1.89175
KIAA1462	-0.0594999999999999
LRRC27	2.0415
PYGO1	0.518
PIGU	-0.445333333333333
ALAS2	-3.91966666666667
WRNIP1	0.272875
CNNM3	0.037
ZNF2	0.164
ST3GAL5	0.00991666666666665
MRPL23	-0.731
TSSK6	0.18925
PSMA6	-1.279
C16orf70	-1.05025
KIAA1602	-0.1715
ALMS1	1.01233333333333
DCN	2.511
TMEM132D	-1.678
SUCLG2	-0.03575
ABHD14A	-0.1455
DEXI	0.5385
AMPD2	-0.55
IFNAR2	-1.05166666666667
CYB5A	3.0565
TLOC1	0.0838
NXF5	-0.34
NRBF2	-0.619875
KCTD3	2.779
ITGAE	-1.00583333333333
SLC30A3	-1.502
ZRF1	-0.3825
IFRD2	-0.5545
XAB1	-0.63975
PYCR2	0.726666666666667
SERPINB3	-2.359
TMLHE	-0.5349
GEFT	0.015375
ABCA5	-1.8545
EMR4	-0.0886
TSFM	-0.2935
HIST3H2BB	0.64875
ARHGEF19	1.67425
TSPAN17	0.00183333333333333
ABCC8	3.67575
MAP1S	0.669666666666667
C22orf36	0.27675
BNC2	-0.250428571428571
HIST1H4A	-0.83325
NDUFS3	-0.444166666666667
WDR3	-0.730833333333333
XKR4	-0.2905
TTC33	0.00292857142857139
STMN2	5.0505
CPN2	-0.4368
HSPC105	0.01025
PCOLCE2	-5.83875
C3orf55	-0.7135
KLHDC9	3.69833333333333
TBC1D23	0.33875
ATXN2L	-0.246416666666667
MAP2K3	-0.16675
SCAP	0.20075
ZNF486	-0.3825
C20orf96	0.449
NARS	0.20625
ADAMTSL1	-0.818
PRCC	1.4865
CCDC126	0.307
ZNF675	0.02425
CALCOCO1	0.88925
ANKRD43	4.75425
CWF19L2	-0.235166666666667
ZBTB32	0.3565
BRAF	0.46625
ODF4	0.191
MGC14376	-0.00866666666666666
HORMAD1	-2.885
AAK1	-0.186363636363636
PEBP1	1.39325
TNFSF5IP1	0.923
DKFZp564N2472	0.20325
RMND1	0.322
IGKV1-5	0.631
COL1A2	2.5535
SERPINA5	0.6245
AANAT	0.102
C19orf21	0.145833333333333
GEMIN5	0.5085
UBR4	-0.0198333333333333
LTBP3	0.206
AMHR2	-0.535333333333333
PROCR	-1.11975
MYBBP1A	-0.34525
C20orf39	0.937833333333333
ZNF697	-0.637625
PASK	-0.5621
ZNF776	0.273833333333333
RFXDC2	-0.452375
KIAA0467	-0.55025
C10orf96	-0.8815
ZNF503	-0.834
GULP1	-1.45441666666667
KCNE4	-1.36466666666667
DKFZp434K191	-1.079625
LOC196913	0.1855
BHLHB4	-0.461
CH25H	0.4115
LOC81691	-0.0911666666666667
ALPL	-0.209
COL12A1	3.224875
FOLR3	-1.73283333333333
GPR123	0.526857142857143
TRIM62	0.2295
ABLIM1	0.742166666666667
MAST3	-0.1015
RHBDD1	0.1295
LOC338809	0.651
RYBP	-0.102
TTC26	0.09375
ZNF22	-0.188
ISCA2	-0.0415
RDM1	-1.00175
PIGM	0.198
GNB3	0.1625
ACTR2	-0.4485
HMGB1	0.66255
EDG1	3.148
SOAT2	-3.366
OR10AD1	0.9525
RAP1GDS1	0.396416666666667
LCE1F	0.707
ESM1	0.247375
RCN3	1.564
CREBL1	-0.29475
DBNL	-0.220166666666667
PTGER3	2.958
USP30	0.0771666666666667
BCL2L12	-1.44716666666667
KIF26B	2.14025
ZNF416	0.445
ZNF225	0.4745
C17orf70	-0.1435
ZNF554	1.695
RAE1	-0.857333333333333
TNIK	0.0826666666666666
ACTN3	0.5515
MGC45922	0.208
CCNA1	-1.06683333333333
RYK	0.2835
IL26	1.0565
LRP3	0.262
QARS	0.54425
SOX7	0.1845
BID	-1.92425
OR2S2	2.084
CXCL14	5.44325
C11orf47	-1.597
MGC29891	2.25133333333333
HSPB8	0.3172
PRDM14	-1.556
NUFIP2	-0.33325
MNAT1	-0.976375
ZDHHC2	-0.509166666666667
MBNL2	-0.606857142857143
ADD3	-1.725
CSNK2A1P	-0.528
KLK6	-1.08866666666667
TMEM111	0.7655
KIAA1279	0.13575
NUBP2	0.532833333333333
RAB42	-2.14775
ID3	-1.0615
TM9SF1	0.22275
MDP-1	-0.98725
POU4F2	-0.34
IQCK	1.99875
C16orf14	-0.0875
CAPN3	-1.363875
FAM43B	-0.369375
RECQL	-1.40675
AP1G1	-0.836071428571429
CTNNBL1	-0.0311666666666667
ECHDC1	-1.96016666666667
SMARCC1	0.0549
FOXQ1	-2.129
GNAI3	0.274333333333333
POLG2	-1.5305
CD4	0.556125
ITLN1	-0.364333333333333
EBI2	0.6785
IRF1	1.1635
PTPRE	1.7437
PTK2B	-0.08575
NXNL2	2.8045
SOX4	0.973055555555555
TSPAN3	-0.6645
SH2D1A	-3.1205
C8orf58	-0.5025
USP20	0.19525
DUSP22	-0.847
CALB1	-1.4715
L3MBTL2	0.236416666666667
MCRS1	-0.34225
TMEM118	-0.792
C18orf8	0.439166666666667
FLJ10241	-0.299625
GJA12	0.74825
PKD1	0.3265
ZFP3	-0.192
JAM3	-0.796
LAPTM4A	0.8959
DIRC2	0.0365
KIAA2022	-0.6165
MYOM1	0.504833333333333
TRPM8	-2.61033333333333
MOP-1	0.3835
PHKG2	0.170125
ZNF650	-0.17625
KIAA1522	2.1355
PSG8	-0.559
DDX19B	-0.4655
MOBKL1B	-0.50875
DIAPH2	-0.338
PTPN12	0.4065
CLN8	-0.2679
CRYZL1	-0.178166666666667
CRY2	0.3855
FCGR2B	2.41816666666667
PNPLA4	1.630625
ZNF454	0.3755
DKFZp434B1231	0.43475
CLDN11	0.3332
RFWD2	1.13816666666667
CIB2	-1.04716666666667
MXRA8	2.242625
HRK	-1.803875
MAML2	-1.3775
C4orf31	1.8505
C6orf192	-0.549
COG6	-0.104125
FAM5B	0.205
NFATC1	0.0791
SEPT10	-0.817
SCYL1	-0.2267
RPP40	-0.92925
SCOC	0.0102
KIAA1450	1.34475
CTDSPL2	-0.494
TBX5	2.05416666666667
NAPG	-0.132625
RHD	-5.6065
C14orf45	2.5505
ZBTB22	1.2525
PLCG1	-0.31
ANKRD10	-0.277125
AQP7P2	-0.302
TAGLN2	0.598333333333333
HTR2C	0.2386
SLC16A7	-1.027
C17orf83	0.133
TSGA14	0.382916666666667
MDH1	-0.91425
PPP3R2	0.4176
DCBLD2	-2.02107142857143
RBM33	-0.348428571428571
DPH3	-1.87675
SYT10	-1.24575
FMO4	1.638625
THYN1	-0.00575
DRD5	-1.3765
OTOR	1.07375
PGRMC2	0.3194
KATNAL1	0.042625
PAQR6	1.288
UBE2I	0.34375
C14orf28	0.142
C8orf70	-0.63725
FLYWCH1	-0.0925
ANGPTL3	-1.025
GLRX2	-0.260333333333333
ATP11A	-0.752214285714286
ARL5B	-1.249
MUC16	-0.3745
SLC25A5	-1.70592857142857
ACRC	-0.72725
MYO1C	0.027875
FAM89B	-0.079
FAS	-0.07
KIFAP3	1.8635
GLRA2	1.823
BTN3A2	0.0443
CNKSR3	-1.054125
CSTF3	-0.969
ARPM1	0.39475
KIAA1530	-1.388
C9orf150	2.3825
PRKCI	-0.52125
tcag7.1015	-2.0795
SOD3	-0.3945
ZNF574	0.43525
CYP21A2	2.114
RPL12	0.6105
COMMD2	-0.2295
WIZ	0.335
LOC344405	-0.664
ALDH4A1	-0.281
CRYAB	1.78
COPA	0.6687
PCDHGA7	0.304
KIF11	-1.21108333333333
RASD2	0.2035
SLC26A3	0.7675
ZNF175	-0.00900000000000001
JAKMIP2	-1.933875
C8orf4	0.399666666666667
PTHLH	-0.00725000000000001
SLC40A1	4.19491666666667
OR7D4	0.341166666666667
PCDHB17	0.785
CD36	4.014
C6orf203	0.9251
PRKG2	0.891
LOC400566	2.2725
ANAPC13	-0.17325
SLCO3A1	-1.2445
ZNF692	-1.387
FANCL	-1.3075
SH3GLB1	0.835
C12orf61	0.6035
KBTBD6	0.51925
SUPT5H	0.925375
XRCC6	-0.5749
HUS1B	-0.0278
FAM133B	0.0676428571428571
LOC728276	1.398
KCTD18	0.68275
SOS2	1.2335
CCDC99	-1.314
C1QTNF5	2.45
NNAT	-0.5455
USP16	0.04125
LARS	-0.574125
ZBTB2	0.613875
ABO	0.444
TRAF3	0.11375
GALNT5	-2.062
NAP5	1.430875
ALG14	0.635
KIAA0515	-0.204961538461538
WDR75	-0.244833333333333
TEX261	-0.612
LY86	0.12275
LOC389072	-1.4635
FLJ13611	0.2345
MRGPRX2	0.373
SNRPA	-1.031625
OR2G2	-0.342
GPRASP2	0.01325
C7orf42	0.5465
C9orf163	-0.3055
CYP11B2	1.1855
FCRL3	0.747333333333333
PRDX1	0.325
FGB	-5.47683333333333
COX17	-0.790666666666667
C16orf33	0.2345
PIWIL1	-0.0686
FOLR1	-1.43733333333333
KIAA0082	-0.12325
FREQ	-1.152
TMCC2	-1.41033333333333
TCF12	-0.725583333333333
ZNF721	0.93675
FAM130A2	-0.842
POU4F1	-1.92625
SNRPF	-0.871625
SGIP1	0.872333333333333
ZNF641	0.323333333333333
EMG1	-0.4435
PRRG4	1.8315
HIRA	-2.0265
MYNN	-0.0733333333333333
AEBP2	-0.937916666666667
TBXA2R	-0.0995
ISL2	-0.61
PCDHB11	0.0395
RNF144A	-1.3835
MARCH5	0.010625
DULLARD	-0.0456666666666667
DCLRE1B	-0.512
ITGA8	-0.66075
TP73	-0.0728571428571429
PRKCD	2.39725
NDUFB4	-0.24725
ATP13A4	-0.684142857142857
ANTXR2	-0.93
COL4A3	-0.790333333333333
MYO10	-1.3472
SLC6A18	0.254
PEX1	0.05975
TMEM74	-0.843666666666667
RBM19	0.29675
TAPBP	0.2433
RUNX1	1.87225
MID1	-1.66375
GPR64	-2.74733333333333
RASEF	4.961
GABRG1	0.960571428571429
MYO16	-0.349333333333333
DBF4	-1.32166666666667
TSHZ2	1.52875
RIPK2	0.2935
PPTC7	-0.289166666666667
KIF4B	-1.247
LRRC31	0.89125
ZNF540	-0.106
EFNB3	-0.247
LOH12CR1	-0.35275
STON2	-0.2045
GLP1R	-0.44825
CSTF2T	0.21425
IREB2	-1.512
