Hybridization REF	TCGA-E2-A15G-01A-11R-A12D-07
KIF13A	-0.2645
RAC3	-1.239
TCTE1	-0.0825
TMEM14B	-0.4625
ADIPOR1	0.424833333333333
GRINA	0.9435
CLIP4	-1.45625
LRIT2	0.612
TFPI	-3.471
FABP6	-2.2275
SLITRK2	-0.7567
HKR1	1.594
SMTN	-1.10125
C1orf75	-0.95175
CD209	0.081875
CYB5R2	-0.27725
DNTTIP2	-0.1675
CSGlcA-T	1.19125
GABRB3	-3.31075
PCBD1	0.431333333333333
TAF3	1.13258333333333
HOXD3	0.557
GIPC3	-0.250333333333333
P11	0.6481
BFSP1	-0.842
LCP2	-0.4325
TAS2R8	0.3065
SEZ6L	-0.5575
NR2C1	-1.741125
EXDL2	1.3868
TNFRSF13B	-2.78366666666667
MKI67	-2.278
GLS	-1.86266666666667
C7orf54	-0.2714
LGALS13	-0.2015
IL4R	-0.015
SEC11A	-0.0728333333333333
SPP2	-0.0338333333333333
C18orf32	1.3235
CLSPN	-2.20283333333333
SPAG1	-0.058375
C9orf82	-0.622
TM4SF1	-0.509916666666667
EMILIN2	-1.1145
SMG7	0.4615
TAS2R13	0.349
ZNF628	-0.039
DZIP1L	-1.09083333333333
ANKRD13A	0.1525
VASP	0.901625
ZCCHC11	-2.66675
SYPL1	0.4
MGC34774	0.80375
C4orf28	0.136
KIAA1211	-0.022
RPS27L	-0.7145
TATDN3	-0.34025
PDCD1	-1.44175
OR5P2	-0.309
IFIT1L	0.741
MIPOL1	1.5235
OR51D1	0.09375
C1orf92	-1.06466666666667
LAMP2	0.546388888888889
CAT	0.466333333333333
C16orf80	-0.917
C15orf32	-0.233
ZNF746	0.3665
C1orf76	-1.5275
ATXN1	0.31
LAMC2	1.10625
SLC2A7	-0.482
CPOX	-2.1585
APH1B	1.56233333333333
LOC442245	0.84625
CTNND1	1.04333333333333
GABRG2	-1.08225
MADCAM1	-0.672666666666667
F5	-3.820625
SEMA4F	-0.528666666666667
NUDCD3	0.603625
PDZD11	0.5875
TRIML1	1.1325
GCNT3	-3.85883333333333
TMEM120A	0.501
CNDP1	-0.289
N4BP1	0.09375
SLC35F2	-1.26975
LCP1	-1.06758333333333
IGBP1	0.9009
DCAKD	-0.058125
ELA2A	-1.3715
C12orf56	-3.09885714285714
PITRM1	0.277642857142857
GUK1	-0.0948333333333333
RASSF8	-0.562125
OR2A14	0.1445
ADM	-3.63277777777778
FGD3	3.415
GHRHR	0.403666666666667
RHPN2	-0.03675
C4orf39	0.675666666666667
VPS72	-0.35325
SERF2	0.949833333333333
CD22	0.997333333333334
CD47	-1.045
PPIC	-0.299333333333333
IMPDH1	-0.0326666666666667
ACP6	1.11533333333333
PRKACA	0.5215
PPP1R1A	-1.048125
TRPV3	-0.463
ASXL1	-0.806
C17orf55	-0.0838333333333333
FXYD1	-1.25033333333333
LMOD2	-0.259
ANKRD33	-0.1025
LCE2C	0.550375
ZNF620	0.756
DKFZP566E164	-2.18825
VSIG2	2.802
KIAA1128	0.81
USO1	-0.169333333333333
NUDT4	0.392785714285714
CLDN1	-0.487214285714286
OR4Q3	-0.2885
FASTK	-0.0323333333333334
ICOS	-0.534
LDB1	1.548
GSTA5	-1.46325
ABCC1	-1.026
FAM54A	-3.65425
PCBP2	-0.222666666666667
NUP205	-1.5435
ACTA1	-1.709
GABBR2	-2.01375
PIP5K1B	0.105833333333333
AGXT	-3.256
RNF181	-0.0695
ATP8A2	-0.90525
AFTPH	1.4503125
FGF21	-0.3005
FCER1G	2.071625
SNTB1	-3.0135
SLC24A3	1.52175
TXNL4B	-0.9615
RPL10L	-0.166
LOC389517	-0.0872
TSGA13	-1.993
SHOX2	-1.18483333333333
ITGA7	-1.1984
KCNIP2	-0.281333333333333
KLF13	0.59
ZFAND2A	-1.50175
CEACAM1	0.788357142857143
PFKFB4	-1.53866666666667
MED19	-0.142
LRRC57	0.335833333333333
RNF11	0.783
ANKRD32	-2.34
P117	-0.4205
OBFC2A	-1.4685
POLD3	-0.5985
RAB18	1.0635
TPH2	-0.193333333333333
PHB	-0.7124
JDP2	1.16766666666667
MORF4L1	-0.586
POU2F1	-0.7145
CNNM2	-1.11566666666667
LOXHD1	0.1484
ZC3H15	-0.487
ELK3	0.221333333333333
FAM111B	-0.306
CBLC	3.20583333333333
SBNO1	0.186
ANKMY2	-0.611
PLEKHA5	0.1555
DHX58	0.979666666666667
ARCN1	-0.344666666666667
TREML1	0.6385
KNCN	-0.3065
SEC24A	-1.121
PSCA	0.804
MGC24125	0.6975
DNA2L	-2.1645
CIB4	-0.683625
HIGD2A	-0.760833333333333
TBX6	-0.0526666666666667
TTLL5	0.1385
SGK3	1.1795
GCN1L1	-0.46925
AMOT	0.7203
LDOC1	0.274833333333333
NRK	-0.191333333333333
ASB9	-3.90425
NAT1	5.8679
TRAFD1	1.03725
PEAR1	0.527166666666667
FAM36A	1.275
OR1S2	-0.240666666666667
LOC388323	-2.29425
PGS1	0.0978333333333333
LEPREL1	-2.83875
TFF1	0.285333333333333
HAP1	-0.036
EPHB2	-1.22575
ACTG1	0.5035
ZFP42	-1.94383333333333
HAVCR2	0.3377
NME1	-1.315
SNX26	-0.223666666666667
LACTB	0.265333333333333
ZKSCAN2	-0.441625
C5orf35	0.7425
ANKS3	0.27125
RBM28	-1.00525
DKFZP586P0123	-0.62675
HNRNPA1	0.1655
BCAS3	-0.83325
FLJ20184	1.2465
POLA2	-1.19366666666667
TMC7	0.807666666666667
HSD17B6	0.489
ZNF658B	0.657
TTTY10	-0.657
RANBP9	-0.157833333333333
CPNE7	-1.70516666666667
EVL	2.25741176470588
LNX1	0.87225
IFNA21	-0.1035
CFD	2.33
PYCARD	1.84566666666667
MYBPC2	-1.945
ENPP3	-2.16416666666667
ACSL4	-2.62425
LOC440258	1.30283333333333
TMEM176B	3.0375
SOX2	-2.1375
SCO1	-0.305666666666667
COMT	-0.0175
AOC2	-0.384
PDLIM5	1.59535714285714
SPHK2	0.383166666666667
NXPH2	0.1565
GPR108	0.062
RAD51L1	0.386833333333333
TMEM54	0.29775
LETMD1	-0.348
SLC6A17	-0.08125
KRT75	-0.597
STT3B	-1.2405
CD3EAP	0.152166666666667
TMEM63A	1.09425
DUSP13	-2.97075
CD1C	-1.538
LASS2	1.52333333333333
AVP	-0.041
PITPNM1	-1.582125
FLJ22795	-0.907
MCTP1	-2.4505
TRIM68	-0.887666666666667
UCK2	-1.28533333333333
ABHD1	0.63075
FAM50A	0.07525
RNASEH1	-1.29233333333333
PCP2	2.51866666666667
OR52H1	0.3905
C20orf149	0.6735
RBP5	0.804833333333333
HYAL3	-0.86025
CLPB	-1.571
SMNDC1	-0.04325
DONSON	-3.1275
FLJ27523	0.111666666666667
BARHL2	0.386833333333333
SLC30A9	-0.3325
TMPRSS11B	0.67675
E2F8	-3.03
CCDC25	0.226416666666667
C14orf48	0.1194
C20orf116	0.344125
TSPAN11	0.14
YIF1B	-1.67683333333333
FAM12B	1.75425
OR1L6	0.074
HPN	1.8319
NBN	0.480125
C14orf94	0.162333333333333
OCLM	-0.102
ZSCAN18	2.3094
L3MBTL	-0.0674
TSTA3	0.549333333333333
RAC1	0.575875
C19orf15	0.66
NFE2	-4.792
KLK14	0.223
ARSF	-0.7785
MAST2	0.124833333333333
AMICA1	0.842
GTF2A1	0.181125
ATP1A3	0.0785
TC2N	3.5971
PNKP	0.349
ODZ2	-2.5185
MATR3	0.716
S100P	-2.97225
KRT82	-0.117
CA13	-1.1595
PROZ	-1.69183333333333
AASDH	0.558857142857143
C19orf40	-0.435166666666667
DCK	-0.932923076923077
FAM5C	-2.19825
SLC6A4	-0.221
MID1IP1	0.222625
TESSP5	2.564
TMOD4	-0.301833333333333
DOCK2	-0.419666666666667
TUG1	0.591
NUP214	-0.19175
DPYSL2	-1.07013636363636
GOLM1	2.07983333333333
MPFL	0.252
SOX13	1.20375
SDCCAG8	1.1483
KEL	-1.2435
NUP210L	-3.129
GK	-0.205875
DNAJB1	0.7575
ALPK3	0.1065
CHID1	-0.0834
CYLC2	-0.0718333333333333
IKZF5	1.13775
C8orf51	0.2365
PPM1J	2.69975
GIMAP8	2.7795
GPR101	-0.5145
NR2F1	-1.597
ACAD8	0.224
RBM35A	0.73125
GNAI2	0.659666666666667
METTL8	-0.755
SLC39A7	-0.9035
FBXO8	0.40475
CAMK1	-0.24925
RFC3	-1.5135
FAM129A	2.1245
ILF2	-0.49325
FGFBP3	-2.075125
NOM1	-1.12
PSMA3	-0.053
ASCC3	-0.4111
ZYG11A	-1.4245
SOX21	-2.03525
LYRM1	0.39375
DEFB1	-1.799
LOC91431	-2.4205
OR7C2	0.6095
FAM46B	1.745375
TMEM18	-0.5005
ARHGAP30	0.790833333333333
TMEM86A	2.25425
EPHA2	-1.05416666666667
C10orf46	1.1211
TCHH	-1.59783333333333
C3orf30	-0.2415
LOC285636	0.0481666666666667
PAIP2	0.537
CYP2U1	-0.813875
C12orf34	2.16625
SARS2	-0.868833333333333
ZCWPW1	0.85325
SAMD12	2.321625
KIAA1430	0.02775
ACAT1	-0.43825
MEOX1	1.77683333333333
ADAMDEC1	1.677
PHKA2	-0.1125
CARD11	-0.468666666666667
CALML4	-2.051
TSSC1	-0.50075
TMEM45A	-0.250666666666667
MPP7	2.712125
POU1F1	-0.068
SLC2A13	-0.8907
FBN2	-1.19135714285714
ZC3H7A	0.4165
LAIR2	-2.291
ST3GAL1	1.05883333333333
LCT	-3.72575
GEMIN8	1.00766666666667
KLF16	0.2465
HIF3A	-0.4952
FAM44A	0.813928571428571
AQP10	-1.633
PLA2G2A	-0.905
FOLH1	0.222833333333333
C20orf186	0.3935
MAPKAP1	0.37075
SPRR2D	-1.5565
UBQLN4	0.817833333333333
RSHL1	-0.159
PIAS3	1.36425
MRPL24	0.6575
GREB1	0.3525
FAM27E3	-2.103
NUP62CL	0.08975
NEUROG3	0.286
REEP3	1.31125
MARK1	-0.617
LMBRD1	0.93025
PRPF19	-1.7075
PNMT	-1.2205
CTGLF1	1.4445
SLC25A16	0.63775
EIF2B3	-0.8245
RPA2	-0.1835
PAK6	1.4055
CCDC26	-4.962375
SEMA3E	2.222375
MXD4	1.5297
TNFSF10	4.3785
SMARCB1	-0.651833333333333
DTX3L	1.042
PLA2G4E	-0.4205
PPAP2A	0.33625
ULK1	0.514833333333333
TAS1R3	-0.1335
SLC2A3	-3.71827272727273
ARID3A	-1.7285
GNG5	-0.88
ACOX1	0.0508
KIF5B	-0.02575
NUP153	-0.93725
MUC7	0.497
CSDE1	-0.410142857142857
CLPTM1	-0.3225
C3orf23	-0.154125
LRRC17	-0.413333333333333
TTYH3	-0.703875
ATP5B	-1.0945
ELF3	1.71
CPSF3L	0.272
ZNF665	0.618333333333333
TLR6	0.7954
GPI	-1.625375
RAD9A	-0.482125
NDST4	-3.69075
AGPAT3	0.0958333333333333
MAGI3	2.4415
ADORA2A	1.19075
CACNG7	-0.3205
CAMK2D	0.0908571428571429
CCHCR1	-1.53575
RPS27A	-0.1375
OR10G7	0.226166666666667
GCM2	0.02
FAM135B	1.847
E2F1	-2.01475
PLCB3	-0.13575
OR2AE1	-0.6125
COIL	-0.324833333333333
CDC25C	-3.01433333333333
RAB11FIP2	0.736333333333333
TSC2	0.7005
CTGLF5	0.5955
CCDC108	1.6475
OR13C4	-0.08875
C10orf81	5.233
PTPRB	1.91925
ACP2	1.31325
LAG3	-1.20425
MRPL54	-0.30725
LOC201175	0.469
ITGB1BP3	-2.4705
SPTAN1	-0.0593333333333333
SIPA1L2	0.226
RCAN2	-1.2625
CDX2	2.398
ECOP	0.14625
ACTR1A	0.0740714285714286
PPARG	-2.13983333333333
BBS10	0.693166666666667
TMEM44	-0.63775
BPIL2	0.1485
CITED1	2.05675
IRF6	4.132
PRDM4	0.2755
RRP9	-0.878333333333333
OR10H4	0.07625
IL31RA	-0.60825
GNB1L	-2.29883333333333
MYBL2	-2.945125
ZNF407	1.38216666666667
PPIG	0.465666666666667
TTC18	3.89175
RPSA	-0.4535
MAPT	2.076625
MRE11A	-0.112923076923077
C8orf37	0.164333333333333
RASGEF1C	-0.239833333333333
STBD1	0.33
CTAG2	-0.731333333333333
MGAT5B	-2.85033333333333
ECM1	0.986375
RLN1	3.397
PARP14	1.3734375
EPB41L1	0.9415
HOXA3	-1.49658333333333
MAGEA9	-4.57975
RPS8	-0.205333333333333
RPS19BP1	-0.62975
FOXJ2	0.576125
C10orf76	0.456625
IL17RE	0.00625000000000003
C10orf65	-4.09075
ZNF343	0.424
FBXO33	0.041375
UHMK1	1.4045
LY6G6C	-1.19575
FGF19	-2.653
C14orf128	-0.845166666666667
IFIT2	2.318
TIGD1	-0.239
S100G	1.544
GUCY1B3	0.461
NR3C1	-0.7437
CORO1B	0.535333333333333
PARP11	0.922833333333333
DNALI1	4.14866666666667
OR4N4	0.985375
MAP2K6	-0.343833333333333
FSTL4	1.42575
ANKRD47	0.99975
TMEM171	-2.1615
PNLIP	-0.1815
YY1	0.966166666666667
CCDC138	-2.1675
AASDHPPT	-0.7383
CKS1B	-1.016
MCM3	-0.858166666666667
ANAPC7	-0.110833333333333
FAM110A	1.48425
CDC37L1	1.16566666666667
THTPA	1.119
NBPF20	1.209
WDR24	0.6625
NPTX2	-1.791
CBLB	1.01066666666667
CETN1	0.1495
RPUSD1	0.157
FAF1	-0.4785
CDK6	-3.8167
HMX2	0.7945
CSK	-0.75
TEAD2	0.77175
SNAP25	-2.82625
TUFT1	1.3129
TMTC3	0.662833333333333
LCK	-3.09775
SGOL1	-2.59016666666667
AKTIP	0.39275
FURIN	0.361375
SOX12	0.0941666666666667
DEFB103A	-0.951
RAMP1	2.7545
KIR3DX1	0.488
GAS2L3	-1.00675
PDE8A	-2.0715
EDN3	-1.588
GMIP	0.59525
SF3A2	0.338
FN3KRP	0.63925
SMAD7	1.04975
RHBDD2	0.99425
OR11H6	0.249
PPP1R3B	1.4819
C9orf23	0.112
CADPS	-1.96675
GOLGA8A	-2.853625
TMEM57	0.555166666666667
RGL3	-0.1635
S100A14	3.031
FGFR2	1.3869375
XRCC3	-1.1315
RTN4RL2	0.045
MGC3771	1.73
GH2	-0.0708333333333333
BTBD2	-0.14425
LMO2	0.4585
RDBP	-0.430875
ACRBP	-1.94875
AMY2A	2.39375
DUOXA1	0.23
PTK7	-0.343166666666667
TWF2	0.658833333333333
FAM80A	-1.75925
TNNI2	-3.35416666666667
GLT25D1	-1.14966666666667
OCC-1	-2.647
CYC1	-1.277
RPL22	0.189636363636364
MORN3	2.0485
DISP1	0.96725
PRB2	-0.964
CHUK	-0.62875
HR	-0.774375
CCDC134	-0.3325
DENND4B	-0.33575
C14orf130	0.3575
RAB33A	-2.9375
DCST2	0.1725
TNMD	-1.83225
PEX7	1.22475
FAM62A	-0.206625
SRD5A2L	0.586
IL22	-0.488
RPS26	-1.63366666666667
HOXC5	0.862
SPATA6	1.79125
FLJ38482	0.764625
ZNF234	1.7
C18orf22	0.8695
SPATA22	-0.52
THOC1	0.04675
CYP7B1	0.74075
KCNC3	0.216
C8orf42	-1.3305
ALDH1B1	-0.701
CCDC100	-0.05
ARMC4	-2.289
FAM18B2	0.6225
SLC44A1	0.9965
FBXO17	-2.64783333333333
C6orf107	-0.00675
C19orf29	-0.20375
ZC3HAV1L	-0.12625
PARP6	0.1519
SULT2A1	-5.16875
C1orf159	-0.489
TMC1	-0.0245
CHST14	0.753
GAMT	0.441833333333333
SMCP	-0.0171666666666667
TSPAN33	0.6
MIDN	0.475125
NOX4	1.4545
RNASEN	-0.4842
TBX1	0.2545
SALL2	1.3685
C10orf35	0.92425
CYP2E1	0.3885
LRFN2	2.192
ACO1	-1.10066666666667
IQCG	2.2891
MEGF9	1.99175
TM7SF4	0.18375
PLEKHA1	0.7376
STK33	-4.2735
C1orf210	2.7275
SNUPN	-0.1175
KIAA0406	-1.1701
C20orf29	-0.74775
TMEM55B	-0.065
OSTM1	-1.357625
CLCN7	0.49175
OTP	-0.27525
FLJ23049	-0.3265
HEATR4	1.9085
MAP3K10	0.485
PCDHGA9	0.1835
AMDHD2	0.5885
LCTL	-3.2155
PDCD2L	-1.062
CABLES2	-0.62975
SLC5A9	-0.56075
CLCA2	-2.68266666666667
MGC16025	-0.742
STRAP	-0.819666666666667
C20orf196	-0.1045
RRBP1	0.112833333333333
NAT13	-0.44625
MAT2B	0.522875
CSNK1D	-0.731333333333333
KIR3DL1	-0.03
PRKAG3	-0.4805
ZNF599	1.8295
PRM3	-0.012
PER2	1.51683333333333
ASPHD1	-1.5285
PRMT6	-0.2705
KCNE1L	-1.39342857142857
FAM118A	-1.35733333333333
TAF4	-0.69575
NDUFB6	-0.2565
TRIM9	-0.848916666666667
PMFBP1	-0.90975
KY	-0.3195
DKFZp762E1312	-3.53827272727273
CSMD1	-2.3235
TBP	-0.586833333333333
OR1Q1	-0.314666666666667
RETNLB	0.0236666666666667
HPGD	-0.653785714285714
DNAJC12	2.59516666666667
FKBP1B	-2.0535
ANKRD24	0.1145
CXXC5	1.322
IL3	-0.1655
DRAM	-0.5999
PTCH1	-1.52075
TP53BP1	0.54075
SLC17A7	0.783285714285714
COL25A1	-1.7627
AMACR	0.136
RHCG	-0.59525
VPS13A	0.5555
FAM55D	1.785
PRPF38B	-0.413166666666667
OSBPL6	-0.32625
PFDN5	0.6626
CMTM6	0.643875
KCNK12	-2.28425
RP2	0.1175
C16orf52	-1.40325
PICK1	0.7735
IFNE1	-1.714
SEMA4B	1.49475
TYRO3	-2.628
OR12D2	-0.5855
CSNK1A1	0.60535
FANCF	1.0395
LONP2	0.939125
TBL1Y	0.54175
LDOC1L	-0.10075
CCNC	-0.35875
C3orf60	0.045
CHKA	-0.64675
UBAP1	-0.153
MAP3K1	2.3125
ANKRD9	-0.06925
FAM92A1	-2.0375
GAB2	0.0425
AZU1	-0.58425
DIS3	-1.1175
C21orf109	-2.17925
IQCB1	-0.8665
SPATS2	-0.0693333333333333
EFCAB3	0.2325
PRB3	-0.399875
FUZ	0.75
ZNF813	0.127375
BMPER	-2.437
HEG1	-0.542
ALS2CR11	-2.594
SURF2	-0.7405
PSMC1	0.101
OR2D2	-0.54
SLC7A8	2.325
C4orf40	0.0555
SPATA7	0.93075
MAZ	-0.34025
PIN4	-0.14275
PDE1A	-1.57025
TAF6L	-0.615333333333333
OR2T34	0.14
KIAA0284	0.909
ACADS	0.992909090909091
MKRN2	-0.8275
C18orf56	-3.75
MS4A6E	-0.284
GALNT4	1.7487
C22orf31	-0.1005
FLJ36070	-0.1405
PSME4	-0.2685
TFG	-0.0846
EPHX2	2.102
ANXA5	-0.301375
KRTAP1-1	-0.4865
BATF	1.7095
KARS	-1.25875
MSTP9	-1.0515
GPR26	-0.224125
CCDC72	0.59275
TEF	0.655666666666667
FOXK1	-0.4768
PRLHR	0.2775
EMX1	2.1685
C11orf30	0.033125
ICK	1.1655
THSD7B	0.298
C21orf100	-1.8345
DUOX1	1.025
EFCAB4B	-0.10525
UBE2G2	-0.401333333333333
C3orf54	-0.26575
PARP1	-0.52425
FAM60A	-1.75508333333333
C6orf146	0.54675
OR9K2	0.0705
DDX55	-0.702666666666667
RPS15	-0.496583333333333
ZNF618	0.6220625
DKFZp686D0972	0.45825
SSPO	-0.718
SHFM3P1	1.9595
CPA6	3.38475
JAG2	1.00175
DEFA3	-0.50475
PPBPL2	-0.028
CD34	3.88375
SLCO4A1	-3.69675
AFG3L1	-1.056
SHD	-1.624
RP13-122B23.3	-0.482666666666667
PRKCSH	-0.731666666666667
DPH5	-0.448833333333333
HLA-F	1.24825
TBC1D4	-1.375
RIG	0.112
GLUD1	0.474166666666667
HNRPCL1	1.089875
HBXIP	-0.82325
RNF207	0.265
APIP	-0.88575
PLA2G3	-2.2095
CCDC84	-0.88225
MYLIP	1.07107692307692
PHIP	0.3245
AARS2	-0.4655
DHX32	0.72125
SCAPER	-0.540666666666667
MEN1	0.138125
NIP7	-1.6225
FLJ25404	-0.057
FASTKD3	-0.1555
TMEM158	-3.192
RARA	1.63975
BDH1	1.642
ANKRD16	1.2175
CARM1	0.372
SS18	0.904666666666667
IKZF2	0.517833333333333
MYD88	1.276125
PML	-0.0845
TAF1A	-0.939
CBFB	-1.1055
HIST1H3H	-0.875333333333333
C7orf29	-0.944
COMMD4	-1.05816666666667
DPP3	-1.14975
DAB2	-0.40975
LOC388882	-0.0435
YPEL4	-1.3205
AGBL3	0.19025
LRP6	0.4462
SERPINH1	-0.713583333333333
TLE1	0.5615
CD244	0.519333333333333
ZDHHC15	0.932
MGLL	-0.6598
PLDN	-0.0605833333333333
LOC654346	1.724
FAP	1.0715
GPR37	-2.604
SCARA5	0.241166666666667
EBF4	1.65572727272727
LSM6	-0.866
MLLT1	0.085125
SLC5A12	-0.71475
A2BP1	-1.84033333333333
COPS5	-0.149
TPM4	-0.892214285714286
TNFSF4	0.162166666666667
ACADSB	1.08122222222222
HERPUD1	0.00625
BCL2L11	0.235888888888889
CEP78	-1.516875
CDCA3	-2.19075
WBSCR19	1.1099
MYO1A	-2.961
PPEF1	1.6395
LOC440348	0.12525
CPEB2	0.5085
BPTF	-0.425
RPL21	-0.15975
GSX2	-0.5775
ADPRH	0.965666666666667
C17orf68	0.595166666666667
KCNS1	-1.30633333333333
MLLT6	0.7816
PIWIL4	-0.93025
RNF26	-0.94275
RAP1B	0.68325
ADAMTS1	-2.8545
ZNF571	1.38425
P2RY6	-1.067
TRIM21	0.849
CADM3	-0.16025
NLRC5	0.329
ADRA2B	-0.524166666666667
LOC90835	0.735375
PCF11	-0.093
LOC400451	1.60125
GLTSCR1	0.7164
C17orf88	-0.0755
CDH16	-1.4645
FGF7	2.365875
PCSK4	0.955166666666667
NPC1L1	-1.8175
TAT	0.188875
TBCA	0.25525
MGC33407	0.0235
GPR115	-1.7915
CYGB	-0.51
FNBP4	-0.978833333333333
C12orf43	0.2105
CBL	-0.7357
CLECL1	0.7715
PPAPDC1A	-0.671
WDR25	1.22866666666667
SGCA	0.2265
C22orf29	0.4865
YIPF1	1.653
GALK2	-1.1155
RAB3B	-2.67225
LOC440087	-0.319
UCP1	-0.344
REEP5	1.82225
FADD	0.0576
FOXA1	3.8415
CACNA1A	0.0035
ABI1	0.462166666666667
GRIN2D	0.833
SLC1A4	0.253
LOC401127	-0.8625
HINT2	0.3355
PLD4	1.56683333333333
ZNF286A	-0.89975
ENY2	-0.947
IL1F6	-0.3735
PXDNL	1.824
C20orf79	0.10425
TNFSF13B	1.441
DENND3	0.415375
JARID1D	-4.00025
HIST1H2AK	0.469
LOC93349	0.7587
SSH1	-1.0261
ENSA	0.605
LOC219854	0.576166666666667
CKAP2	-1.9228
DKFZP564J102	-0.349333333333333
MGC87315	1.09283333333333
HNRPAB	-0.45475
AMH	-2.78
ZNF526	0.501
BRUNOL5	-0.6158
CACNG3	0.0713333333333333
TRPM1	-2.4145
PPP2R1A	0.083875
COL2A1	-2.4095
DDN	-0.577833333333333
FLJ25770	1.48958333333333
HK2	-0.942642857142857
ELOVL6	-2.053125
MDK	-2.045
EPHX1	0.78175
RASSF2	0.140375
DKFZP434B0335	0.53925
DLX3	0.15025
PRTN3	-0.7515
AVPR1A	0.0575
C21orf125	-2.703
TNFAIP8	-0.857166666666667
GNB2L1	-0.1905
CALCRL	3.06125
SCGB2A2	7.34783333333333
UBXD7	0.285
ZNF674	-0.2615
TMEM35	-0.627875
BRSK2	-1.102125
HECTD3	0.2695
TMEM188	-0.75625
LGALS9	1.88175
SCARB2	0.777333333333333
USP34	-0.10925
C17orf28	1.67075
ZDHHC23	-1.1375
AQP12B	0.011
SLC16A3	-2.73525
APLP2	0.62075
ITIH2	-5.19325
MICAL3	-0.990375
TNNI3K	0.7769
HDAC2	-0.366
PRR7	-0.989
THBS2	-1.253
LOC751071	-0.228666666666667
CA2	2.86183333333333
RANBP17	-0.946
RLN3	0.00975
CRYZ	0.81
GBAS	0.3975
TAS1R1	-0.76
MPZL3	-0.2635
PCDH8	0.50375
HSP90B1	-0.344333333333333
KCNK15	1.072
TNIP2	1.0455
GPR146	0.01675
NOL6	0.106
SPC25	-3.99322222222222
STEAP2	3.48692857142857
VAMP3	-0.0333333333333333
TCIRG1	0.1955
ZP4	-0.097
PARL	0.077125
TRIM39	0.560833333333333
KIAA1305	1.19525
CRNN	0.174333333333333
GRN	0.421
HSH2D	1.4685
SCAMP1	1.2529375
KIAA1913	-1.45
PTS	-0.98975
BANP	0.279642857142857
PRKACG	0.01775
ADCY6	1.45783333333333
C16orf46	0.9055
CYP51A1	-0.220125
DDC	-5.648
ANPEP	0.892333333333333
PROM1	-0.5775
SIGLEC10	2.5495
COPG	0.417
FAM26E	0.39125
TRIP4	0.4325
SNX3	-0.124833333333333
C1orf175	0.203666666666667
PPY2	0.0305
C14orf152	0.292
FTSJ1	-0.592833333333333
DST	-0.3314
LOC554235	-0.15475
GLRX5	-0.339
C20orf12	1.6751
CAB39	-0.204666666666667
MSH2	-1.321
PIP4K2C	0.76425
CYLD	0.9675
WTAP	0.2385
MGAT4A	1.22866666666667
TSC22D4	0.1027
CHRM2	-1.548
PPYR1	-0.2805
CCNH	-0.0233333333333333
RRM1	-1.196
ECAT8	-4.1575
LOC400120	-0.39475
GABRA4	-0.189285714285714
C14orf4	1.66216666666667
C1orf59	-0.04775
CTDSPL	1.10741666666667
NHEDC2	-2.1765
PDE11A	-0.2710625
KLHL29	-2.51175
CD5	-1.6763
TSPAN9	1.8525625
WDR67	-1.6245
THUMPD1	1.0489
C18orf17	1.00525
CLYBL	-1.00683333333333
FLJ13231	-0.014125
CMBL	1.29975
LECT2	-0.60575
NKAPL	1.80533333333333
LOC654780	-0.1225
OR4C6	0.2465
RAB30	3.4335
TSSK4	0.1415
TMEM163	-1.1035
OSBPL11	0.0916666666666667
GNB5	-1.48516666666667
CCL21	0.234
C1orf121	-0.457
FMO2	2.6985
RPTN	-1.061
MSTN	-0.1005
VCL	-0.361571428571429
FYTTD1	0.00475
C11orf1	0.4165
CCDC88C	1.181
HFE	0.687055555555556
MOGAT1	0.176
FAM125B	0.359
IRGQ	0.0235
RAVER2	-0.27375
AKAP5	0.3735
SSSCA1	-0.91675
C11orf63	0.6975
ACTG2	-0.5708
PORCN	-0.664
DTL	-2.31045454545455
TMEM151	0.18575
FAM122C	-0.18575
RSAD2	1.7279
BAT4	-0.0895
KRTDAP	-1.71
MYH8	-0.566
CRTC3	0.87325
LRRFIP2	0.8496
INTS4	-0.760666666666667
TTN	-1.5204
SLC26A5	1.7655
PLLP	-0.3215
RGS6	-0.637
SRGAP3	1.0125
ZNF525	0.227
NBR2	0.1025
C13orf1	-0.3736
ZNF137	0.3635
CEP27	-1.529
BEST2	-0.541
RNF121	-0.77825
DMRTC2	0.52425
C8orf76	-0.7305
BCCIP	0.52725
MEST	-1.6665
HTRA2	0.019
ANGPTL2	-0.77275
ILKAP	-0.266333333333333
ERAS	-0.361
HBS1L	-0.453
CPA5	-0.246
TMEM30A	0.351833333333333
CD300LF	1.294
WISP3	-0.6555
CRK	0.626785714285714
PDS5A	-0.2114
BRPF3	0.3855
NEDD9	0.1185
SMPDL3B	2.10025
PSG6	-1.5965
PSMD13	0.46475
ETV5	-1.72725
OR51A4	0.177
BTBD7	1.0245
GSTO1	-1.27525
hCG_16001	-0.4965
MAD2L1BP	-0.2015
COX6A2	0.819
SCNN1A	2.91383333333333
LSM1	-0.0295
UGT2B11	4.35525
IDUA	0.53725
PPP2R3C	-1.17216666666667
COX11	-1.32733333333333
PDZK1	2.59525
ZNF443	0.810333333333333
MGC21874	1.86
ZNF323	0.9886
KRTAP10-10	0.15
CXCL6	-0.32575
SLC34A2	0.6552
LOC284402	0.186
NPTN	0.777166666666667
UPP1	-3.12375
SLC6A9	0.966
OR7G3	-0.02
