Hybridization REF	TCGA-BH-A0DG-01A-21R-A12P-07
FLJ25770	0.905416666666667
HK2	-1.04771428571429
ELOVL6	-0.688
MDK	-0.40825
EPHX1	0.62225
RASSF2	0.926125
DKFZP434B0335	-0.2885
DLX3	1.011875
PRTN3	-0.9585
AVPR1A	1.321
C21orf125	-1.2185
TNFAIP8	-0.128166666666667
GNB2L1	-0.60675
CALCRL	3.401
SCGB2A2	8.195
UBXD7	-0.00849999999999998
ZNF674	-0.2395
TMEM35	0.259625
BRSK2	-0.9585
HECTD3	-0.186666666666667
TMEM188	-0.11925
LGALS9	3.00375
SCARB2	0.97825
USP34	-0.215416666666667
C17orf28	3.7935
ZDHHC23	-0.57975
AQP12B	-0.254
SLC16A3	-2.114375
APLP2	0.04225
ITIH2	-5.035
MICAL3	-0.519625
TNNI3K	0.4421
HDAC2	0.021375
PRR7	-0.8107
THBS2	1.698875
LOC751071	-1.16316666666667
CA2	-0.538666666666667
RANBP17	0.89525
RLN3	0.024
CRYZ	-0.784
GBAS	-0.0936666666666667
TAS1R1	-0.4955
MPZL3	0.8685
PCDH8	-0.42375
HSP90B1	-0.967083333333334
KCNK15	0.815
TNIP2	0.06
GPR146	0.28325
NOL6	-0.423
SPC25	-2.69977777777778
STEAP2	1.17078571428571
VAMP3	-0.336666666666667
TCIRG1	0.67775
ZP4	0.207666666666667
PARL	-0.000624999999999987
TRIM39	-0.156166666666667
KIAA1305	1.291
CRNN	0.0781666666666667
GRN	0.44975
HSH2D	-0.11275
SCAMP1	0.283375
KIAA1913	1.10775
PTS	-0.55025
BANP	-0.296928571428571
PRKACG	0.0715
ADCY6	-0.189166666666667
C16orf46	0.168
CYP51A1	0.537125
DDC	-5.4565
ANPEP	-0.006
PROM1	0.867666666666667
SIGLEC10	2.9005
COPG	0.917
FAM26E	2.3445
TRIP4	0.5345
SNX3	-0.147666666666667
C1orf175	0.569666666666667
PPY2	-0.0285000000000001
C14orf152	-0.09725
FTSJ1	-0.744333333333333
DST	0.738
LOC554235	0.373
GLRX5	0.033
C20orf12	0.0497
CAB39	0.214166666666667
MSH2	-1.62966666666667
PIP4K2C	1.166625
CYLD	0.72125
WTAP	0.68125
MGAT4A	1.876
TSC22D4	-0.2571
CHRM2	-1.267
PPYR1	0.0935
CCNH	-0.457833333333333
RRM1	-0.976
ECAT8	-3.255
LOC400120	-0.8645
GABRA4	-0.4145
C14orf4	1.48416666666667
C1orf59	-1.4385
CTDSPL	0.235416666666667
NHEDC2	-0.677
PDE11A	-0.735866666666667
KLHL29	-0.55525
CD5	-0.0559
TSPAN9	1.676875
WDR67	-1.25175
THUMPD1	0.3321
C18orf17	0.18475
CLYBL	0.170333333333333
FLJ13231	-0.34725
CMBL	1.174
LECT2	-0.19825
NKAPL	3.14666666666667
LOC654780	0.889
OR4C6	0.1755
RAB30	0.8235
TSSK4	-0.358
TMEM163	1.1165
OSBPL11	0.191833333333333
GNB5	-1.48783333333333
CCL21	2.6255
C1orf121	0.623833333333333
FMO2	2.12683333333333
RPTN	0.9895
MSTN	0.3455
VCL	-0.387071428571429
FYTTD1	-0.31875
C11orf1	-0.482
CCDC88C	1.104
HFE	-0.219111111111111
MOGAT1	-0.498
FAM125B	0.527
IRGQ	0.427
RAVER2	-0.4105
AKAP5	1.205
SSSCA1	0.27925
C11orf63	1.103
ACTG2	1.6373
PORCN	-1.16
DTL	-1.88509090909091
TMEM151	0.41975
FAM122C	-1.446
RSAD2	4.7709
BAT4	-0.1895
KRTDAP	-1.4815
MYH8	1.07125
CRTC3	0.337
LRRFIP2	0.0609
INTS4	1.1215
TTN	-1.91633333333333
SLC26A5	1.047
PLLP	-1.01025
RGS6	-0.61275
SRGAP3	0.237
ZNF525	0.043
NBR2	-0.3365
C13orf1	0.2978
ZNF137	0.258
CEP27	-1.76525
BEST2	0.014
RNF121	-0.10825
DMRTC2	0.166
C8orf76	-0.109
BCCIP	-0.291125
MEST	-1.01725
HTRA2	-0.3415
ANGPTL2	1.39175
ILKAP	-0.42
ERAS	-0.362
HBS1L	-0.581625
CPA5	0.109
TMEM30A	0.542833333333333
CD300LF	2.79983333333333
WISP3	2.711
CRK	0.726642857142857
PDS5A	-0.364
BRPF3	0.351333333333333
NEDD9	0.0305
SMPDL3B	0.919
PSG6	0.33025
PSMD13	-0.33225
ETV5	-1.048375
OR51A4	-0.239
BTBD7	0.934
GSTO1	-0.6285
hCG_16001	0.8625
MAD2L1BP	0.0331666666666667
COX6A2	1.2265
SCNN1A	1.13683333333333
LSM1	0.8485
UGT2B11	1.53925
IDUA	0.7625
PPP2R3C	-0.492166666666667
COX11	2.10283333333333
PDZK1	-1.1855
ZNF443	0.513333333333333
MGC21874	1.1695
ZNF323	1.0043
KRTAP10-10	0.1615
CXCL6	0.43325
SLC34A2	1.4793
LOC284402	-0.011
NPTN	0.848416666666667
UPP1	-1.66675
SLC6A9	-0.851
OR7G3	-0.1185
CISD1	-0.487833333333333
ZNF545	0.0248333333333333
SYT14	-1.052
NT5C3L	-0.649333333333333
ZNHIT3	-0.435666666666667
SNRPD3	-0.0475
KIAA0701	-0.2105
UNC93B1	0.323333333333333
GMNN	-1.80275
SPCS2	2.308
LOC388524	0.413
NAPRT1	-0.031375
PNLIPRP1	-0.0753333333333333
OR6V1	0.589
PRKAB1	-1.199
EYA4	-3.21816666666667
KIF20A	-2.1875
ALG10	0.28925
ITPKC	0.576166666666667
LMX1B	1.48816666666667
RPUSD4	-1.0705
C7orf34	-0.239666666666667
DLGAP2	0.519375
PFN1	-0.1808
MICALL2	-0.00841666666666665
ZNF654	-1.0165
SS18L1	-0.68025
SLC16A8	1.04125
MKI67IP	-0.453333333333333
ITGB3	-1.085
TCEA3	1.93208333333333
CEP152	-2.264
CLIP1	-0.06875
ZNF75	0.4325625
ATP5C1	-0.896166666666667
NUDT5	-0.597833333333333
PSCDBP	1.2985
UBP1	-0.54975
RBM27	0.278
C13orf15	2.446625
ZNF282	-0.320666666666667
ZNF222	0.5466
COL10A1	5.5965
PRDM15	-0.942
TTTY5	-0.41
FAM9C	-0.675333333333333
C20orf67	-0.105
GNG13	-0.6405
F12	-0.16525
C1orf41	-0.27925
CPXCR1	-0.109
GSK3A	0.123625
SUPT6H	-0.1405
PI16	2.43133333333333
ELL2	-1.09125
C9orf167	-1.691
PVRL3	-1.7791
FLJ38596	0.62875
ADAM20	0.2145
GPR89A	-0.287
GPR87	-0.2705
ZNF30	0.7915
SMR3B	0.3505
ZNF770	0.03225
TRPC4AP	-0.670833333333333
DKFZP686E2158	0.636166666666667
C2orf28	-0.0226666666666667
FREM1	-0.716833333333333
LAMA4	1.10516666666667
ADPRHL2	0.44075
EIF4G2	0.192
GUCA1A	-0.582
CTNNA2	-1.431625
NUDT15	-0.510333333333333
CEPT1	-0.352333333333333
ZNFX1	1.1857
CCDC92	1.236
TDRD1	-2.434
KCNK5	-2.578
ETNK1	-0.295666666666667
LTA	0.499
TTPA	-0.108166666666667
B3GALNT2	0.396375
SC65	-1.04883333333333
PEX5L	-2.566125
EPS15L1	-0.13325
MGEA5	0.124125
HIST1H3A	1.33825
ING1	0.54
BCAT1	-2.7245
ORC6L	-2.875
KLK11	-1.5085
C19orf28	-1.045125
DNER	-4.31175
MED22	-0.931214285714286
ETV6	1.04183333333333
CHAC2	-1.30875
CD300E	0.579
CEBPB	-0.433916666666667
ZNF398	-0.13925
LRCH3	-0.4025
HMGA1	-0.91
CAPN7	0.0503333333333333
MGC5566	-3.19425
CCL3	2.876625
NANOS1	-0.39475
ZFYVE19	-0.20975
APITD1	-1.19416666666667
PARD3	0.40525
IRAK4	0.043
SERPINI2	0.28
CEP170L	-0.55
TTC9	2.295875
MYOM3	-1.4385
MLPH	1.446
LOC222699	-0.2665
NRG1	-0.175666666666667
TBC1D9	3.59627272727273
TTK	-2.17216666666667
ZNF557	1.0091
DDX41	-0.360166666666667
FANK1	1.8375
UBE2D2	0.0725
PSMB10	0.93225
MYH7B	0.1505
GABARAPL2	0.36375
MARVELD2	1.96716666666667
DGCR2	0.942166666666667
UNC45A	0.1415
C6orf72	0.479
ZNF683	4.9315
GIT2	0.082125
CASK	0.818833333333333
C14orf161	4.62416666666667
LRRC44	1.1435
TIFA	-0.119
UTP11L	-0.143125
C6orf65	-0.6695
FDPS	0.83075
DUSP9	-1.8719
SLC17A8	0.5504
OR51G1	0.473
NANS	0.691
OLFML1	2.041
ATP10B	-1.57928571428571
NPAS3	0.35225
PRKCA	-1.9418
GGA2	-0.624875
LCE4A	0.372
SPANXN3	1.151
CCDC115	0.984375
SDCCAG3	-1.00175
GLIPR1L1	-0.33875
TTC1	-0.54525
C17orf76	1.281
MAD2L2	-1.6255
HIPK1	-0.4818
LRRC3B	0.710666666666667
CLN3	0.185954545454546
C17orf47	0.159
FMN2	-2.615625
TUBB1	-1.99525
WAPAL	-0.172666666666667
C3orf21	-0.55875
SCN5A	-0.2736
SMYD1	0.86875
BEX5	2.22025
ZNF192	-0.3305
SEC22A	0.208333333333333
GRIA2	1.9885
KIAA0825	-1.69575
NUSAP1	-2.15190909090909
LANCL1	-0.659625
C15orf40	-0.9989
ZNF645	0.18575
GPR61	-0.07325
NLRP14	0.215
SNX21	-0.393
C1QTNF8	0.0675
C17orf46	-0.0425
IFNA8	-1.522
SPRR1B	-1.1315
FLRT1	-0.76825
SNX17	-0.644666666666667
ASB2	0.162333333333333
HBG1	-4.7025
RPRML	-2.028
JOSD2	0.560833333333333
PLSCR3	0.5695
SPOCD1	-0.109833333333333
RAB39	-0.1135
GHRH	1.137
ITIH5L	0.59325
C17orf37	-0.13025
SMCR8	0.93925
DPY19L2P3	-0.2165
IL11RA	0.6825
GDF3	-3.73516666666667
RPS6KB1	1.32541666666667
DNAJC19	0.185
TOP1	-0.466
CRCT1	-0.196375
MPST	0.36425
DPM2	0.170875
FAM38B	-1.37333333333333
SLC18A1	-3.21183333333333
FARP1	0.598166666666667
PAX7	-0.15
TUBD1	1.889
GNL3	-1.095
BTG2	3.14126666666667
NDUFS6	-0.32325
C1orf79	-1.9
ERAL1	-0.2085
ECHS1	0.78125
VPS4A	-0.00983333333333333
CYP11A1	-0.078125
ABCC6	-2.30071428571429
PBX4	-1.5475
MOSC1	0.461875
NCF4	0.725
HYMAI	0.813
NAGPA	-0.44625
OTOP2	0.357
ACOT12	-0.115
MTHFD2L	-0.38425
LOC441376	1.76075
C19orf34	-0.3835
RAB1B	0.2595
ALDOAP2	-1.132
NTRK1	-1.40466666666667
ARTS-1	0.7085
SLC6A11	-1.4325
NAP1L2	1.11275
CNGB1	-0.056
EPB41L4B	0.791166666666667
FAM134B	3.71425
HS3ST3A1	-0.678
CPXM2	5.30225
SIRPB2	0.5235
CHORDC1	-1.11316666666667
TRIB3	-0.504333333333333
SLC2A5	0.5325
C2orf49	-0.000333333333333352
DDX5	0.619
OR5L1	0.232
ANAPC4	-0.326833333333333
ZSWIM1	0.14075
LOC93622	-0.17725
KCNK3	-0.1562
RP11-35N6.1	-0.776
ZFP161	0.346833333333333
AQP9	4.14925
SLC15A2	0.3255
MREG	0.769666666666667
OR9I1	0.31
PDLIM2	0.151125
ADAM7	0.5525
GSTCD	-0.649
WDR21A	-0.248375
SLC12A8	1.59016666666667
TMEM174	0.11525
IGSF3	-0.4615
LRRN1	1.06575
LOC402117	-0.80175
SRPK1	-1.29333333333333
LY6K	-2.410375
NFIA	2.483
PTCD3	-0.638125
LEP	3.52766666666667
PCDH21	-0.649166666666667
MAPKAPK2	0.885214285714286
NMNAT1	-1.09683333333333
LHFPL2	0.76075
C9orf43	0.2705
DIP2A	-0.593666666666667
ACTR8	-0.598
CCDC34	-0.7835
PTPN22	-0.60775
ITGA3	0.517
FAM129C	2.16075
RABGGTA	0.486666666666667
UNC45B	0.88325
KIAA1033	0.05275
ZNF510	0.2455
CYP2D6	-0.699166666666667
SLC26A10	-1.4055
STX8	0.0255
LUZP1	-0.224875
WDR89	0.2095
EIF4G3	-0.8234
C5AR1	1.521375
ZNF623	-0.0255
A2M	0.65225
TGM7	0.3065
GRPEL1	-0.3815
LMNB2	-1.5073
ROCK2	-0.316
SNX16	0.506375
CCDC66	-0.69125
ANXA3	0.47
KIAA1609	-0.0075
EED	0.04525
RNF32	-0.908
HES1	1.0073
CLC	0.1618
ISL1	-1.21466666666667
KIAA0528	-0.494375
MANEA	0.23175
C1orf61	-2.407
hCG_2001000	0.99225
RAPGEF6	-0.1631
KIAA0020	-0.678166666666667
NEIL1	0.1675
C16orf45	0.00212500000000001
RBM10	-0.3155
C10orf125	-0.619875
MRS2L	-0.5085
DNAH17	-0.767875
C19orf10	-0.48575
C1orf160	0.0325
SLFN12	1.3
EXOC3	-0.4305
HIST3H3	1.5725
NCOR2	0.389
TNFRSF9	0.329
MFSD8	0.93675
ALX1	-4.2056
NOL1	-0.76925
PODN	3.0075
TIAL1	-1.056
HIST1H1E	0.34275
NPY6R	0.0805
TM4SF4	-0.27025
CORO2A	0.18975
ETNK2	-0.599
APOE	1.7206
ANGPT4	0.206
HDGF2	-0.317
G30	-0.383
ST8SIA4	0.074625
F2RL1	-0.34325
FAM19A4	-2.87475
CCAR1	-0.06
B3GNT7	0.335
OPHN1	-0.2324
DSCR6	-0.6845
C21orf13	0.609833333333333
GAS2L1	0.639833333333333
RFX3	-0.0723333333333333
COPS4	0.0465
BCHE	-4.19666666666667
BCL2	1.75
HBZ	-2.85083333333333
ARL13B	-0.09775
MAPBPIP	1.1985
MYO15B	0.57125
SPZ1	1.08666666666667
KIAA1324	2.212
PLCL2	0.076875
C4orf29	-1.13475
WDFY2	-0.315625
ZNF284	-0.2645
NAALADL1	0.5785
DUSP5	0.947833333333333
PXDN	1.097125
SLMO1	0.15825
TNXB	0.7452
BIRC7	-0.9915
A4GALT	0.669833333333333
TIMM22	0.00925
FAM110C	2.26225
TOMM34	-1.394625
ABHD9	0.3735
ADAM32	3.362
CRHBP	0.72125
AQP2	0.44325
LOC130355	1.053
ZNF187	0.488833333333333
ZNF816A	2.258
F7	0.49075
CNOT1	-0.5073
SLC13A4	0.05075
ZBTB11	-0.6025
B3GALT5	1.14975
EXOC2	0.0335
IRS1	0.6304
TMEM1	-0.279166666666667
MRPL34	-0.391
SAMM50	-0.74025
CDC42EP3	-0.03
HSF2	-0.6862
MFN2	0.54775
TSPAN7	-1.23216666666667
NUCB1	0.669083333333333
RHOH	2.11775
ARL16	-1.0315
TACR1	-0.223
SFRS5	-0.145
SNX25	0.489875
RHBDF1	0.351333333333333
PCDH18	2.59583333333333
HMG1L1	-0.37025
MYO5C	1.29525
MAPK10	0.9645
LDHAL6A	-0.6805
NUDT12	0.511333333333333
NCAM1	-0.52875
GLIS2	1.1585
GGTL4	-0.4515
DAPP1	0.0105
ATF7	0.66275
KIAA0748	-0.45675
NFIL3	-1.07525
TM6SF1	0.8134
SEZ6	-0.20125
NANOS3	-0.109666666666667
DNAJA3	-0.943
CLDN6	-2.788
CIITA	3.0951
EPHA4	-0.68125
FANCC	0.08375
CMTM3	1.1665
PSG3	-0.49175
MRPL15	-0.53725
C21orf59	0.16775
PLCXD2	-0.14975
C2orf34	-0.14675
UBE2L6	1.814375
MED14	-0.356833333333333
HP1BP3	-0.3383
C6orf208	0.149
TPBG	0.75325
OSR2	0.26625
XPC	-0.699333333333333
KLHL7	-1.34658333333333
CCR3	-0.7392
AGTPBP1	-1.19866666666667
PCSK6	0.540466666666667
STAT5A	-1.4725
FAM18B	0.518
LONRF2	-1.74683333333333
PTPN2	-0.289625
SF3A3	-0.815333333333333
EFCBP2	-0.77575
HCFC1	-0.4785
AHNAK	0.4329
ACTR5	-0.1225
KIF14	-1.73085714285714
TENC1	0.90825
HEATR5B	0.6535
YIPF2	0.569
MYEOV2	0.8854
DUSP18	1.544
KIAA1012	0.08625
AHR	-0.309833333333333
C17orf53	-1.727
PTPRH	-2.51375
ATP6V1C1	-0.4268
TAS2R3	0.5805
LOC440356	-2.16475
COQ10B	0.5405
PSMF1	0.452166666666667
SORBS2	2.648
NFE2L2	-0.147
TMCO7	-0.3325
SH3PXD2A	0.5805
SH2D2A	-0.70825
SPINK5	-2.04375
MRPS24	-0.374
OPA3	0.346
TRAF7	-0.442333333333333
C4orf35	0.1474
MT1G	-0.80225
MGC39545	0.35
HS1BP3	0.6058
OR2B2	0.135
CHRM4	0.381
SFRP2	4.01425
RIC3	-0.1
ART1	1.0515
C6orf1	0.451
DUS4L	-1.095
C10orf104	-0.206
TNFAIP6	3.29625
RTEL1	-0.39175
CCT4	-1.1208
ZNF709	-0.00800000000000001
CHMP6	0.35
UPP2	-0.40525
CYP19A1	-1.76985714285714
CD151	-0.6915
NDUFA13	0.491833333333333
ARFRP1	-0.5365
FAM26B	2.05475
CRYBA1	-2.1015
MRPL41	0.684666666666667
NPFFR2	-0.25825
HRH2	0.011
SCAMP3	0.5035
MTMR6	1.2179
MTG1	-0.594333333333333
UBTD1	1.46975
CRABP1	-1.6715
FLJ33790	2.0869
KIAA1908	-0.671166666666667
GPR158	-2.436
PACSIN3	0.091
OMD	4.62233333333333
CATSPER1	-0.612666666666667
HOXB8	-1.229125
FBXO46	0.6355
OAS1	1.935
SVIL	0.5975
PHB2	-0.4165
ADCY3	-0.6175
NDRG2	1.33783333333333
ERMAP	-0.0145
APBA2	-0.804
IGSF9	2.957
WNT6	0.0427857142857143
MYCBPAP	-0.126
ATP2B2	-0.7968
CPVL	-0.4813
TRAM2	-0.354916666666667
NOP5/NOP58	-0.746
ZNRF4	-0.27625
TLK1	-0.043125
MTMR12	0.239428571428571
ZNF384	-0.136166666666667
FAM9B	-3.25825
RPN1	0.379
PMVK	1.018
EIF3D	-0.2911
SIX2	0.2215
HPS1	0.708571428571429
RNF7	0.25225
PSKH2	0.6045
KCTD13	-0.4445
CSMD3	-0.8449
FBF1	-0.735
IL8	-4.836375
SERPINB13	0.4875
FBXL20	-0.748
BLR1	0.47675
SH2B1	-1.01266666666667
RFNG	-0.344375
RAB20	0.88
RBM7	-0.6865
POLR1A	-0.377166666666667
TMPRSS4	-1.517
TAF9	-0.5765
TERF2	-0.167166666666667
TNFRSF1A	0.234166666666667
ACADVL	-0.781833333333333
GTF2H5	0.7165
EDG8	-0.251166666666667
C9orf140	-1.2535
UST6	-0.16725
ZBTB8OS	-0.558
ZNF710	0.767
GPR174	-1.3145
ATP6V0A2	0.1725
KIAA0319L	-0.45075
XKRX	-0.703
DOPEY2	1.5009
SDHD	-0.794583333333333
SUMF1	1.02725
OSM	2.044
OPN3	-0.93725
DAGLB	-0.106
PPFIBP1	0.8887
TRIM63	-2.92075
C10orf53	0.7075
LYPD3	0.543
BCL7A	-0.404625
AGER	-1.44416666666667
TCF19	-1.243125
SAT2	0.663
PFTK1	1.313
GABRE	-2.433375
C15orf38	1.1525
FIS1	0.11
KCNV2	-0.1325
CLPS	0.861
PPCDC	-0.942625
FOXN2	-0.0483333333333333
NT5E	-2.0772
CD83	0.83225
IL18	0.907625
VPS16	0.96425
IGFBP2	-1.536
NOTCH2	0.34675
SIGLEC1	3.6345
CD93	5.5505
SULF2	0.50725
CEP164	-0.611875
P53AIP1	0.561166666666667
TOR2A	0.0895
ZNF136	0.3085
MGP	3.2384
CCDC144A	0.557833333333333
TRPC1	-0.313333333333333
SMS	-0.998666666666667
MAPK7	0.00133333333333333
RRAGC	1.01475
PARD6A	0.841333333333333
NUB1	0.0245
SYNGR4	0.018
OR11H12	0.298
WIF1	1.980125
GCH1	0.666
OR11H4	0.0285
SLC44A5	0.805
GPRIN2	0.7445
LOC401431	-0.9665
CPA4	-3.0906
MELK	-1.78544444444444
IL15RA	0.538
CUL3	0.32025
HMBOX1	-0.20575
PODXL	-1.467
CCT6B	0.975166666666667
COMTD1	-0.52525
MUC20	-0.266
GPX2	-2.8435
ITK	-0.538125
FBXL5	1.36775
C13orf27	-0.992
DEFA5	0.76
TRHDE	-0.6555
MTP18	-1.06
UQCRQ	0.7698
ITGB2	1.66783333333333
CSRP2BP	0.10175
TAS2R44	0.4585
PHPT1	0.671875
FAM44C	-0.323
ERH	1.05825
MPHOSPH1	-2.1055
MORC1	-0.93
PARVB	-1.0625
LAMA1	-1.93516666666667
PGBD3	0.1065
GIMAP6	4.57
AREG	0.100166666666667
LIPT1	-0.04425
MGC99813	-0.82525
C1orf201	-0.357666666666667
GRIN2A	-1.084
MAN2C1	-0.886125
NSUN5	-0.80225
SF3B5	0.36125
MYC	-2.1519375
NRXN1	0.0668333333333333
ZNF18	0.51775
SPDYA	-1.003875
SLC37A1	1.555
DECR2	0.19025
ANKRD38	1.480375
SPTLC3	-1.062
SUPT16H	-0.52375
DTWD2	0.69775
ULBP1	-1.2205
ZADH1	-0.328333333333333
OIP5	-1.88425
IL10RB	0.229666666666667
OTUB2	0.237625
VWA3A	0.414666666666667
SPIC	1.10433333333333
OR6C4	-0.043
PSCD4	1.5185
DPY19L2P2	-1.4415
TRAPPC6A	0.760666666666667
C21orf2	-0.844166666666667
CEMP1	0.098
LIN7B	-0.252
E2F7	-2.01233333333333
VCP	-0.202625
LAMA3	0.23825
BGN	2.4035
GPR160	1.77533333333333
COCH	-3.651
GPR81	2.127
APOBEC3F	-1.38375
tcag7.1017	-0.4605
C1orf32	0.5495
SCGB1D2	5.7395
FLJ43987	-1.341
C6orf170	0.4415
KLK9	0.3995
GPD1L	1.35
VPS37B	0.47475
ATG3	-0.572833333333333
ADAMTS17	-0.2545
KLHDC2	0.0716666666666667
NDUFV2	-0.21525
BLK	-0.9685
MATN4	-1.3515
GPM6A	0.66325
GBP4	3.11016666666667
TMEM162	0.323166666666667
PKP2	-1.245
HRASLS	-0.896777777777778
MMP1	0.25625
SFXN3	-0.0357
FSD1	-2.14033333333333
ST6GALNAC3	0.00350000000000004
CA12	-0.1713
NCOA6	0.095
C19orf58	0.4325
PPP4R1	-0.404333333333333
MAN1A2	0.100833333333333
IKBKAP	-0.973
UPF1	0.0526666666666667
KIAA1219	-0.174
WNT16	0.3915
SNW1	-0.0855
IL18RAP	3.2845
RPP30	-0.586625
CDC40	-0.0195714285714286
SETD3	0.0451666666666667
SLAMF6	-0.085
ELK4	-0.055
TRIM47	1.70366666666667
ACOX3	1.99875
TRIM6	0.30775
KIAA0372	-0.612666666666667
TP53AP1	1.867625
SMURF2	1.18075
ADAD1	-0.17125
EBP	-0.3375
KRTAP13-2	0.22
FLJ36874	-1.51216666666667
TOR1A	0.255
P2RY4	0.623
GPBP1	0.23525
TRPV1	-0.2915
ADAMTS12	1.33616666666667
PES1	-0.4832
ATG4A	0.563166666666667
MAGEA10	-4.5675
WFS1	1.7605
CC2D1B	-0.4344
PABPN1	0.1605
SLC25A30	0.625
SLCO1C1	0.655333333333333
SLC22A5	1.433
KIF23	-2.19433333333333
SYN2	-0.431
ASPN	8.40166666666667
CENTG2	-0.2125
QSOX2	-1.9865
FLJ10815	0.565
STK24	-0.1561875
SPEG	-0.3684
STK10	0.139166666666667
DACT2	-0.362
AAAS	-0.57275
SSX3	-2.017875
ABCD3	0.3703
C4orf12	0.597
PARVG	1.44166666666667
FIG4	1.064
C9orf46	0.72375
TMCO6	-0.7165
IGHMBP2	-0.8235
DUS2L	-0.787333333333333
FAM3C	-0.5275
TMEM16D	-2.12025
DCTN4	0.395
KCNH3	-0.5315
EIF2AK2	0.8455
AP1S3	0.35075
CST4	1.9025
PAM	0.3623125
NUTF2	-0.1355
CITED2	-0.00179999999999998
SLC39A4	-0.12725
C2orf52	-1.4925
GRM3	-0.593
C12orf49	0.962
CCDC49	-1.0285
GRAMD1B	-1.50942857142857
FNDC4	0.455
SIAH2	-0.381625
GDPD4	0.02975
C21orf87	0.749125
ATP5A1	-0.5205
C16orf63	-0.5725
LOC388135	-0.234
ATP5J2	-0.202625
MMP3	0.82575
EMID2	-0.1055
CRHR1	0.39325
WDR70	-0.4945
C13orf31	2.40525
ZFAND1	-0.4375
CCL18	4.7675
C3orf49	0.1005
RINT1	-1.6945
KIAA0408	-1.78566666666667
F13A1	5.3308
SLC10A1	-0.0318333333333333
OGN	4.47475
GIPC2	-1.63216666666667
XPO6	-0.579833333333333
LCE1A	0.8515
FMR1	0.3123
LOC374920	-0.32275
DUSP3	-0.039
ANKMY1	-0.152
C7orf50	-0.337
BBS9	-0.3937
UNC119B	-0.559375
C9orf72	0.087875
MGC35440	0.1855
ENTPD6	0.475125
PPP1R2P9	1.63275
ERCC4	0.03075
FAHD2B	-0.6855
HMHA1	-0.3055
HACL1	-0.3945
RAD23A	-0.5865
FAM83B	2.0065
PPP5C	-0.942
RNASEH2C	0.065375
C9orf153	-1.60775
SCAMP4	0.392875
GHITM	0.0615
NDUFB7	0.505125
ADCYAP1	-0.2555
SP110	2.13433333333333
MAP3K7IP2	0.4095
DHH	0.0185
AGRN	0.579071428571429
WDR33	0.441166666666667
CEP290	-0.0528333333333333
PRPS1L1	-2.50216666666667
KLRA1	-0.906
GPR97	0.0555
CHD7	-0.6795
TLR10	2.38625
SLC30A8	0.301
HIC1	1.59083333333333
IAPP	-0.3835
RXFP4	0.26675
GP1BB	1.09075
SHQ1	-0.506
NKX2-3	-0.0171666666666666
API5	-0.35725
FTHP1	-0.1115
MOV10L1	1.37866666666667
TRIM6-TRIM34	2.3145
ADHFE1	0.173
FAM117A	-0.09975
DDI1	0.262
CDON	0.165666666666667
TRIM73	-1.5785
IGKC	5.0995
MMP14	-0.644916666666667
DYNC1LI1	-0.278125
C11orf66	0.037
TRBV3-1	-0.1745
FASTKD5	1.13925
BIVM	-0.83225
LHX4	0.77125
CXCL2	0.2576
RAB2B	-0.116833333333333
IZUMO1	-0.88925
MAP3K15	-2.401125
FAM19A2	0.0548333333333333
ZC3H8	0.266
ZMAT1	1.884
SPINK5L3	-3.35325
SLC10A6	-0.032
APPL2	0.00387500000000001
CARD10	-0.458166666666667
LOC402176	-0.1975
EEF1D	0.8517
RAB6A	0.864
C12orf5	-0.691125
PAPOLG	0.74925
MSRB2	1.04875
BCR	0.329944444444444
PUS3	-0.46175
TIAM2	1.0935
ZNF317	-0.313166666666667
CHD2	-0.276642857142857
FZD5	-1.0945
NUDT8	0.68175
ZNF763	0.129
PRC1	-1.69544444444444
ABCB9	0.0483333333333333
SPATA3	0.66525
TRAK2	0.852875
STAB1	3.141875
LRRTM2	0.0666666666666667
psiTPTE22	0.7905
DBI	0.88
SERPINA11	-0.8765
NAT5	0.227
C20orf58	-0.99675
RPS6KA4	0.236166666666667
FLJ90650	0.27675
TGFBRAP1	-0.172
CHRDL2	0.149375
FAHD2A	-0.672
CNTN1	1.38875
BBS4	-0.2196
TMEM181	-0.16975
MINPP1	-0.3895
MPHOSPH6	0.87125
HOXC10	2.284
ITPKB	0.372625
CLPTM1L	-0.171
MEOX2	1.00033333333333
ATP6V0C	0.713375
PRPF8	-0.104666666666667
TMC5	3.6125
FKBP3	0.16175
PLEKHB2	-0.064125
OR4D6	0.397
ZNF544	-1.1085
D2HGDH	-0.019375
RPL18A	0.1038
HEL308	-0.15675
MPP6	-2.31575
TCERG1	-1.66325
KRT16	-0.464666666666667
KLF17	-1.51725
KLF5	0.669375
CDR1	3.5035
VCX3A	-4.2045
FBLN2	2.583125
C14orf104	-0.66725
HBE1	-4.5955
OR4S2	0.199
C1orf108	-0.115833333333333
ROBO4	3.82033333333333
CPEB4	0.208
C11orf80	-0.721
BCKDHA	0.478666666666667
MYOC	2.57025
GIF	0.0105
CKMT1A	-1.4875
RPL3	0.43
THBS1	2.782625
APOO	-0.26425
ARMCX1	1.9055
HSZFP36	0.46725
SNAPC5	-0.3275
EIF4ENIF1	0.76625
ZNF433	0.38675
TNFRSF21	-0.808125
TMPRSS7	0.4175
SPATA18	0.7336
HPDL	-2.6635
MKL2	1.49
TBX3	0.702461538461538
