Hybridization REF	TCGA-BH-A1F0-11B-23R-A137-07
MKI67	-5.32575
GLS	0.269916666666667
C7orf54	-0.9654
LGALS13	0.106
IL4R	0.6945
SEC11A	0.243166666666667
SPP2	0.515833333333333
C18orf32	0.96575
CLSPN	-3.57633333333333
SPAG1	-0.929375
C9orf82	-0.208
TM4SF1	0.78075
EMILIN2	1.51775
SMG7	-0.3955
TAS2R13	0.5335
ZNF628	0.4805
DZIP1L	0.565
ANKRD13A	-0.3336
VASP	0.281
ZCCHC11	-0.6195
SYPL1	0.743375
MGC34774	0.125
C4orf28	0.964375
KIAA1211	-2.07991666666667
RPS27L	1.4795
TATDN3	0.364
PDCD1	0.96975
OR5P2	1.2305
IFIT1L	0.1415
MIPOL1	-0.29925
OR51D1	-0.291333333333333
C1orf92	-0.463
LAMP2	0.923222222222222
CAT	2.53333333333333
C16orf80	-0.10975
C15orf32	-0.693
ZNF746	-0.493
C1orf76	-0.817
ATXN1	0.53325
LAMC2	3.20775
SLC2A7	0.1665
CPOX	-2.08875
APH1B	1.70066666666667
LOC442245	-0.328
CTNND1	0.907944444444444
GABRG2	-0.363857142857143
MADCAM1	-0.0978333333333333
F5	-3.182
SEMA4F	-0.347333333333333
NUDCD3	-0.121875
PDZD11	-0.4735
TRIML1	1.448
GCNT3	-2.70216666666667
TMEM120A	1.219
CNDP1	-0.211
N4BP1	0.081625
SLC35F2	-2.29225
LCP1	-0.784083333333333
IGBP1	0.3532
DCAKD	0.638625
ELA2A	-0.303
C12orf56	-2.325375
PITRM1	-0.0304285714285714
GUK1	0.198166666666667
RASSF8	-0.3105625
OR2A14	0.3675
ADM	0.939111111111111
FGD3	1.03766666666667
GHRHR	0.342833333333333
RHPN2	-0.095
C4orf39	1.04433333333333
VPS72	-0.976
SERF2	0.569222222222222
CD22	0.111166666666667
CD47	0.834
PPIC	0.660666666666667
IMPDH1	-1.027
ACP6	-1.23966666666667
PRKACA	-0.171125
PPP1R1A	4.761875
TRPV3	0.229666666666667
ASXL1	-0.686
C17orf55	-0.349166666666667
FXYD1	3.60333333333333
LMOD2	-0.3905
ANKRD33	0.2745
LCE2C	-0.1915
ZNF620	-1.8625
DKFZP566E164	-0.4755
VSIG2	2.76175
KIAA1128	2.08275
USO1	0.351
NUDT4	0.222571428571429
CLDN1	1.64642857142857
OR4Q3	0.043
FASTK	-0.780833333333333
ICOS	0.8195
LDB1	-0.677
GSTA5	2.53525
ABCC1	-2.54316666666667
FAM54A	-4.10225
PCBP2	-0.0276666666666667
NUP205	-1.8335
ACTA1	-1.86266666666667
GABBR2	-1.89075
PIP5K1B	1.75516666666667
AGXT	-1.863
RNF181	0.2745
ATP8A2	1.336
AFTPH	1.03925
FGF21	0.4285
FCER1G	2.68575
SNTB1	-1.60025
SLC24A3	0.723125
TXNL4B	-1.3399
RPL10L	0.721833333333333
LOC389517	-1.273
TSGA13	0.0365
SHOX2	-0.8565
ITGA7	2.3579
KCNIP2	2.29133333333333
KLF13	-0.0276
ZFAND2A	0.1365
CEACAM1	0.854571428571429
PFKFB4	-2.79216666666667
MED19	-0.201
LRRC57	0.266
RNF11	1.23025
ANKRD32	-2.73125
P117	0.668
OBFC2A	0.626833333333333
POLD3	-0.942833333333333
RAB18	1.426125
TPH2	0.141333333333333
PHB	-0.3435
JDP2	2.572
MORF4L1	0.012
POU2F1	-1.06075
CNNM2	-1.06766666666667
LOXHD1	0.666333333333333
ZC3H15	-0.72225
ELK3	0.689166666666667
FAM111B	-4.38425
CBLC	2.59666666666667
SBNO1	-0.60325
ANKMY2	0.264
PLEKHA5	0.44725
DHX58	1.60933333333333
ARCN1	-0.783833333333333
TREML1	0.00680000000000002
KNCN	0.042
SEC24A	-0.742125
PSCA	-0.7
MGC24125	0.0325
DNA2L	-3.3415
CIB4	-0.07425
HIGD2A	-0.066
TBX6	-0.0501666666666667
TTLL5	-0.891166666666667
SGK3	0.9295
GCN1L1	-0.59425
AMOT	0.5476
LDOC1	-0.299
NRK	-0.458833333333333
ASB9	-1.4375
NAT1	1.5074
TRAFD1	-1.10125
PEAR1	1.12966666666667
FAM36A	-0.22275
OR1S2	0.738
LOC388323	-1.6825
PGS1	-0.518
LEPREL1	-1.3015
TFF1	-3.98325
HAP1	-0.57825
EPHB2	-1.044
ACTG1	0.0731666666666667
ZFP42	-1.25916666666667
HAVCR2	0.0314
NME1	-1.236
SNX26	-0.105416666666667
LACTB	0.144
ZKSCAN2	-0.509375
C5orf35	1.2325
ANKS3	-0.3425
RBM28	-1.30475
DKFZP586P0123	-1.185
HNRNPA1	0.3265
BCAS3	-1.44133333333333
FLJ20184	0.302
POLA2	-2.078
TMC7	-0.454166666666667
HSD17B6	-1.3095
ZNF658B	1.58066666666667
TTTY10	0.0644
RANBP9	-0.81175
CPNE7	-2.66816666666667
EVL	0.0386470588235294
LNX1	0.623666666666667
IFNA21	-0.0133333333333334
CFD	5.1825
PYCARD	0.537833333333333
MYBPC2	-1.621
ENPP3	-1.4305
ACSL4	-0.5005
LOC440258	-2.11966666666667
TMEM176B	4.2365
SOX2	-4.616875
SCO1	-0.132
COMT	0.2245
AOC2	0.1905
PDLIM5	0.634857142857143
SPHK2	0.316666666666667
NXPH2	1.4245
GPR108	0.415166666666667
RAD51L1	-0.148666666666667
TMEM54	-0.1775
LETMD1	0.154777777777778
SLC6A17	0.27825
KRT75	-0.589
STT3B	-1.59066666666667
CD3EAP	-1.1935
TMEM63A	0.17975
DUSP13	-2.66625
CD1C	-0.082
LASS2	-0.959666666666667
AVP	0.476
PITPNM1	-2.303375
FLJ22795	-1.398
MCTP1	-2.23275
TRIM68	1.35466666666667
UCK2	-1.84266666666667
ABHD1	1.8665
FAM50A	-0.50875
RNASEH1	-0.963333333333333
PCP2	0.645333333333333
OR52H1	-0.491
C20orf149	-0.419
RBP5	0.6475
HYAL3	-1.13875
CLPB	-1.1195
SMNDC1	-0.35775
DONSON	-2.98183333333333
FLJ27523	0.98275
BARHL2	0.5815
SLC30A9	0.367833333333333
TMPRSS11B	-0.470666666666667
E2F8	-3.72066666666667
CCDC25	0.217666666666667
C14orf48	0.1616
C20orf116	0.07475
TSPAN11	0.133
YIF1B	-1.44866666666667
FAM12B	0.21475
OR1L6	0.162
HPN	-0.9584
NBN	0.01325
C14orf94	-0.230666666666667
OCLM	-0.166
ZSCAN18	0.5602
L3MBTL	-1.2977
TSTA3	-0.186333333333333
RAC1	0.349
C19orf15	-0.406833333333333
NFE2	-4.26175
KLK14	0.368
ARSF	0.5205
MAST2	-0.8395
AMICA1	1.3455
GTF2A1	-0.2255
ATP1A3	-0.80225
TC2N	3.1734
PNKP	-0.324
ODZ2	1.177
MATR3	0.623375
S100P	-3.811625
KRT82	0.5225
CA13	0.8152
PROZ	-1.924
AASDH	-0.148625
C19orf40	-0.5515
DCK	-0.386461538461538
FAM5C	-1.41
SLC6A4	-1.037
MID1IP1	-0.24675
TESSP5	0.686
TMOD4	-0.263166666666667
DOCK2	-0.975833333333333
TUG1	-0.92975
NUP214	-0.8895
DPYSL2	1.11922727272727
GOLM1	0.059
MPFL	0.23825
SOX13	1.0035
SDCCAG8	1.0995
KEL	-2.2975
NUP210L	-2.58225
GK	-1.49025
DNAJB1	0.71775
ALPK3	0.5585
CHID1	0.7088
CYLC2	0.820166666666667
IKZF5	0.661
C8orf51	-0.571
PPM1J	-0.32825
GIMAP8	5.1535
GPR101	0.075
NR2F1	0.049
ACAD8	0.00425
RBM35A	0.0405
GNAI2	-0.642333333333333
METTL8	-0.5555
SLC39A7	-2.167
FBXO8	1.421
CAMK1	0.667
RFC3	-1.2015
FAM129A	1.97578571428571
ILF2	-1.4835
FGFBP3	0.140375
NOM1	-1.32233333333333
PSMA3	-0.1975
ASCC3	-0.2986
ZYG11A	-2.52925
SOX21	-1.40825
LYRM1	1.13225
DEFB1	4.7705
LOC91431	-2.6065
OR7C2	1.109
FAM46B	2.656875
TMEM18	0.650625
ARHGAP30	0.865
TMEM86A	1.86241666666667
EPHA2	0.141333333333333
C10orf46	0.77595
TCHH	-0.0691666666666667
C3orf30	0.281
LOC285636	-0.176166666666667
PAIP2	0.63
CYP2U1	0.740375
C12orf34	0.99475
SARS2	-0.912166666666666
ZCWPW1	1.44825
SAMD12	1.871125
KIAA1430	0.0395
ACAT1	0.232
MEOX1	3.948
ADAMDEC1	2.60825
PHKA2	-0.18975
CARD11	-1.15033333333333
CALML4	0.0335
TSSC1	-1.2645
TMEM45A	-0.428888888888889
MPP7	1.103
POU1F1	0.50925
SLC2A13	-1.5172
FBN2	-2.17161538461538
ZC3H7A	-0.2273
LAIR2	0.0335
ST3GAL1	-0.273166666666667
LCT	-2.80175
GEMIN8	0.785666666666667
KLF16	0.3847
HIF3A	1.1897
FAM44A	-0.615142857142857
AQP10	-1.1836
PLA2G2A	3.391
FOLH1	1.80183333333333
C20orf186	-0.155
MAPKAP1	-0.753625
SPRR2D	-1.1855
UBQLN4	-1.81666666666667
RSHL1	0.158666666666667
PIAS3	-0.3645
MRPL24	-0.2935
GREB1	-2.73275
FAM27E3	-1.033
NUP62CL	-1.29375
NEUROG3	0.571
REEP3	0.873
MARK1	1.55975
LMBRD1	1.74275
PRPF19	-2.26
PNMT	0.565833333333333
CTGLF1	-0.898
SLC25A16	1.092
EIF2B3	-0.936
RPA2	0.0095
PAK6	1.652
CCDC26	-4.135375
SEMA3E	2.814125
MXD4	0.802
TNFSF10	4.7695
SMARCB1	-1.01166666666667
DTX3L	0.847666666666667
PLA2G4E	-1.082
PPAP2A	2.9135
ULK1	-0.613333333333333
TAS1R3	0.2505
SLC2A3	-2.60218181818182
ARID3A	-2.0195
GNG5	-0.272
ACOX1	-0.4746
KIF5B	-0.51475
NUP153	-1.5245
MUC7	1.92
CSDE1	0.266785714285714
CLPTM1	-0.699
C3orf23	-0.358625
LRRC17	0.467
TTYH3	-1.69025
ATP5B	-1.247
ELF3	0.6833
CPSF3L	-0.6655
ZNF665	0.607166666666667
TLR6	0.799
GPI	-1.35775
RAD9A	-0.5705
NDST4	-3.6615
AGPAT3	-0.11175
MAGI3	0.366166666666667
ADORA2A	-0.622
CACNG7	-0.764
CAMK2D	-0.611928571428571
CCHCR1	-1.02825
RPS27A	0.5685
OR10G7	0.1625
GCM2	-0.103
FAM135B	0.9772
E2F1	-2.45125
PLCB3	-0.71725
OR2AE1	-0.3755
COIL	-0.424333333333333
CDC25C	-4.0115
RAB11FIP2	0.913416666666667
TSC2	0.03225
CTGLF5	-2.38
CCDC108	0.6519
OR13C4	-0.5275
C10orf81	6.54525
PTPRB	3.817
ACP2	-1.31
LAG3	-0.217
MRPL54	0.95925
LOC201175	0.967
ITGB1BP3	-1.708
SPTAN1	-0.214
SIPA1L2	-1.24525
RCAN2	-0.496
CDX2	0.5025
ECOP	-0.96
ACTR1A	0.4245
PPARG	3.64866666666667
BBS10	1.29033333333333
TMEM44	-1.11825
BPIL2	-0.55975
CITED1	1.4015
IRF6	3.5815
PRDM4	-0.0025
RRP9	-0.968
OR10H4	0.43575
IL31RA	-0.7035
GNB1L	-1.396
MYBL2	-3.397125
ZNF407	1.19316666666667
PPIG	-0.714833333333333
TTC18	3.285
RPSA	-0.612
MAPT	0.659
MRE11A	-0.432384615384615
C8orf37	-0.5255
RASGEF1C	0.342833333333333
STBD1	1.8435
CTAG2	-0.608666666666667
MGAT5B	-1.88183333333333
ECM1	0.323375
RLN1	2.081
PARP14	0.174
EPB41L1	1.2748
HOXA3	1.1515
MAGEA9	-3.67166666666667
RPS8	-0.0133333333333333
RPS19BP1	0.32475
FOXJ2	0.484125
C10orf76	0.397625
IL17RE	0.6275
C10orf65	0.66775
ZNF343	-0.3595
FBXO33	0.804
UHMK1	-0.5389
LY6G6C	1.25275
FGF19	-2.59625
C14orf128	1.56216666666667
IFIT2	1.8515
TIGD1	-0.25175
S100G	-0.3685
GUCY1B3	1.5795
NR3C1	0.5611
CORO1B	-0.507166666666667
PARP11	0.94275
DNALI1	3.57216666666667
OR4N4	0.00750000000000001
MAP2K6	0.682166666666667
FSTL4	-0.46975
ANKRD47	2.4405
TMEM171	-1.402
PNLIP	0.66125
YY1	-1.03616666666667
CCDC138	-1.98266666666667
AASDHPPT	-0.7798
CKS1B	-0.6298
MCM3	-1.7845
ANAPC7	-1.29733333333333
FAM110A	0.32
CDC37L1	2.417
THTPA	0.8565
NBPF20	-1.948
WDR24	-0.00474999999999999
NPTX2	-1.12
CBLB	0.965666666666667
CETN1	-0.217833333333333
RPUSD1	-0.503
FAF1	-0.605
CDK6	-2.3727
HMX2	0.098
CSK	-0.817333333333333
TEAD2	-0.54525
SNAP25	-0.427
TUFT1	0.2137
TMTC3	-0.171666666666667
LCK	-2.07925
SGOL1	-2.61283333333333
AKTIP	1.44875
FURIN	-0.47425
SOX12	-2.07366666666667
DEFB103A	1.1515
RAMP1	-0.0265
KIR3DX1	1.3975
GAS2L3	-2.1085
PDE8A	-0.6849
EDN3	5.61675
GMIP	0.35475
SF3A2	0.6585
FN3KRP	-0.476
SMAD7	0.39575
RHBDD2	0.49925
OR11H6	0.5195
PPP1R3B	1.6515
C9orf23	-0.108
CADPS	-2.0895
GOLGA8A	-2.393875
TMEM57	0.312166666666667
RGL3	-0.4385
S100A14	0.66525
FGFR2	1.86793333333333
XRCC3	-0.868
RTN4RL2	0.4545
MGC3771	0.6825
GH2	-0.100833333333333
BTBD2	-0.4685
LMO2	1.873
RDBP	-0.7655
ACRBP	-2.30075
AMY2A	3.51425
DUOXA1	1.237
PTK7	-0.338666666666667
TWF2	0.102333333333333
FAM80A	-1.3385
TNNI2	-2.19083333333333
GLT25D1	-1.39233333333333
OCC-1	-1.322
CYC1	-1.46716666666667
RPL22	0.878227272727273
MORN3	0.5975
DISP1	1.538
PRB2	-0.1315
CHUK	-0.456
HR	0.55725
CCDC134	-0.855125
DENND4B	-1.0885
C14orf130	-0.513125
RAB33A	-0.84
DCST2	0.635
TNMD	4.13325
PEX7	1.0065
FAM62A	0.7825
SRD5A2L	0.0775
IL22	-0.0613333333333333
RPS26	-1.89933333333333
HOXC5	0.223
SPATA6	1.74475
FLJ38482	0.33075
ZNF234	-0.072
C18orf22	0.801
SPATA22	2.621
THOC1	-1.2885
CYP7B1	4.254
KCNC3	0.517
C8orf42	-0.0845
ALDH1B1	-1.201
CCDC100	0.237
ARMC4	-1.59125
FAM18B2	-0.26925
SLC44A1	0.904625
FBXO17	-0.250833333333333
C6orf107	-0.99525
C19orf29	-0.37125
ZC3HAV1L	-0.1085
PARP6	0.0345
SULT2A1	-4.35775
C1orf159	-0.667
TMC1	0.135
CHST14	-0.36175
GAMT	-0.970666666666667
SMCP	0.412
TSPAN33	-0.093
MIDN	-0.25
NOX4	2.9485
RNASEN	-0.5995
TBX1	0.830333333333333
SALL2	-0.1165
C10orf35	1.28325
CYP2E1	-0.58575
LRFN2	-0.398666666666667
ACO1	0.847833333333333
IQCG	1.1143
MEGF9	1.835
TM7SF4	-0.04725
PLEKHA1	0.731333333333333
STK33	-2.34425
C1orf210	1.8135
SNUPN	0.3419
KIAA0406	-1.5116
C20orf29	0.26825
TMEM55B	0.12725
OSTM1	-0.132875
CLCN7	-0.7725
OTP	-0.23925
FLJ23049	-0.92525
HEATR4	0.7885
MAP3K10	0.536666666666667
PCDHGA9	0.7555
AMDHD2	-0.161
LCTL	-3.151
PDCD2L	-0.70075
CABLES2	-0.858
SLC5A9	-0.53925
CLCA2	3.65066666666667
MGC16025	0.172
STRAP	-0.8905
C20orf196	-0.9885
RRBP1	0.350166666666667
NAT13	-0.893
MAT2B	0.99675
CSNK1D	-1.22916666666667
KIR3DL1	0.157
PRKAG3	1.7055
ZNF599	-0.373
PRM3	0.765
PER2	1.56116666666667
ASPHD1	-2.424
PRMT6	-0.67425
KCNE1L	0.416857142857143
FAM118A	-1.21083333333333
TAF4	-0.691
NDUFB6	-0.00525
TRIM9	-0.673916666666667
PMFBP1	-1.27725
KY	2.4345
DKFZp762E1312	-5.11954545454545
CSMD1	-0.581
TBP	0.173
OR1Q1	0.037
RETNLB	0.14625
HPGD	0.659714285714286
DNAJC12	0.771666666666667
FKBP1B	-0.46875
ANKRD24	-0.332666666666667
CXXC5	-0.683833333333333
IL3	0.00312500000000002
DRAM	1.278
PTCH1	-0.370375
TP53BP1	-0.711
SLC17A7	-0.154125
COL25A1	-1.2146
AMACR	-0.9095
RHCG	0.61425
VPS13A	-0.716166666666667
FAM55D	2.1225
PRPF38B	-0.312833333333333
OSBPL6	-0.3095
PFDN5	1.5823
CMTM6	0.192625
KCNK12	-1.409
RP2	-0.06875
C16orf52	-0.695
PICK1	-0.158
IFNE1	-0.0316666666666667
SEMA4B	-0.44125
TYRO3	0.24625
OR12D2	0.5365
CSNK1A1	0.6306
FANCF	0.11525
LONP2	0.155125
TBL1Y	-1.00375
LDOC1L	0.102
CCNC	0.28725
C3orf60	0.09
CHKA	-0.95775
UBAP1	0.08425
MAP3K1	-0.361
ANKRD9	-0.5065
FAM92A1	-0.0698333333333333
GAB2	0.69875
AZU1	-0.787
DIS3	-0.059
C21orf109	-2.24575
IQCB1	-0.4315
SPATS2	-1.28533333333333
EFCAB3	-0.83025
PRB3	-0.010625
FUZ	0.102333333333333
ZNF813	-0.03575
BMPER	0.177666666666667
HEG1	0.056
ALS2CR11	-0.76975
SURF2	-0.003
PSMC1	-0.0335
OR2D2	0.1195
SLC7A8	1.32166666666667
C4orf40	0.494
SPATA7	1.28125
MAZ	-1.07675
PIN4	1.1245
PDE1A	0.639125
TAF6L	-0.5855
OR2T34	0.309
KIAA0284	0.069
ACADS	1.88018181818182
MKRN2	-1.095
C18orf56	-2.876
MS4A6E	0.7862
GALNT4	-0.4827
C22orf31	0.6185
FLJ36070	0.0465
PSME4	-0.494
TFG	-0.4216
EPHX2	1.577625
ANXA5	1.023625
KRTAP1-1	0.4363
BATF	1.771
KARS	-1.44325
MSTP9	0.3955
GPR26	-0.216428571428571
CCDC72	0.0225
TEF	1.60433333333333
FOXK1	-0.6598
PRLHR	0.0125
EMX1	0.725
C11orf30	-0.934
ICK	0.363625
THSD7B	0.58125
C21orf100	-1.055
DUOX1	2.077
EFCAB4B	-1.6265
UBE2G2	-1.23766666666667
C3orf54	1.401
PARP1	-2.15975
FAM60A	-1.43408333333333
C6orf146	1.638
OR9K2	0.377
DDX55	-1.72916666666667
RPS15	0.834583333333333
ZNF618	0.703125
DKFZp686D0972	1.4615
SSPO	-0.61
SHFM3P1	0.235666666666667
CPA6	-0.625
JAG2	1.6835
DEFA3	2.939
PPBPL2	-0.402
CD34	5.428
SLCO4A1	-2.232125
AFG3L1	-1.73
SHD	-0.8425
RP13-122B23.3	-1.42483333333333
PRKCSH	-1.497
DPH5	-0.048
HLA-F	2.834875
TBC1D4	0.45675
RIG	-0.466
GLUD1	-0.514166666666667
HNRPCL1	-0.774875
HBXIP	0.26925
RNF207	-0.8205
APIP	-0.1725
PLA2G3	-1.0965
CCDC84	-0.77625
MYLIP	-0.658692307692308
PHIP	0.24175
AARS2	-0.563833333333333
DHX32	0.27275
SCAPER	0.355666666666667
MEN1	-0.5755
NIP7	-0.78575
FLJ25404	0.358
FASTKD3	-0.30625
TMEM158	-2.858
RARA	1.166
BDH1	-0.3445
ANKRD16	0.16075
CARM1	0.276
SS18	0.181
IKZF2	-0.228416666666667
MYD88	-0.30075
PML	0.654
TAF1A	-0.674
CBFB	-1.038
HIST1H3H	-2.653
C7orf29	-1.5735
COMMD4	-0.458166666666667
DPP3	-2.02675
DAB2	2.051375
LOC388882	-0.5475
YPEL4	0.6425
AGBL3	0.83475
LRP6	-0.1421
SERPINH1	-0.72625
TLE1	0.0855
CD244	0.5625
ZDHHC15	0.0865
MGLL	2.1757
PLDN	-0.922333333333333
LOC654346	1.503
FAP	1.583
GPR37	-0.7395
SCARA5	4.088
EBF4	1.89281818181818
LSM6	0.64925
MLLT1	-0.4033125
SLC5A12	-0.696
A2BP1	-1.3085
COPS5	-0.0243333333333333
TPM4	-0.769428571428571
TNFSF4	-0.408166666666667
ACADSB	1.45922222222222
HERPUD1	0.821
BCL2L11	-1.06216666666667
CEP78	-1.901375
CDCA3	-2.791625
WBSCR19	0.8933
MYO1A	-1.7325
PPEF1	-1.17816666666667
LOC440348	-0.5795
CPEB2	0.48275
BPTF	-0.505833333333333
RPL21	1.2596875
GSX2	1.173
ADPRH	1.0665
C17orf68	-0.140833333333333
KCNS1	1.86466666666667
MLLT6	0.0918
PIWIL4	1.73475
RNF26	-0.53375
RAP1B	1.713625
ADAMTS1	0.5191
ZNF571	0.9585
P2RY6	-1.02325
TRIM21	1.19616666666667
CADM3	0.4175
NLRC5	0.645333333333333
ADRA2B	1.28816666666667
LOC90835	-1.0145
PCF11	-0.354
LOC400451	1.1035
GLTSCR1	0.2841
C17orf88	-0.719
CDH16	-1.41225
FGF7	3.589875
PCSK4	0.186
NPC1L1	-1.10733333333333
TAT	1.309875
TBCA	-0.64125
MGC33407	0.08975
GPR115	-2.001875
CYGB	0.9035
FNBP4	-0.787333333333333
C12orf43	-0.41625
CBL	-0.575
CLECL1	1.49125
PPAPDC1A	-3.02875
WDR25	-0.105166666666667
SGCA	3.4985
C22orf29	-0.5782
YIPF1	0.663
GALK2	-0.2535
RAB3B	-3.76966666666667
LOC440087	0.735
UCP1	1.28
REEP5	2.123375
FADD	-1.777
FOXA1	1.135125
CACNA1A	0.0423333333333334
ABI1	0.0641666666666667
GRIN2D	0.66475
SLC1A4	-1.5645
LOC401127	-1.73625
HINT2	0.814
PLD4	-0.0823333333333333
ZNF286A	-1.10575
ENY2	0.15925
IL1F6	0.3525
PXDNL	0.51475
C20orf79	0.107
TNFSF13B	2.80366666666667
DENND3	1.125875
JARID1D	-2.9295
HIST1H2AK	-0.676875
LOC93349	-0.5349
SSH1	-1.2341
ENSA	-2.09425
LOC219854	0.650166666666667
CKAP2	-2.6149
DKFZP564J102	1.837
MGC87315	-1.461
HNRPAB	-3.135
AMH	-1.607
ZNF526	0.3355
BRUNOL5	0.0459
CACNG3	0.1605
TRPM1	-2.448
PPP2R1A	0.4085
COL2A1	-0.559
DDN	0.0446666666666667
FLJ25770	1.66627272727273
HK2	-0.614428571428572
ELOVL6	-1.738875
MDK	-1.07875
EPHX1	1.06675
RASSF2	0.493375
DKFZP434B0335	-0.44875
DLX3	-0.181
PRTN3	-1.09625
AVPR1A	1.66125
C21orf125	-1.49525
TNFAIP8	1.3865
GNB2L1	-0.04
CALCRL	3.497
SCGB2A2	8.08783333333333
UBXD7	-0.49275
ZNF674	0.297
TMEM35	1.0765
BRSK2	-0.96325
HECTD3	-0.5
TMEM188	0.440333333333333
LGALS9	1.560625
SCARB2	0.545583333333333
USP34	-0.548833333333333
C17orf28	0.8
ZDHHC23	-0.832
AQP12B	1.171
SLC16A3	-3.27475
APLP2	0.194875
ITIH2	-3.27225
MICAL3	-0.07575
TNNI3K	1.883
HDAC2	0.37625
PRR7	-1.1695
THBS2	-0.882
LOC751071	-0.831
CA2	-0.269833333333333
RANBP17	-0.32175
RLN3	0.11825
CRYZ	0.456666666666667
GBAS	0.5595
TAS1R1	0.372
MPZL3	0.739
PCDH8	-1.33725
HSP90B1	-0.893916666666667
KCNK15	-0.824
TNIP2	-0.727
GPR146	2.82225
NOL6	-0.838125
SPC25	-5.689
STEAP2	2.61685714285714
VAMP3	0.892
TCIRG1	-0.41625
ZP4	-0.544833333333333
PARL	0.683875
TRIM39	0.196833333333333
KIAA1305	1.79
CRNN	0.282333333333333
GRN	-0.84125
HSH2D	-1.8455
SCAMP1	0.3370625
KIAA1913	1.02525
PTS	-0.448
BANP	-0.594714285714286
PRKACG	-0.411
ADCY6	0.562333333333333
C16orf46	0.0935
CYP51A1	-0.88675
DDC	-4.736
ANPEP	1.36766666666667
PROM1	3.24016666666667
SIGLEC10	1.47825
COPG	-0.3275
FAM26E	2.141375
TRIP4	0.551
SNX3	0.8875
C1orf175	1.04616666666667
PPY2	0.085
C14orf152	0.996
FTSJ1	-1.3465
DST	1.7546
LOC554235	0.349
GLRX5	-0.289
C20orf12	0.4852
CAB39	0.1535
MSH2	-1.2165
PIP4K2C	0.563125
CYLD	0.38325
WTAP	1.383625
MGAT4A	0.731444444444444
TSC22D4	-0.7086
CHRM2	-1.3125
PPYR1	0.356166666666667
CCNH	0.295333333333333
RRM1	-1.23525
ECAT8	-1.146
LOC400120	1.2205
GABRA4	0.928714285714286
C14orf4	2.556
C1orf59	-0.43
CTDSPL	0.950833333333333
NHEDC2	-0.436
PDE11A	0.6789375
KLHL29	1.94575
CD5	-0.7226
TSPAN9	1.5756875
WDR67	-1.72125
THUMPD1	0.347
C18orf17	-0.2655
CLYBL	1.00366666666667
FLJ13231	-0.5245
CMBL	-0.2165
LECT2	-0.2315
NKAPL	5.00633333333333
LOC654780	0.907
OR4C6	-0.666
RAB30	-0.7995
TSSK4	-1.6625
TMEM163	0.826
OSBPL11	0.563166666666667
GNB5	-1.05033333333333
CCL21	3.148
C1orf121	-0.157166666666667
FMO2	4.563
RPTN	0.0505
MSTN	1.4095
VCL	-0.153857142857143
FYTTD1	0.16875
C11orf1	1.135
CCDC88C	-0.4228125
HFE	-0.3925
MOGAT1	0.9605
FAM125B	0.562
IRGQ	-0.079
RAVER2	0.95975
AKAP5	-2.411
SSSCA1	-0.50925
C11orf63	0.637375
ACTG2	3.8288
PORCN	-0.877
DTL	-4.05536363636364
TMEM151	0.13675
FAM122C	-0.30725
RSAD2	1.8366
BAT4	-0.6235
KRTDAP	-0.722833333333333
MYH8	0.206625
CRTC3	0.8895
LRRFIP2	-0.1007
INTS4	-0.877333333333333
TTN	-0.653666666666667
SLC26A5	0.4735
PLLP	0.14
RGS6	1.233625
SRGAP3	1.066
ZNF525	-0.100666666666667
NBR2	0.0353333333333333
C13orf1	0.5289
ZNF137	-0.1505
CEP27	-1.703
BEST2	-0.0565
RNF121	-0.26225
DMRTC2	-0.52175
C8orf76	-0.5955
BCCIP	-0.2655
MEST	1.68825
HTRA2	-0.473
ANGPTL2	2.55275
ILKAP	-0.327833333333333
ERAS	-0.048
HBS1L	-0.5695
CPA5	-0.1815
TMEM30A	0.509333333333333
CD300LF	0.798166666666667
WISP3	4.09
CRK	0.0310714285714286
PDS5A	-0.3231
BRPF3	0.465666666666667
NEDD9	0.869
SMPDL3B	0.117
PSG6	-1.1065
PSMD13	-0.53175
ETV5	-0.5925
OR51A4	0.047
BTBD7	0.668666666666667
GSTO1	-1.291625
hCG_16001	1.7445
MAD2L1BP	-0.372333333333333
COX6A2	1.0175
SCNN1A	1.02483333333333
LSM1	0.226333333333333
UGT2B11	-0.34775
IDUA	0.58375
PPP2R3C	-0.0996666666666667
COX11	-0.594666666666667
PDZK1	-0.57675
ZNF443	-0.400166666666667
MGC21874	0.634833333333333
ZNF323	1.2757
KRTAP10-10	0.411
CXCL6	0.2775
SLC34A2	3.3863
LOC284402	0.549
NPTN	1.21866666666667
UPP1	-1.73733333333333
SLC6A9	-1.0055
OR7G3	0.15575
CISD1	-0.695833333333333
ZNF545	-0.298
SYT14	-0.3885
NT5C3L	-0.233833333333333
ZNHIT3	0.0925
SNRPD3	-0.352
KIAA0701	0.561875
UNC93B1	-0.448333333333333
GMNN	-0.828875
SPCS2	0.5455
LOC388524	0.5185
NAPRT1	0.12875
PNLIPRP1	0.40775
OR6V1	0.997
PRKAB1	-0.347
EYA4	-3.07866666666667
KIF20A	-4.64625
ALG10	-0.4415
ITPKC	1.54283333333333
LMX1B	-0.0316666666666666
RPUSD4	-0.0631666666666667
C7orf34	-0.3425
DLGAP2	0.381625
PFN1	-1.4275
MICALL2	-0.888
ZNF654	-1.1625
SS18L1	-1.067875
SLC16A8	1.259
MKI67IP	-0.0825
ITGB3	-0.866875
