Hybridization REF	TCGA-C8-A1HI-01A-11R-A137-07
KIAA0913	0.0395
ARX	0.950375
PPP3CB	0.5955
IRX6	0.058
ANGPTL4	-2.625
LSM14B	0.6192
PCDHGB7	0.441
INSM1	2.17775
WBP2NL	0.368
ZNF493	-0.7643125
NGEF	-0.84
RNASE13	-0.0165
SPPL2A	3.30266666666667
SFXN1	-0.3355
FAM102A	1.631375
SAPS2	-0.915333333333333
JTV1	-1.449
OR51B4	-1.2085
SCGB1A1	0.184833333333333
NEUROD2	0.312875
tAKR	0.04725
C1orf26	1.154
RICH2	0.20225
TEDDM1	0.96075
CYP2S1	-0.8215
TBCE	-0.0298333333333333
MAPK1	-1.123875
HDHD1A	1.0065
MRM1	-0.5875
ATP9A	-0.340142857142857
HSD17B3	-0.148
HN1L	0.704916666666667
RNF216	-0.572125
HOXD12	-0.278
PPP1R14B	-1.3655
SBF1	-0.89125
TAS2R42	0.381
USP46	0.387166666666667
LILRB3	2.37316666666667
SPI1	1.24975
OXSM	0.2515
GYS2	0.319833333333333
NUPL2	-0.52325
C8orf46	-1.16575
SF3A1	-0.24215
C21orf99	0.1955
HOXB4	0.473
YRDC	0.03575
GPRC5D	0.6375
BLVRA	-0.087
KIF12	3.415
LRRC23	0.4615
FAM14A	1.11466666666667
RASL12	1.18825
DAZAP2	1.47175
IKBKB	0.509
ZNF271	0.312666666666667
BOK	0.24675
CXorf6	-1.603
MYEOV	-0.99175
BTN2A2	-1.5648
FRG1	-0.4925
HSP90AB6P	0.32825
ENOX1	1.0335
ZNF706	0.5208
DOK1	2.3463
PGAP1	-0.13625
TMEM136	-1.05275
FSCN1	-2.5175
KIF17	0.85375
TRIM66	-0.357
CBR3	2.06533333333333
C13orf24	0.2445
C19orf52	0.06875
BNIP1	1.47275
AQP3	1.5865
KRT6C	1.1845
SIRPA	0.57425
IGFBP6	-0.072
PLEKHK1	-1.835375
RNASE7	0.667
ARHGEF15	0.00474999999999999
NPHS2	-0.3715
SRD5A1	-1.6925
REXO4	-0.595
EEF1DP3	0.43625
SLC37A2	-0.0555
ZNF142	0.66725
ANKHD1	-1.684
MUT	0.575
VPS37A	-0.57025
GPRIN1	-0.46975
SLC38A3	-1.286125
BAZ2B	1.233
WDR87	-0.265833333333333
BRD7	0.56425
POU6F2	-1.033
NISCH	0.93325
TCEB1	-0.0795
LINGO2	-0.8605
TAX1BP3	-0.226
RPL34	-0.554444444444445
MARK2	0.651833333333333
AKAP12	-1.9362
AMBN	-0.1425
SLC25A27	-1.25883333333333
FLJ21865	-0.325125
KIR2DS2	0.383666666666667
WDR77	-1.408
ATF2	-0.501666666666667
ITFG3	0.296
SLC39A13	0.6045
ARL6IP5	2.11025
C10orf137	-0.658125
QTRT1	-1.18416666666667
CCNT1	0.6635
DYNLL1	1.1557
WDR53	0.3925
LIPG	-0.892666666666667
ASAH3	0.916
HELB	-0.5075
PHACTR2	0.4145
VENTX	-0.2915
LAD1	1.26633333333333
PAOX	0.96
MAPK8	-0.5675
CCDC38	0.453666666666667
DNAJC8	-0.2687
RBBP8	-0.96325
WNT11	3.3996
KCNJ12	-1.47616666666667
HDAC8	-0.149666666666667
STARD4	-2.2835
ACVR1	1.07366666666667
C14orf65	0.384416666666667
KLB	-2.7875
C1orf65	-0.226
ZFYVE28	0.615125
NSUN6	0.1125
KIF27	0.206
SYTL2	0.0446666666666667
UBXD2	0.00150000000000001
OR6T1	0.239
CCDC91	-0.227214285714286
GRID2	0.237
CALN1	-1.176625
ZNF423	0.63975
PSMB4	0.151166666666667
XPNPEP3	-0.0991666666666667
ARPP-21	-3.3612
SART1	-0.097
RACGAP1P	-2.598
SPTA1	-5.50325
C6orf113	-0.2625
C7orf16	-3.0425
CHST7	0.00866666666666664
C21orf29	-0.379
SEMA6D	-0.4315
PCMTD1	2.3823125
KIAA1754	-0.787833333333333
MYCN	-0.89025
KCNJ3	2.67025
MAPK13	2.3814
ERO1LB	-1.001
NTF3	-0.970333333333333
NKX6-2	-0.96725
GTF2B	0.5445
GSPT1	0.0118333333333333
GUSB	-0.558833333333333
LOC221091	-0.904
LIG1	-0.94675
EXTL3	-0.580666666666667
NID2	-1.0525
TTC29	1.491
TMEM97	-1.617125
EXTL2	-1.09666666666667
SUZ12	-0.490125
IL1F8	0.4195
KRT18	1.00281818181818
MRPS16	-1.22133333333333
PI4K2B	0.1005
LACRT	2.3135
OR51F2	0.59
JMJD2C	-0.467875
KGFLP1	1.7075
CDK5RAP3	-0.5389
YTHDF2	0.981666666666667
GGCX	0.362375
ARPC4	0.78725
EGLN2	0.626
KBTBD4	0.556857142857143
ROBO3	-0.2688
DEFB118	-0.568
KIAA1543	1.46775
RTCD1	0.0758333333333333
MZF1	0.36
C18orf26	0.273
CNIH4	-0.444333333333333
ZFP2	2.3965
HTATSF1	0.755
WFDC2	2.260125
NDUFA7	-0.166
TTC22	0.582166666666667
FAM40B	-3.277
DCPS	-1.1735
SH2D1B	-0.815
MRGPRE	0.4385
SBK1	0.18275
UNQ6411	0.991
OSBPL9	-0.77875
NUP107	-1.4895
MYOZ3	-0.4738
PDE4B	-0.267166666666667
FAM113A	-0.631
IDH3G	0.277
FBXL7	-0.296875
ARFGAP3	-0.73575
MAPRE2	-0.461615384615385
IL1RN	-1.1773
KIF13A	-1.01425
RAC3	-0.868
TCTE1	-0.00950000000000001
TMEM14B	-0.619333333333333
ADIPOR1	1.32883333333333
GRINA	1.4505
CLIP4	0.50325
LRIT2	0.301
TFPI	-2.59242857142857
FABP6	2.65875
SLITRK2	-0.2731
HKR1	0.781
SMTN	-0.41925
C1orf75	-0.63125
CD209	-0.034875
CYB5R2	0.41875
DNTTIP2	-0.255
CSGlcA-T	0.747875
GABRB3	0.552
PCBD1	0.115
TAF3	-0.09125
HOXD3	1.4385
GIPC3	-0.445
P11	0.7627
BFSP1	0.35875
LCP2	0.0615
TAS2R8	0.4035
SEZ6L	0.594375
NR2C1	-1.846375
EXDL2	1.5257
TNFRSF13B	-1.83716666666667
MKI67	-3.275
GLS	0.15475
C7orf54	-1.287
LGALS13	-0.0335
IL4R	0.69175
SEC11A	-0.913
SPP2	0.230666666666667
C18orf32	0.9695
CLSPN	-2.25483333333333
SPAG1	1.7285
C9orf82	-0.00575
TM4SF1	0.05525
EMILIN2	0.0475
SMG7	1.427
TAS2R13	-0.02
ZNF628	0.1955
DZIP1L	-0.169666666666667
ANKRD13A	-0.6429
VASP	0.279125
ZCCHC11	-1.454
SYPL1	0.4315
MGC34774	-0.40775
C4orf28	-0.05525
KIAA1211	1.00933333333333
RPS27L	1.54025
TATDN3	0.27975
PDCD1	-0.32525
OR5P2	0.8255
IFIT1L	1.0375
MIPOL1	0.7875
OR51D1	0.44875
C1orf92	-0.127833333333333
LAMP2	1.32511111111111
CAT	0.3425
C16orf80	-0.51575
C15orf32	0.3595
ZNF746	0.44
C1orf76	-3.6975
ATXN1	0.7815
LAMC2	2.2585
SLC2A7	-0.0745
CPOX	-1.95475
APH1B	2.33383333333333
LOC442245	-1.64025
CTNND1	0.727388888888889
GABRG2	-1.3605
MADCAM1	-0.824333333333333
F5	-3.278375
SEMA4F	-0.016
NUDCD3	0.5855
PDZD11	0.4505
TRIML1	-0.3235
GCNT3	-1.51433333333333
TMEM120A	0.38125
CNDP1	-0.0905
N4BP1	0.47575
SLC35F2	-0.871
LCP1	-0.949666666666667
IGBP1	0.5648
DCAKD	0.435375
ELA2A	-1.0555
C12orf56	-2.430125
PITRM1	0.227285714285714
GUK1	0.7075
RASSF8	-1.25925
OR2A14	0.74775
ADM	-3.75133333333333
FGD3	1.20416666666667
GHRHR	0.328
RHPN2	-1.2185
C4orf39	1.11316666666667
VPS72	0.00574999999999999
SERF2	1.934
CD22	2.50583333333333
CD47	0.7266
PPIC	0.878833333333333
IMPDH1	0.04725
ACP6	-0.444666666666667
PRKACA	0.358375
PPP1R1A	-0.0315
TRPV3	-0.2975
ASXL1	-0.95075
C17orf55	-0.901833333333333
FXYD1	0.2305
LMOD2	-0.5445
ANKRD33	0.444
LCE2C	-0.318125
ZNF620	-0.248
DKFZP566E164	-0.39625
VSIG2	1.74
KIAA1128	1.05075
USO1	0.327833333333333
NUDT4	0.6555
CLDN1	-0.483428571428571
OR4Q3	-0.1165
FASTK	0.255166666666667
ICOS	0.5725
LDB1	0.447
GSTA5	-1.26975
ABCC1	-1.03533333333333
FAM54A	-2.258
PCBP2	0.1345
NUP205	-1.4985
ACTA1	-1.16266666666667
GABBR2	-1.6745
PIP5K1B	1.1325
AGXT	-3.6812
RNF181	0.4935
ATP8A2	-1.69675
AFTPH	1.5436875
FGF21	0.552
FCER1G	2.493625
SNTB1	-2.2005
SLC24A3	1.736375
TXNL4B	-0.683
RPL10L	-0.327333333333333
LOC389517	-1.2196
TSGA13	0.6975
SHOX2	-1.44266666666667
ITGA7	-0.3745
KCNIP2	-0.915166666666667
KLF13	-1.0877
ZFAND2A	-0.15775
CEACAM1	0.968714285714286
PFKFB4	-2.06583333333333
MED19	0.484
LRRC57	0.569833333333333
RNF11	1.15625
ANKRD32	-1.8295
P117	0.176
OBFC2A	-0.906666666666667
POLD3	-0.903166666666667
RAB18	0.9
TPH2	-0.5714
PHB	1.2613
JDP2	0.431
MORF4L1	0.3016
POU2F1	-1.35775
CNNM2	-0.548666666666667
LOXHD1	-0.378333333333333
ZC3H15	-0.246
ELK3	0.3685
FAM111B	-1.81925
CBLC	3.54416666666667
SBNO1	0.57225
ANKMY2	-0.27875
PLEKHA5	0.278
DHX58	2.03716666666667
ARCN1	-0.188
TREML1	0.2092
KNCN	-0.246
SEC24A	-0.75025
PSCA	-1.6675
MGC24125	0.480666666666667
DNA2L	-2.403
CIB4	-0.4535
HIGD2A	-0.317666666666667
TBX6	0.0433333333333333
TTLL5	-0.799833333333333
SGK3	0.509
GCN1L1	-0.0105
AMOT	0.3254
LDOC1	0.694166666666667
NRK	-0.239166666666667
ASB9	-3.10875
NAT1	4.6302
TRAFD1	0.33975
PEAR1	0.865833333333333
FAM36A	0.305125
OR1S2	0.898333333333333
LOC388323	-2.34275
PGS1	-0.0146666666666667
LEPREL1	-2.54275
TFF1	1.85333333333333
HAP1	0.443
EPHB2	-0.176
ACTG1	0.512166666666667
ZFP42	-1.6848
HAVCR2	0.0368
NME1	1.452
SNX26	-0.48575
LACTB	1.02633333333333
ZKSCAN2	0.535625
C5orf35	-1.5835
ANKS3	-0.456
RBM28	-0.748
DKFZP586P0123	-0.78725
HNRNPA1	-0.0411666666666667
BCAS3	-0.1165
FLJ20184	1.3445
POLA2	-1.9455
TMC7	-0.726666666666667
HSD17B6	1.118
ZNF658B	2.56483333333333
TTTY10	0.235333333333333
RANBP9	0.00375
CPNE7	-2.93083333333333
EVL	-0.298117647058824
LNX1	0.789583333333333
IFNA21	0.232166666666667
CFD	1.05675
PYCARD	0.877666666666667
MYBPC2	-2.3435
ENPP3	-1.99166666666667
ACSL4	-1.4645
LOC440258	-1.64133333333333
TMEM176B	3.822
SOX2	-5.02625
SCO1	-0.109
COMT	-0.02475
AOC2	-0.08725
PDLIM5	2.22471428571429
SPHK2	0.465
NXPH2	1.2935
GPR108	0.514333333333333
RAD51L1	-0.124
TMEM54	0.86725
LETMD1	-0.814111111111111
SLC6A17	0.4825
KRT75	-0.837
STT3B	-0.529
CD3EAP	-0.3695
TMEM63A	1.10375
DUSP13	-2.41725
CD1C	-0.0893333333333333
LASS2	1.962
AVP	0.457
PITPNM1	-1.935625
FLJ22795	-1.1835
MCTP1	-2.486
TRIM68	1.16216666666667
UCK2	-0.537666666666667
ABHD1	1.691
FAM50A	0.2005
RNASEH1	-1.14766666666667
PCP2	2.46283333333333
OR52H1	0.305
C20orf149	0.16325
RBP5	-0.407166666666667
HYAL3	0.37775
CLPB	-0.62625
SMNDC1	-0.88675
DONSON	-2.8155
FLJ27523	0.819
BARHL2	0.5146
SLC30A9	0.385333333333333
TMPRSS11B	0.13675
E2F8	-2.026
CCDC25	-1.1525
C14orf48	-0.350666666666667
C20orf116	1.09525
TSPAN11	-0.201
YIF1B	-1.05766666666667
FAM12B	-1.06275
OR1L6	0.2305
HPN	0.4889
NBN	0.379375
C14orf94	-0.599333333333333
OCLM	-0.248
ZSCAN18	-0.4082
L3MBTL	-1.7188
TSTA3	1.211
RAC1	0.531
C19orf15	-0.205833333333333
NFE2	-4.82075
KLK14	0.602
ARSF	0.487
MAST2	0.416833333333333
AMICA1	1.62983333333333
GTF2A1	-0.562875
ATP1A3	0.5405
TC2N	2.5866
PNKP	0.2805
ODZ2	3.17
MATR3	0.781875
S100P	-2.589125
KRT82	0.7985
CA13	-0.0319
PROZ	1.4125
AASDH	-0.19075
C19orf40	-0.402833333333333
DCK	-0.984461538461538
FAM5C	-1.3725
SLC6A4	-2.663
MID1IP1	-0.38025
TESSP5	0.848
TMOD4	0.129166666666667
DOCK2	-1.05733333333333
TUG1	-0.243625
NUP214	-0.24975
DPYSL2	-0.100909090909091
GOLM1	2.09441666666667
MPFL	0.188
SOX13	0.2115
SDCCAG8	1.2984
KEL	-2.74516666666667
NUP210L	-2.6395
GK	0.295
DNAJB1	1.38125
ALPK3	0.01
CHID1	0.3131
CYLC2	0.372166666666667
IKZF5	0.5985
C8orf51	0.729333333333333
PPM1J	1.472
GIMAP8	3.30566666666667
GPR101	-0.032
NR2F1	-0.688
ACAD8	0.742
RBM35A	0.97625
GNAI2	-0.2375
METTL8	-0.869833333333333
SLC39A7	-0.6605
FBXO8	1.26825
CAMK1	-0.57525
RFC3	-1.414625
FAM129A	3.66057142857143
ILF2	-0.20475
FGFBP3	-1.68375
NOM1	-0.583
PSMA3	-0.06625
ASCC3	-0.3058
ZYG11A	-1.567
SOX21	-1.58775
LYRM1	0.72925
DEFB1	2.9265
LOC91431	-3.53516666666667
OR7C2	1.409
FAM46B	-0.59875
TMEM18	-0.083375
ARHGAP30	0.408833333333333
TMEM86A	2.66158333333333
EPHA2	-0.9935
C10orf46	0.52915
TCHH	0.814666666666667
C3orf30	-0.434333333333333
LOC285636	-0.0983333333333333
PAIP2	0.43575
CYP2U1	0.014125
C12orf34	1.33425
SARS2	-0.755333333333333
ZCWPW1	0.675
SAMD12	1.736375
KIAA1430	-0.287125
ACAT1	-1.40375
MEOX1	2.10133333333333
ADAMDEC1	7.169
PHKA2	-0.6335
CARD11	-0.882333333333333
CALML4	-1.846
TSSC1	-0.16725
TMEM45A	-1.61955555555556
MPP7	1.157
POU1F1	0.77775
SLC2A13	0.0711000000000001
FBN2	-1.73685714285714
ZC3H7A	0.2751
LAIR2	-1.3005
ST3GAL1	-0.453333333333333
LCT	-2.511
GEMIN8	1.48266666666667
KLF16	0.3003
HIF3A	-0.468111111111111
FAM44A	-0.721071428571429
AQP10	-1.3599
PLA2G2A	-2.4415
FOLH1	2.08633333333333
C20orf186	0.2535
MAPKAP1	0.0845
SPRR2D	-1.94625
UBQLN4	0.758666666666667
RSHL1	0.09
PIAS3	1.40425
MRPL24	1.3885
GREB1	-0.068375
FAM27E3	-1.993
NUP62CL	0.61925
NEUROG3	0.5595
REEP3	0.527916666666667
MARK1	2.14325
LMBRD1	0.90975
PRPF19	-2.177
PNMT	-0.495666666666667
CTGLF1	-1.437
SLC25A16	-0.1685
EIF2B3	-1.332
RPA2	-0.29375
PAK6	1.61666666666667
CCDC26	-4.9515
SEMA3E	5.26175
MXD4	0.9261
TNFSF10	4.4717
SMARCB1	-0.747833333333333
DTX3L	1.709
PLA2G4E	0.253
PPAP2A	1.24775
ULK1	0.712333333333333
TAS1R3	0.6075
SLC2A3	-3.36354545454545
ARID3A	-1.48175
GNG5	-1.23025
ACOX1	0.6684
KIF5B	-0.19225
NUP153	-0.92125
MUC7	1.5005
CSDE1	-0.2885
CLPTM1	0.54525
C3orf23	-0.223625
LRRC17	0.134
TTYH3	-0.978
ATP5B	-0.412
ELF3	1.913
CPSF3L	0.3545
ZNF665	0.861666666666667
TLR6	0.5203
GPI	-0.551
RAD9A	-0.44275
NDST4	-3.49525
AGPAT3	1.10883333333333
MAGI3	1.46616666666667
ADORA2A	-0.455875
CACNG7	0.2145
CAMK2D	-0.521714285714286
CCHCR1	-1.085
RPS27A	-1.2115
OR10G7	0.0885
GCM2	0.0485
FAM135B	2.9793
E2F1	-1.99975
PLCB3	0.4085
OR2AE1	0.284
COIL	1.478
CDC25C	-1.82133333333333
RAB11FIP2	-0.0435833333333333
TSC2	0.25725
CTGLF5	-2.9015
CCDC108	0.5214
OR13C4	0.416
C10orf81	3.56625
PTPRB	1.997
ACP2	0.25275
LAG3	0.16275
MRPL54	0.37675
LOC201175	0.3035
ITGB1BP3	-2.39
SPTAN1	-0.0165
SIPA1L2	-1.1395
RCAN2	-0.887
CDX2	0.0195
ECOP	0.8445
ACTR1A	-0.371785714285714
PPARG	-2.18783333333333
BBS10	1.29433333333333
TMEM44	-1.8325
BPIL2	0.55725
CITED1	2.07325
IRF6	4.84075
PRDM4	0.8575
RRP9	-0.733333333333333
OR10H4	0.7545
IL31RA	-0.781
GNB1L	-1.38383333333333
MYBL2	-2.474875
ZNF407	1.289
PPIG	-0.471166666666667
TTC18	1.516
RPSA	-0.495
MAPT	0.956625
MRE11A	-0.384230769230769
C8orf37	-0.0723333333333333
RASGEF1C	0.107166666666667
STBD1	0.74125
CTAG2	-0.375833333333333
MGAT5B	-2.1865
ECM1	3.680125
RLN1	1.1405
PARP14	1.1384375
EPB41L1	-0.0194
HOXA3	0.536916666666667
MAGEA9	-4.36425
RPS8	-0.604333333333333
RPS19BP1	0.039
FOXJ2	-0.132125
C10orf76	0.125125
IL17RE	0.71275
C10orf65	0.46275
ZNF343	0.788666666666667
FBXO33	0.361375
UHMK1	1.9297
LY6G6C	-0.33225
FGF19	-1.2765
C14orf128	0.513166666666667
IFIT2	2.395875
TIGD1	-0.76
S100G	2.175
GUCY1B3	3.2065
NR3C1	-0.7865
CORO1B	1.3985
PARP11	-0.147666666666667
DNALI1	4.42616666666667
OR4N4	-0.0411428571428571
MAP2K6	-0.118666666666667
FSTL4	1.504
ANKRD47	1.473375
TMEM171	-1.364
PNLIP	0.6185
YY1	0.0163333333333333
CCDC138	-2.38616666666667
AASDHPPT	-0.7634
CKS1B	-1.1084
MCM3	-1.626
ANAPC7	0.336833333333333
FAM110A	1.874
CDC37L1	1.2945
THTPA	0.73875
NBPF20	-1.913
WDR24	1.34175
NPTX2	-1.7845
CBLB	0.871833333333333
CETN1	0.363833333333333
RPUSD1	0.66075
FAF1	-0.493
CDK6	-2.9898
HMX2	0.023
CSK	-0.439333333333333
TEAD2	0.66825
SNAP25	-1.03725
TUFT1	1.8455
TMTC3	1.19766666666667
LCK	-2.957
SGOL1	-2.18166666666667
AKTIP	0.75775
FURIN	1.445625
SOX12	-0.299166666666667
DEFB103A	-2.38675
RAMP1	1.39775
KIR3DX1	-0.446
GAS2L3	-1.27575
PDE8A	-1.779
EDN3	6.2195
GMIP	0.465
SF3A2	0.197
FN3KRP	0.39875
SMAD7	0.26525
RHBDD2	0.7445
OR11H6	0.674
PPP1R3B	0.6923
C9orf23	0.041
CADPS	-1.97475
GOLGA8A	-4.282375
TMEM57	0.916166666666667
RGL3	-0.042
S100A14	2.84225
FGFR2	1.0681875
XRCC3	-0.83175
RTN4RL2	0.568
MGC3771	1.946
GH2	0.22
BTBD2	-0.00474999999999998
LMO2	0.47575
RDBP	-0.62625
ACRBP	-1.70725
AMY2A	2.5155
DUOXA1	1.962
PTK7	0.358166666666667
TWF2	-0.327
FAM80A	-0.38425
TNNI2	-1.587
GLT25D1	-1.10666666666667
OCC-1	-2.87625
CYC1	-0.657333333333333
RPL22	-0.0396818181818182
MORN3	2.012
DISP1	2.15075
PRB2	1.218
CHUK	-0.49625
HR	-0.100625
CCDC134	-0.053875
DENND4B	-0.76725
C14orf130	0.527125
RAB33A	-2.171
DCST2	0.1995
TNMD	-2.2325
PEX7	1.37375
FAM62A	0.101625
SRD5A2L	0.5925
IL22	0.37175
RPS26	-1.12916666666667
HOXC5	0.7605
SPATA6	0.91775
FLJ38482	0.535375
ZNF234	1.256
C18orf22	0.00325
SPATA22	0.83775
THOC1	-0.401
CYP7B1	3.0475
KCNC3	0.00174999999999999
C8orf42	-0.782
ALDH1B1	0.0446666666666667
CCDC100	0.6301
ARMC4	-1.13
FAM18B2	0.316
SLC44A1	0.30475
FBXO17	-1.11283333333333
C6orf107	-0.4065
C19orf29	0.33
ZC3HAV1L	-0.473
PARP6	-0.2628
SULT2A1	-5.282375
C1orf159	-0.3455
TMC1	0.1
CHST14	0.24125
GAMT	0.7265
SMCP	-0.0143333333333333
TSPAN33	1.30225
MIDN	0.956
NOX4	2.557
RNASEN	-0.6256
TBX1	-1.37716666666667
SALL2	-0.566
C10orf35	1.05675
CYP2E1	-0.74125
LRFN2	3.52083333333333
ACO1	-1.027
IQCG	1.254
MEGF9	2.1265
TM7SF4	2.8305
PLEKHA1	-0.196133333333333
STK33	-1.824
C1orf210	2.5905
SNUPN	-0.1684
KIAA0406	-0.6802
C20orf29	0.1125
TMEM55B	0.80225
OSTM1	-0.090875
CLCN7	0.7125
OTP	-0.2855
FLJ23049	1.21725
HEATR4	2.2365
MAP3K10	0.455
PCDHGA9	1.011
AMDHD2	0.06275
LCTL	-3.326
PDCD2L	-0.818
CABLES2	0.114
SLC5A9	-0.28175
CLCA2	1.332
MGC16025	-0.7965
STRAP	-1.15183333333333
C20orf196	0.0245
RRBP1	0.452666666666667
NAT13	-0.4975
MAT2B	0.672375
CSNK1D	-0.631166666666667
KIR3DL1	0.4905
PRKAG3	0.485
ZNF599	1.8675
PRM3	1.084
PER2	1.506
ASPHD1	-2.9305
PRMT6	-0.5745
KCNE1L	-0.582357142857143
FAM118A	-0.594666666666667
TAF4	-0.386
NDUFB6	-0.07525
TRIM9	-0.73625
PMFBP1	-0.7965
KY	1.05
DKFZp762E1312	-2.72263636363636
CSMD1	-0.99525
TBP	-0.358833333333333
OR1Q1	-0.215833333333333
RETNLB	0.41725
HPGD	-0.303615384615385
DNAJC12	1.93216666666667
FKBP1B	-0.9105
ANKRD24	0.891666666666667
CXXC5	1.346
IL3	-0.017
DRAM	0.8277
PTCH1	-0.237625
TP53BP1	0.8525
SLC17A7	-0.47175
COL25A1	-2.2502
AMACR	0.748333333333333
RHCG	1.33975
VPS13A	-0.747666666666667
FAM55D	1.012
PRPF38B	-0.619166666666667
OSBPL6	0.69125
PFDN5	0.8472
CMTM6	0.741125
KCNK12	-2.226
RP2	-0.59625
C16orf52	-1.4505
PICK1	0.896
IFNE1	-0.333333333333333
SEMA4B	1.9455
TYRO3	-1.906
OR12D2	-0.0695
CSNK1A1	0.61045
FANCF	1.412
LONP2	1.26575
TBL1Y	-0.7485
LDOC1L	-0.24675
CCNC	-0.00125
C3orf60	-0.08425
CHKA	-1.3205
UBAP1	0.35175
MAP3K1	0.1335
ANKRD9	-0.79975
FAM92A1	-2.12883333333333
GAB2	0.103125
AZU1	-0.6015
DIS3	-0.585166666666667
C21orf109	-1.1015
IQCB1	-0.76975
SPATS2	-0.0968333333333333
EFCAB3	-0.184
PRB3	0.983625
FUZ	0.400666666666667
ZNF813	0.813625
BMPER	-1.4335
HEG1	-0.198625
ALS2CR11	-0.90825
SURF2	0.121
PSMC1	-0.2385
OR2D2	0.1335
SLC7A8	2.90416666666667
C4orf40	0.682
SPATA7	0.6275
MAZ	-0.127083333333333
PIN4	-0.00225
PDE1A	1.346375
TAF6L	-0.542833333333333
OR2T34	0.4305
KIAA0284	0.72075
ACADS	0.452454545454545
MKRN2	0.0725
C18orf56	-2.10925
MS4A6E	0.3444
GALNT4	0.9849
C22orf31	0.617
FLJ36070	0.00199999999999999
PSME4	0.36275
TFG	0.2127
EPHX2	-0.151875
ANXA5	0.427
KRTAP1-1	-0.2832
BATF	1.5915
KARS	-1.50475
MSTP9	0.5615
GPR26	0.131875
CCDC72	0.33225
TEF	0.9345
FOXK1	-0.937
PRLHR	0.3045
EMX1	0.87525
C11orf30	-0.12075
ICK	0.688375
THSD7B	1.481
C21orf100	-1.3595
DUOX1	2.7305
EFCAB4B	-0.47825
UBE2G2	-1.18166666666667
C3orf54	0.6965
PARP1	-0.224
FAM60A	-2.02925
C6orf146	-0.04675
OR9K2	0.168
DDX55	-0.4295
RPS15	0.21825
ZNF618	0.453125
DKFZp686D0972	1.39375
SSPO	-1.326
SHFM3P1	0.620166666666667
CPA6	-1.476
JAG2	1.66875
DEFA3	0.866
PPBPL2	0.758333333333333
CD34	3.786
SLCO4A1	-3.279
AFG3L1	-1.9935
SHD	-1.05425
RP13-122B23.3	-0.959833333333333
PRKCSH	-0.776333333333333
DPH5	-0.0613333333333333
HLA-F	1.6565
TBC1D4	0.44225
RIG	0.078
GLUD1	-0.456833333333333
HNRPCL1	0.6825
HBXIP	-0.24075
RNF207	-1.0045
APIP	-0.74675
PLA2G3	-3.34
CCDC84	-2.1475
MYLIP	-0.164846153846154
PHIP	0.39475
AARS2	-0.3985
DHX32	-0.1385
SCAPER	0.723166666666667
MEN1	-0.00399999999999999
NIP7	-1.658
FLJ25404	1.116
FASTKD3	-0.3715
TMEM158	-2.52716666666667
RARA	2.1585
BDH1	1.3365
ANKRD16	-0.45625
CARM1	0.4805
SS18	0.556166666666667
IKZF2	-0.108
MYD88	1.06525
PML	0.5674
TAF1A	-0.8565
CBFB	-0.976875
HIST1H3H	3.00233333333333
C7orf29	-2.809
COMMD4	-0.1745
DPP3	-0.41775
DAB2	0.361875
LOC388882	-0.957
YPEL4	-0.031375
AGBL3	1.20825
LRP6	-0.4551
SERPINH1	-0.706916666666667
TLE1	0.776
CD244	1.1465
ZDHHC15	0.78375
MGLL	-0.8087
PLDN	0.330416666666667
LOC654346	1.5635
FAP	2.086
GPR37	0.188333333333333
SCARA5	0.826166666666667
EBF4	0.853
LSM6	-0.8785
MLLT1	0.1530625
SLC5A12	-0.39675
A2BP1	-1.841
COPS5	-0.048
TPM4	-1.55828571428571
TNFSF4	0.276333333333333
ACADSB	2.19244444444444
HERPUD1	0.31
BCL2L11	-0.514777777777778
CEP78	-1.54425
CDCA3	-1.98925
WBSCR19	-0.1904
MYO1A	-1.9085
PPEF1	2.68083333333333
LOC440348	-0.61575
CPEB2	1.34175
BPTF	0.8625
RPL21	-0.8886875
GSX2	0.04
ADPRH	1.687
C17orf68	0.752333333333333
KCNS1	-0.791
MLLT6	0.129
PIWIL4	0.538
RNF26	-0.96875
RAP1B	0.749
ADAMTS1	-2.0002
ZNF571	1.17625
P2RY6	-0.00199999999999999
TRIM21	1.48683333333333
CADM3	1.4675
NLRC5	0.527333333333333
ADRA2B	0.398
LOC90835	-0.52975
PCF11	-0.2375
LOC400451	2.404
GLTSCR1	0.2866
C17orf88	-1.281
CDH16	-2.557
FGF7	2.277375
PCSK4	-0.102833333333333
NPC1L1	0.0406666666666667
TAT	0.199875
TBCA	-0.056
MGC33407	0.2725
GPR115	-1.282
CYGB	-0.06
FNBP4	-1.756
C12orf43	0.739
CBL	-1.2632
CLECL1	2.2525
PPAPDC1A	0.9715
WDR25	0.8215
SGCA	1.085
C22orf29	-0.968666666666667
YIPF1	2.057
GALK2	-0.23775
RAB3B	-3.52841666666667
LOC440087	1.15375
UCP1	0.2615
REEP5	1.729875
FADD	-0.7302
FOXA1	3.58425
CACNA1A	0.574833333333333
ABI1	0.282333333333333
GRIN2D	0.3445
SLC1A4	-0.177333333333333
LOC401127	-0.00824999999999998
HINT2	0.58375
PLD4	1.26133333333333
ZNF286A	-1.5535
ENY2	-0.81125
IL1F6	0.2855
PXDNL	3.67225
C20orf79	-0.21575
TNFSF13B	2.27233333333333
DENND3	-0.427125
JARID1D	-3.68125
HIST1H2AK	2.16775
LOC93349	0.6117
SSH1	-1.1331
