Hybridization REF	TCGA-E2-A14Y-01A-21R-A12D-07
HIPK1	-1.1998
LRRC3B	-0.8095
CLN3	-0.725772727272727
C17orf47	-0.498
FMN2	-3.75425
TUBB1	-1.760375
WAPAL	-0.313333333333333
C3orf21	-0.408375
SCN5A	-0.1232
SMYD1	0.5755
BEX5	-1.361
ZNF192	-0.3805
SEC22A	0.553166666666667
GRIA2	0.173928571428571
KIAA0825	-1.63275
NUSAP1	-0.778545454545455
LANCL1	-0.42925
C15orf40	-0.8344
ZNF645	0.011375
GPR61	0.369
NLRP14	0.7075
SNX21	-0.048
C1QTNF8	0.279
C17orf46	0.74075
IFNA8	0.2355
SPRR1B	5.99483333333333
FLRT1	-0.94475
SNX17	-0.9445
ASB2	0.971333333333333
HBG1	-5.037
RPRML	-0.46475
JOSD2	0.530166666666667
PLSCR3	0.49875
SPOCD1	0.504
RAB39	-1.5485
GHRH	0.2155
ITIH5L	0.527
C17orf37	3.395
SMCR8	0.68975
DPY19L2P3	-1.3015
IL11RA	-0.396
GDF3	-3.216
RPS6KB1	-1.57708333333333
DNAJC19	-0.3632
TOP1	-0.10725
CRCT1	1.889125
MPST	1.1475
DPM2	0.482875
FAM38B	-2.54066666666667
SLC18A1	-1.77433333333333
FARP1	0.579833333333333
PAX7	0.55575
TUBD1	-0.63625
GNL3	0.004
BTG2	-0.640266666666667
NDUFS6	1.34275
C1orf79	-0.3205
ERAL1	0.62225
ECHS1	0.30725
VPS4A	-0.762833333333333
CYP11A1	-0.62875
ABCC6	-1.76135714285714
PBX4	-0.4545
MOSC1	0.6765
NCF4	-0.89275
HYMAI	0.8825
NAGPA	-1.21225
OTOP2	0.5995
ACOT12	-0.08125
MTHFD2L	-0.00974999999999995
LOC441376	2.39666666666667
C19orf34	-0.273
RAB1B	-0.60025
ALDOAP2	0.384
NTRK1	-1.43583333333333
ARTS-1	-1.085
SLC6A11	0.624
NAP1L2	-2.4435
CNGB1	0.326166666666667
EPB41L4B	1.42758333333333
FAM134B	0.1695
HS3ST3A1	1.40466666666667
CPXM2	1.91975
SIRPB2	0.5875
CHORDC1	-0.239
TRIB3	-0.8615
SLC2A5	1.15175
C2orf49	-0.0298333333333333
DDX5	-0.4865
OR5L1	2.361
ANAPC4	-0.4595
ZSWIM1	0.291375
LOC93622	-0.476125
KCNK3	-0.1686
RP11-35N6.1	-1.23
ZFP161	0.0943333333333333
AQP9	4.6505
SLC15A2	1.89116666666667
MREG	0.2105
OR9I1	0.6895
PDLIM2	-0.371
ADAM7	0.409
GSTCD	-0.977333333333333
WDR21A	0.116875
SLC12A8	0.654
TMEM174	0.3185
IGSF3	0.129083333333333
LRRN1	2.354
LOC402117	-0.56475
SRPK1	-0.03
LY6K	-1.382
NFIA	2.048
PTCD3	0.509625
LEP	1.863
PCDH21	-0.526166666666667
MAPKAPK2	1.00828571428571
NMNAT1	-0.240833333333333
LHFPL2	0.1485
C9orf43	0.10425
DIP2A	-0.0693333333333333
ACTR8	-0.00924999999999999
CCDC34	-1.06275
PTPN22	-1.049875
ITGA3	-0.5655
FAM129C	0.07775
RABGGTA	1.60566666666667
UNC45B	0.3405
KIAA1033	-0.616875
ZNF510	-1.42733333333333
CYP2D6	-0.0135
SLC26A10	-1.415
STX8	-0.35775
LUZP1	0.78325
WDR89	0.199833333333333
EIF4G3	-0.1196
C5AR1	0.868875
ZNF623	1.429
A2M	-0.91825
TGM7	0.395
GRPEL1	0.840833333333333
LMNB2	-1.005
ROCK2	-0.0503333333333333
SNX16	1.023375
CCDC66	0.4845
ANXA3	2.05975
KIAA1609	0.204625
EED	-0.8
RNF32	0.1475
HES1	1.5524
CLC	0.4355
ISL1	-1.14716666666667
KIAA0528	-0.715625
MANEA	-0.270625
C1orf61	-2.3025
hCG_2001000	2.81925
RAPGEF6	-0.641
KIAA0020	0.526333333333333
NEIL1	-1.27375
C16orf45	-2.30025
RBM10	0.0831666666666667
C10orf125	-1.89425
MRS2L	-0.41675
DNAH17	1.987125
C19orf10	-1.04075
C1orf160	0.66625
SLFN12	-0.62775
EXOC3	-0.0633333333333334
HIST3H3	0.36075
NCOR2	-0.0675
TNFRSF9	-0.343
MFSD8	0.757
ALX1	-3.792
NOL1	-0.28225
PODN	1.817
TIAL1	-0.39475
HIST1H1E	-0.3775
NPY6R	0.6275
TM4SF4	-0.9615
CORO2A	0.43425
ETNK2	-1.65783333333333
APOE	0.6601
ANGPT4	-0.0915
HDGF2	-0.7305
G30	0.11
ST8SIA4	-0.353375
F2RL1	-0.584875
FAM19A4	-2.59325
CCAR1	-0.39825
B3GNT7	0.69575
OPHN1	-0.655
DSCR6	-0.7765
C21orf13	0.171833333333333
GAS2L1	1.55175
RFX3	0.255166666666667
COPS4	-0.726875
BCHE	-5.0335
BCL2	-0.665
HBZ	-2.7285
ARL13B	-0.60425
MAPBPIP	0.7735
MYO15B	-0.286375
SPZ1	1.0585
KIAA1324	0.487666666666667
PLCL2	-2.043125
C4orf29	-0.87675
WDFY2	0.387125
ZNF284	-0.5645
NAALADL1	-0.4355
DUSP5	-0.445166666666667
PXDN	0.966875
SLMO1	1.26125
TNXB	1.0597
BIRC7	-0.553
A4GALT	0.325333333333333
TIMM22	0.00474999999999999
FAM110C	2.0115
TOMM34	-0.821375
ABHD9	0.596
ADAM32	-0.208
CRHBP	-1.823
AQP2	1.009875
LOC130355	0.982
ZNF187	-0.649833333333333
ZNF816A	0.1645
F7	-0.692375
CNOT1	-0.9931
SLC13A4	-0.5735
ZBTB11	-0.039
B3GALT5	2.75625
EXOC2	0.108666666666667
IRS1	-2.5377
TMEM1	0.369666666666667
MRPL34	0.185
SAMM50	-0.18375
CDC42EP3	0.4635
HSF2	-0.6718
MFN2	0.32475
TSPAN7	-2.84766666666667
NUCB1	0.936833333333333
RHOH	-2.74325
ARL16	0.077
TACR1	0.23875
SFRS5	-1.19566666666667
SNX25	-0.456125
RHBDF1	-0.143833333333333
PCDH18	0.0286666666666667
HMG1L1	-0.235
MYO5C	0.82525
MAPK10	-0.7085
LDHAL6A	0.168333333333333
NUDT12	-0.5595
NCAM1	-0.310875
GLIS2	1.1
GGTL4	0.08225
DAPP1	-0.22375
ATF7	0.575125
KIAA0748	-2.10875
NFIL3	1.2825
TM6SF1	-0.3696
SEZ6	0.45975
NANOS3	0.646833333333333
DNAJA3	-0.568
CLDN6	-1.6975
CIITA	2.9462
EPHA4	1.65533333333333
FANCC	0.33175
CMTM3	-1.57175
PSG3	-0.14325
MRPL15	0.967
C21orf59	-0.683
PLCXD2	0.0725
C2orf34	-0.36225
UBE2L6	1.586625
MED14	-0.327833333333333
HP1BP3	0.1346
C6orf208	-0.225
TPBG	0.1055
OSR2	-1.0385
XPC	-1.18833333333333
KLHL7	-0.209083333333333
CCR3	-0.135
AGTPBP1	-1.04883333333333
PCSK6	-1.9196
STAT5A	-2.1734
FAM18B	0.988
LONRF2	-4.3375
PTPN2	0.508
SF3A3	-0.801
EFCBP2	-0.25725
HCFC1	-0.887166666666667
AHNAK	0.18905
ACTR5	0.01275
KIF14	-0.619571428571429
TENC1	0.03425
HEATR5B	0.2335
YIPF2	0.731
MYEOV2	1.23133333333333
DUSP18	0.6305
KIAA1012	-0.57125
AHR	-0.261
C17orf53	-0.835166666666667
PTPRH	-2.85
ATP6V1C1	0.4287
TAS2R3	-0.794
LOC440356	-0.49925
COQ10B	0.07675
PSMF1	-0.182583333333333
SORBS2	-0.997166666666667
NFE2L2	-0.8335
TMCO7	-0.7295
SH3PXD2A	-0.2919
SH2D2A	0.17375
SPINK5	3.202
MRPS24	-0.09225
OPA3	1.562125
TRAF7	-0.296166666666667
C4orf35	0.580666666666667
MT1G	-0.68525
MGC39545	0.20025
HS1BP3	0.2272
OR2B2	0.656
CHRM4	-0.00299999999999999
SFRP2	0.962
RIC3	-1.61875
ART1	0.02
C6orf1	-0.155375
DUS4L	-0.98525
C10orf104	0.587
TNFAIP6	2.77025
RTEL1	0.135
CCT4	-0.3371
ZNF709	-1.2165
CHMP6	-0.678666666666667
UPP2	0.33625
CYP19A1	-2.755375
CD151	0.3245
NDUFA13	0.269666666666667
ARFRP1	0.769
FAM26B	0.48025
CRYBA1	-1.4485
MRPL41	0.888833333333333
NPFFR2	-1.769375
HRH2	0.7605
SCAMP3	0.3185
MTMR6	-0.4469
MTG1	-0.2575
UBTD1	1.51725
CRABP1	1.158
FLJ33790	0.2333
KIAA1908	-1.27066666666667
GPR158	-0.9585
PACSIN3	1.439
OMD	0.3245
CATSPER1	-0.362666666666667
HOXB8	-0.9635
FBXO46	1.152
OAS1	2.98466666666667
SVIL	0.6095
PHB2	-0.4815
ADCY3	-0.7805
NDRG2	2.233
ERMAP	-1.1185
APBA2	-1.37066666666667
IGSF9	2.4855
WNT6	1.89378571428571
MYCBPAP	1.0495
ATP2B2	-0.333
CPVL	-2.0092
TRAM2	-1.04466666666667
NOP5/NOP58	-0.073
ZNRF4	0.13625
TLK1	0.32125
MTMR12	1.48342857142857
ZNF384	-0.251
FAM9B	-2.33525
RPN1	0.5875
PMVK	1.6455
EIF3D	0.6501
SIX2	1.24975
HPS1	-1.22471428571429
RNF7	0.2335
PSKH2	0.8975
KCTD13	-0.227333333333333
CSMD3	-0.4811
FBF1	0.0375
IL8	-1.08975
SERPINB13	3.06833333333333
FBXL20	2.31475
BLR1	1.00075
SH2B1	-0.163833333333333
RFNG	-0.00312499999999999
RAB20	0.495833333333333
RBM7	-0.71925
POLR1A	0.006
TMPRSS4	1.531
TAF9	-0.873875
TERF2	-0.767333333333333
TNFRSF1A	0.51175
ACADVL	-0.792
GTF2H5	0.4645
EDG8	3.1015
C9orf140	0.473
UST6	0.217
ZBTB8OS	0.57675
ZNF710	2.253
GPR174	-1.634
ATP6V0A2	-0.1875
KIAA0319L	-1.16325
XKRX	1.2175
DOPEY2	1.6281
SDHD	0.357333333333333
SUMF1	0.345
OSM	3.32825
OPN3	-0.86675
DAGLB	0.286166666666667
PPFIBP1	0.0686
TRIM63	-3.48175
C10orf53	0.0665
LYPD3	3.278
BCL7A	0.19875
AGER	-0.5215
TCF19	-0.719875
SAT2	-0.88575
PFTK1	0.284166666666667
GABRE	-0.206875
C15orf38	1.6415
FIS1	-0.0095
KCNV2	-0.0235
CLPS	0.9855
PPCDC	0.167625
FOXN2	0.0613333333333333
NT5E	-2.4747
CD83	0.599
IL18	2.85125
VPS16	0.199
IGFBP2	1.12416666666667
NOTCH2	-0.47925
SIGLEC1	2.413125
CD93	4.7745
SULF2	-1.34825
CEP164	0.142875
P53AIP1	0.603833333333333
TOR2A	0.0231666666666667
ZNF136	-0.9075
MGP	0.8738
CCDC144A	-0.965833333333333
TRPC1	-2.5645
SMS	-0.841833333333333
MAPK7	1.732
RRAGC	0.44075
PARD6A	0.487833333333333
NUB1	0.208
SYNGR4	1.3305
OR11H12	0.3385
WIF1	0.6695
GCH1	0.24375
OR11H4	0.5075
SLC44A5	1.5295
GPRIN2	1.7505
LOC401431	-1.6435
CPA4	0.7867
MELK	-0.348777777777778
IL15RA	0.581
CUL3	-0.80275
HMBOX1	-3.001
PODXL	-2.32725
CCT6B	-0.956833333333333
COMTD1	1.6175
MUC20	0.915833333333333
GPX2	1.485
ITK	-1.94225
FBXL5	0.0795
C13orf27	-0.9065
DEFA5	0.726
TRHDE	-0.0215
MTP18	1.22283333333333
UQCRQ	1.3527
ITGB2	0.2065
CSRP2BP	0.1195
TAS2R44	1.0595
PHPT1	0.410625
FAM44C	-0.1785
ERH	-0.053
MPHOSPH1	-1.388
MORC1	-0.461
PARVB	-1.399
LAMA1	-1.48208333333333
PGBD3	0.4835
GIMAP6	2.73175
AREG	-0.522
LIPT1	-0.4135
MGC99813	-0.3545
C1orf201	0.148166666666667
GRIN2A	-1.1182
MAN2C1	-0.294875
NSUN5	-0.3055
SF3B5	0.668
MYC	-0.3038125
NRXN1	-1.3305
ZNF18	-0.7545
SPDYA	0.08175
SLC37A1	0.328
DECR2	-0.88025
ANKRD38	3.26525
SPTLC3	-0.155666666666667
SUPT16H	-0.839125
DTWD2	-0.20025
ULBP1	-0.3535
ZADH1	0.5395
OIP5	-1.0155
IL10RB	-0.0195
OTUB2	0.786125
VWA3A	0.108833333333333
SPIC	0.1765
OR6C4	0.17
PSCD4	0.674833333333333
DPY19L2P2	-1.582
TRAPPC6A	0.0831666666666667
C21orf2	-0.279
CEMP1	-0.0545
LIN7B	1.1795
E2F7	-1.02733333333333
VCP	0.2483125
LAMA3	1.54666666666667
BGN	1.033
GPR160	-1.49033333333333
COCH	-1.93
GPR81	-0.875333333333333
APOBEC3F	-1.27475
tcag7.1017	-0.41425
C1orf32	0.894
SCGB1D2	6.08725
FLJ43987	0.1295
C6orf170	-0.79975
KLK9	0.9275
GPD1L	0.629625
VPS37B	0.19225
ATG3	-0.511666666666667
ADAMTS17	-0.162
KLHDC2	-1.16233333333333
NDUFV2	-0.19475
BLK	-2.523
MATN4	1.188
GPM6A	-0.260375
GBP4	3.34916666666667
TMEM162	0.6135
PKP2	-0.562
HRASLS	2.46477777777778
MMP1	-0.5
SFXN3	-0.1923
FSD1	-1.0005
ST6GALNAC3	-2.58483333333333
CA12	0.9782
NCOA6	0.12125
C19orf58	0.7932
PPP4R1	0.395333333333333
MAN1A2	-0.135333333333333
IKBKAP	-1.59625
UPF1	0.489833333333333
KIAA1219	-0.288
WNT16	0.2538
SNW1	-0.458875
IL18RAP	2.77475
RPP30	0.015375
CDC40	-0.365285714285714
SETD3	0.805166666666667
SLAMF6	-0.07225
ELK4	0.383
TRIM47	1.342
ACOX3	1.85725
TRIM6	-0.339375
KIAA0372	-1.1845
TP53AP1	0.244625
SMURF2	-0.04725
ADAD1	1.0205
EBP	0.6545
KRTAP13-2	-0.242
FLJ36874	-0.863833333333333
TOR1A	-0.754
P2RY4	1.6895
GPBP1	-0.2485
TRPV1	-0.18975
ADAMTS12	0.565333333333333
PES1	-0.0925
ATG4A	0.153833333333333
MAGEA10	-3.76275
WFS1	0.59525
CC2D1B	0.370833333333333
PABPN1	0.38925
SLC25A30	0.28825
SLCO1C1	-0.0618333333333333
SLC22A5	-0.1915
KIF23	-0.888666666666667
SYN2	1.43933333333333
ASPN	6.5435
CENTG2	-1.15825
QSOX2	-0.9164
FLJ10815	-0.2135
STK24	0.738125
SPEG	0.4162
STK10	-0.119166666666667
DACT2	-1.5685
AAAS	-0.717
SSX3	-1.2265
ABCD3	-1.0104
C4orf12	-1.0885
PARVG	-0.325166666666667
FIG4	-0.45425
C9orf46	0.39975
TMCO6	0.3045
IGHMBP2	-0.5095
DUS2L	-0.1515
FAM3C	-0.2246875
TMEM16D	-3.067875
DCTN4	-0.01775
KCNH3	0.19075
EIF2AK2	0.31925
AP1S3	1.99275
CST4	-0.0605
PAM	1.8734375
NUTF2	-0.9425
CITED2	0.2056
SLC39A4	2.023
C2orf52	-0.668
GRM3	0.19075
C12orf49	1.4275
CCDC49	2.6579
GRAMD1B	-0.308
FNDC4	-0.185
SIAH2	-0.49425
GDPD4	0.07075
C21orf87	0.96475
ATP5A1	0.2145
C16orf63	-1.26625
LOC388135	0.694
ATP5J2	0.413375
MMP3	-1.3745
EMID2	0.464
CRHR1	0.825
WDR70	0.17625
C13orf31	1.48375
ZFAND1	0.33075
CCL18	5.25866666666667
C3orf49	0.4625
RINT1	-1.45
KIAA0408	-2.429
F13A1	1.7596
SLC10A1	0.681333333333333
OGN	-2.855
GIPC2	-2.147
XPO6	-0.339
LCE1A	1.147
FMR1	0.1789
LOC374920	-0.097
DUSP3	-0.2955
ANKMY1	0.1215
C7orf50	0.22525
BBS9	-0.6245
UNC119B	-0.54775
C9orf72	-0.464
MGC35440	-0.84925
ENTPD6	0.27275
PPP1R2P9	0.522
ERCC4	-0.281
FAHD2B	0.087
HMHA1	-1.3715
HACL1	-1.46575
RAD23A	-0.0721666666666667
FAM83B	2.231
PPP5C	-0.2295
RNASEH2C	-0.603125
C9orf153	-1.2125
SCAMP4	0.16375
GHITM	0.5072
NDUFB7	0.929375
ADCYAP1	-0.126166666666667
SP110	1.44683333333333
MAP3K7IP2	0.304
DHH	0.86
AGRN	0.617214285714286
WDR33	0.553333333333333
CEP290	-1.89733333333333
PRPS1L1	-1.69916666666667
KLRA1	-0.417
GPR97	0.577
CHD7	-0.255666666666667
TLR10	0.46975
SLC30A8	-1.051
HIC1	0.653166666666667
IAPP	0.6205
RXFP4	0.7595
GP1BB	2.42275
SHQ1	0.3615
NKX2-3	0.898833333333333
API5	-0.21225
FTHP1	-0.2515
MOV10L1	0.344833333333333
TRIM6-TRIM34	1.76566666666667
ADHFE1	-1.57675
FAM117A	-3.022
DDI1	0.491
CDON	-0.4895
TRIM73	-2.49
IGKC	3.9815
MMP14	0.54525
DYNC1LI1	-0.1915
C11orf66	-0.10525
TRBV3-1	-2.286
FASTKD5	0.20625
BIVM	-3.8425
LHX4	-0.1715
CXCL2	1.4786
RAB2B	-0.445666666666667
IZUMO1	-0.62475
MAP3K15	-1.436875
FAM19A2	0.242
ZC3H8	0.432666666666667
ZMAT1	-2.0075
SPINK5L3	-3.0025
SLC10A6	1.5995
APPL2	-1.418
CARD10	-0.941666666666667
LOC402176	-0.2425
EEF1D	1.867
RAB6A	0.4054
C12orf5	-0.468375
PAPOLG	0.0365
MSRB2	0.50525
BCR	1.42616666666667
PUS3	0.0015
TIAM2	0.097
ZNF317	0.037
CHD2	-0.231071428571429
FZD5	-0.224909090909091
NUDT8	0.66975
ZNF763	-0.874
PRC1	-0.257777777777778
ABCB9	0.19
SPATA3	0.709
TRAK2	-1.456875
STAB1	2.5555
LRRTM2	-0.149333333333333
psiTPTE22	1.9215
DBI	1.52875
SERPINA11	-2.3895
NAT5	0.55275
C20orf58	-1.84625
RPS6KA4	0.609666666666667
FLJ90650	0.025
TGFBRAP1	-0.11875
CHRDL2	2.1965
FAHD2A	0.188833333333333
CNTN1	-0.03625
BBS4	-1.2401
TMEM181	-0.2315
MINPP1	-1.58075
MPHOSPH6	0.30825
HOXC10	-1.5265
ITPKB	0.257625
CLPTM1L	1.199125
MEOX2	-1.43083333333333
ATP6V0C	0.497125
PRPF8	-0.528
TMC5	-0.19525
FKBP3	-0.236
PLEKHB2	-0.15625
OR4D6	0.6145
ZNF544	0.0319
D2HGDH	-0.132125
RPL18A	1.0917
HEL308	-0.59275
MPP6	-1.36675
TCERG1	-1.07175
KRT16	4.79316666666667
KLF17	-1.67625
KLF5	3.815375
CDR1	1.32475
VCX3A	-4.3515
FBLN2	1.4705
C14orf104	-0.00375
HBE1	-4.278
OR4S2	0.593
C1orf108	0.134166666666667
ROBO4	3.3035
CPEB4	0.206
C11orf80	0.475333333333333
BCKDHA	0.8575
MYOC	0.13875
GIF	0.052
CKMT1A	2.9725
RPL3	0.6443
THBS1	1.5175
APOO	0.6895
ARMCX1	-2.02225
HSZFP36	-0.447
SNAPC5	-0.04575
EIF4ENIF1	0.917
ZNF433	-0.3745
TNFRSF21	0.393875
TMPRSS7	-0.064
SPATA18	1.2286
HPDL	-0.406
MKL2	0.3752
TBX3	-0.0915384615384615
C21orf93	0.8465
DAXX	-0.09775
ELMO1	0.064125
RGS13	1.0085
TAF11	-0.83775
UNC13A	-2.09375
LOC653314	2.9403
ORC3L	-0.59025
IMAA	-2.1535
TARBP2	-0.046
CABIN1	-0.1994
TRIOBP	0.289125
HIST1H2AC	0.751375
RGS22	-3.53983333333333
NCOA1	0.442166666666667
IL25	0.1385
SNCG	0.636
GPR6	0.706
AMDHD1	-2.31266666666667
CHEK2	-0.047
C6orf142	1.63275
DRD4	1.2685
C14orf68	-1.01575
GDF11	-1.53025
SEMG2	0.323
CD247	-1.4955
CDAN1	-0.31275
RBMX2	0.915666666666667
TGS1	-0.53275
OIT3	2.133
SYF2	0.011
MCM4	-0.498
PKHD1L1	-0.062125
CEP192	-0.882
IFT88	-1.531
RPL9	0.767142857142857
RAB32	-1.38825
DDX43	-4.11725
P2RX2	0.651666666666667
OR5D18	0.286
UBE1	-0.631916666666667
SLC24A1	-1.081
ARHGAP5	-0.21225
CETP	-0.932
KIAA1731	-1.36183333333333
SLC9A4	0.9165
PTPN6	0.178
BAHD1	0.76675
GRIK3	-0.056
CACNB2	-0.9275
PDE10A	1.39325
DGCR14	0.162
PCDHB9	0.045
RHOQ	-0.156166666666667
MAP3K4	1.21525
KTI12	-0.366
RPL23AP13	-2.5215
GNG11	-1.3405
CLCN3	0.4915
GPAM	-1.117
VSTM2A	0.111
SLAMF7	2.2495
INTS2	-1.2065
PPP2CA	-0.1591
LRP12	1.7222
SEC14L2	1.94466666666667
DKFZP586H2123	0.9375
MC3R	0.2795
CIRH1A	-1.52583333333333
HIST1H2AB	0.669
POLH	-1.15475
MGC16703	-1.8505
SNAPC2	0.3675
FILIP1L	0.02075
RASGRP4	1.196
LRRC1	1.83425
GAS1	-0.2065
PRAC	-1.10375
DGKA	-0.383
NT5C3	-0.344
PEG3	-3.59391666666667
NADK	0.03275
PRR17	1.66075
LOC374569	2.115
SGSH	-0.708
NLRP8	0.2565
GALT	0.2168
MCF2	0.4105
ZNF263	-0.66225
TACSTD1	0.919166666666667
TYR	-5.4235
ATP6AP2	-0.2685
RNUXA	-0.24975
ABHD10	-0.3688
GDPD2	-0.57475
SLC35C1	0.543
UBE2A	0.455125
HERC5	1.41083333333333
FAM112B	-4.19916666666667
FBXL16	-2.45525
DKFZP434A0131	-0.77175
ELA3A	-1.1615
RBM41	-0.65125
HAO2	0.00700000000000001
RNH1	0.34275
SHANK2	1.2655
OSBP2	0.032
DAK	-0.659833333333333
C3orf58	1.11916666666667
TCL1B	-1.076
KBTBD2	-0.193625
SUGT1L1	-0.8225
UBE2E2	0.769833333333333
MYL9	1.800625
CDC23	-0.958666666666667
PBXIP1	0.9324
CXorf40B	-0.087
NBL1	1.3025
RTBDN	0.5185
RAB11FIP5	-1.2045
TTTY13	-0.0095
SCOTIN	0.27525
SOHLH1	-0.248333333333333
CDKN1A	1.57385714285714
NCK1	0.62725
ZNF550	-0.39
SAPS3	0.383
SPIN3	-0.753166666666667
MAGEE2	0.01925
MIS12	-1.43583333333333
OR8H2	0.5485
KIAA0774	0.0831666666666667
UNC5D	0.3755
CUL7	-1.03866666666667
LIPC	-3.23883333333333
DIO1	-2.52525
C20orf11	0.5516
CTRL	-0.02775
HS3ST2	1.787
PAK4	1.11866666666667
CCRL1	1.8625
RNF10	-0.062875
ZNF567	-0.08525
ZNF660	-3.3995
TCEAL3	-1.25025
MAGOH	0.195666666666667
CENPB	0.165
C19orf7	0.806625
LOC388965	0.027
ZCCHC13	0.4435
JMJD1A	-0.8565
HIST1H4H	0.308
TBRG1	-0.9289
GPC3	-4.795875
TAF1C	-0.76025
EBNA1BP2	-0.488833333333333
CIAPIN1	-0.293
PDGFRA	-1.17005555555556
CSTB	2.418125
CENPI	-0.289
GTF2E2	-0.747666666666667
RPP21	0.37675
CCNF	-0.8635
KCNQ3	0.535
FAM79A	0.61425
SLC22A12	1.158
NOVA1	-0.875
FZD3	-0.2355
AKAP8	0.38275
SOCS5	-0.811625
CFDP1	-1.82625
DLG5	0.73875
PGM5	-0.512666666666667
C1orf144	0.5215
HDAC10	-1.0455
RND2	-0.5205
C20orf199	-0.06625
RNMT	-0.561
SLURP1	2.631375
ASTN1	-0.76925
SH3BGR	2.72475
MYCL1	-0.44275
ZHX1	1.48816666666667
CENPK	-1.25475
FOSB	0.5318
LOC643406	0.37125
C2orf59	-0.671625
TMEM135	-0.839625
SLC27A2	-1.40675
KRT33A	3.2895
OVOL1	2.384625
PAMCI	0.366166666666667
S100A7	5.568
ZNF789	-1.4545
HARS2	0.3685
RPL23A	0.901
TCF23	0.21375
UPF3B	-0.785
C17orf78	-0.238
HLA-DOB	1.7065
C14orf142	0.101
TEKT5	0.108
DMWD	1.0125
POLD1	-0.685
GSCL	0.2155
CALD1	-0.1897
SCRT1	1.05333333333333
AIG1	0.39225
UNC84B	0.10475
ZNF404	-1.09975
TMED6	-2.5595
KIAA1462	0.2035
LRRC27	0.207833333333333
PYGO1	-1.4435
PIGU	0.0273333333333333
ALAS2	-3.32666666666667
WRNIP1	0.666375
CNNM3	-0.4575
ZNF2	-0.5385
ST3GAL5	-2.16925
MRPL23	0.696
TSSK6	-0.05575
PSMA6	-0.0695
C16orf70	-0.527
KIAA1602	-0.07175
ALMS1	-0.529
DCN	0.118
TMEM132D	-0.9365
SUCLG2	-0.4595
ABHD14A	1.1745
DEXI	0.329666666666667
AMPD2	-1.2865
IFNAR2	-0.3135
CYB5A	1.6289
TLOC1	-0.62795
NXF5	0.00666666666666665
NRBF2	-0.034
KCTD3	0.40275
ITGAE	-0.368666666666667
SLC30A3	-1.53283333333333
ZRF1	-0.4575
IFRD2	0.78625
XAB1	-0.08925
PYCR2	-0.0393333333333333
SERPINB3	5.434
TMLHE	0.2418
GEFT	-1.698125
ABCA5	-0.72175
EMR4	0.284333333333333
TSFM	-0.2535
HIST3H2BB	0.20425
ARHGEF19	2.713
TSPAN17	0.4465
ABCC8	-0.527
MAP1S	0.127333333333333
C22orf36	-0.34325
BNC2	-1.77835714285714
HIST1H4A	-0.80575
NDUFS3	0.295
WDR3	-0.520166666666667
XKR4	-1.09
TTC33	0.437357142857143
STMN2	4.5225
CPN2	-0.914666666666667
HSPC105	-1.97875
PCOLCE2	-3.96
C3orf55	0.767
KLHDC9	1.56133333333333
TBC1D23	0.008
ATXN2L	-1.0555
MAP2K3	2.31608333333333
SCAP	0.06825
ZNF486	-1.732
C20orf96	-1.358
NARS	0.03275
ADAMTSL1	-0.819714285714286
PRCC	0.625833333333333
CCDC126	0.769083333333333
ZNF675	-2.38975
CALCOCO1	-0.65725
ANKRD43	0.0755
CWF19L2	-0.304333333333333
ZBTB32	2.93933333333333
BRAF	0.8395
ODF4	0.6235
MGC14376	0.6255
HORMAD1	4.12066666666667
AAK1	-0.2575
PEBP1	0.304833333333333
TNFSF5IP1	-0.294666666666667
DKFZp564N2472	0.416
RMND1	0.012875
IGKV1-5	4.10425
COL1A2	2.13825
SERPINA5	-3.890375
AANAT	1.117
C19orf21	0.0128333333333333
GEMIN5	-0.2935
UBR4	-0.138666666666667
LTBP3	0.539
AMHR2	-1.64683333333333
PROCR	-1.16575
MYBBP1A	-0.18775
C20orf39	0.227
ZNF697	-0.024375
PASK	-0.3659
ZNF776	-0.226833333333333
RFXDC2	-0.203125
KIAA0467	-0.2415
C10orf96	-2.57525
ZNF503	-0.182
GULP1	-2.33575
KCNE4	-1.07933333333333
DKFZp434K191	-1.232125
LOC196913	0.115
BHLHB4	2.1815
CH25H	0.205
LOC81691	-1.43666666666667
ALPL	0.275
COL12A1	1.08625
FOLR3	-1.18566666666667
GPR123	0.021625
TRIM62	0.0186428571428572
ABLIM1	1.75633333333333
MAST3	-0.984
RHBDD1	0.632333333333333
LOC338809	0.403
RYBP	0.33925
TTC26	-0.388
ZNF22	-0.629166666666667
ISCA2	-0.782
RDM1	-2.19025
PIGM	-0.17475
GNB3	-0.549
ACTR2	-0.2089
HMGB1	0.4041
EDG1	1.72316666666667
SOAT2	-1.52175
OR10AD1	0.171
RAP1GDS1	1.04283333333333
LCE1F	0.905
ESM1	-0.207125
RCN3	1.49375
CREBL1	-0.07925
DBNL	-0.334
PTGER3	0.287375
USP30	0.0125
BCL2L12	0.710666666666667
KIF26B	1.91425
ZNF416	-0.00525
ZNF225	-1.4465
C17orf70	0.808
ZNF554	-0.4175
RAE1	-0.314333333333333
TNIK	-0.454666666666667
ACTN3	1.194
MGC45922	2.079
CCNA1	4.6825
RYK	0.185333333333333
IL26	0.2115
LRP3	1.5675
QARS	0.1525
SOX7	1.99714285714286
BID	0.3325
OR2S2	0.3215
CXCL14	-1.47475
C11orf47	-0.6655
