Hybridization REF	TCGA-E2-A15I-01A-21R-A137-07
NBPF20	-0.927
WDR24	1.419
NPTX2	-2.4845
CBLB	0.810166666666667
CETN1	0.788
RPUSD1	0.93925
FAF1	-0.25825
CDK6	-3.0348
HMX2	0
CSK	-0.213666666666667
TEAD2	0.44775
SNAP25	-2.06925
TUFT1	1.0322
TMTC3	0.4095
LCK	-0.89775
SGOL1	-2.949
AKTIP	0.36475
FURIN	-0.454625
SOX12	-0.155833333333333
DEFB103A	-0.98075
RAMP1	1.02175
KIR3DX1	-0.8125
GAS2L3	-1.91475
PDE8A	-2.2364
EDN3	2.80875
GMIP	0.8025
SF3A2	1.27675
FN3KRP	0.39875
SMAD7	0.7755
RHBDD2	1.07625
OR11H6	-0.1365
PPP1R3B	1.5233
C9orf23	0.4665
CADPS	-2.498
GOLGA8A	-2.215125
TMEM57	1.22066666666667
RGL3	-1.2985
S100A14	0.9795
FGFR2	2.2194375
XRCC3	-0.485
RTN4RL2	0.33475
MGC3771	1.172
GH2	0.206333333333333
BTBD2	0.3285
LMO2	-0.208
RDBP	-0.685375
ACRBP	-1.36525
AMY2A	2.679
DUOXA1	0.551
PTK7	-0.437166666666667
TWF2	0.0168333333333333
FAM80A	-0.56375
TNNI2	-2.2365
GLT25D1	-1.1205
OCC-1	-2.524
CYC1	-1.0375
RPL22	0.419045454545455
MORN3	2.12733333333333
DISP1	1.1635
PRB2	-0.2015
CHUK	-0.62475
HR	-0.557375
CCDC134	-0.801875
DENND4B	-0.60725
C14orf130	0.849375
RAB33A	-1.111
DCST2	0.3225
TNMD	-2.057
PEX7	1.19025
FAM62A	-0.638375
SRD5A2L	-0.1515
IL22	-0.165
RPS26	-1.47183333333333
HOXC5	-0.4835
SPATA6	2.42325
FLJ38482	0.322125
ZNF234	1.3265
C18orf22	1.14075
SPATA22	5.04375
THOC1	-0.75375
CYP7B1	3.106
KCNC3	0.092
C8orf42	-1.8575
ALDH1B1	-0.375333333333333
CCDC100	0.158
ARMC4	1.569
FAM18B2	-0.52375
SLC44A1	0.81375
FBXO17	-1.579
C6orf107	-0.31
C19orf29	0.023
ZC3HAV1L	-0.28925
PARP6	0.308
SULT2A1	-4.77075
C1orf159	-0.021
TMC1	0.05925
CHST14	0.016
GAMT	-0.2665
SMCP	0.00249999999999999
TSPAN33	0.247166666666667
MIDN	0.457375
NOX4	2.23
RNASEN	-0.4702
TBX1	-1.41466666666667
SALL2	1.06925
C10orf35	1.01875
CYP2E1	-0.31925
LRFN2	1.51216666666667
ACO1	-1.77683333333333
IQCG	1.5427
MEGF9	2.40925
TM7SF4	1.53975
PLEKHA1	0.5734
STK33	-1.2585
C1orf210	2.5665
SNUPN	-0.2528
KIAA0406	-1.4482
C20orf29	-0.16075
TMEM55B	0.472
OSTM1	-1.182625
CLCN7	0.7915
OTP	-0.18475
FLJ23049	3.832
HEATR4	1.6945
MAP3K10	0.833
PCDHGA9	1.1475
AMDHD2	0.805
LCTL	-2.898
PDCD2L	-0.8805
CABLES2	-0.0665
SLC5A9	-0.746
CLCA2	-1.2555
MGC16025	-0.96
STRAP	-1.345
C20orf196	-0.0825
RRBP1	-0.274666666666667
NAT13	-0.7915
MAT2B	0.262625
CSNK1D	-0.757666666666667
KIR3DL1	0.2235
PRKAG3	-0.817
ZNF599	1.404
PRM3	0.81
PER2	1.773
ASPHD1	-2.849
PRMT6	-0.495
KCNE1L	-0.837428571428571
FAM118A	-1.124
TAF4	-0.336
NDUFB6	-0.2185
TRIM9	-1.886
PMFBP1	-1.46125
KY	0.438
DKFZp762E1312	-4.48754545454545
CSMD1	-2.10275
TBP	-0.1585
OR1Q1	0.602833333333333
RETNLB	0.44175
HPGD	0.918285714285714
DNAJC12	2.015
FKBP1B	-1.0025
ANKRD24	0.304166666666667
CXXC5	-0.582
IL3	-0.1355
DRAM	-0.1822
PTCH1	-1.377625
TP53BP1	0.28925
SLC17A7	0.404
COL25A1	-1.7402
AMACR	-0.595
RHCG	-0.61575
VPS13A	-0.047
FAM55D	1.209
PRPF38B	-0.213083333333333
OSBPL6	-0.638
PFDN5	1.0549
CMTM6	1.184875
KCNK12	-2.00125
RP2	-0.429
C16orf52	-0.36825
PICK1	-0.1385
IFNE1	-1.17766666666667
SEMA4B	0.43
TYRO3	-2.709
OR12D2	-0.3485
CSNK1A1	0.8718
FANCF	1.124
LONP2	0.187125
TBL1Y	-0.77975
LDOC1L	-0.5745
CCNC	-0.1705
C3orf60	-0.14175
CHKA	-0.70275
UBAP1	0.149
MAP3K1	1.192
ANKRD9	0.19175
FAM92A1	-2.29516666666667
GAB2	0.14175
AZU1	0.079
DIS3	-0.888
C21orf109	-1.1585
IQCB1	-0.4955
SPATS2	-0.717
EFCAB3	0.149
PRB3	-0.09325
FUZ	0.586166666666667
ZNF813	-0.016
BMPER	-1.8055
HEG1	-0.5975
ALS2CR11	-2.00225
SURF2	-0.26575
PSMC1	0.0404166666666667
OR2D2	0.1175
SLC7A8	2.40816666666667
C4orf40	0.129
SPATA7	1.401
MAZ	0.353416666666667
PIN4	0.324
PDE1A	0.18775
TAF6L	-0.1245
OR2T34	-0.1305
KIAA0284	0.96675
ACADS	0.525818181818182
MKRN2	-1.129
C18orf56	-4.618
MS4A6E	-0.5865
GALNT4	0.0606
C22orf31	0.441
FLJ36070	0.1675
PSME4	0.76125
TFG	-0.45
EPHX2	2.430875
ANXA5	-0.582625
KRTAP1-1	-0.2067
BATF	2.1545
KARS	-2.24275
MSTP9	-0.9395
GPR26	-0.53825
CCDC72	0.33475
TEF	0.2165
FOXK1	-0.2882
PRLHR	0.4225
EMX1	3.92
C11orf30	-0.354625
ICK	0.351
THSD7B	0.031
C21orf100	-1.059
DUOX1	2.7675
EFCAB4B	-0.445
UBE2G2	-0.82
C3orf54	-0.152
PARP1	-1.41875
FAM60A	-1.94458333333333
C6orf146	-0.62275
OR9K2	0.5135
DDX55	-1.20133333333333
RPS15	0.528583333333333
ZNF618	0.9944375
DKFZp686D0972	0.36175
SSPO	3.5245
SHFM3P1	0.672
CPA6	-0.901
JAG2	0.7715
DEFA3	0.07575
PPBPL2	0.263666666666667
CD34	3.80075
SLCO4A1	-3.337875
AFG3L1	-1.44416666666667
SHD	-1.193
RP13-122B23.3	-0.5035
PRKCSH	-0.536166666666667
DPH5	-0.228666666666667
HLA-F	2.617125
TBC1D4	-0.878
RIG	-0.554666666666667
GLUD1	-0.193
HNRPCL1	0.483
HBXIP	0.00174999999999999
RNF207	-0.668
APIP	-0.48925
PLA2G3	1.337
CCDC84	-0.4115
MYLIP	-0.283769230769231
PHIP	0.08375
AARS2	-0.459666666666667
DHX32	0.7555
SCAPER	0.667333333333333
MEN1	-0.293125
NIP7	-1.822
FLJ25404	0.632
FASTKD3	-0.2205
TMEM158	-2.55591666666667
RARA	1.6555
BDH1	0.7055
ANKRD16	0.9625
CARM1	0.4615
SS18	0.368166666666667
IKZF2	0.714916666666667
MYD88	0.1145
PML	0.43345
TAF1A	-1.02425
CBFB	-1.313375
HIST1H3H	-1.28116666666667
C7orf29	-1.809
COMMD4	-0.6935
DPP3	-1.0445
DAB2	2.16
LOC388882	-0.5885
YPEL4	-0.31775
AGBL3	0.6185
LRP6	0.7609
SERPINH1	-0.927333333333333
TLE1	-1.65775
CD244	1.10783333333333
ZDHHC15	-0.9605
MGLL	-1.0611
PLDN	-0.75025
LOC654346	1.9015
FAP	2.587
GPR37	-0.775
SCARA5	0.9825
EBF4	1.02327272727273
LSM6	-0.249
MLLT1	0.0443125
SLC5A12	-0.55775
A2BP1	-1.57583333333333
COPS5	-0.1015
TPM4	-1.24685714285714
TNFSF4	-0.0218333333333333
ACADSB	2.29066666666667
HERPUD1	0.396
BCL2L11	-0.119055555555556
CEP78	-1.447
CDCA3	-2.551625
WBSCR19	1.1408
MYO1A	-1.852
PPEF1	1.911
LOC440348	-0.062
CPEB2	1.77925
BPTF	-0.234666666666667
RPL21	0.8233125
GSX2	0.12
ADPRH	1.53316666666667
C17orf68	-0.281333333333333
KCNS1	-0.917666666666667
MLLT6	0.748
PIWIL4	0.41175
RNF26	-0.7095
RAP1B	0.34
ADAMTS1	-1.9043
ZNF571	0.8025
P2RY6	-0.436
TRIM21	0.916333333333333
CADM3	0.1165
NLRC5	0.780833333333333
ADRA2B	0.0196666666666666
LOC90835	1.42625
PCF11	-0.22325
LOC400451	1.773
GLTSCR1	0.7544
C17orf88	-0.1165
CDH16	-0.94075
FGF7	2.541375
PCSK4	1.12883333333333
NPC1L1	-0.766666666666667
TAT	-0.087125
TBCA	-0.33475
MGC33407	0.059
GPR115	-1.89325
CYGB	-0.2425
FNBP4	-0.909166666666667
C12orf43	-0.45
CBL	-0.334
CLECL1	2.264
PPAPDC1A	1.1575
WDR25	0.9575
SGCA	0.418
C22orf29	-0.300333333333333
YIPF1	1.591
GALK2	-1.0805
RAB3B	-3.61633333333333
LOC440087	1.369
UCP1	-0.799
REEP5	1.400375
FADD	-0.8202
FOXA1	3.8225
CACNA1A	0.319166666666667
ABI1	-0.272166666666667
GRIN2D	1.41225
SLC1A4	-1.0415
LOC401127	-1.694
HINT2	0.91575
PLD4	1.295
ZNF286A	-1.86
ENY2	-0.3835
IL1F6	0.0305
PXDNL	1.0395
C20orf79	0.5065
TNFSF13B	2.939
DENND3	0.542
JARID1D	-3.38175
HIST1H2AK	-0.03725
LOC93349	-0.00810000000000001
SSH1	-1.2328
ENSA	-1.29325
LOC219854	0.750333333333333
CKAP2	-1.65
DKFZP564J102	0.0461666666666667
MGC87315	-0.0841666666666667
HNRPAB	-2.1795
AMH	-0.804
ZNF526	0.414
BRUNOL5	-0.2646
CACNG3	0.198166666666667
TRPM1	-2.063
PPP2R1A	0.38075
COL2A1	-1.69725
DDN	-0.328666666666667
FLJ25770	1.99266666666667
HK2	-0.954642857142857
ELOVL6	-2.05925
MDK	-0.672
EPHX1	0.72325
RASSF2	0.630625
DKFZP434B0335	0.37425
DLX3	-0.466625
PRTN3	-1.2015
AVPR1A	0.11075
C21orf125	-1.90525
TNFAIP8	-0.278333333333333
GNB2L1	-0.14225
CALCRL	2.93625
SCGB2A2	7.332
UBXD7	-0.422
ZNF674	-0.62
TMEM35	0.2945
BRSK2	0.58025
HECTD3	-0.414833333333333
TMEM188	-0.722333333333333
LGALS9	1.930625
SCARB2	0.956333333333334
USP34	-0.18275
C17orf28	1.98883333333333
ZDHHC23	-0.853
AQP12B	1.844
SLC16A3	-2.620625
APLP2	-0.25425
ITIH2	-5.187
MICAL3	-0.934
TNNI3K	0.9983
HDAC2	-0.176375
PRR7	-0.4415
THBS2	-0.6175
LOC751071	-0.6695
CA2	0.928333333333333
RANBP17	0.204
RLN3	0.245
CRYZ	0.274833333333333
GBAS	0.981
TAS1R1	-0.25175
MPZL3	0.786
PCDH8	-2.318
HSP90B1	-1.1285
KCNK15	-1.293
TNIP2	0.0118333333333333
GPR146	0.402
NOL6	-0.72375
SPC25	-4.40344444444444
STEAP2	4.7955
VAMP3	0.352166666666667
TCIRG1	0.42775
ZP4	-0.3455
PARL	-0.242875
TRIM39	0.22
KIAA1305	0.73325
CRNN	-0.0973333333333333
GRN	0.2
HSH2D	-0.7365
SCAMP1	1.0423125
KIAA1913	0.4975
PTS	-0.441
BANP	0.156642857142857
PRKACG	0.22125
ADCY6	0.829
C16orf46	1.3605
CYP51A1	-0.15375
DDC	-5.9815
ANPEP	1.66516666666667
PROM1	0.708833333333333
SIGLEC10	2.5305
COPG	0.1085
FAM26E	0.894375
TRIP4	0.36225
SNX3	0.2365
C1orf175	0.639
PPY2	-0.30325
C14orf152	0.79175
FTSJ1	-1.29716666666667
DST	0.9055
LOC554235	0.177
GLRX5	-0.34975
C20orf12	1.7514
CAB39	0.346333333333333
MSH2	-1.28466666666667
PIP4K2C	0.868375
CYLD	0.468875
WTAP	0.7490625
MGAT4A	-0.0664444444444444
TSC22D4	0.4611
CHRM2	-2.046
PPYR1	0.424666666666667
CCNH	-0.183
RRM1	-1.4585
ECAT8	-3.72825
LOC400120	-0.64025
GABRA4	-0.59875
C14orf4	2.42633333333333
C1orf59	-0.64975
CTDSPL	1.44891666666667
NHEDC2	-1.404
PDE11A	-0.485875
KLHL29	-0.8765
CD5	0.2331
TSPAN9	1.894
WDR67	-0.1505
THUMPD1	1.465
C18orf17	0.89225
CLYBL	0.556333333333333
FLJ13231	-0.08375
CMBL	0.81625
LECT2	-1.01925
NKAPL	3.1925
LOC654780	0.558
OR4C6	-0.305
RAB30	1.40716666666667
TSSK4	-0.037
TMEM163	0.2435
OSBPL11	-0.18125
GNB5	-1.7195
CCL21	2.63175
C1orf121	-0.647833333333333
FMO2	2.3345
RPTN	1.7955
MSTN	1.0525
VCL	-0.725357142857143
FYTTD1	-0.20225
C11orf1	0.82025
CCDC88C	0.9101875
HFE	-1.08311111111111
MOGAT1	-0.8255
FAM125B	0.686
IRGQ	1.0065
RAVER2	-0.79375
AKAP5	0.0875
SSSCA1	-0.48625
C11orf63	-0.5285
ACTG2	1.2253
PORCN	-1.117
DTL	-3.96
TMEM151	0.2435
FAM122C	0.42525
RSAD2	2.0185
BAT4	-0.4795
KRTDAP	-0.736666666666667
MYH8	0.475
CRTC3	0.30625
LRRFIP2	0.6324
INTS4	-0.274166666666667
TTN	-1.34983333333333
SLC26A5	-0.0345
PLLP	-1.50475
RGS6	-0.796125
SRGAP3	1.77
ZNF525	0.018
NBR2	0.529
C13orf1	-0.1766
ZNF137	0.259
CEP27	-1.63375
BEST2	-0.068
RNF121	-0.3755
DMRTC2	3.5555
C8orf76	-0.4285
BCCIP	0.439125
MEST	-1.033
HTRA2	-0.0385
ANGPTL2	-0.4575
ILKAP	-0.437666666666667
ERAS	-0.2795
HBS1L	-0.7245
CPA5	-0.1695
TMEM30A	0.481666666666667
CD300LF	2.64966666666667
WISP3	2.5545
CRK	-0.176642857142857
PDS5A	-0.6599
BRPF3	1.2775
NEDD9	0.672375
SMPDL3B	0.013
PSG6	-1.51275
PSMD13	0.25525
ETV5	-2.145
OR51A4	0.145
BTBD7	1.71183333333333
GSTO1	-1.474
hCG_16001	0.537
MAD2L1BP	-0.295333333333333
COX6A2	1.489
SCNN1A	1.915
LSM1	-0.0188333333333333
UGT2B11	4.249
IDUA	1.85725
PPP2R3C	-0.180333333333333
COX11	-1.182
PDZK1	-2.70675
ZNF443	0.0178333333333333
MGC21874	1.77166666666667
ZNF323	1.3358
KRTAP10-10	0.3605
CXCL6	0.57175
SLC34A2	1.4732
LOC284402	0.441
NPTN	0.9685
UPP1	-2.31266666666667
SLC6A9	-0.8965
OR7G3	-0.0945
CISD1	-1.17183333333333
ZNF545	-0.614166666666667
SYT14	-0.9745
NT5C3L	-0.215666666666667
ZNHIT3	-0.117666666666667
SNRPD3	-0.9585
KIAA0701	0.593625
UNC93B1	-0.0936666666666667
GMNN	-1.446625
SPCS2	0.0546666666666667
LOC388524	-0.5805
NAPRT1	0.7545
PNLIPRP1	-0.12525
OR6V1	0.1625
PRKAB1	-0.062
EYA4	-3.90633333333333
KIF20A	-3.654
ALG10	0.08075
ITPKC	0.919
LMX1B	1.95933333333333
RPUSD4	-0.3605
C7orf34	0.0813333333333333
DLGAP2	0.1715
PFN1	-1.1826
MICALL2	0.613333333333333
ZNF654	-0.8835
SS18L1	-0.851625
SLC16A8	0.77375
MKI67IP	-0.269166666666667
ITGB3	-1.101125
TCEA3	2.95691666666667
CEP152	-2.6145625
CLIP1	0.239375
ZNF75	0.6561875
ATP5C1	-0.771666666666667
NUDT5	-1.20233333333333
PSCDBP	1.888
UBP1	0.69725
RBM27	-0.07375
C13orf15	2.714125
ZNF282	0.562333333333333
ZNF222	-0.4765
COL10A1	5.0905
PRDM15	-0.06925
TTTY5	0.5325
FAM9C	-0.6265
C20orf67	0.2895
GNG13	1.6685
F12	-0.94475
C1orf41	-0.62875
CPXCR1	1.492
GSK3A	0.138875
SUPT6H	0.0308333333333333
PI16	0.0758333333333333
ELL2	0.624083333333333
C9orf167	-1.848
PVRL3	-1.9525
FLJ38596	0.67425
ADAM20	1.17775
GPR89A	-1.4595
GPR87	-0.178
ZNF30	2.419
SMR3B	1.05375
ZNF770	0.270625
TRPC4AP	-0.634333333333333
DKFZP686E2158	0.447
C2orf28	0.132166666666667
FREM1	0.4295
LAMA4	-0.304333333333333
ADPRHL2	-0.26875
EIF4G2	0.555833333333333
GUCA1A	-0.4515
CTNNA2	-0.8085
NUDT15	-1.129
CEPT1	0.5045
ZNFX1	0.3239
CCDC92	1.12125
TDRD1	-1.195
KCNK5	-2.4015
ETNK1	0.173083333333333
LTA	0.013
TTPA	-1.3918
B3GALNT2	-1.07725
SC65	-0.548166666666667
PEX5L	-1.996125
EPS15L1	-0.1525
MGEA5	0.818125
HIST1H3A	0.46775
ING1	2.044625
BCAT1	-4.113625
ORC6L	-4.29809090909091
KLK11	3.01566666666667
C19orf28	-1.361875
DNER	-4.635375
MED22	-0.691714285714286
ETV6	1.76725
CHAC2	-2.28325
CD300E	0.0595
CEBPB	-0.441416666666667
ZNF398	0.0815
LRCH3	0.261
HMGA1	-1.2535
CAPN7	0.120166666666667
MGC5566	-2.89225
CCL3	2.97375
NANOS1	0.081125
ZFYVE19	0.67
APITD1	-0.305
PARD3	0.176875
IRAK4	-0.101
SERPINI2	2.891
CEP170L	-1.5405
TTC9	2.752
MYOM3	-1.80775
MLPH	1.892875
LOC222699	0.797
NRG1	-1.56675
TBC1D9	4.72345454545455
TTK	-3.9135
ZNF557	0.3173
DDX41	-0.218666666666667
FANK1	3.4585
UBE2D2	0.012
PSMB10	0.7365
MYH7B	1.379
GABARAPL2	-0.048
MARVELD2	2.10183333333333
DGCR2	-0.0506666666666667
UNC45A	0.0655
C6orf72	0.245
ZNF683	4.7595
GIT2	0.27325
CASK	0.374666666666667
C14orf161	4.7555
LRRC44	0.32675
TIFA	1.060875
UTP11L	-0.51725
C6orf65	-1.19575
FDPS	-0.998
DUSP9	-2.0365
SLC17A8	-0.266833333333333
OR51G1	-0.089
NANS	-0.154
OLFML1	1.7195
ATP10B	-2.63642857142857
NPAS3	3.4395
PRKCA	-2.4813
GGA2	0.241875
LCE4A	0.517
SPANXN3	0.04325
CCDC115	1.4165
SDCCAG3	-1.01475
GLIPR1L1	-0.63575
TTC1	-0.49725
C17orf76	1.0895
MAD2L2	-1.45
HIPK1	-0.1622
LRRC3B	0.323833333333333
CLN3	0.293
C17orf47	0.0985
FMN2	-3.512875
TUBB1	-2.105375
WAPAL	0.313666666666667
C3orf21	-1.413875
SCN5A	-0.6031
SMYD1	0.6675
BEX5	0.86825
ZNF192	0.408
SEC22A	0.0791666666666667
GRIA2	4.52435714285714
KIAA0825	-0.8975
NUSAP1	-3.93263636363636
LANCL1	-0.09475
C15orf40	-0.6738
ZNF645	-0.144375
GPR61	0.08075
NLRP14	-0.2815
SNX21	-0.3564
C1QTNF8	-0.195
C17orf46	0.21125
IFNA8	-0.0409999999999999
SPRR1B	-2.63566666666667
FLRT1	-0.9015
SNX17	-0.457833333333333
ASB2	0.800333333333333
HBG1	-4.594
RPRML	-1.95125
JOSD2	0.115166666666667
PLSCR3	-0.048
SPOCD1	1.86383333333333
RAB39	-0.854
GHRH	-0.481833333333333
ITIH5L	0.75775
C17orf37	0.558
SMCR8	0.6525
DPY19L2P3	-0.805
IL11RA	0.897166666666667
GDF3	-3.934
RPS6KB1	-1.15325
DNAJC19	1.2778
TOP1	-0.5545
CRCT1	0.19175
MPST	-0.25475
DPM2	0.0905
FAM38B	-2.08333333333333
SLC18A1	-1.36483333333333
FARP1	0.348333333333333
PAX7	-0.0195
TUBD1	-1.0445
GNL3	-0.195625
BTG2	2.4836
NDUFS6	-0.7905
C1orf79	-1.15775
ERAL1	-0.2795
ECHS1	0.7905
VPS4A	-0.613333333333333
CYP11A1	-0.28925
ABCC6	-2.14428571428571
PBX4	-0.9685
MOSC1	-1.435
NCF4	-0.00825
HYMAI	0.189
NAGPA	-0.469
OTOP2	0.22025
ACOT12	-0.384
MTHFD2L	-0.1105
LOC441376	3.461
C19orf34	-0.379
RAB1B	-0.03
ALDOAP2	-0.5925
NTRK1	-0.966666666666667
ARTS-1	0.3282
SLC6A11	-1.553
NAP1L2	-0.16675
CNGB1	-0.2575
EPB41L4B	1.23933333333333
FAM134B	3.59575
HS3ST3A1	-1.63566666666667
CPXM2	4.61425
SIRPB2	0.245
CHORDC1	-1.121
TRIB3	-1.9785
SLC2A5	0.42575
C2orf49	-0.510166666666667
DDX5	-0.053
OR5L1	0.8375
ANAPC4	0.072
ZSWIM1	0.548875
LOC93622	0.281125
KCNK3	-0.7285
RP11-35N6.1	-2.371875
ZFP161	0.4905
AQP9	1.03925
SLC15A2	-0.217333333333333
MREG	-0.0636666666666667
OR9I1	-0.1845
PDLIM2	-0.021375
ADAM7	0.3795
GSTCD	-0.223
WDR21A	0.569875
SLC12A8	0.493833333333333
TMEM174	0.32825
IGSF3	1.10433333333333
LRRN1	3.345
LOC402117	-0.679
SRPK1	-1.81033333333333
LY6K	-0.795625
NFIA	3.145
PTCD3	-0.27775
LEP	0.488333333333333
PCDH21	-0.719
MAPKAPK2	0.0741428571428571
NMNAT1	-0.106833333333333
LHFPL2	0.022375
C9orf43	0.462
DIP2A	-0.537833333333333
ACTR8	-0.508
CCDC34	-1.1795
PTPN22	-0.661375
ITGA3	-0.983625
FAM129C	2.04025
RABGGTA	0.3975
UNC45B	0.96925
KIAA1033	-0.212
ZNF510	0.0891666666666667
CYP2D6	0.017
SLC26A10	-0.8895
STX8	-0.2675
LUZP1	-0.38875
WDR89	0.531
EIF4G3	-0.2774
C5AR1	0.7915
ZNF623	0.081
A2M	0.7165
TGM7	0.7755
GRPEL1	-0.9125
LMNB2	-2.0342
ROCK2	-0.809333333333333
SNX16	1.3455
CCDC66	0.54775
ANXA3	1.00825
KIAA1609	-0.8115
EED	-0.73325
RNF32	0.938166666666667
HES1	1.475
CLC	0.668833333333333
ISL1	-1.6625
KIAA0528	0.645625
MANEA	0.12925
C1orf61	-1.978
hCG_2001000	0.65375
RAPGEF6	-0.1787
KIAA0020	-0.719333333333333
NEIL1	1.7045
C16orf45	-1.524125
RBM10	0.0733333333333333
C10orf125	-1.247
MRS2L	-0.5875
DNAH17	-1.593375
C19orf10	-0.87
C1orf160	0.7475
SLFN12	1.84375
EXOC3	0.0178333333333333
HIST3H3	0.33625
NCOR2	0.255833333333333
TNFRSF9	0.65225
MFSD8	0.04325
ALX1	-4.408
NOL1	-1.7705
PODN	2.75975
TIAL1	-0.66625
HIST1H1E	-1.028
NPY6R	0.2205
TM4SF4	1.9335
CORO2A	0.803
ETNK2	-0.631333333333333
APOE	1.0287
ANGPT4	-0.272
HDGF2	-0.3055
G30	2.2325
ST8SIA4	-0.5195
F2RL1	-1.383875
FAM19A4	0.12775
CCAR1	-0.05725
B3GNT7	0.00724999999999999
OPHN1	0.254
DSCR6	1.1075
C21orf13	2.089
GAS2L1	0.0335833333333333
RFX3	0.8285
COPS4	0.208875
BCHE	-5.12233333333333
BCL2	3.107875
HBZ	-2.86966666666667
ARL13B	-0.11425
MAPBPIP	-0.04425
MYO15B	1.752125
SPZ1	0.1135
KIAA1324	3.83755555555556
PLCL2	-0.51125
C4orf29	-0.77875
WDFY2	-0.15725
ZNF284	-0.692
NAALADL1	0.317
DUSP5	0.210166666666667
PXDN	0.1985
SLMO1	-2.03975
TNXB	0.2694
BIRC7	-1.39575
A4GALT	-0.453666666666667
TIMM22	-0.6405
FAM110C	0.55825
TOMM34	-0.7385
ABHD9	0.1175
ADAM32	0.6625
CRHBP	0.27875
AQP2	0.262
LOC130355	1.42875
ZNF187	0.472833333333333
ZNF816A	0.3645
F7	1.39525
CNOT1	-1.0005
SLC13A4	-0.02525
ZBTB11	-0.0085
B3GALT5	-0.377
EXOC2	0.888333333333334
IRS1	-0.5013
TMEM1	-0.0886666666666667
MRPL34	-0.210333333333333
SAMM50	-0.93925
CDC42EP3	0.205625
HSF2	-0.2725
MFN2	0.08075
TSPAN7	-1.3215
NUCB1	0.804333333333333
RHOH	2.01425
ARL16	-0.5695
TACR1	0.13125
SFRS5	1.0425
SNX25	0.808625
RHBDF1	1.5615
PCDH18	1.95216666666667
HMG1L1	-0.5055
MYO5C	1.139375
MAPK10	3.1565
LDHAL6A	-0.308333333333333
NUDT12	1.326
NCAM1	-0.418875
GLIS2	0.334
GGTL4	-0.5615
DAPP1	0.618
ATF7	0.841625
KIAA0748	-0.05775
NFIL3	-1.5165
TM6SF1	0.0475
SEZ6	0.2055
NANOS3	0.109833333333333
DNAJA3	0.286666666666667
CLDN6	-2.6565
CIITA	3.1397
EPHA4	-0.457666666666667
FANCC	-0.65775
CMTM3	0.066125
PSG3	-0.778125
MRPL15	-0.8235
C21orf59	0.148
PLCXD2	-0.52225
C2orf34	-0.833125
UBE2L6	1.28975
MED14	-0.746
HP1BP3	0.4254
C6orf208	0.0855
TPBG	0.99575
OSR2	0.136375
XPC	-0.341
KLHL7	-1.058
CCR3	-0.150666666666667
AGTPBP1	-1.393
PCSK6	1.20153333333333
STAT5A	-1.2307
FAM18B	-0.26075
LONRF2	1.305
PTPN2	-0.13075
SF3A3	-0.590166666666667
EFCBP2	-0.73075
HCFC1	-0.5305
AHNAK	0.12125
ACTR5	-0.53975
KIF14	-4.89514285714286
TENC1	1.53475
HEATR5B	0.965
YIPF2	0.354333333333333
MYEOV2	0.4505
DUSP18	0.9385
KIAA1012	0.686
AHR	-0.164166666666667
C17orf53	-1.9205
PTPRH	-3.19575
ATP6V1C1	-0.2513
TAS2R3	-0.0515
LOC440356	-1.94
COQ10B	0.19625
PSMF1	-0.0761666666666667
SORBS2	4.0415
NFE2L2	-0.16
TMCO7	-1.16775
SH3PXD2A	0.0356999999999999
SH2D2A	-0.7805
SPINK5	-3.50925
MRPS24	-0.44575
OPA3	0.45875
TRAF7	0.426166666666667
C4orf35	0.6765
MT1G	-0.92875
MGC39545	0.0855
HS1BP3	0.3128
OR2B2	0.0685
CHRM4	-0.1515
SFRP2	3.52991666666667
RIC3	3.46625
ART1	0.0035
C6orf1	1.90625
DUS4L	-0.53675
C10orf104	0.6565
TNFAIP6	2.68575
RTEL1	-0.69675
CCT4	-0.8603
ZNF709	0.1585
CHMP6	0.238833333333333
UPP2	1.42425
CYP19A1	-2.72
CD151	-0.1445
NDUFA13	0.0996666666666667
ARFRP1	-0.764
FAM26B	0.91475
CRYBA1	-1.615
MRPL41	0.326666666666667
NPFFR2	-0.275125
HRH2	0.06
SCAMP3	-0.0863333333333333
MTMR6	0.1007
MTG1	-0.336666666666667
UBTD1	0.49625
CRABP1	-3.049
FLJ33790	-0.2883
KIAA1908	0.158333333333333
GPR158	-0.691
PACSIN3	0.172833333333333
OMD	3.60516666666667
CATSPER1	-0.628166666666667
HOXB8	3.66575
FBXO46	0.721
OAS1	0.532666666666667
SVIL	0.5135
PHB2	-0.4605
ADCY3	-1.213
NDRG2	1.44383333333333
ERMAP	0.8829
APBA2	-2.10216666666667
IGSF9	1.8815
WNT6	-0.334857142857143
MYCBPAP	2.91175
ATP2B2	-0.204
CPVL	-0.9597
TRAM2	-1.01225
NOP5/NOP58	-0.86675
ZNRF4	0.00500000000000001
TLK1	0.640625
MTMR12	-0.0621428571428572
ZNF384	0.0955
FAM9B	-3.69175
RPN1	-0.0606
PMVK	0.54425
EIF3D	-0.3395
SIX2	0.55125
HPS1	0.227
RNF7	0.057
PSKH2	0.1185
KCTD13	0.0806666666666667
CSMD3	-0.6258
FBF1	-0.305
IL8	-5.791625
SERPINB13	-0.0206666666666667
FBXL20	-0.092
BLR1	0.35875
SH2B1	0.2575
RFNG	0.104375
RAB20	1.446
RBM7	-0.368
POLR1A	-0.664
TMPRSS4	-2.92575
