Hybridization REF	TCGA-AR-A1AO-01A-11R-A12P-07
RPS6KB1	-1.51508333333333
DNAJC19	0.5348
TOP1	-0.4895
CRCT1	-0.556125
MPST	0.515375
DPM2	0.456625
FAM38B	-1.00083333333333
SLC18A1	-3.095
FARP1	-0.0836666666666667
PAX7	-0.55
TUBD1	-1.26825
GNL3	-0.309375
BTG2	1.6978
NDUFS6	-0.46675
C1orf79	-0.73675
ERAL1	-0.92675
ECHS1	0.932
VPS4A	-0.3435
CYP11A1	-0.309375
ABCC6	-1.84085714285714
PBX4	-0.4405
MOSC1	-0.68
NCF4	2.5555
HYMAI	1.056
NAGPA	0.321125
OTOP2	0.18575
ACOT12	-0.115
MTHFD2L	-0.660125
LOC441376	2.83675
C19orf34	0.6955
RAB1B	-0.38325
ALDOAP2	-0.6
NTRK1	-0.197666666666667
ARTS-1	1.4357
SLC6A11	0.033
NAP1L2	0.64575
CNGB1	0.0863333333333333
EPB41L4B	-0.233333333333333
FAM134B	1.96975
HS3ST3A1	0.946666666666667
CPXM2	5.44925
SIRPB2	1.095
CHORDC1	-0.403166666666667
TRIB3	-0.8445
SLC2A5	2.044
C2orf49	-0.723666666666667
DDX5	0.0725
OR5L1	1.7955
ANAPC4	-0.231666666666667
ZSWIM1	0.345
LOC93622	-0.46125
KCNK3	-0.4078
RP11-35N6.1	-0.7125
ZFP161	0.391333333333333
AQP9	6.33525
SLC15A2	-0.5775
MREG	1.4605
OR9I1	0.268
PDLIM2	0.77725
ADAM7	0.0495
GSTCD	-1.3155
WDR21A	0.46
SLC12A8	0.9015
TMEM174	0.336
IGSF3	-0.0358333333333333
LRRN1	0.657
LOC402117	0.1025
SRPK1	-1.146
LY6K	-0.3988125
NFIA	2.259
PTCD3	-0.13925
LEP	2.868
PCDH21	-0.0456666666666667
MAPKAPK2	0.205285714285714
NMNAT1	-0.375166666666667
LHFPL2	1.942625
C9orf43	-0.029
DIP2A	-0.802
ACTR8	0.1815
CCDC34	-1.755
PTPN22	1.080875
ITGA3	-0.24375
FAM129C	1.9385
RABGGTA	0.691
UNC45B	0.9485
KIAA1033	0.13775
ZNF510	-0.384666666666667
CYP2D6	-0.6105
SLC26A10	-1.0705
STX8	0.246
LUZP1	0.387
WDR89	-0.260666666666667
EIF4G3	-0.48
C5AR1	3.3605
ZNF623	-0.2275
A2M	1.85925
TGM7	0.969
GRPEL1	-0.389333333333333
LMNB2	-1.1034
ROCK2	-0.0431666666666667
SNX16	0.202
CCDC66	0.34175
ANXA3	0.49275
KIAA1609	0.800375
EED	-0.27425
RNF32	0.176
HES1	-0.0702
CLC	0.192
ISL1	-1.1776
KIAA0528	-0.30675
MANEA	-0.233375
C1orf61	-2.569
hCG_2001000	1.20825
RAPGEF6	-0.503
KIAA0020	0.0503333333333333
NEIL1	-0.17225
C16orf45	-1.1395
RBM10	-0.202666666666667
C10orf125	1.129875
MRS2L	-0.871
DNAH17	-1.587125
C19orf10	-0.23
C1orf160	0.716
SLFN12	1.5355
EXOC3	-0.739166666666667
HIST3H3	0.59675
NCOR2	-0.1705
TNFRSF9	2.6145
MFSD8	0.77875
ALX1	-4.60983333333333
NOL1	-1.2955
PODN	2.86375
TIAL1	-1.08575
HIST1H1E	-1.16
NPY6R	0.9915
TM4SF4	0.55825
CORO2A	-0.52175
ETNK2	-1.17916666666667
APOE	3.7802
ANGPT4	-0.782
HDGF2	-0.526
G30	1.959
ST8SIA4	0.69625
F2RL1	-0.14325
FAM19A4	-2.7185
CCAR1	-0.73775
B3GNT7	0.4015
OPHN1	-0.317
DSCR6	-0.7375
C21orf13	-0.0501666666666667
GAS2L1	0.459666666666667
RFX3	-0.6425
COPS4	0.019875
BCHE	-3.9805
BCL2	1.280375
HBZ	-3.13916666666667
ARL13B	-0.0645
MAPBPIP	0.50425
MYO15B	-0.074125
SPZ1	3.69966666666667
KIAA1324	2.28833333333333
PLCL2	0.802
C4orf29	-0.8315
WDFY2	0.03975
ZNF284	-0.601
NAALADL1	1.126
DUSP5	0.739833333333333
PXDN	0.361
SLMO1	-0.54425
TNXB	0.619
BIRC7	1.24125
A4GALT	0.955333333333333
TIMM22	-0.2645
FAM110C	0.75725
TOMM34	-1.063875
ABHD9	0.8395
ADAM32	0.6965
CRHBP	1.5695
AQP2	0.446125
LOC130355	1.1175
ZNF187	0.125833333333333
ZNF816A	0.306
F7	-0.412428571428571
CNOT1	-0.846
SLC13A4	-1.64825
ZBTB11	-0.82425
B3GALT5	-0.384
EXOC2	0.163333333333333
IRS1	-0.0625
TMEM1	0.237666666666667
MRPL34	-0.365
SAMM50	-0.15025
CDC42EP3	0.98525
HSF2	-0.7628
MFN2	0.47525
TSPAN7	0.0371666666666667
NUCB1	1.39466666666667
RHOH	-0.853
ARL16	-0.4165
TACR1	0.068
SFRS5	-0.320666666666667
SNX25	-1.214125
RHBDF1	0.0906666666666667
PCDH18	2.8705
HMG1L1	0.03375
MYO5C	-0.4765
MAPK10	-0.26
LDHAL6A	0.3075
NUDT12	-0.337166666666667
NCAM1	-0.068375
GLIS2	0.314
GGTL4	0.80875
DAPP1	1.7055
ATF7	0.274625
KIAA0748	-0.08075
NFIL3	0.56875
TM6SF1	1.2041
SEZ6	0.10525
NANOS3	-0.0655
DNAJA3	-0.903666666666667
CLDN6	-2.558
CIITA	3.3701
EPHA4	-0.183833333333333
FANCC	-0.057
CMTM3	0.937875
PSG3	-0.232857142857143
MRPL15	0.02125
C21orf59	-0.6005
PLCXD2	-0.30075
C2orf34	-0.709
UBE2L6	2.60975
MED14	-0.4952
HP1BP3	-0.3819
C6orf208	-0.023
TPBG	-0.66375
OSR2	0.4265
XPC	-0.3905
KLHL7	-0.4845
CCR3	-0.505333333333333
AGTPBP1	-0.246
PCSK6	-0.959533333333333
STAT5A	-0.2287
FAM18B	0.52875
LONRF2	-2.85083333333333
PTPN2	0.358625
SF3A3	-0.886
EFCBP2	0.228333333333333
HCFC1	-1.07316666666667
AHNAK	0.1087
ACTR5	-0.262
KIF14	-3.14785714285714
TENC1	1.2325
HEATR5B	0.4825
YIPF2	0.664666666666667
MYEOV2	0.859
DUSP18	1.2455
KIAA1012	-0.30375
AHR	0.684333333333333
C17orf53	-1.3215
PTPRH	-2.8625
ATP6V1C1	-0.0405
TAS2R3	-0.623
LOC440356	-1.453
COQ10B	0.19625
PSMF1	-0.136
SORBS2	1.75725
NFE2L2	0.008
TMCO7	-0.21975
SH3PXD2A	-0.22
SH2D2A	-0.18
SPINK5	0.74675
MRPS24	-0.81725
OPA3	0.9755
TRAF7	-0.499333333333333
C4orf35	1.27466666666667
MT1G	-0.388
MGC39545	0.56625
HS1BP3	0.3339
OR2B2	0.192
CHRM4	-0.516
SFRP2	3.28041666666667
RIC3	0.5155
ART1	0.8745
C6orf1	0.280375
DUS4L	-1.0265
C10orf104	0.31925
TNFAIP6	2.9405
RTEL1	-0.9575
CCT4	-0.5962
ZNF709	-0.597
CHMP6	0.113
UPP2	0.60325
CYP19A1	-1.31757142857143
CD151	-0.806
NDUFA13	0.185
ARFRP1	-0.113
FAM26B	2.15075
CRYBA1	-2.3005
MRPL41	0.642166666666667
NPFFR2	1.886
HRH2	0.3505
SCAMP3	-0.185
MTMR6	0.5717
MTG1	-1.16933333333333
UBTD1	2.00675
CRABP1	-0.873
FLJ33790	1.1238
KIAA1908	-0.325333333333333
GPR158	1.0885
PACSIN3	-0.232333333333333
OMD	2.527
CATSPER1	1.00416666666667
HOXB8	-0.874
FBXO46	0.232
OAS1	3.03683333333333
SVIL	0.06
PHB2	-1.25
ADCY3	0.93
NDRG2	2.27366666666667
ERMAP	0.4449
APBA2	-0.910833333333333
IGSF9	1.03075
WNT6	1.77014285714286
MYCBPAP	-1.28525
ATP2B2	-0.1494
CPVL	1.9539
TRAM2	-0.375333333333333
NOP5/NOP58	-0.76125
ZNRF4	0.134
TLK1	0.240625
MTMR12	-0.00242857142857142
ZNF384	-0.212
FAM9B	-3.41525
RPN1	0.9069
PMVK	0.453
EIF3D	0.3986
SIX2	-0.28175
HPS1	1.28421428571429
RNF7	0.30275
PSKH2	-0.1955
KCTD13	-0.192
CSMD3	-0.267333333333333
FBF1	-1.513
IL8	-2.10775
SERPINB13	0.784545454545455
FBXL20	-0.4235
BLR1	0.31075
SH2B1	-0.92
RFNG	-0.26375
RAB20	1.7425
RBM7	0.42375
POLR1A	-0.6995
TMPRSS4	-0.30175
TAF9	-0.6365
TERF2	-0.321333333333333
TNFRSF1A	0.8255
ACADVL	-0.354833333333333
GTF2H5	0.1635
EDG8	0.3535
C9orf140	-0.254125
UST6	0.111333333333333
ZBTB8OS	0.233
ZNF710	1.8055
GPR174	0.2285
ATP6V0A2	-0.46125
KIAA0319L	-1.29091666666667
XKRX	-0.407
DOPEY2	1.1471
SDHD	0.824166666666667
SUMF1	1.52975
OSM	4.83875
OPN3	-0.02325
DAGLB	0.0665
PPFIBP1	0.0411
TRIM63	-1.07875
C10orf53	-0.2535
LYPD3	1.07516666666667
BCL7A	-0.9975
AGER	-1.10283333333333
TCF19	-1.52375
SAT2	0.29075
PFTK1	0.634833333333333
GABRE	-1.64225
C15orf38	1.6765
FIS1	0.3945
KCNV2	-0.334
CLPS	0.49425
PPCDC	-0.819
FOXN2	0.465166666666667
NT5E	-2.0621
CD83	2.7055
IL18	2.08275
VPS16	0.39325
IGFBP2	-2.008
NOTCH2	0.328
SIGLEC1	4.722625
CD93	6.2675
SULF2	-0.32225
CEP164	-0.25825
P53AIP1	0.6155
TOR2A	0.0823333333333334
ZNF136	-0.0065
MGP	3.6857
CCDC144A	-0.363
TRPC1	-0.493666666666667
SMS	-0.429166666666667
MAPK7	-0.0941666666666667
RRAGC	1.156
PARD6A	0.271333333333333
NUB1	0.697833333333333
SYNGR4	0.8225
OR11H12	-1.417
WIF1	3.202625
GCH1	0.59825
OR11H4	0.183
SLC44A5	0.7005
GPRIN2	2.395
LOC401431	-0.214
CPA4	-2.1174
MELK	-1.55277777777778
IL15RA	1.35775
CUL3	-0.0725
HMBOX1	-0.0705
PODXL	-1.265
CCT6B	1.25883333333333
COMTD1	-0.87975
MUC20	-0.0891666666666667
GPX2	-2.389625
ITK	0.2695
FBXL5	1.14125
C13orf27	-1.0935
DEFA5	0.832
TRHDE	0.1325
MTP18	0.130833333333333
UQCRQ	0.0757000000000001
ITGB2	3.88716666666667
CSRP2BP	0.171
TAS2R44	-0.2045
PHPT1	0.556125
FAM44C	0.03775
ERH	-0.44225
MPHOSPH1	-2.85033333333333
MORC1	-0.743
PARVB	-0.15575
LAMA1	-1.55841666666667
PGBD3	0.45425
GIMAP6	5.14175
AREG	-1.814
LIPT1	-0.02825
MGC99813	-0.61625
C1orf201	-0.3255
GRIN2A	-1.477875
MAN2C1	-0.677875
NSUN5	-0.82575
SF3B5	0.6115
MYC	-1.06075
NRXN1	-0.129916666666667
ZNF18	-0.04625
SPDYA	-0.703
SLC37A1	0.815
DECR2	-0.4385
ANKRD38	0.19
SPTLC3	-1.52741666666667
SUPT16H	-1.180625
DTWD2	-0.552
ULBP1	-0.066
ZADH1	-0.340666666666667
OIP5	-2.28
IL10RB	0.481666666666667
OTUB2	0.452125
VWA3A	0.10825
SPIC	2.70833333333333
OR6C4	-0.299
PSCD4	2.73333333333333
DPY19L2P2	-1.872
TRAPPC6A	1.08766666666667
C21orf2	-0.1145
CEMP1	0.75725
LIN7B	0.8035
E2F7	-2.87266666666667
VCP	-0.232
LAMA3	1.05416666666667
BGN	1.6205
GPR160	0.212
COCH	-5.00766666666667
GPR81	0.636833333333333
APOBEC3F	-0.33475
tcag7.1017	-0.7125
C1orf32	0.331
SCGB1D2	6.26525
FLJ43987	-0.5695
C6orf170	-0.2345
KLK9	0.345
GPD1L	1.3955
VPS37B	0.04875
ATG3	0.0856666666666667
ADAMTS17	1.7775
KLHDC2	-0.575666666666667
NDUFV2	-0.01075
BLK	-1.186
MATN4	-0.832
GPM6A	0.646142857142857
GBP4	3.7415
TMEM162	0.8624
PKP2	0.1355
HRASLS	1.84755555555556
MMP1	0.546
SFXN3	0.0984
FSD1	-1.78016666666667
ST6GALNAC3	-1.76916666666667
CA12	0.9369
NCOA6	-0.20975
C19orf58	0.2079
PPP4R1	0.0146666666666667
MAN1A2	0.109
IKBKAP	-1.21925
UPF1	0.0216666666666667
KIAA1219	-0.24075
WNT16	1.18216666666667
SNW1	-0.355125
IL18RAP	5.16625
RPP30	0.17375
CDC40	-0.1695
SETD3	0.487833333333333
SLAMF6	0.779
ELK4	-1.1955
TRIM47	1.11683333333333
ACOX3	1.322
TRIM6	0.097375
KIAA0372	-0.7245
TP53AP1	1.107625
SMURF2	-0.1845
ADAD1	-0.715
EBP	-0.5462
KRTAP13-2	-1.6885
FLJ36874	-0.735833333333333
TOR1A	0.328166666666667
P2RY4	1.275
GPBP1	-0.166
TRPV1	-0.12825
ADAMTS12	1.94516666666667
PES1	-0.5441
ATG4A	0.7955
MAGEA10	-4.378
WFS1	0.07125
CC2D1B	-0.316333333333333
PABPN1	-0.378875
SLC25A30	0.98875
SLCO1C1	0.679
SLC22A5	0.00250000000000001
KIF23	-2.28216666666667
SYN2	-0.496666666666667
ASPN	8.72416666666667
CENTG2	-1.195
QSOX2	-1.6306
FLJ10815	0.198833333333333
STK24	-0.0859375
SPEG	-0.168
STK10	1.14116666666667
DACT2	1.6775
AAAS	-1.18475
SSX3	0.47
ABCD3	-0.6449
C4orf12	-0.525125
PARVG	3.22583333333333
FIG4	0.428
C9orf46	1.1715
TMCO6	-0.911
IGHMBP2	-0.9765
DUS2L	-0.309833333333333
FAM3C	0.206
TMEM16D	-2.18025
DCTN4	0.13475
KCNH3	1.25525
EIF2AK2	0.282
AP1S3	-0.07375
CST4	0.2225
PAM	1.070375
NUTF2	-0.0665
CITED2	0.8061
SLC39A4	-0.95375
C2orf52	-2
GRM3	-0.35475
C12orf49	1.578
CCDC49	-0.7418
GRAMD1B	-0.8225
FNDC4	1.788
SIAH2	-0.5175
GDPD4	0.50925
C21orf87	0.149375
ATP5A1	-0.350833333333333
C16orf63	-0.8305
LOC388135	-0.9996
ATP5J2	-0.320875
MMP3	0.9985
EMID2	0.261
CRHR1	0.4435
WDR70	-0.22625
C13orf31	3.06575
ZFAND1	0.105
CCL18	5.1105
C3orf49	-1.7065
RINT1	-0.2305
KIAA0408	-1.464
F13A1	5.3773
SLC10A1	0.873
OGN	4.643
GIPC2	0.240833333333333
XPO6	-0.134666666666667
LCE1A	1.3175
FMR1	0.7062
LOC374920	0.081
DUSP3	0.303375
ANKMY1	-1.05925
C7orf50	0.02375
BBS9	-0.2145
UNC119B	-0.414125
C9orf72	1.104
MGC35440	-0.557
ENTPD6	0.018375
PPP1R2P9	0.80625
ERCC4	-0.48375
FAHD2B	-0.8345
HMHA1	1.0435
HACL1	-0.46875
RAD23A	-0.705
FAM83B	-0.739
PPP5C	-1.08566666666667
RNASEH2C	-0.503
C9orf153	-0.7385
SCAMP4	-0.050875
GHITM	0.7758
NDUFB7	0.057625
ADCYAP1	2.12266666666667
SP110	2.04966666666667
MAP3K7IP2	0.977
DHH	0.346
AGRN	0.475142857142857
WDR33	0.0128333333333333
CEP290	-0.856
PRPS1L1	-1.47483333333333
KLRA1	-0.374
GPR97	-0.328
CHD7	-0.94975
TLR10	1.80425
SLC30A8	-1.226
HIC1	1.5645
IAPP	0.188
RXFP4	0.52225
GP1BB	2.13725
SHQ1	0.0765
NKX2-3	0.1998
API5	-0.43525
FTHP1	1.5975
MOV10L1	1.44183333333333
TRIM6-TRIM34	2.95466666666667
ADHFE1	0.13175
FAM117A	-0.3425
DDI1	0.4768
CDON	-0.776666666666667
TRIM73	-1.439
IGKC	4.996
MMP14	-0.18975
DYNC1LI1	-0.267625
C11orf66	0.109
TRBV3-1	-0.692
FASTKD5	0.16825
BIVM	-1.8495
LHX4	-0.30775
CXCL2	2.2577
RAB2B	-0.552166666666667
IZUMO1	-1.47733333333333
MAP3K15	-1.492625
FAM19A2	0.164833333333333
ZC3H8	-0.9735
ZMAT1	1.07475
SPINK5L3	-3.68775
SLC10A6	0.728
APPL2	-0.547375
CARD10	-0.456333333333333
LOC402176	0.108625
EEF1D	0.6021
RAB6A	0.6174
C12orf5	0.285625
PAPOLG	0.6895
MSRB2	1.14175
BCR	0.630222222222222
PUS3	-0.124
TIAM2	0.8505
ZNF317	-0.3805
CHD2	0.506230769230769
FZD5	-0.596909090909091
NUDT8	0.5265
ZNF763	-1.9725
PRC1	-2.06355555555556
ABCB9	-0.966666666666667
SPATA3	-0.0365
TRAK2	0.87425
STAB1	3.43125
LRRTM2	0.1782
psiTPTE22	1.7315
DBI	1.96725
SERPINA11	-2.945
NAT5	0.4665
C20orf58	-2.90525
RPS6KA4	0.587
FLJ90650	-0.34425
TGFBRAP1	-0.50025
CHRDL2	1.834875
FAHD2A	-0.631833333333333
CNTN1	0.82525
BBS4	-0.7665
TMEM181	-0.186
MINPP1	-1.0545
MPHOSPH6	1.22575
HOXC10	-0.4758
ITPKB	0.182875
CLPTM1L	-0.01325
MEOX2	1.46316666666667
ATP6V0C	0.985
PRPF8	-0.563666666666667
TMC5	2.34475
FKBP3	-0.0875
PLEKHB2	0.059
OR4D6	0.636
ZNF544	-0.5522
D2HGDH	-0.59725
RPL18A	0.4543
HEL308	0.194125
MPP6	-2.04225
TCERG1	-1.62725
KRT16	2.704
KLF17	-0.68
KLF5	0.777625
CDR1	2.845
VCX3A	5.879
FBLN2	2.535375
C14orf104	-0.66175
HBE1	-4.8033
OR4S2	0.03
C1orf108	-0.562
ROBO4	4.01383333333333
CPEB4	0.594375
C11orf80	-1.02366666666667
BCKDHA	0.3915
MYOC	1.1345
GIF	-0.355
CKMT1A	0.916
RPL3	0.6003
THBS1	1.891375
APOO	0.1385
ARMCX1	1.471
HSZFP36	-0.5185
SNAPC5	-0.02825
EIF4ENIF1	0.92875
ZNF433	-1.2635
TNFRSF21	0.44325
TMPRSS7	0.0365
SPATA18	1.7869
HPDL	-0.766
MKL2	1.225
TBX3	-0.524538461538462
C21orf93	-0.5732
DAXX	-0.42225
ELMO1	0.669
RGS13	2.951
TAF11	-0.848
UNC13A	-2.240625
LOC653314	-0.2678
ORC3L	-1.13225
IMAA	-2.911
TARBP2	-0.3875
CABIN1	-0.8657
TRIOBP	0.2055
HIST1H2AC	0.85025
RGS22	-2.60033333333333
NCOA1	0.8445
IL25	0.0805
SNCG	0.989
GPR6	0.8415
AMDHD1	-0.695
CHEK2	0.083625
C6orf142	0.41275
DRD4	0.54675
C14orf68	-0.90125
GDF11	-1.8165
SEMG2	0.659
CD247	0.75625
CDAN1	-1.74425
RBMX2	0.182833333333333
TGS1	-0.801
OIT3	4.06425
SYF2	0.9355
MCM4	-2.468625
PKHD1L1	0.20625
CEP192	-0.988833333333333
IFT88	0.05775
RPL9	0.705214285714286
RAB32	1.31925
DDX43	-0.0285
P2RX2	0.565666666666667
OR5D18	0.8705
UBE1	-0.690416666666667
SLC24A1	0.44625
ARHGAP5	-0.5945
CETP	1.522
KIAA1731	-1.0235
SLC9A4	0.196
PTPN6	2.11775
BAHD1	0.0855
GRIK3	-0.1285
CACNB2	-0.808
PDE10A	-0.76925
DGCR14	-0.0415
PCDHB9	-0.8905
RHOQ	1.1875
MAP3K4	-0.191
KTI12	0.0495
RPL23AP13	-1.4355
GNG11	1.0875
CLCN3	0.7595
GPAM	-0.119875
VSTM2A	-0.055
SLAMF7	4.64883333333333
INTS2	-0.84075
PPP2CA	0.2431
LRP12	0.3882
SEC14L2	0.385666666666667
DKFZP586H2123	2.869
MC3R	-0.5575
CIRH1A	-1.107
HIST1H2AB	0.3185
POLH	-1.464
MGC16703	-1.87316666666667
SNAPC2	-0.247
FILIP1L	1.30425
RASGRP4	0.3105
LRRC1	0.68025
GAS1	2.1405
PRAC	-1.3305
DGKA	-0.669166666666667
NT5C3	-0.7055
PEG3	-2.87283333333333
NADK	-0.1175
PRR17	-0.221
LOC374569	1.3075
SGSH	0.2975
NLRP8	0.6775
GALT	0.0979
MCF2	-2.223
ZNF263	0.056
TACSTD1	-0.317
TYR	-6.7158
ATP6AP2	1.167
RNUXA	-0.51325
ABHD10	0.2413
GDPD2	-1.0715
SLC35C1	0.4765
UBE2A	0.616625
HERC5	1.02916666666667
FAM112B	-2.98966666666667
FBXL16	0.45675
DKFZP434A0131	-1.04625
ELA3A	-2.768
RBM41	-0.735125
HAO2	0.871333333333333
RNH1	0.826625
SHANK2	1.211
OSBP2	-1.114875
DAK	-0.403
C3orf58	1.2845
TCL1B	-0.8315
KBTBD2	-0.2655
SUGT1L1	-0.194
UBE2E2	1.35833333333333
MYL9	2.590375
CDC23	-1.02266666666667
PBXIP1	1.5918
CXorf40B	-0.059
NBL1	0.8315
RTBDN	0.19
RAB11FIP5	0.06675
TTTY13	0.237
SCOTIN	0.357083333333333
SOHLH1	-1.444
CDKN1A	0.418642857142857
NCK1	1.07025
ZNF550	0.24975
SAPS3	0.338583333333333
SPIN3	0.0268333333333333
MAGEE2	-0.06375
MIS12	-1.007
OR8H2	0.1745
KIAA0774	-1.2655
UNC5D	-2.34
CUL7	-0.820333333333333
LIPC	-2.54533333333333
DIO1	1.5105
C20orf11	-0.2103
CTRL	-0.75775
HS3ST2	6.0105
PAK4	0.470333333333333
CCRL1	4.34875
RNF10	-0.37
ZNF567	0.1035
ZNF660	-1.355
TCEAL3	0.362
MAGOH	1.149
CENPB	-0.1155
C19orf7	0.680375
LOC388965	0.51725
ZCCHC13	1.5845
JMJD1A	-0.9793
HIST1H4H	0.0415
TBRG1	-0.1233
GPC3	-3.78625
TAF1C	-0.7185
EBNA1BP2	-0.409833333333333
CIAPIN1	-0.103
PDGFRA	1.10927777777778
CSTB	2.34925
CENPI	-1.84816666666667
GTF2E2	-0.3335
RPP21	-0.30675
CCNF	-1.80766666666667
KCNQ3	0.2435
FAM79A	1.2695
SLC22A12	0.8665
NOVA1	-0.6995
FZD3	-0.9444
AKAP8	-0.55125
SOCS5	0.475875
CFDP1	0.12775
DLG5	-0.63175
PGM5	0.759666666666667
C1orf144	0.264416666666667
HDAC10	-1.306
RND2	-0.88625
C20orf199	-1.00325
RNMT	-0.349125
SLURP1	0.188375
ASTN1	-0.392333333333333
SH3BGR	0.8515
MYCL1	-0.438
ZHX1	0.0341666666666667
CENPK	-3.2465
FOSB	2.8806
LOC643406	0.407375
C2orf59	-1.00175
TMEM135	0.221375
SLC27A2	-3.557
KRT33A	1.213
OVOL1	1.734625
PAMCI	-0.845666666666667
S100A7	5.751
ZNF789	-0.161
HARS2	-0.00375
RPL23A	-0.676833333333333
TCF23	0.144333333333333
UPF3B	-1.027625
C17orf78	-0.674
HLA-DOB	1.61533333333333
C14orf142	0.765666666666667
TEKT5	0.408333333333333
DMWD	0.023
POLD1	-1.80766666666667
GSCL	-0.2295
CALD1	0.2413
SCRT1	1.095
AIG1	0.626
UNC84B	-0.39425
ZNF404	0.16175
TMED6	-2.74375
KIAA1462	1.039
LRRC27	0.958333333333333
PYGO1	-0.359
PIGU	0.00216666666666666
ALAS2	-3.9125
WRNIP1	0.194
CNNM3	-1.183
ZNF2	0.27775
ST3GAL5	0.831833333333333
MRPL23	-0.125
TSSK6	-0.157
PSMA6	-0.25025
C16orf70	0.0725
KIAA1602	0.068
ALMS1	-0.242333333333333
DCN	4.375375
TMEM132D	-0.90375
SUCLG2	-0.416
ABHD14A	0.21975
DEXI	0.492
AMPD2	-0.5545
IFNAR2	0.118666666666667
CYB5A	2.0679
TLOC1	0.48775
NXF5	-0.740666666666667
NRBF2	0.85625
KCTD3	0.15875
ITGAE	-0.0318333333333333
SLC30A3	-1.232
ZRF1	-0.7145
IFRD2	-0.6595
XAB1	0.1515
PYCR2	-0.5925
SERPINB3	-2.2835
TMLHE	0.1527
GEFT	-1.373125
ABCA5	-0.627
EMR4	0.843833333333333
TSFM	-0.20825
HIST3H2BB	-0.42025
ARHGEF19	0.80925
TSPAN17	0.774
ABCC8	1.402
MAP1S	0.027
C22orf36	0.51325
BNC2	0.272571428571429
HIST1H4A	-0.72625
NDUFS3	0.3865
WDR3	-0.795333333333333
XKR4	-1.83475
TTC33	0.0785384615384615
STMN2	3.00725
CPN2	-0.740833333333333
HSPC105	1.050875
PCOLCE2	-2.341
C3orf55	2.7565
KLHDC9	0.227166666666667
TBC1D23	0.267125
ATXN2L	-1.49666666666667
MAP2K3	0.508333333333333
SCAP	-0.341
ZNF486	-0.0418333333333333
C20orf96	-1.9375
NARS	-0.82975
ADAMTSL1	0.0319285714285714
PRCC	-0.4195
CCDC126	1.20908333333333
ZNF675	-0.87175
CALCOCO1	-0.024
ANKRD43	-0.526
CWF19L2	-0.0728333333333333
ZBTB32	2.14083333333333
BRAF	-0.30575
ODF4	0.0595
MGC14376	0.664166666666667
HORMAD1	-1.74266666666667
AAK1	0.0675
PEBP1	0.78925
TNFSF5IP1	0.0065
DKFZp564N2472	0.330666666666667
RMND1	-0.17625
IGKV1-5	5.19675
COL1A2	3.77433333333333
SERPINA5	-2.665875
AANAT	0.934
C19orf21	-1.48916666666667
GEMIN5	-0.84525
UBR4	-0.567333333333333
LTBP3	0.9795
AMHR2	-2.36316666666667
PROCR	-0.33125
MYBBP1A	-1.08325
C20orf39	0.598833333333333
ZNF697	0.293375
PASK	-0.9509
ZNF776	0.0753333333333333
RFXDC2	-0.43775
KIAA0467	-0.25325
C10orf96	-1.2465
ZNF503	-0.57025
GULP1	0.38775
KCNE4	-1.20766666666667
DKFZp434K191	-0.191
LOC196913	-1.0475
BHLHB4	1.7725
CH25H	3.72075
LOC81691	-1.56233333333333
ALPL	1.24514285714286
COL12A1	2.058625
FOLR3	-0.722
GPR123	0.10425
TRIM62	0.390857142857143
ABLIM1	1.16133333333333
MAST3	-0.17525
RHBDD1	0.0211666666666667
LOC338809	0.484
RYBP	-0.39275
TTC26	-0.388125
ZNF22	0.326166666666667
ISCA2	0.224
RDM1	-1.75475
PIGM	-0.0735
GNB3	-0.972
ACTR2	0.7554
HMGB1	0.6054
EDG1	3.96883333333333
SOAT2	-3.206
OR10AD1	-0.2125
RAP1GDS1	0.885916666666667
LCE1F	0.686
ESM1	-2.1035
RCN3	2.63075
CREBL1	-0.7425
DBNL	-0.200333333333333
PTGER3	2.775625
USP30	-0.302666666666667
BCL2L12	-0.351
KIF26B	2.39025
ZNF416	0.46225
ZNF225	-0.224
C17orf70	0.4605
ZNF554	0.31675
RAE1	-1.21
TNIK	1.17033333333333
ACTN3	0.231
MGC45922	1.396
CCNA1	1.82866666666667
RYK	0.302833333333333
IL26	0.7575
LRP3	0.915
QARS	-0.57625
SOX7	1.55635714285714
BID	0.646625
OR2S2	-1.1
CXCL14	3.938
C11orf47	-1.947
MGC29891	-0.199166666666667
HSPB8	-0.0131
PRDM14	-3.158
NUFIP2	-0.20875
MNAT1	-0.695428571428572
ZDHHC2	-0.28075
MBNL2	0.513375
ADD3	0.0625
CSNK2A1P	-1.113
KLK6	2.84666666666667
TMEM111	0.8716
KIAA1279	-0.5875
NUBP2	0.342
RAB42	1.30125
ID3	0.2173
TM9SF1	-0.6865
MDP-1	-0.49525
POU4F2	0.57475
IQCK	0.537
C16orf14	-0.33225
CAPN3	-0.282375
FAM43B	-0.2655
RECQL	-0.41175
AP1G1	-0.0803571428571429
CTNNBL1	0.0825
ECHDC1	0.641666666666667
SMARCC1	-0.9651
FOXQ1	-1.429
GNAI3	0.376
POLG2	-1.953
CD4	2.638
ITLN1	3.73825
EBI2	6.21675
IRF1	0.99725
PTPRE	2.7979
PTK2B	-0.06425
NXNL2	-1.9015
SOX4	1.451
TSPAN3	0.632
SH2D1A	-0.4545
C8orf58	-0.1655
USP20	-0.51425
DUSP22	-0.0323333333333333
CALB1	-2.99483333333333
