Hybridization REF	TCGA-BH-A0C1-01B-11R-A12D-07
PLCL2	0.685125
C4orf29	-1.002
WDFY2	-0.850125
ZNF284	-0.522
NAALADL1	0.514
DUSP5	0.465166666666667
PXDN	0.97825
SLMO1	-0.374
TNXB	0.2766
BIRC7	-1.3685
A4GALT	0.538333333333333
TIMM22	-0.2455
FAM110C	1.92675
TOMM34	0.129625
ABHD9	-0.0785
ADAM32	2.8365
CRHBP	-0.64125
AQP2	0.318375
LOC130355	1.3445
ZNF187	0.234166666666667
ZNF816A	0.9415
F7	1.17075
CNOT1	-0.6486
SLC13A4	-0.2435
ZBTB11	-0.22225
B3GALT5	1.91575
EXOC2	1.294
IRS1	1.162
TMEM1	0.415333333333333
MRPL34	-0.7275
SAMM50	-0.391
CDC42EP3	0.077125
HSF2	-0.148
MFN2	-0.705
TSPAN7	-1.22666666666667
NUCB1	0.972
RHOH	-0.55975
ARL16	-0.874
TACR1	0.33375
SFRS5	-0.4475
SNX25	-0.189
RHBDF1	0.704833333333334
PCDH18	2.48966666666667
HMG1L1	0.06925
MYO5C	0.90775
MAPK10	2.5775
LDHAL6A	-0.185166666666667
NUDT12	1.52133333333333
NCAM1	-0.707125
GLIS2	0.6215
GGTL4	0.65225
DAPP1	0.9305
ATF7	1.455875
KIAA0748	-0.629
NFIL3	0.14325
TM6SF1	0.7995
SEZ6	0.00499999999999997
NANOS3	0.25
DNAJA3	-0.542666666666667
CLDN6	-2.389
CIITA	2.8825
EPHA4	-0.412166666666667
FANCC	-0.1835
CMTM3	0.714625
PSG3	-0.4335
MRPL15	-0.354
C21orf59	-0.06275
PLCXD2	0.07575
C2orf34	0.757875
UBE2L6	1.293125
MED14	-0.00416666666666668
HP1BP3	-0.6954
C6orf208	-0.238
TPBG	1.64675
OSR2	-0.359625
XPC	-0.355666666666667
KLHL7	-0.139
CCR3	0.2455
AGTPBP1	-0.289833333333333
PCSK6	-1.31126666666667
STAT5A	-1.2865
FAM18B	-0.45425
LONRF2	0.0506666666666667
PTPN2	-0.3175
SF3A3	-1.22216666666667
EFCBP2	0.10575
HCFC1	-0.272166666666667
AHNAK	-0.38195
ACTR5	-0.43425
KIF14	-1.20928571428571
TENC1	1.40325
HEATR5B	1.3155
YIPF2	0.556833333333333
MYEOV2	0.485833333333333
DUSP18	1.39875
KIAA1012	0.45025
AHR	1.1565
C17orf53	-1.57183333333333
PTPRH	-3.65575
ATP6V1C1	0.3343
TAS2R3	0.0105
LOC440356	-1.328
COQ10B	0.561
PSMF1	0.168833333333333
SORBS2	2.31458333333333
NFE2L2	0.357
TMCO7	-0.8455
SH3PXD2A	0.2422
SH2D2A	-0.2445
SPINK5	-3.6165
MRPS24	-0.717
OPA3	0.384375
TRAF7	-0.019
C4orf35	0.52
MT1G	-1.122875
MGC39545	-0.453
HS1BP3	0.0482
OR2B2	0.6375
CHRM4	-0.0965
SFRP2	3.2815
RIC3	-1.43725
ART1	0.6135
C6orf1	1.05375
DUS4L	-0.54625
C10orf104	0.197
TNFAIP6	2.654
RTEL1	-0.9215
CCT4	-0.1926
ZNF709	0.3475
CHMP6	0.0393333333333333
UPP2	0.073
CYP19A1	-1.724125
CD151	-0.0211666666666667
NDUFA13	0.0436666666666667
ARFRP1	-0.633833333333333
FAM26B	2.27125
CRYBA1	-3.8365
MRPL41	-0.0476666666666667
NPFFR2	0.205125
HRH2	0.1925
SCAMP3	0.723166666666667
MTMR6	1.1139
MTG1	-0.783333333333333
UBTD1	1.0075
CRABP1	1.301
FLJ33790	0.5475
KIAA1908	-0.993
GPR158	-3.69175
PACSIN3	-0.427666666666667
OMD	3.83083333333333
CATSPER1	-0.930833333333333
HOXB8	-1.210875
FBXO46	1.4085
OAS1	0.338
SVIL	0.72925
PHB2	-0.4595
ADCY3	-0.916
NDRG2	1.2215
ERMAP	0.7916
APBA2	-1.55383333333333
IGSF9	3.0485
WNT6	0.156714285714286
MYCBPAP	-0.15025
ATP2B2	-0.2235
CPVL	-0.6632
TRAM2	-0.316583333333333
NOP5/NOP58	-0.03625
ZNRF4	0.30175
TLK1	0.95225
MTMR12	0.523
ZNF384	-0.128833333333333
FAM9B	-2.73575
RPN1	0.0764
PMVK	1.13625
EIF3D	0.3743
SIX2	1.47975
HPS1	0.391857142857143
RNF7	-0.3025
PSKH2	0.457
KCTD13	0.2835
CSMD3	-0.5954
FBF1	-0.112
IL8	-1.425375
SERPINB13	0.28225
FBXL20	0.14525
BLR1	0.26325
SH2B1	-0.754833333333333
RFNG	-0.4915
RAB20	1.08733333333333
RBM7	-0.003
POLR1A	-0.1965
TMPRSS4	-1.6755
TAF9	-0.7995
TERF2	-0.0576666666666667
TNFRSF1A	0.549416666666667
ACADVL	-1.01333333333333
GTF2H5	0.38725
EDG8	-1.2085
C9orf140	-1.22525
UST6	0.9655
ZBTB8OS	-1.22225
ZNF710	0.444
GPR174	-1.2885
ATP6V0A2	-0.81175
KIAA0319L	-0.330666666666667
XKRX	-0.817
DOPEY2	2.2001
SDHD	-0.7215
SUMF1	1.5975
OSM	2.41625
OPN3	0.36775
DAGLB	-0.562833333333333
PPFIBP1	0.8191
TRIM63	-2.3215
C10orf53	0.5015
LYPD3	-0.372833333333333
BCL7A	-0.102125
AGER	-1.16783333333333
TCF19	-0.997625
SAT2	-0.12575
PFTK1	1.43633333333333
GABRE	-3.41
C15orf38	0.5611
FIS1	0.4485
KCNV2	0.38
CLPS	0.703
PPCDC	-0.869875
FOXN2	0.495
NT5E	-2.6945
CD83	0.39775
IL18	0.164375
VPS16	0.43275
IGFBP2	-0.8155
NOTCH2	0.94425
SIGLEC1	2.67175
CD93	5.531
SULF2	0.48525
CEP164	-0.160125
P53AIP1	-0.0198333333333333
TOR2A	-0.109833333333333
ZNF136	0.3555
MGP	3.8829
CCDC144A	-0.501833333333333
TRPC1	-0.922333333333333
SMS	-0.473
MAPK7	-0.313166666666667
RRAGC	0.21225
PARD6A	-0.636333333333333
NUB1	0.120166666666667
SYNGR4	0.98575
OR11H12	0.1855
WIF1	1.7195
GCH1	1.084
OR11H4	0.105
SLC44A5	3.02
GPRIN2	1.3125
LOC401431	0.549
CPA4	-2.6917
MELK	-1.76111111111111
IL15RA	0.24925
CUL3	1.3635
HMBOX1	1.293
PODXL	-1.89125
CCT6B	1.11866666666667
COMTD1	-0.6395
MUC20	0.213166666666667
GPX2	-3.615625
ITK	0.30625
FBXL5	1.305
C13orf27	-1.7695
DEFA5	0.379
TRHDE	-0.2185
MTP18	-1.72716666666667
UQCRQ	0.5889
ITGB2	1.045
CSRP2BP	0.46625
TAS2R44	0.286
PHPT1	-0.079
FAM44C	-0.2165
ERH	0.2325
MPHOSPH1	-0.8215
MORC1	-1.0555
PARVB	-0.53475
LAMA1	-1.66775
PGBD3	0.44225
GIMAP6	4.18425
AREG	-1.79633333333333
LIPT1	0.33825
MGC99813	-0.31125
C1orf201	-0.397
GRIN2A	-0.8615
MAN2C1	-1.68725
NSUN5	-0.47
SF3B5	0.14775
MYC	-0.1919375
NRXN1	-0.108583333333333
ZNF18	0.1435
SPDYA	-1.51733333333333
SLC37A1	1.746
DECR2	0.06725
ANKRD38	1.28225
SPTLC3	-0.595583333333333
SUPT16H	-0.464625
DTWD2	2.1185
ULBP1	1.8645
ZADH1	-0.845666666666667
OIP5	-2.86625
IL10RB	-0.273333333333333
OTUB2	-0.240625
VWA3A	-0.322666666666667
SPIC	0.289833333333333
OR6C4	-0.414
PSCD4	1.16416666666667
DPY19L2P2	-0.8255
TRAPPC6A	0.538833333333333
C21orf2	-0.835666666666667
CEMP1	-0.41675
LIN7B	-0.1875
E2F7	-2.87116666666667
VCP	-0.42525
LAMA3	0.131333333333333
BGN	2.19025
GPR160	1.42933333333333
COCH	-5.50283333333333
GPR81	1.874
APOBEC3F	-0.5375
tcag7.1017	-0.58675
C1orf32	0.3025
SCGB1D2	5.31475
FLJ43987	-0.178
C6orf170	0.25625
KLK9	0.175
GPD1L	0.6145
VPS37B	-0.599
ATG3	-0.314833333333333
ADAMTS17	0.1585
KLHDC2	-0.0926666666666667
NDUFV2	-0.321
BLK	-2.86475
MATN4	-1.641
GPM6A	0.0804285714285714
GBP4	3.85533333333333
TMEM162	0.4385
PKP2	1.236
HRASLS	0.870888888888889
MMP1	0.27675
SFXN3	-0.3752
FSD1	-1.68416666666667
ST6GALNAC3	-1.20516666666667
CA12	1.8966
NCOA6	0.36275
C19orf58	0.2967
PPP4R1	-0.132666666666667
MAN1A2	0.775166666666667
IKBKAP	-0.86375
UPF1	0.156333333333333
KIAA1219	1.07725
WNT16	0.35725
SNW1	-0.107125
IL18RAP	2.79925
RPP30	-0.216625
CDC40	0.473928571428571
SETD3	-0.0966666666666667
SLAMF6	0.8465
ELK4	0.234
TRIM47	-0.339166666666667
ACOX3	0.41575
TRIM6	0.7505
KIAA0372	0.2395
TP53AP1	0.847125
SMURF2	-0.8875
ADAD1	-0.91975
EBP	-0.9856
KRTAP13-2	-0.1265
FLJ36874	-0.906833333333333
TOR1A	-0.1585
P2RY4	0.7245
GPBP1	0.40575
TRPV1	-0.111875
ADAMTS12	0.578666666666667
PES1	0.1979
ATG4A	0.7185
MAGEA10	-4.6985
WFS1	1.4165
CC2D1B	-1.05216666666667
PABPN1	0.193125
SLC25A30	0.59675
SLCO1C1	0.0453333333333333
SLC22A5	1.95475
KIF23	-1.86066666666667
SYN2	-0.3515
ASPN	7.4865
CENTG2	0.64575
QSOX2	-1.3186
FLJ10815	0.346166666666667
STK24	-0.100625
SPEG	0.3958
STK10	-0.241666666666667
DACT2	-2.531
AAAS	-0.28125
SSX3	-1.712875
ABCD3	-0.2709
C4orf12	-0.56
PARVG	0.962166666666667
FIG4	1.356
C9orf46	0.827
TMCO6	-0.647
IGHMBP2	-1.07275
DUS2L	-0.877833333333333
FAM3C	0.62325
TMEM16D	-1.932
DCTN4	0.6385
KCNH3	0.166
EIF2AK2	0.912
AP1S3	0.173625
CST4	2.6595
PAM	0.542375
NUTF2	-0.50325
CITED2	1.232
SLC39A4	0.61275
C2orf52	-1.101
GRM3	-1.191
C12orf49	0.310375
CCDC49	-0.9676
GRAMD1B	-1.575375
FNDC4	0.67825
SIAH2	-0.128375
GDPD4	0.16325
C21orf87	0.663
ATP5A1	-0.214166666666667
C16orf63	-0.494
LOC388135	-0.1895
ATP5J2	-0.670125
MMP3	0.3335
EMID2	-0.5795
CRHR1	0.1615
WDR70	0.3625
C13orf31	1.6275
ZFAND1	-0.0905
CCL18	3.94783333333333
C3orf49	-0.2055
RINT1	-0.771
KIAA0408	-1.5855
F13A1	4.8925
SLC10A1	-0.167
OGN	3.257
GIPC2	-1.052
XPO6	-0.954166666666667
LCE1A	0.9875
FMR1	-0.094
LOC374920	-0.3685
DUSP3	-0.297
ANKMY1	0.8005
C7orf50	-0.6875
BBS9	-0.8327
UNC119B	-0.917625
C9orf72	-0.233375
MGC35440	0.59
ENTPD6	0.212625
PPP1R2P9	0.198666666666667
ERCC4	0.28625
FAHD2B	-0.411
HMHA1	-0.2105
HACL1	-0.35775
RAD23A	-0.366333333333333
FAM83B	-0.13925
PPP5C	0.121333333333333
RNASEH2C	0.082375
C9orf153	-1.206
SCAMP4	0.944625
GHITM	-0.2817
NDUFB7	0.246125
ADCYAP1	0.935666666666667
SP110	0.814166666666667
MAP3K7IP2	1.3965
DHH	0.21
AGRN	1.29035714285714
WDR33	-0.063
CEP290	-0.435166666666667
PRPS1L1	-1.40516666666667
KLRA1	-0.403
GPR97	-0.0555
CHD7	-0.105833333333333
TLR10	0.62375
SLC30A8	-1.494
HIC1	1.74533333333333
IAPP	-0.1865
RXFP4	0.2105
GP1BB	1.10075
SHQ1	0.6785
NKX2-3	0.479833333333333
API5	-0.12125
FTHP1	-0.0315
MOV10L1	0.8485
TRIM6-TRIM34	1.62883333333333
ADHFE1	-0.48475
FAM117A	-0.64125
DDI1	0.2874
CDON	0.3675
TRIM73	-2.3125
IGKC	4.154
MMP14	0.177416666666667
DYNC1LI1	-0.298625
C11orf66	0.6165
TRBV3-1	-0.21625
FASTKD5	0.151
BIVM	-0.75775
LHX4	-0.75025
CXCL2	-1.6611
RAB2B	0.1275
IZUMO1	-1.13275
MAP3K15	-2.90425
FAM19A2	1.05
ZC3H8	-0.0613333333333333
ZMAT1	1.538
SPINK5L3	-2.98033333333333
SLC10A6	2.026
APPL2	0.290875
CARD10	0.625166666666667
LOC402176	-0.39625
EEF1D	0.225
RAB6A	0.4723
C12orf5	-0.297125
PAPOLG	0.39175
MSRB2	0.31375
BCR	0.789
PUS3	0.40925
TIAM2	0.8065
ZNF317	0.2855
CHD2	-0.227642857142857
FZD5	-0.806590909090909
NUDT8	-0.24725
ZNF763	0.754
PRC1	-2.23944444444444
ABCB9	-0.699333333333333
SPATA3	0.665666666666667
TRAK2	0.270875
STAB1	2.53975
LRRTM2	0.4395
psiTPTE22	1.21925
DBI	0.86025
SERPINA11	-1.2915
NAT5	-0.052
C20orf58	-1.83475
RPS6KA4	0.0525
FLJ90650	-2.491
TGFBRAP1	0.12975
CHRDL2	1.292375
FAHD2A	-0.578333333333333
CNTN1	0.53075
BBS4	-0.7986
TMEM181	0.5665
MINPP1	-0.11725
MPHOSPH6	-0.4895
HOXC10	2.4874
ITPKB	1.166375
CLPTM1L	-0.65725
MEOX2	0.083
ATP6V0C	0.498375
PRPF8	-0.9005
TMC5	2.7375
FKBP3	-0.8215
PLEKHB2	0.28275
OR4D6	0.101
ZNF544	-0.4993
D2HGDH	-0.72125
RPL18A	-0.00859999999999999
HEL308	-0.2585
MPP6	-3.238
TCERG1	-0.93325
KRT16	-1.96016666666667
KLF17	-1.56375
KLF5	0.63275
CDR1	2.817875
VCX3A	-4.244
FBLN2	1.622
C14orf104	-0.16825
HBE1	-4.6932
OR4S2	0.23
C1orf108	-0.455833333333333
ROBO4	3.34566666666667
CPEB4	0.8865
C11orf80	0.182
BCKDHA	0.880333333333333
MYOC	0.639
GIF	-0.4245
CKMT1A	1.1125
RPL3	0.8053
THBS1	2.023125
APOO	-0.545
ARMCX1	2.9185
HSZFP36	0.58025
SNAPC5	-0.905
EIF4ENIF1	0.8615
ZNF433	0.453
TNFRSF21	0.46175
TMPRSS7	-1.9865
SPATA18	0.9893
HPDL	-3.605
MKL2	0.973
TBX3	1.97038461538462
C21orf93	0.168666666666667
DAXX	0.31975
ELMO1	0.14725
RGS13	2.48383333333333
TAF11	-0.709
UNC13A	-2.09825
LOC653314	-0.4383
ORC3L	-0.0475
IMAA	-3.183
TARBP2	-0.37225
CABIN1	-0.0951
TRIOBP	0.1966875
HIST1H2AC	1.223
RGS22	-2.62766666666667
NCOA1	1.26033333333333
IL25	1.034
SNCG	2.908
GPR6	0.45
AMDHD1	-2.8665
CHEK2	-0.55575
C6orf142	-0.689
DRD4	0.943
C14orf68	-1.03625
GDF11	-1.5175
SEMG2	-0.0255
CD247	0.04225
CDAN1	-1.14775
RBMX2	0.138166666666667
TGS1	-0.3735
OIT3	1.07933333333333
SYF2	-0.31
MCM4	-2.0055
PKHD1L1	0.077125
CEP192	-0.481333333333333
IFT88	1.2425
RPL9	0.041
RAB32	0.069375
DDX43	-3.37
P2RX2	0.21
OR5D18	0.07
UBE1	0.6115
SLC24A1	0.298
ARHGAP5	0.6605
CETP	-0.6545
KIAA1731	-0.635
SLC9A4	0.428
PTPN6	0.7975
BAHD1	0.01775
GRIK3	-0.086
CACNB2	-0.7762
PDE10A	0.12625
DGCR14	-0.129
PCDHB9	0.814166666666667
RHOQ	0.494833333333333
MAP3K4	0.369
KTI12	-0.986
RPL23AP13	-3.10775
GNG11	-0.14025
CLCN3	0.612
GPAM	-1.26275
VSTM2A	0.599
SLAMF7	3.0705
INTS2	-1.64925
PPP2CA	0.1953
LRP12	0.224333333333333
SEC14L2	3.11444444444444
DKFZP586H2123	2.20025
MC3R	-0.0615
CIRH1A	-1.59
HIST1H2AB	-0.281
POLH	-0.276
MGC16703	-1.20116666666667
SNAPC2	0.6745
FILIP1L	1.35925
RASGRP4	0.5895
LRRC1	2.29325
GAS1	2.39725
PRAC	-1.14975
DGKA	-0.0321666666666667
NT5C3	-0.7165
PEG3	0.62875
NADK	-1.447
PRR17	0.695
LOC374569	-0.4575
SGSH	-0.315833333333333
NLRP8	-0.237
GALT	-0.9199
MCF2	-2.7935
ZNF263	0.024
TACSTD1	1.65033333333333
TYR	-6.2066
ATP6AP2	0.73475
RNUXA	0.30625
ABHD10	0.014
GDPD2	-1.4455
SLC35C1	0.181
UBE2A	0.4715
HERC5	-1.06
FAM112B	-4.8505
FBXL16	-0.6555
DKFZP434A0131	-0.47425
ELA3A	-1.8915
RBM41	-0.895
HAO2	0.16
RNH1	-0.194875
SHANK2	1.9495
OSBP2	-1.749875
DAK	-0.844666666666667
C3orf58	0.9775
TCL1B	-1.095
KBTBD2	-0.131375
SUGT1L1	0.274
UBE2E2	-0.0228333333333333
MYL9	2.387625
CDC23	-0.579166666666667
PBXIP1	1.6537
CXorf40B	0.342
NBL1	1.673
RTBDN	0.106
RAB11FIP5	0.08575
TTTY13	-0.045
SCOTIN	0.349916666666667
SOHLH1	-2.06116666666667
CDKN1A	-0.0317857142857143
NCK1	0.0315
ZNF550	0.4215
SAPS3	0.6285
SPIN3	0.6975
MAGEE2	0.471
MIS12	-0.943
OR8H2	0.396
KIAA0774	-2.16183333333333
UNC5D	-2.2145
CUL7	0.105
LIPC	-3.64583333333333
DIO1	-1.4435
C20orf11	0.00270000000000001
CTRL	-1.0925
HS3ST2	1.86525
PAK4	1.34016666666667
CCRL1	3.80975
RNF10	-0.16775
ZNF567	0.75
ZNF660	-0.289
TCEAL3	1.20525
MAGOH	-0.632666666666667
CENPB	0.0873333333333333
C19orf7	0.84275
LOC388965	0.0825
ZCCHC13	0.5065
JMJD1A	-0.328
HIST1H4H	-0.236
TBRG1	-0.714
GPC3	-1.536625
TAF1C	-0.330625
EBNA1BP2	-1.14316666666667
CIAPIN1	-0.74275
PDGFRA	-0.119611111111111
CSTB	-0.446625
CENPI	-1.777
GTF2E2	-0.5485
RPP21	-0.18025
CCNF	-0.7515
KCNQ3	0.6875
FAM79A	0.45
SLC22A12	0.282
NOVA1	-1.27716666666667
FZD3	2.0071
AKAP8	-0.411
SOCS5	0.898
CFDP1	-0.786
DLG5	0.48925
PGM5	0.505833333333333
C1orf144	-0.065
HDAC10	-1.3965
RND2	-0.56825
C20orf199	-0.77825
RNMT	-0.222
SLURP1	0.418375
ASTN1	0.183
SH3BGR	0.65325
MYCL1	0.026
ZHX1	-0.0303333333333333
CENPK	-2.497
FOSB	1.2284
LOC643406	0.421375
C2orf59	-1.02275
TMEM135	-0.086375
SLC27A2	-2.34725
KRT33A	1.015
OVOL1	0.999714285714286
PAMCI	-2.34116666666667
S100A7	3.8265
ZNF789	-1.704
HARS2	0.2805
RPL23A	-1.14183333333333
TCF23	0.312
UPF3B	-1.432625
C17orf78	-0.3525
HLA-DOB	0.98
C14orf142	-0.0243333333333333
TEKT5	1.7695
DMWD	0.549
POLD1	-1.29433333333333
GSCL	-0.439
CALD1	0.5909
SCRT1	0.5655
AIG1	1.76225
UNC84B	-0.02
ZNF404	0.0265
TMED6	-3.3705
KIAA1462	0.6475
LRRC27	2.18933333333333
PYGO1	-0.2675
PIGU	-0.514166666666667
ALAS2	-3.82916666666667
WRNIP1	0.094875
CNNM3	0.2305
ZNF2	0.781
ST3GAL5	-0.602333333333333
MRPL23	0.1425
TSSK6	-0.188
PSMA6	-0.551
C16orf70	-0.9945
KIAA1602	0.17375
ALMS1	0.6335
DCN	3.068
TMEM132D	-1.0735
SUCLG2	0.504
ABHD14A	0.09175
DEXI	0.0143333333333333
AMPD2	-1.14633333333333
IFNAR2	-0.114166666666667
CYB5A	2.3892
TLOC1	0.7395
NXF5	-0.336
NRBF2	0.0335
KCTD3	1.84425
ITGAE	-0.996333333333333
SLC30A3	-1.701
ZRF1	-0.6305
IFRD2	-0.775375
XAB1	-0.05325
PYCR2	-0.2495
SERPINB3	-4.9485
TMLHE	-0.0833
GEFT	-1.53075
ABCA5	-2.299
EMR4	0.0203333333333333
TSFM	0.45825
HIST3H2BB	-1.06075
ARHGEF19	0.69775
TSPAN17	0.0401666666666667
ABCC8	3.1355
MAP1S	0.401666666666667
C22orf36	1.5715
BNC2	0.376357142857143
HIST1H4A	-0.37775
NDUFS3	-0.835
WDR3	0.0296666666666667
XKR4	-2.08275
TTC33	-0.134714285714286
STMN2	4.0595
CPN2	-0.9315
HSPC105	1.694625
PCOLCE2	-4.1615
C3orf55	2.063
KLHDC9	2.914
TBC1D23	0.118875
ATXN2L	-1.59108333333333
MAP2K3	-0.18575
SCAP	-0.425
ZNF486	0.919333333333333
C20orf96	0.251
NARS	0.26
ADAMTSL1	-0.502642857142857
PRCC	1.23566666666667
CCDC126	0.845666666666667
ZNF675	0.50925
CALCOCO1	1.026
ANKRD43	3.0135
CWF19L2	0.0758333333333333
ZBTB32	1.80116666666667
BRAF	0.73875
ODF4	0.498
MGC14376	0.100166666666667
HORMAD1	-3.78483333333333
AAK1	0.00600000000000001
PEBP1	-0.01525
TNFSF5IP1	0.149833333333333
DKFZp564N2472	0.16925
RMND1	-0.2265
IGKV1-5	4.15625
COL1A2	3.40775
SERPINA5	-1.149375
AANAT	0.2265
C19orf21	1.3385
GEMIN5	-0.47675
UBR4	-0.672166666666667
LTBP3	0.693333333333333
AMHR2	-2.15233333333333
PROCR	-1.247
MYBBP1A	-1.3795
C20orf39	1.44816666666667
ZNF697	-0.23475
PASK	-0.7051
ZNF776	1.14233333333333
RFXDC2	-0.26375
KIAA0467	-0.306
C10orf96	-2.955
ZNF503	0.0155
GULP1	-1.4465
KCNE4	0.524666666666667
DKFZp434K191	-1.365125
LOC196913	-0.073
BHLHB4	1.1465
CH25H	1.18325
LOC81691	-1.77366666666667
ALPL	0.237071428571429
COL12A1	3.142625
FOLR3	-0.804166666666667
GPR123	0.201125
TRIM62	0.239857142857143
ABLIM1	0.7425
MAST3	-0.402
RHBDD1	1.38316666666667
LOC338809	0.6775
RYBP	0.78125
TTC26	-0.53225
ZNF22	0.4515
ISCA2	-0.31425
RDM1	-3.06875
PIGM	1.83925
GNB3	-1.5015
ACTR2	0.6155
HMGB1	0.30315
EDG1	3.852
SOAT2	-3.09625
OR10AD1	0.542
RAP1GDS1	0.686916666666667
LCE1F	0.6795
ESM1	-0.2465
RCN3	2.632
CREBL1	-0.31175
DBNL	0.1515
PTGER3	2.725375
USP30	-0.254666666666667
BCL2L12	-0.320333333333333
KIF26B	2.53425
ZNF416	0.26175
ZNF225	0.1145
C17orf70	-0.25125
ZNF554	0.56225
RAE1	-0.876
TNIK	0.8755
ACTN3	0.082
MGC45922	0.879
CCNA1	0.1705
RYK	0.575666666666667
IL26	0.809
LRP3	1.28016666666667
QARS	-0.056
SOX7	1.01571428571429
BID	0.417
OR2S2	0.0715
CXCL14	3.50275
C11orf47	-0.6695
MGC29891	1.529
HSPB8	1.1148
PRDM14	-1.978
NUFIP2	0.00175000000000001
MNAT1	-0.591
ZDHHC2	-1.203
MBNL2	0.493875
ADD3	-0.571125
CSNK2A1P	-0.198
KLK6	-0.950333333333333
TMEM111	-0.2527
KIAA1279	0.638
NUBP2	-0.143166666666667
RAB42	-1.3125
ID3	-1.1732
TM9SF1	-0.24325
MDP-1	-0.6195
POU4F2	0.353333333333333
IQCK	1.259
C16orf14	-0.40175
CAPN3	-2.203125
FAM43B	-0.183
RECQL	-0.53125
AP1G1	-0.529714285714286
CTNNBL1	-0.502833333333333
ECHDC1	-2.0735
SMARCC1	0.3054
FOXQ1	-0.802375
GNAI3	-0.1105
POLG2	-2.41875
CD4	1.507125
ITLN1	-1.85675
EBI2	4.0795
IRF1	1.207
PTPRE	1.755
PTK2B	0.41125
NXNL2	-0.3815
SOX4	1.8835
TSPAN3	0.107666666666667
SH2D1A	-1.78616666666667
C8orf58	-0.005
USP20	-0.726
DUSP22	-0.464583333333333
CALB1	-2.80466666666667
L3MBTL2	1.07458333333333
MCRS1	-0.02625
TMEM118	-1.101
C18orf8	0.579
FLJ10241	0.2485
GJA12	0.43525
PKD1	-0.128666666666667
ZFP3	0.418
JAM3	-0.5545
LAPTM4A	1.4902
DIRC2	0.2195
KIAA2022	1.81316666666667
MYOM1	-0.0686666666666667
TRPM8	-1.7595
MOP-1	1.06975
PHKG2	-0.41575
ZNF650	0.685375
KIAA1522	0.544
PSG8	-1.68466666666667
DDX19B	-0.815
MOBKL1B	0.21775
DIAPH2	-0.97725
PTPN12	0.51475
CLN8	-0.2356
CRYZL1	0.0731666666666667
CRY2	1.0135
FCGR2B	3.36266666666667
PNPLA4	1.021125
ZNF454	0.301
DKFZp434B1231	0.27
CLDN11	0.9587
RFWD2	1.48933333333333
CIB2	-1.0195
MXRA8	3.42475
HRK	0.0176250000000001
MAML2	0.204
C4orf31	0.09025
C6orf192	-0.862
COG6	1.02375
FAM5B	0.624
NFATC1	0.8461
SEPT10	0.05025
SCYL1	-0.276
RPP40	-0.43375
SCOC	0.7056
KIAA1450	1.05275
CTDSPL2	-0.57275
TBX5	3.53466666666667
NAPG	0.114125
RHD	-5.89
C14orf45	2.05316666666667
ZBTB22	1.492
PLCG1	-1.4425
ANKRD10	-0.919125
AQP7P2	-0.05325
TAGLN2	0.597833333333333
HTR2C	-1.77816666666667
SLC16A7	-0.648166666666667
C17orf83	0.824
TSGA14	-0.348083333333333
MDH1	-0.489
PPP3R2	0.0374
DCBLD2	-1.8005
RBM33	-0.932625
DPH3	-1.5655
SYT10	-1.3285
FMO4	2.317625
THYN1	-0.931
DRD5	-2.5555
OTOR	2.173625
PGRMC2	-0.1608
KATNAL1	-0.3185
PAQR6	-2.091
UBE2I	-0.2875
C14orf28	0.0425
C8orf70	2.01275
FLYWCH1	-0.505
ANGPTL3	-1.664
GLRX2	0.103666666666667
ATP11A	-0.59
ARL5B	0.46525
MUC16	-2.9355
SLC25A5	0.0343571428571428
ACRC	-1.37575
MYO1C	-0.321375
FAM89B	1.21283333333333
FAS	1.54375
KIFAP3	1.01125
GLRA2	-0.363
BTN3A2	0.12
CNKSR3	-0.0883750000000001
CSTF3	-0.434
ARPM1	1.2795
KIAA1530	-1.632
C9orf150	1.78766666666667
PRKCI	0.48625
tcag7.1015	-1.311
SOD3	-0.3275
ZNF574	0.77475
CYP21A2	2.5295
RPL12	0.22125
COMMD2	-0.98875
WIZ	0.68175
LOC344405	-2.51675
ALDH4A1	0.506647058823529
CRYAB	1.634
COPA	1.16076666666667
PCDHGA7	0.453666666666667
KIF11	-1.71608333333333
RASD2	1.24475
SLC26A3	0.756
ZNF175	-0.2985
JAKMIP2	-1.856625
C8orf4	3.3205
PTHLH	0.139
SLC40A1	5.10541666666667
OR7D4	0.377833333333333
PCDHB17	1.2785
CD36	1.83221428571429
C6orf203	0.9585
PRKG2	0.6815
LOC400566	1.6575
ANAPC13	-0.02275
SLCO3A1	-1.14675
ZNF692	-0.77
FANCL	-0.963
SH3GLB1	0.40675
C12orf61	0.0425
KBTBD6	0.8775
SUPT5H	0.278875
XRCC6	-0.5011
HUS1B	0.2767
FAM133B	0.0287857142857143
LOC728276	0.078
KCTD18	1.38675
SOS2	0.739333333333333
CCDC99	-1.50275
C1QTNF5	3.597
NNAT	-0.364666666666667
USP16	0.20325
LARS	-0.287
ZBTB2	0.3455
ABO	0.2622
TRAF3	-0.00700000000000001
GALNT5	-1.637
NAP5	1.342125
ALG14	0.093
KIAA0515	0.052
WDR75	0.374833333333333
TEX261	0.00266666666666668
LY86	0.977
LOC389072	-1.1615
FLJ13611	0.38575
MRGPRX2	1.011
SNRPA	-0.664
OR2G2	0.2245
GPRASP2	1.254
C7orf42	0.713
C9orf163	-0.661
