Hybridization REF	TCGA-C8-A1HN-01A-11R-A137-07
PCDHGA9	0.739
AMDHD2	-0.12025
LCTL	-2.6985
PDCD2L	-0.4995
CABLES2	0.19
SLC5A9	-0.31325
CLCA2	-2.925
MGC16025	-1.1795
STRAP	-0.703666666666667
C20orf196	-1.367
RRBP1	-0.285333333333333
NAT13	-0.47025
MAT2B	0.145875
CSNK1D	-0.177833333333333
KIR3DL1	0.444
PRKAG3	-0.244
ZNF599	1.3555
PRM3	1.008
PER2	0.973666666666667
ASPHD1	-0.229
PRMT6	-0.7765
KCNE1L	-0.815571428571429
FAM118A	-1.7965
TAF4	-0.49875
NDUFB6	0.31
TRIM9	-0.00816666666666666
PMFBP1	-0.58625
KY	0.33
DKFZp762E1312	-1.01381818181818
CSMD1	-1.2105
TBP	0.1015
OR1Q1	0.524666666666667
RETNLB	0.333
HPGD	-0.745071428571429
DNAJC12	3.21283333333333
FKBP1B	-2.6005
ANKRD24	0.124166666666667
CXXC5	1.28366666666667
IL3	-0.00275000000000002
DRAM	1.1428
PTCH1	-0.648375
TP53BP1	-0.168
SLC17A7	0.119
COL25A1	-1.6575
AMACR	0.284333333333333
RHCG	-0.41575
VPS13A	-1.90733333333333
FAM55D	0.461
PRPF38B	-0.160583333333333
OSBPL6	0.05075
PFDN5	0.4173
CMTM6	0.226875
KCNK12	-1.0445
RP2	0.4195
C16orf52	-1.131
PICK1	0.4475
IFNE1	-1.55783333333333
SEMA4B	0.66925
TYRO3	-1.51075
OR12D2	-0.00650000000000001
CSNK1A1	0.9192
FANCF	1.11225
LONP2	0.5145
TBL1Y	-0.201
LDOC1L	-0.33675
CCNC	-0.03525
C3orf60	0.74425
CHKA	-1.189
UBAP1	0.093
MAP3K1	-0.1995
ANKRD9	-0.80075
FAM92A1	-1.71316666666667
GAB2	-0.2875
AZU1	-0.0485
DIS3	-0.419916666666667
C21orf109	-1.9455
IQCB1	-0.90675
SPATS2	-0.665833333333333
EFCAB3	0.18225
PRB3	0.3345
FUZ	0.916333333333334
ZNF813	0.867
BMPER	-1.7305
HEG1	-0.296
ALS2CR11	-2.29475
SURF2	0.09275
PSMC1	-0.783916666666666
OR2D2	0.7885
SLC7A8	1.84216666666667
C4orf40	0.4315
SPATA7	-0.79725
MAZ	0.433666666666667
PIN4	1.2925
PDE1A	-1.73025
TAF6L	0.418833333333333
OR2T34	0.6435
KIAA0284	-1.13075
ACADS	0.0414545454545455
MKRN2	-0.6215
C18orf56	-1.43125
MS4A6E	0.297333333333333
GALNT4	0.2804
C22orf31	-0.763
FLJ36070	0.194
PSME4	0.117
TFG	0.2763
EPHX2	0.9465
ANXA5	-0.17825
KRTAP1-1	-0.2986
BATF	0.781
KARS	-2.75925
MSTP9	0.0175
GPR26	0.826
CCDC72	1.065
TEF	0.255
FOXK1	-0.6074
PRLHR	0.4
EMX1	3.8235
C11orf30	-0.14775
ICK	0.74225
THSD7B	-0.2425
C21orf100	-1.433
DUOX1	0.2785
EFCAB4B	0.12325
UBE2G2	-1.23433333333333
C3orf54	0.05325
PARP1	-0.862
FAM60A	-0.579833333333333
C6orf146	0.2635
OR9K2	0.236
DDX55	-0.818
RPS15	0.0641666666666666
ZNF618	0.3843125
DKFZp686D0972	0.44175
SSPO	0.884
SHFM3P1	-0.444666666666667
CPA6	-0.45025
JAG2	0.3535
DEFA3	0.8515
PPBPL2	0.903666666666667
CD34	3.66425
SLCO4A1	-3.21625
AFG3L1	-1.16883333333333
SHD	-0.7895
RP13-122B23.3	-1.1795
PRKCSH	-0.683333333333333
DPH5	-0.044
HLA-F	1.444625
TBC1D4	-0.9045
RIG	0.257833333333333
GLUD1	-0.440166666666667
HNRPCL1	0.005375
HBXIP	0.94825
RNF207	-1.296
APIP	-0.35
PLA2G3	-3.16366666666667
CCDC84	-0.867
MYLIP	-0.558615384615385
PHIP	0.1905
AARS2	-0.416333333333333
DHX32	2.9305
SCAPER	-0.26
MEN1	0.027125
NIP7	-1.12475
FLJ25404	0.657
FASTKD3	-0.1815
TMEM158	-2.47416666666667
RARA	2.111
BDH1	1.1505
ANKRD16	0.94575
CARM1	0.313
SS18	0.640166666666667
IKZF2	-0.60525
MYD88	-0.137625
PML	-0.18155
TAF1A	-1.4325
CBFB	-0.6855
HIST1H3H	0.316333333333333
C7orf29	-0.959
COMMD4	-0.328333333333333
DPP3	-0.30775
DAB2	0.3085
LOC388882	0.174
YPEL4	-0.864625
AGBL3	0.8885
LRP6	-0.3123
SERPINH1	-0.45125
TLE1	-2.20875
CD244	0.448333333333333
ZDHHC15	0.616
MGLL	0.084
PLDN	-0.644
LOC654346	1.457
FAP	2.5235
GPR37	1.11683333333333
SCARA5	-1.52233333333333
EBF4	0.212363636363636
LSM6	0.13875
MLLT1	-0.1146875
SLC5A12	-0.15875
A2BP1	-0.938166666666667
COPS5	1.29583333333333
TPM4	-0.607642857142857
TNFSF4	1.08016666666667
ACADSB	1.63272222222222
HERPUD1	1.2725
BCL2L11	-1.01011111111111
CEP78	-1.74225
CDCA3	-0.009875
WBSCR19	0.1259
MYO1A	-1.9
PPEF1	3.29033333333333
LOC440348	-0.2105
CPEB2	1.455625
BPTF	-0.18525
RPL21	-0.981
GSX2	-0.0695
ADPRH	1.131
C17orf68	0.332666666666667
KCNS1	-1.04316666666667
MLLT6	0.424
PIWIL4	-0.0795
RNF26	-0.33
RAP1B	2.863875
ADAMTS1	-3.1346
ZNF571	0.802
P2RY6	0.4475
TRIM21	0.4205
CADM3	0.31675
NLRC5	0.297833333333333
ADRA2B	0.335833333333333
LOC90835	1.0915
PCF11	-0.60725
LOC400451	1.83475
GLTSCR1	0.5608
C17orf88	-0.639666666666667
CDH16	-1.741
FGF7	1.528125
PCSK4	-0.121666666666667
NPC1L1	0.4225
TAT	0.2765
TBCA	0.33625
MGC33407	0.4845
GPR115	-0.7775
CYGB	-0.2515
FNBP4	-1.32516666666667
C12orf43	0.25375
CBL	-1.0209
CLECL1	3.011
PPAPDC1A	1.5865
WDR25	-0.679
SGCA	1.069
C22orf29	0.102
YIPF1	0.72125
GALK2	-1.22175
RAB3B	-2.35608333333333
LOC440087	1.546
UCP1	-0.3165
REEP5	2.4605
FADD	-0.1147
FOXA1	3.216875
CACNA1A	0.519333333333333
ABI1	0.0358333333333333
GRIN2D	0.86975
SLC1A4	-0.950166666666667
LOC401127	-0.6075
HINT2	0.82
PLD4	0.734833333333333
ZNF286A	-0.92675
ENY2	0.6915
IL1F6	0.4835
PXDNL	1.91975
C20orf79	0.239
TNFSF13B	2.8675
DENND3	0.066375
JARID1D	-3.003
HIST1H2AK	1.453375
LOC93349	-0.3933
SSH1	-0.4514
ENSA	-0.40425
LOC219854	0.726
CKAP2	-0.4277
DKFZP564J102	0.498166666666667
MGC87315	-0.00133333333333334
HNRPAB	-1.11725
AMH	-1.999
ZNF526	0.6875
BRUNOL5	0.0821
CACNG3	0.178666666666667
TRPM1	-1.964
PPP2R1A	0.755125
COL2A1	2.86575
DDN	0.0671666666666667
FLJ25770	0.659833333333333
HK2	-1.22
ELOVL6	-0.59875
MDK	-0.6765
EPHX1	2.46675
RASSF2	0.406
DKFZP434B0335	-0.28725
DLX3	-0.477625
PRTN3	0.17175
AVPR1A	5.4675
C21orf125	-1.674
TNFAIP8	-1.39283333333333
GNB2L1	-0.9875
CALCRL	3.04675
SCGB2A2	6.66833333333333
UBXD7	0.256
ZNF674	-0.3685
TMEM35	-0.28625
BRSK2	0.92425
HECTD3	-0.295666666666667
TMEM188	-0.156666666666667
LGALS9	1.5655
SCARB2	1.10083333333333
USP34	-0.299166666666667
C17orf28	2.53658333333333
ZDHHC23	0.3045
AQP12B	0.3225
SLC16A3	-0.350625
APLP2	-0.17275
ITIH2	-5.24975
MICAL3	-0.66975
TNNI3K	-0.1718
HDAC2	0.734125
PRR7	0.3571
THBS2	-0.0475
LOC751071	-0.215833333333333
CA2	-1.11783333333333
RANBP17	0.61675
RLN3	0.40575
CRYZ	-0.7025
GBAS	0.142
TAS1R1	-0.32125
MPZL3	1.4995
PCDH8	-2.949
HSP90B1	-0.284166666666667
KCNK15	2.5335
TNIP2	0.463333333333333
GPR146	-1.042
NOL6	-0.13625
SPC25	-1.91633333333333
STEAP2	3.36121428571429
VAMP3	-0.0986666666666667
TCIRG1	0.499
ZP4	-0.3655
PARL	0.028
TRIM39	-0.0851666666666667
KIAA1305	0.595
CRNN	0.427
GRN	0.0145
HSH2D	0.28925
SCAMP1	0.83425
KIAA1913	0.2515
PTS	0.73325
BANP	0.435285714285714
PRKACG	0.41325
ADCY6	0.6625
C16orf46	0.241
CYP51A1	-0.225875
DDC	-5.0275
ANPEP	-1.02433333333333
PROM1	-2.16066666666667
SIGLEC10	1.963
COPG	1.4015
FAM26E	1.081625
TRIP4	0.16425
SNX3	-0.180333333333333
C1orf175	0.485333333333333
PPY2	0.351
C14orf152	0.64575
FTSJ1	-0.864333333333333
DST	-0.572
LOC554235	-0.01375
GLRX5	-1.09125
C20orf12	1.2506
CAB39	0.274666666666667
MSH2	-0.497833333333333
PIP4K2C	0.995375
CYLD	1.260375
WTAP	0.373625
MGAT4A	0.984333333333333
TSC22D4	-0.0613
CHRM2	-1.548
PPYR1	0.0821666666666667
CCNH	-0.121833333333333
RRM1	-0.71425
ECAT8	-3.5285
LOC400120	-0.211
GABRA4	0.549285714285714
C14orf4	1.76483333333333
C1orf59	0.81425
CTDSPL	0.751333333333333
NHEDC2	-0.6145
PDE11A	-1.51475
KLHL29	-1.76525
CD5	-0.9729
TSPAN9	2.0474375
WDR67	-0.013
THUMPD1	1.3925
C18orf17	-0.275
CLYBL	-0.111166666666667
FLJ13231	-0.25925
CMBL	1.298375
LECT2	-1.58575
NKAPL	2.17916666666667
LOC654780	0.534
OR4C6	-0.4305
RAB30	-0.342
TSSK4	-0.066
TMEM163	0.2295
OSBPL11	0.41425
GNB5	-1.45033333333333
CCL21	0.38175
C1orf121	0.0285
FMO2	1.09416666666667
RPTN	-0.553
MSTN	-0.0735
VCL	-0.731214285714286
FYTTD1	0.1795
C11orf1	1.308
CCDC88C	-1.551125
HFE	-0.468333333333333
MOGAT1	-1.3
FAM125B	0.353833333333333
IRGQ	0.93
RAVER2	0.53525
AKAP5	-1.8415
SSSCA1	-0.42775
C11orf63	1.696625
ACTG2	0.2115
PORCN	-0.4985
DTL	-0.492454545454545
TMEM151	0.9205
FAM122C	-1.161
RSAD2	3.1615
BAT4	-0.0855
KRTDAP	-1.81366666666667
MYH8	0.219625
CRTC3	0.13425
LRRFIP2	0.061
INTS4	-0.878666666666667
TTN	-1.77016666666667
SLC26A5	0.654
PLLP	-0.973
RGS6	-0.815375
SRGAP3	0.23575
ZNF525	0.5185
NBR2	-0.751833333333333
C13orf1	0.4393
ZNF137	0.5875
CEP27	-1.73425
BEST2	0.505
RNF121	-0.60225
DMRTC2	0.17625
C8orf76	0.7655
BCCIP	2.590125
MEST	-0.44275
HTRA2	-0.46
ANGPTL2	0.3055
ILKAP	-0.364
ERAS	0.296
HBS1L	-0.261125
CPA5	0.2825
TMEM30A	-0.224166666666667
CD300LF	2.04866666666667
WISP3	-0.426
CRK	-0.085
PDS5A	0.5134
BRPF3	0.974
NEDD9	-1.121125
SMPDL3B	-1.4605
PSG6	-0.333
PSMD13	0.114
ETV5	-1.13425
OR51A4	0.1155
BTBD7	-0.681083333333333
GSTO1	-1.1145
hCG_16001	1.434
MAD2L1BP	-0.064
COX6A2	0.9185
SCNN1A	2.398
LSM1	2.74516666666667
UGT2B11	-1.58425
IDUA	0.983
PPP2R3C	1.56016666666667
COX11	-0.0943333333333333
PDZK1	-3.44075
ZNF443	-0.401
MGC21874	1.54716666666667
ZNF323	1.1938
KRTAP10-10	0.5175
CXCL6	-0.84925
SLC34A2	3.6128
LOC284402	0.869
NPTN	1.11408333333333
UPP1	-1.95333333333333
SLC6A9	-1.2415
OR7G3	-0.23225
CISD1	-0.513
ZNF545	-0.025
SYT14	-0.823
NT5C3L	0.248
ZNHIT3	0.677833333333333
SNRPD3	0.68975
KIAA0701	0.697875
UNC93B1	0.340833333333333
GMNN	-1.64075
SPCS2	0.918666666666667
LOC388524	-0.26
NAPRT1	0.55525
PNLIPRP1	0.01925
OR6V1	0.423
PRKAB1	-0.6585
EYA4	-3.49033333333333
KIF20A	-1.1955
ALG10	0.33525
ITPKC	1.19533333333333
LMX1B	1.5595
RPUSD4	-0.491333333333333
C7orf34	-0.164333333333333
DLGAP2	0.592375
PFN1	-0.5797
MICALL2	-0.184833333333333
ZNF654	-0.3195
SS18L1	-0.856125
SLC16A8	-0.121
MKI67IP	0.342166666666667
ITGB3	-0.509375
TCEA3	2.79758333333333
CEP152	-2.0854375
CLIP1	0.950625
ZNF75	0.9883125
ATP5C1	-0.349166666666667
NUDT5	-0.809333333333333
PSCDBP	-0.209
UBP1	-0.0755
RBM27	0.0465
C13orf15	2.576375
ZNF282	0.3835
ZNF222	-0.1067
COL10A1	4.813
PRDM15	-0.998375
TTTY5	-0.208
FAM9C	-0.849
C20orf67	0.0115
GNG13	2.231
F12	0.647
C1orf41	0.37275
CPXCR1	0.546
GSK3A	0.654375
SUPT6H	0.7305
PI16	-1.29266666666667
ELL2	-1.60291666666667
C9orf167	-1.97266666666667
PVRL3	-3.2355
FLJ38596	-0.113
ADAM20	0.40125
GPR89A	-0.243
GPR87	-2.2745
ZNF30	0.9915
SMR3B	0.8925
ZNF770	0.51275
TRPC4AP	0.2275
DKFZP686E2158	0.818333333333333
C2orf28	0.153
FREM1	-3.04883333333333
LAMA4	0.327833333333333
ADPRHL2	-0.089
EIF4G2	0.205833333333333
GUCA1A	-0.2135
CTNNA2	-1.43375
NUDT15	-1.23583333333333
CEPT1	0.2965
ZNFX1	0.2186
CCDC92	0.96125
TDRD1	-1.517
KCNK5	-1.5425
ETNK1	0.587666666666667
LTA	0.3565
TTPA	0.167833333333333
B3GALNT2	-0.328375
SC65	-0.003
PEX5L	-0.791625
EPS15L1	0.0745
MGEA5	-0.899875
HIST1H3A	1.324
ING1	-0.522125
BCAT1	-2.58375
ORC6L	-2.06172727272727
KLK11	-5.102
C19orf28	-1.00925
DNER	-3.704
MED22	-0.654642857142857
ETV6	0.94875
CHAC2	-2.0765
CD300E	0.447
CEBPB	1.37258333333333
ZNF398	0.21475
LRCH3	-0.244
HMGA1	-1.30933333333333
CAPN7	0.417333333333333
MGC5566	-2.64825
CCL3	3.216
NANOS1	0.74575
ZFYVE19	0.31075
APITD1	0.658166666666667
PARD3	0.267375
IRAK4	-0.0716666666666667
SERPINI2	0.1445
CEP170L	-0.5535
TTC9	2.729375
MYOM3	-1.5985
MLPH	0.891375
LOC222699	0.081
NRG1	-1.39333333333333
TBC1D9	5.26481818181818
TTK	-1.28733333333333
ZNF557	0.2256
DDX41	-0.1615
FANK1	4.6245
UBE2D2	0.09175
PSMB10	0.342875
MYH7B	1.046
GABARAPL2	-0.200875
MARVELD2	1.8515
DGCR2	0.548166666666667
UNC45A	0.172333333333333
C6orf72	0.013
ZNF683	4.0815
GIT2	-0.05525
CASK	0.619666666666667
C14orf161	-0.832
LRRC44	2.13025
TIFA	-0.2875
UTP11L	-0.48325
C6orf65	-0.851
FDPS	-0.7825
DUSP9	-1.6885
SLC17A8	0.572166666666667
OR51G1	0.388666666666667
NANS	-0.8795
OLFML1	1.19175
ATP10B	-1.6075
NPAS3	-1.61225
PRKCA	-2.462
GGA2	0.2780625
LCE4A	0.251
SPANXN3	0.9965
CCDC115	1.253625
SDCCAG3	-0.34075
GLIPR1L1	2.05
TTC1	-0.413
C17orf76	-0.21575
MAD2L2	-1.33625
HIPK1	0.5155
LRRC3B	-0.632166666666667
CLN3	-0.642090909090909
C17orf47	0.362
FMN2	0.985375
TUBB1	-0.365875
WAPAL	-0.293
C3orf21	-0.408375
SCN5A	-0.2905
SMYD1	0.0856666666666667
BEX5	0.7235
ZNF192	-0.1285
SEC22A	0.316333333333333
GRIA2	0.819
KIAA0825	-0.8835
NUSAP1	-1.18
LANCL1	0.071625
C15orf40	-0.3556
ZNF645	0.41825
GPR61	0.13275
NLRP14	0.054
SNX21	-0.2332
C1QTNF8	0.3
C17orf46	0.4295
IFNA8	0.3055
SPRR1B	-1.90566666666667
FLRT1	-0.615
SNX17	-0.995833333333333
ASB2	-0.678
HBG1	-4.9115
RPRML	-1.656
JOSD2	0.8495
PLSCR3	-0.10925
SPOCD1	-0.682666666666667
RAB39	-0.8415
GHRH	-0.0845
ITIH5L	0.4285
C17orf37	1.879
SMCR8	1.29275
DPY19L2P3	-1.19633333333333
IL11RA	-0.071
GDF3	-4.04666666666667
RPS6KB1	-0.243583333333333
DNAJC19	1.3255
TOP1	-0.224
CRCT1	-0.51625
MPST	0.0274999999999999
DPM2	0.755375
FAM38B	-2.27
SLC18A1	-2.32283333333333
FARP1	-0.344666666666667
PAX7	0.1305
TUBD1	-0.4535
GNL3	0.204
BTG2	0.679733333333333
NDUFS6	-0.37025
C1orf79	-0.814
ERAL1	0.524
ECHS1	0.24125
VPS4A	-0.259333333333333
CYP11A1	-0.929875
ABCC6	0.285642857142857
PBX4	-1.212
MOSC1	-1.065875
NCF4	0.12425
HYMAI	-0.5795
NAGPA	-0.12875
OTOP2	0.31675
ACOT12	0.27
MTHFD2L	0.959875
LOC441376	5.03525
C19orf34	0.555
RAB1B	0.40375
ALDOAP2	0.65
NTRK1	-1.84416666666667
ARTS-1	-0.8188
SLC6A11	-0.1355
NAP1L2	1.283
CNGB1	0.196
EPB41L4B	0.835416666666667
FAM134B	2.364125
HS3ST3A1	-1.66933333333333
CPXM2	3.25875
SIRPB2	0.786
CHORDC1	-0.676666666666667
TRIB3	-2.13216666666667
SLC2A5	1.181
C2orf49	-0.717833333333333
DDX5	0.032
OR5L1	1.7875
ANAPC4	-0.0958333333333333
ZSWIM1	0.8935
LOC93622	1.026375
KCNK3	2.7909
RP11-35N6.1	-2.336625
ZFP161	0.0651666666666667
AQP9	1.9635
SLC15A2	-1.8415
MREG	0.625833333333333
OR9I1	0.6815
PDLIM2	-0.189875
ADAM7	0.597
GSTCD	-0.637
WDR21A	-0.069375
SLC12A8	1.22966666666667
TMEM174	0.2795
IGSF3	-0.0318333333333333
LRRN1	-2.33025
LOC402117	0.49225
SRPK1	-0.845333333333333
LY6K	-2.148
NFIA	1.828
PTCD3	-0.14475
LEP	-1.0942
PCDH21	-0.766333333333333
MAPKAPK2	0.807857142857143
NMNAT1	-0.415166666666667
LHFPL2	0.47925
C9orf43	1.52225
DIP2A	-0.802333333333333
ACTR8	0.09275
CCDC34	-0.77375
PTPN22	-0.941125
ITGA3	-1.70225
FAM129C	0.3525
RABGGTA	0.969166666666667
UNC45B	0.49425
KIAA1033	-0.271
ZNF510	-0.377666666666667
CYP2D6	0.0626666666666667
SLC26A10	-1.428
STX8	-0.28525
LUZP1	-0.41925
WDR89	0.382666666666667
EIF4G3	-0.00409999999999999
C5AR1	1.05575
ZNF623	0.7595
A2M	-0.11975
TGM7	0.3095
GRPEL1	0.371
LMNB2	-1.4027
ROCK2	-0.427666666666667
SNX16	0.47575
CCDC66	-0.1305
ANXA3	-3.60475
KIAA1609	-1.27525
EED	-0.805
RNF32	1.06816666666667
HES1	0.2555
CLC	0.485333333333333
ISL1	-1.37733333333333
KIAA0528	0.698625
MANEA	0.25725
C1orf61	-2.21
hCG_2001000	1.7335
RAPGEF6	0.1514
KIAA0020	-0.276666666666667
NEIL1	0.39325
C16orf45	-0.39075
RBM10	-0.0658333333333333
C10orf125	-1.704
MRS2L	-0.03225
DNAH17	-1.213125
C19orf10	-0.8235
C1orf160	0.90975
SLFN12	-0.201
EXOC3	-0.751666666666667
HIST3H3	0.6235
NCOR2	0.376166666666667
TNFRSF9	-0.281
MFSD8	-0.38225
ALX1	-3.86616666666667
NOL1	-0.535
PODN	2.2025
TIAL1	-1.2565
HIST1H1E	0.81625
NPY6R	0.19725
TM4SF4	0.824
CORO2A	-0.205
ETNK2	0.725
APOE	0.8308
ANGPT4	0.1515
HDGF2	-0.68075
G30	1.524
ST8SIA4	-0.042625
F2RL1	-0.983375
FAM19A4	-1.697
CCAR1	-0.66825
B3GNT7	0.15475
OPHN1	-0.7104
DSCR6	2.4595
C21orf13	0.5945
GAS2L1	0.812666666666667
RFX3	-0.163
COPS4	-0.03775
BCHE	-5.17533333333333
BCL2	2.967125
HBZ	-3.01683333333333
ARL13B	0.665125
MAPBPIP	1.096625
MYO15B	1.328625
SPZ1	0.527666666666667
KIAA1324	3.457
PLCL2	-0.983625
C4orf29	-1.06225
WDFY2	-1.56975
ZNF284	-0.784
NAALADL1	-0.5885
DUSP5	0.740166666666667
PXDN	-0.17675
SLMO1	0.46525
TNXB	0.2846
BIRC7	-0.854
A4GALT	1.5145
TIMM22	-0.027
FAM110C	-1.278
TOMM34	-0.274875
ABHD9	-0.3535
ADAM32	-0.803
CRHBP	0.05975
AQP2	0.428875
LOC130355	1.63225
ZNF187	0.177166666666667
ZNF816A	2.2765
F7	-0.78375
CNOT1	-0.3963
SLC13A4	0.641
ZBTB11	0.2105
B3GALT5	-0.6805
EXOC2	0.402
IRS1	-0.524
TMEM1	-0.057
MRPL34	-0.499333333333333
SAMM50	-0.64425
CDC42EP3	-0.754375
HSF2	-0.158
MFN2	0.229
TSPAN7	-3.13766666666667
NUCB1	0.905916666666667
RHOH	0.90125
ARL16	0.054
TACR1	0.04225
SFRS5	-1.4205
SNX25	0.978
RHBDF1	0.723833333333333
PCDH18	0.874
HMG1L1	-0.651
MYO5C	1.009125
MAPK10	0.4655
LDHAL6A	-0.0366666666666667
NUDT12	2.13
NCAM1	-0.272625
GLIS2	0.461
GGTL4	1.392
DAPP1	-1.71125
ATF7	0.7205
KIAA0748	-1.841
NFIL3	-2.0415
TM6SF1	0.7649
SEZ6	0.280875
NANOS3	0.618166666666667
DNAJA3	0.436333333333333
CLDN6	-1.8835
CIITA	2.6406
EPHA4	-1.96366666666667
FANCC	0.21475
CMTM3	-0.30675
PSG3	-0.63225
MRPL15	-1.28925
C21orf59	0.0135
PLCXD2	-0.0885
C2orf34	-0.21925
UBE2L6	1.26525
MED14	0.607
HP1BP3	-0.3381
C6orf208	-0.345
TPBG	-0.715
OSR2	0.708
XPC	-0.287166666666667
KLHL7	-0.79075
CCR3	-0.7125
AGTPBP1	-0.552833333333333
PCSK6	-0.499066666666667
STAT5A	-1.5844
FAM18B	0.78325
LONRF2	0.427
PTPN2	-1.02075
SF3A3	-1.022
EFCBP2	-0.07575
HCFC1	-0.5285
AHNAK	-0.1965
ACTR5	0.2555
KIF14	-2.232
TENC1	0.4875
HEATR5B	1.552
YIPF2	0.256166666666667
MYEOV2	1.32883333333333
DUSP18	1.30325
KIAA1012	0.575
AHR	-0.62
C17orf53	-0.441666666666667
PTPRH	-2.92375
ATP6V1C1	1.0895
TAS2R3	0.0445
LOC440356	3.4465
COQ10B	0.8605
PSMF1	-0.87825
SORBS2	-0.246083333333333
NFE2L2	-0.0425
TMCO7	-0.246
SH3PXD2A	-0.1467
SH2D2A	-1.4855
SPINK5	-3.70475
MRPS24	-0.508
OPA3	0.60325
TRAF7	-0.100166666666667
C4orf35	0.486666666666667
MT1G	-0.718375
MGC39545	0.19625
HS1BP3	0.5769
OR2B2	0.1285
CHRM4	0.0945
SFRP2	2.65091666666667
RIC3	1.8345
ART1	0.216
C6orf1	0.840125
DUS4L	0.076
C10orf104	-0.04325
TNFAIP6	2.4655
RTEL1	0.8065
CCT4	-0.3386
ZNF709	-0.72625
CHMP6	0.422666666666667
UPP2	-0.4415
CYP19A1	-2.87975
CD151	-0.3455
NDUFA13	0.111666666666667
ARFRP1	0.247
FAM26B	1.459
CRYBA1	-1.966
MRPL41	0.159333333333333
NPFFR2	-0.125125
HRH2	0.4245
SCAMP3	0.3735
MTMR6	0.1671
MTG1	-1.51383333333333
UBTD1	0.9845
CRABP1	-2.8325
FLJ33790	1.9002
KIAA1908	-0.461166666666667
GPR158	-3.323
PACSIN3	0.254333333333333
OMD	3.16666666666667
CATSPER1	0.574166666666667
HOXB8	-1.226625
FBXO46	1.17
OAS1	0.816666666666667
SVIL	-0.54075
PHB2	-0.53075
ADCY3	-0.003
NDRG2	0.533833333333333
ERMAP	0.3881
APBA2	-0.2155
IGSF9	1.77225
WNT6	-0.765
MYCBPAP	1.8185
ATP2B2	-0.6234
CPVL	-0.9025
TRAM2	-0.786666666666667
NOP5/NOP58	-0.076
ZNRF4	-0.04675
TLK1	-0.05275
MTMR12	0.1235
ZNF384	0.302833333333333
FAM9B	-2.94375
RPN1	0.3148
PMVK	1.074
EIF3D	-0.0895
SIX2	1.632
HPS1	0.278071428571429
RNF7	0.44175
PSKH2	0.354
KCTD13	0.720333333333333
CSMD3	-0.7732
FBF1	0.7875
IL8	-4.642375
SERPINB13	0.190416666666667
FBXL20	-0.00849999999999999
BLR1	0.583
SH2B1	0.0753333333333333
RFNG	-0.258125
RAB20	-0.477333333333333
RBM7	-0.8725
POLR1A	-0.272
TMPRSS4	-0.45675
TAF9	-0.281875
TERF2	-0.8075
TNFRSF1A	1.10941666666667
ACADVL	-0.424666666666667
GTF2H5	1.288
EDG8	1.27816666666667
C9orf140	-1.168625
UST6	0.4385
ZBTB8OS	0.3025
ZNF710	2.0255
GPR174	-1.798
ATP6V0A2	-1.22575
KIAA0319L	-0.785583333333334
XKRX	1.802
DOPEY2	1.4042
SDHD	0.182
SUMF1	1.4505
OSM	3.5365
OPN3	-2.17275
DAGLB	0.042
PPFIBP1	-0.4443
TRIM63	-4.417
C10orf53	0.196
LYPD3	1.30116666666667
BCL7A	-0.2655
AGER	-1.35316666666667
TCF19	-0.249625
SAT2	-0.44125
PFTK1	0.257833333333333
GABRE	-3.258
C15orf38	1.261
FIS1	0.833
KCNV2	0.518
CLPS	0.30175
PPCDC	0.24975
FOXN2	-0.517
NT5E	-3.405
CD83	0.766
IL18	0.429
VPS16	-0.73225
IGFBP2	-0.240166666666667
NOTCH2	0.40625
SIGLEC1	3.1915
CD93	5.54
SULF2	-0.324
CEP164	-0.00412500000000002
P53AIP1	0.0671666666666667
TOR2A	-0.0946666666666667
ZNF136	0.03525
MGP	3.088
CCDC144A	-0.924
TRPC1	0.0701666666666667
SMS	0.287166666666667
MAPK7	-0.345333333333333
RRAGC	0.05075
PARD6A	-0.366333333333333
NUB1	0.913
SYNGR4	0.60825
OR11H12	0.3375
WIF1	0.9035
GCH1	-0.5325
OR11H4	0.247
SLC44A5	-1.053
GPRIN2	-0.832166666666667
LOC401431	1.50575
CPA4	-2.4088
MELK	-0.650333333333333
IL15RA	0.7375
CUL3	2.52075
HMBOX1	-0.42125
PODXL	-1.9685
CCT6B	1.41133333333333
COMTD1	-0.56725
MUC20	1.25066666666667
GPX2	-3.0545
ITK	-1.99925
FBXL5	1.8675
C13orf27	-0.8165
DEFA5	0.2265
TRHDE	-0.23
MTP18	-0.874833333333333
UQCRQ	0.9883
ITGB2	1.38616666666667
CSRP2BP	-0.20525
TAS2R44	0.6015
PHPT1	0.261625
FAM44C	0.363
ERH	0.7365
MPHOSPH1	-1.73283333333333
MORC1	-0.339
PARVB	-0.8255
LAMA1	-2.35066666666667
PGBD3	0.214
GIMAP6	4.08525
AREG	-4.70416666666667
LIPT1	-0.23475
MGC99813	0.1525
C1orf201	1.01216666666667
GRIN2A	-0.8401
MAN2C1	-0.97175
NSUN5	-0.49125
SF3B5	0.1775
MYC	-1.0550625
NRXN1	-1.17741666666667
ZNF18	-0.048
SPDYA	0.945875
SLC37A1	1.249
DECR2	1.205
ANKRD38	0.939
SPTLC3	-1.7105
SUPT16H	-1.07125
DTWD2	-0.54375
ULBP1	-1.8455
ZADH1	0.2415
OIP5	-0.958
IL10RB	-0.507666666666667
OTUB2	-0.37775
