Hybridization REF	TCGA-BH-A0BO-01A-23R-A12D-07
CABLES2	-1.04325
SLC5A9	-0.72825
CLCA2	-0.265833333333333
MGC16025	0.3695
STRAP	-0.5435
C20orf196	-1.18
RRBP1	0.0688333333333333
NAT13	-0.1915
MAT2B	0.189125
CSNK1D	-0.00050000000000001
KIR3DL1	0.115
PRKAG3	1.298
ZNF599	0.0035
PRM3	0.503
PER2	2.19466666666667
ASPHD1	-3.157
PRMT6	-1.10325
KCNE1L	-0.535714285714286
FAM118A	-0.2735
TAF4	-1.04275
NDUFB6	-0.37625
TRIM9	-1.51733333333333
PMFBP1	-0.70625
KY	0.4085
DKFZp762E1312	-4.66136363636364
CSMD1	-0.99225
TBP	-0.514666666666667
OR1Q1	0.153333333333333
RETNLB	0.03175
HPGD	0.717538461538461
DNAJC12	-1.605
FKBP1B	-1.36575
ANKRD24	-0.00416666666666666
CXXC5	0.1185
IL3	-0.03575
DRAM	0.8369
PTCH1	-1.423875
TP53BP1	0.23275
SLC17A7	-0.027125
COL25A1	-0.9115
AMACR	-0.885
RHCG	0.27425
VPS13A	-0.318333333333333
FAM55D	1.748
PRPF38B	-0.24
OSBPL6	1.3185
PFDN5	0.4166
CMTM6	1.59325
KCNK12	-1.679
RP2	1.137
C16orf52	-0.98675
PICK1	0.4015
IFNE1	-0.321666666666667
SEMA4B	1.31825
TYRO3	-1.3055
OR12D2	-0.1245
CSNK1A1	1.45375
FANCF	0.401
LONP2	0.054625
TBL1Y	-0.9385
LDOC1L	0.63075
CCNC	0.48125
C3orf60	-0.30075
CHKA	-1.10175
UBAP1	1.20775
MAP3K1	2.1445
ANKRD9	-0.4115
FAM92A1	-0.955666666666667
GAB2	0.54725
AZU1	-0.3435
DIS3	-0.22925
C21orf109	-0.0643333333333333
IQCB1	-0.68875
SPATS2	-0.8895
EFCAB3	-0.50875
PRB3	-0.092875
FUZ	-0.225
ZNF813	0.294
BMPER	-0.3086
HEG1	0.572875
ALS2CR11	-1.85075
SURF2	-0.61
PSMC1	-0.131166666666667
OR2D2	-0.026
SLC7A8	2.4965
C4orf40	0.621
SPATA7	-0.08625
MAZ	-1.15758333333333
PIN4	0.3335
PDE1A	0.465875
TAF6L	-0.614166666666667
OR2T34	-0.056
KIAA0284	0.76675
ACADS	0.778909090909091
MKRN2	-0.546
C18orf56	-2.74175
MS4A6E	0.6586
GALNT4	0.6657
C22orf31	0.1055
FLJ36070	0.0965
PSME4	0.30075
TFG	0.0443
EPHX2	2.27275
ANXA5	-0.01125
KRTAP1-1	-0.1749
BATF	3.6565
KARS	-1.38775
MSTP9	-0.4185
GPR26	0.115
CCDC72	0.115
TEF	0.0463333333333333
FOXK1	-0.7363
PRLHR	0.9095
EMX1	0.35075
C11orf30	-0.348875
ICK	0.104
THSD7B	0.66925
C21orf100	-1.1395
DUOX1	1.605
EFCAB4B	-0.353
UBE2G2	-1.01483333333333
C3orf54	-0.469
PARP1	-0.72225
FAM60A	-1.07383333333333
C6orf146	-0.196
OR9K2	0.4415
DDX55	-1.12616666666667
RPS15	-0.270666666666667
ZNF618	-0.1498125
DKFZp686D0972	1.25125
SSPO	-0.25
SHFM3P1	0.498666666666667
CPA6	-0.7
JAG2	0.9385
DEFA3	2.577
PPBPL2	-0.2976
CD34	5.380125
SLCO4A1	-1.155
AFG3L1	-1.3845
SHD	-1.238
RP13-122B23.3	-1.32283333333333
PRKCSH	-0.821666666666667
DPH5	-1.04233333333333
HLA-F	2.15075
TBC1D4	-0.838
RIG	0.5445
GLUD1	0.561666666666667
HNRPCL1	0.88125
HBXIP	-0.3775
RNF207	-0.0205
APIP	-0.07225
PLA2G3	-0.6785
CCDC84	-1.10775
MYLIP	-0.708923076923077
PHIP	-0.446
AARS2	-0.546
DHX32	0.9585
SCAPER	0.0101666666666667
MEN1	-0.54525
NIP7	0.023
FLJ25404	-0.2215
FASTKD3	-0.46775
TMEM158	-2.21983333333333
RARA	1.6155
BDH1	0.191
ANKRD16	-0.018
CARM1	0.117
SS18	0.404166666666667
IKZF2	0.17225
MYD88	0.6545
PML	0.50385
TAF1A	-0.5325
CBFB	-0.3465
HIST1H3H	-1.83883333333333
C7orf29	-2.4215
COMMD4	-0.908166666666667
DPP3	-1.26925
DAB2	0.908625
LOC388882	0.436
YPEL4	-0.117875
AGBL3	0.22475
LRP6	0.2938
SERPINH1	-0.289416666666667
TLE1	0.1195
CD244	1.14583333333333
ZDHHC15	0.763
MGLL	0.6827
PLDN	0.692833333333333
LOC654346	1.667
FAP	3.62025
GPR37	0.622666666666667
SCARA5	2.1955
EBF4	1.61872727272727
LSM6	-0.3765
MLLT1	-0.0539375
SLC5A12	-0.702
A2BP1	-1.104
COPS5	-0.195666666666667
TPM4	0.741214285714286
TNFSF4	0.768166666666667
ACADSB	2.738
HERPUD1	0.253
BCL2L11	-0.930833333333333
CEP78	-1.547125
CDCA3	-2.897875
WBSCR19	-0.3341
MYO1A	-2.2305
PPEF1	1.14333333333333
LOC440348	-0.87975
CPEB2	1.7125
BPTF	-0.659916666666667
RPL21	0.1175625
GSX2	-0.304
ADPRH	1.8085
C17orf68	0.445
KCNS1	-0.560333333333333
MLLT6	0.3181
PIWIL4	0.4605
RNF26	-1.53725
RAP1B	0.925625
ADAMTS1	2.5972
ZNF571	0.7715
P2RY6	-0.173
TRIM21	1.26716666666667
CADM3	0.648
NLRC5	0.514
ADRA2B	0.126166666666667
LOC90835	-0.40425
PCF11	0.24675
LOC400451	1.496
GLTSCR1	0.4734
C17orf88	-0.7405
CDH16	-1.568
FGF7	3.76275
PCSK4	0.219833333333333
NPC1L1	-1.27183333333333
TAT	3.12825
TBCA	-0.78175
MGC33407	0.23225
GPR115	-0.416125
CYGB	1.574
FNBP4	-0.225666666666667
C12orf43	-0.3285
CBL	-0.2637
CLECL1	1.511
PPAPDC1A	1.589
WDR25	0.1175
SGCA	0.4585
C22orf29	-0.4412
YIPF1	1.4685
GALK2	-1.151
RAB3B	-2.978
LOC440087	0.06575
UCP1	0.484
REEP5	1.367
FADD	-0.466
FOXA1	2.12475
CACNA1A	-0.2275
ABI1	0.454
GRIN2D	0.29225
SLC1A4	-0.539666666666667
LOC401127	-1.12775
HINT2	-0.019
PLD4	1.19416666666667
ZNF286A	-0.5195
ENY2	-0.6535
IL1F6	0.3135
PXDNL	-1.368
C20orf79	0.3535
TNFSF13B	3.2325
DENND3	1.363625
JARID1D	-3.1445
HIST1H2AK	-0.0569999999999999
LOC93349	0.1174
SSH1	-0.5958
ENSA	-1.01875
LOC219854	0.635833333333333
CKAP2	-2.4822
DKFZP564J102	0.862666666666667
MGC87315	-0.256
HNRPAB	-0.9745
AMH	-2.362
ZNF526	0.1125
BRUNOL5	-0.2751
CACNG3	-0.13
TRPM1	-2.548
PPP2R1A	0.154
COL2A1	-1.4725
DDN	-0.331666666666667
FLJ25770	1.38375
HK2	-0.318642857142857
ELOVL6	-2.28775
MDK	-0.50075
EPHX1	1.257
RASSF2	1.31925
DKFZP434B0335	-0.45775
DLX3	-0.216625
PRTN3	-0.41075
AVPR1A	2.25825
C21orf125	-1.9005
TNFAIP8	0.68
GNB2L1	-0.315
CALCRL	4.43575
SCGB2A2	8.10316666666667
UBXD7	-0.633
ZNF674	-0.458
TMEM35	0.32775
BRSK2	-0.97375
HECTD3	-0.148666666666667
TMEM188	0.240583333333333
LGALS9	1.76575
SCARB2	1.22525
USP34	0.039
C17orf28	1.49933333333333
ZDHHC23	-0.7825
AQP12B	-0.4155
SLC16A3	-1.356
APLP2	0.94825
ITIH2	-5.697
MICAL3	-0.439
TNNI3K	0.9313
HDAC2	-0.626375
PRR7	-0.6333
THBS2	1.136375
LOC751071	-0.988166666666667
CA2	5.02683333333333
RANBP17	-0.3
RLN3	0.26275
CRYZ	0.464666666666667
GBAS	0.3115
TAS1R1	-0.459
MPZL3	1.09
PCDH8	-1.66333333333333
HSP90B1	-0.201416666666667
KCNK15	-0.535
TNIP2	0.805333333333333
GPR146	0.51475
NOL6	-0.134875
SPC25	-4.23755555555556
STEAP2	3.86228571428571
VAMP3	0.0035
TCIRG1	0.09175
ZP4	-0.00816666666666666
PARL	-0.02525
TRIM39	0.524666666666667
KIAA1305	0.98775
CRNN	-0.0895
GRN	0.2375
HSH2D	-1.4285
SCAMP1	0.588625
KIAA1913	1.522
PTS	0.06275
BANP	0.302785714285714
PRKACG	0.26725
ADCY6	0.5475
C16orf46	0.259
CYP51A1	-0.064375
DDC	-4.3895
ANPEP	2.95333333333333
PROM1	0.419666666666667
SIGLEC10	3.10675
COPG	0.4195
FAM26E	1.189875
TRIP4	0.5215
SNX3	0.198833333333333
C1orf175	0.4725
PPY2	-0.069
C14orf152	0.4345
FTSJ1	-0.900333333333333
DST	1.2918
LOC554235	-0.04475
GLRX5	-0.4665
C20orf12	1.0105
CAB39	0.813666666666667
MSH2	-1.68566666666667
PIP4K2C	0.622
CYLD	1.1385
WTAP	1.150375
MGAT4A	1.253
TSC22D4	-0.6922
CHRM2	-1.533
PPYR1	-0.0658333333333333
CCNH	0.810666666666667
RRM1	-1.16775
ECAT8	-2.24675
LOC400120	1.044
GABRA4	0.0415
C14orf4	1.28483333333333
C1orf59	-0.6345
CTDSPL	0.245666666666667
NHEDC2	0.7805
PDE11A	0.175875
KLHL29	0.5555
CD5	-0.5803
TSPAN9	1.5954375
WDR67	-2.46975
THUMPD1	0.0847
C18orf17	0.05925
CLYBL	0.329166666666667
FLJ13231	-0.3775
CMBL	-0.109375
LECT2	-0.299333333333333
NKAPL	2.226
LOC654780	0.198
OR4C6	-0.141
RAB30	0.9
TSSK4	-0.809
TMEM163	0.9735
OSBPL11	0.231333333333333
GNB5	-0.509666666666667
CCL21	1.4045
C1orf121	-0.0551666666666667
FMO2	3.7676
RPTN	0.457
MSTN	0.105
VCL	0.905857142857143
FYTTD1	0.5245
C11orf1	-0.0475
CCDC88C	-0.1263125
HFE	-0.434222222222222
MOGAT1	0.519
FAM125B	-0.179
IRGQ	0.2485
RAVER2	-0.0915
AKAP5	-1.155
SSSCA1	-0.424
C11orf63	0.138375
ACTG2	3.2431
PORCN	-1.3765
DTL	-3.34754545454545
TMEM151	0.20625
FAM122C	-0.351
RSAD2	2.1068
BAT4	-1.0455
KRTDAP	-1.32916666666667
MYH8	0.65275
CRTC3	0.95425
LRRFIP2	1.2865
INTS4	-0.6055
TTN	-0.9068
SLC26A5	0.658
PLLP	-0.89425
RGS6	0.00762499999999999
SRGAP3	0.852
ZNF525	-0.261
NBR2	-0.7765
C13orf1	-0.0621
ZNF137	-0.0295
CEP27	-1.14175
BEST2	-0.17
RNF121	-0.349
DMRTC2	0.3135
C8orf76	-0.36625
BCCIP	1.11725
MEST	-0.933
HTRA2	-0.596
ANGPTL2	1.77925
ILKAP	0.219333333333333
ERAS	0.1385
HBS1L	-0.398
CPA5	-0.222
TMEM30A	1.23583333333333
CD300LF	2.40033333333333
WISP3	0.499
CRK	0.790928571428571
PDS5A	-0.1131
BRPF3	0.507
NEDD9	1.8945
SMPDL3B	0.7085
PSG6	-0.40725
PSMD13	0.0265
ETV5	-1.8431875
OR51A4	-0.1025
BTBD7	1.01233333333333
GSTO1	-0.65125
hCG_16001	-0.263
MAD2L1BP	-0.4375
COX6A2	0.4725
SCNN1A	2.58716666666667
LSM1	0.214333333333333
UGT2B11	1.368
IDUA	0.86625
PPP2R3C	-0.270333333333333
COX11	-0.856333333333333
PDZK1	-1.88925
ZNF443	-0.0178333333333334
MGC21874	1.31433333333333
ZNF323	0.8939
KRTAP10-10	0.1425
CXCL6	0.743
SLC34A2	1.4402
LOC284402	0.403
NPTN	1.14383333333333
UPP1	0.819916666666666
SLC6A9	-0.847
OR7G3	-0.40275
CISD1	-1.1385
ZNF545	0.0415
SYT14	-0.2765
NT5C3L	-0.450666666666667
ZNHIT3	-0.668
SNRPD3	-0.4065
KIAA0701	0.7985
UNC93B1	-0.426
GMNN	-2.471375
SPCS2	0.327166666666667
LOC388524	-0.843
NAPRT1	-0.696125
PNLIPRP1	0.12775
OR6V1	0.2875
PRKAB1	-0.0185
EYA4	-3.11816666666667
KIF20A	-4.1545
ALG10	-0.38925
ITPKC	3.8005
LMX1B	0.289333333333333
RPUSD4	-0.205666666666667
C7orf34	0.4165
DLGAP2	0.0955
PFN1	-0.351
MICALL2	-0.599333333333333
ZNF654	0.427
SS18L1	-0.8975
SLC16A8	0.1915
MKI67IP	0.4805
ITGB3	0.9745
TCEA3	1.8985
CEP152	-2.7284375
CLIP1	1.591875
ZNF75	-0.08375
ATP5C1	-0.479333333333333
NUDT5	-1.19333333333333
PSCDBP	1.672
UBP1	-0.21275
RBM27	0.5115
C13orf15	3.588
ZNF282	-0.127833333333333
ZNF222	0.4663
COL10A1	5.70325
PRDM15	-1.119625
TTTY5	-1.179
FAM9C	-0.290545454545454
C20orf67	-0.07
GNG13	-0.2385
F12	-0.78025
C1orf41	-0.66575
CPXCR1	1.266
GSK3A	0.054375
SUPT6H	0.115166666666667
PI16	4.31016666666667
ELL2	1.84175
C9orf167	-1.47166666666667
PVRL3	-0.9911
FLJ38596	1.07325
ADAM20	0.209
GPR89A	0.053
GPR87	1.157
ZNF30	-0.665
SMR3B	0.29
ZNF770	0.4415
TRPC4AP	-0.645666666666667
DKFZP686E2158	0.4105
C2orf28	0.021
FREM1	0.890333333333333
LAMA4	0.866
ADPRHL2	0.42775
EIF4G2	0.626833333333333
GUCA1A	-0.226
CTNNA2	-0.3125
NUDT15	-0.6705
CEPT1	0.143666666666667
ZNFX1	1.4656
CCDC92	1.1225
TDRD1	-1.5585
KCNK5	-0.779666666666667
ETNK1	0.365166666666667
LTA	0.5835
TTPA	0.12
B3GALNT2	-0.044875
SC65	-1.24783333333333
PEX5L	-1.1005
EPS15L1	-0.24625
MGEA5	-0.533625
HIST1H3A	0.7215
ING1	0.009
BCAT1	-2.598125
ORC6L	-4.50663636363636
KLK11	-1.25383333333333
C19orf28	-1.443125
DNER	-4.147625
MED22	-0.715
ETV6	1.67491666666667
CHAC2	-1.5655
CD300E	0.859
CEBPB	2.076
ZNF398	-0.119
LRCH3	0.207
HMGA1	-1.82633333333333
CAPN7	-0.00633333333333334
MGC5566	-3.1185
CCL3	2.585875
NANOS1	-0.003
ZFYVE19	-0.539
APITD1	-0.669166666666667
PARD3	0.296125
IRAK4	-0.1705
SERPINI2	-0.3535
CEP170L	0.20675
TTC9	2.76925
MYOM3	-0.80975
MLPH	1.539875
LOC222699	-0.2825
NRG1	-0.434363636363636
TBC1D9	4.50090909090909
TTK	-4.1885
ZNF557	0.5327
DDX41	-0.626333333333333
FANK1	2.418
UBE2D2	-0.215
PSMB10	0.124125
MYH7B	0.59
GABARAPL2	-0.09925
MARVELD2	1.35383333333333
DGCR2	0.553
UNC45A	-0.110833333333333
C6orf72	0.302
ZNF683	0.56825
GIT2	-0.12675
CASK	0.347833333333333
C14orf161	3.49283333333333
LRRC44	-0.713
TIFA	0.872125
UTP11L	-0.0905
C6orf65	0.0155
FDPS	-0.7225
DUSP9	-2.2659
SLC17A8	0.179333333333333
OR51G1	-0.0401666666666667
NANS	-0.05525
OLFML1	2.1095
ATP10B	-0.822714285714286
NPAS3	1.624
PRKCA	-2.5627
GGA2	-0.73525
LCE4A	0.7025
SPANXN3	-0.2875
CCDC115	1.460625
SDCCAG3	-1.123
GLIPR1L1	0.275
TTC1	-0.03225
C17orf76	0.2
MAD2L2	-1.51675
HIPK1	0.4482
LRRC3B	0.4236
CLN3	-0.810181818181818
C17orf47	-0.374
FMN2	-1.6125
TUBB1	-1.000375
WAPAL	0.196166666666667
C3orf21	-1.041625
SCN5A	-0.5198
SMYD1	0.511
BEX5	0.498
ZNF192	-0.6685
SEC22A	0.419833333333333
GRIA2	0.699545454545455
KIAA0825	-1.1545
NUSAP1	-3.53227272727273
LANCL1	-0.201125
C15orf40	-0.1857
ZNF645	-0.645125
GPR61	-0.07
NLRP14	0.1345
SNX21	0.1006
C1QTNF8	0.447
C17orf46	0.27475
IFNA8	-0.3705
SPRR1B	-2.39716666666667
FLRT1	-1.3955
SNX17	-0.110666666666667
ASB2	-0.886166666666667
HBG1	-5.7725
RPRML	-2.28475
JOSD2	-0.452833333333333
PLSCR3	0.384
SPOCD1	-0.8505
RAB39	-0.3705
GHRH	1.49133333333333
ITIH5L	-0.194
C17orf37	0.18775
SMCR8	0.31775
DPY19L2P3	-0.830833333333333
IL11RA	1.096
GDF3	-4.04816666666667
RPS6KB1	-0.713666666666667
DNAJC19	0.0308
TOP1	0.24525
CRCT1	-0.37575
MPST	-0.208125
DPM2	-0.4215
FAM38B	-0.192
SLC18A1	-2.7315
FARP1	-0.160166666666667
PAX7	0.039
TUBD1	-1.21225
GNL3	0.229125
BTG2	2.46486666666667
NDUFS6	-0.983
C1orf79	-1.36
ERAL1	-0.76375
ECHS1	0.5715
VPS4A	-0.520833333333333
CYP11A1	-0.686
ABCC6	-0.887428571428571
PBX4	-1.6095
MOSC1	0.617125
NCF4	1.37575
HYMAI	0.5395
NAGPA	-1.2175
OTOP2	0.03375
ACOT12	-0.0375
MTHFD2L	-0.368875
LOC441376	2.08725
C19orf34	0.175
RAB1B	0.10075
ALDOAP2	-1.1175
NTRK1	-1.48066666666667
ARTS-1	1.7506
SLC6A11	-0.3425
NAP1L2	0.5185
CNGB1	-0.282166666666667
EPB41L4B	1.39966666666667
FAM134B	1.883625
HS3ST3A1	-0.0403333333333333
CPXM2	6.036
SIRPB2	0.629
CHORDC1	-0.551
TRIB3	-1.91133333333333
SLC2A5	1.03625
C2orf49	-0.587833333333333
DDX5	1.17375
OR5L1	0.592
ANAPC4	-0.332
ZSWIM1	0.19525
LOC93622	-0.676625
KCNK3	0.2721
RP11-35N6.1	-1.038625
ZFP161	0.0296666666666667
AQP9	5.448
SLC15A2	-1.4215
MREG	1.1335
OR9I1	0.3625
PDLIM2	0.458
ADAM7	0.482
GSTCD	0.225333333333333
WDR21A	0.09425
SLC12A8	1.4845
TMEM174	-0.01725
IGSF3	0.385416666666667
LRRN1	1.659
LOC402117	-0.3235
SRPK1	-1.29733333333333
LY6K	-1.3208125
NFIA	2.9345
PTCD3	-0.706875
LEP	3.76733333333333
PCDH21	-0.538
MAPKAPK2	1.06885714285714
NMNAT1	-0.8095
LHFPL2	1.419875
C9orf43	0.6265
DIP2A	-0.5085
ACTR8	-0.088375
CCDC34	-1.0245
PTPN22	-0.366375
ITGA3	-0.578375
FAM129C	0.391
RABGGTA	-0.104
UNC45B	0.229
KIAA1033	0.568875
ZNF510	-0.562833333333333
CYP2D6	-0.570666666666667
SLC26A10	-1.0205
STX8	0.24975
LUZP1	0.612375
WDR89	0.0336666666666667
EIF4G3	0.0055
C5AR1	2.7815
ZNF623	-0.2485
A2M	2.079
TGM7	-0.109
GRPEL1	0.168
LMNB2	-1.3868
ROCK2	0.439666666666667
SNX16	1.32975
CCDC66	0.21425
ANXA3	1.6545
KIAA1609	-0.812
EED	-0.91725
RNF32	-0.144666666666667
HES1	0.5222
CLC	3.067
ISL1	0.563833333333333
KIAA0528	0.064
MANEA	0.60825
C1orf61	-3.103
hCG_2001000	-0.07825
RAPGEF6	-0.2252
KIAA0020	0.3025
NEIL1	0.9615
C16orf45	-0.468
RBM10	-0.523833333333333
C10orf125	-1.52675
MRS2L	-0.89575
DNAH17	-0.694125
C19orf10	-0.634
C1orf160	0.39925
SLFN12	1.13675
EXOC3	-0.1325
HIST3H3	0.8845
NCOR2	0.478833333333333
TNFRSF9	1.00475
MFSD8	0.8435
ALX1	-3.52416666666667
NOL1	-0.74375
PODN	3.87225
TIAL1	-0.6275
HIST1H1E	-0.8455
NPY6R	-0.13325
TM4SF4	-0.8995
CORO2A	0.44775
ETNK2	-0.131666666666667
APOE	0.2272
ANGPT4	-0.6515
HDGF2	-0.647
G30	0.932
ST8SIA4	0.133625
F2RL1	2.33
FAM19A4	-2.22875
CCAR1	-0.55475
B3GNT7	0.25575
OPHN1	-0.3088
DSCR6	1.69
C21orf13	0.595
GAS2L1	0.572333333333333
RFX3	1.88383333333333
COPS4	0.47825
BCHE	-3.05
BCL2	2.5355
HBZ	-3.73883333333333
ARL13B	1.456
MAPBPIP	0.689875
MYO15B	0.655375
SPZ1	0.405333333333333
KIAA1324	3.21766666666667
PLCL2	0.05225
C4orf29	-0.38075
WDFY2	-0.195125
ZNF284	-1.409
NAALADL1	0.7355
DUSP5	1.30833333333333
PXDN	0.503375
SLMO1	-1.23875
TNXB	0.5306
BIRC7	-1.259
A4GALT	1.56166666666667
TIMM22	0.17225
FAM110C	0.88075
TOMM34	-0.565625
ABHD9	0.6625
ADAM32	0.651
CRHBP	0.5445
AQP2	0.209625
LOC130355	1.1525
ZNF187	0.0866666666666667
ZNF816A	0.181
F7	0.944625
CNOT1	-0.9021
SLC13A4	-0.76175
ZBTB11	-0.04925
B3GALT5	-0.25575
EXOC2	0.147333333333333
IRS1	0.7738
TMEM1	-0.011
MRPL34	-0.790833333333333
SAMM50	-0.82275
CDC42EP3	0.875875
HSF2	-1.4494
MFN2	0.52275
TSPAN7	0.7585
NUCB1	0.446166666666667
RHOH	0.61875
ARL16	-0.4715
TACR1	0.488
SFRS5	0.678
SNX25	0.689125
RHBDF1	0.5275
PCDH18	2.19016666666667
HMG1L1	-0.31275
MYO5C	1.523875
MAPK10	1.0595
LDHAL6A	0.0398333333333333
NUDT12	0.860833333333333
NCAM1	-0.3135
GLIS2	0.1685
GGTL4	0.2195
DAPP1	1.411
ATF7	1.22225
KIAA0748	-1.0965
NFIL3	2.3175
TM6SF1	0.827
SEZ6	-0.260125
NANOS3	-0.199833333333333
DNAJA3	-0.687833333333333
CLDN6	-2.9425
CIITA	2.3903
EPHA4	-0.990083333333334
FANCC	-0.89925
CMTM3	0.499625
PSG3	-0.030625
MRPL15	-0.44025
C21orf59	-0.1995
PLCXD2	-0.20175
C2orf34	-0.2815
UBE2L6	0.697625
MED14	-0.5774
HP1BP3	0.1771
C6orf208	0.4175
TPBG	0.99225
OSR2	-0.836875
XPC	-0.0686666666666667
KLHL7	-0.848833333333333
CCR3	-0.394333333333333
AGTPBP1	-0.481333333333333
PCSK6	1.3082
STAT5A	0.00490000000000001
FAM18B	0.5965
LONRF2	0.570833333333333
PTPN2	0.03775
SF3A3	-0.8175
EFCBP2	0.25575
HCFC1	-0.611166666666667
AHNAK	0.4723
ACTR5	-0.3115
KIF14	-3.95671428571429
TENC1	2.224
HEATR5B	0.793
YIPF2	0.342833333333333
MYEOV2	-0.0915
DUSP18	1.394
KIAA1012	0.36675
AHR	1.30216666666667
C17orf53	-2.34716666666667
PTPRH	-2.21075
ATP6V1C1	0.1698
TAS2R3	-0.5845
LOC440356	-1.5415
COQ10B	1.38725
PSMF1	0.220666666666667
SORBS2	2.42775
NFE2L2	1.31975
TMCO7	-0.86025
SH3PXD2A	0.9268
SH2D2A	-0.5245
SPINK5	-1.79
MRPS24	-1.45225
OPA3	0.092375
TRAF7	-0.444
C4orf35	-0.267333333333333
MT1G	1.639
MGC39545	-0.24975
HS1BP3	0.2336
OR2B2	0.2485
CHRM4	0.181
SFRP2	3.91091666666667
RIC3	0.2695
ART1	-0.6725
C6orf1	0.37525
DUS4L	-1.2265
C10orf104	0.837
TNFAIP6	4.469
RTEL1	-1.49475
CCT4	-0.5389
ZNF709	0.35925
CHMP6	0.0703333333333333
UPP2	0.163
CYP19A1	-0.811875
CD151	-0.620833333333333
NDUFA13	-0.187666666666667
ARFRP1	-0.756666666666667
FAM26B	1.64625
CRYBA1	-1.0175
MRPL41	-0.317166666666667
NPFFR2	1.1515
HRH2	0.1345
SCAMP3	-0.148
MTMR6	1.0802
MTG1	-1.1285
UBTD1	1.2755
CRABP1	-2.799
FLJ33790	-0.6062
KIAA1908	-0.491666666666667
GPR158	-2.06725
PACSIN3	-0.456833333333333
OMD	4.34983333333333
CATSPER1	-0.638
HOXB8	-0.513125
FBXO46	0.517
OAS1	0.418833333333333
SVIL	0.997
PHB2	-0.935
ADCY3	0.3775
NDRG2	1.88566666666667
ERMAP	0.1941
APBA2	-1.97966666666667
IGSF9	1.93525
WNT6	-0.386142857142857
MYCBPAP	1.189
ATP2B2	0.1359
CPVL	0.3492
TRAM2	-0.528545454545455
NOP5/NOP58	0.0535
ZNRF4	-0.441
TLK1	-0.045625
MTMR12	0.227214285714286
ZNF384	-0.252833333333333
FAM9B	-3.83575
RPN1	0.385
PMVK	0.71225
EIF3D	0.1359
SIX2	-0.79925
HPS1	0.558714285714286
RNF7	0.60575
PSKH2	-0.282
KCTD13	-0.479166666666667
CSMD3	-0.3323
FBF1	-0.411
IL8	0.3425
SERPINB13	0.160454545454545
FBXL20	-0.8515
BLR1	-0.071
SH2B1	-0.446333333333333
RFNG	-0.140125
RAB20	1.83133333333333
RBM7	0.9875
POLR1A	-0.392166666666667
TMPRSS4	-3.62475
TAF9	-0.217
TERF2	-0.0283333333333333
TNFRSF1A	1.5405
ACADVL	0.136166666666667
GTF2H5	-0.50625
EDG8	-0.328
C9orf140	-2.622875
UST6	0.38075
ZBTB8OS	-0.72525
ZNF710	1.478
GPR174	-0.936
ATP6V0A2	-0.0625
KIAA0319L	0.114083333333333
XKRX	-2.5165
DOPEY2	1.5262
SDHD	-0.0806666666666667
SUMF1	1.40925
OSM	4.60175
OPN3	-1.329
DAGLB	-0.5665
PPFIBP1	0.4509
TRIM63	-0.3965
C10orf53	0.173
LYPD3	2.162
BCL7A	-0.455875
AGER	-1.39566666666667
TCF19	-2.006625
SAT2	0.08825
PFTK1	-0.0485
GABRE	-1.868375
C15orf38	1.0134
FIS1	0.1065
KCNV2	-0.573
CLPS	0.31375
PPCDC	-0.915375
FOXN2	0.443
NT5E	-2.3314
CD83	1.1885
IL18	0.436125
VPS16	0.00825
IGFBP2	-1.09433333333333
NOTCH2	1.13025
SIGLEC1	2.441375
CD93	6.8945
SULF2	-0.33775
CEP164	-0.495625
P53AIP1	-0.00133333333333333
TOR2A	-0.358833333333333
ZNF136	0.46675
MGP	4.3994
CCDC144A	1.15566666666667
TRPC1	-0.298
SMS	-0.678
MAPK7	-0.052
RRAGC	1.5395
PARD6A	0.123833333333333
NUB1	0.0276666666666667
SYNGR4	-0.24875
OR11H12	0.691
WIF1	3.535625
GCH1	1.3845
OR11H4	-0.218
SLC44A5	4.828
GPRIN2	2.0405
LOC401431	0.33875
CPA4	-2.904
MELK	-4.34266666666667
IL15RA	1.60875
CUL3	0.9285
HMBOX1	-0.0895
PODXL	-1.0185
CCT6B	1.16933333333333
COMTD1	-0.95525
MUC20	-0.00949999999999999
GPX2	-2.8395
ITK	-0.552
FBXL5	1.959
C13orf27	-1.10375
DEFA5	0.9465
TRHDE	-0.121
MTP18	-0.184833333333333
UQCRQ	0.0574
ITGB2	1.67833333333333
CSRP2BP	-0.74675
TAS2R44	-0.098
PHPT1	0.0975
FAM44C	-0.0765
ERH	-0.36825
MPHOSPH1	-2.643
MORC1	-0.2925
PARVB	-0.735
LAMA1	-1.64533333333333
PGBD3	0.3995
GIMAP6	4.61575
AREG	0.781833333333333
LIPT1	0.282
MGC99813	-1.4435
C1orf201	0.1075
GRIN2A	-0.282444444444444
MAN2C1	-0.94025
NSUN5	-1.16325
SF3B5	-0.08725
MYC	1.2775
NRXN1	-0.2907
ZNF18	0.17275
SPDYA	0.00187500000000001
SLC37A1	1.7625
DECR2	-0.92925
ANKRD38	0.144125
SPTLC3	-0.82425
SUPT16H	-0.631875
DTWD2	0.5475
ULBP1	-0.351
ZADH1	0.367666666666667
OIP5	-3.9005
IL10RB	0.229833333333333
OTUB2	0.10675
VWA3A	0.608
SPIC	0.0186666666666667
OR6C4	-0.781
PSCD4	1.77533333333333
DPY19L2P2	-0.848
TRAPPC6A	0.3735
