Hybridization REF	TCGA-AR-A1AU-01A-11R-A12P-07
EVX1	1.02783333333333
WDR38	-0.175
LOC402057	-0.7305
ACAA2	0.047875
GLCE	0.6535
GPR18	1.94875
HIST1H2AG	1.1982
PIGK	0.453625
C16orf67	-0.2455
DAG1	0.23925
OR4D2	0.2415
C21orf81	-2.81275
PLOD2	-1.86066666666667
TTC27	-0.85
TSPAN2	0.3975
PI3	1.60675
ZFAND6	0.80525
C6orf57	-0.52925
NUF2	-1.653625
ARID2	0.0555
RCC1	0.6175
CD86	2.7705
FAM91A1	0.35575
CALM2	2.0075
GYG2	0.98025
PARS2	-0.355666666666667
INTS12	0.53225
CTSF	2.34625
BNIPL	2.18375
GNA13	-0.589375
HUNK	-0.132
ZBTB4	1.464875
B4GALT4	0.504625
CHD1L	-1.5305
MSTO1	0.230833333333333
FUT8	0.330538461538462
AGA	0.62075
TRMT11	-0.634166666666667
WWP1	2.69766666666667
B9D2	0.146
STAT1	0.7215
PTTG1	-1.6545
TMEM62	1.543
SSBP2	-0.11575
MRFAP1	1.0715
NME4	0.374875
LOC55565	0.152
DLL4	1.759
MYOCD	0.27375
HTR3D	2.66
C9orf156	0.47275
CHMP4C	1.9375
PROCA1	-2.53575
GCDH	-0.252
APOF	-3.6945
WEE1	0.263
SSR4	0.51525
RGS1	7.8705
ACCN4	-1.704
FLJ20489	0.443625
ZNF215	-1.9896
AGPAT6	0.4375
PDE7B	-1.0825
BBX	-0.1175
MS4A3	-4.21716666666667
OR4A16	0.536
EFEMP1	2.957375
TULP2	-0.481
RERE	0.655625
BNC1	1.08575
PIGB	0.176
COMMD8	0.77425
TRIP11	-0.489166666666667
FLJ40142	-0.074
PCDHB6	1.518
FKBP8	-0.587666666666667
FLJ12716	0.1084
POT1	-0.553333333333333
KIAA1109	-0.3575
PTPRC	0.483083333333333
UNQ9391	1.144
CCT7	-0.814833333333333
EEF1A2	0.49225
MIPEP	0.06625
ZFX	-0.1876
UCHL3	0.210375
LOC388419	0.496
GSG1L	-0.0491666666666667
RAB24	-0.310583333333333
SLA2	-1.4535
SDS	3.22316666666667
LYPLA3	0.536
CASQ1	0.44525
SLC25A40	-1.115
IRAK1BP1	0.3645
ACOT6	1.368
COL9A3	-4.121
ASB11	2.462
C2orf18	1.22933333333333
FOXD2	-0.79525
C6orf211	1.375
OR8G1	-0.3312
MDGA1	0.97575
ADARB1	-1.991125
GGT1	0.83175
WNT1	0.2468
DBP	0.361125
COL5A3	1.2395
RHOD	0.992
COL4A2	0.63575
LOC201164	-0.464
HEBP1	2.3775
LUM	3.009
ZCCHC6	0.281
PAGE1	-3.8985
DTX2	-0.596
SLC7A13	4.064
H3F3A	1.33364285714286
RABIF	0.370125
D4S234E	-0.733166666666667
DYRK3	0.448833333333333
PFAS	-2.20933333333333
ALOXE3	-0.5975
RPLP0	-0.0702857142857143
RBM34	0.0283333333333333
C12orf28	1.287
U2AF2	-0.336166666666667
MKNK2	0.413125
SEC16A	0.880916666666667
ZNF44	-0.3308
YWHAG	0.719
IGF2BP2	-3.05258333333333
OR1D5	0.9365
SIX6	-3.101
CCR6	-0.70675
PALM	1.23525
PUM2	0.170857142857143
SPRYD5	-1.8385
ALG10B	-0.509
ZNF365	1.334
PHC1	-2.24325
KIAA0913	0.20425
ARX	3.6495
PPP3CB	0.672166666666667
IRX6	0.5106
ANGPTL4	0.5257
LSM14B	0.2619
PCDHGB7	0.9915
INSM1	-0.760583333333333
WBP2NL	-0.045
ZNF493	-0.9784375
NGEF	-2.5955
RNASE13	-0.263
SPPL2A	-0.737666666666667
SFXN1	-1.294375
FAM102A	2.017875
SAPS2	0.197583333333333
JTV1	-0.953
OR51B4	-1.6125
SCGB1A1	-0.223
NEUROD2	0.723285714285714
tAKR	0.375666666666667
C1orf26	0.41725
RICH2	0.18825
TEDDM1	0.243
CYP2S1	-0.1885
TBCE	-0.443333333333333
MAPK1	-0.84375
HDHD1A	-0.38225
MRM1	-0.912
ATP9A	-0.151428571428571
HSD17B3	0.4996
HN1L	0.592416666666667
RNF216	-1.031875
HOXD12	1.5255
PPP1R14B	0.035375
SBF1	-1.024
TAS2R42	null
USP46	0.427666666666667
LILRB3	1.8015
SPI1	0.0632500000000001
OXSM	-0.4525
GYS2	0.1092
NUPL2	-0.885
C8orf46	-1.333
SF3A1	-0.42825
C21orf99	-0.97525
HOXB4	-0.4385
YRDC	-0.021
GPRC5D	1.2365
BLVRA	0.37825
KIF12	3.895
LRRC23	0.598
FAM14A	0.288166666666667
RASL12	1.357875
DAZAP2	1.3235
IKBKB	0.499642857142857
ZNF271	0.4645
BOK	1.2365
CXorf6	-1.606
MYEOV	-0.845
BTN2A2	-0.3608
FRG1	-0.242
HSP90AB6P	-0.798
ENOX1	0.977166666666667
ZNF706	0.792
DOK1	0.6985
PGAP1	-0.363875
TMEM136	-0.58525
FSCN1	-2.688
KIF17	0.157
TRIM66	-0.306
CBR3	0.2295
C13orf24	-0.018
C19orf52	0.01975
BNIP1	0.38525
AQP3	-1.82625
KRT6C	0.343666666666667
SIRPA	0.26175
IGFBP6	-0.516166666666667
PLEKHK1	-0.715
RNASE7	0.8155
ARHGEF15	0.48475
NPHS2	-0.001
SRD5A1	-0.75325
REXO4	-0.72225
EEF1DP3	1.43475
SLC37A2	-0.345
ZNF142	0.463
ANKHD1	-0.6435
MUT	-0.3725
VPS37A	0.49675
GPRIN1	-0.23825
SLC38A3	-1.46
BAZ2B	0.5705
WDR87	2.4974
BRD7	0.317
POU6F2	-1.0665
NISCH	1.397125
TCEB1	0.4905
LINGO2	-2.20875
TAX1BP3	-0.94975
RPL34	0.669555555555556
MARK2	0.0345
AKAP12	-0.4881
AMBN	0.2115
SLC25A27	-0.719666666666667
FLJ21865	-0.091875
KIR2DS2	1.001
WDR77	-1.81625
ATF2	0.121166666666667
ITFG3	-0.284
SLC39A13	0.6335
ARL6IP5	1.834375
C10orf137	-0.925125
QTRT1	-0.31
CCNT1	-1.0175
DYNLL1	0.9786
WDR53	-0.41375
LIPG	0.247333333333333
ASAH3	0.9705
HELB	-1.1715
PHACTR2	0.318
VENTX	-0.617
LAD1	-0.0948333333333333
PAOX	1.3695
MAPK8	0.253
CCDC38	0.45975
DNAJC8	-0.0311
RBBP8	-0.155
WNT11	0.5704
KCNJ12	-0.8145
HDAC8	-0.0055
STARD4	-2.98025
ACVR1	0.874833333333333
C14orf65	-0.96975
KLB	-1.2895
C1orf65	2.05125
ZFYVE28	1.251
NSUN6	0.23525
KIF27	-0.401833333333333
SYTL2	-0.736666666666667
UBXD2	-0.0586
OR6T1	0.823
CCDC91	1.49107142857143
GRID2	-0.305
CALN1	-0.619625
ZNF423	0.18925
PSMB4	-0.689666666666667
XPNPEP3	-0.4515
ARPP-21	-3.60428571428571
SART1	-0.51725
RACGAP1P	-2.226
SPTA1	-4.95625
C6orf113	-1.07783333333333
C7orf16	-4.869
CHST7	-0.234833333333333
C21orf29	-1.31883333333333
SEMA6D	-1.03728571428571
PCMTD1	1.7888125
KIAA1754	-0.241333333333333
MYCN	-1.5835625
KCNJ3	-2.3795
MAPK13	1.8337
ERO1LB	-0.257
NTF3	-0.361166666666667
NKX6-2	-2.43075
GTF2B	-0.1635
GSPT1	-1.3015
GUSB	-0.299333333333333
LOC221091	0.8885
LIG1	-0.99625
EXTL3	-0.288333333333333
NID2	-1.65125
TTC29	-0.6255
TMEM97	-0.999625
EXTL2	-0.939833333333333
SUZ12	-0.512875
IL1F8	0.144
KRT18	-0.410636363636364
MRPS16	-0.80025
PI4K2B	-0.1165
LACRT	-0.1305
OR51F2	0.333
JMJD2C	-0.488
KGFLP1	2.0845
CDK5RAP3	-0.6008
YTHDF2	0.786166666666667
GGCX	-0.17375
ARPC4	0.71
EGLN2	1.56566666666667
KBTBD4	0.998142857142857
ROBO3	-0.6825
DEFB118	-0.337
KIAA1543	1.4665
RTCD1	-0.668166666666667
MZF1	0.64925
C18orf26	0.029
CNIH4	-0.206333333333333
ZFP2	2.86116666666667
HTATSF1	0.16775
WFDC2	3.036
NDUFA7	0.0215
TTC22	0.4415
FAM40B	-3.306
DCPS	-1.54125
SH2D1B	-1.80166666666667
MRGPRE	0.313
SBK1	0.77075
UNQ6411	-0.68
OSBPL9	-0.98425
NUP107	-1.16175
MYOZ3	-0.0875
PDE4B	-0.285333333333333
FAM113A	-0.213
IDH3G	0.332833333333333
FBXL7	0.553125
ARFGAP3	-0.28
MAPRE2	-0.955923076923077
IL1RN	0.1843
KIF13A	-0.382
RAC3	-0.0505
TCTE1	-0.419
TMEM14B	-0.349333333333333
ADIPOR1	-0.027
GRINA	2.147
CLIP4	1.3925
LRIT2	0.219
TFPI	-1.66978571428571
FABP6	-2.39275
SLITRK2	-0.4575
HKR1	0.035
SMTN	0.4815
C1orf75	-0.23375
CD209	0.799
CYB5R2	1.75125
DNTTIP2	-0.822166666666667
CSGlcA-T	0.364
GABRB3	-2.59875
PCBD1	0.108833333333333
TAF3	0.110583333333333
HOXD3	0.191333333333333
GIPC3	-0.547
P11	1.63
BFSP1	0.153
LCP2	-0.19925
TAS2R8	0.344
SEZ6L	3.263875
NR2C1	-1.0425
EXDL2	0.2878
TNFRSF13B	-2.28766666666667
MKI67	-2.2235
GLS	0.21975
C7orf54	-1.0215
LGALS13	-0.12275
IL4R	0.14275
SEC11A	0.2765
SPP2	0.362833333333333
C18orf32	1.978
CLSPN	-2.364
SPAG1	0.664
C9orf82	-0.11275
TM4SF1	0.2795
EMILIN2	0.80975
SMG7	0.106
TAS2R13	-1.144
ZNF628	0.178
DZIP1L	-0.0961666666666667
ANKRD13A	-0.4846
VASP	0.15625
ZCCHC11	-0.953375
SYPL1	0.425125
MGC34774	0.424333333333333
C4orf28	0.790625
KIAA1211	0.0639166666666667
RPS27L	0.67775
TATDN3	-0.62725
PDCD1	-0.2395
OR5P2	0.2655
IFIT1L	0.7935
MIPOL1	0.416
OR51D1	0.33025
C1orf92	-0.9548
LAMP2	0.887277777777778
CAT	1.10616666666667
C16orf80	-0.12625
C15orf32	-0.746
ZNF746	-0.2585
C1orf76	-0.607
ATXN1	-0.0255
LAMC2	1.5025
SLC2A7	-0.4145
CPOX	-2.17075
APH1B	1.0695
LOC442245	-1.25725
CTNND1	0.487722222222222
GABRG2	-1.582125
MADCAM1	-0.1735
F5	-3.747875
SEMA4F	-0.327166666666667
NUDCD3	0.477375
PDZD11	-0.4735
TRIML1	2.628
GCNT3	-2.9758
TMEM120A	0.6025
CNDP1	1.069
N4BP1	-0.229375
SLC35F2	-2.41675
LCP1	-1.12425
IGBP1	-0.1103
DCAKD	0.874375
ELA2A	-0.471
C12orf56	-1.97128571428571
PITRM1	0.222285714285714
GUK1	-0.0816666666666667
RASSF8	-1.22625
OR2A14	1.62766666666667
ADM	-1.346
FGD3	3.18666666666667
GHRHR	-0.226
RHPN2	0.09825
C4orf39	1.0335
VPS72	-0.97525
SERF2	0.684444444444444
CD22	1.8025
CD47	1.8945
PPIC	0.311833333333333
IMPDH1	-0.1385
ACP6	-0.556
PRKACA	0.449
PPP1R1A	2.879875
TRPV3	2.30633333333333
ASXL1	-1.034375
C17orf55	-0.668166666666667
FXYD1	1.61333333333333
LMOD2	-0.277
ANKRD33	0.6365
LCE2C	-0.206875
ZNF620	-1.0465
DKFZP566E164	0.4105
VSIG2	1.42225
KIAA1128	1.17325
USO1	0.0591666666666667
NUDT4	0.555857142857143
CLDN1	-0.523
OR4Q3	-0.2555
FASTK	-0.589666666666667
ICOS	1.43216666666667
LDB1	0.16075
GSTA5	0.243
ABCC1	-1.63016666666667
FAM54A	-2.226
PCBP2	-0.522166666666667
NUP205	-1.574
ACTA1	-0.539833333333333
GABBR2	-1.846
PIP5K1B	-0.754666666666667
AGXT	-2.4425
RNF181	0.5915
ATP8A2	-1.1565
AFTPH	1.1595625
FGF21	1.60475
FCER1G	2.248375
SNTB1	-1.174
SLC24A3	1.516125
TXNL4B	-0.5982
RPL10L	0.467333333333333
LOC389517	-0.8188
TSGA13	0.4965
SHOX2	-0.980666666666667
ITGA7	0.6115
KCNIP2	1.38716666666667
KLF13	-0.2935
ZFAND2A	0.7245
CEACAM1	-0.197928571428571
PFKFB4	-1.47816666666667
MED19	0.4785
LRRC57	0.653833333333333
RNF11	0.81975
ANKRD32	-2.85
P117	0.4145
OBFC2A	-0.526
POLD3	-0.664583333333333
RAB18	2.61275
TPH2	0.623
PHB	0.049
JDP2	1.17266666666667
MORF4L1	0.3122
POU2F1	-0.059
CNNM2	-1.08475
LOXHD1	0.39325
ZC3H15	-0.5675
ELK3	0.156166666666667
FAM111B	-2.787
CBLC	3.56816666666667
SBNO1	-0.55
ANKMY2	0.125
PLEKHA5	-0.16875
DHX58	1.44033333333333
ARCN1	-0.4115
TREML1	-0.0561
KNCN	0.6045
SEC24A	-0.8565
PSCA	1.2425
MGC24125	0.4625
DNA2L	-2.075
CIB4	1.444625
HIGD2A	-0.5605
TBX6	-0.3495
TTLL5	-1.35733333333333
SGK3	0.768166666666667
GCN1L1	-0.32275
AMOT	0.4978
LDOC1	-0.477
NRK	-0.644833333333333
ASB9	-2.77625
NAT1	1.4792
TRAFD1	0.168
PEAR1	0.834166666666667
FAM36A	-0.033625
OR1S2	0.854
LOC388323	-1.63375
PGS1	0.2215
LEPREL1	-2.67775
TFF1	-2.03391666666667
HAP1	0.3375
EPHB2	-0.49675
ACTG1	1.51516666666667
ZFP42	-2.06833333333333
HAVCR2	0.1555
NME1	-0.336
SNX26	0.170083333333333
LACTB	0.0795
ZKSCAN2	-0.784625
C5orf35	0.5635
ANKS3	-0.83725
RBM28	-1.5815
DKFZP586P0123	-0.4015
HNRNPA1	0.3515
BCAS3	-1.516
FLJ20184	-0.389
POLA2	-1.39083333333333
TMC7	-0.973833333333333
HSD17B6	1.7055
ZNF658B	0.649
TTTY10	0.736
RANBP9	0.33125
CPNE7	-1.527
EVL	0.141058823529412
LNX1	1.16941666666667
IFNA21	1.6595
CFD	2.8265
PYCARD	0.423333333333333
MYBPC2	-2.2505
ENPP3	-2.65083333333333
ACSL4	-1.24575
LOC440258	-1.668
TMEM176B	3.966
SOX2	-1.967125
SCO1	-0.346166666666667
COMT	0.7515
AOC2	-0.2705
PDLIM5	0.749642857142857
SPHK2	-0.261
NXPH2	null
GPR108	0.488666666666667
RAD51L1	-0.754333333333333
TMEM54	0.82475
LETMD1	-0.676777777777778
SLC6A17	-0.0375
KRT75	-0.312
STT3B	-0.580666666666667
CD3EAP	-0.878166666666667
TMEM63A	0.5465
DUSP13	-2.81525
CD1C	-1.03433333333333
LASS2	0.0698333333333333
AVP	1.1075
PITPNM1	-0.050625
FLJ22795	-1.144
MCTP1	-2.448
TRIM68	0.183666666666667
UCK2	-0.707
ABHD1	1.215
FAM50A	0.28575
RNASEH1	-0.705666666666667
PCP2	0.969166666666667
OR52H1	1.057
C20orf149	-0.20075
RBP5	0.232333333333333
HYAL3	-0.1375
CLPB	-0.4955
SMNDC1	-0.16275
DONSON	-2.25883333333333
FLJ27523	0.2395
BARHL2	0.324
SLC30A9	0.743333333333333
TMPRSS11B	-0.314
E2F8	-2.00166666666667
CCDC25	-0.0554166666666667
C14orf48	0.0153333333333333
C20orf116	0.621125
TSPAN11	-0.106
YIF1B	-0.6495
FAM12B	0.6875
OR1L6	0.549
HPN	0.7311
NBN	0.47125
C14orf94	-0.615166666666667
OCLM	-0.061
ZSCAN18	1.0396
L3MBTL	-0.1777
TSTA3	1.35933333333333
RAC1	0.507875
C19orf15	0.0545
NFE2	-4.399
KLK14	0.6955
ARSF	0.584
MAST2	0.249
AMICA1	1.87016666666667
GTF2A1	0.07175
ATP1A3	-0.8125
TC2N	2.35
PNKP	0.3765
ODZ2	0.607875
MATR3	0.216125
S100P	-1.208875
KRT82	-0.6225
CA13	-0.3705
PROZ	-1.89666666666667
AASDH	0.156333333333333
C19orf40	-0.810833333333333
DCK	-0.234615384615385
FAM5C	-2.43725
SLC6A4	-2.093
MID1IP1	0.2255
TESSP5	1.343
TMOD4	-0.0493333333333333
DOCK2	-1.53116666666667
TUG1	-0.49525
NUP214	-0.57775
DPYSL2	0.100181818181818
GOLM1	0.783666666666667
MPFL	0.284
SOX13	0.482
SDCCAG8	1.128
KEL	-2.25216666666667
NUP210L	-3.016
GK	-2.2165
DNAJB1	0.68575
ALPK3	0.04
CHID1	1.3439
CYLC2	0.81775
IKZF5	0.27075
C8orf51	1.30033333333333
PPM1J	0.72975
GIMAP8	3.43566666666667
GPR101	-1.988
NR2F1	-0.2205
ACAD8	-0.121
RBM35A	1.9005
GNAI2	-0.361
METTL8	-0.787666666666667
SLC39A7	-0.9985
FBXO8	0.74725
CAMK1	0.2275
RFC3	-0.991
FAM129A	0.501285714285714
ILF2	-1.44275
FGFBP3	-0.99925
NOM1	-1.802
PSMA3	-0.06925
ASCC3	-0.3231
ZYG11A	-1.69775
SOX21	-1.978375
LYRM1	0.48475
DEFB1	4.333
LOC91431	-3.14616666666667
OR7C2	1.4575
FAM46B	1.254875
TMEM18	0.270875
ARHGAP30	0.46
TMEM86A	2.29933333333333
EPHA2	-1.37966666666667
C10orf46	1.0486
TCHH	-0.718166666666667
C3orf30	-0.0142
LOC285636	-0.290833333333333
PAIP2	0.71225
CYP2U1	-0.240428571428571
C12orf34	0.58425
SARS2	-0.365833333333333
ZCWPW1	0.19475
SAMD12	2.035625
KIAA1430	0.154375
ACAT1	-0.7255
MEOX1	2.517
ADAMDEC1	6.33825
PHKA2	-0.83725
CARD11	-0.9185
CALML4	-0.7715
TSSC1	-0.25575
TMEM45A	-0.149
MPP7	1.735625
POU1F1	1.50133333333333
SLC2A13	-1.9153
FBN2	-1.99638461538462
ZC3H7A	0.0043
LAIR2	-1.099
ST3GAL1	0.8715
LCT	-2.60025
GEMIN8	0.666166666666667
KLF16	0.7017
HIF3A	-0.0142222222222222
FAM44A	-0.701928571428571
AQP10	-1.5343
PLA2G2A	-1.2245
FOLH1	0.643166666666667
C20orf186	1.003
MAPKAP1	-0.371125
SPRR2D	-1.72725
UBQLN4	-0.998333333333333
RSHL1	-0.248333333333333
PIAS3	0.94675
MRPL24	0.0795
GREB1	-0.264875
FAM27E3	-1.659
NUP62CL	-0.000749999999999973
NEUROG3	1.0825
REEP3	0.636666666666667
MARK1	-0.161375
LMBRD1	1.01225
PRPF19	-2.2995
PNMT	0.0471666666666667
CTGLF1	-0.932
SLC25A16	-0.1185
EIF2B3	-0.602
RPA2	-0.29225
PAK6	1.82216666666667
CCDC26	-5.86625
SEMA3E	0.636125
MXD4	0.947
TNFSF10	3.4027
SMARCB1	-0.210666666666667
DTX3L	0.478
PLA2G4E	0.3175
PPAP2A	1.02675
ULK1	-0.0564166666666667
TAS1R3	0.272
SLC2A3	-2.03909090909091
ARID3A	-2.021
GNG5	-0.771
ACOX1	-0.0604
KIF5B	-0.42725
NUP153	-1.842
MUC7	1.379
CSDE1	-0.857928571428571
CLPTM1	-0.52525
C3orf23	-0.38475
LRRC17	0.961666666666667
TTYH3	-0.849375
ATP5B	-0.707
ELF3	1.7856
CPSF3L	0.5
ZNF665	0.277166666666667
TLR6	-0.257
GPI	-1.55975
RAD9A	-0.413
NDST4	-3.495
AGPAT3	0.644166666666667
MAGI3	0.327333333333333
ADORA2A	2.6185
CACNG7	-0.403
CAMK2D	-1.0545
CCHCR1	-1.29
RPS27A	-0.159
OR10G7	-1.3326
GCM2	0.264
FAM135B	4.3285
E2F1	-2.28575
PLCB3	0.56125
OR2AE1	1.054
COIL	-0.126166666666667
CDC25C	-1.82466666666667
RAB11FIP2	0.0593333333333334
TSC2	0.68675
CTGLF5	-2.1405
CCDC108	0.437125
OR13C4	0.56725
C10orf81	5.581
PTPRB	2.16925
ACP2	0.273
LAG3	-0.76425
MRPL54	0.02475
LOC201175	1.093
ITGB1BP3	-2.012
SPTAN1	-0.4815
SIPA1L2	-1.14125
RCAN2	-0.5255
CDX2	-3.586
ECOP	-0.428
ACTR1A	0.240428571428571
PPARG	1.12366666666667
BBS10	0.4215
TMEM44	-1.21875
BPIL2	-0.4545
CITED1	-0.63975
IRF6	3.9905
PRDM4	0.0305
RRP9	-0.330666666666667
OR10H4	-0.92625
IL31RA	-1.686
GNB1L	-0.640333333333333
MYBL2	-2.0425
ZNF407	0.486833333333333
PPIG	-0.711833333333333
TTC18	2.59725
RPSA	-0.326
MAPT	2.832125
MRE11A	-1.33846153846154
C8orf37	0.223833333333333
RASGEF1C	-0.689166666666667
STBD1	1.76475
CTAG2	-0.4675
MGAT5B	-0.654
ECM1	1.175125
RLN1	2.587
PARP14	0.3029375
EPB41L1	0.923
HOXA3	-0.186083333333333
MAGEA9	-4.49475
RPS8	-0.0855
RPS19BP1	0.435
FOXJ2	0.022125
C10orf76	0.420125
IL17RE	-0.03125
C10orf65	-1.13225
ZNF343	-0.711
FBXO33	-0.24
UHMK1	0.8922
LY6G6C	0.4165
FGF19	-2.64175
C14orf128	0.323833333333333
IFIT2	1.146875
TIGD1	-0.46225
S100G	3.0055
GUCY1B3	1.3485
NR3C1	-0.6351
CORO1B	0.744833333333333
PARP11	0.9345
DNALI1	3.116
OR4N4	-0.270857142857143
MAP2K6	-0.0635
FSTL4	-0.85125
ANKRD47	1.291875
TMEM171	-1.8355
PNLIP	-0.344333333333333
YY1	-1.3085
CCDC138	-2.0055
AASDHPPT	-1.0353
CKS1B	-0.6151
MCM3	-1.8735
ANAPC7	-0.128166666666667
FAM110A	0.43425
CDC37L1	1.28966666666667
THTPA	0.0535
NBPF20	-1.502
WDR24	0.2995
NPTX2	-2.858
CBLB	0.3175
CETN1	0.5498
RPUSD1	0.239
FAF1	-0.62375
CDK6	-2.8411
HMX2	-0.0785
CSK	-0.895166666666667
TEAD2	0.45375
SNAP25	1.84825
TUFT1	0.4671
TMTC3	0.556166666666667
LCK	-2.6555
SGOL1	-1.50966666666667
AKTIP	2.393
FURIN	-0.50375
SOX12	-1.072
DEFB103A	-0.075
RAMP1	3.10225
KIR3DX1	-0.3085
GAS2L3	-2.01
PDE8A	-1.7371
EDN3	5.6455
GMIP	0.45775
SF3A2	0.71025
FN3KRP	0.478
SMAD7	0.06825
RHBDD2	1.34975
OR11H6	1.052
PPP1R3B	1.4821
C9orf23	-0.23975
CADPS	0.64425
GOLGA8A	-3.137125
TMEM57	0.501
RGL3	0.412
S100A14	2.95875
FGFR2	0.8903125
XRCC3	-0.972
RTN4RL2	0.655
MGC3771	0.057
GH2	0.853
BTBD2	0.145
LMO2	0.06975
RDBP	-0.954375
ACRBP	-1.98525
AMY2A	1.8275
DUOXA1	0.862
PTK7	0.9195
TWF2	0.811166666666666
FAM80A	-1.738
TNNI2	-2.92666666666667
GLT25D1	-0.597166666666667
OCC-1	-0.495
CYC1	-0.370833333333333
RPL22	0.931
MORN3	1.02166666666667
DISP1	0.35575
PRB2	-0.037
CHUK	-0.39275
HR	0.458625
CCDC134	-0.799625
DENND4B	-1.1755
C14orf130	-0.42525
RAB33A	-1.66325
DCST2	0.683
TNMD	1.867
PEX7	1.03425
FAM62A	0.248375
SRD5A2L	0.59475
IL22	0.675666666666667
RPS26	-1.57016666666667
HOXC5	-0.5925
SPATA6	1.63375
FLJ38482	0.534
ZNF234	0.08
C18orf22	0.514
SPATA22	1.7795
THOC1	-1.171
CYP7B1	3.08575
KCNC3	0.7285
C8orf42	0.359
ALDH1B1	-0.289
CCDC100	-0.1969
ARMC4	-1.35075
FAM18B2	0.74
SLC44A1	0.3715
FBXO17	-0.282666666666667
C6orf107	-0.737666666666667
C19orf29	-0.4815
ZC3HAV1L	0.1445
PARP6	-0.3263
SULT2A1	-6.68985714285714
C1orf159	0.4455
TMC1	1.487
CHST14	-0.07125
GAMT	0.3515
SMCP	-0.614166666666667
TSPAN33	0.654916666666667
MIDN	0.378
NOX4	2.532
RNASEN	-0.591
TBX1	-0.686
SALL2	-0.28575
C10orf35	1.713
CYP2E1	-0.310875
LRFN2	1.4575
ACO1	-0.288
IQCG	0.918
MEGF9	1.764
TM7SF4	2.84025
PLEKHA1	0.7238
STK33	0.39925
C1orf210	2.17475
SNUPN	0.2237
KIAA0406	-1.2494
C20orf29	-0.874
TMEM55B	0.2655
OSTM1	-0.855
CLCN7	-0.06025
OTP	0.2435
FLJ23049	-0.4495
HEATR4	0.815
MAP3K10	0.769166666666667
PCDHGA9	1.3665
AMDHD2	1.1435
LCTL	-2.159
PDCD2L	-0.88225
CABLES2	-0.914
SLC5A9	-0.51625
CLCA2	-1.70733333333333
MGC16025	-0.903
STRAP	-0.583
C20orf196	-0.422
RRBP1	0.711833333333333
NAT13	-0.91025
MAT2B	0.604
CSNK1D	-0.961833333333333
KIR3DL1	0.37375
PRKAG3	0.646
ZNF599	-0.039
PRM3	1.108
PER2	1.30216666666667
ASPHD1	-0.8425
PRMT6	-1.5155
KCNE1L	-0.529285714285714
FAM118A	-1.24833333333333
TAF4	-0.94925
NDUFB6	0.00324999999999999
TRIM9	-0.599
PMFBP1	-1.11475
KY	0.5515
DKFZp762E1312	-2.40809090909091
CSMD1	-1.31225
TBP	-0.877666666666667
OR1Q1	0.614333333333333
RETNLB	0.191
HPGD	0.2292
DNAJC12	2.37516666666667
FKBP1B	-0.7655
ANKRD24	-0.836333333333333
CXXC5	0.506333333333333
IL3	0.443857142857143
DRAM	0.9155
PTCH1	-0.918375
TP53BP1	-0.0715
SLC17A7	-0.520375
COL25A1	-1.7601
AMACR	0.1455
RHCG	-0.0685
VPS13A	-1.05075
FAM55D	4.014
PRPF38B	-0.505
OSBPL6	-0.8055
PFDN5	0.7761
CMTM6	0.645625
KCNK12	-0.9355
RP2	0.48925
C16orf52	-1.14
PICK1	0.726
IFNE1	-1.50683333333333
SEMA4B	0.825
TYRO3	-1.574
OR12D2	0.4145
CSNK1A1	0.83755
FANCF	1.88175
LONP2	0.562375
TBL1Y	-0.42975
LDOC1L	0.181625
CCNC	0.27175
C3orf60	-0.154
CHKA	-0.88
UBAP1	-0.32825
MAP3K1	0.334
ANKRD9	-1.6295
FAM92A1	-0.833
GAB2	1.36025
AZU1	0.00375
DIS3	-0.2445
C21orf109	-1.07566666666667
IQCB1	-0.30975
SPATS2	-0.7605
EFCAB3	0.12175
PRB3	0.199875
FUZ	0.329166666666667
ZNF813	-0.2125
BMPER	-0.318833333333333
HEG1	-0.707
ALS2CR11	-1.4855
SURF2	-0.499
PSMC1	-0.589416666666667
OR2D2	0.0815
SLC7A8	2.517
C4orf40	-0.2855
SPATA7	0.22125
MAZ	0.04475
PIN4	0.912
PDE1A	-0.898375
TAF6L	-1.13183333333333
OR2T34	0.2185
KIAA0284	-0.31875
ACADS	0.436181818181818
MKRN2	-0.5515
C18orf56	-1.51375
MS4A6E	0.0334
GALNT4	0.152666666666667
C22orf31	1.2895
FLJ36070	-0.6325
PSME4	-0.5505
TFG	0.5515
EPHX2	0.54525
ANXA5	-0.34675
KRTAP1-1	-0.0816
BATF	1.4045
KARS	-0.8825
MSTP9	-0.036
GPR26	1.613125
CCDC72	0.371
TEF	1.56216666666667
FOXK1	-0.872333333333333
PRLHR	0.4115
EMX1	0.29325
C11orf30	-0.288625
ICK	-0.23075
THSD7B	0.651333333333333
C21orf100	-0.197
DUOX1	1.6665
EFCAB4B	0.3285
UBE2G2	-1.77483333333333
C3orf54	-0.334
PARP1	-1.802
FAM60A	-0.49125
C6orf146	0.307
OR9K2	0.321
DDX55	-1.46366666666667
RPS15	0.3445
ZNF618	0.4625625
DKFZp686D0972	0.56375
SSPO	-0.7025
SHFM3P1	0.902833333333333
CPA6	-1.68475
JAG2	1.38175
DEFA3	0.52375
PPBPL2	0.741
CD34	4.338625
SLCO4A1	-3.00975
AFG3L1	-1.36066666666667
SHD	-0.82225
RP13-122B23.3	-0.332
