Hybridization REF	TCGA-E2-A14S-01A-11R-A12D-07
C6orf65	-2.052
FDPS	-1.309
DUSP9	-2.2446
SLC17A8	-0.2855
OR51G1	-0.493833333333333
NANS	0.51775
OLFML1	0.6625
ATP10B	-0.524375
NPAS3	-0.84825
PRKCA	-2.331
GGA2	0.00875000000000001
LCE4A	-0.2385
SPANXN3	-0.1475
CCDC115	1.54825
SDCCAG3	-0.7375
GLIPR1L1	-0.0745
TTC1	0.2785
C17orf76	0.3245
MAD2L2	-0.561
HIPK1	0.0304
LRRC3B	0.702
CLN3	-0.176772727272727
C17orf47	0.374
FMN2	-2.8575
TUBB1	-0.26475
WAPAL	0.291166666666667
C3orf21	-0.415125
SCN5A	-0.6057
SMYD1	1.256
BEX5	2.939
ZNF192	0.0185
SEC22A	0.0675
GRIA2	3.77507142857143
KIAA0825	-1.00775
NUSAP1	-1.51481818181818
LANCL1	-0.05925
C15orf40	-0.8457
ZNF645	0.28175
GPR61	-0.29925
NLRP14	-0.1095
SNX21	0.1315
C1QTNF8	0.0395
C17orf46	-0.1115
IFNA8	0.308
SPRR1B	-1.56516666666667
FLRT1	-0.32225
SNX17	-0.6875
ASB2	-0.359166666666667
HBG1	-6.501
RPRML	-1.74675
JOSD2	-0.0686666666666667
PLSCR3	-0.16175
SPOCD1	-2.34333333333333
RAB39	-0.054
GHRH	-0.0326666666666667
ITIH5L	0.02175
C17orf37	0.8035
SMCR8	0.709
DPY19L2P3	-0.210666666666667
IL11RA	0.4625
GDF3	-4.50266666666667
RPS6KB1	-0.921916666666667
DNAJC19	0.4854
TOP1	0.2925
CRCT1	0.261571428571429
MPST	0.791125
DPM2	0.10725
FAM38B	-1.76316666666667
SLC18A1	-1.57933333333333
FARP1	0.765833333333333
PAX7	0.0755
TUBD1	-1.8725
GNL3	-0.2135
BTG2	1.19133333333333
NDUFS6	0.204
C1orf79	-1.1475
ERAL1	-0.30675
ECHS1	0.7895
VPS4A	-0.7065
CYP11A1	-1.29325
ABCC6	-2.33028571428571
PBX4	-1.849
MOSC1	0.03375
NCF4	0.78475
HYMAI	-0.498
NAGPA	-0.275625
OTOP2	0.213
ACOT12	0.1145
MTHFD2L	0.198375
LOC441376	4.6955
C19orf34	-0.312
RAB1B	-0.1075
ALDOAP2	0.949
NTRK1	-1.99466666666667
ARTS-1	0.4656
SLC6A11	0.4635
NAP1L2	0.81475
CNGB1	-0.373666666666667
EPB41L4B	0.952916666666666
FAM134B	3.178
HS3ST3A1	-2.78066666666667
CPXM2	4.53075
SIRPB2	0.155
CHORDC1	-1.55883333333333
TRIB3	-0.9135
SLC2A5	1.38775
C2orf49	-1.00233333333333
DDX5	-0.308
OR5L1	0.5325
ANAPC4	-0.576666666666667
ZSWIM1	0.95875
LOC93622	0.553375
KCNK3	-0.5253
RP11-35N6.1	-1.6575
ZFP161	0.864
AQP9	1.12975
SLC15A2	-1.2805
MREG	0.0126666666666666
OR9I1	0.15
PDLIM2	-0.31275
ADAM7	-0.1545
GSTCD	0.4585
WDR21A	-0.306875
SLC12A8	0.959666666666667
TMEM174	0.03375
IGSF3	0.28625
LRRN1	2.005
LOC402117	-0.167
SRPK1	-1.461
LY6K	-2.592125
NFIA	2.4595
PTCD3	-0.54875
LEP	1.161
PCDH21	-0.652166666666667
MAPKAPK2	-0.101642857142857
NMNAT1	-0.261
LHFPL2	0.569375
C9orf43	0.52975
DIP2A	-0.4475
ACTR8	-0.24025
CCDC34	-1.27875
PTPN22	-0.38475
ITGA3	-1.362875
FAM129C	-0.23425
RABGGTA	0.629333333333333
UNC45B	0.35625
KIAA1033	-0.129875
ZNF510	0.345166666666667
CYP2D6	0.0998333333333333
SLC26A10	-1.5695
STX8	-0.2515
LUZP1	-0.3155
WDR89	0.155333333333333
EIF4G3	0.2527
C5AR1	1.0205
ZNF623	1.636
A2M	0.8835
TGM7	0.345
GRPEL1	0.0955
LMNB2	-0.9807
ROCK2	-1.434
SNX16	1.251375
CCDC66	0.6175
ANXA3	0.26325
KIAA1609	-1.091375
EED	-2.00175
RNF32	0.724833333333333
HES1	-0.1603
CLC	0.421833333333333
ISL1	-0.7552
KIAA0528	0.285875
MANEA	0.114125
C1orf61	-2.295
hCG_2001000	0.377
RAPGEF6	0.1312
KIAA0020	-0.951666666666667
NEIL1	1.065
C16orf45	0.054625
RBM10	-0.210166666666667
C10orf125	-1.791
MRS2L	-0.68275
DNAH17	-0.934
C19orf10	0.13825
C1orf160	0.89175
SLFN12	-0.3055
EXOC3	-0.1635
HIST3H3	-0.06825
NCOR2	0.8525
TNFRSF9	0.2815
MFSD8	0.439
ALX1	-2.8545
NOL1	-1.0285
PODN	2.46225
TIAL1	-1.54775
HIST1H1E	-2.90975
NPY6R	-0.045
TM4SF4	-0.524
CORO2A	0.94125
ETNK2	0.745833333333333
APOE	1.4422
ANGPT4	-0.2405
HDGF2	-0.275
G30	0.161
ST8SIA4	-0.049
F2RL1	-0.176625
FAM19A4	-1.8135
CCAR1	-0.1515
B3GNT7	-0.14325
OPHN1	-0.1386
DSCR6	2.1925
C21orf13	0.625333333333333
GAS2L1	0.450166666666667
RFX3	0.011
COPS4	0.25525
BCHE	-4.94816666666667
BCL2	3.25075
HBZ	-4.23116666666667
ARL13B	0.325875
MAPBPIP	0.469125
MYO15B	0.24475
SPZ1	-0.05725
KIAA1324	0.709222222222222
PLCL2	-0.6945
C4orf29	-0.5615
WDFY2	-0.327125
ZNF284	-0.362
NAALADL1	-0.137
DUSP5	1.41183333333333
PXDN	-0.56675
SLMO1	0.48325
TNXB	0.486
BIRC7	-1.4315
A4GALT	0.489
TIMM22	-0.3105
FAM110C	0.6985
TOMM34	-0.401625
ABHD9	-0.194
ADAM32	1.0875
CRHBP	0.839
AQP2	0.338625
LOC130355	1.48775
ZNF187	0.1435
ZNF816A	0.1905
F7	-0.483875
CNOT1	-0.7896
SLC13A4	-0.83975
ZBTB11	-0.08825
B3GALT5	0.0495
EXOC2	0.263166666666667
IRS1	0.9452
TMEM1	-0.2105
MRPL34	-0.0835
SAMM50	0.27325
CDC42EP3	-1.592625
HSF2	-0.9031
MFN2	0.02175
TSPAN7	-1.96416666666667
NUCB1	0.579
RHOH	-1.157
ARL16	-0.104
TACR1	0.22475
SFRS5	-0.645333333333333
SNX25	0.93975
RHBDF1	0.8425
PCDH18	0.693166666666667
HMG1L1	-0.18925
MYO5C	1.54825
MAPK10	2.903
LDHAL6A	-0.0545
NUDT12	1.9085
NCAM1	-0.452375
GLIS2	0.4125
GGTL4	-1.20575
DAPP1	-0.88925
ATF7	0.35325
KIAA0748	-0.6865
NFIL3	-2.0205
TM6SF1	1.4132
SEZ6	0.176125
NANOS3	0.0691666666666667
DNAJA3	-0.470166666666667
CLDN6	-2.8755
CIITA	2.514
EPHA4	-1.26491666666667
FANCC	0.378
CMTM3	-0.093875
PSG3	-0.411375
MRPL15	0.50375
C21orf59	-0.06975
PLCXD2	-0.05975
C2orf34	-0.028125
UBE2L6	0.416875
MED14	-0.7874
HP1BP3	-0.4686
C6orf208	-0.026
TPBG	-0.50825
OSR2	-0.84325
XPC	0.00333333333333334
KLHL7	-0.85125
CCR3	-0.532166666666667
AGTPBP1	-0.504833333333333
PCSK6	1.28926666666667
STAT5A	-1.6683
FAM18B	0.0645
LONRF2	3.54666666666667
PTPN2	-0.24275
SF3A3	-0.83
EFCBP2	-0.2185
HCFC1	-0.8585
AHNAK	0.54355
ACTR5	1.08675
KIF14	-2.76685714285714
TENC1	0.98175
HEATR5B	1.229
YIPF2	1.094
MYEOV2	0.8565
DUSP18	0.932
KIAA1012	0.2615
AHR	0.747833333333333
C17orf53	-1.21683333333333
PTPRH	-4.41325
ATP6V1C1	1.434
TAS2R3	-0.828
LOC440356	-0.01575
COQ10B	-0.144
PSMF1	0.531083333333333
SORBS2	-0.75325
NFE2L2	-0.836
TMCO7	-0.7225
SH3PXD2A	-0.7108
SH2D2A	-1.78075
SPINK5	-2.763
MRPS24	-1.0435
OPA3	0.36875
TRAF7	-0.111833333333333
C4orf35	0.184166666666667
MT1G	-1.27975
MGC39545	0.878
HS1BP3	0.6843
OR2B2	0.0565
CHRM4	-0.1565
SFRP2	1.48925
RIC3	0.9845
ART1	0.129
C6orf1	1.2475
DUS4L	-0.68825
C10orf104	0.65
TNFAIP6	1.2625
RTEL1	0.432
CCT4	-0.8309
ZNF709	0.10975
CHMP6	0.194166666666667
UPP2	0.0905
CYP19A1	-2.70675
CD151	0.482833333333333
NDUFA13	0.0425
ARFRP1	-0.643666666666667
FAM26B	2.1275
CRYBA1	-0.834
MRPL41	-0.0585
NPFFR2	-1.493875
HRH2	0.331
SCAMP3	-0.00916666666666666
MTMR6	0.3317
MTG1	-0.887
UBTD1	0.66
CRABP1	-3.683
FLJ33790	1.6476
KIAA1908	0.09
GPR158	-2.12225
PACSIN3	-0.0465
OMD	0.460666666666667
CATSPER1	0.438833333333333
HOXB8	-0.744
FBXO46	1.453
OAS1	1.2415
SVIL	0.05
PHB2	-0.735
ADCY3	0.209
NDRG2	0.971666666666667
ERMAP	0.974
APBA2	-0.702833333333333
IGSF9	2.044
WNT6	-0.466214285714286
MYCBPAP	1.79525
ATP2B2	0.3546
CPVL	-0.3628
TRAM2	-1.21466666666667
NOP5/NOP58	-0.542
ZNRF4	0.12325
TLK1	0.332625
MTMR12	0.254642857142857
ZNF384	-0.0966666666666667
FAM9B	-2.05025
RPN1	0.5595
PMVK	0.702
EIF3D	0.7176
SIX2	0.4115
HPS1	0.0108571428571428
RNF7	0.475
PSKH2	0.6135
KCTD13	-0.334333333333333
CSMD3	-0.5339
FBF1	-0.575
IL8	-6.207125
SERPINB13	0.973545454545454
FBXL20	-0.35075
BLR1	0.17175
SH2B1	0.0943333333333333
RFNG	0.21025
RAB20	0.695166666666667
RBM7	-2.438
POLR1A	-0.543166666666667
TMPRSS4	3.86375
TAF9	-0.1205
TERF2	-0.785
TNFRSF1A	0.719583333333333
ACADVL	-0.311833333333333
GTF2H5	0.59575
EDG8	-0.759166666666667
C9orf140	-0.859
UST6	0.00475
ZBTB8OS	-0.518
ZNF710	0.6485
GPR174	-1.12
ATP6V0A2	-1.322
KIAA0319L	0.53125
XKRX	-0.356
DOPEY2	1.891
SDHD	-1.11591666666667
SUMF1	1.91225
OSM	3.38825
OPN3	-1.37325
DAGLB	0.159166666666667
PPFIBP1	-0.0232
TRIM63	-4.1195
C10orf53	-0.2295
LYPD3	-0.0538333333333333
BCL7A	-0.08425
AGER	-0.951666666666667
TCF19	-1.038625
SAT2	-0.74425
PFTK1	0.846
GABRE	-3.2495
C15orf38	0.7759
FIS1	0.1955
KCNV2	0.4425
CLPS	0.49375
PPCDC	0.0035
FOXN2	-0.477666666666667
NT5E	-4.0133
CD83	1.3125
IL18	0.546875
VPS16	0.17375
IGFBP2	1.63816666666667
NOTCH2	-0.17075
SIGLEC1	2.681375
CD93	5.034
SULF2	1.19275
CEP164	-0.54125
P53AIP1	0.501166666666667
TOR2A	0.0686666666666667
ZNF136	0.25975
MGP	3.831
CCDC144A	0.887
TRPC1	-1.25283333333333
SMS	-0.483666666666667
MAPK7	-0.406
RRAGC	0.268
PARD6A	0.103166666666667
NUB1	0.549333333333333
SYNGR4	0.58425
OR11H12	-0.1885
WIF1	0.38125
GCH1	0.5275
OR11H4	0.221
SLC44A5	-0.8155
GPRIN2	2.062
LOC401431	0.89925
CPA4	-3.4708
MELK	-1.68977777777778
IL15RA	0.473
CUL3	1.13275
HMBOX1	0.2705
PODXL	-0.7375
CCT6B	0.120833333333333
COMTD1	0.1345
MUC20	1.01766666666667
GPX2	-4.1845
ITK	-1.259375
FBXL5	1.99275
C13orf27	-1.07225
DEFA5	-0.194
TRHDE	-0.6595
MTP18	-0.877166666666667
UQCRQ	0.437
ITGB2	2.09875
CSRP2BP	0.27275
TAS2R44	0.04
PHPT1	0.812625
FAM44C	0.2965
ERH	0.44775
MPHOSPH1	-1.04633333333333
MORC1	-0.8325
PARVB	-0.11875
LAMA1	-3.2215
PGBD3	0.0065
GIMAP6	4.0915
AREG	-5.89583333333333
LIPT1	-0.367
MGC99813	0.264
C1orf201	0.500666666666667
GRIN2A	-0.6291
MAN2C1	-0.89425
NSUN5	-0.695
SF3B5	0.13775
MYC	-1.1743125
NRXN1	-0.38025
ZNF18	0.186
SPDYA	-0.402625
SLC37A1	1.1205
DECR2	0.61775
ANKRD38	-1.27125
SPTLC3	-0.616
SUPT16H	-0.34275
DTWD2	0.81375
ULBP1	-0.321
ZADH1	0.539833333333333
OIP5	-1.61425
IL10RB	-0.2895
OTUB2	0.9405
VWA3A	0.412666666666667
SPIC	0.431666666666667
OR6C4	0.424
PSCD4	1.74583333333333
DPY19L2P2	0.207
TRAPPC6A	0.917666666666667
C21orf2	0.570833333333333
CEMP1	0.0875
LIN7B	0.8285
E2F7	-1.74366666666667
VCP	-0.01875
LAMA3	-0.192833333333333
BGN	1.267
GPR160	1.32216666666667
COCH	-4.95933333333333
GPR81	1.67766666666667
APOBEC3F	-1.68075
tcag7.1017	-0.4115
C1orf32	0.1415
SCGB1D2	5.91475
FLJ43987	0.08
C6orf170	0.6525
KLK9	0.3195
GPD1L	1.12625
VPS37B	-0.52775
ATG3	-0.503666666666667
ADAMTS17	-0.4175
KLHDC2	-0.355166666666667
NDUFV2	-0.037
BLK	-3.323
MATN4	-1.241
GPM6A	-0.029125
GBP4	3.47866666666667
TMEM162	0.0733333333333333
PKP2	1.2725
HRASLS	1.10944444444444
MMP1	-6.1005
SFXN3	0.0375
FSD1	-2.08283333333333
ST6GALNAC3	-1.19116666666667
CA12	3.888
NCOA6	1.5955
C19orf58	-0.0894
PPP4R1	0.128166666666667
MAN1A2	0.854
IKBKAP	-1.156
UPF1	0.276833333333333
KIAA1219	1.76625
WNT16	-0.0592
SNW1	-0.12875
IL18RAP	1.67375
RPP30	-0.39225
CDC40	-0.8435
SETD3	0.4155
SLAMF6	0.32525
ELK4	-0.438
TRIM47	-1.343
ACOX3	2.846125
TRIM6	-0.3275
KIAA0372	0.00466666666666666
TP53AP1	0.859375
SMURF2	-1.39275
ADAD1	0.12925
EBP	-1.0801
KRTAP13-2	-0.3075
FLJ36874	-0.849
TOR1A	-0.169166666666667
P2RY4	0.7085
GPBP1	0.49
TRPV1	-0.0345
ADAMTS12	-0.648833333333333
PES1	-0.668
ATG4A	0.756666666666667
MAGEA10	-4.9175
WFS1	2.7795
CC2D1B	-0.024
PABPN1	-0.158
SLC25A30	0.37175
SLCO1C1	0.125166666666667
SLC22A5	3.23525
KIF23	-1.74033333333333
SYN2	-0.5145
ASPN	6.311
CENTG2	1.1695
QSOX2	-0.8349
FLJ10815	-0.167666666666667
STK24	0.1659375
SPEG	0.5052
STK10	0.231333333333333
DACT2	-1.7975
AAAS	-0.3775
SSX3	-1.59025
ABCD3	1.7919
C4orf12	0.231625
PARVG	1.54583333333333
FIG4	0.1475
C9orf46	1.1365
TMCO6	-0.1985
IGHMBP2	-0.3985
DUS2L	-1.25483333333333
FAM3C	-0.2224375
TMEM16D	-2.114
DCTN4	1.4955
KCNH3	-0.41175
EIF2AK2	0.08025
AP1S3	-0.4535
CST4	0.5735
PAM	0.7101875
NUTF2	-0.8835
CITED2	0.7384
SLC39A4	1.027
C2orf52	-0.3275
GRM3	0.07225
C12orf49	-0.136
CCDC49	-0.0364
GRAMD1B	-1.4995
FNDC4	-0.882
SIAH2	0.628125
GDPD4	0.05475
C21orf87	0.07075
ATP5A1	-0.161
C16orf63	-0.842875
LOC388135	0.205666666666667
ATP5J2	-0.68675
MMP3	-3.05075
EMID2	-0.148
CRHR1	0.1505
WDR70	0.09175
C13orf31	0.74825
ZFAND1	0.93275
CCL18	2.09066666666667
C3orf49	-0.3475
RINT1	-0.5115
KIAA0408	-2.17983333333333
F13A1	2.7271
SLC10A1	0.255333333333333
OGN	-0.91
GIPC2	-0.964666666666667
XPO6	-0.711666666666667
LCE1A	0.4085
FMR1	-0.1377
LOC374920	0.13075
DUSP3	-0.073
ANKMY1	0.36975
C7orf50	0.17125
BBS9	-0.507
UNC119B	0.262625
C9orf72	0.291625
MGC35440	0.11825
ENTPD6	0.097875
PPP1R2P9	-0.05225
ERCC4	0.1815
FAHD2B	0.3385
HMHA1	0.7655
HACL1	-0.10975
RAD23A	-0.254166666666667
FAM83B	-1.43475
PPP5C	-0.444333333333333
RNASEH2C	-0.276625
C9orf153	-0.0995
SCAMP4	0.86525
GHITM	0.3104
NDUFB7	0.273
ADCYAP1	-0.0641666666666667
SP110	1.26
MAP3K7IP2	0.52575
DHH	-0.345
AGRN	0.233928571428571
WDR33	0.160166666666667
CEP290	-0.0246666666666667
PRPS1L1	-2.045
KLRA1	-0.1195
GPR97	-0.647
CHD7	-1.14425
TLR10	2.61775
SLC30A8	-1.5145
HIC1	0.591333333333333
IAPP	0.297
RXFP4	-0.028
GP1BB	1.09725
SHQ1	0.074
NKX2-3	0.342833333333333
API5	-0.198
FTHP1	0.0405
MOV10L1	0.276333333333333
TRIM6-TRIM34	1.28733333333333
ADHFE1	1.68675
FAM117A	-0.7265
DDI1	0.15
CDON	1.01333333333333
TRIM73	-0.27
IGKC	2.865
MMP14	-1.2455
DYNC1LI1	-0.03275
C11orf66	0.612
TRBV3-1	-1.435
FASTKD5	-0.759
BIVM	-2.12475
LHX4	0.267
CXCL2	-2.0534
RAB2B	-0.254666666666667
IZUMO1	-0.56725
MAP3K15	-2.205125
FAM19A2	0.354
ZC3H8	-0.32
ZMAT1	1.917875
SPINK5L3	-2.47575
SLC10A6	0.7255
APPL2	0.021375
CARD10	0.124166666666667
LOC402176	-0.864375
EEF1D	2.0679
RAB6A	0.9112
C12orf5	-0.705875
PAPOLG	0.47675
MSRB2	0.1685
BCR	1.13544444444444
PUS3	0.47925
TIAM2	-0.215
ZNF317	0.167833333333333
CHD2	0.0587142857142857
FZD5	-2.24436363636364
NUDT8	-1.634
ZNF763	0.193
PRC1	-0.926777777777778
ABCB9	0.865333333333333
SPATA3	0.139
TRAK2	0.953125
STAB1	3.506125
LRRTM2	0.1045
psiTPTE22	1.21125
DBI	-0.237
SERPINA11	-1.332
NAT5	0.48375
C20orf58	-2.92325
RPS6KA4	0.135333333333333
FLJ90650	-0.23925
TGFBRAP1	-0.15175
CHRDL2	-0.809125
FAHD2A	-0.0245
CNTN1	0.07975
BBS4	0.3681
TMEM181	-0.12675
MINPP1	-0.51
MPHOSPH6	-1.22666666666667
HOXC10	-1.9772
ITPKB	0.28875
CLPTM1L	0.167875
MEOX2	-0.5865
ATP6V0C	0.495625
PRPF8	-1.11266666666667
TMC5	2.06575
FKBP3	-0.72275
PLEKHB2	-0.23225
OR4D6	0.24
ZNF544	0.1489
D2HGDH	-0.1785
RPL18A	-0.6264
HEL308	-0.135
MPP6	-3.619
TCERG1	-1.1765
KRT16	-1.42183333333333
KLF17	-0.6725
KLF5	-0.9105
CDR1	0.539875
VCX3A	-1.898
FBLN2	0.516375
C14orf104	-0.2835
HBE1	-5.7069
OR4S2	0.1225
C1orf108	-1.12116666666667
ROBO4	3.41716666666667
CPEB4	1.499375
C11orf80	-0.0681666666666667
BCKDHA	0.4605
MYOC	-0.03725
GIF	-0.235
CKMT1A	0.533
RPL3	0.7915
THBS1	1.498375
APOO	-0.45125
ARMCX1	-0.0115
HSZFP36	1.48725
SNAPC5	-0.36875
EIF4ENIF1	1.384
ZNF433	0.50575
TNFRSF21	-0.368625
TMPRSS7	0.448
SPATA18	0.4568
HPDL	-2.572
MKL2	1.4854
TBX3	2.49338461538462
C21orf93	0.3515
DAXX	0.495
ELMO1	0.45475
RGS13	1.00383333333333
TAF11	-0.967
UNC13A	-2.298625
LOC653314	0.0084
ORC3L	-1.0475
IMAA	-2.4755
TARBP2	-0.677
CABIN1	0.3004
TRIOBP	0.4588125
HIST1H2AC	0.7415
RGS22	-0.638333333333333
NCOA1	1.0545
IL25	0.453
SNCG	-0.3225
GPR6	0.4185
AMDHD1	0.0428333333333333
CHEK2	-1.068125
C6orf142	-0.5415
DRD4	0.59325
C14orf68	-1.00925
GDF11	-3.23375
SEMG2	0.726
CD247	-1.56725
CDAN1	0.2515
RBMX2	-0.138166666666667
TGS1	0.3635
OIT3	0.52375
SYF2	0.21725
MCM4	-1.2415
PKHD1L1	0.127
CEP192	-0.808833333333333
IFT88	1.1575
RPL9	0.506
RAB32	-0.11175
DDX43	-3.06175
P2RX2	0.288333333333333
OR5D18	1.078
UBE1	-0.294666666666667
SLC24A1	0.693625
ARHGAP5	-0.1405
CETP	-0.90325
KIAA1731	-1.28916666666667
SLC9A4	0.639
PTPN6	1.261
BAHD1	0.04225
GRIK3	1.8925
CACNB2	-0.2118
PDE10A	-1.051
DGCR14	0.358
PCDHB9	-1.198
RHOQ	-0.341833333333333
MAP3K4	0.07425
KTI12	-0.317166666666667
RPL23AP13	-0.46425
GNG11	-1.0395
CLCN3	1.51733333333333
GPAM	-0.059875
VSTM2A	-0.444
SLAMF7	2.554
INTS2	-1.169
PPP2CA	0.1593
LRP12	0.9112
SEC14L2	0.278333333333333
DKFZP586H2123	0.60275
MC3R	0.028
CIRH1A	-2.00716666666667
HIST1H2AB	0.0888333333333333
POLH	-0.4195
MGC16703	-1.94783333333333
SNAPC2	0.581
FILIP1L	0.27975
RASGRP4	0.4025
LRRC1	1.486
GAS1	-1.66225
PRAC	-1.03975
DGKA	-1.1645
NT5C3	-0.8035
PEG3	-2.82166666666667
NADK	-0.7665
PRR17	0.367
LOC374569	-0.4255
SGSH	0.750333333333333
NLRP8	0.2745
GALT	-0.4347
MCF2	-1.398
ZNF263	0.51025
TACSTD1	0.5945
TYR	-7.3356
ATP6AP2	0.25925
RNUXA	-0.266
ABHD10	0.1601
GDPD2	-1.14925
SLC35C1	-0.69675
UBE2A	0.427875
HERC5	-0.8955
FAM112B	-4.561
FBXL16	-0.125
DKFZP434A0131	-0.52275
ELA3A	-2.5855
RBM41	-0.784625
HAO2	-0.017
RNH1	0.2255
SHANK2	2.70433333333333
OSBP2	-0.997625
DAK	0.024
C3orf58	-0.809916666666667
TCL1B	-0.2645
KBTBD2	-0.301375
SUGT1L1	1.55175
UBE2E2	1.21083333333333
MYL9	1.80625
CDC23	-0.0898333333333333
PBXIP1	0.5409
CXorf40B	0.789
NBL1	-1.11975
RTBDN	0.0205
RAB11FIP5	0.569875
TTTY13	-0.6945
SCOTIN	-0.0668333333333333
SOHLH1	-0.849
CDKN1A	-0.742571428571429
NCK1	-0.26775
ZNF550	0.09925
SAPS3	0.5275
SPIN3	1.0585
MAGEE2	-0.0765
MIS12	-1.20083333333333
OR8H2	-0.361
KIAA0774	-0.512333333333333
UNC5D	-1.4405
CUL7	-0.4315
LIPC	-3.40183333333333
DIO1	3.09325
C20orf11	0.3711
CTRL	-0.66225
HS3ST2	0.00524999999999999
PAK4	1.0985
CCRL1	1.43475
RNF10	0.432375
ZNF567	0.2155
ZNF660	-0.695
TCEAL3	1.07625
MAGOH	-0.176
CENPB	-0.316
C19orf7	0.4715
LOC388965	-0.14225
ZCCHC13	0.878
JMJD1A	-1.2538
HIST1H4H	-1.776
TBRG1	0.5659
GPC3	-5.8065
TAF1C	-0.809375
EBNA1BP2	-0.343333333333333
CIAPIN1	-1.09475
PDGFRA	-1.61588888888889
CSTB	-0.44075
CENPI	-1.96066666666667
GTF2E2	0.509333333333333
RPP21	0.0495
CCNF	-1.16616666666667
KCNQ3	0.943
FAM79A	0.8295
SLC22A12	0.2135
NOVA1	2.88916666666667
FZD3	-0.5615
AKAP8	-0.67175
SOCS5	-0.11375
CFDP1	-1.2045
DLG5	0.79925
PGM5	0.593666666666667
C1orf144	0.20525
HDAC10	0.0115
RND2	-0.95925
C20orf199	0.507
RNMT	-1.27525
SLURP1	0.05175
ASTN1	-0.377875
SH3BGR	1.537
MYCL1	-0.06225
ZHX1	1.44566666666667
CENPK	-1.639
FOSB	0.516
LOC643406	0.633
C2orf59	-1.878375
TMEM135	-0.453
SLC27A2	-1.443
KRT33A	2.5995
OVOL1	1.889125
PAMCI	-2.84166666666667
S100A7	-1.2675
ZNF789	-0.507
HARS2	0.5015
RPL23A	-0.6775
TCF23	0.39225
UPF3B	-1.10175
C17orf78	0.248
HLA-DOB	0.495833333333333
C14orf142	0.3145
TEKT5	1.24483333333333
DMWD	0.012
POLD1	-1.7875
GSCL	0.1125
CALD1	-0.6066
SCRT1	0.5435
AIG1	2.3
UNC84B	-0.22975
ZNF404	-0.00750000000000001
TMED6	-3.4015
KIAA1462	-0.12
LRRC27	2.04083333333333
PYGO1	0.5925
PIGU	0.812833333333333
ALAS2	-4.30233333333333
WRNIP1	0.39975
CNNM3	0.531
ZNF2	0.729
ST3GAL5	-1.37466666666667
MRPL23	-0.11025
TSSK6	0.2625
PSMA6	-0.675
C16orf70	-0.96725
KIAA1602	-0.013
ALMS1	0.617666666666667
DCN	0.280625
TMEM132D	-0.898
SUCLG2	0.42725
ABHD14A	0.71
DEXI	-0.1385
AMPD2	-1.52266666666667
IFNAR2	-0.579166666666667
CYB5A	3.4318
TLOC1	0.38205
NXF5	-0.536333333333333
NRBF2	-0.419375
KCTD3	1.255
ITGAE	-1.1055
SLC30A3	-2.531
ZRF1	-0.927
IFRD2	-0.034625
XAB1	-0.5715
PYCR2	-0.306166666666667
SERPINB3	-4.3175
TMLHE	-0.0233
GEFT	-1.464625
ABCA5	-0.19525
EMR4	0.440166666666667
TSFM	-0.57725
HIST3H2BB	-0.92425
ARHGEF19	1.0475
TSPAN17	0.144833333333333
ABCC8	2.21125
MAP1S	0.232666666666667
C22orf36	-0.09225
BNC2	-0.996642857142857
HIST1H4A	-1.02175
NDUFS3	-0.248833333333333
WDR3	-0.462666666666667
XKR4	-0.48975
TTC33	-0.982
STMN2	3.9035
CPN2	-0.626833333333333
HSPC105	0.7085
PCOLCE2	-4.6115
C3orf55	0.6435
KLHDC9	2.432
TBC1D23	-0.004
ATXN2L	-1.10625
MAP2K3	0.0268333333333333
SCAP	0.156
ZNF486	0.3435
C20orf96	-0.19825
NARS	0.027
ADAMTSL1	-0.713642857142857
PRCC	0.0653333333333333
CCDC126	1.37383333333333
ZNF675	-0.171
CALCOCO1	0.63925
ANKRD43	1.687
CWF19L2	-0.792333333333333
ZBTB32	0.686666666666667
BRAF	0.4095
ODF4	-0.01025
MGC14376	-0.294666666666667
HORMAD1	-1.86566666666667
AAK1	0.00233333333333333
PEBP1	0.9635
TNFSF5IP1	-0.15
DKFZp564N2472	0.324
RMND1	-0.045625
IGKV1-5	4.679
COL1A2	0.639333333333333
SERPINA5	-4.38525
AANAT	0.5215
C19orf21	0.3165
GEMIN5	-0.048
UBR4	-0.389333333333333
LTBP3	0.932833333333333
AMHR2	-2.65283333333333
PROCR	-1.11125
MYBBP1A	-0.90225
C20orf39	-0.694333333333333
ZNF697	-0.570875
PASK	-0.0917
ZNF776	0.6445
RFXDC2	-0.2505
KIAA0467	0.3675
C10orf96	-0.7115
ZNF503	-2.16175
GULP1	-2.2615
KCNE4	-1.47033333333333
DKFZp434K191	-1.425625
LOC196913	0.416
BHLHB4	1.1815
CH25H	0.4775
LOC81691	-0.947666666666667
ALPL	0.3935
COL12A1	0.380625
FOLR3	-2.51
GPR123	0.151375
TRIM62	0.183571428571429
ABLIM1	0.693333333333333
MAST3	-0.00899999999999999
RHBDD1	0.558
LOC338809	0.176
RYBP	0.39075
TTC26	-0.45025
ZNF22	0.449666666666667
ISCA2	-0.37675
RDM1	-0.7395
PIGM	0.22
GNB3	-1.5855
ACTR2	-0.2142
HMGB1	0.22785
EDG1	2.82333333333333
SOAT2	-3.8805
OR10AD1	0.317
RAP1GDS1	0.973166666666667
LCE1F	0.1685
ESM1	-1.039625
RCN3	0.923
CREBL1	-0.3425
