Hybridization REF	TCGA-BH-A0DV-11A-22R-A12P-07
SLAMF6	-0.2335
ELK4	-0.5875
TRIM47	0.293333333333333
ACOX3	1.660625
TRIM6	0.122875
KIAA0372	-0.3125
TP53AP1	0.032875
SMURF2	-0.546
ADAD1	-0.46825
EBP	-1.9662
KRTAP13-2	-0.2915
FLJ36874	-0.595333333333333
TOR1A	-0.558
P2RY4	0.944
GPBP1	0.193
TRPV1	0.449875
ADAMTS12	0.12
PES1	0.3203
ATG4A	-0.318666666666667
MAGEA10	-4.7645
WFS1	-0.14575
CC2D1B	-0.227
PABPN1	-0.6805
SLC25A30	0.005
SLCO1C1	-0.203333333333333
SLC22A5	0.0145
KIF23	-3.96983333333333
SYN2	1.21483333333333
ASPN	3.29833333333333
CENTG2	0.09525
QSOX2	-1.2523
FLJ10815	-0.0958333333333333
STK24	0.00800000000000001
SPEG	1.1883
STK10	-0.490333333333333
DACT2	3.1235
AAAS	-0.61625
SSX3	-1.01625
ABCD3	-0.5649
C4orf12	0.522375
PARVG	0.336333333333333
FIG4	0.47225
C9orf46	0.29225
TMCO6	0.1525
IGHMBP2	-0.0065
DUS2L	-0.052
FAM3C	-0.3636875
TMEM16D	-2.55525
DCTN4	0.67475
KCNH3	1.21025
EIF2AK2	-0.34875
AP1S3	-0.467625
CST4	0.183
PAM	-0.4749375
NUTF2	-0.8545
CITED2	1.417
SLC39A4	-0.95975
C2orf52	-0.5745
GRM3	-0.235
C12orf49	0.14125
CCDC49	0.0951
GRAMD1B	-1.24
FNDC4	1.0185
SIAH2	-0.656625
GDPD4	0.221
C21orf87	0.39275
ATP5A1	-0.118666666666667
C16orf63	-0.324875
LOC388135	-1.638
ATP5J2	-1.1595
MMP3	-5.0465
EMID2	-0.42
CRHR1	0.3265
WDR70	-0.2305
C13orf31	1.16425
ZFAND1	0.891
CCL18	0.18
C3orf49	0.0645
RINT1	-1.0295
KIAA0408	-0.814166666666667
F13A1	1.7683
SLC10A1	0.0646666666666667
OGN	2.0755
GIPC2	-0.309833333333333
XPO6	-0.392333333333333
LCE1A	-0.112
FMR1	0.3646
LOC374920	0.3425
DUSP3	-0.725375
ANKMY1	0.64825
C7orf50	-0.262
BBS9	-0.2081
UNC119B	0.19525
C9orf72	0.572
MGC35440	-0.9615
ENTPD6	0.175125
PPP1R2P9	-0.492
ERCC4	-0.594
FAHD2B	0.5375
HMHA1	-0.569
HACL1	-0.103
RAD23A	-0.0866666666666667
FAM83B	0.247
PPP5C	-0.268333333333333
RNASEH2C	-0.964375
C9orf153	-0.927
SCAMP4	0.344625
GHITM	-0.1232
NDUFB7	-0.03825
ADCYAP1	-0.487333333333333
SP110	1.1545
MAP3K7IP2	0.89975
DHH	0.387
AGRN	0.995357142857143
WDR33	0.226666666666667
CEP290	0.477833333333333
PRPS1L1	-2.03733333333333
KLRA1	0.48
GPR97	-0.026
CHD7	-1.00558333333333
TLR10	0.97175
SLC30A8	-0.4515
HIC1	0.7955
IAPP	-0.634
RXFP4	0.023
GP1BB	1.625
SHQ1	-0.6005
NKX2-3	0.4765
API5	-0.81925
FTHP1	0.294
MOV10L1	0.172666666666667
TRIM6-TRIM34	2.07133333333333
ADHFE1	2.0545
FAM117A	0.55775
DDI1	0.2678
CDON	-0.9845
TRIM73	-0.753
IGKC	4.2405
MMP14	-0.353833333333333
DYNC1LI1	-0.74075
C11orf66	0.6045
TRBV3-1	-0.99575
FASTKD5	-0.209
BIVM	-0.28025
LHX4	-0.7415
CXCL2	3.788
RAB2B	-0.336833333333333
IZUMO1	-0.778
MAP3K15	-0.844625
FAM19A2	0.286666666666667
ZC3H8	0.101
ZMAT1	2.771125
SPINK5L3	-3.9035
SLC10A6	2.3425
APPL2	-0.360125
CARD10	0.2135
LOC402176	1.4865
EEF1D	0.8198
RAB6A	-0.2514
C12orf5	-2.060375
PAPOLG	0.788
MSRB2	0.575
BCR	1.314
PUS3	-0.06625
TIAM2	1.86075
ZNF317	0.363666666666667
CHD2	0.208285714285714
FZD5	-1.66227272727273
NUDT8	-0.91825
ZNF763	0.1205
PRC1	-3.47344444444444
ABCB9	0.776
SPATA3	0.4225
TRAK2	-0.208875
STAB1	2.098375
LRRTM2	1.03116666666667
psiTPTE22	2.23075
DBI	1.06225
SERPINA11	-2.01925
NAT5	0.50725
C20orf58	-2.197
RPS6KA4	-0.817166666666667
FLJ90650	-1.08875
TGFBRAP1	0.4105
CHRDL2	-0.239
FAHD2A	0.0976666666666667
CNTN1	0.49225
BBS4	0.1836
TMEM181	-0.018
MINPP1	-1.08725
MPHOSPH6	0.765
HOXC10	-0.00300000000000001
ITPKB	0.498625
CLPTM1L	-0.345625
MEOX2	1.11016666666667
ATP6V0C	-0.375875
PRPF8	0.104833333333333
TMC5	1.5475
FKBP3	-0.66275
PLEKHB2	-1.3095
OR4D6	0.7875
ZNF544	-0.3471
D2HGDH	0.378
RPL18A	0.8137
HEL308	0.3585
MPP6	-1.92375
TCERG1	-1.203
KRT16	0.377166666666667
KLF17	-0.85525
KLF5	2.415
CDR1	0.72
VCX3A	-3.0515
FBLN2	0.258875
C14orf104	-0.626
HBE1	-4.9068
OR4S2	-0.5455
C1orf108	-0.722833333333333
ROBO4	3.15233333333333
CPEB4	0.188875
C11orf80	0.3025
BCKDHA	0.712166666666667
MYOC	2.07625
GIF	0.1235
CKMT1A	0.9325
RPL3	2.0784
THBS1	1.59475
APOO	-2.46025
ARMCX1	1.82475
HSZFP36	0.26175
SNAPC5	0.29575
EIF4ENIF1	0.37525
ZNF433	-0.04275
TNFRSF21	0.93825
TMPRSS7	-0.0755
SPATA18	2.0293
HPDL	-1.6545
MKL2	1.0639
TBX3	1.02846153846154
C21orf93	0.298333333333333
DAXX	-0.0125
ELMO1	-0.04275
RGS13	-0.310666666666667
TAF11	-0.327
UNC13A	-2.7795
LOC653314	0.8233
ORC3L	-0.2625
IMAA	-2.594
TARBP2	-0.27825
CABIN1	-0.4814
TRIOBP	0.780875
HIST1H2AC	-0.563875
RGS22	-2.53666666666667
NCOA1	1.34216666666667
IL25	1.469
SNCG	2.3305
GPR6	0.2515
AMDHD1	-0.461333333333333
CHEK2	-1.29575
C6orf142	0.24025
DRD4	0.989
C14orf68	-1.6565
GDF11	-2.86325
SEMG2	0.609
CD247	-0.16225
CDAN1	-0.59575
RBMX2	0.115
TGS1	0.253
OIT3	-1.112
SYF2	1.05575
MCM4	-2.793875
PKHD1L1	0.555875
CEP192	-0.704
IFT88	0.38075
RPL9	1.78621428571429
RAB32	0.06575
DDX43	-0.8705
P2RX2	-0.0346666666666667
OR5D18	-0.851
UBE1	0.04625
SLC24A1	0.51775
ARHGAP5	0.38075
CETP	-1.5995
KIAA1731	-0.397333333333333
SLC9A4	0.107
PTPN6	0.91575
BAHD1	0.02825
GRIK3	-0.25
CACNB2	-0.0821
PDE10A	-1.65125
DGCR14	-0.00875
PCDHB9	0.393833333333333
RHOQ	-0.631833333333333
MAP3K4	0.085
KTI12	-0.464166666666667
RPL23AP13	-0.3575
GNG11	0.07175
CLCN3	-0.120833333333333
GPAM	-0.697625
VSTM2A	0.4185
SLAMF7	2.33533333333333
INTS2	-1.39675
PPP2CA	-0.5481
LRP12	-0.249333333333333
SEC14L2	1.90155555555556
DKFZP586H2123	4.0825
MC3R	-0.3805
CIRH1A	-0.800166666666667
HIST1H2AB	-0.653833333333333
POLH	-0.36425
MGC16703	-1.69066666666667
SNAPC2	-0.5365
FILIP1L	0.0255
RASGRP4	-0.222
LRRC1	1.254
GAS1	1.30975
PRAC	-0.57875
DGKA	-0.0653333333333333
NT5C3	-0.29825
PEG3	-0.670833333333333
NADK	-0.73025
PRR17	-0.88675
LOC374569	0.6865
SGSH	0.788166666666667
NLRP8	-0.5805
GALT	0.7417
MCF2	-0.378
ZNF263	0.994
TACSTD1	1.308
TYR	-6.4025
ATP6AP2	-0.097
RNUXA	0.24725
ABHD10	0.2989
GDPD2	-1.4935
SLC35C1	-0.7745
UBE2A	-0.7055
HERC5	0.107166666666667
FAM112B	-4.98816666666667
FBXL16	-0.43225
DKFZP434A0131	-0.45
ELA3A	-2.4965
RBM41	-1.241875
HAO2	-0.38975
RNH1	0.104875
SHANK2	2.32033333333333
OSBP2	-1.4205
DAK	-0.096
C3orf58	1.66458333333333
TCL1B	-2.16
KBTBD2	-0.54375
SUGT1L1	0.96625
UBE2E2	0.6275
MYL9	3.3655
CDC23	-0.725833333333333
PBXIP1	1.5092
CXorf40B	-0.033
NBL1	-0.1085
RTBDN	-0.0895
RAB11FIP5	0.473625
TTTY13	-0.2575
SCOTIN	-0.3445
SOHLH1	-0.869833333333333
CDKN1A	-0.867714285714286
NCK1	0.21975
ZNF550	1.29725
SAPS3	-0.0596666666666667
SPIN3	0.561
MAGEE2	0.24325
MIS12	-0.582166666666667
OR8H2	0.441
KIAA0774	-0.673833333333333
UNC5D	-1.4965
CUL7	0.210333333333333
LIPC	-1.72433333333333
DIO1	-2.038
C20orf11	0.0203
CTRL	-0.25175
HS3ST2	-0.4595
PAK4	0.462833333333333
CCRL1	0.4
RNF10	-0.52975
ZNF567	0.471
ZNF660	0.144
TCEAL3	0.8295
MAGOH	-0.6035
CENPB	-0.00683333333333332
C19orf7	0.56875
LOC388965	0.04975
ZCCHC13	-0.2925
JMJD1A	-0.7156
HIST1H4H	-1.6895
TBRG1	-0.214
GPC3	-2.60775
TAF1C	0.0635
EBNA1BP2	-0.9185
CIAPIN1	-0.4995
PDGFRA	0.455333333333333
CSTB	-1.343375
CENPI	-3.65366666666667
GTF2E2	-0.869833333333333
RPP21	-0.28925
CCNF	-1.33433333333333
KCNQ3	-0.204
FAM79A	1.243
SLC22A12	-0.0355
NOVA1	-0.178
FZD3	0.2957
AKAP8	-0.769
SOCS5	0.723875
CFDP1	-0.35525
DLG5	0.6505
PGM5	1.62791666666667
C1orf144	-0.281833333333333
HDAC10	-0.595
RND2	-0.27875
C20orf199	0.2565
RNMT	-0.765
SLURP1	0.624375
ASTN1	-0.519875
SH3BGR	2.516
MYCL1	-1.2185
ZHX1	0.5475
CENPK	-2.87675
FOSB	2.9478
LOC643406	-0.1445
C2orf59	-1.163
TMEM135	-0.63925
SLC27A2	-4.32
KRT33A	2.7165
OVOL1	-0.39075
PAMCI	0.303166666666667
S100A7	-1.207
ZNF789	-0.7635
HARS2	0.331
RPL23A	-0.0716666666666667
TCF23	0.67075
UPF3B	-1.113125
C17orf78	-0.429
HLA-DOB	1.13983333333333
C14orf142	-0.233
TEKT5	-0.263
DMWD	-0.098
POLD1	-1.73083333333333
GSCL	0.144
CALD1	0.9671
SCRT1	0.960833333333333
AIG1	0.69025
UNC84B	2.25775
ZNF404	1.67325
TMED6	-3.10675
KIAA1462	0.8735
LRRC27	1.58166666666667
PYGO1	0.544
PIGU	-0.4245
ALAS2	-3.7865
WRNIP1	0.00687500000000001
CNNM3	0.655
ZNF2	0.81975
ST3GAL5	-1.06066666666667
MRPL23	-0.532
TSSK6	0.37425
PSMA6	-1.29075
C16orf70	-0.65925
KIAA1602	0.224
ALMS1	-0.241333333333333
DCN	1.54075
TMEM132D	-0.543
SUCLG2	0.3015
ABHD14A	-0.209
DEXI	0.280333333333333
AMPD2	-0.109333333333333
IFNAR2	0.106333333333333
CYB5A	0.9673
TLOC1	0.49585
NXF5	-1.1465
NRBF2	0.693625
KCTD3	0.89975
ITGAE	-0.446666666666667
SLC30A3	-2.60366666666667
ZRF1	-0.752
IFRD2	-0.433625
XAB1	-0.37675
PYCR2	-0.1555
SERPINB3	-4.51
TMLHE	0.3582
GEFT	0.085375
ABCA5	1.360875
EMR4	0.439333333333333
TSFM	-0.63875
HIST3H2BB	-1.2455
ARHGEF19	1.93275
TSPAN17	-0.281
ABCC8	1.9105
MAP1S	0.706666666666667
C22orf36	1.624
BNC2	-1.98935714285714
HIST1H4A	-1.63475
NDUFS3	-0.1355
WDR3	-0.676166666666667
XKR4	-0.22725
TTC33	-0.106428571428571
STMN2	2.7505
CPN2	-0.185833333333333
HSPC105	1.572875
PCOLCE2	-4.37825
C3orf55	1.64
KLHDC9	1.4695
TBC1D23	-0.060125
ATXN2L	-1.1445
MAP2K3	0.409333333333333
SCAP	0.56775
ZNF486	0.483833333333333
C20orf96	-0.186
NARS	-1.1225
ADAMTSL1	-1.21835714285714
PRCC	-0.364666666666667
CCDC126	1.05683333333333
ZNF675	0.144
CALCOCO1	1.24075
ANKRD43	0.20675
CWF19L2	0.263166666666667
ZBTB32	0.172333333333333
BRAF	-0.60925
ODF4	0.4
MGC14376	-0.515833333333333
HORMAD1	-3.06066666666667
AAK1	-0.157666666666667
PEBP1	0.119
TNFSF5IP1	0.672166666666667
DKFZp564N2472	0.39175
RMND1	0.408375
IGKV1-5	4.64625
COL1A2	-1.22191666666667
SERPINA5	-1.44075
AANAT	0.45
C19orf21	-2.97583333333333
GEMIN5	-0.11825
UBR4	-0.402333333333333
LTBP3	1.03066666666667
AMHR2	-2.08483333333333
PROCR	-1.18925
MYBBP1A	-0.20275
C20orf39	-2.66983333333333
ZNF697	-0.93975
PASK	-1.207
ZNF776	0.834333333333333
RFXDC2	0.106875
KIAA0467	0.49525
C10orf96	-2.09675
ZNF503	0.283
GULP1	0.20575
KCNE4	-0.772333333333333
DKFZp434K191	0.881875
LOC196913	-0.1455
BHLHB4	1.86
CH25H	-2.534
LOC81691	-0.989
ALPL	1.08528571428571
COL12A1	-0.882375
FOLR3	-0.3225
GPR123	-0.1865
TRIM62	-0.337285714285714
ABLIM1	1.297
MAST3	-0.05
RHBDD1	-0.2135
LOC338809	-0.1145
RYBP	0.45475
TTC26	-1.206375
ZNF22	1.28083333333333
ISCA2	-0.413
RDM1	-2.788
PIGM	-0.43775
GNB3	-0.8405
ACTR2	-0.4197
HMGB1	-0.0806
EDG1	3.202
SOAT2	-3.46625
OR10AD1	-1.213
RAP1GDS1	-0.104916666666667
LCE1F	0.485
ESM1	-1.897125
RCN3	0.44275
CREBL1	0.382
DBNL	0.402166666666667
PTGER3	1.02725
USP30	-0.0366666666666667
BCL2L12	-2.04183333333333
KIF26B	0.2845
ZNF416	0.51725
ZNF225	0.4225
C17orf70	0.71575
ZNF554	0.863
RAE1	-0.936166666666667
TNIK	-0.647833333333333
ACTN3	1.2645
MGC45922	0.57
CCNA1	0.0733333333333333
RYK	0.6295
IL26	0.1195
LRP3	0.558333333333333
QARS	0.977
SOX7	1.31707142857143
BID	-0.75225
OR2S2	-1.081
CXCL14	5.0225
C11orf47	0.1415
MGC29891	-1.14633333333333
HSPB8	0.0425
PRDM14	-1.715
NUFIP2	0.3625
MNAT1	-0.361
ZDHHC2	-0.345416666666667
MBNL2	1.264125
ADD3	-0.16625
CSNK2A1P	-1.06275
KLK6	1.3305
TMEM111	-0.4545
KIAA1279	-0.584
NUBP2	0.141
RAB42	-2.29525
ID3	-1.2741
TM9SF1	-0.7295
MDP-1	-0.38175
POU4F2	-0.32275
IQCK	0.6715
C16orf14	-1.0895
CAPN3	-0.37725
FAM43B	-1.12075
RECQL	-1.4735
AP1G1	-0.858928571428571
CTNNBL1	-0.316
ECHDC1	0.202333333333333
SMARCC1	-0.0465
FOXQ1	-1.086625
GNAI3	-0.825166666666667
POLG2	-1.35575
CD4	0.66725
ITLN1	-0.83725
EBI2	3.9715
IRF1	0.6295
PTPRE	1.0857
PTK2B	0.35925
NXNL2	-0.1745
SOX4	0.352444444444444
TSPAN3	-0.861
SH2D1A	-2.35316666666667
C8orf58	0.0321666666666667
USP20	0.355
DUSP22	-0.508333333333333
CALB1	-2.751
L3MBTL2	1.08791666666667
MCRS1	-0.21725
TMEM118	-2.73966666666667
C18orf8	0.6365
FLJ10241	-0.48975
GJA12	0.27175
PKD1	0.675666666666667
ZFP3	0.889
JAM3	0.22175
LAPTM4A	0.8694
DIRC2	-0.7515
KIAA2022	0.128666666666667
MYOM1	0.948833333333333
TRPM8	-2.26383333333333
MOP-1	0.79975
PHKG2	-0.834875
ZNF650	0.016125
KIAA1522	0.875125
PSG8	-1.10816666666667
DDX19B	0.5345
MOBKL1B	-1.2935
DIAPH2	-0.475916666666667
PTPN12	-0.59425
CLN8	-0.1604
CRYZL1	0.611666666666667
CRY2	1.3805
FCGR2B	1.04066666666667
PNPLA4	1.333
ZNF454	2.0585
DKFZp434B1231	-0.03625
CLDN11	1.9969
RFWD2	-0.231166666666667
CIB2	0.187666666666667
MXRA8	2.471875
HRK	0.762625
MAML2	1.41225
C4orf31	-0.39725
C6orf192	0.68375
COG6	0.778875
FAM5B	0.06875
NFATC1	0.7489
SEPT10	0.4295
SCYL1	0.308
RPP40	-0.64925
SCOC	1.2199
KIAA1450	0.18975
CTDSPL2	-0.248
TBX5	1.09
NAPG	-1.05125
RHD	-5.019
C14orf45	1.57866666666667
ZBTB22	1.623
PLCG1	-0.0735
ANKRD10	-0.51625
AQP7P2	1.1505
TAGLN2	-0.398833333333333
HTR2C	-1.13283333333333
SLC16A7	-0.237833333333333
C17orf83	0.58425
TSGA14	-0.6005
MDH1	-1.0155
PPP3R2	0.0195
DCBLD2	-2.03742857142857
RBM33	-1.5725
DPH3	-2.1665
SYT10	-1.8145
FMO4	2.315875
THYN1	0.177
DRD5	-1.344
OTOR	0.391375
PGRMC2	0.1297
KATNAL1	-0.119
PAQR6	-1.689
UBE2I	-0.95925
C14orf28	0.3745
C8orf70	2.499
FLYWCH1	0.005125
ANGPTL3	-0.6645
GLRX2	-0.785833333333333
ATP11A	-1.14078571428571
ARL5B	-0.720125
MUC16	-1.5975
SLC25A5	-0.6975
ACRC	-1.17825
MYO1C	-0.00550000000000003
FAM89B	0.1745
FAS	1.2885
KIFAP3	0.7295
GLRA2	0.6865
BTN3A2	0.5351
CNKSR3	0.1925
CSTF3	-0.623
ARPM1	0.50475
KIAA1530	-1.692
C9orf150	1.445
PRKCI	-0.08975
tcag7.1015	-1.48475
SOD3	0.40875
ZNF574	0.58225
CYP21A2	-0.611
RPL12	1.29825
COMMD2	0.48275
WIZ	-0.18425
LOC344405	-0.2995
ALDH4A1	-0.700647058823529
CRYAB	4.46525
COPA	-0.165966666666667
PCDHGA7	0.326
KIF11	-2.74975
RASD2	0.621625
SLC26A3	1.89
ZNF175	0.1225
JAKMIP2	-2.84325
C8orf4	0.470166666666667
PTHLH	1.945
SLC40A1	1.6305
OR7D4	0.0355
PCDHB17	-0.2425
CD36	4.24564285714286
C6orf203	1.1591
PRKG2	0.4445
LOC400566	-0.175
ANAPC13	0.2395
SLCO3A1	0.238
ZNF692	-0.796
FANCL	0.084
SH3GLB1	0.307
C12orf61	-0.154
KBTBD6	0.6015
SUPT5H	0.228625
XRCC6	-0.1152
HUS1B	-0.2976
FAM133B	0.312285714285714
LOC728276	-0.088
KCTD18	0.66025
SOS2	0.963333333333333
CCDC99	-2.00175
C1QTNF5	1.5145
NNAT	2.57683333333333
USP16	0.692
LARS	-0.5925
ZBTB2	-0.397125
ABO	0.347333333333333
TRAF3	-1.85925
GALNT5	-2.774
NAP5	0.786875
ALG14	0.277666666666667
KIAA0515	0.301230769230769
WDR75	-0.936
TEX261	-0.255333333333333
LY86	-0.032
LOC389072	-0.9505
FLJ13611	-0.7745
MRGPRX2	-0.119
SNRPA	-0.58075
OR2G2	0.088
GPRASP2	2.351
C7orf42	-0.3427
C9orf163	-0.2675
CYP11B2	-0.093
FCRL3	0.838833333333333
PRDX1	-1.08225
FGB	-6.56733333333333
COX17	-0.422333333333333
C16orf33	-1.064
PIWIL1	0.0525
FOLR1	0.192166666666667
KIAA0082	0.196
FREQ	-1.18683333333333
TMCC2	-1.23366666666667
TCF12	-0.4765
ZNF721	0.8
FAM130A2	2.80325
POU4F1	-2.76175
SNRPF	-1.376625
SGIP1	1.87516666666667
ZNF641	0.6835
EMG1	-0.671875
PRRG4	0.3295
HIRA	-1.41725
MYNN	0.370666666666667
AEBP2	0.377666666666667
TBXA2R	-0.502333333333333
ISL2	-0.765
PCDHB11	0.3555
RNF144A	-1.38325
MARCH5	0.244
DULLARD	0.5555
DCLRE1B	-0.572333333333333
ITGA8	-1.34225
TP73	0.314375
PRKCD	0.32225
NDUFB4	-0.69075
ATP13A4	4.01625
ANTXR2	-1.09283333333333
COL4A3	-0.08
MYO10	-1.3216
SLC6A18	0.37075
PEX1	-0.0935
TMEM74	-0.971666666666667
RBM19	0.8195
TAPBP	0.32245
RUNX1	1.207625
MID1	0.88225
GPR64	1.52183333333333
RASEF	2.99875
GABRG1	-0.112125
MYO16	-1.08275
DBF4	-2.76333333333333
TSHZ2	4.335
RIPK2	-0.30375
PPTC7	0.328333333333333
KIF4B	-2.2975
LRRC31	0.10125
ZNF540	2.16775
EFNB3	0.740833333333333
LOH12CR1	-0.576625
STON2	0.359166666666667
GLP1R	0.6255
CSTF2T	-0.16025
IREB2	-1.068125
GRSF1	-0.19225
PDCD7	0.0146666666666667
LRRC43	0.089
CNR1	0.4895
IL1F7	-0.512
C12orf64	-1.671
FAM69B	-0.59675
NR2E1	-1.94583333333333
MS4A6A	1.7383
FTL	-1.4015
C7orf36	0.75
PCLO	0.7905
DYRK2	0.08825
ARIH2	0.00775000000000001
SAMD7	-0.3665
SCNN1D	-0.502
SLC32A1	-1.275
C22orf25	-0.408333333333333
MRPS18A	0.0777
GPR112	-0.428
EARS2	-0.6535
ERN2	0.5395
ATPBD3	0.292666666666667
PRH2	1.321
CDKN2D	-1.82083333333333
PGLYRP2	0.949
TRIM40	0.14875
SEC14L3	-0.212833333333333
SLC22A1	-0.36875
BTN2A3	0.2985
RASA4	0.988
CCNL2	-0.446416666666667
MYBPC3	0.2655
GJA4	3.2005
CDC42SE1	-0.022875
TRPV2	-2.40375
MYPN	-4.3441
SIM1	0.4815
CDADC1	0.978333333333333
ZFHX4	0.9025
NIBP	-0.2405
ADAMTS19	-2.356
ABTB2	-0.8615
TSPYL2	1.509375
EIF2S3	0.1493
SOX30	-0.80675
AP2A1	-0.446833333333333
DKFZP564O0523	0.7865
LOC285398	-0.004
CDH18	-4.9925
CHL1	4.121625
GATS	-0.3413
TBC1D2B	-0.189166666666667
OR1J1	-0.2765
GSN	1.93816666666667
DPCR1	-0.215375
GARNL4	-0.638166666666667
SMARCA5	-1.44575
PLEKHG3	0.806
ZBTB45	0.803
FRMD6	0.921666666666667
PLS1	-1.30566666666667
DGKZ	0.0966666666666667
EFNA1	1.2093
WDR85	-0.1495
ANK2	-0.4095
PAGE4	-1.47483333333333
SENP6	1.045
AKR7A2	-0.450166666666667
FKBP10	-2.1835
VEGFC	-2.14216666666667
LARP1	-0.417125
SRBD1	-0.41975
ITGB6	4.28725
SLC1A2	-0.633
INVS	-1.23966666666667
MPO	2.01425
MOBKL3	0.1579
CUTL2	-0.34075
KLK2	0.0815833333333334
VIM	-1.4115
REG1B	-0.867666666666667
PCDHGC4	-0.11575
C3orf34	-1.024
SUMO3	-0.520666666666667
CST9L	0.494
MLL4	0.25275
SPR	-0.5015
SAMD9L	-0.5415
ABCE1	-0.24925
SUPT3H	-0.335166666666667
ACTBL1	-1.22325
ADAMTS4	-1.16683333333333
SLIT3	2.24775
RHEBL1	-0.929
NPM2	0.6735
MAN1C1	-0.130875
KIAA1856	0.902333333333333
HSPA6	0.02775
LOC388152	-0.5715
C10orf140	-0.17575
ZDHHC12	-0.316
LIN7A	-0.6153
PHC2	0.525916666666667
SPHK1	0.46675
TRIM26	0.298625
FAM83E	-0.4515
C18orf24	-2.864
ZNF578	0.160666666666667
ORAI1	0.02075
RUVBL1	-1.02808333333333
C7orf20	-0.392833333333333
APAF1	-1.0265
SLC36A4	-1.71666666666667
MYH11	4.6755
NEK1	0.3823
MPP2	0.22075
C12orf24	-1.663
TNK2	0.3368125
ZNF289	0.9815
MATN3	-3.064
IFNGR2	0.495666666666667
ITPR1	2.300125
EBF3	3.4456
TBC1D20	-0.4416
OR10P1	-0.03825
DDAH2	0.73375
SHPRH	0.434625
STX7	-0.613
LOC554248	-1.125
BCAR1	-0.3985
ATXN3	-0.59875
TRIM27	-0.38175
CDC42EP2	-0.306
CHP	-0.208714285714286
SOX17	2.728
ZNF259	-1.09116666666667
CHCHD1	-0.261375
ZDHHC19	-0.064
GBP2	3.381
GARNL3	1.926875
MRC2	0.30525
C1orf52	0.2465
AOF2	-0.809666666666667
LRPPRC	-0.4973
ACVR1C	-0.058
TM4SF18	4.13666666666667
TMEM169	-0.2625
PPP1R16A	0.1125
EBF1	0.9215
RRS1	-0.224666666666667
SNX2	-0.2865
OR2T2	0.2625
RBX1	-0.124
ANKRD54	0.2975
TSNAX	0.0591666666666667
TMEM83	-1.806
ZBTB7A	0.8545
ATM	-1.22766666666667
LOC338328	2.53266666666667
TIE1	1.44766666666667
HIST1H3G	0.207333333333333
PASD1	-4.58733333333333
TINAG	0.568
PCDHAC2	-0.428
LRRC15	-2.701875
WBSCR17	-0.449
TFF2	-0.171
PARP2	-0.24075
NDFIP2	-0.798875
PCDHGB2	-0.6155
WDR60	-0.1615
MAP7D2	-1.1253
USP45	-1.35225
GSDML	0.427
TNS1	0.0536
PLCD4	-0.43725
IQCD	-1.095
SMPX	-2.435
CD9	0.879833333333333
SRGN	0.8285
CASP7	0.212625
INOC1	0.628
DKFZp451M2119	-0.849375
VMAC	1.4035
USP53	1.2278
CAMK1G	-1.074875
TMEM106A	-0.335833333333333
CDC20	-2.9314
ACSL5	0.1905
CBWD5	-0.509875
C1orf87	-1.71066666666667
KIAA1274	-0.33325
PRUNE2	-2.52757142857143
LYPLA2	0.1405
DOK6	-2.66766666666667
GPR149	0.04775
FAM30A	3.38825
TMEM129	0.062
SLC35B3	0.99375
ACPP	-0.5108
LOC200261	-1.5995
SLC4A7	0.0394
CCDC40	1.39975
GART	-1.93725
THOP1	-1.651
SCARB1	-0.25375
CACNA1F	-0.35925
TRIAP1	-0.0685
SYT14L	0.4265
SFRS8	0.195333333333333
PBOV1	0.102
GOLSYN	1.42025
GJB7	-0.878
CAMK2N1	-0.161166666666667
GREM1	0.602181818181818
FLJ20433	1.27375
QPCT	-3.687125
PRKAG2	1.1455
H2AFX	-2.5225
C6orf154	-0.519
PLOD3	-1.78825
ZBTB39	-0.596166666666667
WASF3	0.986833333333333
DRG1	0.05275
PRR4	2.6265
SPCS1	-0.208
KDELR3	-1.84716666666667
SRP19	-0.2745
GABRA6	0.707
MFSD1	0.202
MMEL1	1.277
PDXDC2	0.0793
BUB1	-6.03733333333333
RNF138	-0.9135
MYLPF	-0.587666666666667
AIF1	-0.168
DYNLRB1	0.0999
HCN3	-1.019
HIST1H2AI	-1.8935
MAP4K5	0.14325
LASP1	-0.115125
LOC130951	-0.787
PLAA	0.129125
KRT6A	-0.3385
C6orf117	-0.5705
ARHGAP23	-0.9295
PTF1A	0.592
GPHA2	-0.246
LCE3B	-0.3225
MCL1	1.04578571428571
EHBP1	-0.51075
PRNP	0.63525
ZSCAN1	0.069
C1orf113	-0.844333333333333
FOXA3	-2.644375
NEB	0.75
ASGR1	-4.448
CTGF	3.3
RAB17	0.114333333333333
MST101	-0.27925
JARID1B	0.1019
USP37	0.2524
PTBP1	-0.749666666666667
PTPN7	-0.4665
CDC7	-3.3805
SNX7	0.3545
ZNF335	0.22125
CPT2	0.055
HEATR1	-1.364375
HSPC152	-0.55
C5orf40	1.48225
PSME1	-0.136666666666667
STAG3	-2.41
TMEM154	0.612333333333333
KLHL32	-0.0731666666666667
TSGA10IP	-0.308
SUV420H2	-0.3705
SF1	-0.1808
2'-PDE	-0.0415
PNLIPRP2	0.1555
TRSPAP1	0.0725
NUP210	-0.928333333333333
ANP32C	-0.649
RAB11B	0.645666666666667
ASB15	-0.2945
ITGB3BP	-0.35675
UBASH3A	-0.22375
YWHAB	-0.68175
TPRX1	-0.652
LY6G5C	0.021625
SLC7A2	-1.5535
