Hybridization REF	TCGA-E2-A14Q-01A-11R-A12D-07
INTS4	-0.389166666666667
TTN	-0.8388
SLC26A5	0.6745
PLLP	-0.54775
RGS6	-0.106375
SRGAP3	1.303
ZNF525	0.0953333333333333
NBR2	-0.00216666666666667
C13orf1	-0.2558
ZNF137	0.7825
CEP27	-1.379
BEST2	-0.191
RNF121	-0.42425
DMRTC2	1.0965
C8orf76	-0.608
BCCIP	0.070125
MEST	-1.26925
HTRA2	0.1245
ANGPTL2	-0.00675
ILKAP	0.166
ERAS	0.232
HBS1L	0.189875
CPA5	-0.2055
TMEM30A	0.685833333333333
CD300LF	0.413333333333333
WISP3	1.525
CRK	0.200285714285714
PDS5A	-0.3722
BRPF3	0.482333333333333
NEDD9	0.905625
SMPDL3B	0.92775
PSG6	-0.60625
PSMD13	0.261
ETV5	-1.783875
OR51A4	-0.3825
BTBD7	0.726416666666667
GSTO1	-1.192125
hCG_16001	-0.655
MAD2L1BP	-0.183333333333333
COX6A2	0.448
SCNN1A	1.90883333333333
LSM1	0.396333333333333
UGT2B11	-0.00275
IDUA	1.21025
PPP2R3C	-1.19366666666667
COX11	-1.13033333333333
PDZK1	3.21575
ZNF443	0.426833333333333
MGC21874	1.93816666666667
ZNF323	2.0883
KRTAP10-10	-0.1045
CXCL6	0.46375
SLC34A2	1.2352
LOC284402	0.05
NPTN	1.10808333333333
UPP1	-2.11758333333333
SLC6A9	-0.1835
OR7G3	-0.04075
CISD1	-1.5445
ZNF545	-0.898666666666667
SYT14	-0.4485
NT5C3L	-1.197
ZNHIT3	-0.831333333333333
SNRPD3	-0.522
KIAA0701	0.332
UNC93B1	0.646
GMNN	-1.595625
SPCS2	0.451833333333333
LOC388524	-0.7985
NAPRT1	-2.463875
PNLIPRP1	0.261
OR6V1	0.2205
PRKAB1	0.12575
EYA4	-2.3705
KIF20A	-1.9895
ALG10	-0.81925
ITPKC	1.45366666666667
LMX1B	0.9245
RPUSD4	-0.78
C7orf34	-0.0278333333333333
DLGAP2	0.10825
PFN1	-0.3756
MICALL2	0.373583333333333
ZNF654	-0.0285
SS18L1	-0.961125
SLC16A8	0.5285
MKI67IP	-0.490333333333333
ITGB3	-1.054875
TCEA3	3.23275
CEP152	-1.88675
CLIP1	1.346625
ZNF75	0.601125
ATP5C1	-0.221666666666667
NUDT5	-0.497833333333333
PSCDBP	1.228
UBP1	0.0955
RBM27	0.5185
C13orf15	1.708875
ZNF282	-0.281
ZNF222	0.385
COL10A1	5.67625
PRDM15	-0.5385
TTTY5	0.5535
FAM9C	0.233416666666667
C20orf67	-0.13825
GNG13	1.982
F12	-0.401
C1orf41	-0.16225
CPXCR1	0.206
GSK3A	0.445875
SUPT6H	-0.671
PI16	0.99
ELL2	-0.45
C9orf167	-2.51166666666667
PVRL3	-2.0564
FLJ38596	-0.10225
ADAM20	0.3145
GPR89A	0.4765
GPR87	0.2065
ZNF30	0.71875
SMR3B	0.89175
ZNF770	0.3855
TRPC4AP	-0.928166666666666
DKFZP686E2158	0.595166666666667
C2orf28	0.358333333333333
FREM1	-0.2095
LAMA4	-0.280166666666667
ADPRHL2	0.1475
EIF4G2	0.675666666666667
GUCA1A	0.103
CTNNA2	-0.715375
NUDT15	-0.3575
CEPT1	-0.489333333333333
ZNFX1	0.3478
CCDC92	1.61125
TDRD1	-0.5565
KCNK5	-1.766
ETNK1	-0.388583333333333
LTA	0.2135
TTPA	-0.151333333333333
B3GALNT2	0.505375
SC65	-0.92
PEX5L	-0.428375
EPS15L1	0.66025
MGEA5	-0.194875
HIST1H3A	1.2795
ING1	0.714
BCAT1	-3.829625
ORC6L	-3.67863636363636
KLK11	-2.0045
C19orf28	-0.915625
DNER	-3.618375
MED22	-0.859142857142857
ETV6	0.869
CHAC2	-1.93675
CD300E	0.1685
CEBPB	0.468666666666667
ZNF398	0.0115
LRCH3	-0.126
HMGA1	-1.37283333333333
CAPN7	-0.189166666666667
MGC5566	-2.4515
CCL3	2.481375
NANOS1	-0.405875
ZFYVE19	0.255
APITD1	-0.250333333333333
PARD3	1.064375
IRAK4	0.136166666666667
SERPINI2	-0.8535
CEP170L	-0.19625
TTC9	2.8085
MYOM3	-0.89125
MLPH	2.033625
LOC222699	0.182
NRG1	-0.227666666666667
TBC1D9	2.69745454545455
TTK	-1.76433333333333
ZNF557	0.8223
DDX41	-0.00666666666666666
FANK1	3.695
UBE2D2	-0.065875
PSMB10	0.699375
MYH7B	-0.1175
GABARAPL2	-0.70675
MARVELD2	2.386
DGCR2	0.503833333333333
UNC45A	0.0841666666666667
C6orf72	0.7115
ZNF683	2.866
GIT2	-0.2215
CASK	1.07316666666667
C14orf161	0.9635
LRRC44	-0.21075
TIFA	-0.015875
UTP11L	-0.246375
C6orf65	-0.675
FDPS	-0.6915
DUSP9	-1.9128
SLC17A8	0.231
OR51G1	-0.112833333333333
NANS	0.104
OLFML1	0.95025
ATP10B	-0.51625
NPAS3	0.65625
PRKCA	-2.2678
GGA2	-0.1683125
LCE4A	0.3495
SPANXN3	0.19725
CCDC115	1.7865
SDCCAG3	-1.29825
GLIPR1L1	-0.14025
TTC1	-0.1005
C17orf76	0.20925
MAD2L2	-1.545
HIPK1	0.3662
LRRC3B	0.4535
CLN3	-0.631590909090909
C17orf47	0.146
FMN2	-0.99825
TUBB1	-0.553875
WAPAL	0.0235
C3orf21	-0.824
SCN5A	-0.0732
SMYD1	0.353
BEX5	1.377
ZNF192	0.007
SEC22A	0.232666666666667
GRIA2	4.38942857142857
KIAA0825	-0.918
NUSAP1	-1.91636363636364
LANCL1	-0.29425
C15orf40	-0.3489
ZNF645	0.143375
GPR61	0.368
NLRP14	0.1405
SNX21	-0.5665
C1QTNF8	-0.0195
C17orf46	0.03225
IFNA8	-0.163
SPRR1B	-0.6345
FLRT1	-0.2475
SNX17	-0.594166666666667
ASB2	-0.754166666666667
HBG1	-6.0495
RPRML	-1.3475
JOSD2	1.49916666666667
PLSCR3	0.1195
SPOCD1	0.365333333333333
RAB39	-0.118
GHRH	-0.0213333333333333
ITIH5L	0.227
C17orf37	0.72275
SMCR8	0.59025
DPY19L2P3	-0.402
IL11RA	0.572833333333333
GDF3	-3.99616666666667
RPS6KB1	-1.06525
DNAJC19	1.1799
TOP1	0.14975
CRCT1	0.01525
MPST	-0.16225
DPM2	0.335125
FAM38B	-2.21583333333333
SLC18A1	-1.40566666666667
FARP1	0.719666666666667
PAX7	0.083
TUBD1	-1.433
GNL3	-0.901375
BTG2	2.0476
NDUFS6	-0.3275
C1orf79	-2.12075
ERAL1	-0.9235
ECHS1	0.96075
VPS4A	-0.740166666666667
CYP11A1	-0.4445
ABCC6	-1.7755
PBX4	-0.9575
MOSC1	-1.8405
NCF4	-0.52
HYMAI	-0.0875
NAGPA	-0.73875
OTOP2	-0.08075
ACOT12	-0.32225
MTHFD2L	-0.696625
LOC441376	3.16275
C19orf34	-0.091
RAB1B	0.31425
ALDOAP2	0.113
NTRK1	-1.38733333333333
ARTS-1	-0.1493
SLC6A11	-0.073
NAP1L2	0.13075
CNGB1	-0.0195
EPB41L4B	0.761916666666667
FAM134B	3.262625
HS3ST3A1	-1.6725
CPXM2	4.91675
SIRPB2	0.2305
CHORDC1	-0.559833333333333
TRIB3	-1.16433333333333
SLC2A5	-0.29825
C2orf49	-0.2555
DDX5	-0.0145
OR5L1	0.422
ANAPC4	-0.487666666666667
ZSWIM1	0.567375
LOC93622	-0.03
KCNK3	0.019
RP11-35N6.1	-0.421625
ZFP161	0.0923333333333333
AQP9	0.12225
SLC15A2	-0.570833333333333
MREG	0.3505
OR9I1	-0.017
PDLIM2	-0.23275
ADAM7	0.114
GSTCD	-0.260333333333333
WDR21A	-0.3795
SLC12A8	0.3805
TMEM174	0.13425
IGSF3	1.49133333333333
LRRN1	1.28825
LOC402117	0.08325
SRPK1	-1.59166666666667
LY6K	-1.1155
NFIA	3.884
PTCD3	-0.70425
LEP	1.61983333333333
PCDH21	-0.183166666666667
MAPKAPK2	0.949071428571429
NMNAT1	-0.246333333333333
LHFPL2	-0.1295
C9orf43	0.47325
DIP2A	-0.385166666666667
ACTR8	0.349125
CCDC34	-0.4915
PTPN22	-1.0325
ITGA3	-0.461625
FAM129C	0.273
RABGGTA	0.166833333333333
UNC45B	0.53475
KIAA1033	-0.000624999999999987
ZNF510	0.0256666666666667
CYP2D6	-0.252833333333333
SLC26A10	-1.69
STX8	0.18825
LUZP1	0.161625
WDR89	-0.155666666666667
EIF4G3	0.3299
C5AR1	0.2495
ZNF623	0.101
A2M	0.63
TGM7	0.207
GRPEL1	-0.0365
LMNB2	-1.1838
ROCK2	0.619166666666667
SNX16	0.590875
CCDC66	0.679
ANXA3	-0.23825
KIAA1609	-0.819625
EED	-1.013
RNF32	0.517666666666667
HES1	1.1629
CLC	0.401
ISL1	-0.469166666666667
KIAA0528	-0.07825
MANEA	-0.2925
C1orf61	-1.4545
hCG_2001000	-0.4845
RAPGEF6	0.0101
KIAA0020	-1.17983333333333
NEIL1	1.265
C16orf45	-1.26
RBM10	0.0486666666666667
C10orf125	-1.837375
MRS2L	-0.695
DNAH17	-1.242
C19orf10	-0.56525
C1orf160	0.3575
SLFN12	-0.481
EXOC3	-0.318333333333333
HIST3H3	1.04875
NCOR2	0.615333333333333
TNFRSF9	0.21675
MFSD8	-0.71675
ALX1	-1.449
NOL1	-2.00375
PODN	2.559
TIAL1	-0.80425
HIST1H1E	-0.5205
NPY6R	0.117
TM4SF4	0.9715
CORO2A	1.12475
ETNK2	-0.565
APOE	0.0816
ANGPT4	0.2205
HDGF2	0.053
G30	0.319
ST8SIA4	-0.882375
F2RL1	-0.347125
FAM19A4	-1.468
CCAR1	-0.511
B3GNT7	0.33275
OPHN1	0.2741
DSCR6	0.6945
C21orf13	1.15133333333333
GAS2L1	0.140916666666667
RFX3	-0.3655
COPS4	-0.74975
BCHE	-3.92983333333333
BCL2	2.621375
HBZ	-3.96366666666667
ARL13B	0.7485
MAPBPIP	1.682875
MYO15B	-0.11775
SPZ1	0.15225
KIAA1324	2.701
PLCL2	-0.444625
C4orf29	-1.27475
WDFY2	-0.729875
ZNF284	-0.13
NAALADL1	-0.023
DUSP5	-0.0433333333333333
PXDN	0.4185
SLMO1	-1.4035
TNXB	0.3243
BIRC7	-0.859
A4GALT	0.320166666666667
TIMM22	-0.22325
FAM110C	2.50075
TOMM34	-1.1005
ABHD9	0.471
ADAM32	0.1825
CRHBP	-0.36375
AQP2	0.3075
LOC130355	1.52175
ZNF187	0.132333333333333
ZNF816A	0.88
F7	0.258
CNOT1	-0.6996
SLC13A4	0.53975
ZBTB11	-0.45425
B3GALT5	0.10125
EXOC2	3.46183333333333
IRS1	0.7545
TMEM1	0.0763333333333333
MRPL34	0.5395
SAMM50	-0.89325
CDC42EP3	0.213375
HSF2	-0.9452
MFN2	0.6445
TSPAN7	-0.657833333333333
NUCB1	0.48775
RHOH	1.57375
ARL16	-0.7035
TACR1	-0.01375
SFRS5	0.722166666666667
SNX25	-0.223875
RHBDF1	0.957833333333333
PCDH18	1.35833333333333
HMG1L1	0.3365
MYO5C	2.097375
MAPK10	0.258
LDHAL6A	0.4895
NUDT12	0.737666666666667
NCAM1	0.20825
GLIS2	0.1575
GGTL4	-0.80275
DAPP1	0.013
ATF7	0.82025
KIAA0748	-0.256
NFIL3	-0.626
TM6SF1	0.4258
SEZ6	0.23525
NANOS3	0.633666666666667
DNAJA3	-0.2435
CLDN6	-1.971
CIITA	1.6806
EPHA4	-0.333666666666667
FANCC	-0.11575
CMTM3	0.095
PSG3	-0.438875
MRPL15	-0.5525
C21orf59	0.42825
PLCXD2	0.04875
C2orf34	0.183875
UBE2L6	0.848
MED14	-0.343166666666667
HP1BP3	-0.3123
C6orf208	-0.353
TPBG	1.39775
OSR2	-1.078875
XPC	0.370166666666667
KLHL7	-1.0925
CCR3	0.0688333333333333
AGTPBP1	-1.125
PCSK6	-0.537133333333333
STAT5A	-1.494
FAM18B	-0.6385
LONRF2	1.11233333333333
PTPN2	-0.83875
SF3A3	-0.734166666666667
EFCBP2	-0.08875
HCFC1	-0.405333333333333
AHNAK	0.21315
ACTR5	-0.33725
KIF14	-3.247
TENC1	1.50975
HEATR5B	0.888
YIPF2	0.476833333333333
MYEOV2	0.909333333333333
DUSP18	1.05525
KIAA1012	0.50125
AHR	0.362
C17orf53	-1.66483333333333
PTPRH	-2.16725
ATP6V1C1	-0.4156
TAS2R3	0.0615
LOC440356	-0.8675
COQ10B	1.139
PSMF1	0.59075
SORBS2	2.41108333333333
NFE2L2	-0.10125
TMCO7	-1.2135
SH3PXD2A	-0.2592
SH2D2A	-1.6615
SPINK5	-2.307
MRPS24	-0.99075
OPA3	0.109875
TRAF7	0.284333333333333
C4orf35	0.0836666666666667
MT1G	-0.422625
MGC39545	0.401
HS1BP3	0.3553
OR2B2	-0.0655
CHRM4	0.0955
SFRP2	3.49425
RIC3	1.34925
ART1	0.0555
C6orf1	1.80675
DUS4L	-0.813
C10orf104	0.6515
TNFAIP6	2.19975
RTEL1	-0.70025
CCT4	-0.8576
ZNF709	0.21925
CHMP6	-0.0636666666666667
UPP2	-0.000500000000000004
CYP19A1	-1.76725
CD151	-0.447833333333333
NDUFA13	0.2395
ARFRP1	-1.095
FAM26B	1.35925
CRYBA1	-0.407
MRPL41	1.41733333333333
NPFFR2	-0.323875
HRH2	0.153
SCAMP3	0.232833333333333
MTMR6	0.7341
MTG1	-0.700333333333333
UBTD1	1.26425
CRABP1	-1.77
FLJ33790	0.1647
KIAA1908	-0.4085
GPR158	-1.5475
PACSIN3	0.273833333333333
OMD	1.86466666666667
CATSPER1	-0.601666666666667
HOXB8	-0.62175
FBXO46	1.486
OAS1	1.67883333333333
SVIL	-0.294
PHB2	-1.1215
ADCY3	-1.053
NDRG2	1.54433333333333
ERMAP	0.2977
APBA2	-1.6785
IGSF9	1.68625
WNT6	0.102285714285714
MYCBPAP	2.76875
ATP2B2	0.1741
CPVL	-1.4663
TRAM2	-0.50025
NOP5/NOP58	-0.67025
ZNRF4	0.10675
TLK1	0.549625
MTMR12	0.168357142857143
ZNF384	-0.450333333333333
FAM9B	-2.0505
RPN1	1.2654
PMVK	1.56175
EIF3D	-0.2037
SIX2	-0.2705
HPS1	0.509214285714286
RNF7	0.9985
PSKH2	0.2705
KCTD13	0.052
CSMD3	-0.3018
FBF1	0.133
IL8	-4.680625
SERPINB13	0.444166666666667
FBXL20	-0.7105
BLR1	0.178
SH2B1	0.291333333333333
RFNG	0.003875
RAB20	1.29183333333333
RBM7	-1.129
POLR1A	-0.745166666666667
TMPRSS4	-2.88825
TAF9	-0.5975
TERF2	-0.216333333333333
TNFRSF1A	0.0786666666666667
ACADVL	-0.649833333333333
GTF2H5	0.9225
EDG8	-0.316166666666667
C9orf140	-1.319875
UST6	-0.15375
ZBTB8OS	-0.07825
ZNF710	1.1655
GPR174	-0.73
ATP6V0A2	-0.51525
KIAA0319L	0.555416666666667
XKRX	0.00950000000000001
DOPEY2	1.7787
SDHD	-0.43375
SUMF1	1.3575
OSM	0.581
OPN3	-0.77775
DAGLB	-0.114
PPFIBP1	0.1701
TRIM63	-1.707
C10orf53	0.2465
LYPD3	1.89066666666667
BCL7A	0.20175
AGER	-0.7325
TCF19	-1.140875
SAT2	-0.53225
PFTK1	-0.0276666666666667
GABRE	-3.414125
C15orf38	1.6907
FIS1	0.1135
KCNV2	0.43675
CLPS	0.20675
PPCDC	-1.004875
FOXN2	0.296833333333333
NT5E	-3.447
CD83	-0.10125
IL18	-0.253625
VPS16	0.55775
IGFBP2	1.10116666666667
NOTCH2	0.64575
SIGLEC1	1.36325
CD93	4.234
SULF2	-0.2175
CEP164	0.147875
P53AIP1	0.534
TOR2A	-0.00283333333333335
ZNF136	0.32
MGP	3.0837
CCDC144A	0.4925
TRPC1	-0.906833333333333
SMS	-0.2655
MAPK7	-0.481
RRAGC	0.56075
PARD6A	0.655166666666667
NUB1	0.408333333333333
SYNGR4	0.2575
OR11H12	0.062
WIF1	2.4005
GCH1	0.15325
OR11H4	0.1855
SLC44A5	-0.148
GPRIN2	1.42733333333333
LOC401431	0.10775
CPA4	-2.7567
MELK	-2.07788888888889
IL15RA	0.09425
CUL3	0.51525
HMBOX1	0.51575
PODXL	-1.44075
CCT6B	0.321
COMTD1	-0.20275
MUC20	-0.221
GPX2	-2.85475
ITK	-0.129625
FBXL5	1.76575
C13orf27	-1.858
DEFA5	0.2975
TRHDE	-0.32
MTP18	-1.2345
UQCRQ	0.765
ITGB2	0.793083333333333
CSRP2BP	0.0815
TAS2R44	-0.0415
PHPT1	0.596125
FAM44C	-0.434
ERH	0.6755
MPHOSPH1	-1.62133333333333
MORC1	-0.2485
PARVB	-2.05375
LAMA1	-1.92816666666667
PGBD3	-0.024
GIMAP6	3.39
AREG	-0.624666666666667
LIPT1	-0.03525
MGC99813	-0.425
C1orf201	0.892
GRIN2A	-0.5026
MAN2C1	-1.076375
NSUN5	-0.67175
SF3B5	0.46925
MYC	-1.3035625
NRXN1	0.101333333333333
ZNF18	0.5025
SPDYA	0.05425
SLC37A1	1.72
DECR2	-0.09075
ANKRD38	-0.29675
SPTLC3	-0.70225
SUPT16H	-0.225375
DTWD2	0.63525
ULBP1	-0.174
ZADH1	0.607
OIP5	-1.8395
IL10RB	-0.023
OTUB2	0.348625
VWA3A	0.006
SPIC	0.491666666666667
OR6C4	0.001
PSCD4	0.173166666666667
DPY19L2P2	-1.2505
TRAPPC6A	1.09983333333333
C21orf2	-0.182
CEMP1	0.2805
LIN7B	-0.368
E2F7	-2.56066666666667
VCP	-0.00668750000000001
LAMA3	2.76066666666667
BGN	1.47375
GPR160	1.434
COCH	-4.73516666666667
GPR81	2.48483333333333
APOBEC3F	-0.59325
tcag7.1017	-0.4595
C1orf32	0.0235
SCGB1D2	6.32
FLJ43987	0.3785
C6orf170	0.2195
KLK9	0.454
GPD1L	1.786
VPS37B	0.45025
ATG3	-0.293666666666667
ADAMTS17	-0.034
KLHDC2	0.228
NDUFV2	-0.42075
BLK	-2.045
MATN4	-0.962
GPM6A	-0.024
GBP4	2.48733333333333
TMEM162	-0.087
PKP2	0.7235
HRASLS	0.102333333333333
MMP1	-4.43
SFXN3	0.4277
FSD1	-1.716
ST6GALNAC3	-1.883
CA12	2.8861
NCOA6	0.393
C19orf58	0.3729
PPP4R1	-0.0818333333333333
MAN1A2	0.857
IKBKAP	-0.98125
UPF1	0.151333333333333
KIAA1219	0.60525
WNT16	0.471166666666667
SNW1	0.22225
IL18RAP	1.193
RPP30	-0.189625
CDC40	0.251214285714286
SETD3	0.964333333333333
SLAMF6	0.02525
ELK4	-0.576
TRIM47	0.805166666666667
ACOX3	3.307125
TRIM6	0.329125
KIAA0372	-0.6845
TP53AP1	1.84425
SMURF2	-0.272
ADAD1	0.02125
EBP	-0.8136
KRTAP13-2	-0.227
FLJ36874	-0.671333333333333
TOR1A	0.0413333333333333
P2RY4	0.228
GPBP1	0.312
TRPV1	-0.07675
ADAMTS12	0.1865
PES1	-0.6117
ATG4A	0.7695
MAGEA10	-4.435
WFS1	2.041
CC2D1B	-0.300833333333333
PABPN1	-0.100875
SLC25A30	0.66025
SLCO1C1	-0.202666666666667
SLC22A5	2.43875
KIF23	-2.03983333333333
SYN2	0.243833333333333
ASPN	6.58366666666667
CENTG2	0.049
QSOX2	-1.4504
FLJ10815	-0.488666666666667
STK24	0.468375
SPEG	0.0257
STK10	-0.550333333333333
DACT2	0.761
AAAS	-0.452
SSX3	-1.054875
ABCD3	-0.0339
C4orf12	-0.00312499999999998
PARVG	-0.091
FIG4	1.1525
C9orf46	1.88725
TMCO6	-0.682
IGHMBP2	-0.47175
DUS2L	-1.46633333333333
FAM3C	-0.560875
TMEM16D	-1.5155
DCTN4	0.7525
KCNH3	-0.00799999999999999
EIF2AK2	1.42625
AP1S3	1.43475
CST4	1.2555
PAM	0.9655
NUTF2	-0.39875
CITED2	-0.3062
SLC39A4	0.04725
C2orf52	-0.172
GRM3	-0.18825
C12orf49	0.06575
CCDC49	-0.892
GRAMD1B	-0.991875
FNDC4	0.4745
SIAH2	2.3475
GDPD4	-0.000499999999999994
C21orf87	0.28375
ATP5A1	-0.523166666666667
C16orf63	-0.2795
LOC388135	-0.909833333333333
ATP5J2	-0.163625
MMP3	-0.03675
EMID2	-0.189
CRHR1	0.27575
WDR70	-0.3035
C13orf31	0.74175
ZFAND1	-0.686
CCL18	1.59316666666667
C3orf49	-0.0205
RINT1	-1.6775
KIAA0408	-1.27266666666667
F13A1	2.4964
SLC10A1	0.2765
OGN	1.6075
GIPC2	-0.6965
XPO6	-0.599833333333333
LCE1A	0.7855
FMR1	0.2524
LOC374920	0.156
DUSP3	-0.137875
ANKMY1	0.754
C7orf50	0.50325
BBS9	-0.2445
UNC119B	-0.608125
C9orf72	-0.282625
MGC35440	-1.275
ENTPD6	-0.003375
PPP1R2P9	-0.17675
ERCC4	0.43025
FAHD2B	-0.7735
HMHA1	-0.221
HACL1	-0.455
RAD23A	-0.0568333333333333
FAM83B	0.51275
PPP5C	-0.873166666666667
RNASEH2C	-0.733625
C9orf153	-0.0465
SCAMP4	1.090125
GHITM	0.3603
NDUFB7	0.573375
ADCYAP1	1.05816666666667
SP110	1.85116666666667
MAP3K7IP2	0.28
DHH	-0.214
AGRN	1.05878571428571
WDR33	0.181666666666667
CEP290	0.412166666666667
PRPS1L1	-1.76716666666667
KLRA1	-0.5235
GPR97	-0.2125
CHD7	-0.429666666666667
TLR10	0.45025
SLC30A8	-0.0545
HIC1	0.903166666666667
IAPP	0.191
RXFP4	0.2345
GP1BB	0.376
SHQ1	0.67
NKX2-3	0.292166666666667
API5	-0.137
FTHP1	0.5505
MOV10L1	0.545333333333333
TRIM6-TRIM34	2.50716666666667
ADHFE1	1.34375
FAM117A	-0.213
DDI1	0.28
CDON	0.891333333333333
TRIM73	-0.6875
IGKC	3.4915
MMP14	-0.699416666666667
DYNC1LI1	0.18125
C11orf66	0.3905
TRBV3-1	-1.5535
FASTKD5	-0.47725
BIVM	-1.76625
LHX4	-0.31475
CXCL2	-0.2455
RAB2B	-0.8475
IZUMO1	-0.269
MAP3K15	-1.338
FAM19A2	-0.0105
ZC3H8	-1.22466666666667
ZMAT1	1.693875
SPINK5L3	-1.68625
SLC10A6	0.936
APPL2	0.548625
CARD10	-0.257
LOC402176	-0.925125
EEF1D	0.725
RAB6A	0.9147
C12orf5	-0.5705
PAPOLG	-0.03175
MSRB2	1.297
BCR	0.222833333333333
PUS3	-0.23775
TIAM2	0.122
ZNF317	0.026
CHD2	0.119214285714286
FZD5	-1.63109090909091
NUDT8	-0.815
ZNF763	0.144
PRC1	-1.67633333333333
ABCB9	0.757333333333333
SPATA3	0.4775
TRAK2	2.24475
STAB1	2.1655
LRRTM2	0.1465
psiTPTE22	0.43075
DBI	0.963
SERPINA11	0.5175
NAT5	-0.1485
C20orf58	-2.00875
RPS6KA4	0.338166666666667
FLJ90650	-0.22325
TGFBRAP1	0.1305
CHRDL2	-0.04125
FAHD2A	-1.11916666666667
CNTN1	-0.1145
BBS4	0.00970000000000001
TMEM181	1.29375
MINPP1	-1.22725
MPHOSPH6	-0.40975
HOXC10	1.8205
ITPKB	0.5195
CLPTM1L	-0.3455
MEOX2	-0.0793333333333333
ATP6V0C	1.349125
PRPF8	-0.810333333333333
TMC5	3.358
FKBP3	0.14525
PLEKHB2	-0.037
OR4D6	-0.178
ZNF544	2.0792
D2HGDH	-0.275625
RPL18A	-0.8625
HEL308	-0.771875
MPP6	-3.3815
TCERG1	-1.52
KRT16	0.649
KLF17	0.07875
KLF5	0.2895
CDR1	1.583875
VCX3A	-3.9575
FBLN2	1.809625
C14orf104	-0.11075
HBE1	-5.1491
OR4S2	0.3635
C1orf108	0.0321666666666667
ROBO4	2.89366666666667
CPEB4	1.4
C11orf80	-0.500833333333333
BCKDHA	0.368333333333333
MYOC	0.4055
GIF	0.197
CKMT1A	0.8645
RPL3	-0.0532
THBS1	2.414625
APOO	-0.51175
ARMCX1	1.77025
HSZFP36	1.014
SNAPC5	-0.49125
EIF4ENIF1	0.235
ZNF433	0.60525
TNFRSF21	-1.5155
TMPRSS7	0.595
SPATA18	2.1287
HPDL	-3.6345
MKL2	1.642
TBX3	1.73
C21orf93	0.150666666666667
DAXX	0.96275
ELMO1	0.0545
RGS13	0.827333333333333
TAF11	-0.70175
UNC13A	-1.974625
LOC653314	-0.8045
ORC3L	-0.33675
IMAA	-2.9835
TARBP2	-0.2095
CABIN1	-0.1646
TRIOBP	0.0318125
HIST1H2AC	0.748875
RGS22	0.2345
NCOA1	1.28416666666667
IL25	0.498
SNCG	0.705
GPR6	0.024
AMDHD1	-1.48866666666667
CHEK2	-1.232625
C6orf142	0.6015
DRD4	0.217
C14orf68	-0.72275
GDF11	-1.82675
SEMG2	0.2705
CD247	-1.063
CDAN1	-0.25725
RBMX2	0.0845
TGS1	-0.588
OIT3	0.24875
SYF2	0.60525
MCM4	-1.661
PKHD1L1	0.430375
CEP192	-1.13083333333333
IFT88	0.8455
RPL9	-0.193
RAB32	0.371125
DDX43	0.61775
P2RX2	0.1845
OR5D18	0.248
UBE1	-0.0340833333333333
SLC24A1	0.786375
ARHGAP5	0.66075
CETP	-0.7575
KIAA1731	-0.399
SLC9A4	-0.0435
PTPN6	0.70525
BAHD1	0.84775
GRIK3	0.5275
CACNB2	-0.7834
PDE10A	-0.72675
DGCR14	-0.27025
PCDHB9	0.762166666666667
RHOQ	0.218166666666667
MAP3K4	0.0485
KTI12	-0.417666666666667
RPL23AP13	-0.911
GNG11	-0.9425
CLCN3	1.387
GPAM	-0.858
VSTM2A	1.8695
SLAMF7	1.8575
INTS2	-1.24575
PPP2CA	0.4589
LRP12	-0.257666666666667
SEC14L2	1.55033333333333
DKFZP586H2123	2.23875
MC3R	-0.1955
CIRH1A	-2.13483333333333
HIST1H2AB	0.526166666666667
POLH	-0.37725
MGC16703	-1.428
SNAPC2	1.193
FILIP1L	1.33825
RASGRP4	0.059
LRRC1	2.04625
GAS1	0.71725
PRAC	-0.98175
DGKA	0.306666666666667
NT5C3	-0.86075
PEG3	-2.25808333333333
NADK	-0.62575
PRR17	0.251
LOC374569	-0.13175
SGSH	0.245666666666667
NLRP8	0.857
GALT	-0.2475
MCF2	-0.4135
ZNF263	0.75025
TACSTD1	1.78216666666667
TYR	-6.3546
ATP6AP2	1.032
RNUXA	-0.043
ABHD10	-0.684111111111111
GDPD2	-0.31775
SLC35C1	-0.1055
UBE2A	-0.048375
HERC5	-1.06983333333333
FAM112B	-4.9585
FBXL16	3.1915
DKFZP434A0131	-0.812
ELA3A	-1.9715
RBM41	-0.978875
HAO2	0.21975
RNH1	0.193875
SHANK2	1.6865
OSBP2	-1.6705
DAK	0.0426666666666667
C3orf58	-0.316416666666667
TCL1B	0.1565
KBTBD2	-0.649125
SUGT1L1	0.14975
UBE2E2	-0.492333333333333
MYL9	2.376375
CDC23	-0.854166666666667
PBXIP1	1.6056
CXorf40B	1.64
NBL1	0.82125
RTBDN	0.064
RAB11FIP5	0.47075
TTTY13	-0.4745
SCOTIN	0.223583333333333
SOHLH1	0.300166666666667
CDKN1A	-0.130071428571429
NCK1	-0.16425
ZNF550	0.7715
SAPS3	0.402083333333333
SPIN3	0.390833333333333
MAGEE2	0.31525
MIS12	-1.54233333333333
OR8H2	0.0595
KIAA0774	0.4715
UNC5D	-0.671
CUL7	-0.353333333333333
LIPC	-3.00883333333333
DIO1	1.486
C20orf11	0.3404
CTRL	-0.98975
HS3ST2	0.49175
PAK4	0.8955
CCRL1	1.567
RNF10	0.78325
ZNF567	0.15075
ZNF660	-0.062
TCEAL3	1.962
MAGOH	0.6515
CENPB	-0.259
C19orf7	1.004
LOC388965	0.39175
