Hybridization REF	TCGA-BH-A0H3-01A-11R-A12P-07
C19orf58	0.4487
PPP4R1	-0.658
MAN1A2	0.747333333333333
IKBKAP	-2.20325
UPF1	0.379666666666667
KIAA1219	0.1035
WNT16	0.488833333333333
SNW1	-0.24425
IL18RAP	2.20025
RPP30	-0.415
CDC40	-0.610071428571429
SETD3	0.508
SLAMF6	-0.11225
ELK4	-0.889
TRIM47	0.698833333333333
ACOX3	2.153875
TRIM6	0.424
KIAA0372	-1.24966666666667
TP53AP1	1.89375
SMURF2	-1.209
ADAD1	0.43125
EBP	-0.2004
KRTAP13-2	-0.5745
FLJ36874	-0.838666666666667
TOR1A	-0.0781666666666666
P2RY4	1.2975
GPBP1	-0.1865
TRPV1	0.117875
ADAMTS12	1.12966666666667
PES1	-0.9541
ATG4A	0.2805
MAGEA10	-4.488
WFS1	1.958
CC2D1B	-0.0168333333333334
PABPN1	0.54925
SLC25A30	0.9305
SLCO1C1	0.521166666666667
SLC22A5	2.27875
KIF23	-2.90583333333333
SYN2	-0.279833333333333
ASPN	8.0605
CENTG2	-0.31725
QSOX2	-1.7017
FLJ10815	0.633666666666667
STK24	-0.3959375
SPEG	0.6436
STK10	0.377
DACT2	-1.3055
AAAS	0.67075
SSX3	-0.985875
ABCD3	0.153
C4orf12	-0.418125
PARVG	1.00683333333333
FIG4	-0.7345
C9orf46	1.1255
TMCO6	-0.492
IGHMBP2	-0.902
DUS2L	-0.4285
FAM3C	-0.8283125
TMEM16D	-2.00825
DCTN4	1.038
KCNH3	-0.34075
EIF2AK2	1.88575
AP1S3	-0.861125
CST4	0.312
PAM	0.4246875
NUTF2	0.5115
CITED2	-0.2878
SLC39A4	0.5325
C2orf52	-0.224
GRM3	-0.40875
C12orf49	-0.377
CCDC49	-1.1114
GRAMD1B	-1.01014285714286
FNDC4	0.1895
SIAH2	0.69425
GDPD4	0.42825
C21orf87	0.760125
ATP5A1	-0.8445
C16orf63	-1.322625
LOC388135	2.13116666666667
ATP5J2	0.1385
MMP3	-0.0865
EMID2	-0.20025
CRHR1	0.5505
WDR70	-0.12025
C13orf31	1.67825
ZFAND1	-1.32225
CCL18	3.32716666666667
C3orf49	0.8365
RINT1	-1.7745
KIAA0408	-1.7915
F13A1	5.3913
SLC10A1	0.3045
OGN	3.46675
GIPC2	-1.38283333333333
XPO6	-0.620666666666667
LCE1A	1.22
FMR1	0.2643
LOC374920	0.94575
DUSP3	0.813875
ANKMY1	0.3175
C7orf50	0.49725
BBS9	-0.2419
UNC119B	-0.794625
C9orf72	-0.777125
MGC35440	-0.188
ENTPD6	0.886375
PPP1R2P9	0.7435
ERCC4	0.2655
FAHD2B	-1.126
HMHA1	-0.0185
HACL1	-1.7135
RAD23A	-0.1135
FAM83B	0.5575
PPP5C	-0.564
RNASEH2C	0.3525
C9orf153	-0.76225
SCAMP4	1.517875
GHITM	-0.2268
NDUFB7	0.96275
ADCYAP1	0.476666666666667
SP110	2.72083333333333
MAP3K7IP2	-0.29725
DHH	0.3915
AGRN	1.46235714285714
WDR33	0.660333333333333
CEP290	0.1375
PRPS1L1	-2.29816666666667
KLRA1	0.081
GPR97	0.3605
CHD7	-0.336416666666667
TLR10	1.0985
SLC30A8	-0.4535
HIC1	2.23816666666667
IAPP	0.379
RXFP4	0.4395
GP1BB	1.93825
SHQ1	-0.216
NKX2-3	0.527
API5	-0.5165
FTHP1	0.3325
MOV10L1	0.665
TRIM6-TRIM34	2.84483333333333
ADHFE1	0.7905
FAM117A	0.5935
DDI1	0.1875
CDON	1.67533333333333
TRIM73	-1.643
IGKC	3.4165
MMP14	0.921833333333333
DYNC1LI1	-0.789875
C11orf66	0.5195
TRBV3-1	-1.042
FASTKD5	-0.3985
BIVM	-0.58475
LHX4	-0.0765
CXCL2	-2.2069
RAB2B	-0.146166666666667
IZUMO1	-0.60425
MAP3K15	-2.008125
FAM19A2	0.372333333333333
ZC3H8	-1.24033333333333
ZMAT1	1.999375
SPINK5L3	-2.383
SLC10A6	0.3415
APPL2	-0.43975
CARD10	-0.0371666666666667
LOC402176	-1.247125
EEF1D	0.9701
RAB6A	0.9317
C12orf5	-0.938875
PAPOLG	0.27075
MSRB2	1.2455
BCR	0.253888888888889
PUS3	0.3165
TIAM2	0.792
ZNF317	0.103166666666667
CHD2	0.0984285714285714
FZD5	-1.41695454545455
NUDT8	-0.91475
ZNF763	-0.006
PRC1	-2.32144444444444
ABCB9	0.2475
SPATA3	0.55775
TRAK2	1.27375
STAB1	2.600125
LRRTM2	0.0985
psiTPTE22	1.92425
DBI	0.17775
SERPINA11	0.39025
NAT5	-0.44325
C20orf58	-1.15575
RPS6KA4	0.718666666666667
FLJ90650	-1.07675
TGFBRAP1	0.3735
CHRDL2	-0.104875
FAHD2A	-1.2675
CNTN1	0.7485
BBS4	0.0383
TMEM181	0.4475
MINPP1	-1.4835
MPHOSPH6	-0.807333333333333
HOXC10	1.0015
ITPKB	0.795
CLPTM1L	0.162
MEOX2	0.630166666666667
ATP6V0C	1.18375
PRPF8	-0.765333333333333
TMC5	3.48575
FKBP3	-0.2815
PLEKHB2	-0.617625
OR4D6	0.637
ZNF544	-0.0389
D2HGDH	0.347
RPL18A	-0.5696
HEL308	-0.29425
MPP6	-3.95175
TCERG1	-1.9845
KRT16	-1.00133333333333
KLF17	-0.36325
KLF5	-1.9
CDR1	2.67425
VCX3A	-3.0115
FBLN2	3.111
C14orf104	-0.5925
HBE1	-4.8038
OR4S2	0.544
C1orf108	-0.615333333333333
ROBO4	3.83
CPEB4	0.2465
C11orf80	-0.707833333333333
BCKDHA	0.581333333333333
MYOC	0.2055
GIF	0.1495
CKMT1A	0.141
RPL3	-0.1857
THBS1	2.591
APOO	-0.91575
ARMCX1	2.0355
HSZFP36	1.34175
SNAPC5	-0.627
EIF4ENIF1	0.527
ZNF433	0.26575
TNFRSF21	-1.356875
TMPRSS7	0.3235
SPATA18	1.2923
HPDL	-2.378
MKL2	1.2474
TBX3	-0.0284615384615385
C21orf93	0.422
DAXX	0.78725
ELMO1	0.317875
RGS13	2.45266666666667
TAF11	-1.55375
UNC13A	-1.9145
LOC653314	-0.478
ORC3L	-0.6115
IMAA	-3.453
TARBP2	-0.36825
CABIN1	0.0896
TRIOBP	0.369375
HIST1H2AC	1.0165
RGS22	0.296
NCOA1	2.00983333333333
IL25	1.919
SNCG	0.502
GPR6	0.507
AMDHD1	-2.2325
CHEK2	-1.72375
C6orf142	0.02425
DRD4	1.326
C14orf68	-0.6195
GDF11	-1.393
SEMG2	-1.5625
CD247	0.05325
CDAN1	-0.23625
RBMX2	-0.350666666666667
TGS1	-1.24175
OIT3	1.77
SYF2	-0.34025
MCM4	-2.34875
PKHD1L1	0.128875
CEP192	-1.54433333333333
IFT88	0.34575
RPL9	-0.415214285714286
RAB32	-0.585875
DDX43	-1.64475
P2RX2	0.458166666666667
OR5D18	0.4575
UBE1	0.616583333333333
SLC24A1	0.797625
ARHGAP5	-1.423
CETP	0.1565
KIAA1731	-0.510666666666667
SLC9A4	0.4465
PTPN6	1.482
BAHD1	0.951
GRIK3	0.724
CACNB2	-0.4211
PDE10A	0.32075
DGCR14	0.20625
PCDHB9	0.230833333333333
RHOQ	-0.275166666666667
MAP3K4	-0.5395
KTI12	-0.124833333333333
RPL23AP13	-2.455
GNG11	0.46325
CLCN3	1.14983333333333
GPAM	-1.32775
VSTM2A	-1.9245
SLAMF7	2.6265
INTS2	-1.4245
PPP2CA	-0.5651
LRP12	-0.5178
SEC14L2	3.29888888888889
DKFZP586H2123	3.16025
MC3R	0.0675
CIRH1A	-1.40716666666667
HIST1H2AB	1.40533333333333
POLH	-1.015125
MGC16703	-1.25866666666667
SNAPC2	1.303
FILIP1L	1.64225
RASGRP4	0.482
LRRC1	2.01075
GAS1	1.6005
PRAC	-1.27425
DGKA	-0.125833333333333
NT5C3	-0.444
PEG3	-3.154
NADK	-0.34975
PRR17	1.507
LOC374569	-0.1045
SGSH	0.365333333333333
NLRP8	0.1845
GALT	-0.3635
MCF2	-1.01
ZNF263	-0.504
TACSTD1	1.09166666666667
TYR	-5.9879
ATP6AP2	0.02625
RNUXA	-0.4625
ABHD10	-0.3348
GDPD2	-0.8595
SLC35C1	0.221
UBE2A	0.1405
HERC5	1.41083333333333
FAM112B	-4.41
FBXL16	1.21125
DKFZP434A0131	-0.76175
ELA3A	-1.261
RBM41	-1.358
HAO2	0.16575
RNH1	0.094375
SHANK2	1.42366666666667
OSBP2	-1.43225
DAK	0.112833333333333
C3orf58	-0.0819166666666667
TCL1B	-0.746
KBTBD2	-0.71025
SUGT1L1	0.9345
UBE2E2	-0.0456666666666667
MYL9	3.071625
CDC23	-0.952666666666667
PBXIP1	1.765
CXorf40B	0.4015
NBL1	2.53075
RTBDN	0.9005
RAB11FIP5	1.092875
TTTY13	0.0285
SCOTIN	0.395583333333333
SOHLH1	-0.4865
CDKN1A	0.207857142857143
NCK1	-0.16875
ZNF550	-0.93575
SAPS3	0.2745
SPIN3	0.167833333333333
MAGEE2	0.3195
MIS12	-1.17566666666667
OR8H2	0.5385
KIAA0774	0.791
UNC5D	-1.808
CUL7	0.234333333333333
LIPC	-2.66366666666667
DIO1	-0.1605
C20orf11	-0.0756
CTRL	-0.3545
HS3ST2	0.89075
PAK4	1.5515
CCRL1	2.86975
RNF10	1.298375
ZNF567	-0.3175
ZNF660	-1.3555
TCEAL3	0.99725
MAGOH	0.279166666666667
CENPB	0.306666666666667
C19orf7	1.4205
LOC388965	0.15025
ZCCHC13	0.884
JMJD1A	-1.2527
HIST1H4H	1.46
TBRG1	-1.0358
GPC3	-4.569375
TAF1C	-0.374125
EBNA1BP2	-1.00216666666667
CIAPIN1	-0.32325
PDGFRA	-0.386222222222222
CSTB	0.101625
CENPI	-2.70766666666667
GTF2E2	-1.06116666666667
RPP21	0.36225
CCNF	-1.432
KCNQ3	0.9775
FAM79A	0.69
SLC22A12	0.714
NOVA1	-0.315666666666667
FZD3	-0.0255
AKAP8	-0.37975
SOCS5	-0.252125
CFDP1	-0.48175
DLG5	0.43325
PGM5	0.553916666666667
C1orf144	0.411833333333333
HDAC10	-1.3105
RND2	-0.4595
C20orf199	-0.4
RNMT	-0.802625
SLURP1	0.898375
ASTN1	0.062625
SH3BGR	1.67275
MYCL1	-1.281125
ZHX1	-0.160166666666667
CENPK	-3.85425
FOSB	1.7152
LOC643406	0.314125
C2orf59	-0.9295
TMEM135	-0.777625
SLC27A2	-1.72775
KRT33A	1.6285
OVOL1	0.821125
PAMCI	-1.83366666666667
S100A7	-0.5775
ZNF789	-1.564
HARS2	-0.56975
RPL23A	-0.288833333333333
TCF23	0.3145
UPF3B	-1.24525
C17orf78	-0.015
HLA-DOB	1.24666666666667
C14orf142	-0.316833333333333
TEKT5	0.687666666666667
DMWD	0.741
POLD1	-1.54233333333333
GSCL	-0.0465
CALD1	0.0822000000000001
SCRT1	1.04716666666667
AIG1	0.28
UNC84B	-0.85025
ZNF404	1.2775
TMED6	-2.36375
KIAA1462	0.4515
LRRC27	2.11216666666667
PYGO1	-0.2905
PIGU	-0.786333333333333
ALAS2	-3.72533333333333
WRNIP1	0.072125
CNNM3	0.024
ZNF2	-0.24525
ST3GAL5	-0.0741666666666667
MRPL23	0.8145
TSSK6	0.46775
PSMA6	-0.57975
C16orf70	0.3915
KIAA1602	0.71825
ALMS1	0.5205
DCN	3.553
TMEM132D	-1.00375
SUCLG2	-0.84125
ABHD14A	0.64375
DEXI	-0.452
AMPD2	-1.05833333333333
IFNAR2	-1.08716666666667
CYB5A	1.6774
TLOC1	0.1701
NXF5	-0.4655
NRBF2	-0.187375
KCTD3	1.96875
ITGAE	-2.07466666666667
SLC30A3	-1.69766666666667
ZRF1	-1.213
IFRD2	-1.006625
XAB1	-0.784
PYCR2	-0.530666666666667
SERPINB3	-3.0195
TMLHE	-0.3277
GEFT	-1.24175
ABCA5	-1.102875
EMR4	0.274833333333333
TSFM	-0.32275
HIST3H2BB	0.96475
ARHGEF19	0.3795
TSPAN17	0.262
ABCC8	3.88575
MAP1S	1.00816666666667
C22orf36	1.9365
BNC2	0.248714285714286
HIST1H4A	-0.3205
NDUFS3	-0.0585
WDR3	-1.16466666666667
XKR4	-1.18025
TTC33	-0.732071428571429
STMN2	4.3465
CPN2	-0.507
HSPC105	1.10975
PCOLCE2	-3.905
C3orf55	-0.2345
KLHDC9	1.42233333333333
TBC1D23	-0.10925
ATXN2L	-1.03558333333333
MAP2K3	0.0265833333333333
SCAP	-0.439
ZNF486	1.27216666666667
C20orf96	1.404
NARS	-0.666
ADAMTSL1	-0.827642857142857
PRCC	0.865166666666667
CCDC126	1.82375
ZNF675	0.011
CALCOCO1	1.04575
ANKRD43	0.59
CWF19L2	-0.0205
ZBTB32	1.99766666666667
BRAF	-0.4285
ODF4	0.16375
MGC14376	0.4785
HORMAD1	-2.5215
AAK1	-0.186
PEBP1	1.25891666666667
TNFSF5IP1	-0.444666666666667
DKFZp564N2472	0.40175
RMND1	-0.869125
IGKV1-5	3.11525
COL1A2	4.417
SERPINA5	0.179125
AANAT	0.5825
C19orf21	0.5465
GEMIN5	0.1625
UBR4	-0.203333333333333
LTBP3	1.59716666666667
AMHR2	-1.758
PROCR	-0.19825
MYBBP1A	-0.74
C20orf39	2.70783333333333
ZNF697	0.00824999999999992
PASK	-0.4454
ZNF776	1.59716666666667
RFXDC2	-0.101625
KIAA0467	0.54175
C10orf96	-2.11133333333333
ZNF503	-0.26
GULP1	-0.86425
KCNE4	0.823666666666667
DKFZp434K191	-1.38075
LOC196913	0.306
BHLHB4	2.0975
CH25H	1.888
LOC81691	-1.79333333333333
ALPL	0.346571428571429
COL12A1	4.231375
FOLR3	-2.0185
GPR123	0.1585
TRIM62	0.417714285714286
ABLIM1	-0.1025
MAST3	-0.5365
RHBDD1	0.644
LOC338809	-0.205
RYBP	0.3295
TTC26	-0.472375
ZNF22	-0.138
ISCA2	-0.129
RDM1	-1.506
PIGM	-0.008
GNB3	-0.613
ACTR2	0.1981
HMGB1	0.3843
EDG1	3.51533333333333
SOAT2	-2.409
OR10AD1	0.535
RAP1GDS1	0.0810833333333333
LCE1F	0.355
ESM1	-0.724875
RCN3	3.272
CREBL1	-0.52525
DBNL	-0.368333333333333
PTGER3	3.006
USP30	0.183666666666667
BCL2L12	0.0578333333333333
KIF26B	2.89925
ZNF416	0.9245
ZNF225	-0.002
C17orf70	0.8075
ZNF554	0.87925
RAE1	-1.3085
TNIK	0.392833333333333
ACTN3	0.805
MGC45922	1.4175
CCNA1	0.0258333333333333
RYK	0.289166666666667
IL26	0.3235
LRP3	1.635
QARS	-1.00825
SOX7	1.27535714285714
BID	-0.861625
OR2S2	0.5905
CXCL14	5.12025
C11orf47	-0.7225
MGC29891	-0.0255
HSPB8	1.9588
PRDM14	-1.7915
NUFIP2	0.1535
MNAT1	-0.637875
ZDHHC2	-0.896083333333333
MBNL2	-0.114125
ADD3	-0.367625
CSNK2A1P	-1.3685
KLK6	-0.2875
TMEM111	-0.693
KIAA1279	0.36125
NUBP2	0.176833333333333
RAB42	-0.89275
ID3	-0.6024
TM9SF1	1
MDP-1	0.373
POU4F2	0.167
IQCK	0.897
C16orf14	0.071
CAPN3	-1.706125
FAM43B	0.646
RECQL	-1.087
AP1G1	0.232142857142857
CTNNBL1	-0.379
ECHDC1	-1.18816666666667
SMARCC1	-0.6367
FOXQ1	-0.51425
GNAI3	-0.331333333333333
POLG2	-2.42825
CD4	1.745125
ITLN1	-0.983
EBI2	3.20775
IRF1	0.5455
PTPRE	1.7347
PTK2B	-0.059
NXNL2	-0.346
SOX4	1.362
TSPAN3	-0.683333333333333
SH2D1A	-1.668
C8orf58	0.289666666666667
USP20	-0.68825
DUSP22	-0.546
CALB1	-2.557
L3MBTL2	1.055
MCRS1	0.40075
TMEM118	-0.338166666666667
C18orf8	0.0615
FLJ10241	0.0175
GJA12	1.4655
PKD1	-0.042
ZFP3	0.289
JAM3	-0.34475
LAPTM4A	1.5117
DIRC2	0.18975
KIAA2022	1.618
MYOM1	0.371333333333333
TRPM8	-2.4805
MOP-1	1.381
PHKG2	0.709875
ZNF650	-0.2235
KIAA1522	1.936125
PSG8	-0.822333333333333
DDX19B	-0.15
MOBKL1B	-0.335
DIAPH2	-0.689416666666667
PTPN12	-0.30425
CLN8	-1.1868
CRYZL1	-0.818833333333333
CRY2	0.548916666666667
FCGR2B	2.66366666666667
PNPLA4	1.9055
ZNF454	-0.097
DKFZp434B1231	0.04575
CLDN11	0.7149
RFWD2	0.00433333333333333
CIB2	-0.65
MXRA8	3.604625
HRK	0.121125
MAML2	-0.5355
C4orf31	0.9305
C6orf192	-1.43675
COG6	0.800125
FAM5B	1.52475
NFATC1	0.8414
SEPT10	-0.3165
SCYL1	0.0226
RPP40	-0.72375
SCOC	-0.2278
KIAA1450	-0.298
CTDSPL2	-0.6755
TBX5	2.4515
NAPG	0.80375
RHD	-4.594
C14orf45	1.1095
ZBTB22	1.2405
PLCG1	-1.102
ANKRD10	-0.750875
AQP7P2	0.176
TAGLN2	0.195666666666667
HTR2C	-0.962
SLC16A7	-1.179
C17orf83	0.45025
TSGA14	-0.489083333333333
MDH1	-0.73775
PPP3R2	-0.0508333333333333
DCBLD2	-1.93271428571429
RBM33	-0.44325
DPH3	-1.91675
SYT10	-1.32383333333333
FMO4	2.213
THYN1	-0.259
DRD5	-1.4555
OTOR	0.099625
PGRMC2	-0.2183
KATNAL1	0.00924999999999999
PAQR6	-1.40625
UBE2I	-0.719
C14orf28	-0.03675
C8orf70	-0.4665
FLYWCH1	-0.248
ANGPTL3	-0.861
GLRX2	-0.445
ATP11A	-0.263357142857143
ARL5B	-0.61275
MUC16	-2.3855
SLC25A5	-2.08428571428571
ACRC	-1.03225
MYO1C	-0.509125
FAM89B	1.38733333333333
FAS	0.580125
KIFAP3	0.786
GLRA2	0.3895
BTN3A2	1.0262
CNKSR3	-1.4625
CSTF3	-0.5865
ARPM1	0.4895
KIAA1530	-0.358
C9orf150	3.69733333333333
PRKCI	-0.8295
tcag7.1015	-1.58475
SOD3	0.0515
ZNF574	1.14075
CYP21A2	1.84425
RPL12	0.7495
COMMD2	-1.0185
WIZ	0.645
LOC344405	-0.6445
ALDH4A1	0.517941176470588
CRYAB	2.5675
COPA	0.345866666666667
PCDHGA7	0.922
KIF11	-2.13858333333333
RASD2	0.087
SLC26A3	0.6435
ZNF175	0.165
JAKMIP2	-2.219
C8orf4	0.598833333333333
PTHLH	0.7115
SLC40A1	2.63008333333333
OR7D4	0.5535
PCDHB17	0.529
CD36	2.21821428571429
C6orf203	-0.2347
PRKG2	0.854
LOC400566	1.5995
ANAPC13	0.35575
SLCO3A1	-0.25875
ZNF692	-1.9255
FANCL	-1.285
SH3GLB1	0.403
C12orf61	0.1435
KBTBD6	0.0055
SUPT5H	0.86775
XRCC6	-1.1305
HUS1B	3.8584
FAM133B	0.104357142857143
LOC728276	0.291
KCTD18	0.3665
SOS2	0.429333333333333
CCDC99	-2.08675
C1QTNF5	4.429
NNAT	1.157
USP16	-0.9955
LARS	-1.044375
ZBTB2	-0.028375
ABO	0.149333333333333
TRAF3	0.394
GALNT5	-0.6595
NAP5	1.126625
ALG14	0.4865
KIAA0515	0.312692307692308
WDR75	-0.543333333333333
TEX261	0.112
LY86	1.1595
LOC389072	-0.9455
FLJ13611	-0.20675
MRGPRX2	0.4175
SNRPA	-0.40475
OR2G2	0.2535
GPRASP2	0.62125
C7orf42	0.6829
C9orf163	-0.1135
CYP11B2	0.205
FCRL3	1.21916666666667
PRDX1	-0.1865
FGB	-6.41533333333333
COX17	1.0805
C16orf33	-0.463
PIWIL1	-0.0285
FOLR1	-1.89866666666667
KIAA0082	0.5395
FREQ	0.241166666666667
TMCC2	-0.946
TCF12	-0.00875000000000002
ZNF721	0.851
FAM130A2	0.6735
POU4F1	-1.8175
SNRPF	-0.48875
SGIP1	1.33783333333333
ZNF641	0.251166666666667
EMG1	-0.39225
PRRG4	1.62
HIRA	-2.20475
MYNN	-0.126166666666667
AEBP2	-0.947333333333333
TBXA2R	0.505
ISL2	-1.63883333333333
PCDHB11	1.6515
RNF144A	-0.46625
MARCH5	0.157
DULLARD	-0.2115
DCLRE1B	-0.227666666666667
ITGA8	0.00575
TP73	0.2645
PRKCD	1.6015
NDUFB4	0.8645
ATP13A4	1.353625
ANTXR2	-0.852333333333333
COL4A3	-1.01483333333333
MYO10	-1.5666
SLC6A18	0.5335
PEX1	-0.7195
TMEM74	-1.53816666666667
RBM19	0.419
TAPBP	0.898
RUNX1	1.005125
MID1	-1.76966666666667
GPR64	-0.298166666666667
RASEF	4.4575
GABRG1	0.203625
MYO16	-1.77975
DBF4	-2.31
TSHZ2	3.06175
RIPK2	0.1865
PPTC7	-0.225166666666667
KIF4B	-1.325
LRRC31	1.81775
ZNF540	0.7165
EFNB3	0.116833333333333
LOH12CR1	0.65675
STON2	1.2705
GLP1R	0.38125
CSTF2T	-0.310875
IREB2	-0.69475
GRSF1	-0.6055
PDCD7	-0.5725
LRRC43	1.154
CNR1	0.305666666666667
IL1F7	0.4065
C12orf64	-0.219
FAM69B	0.61325
NR2E1	-1.8805
MS4A6A	2.7539
FTL	-0.7826
C7orf36	-0.12175
PCLO	1.1537
DYRK2	0.439416666666667
ARIH2	-0.938125
SAMD7	0.3085
SCNN1D	-1.011
SLC32A1	-0.809625
C22orf25	-0.929
MRPS18A	0.0391
GPR112	0.404
EARS2	-1.11925
ERN2	0.614
ATPBD3	1.09733333333333
PRH2	0.603
CDKN2D	0.00916666666666666
PGLYRP2	3.12525
TRIM40	0.34975
SEC14L3	-0.3968
SLC22A1	-0.19625
BTN2A3	0.33175
RASA4	0.64375
CCNL2	-0.922666666666667
MYBPC3	0.5605
GJA4	3.775
CDC42SE1	0.67325
TRPV2	-1.118
MYPN	-3.7866
SIM1	0.39
CDADC1	0.254833333333333
ZFHX4	1.82875
NIBP	1.42116666666667
ADAMTS19	-2.53425
ABTB2	-1.50875
TSPYL2	-0.00450000000000002
EIF2S3	-0.8328
SOX30	0.2945
AP2A1	0.4355
DKFZP564O0523	-0.166666666666667
LOC285398	0.09125
CDH18	0.52
CHL1	0.6115
GATS	-0.0732
TBC1D2B	-0.00333333333333332
OR1J1	0.0235
GSN	1.7085
DPCR1	0.214
GARNL4	-0.5855
SMARCA5	-0.612
PLEKHG3	0.589333333333333
ZBTB45	1.2715
FRMD6	-0.0726666666666666
PLS1	-2.9895
DGKZ	1.10116666666667
EFNA1	0.9025
WDR85	-1.136375
ANK2	-0.10875
PAGE4	0.997666666666667
SENP6	-0.581333333333333
AKR7A2	0.287166666666667
FKBP10	-1.723
VEGFC	-1.17583333333333
LARP1	0.0869375
SRBD1	0.64025
ITGB6	2.8705
SLC1A2	-0.961142857142857
INVS	-1.254
MPO	0.45625
MOBKL3	-0.4255
CUTL2	0.131
KLK2	0.332166666666667
VIM	-0.493
REG1B	0.412666666666667
PCDHGC4	0.84475
C3orf34	-0.277833333333333
SUMO3	-0.180166666666667
CST9L	2.17225
MLL4	-0.08075
SPR	2.03383333333333
SAMD9L	1.44825
ABCE1	-0.69875
SUPT3H	-0.749666666666667
ACTBL1	1.8235
ADAMTS4	0.505666666666667
SLIT3	3.56275
RHEBL1	-1.11075
NPM2	-0.86625
MAN1C1	0.3445
KIAA1856	1.71291666666667
HSPA6	0.2975
LOC388152	-1.042
C10orf140	-1.5785
ZDHHC12	0.6175
LIN7A	0.068
PHC2	0.215083333333333
SPHK1	0.4575
TRIM26	0.7943125
FAM83E	1.227
C18orf24	-2.45516666666667
ZNF578	-0.119
ORAI1	0.071
RUVBL1	-0.8685
C7orf20	-0.668833333333333
APAF1	-1.5505
SLC36A4	-1.61516666666667
MYH11	5.242
NEK1	-0.0462
MPP2	-0.276625
C12orf24	-3.07975
TNK2	0.6853125
ZNF289	-0.47125
MATN3	1.423
IFNGR2	0.9195
ITPR1	-0.43225
EBF3	3.4694
TBC1D20	0.253
OR10P1	0.55
DDAH2	1.825
SHPRH	-1.479875
STX7	-0.6845
LOC554248	-2.004
BCAR1	0.95825
ATXN3	0.0845833333333333
TRIM27	-0.243
CDC42EP2	0.665
CHP	0.199785714285714
SOX17	3.027
ZNF259	-1.19516666666667
CHCHD1	0.444
ZDHHC19	0.4985
GBP2	2.3185
GARNL3	0.233125
MRC2	0.75025
C1orf52	-0.36925
AOF2	-0.615
LRPPRC	-0.5804
ACVR1C	-0.617166666666667
TM4SF18	2.7765
TMEM169	-0.347666666666667
PPP1R16A	0.106375
EBF1	1.71066666666667
RRS1	-0.5415
SNX2	-0.86625
OR2T2	0.806
RBX1	-0.54525
ANKRD54	0.4375
TSNAX	-0.435
TMEM83	-1.66975
ZBTB7A	1.9115
ATM	-1.92208333333333
LOC338328	2.118
TIE1	2.10433333333333
HIST1H3G	0.2885
PASD1	-4.1805
TINAG	1.06325
PCDHAC2	0.4785
LRRC15	2.00525
WBSCR17	-0.3995
TFF2	1.2715
PARP2	-1.15425
NDFIP2	-0.4955
PCDHGB2	0.95
WDR60	-0.42175
MAP7D2	-1.7877
USP45	-1.88425
GSDML	-0.68975
TNS1	0.1766
PLCD4	0.923
IQCD	1.4735
SMPX	-2.59625
CD9	0.658666666666667
SRGN	0.6315
CASP7	0.669875
INOC1	0.1395
DKFZp451M2119	-1.781
VMAC	1.089
USP53	0.0602
CAMK1G	-0.302
TMEM106A	0.316
CDC20	-2.1871
ACSL5	0.100333333333333
CBWD5	-1.6965
C1orf87	-1.51166666666667
KIAA1274	1.06275
PRUNE2	-2.02771428571429
LYPLA2	-0.462333333333333
DOK6	-0.200166666666667
GPR149	-0.276
FAM30A	1.82575
TMEM129	0.86125
SLC35B3	-0.2
ACPP	0.5485
LOC200261	-1.941
SLC4A7	1.4035
CCDC40	2.74
GART	-1.957625
THOP1	-0.27875
SCARB1	-0.789375
CACNA1F	0.55025
TRIAP1	-0.762166666666667
SYT14L	0.041
SFRS8	0.347833333333333
PBOV1	0.03175
GOLSYN	1.7685
GJB7	-0.9755
CAMK2N1	0.455
GREM1	3.88266666666667
FLJ20433	0.96025
QPCT	-2.7385
PRKAG2	1.32033333333333
H2AFX	-0.417375
C6orf154	1.2945
PLOD3	-0.811
ZBTB39	-0.1285
WASF3	-0.37025
DRG1	-1.42975
PRR4	-0.5275
SPCS1	-1.19675
KDELR3	0.892833333333333
SRP19	0.287
GABRA6	0.37175
MFSD1	-0.0995
MMEL1	2.84425
PDXDC2	-0.3534
BUB1	-3.72188888888889
RNF138	-1.521125
MYLPF	0.264333333333333
AIF1	0.850833333333334
DYNLRB1	1.3214
HCN3	-0.773333333333333
HIST1H2AI	1.36875
MAP4K5	-0.33325
LASP1	1.87875
LOC130951	-0.0315
PLAA	0.334375
KRT6A	-1.559
C6orf117	-1.796875
ARHGAP23	-0.303
PTF1A	-0.198
GPHA2	-0.282
LCE3B	0.27125
MCL1	0.0112857142857143
EHBP1	-1.19483333333333
PRNP	-0.664375
ZSCAN1	0.72225
C1orf113	0.739333333333333
FOXA3	-2.927625
NEB	0.84975
ASGR1	-4.32933333333333
CTGF	1.71016666666667
RAB17	1.3295
MST101	-0.75825
JARID1B	0.7298
USP37	-0.243
PTBP1	-0.277333333333333
PTPN7	-0.0328333333333333
CDC7	-2.75666666666667
SNX7	-0.399
ZNF335	0.40275
CPT2	0.16875
HEATR1	-1.5935
HSPC152	0.63375
C5orf40	0.11025
PSME1	0.759666666666667
STAG3	-1.39775
TMEM154	1.1575
KLHL32	-0.2005
TSGA10IP	-0.3655
SUV420H2	-0.194
SF1	-0.7601
2'-PDE	-0.7245
PNLIPRP2	2.039
TRSPAP1	-0.141333333333333
NUP210	-1.05766666666667
ANP32C	-1.08833333333333
RAB11B	0.938166666666667
