Hybridization REF	TCGA-BH-A1EW-01A-11R-A137-07
RUFY1	0.28325
TXNDC12	-0.13675
RPS4Y1	-5.706875
TNFRSF8	-1.0485
PTGIR	1.71433333333333
FOXE3	0.323
ART4	-1.06233333333333
ZC3H12C	-1.221
KIAA1841	-0.7505
EVX1	0.464666666666667
WDR38	0.29
LOC402057	-0.77725
ACAA2	-0.250125
GLCE	0.70325
GPR18	3.46175
HIST1H2AG	-0.612
PIGK	0.24425
C16orf67	-0.6465
DAG1	-0.212
OR4D2	0.198
C21orf81	0.267
PLOD2	-0.205
TTC27	-0.63925
TSPAN2	0.8705
PI3	-0.47775
ZFAND6	0.7365
C6orf57	-0.7385
NUF2	-1.33525
ARID2	0.4995
RCC1	0.2065
CD86	1.75466666666667
FAM91A1	-0.08875
CALM2	1.91066666666667
GYG2	-0.4185
PARS2	0.7135
INTS12	1.37275
CTSF	1.449125
BNIPL	1.76075
GNA13	-0.0525
HUNK	0.03625
ZBTB4	1.1285
B4GALT4	0.787
CHD1L	-1.650375
MSTO1	0.639666666666667
FUT8	-0.534076923076923
AGA	0.74925
TRMT11	-0.279833333333333
WWP1	2.9465
B9D2	1.38866666666667
STAT1	2.207375
PTTG1	-1.65466666666667
TMEM62	1.8535
SSBP2	-0.73225
MRFAP1	0.733166666666667
NME4	-0.0205
LOC55565	0.281
DLL4	1.4485
MYOCD	0.278333333333333
HTR3D	0.4705
C9orf156	0.95675
CHMP4C	0.4105
PROCA1	-1.1945
GCDH	-0.05475
APOF	-2.064
WEE1	-0.405833333333333
SSR4	0.13125
RGS1	6.96075
ACCN4	-1.2685
FLJ20489	0.406375
ZNF215	-1.155
AGPAT6	-0.14725
PDE7B	-0.36175
BBX	-0.750375
MS4A3	-3.4805
OR4A16	0.245
EFEMP1	3.326875
TULP2	-0.3345
RERE	0.193
BNC1	-1.457
PIGB	-0.186
COMMD8	0.5215
TRIP11	-0.402
FLJ40142	-2.15875
PCDHB6	1.404
FKBP8	-0.5105
FLJ12716	0.4919
POT1	-0.3815
KIAA1109	-0.0702857142857143
PTPRC	1.87541666666667
UNQ9391	-0.2275
CCT7	-0.9695
EEF1A2	-2.98075
MIPEP	-0.37475
ZFX	-0.1799
UCHL3	-0.3605
LOC388419	-0.1345
GSG1L	-0.206333333333333
RAB24	-0.0601666666666667
SLA2	0.976
SDS	3.41683333333333
LYPLA3	0.0415
CASQ1	0.29425
SLC25A40	-1.14583333333333
IRAK1BP1	0.87625
ACOT6	0.64775
COL9A3	-3.78775
ASB11	0.1235
C2orf18	0.656166666666667
FOXD2	0.2585
C6orf211	1.93025
OR8G1	-0.0851666666666667
MDGA1	0.75025
ADARB1	-0.932125
GGT1	0.8445
WNT1	0.3229
DBP	-0.32675
COL5A3	0.86925
RHOD	0.414
COL4A2	0.955
LOC201164	-1.48375
HEBP1	1.12225
LUM	2.26591666666667
ZCCHC6	0.00125
PAGE1	-3.3325
DTX2	0.248
SLC7A13	0.8875
H3F3A	1.45778571428571
RABIF	0.879875
D4S234E	-1.8695
DYRK3	1.35716666666667
PFAS	-1.40733333333333
ALOXE3	0.178166666666667
RPLP0	-0.690642857142857
RBM34	0.458166666666667
C12orf28	4.535
U2AF2	-0.0633333333333334
MKNK2	-0.6916875
SEC16A	1.12116666666667
ZNF44	-0.9002
YWHAG	0.2795
IGF2BP2	-2.83775
OR1D5	0.376
SIX6	-2.82675
CCR6	0.7235
PALM	0.84575
PUM2	0.0115
SPRYD5	-1.903
ALG10B	-1.044875
ZNF365	2.831
PHC1	-1.51
KIAA0913	-0.1865
ARX	0.187125
PPP3CB	0.539833333333333
IRX6	0.0721
ANGPTL4	1.4924
LSM14B	-0.0789
PCDHGB7	0.463
INSM1	2.48108333333333
WBP2NL	0.5405
ZNF493	-0.9669375
NGEF	-3.06725
RNASE13	0.367
SPPL2A	0.388166666666667
SFXN1	-1.269625
FAM102A	1.656625
SAPS2	-0.8945
JTV1	-0.5175
OR51B4	-1.463
SCGB1A1	0.104666666666667
NEUROD2	0.10275
tAKR	0.298
C1orf26	0.909
RICH2	0.801
TEDDM1	0.08525
CYP2S1	-0.3635
TBCE	0.1515
MAPK1	-0.764875
HDHD1A	0.63875
MRM1	-0.41175
ATP9A	0.104642857142857
HSD17B3	0.1145
HN1L	1.10566666666667
RNF216	-1.10325
HOXD12	0.1435
PPP1R14B	-0.680375
SBF1	-0.9955
TAS2R42	1.3905
USP46	1.14283333333333
LILRB3	2.8905
SPI1	1.06075
OXSM	-0.232
GYS2	0.196166666666667
NUPL2	-0.62775
C8orf46	-1.29
SF3A1	-0.2654
C21orf99	-0.43925
HOXB4	1.0023
YRDC	-0.1285
GPRC5D	0.7215
BLVRA	1.016875
KIF12	2.339
LRRC23	1.2265
FAM14A	0.977166666666667
RASL12	0.915125
DAZAP2	1.305
IKBKB	0.301428571428571
ZNF271	0.0273333333333333
BOK	0.483
CXorf6	-0.20425
MYEOV	-1.6295
BTN2A2	-1.104
FRG1	-0.09975
HSP90AB6P	-0.7985
ENOX1	-1.28766666666667
ZNF706	1.0674
DOK1	0.184
PGAP1	-0.162625
TMEM136	-0.2765
FSCN1	-2.15575
KIF17	0.56625
TRIM66	0.307
CBR3	0.687333333333333
C13orf24	-0.209166666666667
C19orf52	-0.12575
BNIP1	1.2665
AQP3	-0.840125
KRT6C	-1.74616666666667
SIRPA	-0.163
IGFBP6	-0.266666666666667
PLEKHK1	0.1185
RNASE7	0.1285
ARHGEF15	0.13125
NPHS2	0.164
SRD5A1	0.92525
REXO4	-0.8925
EEF1DP3	0.47625
SLC37A2	0.04175
ZNF142	0.833
ANKHD1	-1.0165
MUT	0.4755
VPS37A	-0.0965
GPRIN1	0.19425
SLC38A3	-0.66775
BAZ2B	0.79475
WDR87	0.242166666666667
BRD7	-0.22275
POU6F2	-0.4355
NISCH	0.035875
TCEB1	0.6125
LINGO2	-2.11425
TAX1BP3	-0.012
RPL34	0.579333333333333
MARK2	0.4285
AKAP12	-1.1722
AMBN	0.427
SLC25A27	-0.982833333333333
FLJ21865	-0.102
KIR2DS2	0.385666666666667
WDR77	-1.33925
ATF2	0.04275
ITFG3	0.610333333333333
SLC39A13	0.4545
ARL6IP5	1.380625
C10orf137	-0.150875
QTRT1	-0.678666666666667
CCNT1	-0.2745
DYNLL1	0.5314
WDR53	1.883
LIPG	1.50966666666667
ASAH3	0.246
HELB	0.819
PHACTR2	0.626375
VENTX	0.08675
LAD1	0.656166666666667
PAOX	1.31675
MAPK8	0.021
CCDC38	-0.212
DNAJC8	-0.0218
RBBP8	0.3705
WNT11	0.6673
KCNJ12	-1.21333333333333
HDAC8	-0.09
STARD4	-1.9845
ACVR1	0.7915
C14orf65	-0.394416666666667
KLB	-0.245
C1orf65	0.37275
ZFYVE28	1.137125
NSUN6	0.3465
KIF27	-0.329833333333333
SYTL2	-0.511833333333333
UBXD2	-0.0942
OR6T1	0.374
CCDC91	0.734428571428571
GRID2	0.1755
CALN1	-0.75175
ZNF423	0.64425
PSMB4	0.660833333333333
XPNPEP3	-0.170333333333333
ARPP-21	-2.8527
SART1	-1.27925
RACGAP1P	-1.6605
SPTA1	-4.455
C6orf113	0.456333333333333
C7orf16	-1.46275
CHST7	-0.386333333333333
C21orf29	-0.5855
SEMA6D	-0.88975
PCMTD1	1.68525
KIAA1754	-0.553666666666667
MYCN	-1.04925
KCNJ3	-0.95825
MAPK13	1.5407
ERO1LB	1.73125
NTF3	-0.757333333333333
NKX6-2	-0.47725
GTF2B	0.1635
GSPT1	-0.535333333333333
GUSB	0.0448333333333333
LOC221091	0.529
LIG1	-0.76425
EXTL3	-0.957333333333333
NID2	-1.68075
TTC29	-0.1465
TMEM97	-0.52375
EXTL2	-0.961833333333333
SUZ12	0.097125
IL1F8	0.2315
KRT18	0.325545454545455
MRPS16	-0.33975
PI4K2B	0.28675
LACRT	0.0895
OR51F2	0.5465
JMJD2C	-0.556875
KGFLP1	2.79225
CDK5RAP3	-0.2937
YTHDF2	1.25366666666667
GGCX	0.671625
ARPC4	1.4145
EGLN2	0.719166666666667
KBTBD4	0.562857142857143
ROBO3	-0.6444
DEFB118	-0.2315
KIAA1543	0.57275
RTCD1	-0.423666666666667
MZF1	-0.059
C18orf26	0.5065
CNIH4	0.9995
ZFP2	1.71116666666667
HTATSF1	0.52275
WFDC2	3.385875
NDUFA7	-0.265
TTC22	0.147666666666667
FAM40B	-3.049
DCPS	-1.30575
SH2D1B	-0.257333333333333
MRGPRE	0.4955
SBK1	1.08925
UNQ6411	0.2415
OSBPL9	-0.8645
NUP107	0.467
MYOZ3	-0.1616
PDE4B	0.72125
FAM113A	-0.11
IDH3G	-0.0783333333333333
FBXL7	0.69675
ARFGAP3	0.81725
MAPRE2	-0.907538461538462
IL1RN	1.3447
KIF13A	-0.2545
RAC3	-0.0095
TCTE1	-0.336
TMEM14B	-0.502
ADIPOR1	0.7735
GRINA	1.729
CLIP4	0.84025
LRIT2	0.259
TFPI	-1.67842857142857
FABP6	-1.6355
SLITRK2	-0.1882
HKR1	-0.25525
SMTN	0.345
C1orf75	1.0925
CD209	0.758875
CYB5R2	1.279
DNTTIP2	-0.188166666666667
CSGlcA-T	0.270125
GABRB3	-2.90725
PCBD1	0.2625
TAF3	0.0849166666666666
HOXD3	0.267666666666667
GIPC3	-0.647166666666667
P11	0.4011
BFSP1	-0.3435
LCP2	1.04375
TAS2R8	0.386
SEZ6L	-1.096
NR2C1	-1.49575
EXDL2	0.5494
TNFRSF13B	-1.93183333333333
MKI67	-2.04
GLS	-0.4755
C7orf54	-0.5918
LGALS13	0.2665
IL4R	1.3375
SEC11A	0.172833333333333
SPP2	0.433333333333333
C18orf32	1.94025
CLSPN	-1.8975
SPAG1	1.518125
C9orf82	0.165
TM4SF1	1.08241666666667
EMILIN2	1.41625
SMG7	0.651166666666667
TAS2R13	0.2395
ZNF628	0.533
DZIP1L	-0.580166666666667
ANKRD13A	-1.1572
VASP	0.036125
ZCCHC11	-0.52625
SYPL1	0.5645
MGC34774	0.1795
C4orf28	0.919125
KIAA1211	1.02025
RPS27L	0.444
TATDN3	0.42
PDCD1	1.5505
OR5P2	0.572
IFIT1L	0.3485
MIPOL1	0.17725
OR51D1	0.436
C1orf92	-0.209833333333333
LAMP2	1.12872222222222
CAT	0.504333333333333
C16orf80	-0.444
C15orf32	0.1875
ZNF746	0.12825
C1orf76	-1.8705
ATXN1	0.3935
LAMC2	0.736375
SLC2A7	-0.3115
CPOX	-1.97775
APH1B	1.1515
LOC442245	-0.79575
CTNND1	0.597111111111111
GABRG2	-0.863625
MADCAM1	-0.0968333333333333
F5	-1.801
SEMA4F	0.220833333333333
NUDCD3	0.010625
PDZD11	0.1635
TRIML1	0.0935
GCNT3	-2.63333333333333
TMEM120A	0.68775
CNDP1	0.471
N4BP1	0.23875
SLC35F2	-1.150875
LCP1	-0.2175
IGBP1	-0.2038
DCAKD	0.4435
ELA2A	-0.188
C12orf56	-1.56075
PITRM1	0.0717142857142857
GUK1	0.695166666666667
RASSF8	-1.3201875
OR2A14	0.30425
ADM	-2.16022222222222
FGD3	2.267
GHRHR	0.313666666666667
RHPN2	0.64725
C4orf39	-0.562833333333333
VPS72	-0.2215
SERF2	0.442944444444444
CD22	0.620333333333333
CD47	0.2359
PPIC	0.414333333333333
IMPDH1	-0.586416666666667
ACP6	-0.672
PRKACA	0.341625
PPP1R1A	0.239125
TRPV3	-0.01375
ASXL1	-0.401625
C17orf55	-0.934333333333333
FXYD1	1.04533333333333
LMOD2	-0.0345
ANKRD33	0.222
LCE2C	-0.200375
ZNF620	-0.6865
DKFZP566E164	-1.0985
VSIG2	0.2125
KIAA1128	1.43725
USO1	0.437333333333333
NUDT4	-0.0980000000000001
CLDN1	-0.128785714285714
OR4Q3	0.149
FASTK	-0.714166666666667
ICOS	2.773
LDB1	-0.159
GSTA5	-0.66
ABCC1	-1.23383333333333
FAM54A	-1.41
PCBP2	-0.4125
NUP205	-1.53625
ACTA1	-0.246666666666667
GABBR2	-1.40725
PIP5K1B	-1.003
AGXT	-1.9175
RNF181	0.36325
ATP8A2	-0.29225
AFTPH	1.511125
FGF21	0.251
FCER1G	2.90975
SNTB1	-1.9425
SLC24A3	1.4855
TXNL4B	-0.9797
RPL10L	0.0593333333333333
LOC389517	-1.01515
TSGA13	0.1835
SHOX2	-1.861
ITGA7	0.1642
KCNIP2	-0.00866666666666666
KLF13	0.4841
ZFAND2A	0.09625
CEACAM1	0.539142857142857
PFKFB4	-1.92133333333333
MED19	0.32775
LRRC57	0.5195
RNF11	0.978
ANKRD32	-2.29425
P117	0.9555
OBFC2A	1.5055
POLD3	-0.81325
RAB18	1.888375
TPH2	0.0251666666666667
PHB	0.0435
JDP2	1.1205
MORF4L1	-0.0793
POU2F1	-0.4105
CNNM2	-1.10508333333333
LOXHD1	-0.581166666666667
ZC3H15	-0.31125
ELK3	0.585166666666667
FAM111B	-0.4775
CBLC	3.169
SBNO1	-0.8855
ANKMY2	-0.33225
PLEKHA5	0.3165
DHX58	2.59833333333333
ARCN1	-0.616666666666667
TREML1	0.0363
KNCN	0.12
SEC24A	-0.26625
PSCA	0.474
MGC24125	0.248666666666667
DNA2L	-1.38075
CIB4	0.480375
HIGD2A	-0.543333333333333
TBX6	0.0318333333333333
TTLL5	-0.933833333333333
SGK3	1.68816666666667
GCN1L1	-0.88675
AMOT	0.5466
LDOC1	-0.199166666666667
NRK	-0.301833333333333
ASB9	-2.0155
NAT1	4.2308
TRAFD1	-0.2675
PEAR1	0.724
FAM36A	0.56225
OR1S2	0.498166666666667
LOC388323	-1.76275
PGS1	-0.4335
LEPREL1	-2.94075
TFF1	0.479916666666667
HAP1	0.26
EPHB2	-0.674
ACTG1	1.65066666666667
ZFP42	-1.671
HAVCR2	0.8921
NME1	0.095
SNX26	-0.0670833333333333
LACTB	0.7685
ZKSCAN2	-0.00987500000000002
C5orf35	1.1685
ANKS3	-0.42825
RBM28	-1.3525
DKFZP586P0123	-0.84725
HNRNPA1	0.315166666666667
BCAS3	-1.10591666666667
FLJ20184	0.4435
POLA2	-1.844
TMC7	-0.5395
HSD17B6	0.382
ZNF658B	1.32533333333333
TTTY10	0.197166666666667
RANBP9	-0.30025
CPNE7	-2.14966666666667
EVL	-0.116
LNX1	0.458666666666667
IFNA21	-0.011
CFD	3.657
PYCARD	2.55916666666667
MYBPC2	-1.4005
ENPP3	-1.41233333333333
ACSL4	-0.0375
LOC440258	-1.97366666666667
TMEM176B	3.9155
SOX2	-4.205875
SCO1	0.451166666666667
COMT	0.1415
AOC2	0.0835
PDLIM5	2.1705
SPHK2	1.069
NXPH2	0.876
GPR108	0.277
RAD51L1	-0.0613333333333333
TMEM54	1.0495
LETMD1	-1.40822222222222
SLC6A17	0.42075
KRT75	-0.4005
STT3B	-1.31233333333333
CD3EAP	-0.0761666666666666
TMEM63A	0.13125
DUSP13	-0.28625
CD1C	1.0235
LASS2	1.03016666666667
AVP	0.51
PITPNM1	-1.298875
FLJ22795	-1.3445
MCTP1	-0.88625
TRIM68	0.392
UCK2	-0.261666666666667
ABHD1	1.38275
FAM50A	-0.39125
RNASEH1	-0.6615
PCP2	0.371666666666667
OR52H1	0.4475
C20orf149	-0.04725
RBP5	1.09666666666667
HYAL3	-0.39925
CLPB	-0.887
SMNDC1	0.31925
DONSON	-1.08616666666667
FLJ27523	0.304
BARHL2	0.268666666666667
SLC30A9	0.8355
TMPRSS11B	0.2265
E2F8	-0.532166666666667
CCDC25	-0.999
C14orf48	0.132833333333333
C20orf116	0.42
TSPAN11	0.0675
YIF1B	-0.498
FAM12B	0.63725
OR1L6	0.1825
HPN	1.2885
NBN	0.5685
C14orf94	-1.06616666666667
OCLM	0.0025
ZSCAN18	0.2956
L3MBTL	-2.3103
TSTA3	0.481333333333333
RAC1	0.224375
C19orf15	-0.0613333333333333
NFE2	-2.54675
KLK14	0.295
ARSF	0.112
MAST2	0.0756666666666667
AMICA1	2.73633333333333
GTF2A1	-0.9195
ATP1A3	-0.566
TC2N	2.6978
PNKP	-0.08375
ODZ2	-1.201875
MATR3	0.263125
S100P	0.144375
KRT82	0.1005
CA13	-0.2336
PROZ	-1.391
AASDH	0.615125
C19orf40	0.1025
DCK	0.292923076923077
FAM5C	1.525
SLC6A4	1.305
MID1IP1	0.26575
TESSP5	0.798
TMOD4	0.763
DOCK2	-0.338833333333333
TUG1	-0.405625
NUP214	-0.9945
DPYSL2	-0.576318181818182
GOLM1	2.38533333333333
MPFL	0.194
SOX13	0.86175
SDCCAG8	0.9311
KEL	-1.958
NUP210L	-2.17475
GK	0.161625
DNAJB1	0.9945
ALPK3	0.269
CHID1	0.5283
CYLC2	0.0648333333333333
IKZF5	0.4985
C8orf51	0.3715
PPM1J	1.39875
GIMAP8	3.62216666666667
GPR101	-0.3225
NR2F1	-1.605
ACAD8	-0.4105
RBM35A	1.485
GNAI2	-0.630166666666667
METTL8	-0.162333333333333
SLC39A7	-0.53675
FBXO8	1.17325
CAMK1	0.35525
RFC3	-1.009375
FAM129A	-0.0680714285714286
ILF2	-0.1205
FGFBP3	-1.17
NOM1	-1.11583333333333
PSMA3	-0.08225
ASCC3	-0.1697
ZYG11A	-0.535
SOX21	-1.185375
LYRM1	0.75425
DEFB1	0.575
LOC91431	-2.40133333333333
OR7C2	0.7675
FAM46B	-0.188875
TMEM18	-0.450125
ARHGAP30	1.47166666666667
TMEM86A	1.68925
EPHA2	-0.850166666666667
C10orf46	1.7409
TCHH	-0.944333333333333
C3orf30	0.3195
LOC285636	0.715166666666667
PAIP2	0.48375
CYP2U1	0.05325
C12orf34	0.235
SARS2	-0.922333333333333
ZCWPW1	-0.057
SAMD12	1.965
KIAA1430	0.407375
ACAT1	-1.12275
MEOX1	3.11483333333333
ADAMDEC1	4.70425
PHKA2	-0.921
CARD11	-0.780833333333333
CALML4	-0.1995
TSSC1	-0.48325
TMEM45A	-1.61655555555556
MPP7	1.6115
POU1F1	0.2015
SLC2A13	-1.4069
FBN2	-1.22314285714286
ZC3H7A	-0.2599
LAIR2	-0.241
ST3GAL1	0.824
LCT	-2.2585
GEMIN8	0.657833333333333
KLF16	0.1613
HIF3A	-0.2345
FAM44A	-0.491642857142857
AQP10	-0.8925
PLA2G2A	1.373
FOLH1	0.333166666666667
C20orf186	0.3405
MAPKAP1	-0.549125
SPRR2D	-0.61175
UBQLN4	0.22
RSHL1	0.103
PIAS3	0.29925
MRPL24	1.164
GREB1	-0.265875
FAM27E3	-1.8675
NUP62CL	0.6725
NEUROG3	0.9055
REEP3	0.624833333333333
MARK1	0.888125
LMBRD1	1.0705
PRPF19	-1.4795
PNMT	0.34
CTGLF1	-0.914
SLC25A16	0.31175
EIF2B3	-1.021
RPA2	-0.4805
PAK6	1.28083333333333
CCDC26	-3.929
SEMA3E	1.567125
MXD4	0.2933
TNFSF10	4.4874
SMARCB1	-0.749666666666667
DTX3L	1.0345
PLA2G4E	-0.1465
PPAP2A	1.17225
ULK1	-0.56825
TAS1R3	0.267
SLC2A3	-2.14109090909091
ARID3A	-1.83125
GNG5	-0.21075
ACOX1	-0.0544
KIF5B	-0.146
NUP153	-0.81275
MUC7	0.093
CSDE1	-0.878642857142857
CLPTM1	0.42125
C3orf23	-0.183125
LRRC17	-0.6295
TTYH3	-0.66975
ATP5B	-0.829
ELF3	1.6103
CPSF3L	-0.0845
ZNF665	-0.0716666666666667
TLR6	0.4121
GPI	-1.422875
RAD9A	-0.4225
NDST4	-2.666
AGPAT3	0.267916666666667
MAGI3	0.449666666666667
ADORA2A	1.600875
CACNG7	0.122
CAMK2D	-1.08785714285714
CCHCR1	-0.92925
RPS27A	-0.09025
OR10G7	0.1255
GCM2	-0.3835
FAM135B	0.6329
E2F1	-1.0925
PLCB3	-0.51075
OR2AE1	0.4645
COIL	0.586
CDC25C	-1.71016666666667
RAB11FIP2	-0.215166666666667
TSC2	-0.133
CTGLF5	-2.1065
CCDC108	0.3298
OR13C4	0.5035
C10orf81	5.771
PTPRB	2.889
ACP2	0.993
LAG3	1.043
MRPL54	-0.1425
LOC201175	0.813
ITGB1BP3	-1.8665
SPTAN1	-0.466
SIPA1L2	0.595
RCAN2	-0.3825
CDX2	0.1275
ECOP	0.358
ACTR1A	0.272214285714286
PPARG	-0.606166666666667
BBS10	-0.284
TMEM44	-1.016
BPIL2	0.14575
CITED1	0.35425
IRF6	3.54225
PRDM4	0.023
RRP9	-0.896
OR10H4	0.2085
IL31RA	-0.658
GNB1L	-0.3345
MYBL2	-1.404125
ZNF407	0.664833333333333
PPIG	-0.517333333333333
TTC18	2.63925
RPSA	-0.8935
MAPT	2.5715
MRE11A	-0.465285714285714
C8orf37	-0.0751666666666667
RASGEF1C	-0.369666666666667
STBD1	1.337
CTAG2	-0.342
MGAT5B	-1.47866666666667
ECM1	-0.0135
RLN1	0.8655
PARP14	0.848875
EPB41L1	0.8183
HOXA3	-0.962416666666667
MAGEA9	-4.002
RPS8	-0.515166666666667
RPS19BP1	0.55425
FOXJ2	0.2265
C10orf76	0.4245
IL17RE	0.445
C10orf65	-1.736
ZNF343	0.150833333333333
FBXO33	-0.14525
UHMK1	1.1848
LY6G6C	-0.12025
FGF19	-1.13425
C14orf128	-0.9895
IFIT2	3.349875
TIGD1	-0.28575
S100G	-0.0465
GUCY1B3	2.196
NR3C1	-0.7807
CORO1B	-0.245666666666667
PARP11	1.06808333333333
DNALI1	4.46966666666667
OR4N4	0.0975
MAP2K6	-0.134
FSTL4	-0.142
ANKRD47	1.145625
TMEM171	-1.033
PNLIP	-0.32575
YY1	-0.793333333333333
CCDC138	-1.41633333333333
AASDHPPT	-0.6954
CKS1B	0.141
MCM3	-1.43833333333333
ANAPC7	-0.914
FAM110A	1.98325
CDC37L1	1.727
THTPA	0.29775
NBPF20	-1.6625
WDR24	0.41325
NPTX2	-2.71975
CBLB	0.968833333333333
CETN1	0.153
RPUSD1	0.07525
FAF1	-0.879
CDK6	-3.044
HMX2	0.2345
CSK	-0.672833333333333
TEAD2	0.82375
SNAP25	-0.11625
TUFT1	1.9923
TMTC3	0.21
LCK	-1.199
SGOL1	0.0635
AKTIP	1.01075
FURIN	1.222
SOX12	-0.644666666666667
DEFB103A	-0.52675
RAMP1	3.04275
KIR3DX1	0.0085
GAS2L3	-1.5815
PDE8A	-1.3708
EDN3	0.82725
GMIP	0.77225
SF3A2	0.3595
FN3KRP	0.7205
SMAD7	-0.11725
RHBDD2	1.04175
OR11H6	0.359
PPP1R3B	0.2836
C9orf23	-0.662
CADPS	-0.8525
GOLGA8A	-2.849
TMEM57	1.03
RGL3	0.8655
S100A14	3.05675
FGFR2	0.5949375
XRCC3	-0.6165
RTN4RL2	0.46025
MGC3771	1.2855
GH2	0.0986666666666667
BTBD2	-0.7995
LMO2	0.19075
RDBP	-0.907
ACRBP	-1.671
AMY2A	1.65275
DUOXA1	0.398
PTK7	-0.0165
TWF2	0.113
FAM80A	-0.91975
TNNI2	-2.49083333333333
GLT25D1	-0.432333333333333
OCC-1	-1.6555
CYC1	-0.799333333333333
RPL22	0.203
MORN3	1.25633333333333
DISP1	1.2735
PRB2	0.211
CHUK	0.2585
HR	-0.026
CCDC134	-0.37275
DENND4B	-0.548
C14orf130	-0.389375
RAB33A	-0.844
DCST2	0.3095
TNMD	0.1065
PEX7	1.254
FAM62A	0.26425
SRD5A2L	1.00325
IL22	0.16675
RPS26	-0.6475
HOXC5	-0.246
SPATA6	0.2715
FLJ38482	0.354375
ZNF234	0.347
C18orf22	0.519
SPATA22	0.32425
THOC1	-0.82625
CYP7B1	2.7
KCNC3	-0.1635
C8orf42	-0.7885
ALDH1B1	-0.225
CCDC100	0.1064
ARMC4	-2.2955
FAM18B2	0.10925
SLC44A1	0.870625
FBXO17	-0.617
C6orf107	-0.23275
C19orf29	-0.6685
ZC3HAV1L	-0.086
PARP6	0.3872
SULT2A1	-3.9595
C1orf159	0.04875
TMC1	0.46375
CHST14	-0.192
GAMT	-0.29
SMCP	0.181666666666667
TSPAN33	0.172916666666667
MIDN	-0.07125
NOX4	1.1135
RNASEN	0.0526
TBX1	2.02483333333333
SALL2	0.0615
C10orf35	2.33975
CYP2E1	-0.754375
LRFN2	1.3295
ACO1	-1.23283333333333
IQCG	2.804
MEGF9	1.512
TM7SF4	1.34425
PLEKHA1	0.466466666666667
STK33	-2.23275
C1orf210	1.42775
SNUPN	-0.1692
KIAA0406	-0.4999
C20orf29	0.45275
TMEM55B	-0.241
OSTM1	-0.6861875
CLCN7	0.186
OTP	0.24675
FLJ23049	0.0535
HEATR4	0.2935
MAP3K10	0.647833333333333
PCDHGA9	0.3995
AMDHD2	-0.232
LCTL	-1.4835
PDCD2L	-0.055
CABLES2	-0.15375
SLC5A9	-0.30375
CLCA2	-1.47833333333333
MGC16025	-0.704
STRAP	-0.0983333333333333
C20orf196	-0.0595
RRBP1	0.504666666666667
NAT13	-1.2415
MAT2B	0.49725
CSNK1D	-0.197666666666667
KIR3DL1	0.32325
PRKAG3	0.1695
ZNF599	0.3375
PRM3	1.1335
PER2	0.630833333333333
ASPHD1	-2.6065
PRMT6	-0.79025
KCNE1L	0.0156428571428571
FAM118A	-0.477166666666667
TAF4	0.006
NDUFB6	0.211
TRIM9	-1.45783333333333
PMFBP1	-0.7855
KY	0.2865
DKFZp762E1312	-2.18627272727273
CSMD1	-0.809
TBP	-0.00949999999999999
OR1Q1	0.1875
RETNLB	0.34925
HPGD	1.25228571428571
DNAJC12	0.779833333333333
FKBP1B	-1.6615
ANKRD24	-0.610166666666667
CXXC5	0.622166666666667
IL3	0.272125
DRAM	0.5391
PTCH1	-0.578625
TP53BP1	-0.51025
SLC17A7	0.047875
COL25A1	-1.117
AMACR	0.877
RHCG	0.07075
VPS13A	-0.701333333333333
FAM55D	0.8515
PRPF38B	-0.6385
OSBPL6	-0.722
PFDN5	0.8581
CMTM6	0.16525
KCNK12	-1.1105
RP2	0.281
C16orf52	-1.588
PICK1	0.2525
IFNE1	-0.849666666666667
SEMA4B	1.23275
TYRO3	-1.699
OR12D2	0.2975
CSNK1A1	0.77885
FANCF	0.513
LONP2	0.113
TBL1Y	-0.713
LDOC1L	0.493875
CCNC	0.63375
C3orf60	-0.16925
CHKA	-0.91475
UBAP1	0.2935
MAP3K1	0.793
ANKRD9	-0.6375
FAM92A1	-0.2115
GAB2	0.54525
AZU1	0.13375
DIS3	-0.525833333333333
C21orf109	-0.8805
IQCB1	-0.9975
SPATS2	-0.314
EFCAB3	-0.22825
PRB3	0.239
FUZ	0.582
ZNF813	0.070625
BMPER	-0.264333333333333
HEG1	0.185375
ALS2CR11	-1.93525
SURF2	0.01375
PSMC1	-0.314833333333333
OR2D2	0.2835
SLC7A8	1.8085
C4orf40	0.395
SPATA7	0.62425
MAZ	-0.228083333333333
PIN4	0.143
PDE1A	-0.557375
TAF6L	-0.373833333333333
OR2T34	0.299
KIAA0284	0.2045
ACADS	-0.407909090909091
MKRN2	-0.1785
C18orf56	-2.97625
MS4A6E	0.606833333333333
GALNT4	-0.0756
C22orf31	-0.1455
FLJ36070	-0.1185
PSME4	0.2545
TFG	0.0024
EPHX2	-0.707
ANXA5	0.423875
KRTAP1-1	-0.1093
BATF	2.36175
KARS	-1.546
MSTP9	-0.5565
GPR26	-0.3085
CCDC72	-0.09775
TEF	0.239
FOXK1	-0.7597
PRLHR	0.155
EMX1	3.371
C11orf30	-0.35025
ICK	0.299375
THSD7B	-0.038
C21orf100	-1.612
DUOX1	0.0155
EFCAB4B	-0.38625
UBE2G2	-1.4795
C3orf54	-0.47325
PARP1	-0.40075
FAM60A	-0.96425
C6orf146	0.52225
OR9K2	0.5135
DDX55	-1.41333333333333
RPS15	-0.0614166666666667
ZNF618	0.425
DKFZp686D0972	0.5495
SSPO	-0.4355
