Hybridization REF	TCGA-AR-A1AY-01A-21R-A12P-07
KIAA1128	1.27125
USO1	-0.470333333333333
NUDT4	-0.298
CLDN1	0.578571428571429
OR4Q3	0.265
FASTK	-0.508666666666667
ICOS	0.581666666666667
LDB1	0.2775
GSTA5	1.8065
ABCC1	-0.119833333333333
FAM54A	0.47725
PCBP2	-0.468666666666667
NUP205	0.20925
ACTA1	-0.983666666666667
GABBR2	2.6595
PIP5K1B	-1.57483333333333
AGXT	-0.857333333333333
RNF181	-0.16225
ATP8A2	-2.01625
AFTPH	1.379625
FGF21	0.23875
FCER1G	2.50375
SNTB1	0.73525
SLC24A3	0.5085
TXNL4B	-0.0397
RPL10L	-0.46
LOC389517	-0.923631578947368
TSGA13	-0.785
SHOX2	0.0431666666666667
ITGA7	-0.3979
KCNIP2	0.2352
KLF13	-0.0248
ZFAND2A	1.15175
CEACAM1	1.164
PFKFB4	-1.668
MED19	0.1685
LRRC57	0.339166666666667
RNF11	1.458
ANKRD32	-2.237
P117	-0.19275
OBFC2A	0.513
POLD3	0.56675
RAB18	2.815625
TPH2	-0.0488333333333333
PHB	-0.9833
JDP2	0.0301666666666667
MORF4L1	-0.0935
POU2F1	-0.66675
CNNM2	-1.81518181818182
LOXHD1	-0.18775
ZC3H15	0.11675
ELK3	-0.777
FAM111B	0.86825
CBLC	3.20266666666667
SBNO1	1.02
ANKMY2	-0.5455
PLEKHA5	0.84475
DHX58	-0.371666666666667
ARCN1	0.892666666666667
TREML1	0.1048
KNCN	-0.0175
SEC24A	-0.311
PSCA	0.17675
MGC24125	0.434
DNA2L	-0.1735
CIB4	0.288375
HIGD2A	-1.56016666666667
TBX6	-0.363166666666667
TTLL5	-1.30583333333333
SGK3	1.8805
GCN1L1	-0.6245
AMOT	1.3626
LDOC1	0.335833333333333
NRK	1.0882
ASB9	-1.29425
NAT1	-1.1874
TRAFD1	0.52425
PEAR1	0.138166666666667
FAM36A	0.995125
OR1S2	0.262833333333333
LOC388323	-1.60525
PGS1	-0.6365
LEPREL1	-0.37075
TFF1	-4.898
HAP1	-0.062
EPHB2	-0.8275
ACTG1	-0.4475
ZFP42	6.1235
HAVCR2	-0.2096
NME1	-1.337
SNX26	-0.304833333333333
LACTB	0.2355
ZKSCAN2	-0.570875
C5orf35	-0.54975
ANKS3	-0.826
RBM28	-0.37925
DKFZP586P0123	-0.37325
HNRNPA1	-0.165
BCAS3	-2.39058333333333
FLJ20184	0.624
POLA2	-0.318666666666667
TMC7	0.0315
HSD17B6	2.741
ZNF658B	-0.177666666666667
TTTY10	0.0676
RANBP9	1.093
CPNE7	-2.8535
EVL	-1.54452941176471
LNX1	-1.55275
IFNA21	-0.2552
CFD	-1.12875
PYCARD	0.44
MYBPC2	-1.0295
ENPP3	-2.22633333333333
ACSL4	-0.582
LOC440258	-1.28066666666667
TMEM176B	4.70416666666667
SOX2	-4.2205
SCO1	0.124666666666667
COMT	0.93875
AOC2	-0.0932499999999999
PDLIM5	0.960357142857143
SPHK2	-0.7325
NXPH2	3.0485
GPR108	0.331
RAD51L1	-1.032
TMEM54	-0.21575
LETMD1	-1.69677777777778
SLC6A17	0.15675
KRT75	0.4045
STT3B	-0.004
CD3EAP	0.8655
TMEM63A	0.6505
DUSP13	-3.457
CD1C	-1.95483333333333
LASS2	0.278166666666667
AVP	-1.071
PITPNM1	-0.662625
FLJ22795	-0.837
MCTP1	-2.81725
TRIM68	-2.39133333333333
UCK2	0.735833333333333
ABHD1	-0.22175
FAM50A	-0.73775
RNASEH1	-0.6305
PCP2	-0.372833333333333
OR52H1	0.1485
C20orf149	-1.7105
RBP5	0.0436666666666667
HYAL3	0.13275
CLPB	-0.57375
SMNDC1	0.7605
DONSON	-0.147833333333333
FLJ27523	1.14966666666667
BARHL2	0.411
SLC30A9	0.756166666666667
TMPRSS11B	0.0413333333333334
E2F8	-0.306166666666667
CCDC25	-0.177833333333333
C14orf48	-0.4436
C20orf116	-0.693875
TSPAN11	-0.2145
YIF1B	-0.969833333333333
FAM12B	-0.0706666666666667
OR1L6	0.1595
HPN	-3.3028
NBN	1.4135
C14orf94	-1.57466666666667
OCLM	0.3205
ZSCAN18	-0.534
L3MBTL	-1.9765
TSTA3	1.183
RAC1	0.649
C19orf15	-0.1864
NFE2	-6.00425
KLK14	0.095
ARSF	1.3815
MAST2	-0.469
AMICA1	1.01183333333333
GTF2A1	-1.42557142857143
ATP1A3	0.20875
TC2N	2.5904
PNKP	-0.56175
ODZ2	-0.647125
MATR3	0.889625
S100P	-3.05025
KRT82	0.774
CA13	1.8868
PROZ	-1.36
AASDH	-0.263125
C19orf40	0.8205
DCK	0.0684615384615385
FAM5C	2.8095
SLC6A4	-3.0595
MID1IP1	-0.746875
TESSP5	-0.5855
TMOD4	-0.2285
DOCK2	0.7085
TUG1	-0.1795
NUP214	-1.67175
DPYSL2	0.684636363636364
GOLM1	0.626833333333333
MPFL	-0.85825
SOX13	-0.155
SDCCAG8	0.7111
KEL	-2.05933333333333
NUP210L	-2.993
GK	0.0165
DNAJB1	0.17925
ALPK3	-0.9135
CHID1	-0.3844
CYLC2	-0.5034
IKZF5	-0.19475
C8orf51	0.406333333333333
PPM1J	-0.77075
GIMAP8	1.191
GPR101	0.7895
NR2F1	-2.7665
ACAD8	-0.20125
RBM35A	2.0865
GNAI2	-0.0471666666666667
METTL8	-0.2735
SLC39A7	0.20225
FBXO8	-0.2635
CAMK1	-1.5515
RFC3	-0.264875
FAM129A	-0.434071428571429
ILF2	0.90375
FGFBP3	-1.678625
NOM1	-0.5944
PSMA3	0.37675
ASCC3	-0.1354
ZYG11A	1.3605
SOX21	-1.069125
LYRM1	1.44625
DEFB1	1.3175
LOC91431	-2.18183333333333
OR7C2	0.8655
FAM46B	1.426625
TMEM18	-1.389625
ARHGAP30	0.3425
TMEM86A	0.986833333333333
EPHA2	-0.8875
C10orf46	0.9746
TCHH	-1.04883333333333
C3orf30	0.2565
LOC285636	0.779166666666667
PAIP2	0.11075
CYP2U1	-0.67025
C12orf34	0.035
SARS2	-1.40716666666667
ZCWPW1	0.02425
SAMD12	0.3325
KIAA1430	0.020375
ACAT1	0.46725
MEOX1	0.77
ADAMDEC1	7.352
PHKA2	-1.32
CARD11	-1.948
CALML4	-0.347
TSSC1	-0.812
TMEM45A	2.04188888888889
MPP7	-0.1515
POU1F1	-0.0467499999999999
SLC2A13	-0.5633
FBN2	-1.44164285714286
ZC3H7A	-0.4883
LAIR2	-2.48233333333333
ST3GAL1	0.126166666666667
LCT	-2.05975
GEMIN8	-0.0471666666666667
KLF16	-0.757
HIF3A	0.147
FAM44A	-0.833285714285714
AQP10	-1.861
PLA2G2A	0.1925
FOLH1	2.15133333333333
C20orf186	-0.6475
MAPKAP1	0.10675
SPRR2D	-1.6985
UBQLN4	1.9235
RSHL1	0.318666666666667
PIAS3	0.199875
MRPL24	0.48125
GREB1	-3.474
FAM27E3	-0.92
NUP62CL	-1.00275
NEUROG3	-1.239
REEP3	0.431333333333333
MARK1	2.277
LMBRD1	0.82825
PRPF19	0.3095
PNMT	-2.143
CTGLF1	-0.74
SLC25A16	-0.389
EIF2B3	0.376
RPA2	-0.00499999999999999
PAK6	1.20166666666667
CCDC26	-3.96585714285714
SEMA3E	-0.904142857142857
MXD4	-0.3313
TNFSF10	2.0639
SMARCB1	0.431333333333333
DTX3L	-0.554333333333333
PLA2G4E	0.547
PPAP2A	-0.1665
ULK1	-0.272
TAS1R3	0.1655
SLC2A3	-2.68427272727273
ARID3A	-2.0235
GNG5	-1.587
ACOX1	-0.38
KIF5B	1.8435
NUP153	0.727
MUC7	-1.1605
CSDE1	0.131571428571429
CLPTM1	0.07125
C3orf23	0.4165
LRRC17	-2.37166666666667
TTYH3	0.529125
ATP5B	0.142
ELF3	2.1581
CPSF3L	-0.399333333333333
ZNF665	1.0975
TLR6	0.7516
GPI	-0.684875
RAD9A	-0.6505
NDST4	-2.85375
AGPAT3	-0.369916666666667
MAGI3	0.522666666666667
ADORA2A	0.507
CACNG7	0.262
CAMK2D	-0.225928571428571
CCHCR1	-1.41075
RPS27A	0.1915
OR10G7	0.838833333333333
GCM2	-0.1855
FAM135B	0.442666666666667
E2F1	-0.8925
PLCB3	1.81275
OR2AE1	0.0275
COIL	-0.322166666666667
CDC25C	-1.59833333333333
RAB11FIP2	0.11925
TSC2	-0.075
CTGLF5	-2.03
CCDC108	0.7435
OR13C4	0.9985
C10orf81	5.34175
PTPRB	0.196
ACP2	0.2995
LAG3	-1.007
MRPL54	-1.59925
LOC201175	-1.2705
ITGB1BP3	-1.96525
SPTAN1	-1.08766666666667
SIPA1L2	0.5985
RCAN2	-1.421
CDX2	1.138
ECOP	-1.43525
ACTR1A	-0.122285714285714
PPARG	-1.83283333333333
BBS10	0.412833333333333
TMEM44	-2.0025
BPIL2	-0.331666666666667
CITED1	-1.847
IRF6	4.764
PRDM4	0.057
RRP9	-0.198166666666667
OR10H4	0.219
IL31RA	0.0393333333333333
GNB1L	-0.780833333333333
MYBL2	1.21575
ZNF407	-0.0538333333333333
PPIG	0.102666666666667
TTC18	-0.31175
RPSA	-0.139
MAPT	0.410875
MRE11A	-0.1895
C8orf37	-0.293333333333333
RASGEF1C	0.588333333333333
STBD1	-0.04475
CTAG2	-0.268
MGAT5B	-1.59533333333333
ECM1	-1.074125
RLN1	0.454
PARP14	-0.0215714285714286
EPB41L1	0.4346
HOXA3	-0.92475
MAGEA9	-4.0475
RPS8	-0.0976666666666666
RPS19BP1	0.86825
FOXJ2	0.899625
C10orf76	-0.449375
IL17RE	-0.48025
C10orf65	-2.77475
ZNF343	-0.792666666666667
FBXO33	-0.207625
UHMK1	0.4016
LY6G6C	-1.228
FGF19	-1.65325
C14orf128	0.246833333333333
IFIT2	1.292
TIGD1	-1.33475
S100G	0.292
GUCY1B3	3.797
NR3C1	-1.5117
CORO1B	-0.148666666666667
PARP11	0.5095
DNALI1	-0.528833333333333
OR4N4	0.467625
MAP2K6	-0.5466
FSTL4	0.41325
ANKRD47	-0.19225
TMEM171	-0.9625
PNLIP	-0.291666666666667
YY1	-0.375833333333333
CCDC138	-0.552333333333333
AASDHPPT	0.1207
CKS1B	1.3426
MCM3	0.1575
ANAPC7	0.837833333333333
FAM110A	0.07075
CDC37L1	2.351
THTPA	-0.726
NBPF20	-1.0865
WDR24	0.394
NPTX2	-4.5445
CBLB	0.172
CETN1	0.1402
RPUSD1	0.324
FAF1	0.11875
CDK6	-0.8094
HMX2	-0.0905
CSK	-0.839
TEAD2	1.4315
SNAP25	-0.3025
TUFT1	0.4157
TMTC3	0.808833333333333
LCK	-2.00975
SGOL1	1.3965
AKTIP	1.48075
FURIN	1.17375
SOX12	-0.9208
DEFB103A	-1.2645
RAMP1	-2.46475
KIR3DX1	0.037
GAS2L3	0.55075
PDE8A	-1.2562
EDN3	2.94525
GMIP	0.11675
SF3A2	0.00700000000000001
FN3KRP	0.1305
SMAD7	0.81075
RHBDD2	-0.1295
OR11H6	-0.366
PPP1R3B	1.6877
C9orf23	-1.62775
CADPS	0.28025
GOLGA8A	-1.534125
TMEM57	1.92883333333333
RGL3	-3.9605
S100A14	2.259
FGFR2	1.2585
XRCC3	-0.61375
RTN4RL2	0.34875
MGC3771	0.103
GH2	0.794166666666667
BTBD2	0.312
LMO2	-1.3
RDBP	-0.709625
ACRBP	-3.9585
AMY2A	6.1985
DUOXA1	1.47
PTK7	2.12166666666667
TWF2	0.554333333333333
FAM80A	-0.324
TNNI2	-2.99816666666667
GLT25D1	0.4515
OCC-1	-0.73725
CYC1	-0.201666666666667
RPL22	-0.342318181818182
MORN3	1.451
DISP1	0.42225
PRB2	-0.243
CHUK	-0.27125
HR	0.2455
CCDC134	-1.19125
DENND4B	-0.417
C14orf130	-0.606
RAB33A	-2.743
DCST2	0.2025
TNMD	-0.33125
PEX7	0.52175
FAM62A	0.658625
SRD5A2L	-0.21925
IL22	0.0393333333333333
RPS26	0.171
HOXC5	-0.9835
SPATA6	1.35125
FLJ38482	-0.919
ZNF234	-0.16
C18orf22	0.37625
SPATA22	3.2415
THOC1	1.19575
CYP7B1	3.31625
KCNC3	-0.22375
C8orf42	2.1755
ALDH1B1	0.193166666666667
CCDC100	-0.5003
ARMC4	-2.75366666666667
FAM18B2	2.01233333333333
SLC44A1	0.79375
FBXO17	-1.13916666666667
C6orf107	0.25825
C19orf29	-0.44175
ZC3HAV1L	0.169
PARP6	-0.1411
SULT2A1	-3.063
C1orf159	-0.38925
TMC1	0.7065
CHST14	-0.443
GAMT	-2.17066666666667
SMCP	0.112833333333333
TSPAN33	0.777583333333333
MIDN	-0.236
NOX4	2.2895
RNASEN	0.5026
TBX1	0.6605
SALL2	-2.79475
C10orf35	0.91425
CYP2E1	-1.2355
LRFN2	-1.525
ACO1	-0.517333333333333
IQCG	2.6741
MEGF9	0.3675
TM7SF4	-0.785666666666667
PLEKHA1	0.6522
STK33	0.02575
C1orf210	0.035
SNUPN	-0.3027
KIAA0406	0.5393
C20orf29	-1.54275
TMEM55B	-0.80475
OSTM1	-0.6580625
CLCN7	-0.61925
OTP	-0.4265
FLJ23049	-1.7655
HEATR4	0.107
MAP3K10	-0.906
PCDHGA9	-0.7855
AMDHD2	-0.925
LCTL	-2.8255
PDCD2L	-0.553
CABLES2	-0.76175
SLC5A9	-0.25075
CLCA2	-1.26883333333333
MGC16025	-0.9025
STRAP	0.824833333333333
C20orf196	-2.0885
RRBP1	1.64533333333333
NAT13	0.804
MAT2B	0.268875
CSNK1D	-1.04283333333333
KIR3DL1	-0.24125
PRKAG3	2.7985
ZNF599	0.037
PRM3	0.7925
PER2	-0.255
ASPHD1	-2.4185
PRMT6	-0.479
KCNE1L	-1.30635714285714
FAM118A	-0.5395
TAF4	-1.266
NDUFB6	0.608
TRIM9	-1.3994
PMFBP1	-1.28625
KY	null
DKFZp762E1312	-0.989090909090909
CSMD1	0.079
TBP	-0.198666666666667
OR1Q1	1.42233333333333
RETNLB	0.5315
HPGD	1.39364285714286
DNAJC12	-2.70916666666667
FKBP1B	-3.32
ANKRD24	-0.6316
CXXC5	-1.48466666666667
IL3	0.698142857142857
DRAM	1.1835
PTCH1	-1.84671428571429
TP53BP1	-0.78125
SLC17A7	0.35775
COL25A1	-1.03744444444444
AMACR	0.0943333333333333
RHCG	2.23075
VPS13A	-0.903166666666667
FAM55D	0.875
PRPF38B	-0.580454545454545
OSBPL6	-0.96925
PFDN5	0.3015
CMTM6	0.440875
KCNK12	-1.8055
RP2	0.8965
C16orf52	-0.713
PICK1	0.397
IFNE1	-0.1866
SEMA4B	-0.3445
TYRO3	-1.9795
OR12D2	1.221
CSNK1A1	-0.00375
FANCF	1.695
LONP2	-0.406125
TBL1Y	-2.783
LDOC1L	0.421625
CCNC	1.43475
C3orf60	-0.76825
CHKA	-0.34275
UBAP1	-0.80625
MAP3K1	-0.074
ANKRD9	-2.60025
FAM92A1	1.73416666666667
GAB2	-0.206625
AZU1	-0.629
DIS3	-0.611916666666667
C21orf109	-2.14433333333333
IQCB1	0.39325
SPATS2	0.771666666666667
EFCAB3	-0.01925
PRB3	0.237875
FUZ	-0.8245
ZNF813	1.0445
BMPER	-1.04616666666667
HEG1	-0.7785
ALS2CR11	-1.79975
SURF2	-0.79025
PSMC1	-0.0146666666666667
OR2D2	-0.359
SLC7A8	-1.23833333333333
C4orf40	0.46
SPATA7	0.0695
MAZ	0.971666666666667
PIN4	0.58275
PDE1A	-1.779
TAF6L	-1.2945
OR2T34	0.549
KIAA0284	0.201
ACADS	-1.12390909090909
MKRN2	0.892
C18orf56	-1.2465
MS4A6E	0.736
GALNT4	0.4783
C22orf31	-0.52
FLJ36070	0.1465
PSME4	1.76675
TFG	0.7794
EPHX2	0.13875
ANXA5	1.11675
KRTAP1-1	-0.0532857142857143
BATF	-1.9925
KARS	0.54075
MSTP9	-0.393
GPR26	0.86525
CCDC72	0.85425
TEF	0.194333333333333
FOXK1	0.0267
PRLHR	0.1405
EMX1	0.02125
C11orf30	-0.270125
ICK	1.65128571428571
THSD7B	1.6125
C21orf100	0.193
DUOX1	1.967
EFCAB4B	-0.784666666666667
UBE2G2	-1.12216666666667
C3orf54	-0.7145
PARP1	0.81425
FAM60A	0.387
C6orf146	-0.576
OR9K2	-0.465
DDX55	0.483
RPS15	-0.18025
ZNF618	0.7469375
DKFZp686D0972	2.0575
SSPO	-0.512
SHFM3P1	-0.0921666666666667
CPA6	-0.627666666666667
JAG2	1.75075
DEFA3	-0.55125
PPBPL2	0.217833333333333
CD34	3.17325
SLCO4A1	-3.214125
AFG3L1	-1.9485
SHD	-0.8415
RP13-122B23.3	-1.08883333333333
PRKCSH	0.448666666666667
DPH5	-0.296666666666667
HLA-F	2.910625
TBC1D4	0.21425
RIG	0.484
GLUD1	-1.60166666666667
HNRPCL1	1.8315
HBXIP	-1.506
RNF207	0.269
APIP	0.6905
PLA2G3	-2.52483333333333
CCDC84	-0.86
MYLIP	-0.0236153846153846
PHIP	0.71975
AARS2	-0.386
DHX32	0.061
SCAPER	-1.334
MEN1	0.0255714285714286
NIP7	0.4135
FLJ25404	0.239
FASTKD3	0.445
TMEM158	-0.591
RARA	0.28075
BDH1	1.36
ANKRD16	1.46625
CARM1	0.008
SS18	1.896
IKZF2	-1.07675
MYD88	1.122
PML	-0.1184
TAF1A	0.61675
CBFB	-0.39375
HIST1H3H	-1.577
C7orf29	-1.841
COMMD4	-1.16433333333333
DPP3	-0.2615
DAB2	0.79825
LOC388882	-0.496
YPEL4	-1.77325
AGBL3	0.5305
LRP6	0.8224
SERPINH1	1.60725
TLE1	-0.65375
CD244	0.19
ZDHHC15	-0.05675
MGLL	-2.0011
PLDN	-0.3505
LOC654346	0.785
FAP	2.9365
GPR37	0.9925
SCARA5	0.685666666666667
EBF4	-0.308
LSM6	-0.11075
MLLT1	0.118375
SLC5A12	-0.1025
A2BP1	-1.74416666666667
COPS5	1.62066666666667
TPM4	0.886785714285714
TNFSF4	0.279666666666667
ACADSB	-1.24094444444444
HERPUD1	-0.67
BCL2L11	-0.873833333333333
CEP78	-1.090125
CDCA3	-0.037625
WBSCR19	-0.0623
MYO1A	-1.46
PPEF1	0.5125
LOC440348	-0.4405
CPEB2	-0.383625
BPTF	-0.88925
RPL21	-0.23825
GSX2	0.624
ADPRH	0.677666666666667
C17orf68	-2.13733333333333
KCNS1	1.1145
MLLT6	-0.0887
PIWIL4	3.3975
RNF26	-1.3705
RAP1B	1.821125
ADAMTS1	-1.1187
ZNF571	1.13675
P2RY6	-1.17875
TRIM21	0.6375
CADM3	-0.35475
NLRC5	0.410166666666667
ADRA2B	-0.3998
LOC90835	-0.5455
PCF11	-0.1135
LOC400451	-2.65125
GLTSCR1	-0.196
C17orf88	-0.3185
CDH16	-0.355666666666667
FGF7	1.8745
PCSK4	-1.574
NPC1L1	-1.845
TAT	0.603375
TBCA	-0.14775
MGC33407	0.1155
GPR115	-1.208625
CYGB	-0.289
FNBP4	-0.085
C12orf43	-0.211
CBL	-0.9872
CLECL1	-1.02675
PPAPDC1A	0.9675
WDR25	-0.721666666666667
SGCA	-0.8185
C22orf29	-0.263166666666667
YIPF1	0.48275
GALK2	-1.1255
RAB3B	-2.345
LOC440087	-0.7795
UCP1	-0.032
REEP5	-0.15125
FADD	0.7217
FOXA1	-3.51075
CACNA1A	0.182666666666667
ABI1	2.44466666666667
GRIN2D	-1.82275
SLC1A4	-0.925333333333333
LOC401127	-0.46925
HINT2	-0.32
PLD4	-0.441666666666667
ZNF286A	1.05375
ENY2	-0.275
IL1F6	0.947
PXDNL	3.91675
C20orf79	0.550666666666667
TNFSF13B	2.49066666666667
DENND3	-0.778875
JARID1D	-3.10575
HIST1H2AK	-0.245375
LOC93349	-0.7275
SSH1	-1.2102
ENSA	1.81375
LOC219854	-0.289833333333333
CKAP2	0.0803
DKFZP564J102	0.0528333333333333
MGC87315	0.945833333333333
HNRPAB	1.18825
AMH	-3.3125
ZNF526	0.6545
BRUNOL5	0.1203
CACNG3	0.198666666666667
TRPM1	-1.6585
PPP2R1A	1.621125
COL2A1	-0.98375
DDN	-0.0366666666666667
FLJ25770	0.267181818181818
HK2	0.170642857142857
ELOVL6	-1.637375
MDK	0.19
EPHX1	1.65325
RASSF2	0.118
DKFZP434B0335	-0.935
DLX3	-0.187375
PRTN3	-0.274
AVPR1A	1.14733333333333
C21orf125	-1.62466666666667
TNFAIP8	-0.0333333333333333
GNB2L1	0.3155
CALCRL	2.94325
SCGB2A2	6.383
UBXD7	-0.7825
ZNF674	1.906
TMEM35	0.653625
BRSK2	-0.819
HECTD3	-0.233666666666667
TMEM188	-0.442583333333333
LGALS9	0.7125
SCARB2	0.399333333333333
USP34	0.25725
C17orf28	0.014
ZDHHC23	0.23775
AQP12B	1.6
SLC16A3	-2.99975
APLP2	1.52175
ITIH2	-5.65125
MICAL3	-0.5405
TNNI3K	0.283333333333333
HDAC2	2.252
PRR7	-1.0437
THBS2	-0.1075
LOC751071	-0.7435
CA2	0.2845
RANBP17	2.321
RLN3	0.779666666666667
CRYZ	-0.170833333333333
GBAS	1.391
TAS1R1	-0.33975
MPZL3	0.6415
PCDH8	2.12575
HSP90B1	1.83891666666667
KCNK15	-1.6755
TNIP2	-0.0338333333333333
GPR146	-0.71775
NOL6	0.1965
SPC25	-1.34533333333333
STEAP2	2.47492857142857
VAMP3	0.342333333333333
TCIRG1	-1.074
ZP4	4.62683333333333
PARL	1.1645
TRIM39	0.3095
KIAA1305	0.335
CRNN	1.0128
GRN	-0.1975
HSH2D	-3.65625
SCAMP1	1.0666875
KIAA1913	2.10225
PTS	1.17
BANP	0.743571428571429
PRKACG	0.384
ADCY6	0.427
C16orf46	3.9375
CYP51A1	-0.336125
DDC	-2.4445
ANPEP	-0.4205
PROM1	3.765
SIGLEC10	1.297
COPG	0.658
FAM26E	0.624375
TRIP4	-0.27025
SNX3	2.07816666666667
C1orf175	0.170333333333333
PPY2	-0.79575
C14orf152	0.37775
FTSJ1	-0.0206666666666667
DST	-0.03745
LOC554235	-0.48825
GLRX5	-0.5975
C20orf12	1.0117
CAB39	-0.422333333333333
MSH2	1.0625
PIP4K2C	1.235375
CYLD	0.447125
WTAP	1.600875
MGAT4A	-0.190222222222222
TSC22D4	-0.6648
CHRM2	-1.076
PPYR1	0.532833333333333
CCNH	-1.498
RRM1	0.66475
ECAT8	-2.9785
LOC400120	-0.348
GABRA4	0.373666666666667
C14orf4	1.76916666666667
C1orf59	0.91725
CTDSPL	-0.333333333333333
NHEDC2	-0.628
PDE11A	-1.2782
KLHL29	-1.6485
CD5	-2.238
TSPAN9	0.392375
WDR67	0.5295
THUMPD1	0.5877
C18orf17	-1.05425
CLYBL	0.189666666666667
FLJ13231	-0.365875
CMBL	-2.348875
LECT2	-1.02325
NKAPL	1.0645
LOC654780	0.666
OR4C6	0.4705
RAB30	0.351666666666667
TSSK4	-0.6885
TMEM163	0.2955
OSBPL11	0.749583333333333
GNB5	-1.54733333333333
CCL21	1.25525
C1orf121	1.35266666666667
FMO2	3.86533333333333
RPTN	1.4305
MSTN	0.8165
VCL	-0.634785714285714
FYTTD1	0.1585
C11orf1	0.02875
CCDC88C	-0.2684375
HFE	-0.298666666666667
MOGAT1	-0.495
FAM125B	-1.5165
IRGQ	-0.273
RAVER2	0.52525
AKAP5	-0.838
SSSCA1	-0.115
C11orf63	0.5145
ACTG2	3.4307
PORCN	-1.1445
DTL	0.720818181818182
TMEM151	0.091
FAM122C	-0.5755
RSAD2	2.2213
BAT4	-0.6965
KRTDAP	-1.242
MYH8	0.083375
CRTC3	0.1705
LRRFIP2	1.8248
INTS4	-0.515166666666667
TTN	-1.4155
SLC26A5	0.354
PLLP	-1.165
RGS6	-0.61725
SRGAP3	-0.373375
ZNF525	-0.0233333333333333
NBR2	-0.578
C13orf1	-0.339
ZNF137	0.7405
CEP27	-0.78075
BEST2	-0.228
RNF121	1.022
DMRTC2	0.867
C8orf76	0.65425
BCCIP	0.923625
MEST	-3.70875
HTRA2	0.4115
ANGPTL2	0.06225
ILKAP	0.0603333333333333
ERAS	-1.6575
HBS1L	-0.45725
CPA5	0.4205
TMEM30A	1.70416666666667
CD300LF	1.41333333333333
WISP3	3.857
CRK	-0.155642857142857
PDS5A	0.7009
BRPF3	-0.118833333333333
NEDD9	-0.76675
SMPDL3B	1.24
PSG6	-0.176666666666667
PSMD13	1.06075
ETV5	-0.688375
OR51A4	null
BTBD7	-0.255666666666667
GSTO1	-2.4085
hCG_16001	0.394
MAD2L1BP	-0.3425
COX6A2	-1.5075
SCNN1A	-1.7395
LSM1	1.02283333333333
UGT2B11	-1.2665
IDUA	-1.897
PPP2R3C	0.244666666666667
COX11	-1.2
PDZK1	-3.773
ZNF443	0.0876666666666666
MGC21874	-0.597166666666667
ZNF323	1.7333
KRTAP10-10	0.172
CXCL6	0.8705
SLC34A2	2.9693
LOC284402	-0.0175
NPTN	-0.60775
UPP1	-1.86241666666667
SLC6A9	0.1765
OR7G3	0.69825
CISD1	-0.263833333333333
ZNF545	0.8505
SYT14	-0.6795
NT5C3L	0.0548333333333333
ZNHIT3	-0.535833333333333
SNRPD3	0.964
KIAA0701	0.728125
UNC93B1	-0.561
GMNN	1.124
SPCS2	1.11733333333333
LOC388524	0.79
NAPRT1	-0.995375
PNLIPRP1	3.662
OR6V1	0.344
PRKAB1	-0.869
EYA4	-3.75766666666667
KIF20A	-0.95925
ALG10	0.744
ITPKC	0.479166666666667
LMX1B	-0.541
RPUSD4	-0.0386666666666667
C7orf34	0.503
DLGAP2	0.109
PFN1	-0.8583
MICALL2	-0.806583333333333
ZNF654	0.75
SS18L1	-0.602125
SLC16A8	0.355
MKI67IP	0.337666666666667
ITGB3	-0.897375
TCEA3	0.603
CEP152	-0.7996875
CLIP1	0.804875
ZNF75	-0.0420625
ATP5C1	2.54516666666667
NUDT5	1.21366666666667
PSCDBP	-0.504
UBP1	1.20125
RBM27	-0.46125
C13orf15	2.3345
ZNF282	-0.121333333333333
ZNF222	0.3097
COL10A1	5.9875
PRDM15	-0.557125
TTTY5	0.197
FAM9C	-0.0378
C20orf67	-0.8465
GNG13	1.17
F12	-0.809
C1orf41	0.41275
CPXCR1	1.4915
GSK3A	0.425375
SUPT6H	-0.256833333333333
PI16	-1.04633333333333
ELL2	-1.13925
C9orf167	-2.39183333333333
PVRL3	-0.1415
FLJ38596	0.55675
ADAM20	-0.129
GPR89A	3.1295
GPR87	-0.2955
ZNF30	1.04375
SMR3B	1.09675
ZNF770	0.372875
TRPC4AP	-0.399333333333333
DKFZP686E2158	0.421333333333333
C2orf28	-0.7175
FREM1	-2.1505
LAMA4	-0.266333333333333
ADPRHL2	0.377
EIF4G2	1.53616666666667
GUCA1A	0.6285
CTNNA2	-0.962285714285714
NUDT15	0.4925
CEPT1	-0.0538333333333333
ZNFX1	0.3067
CCDC92	1.2275
TDRD1	-2.1725
KCNK5	1.7485
ETNK1	0.241583333333333
LTA	0.3585
TTPA	0.5242
B3GALNT2	1.082
SC65	-0.556
PEX5L	-0.266857142857143
EPS15L1	-0.73
MGEA5	-1.1335
HIST1H3A	2.12025
ING1	1.604125
BCAT1	-1.786625
ORC6L	-0.866727272727273
KLK11	-5.74883333333333
C19orf28	-0.593625
DNER	-2.284625
MED22	-0.718142857142857
ETV6	2.87891666666667
CHAC2	0.937
CD300E	0.027
CEBPB	2.87583333333333
ZNF398	0.53475
LRCH3	-0.053
HMGA1	-0.608833333333333
CAPN7	0.942333333333333
MGC5566	-2.428
CCL3	2.93925
NANOS1	0.606125
ZFYVE19	-1.2355
APITD1	-0.742833333333333
PARD3	0.819
IRAK4	0.827166666666667
SERPINI2	0.907
CEP170L	0.14825
TTC9	0.8555
MYOM3	-1.143
MLPH	-3.1725
