Hybridization REF	TCGA-E2-A15C-01A-31R-A12D-07
C14orf65	-0.347583333333333
KLB	-2.9885
C1orf65	0.55625
ZFYVE28	0.56325
NSUN6	0.6165
KIF27	0.590166666666667
SYTL2	-0.0708333333333333
UBXD2	0.1421
OR6T1	0.6155
CCDC91	0.386214285714286
GRID2	-0.247
CALN1	-0.9315
ZNF423	0.44925
PSMB4	-0.826333333333333
XPNPEP3	-1.25866666666667
ARPP-21	-2.7802
SART1	-0.5985
RACGAP1P	-2.6985
SPTA1	-3.9785
C6orf113	-0.2655
C7orf16	-2.8835
CHST7	-0.800166666666667
C21orf29	-1.458
SEMA6D	-1.508875
PCMTD1	2.784875
KIAA1754	-0.4775
MYCN	0.0139375
KCNJ3	-0.35575
MAPK13	2.7093
ERO1LB	-1.03725
NTF3	-1.47516666666667
NKX6-2	-0.35325
GTF2B	0.05825
GSPT1	-0.791333333333333
GUSB	-0.0525
LOC221091	-0.5745
LIG1	-0.644
EXTL3	-0.671166666666667
NID2	-1.1035
TTC29	-1.269
TMEM97	-0.867125
EXTL2	-0.789666666666667
SUZ12	0.084375
IL1F8	-0.1115
KRT18	1.18563636363636
MRPS16	-0.42375
PI4K2B	-0.40475
LACRT	0.128
OR51F2	0.3225
JMJD2C	-0.384625
KGFLP1	1.76925
CDK5RAP3	-0.0162
YTHDF2	0.9575
GGCX	0.627375
ARPC4	0.33
EGLN2	0.850166666666667
KBTBD4	0.334285714285714
ROBO3	-0.3386
DEFB118	0.954
KIAA1543	1.9475
RTCD1	-0.556666666666667
MZF1	0.567
C18orf26	-0.111
CNIH4	-0.665166666666667
ZFP2	3.046
HTATSF1	0.341
WFDC2	1.923625
NDUFA7	0.3475
TTC22	0.245166666666667
FAM40B	-3.13
DCPS	-0.455
SH2D1B	-1.51633333333333
MRGPRE	0.414
SBK1	1.1675
UNQ6411	0.534
OSBPL9	-0.19625
NUP107	-0.719
MYOZ3	-0.0501
PDE4B	0.147
FAM113A	-0.319
IDH3G	-0.1325
FBXL7	0.678125
ARFGAP3	-0.26725
MAPRE2	-1.58261538461538
IL1RN	0.9092
KIF13A	-0.13
RAC3	-0.8275
TCTE1	-0.4115
TMEM14B	-0.315333333333333
ADIPOR1	-0.444833333333333
GRINA	1.235
CLIP4	1.146
LRIT2	0.4515
TFPI	-2.965
FABP6	-1.87575
SLITRK2	-0.0761
HKR1	0.5125
SMTN	-1.12975
C1orf75	-0.15075
CD209	0.153125
CYB5R2	0.4005
DNTTIP2	-0.414666666666667
CSGlcA-T	0.463625
GABRB3	-0.664
PCBD1	0.552666666666667
TAF3	0.262916666666667
HOXD3	-0.268166666666667
GIPC3	-0.0208333333333333
P11	0.4924
BFSP1	-0.96825
LCP2	0.0525
TAS2R8	-0.121
SEZ6L	-0.229
NR2C1	-0.7875
EXDL2	0.6344
TNFRSF13B	-1.457
MKI67	-3.57625
GLS	-0.9015
C7orf54	-0.7706
LGALS13	0.4245
IL4R	1.06775
SEC11A	-0.00383333333333334
SPP2	0.2845
C18orf32	1.42775
CLSPN	-2.50316666666667
SPAG1	0.616875
C9orf82	-0.022
TM4SF1	-1.31308333333333
EMILIN2	0.2125
SMG7	-0.312666666666667
TAS2R13	-0.046
ZNF628	0.1095
DZIP1L	-0.676833333333333
ANKRD13A	-0.1748
VASP	1.15475
ZCCHC11	-2.360875
SYPL1	0.165875
MGC34774	-0.52875
C4orf28	0.419
KIAA1211	-1.25575
RPS27L	0.3715
TATDN3	-1.0025
PDCD1	0.591
OR5P2	0.712
IFIT1L	1.002
MIPOL1	1.3765
OR51D1	0.34725
C1orf92	-0.772666666666667
LAMP2	1.12355555555556
CAT	0.467833333333333
C16orf80	-1.133
C15orf32	0.814
ZNF746	0.05
C1orf76	-2.6795
ATXN1	0.99175
LAMC2	1.81875
SLC2A7	-2.0465
CPOX	-1.801
APH1B	1.463
LOC442245	-1.8505
CTNND1	1.07522222222222
GABRG2	-1.404375
MADCAM1	-0.192333333333333
F5	-3.10625
SEMA4F	0.236666666666667
NUDCD3	0.123125
PDZD11	-0.358
TRIML1	0.304
GCNT3	-3.58683333333333
TMEM120A	0.907
CNDP1	1.136
N4BP1	-0.321
SLC35F2	-2.02425
LCP1	-0.700333333333333
IGBP1	-0.282
DCAKD	0.896875
ELA2A	0.07
C12orf56	-2.704
PITRM1	-0.302642857142857
GUK1	-0.0721666666666667
RASSF8	-2.082625
OR2A14	0.08675
ADM	-2.47377777777778
FGD3	3.65333333333333
GHRHR	-0.160666666666667
RHPN2	1.37125
C4orf39	-1.16816666666667
VPS72	-0.35725
SERF2	0.984888888888889
CD22	1.10483333333333
CD47	0.2463
PPIC	0.883833333333333
IMPDH1	-0.29
ACP6	-0.389833333333333
PRKACA	-0.299875
PPP1R1A	-1.471125
TRPV3	-0.01225
ASXL1	-0.212375
C17orf55	-0.604666666666667
FXYD1	-0.634833333333333
LMOD2	-0.5935
ANKRD33	0.313
LCE2C	-0.065375
ZNF620	-0.896
DKFZP566E164	-0.774
VSIG2	1.06075
KIAA1128	0.72575
USO1	-0.157666666666667
NUDT4	0.385428571428571
CLDN1	0.0397142857142857
OR4Q3	0.3265
FASTK	-0.242666666666667
ICOS	1.18133333333333
LDB1	0.227
GSTA5	-1.35275
ABCC1	-2.09316666666667
FAM54A	-3.878
PCBP2	-1.006
NUP205	-1.429
ACTA1	1.53466666666667
GABBR2	-1.85875
PIP5K1B	-0.632833333333333
AGXT	-1.19233333333333
RNF181	0.26025
ATP8A2	1.03
AFTPH	1.3550625
FGF21	-0.02075
FCER1G	2.3245
SNTB1	-2.3015
SLC24A3	2.353625
TXNL4B	-1.7481
RPL10L	-0.5495
LOC389517	-0.16385
TSGA13	-0.3845
SHOX2	-1.87683333333333
ITGA7	-0.8399
KCNIP2	-0.28
KLF13	-0.3711
ZFAND2A	-0.313
CEACAM1	0.340928571428571
PFKFB4	-1.6
MED19	0.83775
LRRC57	0.627
RNF11	0.7905
ANKRD32	-2.2245
P117	0.292
OBFC2A	-0.931333333333333
POLD3	-0.175416666666667
RAB18	1.577375
TPH2	0.0585
PHB	-0.0322
JDP2	1.5335
MORF4L1	-0.0439
POU2F1	-0.407
CNNM2	-1.30266666666667
LOXHD1	0.204333333333333
ZC3H15	-0.8235
ELK3	0.230333333333333
FAM111B	-2.49425
CBLC	3.46516666666667
SBNO1	-0.26125
ANKMY2	-0.33525
PLEKHA5	-0.548
DHX58	2.181
ARCN1	-0.2955
TREML1	0.3344
KNCN	0.0305
SEC24A	-0.70825
PSCA	2.05825
MGC24125	0.873
DNA2L	-2.3465
CIB4	0.3625
HIGD2A	-0.6855
TBX6	0.251
TTLL5	-0.543833333333333
SGK3	2.24383333333333
GCN1L1	-0.23375
AMOT	0.682
LDOC1	-0.551333333333333
NRK	-0.2022
ASB9	-2.7925
NAT1	5.2076
TRAFD1	-0.2265
PEAR1	0.2175
FAM36A	-0.087875
OR1S2	0.417166666666667
LOC388323	-1.542
PGS1	0.049
LEPREL1	-2.636
TFF1	0.214
HAP1	0.234
EPHB2	0.153
ACTG1	0.924
ZFP42	-3.22
HAVCR2	0.455
NME1	-0.8865
SNX26	0.08425
LACTB	-0.242
ZKSCAN2	0.477875
C5orf35	0.69275
ANKS3	0.974
RBM28	-1.1815
DKFZP586P0123	-0.9895
HNRNPA1	0.147
BCAS3	-1.11775
FLJ20184	0.3615
POLA2	-1.76116666666667
TMC7	-1.37133333333333
HSD17B6	1.9785
ZNF658B	0.832666666666667
TTTY10	-0.787333333333334
RANBP9	-0.849333333333333
CPNE7	-1.56383333333333
EVL	2.36247058823529
LNX1	0.774166666666667
IFNA21	-0.0555
CFD	2.11075
PYCARD	1.27766666666667
MYBPC2	-1.3115
ENPP3	-1.75716666666667
ACSL4	-1.82025
LOC440258	-0.952
TMEM176B	3.26933333333333
SOX2	-4.542125
SCO1	0.177166666666667
COMT	-0.1755
AOC2	-0.76025
PDLIM5	0.972785714285714
SPHK2	0.796
NXPH2	0.458
GPR108	0.483
RAD51L1	-0.08
TMEM54	0.771
LETMD1	-0.705555555555555
SLC6A17	0.7745
KRT75	0.687
STT3B	-1.14366666666667
CD3EAP	-0.118833333333333
TMEM63A	0.51425
DUSP13	-2.1695
CD1C	-0.00983333333333334
LASS2	-0.338
AVP	0.445
PITPNM1	-1.340125
FLJ22795	0.1955
MCTP1	-2.29175
TRIM68	-0.683666666666667
UCK2	-1.8035
ABHD1	2.1515
FAM50A	-0.04375
RNASEH1	-1.24183333333333
PCP2	2.29766666666667
OR52H1	0.1805
C20orf149	0.72875
RBP5	-0.16
HYAL3	-0.835
CLPB	-0.99
SMNDC1	-0.25425
DONSON	-2.81516666666667
FLJ27523	0.34975
BARHL2	0.0935
SLC30A9	0.165
TMPRSS11B	-0.18175
E2F8	-2.243
CCDC25	-0.448083333333333
C14orf48	0.253
C20orf116	0.546625
TSPAN11	0.0775
YIF1B	-1.2525
FAM12B	0.4065
OR1L6	0.446
HPN	0.3309
NBN	0.6005
C14orf94	-0.592333333333333
OCLM	1.4325
ZSCAN18	1.682
L3MBTL	-0.4052
TSTA3	1.31033333333333
RAC1	0.13025
C19orf15	0.881833333333333
NFE2	-3.997
KLK14	0.486
ARSF	0.0365
MAST2	0.0116666666666667
AMICA1	1.78766666666667
GTF2A1	0.589375
ATP1A3	-1.072
TC2N	3.9632
PNKP	0.0235
ODZ2	2.430375
MATR3	0.6445
S100P	0.067875
KRT82	0.1165
CA13	-0.8637
PROZ	-1.66266666666667
AASDH	0.535625
C19orf40	0.4205
DCK	-0.821769230769231
FAM5C	-1.9825
SLC6A4	3.4585
MID1IP1	-1.185125
TESSP5	0.526
TMOD4	-0.109833333333333
DOCK2	-0.958833333333333
TUG1	-0.206375
NUP214	-0.665
DPYSL2	0.0765909090909091
GOLM1	2.288
MPFL	0.25375
SOX13	0.7205
SDCCAG8	0.5271
KEL	-2.134
NUP210L	-2.532
GK	-1.490875
DNAJB1	1.44325
ALPK3	0.077
CHID1	0.6134
CYLC2	0.3602
IKZF5	0.828
C8orf51	2.216
PPM1J	2.25425
GIMAP8	2.79633333333333
GPR101	0.952
NR2F1	-1.156
ACAD8	0.161
RBM35A	1.666
GNAI2	-0.817833333333333
METTL8	-0.586833333333333
SLC39A7	-1.3555
FBXO8	0.73575
CAMK1	-1.23875
RFC3	-1.382375
FAM129A	1.48621428571429
ILF2	-0.9755
FGFBP3	-0.827
NOM1	-1.02666666666667
PSMA3	-1.16425
ASCC3	0.0681
ZYG11A	-2.762
SOX21	-1.753625
LYRM1	0.993
DEFB1	2.384
LOC91431	-2.573
OR7C2	2.139
FAM46B	1.87575
TMEM18	-0.226125
ARHGAP30	0.906333333333333
TMEM86A	1.67808333333333
EPHA2	-0.785833333333333
C10orf46	1.13325
TCHH	-0.488
C3orf30	0.417333333333333
LOC285636	-0.234833333333333
PAIP2	0.5255
CYP2U1	0.08225
C12orf34	0.95825
SARS2	-0.231833333333333
ZCWPW1	1.49225
SAMD12	3.10175
KIAA1430	0.343
ACAT1	-0.0745
MEOX1	0.927666666666667
ADAMDEC1	4.35825
PHKA2	-1.076
CARD11	-0.657666666666667
CALML4	-1.6075
TSSC1	-0.6045
TMEM45A	-0.585111111111111
MPP7	2.363375
POU1F1	0.16025
SLC2A13	-0.4265
FBN2	0.320071428571429
ZC3H7A	0.0964
LAIR2	-0.26475
ST3GAL1	1.069
LCT	-2.93275
GEMIN8	0.575333333333333
KLF16	0.3566
HIF3A	-0.5906
FAM44A	-0.210214285714286
AQP10	-1.209
PLA2G2A	-1.619
FOLH1	0.695
C20orf186	0.2905
MAPKAP1	-0.773375
SPRR2D	-1.7065
UBQLN4	-1.31033333333333
RSHL1	0.0946666666666667
PIAS3	-0.321875
MRPL24	0.09575
GREB1	0.16025
FAM27E3	-2.331
NUP62CL	-3.495
NEUROG3	0.4865
REEP3	1.01275
MARK1	-1.3785
LMBRD1	1.14475
PRPF19	-1.621
PNMT	-1.20966666666667
CTGLF1	-1.072
SLC25A16	0.03425
EIF2B3	-1.1735
RPA2	-0.058
PAK6	0.397833333333333
CCDC26	-4.375625
SEMA3E	4.21475
MXD4	1.0148
TNFSF10	4.3439
SMARCB1	-1.29816666666667
DTX3L	1.14983333333333
PLA2G4E	0.027
PPAP2A	0.49025
ULK1	-0.308166666666667
TAS1R3	0.049
SLC2A3	-2.99381818181818
ARID3A	-2.07875
GNG5	-0.32375
ACOX1	-0.00729999999999997
KIF5B	-0.35175
NUP153	-1.3335
MUC7	0.7825
CSDE1	-0.341571428571429
CLPTM1	-0.96225
C3orf23	-0.3395
LRRC17	0.6845
TTYH3	-1.44825
ATP5B	-1.525
ELF3	2.0794
CPSF3L	0.255333333333333
ZNF665	0.5685
TLR6	-0.2919
GPI	-0.816875
RAD9A	-0.3765
NDST4	-3.074
AGPAT3	-0.113833333333333
MAGI3	1.5695
ADORA2A	1.081125
CACNG7	-0.3115
CAMK2D	-1.4265
CCHCR1	-0.8075
RPS27A	-0.897
OR10G7	-0.00449999999999999
GCM2	-0.2255
FAM135B	1.0856
E2F1	-1.7175
PLCB3	0.203
OR2AE1	0.501
COIL	-0.2105
CDC25C	-2.1915
RAB11FIP2	0.119
TSC2	1.288
CTGLF5	-1.5015
CCDC108	0.5235
OR13C4	0.28075
C10orf81	5.212
PTPRB	1.19825
ACP2	0.37875
LAG3	-0.18
MRPL54	0.5835
LOC201175	1.1045
ITGB1BP3	-1.83725
SPTAN1	-0.3235
SIPA1L2	-0.02075
RCAN2	-0.466
CDX2	-1.856
ECOP	-0.37225
ACTR1A	0.311357142857143
PPARG	-2.28166666666667
BBS10	1.01233333333333
TMEM44	-0.943125
BPIL2	0.31625
CITED1	-1.13675
IRF6	3.3195
PRDM4	0.566
RRP9	-0.504
OR10H4	0.58425
IL31RA	-1.046
GNB1L	-1.4405
MYBL2	-2.897625
ZNF407	1.34333333333333
PPIG	-0.616166666666667
TTC18	3.8055
RPSA	-0.7425
MAPT	2.390375
MRE11A	-0.127571428571429
C8orf37	-0.0605
RASGEF1C	-0.483833333333333
STBD1	-0.518
CTAG2	-0.564833333333333
MGAT5B	-2.541
ECM1	0.469375
RLN1	5.0745
PARP14	0.852
EPB41L1	2.2108
HOXA3	-0.06175
MAGEA9	-4.79
RPS8	-0.4095
RPS19BP1	-0.0605
FOXJ2	0.103
C10orf76	0.389125
IL17RE	0.64825
C10orf65	-2.305
ZNF343	0.0105
FBXO33	0.00937499999999999
UHMK1	0.5159
LY6G6C	1.29425
FGF19	-2.281
C14orf128	0.798
IFIT2	1.797625
TIGD1	-0.4255
S100G	0.148
GUCY1B3	1.482
NR3C1	-1.1571
CORO1B	-0.011
PARP11	1.15983333333333
DNALI1	4.06616666666667
OR4N4	0.1475
MAP2K6	-0.652
FSTL4	-0.101
ANKRD47	1.223625
TMEM171	-2.1745
PNLIP	0.15425
YY1	-0.626333333333333
CCDC138	-2.12483333333333
AASDHPPT	-0.2223
CKS1B	-1.263
MCM3	-1.10166666666667
ANAPC7	-0.504166666666667
FAM110A	1.8905
CDC37L1	1.03866666666667
THTPA	1.0915
NBPF20	-1.401
WDR24	1.20625
NPTX2	-1.655
CBLB	0.1065
CETN1	0.108833333333333
RPUSD1	0.7185
FAF1	-0.68175
CDK6	-1.9239
HMX2	0.3755
CSK	-0.813166666666667
TEAD2	-1.0645
SNAP25	-1.89075
TUFT1	1.1324
TMTC3	0.671666666666667
LCK	-1.8965
SGOL1	-2.0865
AKTIP	1.541
FURIN	-1.1085
SOX12	-0.408333333333333
DEFB103A	-1.938
RAMP1	3.6375
KIR3DX1	0.218
GAS2L3	-1.96
PDE8A	-1.3807
EDN3	3.10525
GMIP	0.6215
SF3A2	0.947
FN3KRP	0.62025
SMAD7	0.8315
RHBDD2	0.23525
OR11H6	0.0435
PPP1R3B	0.2942
C9orf23	0.41875
CADPS	-1.65625
GOLGA8A	-2.5705
TMEM57	0.909166666666667
RGL3	-0.234
S100A14	3.00875
FGFR2	1.422
XRCC3	-0.94175
RTN4RL2	0.79325
MGC3771	3.3305
GH2	0.489833333333333
BTBD2	-0.59
LMO2	-0.114
RDBP	-0.39375
ACRBP	-1.8255
AMY2A	1.889
DUOXA1	0.763
PTK7	-0.0121666666666667
TWF2	0.1515
FAM80A	0.41
TNNI2	-2.82566666666667
GLT25D1	-0.682833333333333
OCC-1	-2.6875
CYC1	-0.422666666666667
RPL22	0.684363636363636
MORN3	1.28983333333333
DISP1	1.01475
PRB2	0.0765
CHUK	-0.10775
HR	-0.6335
CCDC134	-0.582375
DENND4B	-1.25375
C14orf130	-0.06875
RAB33A	-1.166
DCST2	-0.175
TNMD	-2.1245
PEX7	1.05175
FAM62A	-0.276375
SRD5A2L	0.86675
IL22	-0.2845
RPS26	-1.8025
HOXC5	0.431
SPATA6	1.1015
FLJ38482	0.32925
ZNF234	0.6695
C18orf22	1.70525
SPATA22	0.1725
THOC1	-0.083
CYP7B1	2.9655
KCNC3	0.0975
C8orf42	-1.499
ALDH1B1	-0.117833333333333
CCDC100	-0.0811
ARMC4	-3.0815
FAM18B2	0.23825
SLC44A1	1.586125
FBXO17	-1.83166666666667
C6orf107	-0.31575
C19orf29	-0.28775
ZC3HAV1L	0.28675
PARP6	-0.1354
SULT2A1	-5.293125
C1orf159	0.23525
TMC1	0.39725
CHST14	0.09075
GAMT	-0.632666666666667
SMCP	-0.0788333333333333
TSPAN33	-0.393833333333333
MIDN	-0.040875
NOX4	3.02525
RNASEN	-0.15
TBX1	-2.06983333333333
SALL2	0.1915
C10orf35	2.46325
CYP2E1	0.278875
LRFN2	2.31933333333333
ACO1	-1.29766666666667
IQCG	1.4248
MEGF9	1.5265
TM7SF4	-0.049
PLEKHA1	1.05766666666667
STK33	-2.84625
C1orf210	2.51175
SNUPN	0.1473
KIAA0406	-0.91
C20orf29	0.8505
TMEM55B	-0.03825
OSTM1	-0.76125
CLCN7	1.18175
OTP	0.045
FLJ23049	-0.946
HEATR4	0.978
MAP3K10	0.871833333333333
PCDHGA9	0.0195
AMDHD2	1.4265
LCTL	-2.1255
PDCD2L	-0.7075
CABLES2	-0.29175
SLC5A9	-0.457
CLCA2	-1.1928
MGC16025	0.993
STRAP	-1.1505
C20orf196	-0.086
RRBP1	0.451166666666667
NAT13	-0.83675
MAT2B	0.97975
CSNK1D	-1.18483333333333
KIR3DL1	0.185
PRKAG3	0.528
ZNF599	1.0685
PRM3	0.628
PER2	1.0785
ASPHD1	-2.7605
PRMT6	-2.9535
KCNE1L	-0.531214285714286
FAM118A	-1.46616666666667
TAF4	-0.315
NDUFB6	-0.466
TRIM9	-1.8545
PMFBP1	-1.19975
KY	0.3175
DKFZp762E1312	-3.51527272727273
CSMD1	-1.3895
TBP	-0.0318333333333333
OR1Q1	0.4695
RETNLB	0.34225
HPGD	-0.854076923076923
DNAJC12	2.77666666666667
FKBP1B	-1.0115
ANKRD24	-0.075
CXXC5	1.45183333333333
IL3	0.102285714285714
DRAM	1.2941
PTCH1	-1.125125
TP53BP1	-0.2345
SLC17A7	-0.038375
COL25A1	-1.6399
AMACR	-0.356333333333333
RHCG	-0.656
VPS13A	-0.65425
FAM55D	2.5155
PRPF38B	-0.271666666666667
OSBPL6	1.099
PFDN5	0.5494
CMTM6	1.290625
KCNK12	-1.7615
RP2	0.423
C16orf52	-0.49175
PICK1	-0.897
IFNE1	-1.17016666666667
SEMA4B	0.36225
TYRO3	-2.738
OR12D2	-0.0525
CSNK1A1	0.87585
FANCF	1.501
LONP2	-0.00887499999999995
TBL1Y	-0.39875
LDOC1L	-0.435375
CCNC	0.05725
C3orf60	0.22
CHKA	-0.6135
UBAP1	-0.56175
MAP3K1	0.7465
ANKRD9	-0.29875
FAM92A1	-2.48716666666667
GAB2	-0.368125
AZU1	-0.1885
DIS3	-0.716
C21orf109	-2.16775
IQCB1	-0.74625
SPATS2	-0.694166666666667
EFCAB3	0.603
PRB3	-0.00250000000000001
FUZ	1.217
ZNF813	0.588625
BMPER	-1.41316666666667
HEG1	-0.231
ALS2CR11	-2.1695
SURF2	-0.11425
PSMC1	-0.330333333333333
OR2D2	0.538
SLC7A8	2.59733333333333
C4orf40	-0.036
SPATA7	0.63375
MAZ	-0.0230833333333333
PIN4	0.706
PDE1A	-0.827
TAF6L	-0.135666666666667
OR2T34	0.614
KIAA0284	0.507
ACADS	-1.09654545454545
MKRN2	-0.886
C18orf56	-1.95625
MS4A6E	0.272333333333333
GALNT4	0.528
C22orf31	-0.395
FLJ36070	0.255
PSME4	-0.76125
TFG	-0.1895
EPHX2	1.144625
ANXA5	-0.829375
KRTAP1-1	-0.087
BATF	2.60575
KARS	-1.85625
MSTP9	-0.6035
GPR26	1.25075
CCDC72	0.22425
TEF	0.951333333333333
FOXK1	-0.666
PRLHR	0.2215
EMX1	1.26075
C11orf30	-0.6585
ICK	0.402625
THSD7B	-0.16025
C21orf100	-1.1335
DUOX1	1.54
EFCAB4B	-0.1675
UBE2G2	-1.339
C3orf54	0.68475
PARP1	-1.44775
FAM60A	-1.71808333333333
C6orf146	-0.0385
OR9K2	0.371
DDX55	-1.44033333333333
RPS15	0.1865
ZNF618	0.869375
DKFZp686D0972	0.383
SSPO	-0.824
SHFM3P1	0.6865
CPA6	-1.00775
JAG2	0.85775
DEFA3	0.05375
PPBPL2	0.0845
CD34	4.01425
SLCO4A1	-3.087
AFG3L1	-1.8265
SHD	-0.8375
RP13-122B23.3	-0.404666666666667
PRKCSH	-1.381
DPH5	-0.623
HLA-F	1.811
TBC1D4	-0.78675
RIG	-0.121
GLUD1	0.0598333333333333
HNRPCL1	0.140375
HBXIP	-0.12325
RNF207	-0.933
APIP	-0.729
PLA2G3	-1.95533333333333
CCDC84	-0.684
MYLIP	0.252769230769231
PHIP	-0.00975
AARS2	-0.296666666666667
DHX32	0.64275
SCAPER	0.403166666666667
MEN1	-0.2595
NIP7	-1.44775
FLJ25404	0.4985
FASTKD3	-0.70325
TMEM158	-1.54558333333333
RARA	1.99075
BDH1	0.8305
ANKRD16	0.5295
CARM1	0.8555
SS18	0.732166666666667
IKZF2	0.909583333333333
MYD88	-0.155375
PML	0.09835
TAF1A	-0.846
CBFB	-1.102125
HIST1H3H	-0.416
C7orf29	-1.0915
COMMD4	-0.103
DPP3	-1.26825
DAB2	0.610375
LOC388882	-0.07
YPEL4	-0.609625
AGBL3	0.75325
LRP6	-0.0927
SERPINH1	0.153916666666667
TLE1	-0.7985
CD244	0.568833333333333
ZDHHC15	-0.96025
MGLL	-0.8317
PLDN	-0.0905
LOC654346	1.0025
FAP	3.4035
GPR37	-2.14783333333333
SCARA5	0.852333333333333
EBF4	2.05490909090909
LSM6	-0.63275
MLLT1	-0.3228125
SLC5A12	-0.94425
A2BP1	-1.92916666666667
COPS5	0.641666666666667
TPM4	-0.0495714285714286
TNFSF4	1.21766666666667
ACADSB	3.13566666666667
HERPUD1	0.255
BCL2L11	-0.494166666666667
CEP78	-1.08625
CDCA3	-1.850875
WBSCR19	0.7736
MYO1A	-1.844
PPEF1	3.15033333333333
LOC440348	-0.33625
CPEB2	0.57
BPTF	-0.391166666666667
RPL21	0.3124375
GSX2	0.5895
ADPRH	0.565833333333333
C17orf68	0.587333333333333
KCNS1	-0.6695
MLLT6	0.2578
PIWIL4	-0.06275
RNF26	-0.29625
RAP1B	1.223625
ADAMTS1	-2.3196
ZNF571	1.0415
P2RY6	-0.49675
TRIM21	0.950833333333333
CADM3	0.3285
NLRC5	0.386666666666667
ADRA2B	0.171833333333333
LOC90835	1.1365
PCF11	0.04025
LOC400451	2.31025
GLTSCR1	0.6668
C17orf88	-0.5265
CDH16	-1.9305
FGF7	2.477125
PCSK4	1.099
NPC1L1	-0.648
TAT	0.302142857142857
TBCA	-0.71225
MGC33407	0.1705
GPR115	-1.812625
CYGB	0.0625
FNBP4	-1.05416666666667
C12orf43	-0.24025
CBL	-0.544
CLECL1	2.1435
PPAPDC1A	2.21475
WDR25	0.663666666666667
SGCA	1.4345
C22orf29	0.0296666666666667
YIPF1	2.004
GALK2	-0.47475
RAB3B	-3.72658333333333
LOC440087	0.17
UCP1	-1.4435
REEP5	2.192625
FADD	-0.0436
FOXA1	3.110125
CACNA1A	0.278333333333333
ABI1	-0.1875
GRIN2D	1.098
SLC1A4	-0.0995
LOC401127	-1.155
HINT2	1.0055
PLD4	0.436833333333333
ZNF286A	-1.18875
ENY2	0.0745
IL1F6	-0.2055
PXDNL	1.097
C20orf79	0.611
TNFSF13B	3.139
DENND3	0.844375
JARID1D	-3.07025
HIST1H2AK	0.640625
LOC93349	0.3126
SSH1	-1.0404
ENSA	-0.7505
LOC219854	0.6635
CKAP2	-0.8711
DKFZP564J102	-0.871
MGC87315	-0.673333333333333
HNRPAB	-1.4305
AMH	-2.2555
ZNF526	0.595
BRUNOL5	-0.3675
CACNG3	0.155166666666667
TRPM1	-1.826
PPP2R1A	0.104875
COL2A1	-1.72625
DDN	-0.181833333333333
FLJ25770	0.42775
HK2	-0.243857142857143
ELOVL6	-1.982
MDK	-0.945
EPHX1	0.40325
RASSF2	0.866875
DKFZP434B0335	-0.55125
DLX3	0.73075
PRTN3	-0.4045
AVPR1A	0.19775
C21orf125	-1.55575
TNFAIP8	0.1205
GNB2L1	-0.2355
CALCRL	2.64125
SCGB2A2	8.391
UBXD7	0.25775
ZNF674	-0.4645
TMEM35	0.352375
BRSK2	-1.328
HECTD3	-0.538
TMEM188	-0.100583333333333
LGALS9	1.298625
SCARB2	0.509666666666667
USP34	-0.159
C17orf28	1.66216666666667
ZDHHC23	-1.237
AQP12B	0.5815
SLC16A3	-1.665875
APLP2	-0.404125
ITIH2	-5.0115
MICAL3	-0.87925
TNNI3K	0.5953
HDAC2	0.502
PRR7	-0.8141
THBS2	1.31
LOC751071	-0.0125
CA2	1.21766666666667
RANBP17	0.0955
RLN3	0.091
CRYZ	0.536166666666667
GBAS	-0.0813333333333334
TAS1R1	-0.01375
MPZL3	0.871
PCDH8	-0.5495
HSP90B1	-0.184333333333333
KCNK15	2.0925
TNIP2	0.413666666666667
GPR146	-0.128
NOL6	-0.526125
SPC25	-3.59955555555556
STEAP2	2.33321428571429
VAMP3	-0.513833333333333
TCIRG1	-0.56775
ZP4	0.409666666666667
PARL	0.334625
TRIM39	0.178166666666667
KIAA1305	1.62025
CRNN	0.845333333333333
GRN	0.11375
HSH2D	-0.2745
SCAMP1	0.664875
KIAA1913	1.271
PTS	-0.07575
BANP	0.0185
PRKACG	0.2475
ADCY6	0.372666666666667
C16orf46	-0.124
CYP51A1	-0.306625
DDC	-5.86125
ANPEP	-1.33916666666667
PROM1	0.696666666666667
SIGLEC10	2.15775
COPG	-0.0675
FAM26E	1.86225
TRIP4	0.5555
SNX3	-0.224333333333333
C1orf175	0.324666666666667
PPY2	0.19725
C14orf152	0.22825
FTSJ1	-1.308
DST	0.1976
LOC554235	0.034
GLRX5	0.16275
C20orf12	2.0583
CAB39	0.790833333333333
MSH2	-0.926666666666667
PIP4K2C	1.00825
CYLD	0.5165
WTAP	0.7855
MGAT4A	1.383
TSC22D4	-0.5434
CHRM2	-1.621
PPYR1	0.312333333333333
CCNH	-0.409666666666667
RRM1	-0.8405
ECAT8	-3.598
LOC400120	-1.16475
GABRA4	0.06475
C14orf4	2.323
C1orf59	0.9085
CTDSPL	0.582166666666667
NHEDC2	-1.517
PDE11A	-0.4525625
KLHL29	-0.631
CD5	-0.4853
TSPAN9	1.9906875
WDR67	-1.13425
THUMPD1	1.382
C18orf17	0.9
CLYBL	1.358
FLJ13231	-0.482375
CMBL	0.618125
LECT2	0.0165
NKAPL	2.61316666666667
LOC654780	0.765
OR4C6	0.268
RAB30	1.72883333333333
TSSK4	0.166
TMEM163	0.7435
OSBPL11	0.2065
GNB5	-1.54983333333333
CCL21	1.0615
