Hybridization REF	TCGA-AR-A1AK-01A-21R-A12P-07
SEZ6L	0.082
NR2C1	-0.777125
EXDL2	0.8651
TNFRSF13B	-2.19066666666667
MKI67	-3.2965
GLS	-0.79
C7orf54	-0.6453
LGALS13	0.0525
IL4R	0.89025
SEC11A	0.053
SPP2	0.380833333333333
C18orf32	1.3325
CLSPN	-1.84683333333333
SPAG1	1.51825
C9orf82	-0.458
TM4SF1	-0.53125
EMILIN2	1.157
SMG7	0.442333333333333
TAS2R13	0.5265
ZNF628	0.1095
DZIP1L	-0.0308333333333333
ANKRD13A	-0.2989
VASP	1.02
ZCCHC11	-1.222875
SYPL1	0.228875
MGC34774	0.38275
C4orf28	0.257125
KIAA1211	0.359083333333333
RPS27L	0.89925
TATDN3	-0.137
PDCD1	1.73625
OR5P2	0.2595
IFIT1L	0.7285
MIPOL1	0.447
OR51D1	0.07775
C1orf92	-0.514666666666667
LAMP2	0.560777777777778
CAT	0.559333333333333
C16orf80	-0.8085
C15orf32	1.048
ZNF746	-0.2205
C1orf76	-1.486
ATXN1	0.374
LAMC2	1.621375
SLC2A7	-2.6625
CPOX	-1.7535
APH1B	1.77383333333333
LOC442245	2.233
CTNND1	0.770277777777778
GABRG2	-0.71175
MADCAM1	-0.41
F5	-2.751625
SEMA4F	-0.131666666666667
NUDCD3	0.073125
PDZD11	0.3905
TRIML1	-0.038
GCNT3	-4.0755
TMEM120A	0.809
CNDP1	1.0355
N4BP1	0.45225
SLC35F2	-1.51275
LCP1	0.0250833333333333
IGBP1	-0.241
DCAKD	0.7645
ELA2A	-0.79
C12orf56	-2.605
PITRM1	0.607928571428571
GUK1	0.352833333333333
RASSF8	-0.6518125
OR2A14	-0.28425
ADM	-2.20733333333333
FGD3	1.29533333333333
GHRHR	0.263333333333333
RHPN2	-0.057
C4orf39	0.5715
VPS72	-0.21775
SERF2	0.922333333333333
CD22	1.46316666666667
CD47	0.1018
PPIC	0.179333333333333
IMPDH1	-0.441416666666667
ACP6	-0.0138333333333333
PRKACA	0.276875
PPP1R1A	0.571125
TRPV3	-0.15025
ASXL1	-0.291625
C17orf55	-0.927333333333333
FXYD1	1.47266666666667
LMOD2	-1.2755
ANKRD33	0.052
LCE2C	-0.284
ZNF620	-0.581
DKFZP566E164	-0.8735
VSIG2	2.61925
KIAA1128	1.1915
USO1	-0.237333333333333
NUDT4	0.095
CLDN1	1.331
OR4Q3	-0.21
FASTK	-0.198
ICOS	3.01966666666667
LDB1	0.07975
GSTA5	-0.47075
ABCC1	-1.5285
FAM54A	-2.243
PCBP2	-0.320833333333333
NUP205	-1.56
ACTA1	-0.34
GABBR2	-1.82425
PIP5K1B	-0.777333333333333
AGXT	-2.17283333333333
RNF181	0.29225
ATP8A2	-1.012
AFTPH	1.0583125
FGF21	0.357
FCER1G	3.373625
SNTB1	-1.84075
SLC24A3	0.344375
TXNL4B	-1.2609
RPL10L	-0.2025
LOC389517	-0.386
TSGA13	0.199
SHOX2	-1.17216666666667
ITGA7	0.2614
KCNIP2	-0.1535
KLF13	0.0865
ZFAND2A	-0.047
CEACAM1	-0.276
PFKFB4	-1.9565
MED19	0.26025
LRRC57	-0.0796666666666667
RNF11	0.5305
ANKRD32	-1.95575
P117	0.68375
OBFC2A	0.511666666666667
POLD3	-1.43725
RAB18	1.65975
TPH2	-0.00833333333333332
PHB	0.2416
JDP2	1.6905
MORF4L1	-0.1711
POU2F1	0.125
CNNM2	-0.879666666666667
LOXHD1	0.502
ZC3H15	-0.73
ELK3	1.04883333333333
FAM111B	-2.865
CBLC	2.6505
SBNO1	-0.7075
ANKMY2	-0.66325
PLEKHA5	0.248
DHX58	3.36566666666667
ARCN1	-0.825333333333333
TREML1	0.6687
KNCN	-0.839
SEC24A	-0.89875
PSCA	-0.43975
MGC24125	0.381166666666667
DNA2L	-2.05475
CIB4	0.021125
HIGD2A	0.5535
TBX6	0.0906666666666667
TTLL5	-0.526333333333333
SGK3	2.80116666666667
GCN1L1	-0.4005
AMOT	0.835
LDOC1	0.534166666666667
NRK	-0.379166666666667
ASB9	-2.30025
NAT1	2.5843
TRAFD1	-0.059
PEAR1	1.15266666666667
FAM36A	0.929125
OR1S2	0.0496666666666667
LOC388323	-1.777
PGS1	0.3345
LEPREL1	-1.925
TFF1	-1.00916666666667
HAP1	0.0315
EPHB2	0.426
ACTG1	0.983666666666667
ZFP42	-2.00616666666667
HAVCR2	1.6404
NME1	0.0545
SNX26	0.15925
LACTB	1.00066666666667
ZKSCAN2	-0.171625
C5orf35	0.85975
ANKS3	-0.31025
RBM28	-1.17
DKFZP586P0123	-1.018
HNRNPA1	-0.451
BCAS3	-1.00525
FLJ20184	0.4425
POLA2	-1.74033333333333
TMC7	-0.118166666666667
HSD17B6	1.6305
ZNF658B	1.34
TTTY10	-0.5055
RANBP9	-0.56625
CPNE7	-1.248
EVL	0.530294117647059
LNX1	-0.219416666666667
IFNA21	-0.607
CFD	2.28175
PYCARD	2.432
MYBPC2	-2.369
ENPP3	-2.05783333333333
ACSL4	-1.15875
LOC440258	-1.12983333333333
TMEM176B	3.7025
SOX2	-4.58425
SCO1	-0.0626666666666667
COMT	0.0415
AOC2	0.0145
PDLIM5	0.873428571428571
SPHK2	0.517666666666667
NXPH2	0.513
GPR108	0.562333333333333
RAD51L1	-0.2045
TMEM54	0.754
LETMD1	-0.579555555555555
SLC6A17	0.20725
KRT75	-0.6335
STT3B	-1.254
CD3EAP	-1.0915
TMEM63A	-0.28025
DUSP13	-0.27075
CD1C	0.881
LASS2	0.679833333333333
AVP	2.382
PITPNM1	-1.420875
FLJ22795	-1.825
MCTP1	-1.4995
TRIM68	1.0395
UCK2	-0.880666666666667
ABHD1	1.53675
FAM50A	-0.08175
RNASEH1	-1.238
PCP2	2.468
OR52H1	0.514
C20orf149	0.70325
RBP5	1.1365
HYAL3	-0.2445
CLPB	-1.46575
SMNDC1	-0.2215
DONSON	-2.09316666666667
FLJ27523	-0.1615
BARHL2	0.1705
SLC30A9	0.672333333333333
TMPRSS11B	-0.26775
E2F8	-2.05116666666667
CCDC25	-0.416416666666667
C14orf48	-0.519166666666667
C20orf116	0.391
TSPAN11	0.2
YIF1B	-0.986333333333333
FAM12B	2.04625
OR1L6	0.0385
HPN	1.0371
NBN	0.37875
C14orf94	-0.818666666666667
OCLM	-0.203
ZSCAN18	1.2748
L3MBTL	-0.8423
TSTA3	0.716666666666667
RAC1	0.2465
C19orf15	-0.508
NFE2	-3.4615
KLK14	0.2695
ARSF	-0.026
MAST2	-0.342166666666667
AMICA1	2.82016666666667
GTF2A1	0.089125
ATP1A3	-0.81225
TC2N	2.1313
PNKP	-0.16225
ODZ2	0.411625
MATR3	0.26725
S100P	3.24375
KRT82	-0.1495
CA13	0.0552
PROZ	-1.90016666666667
AASDH	0.143
C19orf40	-0.221666666666667
DCK	-0.129076923076923
FAM5C	-1.54425
SLC6A4	2.322
MID1IP1	-0.121
TESSP5	1.2995
TMOD4	-0.5765
DOCK2	0.271166666666667
TUG1	-0.634625
NUP214	-0.4035
DPYSL2	0.2015
GOLM1	1.32791666666667
MPFL	0.3225
SOX13	1.07425
SDCCAG8	0.9797
KEL	-2.57016666666667
NUP210L	-2.45725
GK	-0.184875
DNAJB1	1.62
ALPK3	0.2645
CHID1	0.1071
CYLC2	-0.135333333333333
IKZF5	0.49925
C8orf51	1.62516666666667
PPM1J	2.13075
GIMAP8	4.374
GPR101	0.9675
NR2F1	-0.048
ACAD8	-0.27325
RBM35A	1.323
GNAI2	0.361
METTL8	-0.322
SLC39A7	-1.75975
FBXO8	0.59125
CAMK1	0.51325
RFC3	-1.415
FAM129A	0.246857142857143
ILF2	-0.41875
FGFBP3	-1.142125
NOM1	-1.673
PSMA3	0.013
ASCC3	-0.0579
ZYG11A	-1.4075
SOX21	-1.6635
LYRM1	0.70825
DEFB1	3.9695
LOC91431	-2.64866666666667
OR7C2	0.6185
FAM46B	1.165875
TMEM18	-0.409875
ARHGAP30	2.283
TMEM86A	2.82133333333333
EPHA2	-0.511
C10orf46	1.1217
TCHH	0.873666666666667
C3orf30	0.223
LOC285636	-0.528666666666667
PAIP2	1.17225
CYP2U1	0.238875
C12orf34	0.899
SARS2	-1.01066666666667
ZCWPW1	0.85325
SAMD12	1.645375
KIAA1430	-0.037625
ACAT1	-0.83275
MEOX1	3.52883333333333
ADAMDEC1	6.9745
PHKA2	-0.59425
CARD11	0.109833333333333
CALML4	-0.2615
TSSC1	-0.411
TMEM45A	-1.83533333333333
MPP7	1.20125
POU1F1	0.597
SLC2A13	-1.3699
FBN2	-1.31664285714286
ZC3H7A	-0.13
LAIR2	0.38575
ST3GAL1	0.901833333333333
LCT	-3.1295
GEMIN8	-0.0118333333333333
KLF16	0.4949
HIF3A	0.3007
FAM44A	-0.468
AQP10	-1.525
PLA2G2A	-0.9895
FOLH1	0.739166666666667
C20orf186	-0.298
MAPKAP1	-0.627875
SPRR2D	-1.7715
UBQLN4	-0.665333333333333
RSHL1	0.069
PIAS3	0.143
MRPL24	1.20925
GREB1	-1.192625
FAM27E3	-2.6825
NUP62CL	-1.0135
NEUROG3	0.8775
REEP3	0.63175
MARK1	0.54975
LMBRD1	0.792
PRPF19	-1.9055
PNMT	1.67533333333333
CTGLF1	-1.0225
SLC25A16	0.1535
EIF2B3	-1.1055
RPA2	-0.47925
PAK6	1.85466666666667
CCDC26	-4.467625
SEMA3E	1.384
MXD4	0.7599
TNFSF10	4.0056
SMARCB1	-0.422
DTX3L	1.75316666666667
PLA2G4E	0.6315
PPAP2A	1.39925
ULK1	-0.140083333333333
TAS1R3	0.266
SLC2A3	-2.19836363636364
ARID3A	-2.3175
GNG5	0.186
ACOX1	0.3495
KIF5B	-0.3155
NUP153	-0.82975
MUC7	0.7545
CSDE1	-0.747285714285714
CLPTM1	-0.13975
C3orf23	-0.300375
LRRC17	-0.3435
TTYH3	-0.733625
ATP5B	-1.227
ELF3	1.7903
CPSF3L	-0.362666666666667
ZNF665	0.377666666666667
TLR6	1.5233
GPI	-1.616875
RAD9A	-0.080375
NDST4	-3.778
AGPAT3	0.16775
MAGI3	0.378
ADORA2A	0.3095
CACNG7	-0.143
CAMK2D	-1.14535714285714
CCHCR1	-1.1115
RPS27A	0.026
OR10G7	0.12
GCM2	-0.4385
FAM135B	3.5168
E2F1	-0.98625
PLCB3	-0.77775
OR2AE1	0.6015
COIL	-0.0168333333333333
CDC25C	-1.7475
RAB11FIP2	-0.0495833333333333
TSC2	0.58675
CTGLF5	-2.3975
CCDC108	0.3706
OR13C4	0.52175
C10orf81	5.14625
PTPRB	2.4885
ACP2	0.58125
LAG3	2.28025
MRPL54	-0.327
LOC201175	1.3675
ITGB1BP3	-2.2745
SPTAN1	-0.00583333333333333
SIPA1L2	-0.49975
RCAN2	-0.308
CDX2	-0.595
ECOP	0.3415
ACTR1A	0.2745
PPARG	-0.0175
BBS10	1.12333333333333
TMEM44	-1.221125
BPIL2	0.216
CITED1	-1.0325
IRF6	3.75625
PRDM4	-0.0888333333333333
RRP9	-0.697666666666667
OR10H4	0.335
IL31RA	-0.71075
GNB1L	-1.00316666666667
MYBL2	-1.662625
ZNF407	0.913333333333333
PPIG	-0.541
TTC18	3.3655
RPSA	-0.685
MAPT	0.741
MRE11A	-0.722428571428572
C8orf37	0.690333333333333
RASGEF1C	-0.149333333333333
STBD1	-0.15
CTAG2	-0.4765
MGAT5B	-1.57616666666667
ECM1	0.97825
RLN1	2.443
PARP14	1.809
EPB41L1	1.6552
HOXA3	0.410166666666667
MAGEA9	-7.08275
RPS8	-0.742333333333333
RPS19BP1	-0.15975
FOXJ2	0.285625
C10orf76	0.50275
IL17RE	0.582
C10orf65	-1.72775
ZNF343	-0.145833333333333
FBXO33	-0.055
UHMK1	0.5753
LY6G6C	0.58025
FGF19	-2.5275
C14orf128	-0.0636666666666667
IFIT2	4.2205
TIGD1	-0.357
S100G	0.1195
GUCY1B3	2.2215
NR3C1	0.3968
CORO1B	-0.0978333333333333
PARP11	1.18025
DNALI1	3.9005
OR4N4	-0.045125
MAP2K6	0.346833333333333
FSTL4	0.6935
ANKRD47	1.702625
TMEM171	-1.55
PNLIP	-0.51625
YY1	-0.789166666666667
CCDC138	-1.69266666666667
AASDHPPT	-0.9333
CKS1B	-0.2641
MCM3	-1.28516666666667
ANAPC7	-0.210833333333333
FAM110A	1.11825
CDC37L1	0.956666666666667
THTPA	1.32075
NBPF20	-1.5825
WDR24	0.445
NPTX2	-1.70825
CBLB	0.3985
CETN1	0.1646
RPUSD1	0.7335
FAF1	-1.09325
CDK6	-2.8152
HMX2	-0.216
CSK	0.0421666666666667
TEAD2	-0.52675
SNAP25	-1.0465
TUFT1	1.4818
TMTC3	0.732
LCK	-0.4
SGOL1	-2.06766666666667
AKTIP	1.08925
FURIN	1.047625
SOX12	-0.6905
DEFB103A	-1.347
RAMP1	3.75775
KIR3DX1	-0.2695
GAS2L3	-1.064
PDE8A	-1.5385
EDN3	3.5475
GMIP	1.44225
SF3A2	0.58925
FN3KRP	0.69025
SMAD7	0.75875
RHBDD2	1.272
OR11H6	0.66
PPP1R3B	0.6803
C9orf23	0.00999999999999999
CADPS	-2.34325
GOLGA8A	-2.8265
TMEM57	0.814833333333333
RGL3	1.417
S100A14	3.217
FGFR2	1.20975
XRCC3	-0.54275
RTN4RL2	0.8995
MGC3771	2.8515
GH2	0.461833333333333
BTBD2	-0.454
LMO2	1.19
RDBP	-0.444125
ACRBP	-0.81875
AMY2A	2.5125
DUOXA1	2.167
PTK7	-0.241833333333333
TWF2	0.278833333333333
FAM80A	-0.654
TNNI2	-1.9375
GLT25D1	-0.216
OCC-1	-1.63675
CYC1	-0.3625
RPL22	0.236863636363636
MORN3	2.23133333333333
DISP1	1.0905
PRB2	-0.177
CHUK	-0.21775
HR	-0.13825
CCDC134	-0.442
DENND4B	-0.49875
C14orf130	-0.211375
RAB33A	-0.8465
DCST2	0.239
TNMD	-0.746
PEX7	1.12925
FAM62A	0.209625
SRD5A2L	0.974
IL22	0.26475
RPS26	-0.506
HOXC5	0.476
SPATA6	1.11675
FLJ38482	0.157125
ZNF234	0.5045
C18orf22	0.75125
SPATA22	0.206
THOC1	-0.9695
CYP7B1	3.783
KCNC3	0.0615
C8orf42	-0.255
ALDH1B1	-0.539
CCDC100	0.5268
ARMC4	-1.1755
FAM18B2	0.36025
SLC44A1	0.43575
FBXO17	-0.666666666666667
C6orf107	0.12375
C19orf29	-0.453
ZC3HAV1L	-0.0965
PARP6	0.4517
SULT2A1	-4.711625
C1orf159	-0.318
TMC1	0.21575
CHST14	0.032625
GAMT	-0.5905
SMCP	-0.153833333333333
TSPAN33	1.33433333333333
MIDN	-0.45125
NOX4	2.71775
RNASEN	-0.6206
TBX1	0.6475
SALL2	0.23425
C10orf35	1.91375
CYP2E1	0.02525
LRFN2	2.85033333333333
ACO1	-1.70983333333333
IQCG	1.2588
MEGF9	0.6115
TM7SF4	2.07825
PLEKHA1	0.742533333333333
STK33	-2.4075
C1orf210	2.8855
SNUPN	-0.054
KIAA0406	-0.7512
C20orf29	0.118
TMEM55B	0.23
OSTM1	-0.794375
CLCN7	0.49675
OTP	-0.33925
FLJ23049	1.31675
HEATR4	0.667
MAP3K10	0.983166666666667
PCDHGA9	-0.082
AMDHD2	0.5905
LCTL	-2.623
PDCD2L	-0.5315
CABLES2	-0.2135
SLC5A9	-0.50125
CLCA2	-1.24883333333333
MGC16025	-1.7885
STRAP	-0.866
C20orf196	-0.526
RRBP1	-0.666333333333333
NAT13	-0.81825
MAT2B	0.888875
CSNK1D	-0.502166666666667
KIR3DL1	0.369
PRKAG3	-0.332
ZNF599	0.374
PRM3	0.8985
PER2	1.07716666666667
ASPHD1	-2.9865
PRMT6	-0.935
KCNE1L	0.00928571428571429
FAM118A	-1.22816666666667
TAF4	-0.129
NDUFB6	0.02875
TRIM9	-0.349833333333333
PMFBP1	-0.8335
KY	0.8875
DKFZp762E1312	-2.40572727272727
CSMD1	-0.92725
TBP	-0.0255
OR1Q1	0.435666666666667
RETNLB	-0.2365
HPGD	0.2545
DNAJC12	2.055
FKBP1B	-0.53325
ANKRD24	-0.405666666666667
CXXC5	0.954833333333333
IL3	0.47125
DRAM	0.8477
PTCH1	-1.00575
TP53BP1	-0.63
SLC17A7	-0.0105
COL25A1	-2.0837
AMACR	0.411333333333333
RHCG	-0.2625
VPS13A	-1.12958333333333
FAM55D	0.1605
PRPF38B	-0.2445
OSBPL6	1.05225
PFDN5	1.1513
CMTM6	0.3835
KCNK12	-1.53675
RP2	0.236
C16orf52	-0.70825
PICK1	0.359
IFNE1	-1.1205
SEMA4B	0.118
TYRO3	-2.44925
OR12D2	0.078
CSNK1A1	0.55425
FANCF	0.64425
LONP2	0.125875
TBL1Y	-1.212
LDOC1L	0.219875
CCNC	-0.27525
C3orf60	0.2515
CHKA	-1.68075
UBAP1	-0.12675
MAP3K1	0.565
ANKRD9	-0.206
FAM92A1	-1.29616666666667
GAB2	0.56475
AZU1	-0.339
DIS3	-0.962083333333333
C21orf109	-1.924
IQCB1	-0.634
SPATS2	-0.642
EFCAB3	-0.51325
PRB3	0.120125
FUZ	0.6755
ZNF813	-0.0375
BMPER	-1.57716666666667
HEG1	0.166
ALS2CR11	-2.03725
SURF2	-0.04225
PSMC1	-0.00725
OR2D2	0.242
SLC7A8	2.48933333333333
C4orf40	-0.4725
SPATA7	0.71725
MAZ	0.05275
PIN4	0.6965
PDE1A	-0.27175
TAF6L	-0.170333333333333
OR2T34	0.65
KIAA0284	0.05025
ACADS	0.991090909090909
MKRN2	-0.9705
C18orf56	-1.263
MS4A6E	0.483166666666667
GALNT4	0.43
C22orf31	0.7955
FLJ36070	0.0205
PSME4	0.000500000000000002
TFG	-0.4756
EPHX2	0.459
ANXA5	-0.265125
KRTAP1-1	0.033
BATF	2.06025
KARS	-2.227
MSTP9	0.8525
GPR26	-0.305625
CCDC72	0.37225
TEF	1.065
FOXK1	-0.8658
PRLHR	-0.4585
EMX1	3.90425
C11orf30	-1.023625
ICK	0.136625
THSD7B	1.01475
C21orf100	-1.872
DUOX1	3.048
EFCAB4B	-0.633333333333333
UBE2G2	-1.09666666666667
C3orf54	0.7555
PARP1	-0.17425
FAM60A	-1.84366666666667
C6orf146	-0.457333333333333
OR9K2	0.312
DDX55	-1.2755
RPS15	-0.126
ZNF618	0.73325
DKFZp686D0972	0.58575
SSPO	-0.2395
SHFM3P1	0.297166666666667
CPA6	0.0355
JAG2	1.2145
DEFA3	0.056
PPBPL2	0.504166666666667
CD34	4.56975
SLCO4A1	-2.85
AFG3L1	-1.45633333333333
SHD	-0.93
RP13-122B23.3	-0.512166666666667
PRKCSH	-0.7365
DPH5	-0.182833333333333
HLA-F	2.6565
TBC1D4	-0.493
RIG	0.2125
GLUD1	-0.493333333333333
HNRPCL1	-0.279125
HBXIP	0.2275
RNF207	-0.9515
APIP	-0.20325
PLA2G3	2.27666666666667
CCDC84	-1.17075
MYLIP	-0.451
PHIP	0.206
AARS2	-0.713
DHX32	0.23875
SCAPER	0.0196666666666667
MEN1	-0.2455
NIP7	-1.41025
FLJ25404	0.482
FASTKD3	0.27225
TMEM158	-2.821
RARA	1.50325
BDH1	0.4005
ANKRD16	1.54675
CARM1	0.4945
SS18	0.214333333333333
IKZF2	-0.359666666666667
MYD88	0.80475
PML	0.80335
TAF1A	-0.18525
CBFB	-0.859875
HIST1H3H	-1.64116666666667
C7orf29	-1.27125
COMMD4	0.062
DPP3	0.15225
DAB2	1.1045
LOC388882	-0.1555
YPEL4	0.124625
AGBL3	0.77075
LRP6	-0.21
SERPINH1	-1.11133333333333
TLE1	-1.28375
CD244	1.315
ZDHHC15	0.11875
MGLL	0.8798
PLDN	-1.02625
LOC654346	2.5845
FAP	2.37925
GPR37	0.544666666666667
SCARA5	2.35366666666667
EBF4	2.20027272727273
LSM6	-0.0255
MLLT1	-0.3156875
SLC5A12	-0.31875
A2BP1	-1.8945
COPS5	0.0973333333333333
TPM4	-0.390428571428571
TNFSF4	0.3495
ACADSB	1.67783333333333
HERPUD1	0.17325
BCL2L11	-0.4915
CEP78	-1.612625
CDCA3	-1.146
WBSCR19	0.3681
MYO1A	-1.3325
PPEF1	1.62616666666667
LOC440348	-0.67825
CPEB2	0.636375
BPTF	-0.219666666666667
RPL21	-0.0905625
GSX2	-0.9965
ADPRH	1.88
C17orf68	-0.00466666666666668
KCNS1	-0.634
MLLT6	0.5483
PIWIL4	1.39225
RNF26	-0.97525
RAP1B	0.819625
ADAMTS1	-0.6113
ZNF571	0.801
P2RY6	1.31925
TRIM21	1.59583333333333
CADM3	0.41025
NLRC5	1.07866666666667
ADRA2B	0.234833333333333
LOC90835	0.30275
PCF11	-0.798
LOC400451	1.14675
GLTSCR1	0.7637
C17orf88	-0.4995
CDH16	-1.52375
FGF7	2.628375
PCSK4	1.02316666666667
NPC1L1	-0.699166666666667
TAT	0.108625
TBCA	0.259
MGC33407	-0.01275
GPR115	-1.709375
CYGB	0.4055
FNBP4	-0.921
C12orf43	0.1545
CBL	-0.9265
CLECL1	4.0955
PPAPDC1A	0.1165
WDR25	0.092
SGCA	1.594
C22orf29	-0.231166666666667
YIPF1	1.3925
GALK2	-0.89025
RAB3B	-1.25766666666667
LOC440087	1.91
UCP1	-0.85
REEP5	2.204125
FADD	1.958
FOXA1	2.844875
CACNA1A	0.458666666666667
ABI1	0.590333333333333
GRIN2D	1.401
SLC1A4	-0.429
LOC401127	-1.12875
HINT2	0.75625
PLD4	2.33516666666667
ZNF286A	-0.3415
ENY2	0.30325
IL1F6	-0.2585
PXDNL	0.564
C20orf79	0.63625
TNFSF13B	4.3745
DENND3	0.98425
JARID1D	-3.33525
HIST1H2AK	-0.00900000000000015
LOC93349	-0.2278
SSH1	-1.0453
ENSA	-0.25725
LOC219854	0.0796666666666667
CKAP2	-1.3417
DKFZP564J102	-0.188833333333333
MGC87315	-0.887166666666667
HNRPAB	-0.55475
AMH	-2.365
ZNF526	0.409
BRUNOL5	-0.1307
CACNG3	-0.0948333333333333
TRPM1	-3.834
PPP2R1A	0.099875
COL2A1	-1.34775
DDN	-0.493333333333333
FLJ25770	1.44975
HK2	-1.44707142857143
ELOVL6	-1.738
MDK	0.98975
EPHX1	1.67525
RASSF2	0.702125
DKFZP434B0335	-0.42
DLX3	-0.543375
PRTN3	-0.422
AVPR1A	1.217
C21orf125	-1.27525
TNFAIP8	0.159833333333333
GNB2L1	-0.34925
CALCRL	3.788
SCGB2A2	7.8435
UBXD7	-0.5935
ZNF674	0.018
TMEM35	0.73375
BRSK2	-1.031625
HECTD3	-0.215833333333333
TMEM188	-0.22425
LGALS9	3.081625
SCARB2	0.289833333333333
USP34	-0.660166666666667
C17orf28	1.59358333333333
ZDHHC23	-1.17275
AQP12B	0.0435
SLC16A3	-1.572125
APLP2	-0.639
ITIH2	-5.474
MICAL3	-0.446875
TNNI3K	1.2323
HDAC2	-0.23525
PRR7	-0.7549
THBS2	-0.508
LOC751071	-1.28366666666667
CA2	0.685833333333333
RANBP17	1.08725
RLN3	0.36075
CRYZ	0.393333333333333
GBAS	0.165833333333333
TAS1R1	-0.1605
MPZL3	-0.1585
PCDH8	-1.675
HSP90B1	-0.82525
KCNK15	2.1355
TNIP2	0.265666666666667
GPR146	1.18475
NOL6	-0.53625
SPC25	-3.02644444444444
STEAP2	2.02557142857143
VAMP3	0.535333333333333
TCIRG1	-0.141
ZP4	-0.7685
PARL	0.50675
TRIM39	0.244166666666667
KIAA1305	1.501
CRNN	0.22
GRN	1.1925
HSH2D	1.37425
SCAMP1	0.794875
KIAA1913	1.46975
PTS	-0.64325
BANP	-0.503357142857143
PRKACG	-0.0465
ADCY6	0.208666666666667
C16orf46	0.2735
CYP51A1	-0.139375
DDC	-5.438
ANPEP	0.459166666666667
PROM1	1.49216666666667
SIGLEC10	2.826
COPG	0.468
FAM26E	1.07925
TRIP4	0.45975
SNX3	0.0478333333333333
C1orf175	1.06766666666667
PPY2	0.06775
C14orf152	0.64975
FTSJ1	-1.11733333333333
DST	0.6804
LOC554235	0.024
GLRX5	0.01175
C20orf12	0.4293
CAB39	0.042
MSH2	-1.169
PIP4K2C	1.876
CYLD	0.819125
WTAP	1.01
MGAT4A	1.92877777777778
TSC22D4	-0.0879
CHRM2	-1.4235
PPYR1	0.268166666666667
CCNH	-0.119166666666667
RRM1	-1.06975
ECAT8	-2.74975
LOC400120	-0.0646666666666667
GABRA4	-0.325857142857143
C14orf4	0.963333333333333
C1orf59	-0.0745
CTDSPL	0.586833333333333
NHEDC2	-0.778
PDE11A	-0.9385625
KLHL29	0.19375
CD5	0.5739
TSPAN9	1.471375
WDR67	-0.62025
THUMPD1	0.1655
C18orf17	-0.302
CLYBL	0.2735
FLJ13231	-0.156625
CMBL	0.873125
LECT2	0.1375
NKAPL	3.35216666666667
LOC654780	0.9495
OR4C6	0.3055
RAB30	0.3405
TSSK4	-0.0685
TMEM163	2.6005
OSBPL11	0.374333333333333
GNB5	-0.713
CCL21	2.12575
C1orf121	0.403
FMO2	3.56583333333333
RPTN	-0.1565
MSTN	1.038
VCL	-1.043
FYTTD1	-0.14575
C11orf1	0.1415
CCDC88C	-0.00606250000000005
HFE	-0.357611111111111
MOGAT1	-1.622
FAM125B	0.958
IRGQ	0.4265
RAVER2	1.0705
AKAP5	-1.653
SSSCA1	-1.051
C11orf63	1.138625
ACTG2	1.7633
PORCN	-0.6615
DTL	-1.59654545454545
TMEM151	0.3005
FAM122C	-0.67625
RSAD2	4.8283
BAT4	-0.2835
KRTDAP	-0.546833333333333
MYH8	0.34225
CRTC3	0.62975
LRRFIP2	0.0663
INTS4	-1.14283333333333
TTN	-1.8262
SLC26A5	0.068
PLLP	-0.6875
RGS6	-0.5125
SRGAP3	1.06775
ZNF525	-0.267
NBR2	-0.429333333333333
C13orf1	-0.1012
ZNF137	-0.1375
CEP27	-1.87875
BEST2	-0.133
RNF121	-0.8485
DMRTC2	0.13925
C8orf76	-0.06675
BCCIP	0.009
MEST	-1.38875
HTRA2	-0.1035
ANGPTL2	0.6085
ILKAP	-0.486
ERAS	0.3815
HBS1L	-0.29525
CPA5	-0.1055
TMEM30A	0.248
CD300LF	2.98366666666667
WISP3	1.0615
CRK	-0.0928571428571428
PDS5A	-0.2433
BRPF3	0.119
NEDD9	-0.099125
SMPDL3B	0.58
PSG6	-0.0635
PSMD13	-0.16625
ETV5	-0.583625
OR51A4	0.0675
BTBD7	-0.00541666666666665
GSTO1	-0.679625
hCG_16001	1.3345
MAD2L1BP	0.208333333333333
COX6A2	1.5765
SCNN1A	3.0875
LSM1	-0.216833333333333
UGT2B11	-3.857
IDUA	1.003
PPP2R3C	-0.261333333333333
COX11	0.0305
PDZK1	2.04475
ZNF443	0.5695
MGC21874	0.466166666666667
ZNF323	0.2211
KRTAP10-10	0.906
CXCL6	0.949
SLC34A2	2.0149
LOC284402	-0.1025
NPTN	0.774083333333333
UPP1	-1.31258333333333
SLC6A9	1.1415
OR7G3	0.383
CISD1	-0.8215
ZNF545	-0.1055
SYT14	-1.503
NT5C3L	0.800166666666667
ZNHIT3	0.726833333333333
SNRPD3	0.05625
KIAA0701	0.136125
UNC93B1	0.536
GMNN	-1.502
SPCS2	-0.155166666666667
LOC388524	0.2505
NAPRT1	0.349625
PNLIPRP1	-0.177333333333333
OR6V1	0.658
PRKAB1	0.10225
EYA4	-3.2585
KIF20A	-1.926
ALG10	0.29975
ITPKC	1.16
LMX1B	1.12633333333333
RPUSD4	-0.7915
C7orf34	0.0838333333333333
DLGAP2	0.459125
PFN1	-0.1369
MICALL2	-0.303916666666667
ZNF654	-0.7805
SS18L1	-0.769375
SLC16A8	0.84425
MKI67IP	0.116666666666667
ITGB3	-0.8455
