Hybridization REF	TCGA-E2-A14N-01A-31R-A137-07
CLYBL	-0.242166666666667
FLJ13231	-0.643625
CMBL	-1.954375
LECT2	-1.521
NKAPL	2.26766666666667
LOC654780	0.6295
OR4C6	-0.1215
RAB30	-0.283833333333333
TSSK4	-0.618
TMEM163	0.2285
OSBPL11	0.399333333333333
GNB5	-1.50716666666667
CCL21	0.84475
C1orf121	1.31766666666667
FMO2	4.24116666666667
RPTN	1.5065
MSTN	0.3525
VCL	-0.616714285714286
FYTTD1	0.51825
C11orf1	0.12025
CCDC88C	0.361625
HFE	-0.595944444444444
MOGAT1	2.4605
FAM125B	0.685333333333333
IRGQ	-0.0995
RAVER2	1.517
AKAP5	-0.335
SSSCA1	-1.01025
C11orf63	0.601375
ACTG2	0.772
PORCN	-0.941
DTL	-1.43390909090909
TMEM151	0.62575
FAM122C	-0.87575
RSAD2	5.6424
BAT4	-1.1895
KRTDAP	-2.476
MYH8	0.188714285714286
CRTC3	-0.32775
LRRFIP2	0.5309
INTS4	-0.474666666666667
TTN	-1.104
SLC26A5	-1.223
PLLP	-1.9055
RGS6	0.496125
SRGAP3	0.077625
ZNF525	-0.0863333333333333
NBR2	-1.0025
C13orf1	-0.2251
ZNF137	-0.2445
CEP27	-1.3265
BEST2	0.472
RNF121	0.26175
DMRTC2	0.2345
C8orf76	0.431
BCCIP	1.160625
MEST	-0.37475
HTRA2	-0.2625
ANGPTL2	-0.9685
ILKAP	-0.549333333333333
ERAS	0.331
HBS1L	-0.169125
CPA5	-0.162
TMEM30A	0.6775
CD300LF	2.40766666666667
WISP3	0.496
CRK	-0.237285714285714
PDS5A	-0.3948
BRPF3	0.0188333333333333
NEDD9	-0.957
SMPDL3B	3.0685
PSG6	-2.1375
PSMD13	0.70525
ETV5	-1.551375
OR51A4	0.21
BTBD7	-0.300083333333333
GSTO1	-1.773
hCG_16001	1.2385
MAD2L1BP	-1.4
COX6A2	0.893
SCNN1A	-0.832333333333333
LSM1	0.602833333333333
UGT2B11	-2.30875
IDUA	-0.289
PPP2R3C	-1.46066666666667
COX11	-0.541833333333333
PDZK1	-4.8005
ZNF443	0.339
MGC21874	0.172666666666667
ZNF323	1.182
KRTAP10-10	0.6595
CXCL6	2.16075
SLC34A2	4.739
LOC284402	0.359
NPTN	-0.362666666666667
UPP1	-1.2415
SLC6A9	0.1815
OR7G3	0.2455
CISD1	-0.2485
ZNF545	0.414666666666667
SYT14	-1.1235
NT5C3L	-0.1015
ZNHIT3	-0.488833333333333
SNRPD3	0.294
KIAA0701	-0.33625
UNC93B1	0.5735
GMNN	-1.384875
SPCS2	0.6765
LOC388524	-0.236
NAPRT1	-1.92225
PNLIPRP1	-1.0205
OR6V1	1.046
PRKAB1	-1.39
EYA4	-1.91566666666667
KIF20A	-0.373
ALG10	0.00175
ITPKC	1.63133333333333
LMX1B	0.449666666666667
RPUSD4	0.53
C7orf34	0.325333333333333
DLGAP2	0.275875
PFN1	-0.1387
MICALL2	-0.834916666666667
ZNF654	-0.475
SS18L1	-0.427875
SLC16A8	0.118
MKI67IP	0.469833333333333
ITGB3	-1.687125
TCEA3	0.64175
CEP152	-1.432125
CLIP1	0.349125
ZNF75	0.0441875
ATP5C1	0.751166666666667
NUDT5	1.07766666666667
PSCDBP	1.3455
UBP1	0.00774999999999999
RBM27	0.444
C13orf15	2.492125
ZNF282	0.124333333333333
ZNF222	-0.9372
COL10A1	5.14775
PRDM15	-0.262375
TTTY5	0.391
FAM9C	-0.7075
C20orf67	-0.67825
GNG13	-0.481
F12	3.1645
C1orf41	-0.305
CPXCR1	-0.24
GSK3A	-0.1025
SUPT6H	-0.0736666666666667
PI16	1.02533333333333
ELL2	-2.17766666666667
C9orf167	-2.35983333333333
PVRL3	-2.2982
FLJ38596	0.171
ADAM20	0.55325
GPR89A	0.152
GPR87	-0.5345
ZNF30	0.43075
SMR3B	-0.25325
ZNF770	0.36325
TRPC4AP	-1.20616666666667
DKFZP686E2158	-0.518666666666667
C2orf28	-0.557666666666667
FREM1	-1.60166666666667
LAMA4	-1.1405
ADPRHL2	0.713
EIF4G2	1.13283333333333
GUCA1A	-1.3695
CTNNA2	-1.77528571428571
NUDT15	0.0601666666666667
CEPT1	-0.130333333333333
ZNFX1	0.0311
CCDC92	1.175
TDRD1	-1.343
KCNK5	0.314166666666667
ETNK1	-0.0936666666666666
LTA	1.3355
TTPA	0.513833333333333
B3GALNT2	1.401375
SC65	-0.777333333333333
PEX5L	-2.067
EPS15L1	-0.21025
MGEA5	-0.603375
HIST1H3A	0.443
ING1	0.656125
BCAT1	-1.36875
ORC6L	-1.18981818181818
KLK11	-5.1595
C19orf28	-0.189875
DNER	-4.360875
MED22	-0.398428571428571
ETV6	2.64325
CHAC2	0.1745
CD300E	0.7645
CEBPB	1.79583333333333
ZNF398	0.56925
LRCH3	0.4195
HMGA1	-0.701333333333333
CAPN7	-1.02633333333333
MGC5566	-3.244
CCL3	2.49285714285714
NANOS1	-0.384428571428571
ZFYVE19	-0.79675
APITD1	-0.405166666666667
PARD3	1.07575
IRAK4	-0.209166666666667
SERPINI2	0.3285
CEP170L	0.26325
TTC9	2.55225
MYOM3	-1.193
MLPH	-3.021125
LOC222699	-0.3135
NRG1	-0.64225
TBC1D9	-0.836454545454545
TTK	0.178833333333333
ZNF557	0.7951
DDX41	0.0535
FANK1	2.3615
UBE2D2	-0.0225
PSMB10	1.1535
MYH7B	-0.7345
GABARAPL2	-1.13875
MARVELD2	0.599833333333333
DGCR2	0.743
UNC45A	-0.262333333333333
C6orf72	-0.51
ZNF683	4.8685
GIT2	-0.5745
CASK	1.52683333333333
C14orf161	2.04483333333333
LRRC44	0.8185
TIFA	1.560625
UTP11L	0.613625
C6orf65	-1.66825
FDPS	-0.1035
DUSP9	-1.6512
SLC17A8	1.2062
OR51G1	-0.350666666666667
NANS	-0.7485
OLFML1	0.8915
ATP10B	-1.24925
NPAS3	-0.74025
PRKCA	-1.2141
GGA2	-0.1354375
LCE4A	0.557
SPANXN3	0.67125
CCDC115	0.05325
SDCCAG3	-0.4935
GLIPR1L1	0.755333333333333
TTC1	-0.216
C17orf76	-1.295
MAD2L2	-1.44525
HIPK1	-0.764
LRRC3B	-0.355833333333333
CLN3	-0.658136363636364
C17orf47	-1.444
FMN2	-3.3095
TUBB1	-1.19885714285714
WAPAL	-0.261166666666667
C3orf21	-0.011375
SCN5A	0.1159
SMYD1	0.81175
BEX5	-1.196
ZNF192	-1.1295
SEC22A	-0.175833333333333
GRIA2	0.381642857142857
KIAA0825	-1.8925
NUSAP1	-1.32854545454545
LANCL1	-1.13175
C15orf40	-0.8888
ZNF645	0.385
GPR61	0.21575
NLRP14	1.015
SNX21	-1.2638
C1QTNF8	0.8345
C17orf46	0.581
IFNA8	-0.937
SPRR1B	-2.0755
FLRT1	-0.33175
SNX17	-0.753333333333333
ASB2	-0.438166666666667
HBG1	-5.4555
RPRML	-0.736
JOSD2	-0.246166666666667
PLSCR3	0.668
SPOCD1	-0.753
RAB39	-0.7625
GHRH	-0.616
ITIH5L	-0.211
C17orf37	-0.22425
SMCR8	0.079
DPY19L2P3	-1.31483333333333
IL11RA	-0.638
GDF3	-4.22666666666667
RPS6KB1	-1.56858333333333
DNAJC19	0.6768
TOP1	0.0855
CRCT1	-0.108125
MPST	0.725875
DPM2	-0.26975
FAM38B	-3.651
SLC18A1	-3.00816666666667
FARP1	-0.121666666666667
PAX7	0.21075
TUBD1	-1.14375
GNL3	0.424
BTG2	-0.000200000000000033
NDUFS6	-0.25675
C1orf79	0.2875
ERAL1	-0.04575
ECHS1	1.227
VPS4A	-0.719166666666667
CYP11A1	-1.201375
ABCC6	-1.32878571428571
PBX4	-1.014
MOSC1	0.055
NCF4	-0.32775
HYMAI	0.6765
NAGPA	-0.805125
OTOP2	0.8745
ACOT12	-0.204
MTHFD2L	1.183
LOC441376	3.2815
C19orf34	0.346
RAB1B	-1.5815
ALDOAP2	-1.0135
NTRK1	-1.65266666666667
ARTS-1	-1.1142
SLC6A11	0.402
NAP1L2	-0.958
CNGB1	0.17
EPB41L4B	0.431583333333333
FAM134B	1.07475
HS3ST3A1	-1.86116666666667
CPXM2	5.338
SIRPB2	-0.4705
CHORDC1	0.437833333333333
TRIB3	-2.41416666666667
SLC2A5	0.3995
C2orf49	0.717666666666667
DDX5	-0.65875
OR5L1	0.911
ANAPC4	-0.281166666666667
ZSWIM1	0.634375
LOC93622	-1.067625
KCNK3	-0.443
RP11-35N6.1	-2.00442857142857
ZFP161	-0.545166666666667
AQP9	5.2965
SLC15A2	1.31516666666667
MREG	-0.484333333333333
OR9I1	1.491
PDLIM2	-0.4745
ADAM7	0.015
GSTCD	-0.508833333333333
WDR21A	0.43425
SLC12A8	0.7155
TMEM174	0.1255
IGSF3	1.02975
LRRN1	2.70975
LOC402117	0.28575
SRPK1	-0.290333333333333
LY6K	-0.3375625
NFIA	1.874
PTCD3	-0.27775
LEP	3.02583333333333
PCDH21	-0.367166666666667
MAPKAPK2	0.379928571428571
NMNAT1	-0.884833333333333
LHFPL2	0.544875
C9orf43	0.8245
DIP2A	-0.674833333333333
ACTR8	0.207125
CCDC34	-1.21925
PTPN22	-0.829875
ITGA3	-1.892875
FAM129C	1.17325
RABGGTA	0.00149999999999999
UNC45B	-0.68375
KIAA1033	-0.31525
ZNF510	-0.567333333333333
CYP2D6	-0.139666666666667
SLC26A10	-0.133
STX8	-0.3025
LUZP1	0.01975
WDR89	1.183
EIF4G3	0.0682
C5AR1	0.357625
ZNF623	0.5205
A2M	-1.844
TGM7	0.382
GRPEL1	0.120833333333333
LMNB2	0.4665
ROCK2	0.453833333333333
SNX16	0.981125
CCDC66	-0.26125
ANXA3	0.989
KIAA1609	1.357875
EED	-0.2395
RNF32	1.175
HES1	0.4898
CLC	0.358666666666667
ISL1	-1.362
KIAA0528	-0.134125
MANEA	-0.120125
C1orf61	-2.431
hCG_2001000	1.16675
RAPGEF6	-1.1873
KIAA0020	2.02133333333333
NEIL1	0.45325
C16orf45	-2.8485
RBM10	0.000833333333333336
C10orf125	-0.733875
MRS2L	-0.213
DNAH17	-1.49128571428571
C19orf10	-0.6095
C1orf160	1.2545
SLFN12	1.52125
EXOC3	-0.541
HIST3H3	0.3005
NCOR2	-0.0958333333333333
TNFRSF9	0.1375
MFSD8	0.446
ALX1	-3.7765
NOL1	0.74425
PODN	1.70375
TIAL1	-0.5305
HIST1H1E	-1.52575
NPY6R	0.168
TM4SF4	-0.8895
CORO2A	-0.79225
ETNK2	-1.44983333333333
APOE	0.0286
ANGPT4	0.554
HDGF2	0.437
G30	0.958
ST8SIA4	-0.992
F2RL1	-0.664125
FAM19A4	-2.633
CCAR1	0.59825
B3GNT7	0.289
OPHN1	-0.1354
DSCR6	-1.8575
C21orf13	0.0968333333333333
GAS2L1	0.27025
RFX3	2.063
COPS4	-0.271625
BCHE	-5.5215
BCL2	-0.050125
HBZ	-3.26383333333333
ARL13B	0.660125
MAPBPIP	0.088
MYO15B	-0.882375
SPZ1	0.26325
KIAA1324	1.00788888888889
PLCL2	-0.62575
C4orf29	-1.25225
WDFY2	-0.5
ZNF284	-0.563
NAALADL1	-1.535
DUSP5	-1.23833333333333
PXDN	1.2775
SLMO1	0.34325
TNXB	0.2676
BIRC7	-1.24725
A4GALT	0.0123333333333333
TIMM22	0.0425
FAM110C	-1.69625
TOMM34	-0.360125
ABHD9	2.8325
ADAM32	3.4695
CRHBP	-1.2505
AQP2	0.28975
LOC130355	0.55375
ZNF187	-1.0825
ZNF816A	-0.3815
F7	-0.63
CNOT1	-0.5429
SLC13A4	-0.73375
ZBTB11	-0.407
B3GALT5	-0.31725
EXOC2	0.369833333333333
IRS1	-1.8484
TMEM1	0.0694
MRPL34	0.164
SAMM50	0.11225
CDC42EP3	0.07675
HSF2	-0.679
MFN2	-0.31125
TSPAN7	-2.6625
NUCB1	0.111833333333333
RHOH	-2.01725
ARL16	-0.7735
TACR1	0.23325
SFRS5	-0.574666666666667
SNX25	-0.69
RHBDF1	-0.1545
PCDH18	1.33683333333333
HMG1L1	1.2505
MYO5C	-0.450375
MAPK10	0.6075
LDHAL6A	0.8554
NUDT12	-0.246833333333333
NCAM1	-0.09325
GLIS2	0.0225
GGTL4	0.5085
DAPP1	1.04525
ATF7	0.662
KIAA0748	-0.34425
NFIL3	1.14325
TM6SF1	-1.0269
SEZ6	0.111125
NANOS3	-0.334
DNAJA3	-0.706333333333333
CLDN6	-2.9805
CIITA	3.2602
EPHA4	-0.939583333333333
FANCC	1.122
CMTM3	-1.0905
PSG3	-0.131375
MRPL15	0.77
C21orf59	-0.148
PLCXD2	-0.91925
C2orf34	0.975
UBE2L6	2.481875
MED14	-0.500666666666667
HP1BP3	-1.0134
C6orf208	0.232
TPBG	0.0515
OSR2	1.707625
XPC	-0.1985
KLHL7	0.25975
CCR3	-0.152
AGTPBP1	1.38716666666667
PCSK6	0.3434
STAT5A	0.3654
FAM18B	0.24075
LONRF2	-3.73816666666667
PTPN2	0.255375
SF3A3	0.2485
EFCBP2	-0.1495
HCFC1	-0.596
AHNAK	-1.4238
ACTR5	-0.10325
KIF14	-0.624142857142857
TENC1	-0.48575
HEATR5B	0.395
YIPF2	0.429833333333333
MYEOV2	0.842666666666667
DUSP18	0.362
KIAA1012	-0.54925
AHR	0.351833333333333
C17orf53	-0.549333333333333
PTPRH	-3.77025
ATP6V1C1	-0.2836
TAS2R3	0.9875
LOC440356	-2.14575
COQ10B	0.24675
PSMF1	-0.458416666666667
SORBS2	3.41625
NFE2L2	0.50325
TMCO7	-0.19725
SH3PXD2A	0.4358
SH2D2A	0.0205
SPINK5	-2.73475
MRPS24	0.37725
OPA3	0.871625
TRAF7	-0.368666666666667
C4orf35	0.5582
MT1G	1.31025
MGC39545	0.4575
HS1BP3	1.0094
OR2B2	0.539
CHRM4	0.032
SFRP2	2.65008333333333
RIC3	-0.581
ART1	-0.113
C6orf1	-0.629
DUS4L	-0.65
C10orf104	-0.677
TNFAIP6	2.95675
RTEL1	-0.59425
CCT4	0.0617
ZNF709	-0.267
CHMP6	-0.655666666666667
UPP2	0.3925
CYP19A1	-2.6705
CD151	-1.28016666666667
NDUFA13	-0.447
ARFRP1	-0.535333333333333
FAM26B	0.13475
CRYBA1	-3.7685
MRPL41	-0.497833333333333
NPFFR2	-1.766375
HRH2	0.604
SCAMP3	0.0801666666666667
MTMR6	0.7419
MTG1	-0.4865
UBTD1	0.629
CRABP1	3.251
FLJ33790	-0.8663
KIAA1908	-0.6595
GPR158	-1.89925
PACSIN3	1.09183333333333
OMD	-1.15616666666667
CATSPER1	-0.799
HOXB8	-1.819125
FBXO46	0.9475
OAS1	2.36083333333333
SVIL	1.24125
PHB2	-0.056
ADCY3	0.637
NDRG2	2.23483333333333
ERMAP	-0.2284
APBA2	-2.4015
IGSF9	3.04525
WNT6	-0.278357142857143
MYCBPAP	-2.09575
ATP2B2	-0.4715
CPVL	-1.5833
TRAM2	-1.28291666666667
NOP5/NOP58	1.9565
ZNRF4	0.0645
TLK1	0.834625
MTMR12	0.671642857142857
ZNF384	0.3355
FAM9B	-2.76475
RPN1	1.3156
PMVK	0.2175
EIF3D	-0.0627
SIX2	2.87475
HPS1	0.749714285714286
RNF7	0.34
PSKH2	0.3895
KCTD13	-0.401666666666667
CSMD3	-0.886
FBF1	0.3405
IL8	-2.240625
SERPINB13	0.4359
FBXL20	-1.076
BLR1	0.42275
SH2B1	-0.622333333333333
RFNG	-0.54275
RAB20	0.421166666666667
RBM7	-0.5725
POLR1A	-0.1285
TMPRSS4	-2.92725
TAF9	-1.28675
TERF2	-0.894333333333333
TNFRSF1A	1.266
ACADVL	-0.7965
GTF2H5	-0.06225
EDG8	-0.658
C9orf140	-0.1075
UST6	0.222
ZBTB8OS	0.5045
ZNF710	1.525
GPR174	-1.708
ATP6V0A2	0.779
KIAA0319L	-0.43175
XKRX	1.3425
DOPEY2	0.1479
SDHD	-0.283416666666667
SUMF1	0.738
OSM	2.92475
OPN3	0.2085
DAGLB	0.600666666666667
PPFIBP1	0.6738
TRIM63	-2.6685
C10orf53	0.079
LYPD3	-0.711833333333333
BCL7A	-0.348875
AGER	-0.7285
TCF19	-0.6745
SAT2	-0.27375
PFTK1	0.739
GABRE	-1.002625
C15orf38	0.2409
FIS1	-0.3095
KCNV2	-0.07875
CLPS	0.064
PPCDC	-0.203125
FOXN2	1.77466666666667
NT5E	-3.7761
CD83	0.729
IL18	-0.271125
VPS16	-0.59775
IGFBP2	-1.74933333333333
NOTCH2	0.23175
SIGLEC1	3.057
CD93	4.321
SULF2	-0.912
CEP164	0.6695
P53AIP1	0.610833333333333
TOR2A	0.0791666666666666
ZNF136	-0.77075
MGP	4.7106
CCDC144A	1.38816666666667
TRPC1	-1.68483333333333
SMS	0.0766666666666666
MAPK7	0.128833333333333
RRAGC	0.94925
PARD6A	-0.4775
NUB1	-0.216166666666667
SYNGR4	-0.28225
OR11H12	0.737
WIF1	2.76375
GCH1	-0.277
OR11H4	-0.114
SLC44A5	-1.1125
GPRIN2	3.371
LOC401431	2.04725
CPA4	-0.7679
MELK	0.554111111111111
IL15RA	1.57175
CUL3	-0.7005
HMBOX1	-0.7775
PODXL	-0.39225
CCT6B	1.08316666666667
COMTD1	-0.75775
MUC20	0.572333333333333
GPX2	-3.44
ITK	0.394125
FBXL5	0.7425
C13orf27	-1.104
DEFA5	-0.938
TRHDE	-1.762
MTP18	-0.238833333333333
UQCRQ	-1.1435
ITGB2	1.12108333333333
CSRP2BP	-0.8485
TAS2R44	1.3275
PHPT1	-0.888
FAM44C	0.1415
ERH	1.02575
MPHOSPH1	-0.947833333333333
MORC1	-0.8895
PARVB	0.347
LAMA1	-1.49308333333333
PGBD3	-1.19075
GIMAP6	3.87675
AREG	-2.23666666666667
LIPT1	-0.33525
MGC99813	-1.56125
C1orf201	-0.322
GRIN2A	-1.0052
MAN2C1	-1.603375
NSUN5	-1.19925
SF3B5	0.204
MYC	0.7133125
NRXN1	-0.249333333333333
ZNF18	0.099
SPDYA	-0.275857142857143
SLC37A1	0.929
DECR2	-0.266
ANKRD38	3.483125
SPTLC3	-1.41683333333333
SUPT16H	-0.205875
DTWD2	-0.25225
ULBP1	0.014
ZADH1	-0.559666666666667
OIP5	-0.95125
IL10RB	-1.13083333333333
OTUB2	-0.90225
VWA3A	-0.6895
SPIC	0.590166666666667
OR6C4	0.081
PSCD4	0.537
DPY19L2P2	-1.0055
TRAPPC6A	-1.0195
C21orf2	-0.536833333333333
CEMP1	-0.42625
LIN7B	-0.3215
E2F7	-1.5775
VCP	0.258625
LAMA3	-0.0378333333333333
BGN	0.22975
GPR160	-1.82366666666667
COCH	-1.81316666666667
GPR81	1.11283333333333
APOBEC3F	-1.865
tcag7.1017	-0.87875
C1orf32	0.633
SCGB1D2	2.048
FLJ43987	-0.5955
C6orf170	0.02025
KLK9	0.2225
GPD1L	0.864375
VPS37B	1.43025
ATG3	-0.652
ADAMTS17	-1.034
KLHDC2	-1.28816666666667
NDUFV2	-1.7895
BLK	-2.3765
MATN4	0.9435
GPM6A	1.063
GBP4	4.93733333333333
TMEM162	0.214666666666667
PKP2	0.8565
HRASLS	4.23322222222222
MMP1	-1.59625
SFXN3	-0.8906
FSD1	-0.3055
ST6GALNAC3	-2.00233333333333
CA12	-1.4989
NCOA6	0.17575
C19orf58	0.9737
PPP4R1	-1.11816666666667
MAN1A2	1.19583333333333
IKBKAP	-1.83075
UPF1	0.00216666666666668
KIAA1219	-0.6605
WNT16	0.5184
SNW1	0.103125
IL18RAP	4.26025
RPP30	-0.102875
CDC40	0.582571428571429
SETD3	-0.4965
SLAMF6	0.9065
ELK4	0.507
TRIM47	2.3685
ACOX3	0.2105
TRIM6	0.675
KIAA0372	-1.01183333333333
TP53AP1	-0.972375
SMURF2	-0.17475
ADAD1	3.92275
EBP	-0.1697
KRTAP13-2	0.134
FLJ36874	-0.85
TOR1A	-0.34
P2RY4	0.543
GPBP1	-0.8075
TRPV1	0.397875
ADAMTS12	1.1085
PES1	-0.0824
ATG4A	0.381666666666667
MAGEA10	-4.61825
WFS1	-0.47775
CC2D1B	0.211333333333333
PABPN1	0.5465
SLC25A30	0.46725
SLCO1C1	-1.38566666666667
SLC22A5	-0.76475
KIF23	-0.6095
SYN2	-0.713333333333333
ASPN	4.58566666666667
CENTG2	0.023
QSOX2	-1.1186
FLJ10815	0.3786
STK24	-0.265
SPEG	0.0587
STK10	0.505166666666667
DACT2	-1.224
AAAS	-1.297
SSX3	-1.44625
ABCD3	0.0697
C4orf12	-1.222
PARVG	0.302
FIG4	0.07025
C9orf46	0.75625
TMCO6	-0.2785
IGHMBP2	-1.128
DUS2L	0.232166666666667
FAM3C	-0.6736875
TMEM16D	-3.079375
DCTN4	-0.15425
KCNH3	-0.5495
EIF2AK2	2.6065
AP1S3	0.60075
CST4	-0.9005
PAM	0.0696875
NUTF2	1.032
CITED2	-0.8937
SLC39A4	-0.23025
C2orf52	-1.0815
GRM3	-0.367
C12orf49	0.996
CCDC49	-0.3869
GRAMD1B	-1.497375
FNDC4	-0.29225
SIAH2	0.372875
GDPD4	-0.7525
C21orf87	0.54625
ATP5A1	-0.869666666666667
C16orf63	-0.897
LOC388135	-2.027
ATP5J2	0.015375
MMP3	-1.8
EMID2	0.50475
CRHR1	0.262
WDR70	-0.453
C13orf31	2.557
ZFAND1	-0.34725
CCL18	5.853
C3orf49	1.2015
RINT1	-0.4535
KIAA0408	-2.33283333333333
F13A1	2.5892
SLC10A1	-0.0603333333333333
OGN	-2.0075
GIPC2	-2.6554
XPO6	-0.152333333333333
LCE1A	1.1995
FMR1	0.3432
LOC374920	-0.56325
DUSP3	0.058375
ANKMY1	-0.26725
C7orf50	0.79025
BBS9	0.2507
UNC119B	-0.60525
C9orf72	0.28125
MGC35440	1.295
ENTPD6	0.1115
PPP1R2P9	0.6035
ERCC4	-0.012
FAHD2B	0.292
HMHA1	-1.033
HACL1	-0.9075
RAD23A	-0.643333333333333
FAM83B	1.018
PPP5C	-1.05016666666667
RNASEH2C	-0.978875
C9orf153	-0.08575
SCAMP4	0.18275
GHITM	0.0852999999999999
NDUFB7	0.5165
ADCYAP1	2.89883333333333
SP110	1.50566666666667
MAP3K7IP2	0.103
DHH	0.3495
AGRN	0.8045
WDR33	0.2095
CEP290	-0.358833333333333
PRPS1L1	-1.3445
KLRA1	0.907
GPR97	0.0915
CHD7	1.05433333333333
TLR10	0.915666666666667
SLC30A8	-1.91
HIC1	0.3725
IAPP	0.1155
RXFP4	0.47375
GP1BB	0.86375
SHQ1	0.3975
NKX2-3	0.161166666666667
API5	0.47475
FTHP1	0.332
MOV10L1	-0.267833333333333
TRIM6-TRIM34	1.30733333333333
ADHFE1	1.24575
FAM117A	-0.74625
DDI1	0.413166666666667
CDON	-0.0955
TRIM73	-1.206
IGKC	2.8005
MMP14	-0.538166666666667
DYNC1LI1	-0.3015
C11orf66	-1.001
TRBV3-1	-1.2915
FASTKD5	-0.35025
BIVM	-0.31125
LHX4	-0.691
CXCL2	2.2707
RAB2B	-0.636666666666667
IZUMO1	-0.48325
MAP3K15	-2.134875
FAM19A2	-0.421166666666667
ZC3H8	-0.102
ZMAT1	0.510625
SPINK5L3	-2.403
SLC10A6	0.421
APPL2	-1.376
CARD10	-1.51133333333333
LOC402176	0.22375
EEF1D	0.845
RAB6A	1.4703
C12orf5	0.0245
PAPOLG	1.251
MSRB2	0.9475
BCR	1.391
PUS3	1.33075
TIAM2	1.5245
ZNF317	0.0788333333333333
CHD2	-0.148
FZD5	-1.7485
NUDT8	0.1315
ZNF763	-0.751
PRC1	-0.619333333333333
ABCB9	0.794833333333333
SPATA3	0.02075
TRAK2	0.23375
STAB1	2.38925
LRRTM2	-0.138
psiTPTE22	0.43025
DBI	1.50225
SERPINA11	-3.48575
NAT5	0.1425
C20orf58	-2.57775
RPS6KA4	0.546833333333333
FLJ90650	-1.3655
TGFBRAP1	0.526
CHRDL2	1.32125
FAHD2A	0.499
CNTN1	0.1955
BBS4	-1.9237
TMEM181	0.604
MINPP1	-1.61525
MPHOSPH6	0.766833333333333
HOXC10	0.4235
ITPKB	0.432125
CLPTM1L	0.7595
MEOX2	-0.966833333333333
ATP6V0C	-0.242375
PRPF8	-0.646
TMC5	1.34925
FKBP3	-1.43325
PLEKHB2	-0.633375
OR4D6	0.555
ZNF544	-0.2829
D2HGDH	-0.456875
RPL18A	0.4666
HEL308	0.0655
MPP6	-0.07375
TCERG1	-0.701
KRT16	3.027
KLF17	-1.48475
KLF5	0.803625
CDR1	3.05025
VCX3A	-4.2965
FBLN2	-0.1095
C14orf104	0.91925
HBE1	-5.0306
OR4S2	2.8115
C1orf108	0.237333333333333
ROBO4	2.696
CPEB4	-0.146125
C11orf80	-1.85166666666667
BCKDHA	-0.170833333333333
MYOC	-1.06966666666667
GIF	0.8265
CKMT1A	0.4785
RPL3	0.4041
THBS1	2.09325
APOO	-1.33525
ARMCX1	0.7745
HSZFP36	-0.00875
SNAPC5	-0.46175
EIF4ENIF1	0.127
ZNF433	-0.4265
TNFRSF21	1.30425
TMPRSS7	0.7075
SPATA18	1.2447
HPDL	1.977
MKL2	-0.2183
TBX3	-2.88261538461538
C21orf93	0.0316666666666667
DAXX	0.055
ELMO1	-0.116875
RGS13	0.990166666666667
TAF11	-0.66125
UNC13A	-2.7275
LOC653314	-0.0484
ORC3L	-0.6145
IMAA	-2.0455
TARBP2	-0.419
CABIN1	0.166
TRIOBP	-0.2630625
HIST1H2AC	0.469375
RGS22	-2.4725
NCOA1	0.614166666666667
IL25	0.197
SNCG	-0.2295
GPR6	0.5105
AMDHD1	-3.559
CHEK2	1.099875
C6orf142	0.04075
DRD4	0.16825
C14orf68	-1.50975
GDF11	-1.2935
SEMG2	0.043
CD247	-0.073
CDAN1	-0.795
RBMX2	0.1955
TGS1	-0.048
OIT3	0.36725
SYF2	-0.5745
MCM4	-0.498875
PKHD1L1	-0.42525
CEP192	-0.9235
IFT88	0.4215
RPL9	0.0429285714285714
RAB32	-0.102875
DDX43	-4.16425
P2RX2	0.402666666666667
OR5D18	0.9
UBE1	-0.343083333333333
SLC24A1	0.376875
ARHGAP5	0.034
CETP	-1.10025
KIAA1731	0.2085
SLC9A4	0.2935
PTPN6	0.66825
BAHD1	0.484
GRIK3	0.1115
CACNB2	0.033
PDE10A	0.4325
DGCR14	0.4915
PCDHB9	0.603666666666667
RHOQ	1.97383333333333
MAP3K4	-0.282
KTI12	0.734666666666667
RPL23AP13	-1.73475
GNG11	-2.1235
CLCN3	0.906833333333333
GPAM	-0.195125
VSTM2A	-0.174
SLAMF7	1.87666666666667
INTS2	-1.34275
PPP2CA	-1.552
LRP12	1.16706666666667
SEC14L2	0.716777777777778
DKFZP586H2123	2.217
MC3R	-0.8385
CIRH1A	-1.08183333333333
HIST1H2AB	0.124166666666667
POLH	-1.328625
MGC16703	-1.87566666666667
SNAPC2	-0.5125
FILIP1L	-0.3255
RASGRP4	0.7125
LRRC1	1.555
GAS1	-0.2345
PRAC	-0.50575
DGKA	-0.851666666666667
NT5C3	0.3415
PEG3	-4.16458333333333
NADK	0.0825
PRR17	-1.1285
LOC374569	-0.50075
SGSH	-0.510666666666667
NLRP8	1.525
GALT	-0.5123
MCF2	-0.4965
ZNF263	0.1695
TACSTD1	2.297
TYR	-6.7246
ATP6AP2	-1.00925
RNUXA	-0.427
ABHD10	-0.4089
GDPD2	-1.299
SLC35C1	0.81375
UBE2A	0.346125
HERC5	1.542
FAM112B	-5.02133333333333
FBXL16	-3.90125
DKFZP434A0131	0.07075
ELA3A	-2.219
RBM41	-1.0425
HAO2	0.652333333333333
RNH1	-0.476875
SHANK2	1.47783333333333
OSBP2	-2.144
