Hybridization REF	TCGA-BH-A0DI-01A-21R-A12P-07
GGTL4	0.37825
DAPP1	0.31125
ATF7	0.585
KIAA0748	-0.4415
NFIL3	0.414
TM6SF1	0.4758
SEZ6	-0.090625
NANOS3	-0.0198333333333333
DNAJA3	-0.820333333333333
CLDN6	-1.379
CIITA	2.3317
EPHA4	-0.861083333333333
FANCC	-0.21075
CMTM3	1.31425
PSG3	-0.6105
MRPL15	-1.0295
C21orf59	-0.5065
PLCXD2	-0.143
C2orf34	-0.54875
UBE2L6	1.645
MED14	-0.0553333333333334
HP1BP3	-0.5172
C6orf208	0.2975
TPBG	0.27725
OSR2	1.217
XPC	0.0805
KLHL7	-1.0245
CCR3	-0.4646
AGTPBP1	-0.762833333333333
PCSK6	-0.920666666666667
STAT5A	-0.5629
FAM18B	0.0145
LONRF2	-1.47866666666667
PTPN2	-0.631625
SF3A3	-0.5555
EFCBP2	0.0555
HCFC1	-0.718666666666667
AHNAK	0.82265
ACTR5	-0.37
KIF14	-3.573
TENC1	1.8165
HEATR5B	0.4925
YIPF2	0.631166666666667
MYEOV2	0.623666666666667
DUSP18	0.89425
KIAA1012	-0.34175
AHR	0.1275
C17orf53	-1.31166666666667
PTPRH	-2.442
ATP6V1C1	-0.2044
TAS2R3	0.042
LOC440356	-1.2985
COQ10B	0.63725
PSMF1	0.61725
SORBS2	1.47216666666667
NFE2L2	0.18375
TMCO7	-0.05125
SH3PXD2A	1.1514
SH2D2A	-0.921
SPINK5	-1.95925
MRPS24	-0.9145
OPA3	0.6745
TRAF7	-0.0373333333333333
C4orf35	0.3954
MT1G	0.4515
MGC39545	-1.953
HS1BP3	0.565
OR2B2	0.0205
CHRM4	0.138
SFRP2	4.57291666666667
RIC3	0.21
ART1	1.079
C6orf1	0.96275
DUS4L	-1.299
C10orf104	0.227
TNFAIP6	3.9445
RTEL1	-0.49325
CCT4	-0.8625
ZNF709	-0.57475
CHMP6	0.7335
UPP2	0.17525
CYP19A1	-2.58114285714286
CD151	-0.146666666666667
NDUFA13	-0.052
ARFRP1	-0.589166666666667
FAM26B	2.09425
CRYBA1	-2.097
MRPL41	0.100666666666667
NPFFR2	-0.48625
HRH2	0.31
SCAMP3	0.19
MTMR6	0.2089
MTG1	-0.748166666666667
UBTD1	1.90275
CRABP1	-1.9465
FLJ33790	0.5489
KIAA1908	-0.397333333333333
GPR158	3.794
PACSIN3	-0.648
OMD	3.7825
CATSPER1	-0.465666666666667
HOXB8	-1.335625
FBXO46	0.751
OAS1	1.495
SVIL	0.595
PHB2	-0.80875
ADCY3	-0.1995
NDRG2	1.758
ERMAP	0.5958
APBA2	-0.351833333333333
IGSF9	1.90325
WNT6	0.387357142857143
MYCBPAP	0.5785
ATP2B2	-0.2183
CPVL	-0.0938
TRAM2	-0.0626666666666667
NOP5/NOP58	-0.81675
ZNRF4	0.2945
TLK1	0.1035
MTMR12	0.217857142857143
ZNF384	0.00499999999999999
FAM9B	-2.23975
RPN1	0.4729
PMVK	0.75425
EIF3D	0.1247
SIX2	-1.02825
HPS1	0.610642857142857
RNF7	-0.052
PSKH2	0.5805
KCTD13	-0.2555
CSMD3	-0.3844
FBF1	0.29
IL8	-4.747125
SERPINB13	0.288666666666667
FBXL20	-0.5485
BLR1	0.535
SH2B1	-0.084
RFNG	0.609125
RAB20	1.1735
RBM7	-0.435
POLR1A	-0.247333333333333
TMPRSS4	-2.55425
TAF9	-0.4825
TERF2	0.349833333333333
TNFRSF1A	1.18991666666667
ACADVL	-0.0875
GTF2H5	-0.1975
EDG8	0.415333333333333
C9orf140	-1.14325
UST6	-0.734
ZBTB8OS	-0.56675
ZNF710	1.224
GPR174	-2.037
ATP6V0A2	-0.98725
KIAA0319L	-0.58325
XKRX	-0.2845
DOPEY2	1.5732
SDHD	-0.744083333333333
SUMF1	1.5815
OSM	2.0085
OPN3	0.09325
DAGLB	0.469166666666667
PPFIBP1	0.2688
TRIM63	-1.55775
C10orf53	0.3595
LYPD3	-1.06633333333333
BCL7A	-0.1655
AGER	-0.785333333333333
TCF19	-1.501625
SAT2	0.29875
PFTK1	1.5645
GABRE	-1.417
C15orf38	0.2998
FIS1	0.455
KCNV2	-0.01375
CLPS	0.02475
PPCDC	-0.3025
FOXN2	-0.034
NT5E	-2.1745
CD83	1.05975
IL18	0.302375
VPS16	0.48225
IGFBP2	-0.823166666666667
NOTCH2	0.79
SIGLEC1	2.088
CD93	5.4315
SULF2	1.122
CEP164	-0.198
P53AIP1	0.335
TOR2A	-0.166
ZNF136	0.39025
MGP	3.8169
CCDC144A	-0.3554
TRPC1	-0.00216666666666667
SMS	-0.531
MAPK7	0.0433333333333333
RRAGC	0.96975
PARD6A	0.865666666666667
NUB1	1.03316666666667
SYNGR4	0.78475
OR11H12	0.3345
WIF1	2.5485
GCH1	-0.736
OR11H4	0.043
SLC44A5	0.7445
GPRIN2	0.655666666666667
LOC401431	0.86775
CPA4	-1.5493
MELK	-3.43722222222222
IL15RA	0.70125
CUL3	0.5035
HMBOX1	-0.54475
PODXL	-1.318
CCT6B	0.716666666666667
COMTD1	-1.167
MUC20	0.377333333333333
GPX2	-2.380375
ITK	-0.457375
FBXL5	0.98175
C13orf27	-1.4895
DEFA5	0.3235
TRHDE	0.172
MTP18	-0.830166666666667
UQCRQ	0.4302
ITGB2	2.52333333333333
CSRP2BP	0.06825
TAS2R44	0.2265
PHPT1	0.553125
FAM44C	0.341
ERH	-0.037
MPHOSPH1	-2.377
MORC1	-0.263
PARVB	-0.369
LAMA1	-1.05325
PGBD3	0.1685
GIMAP6	4.039
AREG	-1.37666666666667
LIPT1	-0.23275
MGC99813	0.2435
C1orf201	0.287333333333333
GRIN2A	-0.3333
MAN2C1	-0.285
NSUN5	-0.8555
SF3B5	0.14725
MYC	-1.618375
NRXN1	-0.46925
ZNF18	-0.17025
SPDYA	-0.989375
SLC37A1	1.109
DECR2	-0.46
ANKRD38	1.83425
SPTLC3	-0.80275
SUPT16H	-0.91425
DTWD2	0.7395
ULBP1	-0.4455
ZADH1	-0.407
OIP5	-3.30825
IL10RB	0.467166666666667
OTUB2	-0.332875
VWA3A	0.215166666666667
SPIC	0.457833333333333
OR6C4	0.1485
PSCD4	1.51316666666667
DPY19L2P2	-1.1335
TRAPPC6A	0.6835
C21orf2	0.1475
CEMP1	0.12325
LIN7B	0.2155
E2F7	-2.66616666666667
VCP	-0.04575
LAMA3	0.566
BGN	2.5765
GPR160	2.89983333333333
COCH	-4.45616666666667
GPR81	1.2145
APOBEC3F	-0.78675
tcag7.1017	-0.718
C1orf32	0.3855
SCGB1D2	5.19075
FLJ43987	-2.0395
C6orf170	-0.097
KLK9	0.5395
GPD1L	-0.767875
VPS37B	0.1295
ATG3	-0.284666666666667
ADAMTS17	-0.5435
KLHDC2	-0.187833333333333
NDUFV2	-0.64125
BLK	-1.59975
MATN4	-0.996
GPM6A	0.14025
GBP4	3.31516666666667
TMEM162	0.377
PKP2	-0.3635
HRASLS	-1.04155555555556
MMP1	-3.23425
SFXN3	0.3171
FSD1	-1.02016666666667
ST6GALNAC3	-1.54933333333333
CA12	2.297
NCOA6	0.36525
C19orf58	-0.2077
PPP4R1	0.232666666666667
MAN1A2	1.14716666666667
IKBKAP	-1.4365
UPF1	0.168
KIAA1219	0.27775
WNT16	0.5278
SNW1	-0.139375
IL18RAP	1.79425
RPP30	-0.043875
CDC40	-0.052
SETD3	0.1365
SLAMF6	0.5275
ELK4	-0.826
TRIM47	0.962166666666667
ACOX3	0.892125
TRIM6	0.9875
KIAA0372	-0.402666666666667
TP53AP1	1.2285
SMURF2	-0.328
ADAD1	0.435
EBP	-0.9221
KRTAP13-2	-0.8035
FLJ36874	-1.32516666666667
TOR1A	0.0825
P2RY4	0.9525
GPBP1	0.5835
TRPV1	-0.396375
ADAMTS12	1.0415
PES1	-0.0327
ATG4A	0.564833333333333
MAGEA10	-4.436
WFS1	1.365
CC2D1B	-0.086
PABPN1	-0.436125
SLC25A30	-0.125
SLCO1C1	0.401666666666667
SLC22A5	1.2115
KIF23	-3.06816666666667
SYN2	0.000666666666666677
ASPN	7.54783333333333
CENTG2	-0.061
QSOX2	-1.2855
FLJ10815	0.515666666666667
STK24	0.0550625
SPEG	0.4767
STK10	0.667166666666667
DACT2	0.3715
AAAS	-0.77725
SSX3	-0.831375
ABCD3	-0.6613
C4orf12	0.58
PARVG	1.43933333333333
FIG4	1.216
C9orf46	-0.185
TMCO6	-0.4295
IGHMBP2	-0.30625
DUS2L	-0.0966666666666667
FAM3C	-0.0049375
TMEM16D	-1.10025
DCTN4	1.047
KCNH3	0.26525
EIF2AK2	0.30475
AP1S3	-0.217375
CST4	2.923
PAM	1.0445
NUTF2	0.02425
CITED2	0.1835
SLC39A4	-0.45575
C2orf52	-0.5665
GRM3	-0.59025
C12orf49	0.544125
CCDC49	-0.3817
GRAMD1B	-1.007125
FNDC4	1.83825
SIAH2	-0.238625
GDPD4	0.292
C21orf87	0.235875
ATP5A1	-0.137
C16orf63	-0.876875
LOC388135	-0.179166666666667
ATP5J2	-0.889375
MMP3	1.01375
EMID2	0.021
CRHR1	0.44675
WDR70	0.014
C13orf31	1.35825
ZFAND1	-0.24425
CCL18	4.29466666666667
C3orf49	-1.546
RINT1	-0.5895
KIAA0408	-1.66683333333333
F13A1	4.97
SLC10A1	0.434833333333333
OGN	4.22425
GIPC2	-0.647
XPO6	-0.498666666666667
LCE1A	1.191
FMR1	0.0536
LOC374920	0.64875
DUSP3	0.475875
ANKMY1	0.1295
C7orf50	0.175
BBS9	-0.0702000000000001
UNC119B	-0.49575
C9orf72	-0.50575
MGC35440	-1.05
ENTPD6	-0.43
PPP1R2P9	0.718333333333333
ERCC4	-0.28
FAHD2B	0.329
HMHA1	-0.021
HACL1	-1.3255
RAD23A	-0.576166666666667
FAM83B	-0.8365
PPP5C	-0.636
RNASEH2C	-0.078875
C9orf153	-0.92675
SCAMP4	0.721875
GHITM	0.1503
NDUFB7	-0.141625
ADCYAP1	2.30333333333333
SP110	1.99133333333333
MAP3K7IP2	0.55175
DHH	0.2005
AGRN	1.2315
WDR33	0.560333333333333
CEP290	-0.770333333333333
PRPS1L1	-2.05316666666667
KLRA1	-0.3355
GPR97	0.17
CHD7	-1.65466666666667
TLR10	1.48025
SLC30A8	3.957
HIC1	2.37383333333333
IAPP	-0.0185
RXFP4	0.26875
GP1BB	2.273
SHQ1	-0.4285
NKX2-3	0.190666666666667
API5	-0.719
FTHP1	0.807
MOV10L1	-0.0918333333333333
TRIM6-TRIM34	1.35833333333333
ADHFE1	0.14175
FAM117A	-0.308
DDI1	-0.460166666666667
CDON	-0.664333333333333
TRIM73	-2.208
IGKC	4.7955
MMP14	0.643916666666667
DYNC1LI1	-0.87675
C11orf66	0.38125
TRBV3-1	-0.96725
FASTKD5	-0.6315
BIVM	-1.4215
LHX4	-1.064
CXCL2	-0.0933
RAB2B	-0.659666666666667
IZUMO1	-1.08325
MAP3K15	-1.648375
FAM19A2	0.784
ZC3H8	-0.473166666666667
ZMAT1	1.092125
SPINK5L3	-2.65425
SLC10A6	0.351
APPL2	-0.126375
CARD10	-0.383333333333333
LOC402176	-0.3565
EEF1D	1.4
RAB6A	1.4941
C12orf5	-0.274
PAPOLG	0.48
MSRB2	0.97125
BCR	0.739777777777778
PUS3	-0.484
TIAM2	1.1775
ZNF317	0.0618333333333333
CHD2	0.0560714285714286
FZD5	-2.01613636363636
NUDT8	-0.366
ZNF763	-0.593
PRC1	-2.66622222222222
ABCB9	0.376333333333333
SPATA3	0.25125
TRAK2	0.518375
STAB1	2.514125
LRRTM2	0.182666666666667
psiTPTE22	2.3845
DBI	1.419
SERPINA11	-2.10625
NAT5	-0.13
C20orf58	-0.8665
RPS6KA4	0.380833333333333
FLJ90650	0.0315
TGFBRAP1	0.34125
CHRDL2	1.694625
FAHD2A	0.110666666666667
CNTN1	0.833
BBS4	-0.042
TMEM181	-0.57125
MINPP1	-0.923
MPHOSPH6	0.7515
HOXC10	1.6396
ITPKB	0.3675
CLPTM1L	0.29475
MEOX2	1.0755
ATP6V0C	0.626
PRPF8	-0.259833333333333
TMC5	3.523
FKBP3	0.0595
PLEKHB2	-0.689875
OR4D6	0.3615
ZNF544	-0.9483
D2HGDH	-0.174375
RPL18A	-0.1996
HEL308	-0.178625
MPP6	-2.845
TCERG1	-1.821
KRT16	1.98016666666667
KLF17	-1.74875
KLF5	0.204
CDR1	3.359875
VCX3A	-3.3245
FBLN2	2.644875
C14orf104	-0.57875
HBE1	-4.4936
OR4S2	0.5525
C1orf108	-0.915666666666667
ROBO4	3.322
CPEB4	0.676875
C11orf80	-0.650833333333333
BCKDHA	0.8775
MYOC	0.5435
GIF	0.453
CKMT1A	1.264
RPL3	0.7618
THBS1	2.8395
APOO	-1.21825
ARMCX1	1.95625
HSZFP36	-0.03725
SNAPC5	-0.15025
EIF4ENIF1	0.6805
ZNF433	-0.7055
TNFRSF21	-0.213
TMPRSS7	0.1715
SPATA18	1.1009
HPDL	-3.1015
MKL2	1.2957
TBX3	1.39692307692308
C21orf93	-0.0116666666666667
DAXX	0.10225
ELMO1	0.120375
RGS13	3.13583333333333
TAF11	-0.75425
UNC13A	-2.010375
LOC653314	-0.1185
ORC3L	-0.96925
IMAA	-3.417
TARBP2	-0.285
CABIN1	-0.2447
TRIOBP	0.560625
HIST1H2AC	1.4145
RGS22	-1.46816666666667
NCOA1	1.18566666666667
IL25	0.456
SNCG	0.744
GPR6	0.6775
AMDHD1	-1.72233333333333
CHEK2	-1.046
C6orf142	0.29375
DRD4	1.73625
C14orf68	-0.69625
GDF11	-1.09225
SEMG2	1.583
CD247	-0.335
CDAN1	-0.81625
RBMX2	0.103833333333333
TGS1	-0.931
OIT3	1.85325
SYF2	0.30225
MCM4	-2.3375
PKHD1L1	0.2555
CEP192	-0.96
IFT88	0.00625000000000001
RPL9	-0.144571428571429
RAB32	0.51175
DDX43	-2.305
P2RX2	0.268
OR5D18	-0.251
UBE1	0.244
SLC24A1	0.384125
ARHGAP5	-0.99525
CETP	-0.33225
KIAA1731	-1.52566666666667
SLC9A4	0.4805
PTPN6	1.34175
BAHD1	0.2075
GRIK3	0.5595
CACNB2	-0.5702
PDE10A	-0.4685
DGCR14	0.4315
PCDHB9	0.277
RHOQ	0.260166666666667
MAP3K4	0.0225
KTI12	-0.1055
RPL23AP13	-1.27675
GNG11	0.73675
CLCN3	0.400833333333333
GPAM	-0.423375
VSTM2A	1.495
SLAMF7	2.7045
INTS2	-0.966
PPP2CA	0.1925
LRP12	0.443333333333333
SEC14L2	1.27655555555556
DKFZP586H2123	3.5845
MC3R	-0.4275
CIRH1A	-0.968166666666667
HIST1H2AB	0.6905
POLH	-1.01875
MGC16703	-1.49016666666667
SNAPC2	0.4805
FILIP1L	2.09975
RASGRP4	0.411
LRRC1	2.09825
GAS1	2.54825
PRAC	-0.92625
DGKA	-0.1785
NT5C3	-1.164
PEG3	-2.71441666666667
NADK	-0.36025
PRR17	0.342
LOC374569	0.30075
SGSH	1.7025
NLRP8	0.1015
GALT	-0.5293
MCF2	-1.5195
ZNF263	0.7455
TACSTD1	1.08116666666667
TYR	-5.6991
ATP6AP2	0.5905
RNUXA	-0.08175
ABHD10	-0.658666666666667
GDPD2	-0.64625
SLC35C1	-0.23675
UBE2A	0.25125
HERC5	-1.07866666666667
FAM112B	-4.09733333333333
FBXL16	-1.9795
DKFZP434A0131	-0.92575
ELA3A	-1.3025
RBM41	-1.504375
HAO2	-0.79925
RNH1	0.509125
SHANK2	0.587833333333333
OSBP2	-1.437
DAK	0.117
C3orf58	0.641083333333333
TCL1B	-0.882
KBTBD2	-0.371875
SUGT1L1	-0.3025
UBE2E2	0.740666666666666
MYL9	2.976125
CDC23	-0.704666666666667
PBXIP1	1.8635
CXorf40B	-0.1695
NBL1	2.31825
RTBDN	0.2985
RAB11FIP5	0.70175
TTTY13	-0.0365
SCOTIN	0.320416666666667
SOHLH1	-0.881833333333333
CDKN1A	0.662571428571429
NCK1	0.21375
ZNF550	-0.40325
SAPS3	0.186416666666667
SPIN3	0.1115
MAGEE2	0.6695
MIS12	-1.38616666666667
OR8H2	0.368
KIAA0774	-0.8245
UNC5D	-1.497
CUL7	0.0803333333333333
LIPC	-3.065
DIO1	-2.30725
C20orf11	-0.0685
CTRL	-0.38525
HS3ST2	2.9485
PAK4	0.680666666666667
CCRL1	4.2735
RNF10	0.01625
ZNF567	-0.07525
ZNF660	-0.9065
TCEAL3	2.5035
MAGOH	-1.06166666666667
CENPB	0.270666666666667
C19orf7	0.650625
LOC388965	0.3095
ZCCHC13	1.4145
JMJD1A	-0.9206
HIST1H4H	0.968
TBRG1	-0.9249
GPC3	-3.273625
TAF1C	-0.590125
EBNA1BP2	-0.858666666666667
CIAPIN1	-0.11025
PDGFRA	0.673333333333333
CSTB	-0.3095
CENPI	-2.54266666666667
GTF2E2	-0.940166666666667
RPP21	-0.30775
CCNF	-1.53216666666667
KCNQ3	0.3195
FAM79A	1.68425
SLC22A12	0.4025
NOVA1	2.27183333333333
FZD3	-0.7604
AKAP8	-0.68175
SOCS5	0.587625
CFDP1	-0.28775
DLG5	0.328
PGM5	0.750666666666667
C1orf144	0.292083333333333
HDAC10	-1.1895
RND2	-0.4275
C20orf199	-0.90925
RNMT	-0.717125
SLURP1	1.14175
ASTN1	0.78375
SH3BGR	0.8835
MYCL1	-0.934375
ZHX1	0.657666666666667
CENPK	-3.37975
FOSB	2.5802
LOC643406	0.208375
C2orf59	0.11925
TMEM135	-0.3005
SLC27A2	-2.9
KRT33A	2.2865
OVOL1	0.133625
PAMCI	-1.24516666666667
S100A7	-0.084
ZNF789	-1.694
HARS2	0.66
RPL23A	-0.767666666666667
TCF23	0.046
UPF3B	-1.3915
C17orf78	-0.1815
HLA-DOB	0.777333333333333
C14orf142	0.0263333333333333
TEKT5	1.1725
DMWD	0.225
POLD1	-2.0255
GSCL	-0.1825
CALD1	1.0906
SCRT1	1.137
AIG1	0.37925
UNC84B	0.905
ZNF404	-1.14125
TMED6	-2.443
KIAA1462	1.282
LRRC27	2.3355
PYGO1	0.839
PIGU	-0.4565
ALAS2	-3.50466666666667
WRNIP1	-0.0595
CNNM3	0.249
ZNF2	0.97925
ST3GAL5	-0.21025
MRPL23	-0.95725
TSSK6	-0.28225
PSMA6	-0.30175
C16orf70	-0.61125
KIAA1602	0.315
ALMS1	-0.0215
DCN	4.393875
TMEM132D	-1.65475
SUCLG2	-0.69425
ABHD14A	-0.06125
DEXI	0.177833333333333
AMPD2	-0.206166666666667
IFNAR2	-0.126333333333333
CYB5A	2.2212
TLOC1	1.829
NXF5	-0.339333333333333
NRBF2	0.4135
KCTD3	0.8015
ITGAE	-0.515333333333333
SLC30A3	-1.68733333333333
ZRF1	-0.873
IFRD2	-1.153
XAB1	-0.078
PYCR2	-0.285
SERPINB3	-3.6305
TMLHE	-0.38
GEFT	-0.757375
ABCA5	-0.615375
EMR4	0.3812
TSFM	-0.44275
HIST3H2BB	0.14575
ARHGEF19	0.77375
TSPAN17	0.792333333333333
ABCC8	3.1555
MAP1S	0.425166666666667
C22orf36	1.45725
BNC2	1.65571428571429
HIST1H4A	-0.623
NDUFS3	-0.586666666666667
WDR3	-0.996333333333333
XKR4	-0.77625
TTC33	-0.200071428571429
STMN2	4.32675
CPN2	-0.42
HSPC105	0.447875
PCOLCE2	-2.0845
C3orf55	1.9855
KLHDC9	0.366166666666667
TBC1D23	0.35875
ATXN2L	-1.12325
MAP2K3	0.0160833333333333
SCAP	-0.10875
ZNF486	0.630833333333333
C20orf96	-0.7925
NARS	-0.432
ADAMTSL1	0.0478571428571429
PRCC	0.065
CCDC126	0.6595
ZNF675	-0.83275
CALCOCO1	0.707
ANKRD43	1.22025
CWF19L2	-0.0748333333333333
ZBTB32	1.77616666666667
BRAF	-0.6835
ODF4	0.12825
MGC14376	0.330333333333333
HORMAD1	-2.42433333333333
AAK1	-0.20775
PEBP1	1.06891666666667
TNFSF5IP1	-0.148166666666667
DKFZp564N2472	0.58575
RMND1	-0.65525
IGKV1-5	3.9805
COL1A2	4.18766666666667
SERPINA5	-0.616
AANAT	0.3155
C19orf21	0.00216666666666666
GEMIN5	-0.2945
UBR4	0.0896666666666667
LTBP3	1.94833333333333
AMHR2	-1.637
PROCR	0.52625
MYBBP1A	-0.9505
C20orf39	2.83533333333333
ZNF697	-0.0545
PASK	-1.0784
ZNF776	0.673166666666667
RFXDC2	-0.34375
KIAA0467	-0.009
C10orf96	-2.58175
ZNF503	0.09875
GULP1	-0.377416666666667
KCNE4	1.794
DKFZp434K191	-1.4535
LOC196913	-0.4315
BHLHB4	2.44
CH25H	2.3815
LOC81691	-1.7635
ALPL	0.444071428571429
COL12A1	3.9485
FOLR3	-1.45866666666667
GPR123	-0.164
TRIM62	0.491071428571429
ABLIM1	0.742333333333333
MAST3	-0.329
RHBDD1	0.175
LOC338809	0.562
RYBP	0.296
TTC26	-0.33675
ZNF22	0.0933333333333333
ISCA2	-0.1945
RDM1	-1.383
PIGM	-0.101
GNB3	-1.0555
ACTR2	0.0992
HMGB1	0.03315
EDG1	3.5955
SOAT2	-2.7725
OR10AD1	0.1715
RAP1GDS1	0.802083333333333
LCE1F	0.695
ESM1	-0.289375
RCN3	2.942
CREBL1	-0.405
DBNL	0.3375
PTGER3	2.96675
USP30	-0.179333333333333
BCL2L12	-0.800833333333333
KIF26B	2.95175
ZNF416	0.45475
ZNF225	0.3775
C17orf70	1.1965
ZNF554	0.77625
RAE1	-0.852333333333333
TNIK	0.745833333333333
ACTN3	1.009
MGC45922	1.2035
CCNA1	0.232
RYK	0.344833333333333
IL26	0.393
LRP3	1.37283333333333
QARS	-0.824
SOX7	1.27635714285714
BID	-0.3825
OR2S2	0.2425
CXCL14	4.506
C11orf47	-0.6545
MGC29891	-0.263
HSPB8	0.9933
PRDM14	-2.4295
NUFIP2	0.20375
MNAT1	-0.327875
ZDHHC2	-0.328833333333333
MBNL2	0.847
ADD3	-0.08625
CSNK2A1P	-1.2185
KLK6	-0.062
TMEM111	-0.2883
KIAA1279	0.2685
NUBP2	0.23
RAB42	0.12275
ID3	0.0625
TM9SF1	0.08975
MDP-1	-0.1415
POU4F2	0.27225
IQCK	0.45775
C16orf14	-1.0335
CAPN3	-1.440875
FAM43B	0.082125
RECQL	-1.03425
AP1G1	-0.136714285714286
CTNNBL1	-0.109333333333333
ECHDC1	-0.604666666666667
SMARCC1	-1.1995
FOXQ1	-0.364625
GNAI3	0.289666666666667
POLG2	-1.72875
CD4	1.376375
ITLN1	-0.55325
EBI2	4.18375
IRF1	1.187
PTPRE	1.2313
PTK2B	-0.1565
NXNL2	-1.198
SOX4	1.2175
TSPAN3	0.777833333333333
SH2D1A	-1.87333333333333
C8orf58	-0.1895
USP20	-0.145
DUSP22	-0.378166666666667
CALB1	-2.65983333333333
L3MBTL2	0.835416666666667
MCRS1	-0.17375
TMEM118	-1.56983333333333
C18orf8	0.3865
FLJ10241	-0.099375
GJA12	1.09375
PKD1	0.156
ZFP3	0.121
JAM3	0.350875
LAPTM4A	1.7
DIRC2	0.0185
KIAA2022	1.50016666666667
MYOM1	0.843666666666667
TRPM8	-1.3605
MOP-1	1.21525
PHKG2	-0.348
ZNF650	0.371375
KIAA1522	0.8175
PSG8	-1.25283333333333
DDX19B	0.1975
MOBKL1B	-0.70375
DIAPH2	-0.305083333333333
PTPN12	0.043
CLN8	-0.6058
CRYZL1	-0.175
CRY2	0.875583333333333
FCGR2B	4.582
PNPLA4	1.414375
ZNF454	1.126
DKFZp434B1231	0.13225
CLDN11	0.99
RFWD2	0.447666666666667
CIB2	-0.495
MXRA8	3.87325
HRK	0.754375
MAML2	0.2945
C4orf31	1.18375
C6orf192	-0.2565
COG6	0.64925
FAM5B	-0.221
NFATC1	1.2205
SEPT10	-0.30225
SCYL1	0.2458
RPP40	-0.86725
SCOC	1.1373
KIAA1450	0.98775
CTDSPL2	-0.2835
TBX5	3.02866666666667
NAPG	-0.225625
RHD	-4.421
C14orf45	1.16666666666667
ZBTB22	0.9435
PLCG1	-0.881
ANKRD10	-0.99125
AQP7P2	1.10175
TAGLN2	0.329666666666667
HTR2C	-0.988
SLC16A7	-0.4825
C17orf83	0.77325
TSGA14	-0.597416666666667
MDH1	-0.2855
PPP3R2	0.0555
DCBLD2	-1.6
RBM33	-0.635125
DPH3	-1.7515
SYT10	-0.908833333333333
FMO4	1.879
THYN1	-0.947
DRD5	-1.6215
OTOR	-0.1055
PGRMC2	0.5092
KATNAL1	-0.121875
PAQR6	-2.63825
UBE2I	-0.579
C14orf28	0.19475
C8orf70	0.78175
FLYWCH1	-0.1465
ANGPTL3	-1.40825
GLRX2	0.1105
ATP11A	-0.773785714285714
ARL5B	-0.857625
MUC16	-2.29675
SLC25A5	-0.809714285714286
ACRC	-1.54275
MYO1C	-0.10575
FAM89B	1.38383333333333
FAS	1.357125
KIFAP3	1.27925
GLRA2	0.6345
BTN3A2	0.6776
CNKSR3	-0.36125
CSTF3	-0.800166666666667
ARPM1	1.705
KIAA1530	-1.571
C9orf150	1.945
PRKCI	1.57325
tcag7.1015	-0.6205
SOD3	0.68325
ZNF574	0.5065
CYP21A2	1.4745
RPL12	0.4685
COMMD2	-0.8925
WIZ	0.38825
LOC344405	-1.703
ALDH4A1	0.313529411764706
CRYAB	3.1355
COPA	0.304633333333333
PCDHGA7	0.672166666666667
KIF11	-2.09641666666667
RASD2	0.23075
SLC26A3	1.0955
ZNF175	0.265
JAKMIP2	-0.634
C8orf4	3.605
PTHLH	3.112
SLC40A1	3.07766666666667
OR7D4	0.506833333333333
PCDHB17	-0.1565
CD36	5.486
C6orf203	0.7013
PRKG2	0.596
LOC400566	0.6795
ANAPC13	0.2485
SLCO3A1	-0.32225
ZNF692	-1.716
FANCL	-0.8225
SH3GLB1	0.815
C12orf61	-1.9865
KBTBD6	0.18075
SUPT5H	0.34925
XRCC6	0.0814
HUS1B	-0.0861
FAM133B	-0.458571428571429
LOC728276	-0.4595
KCTD18	0.299
SOS2	1.09033333333333
CCDC99	-1.7415
C1QTNF5	4.3005
NNAT	0.794166666666667
USP16	-0.1105
LARS	-0.707375
ZBTB2	0.01175
ABO	0.281666666666667
TRAF3	-0.376
GALNT5	-0.3665
NAP5	0.973875
ALG14	0.617666666666667
KIAA0515	-0.0174230769230769
WDR75	-0.9815
TEX261	0.0553333333333333
LY86	1.38125
LOC389072	-0.747
FLJ13611	0.40325
MRGPRX2	0.2375
SNRPA	-0.894125
OR2G2	0.205
GPRASP2	0.8405
C7orf42	0.4619
C9orf163	-0.368
CYP11B2	1.4475
FCRL3	1.09016666666667
PRDX1	0.283
FGB	-6.43
COX17	0.167
C16orf33	-0.6805
PIWIL1	-0.919333333333333
FOLR1	-1.90616666666667
KIAA0082	0.155
FREQ	-0.0751666666666667
TMCC2	-0.707
TCF12	-0.0166666666666667
ZNF721	0.05225
FAM130A2	1.0565
POU4F1	-1.69625
SNRPF	-0.997125
SGIP1	1.85416666666667
ZNF641	0.8325
EMG1	-0.685
PRRG4	0.367
HIRA	-2.5625
MYNN	1.44733333333333
AEBP2	-0.560833333333333
TBXA2R	0.184833333333333
ISL2	-1.05266666666667
PCDHB11	1.0665
RNF144A	0.42275
MARCH5	0.10225
DULLARD	0.1295
DCLRE1B	-0.441
ITGA8	0.921
TP73	0.30175
PRKCD	0.876
NDUFB4	0.00650000000000001
ATP13A4	1.474125
ANTXR2	0.388666666666667
COL4A3	-0.589333333333333
MYO10	-1.0708
SLC6A18	0.55475
PEX1	-0.69475
TMEM74	-1.39016666666667
RBM19	0.58925
TAPBP	0.88685
RUNX1	1.6695
MID1	-0.26175
GPR64	-1.1895
RASEF	3.04625
GABRG1	-0.32525
