Hybridization REF	TCGA-E2-A15H-01A-11R-A12D-07
FANCC	-0.14525
CMTM3	0.617
PSG3	-0.551875
MRPL15	-0.06675
C21orf59	-0.47125
PLCXD2	-0.7045
C2orf34	-0.472125
UBE2L6	2.072875
MED14	-0.261333333333333
HP1BP3	-0.9052
C6orf208	-0.046
TPBG	0.485
OSR2	-0.386125
XPC	0.7135
KLHL7	-1.58458333333333
CCR3	-0.805166666666667
AGTPBP1	-1.43633333333333
PCSK6	1.6602
STAT5A	-1.3061
FAM18B	-0.14625
LONRF2	0.685333333333333
PTPN2	-0.537875
SF3A3	-1.05283333333333
EFCBP2	-0.1875
HCFC1	-0.509
AHNAK	1.1462
ACTR5	0.47275
KIF14	-1.90514285714286
TENC1	1.71075
HEATR5B	0.4465
YIPF2	0.603166666666667
MYEOV2	0.929166666666667
DUSP18	0.99825
KIAA1012	0.15
AHR	-1.17683333333333
C17orf53	-0.489166666666667
PTPRH	-3.88125
ATP6V1C1	0.2508
TAS2R3	-0.5605
LOC440356	-1.147
COQ10B	-0.2155
PSMF1	0.69625
SORBS2	2.55225
NFE2L2	-0.834
TMCO7	-0.9925
SH3PXD2A	0.1426
SH2D2A	-1.421
SPINK5	-3.879
MRPS24	-0.9955
OPA3	0.45475
TRAF7	1.3245
C4orf35	0.205
MT1G	-1.59675
MGC39545	0.529
HS1BP3	0.8974
OR2B2	0.4835
CHRM4	-0.4875
SFRP2	3.33066666666667
RIC3	2.55275
ART1	0.2395
C6orf1	0.122375
DUS4L	-1.4
C10orf104	0.058
TNFAIP6	3.106
RTEL1	-0.4715
CCT4	-0.7645
ZNF709	-1.058
CHMP6	0.038
UPP2	0.561
CYP19A1	-3.28885714285714
CD151	1.18716666666667
NDUFA13	-0.126166666666667
ARFRP1	0.059
FAM26B	2.09925
CRYBA1	-1.63
MRPL41	0.696666666666667
NPFFR2	-1.023125
HRH2	0.331
SCAMP3	1.128
MTMR6	-0.00630000000000001
MTG1	0.0311666666666667
UBTD1	1.8415
CRABP1	-3.8475
FLJ33790	0.4837
KIAA1908	-0.942833333333333
GPR158	-3.0215
PACSIN3	1.38633333333333
OMD	2.22433333333333
CATSPER1	-1.069
HOXB8	-0.763
FBXO46	0.5755
OAS1	1.76916666666667
SVIL	0.60925
PHB2	-0.77925
ADCY3	-1.1825
NDRG2	0.4505
ERMAP	0.4311
APBA2	-1.022
IGSF9	2.76175
WNT6	-0.521642857142857
MYCBPAP	0.43375
ATP2B2	0.2091
CPVL	-1.9002
TRAM2	-0.952416666666667
NOP5/NOP58	-0.255
ZNRF4	0.01375
TLK1	-0.100375
MTMR12	0.025
ZNF384	0.431166666666667
FAM9B	-3.447
RPN1	0.4779
PMVK	1.85575
EIF3D	-0.0808
SIX2	-1.459
HPS1	1.08864285714286
RNF7	0.30775
PSKH2	0.2715
KCTD13	0.00783333333333336
CSMD3	-0.7253
FBF1	0.5845
IL8	-5.462625
SERPINB13	0.526583333333333
FBXL20	2.78925
BLR1	0.33675
SH2B1	-0.461166666666667
RFNG	0.374625
RAB20	1.79716666666667
RBM7	-0.882
POLR1A	0.1085
TMPRSS4	-2.807
TAF9	-0.167875
TERF2	0.4465
TNFRSF1A	0.67125
ACADVL	-0.153333333333333
GTF2H5	-0.062
EDG8	-0.306
C9orf140	-0.296125
UST6	0.3255
ZBTB8OS	-1.38075
ZNF710	0.834
GPR174	-1.139
ATP6V0A2	-0.2935
KIAA0319L	0.820583333333333
XKRX	-0.1495
DOPEY2	1.0634
SDHD	-0.679833333333333
SUMF1	1.76925
OSM	1.66625
OPN3	-2.3715
DAGLB	0.601333333333333
PPFIBP1	1.3828
TRIM63	-4.30175
C10orf53	0.882
LYPD3	-0.3925
BCL7A	-0.407875
AGER	-1.2205
TCF19	-1.07
SAT2	-1.4945
PFTK1	0.402666666666667
GABRE	-3.2065
C15orf38	0.2803
FIS1	0.7775
KCNV2	-0.1485
CLPS	1.10225
PPCDC	-0.237625
FOXN2	0.221666666666667
NT5E	-3.5165
CD83	-0.23275
IL18	-0.5635
VPS16	0.556
IGFBP2	1.52666666666667
NOTCH2	0.6175
SIGLEC1	2.2645
CD93	3.9565
SULF2	-0.3215
CEP164	0.223875
P53AIP1	0.146833333333333
TOR2A	0.1185
ZNF136	-0.418
MGP	2.913
CCDC144A	1.14283333333333
TRPC1	-1.43233333333333
SMS	-0.936333333333333
MAPK7	-0.533
RRAGC	0.46625
PARD6A	1.41816666666667
NUB1	0.6725
SYNGR4	-0.244
OR11H12	0.566
WIF1	0.37375
GCH1	-0.2185
OR11H4	0.0675
SLC44A5	0.4525
GPRIN2	-0.294833333333333
LOC401431	-0.3195
CPA4	-3.0325
MELK	-1.17033333333333
IL15RA	-0.22575
CUL3	-0.3505
HMBOX1	0.561
PODXL	-2.64025
CCT6B	-0.802
COMTD1	0.075
MUC20	0.185333333333333
GPX2	-3.863625
ITK	-2.26925
FBXL5	0.766
C13orf27	-1.56
DEFA5	0.0165
TRHDE	-0.409
MTP18	-0.101666666666667
UQCRQ	0.4935
ITGB2	0.79875
CSRP2BP	0.41775
TAS2R44	0.907
PHPT1	0.970625
FAM44C	0.09175
ERH	-0.45
MPHOSPH1	-1.96066666666667
MORC1	-1.027
PARVB	-0.86925
LAMA1	-1.60291666666667
PGBD3	-0.02475
GIMAP6	3.33225
AREG	0.9445
LIPT1	-0.68475
MGC99813	-2.04175
C1orf201	-0.108
GRIN2A	-0.1915
MAN2C1	0.098125
NSUN5	0.0880000000000001
SF3B5	0.37725
MYC	-1.2080625
NRXN1	-0.928416666666667
ZNF18	-0.6145
SPDYA	-0.54575
SLC37A1	1.6635
DECR2	0.498
ANKRD38	2.045875
SPTLC3	-0.297166666666667
SUPT16H	-0.0625
DTWD2	0.43575
ULBP1	0.452
ZADH1	0.290166666666667
OIP5	-2.96475
IL10RB	0.295666666666667
OTUB2	0.262875
VWA3A	0.782333333333333
SPIC	0.415
OR6C4	0.1035
PSCD4	0.766166666666667
DPY19L2P2	-0.043
TRAPPC6A	0.1805
C21orf2	0.541833333333333
CEMP1	1.08825
LIN7B	-0.849
E2F7	-1.663
VCP	0.9875625
LAMA3	0.4395
BGN	2.55575
GPR160	1.17483333333333
COCH	-5.13066666666667
GPR81	1.43716666666667
APOBEC3F	-1.617
tcag7.1017	-0.357
C1orf32	0.616
SCGB1D2	6.552
FLJ43987	-0.9995
C6orf170	-0.3435
KLK9	0.322
GPD1L	1.1045
VPS37B	0.41325
ATG3	-0.583
ADAMTS17	0.309
KLHDC2	-0.142166666666667
NDUFV2	0.89025
BLK	-2.66
MATN4	-1.9245
GPM6A	-0.467666666666667
GBP4	2.6065
TMEM162	0.437833333333333
PKP2	1.976
HRASLS	-0.571
MMP1	-1.80425
SFXN3	-0.1505
FSD1	-1.96633333333333
ST6GALNAC3	-3.02533333333333
CA12	2.8831
NCOA6	0.30275
C19orf58	-0.4434
PPP4R1	0.0581666666666667
MAN1A2	1.3965
IKBKAP	-1.281
UPF1	0.089
KIAA1219	0.39775
WNT16	-0.5708
SNW1	-0.08375
IL18RAP	1.8935
RPP30	-0.19475
CDC40	-0.493428571428571
SETD3	0.442833333333333
SLAMF6	0.00325
ELK4	-0.1295
TRIM47	1.48583333333333
ACOX3	0.985
TRIM6	0.269375
KIAA0372	-0.2165
TP53AP1	1.54
SMURF2	0.03425
ADAD1	0.100666666666667
EBP	-1.3807
KRTAP13-2	-0.0735
FLJ36874	-0.786833333333333
TOR1A	-0.079
P2RY4	0.6195
GPBP1	0.24625
TRPV1	0.2745
ADAMTS12	0.513
PES1	0.4191
ATG4A	0.211
MAGEA10	-4.95825
WFS1	1.99325
CC2D1B	0.512833333333333
PABPN1	-0.203375
SLC25A30	0.01775
SLCO1C1	-0.435666666666667
SLC22A5	-0.159
KIF23	-1.638
SYN2	-0.454
ASPN	7.36566666666667
CENTG2	-0.14425
QSOX2	-2.1976
FLJ10815	0.8145
STK24	0.67275
SPEG	0.071
STK10	0.444666666666667
DACT2	-1.0955
AAAS	-0.48325
SSX3	-0.872
ABCD3	0.7634
C4orf12	-1.120125
PARVG	0.4865
FIG4	-0.75275
C9orf46	0.97875
TMCO6	-0.345
IGHMBP2	-0.06575
DUS2L	0.449166666666667
FAM3C	-1.1150625
TMEM16D	-2.91625
DCTN4	0.275
KCNH3	-0.3705
EIF2AK2	0.36475
AP1S3	-0.510125
CST4	1.811
PAM	-0.124375
NUTF2	0.19575
CITED2	0.0526
SLC39A4	0.4575
C2orf52	-1.024
GRM3	0.09575
C12orf49	0.864
CCDC49	0.9214
GRAMD1B	-1.45175
FNDC4	0.91075
SIAH2	1.23475
GDPD4	-0.05425
C21orf87	0.692375
ATP5A1	-0.105833333333333
C16orf63	-0.64675
LOC388135	0.493333333333333
ATP5J2	-0.512125
MMP3	-0.201
EMID2	-0.07525
CRHR1	0.3865
WDR70	-0.564
C13orf31	1.62075
ZFAND1	-1.2365
CCL18	2.664
C3orf49	-0.0185
RINT1	-0.992
KIAA0408	-1.991
F13A1	4.4857
SLC10A1	0.1255
OGN	1.19825
GIPC2	-2.18
XPO6	0.394166666666667
LCE1A	0.492
FMR1	0.6055
LOC374920	-0.71875
DUSP3	-0.267625
ANKMY1	0.905
C7orf50	0.69125
BBS9	-0.2016
UNC119B	-0.686875
C9orf72	-1.199375
MGC35440	-1.786
ENTPD6	0.923875
PPP1R2P9	0.03825
ERCC4	-0.00474999999999998
FAHD2B	0.0835
HMHA1	-1.748
HACL1	-0.87025
RAD23A	0.294333333333333
FAM83B	0.90025
PPP5C	-0.194
RNASEH2C	0.226375
C9orf153	-0.2675
SCAMP4	0.65175
GHITM	0.4548
NDUFB7	-0.372625
ADCYAP1	-0.466833333333333
SP110	1.25666666666667
MAP3K7IP2	-0.039
DHH	-0.0365
AGRN	1.09357142857143
WDR33	0.392166666666667
CEP290	0.985166666666667
PRPS1L1	-2.79666666666667
KLRA1	-1.102
GPR97	0.3065
CHD7	-0.109833333333333
TLR10	0.123
SLC30A8	-1.3115
HIC1	1.5195
IAPP	-0.037
RXFP4	0.359
GP1BB	1.8475
SHQ1	0.397
NKX2-3	0.193
API5	-0.413
FTHP1	0.238
MOV10L1	0.147166666666667
TRIM6-TRIM34	3.00083333333333
ADHFE1	0.18175
FAM117A	-1.385
DDI1	-0.04075
CDON	0.133166666666667
TRIM73	-1.8635
IGKC	3.9675
MMP14	1.04075
DYNC1LI1	-0.167875
C11orf66	-0.0985
TRBV3-1	-1.88266666666667
FASTKD5	0.6445
BIVM	-0.844
LHX4	0.6665
CXCL2	-0.0497
RAB2B	-0.653
IZUMO1	-0.73025
MAP3K15	-1.707
FAM19A2	-0.642166666666667
ZC3H8	-0.5495
ZMAT1	0.5655
SPINK5L3	-2.576
SLC10A6	0.684
APPL2	-0.533125
CARD10	-0.0613333333333334
LOC402176	0.322625
EEF1D	1.2887
RAB6A	0.2964
C12orf5	-1.0785
PAPOLG	0.04975
MSRB2	1.4005
BCR	1.13616666666667
PUS3	0.272
TIAM2	0.2205
ZNF317	-0.368
CHD2	-0.677076923076923
FZD5	-2.2605
NUDT8	-2.1445
ZNF763	-0.744
PRC1	-1.67388888888889
ABCB9	0.535666666666667
SPATA3	0.39125
TRAK2	0.809
STAB1	2.31175
LRRTM2	0.468333333333333
psiTPTE22	1.81425
DBI	1.42725
SERPINA11	-0.464
NAT5	0.80225
C20orf58	-1.43425
RPS6KA4	0.937666666666667
FLJ90650	-1.33775
TGFBRAP1	0.66525
CHRDL2	0.505375
FAHD2A	-0.449666666666667
CNTN1	-0.14075
BBS4	0.1337
TMEM181	0.44175
MINPP1	-1.5155
MPHOSPH6	-1.47341666666667
HOXC10	2.677
ITPKB	0.992375
CLPTM1L	0.269625
MEOX2	-1.0825
ATP6V0C	1.020625
PRPF8	-0.333333333333333
TMC5	3.6405
FKBP3	-0.09175
PLEKHB2	0.748
OR4D6	0.272
ZNF544	-0.7468
D2HGDH	0.120375
RPL18A	-0.3426
HEL308	-0.888125
MPP6	-3.3235
TCERG1	-1.2525
KRT16	0.778833333333333
KLF17	-0.87375
KLF5	-1.787375
CDR1	2.500875
VCX3A	-6.002
FBLN2	2.117625
C14orf104	-0.14175
HBE1	-5.1301
OR4S2	0.2105
C1orf108	-0.312833333333333
ROBO4	2.91416666666667
CPEB4	0.586
C11orf80	0.732833333333333
BCKDHA	0.179
MYOC	0.72
GIF	-0.839
CKMT1A	0.647
RPL3	0.6436
THBS1	2.890375
APOO	-1.714
ARMCX1	0.842
HSZFP36	-0.1085
SNAPC5	0.563
EIF4ENIF1	0.0405
ZNF433	-0.646
TNFRSF21	-1.32125
TMPRSS7	0.068
SPATA18	1.4357
HPDL	-2.4285
MKL2	2.1063
TBX3	1.11407692307692
C21orf93	0.2574
DAXX	1.48725
ELMO1	-0.539875
RGS13	1.09316666666667
TAF11	-0.3915
UNC13A	-2.919375
LOC653314	2.3121
ORC3L	-1.4735
IMAA	-1.331
TARBP2	0.4045
CABIN1	0.021
TRIOBP	-0.053875
HIST1H2AC	2.098
RGS22	1.89766666666667
NCOA1	0.399666666666667
IL25	0.4035
SNCG	0.293
GPR6	0.4205
AMDHD1	-1.828
CHEK2	-1.446375
C6orf142	-1.71275
DRD4	1.3
C14orf68	-1.5065
GDF11	-2.255
SEMG2	-0.821
CD247	-2.3925
CDAN1	-0.38625
RBMX2	-0.241333333333333
TGS1	-0.4515
OIT3	0.0203333333333333
SYF2	-0.454
MCM4	-1.19475
PKHD1L1	0.449
CEP192	-1.12183333333333
IFT88	1.2495
RPL9	0.5945
RAB32	-0.098125
DDX43	-2.78475
P2RX2	0.198
OR5D18	0.537
UBE1	0.79775
SLC24A1	0.09375
ARHGAP5	0.09475
CETP	-1.232
KIAA1731	-0.244166666666667
SLC9A4	0.4285
PTPN6	1.64325
BAHD1	-0.0295
GRIK3	0.484
CACNB2	-0.5897
PDE10A	-0.88875
DGCR14	-0.261
PCDHB9	0.760166666666667
RHOQ	-0.758
MAP3K4	-0.5185
KTI12	0.122166666666667
RPL23AP13	-1.739
GNG11	-0.9605
CLCN3	0.888833333333333
GPAM	-1.245
VSTM2A	-1.361
SLAMF7	1.62183333333333
INTS2	-1.026
PPP2CA	0.0568
LRP12	-0.4794
SEC14L2	4.01
DKFZP586H2123	1.99175
MC3R	-0.8235
CIRH1A	-1.18933333333333
HIST1H2AB	2.23316666666667
POLH	-0.02575
MGC16703	-0.136166666666667
SNAPC2	0.0645
FILIP1L	0.71725
RASGRP4	0.464
LRRC1	1.464
GAS1	0.4615
PRAC	-0.4305
DGKA	0.298166666666667
NT5C3	-1.214
PEG3	-3.46841666666667
NADK	0.3385
PRR17	0.8005
LOC374569	0.145
SGSH	0.940333333333333
NLRP8	-0.7195
GALT	0.1509
MCF2	-0.8985
ZNF263	1.20725
TACSTD1	1.46783333333333
TYR	-6.7586
ATP6AP2	-0.26775
RNUXA	0.0335
ABHD10	-0.297
GDPD2	0.591
SLC35C1	-0.55775
UBE2A	0.4275
HERC5	-2.0105
FAM112B	-5.467
FBXL16	1.04375
DKFZP434A0131	0.0414999999999999
ELA3A	-2.7225
RBM41	-0.476375
HAO2	0.128
RNH1	1.00075
SHANK2	0.8195
OSBP2	-2.131
DAK	1.38483333333333
C3orf58	-0.598416666666667
TCL1B	-0.5935
KBTBD2	-0.48725
SUGT1L1	0.34125
UBE2E2	-1.058
MYL9	2.824125
CDC23	-0.628
PBXIP1	1.7203
CXorf40B	0.731
NBL1	1.461
RTBDN	-0.054
RAB11FIP5	-0.620625
TTTY13	-0.3935
SCOTIN	0.909916666666667
SOHLH1	-0.678333333333333
CDKN1A	-0.622571428571429
NCK1	-0.1565
ZNF550	-0.5505
SAPS3	0.373333333333333
SPIN3	1.3445
MAGEE2	-0.31475
MIS12	-1.37133333333333
OR8H2	0.0235
KIAA0774	-1.8905
UNC5D	-1.4925
CUL7	0.170833333333333
LIPC	-4.30066666666667
DIO1	4.1405
C20orf11	-0.2772
CTRL	-0.7445
HS3ST2	1.7285
PAK4	0.725833333333333
CCRL1	2.344
RNF10	0.692625
ZNF567	-0.516
ZNF660	-0.2405
TCEAL3	1.25475
MAGOH	-0.753166666666667
CENPB	0.462333333333333
C19orf7	0.469375
LOC388965	0.261
ZCCHC13	0.639
JMJD1A	-0.8385
HIST1H4H	2.872
TBRG1	0.3637
GPC3	-4.87875
TAF1C	-0.36875
EBNA1BP2	-0.1435
CIAPIN1	0.09575
PDGFRA	-0.352166666666667
CSTB	-0.624625
CENPI	-1.52216666666667
GTF2E2	-1.422
RPP21	-0.03025
CCNF	0.3215
KCNQ3	0.201
FAM79A	0.158
SLC22A12	0.318
NOVA1	-1.45633333333333
FZD3	-0.1214
AKAP8	-0.8175
SOCS5	-0.825875
CFDP1	-0.82125
DLG5	1.5465
PGM5	0.252166666666667
C1orf144	0.105833333333333
HDAC10	-0.8095
RND2	-1.03225
C20orf199	-0.79475
RNMT	-0.388875
SLURP1	0.060625
ASTN1	-0.425
SH3BGR	-0.42375
MYCL1	-0.370375
ZHX1	0.135666666666667
CENPK	-2.62475
FOSB	1.4303
LOC643406	0.124625
C2orf59	-0.26925
TMEM135	0.5945
SLC27A2	-0.28475
KRT33A	2.242
OVOL1	1.13975
PAMCI	-2.7605
S100A7	0.2965
ZNF789	-1.45
HARS2	0.69675
RPL23A	-0.8045
TCF23	-0.0155
UPF3B	-1.20925
C17orf78	0.404
HLA-DOB	0.343166666666667
C14orf142	0.0565
TEKT5	0.669166666666667
DMWD	0.074
POLD1	-2.189
GSCL	0.022
CALD1	0.4506
SCRT1	0.9935
AIG1	0.7475
UNC84B	0.87525
ZNF404	-1.1695
TMED6	-2.608
KIAA1462	0.6025
LRRC27	2.2105
PYGO1	-0.038
PIGU	-0.111666666666667
ALAS2	-4.29283333333333
WRNIP1	0.135
CNNM3	1.4115
ZNF2	-0.18525
ST3GAL5	0.824833333333333
MRPL23	0.50025
TSSK6	0.117
PSMA6	-0.27025
C16orf70	-0.22025
KIAA1602	-0.33375
ALMS1	-0.158666666666667
DCN	2.251875
TMEM132D	-0.12575
SUCLG2	0.442
ABHD14A	0.391
DEXI	-0.468333333333333
AMPD2	-0.227166666666667
IFNAR2	0.166333333333333
CYB5A	2.8129
TLOC1	0.3228
NXF5	-0.609166666666667
NRBF2	-0.45325
KCTD3	2.27725
ITGAE	-0.756
SLC30A3	-2.37716666666667
ZRF1	-1.0885
IFRD2	0.131625
XAB1	-0.80025
PYCR2	0.324833333333333
SERPINB3	-3.184
TMLHE	0.1526
GEFT	-1.698875
ABCA5	-0.4595
EMR4	0.296833333333333
TSFM	0.41225
HIST3H2BB	1.995
ARHGEF19	1.7495
TSPAN17	0.824333333333333
ABCC8	3.3785
MAP1S	0.529333333333333
C22orf36	0.61
BNC2	0.161928571428571
HIST1H4A	-0.54625
NDUFS3	-0.0718333333333333
WDR3	-0.476333333333333
XKR4	-1.13425
TTC33	-0.929357142857143
STMN2	3.586
CPN2	-0.521333333333333
HSPC105	-0.059875
PCOLCE2	-6.412
C3orf55	0.979
KLHDC9	3.04666666666667
TBC1D23	0.167375
ATXN2L	-0.71175
MAP2K3	-0.236083333333333
SCAP	0.62175
ZNF486	0.529
C20orf96	1.9335
NARS	-0.29175
ADAMTSL1	-1.29892857142857
PRCC	0.934833333333333
CCDC126	0.529
ZNF675	-1.2365
CALCOCO1	0.5695
ANKRD43	-0.05325
CWF19L2	0.219666666666667
ZBTB32	0.662833333333333
BRAF	0.74425
ODF4	-0.088
MGC14376	-0.461833333333333
HORMAD1	-2.79516666666667
AAK1	0.379416666666667
PEBP1	0.0780833333333333
TNFSF5IP1	0.7295
DKFZp564N2472	-0.32425
RMND1	-0.17525
IGKV1-5	4.83975
COL1A2	3.46941666666667
SERPINA5	0.800625
AANAT	0.3425
C19orf21	-2.63433333333333
GEMIN5	-0.091
UBR4	0.0156666666666667
LTBP3	1.71466666666667
AMHR2	-1.79383333333333
PROCR	-1.57125
MYBBP1A	-0.335
C20orf39	1.9185
ZNF697	-0.39175
PASK	-0.422
ZNF776	0.089
RFXDC2	-0.41725
KIAA0467	0.373
C10orf96	-2.2085
ZNF503	-1.57625
GULP1	-1.65341666666667
KCNE4	0.781666666666667
DKFZp434K191	-1.6875
LOC196913	0.056
BHLHB4	1.893
CH25H	0.1535
LOC81691	-1.533
ALPL	-0.353357142857143
COL12A1	2.798
FOLR3	-2.35816666666667
GPR123	-0.38825
TRIM62	0.162357142857143
ABLIM1	0.7605
MAST3	-1.0385
RHBDD1	0.616
LOC338809	0.501
RYBP	1.1395
TTC26	-0.4865
ZNF22	0.395333333333333
ISCA2	0.04825
RDM1	-2.32625
PIGM	1.4095
GNB3	-0.749
ACTR2	0.5352
HMGB1	0.23335
EDG1	1.22516666666667
SOAT2	-3.827
OR10AD1	-0.009
RAP1GDS1	0.02625
LCE1F	0.401
ESM1	-1.061
RCN3	2.973
CREBL1	-0.05675
DBNL	0.943333333333333
PTGER3	0.340875
USP30	0.627666666666667
BCL2L12	-1.71333333333333
KIF26B	2.29675
ZNF416	-0.0595
ZNF225	-0.551
C17orf70	0.687
ZNF554	-0.05125
RAE1	-0.690333333333333
TNIK	1.18266666666667
ACTN3	1.5035
MGC45922	0.697
CCNA1	-0.332
RYK	0.124666666666667
IL26	0.587
LRP3	0.693
QARS	0.45275
SOX7	0.737428571428571
BID	-1.239875
OR2S2	-0.00399999999999999
CXCL14	4.2455
C11orf47	-0.225
MGC29891	1.32616666666667
HSPB8	2.9772
PRDM14	-1.1045
NUFIP2	0.2245
MNAT1	-0.295
ZDHHC2	0.148333333333333
MBNL2	0.244375
ADD3	-2.005125
CSNK2A1P	0.12375
KLK6	-0.118
TMEM111	0.5661
KIAA1279	0.2675
NUBP2	1.41233333333333
RAB42	-0.84025
ID3	-0.4958
TM9SF1	0.163
MDP-1	-0.38375
POU4F2	0.577333333333333
IQCK	0.266
C16orf14	1.08675
CAPN3	-1.797875
FAM43B	-0.632125
RECQL	-1.04
AP1G1	-0.1445
CTNNBL1	0.092
ECHDC1	-0.920666666666667
SMARCC1	0.7154
FOXQ1	-0.789625
GNAI3	-0.0221666666666667
POLG2	-1.56825
CD4	0.90475
ITLN1	-0.13575
EBI2	1.792
IRF1	0.60125
PTPRE	1.6122
PTK2B	-0.2735
NXNL2	-0.92
SOX4	0.503777777777778
TSPAN3	-2.09733333333333
SH2D1A	-4.01733333333333
C8orf58	-1.11666666666667
USP20	0.1705
DUSP22	-0.0856666666666667
CALB1	-2.3864
L3MBTL2	0.626166666666667
MCRS1	0.64325
TMEM118	-1.67383333333333
C18orf8	0.659166666666667
FLJ10241	-0.443625
GJA12	0.11075
PKD1	0.5025
ZFP3	-0.15
JAM3	-1.043125
LAPTM4A	1.1912
DIRC2	-0.012
KIAA2022	-0.6965
MYOM1	0.0966666666666666
TRPM8	-3.10516666666667
MOP-1	0.866
PHKG2	0.306625
ZNF650	-0.437
KIAA1522	0.764125
PSG8	-1.31466666666667
DDX19B	-0.015
MOBKL1B	-0.241
DIAPH2	-0.9195
PTPN12	0.32375
CLN8	-0.1116
CRYZL1	-0.4855
CRY2	0.391
FCGR2B	3.58016666666667
PNPLA4	0.91975
ZNF454	0.193
DKFZp434B1231	-0.02475
CLDN11	0.3085
RFWD2	0.655
CIB2	-0.771666666666667
MXRA8	3.477625
HRK	-0.276
MAML2	-1.17725
C4orf31	-0.029
C6orf192	-1.492
COG6	0.363125
FAM5B	-0.00525000000000001
NFATC1	-0.0447
SEPT10	-0.7555
SCYL1	0.684
RPP40	-0.8195
SCOC	0.3247
KIAA1450	-0.78875
CTDSPL2	-0.5625
TBX5	2.33666666666667
NAPG	0.388875
RHD	-5.05425
C14orf45	1.17666666666667
ZBTB22	0.7575
PLCG1	-1.446
ANKRD10	-0.028125
AQP7P2	-0.357
TAGLN2	1.52233333333333
HTR2C	-0.864
SLC16A7	-1.33983333333333
C17orf83	0.117666666666667
TSGA14	-0.739583333333333
MDH1	-0.7115
PPP3R2	-0.5885
DCBLD2	-2.54921428571429
RBM33	-0.2715
DPH3	-1.461
SYT10	-1.20233333333333
FMO4	2.34225
THYN1	-0.37475
DRD5	-2.4225
OTOR	1.98975
PGRMC2	0.4075
KATNAL1	-0.125
PAQR6	-1.90375
UBE2I	-0.23525
C14orf28	0.32525
C8orf70	0.77725
FLYWCH1	-0.18675
ANGPTL3	-0.749
GLRX2	0.4895
ATP11A	-0.169714285714286
ARL5B	0.55575
MUC16	-1.90725
SLC25A5	-0.357857142857143
ACRC	-0.441
MYO1C	0.7705
FAM89B	1.664
FAS	-0.658125
KIFAP3	1.16325
GLRA2	0.1075
BTN3A2	0.1952
CNKSR3	-1.755
CSTF3	-0.348333333333333
ARPM1	0.7485
KIAA1530	-0.228
C9orf150	1.8665
PRKCI	0.8685
tcag7.1015	-0.73325
SOD3	-1.365
ZNF574	0.29875
CYP21A2	2.44725
RPL12	-0.098
COMMD2	-0.101
WIZ	-0.795
LOC344405	-0.88125
ALDH4A1	-1.00035294117647
CRYAB	2.1095
COPA	0.809833333333333
PCDHGA7	1.1185
KIF11	-0.799666666666667
RASD2	-0.040875
SLC26A3	1.905
ZNF175	-1.014
JAKMIP2	-2.273125
C8orf4	0.467833333333333
PTHLH	2.27475
SLC40A1	2.46266666666667
OR7D4	0.606333333333333
PCDHB17	0.8925
CD36	1.33957142857143
C6orf203	0.4672
PRKG2	-0.719
LOC400566	1.29125
ANAPC13	0.02475
SLCO3A1	-1.16225
ZNF692	-0.7595
FANCL	-1.093
SH3GLB1	0.79625
C12orf61	0.054
KBTBD6	-0.505
SUPT5H	-0.219875
XRCC6	-0.4004
HUS1B	-1.5332
FAM133B	-0.345
LOC728276	-0.4555
KCTD18	0.1225
SOS2	0.624333333333333
CCDC99	-1.81025
C1QTNF5	4.3985
NNAT	0.103166666666667
USP16	-0.321
LARS	-0.4825
ZBTB2	-0.3595
ABO	0.0803333333333333
TRAF3	0.118
GALNT5	-2.417
NAP5	1.70175
ALG14	1.00233333333333
KIAA0515	0.598230769230769
WDR75	-0.897333333333333
TEX261	-0.264
LY86	0.34625
LOC389072	-1.293
FLJ13611	-0.19225
MRGPRX2	0.1815
SNRPA	-1.20575
OR2G2	0.073
GPRASP2	0.2215
C7orf42	0.176
C9orf163	-0.2645
CYP11B2	-0.2765
FCRL3	0.479
PRDX1	0.4705
FGB	-5.383
COX17	0.7565
C16orf33	0.8015
PIWIL1	-0.388333333333333
FOLR1	-2.56366666666667
KIAA0082	0.063
FREQ	-0.994833333333333
TMCC2	-1.096
TCF12	-0.285333333333333
ZNF721	0.002
FAM130A2	-0.0875
POU4F1	-3.5415
SNRPF	-0.610375
SGIP1	2.01083333333333
ZNF641	1.00683333333333
EMG1	-0.747375
PRRG4	1.671
HIRA	-2.3175
MYNN	-0.00766666666666666
AEBP2	-0.25975
TBXA2R	-0.4695
ISL2	-1.13283333333333
PCDHB11	1.475
RNF144A	-0.714375
MARCH5	-0.114375
DULLARD	-0.0465
DCLRE1B	-0.34
ITGA8	-0.2685
TP73	0.3565
PRKCD	2.88425
NDUFB4	-0.091
ATP13A4	2.26525
ANTXR2	-0.965666666666667
COL4A3	-1.03833333333333
MYO10	-0.9183
SLC6A18	0.57175
PEX1	-0.79975
TMEM74	-1.259
RBM19	1.58525
TAPBP	1.10955
RUNX1	0.99125
MID1	-2.13966666666667
GPR64	-2.05683333333333
RASEF	4.3645
GABRG1	0.474
MYO16	-0.65675
DBF4	-1.9955
TSHZ2	2.6065
RIPK2	0.0245
PPTC7	0.210166666666667
KIF4B	-0.837
LRRC31	4.009875
ZNF540	-0.18525
EFNB3	-0.238833333333333
LOH12CR1	-0.371625
STON2	0.0468333333333333
GLP1R	0.435333333333333
CSTF2T	-0.81675
IREB2	-0.96225
GRSF1	-0.356
