Hybridization REF	TCGA-BH-A0BT-01A-11R-A12P-07
ISL1	-1.57433333333333
KIAA0528	-0.29325
MANEA	0.848
C1orf61	-1.8335
hCG_2001000	0.8
RAPGEF6	-1.028
KIAA0020	-0.976333333333333
NEIL1	1.3985
C16orf45	-0.4745
RBM10	-0.2675
C10orf125	-1.48075
MRS2L	-0.3545
DNAH17	-0.542625
C19orf10	0.385
C1orf160	1.106
SLFN12	1.12
EXOC3	-0.151333333333333
HIST3H3	0.6975
NCOR2	0.0993333333333333
TNFRSF9	-1.62725
MFSD8	1.41475
ALX1	-4.4445
NOL1	-1.53375
PODN	2.07375
TIAL1	-0.821
HIST1H1E	-1.27075
NPY6R	0.5335
TM4SF4	-0.10825
CORO2A	0.84775
ETNK2	1.87933333333333
APOE	0.407
ANGPT4	0.733
HDGF2	-0.007
G30	0.756
ST8SIA4	-0.154125
F2RL1	-1.863375
FAM19A4	-4.3055
CCAR1	-0.92225
B3GNT7	0.76625
OPHN1	-0.5831
DSCR6	0.5485
C21orf13	0.927833333333333
GAS2L1	1.64766666666667
RFX3	-0.2615
COPS4	0.5155
BCHE	-4.65033333333333
BCL2	2.607875
HBZ	-3.21066666666667
ARL13B	-0.536875
MAPBPIP	1.355
MYO15B	-0.408875
SPZ1	-0.350666666666667
KIAA1324	3.89533333333333
PLCL2	-1.44575
C4orf29	-0.589
WDFY2	-0.647875
ZNF284	-0.9795
NAALADL1	-0.0485
DUSP5	1.13083333333333
PXDN	0.38175
SLMO1	-0.68625
TNXB	0.7123
BIRC7	-0.7785
A4GALT	1.2595
TIMM22	0.75975
FAM110C	2.06475
TOMM34	-0.987875
ABHD9	-0.3575
ADAM32	1.1675
CRHBP	-1.2905
AQP2	0.438875
LOC130355	1.64325
ZNF187	0.351166666666667
ZNF816A	0.623
F7	-0.125375
CNOT1	-0.8656
SLC13A4	-0.809
ZBTB11	-0.62125
B3GALT5	0.13075
EXOC2	0.444333333333333
IRS1	-0.4595
TMEM1	-0.263666666666667
MRPL34	0.0295
SAMM50	0.202
CDC42EP3	-1.740875
HSF2	-1.0268
MFN2	-0.07125
TSPAN7	-2.1045
NUCB1	1.409
RHOH	2.20775
ARL16	-0.8375
TACR1	0.62
SFRS5	-0.981666666666667
SNX25	-0.262375
RHBDF1	0.655833333333333
PCDH18	0.58
HMG1L1	-0.85775
MYO5C	1.645625
MAPK10	2.566
LDHAL6A	-0.0123333333333333
NUDT12	0.056
NCAM1	-0.020125
GLIS2	0.528
GGTL4	1.01225
DAPP1	1.05225
ATF7	1.405875
KIAA0748	-1.72875
NFIL3	-1.91525
TM6SF1	0.7069
SEZ6	0.324875
NANOS3	0.607
DNAJA3	-0.918833333333333
CLDN6	-1.3465
CIITA	1.6979
EPHA4	-2.32091666666667
FANCC	-0.252
CMTM3	-0.820375
PSG3	-0.288375
MRPL15	-0.43175
C21orf59	-0.1955
PLCXD2	0.0105
C2orf34	0.7785
UBE2L6	1.366625
MED14	-0.234333333333333
HP1BP3	-0.3692
C6orf208	0.439
TPBG	1.1445
OSR2	-1.604375
XPC	-0.791166666666667
KLHL7	-1.09783333333333
CCR3	-1.338
AGTPBP1	-1.00816666666667
PCSK6	1.93973333333333
STAT5A	-1.1383
FAM18B	0.949
LONRF2	0.227
PTPN2	-0.71325
SF3A3	-0.817166666666667
EFCBP2	0.388
HCFC1	-0.527666666666667
AHNAK	0.36655
ACTR5	-0.88375
KIF14	-2.92985714285714
TENC1	1.12925
HEATR5B	1.067
YIPF2	1.53466666666667
MYEOV2	1.557
DUSP18	1.38875
KIAA1012	0.26725
AHR	-1.65483333333333
C17orf53	-1.26783333333333
PTPRH	-3.715
ATP6V1C1	0.0553
TAS2R3	0.327
LOC440356	-0.3465
COQ10B	0.76625
PSMF1	0.507833333333333
SORBS2	3.51775
NFE2L2	-0.11875
TMCO7	-0.9855
SH3PXD2A	-1.9646
SH2D2A	-2.0715
SPINK5	-3.08525
MRPS24	-0.75025
OPA3	0.7315
TRAF7	0.223666666666667
C4orf35	0.121166666666667
MT1G	-0.815625
MGC39545	0.817
HS1BP3	0.7332
OR2B2	0.5185
CHRM4	0.604
SFRP2	0.938333333333333
RIC3	-1.194
ART1	0.2365
C6orf1	1.3165
DUS4L	-1.1225
C10orf104	0.4395
TNFAIP6	1.75975
RTEL1	-0.37475
CCT4	-0.4652
ZNF709	-0.27325
CHMP6	0.755333333333333
UPP2	0.413
CYP19A1	-2.482375
CD151	0.2785
NDUFA13	0.941666666666667
ARFRP1	-0.288166666666667
FAM26B	1.693
CRYBA1	-1.713
MRPL41	1.15416666666667
NPFFR2	0.732375
HRH2	0.3585
SCAMP3	1.14983333333333
MTMR6	0.9087
MTG1	-0.564166666666667
UBTD1	1.23575
CRABP1	-2.158
FLJ33790	1.0138
KIAA1908	-0.251166666666667
GPR158	-2.99375
PACSIN3	0.47
OMD	3.97283333333333
CATSPER1	-0.7495
HOXB8	0.561
FBXO46	0.4445
OAS1	1.908
SVIL	0.48175
PHB2	-0.581
ADCY3	-1.331
NDRG2	1.606
ERMAP	0.7323
APBA2	-1.9315
IGSF9	2.3455
WNT6	0.125285714285714
MYCBPAP	1.699
ATP2B2	-0.4584
CPVL	-1.9965
TRAM2	-0.746
NOP5/NOP58	-1.812
ZNRF4	0.33075
TLK1	0.411875
MTMR12	0.235285714285714
ZNF384	-0.367666666666667
FAM9B	-3.01575
RPN1	1.3179
PMVK	1.70375
EIF3D	0.2138
SIX2	2.1125
HPS1	0.493071428571429
RNF7	-0.089
PSKH2	0.9625
KCTD13	-0.317666666666667
CSMD3	-0.4738
FBF1	1.0805
IL8	-4.1025
SERPINB13	0.554333333333333
FBXL20	-0.40775
BLR1	0.75875
SH2B1	-0.651333333333333
RFNG	0.61925
RAB20	0.7285
RBM7	-0.115
POLR1A	-0.0206666666666667
TMPRSS4	-1.3135
TAF9	-0.681625
TERF2	-0.613166666666667
TNFRSF1A	0.457833333333333
ACADVL	0.4875
GTF2H5	0.623
EDG8	0.235
C9orf140	-1.151625
UST6	-0.718
ZBTB8OS	-0.154
ZNF710	1.33
GPR174	-2.3445
ATP6V0A2	-1.1255
KIAA0319L	-0.643833333333334
XKRX	1.625
DOPEY2	2.0797
SDHD	0.338416666666667
SUMF1	2.26625
OSM	0.91475
OPN3	-0.70475
DAGLB	0.1315
PPFIBP1	-1.0143
TRIM63	-3.81925
C10orf53	-0.747
LYPD3	1.60866666666667
BCL7A	-0.42725
AGER	-1.26066666666667
TCF19	-1.295125
SAT2	-0.1665
PFTK1	-0.630833333333333
GABRE	-3.127
C15orf38	1.9648
FIS1	1.1855
KCNV2	0.0195
CLPS	0.5015
PPCDC	-0.281125
FOXN2	-1.158
NT5E	-3.7891
CD83	0.1595
IL18	1.68525
VPS16	0.3145
IGFBP2	0.597666666666667
NOTCH2	1.10175
SIGLEC1	1.382875
CD93	5.61
SULF2	0.437
CEP164	-0.109625
P53AIP1	0.0921666666666667
TOR2A	0.222333333333333
ZNF136	-0.01925
MGP	4.6012
CCDC144A	-0.2125
TRPC1	-1.90816666666667
SMS	-1.72266666666667
MAPK7	0.2045
RRAGC	0.68725
PARD6A	0.597166666666667
NUB1	0.4305
SYNGR4	1.117
OR11H12	0.235
WIF1	1.327375
GCH1	-0.0515
OR11H4	0.58
SLC44A5	-1.0825
GPRIN2	2.654
LOC401431	0.11875
CPA4	-2.4988
MELK	-2.42311111111111
IL15RA	-0.6485
CUL3	-0.390375
HMBOX1	0.713
PODXL	-1.412
CCT6B	1.71233333333333
COMTD1	0.79675
MUC20	2.35366666666667
GPX2	-2.674375
ITK	-2.55075
FBXL5	2.51225
C13orf27	-2.01425
DEFA5	0.4545
TRHDE	0.1345
MTP18	0.567333333333333
UQCRQ	1.1419
ITGB2	0.956416666666667
CSRP2BP	0.01925
TAS2R44	0.6345
PHPT1	0.895
FAM44C	-0.3615
ERH	0.18575
MPHOSPH1	-2.15633333333333
MORC1	0.017
PARVB	-0.164
LAMA1	-2.59058333333333
PGBD3	0.186
GIMAP6	4.1195
AREG	-1.91116666666667
LIPT1	-0.2125
MGC99813	-0.55725
C1orf201	0.821166666666667
GRIN2A	-1.2113
MAN2C1	-0.6265
NSUN5	-0.686
SF3B5	0.52225
MYC	-2.31425
NRXN1	-0.752666666666667
ZNF18	0.309
SPDYA	-0.507875
SLC37A1	1.465
DECR2	-0.21375
ANKRD38	-0.736375
SPTLC3	-0.2005
SUPT16H	-1.03325
DTWD2	1.1875
ULBP1	-1.216
ZADH1	0.347166666666667
OIP5	-2.49075
IL10RB	0.145
OTUB2	0.581875
VWA3A	0.393333333333333
SPIC	0.0446666666666667
OR6C4	0.434
PSCD4	0.337333333333333
DPY19L2P2	-1.0475
TRAPPC6A	1.30816666666667
C21orf2	0.219666666666667
CEMP1	-0.47175
LIN7B	0.304
E2F7	-2.51183333333333
VCP	0.44025
LAMA3	1.45925
BGN	1.16325
GPR160	2.91316666666667
COCH	-5.26833333333333
GPR81	1.70466666666667
APOBEC3F	-2.21175
tcag7.1017	-0.882
C1orf32	0.5925
SCGB1D2	4.62225
FLJ43987	-1.765
C6orf170	0.51175
KLK9	0.7785
GPD1L	1.94525
VPS37B	0.11325
ATG3	-0.2445
ADAMTS17	0.585
KLHDC2	0.553833333333333
NDUFV2	0.35025
BLK	-2.4715
MATN4	-1.1835
GPM6A	0.565714285714286
GBP4	1.85883333333333
TMEM162	0.661666666666667
PKP2	-0.18
HRASLS	-3.26322222222222
MMP1	-4.9515
SFXN3	-0.3314
FSD1	-1.40333333333333
ST6GALNAC3	-1.82283333333333
CA12	2.8603
NCOA6	-0.1155
C19orf58	0.4682
PPP4R1	0.658833333333333
MAN1A2	0.667666666666667
IKBKAP	-1.0005
UPF1	-0.2515
KIAA1219	0.50625
WNT16	0.0586
SNW1	-0.15425
IL18RAP	0.8105
RPP30	-0.174875
CDC40	-0.222071428571429
SETD3	0.085
SLAMF6	-0.423
ELK4	-0.767
TRIM47	1.132
ACOX3	2.570625
TRIM6	0.66075
KIAA0372	-0.1935
TP53AP1	1.770125
SMURF2	-0.265
ADAD1	0.69175
EBP	-0.6955
KRTAP13-2	-0.687
FLJ36874	-1.52466666666667
TOR1A	0.0753333333333333
P2RY4	1.5525
GPBP1	-0.354
TRPV1	-0.481375
ADAMTS12	-0.483833333333333
PES1	-0.0186
ATG4A	1.05266666666667
MAGEA10	-4.477
WFS1	2.11075
CC2D1B	0.0335
PABPN1	-0.327875
SLC25A30	0.392
SLCO1C1	0.687166666666667
SLC22A5	1.15725
KIF23	-2.72916666666667
SYN2	-0.349
ASPN	5.5125
CENTG2	-0.39025
QSOX2	-3.2164
FLJ10815	-0.56
STK24	-0.031875
SPEG	-0.6635
STK10	-0.274833333333333
DACT2	-2.422
AAAS	-0.1785
SSX3	-1.177625
ABCD3	1.2808
C4orf12	-0.11425
PARVG	0.3525
FIG4	1.7385
C9orf46	1.41375
TMCO6	-0.3265
IGHMBP2	-0.62875
DUS2L	-1.001
FAM3C	-0.183625
TMEM16D	-2.491
DCTN4	0.73325
KCNH3	-0.1995
EIF2AK2	-0.84725
AP1S3	0.693625
CST4	2.662
PAM	3.479125
NUTF2	-0.48475
CITED2	1.7703
SLC39A4	-0.384
C2orf52	-0.966
GRM3	0.295
C12orf49	1.059375
CCDC49	-0.8438
GRAMD1B	-1.230625
FNDC4	-0.4495
SIAH2	1.4335
GDPD4	0.08325
C21orf87	0.728625
ATP5A1	0.364333333333333
C16orf63	-0.94725
LOC388135	-0.624833333333333
ATP5J2	-0.117625
MMP3	-2.24875
EMID2	0.003
CRHR1	0.47525
WDR70	-0.31025
C13orf31	0.67925
ZFAND1	-0.51225
CCL18	4.20366666666667
C3orf49	-0.45
RINT1	-0.3885
KIAA0408	-2.39983333333333
F13A1	3.7484
SLC10A1	0.191833333333333
OGN	2.81525
GIPC2	-1.744
XPO6	-0.504166666666667
LCE1A	0.572
FMR1	-0.3482
LOC374920	-0.49225
DUSP3	0.577375
ANKMY1	1.2855
C7orf50	0.37225
BBS9	-0.0164
UNC119B	0.245875
C9orf72	-0.02675
MGC35440	-0.32175
ENTPD6	0.959125
PPP1R2P9	0.83225
ERCC4	0.1985
FAHD2B	1.13
HMHA1	-0.9015
HACL1	-0.35825
RAD23A	-0.574166666666667
FAM83B	-1.1545
PPP5C	0.109833333333333
RNASEH2C	-0.0045
C9orf153	-0.6355
SCAMP4	1.19575
GHITM	0.8555
NDUFB7	1.057875
ADCYAP1	0.1775
SP110	1.18966666666667
MAP3K7IP2	0.24725
DHH	0.5575
AGRN	1.13507142857143
WDR33	-0.166
CEP290	-1.4375
PRPS1L1	-1.86116666666667
KLRA1	-0.895
GPR97	0.4055
CHD7	-0.943666666666667
TLR10	1.3465
SLC30A8	0.655
HIC1	0.678333333333333
IAPP	0.159
RXFP4	0.24
GP1BB	2.40775
SHQ1	0.9285
NKX2-3	-0.2435
API5	0.2725
FTHP1	0.5275
MOV10L1	0.581
TRIM6-TRIM34	1.8765
ADHFE1	-0.27325
FAM117A	-2.0395
DDI1	0.369833333333333
CDON	1.321
TRIM73	-2.4655
IGKC	1.276
MMP14	-0.898833333333333
DYNC1LI1	0.258125
C11orf66	0.6165
TRBV3-1	-1.8745
FASTKD5	-0.278
BIVM	-2.14225
LHX4	-3.223
CXCL2	-2.1201
RAB2B	-0.740333333333333
IZUMO1	-0.63325
MAP3K15	-1.794375
FAM19A2	0.450333333333333
ZC3H8	-1.22233333333333
ZMAT1	0.372875
SPINK5L3	-3.0785
SLC10A6	0.421
APPL2	-0.113125
CARD10	0.2605
LOC402176	-0.666125
EEF1D	0.8299
RAB6A	0.8495
C12orf5	-1.20725
PAPOLG	0.26125
MSRB2	1.304
BCR	0.847888888888889
PUS3	-0.3445
TIAM2	-1.4245
ZNF317	-0.313666666666667
CHD2	-0.0613571428571429
FZD5	-1.64104545454545
NUDT8	0.8075
ZNF763	-0.0345
PRC1	-2.36922222222222
ABCB9	-0.0328333333333333
SPATA3	0.1625
TRAK2	0.380875
STAB1	2.45825
LRRTM2	-0.0403333333333333
psiTPTE22	2.327
DBI	1.62675
SERPINA11	0.417
NAT5	0.52925
C20orf58	-1.90675
RPS6KA4	0.2955
FLJ90650	-0.316
TGFBRAP1	-0.3845
CHRDL2	0.084375
FAHD2A	0.691333333333333
CNTN1	-0.2285
BBS4	0.0752
TMEM181	1.2745
MINPP1	0.21425
MPHOSPH6	-1.22091666666667
HOXC10	1.8946
ITPKB	0.62225
CLPTM1L	0.116
MEOX2	-0.4485
ATP6V0C	0.746375
PRPF8	0.115166666666667
TMC5	4.39875
FKBP3	0.28125
PLEKHB2	-0.326375
OR4D6	0.2455
ZNF544	-0.3073
D2HGDH	-0.085
RPL18A	-0.1556
HEL308	-0.498875
MPP6	-4.95475
TCERG1	-2.3045
KRT16	-1.0245
KLF17	-0.81225
KLF5	-2.193
CDR1	1.563125
VCX3A	-4.2965
FBLN2	0.560125
C14orf104	-0.4265
HBE1	-4.9016
OR4S2	0.0035
C1orf108	0.183833333333333
ROBO4	3.621
CPEB4	0.402625
C11orf80	1.82483333333333
BCKDHA	1.07916666666667
MYOC	0.94175
GIF	-0.4285
CKMT1A	-1.6795
RPL3	0.7
THBS1	3.05975
APOO	-0.8695
ARMCX1	2.84875
HSZFP36	0.658
SNAPC5	-0.7985
EIF4ENIF1	0.91575
ZNF433	0.327
TNFRSF21	-2.086625
TMPRSS7	0.3425
SPATA18	2.1897
HPDL	-3.2845
MKL2	1.6102
TBX3	-0.451923076923077
C21orf93	0.663166666666667
DAXX	0.05975
ELMO1	0.009375
RGS13	-0.1116
TAF11	-1.30825
UNC13A	-1.804125
LOC653314	-0.411
ORC3L	-0.69875
IMAA	-3.6795
TARBP2	0.0315
CABIN1	-0.4473
TRIOBP	0.410625
HIST1H2AC	1.09175
RGS22	1.22683333333333
NCOA1	1.15016666666667
IL25	2.293
SNCG	0.194
GPR6	0.6515
AMDHD1	-1.46816666666667
CHEK2	-0.682625
C6orf142	0.5275
DRD4	1.4715
C14orf68	-0.75925
GDF11	-2.28725
SEMG2	0.4915
CD247	-3.54425
CDAN1	-0.4965
RBMX2	-0.396666666666667
TGS1	-0.867
OIT3	0.85125
SYF2	0.2955
MCM4	-2.816125
PKHD1L1	0.171875
CEP192	-1.1995
IFT88	1.483
RPL9	0.6235
RAB32	0.16375
DDX43	-3.7155
P2RX2	0.192833333333333
OR5D18	0.411
UBE1	0.849416666666667
SLC24A1	0.923375
ARHGAP5	-0.04625
CETP	-0.147
KIAA1731	-1.34216666666667
SLC9A4	0.6615
PTPN6	1.23325
BAHD1	0.40075
GRIK3	0.226
CACNB2	-0.8709
PDE10A	-1.84125
DGCR14	0.284
PCDHB9	-0.586833333333333
RHOQ	-0.51
MAP3K4	-0.79175
KTI12	-0.648166666666667
RPL23AP13	-1.903
GNG11	-0.45325
CLCN3	0.484166666666667
GPAM	-0.500375
VSTM2A	0.3495
SLAMF7	0.106
INTS2	-1.1895
PPP2CA	0.7882
LRP12	-1.65393333333333
SEC14L2	1.99922222222222
DKFZP586H2123	3.077
MC3R	0.136
CIRH1A	-1.90133333333333
HIST1H2AB	0.395
POLH	-1.043
MGC16703	-1.41516666666667
SNAPC2	0.453
FILIP1L	0.103
RASGRP4	0.486
LRRC1	2.64325
GAS1	-1.29525
PRAC	-1.41375
DGKA	-0.0698333333333333
NT5C3	-1.3595
PEG3	-3.89591666666667
NADK	0.13525
PRR17	2.121
LOC374569	0.064
SGSH	1.24466666666667
NLRP8	1.4335
GALT	-1.4794
MCF2	-0.797
ZNF263	-0.247
TACSTD1	1.96416666666667
TYR	-5.7988
ATP6AP2	0.288
RNUXA	-0.52475
ABHD10	-0.00255555555555555
GDPD2	-0.7635
SLC35C1	-0.23
UBE2A	0.48025
HERC5	-2.38866666666667
FAM112B	-4.5085
FBXL16	2.155
DKFZP434A0131	-1.4285
ELA3A	-1.7555
RBM41	-1.383
HAO2	-0.18775
RNH1	0.87575
SHANK2	1.17916666666667
OSBP2	-2.124875
DAK	0.83
C3orf58	-1.03283333333333
TCL1B	-1.7115
KBTBD2	-0.6505
SUGT1L1	0.34775
UBE2E2	-1.1205
MYL9	2.091875
CDC23	-0.5215
PBXIP1	2.3456
CXorf40B	0.523
NBL1	-0.50625
RTBDN	0.6905
RAB11FIP5	0.73625
TTTY13	0.0705
SCOTIN	0.76275
SOHLH1	-0.389333333333333
CDKN1A	-0.0297142857142857
NCK1	-0.14675
ZNF550	-1.19425
SAPS3	0.630916666666667
SPIN3	0.14
MAGEE2	0.313
MIS12	-0.638333333333333
OR8H2	0.6365
KIAA0774	-2.97833333333333
UNC5D	-1.431
CUL7	0.541166666666667
LIPC	-3.835
DIO1	2.70725
C20orf11	-0.1895
CTRL	-0.51075
HS3ST2	0.56
PAK4	0.985
CCRL1	0.8345
RNF10	0.27575
ZNF567	-0.29725
ZNF660	-1.79
TCEAL3	-0.0695
MAGOH	-0.439166666666667
CENPB	0.322833333333333
C19orf7	0.49275
LOC388965	0.39425
ZCCHC13	0.619
JMJD1A	-1.1216
HIST1H4H	0.3565
TBRG1	-1.1869
GPC3	-4.361625
TAF1C	-1.30325
EBNA1BP2	-0.649666666666667
CIAPIN1	-0.75425
PDGFRA	-1.592
CSTB	-0.09025
CENPI	-1.976
GTF2E2	-0.603166666666667
RPP21	0.138
CCNF	-0.914
KCNQ3	1.048
FAM79A	1.88925
SLC22A12	0.483
NOVA1	2.41533333333333
FZD3	0.2713
AKAP8	-1.03475
SOCS5	0.3395
CFDP1	-1.55575
DLG5	1.59925
PGM5	0.329916666666667
C1orf144	0.23875
HDAC10	-1.139
RND2	0.1025
C20orf199	-1.68575
RNMT	-0.790125
SLURP1	0.49375
ASTN1	-0.21
SH3BGR	1.055
MYCL1	-0.981875
ZHX1	0.71
CENPK	-3.14275
FOSB	1.8089
LOC643406	0.35975
C2orf59	-0.420125
TMEM135	0.370125
SLC27A2	-0.382
KRT33A	2.659
OVOL1	1.23975
PAMCI	-3.817
S100A7	-1.152
ZNF789	-2.4155
HARS2	0.23575
RPL23A	-0.565
TCF23	-0.18475
UPF3B	-2.876875
C17orf78	0.585
HLA-DOB	-0.302666666666667
C14orf142	0.658333333333333
TEKT5	2.109
DMWD	0.6025
POLD1	-2.2195
GSCL	0.1455
CALD1	-1.3017
SCRT1	1.23933333333333
AIG1	1.361
UNC84B	0.51225
ZNF404	0.51825
TMED6	-2.3345
KIAA1462	0.6555
LRRC27	1.791
PYGO1	-0.264
PIGU	0.333
ALAS2	-3.8525
WRNIP1	0.117
CNNM3	0.6765
ZNF2	0.5045
ST3GAL5	-1.60358333333333
MRPL23	0.5945
TSSK6	-0.1885
PSMA6	0.14025
C16orf70	-0.00225
KIAA1602	-0.23025
ALMS1	0.049
DCN	0.752
TMEM132D	-0.90975
SUCLG2	0.418
ABHD14A	1.521
DEXI	0.0535
AMPD2	-1.55033333333333
IFNAR2	-1.387
CYB5A	3.9535
TLOC1	1.28
NXF5	-0.307666666666667
NRBF2	-0.44075
KCTD3	2.06775
ITGAE	-0.344166666666667
SLC30A3	-1.89216666666667
ZRF1	-2.004
IFRD2	-0.426875
XAB1	-0.10425
PYCR2	-0.3915
SERPINB3	-4.6695
TMLHE	0.5377
GEFT	-1.424625
ABCA5	0.502
EMR4	0.5185
TSFM	-0.343
HIST3H2BB	-0.65925
ARHGEF19	1.15275
TSPAN17	0.907666666666667
ABCC8	3.74525
MAP1S	0.839833333333333
C22orf36	0.94175
BNC2	1.20285714285714
HIST1H4A	-0.39125
NDUFS3	-0.0318333333333333
WDR3	-1.24516666666667
XKR4	-1.08125
TTC33	-0.0229285714285714
STMN2	3.69375
CPN2	-0.784
HSPC105	0.21475
PCOLCE2	-2.92425
C3orf55	1.7755
KLHDC9	3.07166666666667
TBC1D23	0.290125
ATXN2L	-1.44375
MAP2K3	-0.0590833333333333
SCAP	0.0245
ZNF486	-0.0281666666666667
C20orf96	-0.1525
NARS	-0.648
ADAMTSL1	-1.24107142857143
PRCC	0.5595
CCDC126	2.46933333333333
ZNF675	-0.42325
CALCOCO1	0.87175
ANKRD43	0.385
CWF19L2	-0.103
ZBTB32	-0.492666666666667
BRAF	-0.05725
ODF4	0.503
MGC14376	1.06016666666667
HORMAD1	-2.744
AAK1	0.0364166666666667
PEBP1	0.728083333333333
TNFSF5IP1	-0.101333333333333
DKFZp564N2472	0.546
RMND1	0.913625
IGKV1-5	0.657
COL1A2	1.02141666666667
SERPINA5	-3.093625
AANAT	0.486
C19orf21	0.298666666666667
GEMIN5	-0.729
UBR4	-0.1855
LTBP3	2.1195
AMHR2	-1.7555
PROCR	-1.75875
MYBBP1A	-0.84175
C20orf39	-0.860833333333333
ZNF697	-0.34975
PASK	-1.0103
ZNF776	0.4385
RFXDC2	-0.559375
KIAA0467	0.24625
C10orf96	-2.476
ZNF503	-2.4855
GULP1	-2.08458333333333
KCNE4	2.764
DKFZp434K191	-1.567875
LOC196913	-0.103
BHLHB4	2.3315
CH25H	-0.836
LOC81691	-1.04416666666667
ALPL	0.260642857142857
COL12A1	3.9795
FOLR3	-2.07783333333333
GPR123	0.29725
TRIM62	0.465214285714286
ABLIM1	0.999333333333333
MAST3	0.132
RHBDD1	0.847833333333333
LOC338809	-0.949
RYBP	0.528
TTC26	0.744375
ZNF22	-0.120833333333333
ISCA2	-0.10175
RDM1	-1.85575
PIGM	1.41525
GNB3	-0.914
ACTR2	0.0041
HMGB1	0.1249
EDG1	3.00316666666667
SOAT2	-3.52
OR10AD1	-0.1305
RAP1GDS1	1.23591666666667
LCE1F	0.37
ESM1	0.659625
RCN3	0.99275
CREBL1	-0.58975
DBNL	0.7195
PTGER3	2.47775
USP30	0.448833333333333
BCL2L12	-0.613833333333333
KIF26B	0.917
ZNF416	1.14925
ZNF225	-0.0075
C17orf70	0.5315
ZNF554	0.459
RAE1	-1.06366666666667
TNIK	2.49666666666667
ACTN3	-0.0275
MGC45922	1.3675
CCNA1	-1.3195
RYK	0.388166666666667
IL26	0.357
LRP3	1.4775
QARS	0.368
SOX7	0.204071428571429
BID	-0.793875
OR2S2	1.046
CXCL14	2.90625
C11orf47	-0.476
MGC29891	0.3015
HSPB8	-0.2779
PRDM14	-2.096
NUFIP2	0.04175
MNAT1	-0.22975
ZDHHC2	-1.25033333333333
MBNL2	0.98425
ADD3	-0.564
CSNK2A1P	-1.0025
KLK6	-1.13666666666667
TMEM111	0.5357
KIAA1279	1.178
NUBP2	0.767833333333333
RAB42	-1.83825
ID3	-0.7367
TM9SF1	1.08825
MDP-1	0.39
POU4F2	0.202666666666667
IQCK	1.3695
C16orf14	-0.437
CAPN3	-2.090125
FAM43B	0.05025
RECQL	-0.78475
AP1G1	-0.1385
CTNNBL1	-0.508166666666667
ECHDC1	-0.223166666666667
SMARCC1	-0.885
FOXQ1	-1.698625
GNAI3	0.703
POLG2	-2.409
CD4	1.107875
ITLN1	-0.73125
EBI2	1.87875
IRF1	0.592
PTPRE	0.935
PTK2B	0.0745
NXNL2	-0.97
SOX4	0.856722222222222
TSPAN3	-0.118833333333333
SH2D1A	-4.41
C8orf58	-0.443666666666667
USP20	-0.731
DUSP22	-0.308333333333333
CALB1	-2.58216666666667
L3MBTL2	1.5095
MCRS1	0.3485
TMEM118	-1.5815
C18orf8	0.2875
FLJ10241	0.52475
GJA12	0.68
PKD1	-0.257666666666667
ZFP3	0.354
JAM3	-1.91025
LAPTM4A	1.7742
DIRC2	0.7915
KIAA2022	1.882
MYOM1	0.680166666666667
TRPM8	-3.40066666666667
MOP-1	1.657
PHKG2	-0.2105
ZNF650	1.06075
KIAA1522	1.77675
PSG8	-1.422
DDX19B	-0.69
MOBKL1B	0.40175
DIAPH2	-1.38566666666667
PTPN12	0.00975
CLN8	-0.9621
CRYZL1	0.4895
CRY2	0.669
FCGR2B	2.056
PNPLA4	2.228375
ZNF454	-0.9195
DKFZp434B1231	0.126
CLDN11	0.5833
RFWD2	0.5875
CIB2	-1.27516666666667
MXRA8	2.681875
HRK	-0.153875
MAML2	-1.38025
C4orf31	1.4255
C6orf192	-0.19175
COG6	0.882
FAM5B	-0.1415
NFATC1	0.4599
SEPT10	0.48825
SCYL1	0.0819
RPP40	-0.6235
SCOC	1.5855
KIAA1450	-1.14875
CTDSPL2	-0.30475
TBX5	0.815166666666667
NAPG	0.252875
RHD	-4.64175
C14orf45	2.822
ZBTB22	0.8105
PLCG1	-1.805
ANKRD10	-1.577125
AQP7P2	0.635
TAGLN2	1.00566666666667
HTR2C	-0.95
SLC16A7	-1.58733333333333
C17orf83	-0.439
TSGA14	-0.491
MDH1	-0.1815
PPP3R2	0.0215
DCBLD2	-3.40785714285714
RBM33	-0.28425
DPH3	-1.13325
SYT10	-1.2685
FMO4	2.455625
THYN1	-0.59475
DRD5	-1.509
OTOR	0.9085
PGRMC2	1.2749
KATNAL1	0.68725
PAQR6	-3.61325
UBE2I	-1.082
C14orf28	0.44075
C8orf70	-2.39825
FLYWCH1	-0.130625
ANGPTL3	-1.95525
GLRX2	0.8605
ATP11A	-1.40485714285714
ARL5B	0.697375
MUC16	-1.78125
SLC25A5	-0.7845
ACRC	-2.578
MYO1C	0.161
FAM89B	2.01216666666667
FAS	0.361375
KIFAP3	1.29975
GLRA2	-1.321
BTN3A2	-0.6455
CNKSR3	0.014875
CSTF3	-0.2775
ARPM1	1.2405
KIAA1530	-0.4415
C9orf150	1.07866666666667
PRKCI	-1.12
tcag7.1015	-0.7225
SOD3	0.17275
ZNF574	0.577
CYP21A2	2.052
RPL12	-0.33675
COMMD2	-0.59475
WIZ	-0.02275
LOC344405	-1.52
ALDH4A1	-0.0792941176470588
CRYAB	2.177
COPA	0.896466666666667
PCDHGA7	0.766833333333333
KIF11	-1.73783333333333
RASD2	1.015875
