Hybridization REF	TCGA-AR-A1AS-01A-11R-A12P-07
SLC2A3	-2.55172727272727
ARID3A	-0.727
GNG5	-0.69925
ACOX1	-0.4461
KIF5B	-0.25775
NUP153	-0.84575
MUC7	0.365
CSDE1	0.512642857142857
CLPTM1	0.71625
C3orf23	0.376875
LRRC17	-1.064
TTYH3	-0.183375
ATP5B	-0.5815
ELF3	1.482
CPSF3L	1.38866666666667
ZNF665	0.406166666666667
TLR6	1.0683
GPI	-0.842375
RAD9A	0.054125
NDST4	-3.9065
AGPAT3	-0.0521666666666666
MAGI3	1.19033333333333
ADORA2A	2.25125
CACNG7	-0.1815
CAMK2D	-1.51657142857143
CCHCR1	-0.80225
RPS27A	-0.95675
OR10G7	0.149
GCM2	0.1245
FAM135B	1.7659
E2F1	-1.29
PLCB3	1.03775
OR2AE1	0.4665
COIL	0.135333333333333
CDC25C	-2.06816666666667
RAB11FIP2	-0.0160833333333333
TSC2	1.97275
CTGLF5	-1.237
CCDC108	0.2006
OR13C4	1.07325
C10orf81	5.95425
PTPRB	-0.42275
ACP2	0.97625
LAG3	-0.948
MRPL54	0.056
LOC201175	2.317
ITGB1BP3	-1.33525
SPTAN1	0.162333333333333
SIPA1L2	-0.68
RCAN2	-1.708
CDX2	0.8635
ECOP	-0.0705
ACTR1A	0.210785714285714
PPARG	-2.59633333333333
BBS10	0.0378333333333333
TMEM44	-0.540625
BPIL2	0.577
CITED1	0.916
IRF6	4.76575
PRDM4	-0.345833333333333
RRP9	-0.0285
OR10H4	0.52175
IL31RA	0.27875
GNB1L	-1.95016666666667
MYBL2	-1.145875
ZNF407	0.347666666666667
PPIG	-0.433166666666667
TTC18	1.44875
RPSA	-0.2835
MAPT	2.95125
MRE11A	-0.133071428571429
C8orf37	0.393
RASGEF1C	-0.1875
STBD1	2.24825
CTAG2	-0.0875
MGAT5B	-3.1934
ECM1	1.144
RLN1	0.932
PARP14	0.48975
EPB41L1	0.5462
HOXA3	-0.995583333333333
MAGEA9	-4.972
RPS8	-0.802666666666667
RPS19BP1	0.54275
FOXJ2	-0.082125
C10orf76	0.24375
IL17RE	-0.3735
C10orf65	-3.07875
ZNF343	-0.0971666666666667
FBXO33	-0.717375
UHMK1	1.7691
LY6G6C	-0.29225
FGF19	-2.8605
C14orf128	-0.641333333333333
IFIT2	0.21525
TIGD1	-0.933
S100G	0.0215000000000001
GUCY1B3	0.485
NR3C1	-1.5968
CORO1B	1.463
PARP11	-0.32425
DNALI1	3.83333333333333
OR4N4	0.042125
MAP2K6	-0.743833333333333
FSTL4	1.3465
ANKRD47	0.63625
TMEM171	-1.158
PNLIP	0.253
YY1	0.429666666666667
CCDC138	-2.164
AASDHPPT	-0.6894
CKS1B	-0.4292
MCM3	-0.905
ANAPC7	0.194666666666667
FAM110A	1.80375
CDC37L1	1.29333333333333
THTPA	0.5295
NBPF20	0.2245
WDR24	1.8505
NPTX2	-2.197
CBLB	0.9805
CETN1	0.995166666666667
RPUSD1	1.55775
FAF1	-0.28775
CDK6	-3.6412
HMX2	0.9765
CSK	0.0163333333333333
TEAD2	2.18825
SNAP25	-2.77375
TUFT1	1.9552
TMTC3	0.837166666666667
LCK	-3.83175
SGOL1	-1.68616666666667
AKTIP	1.95375
FURIN	0.828625
SOX12	0.3675
DEFB103A	-0.5795
RAMP1	-0.64725
KIR3DX1	-0.685
GAS2L3	-0.50175
PDE8A	-2.3288
EDN3	-0.50325
GMIP	0.967
SF3A2	2.04925
FN3KRP	-0.4525
SMAD7	0.8105
RHBDD2	0.98075
OR11H6	0.833
PPP1R3B	0.2116
C9orf23	0.04325
CADPS	-1.74475
GOLGA8A	-3.887375
TMEM57	0.6175
RGL3	0.084
S100A14	3.20975
FGFR2	1.0980625
XRCC3	-0.614
RTN4RL2	0.8555
MGC3771	2.0465
GH2	0.679333333333333
BTBD2	0.9135
LMO2	-1.43
RDBP	-0.896125
ACRBP	-2.2905
AMY2A	1.35825
DUOXA1	0.8395
PTK7	1.55516666666667
TWF2	1.22883333333333
FAM80A	-1.70625
TNNI2	-3.09916666666667
GLT25D1	-0.275
OCC-1	-1.00075
CYC1	-1.039
RPL22	-0.0405454545454545
MORN3	2.21816666666667
DISP1	0.3925
PRB2	0.431
CHUK	-0.61625
HR	-0.213625
CCDC134	0.40325
DENND4B	-0.4025
C14orf130	-0.68275
RAB33A	-2.20925
DCST2	1.003
TNMD	-3.03
PEX7	1.02775
FAM62A	0.226875
SRD5A2L	1.59875
IL22	-0.02
RPS26	-0.4355
HOXC5	0.338
SPATA6	1.04725
FLJ38482	0.698875
ZNF234	0.0435
C18orf22	0.26325
SPATA22	1.5265
THOC1	-0.65325
CYP7B1	2.31975
KCNC3	0.51275
C8orf42	-1.718
ALDH1B1	0.292
CCDC100	-0.6949
ARMC4	-4.37333333333333
FAM18B2	0.86775
SLC44A1	1.783875
FBXO17	-2.41466666666667
C6orf107	-0.657
C19orf29	-0.0475
ZC3HAV1L	-0.06175
PARP6	0.2287
SULT2A1	-5.32028571428572
C1orf159	-0.1705
TMC1	-0.505333333333333
CHST14	0.426375
GAMT	0.577166666666667
SMCP	0.1442
TSPAN33	0.469666666666667
MIDN	1.305875
NOX4	2.20825
RNASEN	-1.0304
TBX1	-2.42783333333333
SALL2	-0.1625
C10orf35	1.198
CYP2E1	-0.936875
LRFN2	1.79766666666667
ACO1	-1.48883333333333
IQCG	2.0209
MEGF9	2.6565
TM7SF4	0.73475
PLEKHA1	0.112533333333333
STK33	-4.68725
C1orf210	3.0275
SNUPN	0.0927
KIAA0406	-0.3933
C20orf29	-0.807
TMEM55B	0.08075
OSTM1	-0.9889375
CLCN7	2.10425
OTP	0.046
FLJ23049	-2.15166666666667
HEATR4	-0.156
MAP3K10	1.55683333333333
PCDHGA9	-0.2315
AMDHD2	2.67925
LCTL	-2.75
PDCD2L	-1.112
CABLES2	-0.80575
SLC5A9	-0.03075
CLCA2	3.84016666666667
MGC16025	-1.0975
STRAP	-1.04283333333333
C20orf196	0.2395
RRBP1	0.2895
NAT13	0.30775
MAT2B	0.039125
CSNK1D	-0.561
KIR3DL1	0.359
PRKAG3	-1.78
ZNF599	0.877
PRM3	1.401
PER2	1.11983333333333
ASPHD1	-1.9505
PRMT6	-1.15875
KCNE1L	-1.1505
FAM118A	-0.816666666666667
TAF4	-1.13
NDUFB6	-0.693
TRIM9	-1.64725
PMFBP1	-1.14625
KY	0.144
DKFZp762E1312	-2.80836363636364
CSMD1	-2.0005
TBP	-0.731
OR1Q1	0.8185
RETNLB	0.3535
HPGD	-0.918615384615385
DNAJC12	1.55483333333333
FKBP1B	-1.788
ANKRD24	0.442166666666667
CXXC5	0.785166666666667
IL3	0.470375
DRAM	-0.2936
PTCH1	-1.83642857142857
TP53BP1	0.87775
SLC17A7	-0.122
COL25A1	-1.951
AMACR	0.450833333333333
RHCG	0.108666666666667
VPS13A	-0.592416666666667
FAM55D	0.4465
PRPF38B	-0.672333333333333
OSBPL6	0.54175
PFDN5	0.4391
CMTM6	1.45875
KCNK12	-1.514
RP2	0.189
C16orf52	-1.65475
PICK1	2.2685
IFNE1	-1.5065
SEMA4B	2.8305
TYRO3	-3.1605
OR12D2	0.894
CSNK1A1	0.0814
FANCF	0.3885
LONP2	1.496375
TBL1Y	-0.34625
LDOC1L	0.351
CCNC	0.511
C3orf60	-0.776
CHKA	-1.49175
UBAP1	-0.232
MAP3K1	3.3265
ANKRD9	-0.08875
FAM92A1	-3.14866666666667
GAB2	1.122375
AZU1	-0.059
DIS3	-0.69225
C21orf109	-1.449
IQCB1	-1.079
SPATS2	-0.578333333333333
EFCAB3	0.3605
PRB3	0.15625
FUZ	0.918833333333333
ZNF813	-0.0545
BMPER	-2.39183333333333
HEG1	-0.590375
ALS2CR11	-2.7165
SURF2	-0.4445
PSMC1	-0.114666666666667
OR2D2	0.881
SLC7A8	2.07133333333333
C4orf40	0.529
SPATA7	-0.2085
MAZ	1.2635
PIN4	-0.99125
PDE1A	-2.266625
TAF6L	-0.144666666666667
OR2T34	-0.1995
KIAA0284	0.24025
ACADS	0.628909090909091
MKRN2	-0.078
C18orf56	-1.88725
MS4A6E	0.0648
GALNT4	1.1925
C22orf31	-0.378
FLJ36070	0.4165
PSME4	-0.1525
TFG	0.7702
EPHX2	0.748125
ANXA5	-0.423875
KRTAP1-1	-0.375777777777778
BATF	-0.7875
KARS	-0.59975
MSTP9	-1.3155
GPR26	-0.156
CCDC72	0.478
TEF	1.24016666666667
FOXK1	-0.2144
PRLHR	0.1465
EMX1	0.0585
C11orf30	-0.301625
ICK	0.179125
THSD7B	-0.8345
C21orf100	-1.3585
DUOX1	1.4485
EFCAB4B	-0.6095
UBE2G2	-0.558
C3orf54	-1.01325
PARP1	0.054
FAM60A	-0.535333333333333
C6orf146	0.14125
OR9K2	0.004
DDX55	-1.15816666666667
RPS15	-0.41725
ZNF618	0.044625
DKFZp686D0972	1.5675
SSPO	0.556
SHFM3P1	2.27633333333333
CPA6	-0.931
JAG2	2.204
DEFA3	0.43525
PPBPL2	0.153
CD34	2.678
SLCO4A1	-2.524125
AFG3L1	-1.36633333333333
SHD	-1.71425
RP13-122B23.3	0.728333333333333
PRKCSH	0.507166666666667
DPH5	0.0198333333333333
HLA-F	2.006
TBC1D4	-0.927
RIG	0.0481666666666667
GLUD1	-0.5885
HNRPCL1	1.745375
HBXIP	-0.096
RNF207	0.301
APIP	-1.12225
PLA2G3	-1.74833333333333
CCDC84	-2.37725
MYLIP	0.550769230769231
PHIP	-0.45025
AARS2	-0.625833333333333
DHX32	0.769
SCAPER	-1.176
MEN1	0.306333333333333
NIP7	-0.96125
FLJ25404	1.382
FASTKD3	-0.8755
TMEM158	-0.677916666666667
RARA	1.8215
BDH1	1.5735
ANKRD16	0.37775
CARM1	0.1395
SS18	0.6855
IKZF2	0.794583333333333
MYD88	1.874
PML	0.2174
TAF1A	-0.729
CBFB	-0.445125
HIST1H3H	0.430166666666667
C7orf29	-2.464
COMMD4	-0.0335
DPP3	0.8375
DAB2	-0.059
LOC388882	0.201
YPEL4	-0.697125
AGBL3	1.239
LRP6	-0.0572
SERPINH1	0.670416666666667
TLE1	0.46225
CD244	-0.5065
ZDHHC15	-1.60333333333333
MGLL	0.9195
PLDN	0.417333333333333
LOC654346	2.075
FAP	2.73125
GPR37	-1.00633333333333
SCARA5	-2.181
EBF4	0.426636363636364
LSM6	-0.96525
MLLT1	0.7240625
SLC5A12	-1.16725
A2BP1	-1.9715
COPS5	0.0956666666666667
TPM4	-0.168857142857143
TNFSF4	-0.423
ACADSB	0.814666666666667
HERPUD1	-0.186
BCL2L11	-0.898277777777778
CEP78	-1.632625
CDCA3	-1.188125
WBSCR19	-0.3643
MYO1A	-2.749
PPEF1	2.97166666666667
LOC440348	-0.512
CPEB2	0.357
BPTF	-0.72125
RPL21	-0.0191875
GSX2	-0.591
ADPRH	1.774
C17orf68	-0.4195
KCNS1	-1.16766666666667
MLLT6	0.9241
PIWIL4	-1.80275
RNF26	-0.50675
RAP1B	0.198375
ADAMTS1	-4.6773
ZNF571	0.23925
P2RY6	-1.289
TRIM21	0.234
CADM3	0.392
NLRC5	1.06516666666667
ADRA2B	-0.396
LOC90835	0.946875
PCF11	-0.6625
LOC400451	1.52
GLTSCR1	1.3775
C17orf88	-0.6735
CDH16	-1.0305
FGF7	0.512625
PCSK4	0.750166666666667
NPC1L1	-1.86066666666667
TAT	0.35325
TBCA	-0.4445
MGC33407	-0.1045
GPR115	2.13075
CYGB	0.6215
FNBP4	-1.58116666666667
C12orf43	0.0875
CBL	-0.6426
CLECL1	0.68475
PPAPDC1A	2.38025
WDR25	1.093
SGCA	-0.785
C22orf29	0.604166666666667
YIPF1	1.6985
GALK2	-0.885
RAB3B	-2.24216666666667
LOC440087	-3.788
UCP1	-0.653
REEP5	0.59625
FADD	0.6238
FOXA1	3.00025
CACNA1A	0.175333333333333
ABI1	-0.122833333333333
GRIN2D	2.75875
SLC1A4	0.1045
LOC401127	-1.08625
HINT2	0.5445
PLD4	0.199333333333333
ZNF286A	-1.99325
ENY2	-0.8985
IL1F6	0.4035
PXDNL	-0.28375
C20orf79	0.78425
TNFSF13B	1.82133333333333
DENND3	-0.523625
JARID1D	-4.01375
HIST1H2AK	0.872125
LOC93349	-0.7197
SSH1	-0.862
ENSA	2.29775
LOC219854	0.431166666666667
CKAP2	-1.2344
DKFZP564J102	-0.384166666666667
MGC87315	0.765
HNRPAB	0.14425
AMH	-0.329
ZNF526	0.6335
BRUNOL5	-0.332
CACNG3	-0.4298
TRPM1	-3.5235
PPP2R1A	0.999375
COL2A1	-1.44375
DDN	-0.0126666666666667
FLJ25770	1.44241666666667
HK2	-0.631214285714286
ELOVL6	-1.733875
MDK	-2.60475
EPHX1	0.8855
RASSF2	-0.058875
DKFZP434B0335	-0.56075
DLX3	0.228375
PRTN3	-0.309
AVPR1A	-1.219
C21orf125	-0.54575
TNFAIP8	-0.527666666666667
GNB2L1	0.7815
CALCRL	1.003
SCGB2A2	8.14766666666667
UBXD7	0.40525
ZNF674	-0.5585
TMEM35	-0.97
BRSK2	-0.907625
HECTD3	0.913
TMEM188	-0.447583333333333
LGALS9	1.876875
SCARB2	1.19241666666667
USP34	-0.2315
C17orf28	2.47583333333333
ZDHHC23	-0.11925
AQP12B	0.552
SLC16A3	-1.543125
APLP2	1.12075
ITIH2	-5.852
MICAL3	-0.755625
TNNI3K	-0.2
HDAC2	-0.465
PRR7	1.3795
THBS2	0.55125
LOC751071	0.433833333333333
CA2	4.5015
RANBP17	0.08625
RLN3	0.48225
CRYZ	0.298166666666667
GBAS	0.517666666666667
TAS1R1	-0.7165
MPZL3	0.5695
PCDH8	-3.24125
HSP90B1	-0.355083333333333
KCNK15	-1.039
TNIP2	2.3565
GPR146	-0.57575
NOL6	0.567125
SPC25	-2.65611111111111
STEAP2	2.47092857142857
VAMP3	0.396333333333333
TCIRG1	-0.0145
ZP4	-0.644666666666667
PARL	0.589375
TRIM39	0.181833333333333
KIAA1305	-0.86875
CRNN	0.5356
GRN	1.0615
HSH2D	0.03175
SCAMP1	0.5896875
KIAA1913	-0.62225
PTS	-0.7875
BANP	0.389857142857143
PRKACG	0.34725
ADCY6	0.805833333333333
C16orf46	1.3465
CYP51A1	0.630125
DDC	-7.369
ANPEP	0.198833333333333
PROM1	-3.57633333333333
SIGLEC10	2.60975
COPG	1.1075
FAM26E	1.320875
TRIP4	0.38625
SNX3	-0.371166666666667
C1orf175	0.541333333333333
PPY2	0.20775
C14orf152	0.124
FTSJ1	-0.145666666666667
DST	-0.43565
LOC554235	0.26925
GLRX5	-0.5495
C20orf12	1.6857
CAB39	-0.353333333333333
MSH2	-1.30633333333333
PIP4K2C	0.835875
CYLD	0.80425
WTAP	0.15475
MGAT4A	0.804333333333333
TSC22D4	0.4257
CHRM2	-2.3075
PPYR1	0.413
CCNH	-0.8245
RRM1	-0.71025
ECAT8	-4.1345
LOC400120	-1.1135
GABRA4	0.037
C14orf4	0.640833333333333
C1orf59	-0.65425
CTDSPL	0.982333333333333
NHEDC2	-2.0025
PDE11A	0.383875
KLHL29	-2.726
CD5	-2.3932
TSPAN9	1.7396875
WDR67	-1.64625
THUMPD1	1.3527
C18orf17	-0.2645
CLYBL	-0.949166666666667
FLJ13231	-0.939875
CMBL	0.37225
LECT2	-0.2815
NKAPL	2.7195
LOC654780	0.484
OR4C6	-1.1165
RAB30	1.66316666666667
TSSK4	0.1295
TMEM163	1.371
OSBPL11	0.35525
GNB5	-1.951
CCL21	0.42475
C1orf121	-0.136
FMO2	0.680166666666667
RPTN	1.7225
MSTN	-0.3235
VCL	0.417785714285714
FYTTD1	-0.1825
C11orf1	0.81075
CCDC88C	0.7153125
HFE	-0.0216666666666667
MOGAT1	-0.796
FAM125B	-0.1385
IRGQ	0.436
RAVER2	-2.476
AKAP5	-0.772
SSSCA1	-0.58125
C11orf63	-1.20075
ACTG2	0.344
PORCN	-1.7195
DTL	-0.635727272727273
TMEM151	0.6055
FAM122C	-2.095
RSAD2	2.4022
BAT4	-0.6015
KRTDAP	-0.883666666666667
MYH8	0.923125
CRTC3	1.5415
LRRFIP2	0.1166
INTS4	-0.564333333333333
TTN	-2.74533333333333
SLC26A5	1.8525
PLLP	-0.4985
RGS6	1.929875
SRGAP3	0.156375
ZNF525	-0.111333333333333
NBR2	0.2114
C13orf1	-0.2129
ZNF137	0.082
CEP27	-1.65275
BEST2	0.1975
RNF121	0.59875
DMRTC2	3.7375
C8orf76	-0.817
BCCIP	0.545875
MEST	-2.2625
HTRA2	0.169
ANGPTL2	0.635
ILKAP	-0.638166666666667
ERAS	-0.152
HBS1L	-0.592875
CPA5	0.421
TMEM30A	0.680666666666667
CD300LF	1.86316666666667
WISP3	0.313
CRK	0.530357142857143
PDS5A	-0.4999
BRPF3	0.2635
NEDD9	-0.91475
SMPDL3B	2.0405
PSG6	-1.33075
PSMD13	1.17575
ETV5	-1.75425
OR51A4	-0.336
BTBD7	0.401833333333333
GSTO1	-1.495875
hCG_16001	-0.056
MAD2L1BP	0.104166666666667
COX6A2	2.6965
SCNN1A	2.813
LSM1	-0.279833333333333
UGT2B11	-1.178
IDUA	1.58925
PPP2R3C	-1.23383333333333
COX11	-1.823
PDZK1	0.50725
ZNF443	0.483833333333333
MGC21874	1.96033333333333
ZNF323	1.0737
KRTAP10-10	0.378
CXCL6	-0.73
SLC34A2	0.435888888888889
LOC284402	0.226
NPTN	1.12316666666667
UPP1	-1.55
SLC6A9	0.6205
OR7G3	0.0659999999999999
CISD1	-1.278
ZNF545	-0.691333333333333
SYT14	-1.4805
NT5C3L	0.0743333333333333
ZNHIT3	-0.242833333333333
SNRPD3	0.2065
KIAA0701	0.233375
UNC93B1	0.605333333333333
GMNN	-1.484
SPCS2	-0.04
LOC388524	0.296
NAPRT1	0.7575
PNLIPRP1	0.161333333333333
OR6V1	0.6105
PRKAB1	0.131
EYA4	-2.7775
KIF20A	-2.403
ALG10	0.50875
ITPKC	0.492333333333333
LMX1B	2.77083333333333
RPUSD4	-0.512166666666667
C7orf34	-0.376
DLGAP2	0.518
PFN1	-0.3875
MICALL2	0.583583333333333
ZNF654	0.961
SS18L1	-0.915
SLC16A8	0.2375
MKI67IP	-0.1425
ITGB3	-0.32725
TCEA3	2.513
CEP152	-2.9490625
CLIP1	0.8375
ZNF75	-0.272125
ATP5C1	-0.0275
NUDT5	-0.606666666666667
PSCDBP	-1.4615
UBP1	0.38525
RBM27	-0.04075
C13orf15	2.062125
ZNF282	0.8555
ZNF222	-1.0325
COL10A1	5.03125
PRDM15	-0.76875
TTTY5	0.491
FAM9C	-0.617
C20orf67	0.3715
GNG13	-0.1735
F12	0.8065
C1orf41	-0.5185
CPXCR1	0.355
GSK3A	0.210375
SUPT6H	0.475333333333333
PI16	-1.73233333333333
ELL2	-1.13708333333333
C9orf167	-1.76883333333333
PVRL3	-2.7343
FLJ38596	0.763666666666667
ADAM20	-0.16175
GPR89A	1.503
GPR87	2.118
ZNF30	-0.0785
SMR3B	0.193666666666667
ZNF770	0.40175
TRPC4AP	0.126666666666667
DKFZP686E2158	0.247666666666667
C2orf28	-0.55
FREM1	-3.787
LAMA4	-0.0906666666666667
ADPRHL2	1.1865
EIF4G2	0.338833333333333
GUCA1A	-2.748
CTNNA2	-1.291125
NUDT15	-1.10483333333333
CEPT1	1.01883333333333
ZNFX1	0.754
CCDC92	1.59225
TDRD1	-0.7215
KCNK5	-2.34216666666667
ETNK1	0.470916666666667
LTA	0.3695
TTPA	-0.702
B3GALNT2	0.447
SC65	1.59533333333333
PEX5L	-2.441375
EPS15L1	0.04225
MGEA5	-0.832375
HIST1H3A	1.763
ING1	0.2835
BCAT1	-2.28875
ORC6L	-2.92672727272727
KLK11	-1.573
C19orf28	-0.92825
DNER	-4.7405
MED22	-0.0967857142857143
ETV6	1.20341666666667
CHAC2	-1.65925
CD300E	0.7915
CEBPB	1.35316666666667
ZNF398	-0.586
LRCH3	0.332
HMGA1	-0.858333333333333
CAPN7	-0.166
MGC5566	-3.7185
CCL3	2.93975
NANOS1	-0.958
ZFYVE19	0.581
APITD1	0.0321666666666667
PARD3	0.6285
IRAK4	-1.32216666666667
SERPINI2	-1.3275
CEP170L	-1.05725
TTC9	1.921125
MYOM3	-1.693
MLPH	2.386625
LOC222699	0.098
NRG1	-1.27441666666667
TBC1D9	3.19754545454545
TTK	-2.26416666666667
ZNF557	0.2344
DDX41	0.0258333333333333
FANK1	3.186
UBE2D2	-0.319125
PSMB10	-0.209375
MYH7B	0.299
GABARAPL2	0.0625
MARVELD2	1.46466666666667
DGCR2	0.338833333333333
UNC45A	1.01666666666667
C6orf72	-0.161
ZNF683	1.52975
GIT2	-0.49075
CASK	1.01383333333333
C14orf161	3.5405
LRRC44	0.27425
TIFA	0.753
UTP11L	-0.7025
C6orf65	-1.28
FDPS	0.997
DUSP9	-1.5568
SLC17A8	-0.0378333333333334
OR51G1	-0.418166666666667
NANS	-0.214
OLFML1	1.26025
ATP10B	-1.59
NPAS3	-1.319
PRKCA	-2.2666
GGA2	0.086
LCE4A	0.7645
SPANXN3	1.36475
CCDC115	0.995375
SDCCAG3	-0.8875
GLIPR1L1	-0.27925
TTC1	0.273
C17orf76	-0.92225
MAD2L2	-0.649
HIPK1	-1.3195
LRRC3B	-1.8518
CLN3	0.757
C17orf47	0.796
FMN2	-3.67675
TUBB1	-1.90585714285714
WAPAL	0.0816666666666667
C3orf21	-0.48775
SCN5A	-0.5612
SMYD1	-0.6895
BEX5	1.027
ZNF192	0.736
SEC22A	0.6095
GRIA2	1.33623076923077
KIAA0825	-2.43825
NUSAP1	-2.09545454545455
LANCL1	-0.4175
C15orf40	-0.5326
ZNF645	0.06275
GPR61	0.6635
NLRP14	-0.434
SNX21	-0.3525
C1QTNF8	-0.0415
C17orf46	-0.2495
IFNA8	-0.344
SPRR1B	2.22266666666667
FLRT1	-0.0665
SNX17	1.29766666666667
ASB2	-1.44816666666667
HBG1	-5.2645
RPRML	-2.9555
JOSD2	0.0405
PLSCR3	-0.62125
SPOCD1	0.686166666666667
RAB39	-1.7245
GHRH	-0.135833333333333
ITIH5L	0.6825
C17orf37	0.286
SMCR8	0.3945
DPY19L2P3	-2.18083333333333
IL11RA	-0.329
GDF3	-4.4035
RPS6KB1	-1.37558333333333
DNAJC19	0.3615
TOP1	-0.33775
CRCT1	-0.444625
MPST	0.36125
DPM2	1.12625
FAM38B	-3.08016666666667
SLC18A1	-2.2466
FARP1	1.11666666666667
PAX7	0.34175
TUBD1	-1.59875
GNL3	-0.438125
BTG2	0.9556
NDUFS6	-0.42
C1orf79	-1.352
ERAL1	-0.26975
ECHS1	0.573
VPS4A	-0.266833333333333
CYP11A1	-0.604
ABCC6	-2.02857142857143
PBX4	-2.905
MOSC1	-0.036625
NCF4	1.37025
HYMAI	1.7165
NAGPA	0.3745
OTOP2	0.579
ACOT12	-0.242
MTHFD2L	-1.204
LOC441376	1.98775
C19orf34	-0.3065
RAB1B	0.7225
ALDOAP2	2.744
NTRK1	-0.913166666666667
ARTS-1	-0.7939
SLC6A11	-1.017
NAP1L2	-3.6655
CNGB1	0.363333333333333
EPB41L4B	-1.63775
FAM134B	-1.527875
HS3ST3A1	-1.978
CPXM2	2.614
SIRPB2	0.6925
CHORDC1	-0.755166666666667
TRIB3	0.2175
SLC2A5	0.8205
C2orf49	-0.252833333333333
DDX5	-0.34375
OR5L1	1.1115
ANAPC4	-0.453
ZSWIM1	0.309125
LOC93622	0.356875
KCNK3	-0.1549
RP11-35N6.1	-2.9505
ZFP161	0.143333333333333
AQP9	4.14525
SLC15A2	-1.681
MREG	2.1035
OR9I1	0.526
PDLIM2	0.486375
ADAM7	0.5905
GSTCD	0.7895
WDR21A	-0.346375
SLC12A8	2.245
TMEM174	-0.27825
IGSF3	1.22941666666667
LRRN1	-0.736
LOC402117	0.43875
SRPK1	-1.2665
LY6K	-1.610125
NFIA	4.042
PTCD3	-0.849375
LEP	0.865166666666667
PCDH21	-0.719833333333333
MAPKAPK2	1.50764285714286
NMNAT1	0.167333333333333
LHFPL2	0.6585
C9orf43	0.381
DIP2A	0.3655
ACTR8	-0.083125
CCDC34	-1.43825
PTPN22	-1.724625
ITGA3	-0.024625
FAM129C	0.00525
RABGGTA	1.13566666666667
UNC45B	-0.14375
KIAA1033	0.186
ZNF510	-0.388333333333333
CYP2D6	-0.484166666666667
SLC26A10	-1.519
STX8	0.09
LUZP1	0.05175
WDR89	-0.285
EIF4G3	-0.1036
C5AR1	1.420875
ZNF623	0.9175
A2M	-1.0185
TGM7	-0.875
GRPEL1	-0.0316666666666667
LMNB2	-1.0366
ROCK2	-0.230166666666667
SNX16	-0.22625
CCDC66	0.53675
ANXA3	0.80175
KIAA1609	0.184875
EED	-0.80675
RNF32	-0.081
HES1	0.8781
CLC	-0.5684
ISL1	-1.50475
KIAA0528	-0.47
MANEA	0.49775
C1orf61	-2.6355
hCG_2001000	-0.249
RAPGEF6	-0.9746
KIAA0020	-0.347333333333333
NEIL1	1.256
C16orf45	0.96925
RBM10	0.0276666666666667
C10orf125	-0.905375
MRS2L	-1.03925
DNAH17	-1.73125
C19orf10	-0.7555
C1orf160	0.817
SLFN12	0.896
EXOC3	0.177833333333333
HIST3H3	1.2725
NCOR2	0.1085
TNFRSF9	-1.7485
MFSD8	0.06975
ALX1	-4.2375
NOL1	-0.96775
PODN	2.57275
TIAL1	-0.84175
HIST1H1E	0.79175
NPY6R	-0.1745
TM4SF4	1.0775
CORO2A	0.71
ETNK2	1.40383333333333
APOE	1.0524
ANGPT4	-0.383
HDGF2	1.568
G30	0.196
ST8SIA4	-1.481
F2RL1	-0.7015
FAM19A4	-2.79625
CCAR1	-0.35075
B3GNT7	0.80225
OPHN1	-0.117
DSCR6	1.407
C21orf13	0.956
GAS2L1	1.35616666666667
RFX3	0.1985
COPS4	-0.067875
BCHE	-5.71833333333333
BCL2	1.399625
HBZ	-3.17566666666667
ARL13B	0.846
MAPBPIP	1.296375
MYO15B	0.70525
SPZ1	-0.59825
KIAA1324	2.71344444444444
PLCL2	-1.773875
C4orf29	-0.827
WDFY2	-0.661375
ZNF284	0.1925
NAALADL1	0.6415
DUSP5	1.557
PXDN	0.60325
SLMO1	-0.47725
TNXB	0.6094
BIRC7	-0.13975
A4GALT	1.00416666666667
TIMM22	0.003
FAM110C	1.4195
TOMM34	-0.164125
ABHD9	0.245
ADAM32	0.7325
CRHBP	-1.4215
AQP2	0.481375
LOC130355	1.08925
ZNF187	-0.889166666666667
ZNF816A	0.484
F7	0.00650000000000001
CNOT1	-0.5235
SLC13A4	-1.32475
ZBTB11	-0.05175
B3GALT5	-0.012
EXOC2	0.135666666666667
IRS1	0.8758
TMEM1	-0.417833333333333
MRPL34	-0.611833333333333
SAMM50	-0.03
CDC42EP3	-1.72225
HSF2	-0.8264
MFN2	-0.48175
TSPAN7	-3.02933333333333
NUCB1	1.1045
RHOH	0.33925
ARL16	-0.3765
TACR1	1.0785
SFRS5	0.145333333333333
SNX25	-0.938
RHBDF1	1.68416666666667
PCDH18	0.299833333333333
HMG1L1	-0.108
MYO5C	0.955
MAPK10	0.534
LDHAL6A	-0.833166666666667
NUDT12	1.005
NCAM1	-0.300125
GLIS2	1.221
GGTL4	2.20325
DAPP1	0.2085
ATF7	1.177375
KIAA0748	-2.57025
NFIL3	0.184
TM6SF1	0.139333333333333
SEZ6	0.229
NANOS3	-0.317166666666667
DNAJA3	0.6425
CLDN6	-2.581
CIITA	2.5499
EPHA4	-2.845
FANCC	0.10775
CMTM3	0.983125
PSG3	-0.868625
MRPL15	-1.01025
C21orf59	-0.16975
PLCXD2	-0.15775
C2orf34	-0.6685
UBE2L6	0.71425
MED14	-0.498833333333333
