Hybridization REF	TCGA-BH-A18M-11A-33R-A12D-07
RHPN2	-0.272
C4orf39	0.663
VPS72	-1.2805
SERF2	0.332555555555556
CD22	-0.0238333333333333
CD47	0.7756
PPIC	0.640666666666667
IMPDH1	-0.660416666666667
ACP6	-0.410666666666667
PRKACA	0.411125
PPP1R1A	3.95175
TRPV3	-0.12825
ASXL1	-0.636125
C17orf55	-1.00433333333333
FXYD1	2.524
LMOD2	0.474
ANKRD33	-0.0515
LCE2C	-0.1325
ZNF620	-0.751
DKFZP566E164	-0.28875
VSIG2	2.34625
KIAA1128	1.37375
USO1	-0.114166666666667
NUDT4	0.274285714285714
CLDN1	0.463142857142857
OR4Q3	0.3585
FASTK	-0.774
ICOS	1.2016
LDB1	0.449
GSTA5	1.419
ABCC1	-2.04066666666667
FAM54A	-4.4815
PCBP2	-0.208166666666667
NUP205	-1.952
ACTA1	0.725333333333333
GABBR2	-1.48466666666667
PIP5K1B	0.8945
AGXT	-1.3805
RNF181	0.49875
ATP8A2	0.076
AFTPH	0.6718125
FGF21	-0.38775
FCER1G	2.0295
SNTB1	-1.24625
SLC24A3	0.8245
TXNL4B	-0.7144
RPL10L	0.869166666666667
LOC389517	-0.7753
TSGA13	0.9655
SHOX2	0.308333333333333
ITGA7	1.8165
KCNIP2	2.2395
KLF13	0.1742
ZFAND2A	0.1055
CEACAM1	0.0905
PFKFB4	-2.6175
MED19	-0.18625
LRRC57	0.0661666666666667
RNF11	1.034
ANKRD32	-3.0325
P117	0.17625
OBFC2A	0.898333333333333
POLD3	-0.999083333333333
RAB18	1.22325
TPH2	0.1786
PHB	-0.0598
JDP2	2.32316666666667
MORF4L1	0.3665
POU2F1	-0.355333333333333
CNNM2	-1.1035
LOXHD1	0.5215
ZC3H15	-0.5275
ELK3	0.188166666666667
FAM111B	-2.40025
CBLC	0.945333333333333
SBNO1	0.2185
ANKMY2	0.029
PLEKHA5	-0.38075
DHX58	1.50233333333333
ARCN1	-0.157166666666667
TREML1	0.5418
KNCN	0.213
SEC24A	-1.3065
PSCA	-0.608333333333333
MGC24125	0.116833333333333
DNA2L	-2.42525
CIB4	0.1755
HIGD2A	-0.911666666666667
TBX6	0.598
TTLL5	-0.424166666666667
SGK3	1.0575
GCN1L1	-0.583
AMOT	0.9346
LDOC1	-0.198833333333333
NRK	0.386
ASB9	-2.141
NAT1	2.1559
TRAFD1	-0.09575
PEAR1	1.22183333333333
FAM36A	0.251625
OR1S2	0.410333333333333
LOC388323	-1.6985
PGS1	-0.343166666666667
LEPREL1	-1.3215
TFF1	-2.76941666666667
HAP1	0.2585
EPHB2	-0.52625
ACTG1	0.0461666666666667
ZFP42	-1.1286
HAVCR2	0.2388
NME1	-1.178
SNX26	0.0448333333333334
LACTB	0.150833333333333
ZKSCAN2	-0.441
C5orf35	0.60925
ANKS3	-0.54
RBM28	-1.7035
DKFZP586P0123	-1.23425
HNRNPA1	-0.258666666666667
BCAS3	-1.52725
FLJ20184	-0.0175
POLA2	-2.07083333333333
TMC7	-0.759
HSD17B6	-0.4385
ZNF658B	0.696333333333333
TTTY10	0.049
RANBP9	-0.5955
CPNE7	-2.741
EVL	0.160529411764706
LNX1	0.11225
IFNA21	-0.2226
CFD	4.652
PYCARD	0.331666666666667
MYBPC2	-0.2425
ENPP3	-2.08
ACSL4	-0.74325
LOC440258	0.268166666666667
TMEM176B	3.97116666666667
SOX2	-4.567875
SCO1	-0.899166666666667
COMT	0.3735
AOC2	0.37725
PDLIM5	0.852642857142857
SPHK2	-0.197166666666667
NXPH2	-0.965
GPR108	0.412
RAD51L1	-0.113
TMEM54	-0.76375
LETMD1	-0.254777777777778
SLC6A17	0.177
KRT75	1.4205
STT3B	-1.59866666666667
CD3EAP	-1.22816666666667
TMEM63A	-0.29475
DUSP13	-3.3065
CD1C	1.3355
LASS2	-0.512666666666667
AVP	0.011
PITPNM1	-1.4385
FLJ22795	-1.604
MCTP1	-1.9345
TRIM68	0.692833333333333
UCK2	-1.9745
ABHD1	1.116
FAM50A	-0.44
RNASEH1	-0.6435
PCP2	0.690833333333333
OR52H1	0.484
C20orf149	-0.67
RBP5	0.455666666666667
HYAL3	-1.41675
CLPB	-1.4645
SMNDC1	0.009
DONSON	-2.56483333333333
FLJ27523	0.64125
BARHL2	0.444833333333333
SLC30A9	0.0406666666666667
TMPRSS11B	-0.17025
E2F8	-2.75266666666667
CCDC25	0.12275
C14orf48	0.461666666666667
C20orf116	0.0655
TSPAN11	0.744
YIF1B	-1.3535
FAM12B	0.616333333333333
OR1L6	-0.1045
HPN	-0.2
NBN	0.022125
C14orf94	-0.415166666666667
OCLM	0.0895
ZSCAN18	1.1051
L3MBTL	-1.0276
TSTA3	0.289
RAC1	0.777875
C19orf15	0.580166666666667
NFE2	-3.87725
KLK14	0.5205
ARSF	-0.2665
MAST2	-0.745166666666667
AMICA1	3.00316666666667
GTF2A1	-0.815
ATP1A3	-0.7015
TC2N	2.0737
PNKP	-0.74375
ODZ2	2.21375
MATR3	-0.040125
S100P	-3.658
KRT82	0.5575
CA13	-0.2094
PROZ	-1.49716666666667
AASDH	0.707
C19orf40	-0.683666666666667
DCK	-1.05930769230769
FAM5C	-0.92675
SLC6A4	-1.213
MID1IP1	-0.75775
TESSP5	-0.0495
TMOD4	-0.0511666666666667
DOCK2	-0.717
TUG1	-0.03
NUP214	-1.0105
DPYSL2	0.739227272727273
GOLM1	0.282666666666667
MPFL	0.55925
SOX13	-0.06225
SDCCAG8	1.1965
KEL	-1.83116666666667
NUP210L	-2.43666666666667
GK	-1.8455
DNAJB1	1.4135
ALPK3	0.031
CHID1	0.6082
CYLC2	0.3406
IKZF5	-0.01575
C8orf51	-0.973
PPM1J	0.253
GIMAP8	4.55783333333333
GPR101	-0.5495
NR2F1	0.5935
ACAD8	-0.14725
RBM35A	-0.64725
GNAI2	0.5355
METTL8	-0.756666666666667
SLC39A7	-2.3445
FBXO8	1.10675
CAMK1	0.9745
RFC3	-1.289625
FAM129A	1.52835714285714
ILF2	-1.70425
FGFBP3	-0.8775
NOM1	-1.27533333333333
PSMA3	-0.15275
ASCC3	-0.4171
ZYG11A	-2.49025
SOX21	-1.11242857142857
LYRM1	1.02375
DEFB1	2.4265
LOC91431	-2.5945
OR7C2	0.318
FAM46B	1.363
TMEM18	0.26725
ARHGAP30	0.957333333333333
TMEM86A	1.4885
EPHA2	0.365833333333333
C10orf46	0.5308
TCHH	-0.0795
C3orf30	0.153
LOC285636	-0.151666666666667
PAIP2	0.688
CYP2U1	0.688
C12orf34	-0.62
SARS2	-1.21116666666667
ZCWPW1	1.21975
SAMD12	1.386875
KIAA1430	-0.376285714285714
ACAT1	0.29675
MEOX1	3.15216666666667
ADAMDEC1	1.56325
PHKA2	-0.4525
CARD11	-1.07616666666667
CALML4	0.0275
TSSC1	-0.993
TMEM45A	-1.28066666666667
MPP7	1.518625
POU1F1	-0.23525
SLC2A13	-1.6442
FBN2	-1.50164285714286
ZC3H7A	-0.1374
LAIR2	-1.452
ST3GAL1	-0.6315
LCT	-1.7235
GEMIN8	0.671
KLF16	-0.3902
HIF3A	1.2344
FAM44A	-0.221642857142857
AQP10	-1.609
PLA2G2A	0.4895
FOLH1	0.877166666666667
C20orf186	-0.487
MAPKAP1	0.246875
SPRR2D	-2.25375
UBQLN4	-1.22783333333333
RSHL1	-0.176666666666667
PIAS3	0.014
MRPL24	-0.39275
GREB1	-1.468875
FAM27E3	-1.4825
NUP62CL	-1.4635
NEUROG3	-1.811
REEP3	0.362833333333333
MARK1	1.362125
LMBRD1	1.1325
PRPF19	-1.5005
PNMT	0.158
CTGLF1	-0.3545
SLC25A16	0.69275
EIF2B3	-0.421
RPA2	-0.20275
PAK6	1.4315
CCDC26	-4.54642857142857
SEMA3E	1.9325
MXD4	0.8047
TNFSF10	3.8264
SMARCB1	-0.438333333333333
DTX3L	0.507333333333333
PLA2G4E	-0.823
PPAP2A	2.5395
ULK1	-0.287
TAS1R3	-0.155
SLC2A3	-0.797363636363636
ARID3A	-2.303
GNG5	-1.24575
ACOX1	-0.1542
KIF5B	-0.349
NUP153	-1.0025
MUC7	0.5235
CSDE1	0.0577142857142857
CLPTM1	0.36625
C3orf23	-0.5725
LRRC17	1.58233333333333
TTYH3	-1.26625
ATP5B	-0.3085
ELF3	0.9777
CPSF3L	-0.291166666666667
ZNF665	0.186166666666667
TLR6	0.1147
GPI	-1.483375
RAD9A	-0.664625
NDST4	-4.4865
AGPAT3	-0.270583333333333
MAGI3	0.594333333333333
ADORA2A	-0.479625
CACNG7	0.5365
CAMK2D	-0.452
CCHCR1	-1.381
RPS27A	0.3375
OR10G7	0.117
GCM2	0.1595
FAM135B	0.257777777777778
E2F1	-2.02375
PLCB3	-0.69
OR2AE1	-0.0255
COIL	-0.1645
CDC25C	-4.08033333333333
RAB11FIP2	0.686166666666667
TSC2	0.7125
CTGLF5	-1.1215
CCDC108	-0.116555555555556
OR13C4	-0.11125
C10orf81	4.29525
PTPRB	3.36275
ACP2	-0.0855
LAG3	-0.478
MRPL54	0.1295
LOC201175	-1.2605
ITGB1BP3	-1.5825
SPTAN1	-0.381166666666667
SIPA1L2	-0.346
RCAN2	-0.367
CDX2	-0.18
ECOP	-0.57925
ACTR1A	0.284857142857143
PPARG	3.10566666666667
BBS10	0.197166666666667
TMEM44	-1.049375
BPIL2	-0.00600000000000001
CITED1	1.868
IRF6	3.15575
PRDM4	0.179666666666667
RRP9	-1.29533333333333
OR10H4	-0.099
IL31RA	-0.269666666666667
GNB1L	-2.04383333333333
MYBL2	-3.629875
ZNF407	1.04416666666667
PPIG	-0.0751666666666667
TTC18	2.887
RPSA	-0.593
MAPT	1.32142857142857
MRE11A	-0.125571428571429
C8orf37	-0.557333333333333
RASGEF1C	-0.0321666666666666
STBD1	2.354
CTAG2	-0.0468333333333334
MGAT5B	-2.58316666666667
ECM1	-0.728625
RLN1	0.914
PARP14	0.637733333333333
EPB41L1	0.4947
HOXA3	0.189416666666667
MAGEA9	-4.938
RPS8	0.352666666666667
RPS19BP1	0.02425
FOXJ2	0.707875
C10orf76	0.524875
IL17RE	-0.06275
C10orf65	0.36525
ZNF343	-0.127
FBXO33	0.584625
UHMK1	0.2332
LY6G6C	-0.16675
FGF19	-0.995
C14orf128	0.881
IFIT2	2.486
TIGD1	-0.83175
S100G	0.8665
GUCY1B3	2.0815
NR3C1	1.1263
CORO1B	-0.265666666666667
PARP11	0.877166666666667
DNALI1	3.72966666666667
OR4N4	0.0146666666666667
MAP2K6	0.182666666666667
FSTL4	-0.166
ANKRD47	2.023875
TMEM171	-1.623
PNLIP	1.10125
YY1	-0.726833333333333
CCDC138	-2.62766666666667
AASDHPPT	-0.8005
CKS1B	-1.1694
MCM3	-1.644
ANAPC7	-0.245666666666667
FAM110A	0.248
CDC37L1	1.80233333333333
THTPA	0.5055
NBPF20	-1.039
WDR24	-0.684
NPTX2	-3.552
CBLB	0.351666666666667
CETN1	0.1625
RPUSD1	-0.32675
FAF1	-0.71025
CDK6	-2.377
HMX2	0.5795
CSK	-0.716
TEAD2	0.16825
SNAP25	-0.0535
TUFT1	-0.212
TMTC3	0.054
LCK	-2.2025
SGOL1	-3.40083333333333
AKTIP	2.56125
FURIN	0.1675
SOX12	-1.23933333333333
DEFB103A	1.09625
RAMP1	0.4015
KIR3DX1	1.091
GAS2L3	-1.61225
PDE8A	-1.0173
EDN3	5.90375
GMIP	-0.1625
SF3A2	0.8705
FN3KRP	0.3985
SMAD7	0.5
RHBDD2	0.14925
OR11H6	0.41
PPP1R3B	1.3455
C9orf23	-0.35775
CADPS	-1.19375
GOLGA8A	-1.511875
TMEM57	-0.217666666666667
RGL3	-0.4825
S100A14	1.0765
FGFR2	1.47725
XRCC3	-1.1535
RTN4RL2	0.23
MGC3771	0.472
GH2	0.196166666666667
BTBD2	-0.29825
LMO2	1.39475
RDBP	-0.911625
ACRBP	-1.74925
AMY2A	3.02775
DUOXA1	1.5075
PTK7	0.408166666666667
TWF2	-0.204833333333333
FAM80A	-2.00025
TNNI2	-1.91183333333333
GLT25D1	-0.709833333333333
OCC-1	-1.259
CYC1	-1.40483333333333
RPL22	0.339954545454545
MORN3	0.679333333333333
DISP1	1.37875
PRB2	0.987
CHUK	-0.51325
HR	0.205
CCDC134	-1.01475
DENND4B	-0.8205
C14orf130	-0.06175
RAB33A	-1.689
DCST2	0.3265
TNMD	3.972
PEX7	0.53
FAM62A	0.314375
SRD5A2L	-0.6945
IL22	-0.163
RPS26	-1.2604
HOXC5	0.885
SPATA6	0.86
FLJ38482	0.285375
ZNF234	0.9475
C18orf22	0.0235
SPATA22	2.56075
THOC1	-0.97525
CYP7B1	2.81825
KCNC3	0.4675
C8orf42	0.038
ALDH1B1	-0.659666666666667
CCDC100	0.0629
ARMC4	-2.01125
FAM18B2	1.10166666666667
SLC44A1	0.647625
FBXO17	-0.5225
C6orf107	-0.26875
C19orf29	-0.62925
ZC3HAV1L	-0.188
PARP6	-0.2705
SULT2A1	-3.512625
C1orf159	-1.01625
TMC1	0.845
CHST14	0.375625
GAMT	-0.537666666666667
SMCP	0.624
TSPAN33	0.0120833333333333
MIDN	-0.622875
NOX4	1.21075
RNASEN	-0.4707
TBX1	-0.251
SALL2	0.05025
C10orf35	0.81325
CYP2E1	-0.40925
LRFN2	-0.359833333333333
ACO1	0.3315
IQCG	0.5134
MEGF9	1.22825
TM7SF4	0.3195
PLEKHA1	0.731733333333333
STK33	-2.57975
C1orf210	0.97975
SNUPN	0.274
KIAA0406	-0.5999
C20orf29	-0.7415
TMEM55B	-0.18175
OSTM1	-0.6811875
CLCN7	-0.728
OTP	-0.261
FLJ23049	-0.42375
HEATR4	0.6565
MAP3K10	0.332
PCDHGA9	0.153
AMDHD2	-0.0855
LCTL	-1.734
PDCD2L	-1.18925
CABLES2	-1.221
SLC5A9	0.12425
CLCA2	-0.111666666666667
MGC16025	-0.4955
STRAP	-0.926333333333333
C20orf196	-0.5115
RRBP1	-0.167166666666667
NAT13	-1.11275
MAT2B	0.840375
CSNK1D	-1.5135
KIR3DL1	-0.114
PRKAG3	-0.168
ZNF599	0.5305
PRM3	2.046
PER2	1.79133333333333
ASPHD1	-3.8805
PRMT6	-1.098
KCNE1L	-0.371071428571429
FAM118A	-0.693833333333333
TAF4	-1.485
NDUFB6	-0.214
TRIM9	-0.48075
PMFBP1	-1.00075
KY	0.582
DKFZp762E1312	-4.881
CSMD1	-1.379
TBP	-0.498333333333333
OR1Q1	0.503
RETNLB	-0.352
HPGD	0.264571428571429
DNAJC12	0.340833333333333
FKBP1B	-0.67525
ANKRD24	-0.291
CXXC5	-0.3945
IL3	-0.2775
DRAM	1.1622
PTCH1	-0.379125
TP53BP1	-0.48025
SLC17A7	0.61975
COL25A1	-0.7643
AMACR	-0.637333333333333
RHCG	0.048
VPS13A	-0.2285
FAM55D	1.7965
PRPF38B	-0.359583333333333
OSBPL6	-1.12
PFDN5	1.3639
CMTM6	0.676125
KCNK12	-1.0465
RP2	0.4575
C16orf52	-0.744
PICK1	0.173
IFNE1	0.3885
SEMA4B	0.5905
TYRO3	-0.177
OR12D2	0.8805
CSNK1A1	0.6574
FANCF	-0.2225
LONP2	-0.024
TBL1Y	-1.50475
LDOC1L	-0.369625
CCNC	-0.155
C3orf60	-0.62475
CHKA	-1.15275
UBAP1	0.12125
MAP3K1	-0.373
ANKRD9	-1.35225
FAM92A1	-0.412
GAB2	0.485875
AZU1	0.275
DIS3	-0.423666666666667
C21orf109	-1.14775
IQCB1	-0.64975
SPATS2	-1.139
EFCAB3	-0.10375
PRB3	0.355125
FUZ	0.067
ZNF813	0.035
BMPER	0.179333333333333
HEG1	0.540125
ALS2CR11	-0.483
SURF2	-0.23025
PSMC1	0.0513333333333333
OR2D2	0.4265
SLC7A8	1.35433333333333
C4orf40	0.478
SPATA7	0.9265
MAZ	-1.17625
PIN4	0.359
PDE1A	0.364375
TAF6L	-1.17666666666667
OR2T34	-0.3915
KIAA0284	0.19225
ACADS	1.21590909090909
MKRN2	-0.456
C18orf56	-3.6835
MS4A6E	-0.028
GALNT4	-0.4077
C22orf31	1.3335
FLJ36070	1.3415
PSME4	-0.47975
TFG	-0.1015
EPHX2	1.291625
ANXA5	0.538
KRTAP1-1	0.6082
BATF	1.42
KARS	-0.62225
MSTP9	0.966
GPR26	-0.209
CCDC72	-0.20725
TEF	1.17216666666667
FOXK1	-0.2916
PRLHR	1.0075
EMX1	1.09425
C11orf30	-0.289
ICK	0.38725
THSD7B	-0.225333333333333
C21orf100	0.201
DUOX1	1.5305
EFCAB4B	-0.27825
UBE2G2	-1.02016666666667
C3orf54	0.3495
PARP1	-1.84075
FAM60A	-1.54825
C6orf146	-0.3085
OR9K2	0.22
DDX55	-1.22683333333333
RPS15	-0.0604166666666667
ZNF618	0.5344375
DKFZp686D0972	1.62975
SSPO	-0.5005
SHFM3P1	0.82
CPA6	-0.4875
JAG2	2.3375
DEFA3	2.383
PPBPL2	-0.4232
CD34	4.926375
SLCO4A1	-2.582125
AFG3L1	-1.60233333333333
SHD	-1.42725
RP13-122B23.3	-0.8075
PRKCSH	-0.6555
DPH5	-0.0383333333333333
HLA-F	2.620375
TBC1D4	0.24475
RIG	-0.0631666666666666
GLUD1	-0.248
HNRPCL1	1.23
HBXIP	-0.52475
RNF207	0.017
APIP	-0.00974999999999999
PLA2G3	-2.10533333333333
CCDC84	-1.1955
MYLIP	0.915692307692308
PHIP	0.354
AARS2	-0.973333333333333
DHX32	-0.1165
SCAPER	-0.3535
MEN1	-0.0455
NIP7	-0.93925
FLJ25404	-0.0615
FASTKD3	-1.0375
TMEM158	-3.21566666666667
RARA	1.0305
BDH1	-0.422
ANKRD16	-0.50275
CARM1	0.316
SS18	0.406666666666667
IKZF2	-0.488666666666667
MYD88	0.18325
PML	0.45175
TAF1A	-0.971
CBFB	-1.015
HIST1H3H	-2.73566666666667
C7orf29	-1.70525
COMMD4	-0.657666666666667
DPP3	-2.05075
DAB2	1.30525
LOC388882	-0.4265
YPEL4	0.574875
AGBL3	-0.06225
LRP6	0.4203
SERPINH1	0.104416666666667
TLE1	0.25225
CD244	0.844333333333333
ZDHHC15	-0.676
MGLL	2.3628
PLDN	-0.0740833333333333
LOC654346	1.4045
FAP	2.518
GPR37	-0.7845
SCARA5	3.00383333333333
EBF4	1.34027272727273
LSM6	0.30725
MLLT1	0.0984375
SLC5A12	-0.30275
A2BP1	-0.8265
COPS5	0.250666666666667
TPM4	-0.0721428571428571
TNFSF4	-0.401
ACADSB	1.462
HERPUD1	0.52825
BCL2L11	-0.233222222222222
CEP78	-1.774
CDCA3	-2.525125
WBSCR19	0.4541
MYO1A	-2.175
PPEF1	-0.6855
LOC440348	-0.38625
CPEB2	0.479375
BPTF	-0.41725
RPL21	0.548875
GSX2	0.567
ADPRH	0.8385
C17orf68	-0.545666666666667
KCNS1	-0.3465
MLLT6	0.3818
PIWIL4	1.55675
RNF26	-0.93825
RAP1B	0.57925
ADAMTS1	1.8327
ZNF571	0.73925
P2RY6	-1.5565
TRIM21	1.1315
CADM3	0.54525
NLRC5	0.409666666666667
ADRA2B	0.374333333333333
LOC90835	-1.06775
PCF11	-0.351
LOC400451	0.2315
GLTSCR1	0.3432
C17orf88	-0.337333333333333
CDH16	0.55575
FGF7	3.1395
PCSK4	0.0591666666666667
NPC1L1	-1.054
TAT	1.616125
TBCA	-0.758
MGC33407	-0.13325
GPR115	-1.310125
CYGB	0.9205
FNBP4	-0.963666666666667
C12orf43	-0.41375
CBL	-0.5465
CLECL1	0.5315
PPAPDC1A	-0.157
WDR25	0.104333333333333
SGCA	1.8555
C22orf29	-0.587
YIPF1	0.93725
GALK2	-0.79325
RAB3B	-2.11008333333333
LOC440087	-0.26275
UCP1	-0.7835
REEP5	1.849375
FADD	-0.6684
FOXA1	1.169
CACNA1A	1.1595
ABI1	0.191166666666667
GRIN2D	-0.5145
SLC1A4	-1.635
LOC401127	-1.7585
HINT2	0.624
PLD4	0.00466666666666665
ZNF286A	-1.56
ENY2	-0.56075
IL1F6	0.838
PXDNL	0.01325
C20orf79	0.128
TNFSF13B	2.42066666666667
DENND3	0.428875
JARID1D	-3.1325
HIST1H2AK	-1.025
LOC93349	0.000200000000000002
SSH1	-1.3865
ENSA	-0.31525
LOC219854	0.468
CKAP2	-2.3386
DKFZP564J102	1.11616666666667
MGC87315	0.100333333333333
HNRPAB	-0.81325
AMH	-2.1695
ZNF526	-0.126
BRUNOL5	0.3805
CACNG3	0.283166666666667
TRPM1	-2.526
PPP2R1A	0.4185
COL2A1	0.10725
DDN	-0.248166666666667
FLJ25770	1.48325
HK2	-0.567357142857143
ELOVL6	-0.999625
MDK	-0.911
EPHX1	1.65125
RASSF2	0.77575
DKFZP434B0335	-0.73475
DLX3	0.559
PRTN3	-0.8095
AVPR1A	1.40575
C21orf125	-1.6745
TNFAIP8	0.6305
GNB2L1	0.92775
CALCRL	1.92575
SCGB2A2	7.35083333333333
UBXD7	-0.1685
ZNF674	0.21
TMEM35	0.0535
BRSK2	-0.9535
HECTD3	-0.00633333333333333
TMEM188	0.36725
LGALS9	1.46275
SCARB2	0.711666666666667
USP34	-0.219833333333333
C17orf28	0.698833333333333
ZDHHC23	-1.23525
AQP12B	-0.059
SLC16A3	-3.2805
APLP2	0.514
ITIH2	-5.83375
MICAL3	-0.191875
TNNI3K	0.4025
HDAC2	-0.501875
PRR7	-1.9643
THBS2	0.651875
LOC751071	-1.20916666666667
CA2	0.763333333333333
RANBP17	-0.813
RLN3	-0.53925
CRYZ	-0.15
GBAS	0.479333333333333
TAS1R1	-0.02275
MPZL3	-0.0685
PCDH8	-1.16475
HSP90B1	-0.4015
KCNK15	-0.651
TNIP2	0.702833333333333
GPR146	1.8615
NOL6	-0.47275
SPC25	-4.61933333333333
STEAP2	2.52207142857143
VAMP3	0.948666666666667
TCIRG1	-1.06975
ZP4	-0.103666666666667
PARL	0.674125
TRIM39	0.304166666666667
KIAA1305	1.5
CRNN	0.11
GRN	0.00400000000000001
HSH2D	-1.48375
SCAMP1	0.677375
KIAA1913	0.91775
PTS	-0.4615
BANP	-0.307142857142857
PRKACG	0.18675
ADCY6	1.10883333333333
C16orf46	0.376
CYP51A1	-1.084875
DDC	-6.1915
ANPEP	1.07316666666667
PROM1	1.603
SIGLEC10	0.6995
COPG	0.211
FAM26E	1.16925
TRIP4	0.16575
SNX3	0.8245
C1orf175	0.908333333333333
PPY2	0.8285
C14orf152	0.203
FTSJ1	-0.982
DST	1.60805
LOC554235	0.5205
GLRX5	-0.3535
C20orf12	0.4988
CAB39	0.218333333333333
MSH2	-1.24933333333333
PIP4K2C	0.13075
CYLD	0.770375
WTAP	1.1028125
MGAT4A	0.343777777777778
TSC22D4	-0.0974
CHRM2	-1.2705
PPYR1	0.103
CCNH	-0.148666666666667
RRM1	-1.119
ECAT8	-1.9945
LOC400120	0.96275
GABRA4	-0.059125
C14orf4	1.02016666666667
C1orf59	-0.59625
CTDSPL	1.00891666666667
NHEDC2	-0.4015
PDE11A	0.586357142857143
KLHL29	2.078
CD5	-1.0634
TSPAN9	1.4606875
WDR67	-1.52575
THUMPD1	0.6771
C18orf17	-0.30525
CLYBL	0.541833333333333
FLJ13231	-0.552625
CMBL	-0.540375
LECT2	-0.127666666666667
NKAPL	3.65383333333333
LOC654780	0.444
OR4C6	0.873
RAB30	1.015
TSSK4	0.4395
TMEM163	1.1265
OSBPL11	0.501416666666667
GNB5	-0.944
CCL21	1.59575
C1orf121	-0.282833333333333
FMO2	3.76016666666667
RPTN	0.8425
MSTN	0.6655
VCL	0.0617142857142857
FYTTD1	0.01025
C11orf1	0.33025
CCDC88C	-0.050375
HFE	-0.171833333333333
MOGAT1	0.532
FAM125B	1.06316666666667
IRGQ	-0.5435
RAVER2	0.2285
AKAP5	-0.6595
SSSCA1	-0.97275
C11orf63	0.96875
ACTG2	3.1053
PORCN	-1.174
DTL	-3.44845454545455
TMEM151	0.189
FAM122C	-0.77075
RSAD2	2.0136
BAT4	-0.5855
KRTDAP	-0.272666666666667
MYH8	-0.00550000000000004
CRTC3	1.2855
LRRFIP2	0.289
INTS4	-0.68
TTN	-0.4505
SLC26A5	1.2
PLLP	0.38375
RGS6	0.557375
SRGAP3	0.8145
ZNF525	-0.5805
NBR2	-0.102333333333333
C13orf1	-0.0696
ZNF137	-0.087
CEP27	-1.65825
BEST2	-0.3225
RNF121	-0.211
DMRTC2	0.699
C8orf76	-0.425
BCCIP	0.31525
MEST	0.2415
HTRA2	-0.1185
ANGPTL2	2.5455
ILKAP	-0.136333333333333
ERAS	0.304
HBS1L	-0.531375
CPA5	1.258
TMEM30A	0.632833333333333
CD300LF	1.23316666666667
WISP3	2.9015
CRK	0.518571428571429
PDS5A	-0.7482
BRPF3	0.0111666666666667
NEDD9	0.967125
SMPDL3B	0.36
PSG6	-0.541
PSMD13	0.33125
ETV5	-0.80425
OR51A4	-0.042
BTBD7	0.693916666666667
GSTO1	-1.28475
hCG_16001	0.174
MAD2L1BP	-0.522166666666667
COX6A2	0.4785
SCNN1A	1.6095
LSM1	0.371333333333333
UGT2B11	-2.2245
IDUA	-0.44075
PPP2R3C	-0.474833333333333
COX11	-0.8805
PDZK1	1.47925
ZNF443	-0.2105
MGC21874	0.642833333333333
ZNF323	0.937
KRTAP10-10	0.133
CXCL6	0.40975
SLC34A2	1.4422
LOC284402	0.149
NPTN	0.879
UPP1	-1.705
SLC6A9	-0.817
OR7G3	0.06
CISD1	-0.9865
ZNF545	-0.328333333333333
SYT14	-0.979
NT5C3L	-0.0386666666666667
ZNHIT3	-0.164833333333333
SNRPD3	-0.47825
KIAA0701	0.0315
UNC93B1	-0.578333333333333
GMNN	-0.476125
SPCS2	-0.1715
LOC388524	-0.51
NAPRT1	0.00487500000000001
PNLIPRP1	0.34425
OR6V1	0.4285
PRKAB1	-0.48675
EYA4	-2.64783333333333
KIF20A	-4.15275
ALG10	-0.84575
ITPKC	1.20883333333333
LMX1B	-0.182
RPUSD4	-0.0255
C7orf34	0.0938333333333333
DLGAP2	0.206571428571429
PFN1	-0.977
MICALL2	-1.38258333333333
ZNF654	-0.026
SS18L1	-0.61975
SLC16A8	0.895
MKI67IP	-0.214666666666667
ITGB3	-0.87675
TCEA3	1.52541666666667
CEP152	-1.90193333333333
CLIP1	0.621875
ZNF75	0.614
ATP5C1	0.409666666666667
NUDT5	-1.21383333333333
PSCDBP	0.99325
UBP1	-0.07325
RBM27	-0.66325
C13orf15	2.709375
ZNF282	-0.440166666666667
ZNF222	0.492
COL10A1	4.27225
PRDM15	-0.670125
TTTY5	0.3135
FAM9C	-0.34625
C20orf67	-0.47075
GNG13	2.4385
F12	-2.9875
C1orf41	-0.8365
CPXCR1	0.158
GSK3A	-0.21775
SUPT6H	-0.00399999999999999
PI16	3.8335
ELL2	-0.27
C9orf167	-1.5255
PVRL3	-0.6012
FLJ38596	-0.29225
ADAM20	-0.2875
GPR89A	-0.1065
GPR87	2.104
ZNF30	0.17125
SMR3B	-0.14
ZNF770	0.05075
TRPC4AP	-0.203833333333333
DKFZP686E2158	0.269666666666667
C2orf28	0.309666666666667
FREM1	2.02033333333333
LAMA4	1.64533333333333
ADPRHL2	0.022
EIF4G2	0.0676666666666667
GUCA1A	0.5795
CTNNA2	-1.598
NUDT15	-0.355666666666667
CEPT1	0.2055
ZNFX1	0.0189
CCDC92	1.44325
TDRD1	-0.0495
KCNK5	-1.09016666666667
ETNK1	-0.364333333333333
LTA	-0.672
TTPA	-0.143666666666667
B3GALNT2	-0.482875
SC65	-1.19233333333333
PEX5L	-1.286
EPS15L1	-0.82275
MGEA5	0.032875
HIST1H3A	-0.06825
ING1	0.92525
BCAT1	-3.20225
ORC6L	-3.50763636363636
