Hybridization REF	TCGA-BH-A0DO-11A-22R-A12D-07
PPP1R14B	-1.65875
SBF1	-1.15175
TAS2R42	0.4065
USP46	0.654333333333333
LILRB3	1.73083333333333
SPI1	0.6845
OXSM	-0.35675
GYS2	0.598166666666667
NUPL2	-0.677
C8orf46	-1.218625
SF3A1	0.05475
C21orf99	-0.1965
HOXB4	0.417
YRDC	-0.39375
GPRC5D	0.799
BLVRA	-0.405125
KIF12	2.0575
LRRC23	0.37875
FAM14A	1.05416666666667
RASL12	1.705
DAZAP2	1.16275
IKBKB	-0.255785714285714
ZNF271	0.522833333333333
BOK	0.4905
CXorf6	-0.818
MYEOV	1.8095
BTN2A2	-0.4255
FRG1	-0.07675
HSP90AB6P	-0.43875
ENOX1	-0.154333333333333
ZNF706	-0.053
DOK1	-0.3607
PGAP1	0.382625
TMEM136	-0.72725
FSCN1	-1.431
KIF17	0.968
TRIM66	-0.115
CBR3	1.31916666666667
C13orf24	0.3175
C19orf52	-0.805
BNIP1	0.3725
AQP3	0.17725
KRT6C	0.290833333333333
SIRPA	0.915916666666667
IGFBP6	1.2885
PLEKHK1	-2.226
RNASE7	0.8725
ARHGEF15	0.504
NPHS2	0.442
SRD5A1	-1.44525
REXO4	-1.19575
EEF1DP3	0.46875
SLC37A2	-0.821
ZNF142	0.2525
ANKHD1	-0.723
MUT	0.3725
VPS37A	-0.504
GPRIN1	-1.86625
SLC38A3	-0.97075
BAZ2B	1.81375
WDR87	0.271166666666667
BRD7	-0.1325
POU6F2	-1.0455
NISCH	1.036125
TCEB1	-1.15175
LINGO2	-2.46525
TAX1BP3	-1.43075
RPL34	1.299
MARK2	-0.02
AKAP12	-0.4858
AMBN	0.2605
SLC25A27	1.03216666666667
FLJ21865	-0.00412499999999999
KIR2DS2	0.785833333333333
WDR77	-1.5265
ATF2	0.167166666666667
ITFG3	-0.4185
SLC39A13	0.566
ARL6IP5	1.621875
C10orf137	-0.291
QTRT1	-0.524833333333333
CCNT1	-0.055
DYNLL1	-0.4176
WDR53	-0.47275
LIPG	0.4565
ASAH3	0.3105
HELB	-0.64725
PHACTR2	0.744375
VENTX	-0.0205
LAD1	1.1995
PAOX	1.63425
MAPK8	-0.2235
CCDC38	0.696
DNAJC8	-0.274
RBBP8	0.36525
WNT11	0.8266
KCNJ12	-0.291666666666667
HDAC8	-0.685166666666667
STARD4	-3.258
ACVR1	1.12116666666667
C14orf65	-0.148583333333333
KLB	-0.3355
C1orf65	0.21225
ZFYVE28	0.58525
NSUN6	0.331
KIF27	0.519666666666667
SYTL2	-0.969166666666667
UBXD2	0.2413
OR6T1	0.4825
CCDC91	0.638857142857143
GRID2	-0.037
CALN1	-0.76275
ZNF423	1.18675
PSMB4	-0.851833333333333
XPNPEP3	-0.582333333333333
ARPP-21	-3.3147
SART1	-0.2935
RACGAP1P	-3.3865
SPTA1	-4.62075
C6orf113	-0.5845
C7orf16	-2.48475
CHST7	-0.302
C21orf29	-0.036
SEMA6D	1.30925
PCMTD1	1.78175
KIAA1754	-0.427333333333333
MYCN	-1.112
KCNJ3	-0.9705
MAPK13	1.1624
ERO1LB	0.52475
NTF3	1.89066666666667
NKX6-2	-0.97425
GTF2B	0.22875
GSPT1	-1.49183333333333
GUSB	-0.403833333333333
LOC221091	0.905
LIG1	-1.21625
EXTL3	-0.239166666666667
NID2	-2.0525
TTC29	0.275
TMEM97	-1.646375
EXTL2	-0.130666666666667
SUZ12	-0.8165
IL1F8	0.023
KRT18	-1.21072727272727
MRPS16	-1.09266666666667
PI4K2B	0.077
LACRT	3.207
OR51F2	0.5535
JMJD2C	0.210875
KGFLP1	3.17825
CDK5RAP3	-0.692
YTHDF2	0.3295
GGCX	-0.137125
ARPC4	0.02025
EGLN2	-0.0253333333333333
KBTBD4	0.240071428571429
ROBO3	0.564
DEFB118	1.4765
KIAA1543	0.3805
RTCD1	-1.26783333333333
MZF1	0.12725
C18orf26	0.226
CNIH4	-1.04616666666667
ZFP2	3.0865
HTATSF1	0.02925
WFDC2	3.13975
NDUFA7	-0.242
TTC22	0.915333333333333
FAM40B	-3.247125
DCPS	-0.971
SH2D1B	-0.758666666666667
MRGPRE	0.2715
SBK1	0.0375
UNQ6411	0.238
OSBPL9	-0.04975
NUP107	-0.82575
MYOZ3	0.1629
PDE4B	1.41341666666667
FAM113A	-0.1315
IDH3G	0.251833333333333
FBXL7	0.115375
ARFGAP3	0.376
MAPRE2	-0.113307692307692
IL1RN	0.1666
KIF13A	0.11875
RAC3	-1.283
TCTE1	-0.072
TMEM14B	-0.572666666666667
ADIPOR1	-0.275166666666667
GRINA	0.278
CLIP4	2.091
LRIT2	0.369
TFPI	-1.37328571428571
FABP6	-2.24975
SLITRK2	-0.7983
HKR1	0.11575
SMTN	0.201
C1orf75	-1.5195
CD209	0.491125
CYB5R2	1.70625
DNTTIP2	0.0445
CSGlcA-T	-0.203
GABRB3	-1.14025
PCBD1	0.589
TAF3	0.868916666666667
HOXD3	0.713666666666667
GIPC3	-0.2035
P11	1.1385
BFSP1	-0.28
LCP2	0.10025
TAS2R8	0.0105
SEZ6L	-0.821875
NR2C1	-0.787875
EXDL2	0.1816
TNFRSF13B	-1.437
MKI67	-4.21775
GLS	0.0304166666666667
C7orf54	-0.6756
LGALS13	0.4695
IL4R	0.8485
SEC11A	-0.482166666666667
SPP2	-0.193166666666667
C18orf32	0.39725
CLSPN	-2.86416666666667
SPAG1	-0.12325
C9orf82	0.32725
TM4SF1	0.544166666666667
EMILIN2	1.11475
SMG7	-0.485833333333333
TAS2R13	0.383
ZNF628	0.083
DZIP1L	0.352833333333333
ANKRD13A	0.483
VASP	0.199875
ZCCHC11	-0.458875
SYPL1	0.441875
MGC34774	0.13725
C4orf28	0.9625
KIAA1211	-1.77233333333333
RPS27L	0.000999999999999997
TATDN3	-0.4535
PDCD1	-0.30425
OR5P2	1.3195
IFIT1L	-0.0595
MIPOL1	0.0675
OR51D1	-0.29475
C1orf92	-0.451
LAMP2	0.912388888888889
CAT	1.6745
C16orf80	-0.10175
C15orf32	0.514
ZNF746	-0.5575
C1orf76	-0.8335
ATXN1	0.10675
LAMC2	2.804
SLC2A7	-0.4135
CPOX	-1.33975
APH1B	0.86
LOC442245	0.68725
CTNND1	1.2785
GABRG2	-1.45457142857143
MADCAM1	-0.2425
F5	-2.087
SEMA4F	-0.367833333333333
NUDCD3	-0.064125
PDZD11	-0.3415
TRIML1	0.59
GCNT3	-3.32733333333333
TMEM120A	0.5775
CNDP1	0.646
N4BP1	0.140625
SLC35F2	-1.9045
LCP1	-0.828916666666667
IGBP1	0.4705
DCAKD	0.35175
ELA2A	-0.3025
C12orf56	-2.226
PITRM1	-0.314857142857143
GUK1	0.0271666666666667
RASSF8	-0.4595
OR2A14	0.41625
ADM	-0.644777777777778
FGD3	0.463666666666667
GHRHR	-0.127166666666667
RHPN2	1.00075
C4orf39	2.39333333333333
VPS72	-0.3975
SERF2	0.236666666666667
CD22	0.637333333333333
CD47	0.7076
PPIC	-0.0773333333333333
IMPDH1	-1.30216666666667
ACP6	-0.4905
PRKACA	-0.50475
PPP1R1A	3.191375
TRPV3	-0.292
ASXL1	-0.175125
C17orf55	-0.7685
FXYD1	2.78666666666667
LMOD2	-0.0115
ANKRD33	0.058
LCE2C	-0.248125
ZNF620	-0.4955
DKFZP566E164	1.38375
VSIG2	2.7545
KIAA1128	1.55675
USO1	0.245333333333333
NUDT4	-0.0815
CLDN1	0.464
OR4Q3	0.275
FASTK	-0.762166666666667
ICOS	1.1025
LDB1	0.024
GSTA5	0.47625
ABCC1	-2.13616666666667
FAM54A	-4.5765
PCBP2	0.5325
NUP205	-1.4225
ACTA1	-1.19316666666667
GABBR2	-1.658
PIP5K1B	2.01566666666667
AGXT	-2.24383333333333
RNF181	-0.3395
ATP8A2	-0.926
AFTPH	0.9761875
FGF21	0.05675
FCER1G	1.7415
SNTB1	-0.683
SLC24A3	0.9185
TXNL4B	-1.111
RPL10L	0.612333333333333
LOC389517	-0.75105
TSGA13	0.229
SHOX2	0.310333333333333
ITGA7	0.7743
KCNIP2	1.18833333333333
KLF13	0.435
ZFAND2A	-0.35975
CEACAM1	0.807928571428571
PFKFB4	-2.44666666666667
MED19	-0.05125
LRRC57	0.343833333333333
RNF11	0.796
ANKRD32	-2.83675
P117	0.38525
OBFC2A	-0.335
POLD3	-1.04008333333333
RAB18	1.141125
TPH2	-0.1678
PHB	-0.2708
JDP2	1.714
MORF4L1	0.0575
POU2F1	-0.2905
CNNM2	-1.02441666666667
LOXHD1	0.285333333333333
ZC3H15	-0.47725
ELK3	0.0673333333333333
FAM111B	-2.81075
CBLC	2.84916666666667
SBNO1	0.12575
ANKMY2	0.69025
PLEKHA5	0.2945
DHX58	1.0965
ARCN1	-0.0628333333333333
TREML1	0.1821
KNCN	0.233
SEC24A	-1.16625
PSCA	-0.85375
MGC24125	0.349166666666667
DNA2L	-2.8015
CIB4	0.551125
HIGD2A	0.0258333333333333
TBX6	-0.4105
TTLL5	-0.598333333333333
SGK3	0.865666666666667
GCN1L1	-0.513
AMOT	1.3664
LDOC1	0.2445
NRK	-0.172833333333333
ASB9	-2.31125
NAT1	1.9731
TRAFD1	-0.47425
PEAR1	0.792666666666667
FAM36A	-0.14125
OR1S2	0.0761666666666667
LOC388323	-2.34075
PGS1	-0.9035
LEPREL1	-1.11375
TFF1	-3.64175
HAP1	0.208
EPHB2	-1.00125
ACTG1	0.253333333333333
ZFP42	-2.58816666666667
HAVCR2	-0.1588
NME1	-0.958
SNX26	-0.214083333333333
LACTB	-0.3465
ZKSCAN2	-0.46975
C5orf35	0.77
ANKS3	-0.2605
RBM28	-1.86575
DKFZP586P0123	-1.04925
HNRNPA1	0.227333333333333
BCAS3	-1.14208333333333
FLJ20184	0.009
POLA2	-1.98383333333333
TMC7	-1.305
HSD17B6	-1.1525
ZNF658B	1.043
TTTY10	-0.122333333333333
RANBP9	-0.972833333333333
CPNE7	-2.23866666666667
EVL	-0.104352941176471
LNX1	1.24158333333333
IFNA21	0.8454
CFD	4.02075
PYCARD	0.492666666666667
MYBPC2	-1.813
ENPP3	-0.953
ACSL4	-0.9685
LOC440258	-0.4105
TMEM176B	3.45183333333333
SOX2	-4.8665
SCO1	-0.641833333333333
COMT	0.2455
AOC2	-0.211
PDLIM5	1.51921428571429
SPHK2	0.291166666666667
NXPH2	0.117
GPR108	0.743333333333333
RAD51L1	0.290833333333333
TMEM54	0.386
LETMD1	0.477111111111111
SLC6A17	0.17425
KRT75	0.866
STT3B	-0.692666666666667
CD3EAP	-0.647666666666667
TMEM63A	-0.02325
DUSP13	-2.50825
CD1C	-0.601
LASS2	-0.674166666666667
AVP	0.898
PITPNM1	-1.419
FLJ22795	-1.023
MCTP1	-1.8055
TRIM68	1.00966666666667
UCK2	-1.148
ABHD1	0.85825
FAM50A	-1.079
RNASEH1	-1.3265
PCP2	0.613666666666667
OR52H1	0.978
C20orf149	0.0635
RBP5	1.25933333333333
HYAL3	-1.1425
CLPB	-1.6625
SMNDC1	-0.478
DONSON	-3.15633333333333
FLJ27523	0.135333333333333
BARHL2	0.027
SLC30A9	0.445833333333333
TMPRSS11B	-0.31775
E2F8	-3.40766666666667
CCDC25	0.303333333333333
C14orf48	-0.518
C20orf116	0.11375
TSPAN11	0.1255
YIF1B	-1.33866666666667
FAM12B	-0.16475
OR1L6	0.0405
HPN	0.1843
NBN	0.503125
C14orf94	0.0601666666666667
OCLM	-0.9485
ZSCAN18	0.9814
L3MBTL	-1.1019
TSTA3	-0.398666666666667
RAC1	0.28875
C19orf15	0.0638333333333333
NFE2	-4.079
KLK14	0.1135
ARSF	0.4335
MAST2	-0.521833333333333
AMICA1	2.13416666666667
GTF2A1	-0.08525
ATP1A3	0.19025
TC2N	3.1584
PNKP	-0.3395
ODZ2	3.17175
MATR3	0.4275
S100P	-3.98625
KRT82	0.4365
CA13	0.9182
PROZ	-2.117
AASDH	0.541571428571429
C19orf40	-0.571166666666667
DCK	-0.710153846153846
FAM5C	-0.259
SLC6A4	-1.9825
MID1IP1	-0.856125
TESSP5	0.874
TMOD4	-0.702666666666667
DOCK2	-1.24183333333333
TUG1	0.3695
NUP214	-0.931
DPYSL2	0.972727272727273
GOLM1	0.102166666666667
MPFL	-0.04025
SOX13	0.857
SDCCAG8	0.8976
KEL	-2.125
NUP210L	-2.75825
GK	-1.638125
DNAJB1	0.23475
ALPK3	-0.0515
CHID1	0.3909
CYLC2	0.747833333333333
IKZF5	0.496
C8orf51	-0.155833333333333
PPM1J	0.15025
GIMAP8	4.10266666666667
GPR101	0.1145
NR2F1	1.43
ACAD8	0.3855
RBM35A	0.6795
GNAI2	-0.0946666666666667
METTL8	-0.941666666666667
SLC39A7	-1.73125
FBXO8	1.25075
CAMK1	-0.0405
RFC3	-0.917
FAM129A	1.97342857142857
ILF2	-1.04125
FGFBP3	0.406875
NOM1	-1.01883333333333
PSMA3	-1.137
ASCC3	-0.2679
ZYG11A	-2.254
SOX21	-1.4285
LYRM1	0.74375
DEFB1	3.42
LOC91431	-2.65383333333333
OR7C2	0.742
FAM46B	1.91075
TMEM18	0.754
ARHGAP30	0.791333333333333
TMEM86A	1.55141666666667
EPHA2	-0.0588333333333333
C10orf46	0.46545
TCHH	-1.37366666666667
C3orf30	-0.1235
LOC285636	0.0463333333333333
PAIP2	0.246
CYP2U1	0.73825
C12orf34	0.83925
SARS2	-0.31
ZCWPW1	1.50825
SAMD12	1.522875
KIAA1430	0.17275
ACAT1	-0.23675
MEOX1	2.77883333333333
ADAMDEC1	1.8465
PHKA2	-0.246
CARD11	-1.28816666666667
CALML4	-0.402
TSSC1	-1.0395
TMEM45A	-1.14366666666667
MPP7	1.63375
POU1F1	-0.20925
SLC2A13	-1.2687
FBN2	-2.10128571428571
ZC3H7A	0.1341
LAIR2	-1.7815
ST3GAL1	-0.7425
LCT	-1.898
GEMIN8	0.536833333333333
KLF16	0.0634
HIF3A	0.447
FAM44A	0.581928571428571
AQP10	-1.3687
PLA2G2A	-0.3715
FOLH1	3.06883333333333
C20orf186	0.376
MAPKAP1	-0.524375
SPRR2D	-1.181
UBQLN4	-1.3255
RSHL1	0.101333333333333
PIAS3	-0.13025
MRPL24	-0.51675
GREB1	-2.586125
FAM27E3	-1.4245
NUP62CL	-1.2615
NEUROG3	0.2265
REEP3	0.503583333333333
MARK1	0.90725
LMBRD1	1.60475
PRPF19	-1.275
PNMT	-0.923166666666667
CTGLF1	-1.0305
SLC25A16	-0.304
EIF2B3	-0.702
RPA2	-0.5015
PAK6	1.408
CCDC26	-4.455
SEMA3E	3.703125
MXD4	0.7005
TNFSF10	4.3781
SMARCB1	-0.294166666666667
DTX3L	0.272833333333333
PLA2G4E	-0.098
PPAP2A	2.02325
ULK1	-0.675833333333333
TAS1R3	-0.3295
SLC2A3	-3.01818181818182
ARID3A	-2.4245
GNG5	-0.612
ACOX1	-0.3893
KIF5B	-0.0435
NUP153	-0.5105
MUC7	0.6475
CSDE1	0.0365714285714286
CLPTM1	-0.11225
C3orf23	-0.29925
LRRC17	-0.659
TTYH3	-1.676375
ATP5B	-1.0865
ELF3	1.3076
CPSF3L	-0.3105
ZNF665	0.663
TLR6	0.9334
GPI	-1.49575
RAD9A	-0.467875
NDST4	-3.8205
AGPAT3	-0.194083333333333
MAGI3	0.841
ADORA2A	-0.801375
CACNG7	-0.1205
CAMK2D	0.198
CCHCR1	-0.58075
RPS27A	0.8315
OR10G7	0.0595
GCM2	0.103
FAM135B	0.0386
E2F1	-2.0785
PLCB3	-0.67575
OR2AE1	0.9435
COIL	0.340166666666667
CDC25C	-3.52416666666667
RAB11FIP2	0.913
TSC2	0.296
CTGLF5	-1.0875
CCDC108	0.3914
OR13C4	0.134
C10orf81	5.90175
PTPRB	1.56575
ACP2	-0.5975
LAG3	0.18825
MRPL54	0.47225
LOC201175	0.5325
ITGB1BP3	-1.76
SPTAN1	0.297333333333333
SIPA1L2	-0.81125
RCAN2	-1.132
CDX2	-0.816
ECOP	-0.89625
ACTR1A	-0.169571428571429
PPARG	0.809166666666667
BBS10	1.04883333333333
TMEM44	-1.44475
BPIL2	-0.1655
CITED1	2.008
IRF6	3.772
PRDM4	0.1625
RRP9	-0.715666666666667
OR10H4	0.30075
IL31RA	-0.8445
GNB1L	-1.53583333333333
MYBL2	-2.976875
ZNF407	1.2355
PPIG	-0.138666666666667
TTC18	2.9285
RPSA	0.3615
MAPT	1.293875
MRE11A	-0.3785
C8orf37	0.0423333333333333
RASGEF1C	1.10316666666667
STBD1	0.33825
CTAG2	-0.330333333333333
MGAT5B	-2.1375
ECM1	-0.504875
RLN1	0.839
PARP14	-0.101375
EPB41L1	0.6217
HOXA3	1.24941666666667
MAGEA9	-5.12625
RPS8	0.958
RPS19BP1	-0.04325
FOXJ2	0.687875
C10orf76	0.263375
IL17RE	0.20525
C10orf65	-0.36225
ZNF343	-0.246
FBXO33	0.359
UHMK1	0.1622
LY6G6C	-0.05375
FGF19	-2.05875
C14orf128	1.77716666666667
IFIT2	1.576375
TIGD1	-0.114
S100G	1.18
GUCY1B3	2.2235
NR3C1	0.7285
CORO1B	-0.382166666666667
PARP11	0.657416666666667
DNALI1	2.80183333333333
OR4N4	-0.146
MAP2K6	1.22966666666667
FSTL4	-0.05125
ANKRD47	1.64475
TMEM171	-1.341
PNLIP	0.58775
YY1	-0.555833333333333
CCDC138	-1.8715
AASDHPPT	-0.4265
CKS1B	-0.9886
MCM3	-1.69216666666667
ANAPC7	-0.967
FAM110A	0.59825
CDC37L1	1.579
THTPA	0.493
NBPF20	-0.6875
WDR24	-0.29075
NPTX2	-5.18825
CBLB	0.51
CETN1	0.115
RPUSD1	-0.12975
FAF1	-0.52175
CDK6	-1.6727
HMX2	-0.142
CSK	-0.548833333333333
TEAD2	-0.000750000000000001
SNAP25	1.64725
TUFT1	0.0448
TMTC3	0.039
LCK	-1.63175
SGOL1	-2.47716666666667
AKTIP	1.12375
FURIN	-0.189375
SOX12	-1.263
DEFB103A	1.739
RAMP1	-0.6115
KIR3DX1	-0.5785
GAS2L3	-1.2245
PDE8A	-1.0317
EDN3	6.3835
GMIP	0.2365
SF3A2	0.57225
FN3KRP	0.3335
SMAD7	0.483
RHBDD2	0.14375
OR11H6	0.404
PPP1R3B	1.7471
C9orf23	0.04725
CADPS	-2.31625
GOLGA8A	-0.924125
TMEM57	0.0303333333333333
RGL3	-0.3955
S100A14	1.0815
FGFR2	2.1660625
XRCC3	-0.617
RTN4RL2	0.31675
MGC3771	1.0515
GH2	0.102833333333333
BTBD2	0.294
LMO2	1.0095
RDBP	-0.59775
ACRBP	-2.251
AMY2A	3.72925
DUOXA1	1.2795
PTK7	0.2215
TWF2	-0.484166666666667
FAM80A	-1.2825
TNNI2	-0.667833333333333
GLT25D1	-1.53316666666667
OCC-1	-1.614
CYC1	-0.9315
RPL22	0.814272727272727
MORN3	0.811833333333333
DISP1	0.99075
PRB2	-0.0935
CHUK	-0.065
HR	0.56725
CCDC134	-0.68675
DENND4B	-1.26675
C14orf130	-0.21525
RAB33A	-2.3325
DCST2	0.268
TNMD	3.5745
PEX7	1.244
FAM62A	-0.247875
SRD5A2L	-0.52
IL22	-0.254
RPS26	-1.49466666666667
HOXC5	-0.171
SPATA6	1.29075
FLJ38482	0.2175
ZNF234	0.264
C18orf22	0.55725
SPATA22	2.4195
THOC1	-0.7825
CYP7B1	3.545
KCNC3	0.78325
C8orf42	-0.181
ALDH1B1	-0.952
CCDC100	0.7114
ARMC4	-1.43375
FAM18B2	0.25475
SLC44A1	0.820375
FBXO17	-0.217666666666667
C6orf107	-1.07625
C19orf29	-0.5585
ZC3HAV1L	-0.188
PARP6	-0.3089
SULT2A1	-4.936875
C1orf159	-0.866
TMC1	-0.486
CHST14	0.02875
GAMT	-0.154
SMCP	0.33
TSPAN33	0.676583333333333
MIDN	-0.75425
NOX4	-0.55925
RNASEN	-0.6291
TBX1	-0.0531666666666667
SALL2	0.3
C10orf35	1.584
CYP2E1	-0.225875
LRFN2	-0.160166666666667
ACO1	-0.714
IQCG	1.3372
MEGF9	1.504
TM7SF4	1.50575
PLEKHA1	0.906266666666667
STK33	-3.6565
C1orf210	1.3985
SNUPN	0.2165
KIAA0406	-1.3724
C20orf29	-0.12525
TMEM55B	-0.22625
OSTM1	-0.9905
CLCN7	-0.849
OTP	-0.2635
FLJ23049	-0.54375
HEATR4	0.6425
MAP3K10	0.247
PCDHGA9	0.0155
AMDHD2	-0.5515
LCTL	-2.194
PDCD2L	-1.0725
CABLES2	-0.5635
SLC5A9	-0.6545
CLCA2	2.90166666666667
MGC16025	0.962
STRAP	-1.127
C20orf196	-0.1625
RRBP1	-0.0121666666666667
NAT13	-0.59375
MAT2B	1.017875
CSNK1D	-1.5355
KIR3DL1	0.10025
PRKAG3	-0.174
ZNF599	1.0385
PRM3	0.6845
PER2	2.13366666666667
ASPHD1	-1.808
PRMT6	-0.6665
KCNE1L	-0.0216428571428572
FAM118A	-1.3725
TAF4	-0.76875
NDUFB6	-0.698
TRIM9	-0.0171666666666667
PMFBP1	-0.948
KY	2.2505
DKFZp762E1312	-4.54954545454545
CSMD1	-0.23875
TBP	-0.243833333333333
OR1Q1	0.0905
RETNLB	-0.021
HPGD	0.101357142857143
DNAJC12	-0.3755
FKBP1B	-0.653
ANKRD24	-0.199333333333333
CXXC5	-0.197666666666667
IL3	-0.07025
DRAM	0.9952
PTCH1	-0.0555
TP53BP1	-0.733
SLC17A7	-0.07125
COL25A1	-1.27044444444444
AMACR	-0.512833333333333
RHCG	0.79675
VPS13A	-0.0556666666666667
FAM55D	3.532
PRPF38B	-0.443916666666667
OSBPL6	-1.2805
PFDN5	1.22
CMTM6	1.087625
KCNK12	-1.418
RP2	0.62725
C16orf52	-0.72725
PICK1	-0.0855
IFNE1	-0.053
SEMA4B	0.35725
TYRO3	-1.35025
OR12D2	0.8685
CSNK1A1	0.43435
FANCF	0.91675
LONP2	-0.224875
TBL1Y	-0.58625
LDOC1L	0.222
CCNC	0.3315
C3orf60	-0.4335
CHKA	-0.1565
UBAP1	0.37875
MAP3K1	1.7325
ANKRD9	-0.3495
FAM92A1	-0.822833333333333
GAB2	0.474
AZU1	-0.3325
DIS3	0.08425
C21orf109	-1.44325
IQCB1	-0.0995
SPATS2	-1.13366666666667
EFCAB3	-0.72125
PRB3	-0.095125
FUZ	-0.00449999999999999
ZNF813	0.516
BMPER	0.229
HEG1	-0.458625
ALS2CR11	-1.2305
SURF2	-0.04475
PSMC1	-0.395083333333333
OR2D2	0.764
SLC7A8	0.739833333333333
C4orf40	0.3535
SPATA7	0.953
MAZ	-1.09241666666667
PIN4	0.54025
PDE1A	-0.073625
TAF6L	-0.0991666666666667
OR2T34	-0.0475
KIAA0284	0.16525
ACADS	0.812090909090909
MKRN2	-1.031
C18orf56	-3.19825
MS4A6E	0.763166666666667
GALNT4	0.7703
C22orf31	1.0325
FLJ36070	-0.218
PSME4	-0.52975
TFG	-0.4886
EPHX2	2.257125
ANXA5	-0.35775
KRTAP1-1	-0.0323
BATF	1.02425
KARS	-0.87875
MSTP9	1.1865
GPR26	-0.224125
CCDC72	-0.535
TEF	1.53616666666667
FOXK1	-0.316
PRLHR	0.1105
EMX1	0.35825
C11orf30	-0.716
ICK	0.784125
THSD7B	0.432
C21orf100	-1.3675
DUOX1	2.771
EFCAB4B	-0.422
UBE2G2	-1.1925
C3orf54	1.2505
PARP1	-1.951
FAM60A	-0.613666666666667
C6orf146	0.35175
OR9K2	0.4545
DDX55	-1.43633333333333
RPS15	0.970333333333333
ZNF618	0.9300625
DKFZp686D0972	0.998
SSPO	-0.45
SHFM3P1	0.4395
CPA6	-1.0555
JAG2	1.746
DEFA3	0.37125
PPBPL2	0.332333333333333
CD34	4.85975
SLCO4A1	-2.838625
AFG3L1	-1.45033333333333
SHD	-1.43175
RP13-122B23.3	-0.774166666666667
PRKCSH	-0.1655
DPH5	0.0785
HLA-F	1.94475
TBC1D4	1.33375
RIG	-0.0255
GLUD1	0.422666666666667
HNRPCL1	0.00914285714285713
HBXIP	-0.75625
RNF207	-1.6685
APIP	-0.58575
PLA2G3	-0.712666666666667
CCDC84	-0.7745
MYLIP	-0.169846153846154
PHIP	0.26875
AARS2	-0.754833333333333
DHX32	0.71125
SCAPER	0.924833333333333
MEN1	-0.374875
NIP7	-0.9245
FLJ25404	0.4295
FASTKD3	-0.60025
TMEM158	-1.97691666666667
RARA	0.8385
BDH1	0.07
ANKRD16	0.2205
CARM1	0.276
SS18	0.2595
IKZF2	-0.3945
MYD88	-0.644125
PML	0.42505
TAF1A	-0.943
CBFB	-0.743125
HIST1H3H	-2.5565
C7orf29	-0.995
COMMD4	-0.827333333333333
DPP3	-2.146
DAB2	0.565625
LOC388882	-0.073
YPEL4	0.416625
AGBL3	0.21525
LRP6	0.695
SERPINH1	-1.30075
TLE1	0.15775
CD244	0.716166666666667
ZDHHC15	0.94825
MGLL	1.019
PLDN	-0.20675
LOC654346	1.0815
FAP	-0.2405
GPR37	-0.148333333333333
SCARA5	3.56566666666667
EBF4	1.53554545454545
LSM6	-0.1765
MLLT1	-0.4605
SLC5A12	-0.2905
A2BP1	-1.654
COPS5	-0.713666666666667
TPM4	-0.855
TNFSF4	-1.67833333333333
ACADSB	1.12316666666667
HERPUD1	0.60325
BCL2L11	-0.817777777777778
CEP78	-1.80525
CDCA3	-2.689
WBSCR19	0.784
MYO1A	-1.4065
PPEF1	-1.03183333333333
LOC440348	-0.3905
CPEB2	0.44625
BPTF	-0.285333333333333
RPL21	0.9946875
GSX2	-0.9515
ADPRH	1.49483333333333
C17orf68	-0.3165
KCNS1	2.11033333333333
MLLT6	0.2554
PIWIL4	1.98325
RNF26	-0.35725
RAP1B	0.298625
ADAMTS1	-0.0845
ZNF571	0.99875
P2RY6	-1.638
TRIM21	0.988333333333333
CADM3	0.33775
NLRC5	0.2825
ADRA2B	0.473
LOC90835	-0.634625
PCF11	-0.11525
LOC400451	1.1825
GLTSCR1	0.4912
C17orf88	-0.7495
CDH16	-1.58525
FGF7	4.12175
PCSK4	0.307
NPC1L1	-1.36533333333333
TAT	2.903625
TBCA	-1.1275
MGC33407	0.0515
GPR115	-1.552
CYGB	0.6455
FNBP4	-0.492833333333333
C12orf43	-0.29975
CBL	-0.8706
CLECL1	1.905
PPAPDC1A	-2.5085
WDR25	-0.0881666666666667
SGCA	1.7205
C22orf29	-0.213166666666667
YIPF1	0.59675
GALK2	-0.8785
RAB3B	-2.38291666666667
LOC440087	-0.3565
UCP1	2.1175
REEP5	1.658
FADD	-0.6035
FOXA1	1.23975
CACNA1A	0.312333333333333
ABI1	0.535333333333333
GRIN2D	0.49925
SLC1A4	-1.13283333333333
LOC401127	-1.73275
HINT2	0.324
PLD4	0.312333333333333
ZNF286A	-1.16425
ENY2	-1.05325
IL1F6	-0.0105
PXDNL	-0.03075
C20orf79	0.2065
TNFSF13B	2.366
DENND3	-0.013875
JARID1D	-3.36375
HIST1H2AK	-0.827125
LOC93349	-0.1953
SSH1	-1.3201
ENSA	-0.63575
LOC219854	0.4045
CKAP2	-2.1498
DKFZP564J102	0.9025
MGC87315	-0.747666666666667
HNRPAB	-1.26075
AMH	-1.558
ZNF526	0.445
BRUNOL5	0.1352
CACNG3	-0.2046
TRPM1	-2.6775
PPP2R1A	-0.0445
COL2A1	-0.269
DDN	-0.4965
FLJ25770	2.09033333333333
HK2	-0.902785714285714
ELOVL6	-1.9565
MDK	-0.40825
EPHX1	1.11225
RASSF2	-0.011
DKFZP434B0335	-0.37475
DLX3	-0.209
PRTN3	-0.67975
AVPR1A	0.699
C21orf125	-1.86675
TNFAIP8	-0.261666666666667
GNB2L1	0.589
CALCRL	2.2095
SCGB2A2	7.63066666666667
