Hybridization REF	TCGA-BH-A1ET-11B-23R-A137-07
LOC388882	-0.3305
YPEL4	0.411125
AGBL3	0.62975
LRP6	-0.116
SERPINH1	-0.647666666666667
TLE1	0.08975
CD244	1.2745
ZDHHC15	0.47475
MGLL	2.0198
PLDN	-0.654666666666667
LOC654346	1.429
FAP	1.95675
GPR37	-0.385833333333333
SCARA5	3.8855
EBF4	2.15663636363636
LSM6	0.488
MLLT1	-0.1193125
SLC5A12	-0.57775
A2BP1	-1.67383333333333
COPS5	-0.079
TPM4	-0.993928571428571
TNFSF4	-1.5595
ACADSB	1.4495
HERPUD1	0.844
BCL2L11	-0.811
CEP78	-1.91925
CDCA3	-3.097625
WBSCR19	1.0038
MYO1A	-2.143
PPEF1	-1.348
LOC440348	0.027
CPEB2	0.644625
BPTF	-0.266083333333333
RPL21	0.8484375
GSX2	-0.762
ADPRH	1.06366666666667
C17orf68	0.0796666666666667
KCNS1	1.08833333333333
MLLT6	0.5208
PIWIL4	2.05
RNF26	-0.62625
RAP1B	0.940625
ADAMTS1	0.2263
ZNF571	1.44275
P2RY6	-1.10825
TRIM21	1.0715
CADM3	0.989
NLRC5	0.812666666666667
ADRA2B	1.122
LOC90835	-1.041375
PCF11	-0.27275
LOC400451	1.287
GLTSCR1	0.6169
C17orf88	-0.687833333333333
CDH16	-0.79775
FGF7	3.67375
PCSK4	0.445666666666667
NPC1L1	-1.0675
TAT	3.14
TBCA	-0.63725
MGC33407	-0.06225
GPR115	-1.765
CYGB	1.8135
FNBP4	-0.4845
C12orf43	-0.17725
CBL	-0.6779
CLECL1	1.96075
PPAPDC1A	-3.1505
WDR25	-0.0316666666666667
SGCA	2.7885
C22orf29	-0.245666666666667
YIPF1	0.549
GALK2	-0.38325
RAB3B	-3.72033333333333
LOC440087	1.63025
UCP1	1.7515
REEP5	2.113125
FADD	-0.4549
FOXA1	1.813
CACNA1A	1.184
ABI1	0.344833333333333
GRIN2D	0.9465
SLC1A4	-0.7505
LOC401127	-2.2445
HINT2	0.29075
PLD4	-0.1485
ZNF286A	-1.38925
ENY2	-0.2525
IL1F6	0.085
PXDNL	-0.0565
C20orf79	-0.86075
TNFSF13B	2.25266666666667
DENND3	1.36075
JARID1D	-3.57825
HIST1H2AK	-0.240625
LOC93349	-0.7136
SSH1	-1.3061
ENSA	-0.99175
LOC219854	0.398
CKAP2	-2.179
DKFZP564J102	2.02533333333333
MGC87315	-1.36083333333333
HNRPAB	-1.69175
AMH	-2.332
ZNF526	0.474
BRUNOL5	-0.2154
CACNG3	0.175666666666667
TRPM1	-3.4415
PPP2R1A	0.146
COL2A1	-0.921
DDN	-0.4005
FLJ25770	2.719
HK2	-1.514
ELOVL6	-2.30875
MDK	-1.1535
EPHX1	0.98225
RASSF2	0.476
DKFZP434B0335	-0.20575
DLX3	0.12225
PRTN3	-0.80975
AVPR1A	2.0455
C21orf125	-2.16625
TNFAIP8	0.362333333333333
GNB2L1	0.1275
CALCRL	3.04125
SCGB2A2	8.13616666666667
UBXD7	-0.1495
ZNF674	0.2485
TMEM35	0.8835
BRSK2	-1.2545
HECTD3	-0.366166666666667
TMEM188	0.316083333333333
LGALS9	1.392
SCARB2	0.6855
USP34	-0.432
C17orf28	1.23641666666667
ZDHHC23	-0.5545
AQP12B	-0.356
SLC16A3	-3.4535
APLP2	0.412875
ITIH2	-5.407
MICAL3	0.292625
TNNI3K	2.039
HDAC2	-0.062125
PRR7	-1.0502
THBS2	-0.275375
LOC751071	-0.8505
CA2	-0.184166666666667
RANBP17	-0.40375
RLN3	-0.42975
CRYZ	0.24
GBAS	0.409666666666667
TAS1R1	0.068
MPZL3	0.574
PCDH8	-1.8095
HSP90B1	-0.76025
KCNK15	-0.954
TNIP2	0.3825
GPR146	2.94925
NOL6	-0.897375
SPC25	-6.055
STEAP2	2.81664285714286
VAMP3	0.811833333333333
TCIRG1	-0.285
ZP4	-0.717666666666667
PARL	0.3795
TRIM39	0.312
KIAA1305	2.0545
CRNN	-0.541
GRN	-0.409
HSH2D	-2.371
SCAMP1	0.6306875
KIAA1913	0.4735
PTS	-0.4545
BANP	-0.111642857142857
PRKACG	0.255
ADCY6	0.6915
C16orf46	-0.4245
CYP51A1	-0.269625
DDC	-5.471
ANPEP	1.009
PROM1	2.36033333333333
SIGLEC10	1.443
COPG	-0.383
FAM26E	2.0545
TRIP4	0.3915
SNX3	0.618666666666667
C1orf175	1.529
PPY2	0.25675
C14orf152	0.869
FTSJ1	-1.366
DST	1.57205
LOC554235	0.50625
GLRX5	-0.4075
C20orf12	0.7487
CAB39	0.276333333333333
MSH2	-1.13283333333333
PIP4K2C	0.35375
CYLD	0.315875
WTAP	1.3643125
MGAT4A	0.550555555555556
TSC22D4	-0.4314
CHRM2	-1.729
PPYR1	0.206333333333333
CCNH	-0.096
RRM1	-1.414
ECAT8	-1.25275
LOC400120	2.56825
GABRA4	0.662
C14orf4	1.89566666666667
C1orf59	-0.5635
CTDSPL	1.08191666666667
NHEDC2	-0.2755
PDE11A	-0.0872666666666667
KLHL29	2.1295
CD5	-0.9635
TSPAN9	1.495875
WDR67	-1.7575
THUMPD1	0.4817
C18orf17	-0.59075
CLYBL	0.895833333333333
FLJ13231	-0.649625
CMBL	-0.552875
LECT2	-0.9565
NKAPL	4.71516666666667
LOC654780	0.6785
OR4C6	-0.751
RAB30	-0.497
TSSK4	-0.481
TMEM163	1.3695
OSBPL11	0.43375
GNB5	-1.3515
CCL21	4.69125
C1orf121	-0.397333333333333
FMO2	4.53233333333333
RPTN	-1.034
MSTN	1.362
VCL	-0.242285714285714
FYTTD1	-0.0035
C11orf1	0.47325
CCDC88C	-0.275375
HFE	-0.789388888888889
MOGAT1	0.6965
FAM125B	0.755
IRGQ	-0.233
RAVER2	0.93
AKAP5	-1.9035
SSSCA1	-0.76225
C11orf63	0.51525
ACTG2	2.9868
PORCN	-0.924
DTL	-4.48336363636364
TMEM151	0.225
FAM122C	-0.501
RSAD2	1.6011
BAT4	-0.3595
KRTDAP	-0.311833333333333
MYH8	0.102857142857143
CRTC3	0.6635
LRRFIP2	-0.0227
INTS4	-0.797166666666667
TTN	-0.141833333333333
SLC26A5	0.7215
PLLP	0.4125
RGS6	1.338375
SRGAP3	1.21525
ZNF525	-0.0416666666666667
NBR2	-0.379833333333333
C13orf1	0.1295
ZNF137	-0.002
CEP27	-1.67325
BEST2	-0.2145
RNF121	-0.415
DMRTC2	1.032
C8orf76	-0.46025
BCCIP	-0.35425
MEST	0.73175
HTRA2	-0.2575
ANGPTL2	2.47075
ILKAP	-0.322
ERAS	-0.2475
HBS1L	-0.2315
CPA5	1.0255
TMEM30A	0.3605
CD300LF	1.47216666666667
WISP3	4.081
CRK	0.267357142857143
PDS5A	-0.5681
BRPF3	0.335
NEDD9	0.46425
SMPDL3B	0.011
PSG6	-1.43925
PSMD13	-0.34875
ETV5	-0.72525
OR51A4	0.041
BTBD7	0.715083333333333
GSTO1	-1.202625
hCG_16001	1.001
MAD2L1BP	-0.3925
COX6A2	1.0455
SCNN1A	1.35033333333333
LSM1	0.0283333333333333
UGT2B11	0.7075
IDUA	0.8535
PPP2R3C	-0.2005
COX11	-0.413666666666667
PDZK1	1.335
ZNF443	-0.116333333333333
MGC21874	0.835
ZNF323	1.2915
KRTAP10-10	0.268
CXCL6	0.78975
SLC34A2	2.9196
LOC284402	-0.014
NPTN	0.887583333333333
UPP1	-1.67616666666667
SLC6A9	-0.511
OR7G3	0.2765
CISD1	-0.892833333333333
ZNF545	0.204
SYT14	-0.994
NT5C3L	0.039
ZNHIT3	-0.0248333333333333
SNRPD3	-0.443
KIAA0701	0.13725
UNC93B1	-0.723833333333333
GMNN	-1.18025
SPCS2	0.3435
LOC388524	-0.0895
NAPRT1	0.084625
PNLIPRP1	-0.04125
OR6V1	0.711
PRKAB1	-0.645
EYA4	-3.73683333333333
KIF20A	-4.778
ALG10	-0.40425
ITPKC	1.24383333333333
LMX1B	0.4125
RPUSD4	-0.233833333333333
C7orf34	0.1475
DLGAP2	0.671
PFN1	-1.5386
MICALL2	-1.24133333333333
ZNF654	-0.9925
SS18L1	-0.406375
SLC16A8	1.2065
MKI67IP	-0.073
ITGB3	-0.662125
TCEA3	1.51125
CEP152	-2.5593125
CLIP1	-0.21325
ZNF75	0.762875
ATP5C1	-0.730833333333333
NUDT5	-1.36366666666667
PSCDBP	0.24575
UBP1	0.00849999999999999
RBM27	-0.75875
C13orf15	3.818375
ZNF282	-0.2175
ZNF222	0.7037
COL10A1	0.624
PRDM15	-0.671125
TTTY5	-0.086
FAM9C	-0.547
C20orf67	-0.151
GNG13	1.422
F12	-2.236
C1orf41	-1.11925
CPXCR1	-0.492
GSK3A	-0.127625
SUPT6H	-0.108833333333333
PI16	4.399
ELL2	-0.429583333333333
C9orf167	-1.52583333333333
PVRL3	-0.5245
FLJ38596	0.8865
ADAM20	0.99525
GPR89A	-1.079
GPR87	1.028
ZNF30	0.59225
SMR3B	1.3425
ZNF770	-0.493
TRPC4AP	-0.825666666666667
DKFZP686E2158	0.42
C2orf28	-0.0576666666666667
FREM1	1.79316666666667
LAMA4	1.6695
ADPRHL2	-0.15325
EIF4G2	0.2625
GUCA1A	-0.0435
CTNNA2	-1.948
NUDT15	-0.656833333333333
CEPT1	0.220166666666667
ZNFX1	0.4873
CCDC92	1.3285
TDRD1	-1.2875
KCNK5	-1.27516666666667
ETNK1	-0.230166666666667
LTA	0.1155
TTPA	0.299333333333333
B3GALNT2	-1.695375
SC65	-1.637
PEX5L	-2.04814285714286
EPS15L1	-0.7405
MGEA5	0.510375
HIST1H3A	-0.2035
ING1	0.261875
BCAT1	-3.034375
ORC6L	-4.22472727272727
KLK11	-2.73633333333333
C19orf28	-2.011625
DNER	-3.650875
MED22	-0.533857142857143
ETV6	1.09058333333333
CHAC2	-1.76275
CD300E	-0.018
CEBPB	1.05333333333333
ZNF398	0.31675
LRCH3	-0.468
HMGA1	-2.20733333333333
CAPN7	0.302333333333333
MGC5566	-3.012
CCL3	3.808
NANOS1	0.43775
ZFYVE19	-0.2135
APITD1	-1.36466666666667
PARD3	0.45925
IRAK4	-0.654166666666667
SERPINI2	0.8465
CEP170L	-1.4705
TTC9	1.66975
MYOM3	-1.213
MLPH	0.201125
LOC222699	-0.3215
NRG1	0.07025
TBC1D9	3.11172727272727
TTK	-4.959
ZNF557	0.4137
DDX41	-0.6195
FANK1	1.5845
UBE2D2	-0.13
PSMB10	0.495125
MYH7B	1.9065
GABARAPL2	0.932875
MARVELD2	0.397833333333333
DGCR2	0.754666666666667
UNC45A	0.165166666666667
C6orf72	0.6435
ZNF683	4.691
GIT2	0.19975
CASK	-0.1145
C14orf161	2.6055
LRRC44	0.32325
TIFA	0.752875
UTP11L	-0.275625
C6orf65	-1.45225
FDPS	-0.5355
DUSP9	-2.0209
SLC17A8	-0.0145
OR51G1	0.0826666666666667
NANS	-1.0035
OLFML1	2.55325
ATP10B	-1.47475
NPAS3	-0.407
PRKCA	-2.2533
GGA2	0.1095625
LCE4A	0.809
SPANXN3	-0.3395
CCDC115	1.345
SDCCAG3	-1.07475
GLIPR1L1	-0.21475
TTC1	-0.364
C17orf76	1.2715
MAD2L2	-1.72025
HIPK1	-0.1153
LRRC3B	2.99766666666667
CLN3	-0.407954545454545
C17orf47	-0.334
FMN2	-0.249125
TUBB1	-1.287625
WAPAL	-0.381166666666667
C3orf21	-1.21775
SCN5A	0.086
SMYD1	1.8835
BEX5	2.04825
ZNF192	-0.238
SEC22A	-0.181666666666667
GRIA2	1.62178571428571
KIAA0825	-1.4855
NUSAP1	-4.91890909090909
LANCL1	-0.541125
C15orf40	-0.3548
ZNF645	1.081125
GPR61	0.017
NLRP14	0.3205
SNX21	0.5659
C1QTNF8	-0.4265
C17orf46	0.5805
IFNA8	0.285
SPRR1B	-2.30033333333333
FLRT1	-0.90325
SNX17	-0.529166666666667
ASB2	0.437
HBG1	-5.2775
RPRML	1.70775
JOSD2	-0.336
PLSCR3	0.46825
SPOCD1	-2.07733333333333
RAB39	-0.685
GHRH	1.06883333333333
ITIH5L	0.50175
C17orf37	0.06175
SMCR8	0.61575
DPY19L2P3	-0.356833333333333
IL11RA	2.24416666666667
GDF3	-4.02516666666667
RPS6KB1	-1.19966666666667
DNAJC19	0.5327
TOP1	-1.00725
CRCT1	-0.569375
MPST	0.321875
DPM2	-0.527625
FAM38B	-1.54883333333333
SLC18A1	-3.252
FARP1	0.0115
PAX7	-0.02525
TUBD1	-0.6545
GNL3	-0.598125
BTG2	3.22186666666667
NDUFS6	-0.874
C1orf79	-0.652
ERAL1	-0.91775
ECHS1	0.54075
VPS4A	-0.243833333333333
CYP11A1	0.227375
ABCC6	-0.0876428571428571
PBX4	-0.8545
MOSC1	1.420875
NCF4	0.30925
HYMAI	0.3015
NAGPA	-0.40675
OTOP2	0.2715
ACOT12	-0.028
MTHFD2L	0.470875
LOC441376	3.508
C19orf34	-0.4505
RAB1B	-1.23575
ALDOAP2	-1.3605
NTRK1	-1.89366666666667
ARTS-1	0.9065
SLC6A11	-1.887
NAP1L2	2.31925
CNGB1	-0.0533333333333333
EPB41L4B	1.40283333333333
FAM134B	2.121625
HS3ST3A1	-2.35933333333333
CPXM2	6.196
SIRPB2	-0.774
CHORDC1	-0.8175
TRIB3	-1.99416666666667
SLC2A5	0.124
C2orf49	-1.0265
DDX5	0.41475
OR5L1	0.7585
ANAPC4	0.251333333333333
ZSWIM1	0.172125
LOC93622	-0.145375
KCNK3	-0.1447
RP11-35N6.1	0.162125
ZFP161	0.472
AQP9	1.6865
SLC15A2	-0.0115
MREG	-0.0798333333333333
OR9I1	0.2665
PDLIM2	0.725625
ADAM7	0.2525
GSTCD	-1.49733333333333
WDR21A	-0.065375
SLC12A8	-0.198
TMEM174	-0.044
IGSF3	-0.6435
LRRN1	1.08825
LOC402117	-0.353
SRPK1	-1.45983333333333
LY6K	-0.700375
NFIA	2.775
PTCD3	-0.280625
LEP	4.18316666666667
PCDH21	-1.0045
MAPKAPK2	-0.2105
NMNAT1	-0.598166666666667
LHFPL2	0.221
C9orf43	-0.03225
DIP2A	-0.967333333333333
ACTR8	-0.1285
CCDC34	-1.09475
PTPN22	-1.575
ITGA3	-0.81425
FAM129C	-0.03125
RABGGTA	0.268
UNC45B	0.703
KIAA1033	-0.06625
ZNF510	0.1075
CYP2D6	-0.447166666666667
SLC26A10	0.5065
STX8	0.49975
LUZP1	0.258625
WDR89	-0.150666666666667
EIF4G3	-0.8203
C5AR1	0.884125
ZNF623	-0.299
A2M	2.41825
TGM7	1.1025
GRPEL1	-0.870666666666667
LMNB2	-2.427
ROCK2	0.463
SNX16	0.86525
CCDC66	0.61025
ANXA3	2.2175
KIAA1609	-0.171375
EED	-0.4575
RNF32	0.2685
HES1	0.8565
CLC	0.454333333333333
ISL1	-0.298666666666667
KIAA0528	0.249875
MANEA	-0.01125
C1orf61	-1.8835
hCG_2001000	1.00275
RAPGEF6	-0.3946
KIAA0020	-0.175833333333333
NEIL1	1.9005
C16orf45	0.376125
RBM10	-0.510166666666667
C10orf125	-0.96075
MRS2L	-0.92975
DNAH17	-1.057
C19orf10	-1.0555
C1orf160	0.522
SLFN12	1.294
EXOC3	-0.407666666666667
HIST3H3	0.04025
NCOR2	0.0638333333333333
TNFRSF9	-1.6105
MFSD8	0.393
ALX1	-4.293
NOL1	-1.656
PODN	3.5385
TIAL1	-1.02925
HIST1H1E	-1.63025
NPY6R	0.1155
TM4SF4	1.39525
CORO2A	-0.8405
ETNK2	-0.633666666666667
APOE	0.1305
ANGPT4	1.1935
HDGF2	-0.84875
G30	-0.3435
ST8SIA4	-0.75875
F2RL1	-0.181875
FAM19A4	0.16325
CCAR1	-0.6615
B3GNT7	0.12525
OPHN1	0.0335
DSCR6	-2.729
C21orf13	1.19266666666667
GAS2L1	0.535833333333333
RFX3	-0.00516666666666666
COPS4	0.320375
BCHE	-1.94866666666667
BCL2	3.332875
HBZ	-3.27483333333333
ARL13B	0.0435
MAPBPIP	-0.116
MYO15B	1.549625
SPZ1	0.41175
KIAA1324	2.85611111111111
PLCL2	0.53875
C4orf29	-0.97975
WDFY2	-0.532
ZNF284	-0.372
NAALADL1	1.4425
DUSP5	0.663333333333333
PXDN	0.256625
SLMO1	-1.1595
TNXB	1.6916
BIRC7	-1.49125
A4GALT	1.509
TIMM22	0.22225
FAM110C	-0.36875
TOMM34	-1.756
ABHD9	0.3585
ADAM32	2.3755
CRHBP	3.26375
AQP2	0.314625
LOC130355	1.3725
ZNF187	1.05916666666667
ZNF816A	0.476
F7	0.250625
CNOT1	-1.0466
SLC13A4	-0.996
ZBTB11	0.04125
B3GALT5	0.0695
EXOC2	0.2695
IRS1	1.1456
TMEM1	-0.0198333333333333
MRPL34	-0.464
SAMM50	-0.27775
CDC42EP3	1.17375
HSF2	-0.1136
MFN2	0.31975
TSPAN7	1.55516666666667
NUCB1	1.201
RHOH	-0.82225
ARL16	-0.5515
TACR1	-0.189
SFRS5	0.0108333333333333
SNX25	-0.044
RHBDF1	0.296333333333333
PCDH18	3.66366666666667
HMG1L1	-1.05425
MYO5C	1.40375
MAPK10	2.918
LDHAL6A	0.7245
NUDT12	0.786166666666667
NCAM1	0.1685
GLIS2	0.2205
GGTL4	-0.29975
DAPP1	-1.24475
ATF7	0.322
KIAA0748	-1.48375
NFIL3	0.405
TM6SF1	1.2069
SEZ6	0.051125
NANOS3	0.292166666666667
DNAJA3	-1.11233333333333
CLDN6	-2.711
CIITA	3.2129
EPHA4	0.00458333333333337
FANCC	-0.63375
CMTM3	0.019625
PSG3	-0.678375
MRPL15	-0.938
C21orf59	-0.45075
PLCXD2	-0.316
C2orf34	-1.1335
UBE2L6	1.0715
MED14	-0.413
HP1BP3	-0.051
C6orf208	-0.1435
TPBG	-0.44675
OSR2	0.560875
XPC	-0.499666666666667
KLHL7	-0.582166666666667
CCR3	-0.0918333333333334
AGTPBP1	-0.325833333333333
PCSK6	-0.968866666666667
STAT5A	-0.6776
FAM18B	1.168
LONRF2	-0.135833333333333
PTPN2	-0.34975
SF3A3	-0.856
EFCBP2	-0.06925
HCFC1	-1.14183333333333
AHNAK	1.21395
ACTR5	-0.442
KIF14	-6.32557142857143
TENC1	2.8765
HEATR5B	1.078
YIPF2	-0.146333333333333
MYEOV2	0.588
DUSP18	1.0415
KIAA1012	0.18725
AHR	0.423333333333333
C17orf53	-2.12783333333333
PTPRH	-3.17
ATP6V1C1	-0.1404
TAS2R3	-0.932
LOC440356	-2.263
COQ10B	0.69875
PSMF1	0.229833333333333
SORBS2	3.52016666666667
NFE2L2	0.351
TMCO7	-0.4485
SH3PXD2A	-0.4004
SH2D2A	-1.8015
SPINK5	-0.17175
MRPS24	-0.79025
OPA3	0.326
TRAF7	-1.29266666666667
C4orf35	0.3784
MT1G	0.31275
MGC39545	-0.33425
HS1BP3	-0.0538888888888889
OR2B2	-0.3055
CHRM4	0.2985
SFRP2	2.39775
RIC3	2.698
ART1	-0.445
C6orf1	0.007875
DUS4L	-1.0985
C10orf104	0.77475
TNFAIP6	2.441
RTEL1	-1.26825
CCT4	-0.59
ZNF709	-0.102
CHMP6	0.0015
UPP2	0.1275
CYP19A1	-1.925625
CD151	0.027
NDUFA13	-0.376333333333333
ARFRP1	-0.9655
FAM26B	2.542
CRYBA1	-2.0425
MRPL41	-0.391666666666667
NPFFR2	-1.352
HRH2	0.0885
SCAMP3	-0.609166666666667
MTMR6	0.398
MTG1	-1.01583333333333
UBTD1	0.98525
CRABP1	-1.6805
FLJ33790	-0.449
KIAA1908	-0.325
GPR158	-1.76675
PACSIN3	-0.3675
OMD	4.71533333333333
CATSPER1	-1.364
HOXB8	-0.9725
FBXO46	0.301
OAS1	0.341166666666667
SVIL	0.8125
PHB2	-0.836
ADCY3	0.4765
NDRG2	3.51283333333333
ERMAP	0.4536
APBA2	-1.23033333333333
IGSF9	1.231
WNT6	0.8665
MYCBPAP	1.79425
ATP2B2	-0.4004
CPVL	0.516
TRAM2	-0.742833333333333
NOP5/NOP58	-0.911
ZNRF4	0.6565
TLK1	0.12825
MTMR12	0.230214285714286
ZNF384	0.0105
FAM9B	-3.13125
RPN1	-0.1623
PMVK	0.31575
EIF3D	0.6534
SIX2	-1.5095
HPS1	0.376714285714286
RNF7	0.1665
PSKH2	-0.104
KCTD13	-0.749666666666667
CSMD3	-0.6263
FBF1	-0.7545
IL8	-3.352875
SERPINB13	0.465916666666667
FBXL20	-0.9195
BLR1	0.063
SH2B1	-0.0683333333333333
RFNG	-0.186875
RAB20	0.418666666666667
RBM7	0.48025
POLR1A	-0.958
TMPRSS4	-3.559
TAF9	-0.372125
TERF2	-0.152666666666667
TNFRSF1A	0.69425
ACADVL	0.227166666666667
GTF2H5	0.00525
EDG8	-0.0613333333333333
C9orf140	-2.635
UST6	0.00849999999999999
ZBTB8OS	-0.534
ZNF710	0.02
GPR174	-2.0465
ATP6V0A2	-0.7485
KIAA0319L	-0.58125
XKRX	-1.0185
DOPEY2	-0.1515
SDHD	0.5185
SUMF1	0.99075
OSM	2.3795
OPN3	-1.95275
DAGLB	-0.567833333333333
PPFIBP1	0.1747
TRIM63	-1.6425
C10orf53	0.894
LYPD3	0.0245
BCL7A	-0.383875
AGER	-0.7585
TCF19	-1.903375
SAT2	1.00775
PFTK1	0.338
GABRE	0.463
C15orf38	0.6353
FIS1	0.708
KCNV2	1.31325
CLPS	0.32125
PPCDC	-0.78775
FOXN2	0.139833333333333
NT5E	-1.641
CD83	1.077
IL18	-0.174375
VPS16	-0.1355
IGFBP2	-1.45716666666667
NOTCH2	0.606
SIGLEC1	3.407875
CD93	6.02
SULF2	-0.788
CEP164	-0.140625
P53AIP1	2.01316666666667
TOR2A	-0.240666666666667
ZNF136	0.3385
MGP	4.4639
CCDC144A	0.945833333333333
TRPC1	0.880833333333333
SMS	-1.32166666666667
MAPK7	0.491166666666667
RRAGC	1.02525
PARD6A	0.0541666666666667
NUB1	0.546333333333333
SYNGR4	-0.55
OR11H12	0.4095
WIF1	4.316625
GCH1	-0.07275
OR11H4	-0.9505
SLC44A5	-1.328
GPRIN2	1.74816666666667
LOC401431	-0.24525
CPA4	-2.4056
MELK	-4.97411111111111
IL15RA	1.6695
CUL3	1.4525
HMBOX1	0.818
PODXL	-0.8025
CCT6B	1.45283333333333
COMTD1	-1.0705
MUC20	1.65233333333333
GPX2	-2.565625
ITK	-1.2535
FBXL5	1.805
C13orf27	-0.98825
DEFA5	0.079
TRHDE	-2.024
MTP18	-1.57033333333333
UQCRQ	-0.4463
ITGB2	0.756666666666667
CSRP2BP	0.2045
TAS2R44	-0.089
PHPT1	-0.52075
FAM44C	-0.1605
ERH	0.22325
MPHOSPH1	-2.55133333333333
MORC1	-0.9025
PARVB	-0.97325
LAMA1	-1.92008333333333
PGBD3	0.44675
GIMAP6	5.34875
AREG	0.0898333333333333
LIPT1	1.3195
MGC99813	-1.0295
C1orf201	-0.1415
GRIN2A	-1.2433
MAN2C1	-0.169125
NSUN5	-1.29775
SF3B5	0.20775
MYC	-0.79775
NRXN1	1.70033333333333
ZNF18	-0.01175
SPDYA	-0.560571428571429
SLC37A1	0.167
DECR2	-0.6295
ANKRD38	1.342
SPTLC3	-1.62583333333333
SUPT16H	-1.36725
DTWD2	-0.43425
ULBP1	-0.227
ZADH1	-0.0878333333333333
OIP5	-5.217
IL10RB	0.125333333333333
OTUB2	-1.31025
VWA3A	0.5185
SPIC	0.0721666666666667
OR6C4	0.155
PSCD4	1.431
DPY19L2P2	-3.273
TRAPPC6A	0.367
C21orf2	0.53
CEMP1	0.26425
LIN7B	0.83
E2F7	-4.06016666666667
VCP	-0.585625
LAMA3	2.74458333333333
BGN	-0.1785
GPR160	0.959666666666667
COCH	-3.357
GPR81	2.5945
APOBEC3F	-1.03125
tcag7.1017	-0.79875
C1orf32	-0.0505
SCGB1D2	6.736
FLJ43987	-0.3095
C6orf170	-0.20525
KLK9	0.6195
GPD1L	0.509
VPS37B	0.4795
ATG3	-0.0321666666666667
ADAMTS17	0.053
KLHDC2	0.812833333333333
NDUFV2	-0.4665
BLK	-3.13225
MATN4	-0.744
GPM6A	3.066125
GBP4	3.65366666666667
TMEM162	1.21966666666667
PKP2	-0.297
HRASLS	0.179555555555556
MMP1	-6.038
SFXN3	0.3069
FSD1	-2.23
ST6GALNAC3	0.905833333333333
CA12	1.1417
NCOA6	0.45625
C19orf58	-0.5644
PPP4R1	-0.623
MAN1A2	-0.508833333333333
IKBKAP	-1.2575
UPF1	-0.2655
KIAA1219	0.32
WNT16	-0.068
SNW1	-0.049625
IL18RAP	4.892
RPP30	0.270625
CDC40	-0.0924285714285714
SETD3	0.117333333333333
SLAMF6	-0.315
ELK4	-0.8985
TRIM47	0.460833333333333
ACOX3	1.12625
TRIM6	0.6095
KIAA0372	-0.404666666666667
TP53AP1	0.916875
SMURF2	-0.502
ADAD1	0.10925
EBP	-1.5939
KRTAP13-2	-0.826
FLJ36874	-0.59
TOR1A	-0.4665
P2RY4	0.658
GPBP1	0.43875
TRPV1	0.858625
ADAMTS12	1.2418
PES1	-0.9501
ATG4A	0.472833333333333
MAGEA10	-4.73025
WFS1	1.5635
CC2D1B	-0.5295
PABPN1	-0.47075
SLC25A30	0.18525
SLCO1C1	0.849166666666667
SLC22A5	0.77525
KIF23	-4.959
SYN2	1.10583333333333
ASPN	6.95483333333333
CENTG2	-0.70625
QSOX2	-1.7048
FLJ10815	-0.790166666666667
STK24	-0.235625
SPEG	0.5562
STK10	0.476833333333333
DACT2	1.9515
AAAS	-1.33475
SSX3	-1.554375
ABCD3	0.335
C4orf12	1.574625
PARVG	0.023
FIG4	0.538
C9orf46	1.0985
TMCO6	-0.482
IGHMBP2	-0.66475
DUS2L	-1.18316666666667
FAM3C	0.2666875
TMEM16D	-1.75725
DCTN4	0.40125
KCNH3	0.76325
EIF2AK2	-0.62725
AP1S3	-1.532125
CST4	-0.01
PAM	0.9043125
NUTF2	-0.9785
CITED2	1.5095
SLC39A4	-1.41075
C2orf52	-2.0295
GRM3	-0.42125
C12orf49	0.12
CCDC49	-0.2159
GRAMD1B	-1.795375
FNDC4	1.50425
SIAH2	-0.90075
GDPD4	0.431
C21orf87	0.29125
ATP5A1	-0.120833333333333
C16orf63	-0.597875
LOC388135	-0.2
ATP5J2	-0.999
MMP3	-3.332
EMID2	-0.55675
CRHR1	0.23175
WDR70	-0.55325
C13orf31	1.1915
ZFAND1	0.7495
CCL18	5.34033333333333
C3orf49	-1.529
RINT1	-0.5545
KIAA0408	0.0411666666666667
F13A1	6.0976
SLC10A1	-0.0218333333333333
OGN	5.646
GIPC2	1.86516666666667
XPO6	-0.996
LCE1A	0.0955
FMR1	-0.0854999999999999
LOC374920	0.982
DUSP3	-0.05675
ANKMY1	-0.0715
C7orf50	-0.61775
BBS9	-0.1441
UNC119B	0.471875
C9orf72	0.85725
MGC35440	-0.61
ENTPD6	-0.2785
PPP1R2P9	1.32275
ERCC4	-1.02025
FAHD2B	-0.032
HMHA1	-0.322
HACL1	-0.07225
RAD23A	-1.20166666666667
FAM83B	-1.54725
PPP5C	-1.24833333333333
RNASEH2C	-0.70325
C9orf153	-1.591
SCAMP4	0.14325
GHITM	0.6282
NDUFB7	-0.012625
ADCYAP1	0.198
SP110	1.26616666666667
MAP3K7IP2	1.0785
DHH	0.1555
AGRN	-0.145
WDR33	0.098
CEP290	-1.31516666666667
PRPS1L1	-2.2115
KLRA1	-0.3605
GPR97	0.151
CHD7	-0.8625
TLR10	1.251
SLC30A8	-2.394
HIC1	2.31266666666667
IAPP	-0.9835
RXFP4	0.1785
GP1BB	0.91525
SHQ1	-0.3295
NKX2-3	0.598166666666667
API5	-0.851
FTHP1	0.543
MOV10L1	0.715666666666667
