Hybridization REF	TCGA-AR-A1AW-01A-21R-A12P-07
MAPK10	1.7195
LDHAL6A	-0.6255
NUDT12	2.03783333333333
NCAM1	-0.092125
GLIS2	0.7255
GGTL4	0.089
DAPP1	0.089
ATF7	1.191375
KIAA0748	-1.92325
NFIL3	-2.1775
TM6SF1	0.6441
SEZ6	0.23375
NANOS3	0.230166666666667
DNAJA3	0.324
CLDN6	-1.57
CIITA	2.1577
EPHA4	-1.923
FANCC	0.2475
CMTM3	0.4925
PSG3	-0.508625
MRPL15	-0.998
C21orf59	0.28325
PLCXD2	-0.29725
C2orf34	0.26425
UBE2L6	1.247625
MED14	0.287166666666667
HP1BP3	0.0259
C6orf208	-0.2395
TPBG	0.99225
OSR2	0.57525
XPC	-0.0193333333333333
KLHL7	-0.703083333333333
CCR3	-0.8454
AGTPBP1	-1.09166666666667
PCSK6	2.09733333333333
STAT5A	-1.1376
FAM18B	0.73075
LONRF2	-0.445166666666667
PTPN2	-1.51275
SF3A3	-0.961833333333333
EFCBP2	-0.12675
HCFC1	-0.259166666666667
AHNAK	0.0469
ACTR5	-0.34825
KIF14	-3.236
TENC1	1.91475
HEATR5B	0.9775
YIPF2	0.999
MYEOV2	0.863
DUSP18	0.81425
KIAA1012	0.09125
AHR	-1.52083333333333
C17orf53	-0.753833333333333
PTPRH	-3.0775
ATP6V1C1	0.2011
TAS2R3	0.1525
LOC440356	-0.325
COQ10B	0.60875
PSMF1	0.371083333333333
SORBS2	3.11858333333333
NFE2L2	-0.23175
TMCO7	-0.1115
SH3PXD2A	-0.2051
SH2D2A	-1.769
SPINK5	-3.1455
MRPS24	-0.46275
OPA3	0.6575
TRAF7	0.804666666666667
C4orf35	0.481666666666667
MT1G	0.139
MGC39545	-0.24775
HS1BP3	0.5619
OR2B2	0.335
CHRM4	0.36
SFRP2	3.48
RIC3	-1.6275
ART1	0.223
C6orf1	0.558625
DUS4L	-0.5025
C10orf104	0.1675
TNFAIP6	2.781
RTEL1	-0.31675
CCT4	-0.5314
ZNF709	0.24925
CHMP6	0.36
UPP2	0.66775
CYP19A1	-2.87985714285714
CD151	0.193833333333333
NDUFA13	0.682166666666667
ARFRP1	-0.559166666666667
FAM26B	1.7955
CRYBA1	-2.0265
MRPL41	0.147833333333333
NPFFR2	-0.782
HRH2	0.2815
SCAMP3	1.3145
MTMR6	1.0211
MTG1	-0.336
UBTD1	1.58475
CRABP1	-2.4395
FLJ33790	1.8056
KIAA1908	0.0303333333333333
GPR158	-3.748
PACSIN3	-0.0931666666666667
OMD	3.416
CATSPER1	-0.00383333333333336
HOXB8	0.979
FBXO46	0.6945
OAS1	1.924
SVIL	0.20325
PHB2	-0.9715
ADCY3	-0.528
NDRG2	0.457333333333333
ERMAP	0.6558
APBA2	-1.01233333333333
IGSF9	2.049
WNT6	-0.604428571428571
MYCBPAP	1.21275
ATP2B2	-0.3305
CPVL	-0.746
TRAM2	-0.6615
NOP5/NOP58	-1.01975
ZNRF4	0.33575
TLK1	-0.37775
MTMR12	0.374714285714286
ZNF384	-0.131333333333333
FAM9B	-3.1375
RPN1	-0.339
PMVK	1.53625
EIF3D	-0.2341
SIX2	1.20575
HPS1	0.869571428571429
RNF7	-0.47575
PSKH2	0.084
KCTD13	0.7765
CSMD3	-0.349
FBF1	-0.2
IL8	-4.417375
SERPINB13	-0.165
FBXL20	0.08675
BLR1	0.618
SH2B1	0.338166666666667
RFNG	0.604625
RAB20	0.551666666666667
RBM7	-0.71225
POLR1A	-0.206666666666667
TMPRSS4	-2.69
TAF9	-0.56375
TERF2	0.928833333333333
TNFRSF1A	0.13575
ACADVL	-0.111166666666667
GTF2H5	0.86175
EDG8	-0.881333333333333
C9orf140	-1.335
UST6	-0.16925
ZBTB8OS	-0.4985
ZNF710	0.697
GPR174	-2.9335
ATP6V0A2	0.06975
KIAA0319L	-0.10075
XKRX	0.0245
DOPEY2	1.6819
SDHD	-0.50425
SUMF1	1.5535
OSM	3.50375
OPN3	-0.4475
DAGLB	0.308833333333333
PPFIBP1	-0.4688
TRIM63	-3.55225
C10orf53	-0.382
LYPD3	1.6915
BCL7A	-0.099
AGER	-0.806666666666667
TCF19	-0.87025
SAT2	0.26225
PFTK1	-0.616166666666667
GABRE	-3.105
C15orf38	-0.2245
FIS1	0.7175
KCNV2	0.0425
CLPS	0.197
PPCDC	-0.61575
FOXN2	-1.52533333333333
NT5E	-3.0742
CD83	0.17
IL18	0.054875
VPS16	0.94125
IGFBP2	-0.267166666666667
NOTCH2	1.32525
SIGLEC1	2.3255
CD93	5.081
SULF2	0.59825
CEP164	-0.423125
P53AIP1	0.180833333333333
TOR2A	0.137166666666667
ZNF136	0.29425
MGP	2.3581
CCDC144A	0.0466666666666667
TRPC1	-1.28216666666667
SMS	-1.984
MAPK7	-0.0351666666666667
RRAGC	0.315
PARD6A	1.22466666666667
NUB1	0.951833333333333
SYNGR4	0.77175
OR11H12	0.3245
WIF1	1.156875
GCH1	0.719
OR11H4	0.2735
SLC44A5	-0.0355
GPRIN2	-0.796166666666667
LOC401431	-1.9025
CPA4	-2.6416
MELK	-2.26255555555556
IL15RA	-0.65725
CUL3	0.647
HMBOX1	0.43725
PODXL	-0.869
CCT6B	1.299
COMTD1	-0.55225
MUC20	-1.15933333333333
GPX2	-3.597125
ITK	-2.298
FBXL5	1.66
C13orf27	-1.404
DEFA5	0.4625
TRHDE	-0.634
MTP18	-0.777333333333333
UQCRQ	0.9563
ITGB2	1.78025
CSRP2BP	0.303
TAS2R44	0.275
PHPT1	0.092
FAM44C	0.4565
ERH	-0.34975
MPHOSPH1	-1.43266666666667
MORC1	-0.5405
PARVB	-0.8965
LAMA1	-2.22091666666667
PGBD3	-0.0145
GIMAP6	3.60025
AREG	1.576
LIPT1	-0.5295
MGC99813	-0.7015
C1orf201	0.0915
GRIN2A	-0.362111111111111
MAN2C1	-0.326
NSUN5	-0.0125
SF3B5	0.17525
MYC	-1.5449375
NRXN1	-1.27858333333333
ZNF18	0.491
SPDYA	-0.772875
SLC37A1	1.601
DECR2	-0.21125
ANKRD38	0.598
SPTLC3	-1.30158333333333
SUPT16H	-0.913125
DTWD2	1.15725
ULBP1	-1.0645
ZADH1	0.79
OIP5	-2.65175
IL10RB	0.379
OTUB2	-0.095625
VWA3A	0.784
SPIC	0.261333333333333
OR6C4	0.356
PSCD4	0.7935
DPY19L2P2	-1.4005
TRAPPC6A	1.249
C21orf2	0.2325
CEMP1	0.527
LIN7B	0.3065
E2F7	-1.99983333333333
VCP	0.0498125
LAMA3	0.2195
BGN	1.9855
GPR160	1.4195
COCH	-5.06983333333333
GPR81	1.13183333333333
APOBEC3F	-1.77375
tcag7.1017	-0.392
C1orf32	0.461
SCGB1D2	5.32325
FLJ43987	-0.4215
C6orf170	0.9435
KLK9	0.4145
GPD1L	-0.534
VPS37B	0.56575
ATG3	-0.371833333333333
ADAMTS17	0.3595
KLHDC2	0.284666666666667
NDUFV2	-0.11325
BLK	-2.9315
MATN4	-1.525
GPM6A	6.244125
GBP4	0.606
TMEM162	0.413666666666667
PKP2	-0.5065
HRASLS	0.219
MMP1	-0.98375
SFXN3	0.104
FSD1	-1.46933333333333
ST6GALNAC3	-2.27316666666667
CA12	2.8434
NCOA6	0.38025
C19orf58	0.3229
PPP4R1	-0.194333333333333
MAN1A2	-0.1995
IKBKAP	-1.26575
UPF1	0.295666666666667
KIAA1219	0.76475
WNT16	-0.16875
SNW1	-0.14875
IL18RAP	0.8185
RPP30	-0.225375
CDC40	0.263857142857143
SETD3	-0.0925
SLAMF6	-0.07675
ELK4	-0.9445
TRIM47	0.4405
ACOX3	1.986
TRIM6	0.385125
KIAA0372	0.231333333333333
TP53AP1	2.018
SMURF2	-0.50025
ADAD1	0.05425
EBP	-1.147
KRTAP13-2	-0.267
FLJ36874	0.773
TOR1A	0.0728333333333333
P2RY4	0.9145
GPBP1	0.1675
TRPV1	0.574
ADAMTS12	0.920666666666667
PES1	-0.3107
ATG4A	1.0225
MAGEA10	-4.748
WFS1	1.48175
CC2D1B	-0.105333333333333
PABPN1	-0.55925
SLC25A30	0.2215
SLCO1C1	-0.167833333333333
SLC22A5	1.71425
KIF23	-2.1685
SYN2	-0.550666666666667
ASPN	7.1415
CENTG2	-0.43875
QSOX2	-2.0908
FLJ10815	0.634333333333333
STK24	0.0569375
SPEG	-0.0953
STK10	0.432333333333333
DACT2	-4.239
AAAS	0.408
SSX3	-1.072375
ABCD3	0.9299
C4orf12	-0.397375
PARVG	0.919333333333333
FIG4	1.67325
C9orf46	1.087
TMCO6	0.071
IGHMBP2	1.06825
DUS2L	-0.1345
FAM3C	0.06575
TMEM16D	-2.59425
DCTN4	1.216
KCNH3	-0.21975
EIF2AK2	-1.17625
AP1S3	-0.411
CST4	3.0035
PAM	0.3929375
NUTF2	0.01375
CITED2	2.5969
SLC39A4	-0.88875
C2orf52	-1.415
GRM3	-0.971
C12orf49	1.169125
CCDC49	-0.046
GRAMD1B	-1.340375
FNDC4	0.12475
SIAH2	1.788125
GDPD4	0.03875
C21orf87	0.099125
ATP5A1	-0.619833333333333
C16orf63	0.09175
LOC388135	-0.297833333333333
ATP5J2	-0.133
MMP3	-2.14725
EMID2	-0.12225
CRHR1	0.364
WDR70	-0.1185
C13orf31	1.4175
ZFAND1	-0.84025
CCL18	3.93416666666667
C3orf49	0.015
RINT1	-0.3535
KIAA0408	-2.31633333333333
F13A1	4.6586
SLC10A1	0.100833333333333
OGN	1.84875
GIPC2	-2.50683333333333
XPO6	0.047
LCE1A	0.4715
FMR1	0.262
LOC374920	0.00275
DUSP3	0.376375
ANKMY1	0.943
C7orf50	-0.0095
BBS9	-0.3498
UNC119B	-0.566375
C9orf72	0.012625
MGC35440	-0.27325
ENTPD6	0.738875
PPP1R2P9	-0.12025
ERCC4	0.38075
FAHD2B	-0.9755
HMHA1	-0.9345
HACL1	-0.884
RAD23A	-0.0915
FAM83B	-2.2435
PPP5C	0.451666666666667
RNASEH2C	-1.180875
C9orf153	-1.213
SCAMP4	1.1395
GHITM	0.752
NDUFB7	0.368625
ADCYAP1	0.533166666666667
SP110	1.19283333333333
MAP3K7IP2	0.53575
DHH	0.41
AGRN	0.3435
WDR33	-0.245333333333333
CEP290	-0.667
PRPS1L1	-0.9025
KLRA1	-0.659
GPR97	0.1845
CHD7	-1.12408333333333
TLR10	0.4845
SLC30A8	4.826
HIC1	1.46
IAPP	-0.211
RXFP4	0.38625
GP1BB	1.7485
SHQ1	0.426
NKX2-3	0.288333333333333
API5	-0.0325
FTHP1	-0.494
MOV10L1	0.524333333333333
TRIM6-TRIM34	1.41333333333333
ADHFE1	0.1215
FAM117A	-0.37325
DDI1	0.624166666666667
CDON	0.795
TRIM73	-1.307
IGKC	-0.103
MMP14	0.210166666666667
DYNC1LI1	-0.077125
C11orf66	1.5565
TRBV3-1	-1.52375
FASTKD5	-0.2005
BIVM	-0.41425
LHX4	-0.7115
CXCL2	-2.2961
RAB2B	-0.471
IZUMO1	-0.20075
MAP3K15	-1.773875
FAM19A2	0.767833333333333
ZC3H8	-0.676
ZMAT1	1.285375
SPINK5L3	-2.5045
SLC10A6	0.251
APPL2	0.73
CARD10	0.186166666666667
LOC402176	-0.360625
EEF1D	-0.2518
RAB6A	0.2776
C12orf5	-0.27825
PAPOLG	0.531
MSRB2	1.65725
BCR	0.647777777777778
PUS3	-0.7535
TIAM2	-0.38425
ZNF317	0.159666666666667
CHD2	-0.390142857142857
FZD5	-1.24122727272727
NUDT8	-1.21525
ZNF763	0.274
PRC1	-1.76111111111111
ABCB9	1.067
SPATA3	0.30175
TRAK2	0.13475
STAB1	2.515375
LRRTM2	-0.311166666666667
psiTPTE22	1.59575
DBI	1.358
SERPINA11	1.318
NAT5	0.7715
C20orf58	-1.683
RPS6KA4	-0.426666666666667
FLJ90650	-1.0835
TGFBRAP1	0.15125
CHRDL2	-0.919375
FAHD2A	-1.25
CNTN1	0.43375
BBS4	0.4156
TMEM181	2.04225
MINPP1	0.26025
MPHOSPH6	-0.960916666666667
HOXC10	1.9194
ITPKB	0.512875
CLPTM1L	0.52925
MEOX2	-0.675
ATP6V0C	1.24125
PRPF8	0.0805
TMC5	2.86625
FKBP3	-0.2775
PLEKHB2	0.1635
OR4D6	0.0925
ZNF544	-0.5672
D2HGDH	-0.275
RPL18A	-0.3997
HEL308	-0.295625
MPP6	-3.9985
TCERG1	-1.10875
KRT16	-1.844
KLF17	-0.34225
KLF5	-2.63925
CDR1	1.703875
VCX3A	-3.759
FBLN2	1.34875
C14orf104	-0.44825
HBE1	-4.8014
OR4S2	0.2775
C1orf108	-0.393833333333333
ROBO4	3.17433333333333
CPEB4	0.922125
C11orf80	-1.91083333333333
BCKDHA	1.201
MYOC	0.2655
GIF	-0.0115
CKMT1A	1.724
RPL3	0.0012
THBS1	2.71125
APOO	-0.79975
ARMCX1	1.9835
HSZFP36	0.86375
SNAPC5	-0.3555
EIF4ENIF1	0.4055
ZNF433	0.463
TNFRSF21	-1.821
TMPRSS7	-0.844
SPATA18	1.2414
HPDL	-3.1495
MKL2	2.06
TBX3	0.159384615384615
C21orf93	0.203333333333333
DAXX	0.8735
ELMO1	-0.1235
RGS13	1.03833333333333
TAF11	-0.56975
UNC13A	-2.156625
LOC653314	0.2061
ORC3L	-0.32925
IMAA	-2.902
TARBP2	0.393
CABIN1	-1.0775
TRIOBP	-0.2764375
HIST1H2AC	1.09225
RGS22	3.1085
NCOA1	0.798666666666667
IL25	0.462
SNCG	-0.6755
GPR6	0.6165
AMDHD1	-2.1715
CHEK2	-1.309125
C6orf142	0.5205
DRD4	0.9695
C14orf68	-0.9125
GDF11	-1.5455
SEMG2	0.266
CD247	-3.138
CDAN1	0.15375
RBMX2	0.0115
TGS1	-0.47025
OIT3	0.9395
SYF2	0.2185
MCM4	-2.140375
PKHD1L1	0.728875
CEP192	-1.14116666666667
IFT88	1.2305
RPL9	-0.271428571428571
RAB32	0.274125
DDX43	-2.37175
P2RX2	0.0286666666666667
OR5D18	0.6365
UBE1	0.636333333333334
SLC24A1	0.787625
ARHGAP5	-0.892
CETP	-0.34325
KIAA1731	-1.2975
SLC9A4	0.244
PTPN6	1.40075
BAHD1	0.4445
GRIK3	0.491
CACNB2	0.8957
PDE10A	-1.09625
DGCR14	-0.14825
PCDHB9	0.697
RHOQ	-0.770166666666667
MAP3K4	-0.22725
KTI12	-0.221666666666667
RPL23AP13	-2.995
GNG11	-0.6765
CLCN3	0.5125
GPAM	-0.97625
VSTM2A	-0.3105
SLAMF7	0.865166666666667
INTS2	-1.197
PPP2CA	0.7539
LRP12	-1.07173333333333
SEC14L2	3.50833333333333
DKFZP586H2123	1.46
MC3R	-0.0205
CIRH1A	-0.8385
HIST1H2AB	-0.270666666666667
POLH	-0.7255
MGC16703	-0.324833333333333
SNAPC2	0.444
FILIP1L	1.221
RASGRP4	0.495
LRRC1	2.1505
GAS1	0.6895
PRAC	-0.7745
DGKA	0.433833333333333
NT5C3	-0.916
PEG3	-4.36033333333333
NADK	-0.05475
PRR17	0.21525
LOC374569	-0.42825
SGSH	0.483
NLRP8	1.372
GALT	-0.5991
MCF2	-1.3455
ZNF263	1.288
TACSTD1	1.42933333333333
TYR	-6.1412
ATP6AP2	0.50425
RNUXA	-0.037
ABHD10	-0.1571
GDPD2	-1.139
SLC35C1	0.09225
UBE2A	0.56375
HERC5	-2.689
FAM112B	-4.43683333333333
FBXL16	-1.535
DKFZP434A0131	-0.90925
ELA3A	-1.7345
RBM41	-1.0775
HAO2	-0.3225
RNH1	0.501625
SHANK2	1.59033333333333
OSBP2	-2.023375
DAK	1.48283333333333
C3orf58	-0.114833333333333
TCL1B	-2.1115
KBTBD2	-0.083625
SUGT1L1	0.73875
UBE2E2	-0.659666666666667
MYL9	2.431625
CDC23	0.1725
PBXIP1	2.2299
CXorf40B	0.893
NBL1	1.37675
RTBDN	0.6335
RAB11FIP5	0.457
TTTY13	-0.2275
SCOTIN	0.227583333333333
SOHLH1	-0.8795
CDKN1A	0.333357142857143
NCK1	-0.00650000000000001
ZNF550	0.4695
SAPS3	1.53325
SPIN3	0.200333333333333
MAGEE2	0.16525
MIS12	-0.949166666666667
OR8H2	0.555
KIAA0774	-2.17533333333333
UNC5D	-1.5915
CUL7	0.534833333333333
LIPC	-3.65283333333333
DIO1	0.30725
C20orf11	-0.5232
CTRL	-0.53125
HS3ST2	2.3735
PAK4	0.8625
CCRL1	3.1455
RNF10	0.833625
ZNF567	0.29525
ZNF660	-2.446
TCEAL3	1.465
MAGOH	-0.6885
CENPB	0.261
C19orf7	0.826125
LOC388965	0.206
ZCCHC13	0.147
JMJD1A	-0.7989
HIST1H4H	-0.1335
TBRG1	-0.0301
GPC3	-4.558875
TAF1C	-0.286125
EBNA1BP2	-0.541166666666667
CIAPIN1	0.0525
PDGFRA	-1.01116666666667
CSTB	0.342625
CENPI	-2.2045
GTF2E2	-0.725
RPP21	0.133
CCNF	-1.08833333333333
KCNQ3	0.729
FAM79A	1.04075
SLC22A12	0.4045
NOVA1	-1.55483333333333
FZD3	1.2811
AKAP8	-0.71825
SOCS5	-0.394375
CFDP1	-0.209
DLG5	2.0595
PGM5	0.0481666666666667
C1orf144	-0.0981666666666667
HDAC10	-0.775
RND2	0.094
C20orf199	-1.0195
RNMT	-0.900375
SLURP1	0.121125
ASTN1	-0.305
SH3BGR	2.38725
MYCL1	-0.26075
ZHX1	-0.0828333333333333
CENPK	-2.14825
FOSB	2.4785
LOC643406	0.597375
C2orf59	-0.853125
TMEM135	-0.1205
SLC27A2	-1.23875
KRT33A	1.7575
OVOL1	0.592125
PAMCI	-3.10966666666667
S100A7	-1.675
ZNF789	-1.647
HARS2	1.1175
RPL23A	-0.038
TCF23	0.2475
UPF3B	-1.593
C17orf78	-0.767
HLA-DOB	-0.0121666666666667
C14orf142	0.0118333333333333
TEKT5	0.873166666666667
DMWD	0.323
POLD1	-1.5105
GSCL	0.5335
CALD1	-0.2219
SCRT1	0.888666666666667
AIG1	1.01175
UNC84B	-0.15625
ZNF404	-0.37475
TMED6	-2.90875
KIAA1462	0.738
LRRC27	1.781
PYGO1	0.1825
PIGU	-0.3125
ALAS2	-3.975
WRNIP1	0.48075
CNNM3	0.4455
ZNF2	-0.162
ST3GAL5	0.217666666666667
MRPL23	-0.08275
TSSK6	0.084
PSMA6	-0.51775
C16orf70	0.777
KIAA1602	0.045
ALMS1	-0.354
DCN	2.78675
TMEM132D	-0.8005
SUCLG2	0.59025
ABHD14A	0.3575
DEXI	0.197833333333333
AMPD2	-0.611166666666667
IFNAR2	-0.560666666666667
CYB5A	2.4782
TLOC1	0.62875
NXF5	-0.3965
NRBF2	-0.25425
KCTD3	2.239
ITGAE	-0.5915
SLC30A3	-2.13616666666667
ZRF1	-0.6735
IFRD2	-0.492625
XAB1	-0.3495
PYCR2	0.394333333333333
SERPINB3	-3.2935
TMLHE	-0.5365
GEFT	-1.33325
ABCA5	-0.818625
EMR4	0.649166666666667
TSFM	0.71875
HIST3H2BB	-0.1775
ARHGEF19	0.764
TSPAN17	0.837333333333333
ABCC8	3.48475
MAP1S	0.928666666666667
C22orf36	0.71375
BNC2	-0.5795
HIST1H4A	-0.205
NDUFS3	-0.35
WDR3	-1.00816666666667
XKR4	-1.16625
TTC33	-0.213928571428571
STMN2	4.12375
CPN2	-0.972333333333333
HSPC105	-0.996625
PCOLCE2	-3.636
C3orf55	1.229
KLHDC9	3.19733333333333
TBC1D23	0.143625
ATXN2L	-0.838833333333333
MAP2K3	-0.4765
SCAP	-0.07675
ZNF486	0.805833333333333
C20orf96	-0.5785
NARS	-0.69825
ADAMTSL1	-0.721214285714286
PRCC	0.962166666666667
CCDC126	2.0785
ZNF675	0.2415
CALCOCO1	1.47325
ANKRD43	0.122
CWF19L2	-0.227
ZBTB32	0.157333333333333
BRAF	-0.32175
ODF4	0.29675
MGC14376	0.0125
HORMAD1	-2.68733333333333
AAK1	-0.0771666666666667
PEBP1	1.41316666666667
TNFSF5IP1	-0.321166666666667
DKFZp564N2472	0.573
RMND1	-0.136125
IGKV1-5	-0.1665
COL1A2	3.12925
SERPINA5	0.2595
AANAT	0.3935
C19orf21	2.24033333333333
GEMIN5	-0.083
UBR4	-0.355666666666667
LTBP3	0.357666666666667
AMHR2	-1.81533333333333
PROCR	-0.56425
MYBBP1A	-0.889
C20orf39	1.56266666666667
ZNF697	0.384
PASK	-0.2606
ZNF776	0.956166666666666
RFXDC2	-0.149125
KIAA0467	0.0545
C10orf96	-2.32666666666667
ZNF503	-2.01125
GULP1	-1.421
KCNE4	1.408
DKFZp434K191	-1.64925
LOC196913	0.0915
BHLHB4	1.4765
CH25H	-1.02025
LOC81691	-0.529166666666667
ALPL	-0.3595
COL12A1	3.452625
FOLR3	-2.3305
GPR123	0.130125
TRIM62	0.546142857142857
ABLIM1	0.409666666666667
MAST3	-0.28375
RHBDD1	0.964333333333333
LOC338809	-0.612
RYBP	0.09625
TTC26	0.285
ZNF22	-0.651666666666667
ISCA2	-0.15525
RDM1	-2.254
PIGM	1.419
GNB3	-0.8355
ACTR2	-0.1422
HMGB1	-0.05405
EDG1	2.1455
SOAT2	-3.61225
OR10AD1	0.366
RAP1GDS1	0.44825
LCE1F	0.316
ESM1	-0.602125
RCN3	2.28625
CREBL1	-0.0795
DBNL	-0.0338333333333333
PTGER3	1.4255
USP30	0.75
BCL2L12	-0.153166666666667
KIF26B	2.0895
ZNF416	0.595
ZNF225	0.237
C17orf70	1.104
ZNF554	0.554
RAE1	-0.705
TNIK	0.165333333333333
ACTN3	0.086
MGC45922	0.9345
CCNA1	-0.141333333333333
RYK	-0.133666666666667
IL26	-0.143
LRP3	1.0635
QARS	0.0905
SOX7	1.27492857142857
BID	-1.41775
OR2S2	-0.008
CXCL14	1.31575
C11orf47	-0.5595
MGC29891	1.1845
HSPB8	1.8912
PRDM14	-1.9475
NUFIP2	0.42925
MNAT1	-0.25225
ZDHHC2	0.375
MBNL2	0.660875
ADD3	-1.627375
CSNK2A1P	-0.965
KLK6	-2.32416666666667
TMEM111	0.0686
KIAA1279	0.856
NUBP2	0.947666666666667
RAB42	-1.1575
ID3	-0.5381
TM9SF1	0.6175
MDP-1	-0.65175
POU4F2	-0.43175
IQCK	1.77375
C16orf14	0.35175
CAPN3	-1.844
FAM43B	-0.349125
RECQL	-0.3475
AP1G1	0.314285714285714
CTNNBL1	-0.140166666666667
ECHDC1	-0.173
SMARCC1	-0.4702
FOXQ1	-1.576375
GNAI3	0.0716666666666667
POLG2	-1.41425
CD4	1.11
ITLN1	-0.06775
EBI2	3.512
IRF1	0.397
PTPRE	0.9765
PTK2B	-0.1
NXNL2	1.922
SOX4	1.4345
TSPAN3	-0.560333333333333
SH2D1A	-4.47266666666667
C8orf58	-0.145666666666667
USP20	-0.20275
DUSP22	-0.35625
CALB1	-3.018
L3MBTL2	0.851583333333333
MCRS1	0.90325
TMEM118	-1.0165
C18orf8	0.29
FLJ10241	0.040125
GJA12	0.949
PKD1	0.208166666666667
ZFP3	-0.0175
JAM3	-1.55875
LAPTM4A	1.5389
DIRC2	0.36
KIAA2022	1.3515
MYOM1	0.0958333333333333
TRPM8	-2.83766666666667
MOP-1	1.0705
PHKG2	0.59725
ZNF650	0.817625
KIAA1522	1.1505
PSG8	-1.5805
DDX19B	0.057
MOBKL1B	-0.04275
DIAPH2	-1.14416666666667
PTPN12	0.40575
CLN8	-0.5523
CRYZL1	0.104166666666667
CRY2	0.374666666666667
FCGR2B	3.43066666666667
PNPLA4	0.94025
ZNF454	-0.409
DKFZp434B1231	-0.0245
CLDN11	0.383
RFWD2	0.932166666666667
CIB2	-1.26483333333333
MXRA8	2.847125
HRK	-0.760875
MAML2	-0.87675
C4orf31	1.317
C6orf192	0.26675
COG6	1.627625
FAM5B	-0.581
NFATC1	0.0749
SEPT10	-0.68225
SCYL1	-0.2467
RPP40	-0.88325
SCOC	0.9022
KIAA1450	-0.78925
CTDSPL2	-0.10675
TBX5	2.10783333333333
NAPG	-1.33175
RHD	-4.9335
C14orf45	2.30233333333333
ZBTB22	1.1255
PLCG1	-1.1755
ANKRD10	-0.63025
AQP7P2	0.471
TAGLN2	1.27733333333333
HTR2C	-1.472
SLC16A7	-2.17866666666667
C17orf83	-0.59675
TSGA14	-0.166333333333333
MDH1	-0.41025
PPP3R2	-0.588166666666667
DCBLD2	-2.22007142857143
RBM33	-0.96975
DPH3	-1.767
SYT10	-1.63383333333333
FMO4	2.348125
THYN1	-1.09125
DRD5	-1.996
OTOR	0.910375
PGRMC2	0.5449
KATNAL1	-0.63525
PAQR6	-0.25625
UBE2I	0.01525
C14orf28	0.0065
C8orf70	-0.77325
FLYWCH1	0.511125
ANGPTL3	-1.18225
GLRX2	0.9075
ATP11A	-1.11435714285714
ARL5B	-0.089125
MUC16	-2.85675
SLC25A5	-0.360714285714286
ACRC	-1.51875
MYO1C	-0.0766249999999999
FAM89B	0.472666666666667
FAS	-0.352
KIFAP3	1.9125
GLRA2	0.3615
BTN3A2	0.0591
CNKSR3	0.6095
CSTF3	-0.588166666666667
ARPM1	1.6825
KIAA1530	-0.189
C9orf150	2.98533333333333
PRKCI	-1.1925
tcag7.1015	-1.01
SOD3	-1.2765
ZNF574	0.751
CYP21A2	1.91375
RPL12	-0.478
COMMD2	-0.79525
WIZ	0.14675
LOC344405	-1.20175
ALDH4A1	-0.465352941176471
CRYAB	1.662
COPA	1.1466
PCDHGA7	0.846
KIF11	-1.958
RASD2	-0.09325
SLC26A3	0.012
ZNF175	-0.2965
JAKMIP2	-2.3485
C8orf4	3.7985
PTHLH	0.35925
SLC40A1	4.03066666666667
OR7D4	0.578333333333333
PCDHB17	0.537
CD36	3.54985714285714
C6orf203	0.6056
PRKG2	2.617
LOC400566	1.049
ANAPC13	0.54625
SLCO3A1	-1.49975
ZNF692	-0.8815
FANCL	-0.5955
SH3GLB1	0.4845
C12orf61	-0.7245
KBTBD6	0.20175
SUPT5H	0.560375
XRCC6	-0.1887
HUS1B	1.5957
FAM133B	-0.628571428571429
LOC728276	-0.719
KCTD18	0.3105
SOS2	0.735666666666667
CCDC99	-1.45825
C1QTNF5	3.6405
NNAT	0.604666666666667
USP16	0.411
LARS	-0.273625
ZBTB2	0.1575
ABO	0.316333333333333
TRAF3	-1.08525
GALNT5	-0.799
NAP5	0.594875
ALG14	0.554166666666667
KIAA0515	-0.0201153846153846
WDR75	-1.00933333333333
TEX261	0.284083333333333
LY86	1.0825
LOC389072	-1.786
FLJ13611	0.613
MRGPRX2	0.2985
SNRPA	-0.6585
OR2G2	0.425
GPRASP2	0.2375
C7orf42	0.5728
C9orf163	-0.396
CYP11B2	0.808
FCRL3	0.0538333333333333
PRDX1	0.0345
FGB	-6.65466666666667
COX17	0.9905
C16orf33	0.4575
PIWIL1	-0.825833333333333
FOLR1	-2.99416666666667
KIAA0082	0.11225
FREQ	-1.23916666666667
TMCC2	-1.59283333333333
TCF12	0.204583333333333
ZNF721	-0.1185
FAM130A2	1.15775
POU4F1	-1.9975
SNRPF	-0.635875
SGIP1	2.33866666666667
ZNF641	1.22883333333333
EMG1	-1.0775
PRRG4	0.959
HIRA	-2.2495
MYNN	0.400833333333333
AEBP2	0.302416666666667
TBXA2R	0.0531666666666667
ISL2	-1.0486
PCDHB11	0.805
RNF144A	-0.353875
MARCH5	0.506
DULLARD	0.012
DCLRE1B	-0.627333333333333
ITGA8	-0.585
TP73	0.102375
PRKCD	1.46275
NDUFB4	0.3565
ATP13A4	2.541
ANTXR2	-1.009
COL4A3	-0.975666666666667
MYO10	-0.5005
SLC6A18	0.62175
PEX1	0.611
TMEM74	-2.7716
RBM19	0.832
TAPBP	1.08925
RUNX1	0.40975
MID1	-2.41875
GPR64	-0.51
