Hybridization REF	TCGA-AR-A1AH-01A-11R-A12D-07
ADAM32	4.2735
CRHBP	-1.0295
AQP2	0.33775
LOC130355	0.54125
ZNF187	0.580333333333333
ZNF816A	1.5015
F7	-1.2515
CNOT1	-0.5085
SLC13A4	-1.044
ZBTB11	-0.045
B3GALT5	0.51925
EXOC2	0.505333333333333
IRS1	-1.1786
TMEM1	0.00966666666666667
MRPL34	-0.397833333333333
SAMM50	-0.3225
CDC42EP3	-0.34725
HSF2	0.2791
MFN2	-0.4565
TSPAN7	-3.19333333333333
NUCB1	0.518416666666667
RHOH	-3.9455
ARL16	-0.4365
TACR1	0.2785
SFRS5	-0.791
SNX25	-2.242
RHBDF1	1.139
PCDH18	1.72816666666667
HMG1L1	0.09025
MYO5C	-0.39975
MAPK10	-0.306
LDHAL6A	0.262166666666667
NUDT12	-0.259833333333333
NCAM1	-0.147875
GLIS2	0.488
GGTL4	-0.60075
DAPP1	0.75475
ATF7	1.030125
KIAA0748	-1.097
NFIL3	0.037
TM6SF1	-1.0415
SEZ6	-0.11175
NANOS3	0.270333333333333
DNAJA3	0.664666666666667
CLDN6	-2.2115
CIITA	1.2141
EPHA4	2.76616666666667
FANCC	0.16175
CMTM3	-0.845625
PSG3	-0.431125
MRPL15	0.22575
C21orf59	-0.156
PLCXD2	-1.328
C2orf34	0.370875
UBE2L6	-0.708125
MED14	0.000500000000000019
HP1BP3	-0.7689
C6orf208	0.351
TPBG	-0.545
OSR2	-0.34675
XPC	-0.0421666666666667
KLHL7	0.656083333333333
CCR3	-0.359666666666667
AGTPBP1	-0.769666666666667
PCSK6	-2.6876
STAT5A	-0.3444
FAM18B	-0.42525
LONRF2	0.852333333333333
PTPN2	0.43875
SF3A3	0.893333333333333
EFCBP2	-0.369
HCFC1	-0.542333333333333
AHNAK	0.25745
ACTR5	0.532
KIF14	-1.039
TENC1	0.309
HEATR5B	1.227
YIPF2	1.97766666666667
MYEOV2	0.993333333333333
DUSP18	0.26925
KIAA1012	0.31525
AHR	0.4635
C17orf53	-0.196333333333333
PTPRH	-4.086
ATP6V1C1	-0.7895
TAS2R3	0.449
LOC440356	-1.9095
COQ10B	-0.051
PSMF1	0.31225
SORBS2	-0.747083333333333
NFE2L2	0.301
TMCO7	-0.69375
SH3PXD2A	-0.0102
SH2D2A	-0.2025
SPINK5	1.16275
MRPS24	0.274
OPA3	0.5305
TRAF7	0.2535
C4orf35	0.0261666666666667
MT1G	0.3455
MGC39545	0.0636666666666667
HS1BP3	0.0872
OR2B2	0.5125
CHRM4	-0.4575
SFRP2	1.822
RIC3	0.45175
ART1	-0.8545
C6orf1	-0.582375
DUS4L	-0.32025
C10orf104	0.32725
TNFAIP6	3.369
RTEL1	-1.06625
CCT4	-0.2071
ZNF709	1.15675
CHMP6	0.427666666666667
UPP2	-0.0475
CYP19A1	0.689875
CD151	0.294333333333333
NDUFA13	-0.5955
ARFRP1	-1.184
FAM26B	0.82425
CRYBA1	-1.269
MRPL41	-0.877833333333333
NPFFR2	-1.072375
HRH2	0.219
SCAMP3	0.383
MTMR6	0.665
MTG1	-1.86616666666667
UBTD1	0.97475
CRABP1	2.1575
FLJ33790	-0.6656
KIAA1908	-1.5855
GPR158	-0.139
PACSIN3	0.687166666666667
OMD	1.95
CATSPER1	-0.773166666666667
HOXB8	-0.599
FBXO46	2.028
OAS1	-0.271666666666667
SVIL	1.70525
PHB2	-0.11925
ADCY3	-0.278
NDRG2	2.17516666666667
ERMAP	1.0799
APBA2	-0.126333333333333
IGSF9	2.757
WNT6	2.62671428571429
MYCBPAP	-0.1645
ATP2B2	-0.295
CPVL	-0.8825
TRAM2	-0.972583333333333
NOP5/NOP58	1.535
ZNRF4	0.35575
TLK1	0.2255
MTMR12	0.642571428571428
ZNF384	0.683166666666667
FAM9B	-2.6745
RPN1	0.3896
PMVK	0.17925
EIF3D	-0.0632
SIX2	1.11725
HPS1	-0.622428571428571
RNF7	0.0115
PSKH2	0.2965
KCTD13	1.11316666666667
CSMD3	-0.638555555555556
FBF1	-0.375
IL8	0.18975
SERPINB13	0.1131
FBXL20	0.1445
BLR1	0.39125
SH2B1	0.119
RFNG	0.292375
RAB20	-1.18716666666667
RBM7	0.1475
POLR1A	0.274833333333333
TMPRSS4	-2.329
TAF9	-1.515625
TERF2	-0.398833333333333
TNFRSF1A	1.673
ACADVL	-0.958833333333333
GTF2H5	0.12925
EDG8	-0.605833333333333
C9orf140	0.55225
UST6	0.4
ZBTB8OS	-1.1825
ZNF710	1.042
GPR174	-0.9675
ATP6V0A2	1.667
KIAA0319L	-0.879833333333333
XKRX	2.708
DOPEY2	1.124
SDHD	-0.29
SUMF1	1.3355
OSM	2.82225
OPN3	1.35
DAGLB	-0.234333333333333
PPFIBP1	1.4409
TRIM63	-1.61575
C10orf53	-1.264
LYPD3	3.46883333333333
BCL7A	0.736875
AGER	-0.0981666666666667
TCF19	-0.315
SAT2	0.37375
PFTK1	-0.0186666666666667
GABRE	-1.355375
C15orf38	-0.2181
FIS1	-0.3275
KCNV2	-0.188
CLPS	0.31775
PPCDC	-1.367125
FOXN2	0.592333333333333
NT5E	-3.523
CD83	0.425
IL18	0.8045
VPS16	-0.162
IGFBP2	-1.529
NOTCH2	2.62875
SIGLEC1	1.895875
CD93	4.6255
SULF2	-1.39375
CEP164	0.6355
P53AIP1	0.234833333333333
TOR2A	-0.265833333333333
ZNF136	0.88675
MGP	3.9681
CCDC144A	0.287833333333333
TRPC1	-1.64533333333333
SMS	-0.81
MAPK7	-0.233833333333333
RRAGC	1.65775
PARD6A	-0.657333333333333
NUB1	0.485333333333333
SYNGR4	0.1975
OR11H12	0.432
WIF1	0.642
GCH1	-0.2085
OR11H4	0.395
SLC44A5	1.372
GPRIN2	3.4855
LOC401431	0.35125
CPA4	-2.2719
MELK	-0.767333333333333
IL15RA	-0.99225
CUL3	0.092875
HMBOX1	1.37175
PODXL	-0.98175
CCT6B	1.35216666666667
COMTD1	0.2255
MUC20	0.533
GPX2	-4.154375
ITK	-2.324875
FBXL5	-0.01175
C13orf27	-1.30275
DEFA5	0.383
TRHDE	0.9835
MTP18	-1.517
UQCRQ	-0.8115
ITGB2	0.5435
CSRP2BP	0.5445
TAS2R44	0.7085
PHPT1	-1.94275
FAM44C	-0.103
ERH	0.09775
MPHOSPH1	-1.38666666666667
MORC1	-0.3155
PARVB	-0.67375
LAMA1	-2.59716666666667
PGBD3	1.45075
GIMAP6	3.30625
AREG	0.4495
LIPT1	0.7025
MGC99813	0.18125
C1orf201	-0.897
GRIN2A	-0.6604
MAN2C1	-1.252375
NSUN5	-0.16575
SF3B5	1.212
MYC	-0.58
NRXN1	-0.507666666666667
ZNF18	0.233
SPDYA	-0.54275
SLC37A1	1.58
DECR2	-0.16875
ANKRD38	1.961375
SPTLC3	0.690666666666667
SUPT16H	-0.573125
DTWD2	0.31275
ULBP1	-0.493
ZADH1	-0.335666666666667
OIP5	-0.70425
IL10RB	-0.4745
OTUB2	-0.213
VWA3A	-0.2385
SPIC	0.0158333333333333
OR6C4	0.181
PSCD4	0.199666666666667
DPY19L2P2	-0.854
TRAPPC6A	0.3205
C21orf2	0.277333333333333
CEMP1	-1.376
LIN7B	1.0415
E2F7	-1.298
VCP	-0.4934375
LAMA3	-1.11690909090909
BGN	1.845
GPR160	-3.56583333333333
COCH	-4.6775
GPR81	-0.872333333333333
APOBEC3F	-2.866
tcag7.1017	-0.18675
C1orf32	0.195
SCGB1D2	0.2235
FLJ43987	0.054
C6orf170	1.606
KLK9	0.215
GPD1L	-0.20225
VPS37B	0.48725
ATG3	-0.866
ADAMTS17	-0.3775
KLHDC2	0.043
NDUFV2	-0.20425
BLK	-3.032
MATN4	-0.8895
GPM6A	-0.752125
GBP4	1.07916666666667
TMEM162	0.203166666666667
PKP2	2.1305
HRASLS	0.609
MMP1	-1.592
SFXN3	-0.89
FSD1	-2.1545
ST6GALNAC3	-0.128666666666667
CA12	-2.8163
NCOA6	0.9505
C19orf58	0.4488
PPP4R1	0.471166666666667
MAN1A2	0.412333333333333
IKBKAP	-1.19775
UPF1	0.318333333333333
KIAA1219	0.529
WNT16	-0.689833333333333
SNW1	-0.5575
IL18RAP	1.088
RPP30	-0.658
CDC40	0.801428571428571
SETD3	-0.180166666666667
SLAMF6	-0.71375
ELK4	0.304
TRIM47	0.8545
ACOX3	0.857625
TRIM6	1.4905
KIAA0372	-0.613833333333333
TP53AP1	-0.045875
SMURF2	0.229
ADAD1	0.1065
EBP	-1.4703
KRTAP13-2	0.346
FLJ36874	-0.1515
TOR1A	-0.306333333333333
P2RY4	1.337
GPBP1	0.16575
TRPV1	0.166125
ADAMTS12	-0.0441666666666667
PES1	-0.4994
ATG4A	1.73066666666667
MAGEA10	-4.66025
WFS1	-0.0645
CC2D1B	0.635833333333333
PABPN1	0.067125
SLC25A30	0.33575
SLCO1C1	0.00766666666666664
SLC22A5	0.971
KIF23	-1.15683333333333
SYN2	1.26866666666667
ASPN	7.59166666666667
CENTG2	0.35025
QSOX2	-1.4891
FLJ10815	-0.688166666666667
STK24	-0.126125
SPEG	1.178
STK10	-1.44716666666667
DACT2	-2.3415
AAAS	-0.61175
SSX3	-1.253375
ABCD3	1.2424
C4orf12	-0.3645
PARVG	-0.2915
FIG4	0.9315
C9orf46	0.43875
TMCO6	-1.0775
IGHMBP2	-1.16275
DUS2L	-0.958666666666667
FAM3C	-0.1728125
TMEM16D	-2.248
DCTN4	0.36475
KCNH3	-0.6235
EIF2AK2	0.49325
AP1S3	0.48275
CST4	0.4115
PAM	0.653375
NUTF2	-0.0915
CITED2	-0.3713
SLC39A4	0.284
C2orf52	-0.7095
GRM3	-0.36675
C12orf49	0.419875
CCDC49	-0.9397
GRAMD1B	-1.32175
FNDC4	1.4885
SIAH2	-0.446875
GDPD4	0.14175
C21orf87	0.3395
ATP5A1	-0.07
C16orf63	-0.37975
LOC388135	-1.05616666666667
ATP5J2	-0.46625
MMP3	-2.28475
EMID2	0.00149999999999999
CRHR1	0.40725
WDR70	0.32425
C13orf31	0.672
ZFAND1	0.25525
CCL18	3.08116666666667
C3orf49	0.275
RINT1	-1.1835
KIAA0408	-1.37833333333333
F13A1	2.4581
SLC10A1	-0.1755
OGN	0.14475
GIPC2	-1.794
XPO6	0.267
LCE1A	0.633
FMR1	0.5269
LOC374920	0.5995
DUSP3	-0.2005
ANKMY1	0.3645
C7orf50	0.07675
BBS9	0.4016
UNC119B	-0.108125
C9orf72	-0.78825
MGC35440	0.75675
ENTPD6	0.294875
PPP1R2P9	0.5245
ERCC4	0.3455
FAHD2B	0.0905
HMHA1	-1.881
HACL1	-0.55925
RAD23A	-1.22666666666667
FAM83B	1.6505
PPP5C	-0.471833333333333
RNASEH2C	0.042125
C9orf153	-0.43925
SCAMP4	-0.033625
GHITM	0.0111
NDUFB7	-0.62525
ADCYAP1	1.0925
SP110	0.0226666666666667
MAP3K7IP2	1.705
DHH	0.1875
AGRN	0.5215
WDR33	-0.00916666666666667
CEP290	-0.522
PRPS1L1	-1.61016666666667
KLRA1	0.3795
GPR97	-0.2155
CHD7	0.226916666666667
TLR10	0.1575
SLC30A8	-0.883
HIC1	0.520166666666667
IAPP	1.0445
RXFP4	0.00775
GP1BB	1.15225
SHQ1	-0.5695
NKX2-3	0.221
API5	0.6065
FTHP1	-0.0875
MOV10L1	0.359833333333333
TRIM6-TRIM34	2.54533333333333
ADHFE1	0.41675
FAM117A	-1.83825
DDI1	1.28616666666667
CDON	-0.796833333333333
TRIM73	-0.559
IGKC	1.9655
MMP14	-0.296
DYNC1LI1	-0.18025
C11orf66	0.19875
TRBV3-1	-1.70675
FASTKD5	0.6555
BIVM	0.53
LHX4	-0.30525
CXCL2	1.9363
RAB2B	-1.00883333333333
IZUMO1	-0.3075
MAP3K15	-1.51325
FAM19A2	0.288333333333333
ZC3H8	0.459
ZMAT1	0.37625
SPINK5L3	-2.95675
SLC10A6	-0.071
APPL2	0.072375
CARD10	-2.12916666666667
LOC402176	-1.260125
EEF1D	-1.7302
RAB6A	1.0063
C12orf5	-0.204375
PAPOLG	0.9155
MSRB2	0.47325
BCR	0.987666666666667
PUS3	1.1
TIAM2	0.00725
ZNF317	0.6895
CHD2	-0.1605
FZD5	-1.30936363636364
NUDT8	-0.65
ZNF763	0.3345
PRC1	-1.36388888888889
ABCB9	1.253
SPATA3	0.609
TRAK2	-0.107875
STAB1	3.129875
LRRTM2	0.631833333333333
psiTPTE22	1.3425
DBI	-1.717
SERPINA11	-3.30925
NAT5	0.0985
C20orf58	-2.6075
RPS6KA4	0.0688333333333333
FLJ90650	-0.92075
TGFBRAP1	0.72475
CHRDL2	1.628
FAHD2A	-0.558833333333333
CNTN1	0.92525
BBS4	-1.1596
TMEM181	0.237
MINPP1	-1.604
MPHOSPH6	-0.410333333333333
HOXC10	2.1864
ITPKB	-0.19525
CLPTM1L	-0.2495
MEOX2	-0.502666666666667
ATP6V0C	-0.247125
PRPF8	-0.735666666666667
TMC5	-0.23275
FKBP3	-1.05275
PLEKHB2	-0.108375
OR4D6	0.4505
ZNF544	-0.163
D2HGDH	-0.1735
RPL18A	0.3784
HEL308	-0.67775
MPP6	-0.866
TCERG1	-0.83625
KRT16	0.873
KLF17	-0.6565
KLF5	-0.232625
CDR1	4.421
VCX3A	-0.7655
FBLN2	1.4295
C14orf104	0.92775
HBE1	-5.3684
OR4S2	0.622
C1orf108	-0.625666666666667
ROBO4	3.40233333333333
CPEB4	-0.749625
C11orf80	-0.0996666666666667
BCKDHA	0.448333333333333
MYOC	0.10275
GIF	0.437
CKMT1A	0.723
RPL3	-0.1753
THBS1	1.883625
APOO	-0.77575
ARMCX1	2.426
HSZFP36	1.04125
SNAPC5	-0.84425
EIF4ENIF1	0.62025
ZNF433	1.877
TNFRSF21	1.240875
TMPRSS7	0.1025
SPATA18	-0.5662
HPDL	-0.479
MKL2	0.6773
TBX3	-2.64846153846154
C21orf93	0.706833333333333
DAXX	0.91825
ELMO1	-0.62875
RGS13	-0.232166666666667
TAF11	-0.07575
UNC13A	-2.070875
LOC653314	-0.7695
ORC3L	0.66875
IMAA	-2.4555
TARBP2	-0.07575
CABIN1	-0.6098
TRIOBP	-0.4846875
HIST1H2AC	1.141
RGS22	-2.94
NCOA1	1.9335
IL25	0.522
SNCG	0.725
GPR6	0.3055
AMDHD1	-2.79316666666667
CHEK2	0.78725
C6orf142	-1.30425
DRD4	0.69925
C14orf68	-0.76525
GDF11	-1.8115
SEMG2	0.755
CD247	-3.0225
CDAN1	-0.417
RBMX2	0.2645
TGS1	0.458
OIT3	0.681666666666667
SYF2	-0.825
MCM4	-1.084625
PKHD1L1	0.073625
CEP192	0.918166666666667
IFT88	-0.78325
RPL9	-0.212071428571429
RAB32	1.27575
DDX43	-2.971
P2RX2	0.100833333333333
OR5D18	0.7065
UBE1	0.102166666666667
SLC24A1	-0.521875
ARHGAP5	-0.233
CETP	-0.422
KIAA1731	0.6245
SLC9A4	0.3875
PTPN6	0.38425
BAHD1	0.01425
GRIK3	-0.023
CACNB2	-1.2478
PDE10A	-1.3595
DGCR14	-0.1835
PCDHB9	1.27666666666667
RHOQ	0.786
MAP3K4	0.529
KTI12	1.914
RPL23AP13	-2.226
GNG11	-1.27475
CLCN3	0.670166666666667
GPAM	-0.2985
VSTM2A	0.4225
SLAMF7	-0.4305
INTS2	-0.61075
PPP2CA	-0.4184
LRP12	0.4184
SEC14L2	1.14011111111111
DKFZP586H2123	1.174
MC3R	0.0255
CIRH1A	-0.963333333333333
HIST1H2AB	-0.0125
POLH	-0.82425
MGC16703	-2.18616666666667
SNAPC2	-0.3635
FILIP1L	0.35975
RASGRP4	0.464
LRRC1	2.3395
GAS1	0.4455
PRAC	-1.04375
DGKA	-1.8445
NT5C3	-0.6415
PEG3	-4.5365
NADK	-0.25875
PRR17	0.619
LOC374569	-0.1555
SGSH	-0.387833333333333
NLRP8	1.305
GALT	-1.4413
MCF2	-0.4065
ZNF263	0.00575
TACSTD1	2.27733333333333
TYR	-6.7792
ATP6AP2	0.13575
RNUXA	-0.211
ABHD10	-0.1224
GDPD2	-0.879
SLC35C1	0.8555
UBE2A	1.378875
HERC5	-1.70466666666667
FAM112B	-5.54016666666667
FBXL16	-1.43275
DKFZP434A0131	-0.504
ELA3A	-2.377
RBM41	0.41525
HAO2	0.09975
RNH1	-0.3405
SHANK2	0.980166666666667
OSBP2	-2.29175
DAK	-0.863833333333333
C3orf58	1.53016666666667
TCL1B	-1.1015
KBTBD2	-0.0445
SUGT1L1	-0.664
UBE2E2	-1.5785
MYL9	1.75525
CDC23	-0.834833333333333
PBXIP1	0.4313
CXorf40B	0.422
NBL1	-0.81125
RTBDN	0.4635
RAB11FIP5	0.69025
TTTY13	-0.2315
SCOTIN	-0.767666666666666
SOHLH1	-0.585166666666667
CDKN1A	-1.34757142857143
NCK1	-0.11575
ZNF550	1.59625
SAPS3	0.558166666666667
SPIN3	0.607666666666667
MAGEE2	1.668
MIS12	-0.720333333333333
OR8H2	0.165
KIAA0774	-0.654166666666667
UNC5D	-1.511
CUL7	0.280166666666667
LIPC	-1.731
DIO1	-2.16
C20orf11	0.746
CTRL	-0.783
HS3ST2	0.24225
PAK4	1.49383333333333
CCRL1	3.14725
RNF10	1.058625
ZNF567	1.9395
ZNF660	-0.323
TCEAL3	-0.38825
MAGOH	1.56
CENPB	-0.143
C19orf7	0.682875
LOC388965	0.337
ZCCHC13	0.1035
JMJD1A	-0.35
HIST1H4H	-0.542
TBRG1	0.0928
GPC3	-5.539375
TAF1C	-0.170875
EBNA1BP2	0.127833333333333
CIAPIN1	-0.58875
PDGFRA	-0.605222222222222
CSTB	-0.191
CENPI	-0.0238333333333333
GTF2E2	0.283666666666667
RPP21	1.01925
CCNF	-1.1765
KCNQ3	0.9965
FAM79A	2.0415
SLC22A12	0.78
NOVA1	-1.407
FZD3	2.4734
AKAP8	0.92875
SOCS5	1.252625
CFDP1	-1.43675
DLG5	0.297
PGM5	-0.537416666666667
C1orf144	-0.137583333333333
HDAC10	-2.701
RND2	-0.57425
C20orf199	-1.1755
RNMT	0.631875
SLURP1	1.068875
ASTN1	-0.8845
SH3BGR	0.60975
MYCL1	-1.03775
ZHX1	-0.1275
CENPK	-2.15625
FOSB	1.4588
LOC643406	-0.053125
C2orf59	-1.857375
TMEM135	-1.088625
SLC27A2	-4.9145
KRT33A	0.5585
OVOL1	1.382
PAMCI	-0.7595
S100A7	7.493
ZNF789	0.7635
HARS2	0.42825
RPL23A	-0.4845
TCF23	0.0615
UPF3B	0.538625
C17orf78	0.129
HLA-DOB	0.977166666666667
C14orf142	-0.267
TEKT5	-0.0425
DMWD	0.15
POLD1	-0.559166666666667
GSCL	-0.0175
CALD1	0.8907
SCRT1	0.698666666666667
AIG1	1.27475
UNC84B	-0.689
ZNF404	-2.89075
TMED6	-2.966
KIAA1462	0.747
LRRC27	1.61083333333333
PYGO1	-0.4545
PIGU	-0.532666666666667
ALAS2	-3.9525
WRNIP1	1.065625
CNNM3	-0.6615
ZNF2	0.98725
ST3GAL5	-2.65008333333333
MRPL23	-0.17025
TSSK6	-0.9055
PSMA6	-0.861
C16orf70	-2.65825
KIAA1602	-0.04725
ALMS1	0.781833333333333
DCN	0.7405
TMEM132D	-0.7455
SUCLG2	-0.953
ABHD14A	-0.75175
DEXI	0.538333333333333
AMPD2	0.153833333333333
IFNAR2	0.462833333333333
CYB5A	-0.5997
TLOC1	-0.78525
NXF5	-0.493666666666667
NRBF2	1.105625
KCTD3	-0.03425
ITGAE	-0.4385
SLC30A3	-1.3685
ZRF1	0.16
IFRD2	-0.480875
XAB1	0.287
PYCR2	-1.19983333333333
SERPINB3	-3.7495
TMLHE	1.151
GEFT	-0.720375
ABCA5	1.433875
EMR4	-0.133833333333333
TSFM	0.30825
HIST3H2BB	-0.4725
ARHGEF19	1.4455
TSPAN17	0.0763333333333333
ABCC8	0.60075
MAP1S	0.614833333333333
C22orf36	1.0035
BNC2	-1.21171428571429
HIST1H4A	-0.02275
NDUFS3	-0.234333333333333
WDR3	0.758
XKR4	-0.890333333333333
TTC33	-0.103142857142857
STMN2	3.662
CPN2	-0.812166666666667
HSPC105	-2.259625
PCOLCE2	-4.65775
C3orf55	0.827
KLHDC9	1.724
TBC1D23	0.222375
ATXN2L	-0.704666666666667
MAP2K3	1.12933333333333
SCAP	-0.486
ZNF486	0.916333333333333
C20orf96	1.154
NARS	0.35125
ADAMTSL1	-0.948428571428572
PRCC	1.48
CCDC126	1.26091666666667
ZNF675	0.66625
CALCOCO1	0.52675
ANKRD43	-1.06675
CWF19L2	0.300166666666667
ZBTB32	0.388333333333333
BRAF	1.30825
ODF4	0.518
MGC14376	-0.0506666666666667
HORMAD1	3.45666666666667
AAK1	-0.0400833333333333
PEBP1	1.25891666666667
TNFSF5IP1	0.0811666666666667
DKFZp564N2472	0.27825
RMND1	-0.29325
IGKV1-5	2.546
COL1A2	2.10933333333333
SERPINA5	-4.932375
AANAT	0.4285
C19orf21	-3.53166666666667
GEMIN5	-0.018
UBR4	-0.545166666666667
LTBP3	1.5535
AMHR2	-2.78783333333333
PROCR	-2.45525
MYBBP1A	-0.6085
C20orf39	-0.612166666666667
ZNF697	0.31625
PASK	0.4748
ZNF776	1.21516666666667
RFXDC2	-0.4455
KIAA0467	0.32575
C10orf96	-1.88033333333333
ZNF503	0.385
GULP1	-0.0630833333333334
KCNE4	-1.229
DKFZp434K191	-0.546875
LOC196913	-0.069
BHLHB4	1.364
CH25H	-0.46325
LOC81691	-0.552666666666667
ALPL	-0.125642857142857
COL12A1	2.34575
FOLR3	-2.0295
GPR123	0.135125
TRIM62	-0.359428571428571
ABLIM1	-1.33716666666667
MAST3	-0.59275
RHBDD1	0.578
LOC338809	-0.318
RYBP	-0.31525
TTC26	0.326875
ZNF22	0.886666666666667
ISCA2	-0.65675
RDM1	-2.06075
PIGM	0.93025
GNB3	-1.042
ACTR2	0.4311
HMGB1	0.332
EDG1	2.08166666666667
SOAT2	-3.37275
OR10AD1	0.723
RAP1GDS1	-0.428333333333333
LCE1F	0.7665
ESM1	-1.00825
RCN3	3.8285
CREBL1	-0.38075
DBNL	-0.832833333333333
PTGER3	1.684125
USP30	1.26083333333333
BCL2L12	1.0475
KIF26B	1.149
ZNF416	1.97725
ZNF225	0.88
C17orf70	0.7715
ZNF554	0.50725
RAE1	-0.235833333333333
TNIK	-3.23983333333333
ACTN3	0.1335
MGC45922	1.0815
CCNA1	-1.421
RYK	0.664666666666667
IL26	0.327
LRP3	1.51083333333333
QARS	-0.5355
SOX7	2.26885714285714
BID	0.9855
OR2S2	-0.165
CXCL14	3.42175
C11orf47	0.075
MGC29891	0.0878333333333334
HSPB8	-1.2943
PRDM14	-1.8965
NUFIP2	-0.10475
MNAT1	-0.639125
ZDHHC2	-2.33591666666667
MBNL2	-0.128625
ADD3	-1.813125
CSNK2A1P	0.3055
KLK6	3.67383333333333
TMEM111	-0.3947
KIAA1279	0.4715
NUBP2	0.160166666666667
RAB42	-2.32125
ID3	-1.4397
TM9SF1	-0.948
MDP-1	-1.2635
POU4F2	0.12675
IQCK	1.1215
C16orf14	0.31725
CAPN3	-1.570375
FAM43B	-0.481375
RECQL	2.0245
AP1G1	-0.200571428571429
CTNNBL1	-0.212
ECHDC1	0.556833333333333
SMARCC1	0.6024
FOXQ1	0.46625
GNAI3	0.495333333333333
POLG2	-1.1015
CD4	0.580875
ITLN1	-0.5615
EBI2	2.983
IRF1	0.102
PTPRE	-0.2258
PTK2B	-0.53525
NXNL2	-1.4085
SOX4	0.811166666666667
TSPAN3	-1.38983333333333
SH2D1A	-3.96
C8orf58	0.1975
USP20	-0.964
DUSP22	-0.495416666666667
CALB1	-2.15633333333333
L3MBTL2	0.627916666666667
MCRS1	-0.6685
TMEM118	-0.4085
C18orf8	1.38983333333333
FLJ10241	-0.43525
GJA12	2.2885
PKD1	0.148666666666667
ZFP3	0.3715
JAM3	-2.201
LAPTM4A	1.4063
DIRC2	-0.176
KIAA2022	1.58783333333333
MYOM1	-0.222833333333333
TRPM8	-2.07
MOP-1	1.31075
PHKG2	0.4175
ZNF650	0.911375
KIAA1522	0.780875
PSG8	-1.70183333333333
DDX19B	-0.7165
MOBKL1B	0.1505
DIAPH2	-0.0429166666666667
PTPN12	0.6445
CLN8	-0.0749
CRYZL1	-0.626833333333333
CRY2	0.33425
FCGR2B	4.11616666666667
PNPLA4	0.3275
ZNF454	-1.7105
DKFZp434B1231	-0.18525
CLDN11	-0.1486
RFWD2	1.47133333333333
CIB2	-0.5585
MXRA8	4.8755
HRK	2.26225
MAML2	-0.1095
C4orf31	-1.97525
C6orf192	2.2775
COG6	0.867
FAM5B	2.204
NFATC1	-0.0693
SEPT10	-0.0275
SCYL1	0.2674
RPP40	0.22225
SCOC	-0.0403
KIAA1450	-0.3525
CTDSPL2	-0.19675
TBX5	0.7195
NAPG	0.538125
RHD	-3.88275
C14orf45	1.32
ZBTB22	1.573
PLCG1	-0.1235
ANKRD10	-1.22675
AQP7P2	0.01725
TAGLN2	0.0566666666666667
HTR2C	-0.852
SLC16A7	-1.1745
C17orf83	0.0875
TSGA14	-0.34625
MDH1	-0.3195
PPP3R2	0.593833333333333
DCBLD2	-1.08235714285714
RBM33	-0.1565
DPH3	-0.42725
SYT10	-0.9735
FMO4	1.660875
THYN1	0.012
DRD5	-2.308
OTOR	-0.0565
PGRMC2	-0.2627
KATNAL1	-1.019
PAQR6	-1.7215
UBE2I	0.073
C14orf28	0.1995
C8orf70	1.082
FLYWCH1	-1.564375
ANGPTL3	-0.79675
GLRX2	0.246833333333333
ATP11A	-0.699071428571428
ARL5B	1.577625
MUC16	-3.347
SLC25A5	-0.444928571428571
ACRC	-0.76875
MYO1C	-0.890625
FAM89B	1.866
FAS	-0.881375
KIFAP3	0.74925
GLRA2	0.707
BTN3A2	-0.7141
CNKSR3	1.775
CSTF3	-0.0366666666666667
ARPM1	-0.10825
KIAA1530	-1.3785
C9orf150	0.771
PRKCI	-0.1035
tcag7.1015	-0.908
SOD3	-0.47775
ZNF574	1.407
CYP21A2	-0.58725
RPL12	-0.1895
COMMD2	-0.942
WIZ	0.563
LOC344405	-0.7665
ALDH4A1	-1.70994117647059
CRYAB	4.69125
COPA	1.04833333333333
PCDHGA7	0.591666666666667
KIF11	-0.542333333333333
RASD2	-0.277125
SLC26A3	-0.365
ZNF175	-0.135
JAKMIP2	-2.968625
C8orf4	-0.181333333333333
PTHLH	-0.781
SLC40A1	0.590916666666667
OR7D4	0.427833333333333
PCDHB17	1.3105
CD36	2.22178571428571
C6orf203	1.1444
PRKG2	0.88
LOC400566	2.52775
ANAPC13	-1.58875
SLCO3A1	-1.76175
ZNF692	-0.6555
FANCL	-0.1005
SH3GLB1	2.5445
C12orf61	-0.51
KBTBD6	0
SUPT5H	0.933625
XRCC6	-0.7061
HUS1B	0.1751
FAM133B	0.490285714285714
LOC728276	-0.021
KCTD18	1.1855
SOS2	0.985666666666667
CCDC99	-0.98075
C1QTNF5	3.0895
NNAT	0.3445
USP16	0.5345
LARS	-0.976125
ZBTB2	1.260875
ABO	0.182
TRAF3	-0.234
GALNT5	-2.685
NAP5	-1.799375
ALG14	1.7245
KIAA0515	-0.492076923076923
WDR75	1.52266666666667
TEX261	0.32575
LY86	-0.58175
LOC389072	0.264
FLJ13611	0.273
MRGPRX2	-0.55
SNRPA	-0.27975
OR2G2	0.392
GPRASP2	1.95475
C7orf42	0.8005
C9orf163	-0.1335
CYP11B2	0.2975
FCRL3	0.626333333333333
PRDX1	0.56275
FGB	-6.13366666666667
COX17	-0.212
C16orf33	-0.76225
PIWIL1	-0.196833333333333
FOLR1	-1.55116666666667
KIAA0082	-0.4005
FREQ	-0.775333333333333
