Hybridization REF	TCGA-BH-A18G-01A-11R-A12D-07
PIGB	-0.4205
COMMD8	-0.1345
TRIP11	0.486333333333333
FLJ40142	-1.18225
PCDHB6	0.85925
FKBP8	0.5255
FLJ12716	-0.7754
POT1	-1.17
KIAA1109	0.992714285714286
PTPRC	-0.013
UNQ9391	0.526
CCT7	-1.52633333333333
EEF1A2	-2.006
MIPEP	-0.8205
ZFX	0.5728
UCHL3	-0.124625
LOC388419	1.0825
GSG1L	-0.557833333333333
RAB24	0.240916666666667
SLA2	-0.4265
SDS	3.24516666666667
LYPLA3	0.058
CASQ1	0.518
SLC25A40	-0.7045
IRAK1BP1	1.5655
ACOT6	-1.03925
COL9A3	-0.06425
ASB11	0.6
C2orf18	0.8305
FOXD2	0.106
C6orf211	-1.539
OR8G1	0.00166666666666667
MDGA1	0.91175
ADARB1	-1.41042857142857
GGT1	-0.4335
WNT1	-0.00200000000000002
DBP	1.82275
COL5A3	2.4425
RHOD	0.6105
COL4A2	0.12725
LOC201164	-0.852
HEBP1	0.43225
LUM	2.97858333333333
ZCCHC6	1.19525
PAGE1	-3.493
DTX2	0.4035
SLC7A13	0.436
H3F3A	2.22835714285714
RABIF	1.146625
D4S234E	-2.75766666666667
DYRK3	2.72533333333333
PFAS	-1.9335
ALOXE3	0.4375
RPLP0	1.2305
RBM34	0.790166666666667
C12orf28	0.077
U2AF2	0.577
MKNK2	0.5061875
SEC16A	0.238333333333333
ZNF44	-0.901111111111111
YWHAG	1.298875
IGF2BP2	-1.39891666666667
OR1D5	-0.7225
SIX6	-2.489
CCR6	-1.564
PALM	-0.20225
PUM2	-0.0424285714285714
SPRYD5	-2.611
ALG10B	-1.08275
ZNF365	3.58875
PHC1	-2.1515
KIAA0913	0.42375
ARX	1.601375
PPP3CB	-0.151166666666667
IRX6	0.3198
ANGPTL4	3.0276
LSM14B	0.6051
PCDHGB7	-2.1005
INSM1	-1.14816666666667
WBP2NL	1.009
ZNF493	-2.23425
NGEF	-2.012
RNASE13	-0.285
SPPL2A	-0.363333333333333
SFXN1	-1.37025
FAM102A	2.174125
SAPS2	-0.211333333333333
JTV1	-1.673
OR51B4	-1.81
SCGB1A1	0.702666666666667
NEUROD2	1.281
tAKR	0.425
C1orf26	0.908
RICH2	0.5605
TEDDM1	0.74425
CYP2S1	-0.1725
TBCE	0.104333333333333
MAPK1	-0.8165
HDHD1A	-0.63975
MRM1	-1.09275
ATP9A	0.0217142857142857
HSD17B3	0.458
HN1L	0.907333333333333
RNF216	-0.344875
HOXD12	1.018
PPP1R14B	0.62
SBF1	-1.29775
TAS2R42	0.836
USP46	0.203666666666667
LILRB3	3.22033333333333
SPI1	0.9815
OXSM	0.15775
GYS2	0.0866
NUPL2	-1.5085
C8orf46	-1.387625
SF3A1	-0.6814
C21orf99	-0.86825
HOXB4	0.3979
YRDC	-0.46675
GPRC5D	0.3005
BLVRA	-1.0675
KIF12	0.3175
LRRC23	-0.192
FAM14A	0.290666666666667
RASL12	0.20225
DAZAP2	0.15075
IKBKB	0.385642857142857
ZNF271	0.4005
BOK	2.266
CXorf6	-0.06175
MYEOV	-0.01125
BTN2A2	0.0412
FRG1	-0.26525
HSP90AB6P	-0.2945
ENOX1	-0.0256666666666667
ZNF706	-0.6803
DOK1	-0.4356
PGAP1	-1.484375
TMEM136	-0.07275
FSCN1	0.07175
KIF17	-0.421
TRIM66	-0.108
CBR3	0.496333333333333
C13orf24	-0.0255
C19orf52	0.179
BNIP1	0.26175
AQP3	-2.20275
KRT6C	4.06966666666667
SIRPA	2.20683333333333
IGFBP6	-0.271166666666667
PLEKHK1	0.169625
RNASE7	0.381
ARHGEF15	0.829
NPHS2	0.131
SRD5A1	-0.59625
REXO4	0.97375
EEF1DP3	0.27825
SLC37A2	0.3225
ZNF142	0.53075
ANKHD1	-1.3175
MUT	0.2705
VPS37A	0.37025
GPRIN1	1.00025
SLC38A3	-1.09528571428571
BAZ2B	1.357
WDR87	0.0978333333333333
BRD7	-0.5805
POU6F2	-0.818
NISCH	-0.609
TCEB1	-0.176
LINGO2	-2.179
TAX1BP3	-0.773
RPL34	1.437
MARK2	1.43233333333333
AKAP12	-2.9474
AMBN	0.87
SLC25A27	-0.7795
FLJ21865	0.671625
KIR2DS2	0.948833333333333
WDR77	-0.76375
ATF2	-0.618333333333333
ITFG3	0.198166666666667
SLC39A13	1.011
ARL6IP5	2.6355
C10orf137	-1.293125
QTRT1	-0.821166666666667
CCNT1	0.86175
DYNLL1	0.9814
WDR53	-0.9145
LIPG	4.176
ASAH3	0.9145
HELB	-0.55075
PHACTR2	-0.301
VENTX	-0.421
LAD1	3.24783333333333
PAOX	1.1345
MAPK8	-0.0765
CCDC38	-1.50575
DNAJC8	-1.0138
RBBP8	-0.25225
WNT11	0.2609
KCNJ12	-1.21833333333333
HDAC8	-0.5275
STARD4	-2.3225
ACVR1	0.300833333333333
C14orf65	-0.285833333333333
KLB	0.019
C1orf65	0.276666666666667
ZFYVE28	-0.49375
NSUN6	-0.7245
KIF27	0.172333333333333
SYTL2	-1.65583333333333
UBXD2	0.8726
OR6T1	1.407
CCDC91	0.946214285714286
GRID2	0.02
CALN1	-0.736625
ZNF423	-0.885
PSMB4	1.06516666666667
XPNPEP3	-0.890833333333333
ARPP-21	-2.79577777777778
SART1	-0.08375
RACGAP1P	-2.46
SPTA1	-4.62125
C6orf113	0.249833333333333
C7orf16	-2.51825
CHST7	-0.968833333333333
C21orf29	-0.298666666666667
SEMA6D	-1.693875
PCMTD1	1.3148125
KIAA1754	-0.408833333333333
MYCN	0.9345625
KCNJ3	-0.597333333333333
MAPK13	2.148
ERO1LB	1.983
NTF3	0.497833333333333
NKX6-2	-0.03025
GTF2B	0.49
GSPT1	-2.13533333333333
GUSB	-0.345166666666667
LOC221091	-1.53
LIG1	-1.14125
EXTL3	0.783
NID2	-0.338
TTC29	-1.26075
TMEM97	-0.254875
EXTL2	-1.08083333333333
SUZ12	-0.572
IL1F8	0.002
KRT18	-1.13381818181818
MRPS16	-0.87375
PI4K2B	0.0705000000000001
LACRT	0.4815
OR51F2	0.709
JMJD2C	-0.196625
KGFLP1	0.7555
CDK5RAP3	-0.3112
YTHDF2	1.984
GGCX	0.4155
ARPC4	0.36175
EGLN2	-0.138166666666667
KBTBD4	-0.399428571428571
ROBO3	-0.4793
DEFB118	0.676
KIAA1543	0.89025
RTCD1	0.2075
MZF1	0.843
C18orf26	0.2485
CNIH4	0.7165
ZFP2	1.78933333333333
HTATSF1	-0.29675
WFDC2	3.57725
NDUFA7	1.0605
TTC22	0.239166666666667
FAM40B	-3.249875
DCPS	0.25
SH2D1B	-0.236166666666667
MRGPRE	1.507
SBK1	0.78025
UNQ6411	-0.529
OSBPL9	-1.457
NUP107	-1.81625
MYOZ3	0.0913
PDE4B	0.926833333333333
FAM113A	0.2865
IDH3G	-0.133833333333333
FBXL7	-0.09475
ARFGAP3	-0.09025
MAPRE2	1.10869230769231
IL1RN	-0.1453
KIF13A	-1.10725
RAC3	1.1105
TCTE1	-0.6645
TMEM14B	-0.951333333333333
ADIPOR1	0.951833333333333
GRINA	0.6685
CLIP4	1.4625
LRIT2	0.21
TFPI	-2.74257142857143
FABP6	-1.85675
SLITRK2	-0.522
HKR1	-0.699
SMTN	0.17
C1orf75	-0.1035
CD209	0.63625
CYB5R2	2.195
DNTTIP2	-0.0106666666666667
CSGlcA-T	0.633375
GABRB3	-3.46925
PCBD1	0.113333333333333
TAF3	0.490833333333333
HOXD3	-0.1605
GIPC3	0.487
P11	0.6943
BFSP1	1.19925
LCP2	0.0655
TAS2R8	-0.0665
SEZ6L	-1.467
NR2C1	-1.021625
EXDL2	1.4377
TNFRSF13B	-1.45816666666667
MKI67	-0.58475
GLS	1.50825
C7orf54	-0.1716
LGALS13	0.112666666666667
IL4R	1.08075
SEC11A	-0.689833333333333
SPP2	0.106666666666667
C18orf32	1.119
CLSPN	-2.42133333333333
SPAG1	-0.9935
C9orf82	-0.9725
TM4SF1	1.84308333333333
EMILIN2	2.20375
SMG7	1.1595
TAS2R13	0.204
ZNF628	1.5425
DZIP1L	-0.794
ANKRD13A	1.4071
VASP	2.7435
ZCCHC11	-2.064375
SYPL1	-1.32275
MGC34774	0.61725
C4orf28	-0.518375
KIAA1211	-0.727583333333333
RPS27L	-0.095
TATDN3	0.55975
PDCD1	0.60075
OR5P2	0.4445
IFIT1L	-0.314
MIPOL1	-0.506
OR51D1	0.23125
C1orf92	-0.162666666666667
LAMP2	0.569944444444445
CAT	0.284
C16orf80	-0.894
C15orf32	0.37
ZNF746	0.609
C1orf76	-0.868
ATXN1	0.93875
LAMC2	2.50275
SLC2A7	-0.411
CPOX	-2.26925
APH1B	1.31916666666667
LOC442245	-1.854
CTNND1	0.9665
GABRG2	-0.554875
MADCAM1	-0.0543333333333333
F5	-3.394
SEMA4F	-0.7665
NUDCD3	0.204375
PDZD11	-0.0465
TRIML1	0.3215
GCNT3	4.43716666666667
TMEM120A	1.2015
CNDP1	-1.086
N4BP1	-0.22225
SLC35F2	0.430125
LCP1	-1.87925
IGBP1	-1.0905
DCAKD	-0.65925
ELA2A	0.506
C12orf56	-2.575625
PITRM1	0.623928571428571
GUK1	0.999833333333333
RASSF8	-0.468875
OR2A14	0.4605
ADM	-0.346666666666667
FGD3	-0.489333333333333
GHRHR	0.277166666666667
RHPN2	2.0825
C4orf39	0.353833333333333
VPS72	-0.0715
SERF2	1.08677777777778
CD22	-0.1455
CD47	-0.9336
PPIC	1.2195
IMPDH1	-0.455833333333333
ACP6	0.197833333333333
PRKACA	0.548625
PPP1R1A	-1.846375
TRPV3	-0.253
ASXL1	-0.663125
C17orf55	-0.0401666666666667
FXYD1	-1.0065
LMOD2	0.4095
ANKRD33	1.179
LCE2C	-0.362375
ZNF620	-3.166
DKFZP566E164	0.28225
VSIG2	-0.207
KIAA1128	2.07
USO1	-0.2435
NUDT4	-1.61121428571429
CLDN1	2.94242857142857
OR4Q3	1.045
FASTK	0.216333333333333
ICOS	0.754333333333333
LDB1	1.6455
GSTA5	-1.01075
ABCC1	-1.92466666666667
FAM54A	-2.288
PCBP2	-1.12066666666667
NUP205	-1.50675
ACTA1	-1.32966666666667
GABBR2	-1.583
PIP5K1B	0.903666666666667
AGXT	-1.4066
RNF181	0.109
ATP8A2	-0.708
AFTPH	1.029
FGF21	0.43925
FCER1G	3.035125
SNTB1	-0.50275
SLC24A3	2.09375
TXNL4B	-1.0846
RPL10L	-0.3625
LOC389517	-0.6717
TSGA13	0.0645
SHOX2	1.16266666666667
ITGA7	-1.3455
KCNIP2	-0.491333333333333
KLF13	0.7748
ZFAND2A	-1.47975
CEACAM1	2.44278571428571
PFKFB4	-1.482
MED19	-0.20925
LRRC57	0.720666666666667
RNF11	0.16425
ANKRD32	-2.8045
P117	0.95775
OBFC2A	-0.526666666666667
POLD3	-0.0985
RAB18	0.34275
TPH2	0.148666666666667
PHB	-1.0136
JDP2	1.529
MORF4L1	-0.9623
POU2F1	-1
CNNM2	-0.410833333333333
LOXHD1	0.516166666666667
ZC3H15	-0.466
ELK3	-0.446
FAM111B	1.076
CBLC	2.50033333333333
SBNO1	0.21625
ANKMY2	-1.3225
PLEKHA5	0.753
DHX58	0.592166666666667
ARCN1	-0.1005
TREML1	0.0343
KNCN	-0.613
SEC24A	-0.5065
PSCA	0.01925
MGC24125	0.684
DNA2L	-2.63025
CIB4	-0.343125
HIGD2A	0.362666666666667
TBX6	0.469166666666667
TTLL5	-0.764833333333333
SGK3	-0.0845
GCN1L1	-0.6345
AMOT	0.7069
LDOC1	1.00383333333333
NRK	-0.235166666666667
ASB9	-3.4745
NAT1	0.1159
TRAFD1	-0.318
PEAR1	0.484833333333333
FAM36A	1.76275
OR1S2	0.470666666666667
LOC388323	-0.64225
PGS1	-0.549
LEPREL1	-2.89275
TFF1	-3.52408333333333
HAP1	0.168
EPHB2	-1.20975
ACTG1	1.546
ZFP42	-1.68433333333333
HAVCR2	0.3712
NME1	-1.036
SNX26	1.0315
LACTB	-0.818666666666667
ZKSCAN2	-0.065
C5orf35	-0.49
ANKS3	-0.30975
RBM28	-1.08025
DKFZP586P0123	-1.326
HNRNPA1	-0.266833333333333
BCAS3	-0.608666666666667
FLJ20184	0.3155
POLA2	-0.877166666666667
TMC7	-1.11866666666667
HSD17B6	-0.526
ZNF658B	0.196
TTTY10	-0.596333333333333
RANBP9	-0.475583333333333
CPNE7	-0.752166666666667
EVL	0.165294117647059
LNX1	0.558416666666667
IFNA21	-0.104833333333333
CFD	0.08025
PYCARD	2.534
MYBPC2	-1.3505
ENPP3	-3.89033333333333
ACSL4	0.09225
LOC440258	-0.505
TMEM176B	3.99116666666667
SOX2	-3.69975
SCO1	-0.337
COMT	0.97125
AOC2	0.01825
PDLIM5	2.08285714285714
SPHK2	0.285166666666667
NXPH2	0.597
GPR108	0.437
RAD51L1	0.665833333333333
TMEM54	1.38825
LETMD1	-1.43855555555556
SLC6A17	2.0275
KRT75	0.4825
STT3B	-0.528666666666667
CD3EAP	1.4965
TMEM63A	2.191
DUSP13	-1.61375
CD1C	-2.20616666666667
LASS2	0.6915
AVP	3.814
PITPNM1	-1.629875
FLJ22795	-0.7835
MCTP1	-3.21275
TRIM68	-1.94433333333333
UCK2	1.19666666666667
ABHD1	0.557
FAM50A	-0.034
RNASEH1	-1.4425
PCP2	0.229166666666667
OR52H1	-0.099
C20orf149	0.957
RBP5	-2.14166666666667
HYAL3	0.0585
CLPB	-0.14875
SMNDC1	-0.52625
DONSON	-2.113
FLJ27523	0.58975
BARHL2	-0.190333333333333
SLC30A9	-0.360833333333333
TMPRSS11B	0.0655
E2F8	-1.87466666666667
CCDC25	0.67075
C14orf48	-0.6325
C20orf116	0.751
TSPAN11	0.529
YIF1B	-0.629166666666667
FAM12B	-0.055
OR1L6	0.367
HPN	-2.1467
NBN	-0.058875
C14orf94	-0.458
OCLM	-0.114
ZSCAN18	-1.5283
L3MBTL	-2.06066666666667
TSTA3	1.20666666666667
RAC1	-0.03025
C19orf15	-0.194166666666667
NFE2	-4.121
KLK14	0.8495
ARSF	2.398
MAST2	0.623833333333333
AMICA1	1.7045
GTF2A1	0.717625
ATP1A3	0.22725
TC2N	4.081
PNKP	0.526
ODZ2	-0.734625
MATR3	0.7675
S100P	-1.48625
KRT82	-0.275
CA13	1.7218
PROZ	-1.12283333333333
AASDH	0.09625
C19orf40	-0.938
DCK	-0.896461538461539
FAM5C	4.80175
SLC6A4	-2.832
MID1IP1	-0.617875
TESSP5	-0.1345
TMOD4	-0.141166666666667
DOCK2	-1.61283333333333
TUG1	0.330375
NUP214	-0.263
DPYSL2	1.93709090909091
GOLM1	0.0930833333333333
MPFL	0.28325
SOX13	1.2915
SDCCAG8	1.3242
KEL	-1.51766666666667
NUP210L	-2.2865
GK	-1.660125
DNAJB1	0.73
ALPK3	0.329
CHID1	-0.0276
CYLC2	1.01766666666667
IKZF5	0.13575
C8orf51	0.237666666666667
PPM1J	-0.08925
GIMAP8	2.28533333333333
GPR101	-0.25
NR2F1	0.195
ACAD8	-0.2725
RBM35A	1.274
GNAI2	-0.552666666666667
METTL8	-0.158833333333333
SLC39A7	-1.1625
FBXO8	0.39125
CAMK1	-1.74175
RFC3	-1.517
FAM129A	0.7645
ILF2	-0.81775
FGFBP3	-0.437625
NOM1	-1.34383333333333
PSMA3	-0.5915
ASCC3	0.3865
ZYG11A	-3.29025
SOX21	-1.041
LYRM1	-0.52925
DEFB1	6.1685
LOC91431	-2.06833333333333
OR7C2	2.7005
FAM46B	-0.880875
TMEM18	-0.75
ARHGAP30	0.271833333333333
TMEM86A	1.6205
EPHA2	-0.0118333333333333
C10orf46	0.3314
TCHH	0.330666666666667
C3orf30	0.137666666666667
LOC285636	-0.2455
PAIP2	-0.38975
CYP2U1	-0.453875
C12orf34	3.417
SARS2	0.118333333333333
ZCWPW1	0.38725
SAMD12	1.901875
KIAA1430	0.023
ACAT1	-1.432
MEOX1	-0.906
ADAMDEC1	3.712
PHKA2	-1.32275
CARD11	-0.763333333333333
CALML4	-0.733
TSSC1	-0.9135
TMEM45A	1.48044444444444
MPP7	0.71275
POU1F1	0.177
SLC2A13	-1.2582
FBN2	-1.03030769230769
ZC3H7A	0.7073
LAIR2	-1.118
ST3GAL1	-0.601166666666667
LCT	-1.1115
GEMIN8	0.566166666666667
KLF16	2.2142
HIF3A	0.3027
FAM44A	0.8175
AQP10	-0.291
PLA2G2A	-0.9125
FOLH1	0.340833333333333
C20orf186	-0.2695
MAPKAP1	-0.74875
SPRR2D	-0.82325
UBQLN4	1.61233333333333
RSHL1	0.587
PIAS3	1.0525
MRPL24	1.534
GREB1	-3.03225
FAM27E3	-1.494
NUP62CL	-1.9255
NEUROG3	3.6615
REEP3	2.29308333333333
MARK1	-0.453625
LMBRD1	0.304
PRPF19	-1.0305
PNMT	-1.5165
CTGLF1	-0.9775
SLC25A16	-0.49125
EIF2B3	-0.926
RPA2	-1.2165
PAK6	1.072
CCDC26	-3.92514285714286
SEMA3E	3.194125
MXD4	1.2645
TNFSF10	4.2859
SMARCB1	-0.507
DTX3L	0.904333333333333
PLA2G4E	0.041
PPAP2A	-0.95025
ULK1	-0.819666666666667
TAS1R3	0.6365
SLC2A3	-3.01036363636364
ARID3A	-1.16825
GNG5	-0.0945
ACOX1	0.7929
KIF5B	0.1715
NUP153	-1.297
MUC7	0.2095
CSDE1	-0.0340714285714286
CLPTM1	-0.405
C3orf23	-0.939875
LRRC17	-0.428833333333333
TTYH3	0.745
ATP5B	-2.5165
ELF3	2.2384
CPSF3L	-0.167
ZNF665	-0.129833333333333
TLR6	0.2282
GPI	-0.605125
RAD9A	-0.015625
NDST4	-2.71125
AGPAT3	0.211833333333333
MAGI3	-0.00800000000000003
ADORA2A	0.172
CACNG7	0.1275
CAMK2D	0.0765714285714286
CCHCR1	-0.84825
RPS27A	-0.5355
OR10G7	0.651166666666667
GCM2	0.4585
FAM135B	0.5317
E2F1	-0.39575
PLCB3	0.1715
OR2AE1	-0.447
COIL	0.293166666666667
CDC25C	-1.40183333333333
RAB11FIP2	0.446833333333333
TSC2	-0.56075
CTGLF5	-1.3205
CCDC108	0.8251
OR13C4	0.8525
C10orf81	6.157
PTPRB	1.08975
ACP2	-0.49875
LAG3	0.349
MRPL54	0.57375
LOC201175	3.8865
ITGB1BP3	-0.23775
SPTAN1	-0.365
SIPA1L2	1.49075
RCAN2	0.042
CDX2	-0.633
ECOP	-1.54125
ACTR1A	0.476428571428571
PPARG	-2.4635
BBS10	-0.1885
TMEM44	-1.46925
BPIL2	0.03925
CITED1	3.57675
IRF6	4.2685
PRDM4	-0.0383333333333333
RRP9	-0.95
OR10H4	0.69175
IL31RA	0.1615
GNB1L	-0.6475
MYBL2	-1.5205
ZNF407	1.05716666666667
PPIG	0.2475
TTC18	-0.16675
RPSA	-0.7595
MAPT	-0.534625
MRE11A	-0.822357142857143
C8orf37	-1.3975
RASGEF1C	2.6935
STBD1	-0.23375
CTAG2	-0.4544
MGAT5B	-1.53816666666667
ECM1	0.528
RLN1	-1.249
PARP14	1.009875
EPB41L1	-0.4554
HOXA3	0.346833333333333
MAGEA9	-5.135
RPS8	-0.700166666666667
RPS19BP1	0.48625
FOXJ2	-0.40275
C10orf76	0.278
IL17RE	0.68025
C10orf65	-2.10125
ZNF343	-0.8525
FBXO33	0.17725
UHMK1	-0.3323
LY6G6C	-0.835
FGF19	-1.86033333333333
C14orf128	0.650166666666667
IFIT2	2.16075
TIGD1	0.245
S100G	-0.4715
GUCY1B3	2.1185
NR3C1	-0.6274
CORO1B	0.497
PARP11	-1.81016666666667
DNALI1	0.699833333333333
OR4N4	-0.46175
MAP2K6	2.732
FSTL4	-0.13075
ANKRD47	0.546
TMEM171	-0.4305
PNLIP	-0.543666666666667
YY1	-0.110833333333333
CCDC138	-1.99183333333333
AASDHPPT	-0.8333
CKS1B	0.2419
MCM3	-1.38016666666667
ANAPC7	-1.425
FAM110A	2.21625
CDC37L1	1.0835
THTPA	0.287
NBPF20	0.8525
WDR24	0.05625
NPTX2	0.22625
CBLB	-0.0541666666666666
CETN1	1.196
RPUSD1	0.2085
FAF1	-0.274
CDK6	-1.7067
HMX2	-0.00800000000000001
CSK	0.217833333333333
TEAD2	1.99475
SNAP25	-1.46175
TUFT1	1.871
TMTC3	1.07333333333333
LCK	-2.30775
SGOL1	-0.7695
AKTIP	-0.1925
FURIN	0.642875
SOX12	-0.778833333333333
DEFB103A	-0.0475
RAMP1	-0.68675
KIR3DX1	-1.021
GAS2L3	0.39
PDE8A	-1.9073
EDN3	-0.685
GMIP	1.48075
SF3A2	3.3395
FN3KRP	1.01775
SMAD7	-0.07925
RHBDD2	-0.0505
OR11H6	-0.998
PPP1R3B	0.9871
C9orf23	0.2785
CADPS	-0.13575
GOLGA8A	-2.017125
TMEM57	1.92966666666667
RGL3	-1.7835
S100A14	-2.36375
FGFR2	-1.1719375
XRCC3	-0.782
RTN4RL2	1.69525
MGC3771	0.094
GH2	0.871333333333333
BTBD2	0.13625
LMO2	1.6135
RDBP	-0.340625
ACRBP	-2.18625
AMY2A	4.31925
DUOXA1	3.823
PTK7	1.4885
TWF2	0.170833333333333
FAM80A	0.62675
TNNI2	1.3815
GLT25D1	-0.623333333333333
OCC-1	-2.75325
CYC1	-1.4185
RPL22	0.927636363636364
MORN3	0.584666666666667
DISP1	1.32575
PRB2	0.388
CHUK	-1.34525
HR	2.198625
CCDC134	-0.05125
DENND4B	-0.2765
C14orf130	-0.1125
RAB33A	-1.82475
DCST2	1.3705
TNMD	-1.392
PEX7	0.585
FAM62A	0.867625
SRD5A2L	1.06175
IL22	-0.33075
RPS26	-1.01533333333333
HOXC5	-0.828
SPATA6	1.28975
FLJ38482	0.435625
ZNF234	1.1405
C18orf22	1.422
SPATA22	-0.30625
THOC1	-1.50525
CYP7B1	4.063
KCNC3	0.668
C8orf42	0.011
ALDH1B1	0.2145
CCDC100	-0.9325
ARMC4	-2.553
FAM18B2	-0.867333333333333
SLC44A1	0.183875
FBXO17	-1.845
C6orf107	-0.46225
C19orf29	0.347
ZC3HAV1L	1.51375
PARP6	-0.233
SULT2A1	-4.568875
C1orf159	0.15225
TMC1	1.1685
CHST14	0.430125
GAMT	-0.0136666666666667
SMCP	-0.402333333333333
TSPAN33	1.23008333333333
MIDN	2.081625
NOX4	1.35925
RNASEN	-0.9414
TBX1	-1.3625
SALL2	-3.04625
C10orf35	1.5295
CYP2E1	-0.9135
LRFN2	-0.869833333333333
ACO1	-0.803666666666667
IQCG	1.8781
MEGF9	0.2385
TM7SF4	-0.761333333333333
PLEKHA1	1.2608
STK33	-3.4625
C1orf210	2.27375
SNUPN	0.0257000000000001
KIAA0406	-1.4829
C20orf29	0.53925
TMEM55B	-0.3135
OSTM1	-1.0583125
CLCN7	-0.11525
OTP	-0.42675
FLJ23049	-0.4115
HEATR4	-0.1845
MAP3K10	2.69466666666667
PCDHGA9	0.904
AMDHD2	-0.30325
LCTL	-1.6325
PDCD2L	-0.195
CABLES2	0.02275
SLC5A9	-0.0945
CLCA2	0.577
MGC16025	-0.3595
STRAP	-1.76333333333333
C20orf196	-1.2605
RRBP1	2.983
NAT13	-0.2445
MAT2B	-1.004875
CSNK1D	0.701166666666667
KIR3DL1	1.3415
PRKAG3	1.418
ZNF599	-2.2285
PRM3	1.989
PER2	0.803666666666667
ASPHD1	-1.276
PRMT6	-0.644
KCNE1L	1.311
FAM118A	-1.72416666666667
TAF4	-0.694
NDUFB6	-0.51
TRIM9	-1.16091666666667
PMFBP1	-0.67725
KY	0.437
DKFZp762E1312	-1.05927272727273
CSMD1	-0.36825
TBP	-0.827
OR1Q1	0.1395
RETNLB	0.35575
HPGD	-0.158416666666667
DNAJC12	-3.04766666666667
FKBP1B	-2.5065
ANKRD24	-0.118833333333333
CXXC5	-1.51833333333333
IL3	-0.0717142857142857
DRAM	0.412
PTCH1	-0.741125
TP53BP1	-0.626
SLC17A7	0.402571428571429
COL25A1	-1.4091
AMACR	-0.111666666666667
RHCG	2.9075
VPS13A	-0.342833333333333
FAM55D	0.9555
PRPF38B	-0.709333333333333
OSBPL6	-0.70775
PFDN5	0.2506
CMTM6	1.17975
KCNK12	-1.03775
RP2	-0.351
C16orf52	-1.54925
PICK1	-0.552
IFNE1	-1.58
SEMA4B	1.67875
TYRO3	-1.66425
OR12D2	-0.367
CSNK1A1	-0.13045
FANCF	1.07775
LONP2	0.539125
TBL1Y	-0.379
LDOC1L	-0.6855
CCNC	-0.25175
C3orf60	-0.756
CHKA	-1.113
UBAP1	0.0385
MAP3K1	2.0105
ANKRD9	0.633
FAM92A1	-1.97633333333333
GAB2	1.0745
AZU1	-0.00700000000000001
DIS3	-1.02916666666667
C21orf109	-2.055
IQCB1	-0.87
SPATS2	-0.2275
EFCAB3	-0.27525
PRB3	0.90275
FUZ	-0.551666666666667
ZNF813	-1.138375
BMPER	-1.53666666666667
HEG1	-0.429125
ALS2CR11	-1.73225
SURF2	0.395
PSMC1	-0.228416666666667
OR2D2	0.0345
SLC7A8	0.2285
C4orf40	-0.775
SPATA7	0.644
MAZ	0.502166666666667
PIN4	-0.9685
PDE1A	-2.076625
TAF6L	0.730666666666667
OR2T34	0.642
KIAA0284	0.27125
ACADS	-0.631090909090909
MKRN2	-1.215
C18orf56	-0.21425
MS4A6E	0.391
GALNT4	0.229
C22orf31	-0.857
FLJ36070	0.919
PSME4	1.05175
TFG	-0.3609
EPHX2	1.11075
ANXA5	0.67275
KRTAP1-1	0.6224
BATF	0.24375
KARS	-0.97625
MSTP9	-0.7715
GPR26	-0.120625
CCDC72	-0.283
TEF	1.1515
FOXK1	-0.7283
PRLHR	0.7035
EMX1	1.38525
C11orf30	-0.600625
ICK	1.039625
THSD7B	-0.562
C21orf100	-0.821
DUOX1	4.681
EFCAB4B	-0.09
UBE2G2	-0.427833333333333
C3orf54	0.51375
PARP1	-0.328
FAM60A	-0.189
C6orf146	0.0785
OR9K2	0.6125
DDX55	-1.43933333333333
RPS15	1.068
ZNF618	1.444375
DKFZp686D0972	0.571
SSPO	0.02
SHFM3P1	-0.125
CPA6	-1.05225
JAG2	0.5755
DEFA3	1.0955
PPBPL2	0.745333333333333
CD34	2.9415
SLCO4A1	-1.360125
AFG3L1	-2.47266666666667
SHD	-0.14875
RP13-122B23.3	-0.656833333333333
PRKCSH	-0.339333333333333
DPH5	-1.25433333333333
HLA-F	2.325
TBC1D4	-0.24075
RIG	0.116
GLUD1	-0.5615
HNRPCL1	0.0625
HBXIP	-0.5735
RNF207	-2.0235
APIP	-1.6285
PLA2G3	-1.9255
CCDC84	-1.828
MYLIP	-1.04476923076923
PHIP	0.2635
AARS2	-0.076
DHX32	0.37275
SCAPER	-0.677
MEN1	-0.087625
NIP7	-0.6565
FLJ25404	1.2865
FASTKD3	-0.70675
TMEM158	0.0683333333333333
RARA	1.5235
BDH1	0.708
ANKRD16	1.03675
CARM1	1.688
SS18	0.454833333333333
IKZF2	1.25191666666667
MYD88	0.000124999999999993
PML	1.1091
TAF1A	-0.94175
CBFB	-0.406875
HIST1H3H	-0.758333333333333
C7orf29	-0.6495
COMMD4	-1.251
DPP3	-0.6285
DAB2	1.18575
LOC388882	-0.658
YPEL4	-0.17425
AGBL3	2.746
LRP6	1.8702
SERPINH1	1.117
TLE1	1.23275
CD244	0.348333333333333
ZDHHC15	-1.67625
MGLL	0.1256
PLDN	-0.466833333333333
LOC654346	2.859
FAP	2.97975
GPR37	1.91633333333333
SCARA5	0.0241666666666666
EBF4	0.833818181818182
LSM6	-0.101
MLLT1	0.039875
SLC5A12	-0.66625
A2BP1	-1.685
COPS5	-0.998
TPM4	1.38185714285714
TNFSF4	1.545
ACADSB	-0.971555555555556
