Hybridization REF	TCGA-BH-A1ES-01A-11R-A137-07
ELOVL6	-0.567625
MDK	-0.3165
EPHX1	0.72325
RASSF2	0.4655
DKFZP434B0335	-0.451
DLX3	-0.366875
PRTN3	-0.39525
AVPR1A	-0.24875
C21orf125	-0.6895
TNFAIP8	-1.14833333333333
GNB2L1	0.05325
CALCRL	2.35775
SCGB2A2	6.06033333333333
UBXD7	-0.13375
ZNF674	-0.189
TMEM35	1.037375
BRSK2	-0.759625
HECTD3	0.402166666666667
TMEM188	-0.147
LGALS9	1.49725
SCARB2	0.345166666666667
USP34	-0.602083333333333
C17orf28	2.87016666666667
ZDHHC23	-0.075
AQP12B	0.3545
SLC16A3	-2.479625
APLP2	-0.00287500000000002
ITIH2	-5.21075
MICAL3	-1.256625
TNNI3K	2.4595
HDAC2	-0.27275
PRR7	-0.171
THBS2	1.18725
LOC751071	0.234
CA2	2.45316666666667
RANBP17	0.92475
RLN3	0.337
CRYZ	0.189666666666667
GBAS	0.448833333333333
TAS1R1	-0.179
MPZL3	0.3175
PCDH8	-1.961
HSP90B1	-0.90775
KCNK15	1.276
TNIP2	0.7895
GPR146	-0.3625
NOL6	-0.9565
SPC25	-2.32655555555556
STEAP2	0.843785714285714
VAMP3	0.280666666666667
TCIRG1	-1.78
ZP4	0.000166666666666644
PARL	0.170125
TRIM39	-0.0185
KIAA1305	0.43525
CRNN	0.245166666666667
GRN	-0.503
HSH2D	-1.79825
SCAMP1	0.0472499999999999
KIAA1913	1.06375
PTS	-0.4195
BANP	0.856928571428571
PRKACG	0.24675
ADCY6	0.714666666666667
C16orf46	0.7935
CYP51A1	-0.18025
DDC	-5.04475
ANPEP	-0.0338333333333333
PROM1	-1.134
SIGLEC10	1.32275
COPG	0.3925
FAM26E	2.0925
TRIP4	0.29725
SNX3	-0.0865
C1orf175	0.492
PPY2	0.4245
C14orf152	-0.397666666666667
FTSJ1	-0.253
DST	-0.02695
LOC554235	0.22175
GLRX5	-0.011
C20orf12	0.7362
CAB39	0.480833333333333
MSH2	-0.910333333333333
PIP4K2C	1.147375
CYLD	0.485375
WTAP	0.4160625
MGAT4A	2.44788888888889
TSC22D4	0.1156
CHRM2	-1.275
PPYR1	0.220833333333333
CCNH	-0.5785
RRM1	-0.40975
ECAT8	-3.3605
LOC400120	0.095
GABRA4	-0.05575
C14orf4	1.55633333333333
C1orf59	-0.609
CTDSPL	0.0455
NHEDC2	-1.2445
PDE11A	1.104375
KLHL29	-0.43775
CD5	-1.4687
TSPAN9	2.1780625
WDR67	-1.61225
THUMPD1	0.0825
C18orf17	-0.1825
CLYBL	-0.8255
FLJ13231	-0.59775
CMBL	0.11025
LECT2	-0.526
NKAPL	2.8455
LOC654780	0.75
OR4C6	-0.106
RAB30	-0.597666666666667
TSSK4	0.104
TMEM163	0.102
OSBPL11	-0.0608333333333333
GNB5	-0.698
CCL21	0.58975
C1orf121	-0.42
FMO2	2.448
RPTN	1.905
MSTN	1.658
VCL	0.0784285714285714
FYTTD1	0.4185
C11orf1	-0.59
CCDC88C	0.996625
HFE	-1.17566666666667
MOGAT1	-1.543
FAM125B	0.268333333333333
IRGQ	1.1845
RAVER2	0.087
AKAP5	-1.8605
SSSCA1	-0.6245
C11orf63	-0.01875
ACTG2	2.5363
PORCN	-0.6105
DTL	-1.42872727272727
TMEM151	0.5045
FAM122C	-0.69475
RSAD2	3.7356
BAT4	-0.721
KRTDAP	0.456
MYH8	-0.00487499999999997
CRTC3	0.02675
LRRFIP2	-0.1801
INTS4	-1.07383333333333
TTN	-2.35033333333333
SLC26A5	0.5595
PLLP	-0.51825
RGS6	-0.607
SRGAP3	0.59
ZNF525	0.886166666666667
NBR2	-0.525
C13orf1	0.8956
ZNF137	1.4655
CEP27	-1.76475
BEST2	0.3755
RNF121	-0.074
DMRTC2	0.38575
C8orf76	0.15475
BCCIP	-0.31375
MEST	0.825
HTRA2	-0.436
ANGPTL2	0.5575
ILKAP	-0.115666666666667
ERAS	0.4065
HBS1L	-0.138125
CPA5	0.9935
TMEM30A	0.0496666666666667
CD300LF	1.56216666666667
WISP3	3.661
CRK	0.258928571428571
PDS5A	-0.0367
BRPF3	0.463166666666667
NEDD9	-0.148625
SMPDL3B	1.129
PSG6	0.7995
PSMD13	0.49725
ETV5	-1.2534375
OR51A4	0.4115
BTBD7	0.378416666666667
GSTO1	-0.93075
hCG_16001	0.495
MAD2L1BP	-0.5265
COX6A2	0.0715
SCNN1A	1.79183333333333
LSM1	2.771
UGT2B11	-1.566
IDUA	0.94275
PPP2R3C	-0.357166666666667
COX11	-1.94183333333333
PDZK1	0.71475
ZNF443	1.38983333333333
MGC21874	1.59983333333333
ZNF323	1.2086
KRTAP10-10	0.5455
CXCL6	-0.8025
SLC34A2	0.9436
LOC284402	0.39
NPTN	0.465833333333333
UPP1	-1.86875
SLC6A9	0.31
OR7G3	0.29625
CISD1	-0.560833333333333
ZNF545	-1.3405
SYT14	-0.244
NT5C3L	-0.736666666666667
ZNHIT3	-0.0948333333333333
SNRPD3	-0.445
KIAA0701	-0.07425
UNC93B1	-0.0118333333333333
GMNN	-2.037625
SPCS2	0.206
LOC388524	-0.2285
NAPRT1	1.56325
PNLIPRP1	-0.28275
OR6V1	0.246
PRKAB1	0.2035
EYA4	-2.9855
KIF20A	-1.77325
ALG10	-0.052
ITPKC	1.3175
LMX1B	1.549
RPUSD4	-1.0265
C7orf34	0.348333333333333
DLGAP2	0.873125
PFN1	-0.5018
MICALL2	0.0990833333333333
ZNF654	-1.115
SS18L1	-0.418125
SLC16A8	0.3685
MKI67IP	0.0558333333333333
ITGB3	-0.713125
TCEA3	-0.484
CEP152	-2.7845
CLIP1	-0.104625
ZNF75	0.77325
ATP5C1	-0.348166666666667
NUDT5	-0.7475
PSCDBP	-1.345
UBP1	0.438
RBM27	-0.05075
C13orf15	1.987875
ZNF282	0.639333333333333
ZNF222	2.0777
COL10A1	4.70875
PRDM15	-0.629625
TTTY5	0.268
FAM9C	-0.552916666666667
C20orf67	0.48575
GNG13	0.635
F12	0.28125
C1orf41	-1.248
CPXCR1	-0.403
GSK3A	1.699
SUPT6H	0.8015
PI16	-1.8535
ELL2	-0.832166666666667
C9orf167	-1.41983333333333
PVRL3	-2.3707
FLJ38596	1.73625
ADAM20	0.30875
GPR89A	-0.174
GPR87	1.293
ZNF30	0.5965
SMR3B	0.412
ZNF770	-0.5915
TRPC4AP	-0.358
DKFZP686E2158	0.6095
C2orf28	-0.388166666666667
FREM1	-3.04316666666667
LAMA4	0.380666666666667
ADPRHL2	0.4555
EIF4G2	0.2205
GUCA1A	0.2595
CTNNA2	3.662875
NUDT15	-0.746166666666667
CEPT1	0.401
ZNFX1	-0.1987
CCDC92	1.4515
TDRD1	-1.1375
KCNK5	-1.98083333333333
ETNK1	0.302833333333333
LTA	0.3115
TTPA	-0.3965
B3GALNT2	-1.608875
SC65	-0.656833333333333
PEX5L	-2.416125
EPS15L1	0.521
MGEA5	0.3285
HIST1H3A	0.82325
ING1	0.886625
BCAT1	-3.003125
ORC6L	-1.68490909090909
KLK11	-4.36383333333333
C19orf28	-0.71
DNER	-1.038625
MED22	-0.967928571428571
ETV6	0.444333333333333
CHAC2	-1.53325
CD300E	0.3325
CEBPB	-0.70325
ZNF398	0.298
LRCH3	-0.2155
HMGA1	-2.04316666666667
CAPN7	-0.0406666666666667
MGC5566	-2.14775
CCL3	1.98828571428571
NANOS1	-0.713
ZFYVE19	0.54475
APITD1	-0.521833333333333
PARD3	0.59675
IRAK4	-0.0163333333333333
SERPINI2	-0.1715
CEP170L	-1.28775
TTC9	2.6675
MYOM3	-1.002
MLPH	1.84575
LOC222699	0.3585
NRG1	-1.6375
TBC1D9	2.83645454545455
TTK	-2.063
ZNF557	0.9467
DDX41	-0.1265
FANK1	3.2685
UBE2D2	0.50225
PSMB10	0.06075
MYH7B	0.928
GABARAPL2	0.72675
MARVELD2	1.9655
DGCR2	0.465
UNC45A	0.196333333333333
C6orf72	-0.0935
ZNF683	2.93175
GIT2	-0.263
CASK	3.3155
C14orf161	3.797
LRRC44	-1.5245
TIFA	0.093375
UTP11L	-0.245
C6orf65	-0.64825
FDPS	-0.52025
DUSP9	-1.7242
SLC17A8	3.55366666666667
OR51G1	0.288833333333333
NANS	-1.417
OLFML1	1.8065
ATP10B	-0.990875
NPAS3	0.03
PRKCA	-2.4116
GGA2	-0.244
LCE4A	0.849
SPANXN3	-0.66775
CCDC115	1.512375
SDCCAG3	-1.279
GLIPR1L1	0.03325
TTC1	-0.2195
C17orf76	1.2655
MAD2L2	-0.474
HIPK1	-0.094
LRRC3B	-0.273
CLN3	0.180363636363636
C17orf47	0.4665
FMN2	-1.9405
TUBB1	-1.87725
WAPAL	0.123166666666667
C3orf21	-0.301375
SCN5A	0.0499
SMYD1	1.71675
BEX5	1.60975
ZNF192	-0.6975
SEC22A	-0.1235
GRIA2	0.931142857142857
KIAA0825	-0.824
NUSAP1	-1.87536363636364
LANCL1	-0.66275
C15orf40	-0.8263
ZNF645	0.301625
GPR61	0.15
NLRP14	0.432
SNX21	-0.0727
C1QTNF8	-0.0585
C17orf46	0.13275
IFNA8	-0.4625
SPRR1B	-1.78066666666667
FLRT1	-1.46025
SNX17	-0.128666666666667
ASB2	-1.33933333333333
HBG1	-4.73
RPRML	-2.1255
JOSD2	1.2735
PLSCR3	0.28225
SPOCD1	0.348
RAB39	-1.683
GHRH	-0.3065
ITIH5L	1.36425
C17orf37	0.531
SMCR8	0.224
DPY19L2P3	-0.253833333333333
IL11RA	0.3235
GDF3	-3.77766666666667
RPS6KB1	-1.81433333333333
DNAJC19	-0.0497
TOP1	-0.084
CRCT1	-0.140875
MPST	-0.131125
DPM2	-0.26775
FAM38B	-2.40583333333333
SLC18A1	-2.4575
FARP1	0.826
PAX7	0.01025
TUBD1	-2.431
GNL3	0.097125
BTG2	1.6766
NDUFS6	-0.4595
C1orf79	0.07175
ERAL1	0.4175
ECHS1	0.45075
VPS4A	0.121166666666667
CYP11A1	-0.55075
ABCC6	-2.1565
PBX4	-1.329
MOSC1	-2.765
NCF4	-0.2355
HYMAI	0.404
NAGPA	-0.408875
OTOP2	0.3755
ACOT12	0.2575
MTHFD2L	0.9255
LOC441376	0.19325
C19orf34	0.0555
RAB1B	-0.36675
ALDOAP2	-0.58
NTRK1	-1.9385
ARTS-1	0.5226
SLC6A11	-0.262
NAP1L2	-1.16125
CNGB1	-0.0578333333333333
EPB41L4B	-1.71991666666667
FAM134B	2.156625
HS3ST3A1	-0.74
CPXM2	2.607
SIRPB2	-0.0925
CHORDC1	-1.13266666666667
TRIB3	0.151
SLC2A5	-0.14425
C2orf49	-1.11083333333333
DDX5	0.5345
OR5L1	1.264
ANAPC4	-0.0395
ZSWIM1	0.38875
LOC93622	0.433
KCNK3	-0.6354
RP11-35N6.1	-2.473625
ZFP161	0.4985
AQP9	0.36
SLC15A2	-1.43216666666667
MREG	1.198
OR9I1	0.3375
PDLIM2	0.31825
ADAM7	0.4545
GSTCD	-1.286
WDR21A	-0.279125
SLC12A8	0.404166666666667
TMEM174	0.12075
IGSF3	0.319416666666667
LRRN1	0.69125
LOC402117	-0.678
SRPK1	-1.02133333333333
LY6K	-1.9803125
NFIA	0.6525
PTCD3	-0.53275
LEP	-0.150333333333333
PCDH21	-0.584
MAPKAPK2	0.3995
NMNAT1	-0.316
LHFPL2	-0.029625
C9orf43	0.292
DIP2A	-0.732
ACTR8	0.369125
CCDC34	-0.3965
PTPN22	-2.147375
ITGA3	0.456375
FAM129C	0.35275
RABGGTA	0.7705
UNC45B	-0.073
KIAA1033	-0.3545
ZNF510	-0.0953333333333333
CYP2D6	-0.289
SLC26A10	-0.227
STX8	0.09025
LUZP1	0.4205
WDR89	-0.0943333333333333
EIF4G3	-0.5339
C5AR1	0.08025
ZNF623	1.6335
A2M	0.53425
TGM7	0.54
GRPEL1	-0.508166666666667
LMNB2	-0.9124
ROCK2	-0.318166666666667
SNX16	0.71175
CCDC66	0.94075
ANXA3	0.83375
KIAA1609	0.29925
EED	-1.33675
RNF32	1.32333333333333
HES1	1.4408
CLC	0.6045
ISL1	0.539
KIAA0528	0.297375
MANEA	-1.0125
C1orf61	-1.9445
hCG_2001000	0.7445
RAPGEF6	-0.4886
KIAA0020	-1.622
NEIL1	0.61225
C16orf45	0.276375
RBM10	-0.183166666666667
C10orf125	-1.61875
MRS2L	-0.9865
DNAH17	-0.88675
C19orf10	-0.65425
C1orf160	0.82175
SLFN12	-0.254
EXOC3	-0.797333333333333
HIST3H3	1.4205
NCOR2	0.603833333333333
TNFRSF9	-0.60175
MFSD8	0.604
ALX1	-4.50483333333333
NOL1	-0.9595
PODN	2.85425
TIAL1	-0.93875
HIST1H1E	0.5865
NPY6R	0.414
TM4SF4	0.85525
CORO2A	-0.33375
ETNK2	1.80183333333333
APOE	-0.4122
ANGPT4	0.1105
HDGF2	0.248
G30	-0.137
ST8SIA4	-1.185875
F2RL1	0.355
FAM19A4	-1.84275
CCAR1	-0.063
B3GNT7	0.13075
OPHN1	0.3939
DSCR6	0.293
C21orf13	0.942166666666667
GAS2L1	-0.00658333333333333
RFX3	-0.812
COPS4	0.263125
BCHE	-4.5925
BCL2	2.897375
HBZ	-2.864
ARL13B	-0.554
MAPBPIP	0.281625
MYO15B	1.786375
SPZ1	-1.37466666666667
KIAA1324	3.02322222222222
PLCL2	-0.779375
C4orf29	-1.165
WDFY2	-1.072375
ZNF284	-0.207
NAALADL1	0.891
DUSP5	1.57133333333333
PXDN	0.919
SLMO1	0.5005
TNXB	0.2327
BIRC7	-1.11875
A4GALT	0.548166666666667
TIMM22	0.00700000000000001
FAM110C	1.45475
TOMM34	-0.725
ABHD9	0.046
ADAM32	3.3355
CRHBP	-0.78375
AQP2	0.47375
LOC130355	1.221
ZNF187	0.494
ZNF816A	1.1495
F7	-0.324125
CNOT1	-0.2656
SLC13A4	-0.6595
ZBTB11	-0.137
B3GALT5	0.59125
EXOC2	0.9885
IRS1	1.847
TMEM1	0.276666666666667
MRPL34	-0.243166666666667
SAMM50	-1.0255
CDC42EP3	0.046375
HSF2	-0.83
MFN2	0.73
TSPAN7	-2.57066666666667
NUCB1	0.192
RHOH	-0.714
ARL16	-0.061
TACR1	0.084
SFRS5	0.386166666666667
SNX25	-0.232375
RHBDF1	0.975666666666667
PCDH18	1.3525
HMG1L1	-0.6465
MYO5C	0.976875
MAPK10	1.552
LDHAL6A	0.308
NUDT12	1.248
NCAM1	-0.112875
GLIS2	1.343
GGTL4	-0.899
DAPP1	-1.40675
ATF7	0.569875
KIAA0748	-2.168
NFIL3	-2.088
TM6SF1	0.2979
SEZ6	0.39375
NANOS3	1.16183333333333
DNAJA3	-0.165333333333333
CLDN6	-2.045
CIITA	1.8478
EPHA4	-1.36041666666667
FANCC	-0.31875
CMTM3	0.95425
PSG3	0.72
MRPL15	-0.44375
C21orf59	-0.385
PLCXD2	-0.44725
C2orf34	-0.446875
UBE2L6	0.34925
MED14	0.2115
HP1BP3	-0.4565
C6orf208	0.3225
TPBG	2.003
OSR2	-0.225625
XPC	0.191
KLHL7	-0.745
CCR3	0.128833333333333
AGTPBP1	-0.858
PCSK6	-1.33406666666667
STAT5A	-1.7864
FAM18B	0.05725
LONRF2	0.4585
PTPN2	-0.485
SF3A3	-0.924
EFCBP2	-0.282
HCFC1	-0.400833333333333
AHNAK	-0.10215
ACTR5	-0.1655
KIF14	-3.21042857142857
TENC1	0.537
HEATR5B	0.97
YIPF2	0.7515
MYEOV2	0.8455
DUSP18	0.79775
KIAA1012	0.35075
AHR	0.725666666666667
C17orf53	-1.74883333333333
PTPRH	-1.41475
ATP6V1C1	0.7226
TAS2R3	-0.3345
LOC440356	0.06175
COQ10B	0.74425
PSMF1	0.387
SORBS2	1.47333333333333
NFE2L2	-0.28975
TMCO7	1.06525
SH3PXD2A	0.2259
SH2D2A	-2.08275
SPINK5	-3.8935
MRPS24	-1.08975
OPA3	0.7565
TRAF7	0.366333333333333
C4orf35	0.6135
MT1G	0.206
MGC39545	0.0113333333333333
HS1BP3	0.0793
OR2B2	0.237
CHRM4	-0.246
SFRP2	3.43883333333333
RIC3	3.35725
ART1	0.2465
C6orf1	0.795375
DUS4L	-0.8305
C10orf104	0.38575
TNFAIP6	3.2795
RTEL1	-0.02125
CCT4	-0.688
ZNF709	0.54875
CHMP6	0.765833333333333
UPP2	1.6175
CYP19A1	-3.5485
CD151	0.419166666666667
NDUFA13	-0.296666666666667
ARFRP1	-0.345166666666667
FAM26B	2.55025
CRYBA1	-2.131
MRPL41	-0.557333333333333
NPFFR2	-0.03375
HRH2	0.4945
SCAMP3	-0.267
MTMR6	0.631
MTG1	-0.728333333333333
UBTD1	1.29775
CRABP1	-2.654
FLJ33790	0.824
KIAA1908	0.026
GPR158	-0.7185
PACSIN3	-0.430333333333333
OMD	4.3835
CATSPER1	-0.742333333333333
HOXB8	-1.8975
FBXO46	1.696
OAS1	1.46
SVIL	0.518
PHB2	-0.35575
ADCY3	-0.2055
NDRG2	0.849
ERMAP	1.5714
APBA2	-0.161
IGSF9	1.70125
WNT6	-0.0955
MYCBPAP	-0.143
ATP2B2	-0.043
CPVL	-2.8318
TRAM2	-0.785916666666667
NOP5/NOP58	-0.95575
ZNRF4	0.04525
TLK1	0.610875
MTMR12	0.0302142857142857
ZNF384	0.131
FAM9B	-3.4895
RPN1	0.4309
PMVK	1.10625
EIF3D	-0.4529
SIX2	-1.0215
HPS1	0.894285714285714
RNF7	0.75975
PSKH2	0.2995
KCTD13	0.767166666666667
CSMD3	-0.1289
FBF1	0.00850000000000001
IL8	-5.30425
SERPINB13	0.0465
FBXL20	-0.4585
BLR1	0.623
SH2B1	0.796
RFNG	0.4275
RAB20	-0.285
RBM7	-0.82025
POLR1A	-0.203666666666667
TMPRSS4	-0.44075
TAF9	-0.684375
TERF2	0.427166666666667
TNFRSF1A	0.36025
ACADVL	-0.303333333333333
GTF2H5	-0.3105
EDG8	-0.00466666666666667
C9orf140	-1.009
UST6	-0.5675
ZBTB8OS	-0.529
ZNF710	0.3175
GPR174	-2.3725
ATP6V0A2	0.4275
KIAA0319L	-1.01208333333333
XKRX	0.633
DOPEY2	0.7695
SDHD	-1.07016666666667
SUMF1	1.26
OSM	2.868
OPN3	-0.96625
DAGLB	-0.0085
PPFIBP1	-0.2732
TRIM63	-3.648
C10orf53	0.6505
LYPD3	2.1125
BCL7A	0.28225
AGER	-0.854666666666667
TCF19	-0.897125
SAT2	-0.2785
PFTK1	0.342166666666667
GABRE	-1.844625
C15orf38	-0.6684
FIS1	0.502
KCNV2	0.4695
CLPS	0.35175
PPCDC	-0.692625
FOXN2	-1.50133333333333
NT5E	-2.1332
CD83	-0.166
IL18	-1.686625
VPS16	0.459
IGFBP2	0.00266666666666669
NOTCH2	0.1235
SIGLEC1	3.09014285714286
CD93	4.513
SULF2	2.09575
CEP164	-0.261875
P53AIP1	1.1455
TOR2A	-0.247166666666667
ZNF136	0.44725
MGP	1.8252
CCDC144A	-1.54033333333333
TRPC1	0.0568333333333333
SMS	-0.3865
MAPK7	-0.531166666666667
RRAGC	0.68225
PARD6A	1.205
NUB1	0.716666666666667
SYNGR4	-0.24775
OR11H12	0.4305
WIF1	0.087125
GCH1	0.60975
OR11H4	0.13
SLC44A5	-1.4165
GPRIN2	0.120833333333333
LOC401431	1.05725
CPA4	0.481
MELK	-1.59922222222222
IL15RA	-0.34175
CUL3	0.874375
HMBOX1	-0.39775
PODXL	-1.42175
CCT6B	1.2125
COMTD1	-0.24875
MUC20	-0.614333333333333
GPX2	-2.969
ITK	-2.375625
FBXL5	1.655
C13orf27	-0.78475
DEFA5	0.05
TRHDE	-0.4105
MTP18	-1.02316666666667
UQCRQ	-0.4275
ITGB2	0.10825
CSRP2BP	0.48875
TAS2R44	-0.0235
PHPT1	-0.65925
FAM44C	0.1585
ERH	-0.20125
MPHOSPH1	-1.33466666666667
MORC1	-0.628
PARVB	-1.378
LAMA1	-1.53325
PGBD3	-0.13875
GIMAP6	3.16
AREG	3.51733333333333
LIPT1	-0.15625
MGC99813	-0.367
C1orf201	-0.190333333333333
GRIN2A	-1.008
MAN2C1	-0.42
NSUN5	-0.04025
SF3B5	-0.049
MYC	-1.978125
NRXN1	-1.37066666666667
ZNF18	0.235
SPDYA	-0.38825
SLC37A1	1.058
DECR2	-0.10525
ANKRD38	1.687
SPTLC3	-1.75641666666667
SUPT16H	-0.807875
DTWD2	-0.32875
ULBP1	-0.9345
ZADH1	-0.152666666666667
OIP5	-2.48075
IL10RB	-0.318166666666667
OTUB2	-0.13775
VWA3A	-0.000166666666666678
SPIC	-0.144833333333333
OR6C4	0.336
PSCD4	0.089
DPY19L2P2	-0.495
TRAPPC6A	1.79933333333333
C21orf2	0.363
CEMP1	0.615
LIN7B	0.2385
E2F7	-1.33766666666667
VCP	-0.494
LAMA3	2.62208333333333
BGN	2.0895
GPR160	0.951166666666667
COCH	0.115666666666667
GPR81	3.04083333333333
APOBEC3F	-1.57025
tcag7.1017	-0.25675
C1orf32	0.4045
SCGB1D2	3.467
FLJ43987	-0.331
C6orf170	-0.24475
KLK9	0.381
GPD1L	1.12125
VPS37B	-0.11025
ATG3	-0.0311666666666667
ADAMTS17	-0.308
KLHDC2	0.342666666666667
NDUFV2	-0.2
BLK	-3.17475
MATN4	-0.863
GPM6A	2.652375
GBP4	0.739833333333333
TMEM162	0.457666666666667
PKP2	-0.759
HRASLS	0.170111111111111
MMP1	-1.96225
SFXN3	0.7251
FSD1	-1.07516666666667
ST6GALNAC3	-2.53183333333333
CA12	2.6949
NCOA6	0.713
C19orf58	0.9562
PPP4R1	0.412
MAN1A2	0.179166666666667
IKBKAP	-1.5535
UPF1	0.611166666666667
KIAA1219	0.88325
WNT16	-0.4394
SNW1	0.294375
IL18RAP	1.22025
RPP30	0.021125
CDC40	-0.0604285714285714
SETD3	0.015
SLAMF6	-0.97025
ELK4	-1.442
TRIM47	0.967666666666667
ACOX3	0.86525
TRIM6	-0.167
KIAA0372	-0.510333333333333
TP53AP1	1.48425
SMURF2	-0.76375
ADAD1	0.406
EBP	-0.3153
KRTAP13-2	0.015
FLJ36874	-1.53783333333333
TOR1A	-0.458166666666667
P2RY4	0.3205
GPBP1	-0.1455
TRPV1	0.633375
ADAMTS12	0.686666666666667
PES1	-0.8747
ATG4A	0.526833333333333
MAGEA10	-4.47175
WFS1	2.163
CC2D1B	-0.554
PABPN1	-0.37325
SLC25A30	0.79025
SLCO1C1	0.0178333333333333
SLC22A5	1.21825
KIF23	-1.569
SYN2	-0.740333333333333
ASPN	7.518
CENTG2	-0.082
QSOX2	-2.0888
FLJ10815	0.231
STK24	0.431
SPEG	0.9733
STK10	-0.0561666666666667
DACT2	-1.0735
AAAS	-0.43475
SSX3	-1.452
ABCD3	0.711
C4orf12	0.835625
PARVG	-0.0631666666666667
FIG4	1.25125
C9orf46	1.1975
TMCO6	-0.295
IGHMBP2	0.28825
DUS2L	-0.1835
FAM3C	-0.0328125
TMEM16D	-2.631375
DCTN4	1.0595
KCNH3	1.01275
EIF2AK2	-0.37825
AP1S3	-0.225
CST4	2.296
PAM	0.4134375
NUTF2	0.17325
CITED2	-0.9182
SLC39A4	0.0895
C2orf52	-1.165
GRM3	-0.4345
C12orf49	0.0925
CCDC49	-0.6671
GRAMD1B	-1.78925
FNDC4	0.9275
SIAH2	-1.154625
GDPD4	0.26225
C21orf87	0.5125
ATP5A1	0.268333333333333
C16orf63	-0.4295
LOC388135	-0.55
ATP5J2	-0.6295
MMP3	-0.0485
EMID2	-0.27725
CRHR1	0.488
WDR70	-0.2425
C13orf31	0.53225
ZFAND1	0.241
CCL18	1.68566666666667
C3orf49	0.343
RINT1	-0.707
KIAA0408	-1.74916666666667
F13A1	5.0241
SLC10A1	-0.113333333333333
OGN	2.8785
GIPC2	-2.70966666666667
XPO6	-0.631166666666667
LCE1A	0.423
FMR1	-0.6162
LOC374920	-0.425
DUSP3	-0.279375
ANKMY1	0.93275
C7orf50	0.10125
BBS9	-0.4185
UNC119B	-0.159875
C9orf72	-0.333625
MGC35440	0.0495
ENTPD6	-0.223875
PPP1R2P9	1.68175
ERCC4	0.19675
FAHD2B	-0.4505
HMHA1	-1.078
HACL1	-1.08025
RAD23A	-0.978833333333333
FAM83B	-1.567
PPP5C	-0.517166666666667
RNASEH2C	-1.12475
C9orf153	-1.33
SCAMP4	0.854
GHITM	0.118
NDUFB7	-0.233125
ADCYAP1	-0.8055
SP110	1.06333333333333
MAP3K7IP2	0.643
DHH	0.33
AGRN	0.9515
WDR33	-0.105166666666667
CEP290	-2.02683333333333
PRPS1L1	-2.32916666666667
KLRA1	0.155
GPR97	0.0055
CHD7	-2.36441666666667
TLR10	0.71225
SLC30A8	-1.577
HIC1	1.28233333333333
IAPP	-0.1495
RXFP4	0.21225
GP1BB	0.127
SHQ1	0.032
NKX2-3	0.204
API5	-0.28125
FTHP1	-0.807
MOV10L1	0.578833333333333
TRIM6-TRIM34	0.473
ADHFE1	1.4355
FAM117A	-0.717
DDI1	-0.028
CDON	1.2265
TRIM73	-0.501
IGKC	2.092
MMP14	0.474333333333333
DYNC1LI1	-0.016
C11orf66	0.955
TRBV3-1	-0.7745
FASTKD5	-0.3995
BIVM	-1.12425
LHX4	-0.506
CXCL2	-3.0852
RAB2B	1.39533333333333
IZUMO1	-0.8395
MAP3K15	-2.4175
FAM19A2	2.107
ZC3H8	0.423833333333333
ZMAT1	1.714375
SPINK5L3	-2.2935
SLC10A6	0.8035
APPL2	0.350625
CARD10	-0.758666666666667
LOC402176	-0.59325
EEF1D	1.696
RAB6A	0.2727
C12orf5	-0.1205
PAPOLG	0.199
MSRB2	0.49125
BCR	0.158555555555556
PUS3	-1.0485
TIAM2	2.13525
ZNF317	0.302166666666667
CHD2	0.156785714285714
FZD5	-1.27659090909091
NUDT8	-2.168
ZNF763	0.5765
PRC1	-1.81366666666667
ABCB9	0.16
SPATA3	0.01625
TRAK2	0.045125
STAB1	2.44725
LRRTM2	0.1185
psiTPTE22	0.136
DBI	-0.27625
SERPINA11	-0.978
NAT5	0.481
C20orf58	-1.57425
RPS6KA4	-0.104833333333333
FLJ90650	-0.6735
TGFBRAP1	-0.01225
CHRDL2	1.26825
FAHD2A	-0.708833333333333
CNTN1	0.566
BBS4	-0.8504
TMEM181	0.44975
MINPP1	-0.6735
MPHOSPH6	0.237916666666667
HOXC10	-1.4574
ITPKB	0.237375
CLPTM1L	-0.33725
MEOX2	-2.51633333333333
ATP6V0C	1.115875
PRPF8	-0.785166666666667
TMC5	2.991
FKBP3	0.08675
PLEKHB2	-0.97075
OR4D6	0.269
ZNF544	0.8112
D2HGDH	-0.469375
RPL18A	-0.3569
HEL308	0.212125
MPP6	-3.25975
TCERG1	-1.141
KRT16	0.36
KLF17	-1.81325
KLF5	0.11225
CDR1	1.5565
VCX3A	-2.9135
FBLN2	1.64375
C14orf104	0.104
HBE1	-4.5959
OR4S2	-0.5535
C1orf108	-0.8865
ROBO4	2.82233333333333
CPEB4	0.798875
C11orf80	0.302
BCKDHA	1.41966666666667
MYOC	-0.322
GIF	-0.1565
CKMT1A	0.908
RPL3	0.5663
THBS1	2.466125
APOO	-1.33325
ARMCX1	3.7905
HSZFP36	1.55175
SNAPC5	-0.64275
EIF4ENIF1	0.436
ZNF433	1.17425
TNFRSF21	-1.489
TMPRSS7	-0.9905
SPATA18	2.2599
HPDL	-2.324
MKL2	1.9377
TBX3	3.16723076923077
C21orf93	0.573333333333333
DAXX	0.7085
ELMO1	-0.780125
RGS13	0.445666666666667
TAF11	-1.12
UNC13A	-2.115
LOC653314	-0.2099
ORC3L	-0.68425
IMAA	-2.852
TARBP2	0.08075
CABIN1	-0.688
