Hybridization REF	TCGA-BH-A0C3-01A-21R-A12P-07
SMYD1	-0.168
BEX5	1.1155
ZNF192	-0.7495
SEC22A	0.185666666666667
GRIA2	-0.164090909090909
KIAA0825	-0.106
NUSAP1	-1.93190909090909
LANCL1	0.0075
C15orf40	-0.1529
ZNF645	0.75875
GPR61	0.05175
NLRP14	-0.091
SNX21	0.1553
C1QTNF8	0.186
C17orf46	0.23875
IFNA8	-0.263
SPRR1B	-1.91516666666667
FLRT1	-0.967
SNX17	1.051
ASB2	0.2725
HBG1	-5.036
RPRML	-1.7425
JOSD2	0.287833333333333
PLSCR3	0.26425
SPOCD1	-1.76983333333333
RAB39	-0.823
GHRH	1.20316666666667
ITIH5L	0.15275
C17orf37	0.52875
SMCR8	0.25275
DPY19L2P3	-0.894166666666667
IL11RA	1.60016666666667
GDF3	-4.28483333333333
RPS6KB1	-0.619583333333333
DNAJC19	0.0685
TOP1	-0.4795
CRCT1	0.131875
MPST	0.20675
DPM2	-0.252
FAM38B	-0.236833333333333
SLC18A1	-1.89266666666667
FARP1	-0.239333333333333
PAX7	-0.1015
TUBD1	-1.2145
GNL3	-0.462375
BTG2	0.905933333333333
NDUFS6	-0.369
C1orf79	-1.25425
ERAL1	-0.41475
ECHS1	1.22425
VPS4A	-0.501333333333333
CYP11A1	-0.45875
ABCC6	-0.877357142857143
PBX4	-1.688
MOSC1	1.50975
NCF4	1.91
HYMAI	2.4605
NAGPA	0.462625
OTOP2	0.0435
ACOT12	0.02625
MTHFD2L	0.106
LOC441376	-0.1475
C19orf34	-0.744
RAB1B	0.01275
ALDOAP2	0.0765
NTRK1	-1.25666666666667
ARTS-1	1.1528
SLC6A11	0.254
NAP1L2	0.306
CNGB1	0.0586666666666666
EPB41L4B	1.674
FAM134B	1.808
HS3ST3A1	-1.71383333333333
CPXM2	5.2845
SIRPB2	-0.3985
CHORDC1	-1.51933333333333
TRIB3	-0.666666666666667
SLC2A5	0.77625
C2orf49	-0.2135
DDX5	0.3235
OR5L1	-0.4175
ANAPC4	-0.214833333333333
ZSWIM1	0.014
LOC93622	0.446375
KCNK3	-0.3427
RP11-35N6.1	-2.105
ZFP161	0.681833333333333
AQP9	2.16225
SLC15A2	-1.11016666666667
MREG	0.779
OR9I1	0.5655
PDLIM2	0.70525
ADAM7	-0.152
GSTCD	-0.920333333333333
WDR21A	-0.22925
SLC12A8	0.0663333333333333
TMEM174	0.2945
IGSF3	0.0435833333333333
LRRN1	-0.60325
LOC402117	0.00825
SRPK1	-1.13183333333333
LY6K	-1.3245
NFIA	2.401
PTCD3	-0.101875
LEP	3.12466666666667
PCDH21	-1.13316666666667
MAPKAPK2	1.26664285714286
NMNAT1	-1.14033333333333
LHFPL2	0.752125
C9orf43	0.22275
DIP2A	-0.380166666666667
ACTR8	0.127125
CCDC34	-1.3215
PTPN22	-0.76525
ITGA3	-1.007625
FAM129C	1.0145
RABGGTA	0.4315
UNC45B	0.8325
KIAA1033	0.07975
ZNF510	0.185
CYP2D6	-0.5215
SLC26A10	-1.297
STX8	0.5745
LUZP1	0.239375
WDR89	-0.151833333333333
EIF4G3	0.6891
C5AR1	0.972
ZNF623	0.536
A2M	1.74975
TGM7	0.562
GRPEL1	-0.117833333333333
LMNB2	-1.5145
ROCK2	0.406166666666667
SNX16	0.076125
CCDC66	0.347
ANXA3	-1.1715
KIAA1609	-0.450375
EED	-1.11075
RNF32	-0.541666666666667
HES1	-0.708
CLC	0.988
ISL1	0.788833333333333
KIAA0528	-0.58475
MANEA	0.500875
C1orf61	-2.4525
hCG_2001000	0.14225
RAPGEF6	-0.1783
KIAA0020	-0.716166666666667
NEIL1	1.1325
C16orf45	-0.726875
RBM10	-0.636
C10orf125	-0.68
MRS2L	-0.47025
DNAH17	-0.74
C19orf10	-0.28275
C1orf160	0.0835
SLFN12	1.451
EXOC3	-0.5085
HIST3H3	0.56025
NCOR2	-0.151833333333333
TNFRSF9	0.45225
MFSD8	1.38225
ALX1	-4.1568
NOL1	-0.914
PODN	2.9375
TIAL1	-0.72825
HIST1H1E	0.99375
NPY6R	0.12325
TM4SF4	0.6665
CORO2A	-1.7015
ETNK2	1.603
APOE	1.3503
ANGPT4	-0.1095
HDGF2	0.3265
G30	0.12
ST8SIA4	0.18225
F2RL1	-0.124375
FAM19A4	-4.06375
CCAR1	-0.07875
B3GNT7	0.2565
OPHN1	-0.16
DSCR6	0.7045
C21orf13	0.484166666666667
GAS2L1	0.251583333333333
RFX3	-0.374166666666667
COPS4	0.21
BCHE	-3.1685
BCL2	2.465625
HBZ	-3.45266666666667
ARL13B	0.242625
MAPBPIP	1.397
MYO15B	0.224875
SPZ1	0.666
KIAA1324	1.26222222222222
PLCL2	0.707375
C4orf29	-0.247
WDFY2	0.084125
ZNF284	-0.9425
NAALADL1	0.847
DUSP5	0.432
PXDN	1.107375
SLMO1	-0.861
TNXB	1.0189
BIRC7	-0.53025
A4GALT	1.45833333333333
TIMM22	0.024
FAM110C	1.5565
TOMM34	-0.914
ABHD9	-0.32
ADAM32	0.339
CRHBP	2.4975
AQP2	0.230625
LOC130355	0.79525
ZNF187	0.0323333333333333
ZNF816A	0.4685
F7	0.29425
CNOT1	-0.7982
SLC13A4	-1.1405
ZBTB11	-0.25925
B3GALT5	-0.1345
EXOC2	-0.222
IRS1	1.3382
TMEM1	0.00750000000000001
MRPL34	-0.1755
SAMM50	-0.28475
CDC42EP3	0.0955
HSF2	-0.6724
MFN2	0.33375
TSPAN7	0.8365
NUCB1	0.520083333333333
RHOH	-1.5625
ARL16	0.326
TACR1	-0.08225
SFRS5	-0.133333333333333
SNX25	0.442
RHBDF1	0.7785
PCDH18	3.45233333333333
HMG1L1	-0.01425
MYO5C	0.020875
MAPK10	1.1345
LDHAL6A	0.339666666666667
NUDT12	1.05866666666667
NCAM1	0.180625
GLIS2	0.399
GGTL4	-0.5115
DAPP1	0.79875
ATF7	0.713125
KIAA0748	-0.29
NFIL3	-1.12
TM6SF1	0.4204
SEZ6	0.018125
NANOS3	-0.639
DNAJA3	0.379333333333333
CLDN6	-2.2775
CIITA	2.8327
EPHA4	-0.991666666666666
FANCC	-1.11425
CMTM3	0.624875
PSG3	0.115125
MRPL15	-0.59225
C21orf59	-0.4275
PLCXD2	0.02025
C2orf34	-0.221625
UBE2L6	1.03475
MED14	-0.0268333333333333
HP1BP3	0.3953
C6orf208	-0.078
TPBG	0.883
OSR2	1.45425
XPC	-0.197666666666667
KLHL7	-1.00641666666667
CCR3	-0.127166666666667
AGTPBP1	-0.846833333333333
PCSK6	-0.0266666666666667
STAT5A	-0.1668
FAM18B	2.05
LONRF2	-0.622666666666667
PTPN2	-0.54025
SF3A3	-1.08816666666667
EFCBP2	0.1145
HCFC1	-0.430333333333333
AHNAK	-0.1265
ACTR5	-0.16325
KIF14	-2.13414285714286
TENC1	2.3055
HEATR5B	0.6375
YIPF2	0.4525
MYEOV2	0.871
DUSP18	0.6535
KIAA1012	-0.48675
AHR	0.0478333333333333
C17orf53	-0.724666666666667
PTPRH	-3.11125
ATP6V1C1	0.1648
TAS2R3	0.3735
LOC440356	1.26625
COQ10B	0.84225
PSMF1	0.30875
SORBS2	0.951416666666667
NFE2L2	-0.277
TMCO7	-0.602
SH3PXD2A	-0.214
SH2D2A	-0.90975
SPINK5	-2.72375
MRPS24	-0.9915
OPA3	0.575
TRAF7	1.5475
C4orf35	-0.5505
MT1G	-1.98975
MGC39545	0.0826666666666667
HS1BP3	0.5258
OR2B2	0.2695
CHRM4	-0.2385
SFRP2	3.81641666666667
RIC3	1.52925
ART1	0.751
C6orf1	0.3045
DUS4L	-0.526
C10orf104	0.52625
TNFAIP6	2.8845
RTEL1	-0.794
CCT4	-0.7064
ZNF709	-0.268
CHMP6	0.0556666666666667
UPP2	0.32475
CYP19A1	-2.676625
CD151	-0.9905
NDUFA13	0.339833333333333
ARFRP1	-0.338333333333333
FAM26B	1.874
CRYBA1	-2.078
MRPL41	0.256166666666667
NPFFR2	-0.659875
HRH2	0.363
SCAMP3	0.886666666666667
MTMR6	0.4845
MTG1	-0.659
UBTD1	1.44575
CRABP1	-3.1165
FLJ33790	-0.9748
KIAA1908	-0.707166666666667
GPR158	0.60725
PACSIN3	-0.3645
OMD	4.17983333333333
CATSPER1	-0.295833333333333
HOXB8	-0.779875
FBXO46	0.18
OAS1	2.51533333333333
SVIL	1.22125
PHB2	-0.73325
ADCY3	0.5145
NDRG2	1.56383333333333
ERMAP	0.606
APBA2	-0.9565
IGSF9	0.86975
WNT6	-0.135928571428571
MYCBPAP	-0.33825
ATP2B2	-0.3105
CPVL	0.00250000000000001
TRAM2	-0.902166666666667
NOP5/NOP58	-1.06125
ZNRF4	0.35525
TLK1	0.43475
MTMR12	0.522642857142857
ZNF384	-0.136833333333333
FAM9B	-2.86275
RPN1	0.4968
PMVK	1.63925
EIF3D	-0.4853
SIX2	-0.1885
HPS1	0.648928571428572
RNF7	0.9355
PSKH2	-0.3085
KCTD13	0.860833333333333
CSMD3	-0.1695
FBF1	-0.3405
IL8	-4.133875
SERPINB13	-0.179333333333333
FBXL20	0.04875
BLR1	0.37725
SH2B1	0.1345
RFNG	0.602875
RAB20	0.345666666666667
RBM7	-0.38
POLR1A	-0.488333333333333
TMPRSS4	0.574
TAF9	-0.355125
TERF2	-0.188333333333333
TNFRSF1A	0.65075
ACADVL	-0.640166666666667
GTF2H5	-0.388
EDG8	0.312833333333333
C9orf140	-0.72325
UST6	0.285333333333333
ZBTB8OS	-0.3475
ZNF710	0.161
GPR174	0.188
ATP6V0A2	-0.53775
KIAA0319L	-0.194166666666667
XKRX	0.083
DOPEY2	0.2037
SDHD	-0.45725
SUMF1	1.3595
OSM	1.85875
OPN3	-1.42875
DAGLB	0.240333333333333
PPFIBP1	0.307
TRIM63	-2.2835
C10orf53	0.977
LYPD3	-0.0641666666666667
BCL7A	-0.26125
AGER	-1.3465
TCF19	-0.707
SAT2	0.43475
PFTK1	-0.462833333333333
GABRE	-0.7395
C15orf38	0.8618
FIS1	0.6985
KCNV2	-0.03975
CLPS	0.11475
PPCDC	-0.656125
FOXN2	-0.371833333333333
NT5E	-1.7498
CD83	0.584
IL18	0.915
VPS16	0.312
IGFBP2	-0.681666666666667
NOTCH2	0.5525
SIGLEC1	3.1585
CD93	5.6265
SULF2	-0.23025
CEP164	-0.84775
P53AIP1	0.795833333333333
TOR2A	-0.2705
ZNF136	0.18025
MGP	3.0735
CCDC144A	0.0854
TRPC1	0.0148333333333332
SMS	-0.804833333333333
MAPK7	0.218833333333333
RRAGC	1.13825
PARD6A	0.387833333333333
NUB1	0.405166666666667
SYNGR4	-0.476
OR11H12	0.084
WIF1	1.213
GCH1	0.28675
OR11H4	0.225
SLC44A5	-1.817
GPRIN2	1.01416666666667
LOC401431	0.357
CPA4	-2.7885
MELK	-2.75555555555556
IL15RA	1.06175
CUL3	0.082625
HMBOX1	-0.026
PODXL	-1.31325
CCT6B	0.685333333333333
COMTD1	-0.779
MUC20	1.361
GPX2	-3.180625
ITK	0.058625
FBXL5	1.638
C13orf27	-1.01925
DEFA5	0.2235
TRHDE	0.5015
MTP18	-0.974833333333333
UQCRQ	-0.6272
ITGB2	2.19666666666667
CSRP2BP	0.564
TAS2R44	0.0195
PHPT1	-0.46275
FAM44C	0.06425
ERH	-1.12275
MPHOSPH1	-1.58
MORC1	-0.896
PARVB	-0.5445
LAMA1	-1.78333333333333
PGBD3	-0.01575
GIMAP6	4.5795
AREG	-1.4195
LIPT1	0.17375
MGC99813	-0.4965
C1orf201	-0.144166666666667
GRIN2A	-0.9127
MAN2C1	-0.58675
NSUN5	-0.66825
SF3B5	0.2705
MYC	-1.05625
NRXN1	-0.785818181818182
ZNF18	-0.11175
SPDYA	-0.796
SLC37A1	0.9195
DECR2	0.23025
ANKRD38	0.58225
SPTLC3	-1.11791666666667
SUPT16H	-0.731625
DTWD2	0.8185
ULBP1	-0.829
ZADH1	-0.848833333333333
OIP5	-3.019
IL10RB	0.492666666666667
OTUB2	-0.033125
VWA3A	0.641666666666667
SPIC	1.4405
OR6C4	0.00800000000000001
PSCD4	1.67483333333333
DPY19L2P2	0.425
TRAPPC6A	0.915666666666667
C21orf2	-0.283333333333333
CEMP1	0.14775
LIN7B	0.0965
E2F7	-2.51733333333333
VCP	0.115
LAMA3	3.25908333333333
BGN	1.91275
GPR160	0.842166666666667
COCH	-4.57533333333333
GPR81	1.30433333333333
APOBEC3F	-1.04175
tcag7.1017	-0.9925
C1orf32	0.517
SCGB1D2	2.18425
FLJ43987	0.3195
C6orf170	-0.506
KLK9	0.1825
GPD1L	1.853
VPS37B	-0.4915
ATG3	0.1055
ADAMTS17	0.5335
KLHDC2	-0.161333333333333
NDUFV2	0.24775
BLK	-1.95025
MATN4	-1.537
GPM6A	1.44175
GBP4	4.01833333333333
TMEM162	0.4105
PKP2	-0.167
HRASLS	-1.35555555555556
MMP1	-3.84125
SFXN3	-0.2653
FSD1	-2.07716666666667
ST6GALNAC3	-0.410666666666667
CA12	2.5543
NCOA6	0.30325
C19orf58	0.5054
PPP4R1	0.108833333333333
MAN1A2	1.06083333333333
IKBKAP	-1.74875
UPF1	0.326
KIAA1219	0.217
WNT16	-0.211
SNW1	-0.0825
IL18RAP	4.38325
RPP30	-0.2695
CDC40	-0.00800000000000001
SETD3	0.4325
SLAMF6	0.58275
ELK4	-0.3
TRIM47	0.604833333333333
ACOX3	0.18825
TRIM6	0.013375
KIAA0372	-0.1575
TP53AP1	1.32625
SMURF2	0.03525
ADAD1	-0.1165
EBP	-0.8218
KRTAP13-2	-0.008
FLJ36874	-1.31683333333333
TOR1A	-0.238
P2RY4	0.472
GPBP1	0.346
TRPV1	-0.4
ADAMTS12	1.3085
PES1	-0.407
ATG4A	0.577
MAGEA10	-4.78075
WFS1	1.1485
CC2D1B	-0.118833333333333
PABPN1	-0.864125
SLC25A30	0.8275
SLCO1C1	1.5565
SLC22A5	1.0285
KIF23	-1.88616666666667
SYN2	0.451333333333333
ASPN	8.33066666666667
CENTG2	-0.04125
QSOX2	-1.8979
FLJ10815	0.391333333333333
STK24	0.256625
SPEG	-0.3153
STK10	0.276333333333333
DACT2	-0.1325
AAAS	-0.81825
SSX3	-1.016375
ABCD3	1.0612
C4orf12	0.257125
PARVG	1.03616666666667
FIG4	0.01325
C9orf46	0.36475
TMCO6	-0.9555
IGHMBP2	1.76825
DUS2L	-0.8215
FAM3C	0.5778125
TMEM16D	-1.816625
DCTN4	0.1135
KCNH3	-0.17525
EIF2AK2	0.5695
AP1S3	2.273125
CST4	0.7465
PAM	0.8136875
NUTF2	-0.547
CITED2	0.1939
SLC39A4	-0.616
C2orf52	-1.5945
GRM3	-0.02775
C12orf49	0.22575
CCDC49	-0.0216
GRAMD1B	-1.37375
FNDC4	1.73675
SIAH2	2.40425
GDPD4	0.4495
C21orf87	0.482125
ATP5A1	0.0788333333333333
C16orf63	0.412625
LOC388135	1.23966666666667
ATP5J2	-0.5635
MMP3	0.44875
EMID2	-0.502
CRHR1	0.25625
WDR70	-0.5105
C13orf31	2.08175
ZFAND1	-0.12125
CCL18	4.10233333333333
C3orf49	-0.3565
RINT1	-0.354
KIAA0408	-0.542166666666667
F13A1	5.3795
SLC10A1	0.537333333333333
OGN	4.6105
GIPC2	0.403333333333333
XPO6	0.110166666666667
LCE1A	0.46
FMR1	0.2439
LOC374920	-0.28625
DUSP3	0.72275
ANKMY1	-0.1175
C7orf50	-0.311
BBS9	-0.4327
UNC119B	0.303125
C9orf72	0.768
MGC35440	-1.34075
ENTPD6	-0.137375
PPP1R2P9	0.67025
ERCC4	0.039
FAHD2B	-0.4915
HMHA1	0.1465
HACL1	-0.62475
RAD23A	-0.496666666666667
FAM83B	-1.752
PPP5C	-0.1655
RNASEH2C	-0.5015
C9orf153	-0.428
SCAMP4	0.11775
GHITM	0.6276
NDUFB7	0.378625
ADCYAP1	0.812666666666667
SP110	1.97
MAP3K7IP2	0.25425
DHH	0.157
AGRN	0.324642857142857
WDR33	0.109833333333333
CEP290	-0.0301666666666667
PRPS1L1	-1.89666666666667
KLRA1	-0.0315
GPR97	-0.287
CHD7	-1.1725
TLR10	1.34875
SLC30A8	-0.334
HIC1	1.75766666666667
IAPP	-0.134
RXFP4	-0.221
GP1BB	0.55825
SHQ1	0.7435
NKX2-3	0.0651666666666667
API5	-0.6085
FTHP1	0.375
MOV10L1	0.315
TRIM6-TRIM34	2.4325
ADHFE1	1.763
FAM117A	0.431
DDI1	0.683333333333333
CDON	0.0225
TRIM73	-1.189
IGKC	4.033
MMP14	-0.0248333333333334
DYNC1LI1	-0.36375
C11orf66	-0.00249999999999998
TRBV3-1	-0.38725
FASTKD5	0.40725
BIVM	-1.944
LHX4	-0.819333333333333
CXCL2	0.465
RAB2B	-0.7755
IZUMO1	-0.415
MAP3K15	-1.966375
FAM19A2	0.4605
ZC3H8	0.481833333333333
ZMAT1	0.315375
SPINK5L3	-2.84433333333333
SLC10A6	0.411
APPL2	0.51475
CARD10	-0.4195
LOC402176	-0.405
EEF1D	0.9083
RAB6A	-0.069
C12orf5	-0.822125
PAPOLG	-0.1975
MSRB2	1.054
BCR	0.639277777777778
PUS3	-1.07725
TIAM2	-0.86975
ZNF317	-0.105833333333333
CHD2	0.0276923076923077
FZD5	-1.03936363636364
NUDT8	-1.9275
ZNF763	-0.3055
PRC1	-1.266
ABCB9	1.20883333333333
SPATA3	0.7905
TRAK2	1.495875
STAB1	2.678875
LRRTM2	0.0941666666666667
psiTPTE22	0.88075
DBI	1.12925
SERPINA11	-2.61475
NAT5	1.0465
C20orf58	-1.92933333333333
RPS6KA4	-0.317
FLJ90650	2.85675
TGFBRAP1	0.092
CHRDL2	-0.513625
FAHD2A	-0.664333333333333
CNTN1	0.41125
BBS4	0.2363
TMEM181	-0.963
MINPP1	-0.69075
MPHOSPH6	-0.673416666666667
HOXC10	0.8692
ITPKB	0.228625
CLPTM1L	-0.026
MEOX2	2.4005
ATP6V0C	0.964625
PRPF8	-0.8575
TMC5	0.2545
FKBP3	0.27125
PLEKHB2	0.258375
OR4D6	0.588
ZNF544	-0.4903
D2HGDH	0.015375
RPL18A	-0.8198
HEL308	0.08875
MPP6	-2.2415
TCERG1	-1.30625
KRT16	-1.33933333333333
KLF17	-1.7855
KLF5	-2.09875
CDR1	4.915625
VCX3A	-4.003
FBLN2	2.91675
C14orf104	-0.6375
HBE1	-4.929
OR4S2	0.0905
C1orf108	-0.3885
ROBO4	3.86166666666667
CPEB4	0.74825
C11orf80	-2.212
BCKDHA	0.420666666666667
MYOC	5.358
GIF	0.46
CKMT1A	0.37
RPL3	0.0714
THBS1	2.0265
APOO	-1.143
ARMCX1	1.053
HSZFP36	-0.168
SNAPC5	0.0265
EIF4ENIF1	-0.0305
ZNF433	-0.2055
TNFRSF21	0.013
TMPRSS7	-0.955
SPATA18	0.7842
HPDL	-3.3365
MKL2	1.5319
TBX3	-0.921230769230769
C21orf93	0.484
DAXX	0.43475
ELMO1	0.294625
RGS13	2.95733333333333
TAF11	-0.0955
UNC13A	-1.6485
LOC653314	-0.2086
ORC3L	-1.132
IMAA	-2.0425
TARBP2	-0.4965
CABIN1	-1.0112
TRIOBP	0.227
HIST1H2AC	0.33275
RGS22	1.777
NCOA1	0.953833333333333
IL25	2.905
SNCG	1.3995
GPR6	0.366
AMDHD1	-1.2935
CHEK2	-1.36925
C6orf142	0.45
DRD4	0.443
C14orf68	0.15425
GDF11	-2.12375
SEMG2	0.738
CD247	-0.32975
CDAN1	-0.5505
RBMX2	0.0711666666666667
TGS1	-0.25975
OIT3	1.57725
SYF2	0.898
MCM4	-2.0695
PKHD1L1	1.171375
CEP192	-0.9235
IFT88	0.1105
RPL9	0.112357142857143
RAB32	0.352625
DDX43	-1.583
P2RX2	0.2135
OR5D18	0.4365
UBE1	0.07175
SLC24A1	0.61425
ARHGAP5	-0.0185
CETP	-0.33875
KIAA1731	-2.166
SLC9A4	-0.2235
PTPN6	1.3405
BAHD1	0.21625
GRIK3	1.372
CACNB2	-0.6086
PDE10A	-0.1875
DGCR14	-0.4415
PCDHB9	-0.593666666666667
RHOQ	1.16233333333333
MAP3K4	-0.5785
KTI12	-0.036
RPL23AP13	0.29925
GNG11	1.36575
CLCN3	0.923666666666667
GPAM	1.1895
VSTM2A	-0.002
SLAMF7	3.00916666666667
INTS2	-0.074
PPP2CA	0.683
LRP12	-0.611466666666667
SEC14L2	2.44211111111111
DKFZP586H2123	3.7695
MC3R	-0.2965
CIRH1A	-1.55583333333333
HIST1H2AB	1.1565
POLH	-1.141125
MGC16703	-0.869166666666667
SNAPC2	0.3565
FILIP1L	1.234
RASGRP4	0.7275
LRRC1	0.3495
GAS1	1.85475
PRAC	-0.34525
DGKA	-0.0165
NT5C3	-0.024
PEG3	-3.53966666666667
NADK	1.12725
PRR17	-0.45575
LOC374569	0.0895
SGSH	0.701666666666667
NLRP8	0.401
GALT	-0.372
MCF2	-1.348
ZNF263	1.4045
TACSTD1	1.318
TYR	-6.5922
ATP6AP2	0.8335
RNUXA	0.124
ABHD10	0.3241
GDPD2	-1.3755
SLC35C1	-0.27275
UBE2A	-0.19525
HERC5	0.190833333333333
FAM112B	-5.1005
FBXL16	2.49925
DKFZP434A0131	-0.873
ELA3A	-2.2195
RBM41	-0.751
HAO2	0.867
RNH1	-0.0235
SHANK2	0.57
OSBP2	-1.848375
DAK	-1
C3orf58	0.0134166666666667
TCL1B	-1.6635
KBTBD2	-0.2995
SUGT1L1	-0.072
UBE2E2	1.118
MYL9	2.518625
CDC23	-0.494
PBXIP1	1.7707
CXorf40B	0.5225
NBL1	0.895
RTBDN	0.923
RAB11FIP5	0.379
TTTY13	-0.7565
SCOTIN	0.806916666666667
SOHLH1	-1.51233333333333
CDKN1A	0.452428571428571
NCK1	0.31925
ZNF550	-0.29
SAPS3	1.70383333333333
SPIN3	-0.142833333333333
MAGEE2	0.6135
MIS12	-0.904166666666667
OR8H2	-0.192
KIAA0774	-2.33033333333333
UNC5D	-1.1565
CUL7	-0.361
LIPC	-3.06
DIO1	3.21325
C20orf11	0.4246
CTRL	-0.4635
HS3ST2	2.1955
PAK4	0.161833333333333
CCRL1	4.80575
RNF10	-0.24525
ZNF567	-0.1925
ZNF660	-0.7485
TCEAL3	0.896
MAGOH	-0.189333333333333
CENPB	-0.131333333333333
C19orf7	0.45
LOC388965	0.67375
ZCCHC13	1.3575
JMJD1A	-1.0233
HIST1H4H	1.64
TBRG1	-0.3835
GPC3	-1.8595
TAF1C	-0.97125
EBNA1BP2	-0.436666666666667
CIAPIN1	-0.59325
PDGFRA	0.366277777777778
CSTB	-0.638375
CENPI	-1.52983333333333
GTF2E2	-0.1625
RPP21	-0.65725
CCNF	-0.713833333333333
KCNQ3	0.195
FAM79A	1.17925
SLC22A12	0.147
NOVA1	0.2265
FZD3	0.248
AKAP8	0.27925
SOCS5	0.628875
CFDP1	0.0135
DLG5	0.7065
PGM5	1.13508333333333
C1orf144	0.63025
HDAC10	-0.6675
RND2	-0.1205
C20orf199	-1.08325
RNMT	-0.224625
SLURP1	0.105
ASTN1	0.078
SH3BGR	1.344
MYCL1	-1.510875
ZHX1	-0.0446666666666667
CENPK	-2.9925
FOSB	1.1697
LOC643406	1.219625
C2orf59	-1.30425
TMEM135	0.9685
SLC27A2	0.495
KRT33A	2.289
OVOL1	0.570375
PAMCI	-1.32266666666667
S100A7	-1.8165
ZNF789	-1.721
HARS2	0.3635
RPL23A	-0.606666666666667
TCF23	0.37575
UPF3B	-1.13675
C17orf78	0.1485
HLA-DOB	0.764
C14orf142	0.0993333333333333
TEKT5	1.74633333333333
DMWD	0.179
POLD1	-2.055
GSCL	-0.844
CALD1	0.5193
SCRT1	0.257833333333333
AIG1	0.12275
UNC84B	1.0365
ZNF404	0.056
TMED6	-3.16875
KIAA1462	-0.055
LRRC27	0.730333333333333
PYGO1	0.685
PIGU	0.53
ALAS2	-3.98316666666667
WRNIP1	0.02
CNNM3	0.283
ZNF2	0.384
ST3GAL5	1.197
MRPL23	-0.73775
TSSK6	0.09975
PSMA6	0.0705
C16orf70	-0.75375
KIAA1602	-0.00474999999999999
ALMS1	0.102833333333333
DCN	4.05
TMEM132D	-0.93125
SUCLG2	1.2265
ABHD14A	0.0225
DEXI	0.179666666666667
AMPD2	-0.479333333333333
IFNAR2	-0.296166666666667
CYB5A	2.8629
TLOC1	0.6419
NXF5	-0.534833333333333
NRBF2	0.48125
KCTD3	1.169
ITGAE	-0.577833333333333
SLC30A3	-2.223
ZRF1	-0.777
IFRD2	-0.40225
XAB1	-0.63325
PYCR2	-0.2
SERPINB3	-4.9845
TMLHE	0.2637
GEFT	-1.194
ABCA5	-0.312875
EMR4	0.4545
TSFM	0.0475
HIST3H2BB	0.7225
ARHGEF19	0.53675
TSPAN17	0.715
ABCC8	0.211
MAP1S	0.381333333333333
C22orf36	-0.73125
BNC2	1.00178571428571
HIST1H4A	-0.76775
NDUFS3	-0.171
WDR3	-0.862333333333333
XKR4	-0.7835
TTC33	0.2135
STMN2	3.36375
CPN2	-0.3035
HSPC105	0.290375
PCOLCE2	0.96175
C3orf55	3.2415
KLHDC9	1.20183333333333
TBC1D23	0.2155
ATXN2L	-0.681416666666667
MAP2K3	0.869333333333333
SCAP	0.0575
ZNF486	0.278333333333333
C20orf96	-0.6075
NARS	-0.572
ADAMTSL1	-0.267214285714286
PRCC	0.404833333333333
CCDC126	2.01316666666667
ZNF675	-0.07025
CALCOCO1	0.609
ANKRD43	0.60075
CWF19L2	-0.0625
ZBTB32	1.99883333333333
BRAF	-0.75475
ODF4	0.05275
MGC14376	0.552833333333333
HORMAD1	-2.17983333333333
AAK1	-0.0881666666666667
PEBP1	0.488166666666667
TNFSF5IP1	0.182833333333333
DKFZp564N2472	0.366
RMND1	0.443875
IGKV1-5	4.227
COL1A2	3.12075
SERPINA5	-1.15825
AANAT	0.4885
C19orf21	-0.938
GEMIN5	-0.4635
UBR4	-0.0961666666666667
LTBP3	0.752333333333333
AMHR2	-1.1845
PROCR	1.235
MYBBP1A	-1.4355
C20orf39	-0.00250000000000001
ZNF697	-0.02425
PASK	-0.2797
ZNF776	0.0551666666666666
RFXDC2	-0.331125
KIAA0467	-0.4575
C10orf96	-1.82466666666667
ZNF503	0.74725
GULP1	0.176916666666667
KCNE4	0.192666666666667
DKFZp434K191	-1.308375
LOC196913	0.045
BHLHB4	0.412
CH25H	2.013
LOC81691	-0.7155
ALPL	0.395357142857143
COL12A1	2.125375
FOLR3	-2.36083333333333
GPR123	-0.087125
TRIM62	0.347428571428571
ABLIM1	1.3405
MAST3	-0.24475
RHBDD1	0.53
LOC338809	0.1845
RYBP	-0.29025
TTC26	0.224375
ZNF22	0.25
ISCA2	0.40025
RDM1	-1.48125
PIGM	0.69175
GNB3	-0.841
ACTR2	0.7985
HMGB1	0.28395
EDG1	4.0385
SOAT2	-3.433
OR10AD1	0.2475
RAP1GDS1	0.4675
LCE1F	0.37
ESM1	1.195875
RCN3	2.35
CREBL1	-0.272
DBNL	0.305
PTGER3	3.515625
USP30	1.14633333333333
BCL2L12	-1.4685
KIF26B	1.68675
ZNF416	0.21725
ZNF225	0.5105
C17orf70	-0.01
ZNF554	0.1435
RAE1	-1.24166666666667
TNIK	0.172
ACTN3	-0.1865
MGC45922	0.2135
CCNA1	-1.09533333333333
RYK	0.306
IL26	0.4205
LRP3	1.00733333333333
QARS	0.40525
SOX7	1.29328571428571
BID	-0.80125
OR2S2	-1.0495
CXCL14	4.2665
C11orf47	-0.4015
MGC29891	1.06816666666667
HSPB8	1.192
PRDM14	-1.1325
NUFIP2	-0.5015
MNAT1	-0.582125
ZDHHC2	-0.00566666666666667
MBNL2	0.73175
ADD3	0.5175
