Hybridization REF	TCGA-AR-A1AT-01A-11R-A12P-07
TERF2	-0.425333333333333
TNFRSF1A	0.582166666666667
ACADVL	-1.14716666666667
GTF2H5	0.23525
EDG8	0.128833333333333
C9orf140	-0.59375
UST6	-0.258
ZBTB8OS	-0.4195
ZNF710	2.2655
GPR174	-0.336
ATP6V0A2	-0.696
KIAA0319L	-0.184333333333333
XKRX	-0.346
DOPEY2	1.8601
SDHD	-0.355916666666667
SUMF1	1.6535
OSM	0.90625
OPN3	-0.741
DAGLB	-0.0106666666666667
PPFIBP1	-0.608
TRIM63	-3.87675
C10orf53	0.377
LYPD3	-0.9945
BCL7A	-0.39375
AGER	-0.5655
TCF19	-0.7145
SAT2	-0.65425
PFTK1	-0.2795
GABRE	-2.393125
C15orf38	1.2729
FIS1	0.002
KCNV2	0.05025
CLPS	0.64425
PPCDC	0.14525
FOXN2	-0.546
NT5E	-2.4704
CD83	0.727
IL18	1.4505
VPS16	0.34325
IGFBP2	-0.985166666666667
NOTCH2	0.08875
SIGLEC1	3.02525
CD93	5.1915
SULF2	-1.24325
CEP164	-0.0085
P53AIP1	0.160833333333333
TOR2A	-0.00216666666666669
ZNF136	-0.32475
MGP	3.9854
CCDC144A	1.48933333333333
TRPC1	-1.4725
SMS	-0.282
MAPK7	0.461833333333333
RRAGC	1.02825
PARD6A	0.174666666666667
NUB1	1.00033333333333
SYNGR4	0.32825
OR11H12	0.329
WIF1	0.94225
GCH1	0.7255
OR11H4	0.2055
SLC44A5	1.5735
GPRIN2	1.39566666666667
LOC401431	0.0695
CPA4	-1.4289
MELK	-1.23277777777778
IL15RA	0.86725
CUL3	-0.11325
HMBOX1	-2.225
PODXL	-1.20875
CCT6B	1.92883333333333
COMTD1	0.09625
MUC20	-0.467166666666667
GPX2	-3.023625
ITK	0.264375
FBXL5	1.1065
C13orf27	-0.976
DEFA5	0.353
TRHDE	0.5215
MTP18	-0.1525
UQCRQ	1.5546
ITGB2	2.78558333333333
CSRP2BP	-0.2455
TAS2R44	0.591
PHPT1	-0.297375
FAM44C	-0.187
ERH	-0.051
MPHOSPH1	-1.89783333333333
MORC1	-0.3185
PARVB	-0.0565
LAMA1	-1.99691666666667
PGBD3	-0.193
GIMAP6	4.31725
AREG	-2.39783333333333
LIPT1	-0.187
MGC99813	-0.723
C1orf201	-0.094
GRIN2A	-0.7365
MAN2C1	-0.580625
NSUN5	-0.4985
SF3B5	0.167
MYC	-1.2235625
NRXN1	-1.04458333333333
ZNF18	-0.639
SPDYA	-0.473125
SLC37A1	1.7625
DECR2	-0.28175
ANKRD38	-0.62375
SPTLC3	-1.06891666666667
SUPT16H	-0.7565
DTWD2	0.696
ULBP1	0.096
ZADH1	-0.471333333333333
OIP5	-2.53525
IL10RB	0.0943333333333333
OTUB2	0.12275
VWA3A	0.053
SPIC	1.085
OR6C4	0.1025
PSCD4	1.42233333333333
DPY19L2P2	-0.375
TRAPPC6A	0.715
C21orf2	-0.527166666666667
CEMP1	0.221
LIN7B	0.2635
E2F7	-1.937
VCP	0.1358125
LAMA3	-0.689333333333333
BGN	1.29725
GPR160	1.7995
COCH	-4.37966666666667
GPR81	1.052
APOBEC3F	-0.72425
tcag7.1017	-0.7275
C1orf32	0.546
SCGB1D2	5.77875
FLJ43987	-0.191
C6orf170	-0.1875
KLK9	0.37
GPD1L	0.45725
VPS37B	0.90825
ATG3	-0.2375
ADAMTS17	0.298
KLHDC2	-0.484166666666667
NDUFV2	0.0475
BLK	-0.6425
MATN4	-1.08
GPM6A	1.198625
GBP4	4.3135
TMEM162	0.295166666666667
PKP2	0.155
HRASLS	0.892
MMP1	-2.79575
SFXN3	-0.0242
FSD1	-0.992333333333333
ST6GALNAC3	-1.76033333333333
CA12	2.1381
NCOA6	0.10325
C19orf58	0.1372
PPP4R1	0.0788333333333333
MAN1A2	0.8475
IKBKAP	-1.06575
UPF1	-0.00983333333333333
KIAA1219	0.284
WNT16	0.6442
SNW1	-0.265125
IL18RAP	2.82625
RPP30	0.266125
CDC40	-0.069
SETD3	-0.0401666666666667
SLAMF6	0.61575
ELK4	-0.0825
TRIM47	1.047
ACOX3	0.820375
TRIM6	0.321875
KIAA0372	-0.532333333333333
TP53AP1	0.62425
SMURF2	-0.141
ADAD1	0.694
EBP	-1.2077
KRTAP13-2	-0.7745
FLJ36874	-0.5225
TOR1A	-0.0268333333333333
P2RY4	0.9015
GPBP1	0.25875
TRPV1	-0.02975
ADAMTS12	-0.365166666666667
PES1	0.3051
ATG4A	0.703166666666667
MAGEA10	-4.19475
WFS1	1.87075
CC2D1B	0.3825
PABPN1	-0.41175
SLC25A30	0.522
SLCO1C1	0.494166666666667
SLC22A5	0.894
KIF23	-1.454
SYN2	-0.304
ASPN	6.398
CENTG2	0.1055
QSOX2	-1.5566
FLJ10815	-0.0913333333333333
STK24	0.418
SPEG	0.2841
STK10	0.715666666666667
DACT2	-2.8245
AAAS	-0.81675
SSX3	-0.883375
ABCD3	-0.3981
C4orf12	-0.775
PARVG	1.72216666666667
FIG4	0.54325
C9orf46	0.699
TMCO6	-0.36
IGHMBP2	-0.19975
DUS2L	-0.545833333333333
FAM3C	-0.0100625
TMEM16D	-1.88325
DCTN4	0.0045
KCNH3	0.15725
EIF2AK2	0.95525
AP1S3	-0.051125
CST4	0.997
PAM	-0.1390625
NUTF2	-0.763
CITED2	1.2618
SLC39A4	0.0585
C2orf52	-0.9075
GRM3	-0.4525
C12orf49	1.385375
CCDC49	1.9217
GRAMD1B	-1.06325
FNDC4	0.22625
SIAH2	-0.0045
GDPD4	0.24725
C21orf87	0.679125
ATP5A1	-0.179833333333333
C16orf63	-0.9635
LOC388135	0.984833333333333
ATP5J2	-0.626125
MMP3	-3.003
EMID2	0.321
CRHR1	0.24825
WDR70	-0.22575
C13orf31	1.00325
ZFAND1	-0.03025
CCL18	4.33966666666667
C3orf49	-0.1325
RINT1	-0.549
KIAA0408	-2.031
F13A1	3.3213
SLC10A1	0.273666666666667
OGN	1.21975
GIPC2	-1.38916666666667
XPO6	-0.0731666666666667
LCE1A	0.8475
FMR1	-0.3035
LOC374920	0.03475
DUSP3	0.049625
ANKMY1	1.82575
C7orf50	0.18025
BBS9	-0.1202
UNC119B	-0.385625
C9orf72	-0.04275
MGC35440	-0.92725
ENTPD6	1.004875
PPP1R2P9	0.42925
ERCC4	-0.0825
FAHD2B	-0.297
HMHA1	-0.0955
HACL1	-1.0195
RAD23A	-0.827666666666667
FAM83B	-0.43525
PPP5C	-0.283833333333333
RNASEH2C	-0.507
C9orf153	-1.05175
SCAMP4	0.7705
GHITM	0.2491
NDUFB7	-0.2305
ADCYAP1	0.250166666666667
SP110	1.607
MAP3K7IP2	1.02775
DHH	0.3465
AGRN	0.980571428571429
WDR33	0.363666666666667
CEP290	-1.23383333333333
PRPS1L1	-0.853166666666667
KLRA1	-0.611
GPR97	0.7305
CHD7	-1.65566666666667
TLR10	0.73175
SLC30A8	-0.398
HIC1	1.22633333333333
IAPP	0.1725
RXFP4	0.2505
GP1BB	2.32125
SHQ1	0.385
NKX2-3	0.2955
API5	0.21625
FTHP1	0.429
MOV10L1	-0.285
TRIM6-TRIM34	1.136
ADHFE1	-0.28225
FAM117A	-0.43675
DDI1	0.649333333333333
CDON	-0.541166666666667
TRIM73	-2.1675
IGKC	4.429
MMP14	-0.57575
DYNC1LI1	-0.454875
C11orf66	0.19525
TRBV3-1	-0.8925
FASTKD5	-0.28925
BIVM	-2.34925
LHX4	0.156
CXCL2	-0.8041
RAB2B	-1.07383333333333
IZUMO1	-0.40525
MAP3K15	-1.58225
FAM19A2	0.0211666666666667
ZC3H8	0.590666666666667
ZMAT1	-0.184625
SPINK5L3	-2.754
SLC10A6	0.458
APPL2	-0.1915
CARD10	0.127333333333333
LOC402176	0.137125
EEF1D	1.3097
RAB6A	-0.0299
C12orf5	-0.653375
PAPOLG	0.37325
MSRB2	0.8165
BCR	1.34405555555556
PUS3	0.17975
TIAM2	-0.28275
ZNF317	-0.156166666666667
CHD2	-0.184214285714286
FZD5	-1.29481818181818
NUDT8	-0.49125
ZNF763	-0.6145
PRC1	-1.26577777777778
ABCB9	0.350833333333333
SPATA3	0.47725
TRAK2	-0.81175
STAB1	2.709
LRRTM2	-0.159166666666667
psiTPTE22	2.14175
DBI	1.605
SERPINA11	-2.2
NAT5	0.29875
C20orf58	-1.563
RPS6KA4	0.221833333333333
FLJ90650	-0.31825
TGFBRAP1	-0.2145
CHRDL2	0.67425
FAHD2A	-0.3275
CNTN1	0.0575
BBS4	-0.4565
TMEM181	-0.223
MINPP1	-0.59925
MPHOSPH6	1.30375
HOXC10	1.3218
ITPKB	0.027875
CLPTM1L	-0.0145
MEOX2	-1.18683333333333
ATP6V0C	0.639
PRPF8	-0.541666666666667
TMC5	3.71375
FKBP3	0.08775
PLEKHB2	0.148875
OR4D6	0.3045
ZNF544	-0.0641
D2HGDH	0.120375
RPL18A	0.7484
HEL308	-0.290125
MPP6	-2.29275
TCERG1	-1.52075
KRT16	-1.23366666666667
KLF17	-0.3975
KLF5	-0.933875
CDR1	1.51725
VCX3A	-5.208
FBLN2	1.5585
C14orf104	-0.25425
HBE1	-4.4552
OR4S2	1.2775
C1orf108	0.429333333333333
ROBO4	3.47733333333333
CPEB4	0.50075
C11orf80	0.252
BCKDHA	0.883833333333333
MYOC	0.72725
GIF	0.188
CKMT1A	2.365
RPL3	0.8842
THBS1	0.984375
APOO	-0.97075
ARMCX1	1.48125
HSZFP36	0.02875
SNAPC5	-0.11225
EIF4ENIF1	0.74675
ZNF433	-0.4255
TNFRSF21	0.621375
TMPRSS7	0.0505
SPATA18	1.0792
HPDL	-0.5295
MKL2	0.7414
TBX3	-0.417846153846154
C21orf93	0.4345
DAXX	0.15825
ELMO1	0.155375
RGS13	1.78366666666667
TAF11	-0.816
UNC13A	-1.732
LOC653314	2.4249
ORC3L	-0.429
IMAA	-2.9035
TARBP2	-0.75925
CABIN1	-0.329
TRIOBP	0.5985
HIST1H2AC	-0.126375
RGS22	-2.7265
NCOA1	0.161833333333333
IL25	0.5825
SNCG	3.1325
GPR6	0.387
AMDHD1	-2.05233333333333
CHEK2	-0.796625
C6orf142	-0.76175
DRD4	1.2905
C14orf68	-0.74925
GDF11	-1.96
SEMG2	-0.5745
CD247	0.4675
CDAN1	-0.808
RBMX2	0.0908333333333333
TGS1	-0.86425
OIT3	3.47275
SYF2	-0.017
MCM4	-1.603625
PKHD1L1	0.88675
CEP192	-1.027
IFT88	0.36175
RPL9	0.486
RAB32	0.454625
DDX43	-1.7085
P2RX2	0.148166666666667
OR5D18	0.5225
UBE1	0.608
SLC24A1	0.1945
ARHGAP5	-0.61475
CETP	0.1115
KIAA1731	-1.10666666666667
SLC9A4	0.2115
PTPN6	1.458
BAHD1	-0.31675
GRIK3	0.9905
CACNB2	-0.9753
PDE10A	-0.337
DGCR14	0.474
PCDHB9	-0.996833333333333
RHOQ	-0.1045
MAP3K4	0.11225
KTI12	0.146166666666667
RPL23AP13	-2.257
GNG11	-0.0925
CLCN3	0.1965
GPAM	-0.56525
VSTM2A	-0.976
SLAMF7	3.13166666666667
INTS2	-0.95475
PPP2CA	0.1823
LRP12	-0.0861333333333333
SEC14L2	1.622
DKFZP586H2123	0.8715
MC3R	0.277
CIRH1A	-1.39416666666667
HIST1H2AB	-0.495666666666667
POLH	-1.426375
MGC16703	-1.18633333333333
SNAPC2	0.244
FILIP1L	0.9715
RASGRP4	0.327
LRRC1	1.58575
GAS1	0.78675
PRAC	-0.84975
DGKA	-0.397166666666667
NT5C3	-0.21625
PEG3	-2.64083333333333
NADK	-0.35725
PRR17	0.63075
LOC374569	0.054
SGSH	0.936166666666667
NLRP8	0.4025
GALT	-0.3578
MCF2	-1.2725
ZNF263	0.7665
TACSTD1	0.988666666666667
TYR	-5.5093
ATP6AP2	-0.10575
RNUXA	-0.315
ABHD10	-0.6662
GDPD2	-0.68275
SLC35C1	0.591
UBE2A	0.182875
HERC5	0.549666666666667
FAM112B	-3.90966666666667
FBXL16	-1.20225
DKFZP434A0131	-1.13125
ELA3A	-1.2135
RBM41	-1.212875
HAO2	0.54
RNH1	0.156125
SHANK2	1.28266666666667
OSBP2	-1.2055
DAK	0.076
C3orf58	0.878583333333333
TCL1B	-1.4325
KBTBD2	-0.663625
SUGT1L1	0.1065
UBE2E2	0.124333333333333
MYL9	1.890375
CDC23	-1.17833333333333
PBXIP1	2.0219
CXorf40B	0.157
NBL1	0.414
RTBDN	0.4545
RAB11FIP5	0.14225
TTTY13	0.137
SCOTIN	0.824083333333333
SOHLH1	-0.366
CDKN1A	0.3115
NCK1	0.27475
ZNF550	0.138
SAPS3	0.305416666666667
SPIN3	-0.373333333333333
MAGEE2	0.202
MIS12	-1.55933333333333
OR8H2	0.249
KIAA0774	-0.933833333333333
UNC5D	-0.1855
CUL7	0.385166666666667
LIPC	-3.2115
DIO1	-1.555
C20orf11	-0.3951
CTRL	-0.389
HS3ST2	3.31375
PAK4	1.04333333333333
CCRL1	2.41425
RNF10	-0.02525
ZNF567	0.0415
ZNF660	-1.731
TCEAL3	0.81725
MAGOH	-0.520333333333333
CENPB	0.0998333333333333
C19orf7	0.401125
LOC388965	-0.324
ZCCHC13	0.8295
JMJD1A	-1.5555
HIST1H4H	-1.109
TBRG1	-1.1443
GPC3	-4.71775
TAF1C	-0.741625
EBNA1BP2	0.16
CIAPIN1	-0.57225
PDGFRA	-0.510166666666667
CSTB	0.357625
CENPI	-1.3405
GTF2E2	-1.23333333333333
RPP21	-0.125
CCNF	-0.5555
KCNQ3	0.7025
FAM79A	0.204
SLC22A12	0.416
NOVA1	-0.837833333333333
FZD3	-1.2062
AKAP8	-0.599
SOCS5	-0.285875
CFDP1	-0.85675
DLG5	0.8355
PGM5	0.0225833333333333
C1orf144	-0.073
HDAC10	-0.892
RND2	0.00675000000000003
C20orf199	-0.89675
RNMT	-0.395
SLURP1	0.512375
ASTN1	-0.4595
SH3BGR	-0.2565
MYCL1	0.2945
ZHX1	0.688333333333333
CENPK	-1.793
FOSB	1.8284
LOC643406	0.112125
C2orf59	-0.754125
TMEM135	0.272875
SLC27A2	-2.2375
KRT33A	3.1045
OVOL1	-0.109875
PAMCI	-2.84366666666667
S100A7	2.294
ZNF789	-2.6735
HARS2	0.283
RPL23A	1.331
TCF23	-0.11075
UPF3B	-1.502625
C17orf78	0.0555
HLA-DOB	1.26533333333333
C14orf142	-0.630333333333333
TEKT5	0.923166666666667
DMWD	0.359
POLD1	-1.56683333333333
GSCL	-0.081
CALD1	-0.6967
SCRT1	1.02716666666667
AIG1	1.3505
UNC84B	0.9825
ZNF404	-2.39275
TMED6	-2.20775
KIAA1462	0.6085
LRRC27	1.22683333333333
PYGO1	-0.732
PIGU	-0.298833333333333
ALAS2	-3.5475
WRNIP1	0.013
CNNM3	-0.12
ZNF2	0.321
ST3GAL5	-0.31675
MRPL23	-0.134
TSSK6	0.002
PSMA6	-0.1565
C16orf70	-1.18475
KIAA1602	0.1415
ALMS1	-0.611333333333333
DCN	2.726375
TMEM132D	-0.89475
SUCLG2	0.022
ABHD14A	0.212
DEXI	-0.236666666666667
AMPD2	-0.469166666666667
IFNAR2	-0.685666666666667
CYB5A	2.4842
TLOC1	0.3309
NXF5	0.152166666666667
NRBF2	-0.06575
KCTD3	1.38
ITGAE	-1.03083333333333
SLC30A3	-1.48783333333333
ZRF1	-0.5675
IFRD2	-0.525625
XAB1	-0.0675
PYCR2	-0.502333333333333
SERPINB3	-3.8625
TMLHE	-0.1525
GEFT	-1.211875
ABCA5	-1.44975
EMR4	0.420166666666667
TSFM	-0.19025
HIST3H2BB	-1.3385
ARHGEF19	0.75125
TSPAN17	1.00583333333333
ABCC8	1.76125
MAP1S	0.889166666666667
C22orf36	1.78275
BNC2	-0.533142857142857
HIST1H4A	-0.63825
NDUFS3	-0.2025
WDR3	-0.438333333333333
XKR4	-0.322
TTC33	-0.395714285714286
STMN2	1.309
CPN2	-0.558833333333333
HSPC105	-1.332375
PCOLCE2	-4.14075
C3orf55	0.7945
KLHDC9	3.21216666666667
TBC1D23	-0.128
ATXN2L	-1.10033333333333
MAP2K3	2.06025
SCAP	0.3895
ZNF486	0.0903333333333333
C20orf96	-1.14075
NARS	-0.61975
ADAMTSL1	1.02742857142857
PRCC	1.0715
CCDC126	0.33475
ZNF675	-0.3595
CALCOCO1	0.46875
ANKRD43	5.222
CWF19L2	-0.124
ZBTB32	2.274
BRAF	-0.57275
ODF4	0.23975
MGC14376	-0.337833333333333
HORMAD1	-2.044
AAK1	-0.261583333333333
PEBP1	0.363416666666667
TNFSF5IP1	0.0475
DKFZp564N2472	0.40575
RMND1	-0.965125
IGKV1-5	4.0565
COL1A2	2.14375
SERPINA5	-2.50925
AANAT	0.5215
C19orf21	-2.127
GEMIN5	-0.44625
UBR4	-0.629333333333333
LTBP3	0.772333333333333
AMHR2	-1.34216666666667
PROCR	-1.50825
MYBBP1A	-0.7205
C20orf39	0.457833333333333
ZNF697	-0.982125
PASK	-0.533
ZNF776	0.0228333333333333
RFXDC2	-0.5205
KIAA0467	0.24425
C10orf96	-1.58575
ZNF503	0.38725
GULP1	-0.954083333333334
KCNE4	-1.60916666666667
DKFZp434K191	0.18125
LOC196913	0.004
BHLHB4	2.416
CH25H	0.14475
LOC81691	-1.26633333333333
ALPL	0.828142857142857
COL12A1	1.993375
FOLR3	-1.91283333333333
GPR123	0.381125
TRIM62	0.9115
ABLIM1	0.983166666666667
MAST3	0.0625
RHBDD1	0.0263333333333333
LOC338809	1.088
RYBP	-0.31075
TTC26	0.335375
ZNF22	-0.651833333333333
ISCA2	0.16975
RDM1	-0.44475
PIGM	1.90175
GNB3	-0.4475
ACTR2	0.2101
HMGB1	-0.13625
EDG1	3.08883333333333
SOAT2	-3.02025
OR10AD1	0.792
RAP1GDS1	0.551416666666667
LCE1F	0.2665
ESM1	-0.411125
RCN3	1.9945
CREBL1	-0.2615
DBNL	0.5745
PTGER3	1.469125
USP30	0.2975
BCL2L12	-0.293833333333333
KIF26B	1.82
ZNF416	0.382
ZNF225	0.0515
C17orf70	0.77825
ZNF554	0.4535
RAE1	-0.865333333333333
TNIK	1.462
ACTN3	0.41
MGC45922	1.2585
CCNA1	0.454333333333333
RYK	0.0561666666666667
IL26	0.2245
LRP3	1.6035
QARS	0.37175
SOX7	0.343
BID	0.686
OR2S2	0.443
CXCL14	2.18475
C11orf47	-0.7805
MGC29891	1.2275
HSPB8	-0.241
PRDM14	-1.3905
NUFIP2	1.31075
MNAT1	-0.3905
ZDHHC2	-0.923166666666667
MBNL2	0.215125
ADD3	-1.27175
CSNK2A1P	-0.533
KLK6	-1.89883333333333
TMEM111	0.3503
KIAA1279	0.23125
NUBP2	0.617333333333333
RAB42	-0.5415
ID3	-0.9099
TM9SF1	0.2695
MDP-1	-1.3455
POU4F2	-0.27975
IQCK	0.78025
C16orf14	-0.779
CAPN3	-1.633
FAM43B	-0.2205
RECQL	-1.00925
AP1G1	-0.408
CTNNBL1	-0.0576666666666667
ECHDC1	-0.329333333333333
SMARCC1	-0.453
FOXQ1	-1.764875
GNAI3	0.158833333333333
POLG2	-1.29275
CD4	1.828875
ITLN1	1.089
EBI2	3.71275
IRF1	2.01275
PTPRE	1.4479
PTK2B	0.36825
NXNL2	-1.463
SOX4	1.19955555555556
TSPAN3	0.66
SH2D1A	-0.7785
C8orf58	-0.903666666666667
USP20	-0.1775
DUSP22	-1.05958333333333
CALB1	-2.0535
L3MBTL2	0.503166666666667
MCRS1	-0.02775
TMEM118	-0.665333333333333
C18orf8	0.395166666666667
FLJ10241	-0.11825
GJA12	0.5835
PKD1	-0.213166666666667
ZFP3	0.3575
JAM3	-1.66375
LAPTM4A	1.3877
DIRC2	0.377
KIAA2022	-0.5045
MYOM1	-0.175666666666667
TRPM8	-2.34683333333333
MOP-1	1.325
PHKG2	-0.056875
ZNF650	-0.25975
KIAA1522	1.871625
PSG8	-1.19816666666667
DDX19B	-0.626
MOBKL1B	0.05525
DIAPH2	-0.520416666666667
PTPN12	0.32825
CLN8	-1.0351
CRYZL1	-0.0193333333333333
CRY2	0.234166666666667
FCGR2B	4.22666666666667
PNPLA4	0.936375
ZNF454	-1.8675
DKFZp434B1231	0.1625
CLDN11	0.3132
RFWD2	0.466333333333333
CIB2	0.879166666666667
MXRA8	2.0635
HRK	-0.125
MAML2	-0.73125
C4orf31	0.6415
C6orf192	1.24125
COG6	0.541625
FAM5B	-0.3095
NFATC1	0.5221
SEPT10	-1.2375
SCYL1	0.287
RPP40	-0.1385
SCOC	0.6528
KIAA1450	1.0775
CTDSPL2	-0.34775
TBX5	1.8775
NAPG	-0.048875
RHD	-4.342
C14orf45	1.44983333333333
ZBTB22	0.735
PLCG1	-0.747
ANKRD10	-1.49375
AQP7P2	0.2395
TAGLN2	0.695666666666667
HTR2C	-0.738666666666667
SLC16A7	-1.63183333333333
C17orf83	-0.0345
TSGA14	0.0498333333333333
MDH1	-0.2375
PPP3R2	0.0213333333333333
DCBLD2	-1.64671428571429
RBM33	-0.4125
DPH3	-0.956
SYT10	-0.8825
FMO4	1.020625
THYN1	-0.71225
DRD5	-2.0555
OTOR	0.375875
PGRMC2	0.7972
KATNAL1	-1.2295
PAQR6	-0.471
UBE2I	-0.72775
C14orf28	0.10125
C8orf70	0.34875
FLYWCH1	-0.500625
ANGPTL3	-1.006
GLRX2	0.657666666666667
ATP11A	-0.611214285714286
ARL5B	-0.258
MUC16	-2.14
SLC25A5	-0.3435
ACRC	-0.86925
MYO1C	-0.56925
FAM89B	1.273
FAS	0.792125
KIFAP3	0.82875
GLRA2	0.789
BTN3A2	0.89
CNKSR3	-0.069625
CSTF3	0.0476666666666667
ARPM1	0.4205
KIAA1530	-0.5525
C9orf150	2.96483333333333
PRKCI	-0.868
tcag7.1015	-1.0075
SOD3	-0.7795
ZNF574	0.592
CYP21A2	2.84975
RPL12	0.014
COMMD2	-1.10875
WIZ	0.43575
LOC344405	-1.7185
ALDH4A1	0.438941176470588
CRYAB	0.6085
COPA	1.10263333333333
PCDHGA7	0.517833333333333
KIF11	-0.912333333333334
RASD2	1.431125
SLC26A3	0.383
ZNF175	-0.5955
JAKMIP2	-1.862375
C8orf4	1.12283333333333
PTHLH	-0.10425
SLC40A1	4.521
OR7D4	0.598333333333333
PCDHB17	1.4455
CD36	2.39235714285714
C6orf203	0.8662
PRKG2	-0.5735
LOC400566	0.106
ANAPC13	-0.27425
SLCO3A1	-0.9455
ZNF692	-1.4545
FANCL	-0.8695
SH3GLB1	0.89725
C12orf61	0.095
KBTBD6	-0.90325
SUPT5H	0.432375
XRCC6	0.1615
HUS1B	-0.5376
FAM133B	-0.383928571428572
LOC728276	-1.231
KCTD18	0.184
SOS2	0.708333333333333
CCDC99	-2.084
C1QTNF5	2.395
NNAT	0.173166666666667
USP16	-0.18375
LARS	-0.8995
ZBTB2	-0.035125
ABO	0.186666666666667
TRAF3	0.55625
GALNT5	-2.196
NAP5	-1.4675
ALG14	1.2755
KIAA0515	-0.126076923076923
WDR75	-0.4935
TEX261	0.336916666666667
LY86	1.54675
LOC389072	-0.983
FLJ13611	0.20925
MRGPRX2	0.447
SNRPA	-0.636875
OR2G2	0.2275
GPRASP2	0.754
C7orf42	0.4681
C9orf163	-0.016
CYP11B2	0.573
FCRL3	1.97366666666667
PRDX1	0.25225
FGB	0.957666666666667
COX17	0.166666666666667
C16orf33	-0.41425
PIWIL1	0.194333333333333
FOLR1	-2.12316666666667
KIAA0082	0.17775
FREQ	-0.332833333333333
TMCC2	-1.2305
TCF12	-0.565166666666667
ZNF721	-0.19125
FAM130A2	0.22175
POU4F1	-1.44075
SNRPF	-0.388625
SGIP1	0.745833333333333
ZNF641	0.602166666666667
EMG1	-0.56725
PRRG4	0.6545
HIRA	-1.80875
MYNN	0.161333333333333
AEBP2	-0.303416666666667
TBXA2R	0.693166666666667
ISL2	-1.15016666666667
PCDHB11	-0.259
RNF144A	-0.78075
MARCH5	0.774375
DULLARD	-0.441166666666667
DCLRE1B	-0.507666666666667
ITGA8	-0.195
TP73	0.148
PRKCD	1.67525
NDUFB4	0.0805
ATP13A4	0.87925
ANTXR2	-0.0886666666666667
COL4A3	-0.583833333333333
MYO10	-1.262
SLC6A18	0.58125
PEX1	-0.52975
TMEM74	-0.834
RBM19	1.01
TAPBP	0.8876
RUNX1	0.536875
MID1	-0.371833333333333
GPR64	-1.12016666666667
RASEF	1.6365
GABRG1	-0.061625
MYO16	-1.311
DBF4	-1.709
TSHZ2	1.798
RIPK2	0.37925
PPTC7	-0.572833333333333
KIF4B	-0.4675
LRRC31	2.7025
ZNF540	-0.50375
EFNB3	-0.106333333333333
LOH12CR1	-0.24425
STON2	0.108333333333333
GLP1R	-0.07625
CSTF2T	0.27725
IREB2	-1.081375
GRSF1	0.12225
PDCD7	-0.911833333333333
LRRC43	1.4945
CNR1	1.496
IL1F7	-0.021
C12orf64	0.23575
FAM69B	0.13675
NR2E1	-1.42416666666667
MS4A6A	3.1823
FTL	-0.2138
C7orf36	-0.07025
PCLO	0.6499
DYRK2	0.465333333333333
ARIH2	-0.40375
SAMD7	0.7895
SCNN1D	-1.1745
SLC32A1	-0.338625
C22orf25	0.404666666666667
MRPS18A	0.0834
GPR112	0.8605
EARS2	-0.8415
ERN2	0.0585
ATPBD3	0.0938333333333333
PRH2	-0.477
CDKN2D	-0.4485
PGLYRP2	2.833
TRIM40	0.62775
SEC14L3	-0.261333333333333
SLC22A1	-0.37875
BTN2A3	-0.26325
RASA4	0.1345
CCNL2	-1.23483333333333
MYBPC3	0.6545
GJA4	2.66975
CDC42SE1	1.633625
TRPV2	-0.71575
MYPN	-3.3307
SIM1	0.1805
CDADC1	-0.205416666666667
ZFHX4	0.84225
NIBP	1.11033333333333
ADAMTS19	-2.40925
ABTB2	-0.84375
TSPYL2	-0.585625
EIF2S3	0.2829
SOX30	-0.0095
AP2A1	-0.153666666666667
DKFZP564O0523	-0.188
LOC285398	0.125
CDH18	-4.58175
CHL1	1.874125
GATS	-0.6315
TBC1D2B	0.1765
OR1J1	-1.097
GSN	0.6405
DPCR1	0.157
GARNL4	-0.162
SMARCA5	0.02175
PLEKHG3	0.700166666666667
ZBTB45	0.5435
FRMD6	-0.978833333333333
PLS1	-0.731166666666667
DGKZ	0.775
EFNA1	2.3298
WDR85	-0.52925
ANK2	0.13
PAGE4	-0.846833333333333
SENP6	-0.391833333333333
AKR7A2	-0.950333333333333
FKBP10	-2.27
VEGFC	-1.6555
LARP1	-0.12825
SRBD1	0.3705
ITGB6	4.043
SLC1A2	-0.276857142857143
INVS	-0.710333333333333
MPO	0.62925
MOBKL3	-0.0208
CUTL2	-0.960875
KLK2	0.0193333333333333
VIM	-0.9465
REG1B	0.413666666666667
PCDHGC4	0.43575
C3orf34	-1.11616666666667
SUMO3	-0.179
CST9L	-0.8395
MLL4	0.3015
SPR	0.503
SAMD9L	2.2645
ABCE1	-0.1775
SUPT3H	-0.384333333333333
ACTBL1	-2.28425
ADAMTS4	0.9765
SLIT3	2.86225
RHEBL1	-0.9105
NPM2	-1.567
MAN1C1	0.64675
KIAA1856	1.31791666666667
HSPA6	1.531
LOC388152	-2.2385
C10orf140	-2.30025
ZDHHC12	0.451
LIN7A	-1.159
PHC2	0.5195
SPHK1	-1.19225
TRIM26	0.799875
FAM83E	0.183
C18orf24	-0.896166666666667
ZNF578	0.314833333333333
ORAI1	-0.17925
RUVBL1	-0.0975
C7orf20	-0.476833333333333
APAF1	-0.946
SLC36A4	-0.8065
MYH11	4.00883333333333
NEK1	-0.4519
MPP2	0.32075
C12orf24	-2.89275
TNK2	0.7725625
ZNF289	0.33775
MATN3	-3.11042857142857
IFNGR2	1.298
ITPR1	0.688125
