Hybridization REF	TCGA-BH-A18F-01A-11R-A12D-07
TMPRSS11B	0.2335
E2F8	-1.12133333333333
CCDC25	-0.502666666666667
C14orf48	-1.33283333333333
C20orf116	0.486875
TSPAN11	0.382
YIF1B	-1.2585
FAM12B	0.7275
OR1L6	-0.0515
HPN	0.8387
NBN	0.04675
C14orf94	-0.792
OCLM	1.0415
ZSCAN18	0.7679
L3MBTL	-1.3534
TSTA3	0.937
RAC1	0.12575
C19orf15	-0.0483333333333333
NFE2	-3.47375
KLK14	0.3255
ARSF	0.0735
MAST2	-0.262666666666667
AMICA1	2.40616666666667
GTF2A1	0.1725
ATP1A3	-0.29825
TC2N	2.6582
PNKP	-0.065
ODZ2	-0.144625
MATR3	0.838125
S100P	-2.478375
KRT82	0.3965
CA13	-0.1277
PROZ	-1.00516666666667
AASDH	0.093625
C19orf40	-0.0418333333333333
DCK	-0.419692307692308
FAM5C	0.3545
SLC6A4	-2.169
MID1IP1	-0.8155
TESSP5	0.1195
TMOD4	0.613166666666667
DOCK2	-0.450833333333333
TUG1	-0.015
NUP214	-0.2565
DPYSL2	-0.0382727272727273
GOLM1	3.03983333333333
MPFL	0.184
SOX13	1.084
SDCCAG8	1.1059
KEL	-1.884
NUP210L	-2.3075
GK	-0.354625
DNAJB1	-0.293
ALPK3	-0.2795
CHID1	0.3879
CYLC2	0.223666666666667
IKZF5	0.73975
C8orf51	0.345833333333333
PPM1J	1.67575
GIMAP8	3.31633333333333
GPR101	0.4175
NR2F1	-0.0255
ACAD8	-0.202
RBM35A	1.7515
GNAI2	-0.372333333333333
METTL8	0.363
SLC39A7	-1.1295
FBXO8	0.67775
CAMK1	-0.1025
RFC3	-0.82675
FAM129A	0.946285714285714
ILF2	0.196
FGFBP3	-1.793875
NOM1	-0.93
PSMA3	-0.70025
ASCC3	-0.4504
ZYG11A	-1.275
SOX21	-1.185625
LYRM1	0.77175
DEFB1	2.763
LOC91431	-2.078
OR7C2	0.8955
FAM46B	1.83175
TMEM18	0.047625
ARHGAP30	1.33433333333333
TMEM86A	2.37841666666667
EPHA2	-0.8435
C10orf46	1.21895
TCHH	-0.630333333333333
C3orf30	0.09
LOC285636	-0.168166666666667
PAIP2	0.25675
CYP2U1	-0.18575
C12orf34	1.117
SARS2	-0.739
ZCWPW1	0.06475
SAMD12	2.1935
KIAA1430	0.441125
ACAT1	0.172
MEOX1	2.87083333333333
ADAMDEC1	5.1425
PHKA2	-0.57525
CARD11	-0.624166666666667
CALML4	-0.734
TSSC1	-0.1365
TMEM45A	-0.902
MPP7	1.340375
POU1F1	0.17575
SLC2A13	-0.2236
FBN2	-0.552071428571429
ZC3H7A	0.1289
LAIR2	0.49125
ST3GAL1	0.494
LCT	-3.0245
GEMIN8	0.779833333333333
KLF16	0.386
HIF3A	-0.1582
FAM44A	-0.258285714285714
AQP10	-1.0905
PLA2G2A	1.2175
FOLH1	0.8625
C20orf186	0.1505
MAPKAP1	-0.430875
SPRR2D	-1.36425
UBQLN4	0.196333333333333
RSHL1	0.119666666666667
PIAS3	0.590875
MRPL24	0.71825
GREB1	-0.284875
FAM27E3	-2.009
NUP62CL	-3.1225
NEUROG3	0.423
REEP3	1.52375
MARK1	0.2
LMBRD1	0.4395
PRPF19	-1.6395
PNMT	-0.0786666666666667
CTGLF1	-1.339
SLC25A16	0.85875
EIF2B3	-0.5795
RPA2	0.26125
PAK6	1.04916666666667
CCDC26	-3.7845
SEMA3E	2.770375
MXD4	0.7358
TNFSF10	3.5012
SMARCB1	-1.00516666666667
DTX3L	1.21216666666667
PLA2G4E	-0.129
PPAP2A	1.40575
ULK1	-0.3635
TAS1R3	-0.0225
SLC2A3	-2.67445454545455
ARID3A	-1.74675
GNG5	-0.26975
ACOX1	0.0398
KIF5B	0.37
NUP153	-0.7235
MUC7	0.1995
CSDE1	-0.3905
CLPTM1	-0.8695
C3orf23	-0.28525
LRRC17	0.685666666666667
TTYH3	-0.81025
ATP5B	-0.97
ELF3	1.4935
CPSF3L	-0.125666666666667
ZNF665	0.312
TLR6	0.3086
GPI	-0.830625
RAD9A	-0.603
NDST4	-3.15525
AGPAT3	0.4905
MAGI3	1.45483333333333
ADORA2A	0.91675
CACNG7	-0.188
CAMK2D	-0.000500000000000016
CCHCR1	-0.241
RPS27A	-0.1335
OR10G7	0.172333333333333
GCM2	0.5235
FAM135B	0.5112
E2F1	-1.0895
PLCB3	0.704
OR2AE1	0.3325
COIL	-0.663666666666667
CDC25C	-0.842166666666667
RAB11FIP2	0.378083333333333
TSC2	-0.00925
CTGLF5	-1.7425
CCDC108	0.1792
OR13C4	0.18875
C10orf81	5.96675
PTPRB	2.27275
ACP2	-0.05825
LAG3	0.57775
MRPL54	0.31
LOC201175	0.6785
ITGB1BP3	-1.717
SPTAN1	0.019
SIPA1L2	0.44875
RCAN2	0.129
CDX2	-0.6165
ECOP	0.1835
ACTR1A	0.432642857142857
PPARG	0.593666666666667
BBS10	0.178833333333333
TMEM44	-1.536125
BPIL2	-0.20675
CITED1	0.44125
IRF6	3.21075
PRDM4	0.846833333333333
RRP9	-0.807
OR10H4	0.13075
IL31RA	-0.44275
GNB1L	-1.424
MYBL2	-1.411375
ZNF407	0.708333333333333
PPIG	-0.0651666666666667
TTC18	0.695
RPSA	-0.5395
MAPT	1.556625
MRE11A	0.0571428571428571
C8orf37	0.5425
RASGEF1C	-0.320333333333333
STBD1	0.77175
CTAG2	0.911333333333333
MGAT5B	-1.87083333333333
ECM1	0.3985
RLN1	-0.1625
PARP14	0.6045
EPB41L1	1.1773
HOXA3	-0.100916666666667
MAGEA9	-4.79125
RPS8	-0.116166666666667
RPS19BP1	-0.22975
FOXJ2	0.622125
C10orf76	0.23975
IL17RE	0.19
C10orf65	-0.31325
ZNF343	-0.224333333333333
FBXO33	-0.95275
UHMK1	1.5983
LY6G6C	0.28225
FGF19	-1.65675
C14orf128	-0.0521666666666667
IFIT2	2.1735
TIGD1	-0.55625
S100G	0.4575
GUCY1B3	2.2475
NR3C1	0.1033
CORO1B	-0.248833333333333
PARP11	0.568916666666667
DNALI1	3.281
OR4N4	0.314375
MAP2K6	-0.2775
FSTL4	1.40525
ANKRD47	1.45625
TMEM171	-0.985
PNLIP	-0.2395
YY1	-0.347
CCDC138	-1.8255
AASDHPPT	0.0225
CKS1B	0.4204
MCM3	-0.554333333333333
ANAPC7	0.0848333333333333
FAM110A	1.5215
CDC37L1	1.5245
THTPA	0.6755
NBPF20	-0.984
WDR24	0.462
NPTX2	-2.2625
CBLB	0.0925
CETN1	0.127833333333333
RPUSD1	0.13175
FAF1	-0.847
CDK6	-1.7148
HMX2	-0.1175
CSK	-0.553166666666667
TEAD2	0.881
SNAP25	-0.23975
TUFT1	2.032
TMTC3	1.1945
LCK	-0.86775
SGOL1	-0.500666666666667
AKTIP	1.40425
FURIN	-0.293625
SOX12	-0.610666666666667
DEFB103A	0.63575
RAMP1	0.537
KIR3DX1	0.306
GAS2L3	-0.42525
PDE8A	-1.2882
EDN3	2.69675
GMIP	0.48475
SF3A2	0.39
FN3KRP	-0.54525
SMAD7	0.64675
RHBDD2	0.077
OR11H6	-0.197
PPP1R3B	1.2887
C9orf23	0.706
CADPS	-0.74075
GOLGA8A	-3.495875
TMEM57	0.9145
RGL3	-1.3255
S100A14	2.63125
FGFR2	1.0935
XRCC3	-0.84725
RTN4RL2	0.22575
MGC3771	1.9905
GH2	0.0498333333333333
BTBD2	-0.8065
LMO2	0.21575
RDBP	-0.372125
ACRBP	-1.505
AMY2A	1.253
DUOXA1	0.13
PTK7	1.15433333333333
TWF2	0.422666666666667
FAM80A	-1.59425
TNNI2	-2.448
GLT25D1	-0.475666666666667
OCC-1	-1.33675
CYC1	-0.610333333333333
RPL22	0.372409090909091
MORN3	1.19583333333333
DISP1	1.0175
PRB2	-0.385
CHUK	0.38225
HR	-0.020625
CCDC134	-0.077375
DENND4B	-1.17675
C14orf130	0.407375
RAB33A	-0.0005
DCST2	0.213
TNMD	3.394
PEX7	0.5
FAM62A	0.068125
SRD5A2L	0.21775
IL22	-0.003
RPS26	-0.326333333333333
HOXC5	0.588
SPATA6	1.327
FLJ38482	0.287125
ZNF234	0.22
C18orf22	0.34225
SPATA22	2.25825
THOC1	-0.148
CYP7B1	2.904
KCNC3	1.019
C8orf42	0.0995
ALDH1B1	0.188166666666667
CCDC100	-0.241
ARMC4	-2.5325
FAM18B2	0.129
SLC44A1	1.933625
FBXO17	-1.37983333333333
C6orf107	0.03325
C19orf29	-0.49675
ZC3HAV1L	-0.06025
PARP6	-0.5836
SULT2A1	-4.774
C1orf159	-0.46775
TMC1	-0.0893333333333333
CHST14	0.017125
GAMT	0.196333333333333
SMCP	0.0085
TSPAN33	-0.14975
MIDN	-0.027125
NOX4	2.4975
RNASEN	-0.2319
TBX1	-0.942
SALL2	0.0925
C10orf35	1.3605
CYP2E1	-0.943625
LRFN2	2.02183333333333
ACO1	-0.165666666666667
IQCG	0.9533
MEGF9	2.69425
TM7SF4	1.74975
PLEKHA1	1.14386666666667
STK33	-2.7365
C1orf210	2.12225
SNUPN	-0.2024
KIAA0406	-0.8999
C20orf29	0.203
TMEM55B	-0.438
OSTM1	-0.7683125
CLCN7	0.235
OTP	-0.13675
FLJ23049	-0.25775
HEATR4	0.743
MAP3K10	0.172666666666667
PCDHGA9	0.2735
AMDHD2	1.1055
LCTL	-1.603
PDCD2L	-1.22875
CABLES2	-0.15225
SLC5A9	-0.35975
CLCA2	3.174
MGC16025	0.144
STRAP	-0.394
C20orf196	-0.2315
RRBP1	0.572333333333333
NAT13	-0.32075
MAT2B	0.712375
CSNK1D	-1.40183333333333
KIR3DL1	0.105
PRKAG3	0.349
ZNF599	1.1625
PRM3	0.638
PER2	1.13366666666667
ASPHD1	-1.681
PRMT6	-1.03175
KCNE1L	-0.393071428571429
FAM118A	0.127333333333333
TAF4	-0.37675
NDUFB6	0.40525
TRIM9	-0.96775
PMFBP1	-0.571
KY	0.4165
DKFZp762E1312	-1.22472727272727
CSMD1	-1.012
TBP	-0.822333333333333
OR1Q1	0.330833333333333
RETNLB	-0.03825
HPGD	0.301857142857143
DNAJC12	0.0396666666666667
FKBP1B	-1.90675
ANKRD24	-0.594166666666667
CXXC5	0.928166666666667
IL3	0.1955
DRAM	0.3593
PTCH1	-0.60075
TP53BP1	-0.4955
SLC17A7	-0.09775
COL25A1	-1.2153
AMACR	-0.203833333333333
RHCG	0.2345
VPS13A	-0.2495
FAM55D	1.3915
PRPF38B	-0.572666666666667
OSBPL6	1.90425
PFDN5	0.4812
CMTM6	1.029875
KCNK12	-1.82675
RP2	0.60125
C16orf52	-1.2605
PICK1	0.1075
IFNE1	-0.939833333333333
SEMA4B	0.11675
TYRO3	-1.293
OR12D2	0.295
CSNK1A1	0.8265
FANCF	1.458
LONP2	0.42525
TBL1Y	-0.809
LDOC1L	0.08975
CCNC	-0.6255
C3orf60	-0.2955
CHKA	-0.98375
UBAP1	0.334
MAP3K1	1.758
ANKRD9	-1.08175
FAM92A1	-0.787333333333333
GAB2	0.00125
AZU1	-0.431
DIS3	-0.49675
C21orf109	-0.99425
IQCB1	0.0625
SPATS2	-0.167333333333333
EFCAB3	-0.1
PRB3	0.14325
FUZ	0.0978333333333333
ZNF813	0.380125
BMPER	-0.296333333333333
HEG1	0.117125
ALS2CR11	-0.413
SURF2	-0.08875
PSMC1	-0.139166666666667
OR2D2	0.112
SLC7A8	2.12833333333333
C4orf40	-0.2005
SPATA7	0.462
MAZ	-0.434916666666667
PIN4	0.43775
PDE1A	0.107375
TAF6L	-0.165166666666667
OR2T34	0.4195
KIAA0284	0.126
ACADS	-0.0255454545454545
MKRN2	-1.461
C18orf56	-2.551
MS4A6E	0.3685
GALNT4	0.8777
C22orf31	0.42
FLJ36070	-0.1365
PSME4	-0.12325
TFG	-0.3423
EPHX2	1.2455
ANXA5	-0.00375000000000001
KRTAP1-1	-0.0267
BATF	1.98325
KARS	-1.15525
MSTP9	0.1015
GPR26	-0.04375
CCDC72	0.152
TEF	0.508166666666667
FOXK1	-0.7079
PRLHR	-0.0795
EMX1	1.35875
C11orf30	-0.02875
ICK	0.3345
THSD7B	0.626
C21orf100	-1.6455
DUOX1	0.993
EFCAB4B	0.54475
UBE2G2	-0.978333333333333
C3orf54	0.39125
PARP1	0.41675
FAM60A	-0.99125
C6orf146	-0.8635
OR9K2	0.369
DDX55	-1.151
RPS15	0.0765
ZNF618	1.2858125
DKFZp686D0972	0.3515
SSPO	0.349
SHFM3P1	0.764
CPA6	-1.55425
JAG2	0.4775
DEFA3	-0.13525
PPBPL2	-0.0258333333333333
CD34	4.174875
SLCO4A1	-2.888875
AFG3L1	-1.90233333333333
SHD	-0.3605
RP13-122B23.3	-0.241
PRKCSH	-1.04483333333333
DPH5	-0.814166666666667
HLA-F	2.113
TBC1D4	-0.4355
RIG	-0.0143333333333333
GLUD1	0.0563333333333333
HNRPCL1	0.939875
HBXIP	-0.3185
RNF207	-0.8795
APIP	0.07025
PLA2G3	-2.94233333333333
CCDC84	-1.4125
MYLIP	-0.0720769230769231
PHIP	-0.4935
AARS2	-0.334166666666667
DHX32	0.711
SCAPER	-0.458833333333333
MEN1	-0.609125
NIP7	-1.22
FLJ25404	0.1825
FASTKD3	-0.25825
TMEM158	-2.18591666666667
RARA	1.55275
BDH1	0.301
ANKRD16	0.79325
CARM1	0.139
SS18	0.333166666666667
IKZF2	0.743416666666667
MYD88	0.29
PML	0.1516
TAF1A	-0.17125
CBFB	-0.619125
HIST1H3H	1.85966666666667
C7orf29	-1.323
COMMD4	-0.653833333333333
DPP3	-0.81525
DAB2	0.926125
LOC388882	0.0605
YPEL4	-0.213875
AGBL3	0.49825
LRP6	0.1848
SERPINH1	0.18325
TLE1	-0.341
CD244	0.628166666666667
ZDHHC15	0.43175
MGLL	1.2159
PLDN	-0.0129166666666667
LOC654346	1.6075
FAP	3.40325
GPR37	-0.583166666666667
SCARA5	2.01383333333333
EBF4	1.94345454545455
LSM6	-0.26625
MLLT1	-0.193875
SLC5A12	0.02425
A2BP1	-1.02383333333333
COPS5	0.5115
TPM4	-0.0522142857142857
TNFSF4	1.798
ACADSB	0.428666666666667
HERPUD1	0.11125
BCL2L11	0.0886666666666667
CEP78	-0.0675
CDCA3	-0.8425
WBSCR19	0.0821
MYO1A	-1.724
PPEF1	2.07166666666667
LOC440348	-0.90025
CPEB2	0.3525
BPTF	-0.709666666666667
RPL21	0.3000625
GSX2	0.153
ADPRH	1.295
C17orf68	0.0163333333333333
KCNS1	-0.307333333333333
MLLT6	-0.2928
PIWIL4	0.2535
RNF26	-0.43225
RAP1B	1.08825
ADAMTS1	-0.6093
ZNF571	0.47425
P2RY6	-0.01
TRIM21	0.9335
CADM3	0.135
NLRC5	0.4965
ADRA2B	0.185
LOC90835	-0.158125
PCF11	0.63775
LOC400451	1.1115
GLTSCR1	0.3852
C17orf88	-0.972166666666667
CDH16	-2.0215
FGF7	2.811625
PCSK4	0.4895
NPC1L1	-0.720333333333333
TAT	0.100875
TBCA	-0.274
MGC33407	0.1715
GPR115	-1.279375
CYGB	0.5275
FNBP4	-0.789666666666667
C12orf43	-0.31425
CBL	-0.3271
CLECL1	2.41
PPAPDC1A	1.90475
WDR25	0.396833333333333
SGCA	0.371
C22orf29	0.514
YIPF1	1.1505
GALK2	-1.4565
RAB3B	-3.499
LOC440087	0.17225
UCP1	-0.4215
REEP5	1.30925
FADD	0.2561
FOXA1	2.7555
CACNA1A	0.0015
ABI1	0.322166666666667
GRIN2D	0.349
SLC1A4	0.4595
LOC401127	-0.2685
HINT2	0.77275
PLD4	0.385333333333333
ZNF286A	-0.878
ENY2	-0.4595
IL1F6	0.2615
PXDNL	0.79925
C20orf79	0.38325
TNFSF13B	2.93633333333333
DENND3	-0.02075
JARID1D	-2.86525
HIST1H2AK	1.034625
LOC93349	0.0888
SSH1	-0.5001
ENSA	0.66075
LOC219854	0.711166666666667
CKAP2	0.127
DKFZP564J102	0.7825
MGC87315	-0.286
HNRPAB	-0.421
AMH	-1.3055
ZNF526	-0.000499999999999999
BRUNOL5	-0.2215
CACNG3	-0.0168333333333333
TRPM1	-2.9555
PPP2R1A	-0.024125
COL2A1	-1.46475
DDN	-0.227833333333333
FLJ25770	0.84675
HK2	-0.0747857142857143
ELOVL6	-1.299625
MDK	-0.6665
EPHX1	0.11725
RASSF2	0.85175
DKFZP434B0335	-0.69725
DLX3	-0.12425
PRTN3	-0.86625
AVPR1A	1.00725
C21orf125	-2.664
TNFAIP8	0.0436666666666667
GNB2L1	-0.27725
CALCRL	3.37825
SCGB2A2	7.83583333333333
UBXD7	-0.63175
ZNF674	-0.3315
TMEM35	0.384
BRSK2	-1.093
HECTD3	-0.0816666666666667
TMEM188	-0.00583333333333333
LGALS9	1.985375
SCARB2	0.726833333333333
USP34	0.00516666666666667
C17orf28	0.90675
ZDHHC23	-0.3625
AQP12B	0.166
SLC16A3	-2.5555
APLP2	-0.2195
ITIH2	-4.876
MICAL3	-0.556625
TNNI3K	0.6008
HDAC2	-0.053125
PRR7	-0.6223
THBS2	0.95525
LOC751071	0.636833333333333
CA2	1.4405
RANBP17	0.04225
RLN3	0.01975
CRYZ	-0.0118333333333333
GBAS	-0.4385
TAS1R1	-0.44525
MPZL3	1.1485
PCDH8	-1.05425
HSP90B1	-0.0393333333333333
KCNK15	1.0195
TNIP2	0.103666666666667
GPR146	0.7185
NOL6	-0.057875
SPC25	-1.17244444444444
STEAP2	2.38121428571429
VAMP3	-0.0943333333333333
TCIRG1	-0.1595
ZP4	-0.179166666666667
PARL	0.0775
TRIM39	-0.02
KIAA1305	0.864
CRNN	0.368666666666667
GRN	0.05425
HSH2D	-1.427
SCAMP1	0.921625
KIAA1913	1.31075
PTS	-0.48725
BANP	0.275285714285714
PRKACG	0.06375
ADCY6	0.959833333333333
C16orf46	-0.0135
CYP51A1	-0.273
DDC	-4.67625
ANPEP	-0.514
PROM1	0.728833333333333
SIGLEC10	1.579
COPG	-0.1535
FAM26E	1.6685
TRIP4	0.14175
SNX3	0.2375
C1orf175	0.155
PPY2	0.2165
C14orf152	0.2295
FTSJ1	-0.8265
DST	0.8581
LOC554235	0.22075
GLRX5	0.3335
C20orf12	1.0235
CAB39	0.578333333333333
MSH2	-0.663833333333333
PIP4K2C	0.718
CYLD	1.00475
WTAP	0.351875
MGAT4A	1.08466666666667
TSC22D4	-0.2359
CHRM2	-1.372
PPYR1	-0.000666666666666649
CCNH	0.175333333333333
RRM1	0.45925
ECAT8	-2.746
LOC400120	-0.1955
GABRA4	-0.059
C14orf4	1.002
C1orf59	0.16975
CTDSPL	0.585416666666667
NHEDC2	-1.222
PDE11A	0.332
KLHL29	0.094
CD5	0.5668
TSPAN9	1.66175
WDR67	-1.02275
THUMPD1	0.6667
C18orf17	-0.676
CLYBL	0.323166666666667
FLJ13231	-0.017625
CMBL	0.344375
LECT2	-0.21475
NKAPL	2.97483333333333
LOC654780	0.661
OR4C6	-0.796
RAB30	2.222
TSSK4	0.061
TMEM163	0.752
OSBPL11	8.33333333333242e-05
GNB5	-0.9295
CCL21	1.6665
C1orf121	0.276
FMO2	2.429
RPTN	0.28
MSTN	0.4765
VCL	0.452857142857143
FYTTD1	-0.07325
C11orf1	0.15975
CCDC88C	0.5723125
HFE	-0.528944444444444
MOGAT1	-0.17
FAM125B	1.077
IRGQ	0.1605
RAVER2	-0.55625
AKAP5	-0.233
SSSCA1	-0.0885
C11orf63	1.718625
ACTG2	0.7728
PORCN	-0.98
DTL	-0.0722727272727273
TMEM151	0.13475
FAM122C	-0.1165
RSAD2	3.5493
BAT4	0.1185
KRTDAP	-1.505
MYH8	0.4395
CRTC3	-0.09325
LRRFIP2	0.1718
INTS4	-0.238833333333333
TTN	-1.15933333333333
SLC26A5	0.2955
PLLP	-0.9775
RGS6	0.538875
SRGAP3	0.07775
ZNF525	0.133
NBR2	-0.970666666666667
C13orf1	-0.1203
ZNF137	0.011
CEP27	-1.65
BEST2	-0.124
RNF121	-0.25
DMRTC2	0.50375
C8orf76	-0.05975
BCCIP	0.37225
MEST	0.23225
HTRA2	-0.2645
ANGPTL2	1.5835
ILKAP	0.347666666666667
ERAS	0.306
HBS1L	-1.043375
CPA5	0.082
TMEM30A	0.6065
CD300LF	1.85466666666667
WISP3	1.8725
CRK	0.0295714285714286
PDS5A	-0.1219
BRPF3	0.355333333333333
NEDD9	0.2695
SMPDL3B	1.37775
PSG6	-1.282
PSMD13	0.20075
ETV5	-1.8788125
OR51A4	0.0645
BTBD7	0.685
GSTO1	-0.56275
hCG_16001	-0.026
MAD2L1BP	-0.0161666666666667
COX6A2	0.5765
SCNN1A	1.608
LSM1	-0.342166666666667
UGT2B11	-1.816
IDUA	0.26775
PPP2R3C	-0.692833333333333
COX11	-1.58433333333333
PDZK1	-1.63725
ZNF443	0.104166666666667
MGC21874	0.9465
ZNF323	1.3523
KRTAP10-10	0.242
CXCL6	0.03975
SLC34A2	1.7697
LOC284402	0.0455
NPTN	0.874
UPP1	-1.42958333333333
SLC6A9	-0.408
OR7G3	0.0645
CISD1	-0.599833333333333
ZNF545	-0.993
SYT14	-0.851
NT5C3L	-0.954833333333333
ZNHIT3	-0.713333333333333
SNRPD3	-0.2425
KIAA0701	1.0205
UNC93B1	-0.00799999999999999
GMNN	-1.242625
SPCS2	0.788833333333333
LOC388524	-0.1135
NAPRT1	-0.031375
PNLIPRP1	0.09325
OR6V1	0.649
PRKAB1	0.05675
EYA4	-2.9185
KIF20A	-0.97225
ALG10	0.1815
ITPKC	1.044
LMX1B	1.7295
RPUSD4	-0.690166666666667
C7orf34	0.1145
DLGAP2	0.252375
PFN1	-0.8953
MICALL2	-0.340416666666667
ZNF654	-0.3955
SS18L1	-0.7625
SLC16A8	0.22725
MKI67IP	0.3825
ITGB3	-1.056125
TCEA3	2.34783333333333
CEP152	-2.069875
CLIP1	0.27675
ZNF75	0.4106875
ATP5C1	-0.1785
NUDT5	-0.3085
PSCDBP	2.04125
UBP1	-0.62225
RBM27	0.40375
C13orf15	2.619375
ZNF282	0.00166666666666668
ZNF222	-0.5276
COL10A1	4.659
PRDM15	-0.502875
TTTY5	0.047
FAM9C	-0.720416666666667
C20orf67	-0.67425
GNG13	0.997
F12	1.22675
C1orf41	-0.86325
CPXCR1	0.8125
GSK3A	-0.209625
SUPT6H	-0.7945
PI16	2.95116666666667
ELL2	-0.324083333333333
C9orf167	-1.65466666666667
PVRL3	-1.4972
FLJ38596	0.3725
ADAM20	-0.048
GPR89A	0.624
GPR87	-0.993
ZNF30	0.532
SMR3B	0.90425
ZNF770	0.15925
TRPC4AP	-0.606666666666667
DKFZP686E2158	0.9125
C2orf28	0.481
FREM1	0.712833333333333
LAMA4	1.19566666666667
ADPRHL2	-0.117
EIF4G2	0.548166666666667
GUCA1A	0.0595
CTNNA2	-1.32375
NUDT15	0.0755
CEPT1	0.126333333333333
ZNFX1	0.4888
CCDC92	0.77775
TDRD1	1.649
KCNK5	-1.63483333333333
ETNK1	0.1575
LTA	0.218
TTPA	0.309
B3GALNT2	0.4025
SC65	-0.295333333333333
PEX5L	-1.699
EPS15L1	0.24025
MGEA5	-0.092875
HIST1H3A	1.68775
ING1	0.346625
BCAT1	-2.701875
ORC6L	-2.47790909090909
KLK11	-0.467666666666667
C19orf28	-1.545125
DNER	-3.742875
MED22	0.102857142857143
ETV6	1.3995
CHAC2	-0.822
CD300E	0.2945
CEBPB	0.480916666666667
ZNF398	-0.49075
LRCH3	-0.2975
HMGA1	-1.9315
CAPN7	0.179666666666667
MGC5566	-2.29
CCL3	2.312625
NANOS1	0.346625
ZFYVE19	0.09375
APITD1	0.0761666666666667
PARD3	-0.460125
IRAK4	0.0346666666666667
SERPINI2	0.179
CEP170L	-0.47125
TTC9	2.396375
MYOM3	-1.16025
MLPH	1.124125
LOC222699	-0.179
NRG1	-0.757
TBC1D9	2.64336363636364
TTK	-1.863
ZNF557	0.2199
DDX41	-0.537666666666667
FANK1	2.3005
UBE2D2	-0.19975
PSMB10	0.591375
MYH7B	0.287
GABARAPL2	-0.338375
MARVELD2	1.939
DGCR2	0.565
UNC45A	-0.451666666666667
C6orf72	-0.0265
ZNF683	4.179
GIT2	0.257375
CASK	0.182333333333333
C14orf161	2.2255
LRRC44	-0.602
TIFA	0.32775
UTP11L	-0.7065
C6orf65	-0.623
FDPS	0.115
DUSP9	-1.8667
SLC17A8	0.129333333333333
OR51G1	0.176666666666667
NANS	0.9585
OLFML1	1.51
ATP10B	-1.362875
NPAS3	-0.37225
PRKCA	-2.0174
GGA2	-0.1776875
LCE4A	0.2995
SPANXN3	0.014
CCDC115	2.245
SDCCAG3	-0.6505
GLIPR1L1	0.258
TTC1	0.074
C17orf76	0.54725
MAD2L2	-0.86575
HIPK1	-0.1847
LRRC3B	0.4035
CLN3	-0.312772727272727
C17orf47	0.131
FMN2	-1.303875
TUBB1	-0.981
WAPAL	0.306833333333333
C3orf21	-0.61475
SCN5A	-0.3083
SMYD1	-0.11925
BEX5	0.9055
ZNF192	-0.1165
SEC22A	0.2785
GRIA2	0.534785714285714
KIAA0825	-1.07825
NUSAP1	-1.44954545454545
LANCL1	0.4335
C15orf40	-0.6141
ZNF645	0.025625
GPR61	0.14925
NLRP14	0.0155
SNX21	0.1982
C1QTNF8	0.0885
C17orf46	0.02725
IFNA8	0.4045
SPRR1B	-2.09766666666667
FLRT1	-1.02575
SNX17	-0.128
ASB2	0.474
HBG1	-4.3835
RPRML	-1.3045
JOSD2	-0.309166666666667
PLSCR3	0.50075
SPOCD1	-0.604666666666667
RAB39	-0.159
GHRH	0.1865
ITIH5L	0.06375
C17orf37	-0.0345
SMCR8	0.7315
DPY19L2P3	-1.03233333333333
IL11RA	1.03883333333333
GDF3	-3.49066666666667
RPS6KB1	-1.58866666666667
DNAJC19	0.0677000000000001
TOP1	-0.3295
CRCT1	-0.092875
MPST	-0.167125
DPM2	0.59875
FAM38B	-1.73283333333333
SLC18A1	-1.72233333333333
FARP1	0.5035
PAX7	0.77925
TUBD1	-2.04
GNL3	-0.843625
BTG2	2.2058
NDUFS6	-0.18825
C1orf79	-1.5925
ERAL1	-1.168
ECHS1	1.07325
VPS4A	-0.74
CYP11A1	-0.320625
ABCC6	-0.0892142857142857
PBX4	-1.763
MOSC1	0.83275
NCF4	1.12875
HYMAI	0.328
NAGPA	-0.638625
OTOP2	0.2105
ACOT12	0.03625
MTHFD2L	-1.01625
LOC441376	1.18825
C19orf34	-0.398
RAB1B	0.35225
ALDOAP2	-0.4415
NTRK1	-1.152
ARTS-1	0.2497
SLC6A11	-0.643
NAP1L2	0.26875
CNGB1	-0.099
EPB41L4B	1.48916666666667
FAM134B	2.372
HS3ST3A1	-1.20316666666667
CPXM2	5.13625
SIRPB2	0.2825
CHORDC1	-1.35983333333333
TRIB3	-1.0715
SLC2A5	0.34275
C2orf49	-0.1015
DDX5	-0.366
OR5L1	0.292
ANAPC4	-0.414666666666667
ZSWIM1	0.30675
LOC93622	-0.043
KCNK3	-0.5261
RP11-35N6.1	-0.855375
ZFP161	0.642166666666667
AQP9	2.4545
SLC15A2	1.0455
MREG	1.588
OR9I1	0.2185
PDLIM2	0.310125
ADAM7	0.1465
GSTCD	-0.212666666666667
WDR21A	-0.09325
SLC12A8	0.956333333333333
TMEM174	0.02575
IGSF3	0.818583333333333
LRRN1	1.67375
LOC402117	0.159
SRPK1	-0.468333333333333
LY6K	-0.428625
NFIA	3.361
PTCD3	-0.235875
LEP	3.272
PCDH21	-0.4295
MAPKAPK2	0.901
NMNAT1	-0.2775
LHFPL2	0.607
C9orf43	-0.35775
DIP2A	-0.696166666666667
ACTR8	-0.241125
CCDC34	-0.503
PTPN22	-0.665
ITGA3	-1.15075
