Hybridization REF	TCGA-AR-A1AP-01A-11R-A12P-07
TRIP4	0.5375
SNX3	0.663333333333333
C1orf175	0.347
PPY2	0.3495
C14orf152	-0.42775
FTSJ1	-0.1005
DST	1.12015
LOC554235	0.0385
GLRX5	-0.6445
C20orf12	2.0627
CAB39	0.468
MSH2	-0.973166666666667
PIP4K2C	1.616375
CYLD	0.7855
WTAP	1.5758125
MGAT4A	2.59033333333333
TSC22D4	-0.1058
CHRM2	-1.8975
PPYR1	0.103
CCNH	-0.169166666666667
RRM1	-0.41775
ECAT8	-3.3785
LOC400120	-0.075
GABRA4	-0.0951666666666667
C14orf4	1.61783333333333
C1orf59	-1.4405
CTDSPL	0.947333333333333
NHEDC2	-1.8645
PDE11A	-0.0276666666666667
KLHL29	-0.8975
CD5	-0.0198
TSPAN9	1.6533125
WDR67	-0.94925
THUMPD1	0.2279
C18orf17	0.2435
CLYBL	-0.0773333333333333
FLJ13231	-0.82525
CMBL	0.237375
LECT2	-0.062
NKAPL	2.39583333333333
LOC654780	0.9075
OR4C6	0.2005
RAB30	1.71483333333333
TSSK4	-0.284
TMEM163	1.153
OSBPL11	0.45925
GNB5	-1.44116666666667
CCL21	0.48575
C1orf121	0.116
FMO2	1.70383333333333
RPTN	1.242
MSTN	0.966
VCL	-0.0222857142857143
FYTTD1	0.357
C11orf1	-0.47875
CCDC88C	-0.7063125
HFE	0.526555555555556
MOGAT1	-1.8655
FAM125B	0.355
IRGQ	0.061
RAVER2	0.2375
AKAP5	-2.448
SSSCA1	0.1305
C11orf63	1.276625
ACTG2	1.3929
PORCN	-1.167
DTL	-1.72790909090909
TMEM151	0.229
FAM122C	-0.93425
RSAD2	4.2199
BAT4	-1.363
KRTDAP	-1.87566666666667
MYH8	0.297857142857143
CRTC3	0.76425
LRRFIP2	1.3531
INTS4	1.62016666666667
TTN	-1.37333333333333
SLC26A5	0.244
PLLP	-1.51525
RGS6	-0.78
SRGAP3	-0.355142857142857
ZNF525	0.0931666666666667
NBR2	-1.29733333333333
C13orf1	0.4089
ZNF137	0.5665
CEP27	-0.90375
BEST2	0.1495
RNF121	1.32925
DMRTC2	0.7665
C8orf76	0.4415
BCCIP	0.4765
MEST	-0.81125
HTRA2	-0.0535
ANGPTL2	0.4465
ILKAP	0.645333333333333
ERAS	0.3245
HBS1L	-0.133125
CPA5	-0.006
TMEM30A	1.622
CD300LF	2.53983333333333
WISP3	0.4705
CRK	0.825428571428571
PDS5A	0.3374
BRPF3	-0.00483333333333333
NEDD9	-0.977
SMPDL3B	1.427
PSG6	3.57875
PSMD13	0.8545
ETV5	-1.0605
OR51A4	0.03
BTBD7	-0.59575
GSTO1	-0.814625
hCG_16001	-0.1645
MAD2L1BP	-0.976666666666667
COX6A2	-0.6295
SCNN1A	2.4255
LSM1	-0.2415
UGT2B11	-2.653
IDUA	1.22825
PPP2R3C	-0.2845
COX11	-0.970333333333333
PDZK1	-0.87925
ZNF443	0.0875
MGC21874	1.00916666666667
ZNF323	1.7644
KRTAP10-10	0.562
CXCL6	-0.3165
SLC34A2	2.0243
LOC284402	-0.237
NPTN	0.325416666666667
UPP1	-1.51733333333333
SLC6A9	-0.288
OR7G3	0.399
CISD1	-0.582333333333333
ZNF545	-0.494333333333333
SYT14	-0.34
NT5C3L	-0.705833333333333
ZNHIT3	-0.727666666666667
SNRPD3	-0.52075
KIAA0701	0.35525
UNC93B1	0.114
GMNN	-2.109625
SPCS2	1.84533333333333
LOC388524	-0.093
NAPRT1	0.85925
PNLIPRP1	0.7965
OR6V1	0.6
PRKAB1	-0.17575
EYA4	-3.41366666666667
KIF20A	-1.667
ALG10	0.293
ITPKC	1.57733333333333
LMX1B	0.596166666666667
RPUSD4	-0.956666666666667
C7orf34	-0.1026
DLGAP2	0.155
PFN1	0.092
MICALL2	0.153916666666667
ZNF654	-0.513
SS18L1	-0.5665
SLC16A8	0.0975
MKI67IP	0.04
ITGB3	-1.114375
TCEA3	2.08158333333333
CEP152	-2.421875
CLIP1	0.8485
ZNF75	0.61225
ATP5C1	-0.163
NUDT5	-0.227666666666667
PSCDBP	0.4825
UBP1	0.3185
RBM27	-0.5195
C13orf15	2.0605
ZNF282	-0.281333333333333
ZNF222	0.4753
COL10A1	5.485
PRDM15	-1.2235
TTTY5	-0.544
FAM9C	-0.333416666666667
C20orf67	0.253
GNG13	-0.644
F12	-0.656
C1orf41	-1.1405
CPXCR1	-0.9375
GSK3A	0.497625
SUPT6H	-0.128333333333333
PI16	3.54716666666667
ELL2	-0.691166666666667
C9orf167	-1.92866666666667
PVRL3	-2.3195
FLJ38596	1.04175
ADAM20	0.0985
GPR89A	0.455
GPR87	-1.4665
ZNF30	0.6565
SMR3B	0.4235
ZNF770	0.1035
TRPC4AP	-0.0428333333333333
DKFZP686E2158	0.627333333333333
C2orf28	-0.223333333333333
FREM1	-0.603
LAMA4	-0.000833333333333325
ADPRHL2	0.47875
EIF4G2	0.979833333333333
GUCA1A	-0.294
CTNNA2	-2.186
NUDT15	-0.815
CEPT1	0.713166666666667
ZNFX1	1.5066
CCDC92	1.2585
TDRD1	-0.984
KCNK5	-1.88116666666667
ETNK1	0.5925
LTA	0.775
TTPA	0.0593333333333333
B3GALNT2	-0.108375
SC65	-0.671833333333333
PEX5L	-2.03475
EPS15L1	-0.002
MGEA5	0.085125
HIST1H3A	0.496
ING1	0.319875
BCAT1	-2.503875
ORC6L	-2.87218181818182
KLK11	-3.3345
C19orf28	-1.06025
DNER	-3.77725
MED22	-0.829285714285714
ETV6	1.39525
CHAC2	-2.10775
CD300E	0.2625
CEBPB	1.90075
ZNF398	-0.233
LRCH3	-0.045
HMGA1	-1.71483333333333
CAPN7	0.487333333333333
MGC5566	-2.95475
CCL3	2.65975
NANOS1	-0.050125
ZFYVE19	0.01575
APITD1	-0.634333333333333
PARD3	0.267
IRAK4	-0.0156666666666667
SERPINI2	1.167
CEP170L	-0.7775
TTC9	2.168375
MYOM3	-1.552
MLPH	2.356625
LOC222699	-0.025
NRG1	-1.5165
TBC1D9	2.74845454545455
TTK	-2.07866666666667
ZNF557	1.0658
DDX41	0.0095
FANK1	3.227
UBE2D2	0.1955
PSMB10	0.39375
MYH7B	-0.3055
GABARAPL2	-0.120125
MARVELD2	1.0465
DGCR2	-0.024
UNC45A	0.344
C6orf72	0.677
ZNF683	4.27925
GIT2	-0.413875
CASK	1.88783333333333
C14orf161	3.55766666666667
LRRC44	-0.0605
TIFA	0.3625
UTP11L	-0.552375
C6orf65	-0.5755
FDPS	-0.13025
DUSP9	-0.2321
SLC17A8	0.752
OR51G1	-0.00383333333333334
NANS	-0.704
OLFML1	1.70925
ATP10B	-1.125125
NPAS3	-1.808
PRKCA	-2.6496
GGA2	-0.2610625
LCE4A	0.853
SPANXN3	1.29833333333333
CCDC115	1.695
SDCCAG3	-1.69325
GLIPR1L1	-1.3045
TTC1	0.395
C17orf76	0.9855
MAD2L2	-1.3785
HIPK1	-0.9608
LRRC3B	-0.303333333333333
CLN3	-0.374272727272727
C17orf47	0.0975
FMN2	-1.206625
TUBB1	-1.17957142857143
WAPAL	0.259833333333333
C3orf21	-0.748375
SCN5A	-0.4367
SMYD1	0.5535
BEX5	2.362
ZNF192	-1.695
SEC22A	-0.0293333333333333
GRIA2	1.15328571428571
KIAA0825	-0.893
NUSAP1	-1.75818181818182
LANCL1	-0.3285
C15orf40	-0.7556
ZNF645	-0.258375
GPR61	0.39475
NLRP14	-0.2345
SNX21	-0.0283
C1QTNF8	0.1105
C17orf46	0.27275
IFNA8	-0.422
SPRR1B	-2.0805
FLRT1	-0.72675
SNX17	0.606666666666667
ASB2	-0.3005
HBG1	-4.9795
RPRML	-2.63675
JOSD2	0.788333333333333
PLSCR3	0.3945
SPOCD1	0.552
RAB39	-0.753
GHRH	0.981666666666667
ITIH5L	0.23975
C17orf37	-0.10375
SMCR8	0.603666666666667
DPY19L2P3	-1.57516666666667
IL11RA	0.288333333333333
GDF3	-3.995
RPS6KB1	-0.920833333333333
DNAJC19	0.3573
TOP1	-0.1735
CRCT1	1.118625
MPST	0.027375
DPM2	-0.5215
FAM38B	-0.472833333333333
SLC18A1	-2.05566666666667
FARP1	0.481333333333333
PAX7	0.0455
TUBD1	-1.3565
GNL3	0.52725
BTG2	2.13993333333333
NDUFS6	-0.1885
C1orf79	-0.85725
ERAL1	-0.88225
ECHS1	0.702
VPS4A	-0.648166666666667
CYP11A1	-0.55925
ABCC6	-1.72407142857143
PBX4	-1.7875
MOSC1	-1.400125
NCF4	0.984
HYMAI	0.5505
NAGPA	-0.351875
OTOP2	0.42075
ACOT12	-0.091
MTHFD2L	0.505125
LOC441376	2.62625
C19orf34	-0.311
RAB1B	0.3415
ALDOAP2	0.6365
NTRK1	-1.51466666666667
ARTS-1	0.2864
SLC6A11	-0.708
NAP1L2	-1.2635
CNGB1	0.0475
EPB41L4B	-0.119416666666667
FAM134B	1.661
HS3ST3A1	-1.70333333333333
CPXM2	4.63175
SIRPB2	0.773
CHORDC1	0.248166666666667
TRIB3	0.513166666666667
SLC2A5	0.9265
C2orf49	-0.421833333333333
DDX5	0.141
OR5L1	-0.1555
ANAPC4	-0.3745
ZSWIM1	0.21425
LOC93622	0.054875
KCNK3	-0.8509
RP11-35N6.1	-1.634875
ZFP161	-0.107333333333333
AQP9	4.346
SLC15A2	1.64366666666667
MREG	1.983
OR9I1	0.693
PDLIM2	0.440125
ADAM7	0.5255
GSTCD	-1.29416666666667
WDR21A	-0.496625
SLC12A8	1.69333333333333
TMEM174	0.48525
IGSF3	0.688666666666667
LRRN1	-0.284
LOC402117	0.117
SRPK1	-1.3105
LY6K	-2.0826875
NFIA	3.0695
PTCD3	-0.089
LEP	3.08916666666667
PCDH21	-0.579166666666667
MAPKAPK2	0.698
NMNAT1	-0.878833333333333
LHFPL2	0.97375
C9orf43	-0.47075
DIP2A	-0.782166666666667
ACTR8	0.4765
CCDC34	-0.058
PTPN22	-0.589375
ITGA3	-0.4375
FAM129C	0.12125
RABGGTA	0.375166666666667
UNC45B	-0.2445
KIAA1033	-0.0865
ZNF510	-0.276
CYP2D6	-0.523333333333333
SLC26A10	-1.3125
STX8	0.783
LUZP1	0.048875
WDR89	-0.6385
EIF4G3	-0.0241
C5AR1	1.5755
ZNF623	1.217
A2M	0.8225
TGM7	0.2715
GRPEL1	-0.1885
LMNB2	-1.0294
ROCK2	0.0401666666666667
SNX16	0.789375
CCDC66	0.2315
ANXA3	-0.03675
KIAA1609	-0.362125
EED	0.11625
RNF32	0.0498333333333333
HES1	0.2723
CLC	1.72
ISL1	-0.8365
KIAA0528	-0.02125
MANEA	0.416375
C1orf61	-2.5685
hCG_2001000	-0.06575
RAPGEF6	-0.5652
KIAA0020	-0.838833333333333
NEIL1	1.39225
C16orf45	0.138625
RBM10	-0.699666666666667
C10orf125	-0.781
MRS2L	-0.88625
DNAH17	-1.45175
C19orf10	-0.245
C1orf160	0.372
SLFN12	2.09375
EXOC3	-0.52
HIST3H3	0.3635
NCOR2	-0.1585
TNFRSF9	0.13925
MFSD8	1.41125
ALX1	-3.8915
NOL1	-0.85125
PODN	2.94325
TIAL1	-0.83475
HIST1H1E	-2.6275
NPY6R	0.4315
TM4SF4	-0.16925
CORO2A	-0.7445
ETNK2	1.87633333333333
APOE	1.165
ANGPT4	0.104
HDGF2	0.33925
G30	0.5795
ST8SIA4	-0.290142857142857
F2RL1	0.26575
FAM19A4	-2.8865
CCAR1	0.1475
B3GNT7	0.17625
OPHN1	-0.6111
DSCR6	-1.187
C21orf13	0.432333333333333
GAS2L1	0.177
RFX3	0.476
COPS4	0.36725
BCHE	-3.75366666666667
BCL2	1.231
HBZ	-3.35283333333333
ARL13B	0.455125
MAPBPIP	0.643
MYO15B	-0.1545
SPZ1	0.06975
KIAA1324	1.98155555555556
PLCL2	0.2385
C4orf29	-0.51925
WDFY2	-0.411125
ZNF284	-0.144
NAALADL1	0.2995
DUSP5	1.47466666666667
PXDN	0.471125
SLMO1	-0.7845
TNXB	0.3398
BIRC7	-0.21975
A4GALT	1.29666666666667
TIMM22	0.7155
FAM110C	1.6635
TOMM34	-0.539
ABHD9	-0.155
ADAM32	0.641
CRHBP	-0.577
AQP2	0.373125
LOC130355	0.54075
ZNF187	-0.2865
ZNF816A	0.886
F7	1.12475
CNOT1	-0.57
SLC13A4	-1.37275
ZBTB11	-0.0115
B3GALT5	0.699
EXOC2	0.0561666666666666
IRS1	0.1681
TMEM1	-0.0475
MRPL34	-0.242833333333333
SAMM50	-0.70375
CDC42EP3	-0.6875
HSF2	-0.1407
MFN2	0.3245
TSPAN7	-1.4395
NUCB1	0.76175
RHOH	-1.216
ARL16	0.0075
TACR1	-0.12125
SFRS5	-0.637166666666667
SNX25	-0.371125
RHBDF1	0.730333333333333
PCDH18	2.16316666666667
HMG1L1	-0.472
MYO5C	0.263875
MAPK10	1.2975
LDHAL6A	-0.426333333333333
NUDT12	0.9415
NCAM1	-0.100875
GLIS2	0.4025
GGTL4	-0.4035
DAPP1	1.5935
ATF7	0.778875
KIAA0748	-0.85225
NFIL3	0.1385
TM6SF1	0.8396
SEZ6	-0.09925
NANOS3	0.456
DNAJA3	-0.3815
CLDN6	-2.0965
CIITA	2.9455
EPHA4	-1.87866666666667
FANCC	-1.00375
CMTM3	0.50575
PSG3	2.15275
MRPL15	-0.35125
C21orf59	-0.0995
PLCXD2	-0.1075
C2orf34	0.16325
UBE2L6	2.36125
MED14	0.276333333333333
HP1BP3	-0.7718
C6orf208	0.343
TPBG	1.17725
OSR2	1.23875
XPC	-0.334
KLHL7	-0.551833333333333
CCR3	-0.8505
AGTPBP1	-0.836
PCSK6	0.0418
STAT5A	-1.577
FAM18B	0.78525
LONRF2	0.881166666666667
PTPN2	-0.76725
SF3A3	-1.238
EFCBP2	-0.27325
HCFC1	-0.198666666666667
AHNAK	0.03615
ACTR5	-0.02625
KIF14	-2.54185714285714
TENC1	1.25125
HEATR5B	1.1625
YIPF2	0.997666666666667
MYEOV2	1.40583333333333
DUSP18	0.657
KIAA1012	-0.335
AHR	1.096
C17orf53	-1.61733333333333
PTPRH	-2.067
ATP6V1C1	0.9123
TAS2R3	-0.302
LOC440356	-0.86425
COQ10B	1.448
PSMF1	0.707333333333333
SORBS2	3.14425
NFE2L2	0.31275
TMCO7	-0.8285
SH3PXD2A	-0.7598
SH2D2A	-1.18275
SPINK5	0.687
MRPS24	-1.319
OPA3	-0.077125
TRAF7	0.5835
C4orf35	0.440833333333333
MT1G	0.615375
MGC39545	0.23025
HS1BP3	0.9516
OR2B2	0.05
CHRM4	0.251
SFRP2	2.78033333333333
RIC3	0.8905
ART1	0.3805
C6orf1	0.47175
DUS4L	-0.58
C10orf104	0.31225
TNFAIP6	2.397
RTEL1	-0.264
CCT4	-0.769
ZNF709	-0.093
CHMP6	-0.276
UPP2	0.70275
CYP19A1	-1.4605
CD151	0.317666666666667
NDUFA13	0.116833333333333
ARFRP1	-0.565666666666667
FAM26B	2.02125
CRYBA1	-1.518
MRPL41	-0.823166666666667
NPFFR2	0.210125
HRH2	0.5035
SCAMP3	0.345833333333333
MTMR6	1.0387
MTG1	-1.04116666666667
UBTD1	1.72225
CRABP1	-2.709
FLJ33790	0.6481
KIAA1908	-0.3225
GPR158	-3.3525
PACSIN3	-0.730166666666667
OMD	3.4815
CATSPER1	-0.400166666666667
HOXB8	-1.8105
FBXO46	0.632
OAS1	2.60433333333333
SVIL	0.62475
PHB2	-0.24925
ADCY3	0.1105
NDRG2	0.701833333333333
ERMAP	0.5239
APBA2	-1.67916666666667
IGSF9	1.58325
WNT6	-1.01957142857143
MYCBPAP	-0.1605
ATP2B2	-0.2008
CPVL	0.2138
TRAM2	-1.16316666666667
NOP5/NOP58	-0.67475
ZNRF4	0.15625
TLK1	0.39625
MTMR12	0.286285714285714
ZNF384	-0.101666666666667
FAM9B	-2.692
RPN1	0.4243
PMVK	1.1055
EIF3D	-0.3909
SIX2	-0.72
HPS1	0.961857142857143
RNF7	0.60575
PSKH2	-0.081
KCTD13	-0.0248333333333333
CSMD3	-0.3051
FBF1	0.4955
IL8	-2.981
SERPINB13	-0.0130909090909091
FBXL20	-0.062
BLR1	-0.0155
SH2B1	-0.281666666666667
RFNG	0.28675
RAB20	1.28866666666667
RBM7	-0.46975
POLR1A	-0.247333333333333
TMPRSS4	-2.51475
TAF9	-0.326375
TERF2	-0.324166666666667
TNFRSF1A	0.723833333333333
ACADVL	0.458833333333333
GTF2H5	0.02775
EDG8	0.615666666666667
C9orf140	-1.968125
UST6	-0.00524999999999999
ZBTB8OS	0.1255
ZNF710	1.6935
GPR174	-1.317
ATP6V0A2	-0.313
KIAA0319L	-0.833833333333334
XKRX	2.0135
DOPEY2	1.6384
SDHD	-0.89025
SUMF1	1.12175
OSM	4.06375
OPN3	0.30025
DAGLB	-0.213166666666667
PPFIBP1	-0.2851
TRIM63	-3.32675
C10orf53	1.0435
LYPD3	0.3565
BCL7A	0.071375
AGER	-1.521
TCF19	-1.014125
SAT2	0.5025
PFTK1	1.03816666666667
GABRE	-2.854
C15orf38	1.8514
FIS1	0.6615
KCNV2	-0.10675
CLPS	0.973
PPCDC	-0.610625
FOXN2	-1.57183333333333
NT5E	-2.7158
CD83	1.0045
IL18	0.694375
VPS16	0.49625
IGFBP2	-2.26833333333333
NOTCH2	0.493
SIGLEC1	3.1045
CD93	5.1925
SULF2	1.105
CEP164	-0.452625
P53AIP1	0.258333333333333
TOR2A	-0.308666666666667
ZNF136	0.01525
MGP	3.6149
CCDC144A	-0.684833333333333
TRPC1	-0.5735
SMS	-0.324666666666667
MAPK7	0.01
RRAGC	1.10925
PARD6A	-0.169166666666667
NUB1	0.542
SYNGR4	-0.1365
OR11H12	0.4065
WIF1	3.199625
GCH1	0.47675
OR11H4	0.229
SLC44A5	-0.702
GPRIN2	0.8465
LOC401431	0.768
CPA4	-1.7638
MELK	-2.13255555555556
IL15RA	0.44625
CUL3	0.77925
HMBOX1	-0.26925
PODXL	-2.25825
CCT6B	0.2355
COMTD1	0.09025
MUC20	2.43016666666667
GPX2	-3.479625
ITK	-0.846375
FBXL5	2.1425
C13orf27	-1.51775
DEFA5	0.7545
TRHDE	-0.94
MTP18	-1.0575
UQCRQ	-0.6852
ITGB2	2.19158333333333
CSRP2BP	0.2515
TAS2R44	0.077
PHPT1	-0.82275
FAM44C	0.18925
ERH	-0.77275
MPHOSPH1	-0.949333333333333
MORC1	-1.231
PARVB	-0.953
LAMA1	-2.16808333333333
PGBD3	0.37975
GIMAP6	3.807
AREG	4.2405
LIPT1	0.48125
MGC99813	-0.27175
C1orf201	-0.246333333333333
GRIN2A	-1.3597
MAN2C1	-0.629375
NSUN5	-0.528
SF3B5	0.32925
MYC	-2.1158125
NRXN1	-0.122333333333333
ZNF18	0.24825
SPDYA	-0.84875
SLC37A1	1.566
DECR2	0.60775
ANKRD38	0.893125
SPTLC3	0.941583333333333
SUPT16H	-0.58525
DTWD2	0.38625
ULBP1	-0.8065
ZADH1	-0.2725
OIP5	-2.358
IL10RB	0.322666666666667
OTUB2	-0.617375
VWA3A	0.706166666666667
SPIC	0.201166666666667
OR6C4	0.166
PSCD4	1.30433333333333
DPY19L2P2	-0.719
TRAPPC6A	0.384666666666667
C21orf2	-0.0871666666666667
CEMP1	0.36925
LIN7B	-0.1195
E2F7	-1.74566666666667
VCP	-0.188875
LAMA3	0.198083333333333
BGN	1.799
GPR160	0.0515
COCH	-5.15666666666667
GPR81	2.62083333333333
APOBEC3F	-1.25775
tcag7.1017	-0.782
C1orf32	0.1745
SCGB1D2	5.12875
FLJ43987	-0.4085
C6orf170	0.1025
KLK9	0.2535
GPD1L	1.797375
VPS37B	0.002
ATG3	0.293
ADAMTS17	-0.233
KLHDC2	0.445833333333333
NDUFV2	-0.27025
BLK	-3.03225
MATN4	-1.4465
GPM6A	1.944
GBP4	3.86116666666667
TMEM162	0.584666666666667
PKP2	0.9295
HRASLS	0.909777777777778
MMP1	-2.22575
SFXN3	0.4498
FSD1	-1.96316666666667
ST6GALNAC3	-2.16616666666667
CA12	2.2505
NCOA6	0.84475
C19orf58	0.6105
PPP4R1	0.287333333333333
MAN1A2	1.1755
IKBKAP	-1.68875
UPF1	0.17
KIAA1219	1.19725
WNT16	-0.3426
SNW1	-0.466
IL18RAP	2.599
RPP30	0.04975
CDC40	0.778785714285714
SETD3	-0.1615
SLAMF6	0.18025
ELK4	-0.2645
TRIM47	0.776833333333333
ACOX3	1.93575
TRIM6	0.6305
KIAA0372	-0.546166666666667
TP53AP1	1.14775
SMURF2	-0.58425
ADAD1	0.14425
EBP	-0.9473
KRTAP13-2	-0.3145
FLJ36874	-0.0256666666666667
TOR1A	-0.307333333333333
P2RY4	-0.6315
GPBP1	0.3525
TRPV1	-0.207625
ADAMTS12	-0.0643333333333333
PES1	-0.3166
ATG4A	1.05216666666667
MAGEA10	-4.8055
WFS1	1.27
CC2D1B	-0.249666666666667
PABPN1	-0.539875
SLC25A30	0.69425
SLCO1C1	-0.0333333333333333
SLC22A5	0.81775
KIF23	-1.75483333333333
SYN2	-0.3725
ASPN	8.06166666666667
CENTG2	1.573
QSOX2	-2.3133
FLJ10815	-0.0543333333333333
STK24	0.607625
SPEG	-0.2005
STK10	0.0713333333333333
DACT2	-0.766
AAAS	-0.693
SSX3	-1.493875
ABCD3	0.585
C4orf12	0.494375
PARVG	1.14083333333333
FIG4	3.03775
C9orf46	0.645
TMCO6	-0.547
IGHMBP2	-0.18775
DUS2L	-0.977
FAM3C	0.369875
TMEM16D	-2.46875
DCTN4	0.58075
KCNH3	0.37375
EIF2AK2	-0.0335
AP1S3	0.7135
CST4	0.633
PAM	-0.4196875
NUTF2	-0.6565
CITED2	1.4574
SLC39A4	-0.5075
C2orf52	-1.453
GRM3	0.14175
C12orf49	1.112875
CCDC49	-0.4974
GRAMD1B	-1.545625
FNDC4	0.85125
SIAH2	2.802375
GDPD4	-0.0435
C21orf87	0.120625
ATP5A1	-0.575666666666667
C16orf63	-0.538375
LOC388135	-1.06166666666667
ATP5J2	-0.5975
MMP3	-0.05075
EMID2	0.2315
CRHR1	0.46475
WDR70	-0.503
C13orf31	1.80025
ZFAND1	0.4895
CCL18	4.25166666666667
C3orf49	-0.7275
RINT1	-0.4845
KIAA0408	-2.1475
F13A1	5.1103
SLC10A1	-0.196833333333333
OGN	2.9685
GIPC2	-1.5475
XPO6	-0.265666666666667
LCE1A	0.873
FMR1	0.4409
LOC374920	-0.12475
DUSP3	0.212875
ANKMY1	0.423
C7orf50	0.07525
BBS9	-0.0526
UNC119B	0.23125
C9orf72	0.2755
MGC35440	1.26125
ENTPD6	0.436125
PPP1R2P9	-0.288
ERCC4	0.01575
FAHD2B	-0.905
HMHA1	0.229
HACL1	-0.77
RAD23A	-1.22683333333333
FAM83B	-0.41475
PPP5C	-0.2125
RNASEH2C	0.084875
C9orf153	-0.818
SCAMP4	1.108
GHITM	1.0261
NDUFB7	-0.551
ADCYAP1	0.702333333333333
SP110	2.45566666666667
MAP3K7IP2	1.0985
DHH	0.252
AGRN	0.855857142857143
WDR33	-0.099
CEP290	-1.46733333333333
PRPS1L1	-1.53766666666667
KLRA1	-0.9915
GPR97	-0.1405
CHD7	-0.780083333333333
TLR10	0.9285
SLC30A8	-1.0765
HIC1	0.734333333333333
IAPP	-0.6165
RXFP4	0.211
GP1BB	-0.193
SHQ1	0.2375
NKX2-3	0.368666666666667
API5	0.11975
FTHP1	1.7225
MOV10L1	0.191833333333333
TRIM6-TRIM34	1.84433333333333
ADHFE1	1.11225
FAM117A	-1.3235
DDI1	0.2955
CDON	0.494333333333333
TRIM73	-0.732
IGKC	3.399
MMP14	-0.864833333333333
DYNC1LI1	-0.131125
C11orf66	1.18675
TRBV3-1	-0.8305
FASTKD5	0.31475
BIVM	-2.82
LHX4	0.24125
CXCL2	-0.6566
RAB2B	-0.922
IZUMO1	-1.337
MAP3K15	-2.3395
FAM19A2	0.618833333333333
ZC3H8	-0.069
ZMAT1	1.769125
SPINK5L3	-2.91175
SLC10A6	-0.985
APPL2	-0.18775
CARD10	-0.683333333333333
LOC402176	-0.049625
EEF1D	1.5077
RAB6A	2.6045
C12orf5	-0.058125
PAPOLG	0.66425
MSRB2	1.09775
BCR	0.444111111111111
PUS3	-0.716
TIAM2	1.12125
ZNF317	-0.0025
CHD2	0.261642857142857
FZD5	-1.35981818181818
NUDT8	-0.68
ZNF763	-0.32
PRC1	-1.71233333333333
ABCB9	0.855833333333333
SPATA3	0.19575
TRAK2	0.083875
STAB1	2.505625
LRRTM2	-0.511166666666667
psiTPTE22	-0.5445
DBI	1.82525
SERPINA11	0.10775
NAT5	0.95375
C20orf58	-2.48075
RPS6KA4	0.212833333333333
FLJ90650	-0.0735
TGFBRAP1	-0.05325
CHRDL2	1.794
FAHD2A	-1.294
CNTN1	0.3655
BBS4	-0.6741
TMEM181	-0.355
MINPP1	0.173
MPHOSPH6	0.1415
HOXC10	1.726
ITPKB	-0.020875
CLPTM1L	-0.0745
MEOX2	0.367166666666667
ATP6V0C	0.535125
PRPF8	-0.0561666666666667
TMC5	3.43625
FKBP3	0.048
PLEKHB2	0.28825
OR4D6	0.826
ZNF544	-0.3982
D2HGDH	0.059375
RPL18A	-0.3836
HEL308	-0.076375
MPP6	-2.647
TCERG1	-1.3475
KRT16	-0.3085
KLF17	-2.20425
KLF5	-0.142375
CDR1	1.292625
VCX3A	-4.814
FBLN2	1.839375
C14orf104	0.0395
HBE1	-4.7573
OR4S2	0.13
C1orf108	-0.3435
ROBO4	3.01816666666667
CPEB4	1.126125
C11orf80	0.503833333333333
BCKDHA	0.647333333333333
MYOC	2.29675
GIF	0.2965
CKMT1A	0.347
RPL3	0.3793
THBS1	2.211125
APOO	-0.7665
ARMCX1	2.5255
HSZFP36	0.73275
SNAPC5	0.02725
EIF4ENIF1	0.4185
ZNF433	0.2895
TNFRSF21	0.176375
TMPRSS7	0.499
SPATA18	2.0698
HPDL	-3.507
MKL2	0.9231
TBX3	0.650461538461538
C21orf93	0.231
DAXX	0.10375
ELMO1	-0.134
RGS13	1.42633333333333
TAF11	-1.1865
UNC13A	-2.251125
LOC653314	-0.8402
ORC3L	0.125
IMAA	-2.6815
TARBP2	0.096
CABIN1	-1.129
TRIOBP	-0.1025625
HIST1H2AC	-1.5265
RGS22	-0.287833333333333
NCOA1	0.997333333333333
IL25	1.4305
SNCG	1.732
GPR6	0.371
AMDHD1	-2.032
CHEK2	-1.322625
C6orf142	-0.60275
DRD4	-0.476
C14orf68	-1.31225
GDF11	-2.21325
SEMG2	0.443
CD247	-0.7915
CDAN1	-0.754
RBMX2	0.176
TGS1	0.191
OIT3	0.68525
SYF2	0.9045
MCM4	-1.403125
PKHD1L1	-0.327125
CEP192	-1.35383333333333
IFT88	1.2935
RPL9	-0.143857142857143
RAB32	1.585375
DDX43	-3.665
P2RX2	0.175
OR5D18	-0.739
UBE1	1.61525
SLC24A1	1.342
ARHGAP5	0.28925
CETP	-0.65075
KIAA1731	-1.05866666666667
SLC9A4	0.057
PTPN6	1.533
BAHD1	0.3085
GRIK3	-0.2205
CACNB2	-0.9247
PDE10A	1.27475
DGCR14	-0.36675
PCDHB9	0.715833333333333
RHOQ	0.876333333333333
MAP3K4	-0.091
KTI12	0.2475
RPL23AP13	-2.04425
GNG11	-0.68725
CLCN3	0.590166666666667
GPAM	-0.547125
VSTM2A	0.8065
SLAMF7	2.03416666666667
INTS2	-1.323
PPP2CA	0.6261
LRP12	-0.2662
SEC14L2	0.825222222222222
DKFZP586H2123	2.724
MC3R	0.112
CIRH1A	-1.63183333333333
HIST1H2AB	-0.219666666666667
POLH	-1.50175
MGC16703	-2.30133333333333
SNAPC2	0.5545
FILIP1L	1.403
