Hybridization REF	TCGA-BH-A18T-01A-11R-A12D-07
SAT2	-0.64075
PFTK1	1.57183333333333
GABRE	-2.6185
C15orf38	2.0679
FIS1	0.2805
KCNV2	1.26625
CLPS	0.303
PPCDC	-0.598875
FOXN2	-0.121666666666667
NT5E	-2.722
CD83	0.56375
IL18	1.14475
VPS16	0.6375
IGFBP2	0.104166666666667
NOTCH2	1.211
SIGLEC1	3.04075
CD93	5.548
SULF2	0.83875
CEP164	-0.02575
P53AIP1	0.631166666666667
TOR2A	0.199666666666667
ZNF136	-0.00124999999999997
MGP	2.289
CCDC144A	0.710166666666667
TRPC1	-0.389833333333333
SMS	-0.1705
MAPK7	-0.2435
RRAGC	0.93525
PARD6A	0.120833333333333
NUB1	0.0686666666666667
SYNGR4	0.434
OR11H12	0.00349999999999999
WIF1	2.392375
GCH1	0.04175
OR11H4	0.087
SLC44A5	1.6305
GPRIN2	1.315
LOC401431	1.70825
CPA4	-2.9607
MELK	-1.74055555555556
IL15RA	0.46275
CUL3	-0.244
HMBOX1	-0.597
PODXL	-1.92825
CCT6B	0.427
COMTD1	1.11
MUC20	0.399
GPX2	-3.36325
ITK	-2.52
FBXL5	1.7085
C13orf27	-1.51575
DEFA5	0.8525
TRHDE	-0.898
MTP18	-1.39366666666667
UQCRQ	1.7524
ITGB2	0.997416666666667
CSRP2BP	0.796
TAS2R44	0.384
PHPT1	0.3105
FAM44C	-0.453
ERH	0.4865
MPHOSPH1	-1.73416666666667
MORC1	-0.6245
PARVB	-1.73675
LAMA1	-2.02158333333333
PGBD3	0.25025
GIMAP6	3.94775
AREG	-2.515
LIPT1	-0.095
MGC99813	-1.08675
C1orf201	0.2885
GRIN2A	-1.61544444444444
MAN2C1	-1.202
NSUN5	-0.74875
SF3B5	0.064
MYC	-1.5565
NRXN1	-0.575416666666667
ZNF18	0.90925
SPDYA	-1.203
SLC37A1	1.5325
DECR2	0.115
ANKRD38	2.57275
SPTLC3	-0.278333333333333
SUPT16H	-0.481875
DTWD2	1.15425
ULBP1	-1.0225
ZADH1	0.629666666666667
OIP5	-2.68775
IL10RB	-0.6555
OTUB2	0.84925
VWA3A	-0.788
SPIC	0.0334
OR6C4	0.27
PSCD4	0.7415
DPY19L2P2	-2.268
TRAPPC6A	-0.064
C21orf2	-0.600666666666667
CEMP1	-0.202
LIN7B	1.033
E2F7	-1.8785
VCP	-0.6254375
LAMA3	1.56766666666667
BGN	2.19425
GPR160	0.925166666666667
COCH	-4.4295
GPR81	1.56066666666667
APOBEC3F	-2.02225
tcag7.1017	-0.39075
C1orf32	0.523
SCGB1D2	5.79525
FLJ43987	-0.285
C6orf170	-0.1485
KLK9	1.1535
GPD1L	1.73725
VPS37B	0.74725
ATG3	-0.508833333333333
ADAMTS17	-0.066
KLHDC2	0.134333333333333
NDUFV2	-0.22375
BLK	-3.314
MATN4	-1.184
GPM6A	-0.246714285714286
GBP4	2.5885
TMEM162	0.382333333333333
PKP2	0.3345
HRASLS	-0.775111111111111
MMP1	-1.3035
SFXN3	-0.4476
FSD1	-2.36933333333333
ST6GALNAC3	-2.17566666666667
CA12	2.5296
NCOA6	0.437
C19orf58	-0.059
PPP4R1	-0.8975
MAN1A2	0.802833333333333
IKBKAP	-0.74125
UPF1	0.272
KIAA1219	0.3955
WNT16	0.4886
SNW1	0.013375
IL18RAP	2.00275
RPP30	-0.117875
CDC40	-0.0666428571428572
SETD3	0.6085
SLAMF6	0.1445
ELK4	-0.642
TRIM47	-0.105166666666667
ACOX3	1.904375
TRIM6	0.986375
KIAA0372	0.0813333333333333
TP53AP1	1.97375
SMURF2	-0.9065
ADAD1	1.4165
EBP	-0.6882
KRTAP13-2	0.1235
FLJ36874	-1.403
TOR1A	-0.588666666666667
P2RY4	1.21
GPBP1	0.44075
TRPV1	0.077125
ADAMTS12	1.27033333333333
PES1	-1.3918
ATG4A	1.16733333333333
MAGEA10	-4.629
WFS1	1.8625
CC2D1B	-0.774333333333333
PABPN1	0.273875
SLC25A30	-0.3965
SLCO1C1	0.1895
SLC22A5	2.31275
KIF23	-1.98083333333333
SYN2	-0.475
ASPN	8.02883333333333
CENTG2	-0.7315
QSOX2	-2.0432
FLJ10815	-0.200833333333333
STK24	-0.5944375
SPEG	0.0196
STK10	-0.0933333333333333
DACT2	-1.339
AAAS	-1.05
SSX3	-1.223125
ABCD3	0.3102
C4orf12	-0.639875
PARVG	0.394166666666667
FIG4	0.0655
C9orf46	1.30175
TMCO6	-0.238
IGHMBP2	-1.33175
DUS2L	-0.797333333333333
FAM3C	-0.5616875
TMEM16D	-2.69625
DCTN4	0.55675
KCNH3	-0.106
EIF2AK2	0.9025
AP1S3	0.183375
CST4	3.9115
PAM	1.1569375
NUTF2	-0.54525
CITED2	-0.0203999999999999
SLC39A4	-0.62125
C2orf52	-1.416
GRM3	0.456
C12orf49	0.667875
CCDC49	-0.7144
GRAMD1B	-2.06
FNDC4	0.313
SIAH2	0.23825
GDPD4	0.358
C21orf87	0.48275
ATP5A1	-1.1355
C16orf63	-1.3765
LOC388135	0.319
ATP5J2	-0.052375
MMP3	0.00699999999999998
EMID2	0.07975
CRHR1	0.3235
WDR70	0.396
C13orf31	2.0055
ZFAND1	-0.9875
CCL18	4.551
C3orf49	2.343
RINT1	-0.257
KIAA0408	-1.87783333333333
F13A1	4.7046
SLC10A1	0.4225
OGN	3.04625
GIPC2	-2.0655
XPO6	-1.19233333333333
LCE1A	0.774
FMR1	-0.1074
LOC374920	-0.259
DUSP3	0.272
ANKMY1	-0.4265
C7orf50	0.0845
BBS9	-0.0469
UNC119B	0.1935
C9orf72	-0.5555
MGC35440	2.3755
ENTPD6	0.0205
PPP1R2P9	-0.589
ERCC4	0.03175
FAHD2B	0.0175
HMHA1	-0.875
HACL1	-0.93825
RAD23A	-1.01533333333333
FAM83B	0.77775
PPP5C	-1.32216666666667
RNASEH2C	0.340125
C9orf153	-0.837
SCAMP4	0.641125
GHITM	0.5
NDUFB7	-0.2415
ADCYAP1	-0.426833333333333
SP110	1.503
MAP3K7IP2	0.436
DHH	0.28
AGRN	0.186857142857143
WDR33	-0.187333333333333
CEP290	0.0506666666666667
PRPS1L1	-1.1295
KLRA1	-0.3475
GPR97	0.07
CHD7	-0.0149166666666667
TLR10	0.8065
SLC30A8	2.4615
HIC1	1.82433333333333
IAPP	0.2875
RXFP4	0.562
GP1BB	1.22075
SHQ1	0.417
NKX2-3	0.521
API5	-0.49325
FTHP1	0.129
MOV10L1	0.119166666666667
TRIM6-TRIM34	2.44666666666667
ADHFE1	0.807
FAM117A	-0.54775
DDI1	0.835666666666667
CDON	-0.0561666666666667
TRIM73	-1.952
IGKC	2.951
MMP14	0.871333333333333
DYNC1LI1	-0.321
C11orf66	0.36825
TRBV3-1	-1.88175
FASTKD5	0.8385
BIVM	-1.86975
LHX4	-0.091
CXCL2	0.2389
RAB2B	-0.140333333333333
IZUMO1	-0.985
MAP3K15	-2.685125
FAM19A2	0.3025
ZC3H8	-0.269333333333333
ZMAT1	1.682625
SPINK5L3	-2.3205
SLC10A6	0.3615
APPL2	-0.112125
CARD10	-0.253666666666667
LOC402176	-0.6445
EEF1D	0.2956
RAB6A	0.4818
C12orf5	0.2745
PAPOLG	0.338
MSRB2	1.20425
BCR	0.48
PUS3	0.26775
TIAM2	0.9335
ZNF317	-0.655833333333333
CHD2	-0.313142857142857
FZD5	-2.15454545454545
NUDT8	0.7165
ZNF763	-0.314
PRC1	-2.09344444444444
ABCB9	0.208
SPATA3	1.27725
TRAK2	-0.04175
STAB1	2.94075
LRRTM2	0.5835
psiTPTE22	1.453
DBI	2.364
SERPINA11	0.08325
NAT5	0.41825
C20orf58	-1.0065
RPS6KA4	0.612666666666667
FLJ90650	-0.07675
TGFBRAP1	-0.5585
CHRDL2	1.9405
FAHD2A	-0.317666666666667
CNTN1	-0.16825
BBS4	-0.8633
TMEM181	0.501
MINPP1	-1.271
MPHOSPH6	-0.362833333333333
HOXC10	2.4219
ITPKB	0.109625
CLPTM1L	-0.055125
MEOX2	-0.754333333333333
ATP6V0C	0.402
PRPF8	-0.587
TMC5	3.5605
FKBP3	0.75675
PLEKHB2	0.094
OR4D6	0.4015
ZNF544	0.2134
D2HGDH	-0.20625
RPL18A	-0.1659
HEL308	-0.059375
MPP6	-3.22375
TCERG1	-1.04875
KRT16	-0.8385
KLF17	-1.24025
KLF5	-0.493875
CDR1	3.301125
VCX3A	-2.8685
FBLN2	2.25325
C14orf104	0.45425
HBE1	-5.0607
OR4S2	1.0665
C1orf108	-0.436333333333333
ROBO4	3.86733333333333
CPEB4	0.744
C11orf80	-0.566166666666667
BCKDHA	-0.0363333333333333
MYOC	0.4605
GIF	0.534
CKMT1A	0.1625
RPL3	-0.5177
THBS1	2.5085
APOO	-0.26
ARMCX1	2.117
HSZFP36	0.74725
SNAPC5	-0.69725
EIF4ENIF1	0.57125
ZNF433	0.458
TNFRSF21	-0.72075
TMPRSS7	0.8355
SPATA18	1.6874
HPDL	-2.3925
MKL2	1.0476
TBX3	0.948615384615385
C21orf93	1.07625
DAXX	-0.1985
ELMO1	-0.65075
RGS13	1.72983333333333
TAF11	-1.07025
UNC13A	-2.569125
LOC653314	-0.1862
ORC3L	-0.837
IMAA	-3.003
TARBP2	-0.28875
CABIN1	0.4351
TRIOBP	-0.131
HIST1H2AC	1.63
RGS22	-1.1065
NCOA1	0.893
IL25	2.0755
SNCG	2.586
GPR6	0.4235
AMDHD1	-2.923
CHEK2	-1.21525
C6orf142	1.22825
DRD4	1.06775
C14orf68	-1.31225
GDF11	-1.594
SEMG2	-0.353
CD247	-2.103
CDAN1	-0.76075
RBMX2	0.150166666666667
TGS1	-1.05225
OIT3	2.04075
SYF2	-0.4585
MCM4	-2.329
PKHD1L1	1.06225
CEP192	-0.956
IFT88	1.529
RPL9	-0.0814285714285714
RAB32	-0.32125
DDX43	-2.398
P2RX2	0.3165
OR5D18	0.19
UBE1	-0.35625
SLC24A1	0.518625
ARHGAP5	-0.59025
CETP	-0.8885
KIAA1731	-0.892166666666667
SLC9A4	1.43
PTPN6	0.5905
BAHD1	0.15625
GRIK3	0.9735
CACNB2	-0.7156
PDE10A	-0.2815
DGCR14	0.275
PCDHB9	1.20316666666667
RHOQ	0.235166666666667
MAP3K4	0.28475
KTI12	-0.516166666666667
RPL23AP13	-1.53675
GNG11	0.187
CLCN3	1.00266666666667
GPAM	-0.203125
VSTM2A	0.8355
SLAMF7	1.22966666666667
INTS2	-0.57725
PPP2CA	-0.1857
LRP12	-0.2112
SEC14L2	2.97466666666667
DKFZP586H2123	2.45
MC3R	-0.2855
CIRH1A	-1.83433333333333
HIST1H2AB	1.02716666666667
POLH	-1.06825
MGC16703	-1.5995
SNAPC2	0.0595
FILIP1L	1.023
RASGRP4	0.738
LRRC1	1.81175
GAS1	1.8675
PRAC	-0.6465
DGKA	-0.8845
NT5C3	-0.9625
PEG3	-2.95491666666667
NADK	-1.0495
PRR17	0.28225
LOC374569	-0.6315
SGSH	0.2865
NLRP8	1.844
GALT	-0.1153
MCF2	-2.0875
ZNF263	-0.49075
TACSTD1	1.3875
TYR	-6.4648
ATP6AP2	0.4935
RNUXA	0.61575
ABHD10	0.8267
GDPD2	-1.13875
SLC35C1	0.1485
UBE2A	0.7165
HERC5	-1.09566666666667
FAM112B	-4.68416666666667
FBXL16	-1.2735
DKFZP434A0131	-0.3465
ELA3A	-2.5375
RBM41	-0.361
HAO2	-0.033
RNH1	-0.25025
SHANK2	2.2314
OSBP2	-2.141
DAK	-0.385666666666667
C3orf58	-0.614333333333333
TCL1B	3.8055
KBTBD2	-0.852375
SUGT1L1	-0.31325
UBE2E2	-0.599166666666667
MYL9	2.83075
CDC23	-0.0568333333333333
PBXIP1	1.1354
CXorf40B	0.0995
NBL1	1.4015
RTBDN	0.379
RAB11FIP5	0.048375
TTTY13	0.2115
SCOTIN	0.04125
SOHLH1	1.06116666666667
CDKN1A	0.449857142857143
NCK1	0.13075
ZNF550	1.4025
SAPS3	0.398
SPIN3	1.22733333333333
MAGEE2	0.30775
MIS12	-0.4565
OR8H2	0.8595
KIAA0774	-1.76233333333333
UNC5D	-3.7255
CUL7	-0.488333333333333
LIPC	-2.8935
DIO1	0.11425
C20orf11	0.0631
CTRL	-0.709
HS3ST2	2.53225
PAK4	0.35
CCRL1	4.94125
RNF10	0.716625
ZNF567	0.236
ZNF660	-2.034
TCEAL3	2.5095
MAGOH	0.784833333333333
CENPB	0.104166666666667
C19orf7	0.728
LOC388965	0.215
ZCCHC13	0.202
JMJD1A	-1.2651
HIST1H4H	1.924
TBRG1	-0.2515
GPC3	-2.065875
TAF1C	-0.491
EBNA1BP2	0.116833333333333
CIAPIN1	-0.77425
PDGFRA	0.114444444444444
CSTB	0.135625
CENPI	-1.4745
GTF2E2	-1.2085
RPP21	0.19925
CCNF	-1.36083333333333
KCNQ3	0.914
FAM79A	0.49325
SLC22A12	0.4855
NOVA1	-0.760666666666667
FZD3	0.1109
AKAP8	-0.8635
SOCS5	-0.313
CFDP1	-0.941
DLG5	0.962
PGM5	0.26525
C1orf144	-0.06875
HDAC10	-1.7065
RND2	-0.23375
C20orf199	-0.126
RNMT	-1.049375
SLURP1	0.95575
ASTN1	-0.387875
SH3BGR	1.11625
MYCL1	0.606375
ZHX1	0.1775
CENPK	-2.155
FOSB	0.8418
LOC643406	1.011375
C2orf59	-0.710625
TMEM135	-0.29125
SLC27A2	-3.57625
KRT33A	2.0335
OVOL1	1.05825
PAMCI	-2.42983333333333
S100A7	-0.801
ZNF789	-1.0695
HARS2	0.572
RPL23A	-0.777333333333333
TCF23	1.29175
UPF3B	-0.682625
C17orf78	0.8995
HLA-DOB	-0.221666666666667
C14orf142	0.548333333333333
TEKT5	1.62633333333333
DMWD	0.4255
POLD1	-1.52783333333333
GSCL	0.4875
CALD1	0.8203
SCRT1	1.16633333333333
AIG1	1.28325
UNC84B	-1.4205
ZNF404	0.31125
TMED6	-2.792
KIAA1462	0.473
LRRC27	1.6335
PYGO1	-1.3265
PIGU	-0.403333333333333
ALAS2	-4.43683333333333
WRNIP1	0.204
CNNM3	-0.39
ZNF2	-0.10675
ST3GAL5	-0.687916666666667
MRPL23	0.13875
TSSK6	-0.20975
PSMA6	0.25025
C16orf70	-0.14725
KIAA1602	-0.12725
ALMS1	0.593833333333333
DCN	2.778
TMEM132D	-2.07375
SUCLG2	-0.306
ABHD14A	0.111
DEXI	-0.0821666666666667
AMPD2	-1.51766666666667
IFNAR2	-0.8035
CYB5A	1.9954
TLOC1	-0.2466
NXF5	-0.2855
NRBF2	0.076125
KCTD3	1.3955
ITGAE	-0.127333333333333
SLC30A3	-2.07416666666667
ZRF1	-0.6675
IFRD2	-0.42125
XAB1	-0.037
PYCR2	-0.076
SERPINB3	-4.7005
TMLHE	0.0253
GEFT	-1.538
ABCA5	-1.242625
EMR4	-0.227166666666667
TSFM	0.16825
HIST3H2BB	0.81
ARHGEF19	-0.1035
TSPAN17	0.277
ABCC8	4.231
MAP1S	-0.169833333333333
C22orf36	0.744
BNC2	0.694642857142857
HIST1H4A	-0.3385
NDUFS3	-0.217
WDR3	-0.694833333333333
XKR4	-0.568
TTC33	-0.388642857142857
STMN2	4.418
CPN2	-0.598
HSPC105	0.69225
PCOLCE2	-2.78975
C3orf55	1.8595
KLHDC9	3.348
TBC1D23	0.017
ATXN2L	-1.15241666666667
MAP2K3	0.0191666666666666
SCAP	-0.1355
ZNF486	0.8515
C20orf96	0.811
NARS	-0.5225
ADAMTSL1	-0.7325
PRCC	0.776
CCDC126	1.73341666666667
ZNF675	-0.22725
CALCOCO1	0.2325
ANKRD43	3.48225
CWF19L2	0.0618333333333333
ZBTB32	1.297
BRAF	0.47825
ODF4	0.2075
MGC14376	1.28383333333333
HORMAD1	-1.73666666666667
AAK1	-0.02725
PEBP1	0.81175
TNFSF5IP1	-0.641666666666667
DKFZp564N2472	0.39475
RMND1	-1.0735
IGKV1-5	3.383
COL1A2	4.03741666666667
SERPINA5	0.175875
AANAT	0.506
C19orf21	0.675666666666667
GEMIN5	-0.1995
UBR4	-1.2695
LTBP3	0.558333333333333
AMHR2	-2.4695
PROCR	-0.625
MYBBP1A	-0.863
C20orf39	2.51366666666667
ZNF697	0.091
PASK	-1.0765
ZNF776	1.87233333333333
RFXDC2	-0.59775
KIAA0467	0.2495
C10orf96	-2.34766666666667
ZNF503	-0.40275
GULP1	-0.419833333333333
KCNE4	0.636333333333333
DKFZp434K191	-0.72325
LOC196913	0.354
BHLHB4	1.2575
CH25H	1.788
LOC81691	-2.39216666666667
ALPL	-0.32
COL12A1	3.20475
FOLR3	-0.966333333333333
GPR123	-0.17425
TRIM62	0.00578571428571428
ABLIM1	0.359
MAST3	-1.267
RHBDD1	0.618666666666667
LOC338809	0.803
RYBP	0.512
TTC26	0.6835
ZNF22	0.0986666666666667
ISCA2	0.64775
RDM1	-1.62525
PIGM	1.16725
GNB3	-2.0255
ACTR2	0.6462
HMGB1	0.62205
EDG1	2.6505
SOAT2	-3.14925
OR10AD1	-0.3855
RAP1GDS1	1.46741666666667
LCE1F	0.4665
ESM1	0.065125
RCN3	2.62625
CREBL1	-0.25375
DBNL	-0.398666666666667
PTGER3	2.113375
USP30	0.8335
BCL2L12	-0.310333333333333
KIF26B	2.4845
ZNF416	1.987
ZNF225	-1.012
C17orf70	0.22975
ZNF554	0.25375
RAE1	-0.850833333333333
TNIK	-0.865
ACTN3	0.3695
MGC45922	1.1495
CCNA1	-0.294166666666667
RYK	0.4105
IL26	1.0215
LRP3	2.03016666666667
QARS	-0.49675
SOX7	1.16528571428571
BID	0.063625
OR2S2	-0.446
CXCL14	3.844
C11orf47	-0.659
MGC29891	1.35133333333333
HSPB8	1.6532
PRDM14	-2.7335
NUFIP2	0.3305
MNAT1	-0.052875
ZDHHC2	-1.2335
MBNL2	-0.453125
ADD3	0.310125
CSNK2A1P	-1.20175
KLK6	1.5845
TMEM111	0.00990000000000002
KIAA1279	0.573
NUBP2	0.1685
RAB42	-0.75575
ID3	-0.7394
TM9SF1	0.29525
MDP-1	0.41375
POU4F2	0.746666666666667
IQCK	0.759
C16orf14	0.0815
CAPN3	-2.495625
FAM43B	0.24475
RECQL	-0.7675
AP1G1	0.253142857142857
CTNNBL1	-0.380166666666667
ECHDC1	-1.3815
SMARCC1	-0.4276
FOXQ1	-0.881375
GNAI3	-0.277333333333333
POLG2	-1.4965
CD4	1.07275
ITLN1	-0.269
EBI2	2.79975
IRF1	0.29225
PTPRE	1.51
PTK2B	-1.30225
NXNL2	-0.507
SOX4	1.189
TSPAN3	-0.1245
SH2D1A	-3.82866666666667
C8orf58	-0.573
USP20	-0.74575
DUSP22	-0.671416666666667
CALB1	-2.515
L3MBTL2	0.658583333333333
MCRS1	-0.44875
TMEM118	-0.107833333333333
C18orf8	0.238833333333333
FLJ10241	-0.53375
GJA12	0.816
PKD1	-0.376333333333333
ZFP3	0.901
JAM3	-0.32475
LAPTM4A	1.0455
DIRC2	0.77325
KIAA2022	-0.329333333333333
MYOM1	0.048
TRPM8	-2.0535
MOP-1	1.3835
PHKG2	-0.02675
ZNF650	0.288375
KIAA1522	0.693875
PSG8	-1.643
DDX19B	-1.122
MOBKL1B	0.5245
DIAPH2	-0.433
PTPN12	0.527
CLN8	-0.534
CRYZL1	-0.339333333333333
CRY2	0.202083333333333
FCGR2B	4.144
PNPLA4	1.362125
ZNF454	0.5335
DKFZp434B1231	0.1205
CLDN11	0.8651
RFWD2	0.9515
CIB2	-0.621166666666667
MXRA8	3.5265
HRK	-0.201
MAML2	-0.69825
C4orf31	2.227
C6orf192	-1.114
COG6	0.399
FAM5B	1.25275
NFATC1	0.158
SEPT10	0.388
SCYL1	-0.2524
RPP40	-0.0845
SCOC	0.2503
KIAA1450	0.177
CTDSPL2	-0.59025
TBX5	2.14583333333333
NAPG	0.407375
RHD	-4.931
C14orf45	3.19483333333333
ZBTB22	0.4455
PLCG1	-1.496
ANKRD10	-1.337
AQP7P2	1.11925
TAGLN2	0.214333333333333
HTR2C	-1.06683333333333
SLC16A7	-0.936333333333333
C17orf83	-0.15075
TSGA14	0.272333333333333
MDH1	-0.2745
PPP3R2	0.669166666666667
DCBLD2	-2.05142857142857
RBM33	-0.0525
DPH3	-0.41075
SYT10	-1.4936
FMO4	2.43075
THYN1	-0.731
DRD5	-0.128
OTOR	3.6755
PGRMC2	0.1194
KATNAL1	0.376
PAQR6	-1.96
UBE2I	-0.09175
C14orf28	0.567
C8orf70	1.31475
FLYWCH1	-0.5265
ANGPTL3	-1.26575
GLRX2	0.874333333333333
ATP11A	-1.11228571428571
ARL5B	0.2885
MUC16	-1.559
SLC25A5	-0.492142857142857
ACRC	-0.77125
MYO1C	-0.270875
FAM89B	0.942833333333333
FAS	0.773875
KIFAP3	1.3635
GLRA2	2.3015
BTN3A2	-0.468
CNKSR3	-1.3125
CSTF3	-0.270166666666667
ARPM1	1.2405
KIAA1530	0.1745
C9orf150	1.53383333333333
PRKCI	-0.56225
tcag7.1015	-1.439
SOD3	-0.4295
ZNF574	0.3915
CYP21A2	2.68975
RPL12	-0.347
COMMD2	-0.62625
WIZ	-0.02025
LOC344405	-0.486
ALDH4A1	-0.226941176470588
CRYAB	2.1815
COPA	0.7309
PCDHGA7	0.693166666666667
KIF11	-1.12366666666667
RASD2	0.20425
SLC26A3	2.737
ZNF175	0.9
JAKMIP2	-1.7015
C8orf4	1.71333333333333
PTHLH	1.65725
SLC40A1	3.07658333333333
OR7D4	0.486166666666667
PCDHB17	0.7845
CD36	3.44985714285714
C6orf203	0.9402
PRKG2	-0.62
LOC400566	2.49875
ANAPC13	0.13675
SLCO3A1	-1.1615
ZNF692	-1.0465
FANCL	-0.6625
SH3GLB1	0.52625
C12orf61	0.515
KBTBD6	-0.236
SUPT5H	-0.18575
XRCC6	-0.9911
HUS1B	3.1452
FAM133B	0.215285714285714
LOC728276	0.6005
KCTD18	0.3335
SOS2	1.02166666666667
CCDC99	-1.43425
C1QTNF5	4.104
NNAT	1.2695
USP16	0.10175
LARS	-0.356375
ZBTB2	0.201625
ABO	0.013
TRAF3	0.592
GALNT5	-1.596
NAP5	1.496
ALG14	0.825833333333333
KIAA0515	-0.0926923076923077
WDR75	-0.4835
TEX261	-0.0631666666666667
LY86	0.8785
LOC389072	-1.6235
FLJ13611	0.6715
MRGPRX2	0.947
SNRPA	-1.261625
OR2G2	0.597
GPRASP2	1.09775
C7orf42	0.5407
C9orf163	-0.1115
CYP11B2	0.7295
FCRL3	0.5182
PRDX1	0.159
FGB	-6.08416666666667
COX17	0.664333333333333
C16orf33	-0.4005
PIWIL1	0.2605
FOLR1	-0.7165
KIAA0082	-0.011
FREQ	-0.597333333333333
TMCC2	-0.538666666666667
TCF12	-0.0210833333333333
ZNF721	0.70225
FAM130A2	1.235
POU4F1	-2.012
SNRPF	0.0395
SGIP1	3.3115
ZNF641	0.749333333333333
EMG1	-0.01875
PRRG4	1.8675
HIRA	-0.613
MYNN	0.199666666666667
AEBP2	-0.192916666666667
TBXA2R	0.641
ISL2	-1.951
PCDHB11	1.06
RNF144A	-0.05075
MARCH5	0.43325
DULLARD	-0.574333333333333
DCLRE1B	-1.207
ITGA8	0.44025
TP73	0.0538749999999999
PRKCD	1.416
NDUFB4	0.8205
ATP13A4	0.328875
ANTXR2	-0.788
COL4A3	-1.56266666666667
MYO10	-1.1416
SLC6A18	0.58075
PEX1	0.31575
TMEM74	-1.2655
RBM19	0.026
TAPBP	0.8724
RUNX1	1.645
MID1	-1.40033333333333
GPR64	-0.8305
RASEF	4.29875
GABRG1	-0.396142857142857
MYO16	-1.24875
DBF4	-1.19483333333333
TSHZ2	2.4075
RIPK2	0.2295
PPTC7	-0.3395
KIF4B	-1.03
LRRC31	4.32175
ZNF540	-0.071
EFNB3	-0.0325
LOH12CR1	0.747375
STON2	-0.000333333333333306
GLP1R	0.273
CSTF2T	-0.301625
IREB2	-1.56225
GRSF1	-0.4325
PDCD7	-1.04066666666667
LRRC43	2.5045
CNR1	0.182333333333333
IL1F7	-0.933
C12orf64	-0.878
FAM69B	-1.05375
NR2E1	-2.86733333333333
MS4A6A	2.3376
FTL	-0.7414
C7orf36	0.36
PCLO	1.077
DYRK2	1.342
ARIH2	-0.211875
SAMD7	0.5855
SCNN1D	-0.91725
SLC32A1	-1.733375
C22orf25	-0.869
MRPS18A	0.1479
GPR112	0.5025
EARS2	-0.78575
ERN2	0.6885
ATPBD3	1.97683333333333
PRH2	0.011
CDKN2D	-0.572333333333333
PGLYRP2	2.4445
TRIM40	0.69575
SEC14L3	0.708833333333333
SLC22A1	-0.26575
BTN2A3	0.029
RASA4	0.21875
CCNL2	-1.44616666666667
MYBPC3	0.287
GJA4	3.8035
CDC42SE1	1.309625
TRPV2	-0.9425
MYPN	-4.3737
SIM1	0.8555
CDADC1	0.444
ZFHX4	1.5705
NIBP	0.974333333333333
ADAMTS19	-2.6735
ABTB2	-1.7585
TSPYL2	-0.894125
EIF2S3	-0.5026
SOX30	0.1965
AP2A1	0.00283333333333332
DKFZP564O0523	-0.299333333333333
LOC285398	-0.24275
CDH18	-3.53725
CHL1	1.861125
GATS	-0.882555555555556
TBC1D2B	-0.327
OR1J1	0.179
GSN	0.7185
DPCR1	-0.0487500000000001
GARNL4	-1.04316666666667
SMARCA5	-0.17625
PLEKHG3	0.877833333333333
ZBTB45	1.707
FRMD6	0.302333333333333
PLS1	0.1365
DGKZ	-0.100666666666667
EFNA1	2.4365
WDR85	-0.91525
ANK2	0.0305
PAGE4	-1.23416666666667
SENP6	0.649833333333333
AKR7A2	-0.311666666666667
FKBP10	-1.877
VEGFC	-1.28166666666667
LARP1	-0.15625
SRBD1	0.35925
ITGB6	3.157
SLC1A2	-0.697571428571429
INVS	-0.0271666666666667
MPO	0.23075
MOBKL3	-0.113
CUTL2	-1.55375
KLK2	0.521083333333333
VIM	-1.02375
REG1B	-0.212833333333333
PCDHGC4	1.35575
C3orf34	-0.816166666666667
SUMO3	-0.343166666666667
CST9L	-1.10225
MLL4	-0.6375
SPR	0.622166666666667
SAMD9L	1.32275
ABCE1	-0.7
SUPT3H	-0.137166666666667
ACTBL1	0.64025
ADAMTS4	1.143
SLIT3	3.40925
RHEBL1	-2.09875
NPM2	-1.61225
MAN1C1	0.5155
KIAA1856	1.487
HSPA6	3.132
LOC388152	-1.723
C10orf140	-1.70475
ZDHHC12	0.1435
LIN7A	2.4663
PHC2	-0.353416666666667
SPHK1	0.37375
TRIM26	0.1695
FAM83E	1.6555
C18orf24	-2.35866666666667
ZNF578	1.7405
ORAI1	-0.1995
RUVBL1	-0.72425
C7orf20	0.190666666666667
APAF1	-0.096
SLC36A4	-2.12083333333333
MYH11	4.64433333333333
NEK1	0.2888
MPP2	-1.22475
C12orf24	-2.7185
TNK2	0.3441875
ZNF289	-0.708
MATN3	-0.168
IFNGR2	0.8135
ITPR1	-0.481875
EBF3	3.6676
TBC1D20	0.4634
OR10P1	0.6065
DDAH2	1.803
SHPRH	-0.755
STX7	0.1135
LOC554248	-1.441
BCAR1	-0.06525
ATXN3	0.505833333333333
TRIM27	-0.326
CDC42EP2	0.8855
CHP	0.344357142857143
SOX17	2.81375
ZNF259	-0.695833333333333
CHCHD1	1.002875
ZDHHC19	-0.486
GBP2	2.055
GARNL3	-0.077625
MRC2	0.42425
C1orf52	-0.67625
AOF2	-1.0415
LRPPRC	-0.107
ACVR1C	0.613166666666667
TM4SF18	2.90433333333333
TMEM169	-0.482333333333333
PPP1R16A	0.014125
EBF1	1.6015
RRS1	0.458
SNX2	-0.11525
OR2T2	0.416
RBX1	-0.2045
ANKRD54	-0.0438333333333333
TSNAX	0.697166666666667
TMEM83	0.701
ZBTB7A	0.33775
