Hybridization REF	TCGA-BH-A0BF-01A-21R-A12P-07
GABBR2	-1.0035
PIP5K1B	0.328166666666667
AGXT	-1.73216666666667
RNF181	0.917
ATP8A2	-0.3235
AFTPH	1.1885625
FGF21	0.1885
FCER1G	3.010625
SNTB1	-1.35125
SLC24A3	2.31275
TXNL4B	-0.2516
RPL10L	0.583
LOC389517	-0.648
TSGA13	0.791
SHOX2	-0.602166666666667
ITGA7	-0.6642
KCNIP2	0.1194
KLF13	-0.5025
ZFAND2A	0.07175
CEACAM1	-0.220714285714286
PFKFB4	-2.44166666666667
MED19	-0.052
LRRC57	0.1825
RNF11	0.0685
ANKRD32	-3.314
P117	0.4665
OBFC2A	1.05616666666667
POLD3	-1.10175
RAB18	1.476
TPH2	-1.5618
PHB	-0.5071
JDP2	0.9735
MORF4L1	0.1267
POU2F1	-0.78075
CNNM2	-1.12183333333333
LOXHD1	-0.5782
ZC3H15	-0.306
ELK3	0.5775
FAM111B	-2.68225
CBLC	3.37183333333333
SBNO1	-0.51075
ANKMY2	-0.8095
PLEKHA5	0.34075
DHX58	2.3155
ARCN1	0.441333333333333
TREML1	0.8693
KNCN	0.365
SEC24A	-0.946125
PSCA	1.617
MGC24125	-0.0608333333333333
DNA2L	-1.73
CIB4	2.018
HIGD2A	-0.8235
TBX6	0.106833333333333
TTLL5	-0.798166666666667
SGK3	0.468833333333333
GCN1L1	-0.45775
AMOT	-0.9868
LDOC1	0.876166666666666
NRK	0.396833333333333
ASB9	-2.5335
NAT1	3.421
TRAFD1	1.44175
PEAR1	0.970166666666667
FAM36A	0.848875
OR1S2	0.4496
LOC388323	-1.8195
PGS1	0.3325
LEPREL1	-3.741
TFF1	-2.11625
HAP1	0.535
EPHB2	0.7755
ACTG1	1.02733333333333
ZFP42	-1.7036
HAVCR2	1.6223
NME1	0.3045
SNX26	0.309333333333333
LACTB	0.585833333333333
ZKSCAN2	-0.75225
C5orf35	-1.4145
ANKS3	-0.29425
RBM28	-1.29625
DKFZP586P0123	-0.20275
HNRNPA1	-0.556833333333333
BCAS3	-1.15616666666667
FLJ20184	0.0045
POLA2	-1.2435
TMC7	-0.220833333333333
HSD17B6	2.451
ZNF658B	-0.290666666666667
TTTY10	-0.323666666666667
RANBP9	0.418416666666667
CPNE7	-1.5635
EVL	0.394176470588235
LNX1	-0.291833333333333
IFNA21	0.636
CFD	0.96425
PYCARD	2.1535
MYBPC2	-2.05
ENPP3	-0.469833333333333
ACSL4	-0.324
LOC440258	-1.16083333333333
TMEM176B	3.908
SOX2	-4.70825
SCO1	-0.597333333333333
COMT	0.60375
AOC2	0.046
PDLIM5	0.396
SPHK2	0.058
NXPH2	-1.631
GPR108	0.612166666666667
RAD51L1	-0.795666666666667
TMEM54	0.28675
LETMD1	-0.795444444444445
SLC6A17	0.1745
KRT75	-0.5295
STT3B	-0.8805
CD3EAP	-0.341666666666667
TMEM63A	1.236
DUSP13	-1.63775
CD1C	-0.771333333333333
LASS2	0.922666666666667
AVP	0.2485
PITPNM1	0.0635
FLJ22795	-0.312
MCTP1	-2.42075
TRIM68	-0.5445
UCK2	0.1675
ABHD1	0.403
FAM50A	0.33975
RNASEH1	-0.625166666666667
PCP2	0.85
OR52H1	-0.0785
C20orf149	-0.57525
RBP5	1.70466666666667
HYAL3	-0.186
CLPB	0.005
SMNDC1	0.2435
DONSON	-1.80816666666667
FLJ27523	-1.9065
BARHL2	-0.526
SLC30A9	0.0921666666666667
TMPRSS11B	0.6845
E2F8	-1.96566666666667
CCDC25	-0.1615
C14orf48	-1.2555
C20orf116	0.733375
TSPAN11	0.5705
YIF1B	-0.648
FAM12B	1.574
OR1L6	0.5235
HPN	0.1758
NBN	-0.06775
C14orf94	-0.3115
OCLM	0.5435
ZSCAN18	1.3939
L3MBTL	-0.0295
TSTA3	1.9095
RAC1	0.555875
C19orf15	0.73525
NFE2	-4.75975
KLK14	0.1755
ARSF	-0.5705
MAST2	-0.0346666666666667
AMICA1	2.70633333333333
GTF2A1	-1.301
ATP1A3	0.51
TC2N	2.3363
PNKP	0.7315
ODZ2	0.13675
MATR3	-0.160125
S100P	-1.389
KRT82	1.9685
CA13	-0.3572
PROZ	-1.86516666666667
AASDH	-0.6945
C19orf40	0.226
DCK	-0.554692307692308
FAM5C	-1.93325
SLC6A4	-0.7695
MID1IP1	0.01325
TESSP5	-0.0145
TMOD4	-0.370333333333333
DOCK2	0.952666666666667
TUG1	0.120125
NUP214	0.255
DPYSL2	-0.377454545454545
GOLM1	2.6445
MPFL	0.4795
SOX13	0.89825
SDCCAG8	1.8237
KEL	-1.13833333333333
NUP210L	-3.632
GK	-1.57425
DNAJB1	0.962
ALPK3	0.922
CHID1	0.3288
CYLC2	0.382
IKZF5	-0.06525
C8orf51	0.604666666666667
PPM1J	0.35675
GIMAP8	4.2595
GPR101	-0.9915
NR2F1	-2.061
ACAD8	0.01675
RBM35A	0.79425
GNAI2	0.768
METTL8	-0.332833333333333
SLC39A7	-0.28225
FBXO8	0.455
CAMK1	0.62375
RFC3	-1.312625
FAM129A	-0.264
ILF2	-0.90775
FGFBP3	-0.2825
NOM1	-1.29716666666667
PSMA3	-0.5725
ASCC3	-0.6668
ZYG11A	-1.20475
SOX21	-2.0615
LYRM1	0.2855
DEFB1	0.683
LOC91431	-2.93
OR7C2	0.0215
FAM46B	0.699875
TMEM18	-0.234625
ARHGAP30	2.61316666666667
TMEM86A	2.06783333333333
EPHA2	-0.6535
C10orf46	0.74285
TCHH	0.932166666666667
C3orf30	-0.0818333333333334
LOC285636	-0.290666666666667
PAIP2	0.45625
CYP2U1	0.356857142857143
C12orf34	-0.958
SARS2	0.078
ZCWPW1	0.25575
SAMD12	1.015
KIAA1430	-0.28625
ACAT1	-0.54225
MEOX1	2.88333333333333
ADAMDEC1	7.26
PHKA2	-0.65525
CARD11	1.5795
CALML4	-0.8145
TSSC1	0.20225
TMEM45A	-0.124222222222222
MPP7	0.0805
POU1F1	0.419666666666667
SLC2A13	-0.6662
FBN2	0.0964285714285714
ZC3H7A	-0.2748
LAIR2	0.70275
ST3GAL1	1.08
LCT	-4.2625
GEMIN8	0.5405
KLF16	0.5099
HIF3A	-0.6454
FAM44A	-1.02292857142857
AQP10	-1.0823
PLA2G2A	2.0945
FOLH1	1.12383333333333
C20orf186	-0.161
MAPKAP1	0.771375
SPRR2D	-2.05475
UBQLN4	1.58066666666667
RSHL1	0.465
PIAS3	0.061375
MRPL24	0.83975
GREB1	-0.903625
FAM27E3	-1.929
NUP62CL	-1.44025
NEUROG3	1.6285
REEP3	0.463416666666667
MARK1	-0.292125
LMBRD1	0.5415
PRPF19	-0.258
PNMT	0.336
CTGLF1	0.863
SLC25A16	-0.0045
EIF2B3	-0.736
RPA2	-0.46225
PAK6	0.6805
CCDC26	-5.85025
SEMA3E	0.117
MXD4	1.0387
TNFSF10	3.9075
SMARCB1	0.191666666666667
DTX3L	1.6025
PLA2G4E	-0.733
PPAP2A	0.92075
ULK1	-0.410583333333333
TAS1R3	-0.016
SLC2A3	-1.53027272727273
ARID3A	-1.8135
GNG5	-1.433
ACOX1	-0.00420000000000004
KIF5B	-0.418
NUP153	-0.41075
MUC7	-0.1445
CSDE1	-0.761642857142857
CLPTM1	0.034
C3orf23	-0.8145
LRRC17	0.438666666666667
TTYH3	0.883375
ATP5B	-0.422
ELF3	2.0092
CPSF3L	0.608333333333333
ZNF665	0.387666666666667
TLR6	1.3464
GPI	-1.155375
RAD9A	0.16975
NDST4	-3.99825
AGPAT3	0.13975
MAGI3	2.09633333333333
ADORA2A	1.519375
CACNG7	-1.003
CAMK2D	-0.219928571428571
CCHCR1	-1.20775
RPS27A	-0.37275
OR10G7	0.12
GCM2	-0.6355
FAM135B	0.212625
E2F1	-1.543
PLCB3	1.5705
OR2AE1	-0.434
COIL	0.726
CDC25C	-2.66783333333333
RAB11FIP2	-0.0861666666666667
TSC2	0.53575
CTGLF5	-0.7275
CCDC108	0.511888888888889
OR13C4	0.132
C10orf81	5.20475
PTPRB	1.6975
ACP2	2.058
LAG3	2.84875
MRPL54	-0.24975
LOC201175	1.0575
ITGB1BP3	-1.82275
SPTAN1	-0.281666666666667
SIPA1L2	-0.68325
RCAN2	-0.4975
CDX2	0.218
ECOP	1.03625
ACTR1A	0.506285714285714
PPARG	-0.736333333333333
BBS10	-0.176333333333333
TMEM44	-0.7715
BPIL2	-0.097
CITED1	1.02225
IRF6	4.172
PRDM4	0.373333333333333
RRP9	-0.852
OR10H4	0.62225
IL31RA	-0.84225
GNB1L	-0.948666666666667
MYBL2	-0.494
ZNF407	0.291666666666667
PPIG	-0.434833333333333
TTC18	1.09975
RPSA	0.1455
MAPT	-0.85
MRE11A	-0.208615384615385
C8orf37	-0.531666666666667
RASGEF1C	-0.6575
STBD1	0.29675
CTAG2	-0.272833333333333
MGAT5B	-1.98383333333333
ECM1	0.74925
RLN1	0.542
PARP14	2.1008125
EPB41L1	-0.0598
HOXA3	-0.492583333333333
MAGEA9	-4.7665
RPS8	-0.490166666666667
RPS19BP1	0.51325
FOXJ2	0.11775
C10orf76	0.6225
IL17RE	0.49225
C10orf65	-1.218
ZNF343	0.975666666666667
FBXO33	-0.598
UHMK1	1.4022
LY6G6C	-0.231
FGF19	-1.738
C14orf128	-1.44016666666667
IFIT2	4.00625
TIGD1	-0.0857499999999999
S100G	0.00900000000000012
GUCY1B3	2.358
NR3C1	-0.2143
CORO1B	1.78833333333333
PARP11	1.01741666666667
DNALI1	3.4115
OR4N4	-0.334857142857143
MAP2K6	0.281333333333333
FSTL4	-0.54475
ANKRD47	1.253125
TMEM171	-1.2825
PNLIP	0.735
YY1	-0.594833333333333
CCDC138	-1.69516666666667
AASDHPPT	-0.4643
CKS1B	-1.3056
MCM3	-0.782333333333333
ANAPC7	0.490166666666667
FAM110A	1.915
CDC37L1	0.827833333333333
THTPA	0.10275
NBPF20	-1.5755
WDR24	0.46175
NPTX2	-1.76
CBLB	1.09333333333333
CETN1	-0.103
RPUSD1	0.81275
FAF1	-0.586
CDK6	-2.2126
HMX2	-0.114
CSK	0.709333333333333
TEAD2	1.1995
SNAP25	-0.8375
TUFT1	0.8163
TMTC3	0.385333333333333
LCK	0.66975
SGOL1	-1.1935
AKTIP	1.11175
FURIN	1.263375
SOX12	0.908666666666667
DEFB103A	-1.03433333333333
RAMP1	1.89525
KIR3DX1	-0.9355
GAS2L3	-1.0785
PDE8A	-0.9984
EDN3	-0.35875
GMIP	1.0855
SF3A2	0.5465
FN3KRP	1.06525
SMAD7	0.6955
RHBDD2	0.716
OR11H6	-1.2105
PPP1R3B	0.7684
C9orf23	-0.96225
CADPS	-1.33625
GOLGA8A	-1.298125
TMEM57	0.392
RGL3	-0.027
S100A14	3.6165
FGFR2	2.2733125
XRCC3	-1.2405
RTN4RL2	0.51675
MGC3771	0.4635
GH2	0.2202
BTBD2	1.015
LMO2	0.61525
RDBP	-0.64625
ACRBP	-1.28775
AMY2A	1.573
DUOXA1	0.6835
PTK7	2.08716666666667
TWF2	1.075
FAM80A	-3.12325
TNNI2	-1.91616666666667
GLT25D1	1.061
OCC-1	-1.2845
CYC1	-0.755
RPL22	-0.277772727272727
MORN3	1.43283333333333
DISP1	0.371
PRB2	0.0425
CHUK	-0.2895
HR	0.94375
CCDC134	-0.266625
DENND4B	-0.2275
C14orf130	-0.77375
RAB33A	-0.47525
DCST2	0.192
TNMD	-0.20775
PEX7	-0.1865
FAM62A	0.21575
SRD5A2L	-0.4265
IL22	-0.28975
RPS26	-0.733666666666667
HOXC5	1.1085
SPATA6	-0.37925
FLJ38482	0.0175
ZNF234	1.2815
C18orf22	0.82775
SPATA22	0.37825
THOC1	-0.4305
CYP7B1	2.595
KCNC3	0.63375
C8orf42	0.322
ALDH1B1	1.2545
CCDC100	-0.1176
ARMC4	-1.6685
FAM18B2	1.292
SLC44A1	1.2715
FBXO17	-1.25433333333333
C6orf107	0.1845
C19orf29	0.08425
ZC3HAV1L	-0.36975
PARP6	0.8734
SULT2A1	-4.60771428571429
C1orf159	0.205
TMC1	-0.206666666666667
CHST14	1.076875
GAMT	-1.51066666666667
SMCP	0.175333333333333
TSPAN33	1.90233333333333
MIDN	-0.706625
NOX4	3.33425
RNASEN	-0.4565
TBX1	0.0751666666666668
SALL2	-1.26625
C10orf35	0.9185
CYP2E1	0.773
LRFN2	2.37966666666667
ACO1	-1.73133333333333
IQCG	1.4537
MEGF9	0.9595
TM7SF4	1.91325
PLEKHA1	0.235333333333333
STK33	-2.11525
C1orf210	1.30125
SNUPN	0.179
KIAA0406	0.0712
C20orf29	-0.09475
TMEM55B	-0.04075
OSTM1	-0.6195
CLCN7	0.99725
OTP	-0.84925
FLJ23049	2.013
HEATR4	-1.1215
MAP3K10	0.917833333333333
PCDHGA9	0.674
AMDHD2	1.10825
LCTL	-2.7295
PDCD2L	-0.283
CABLES2	-0.0975
SLC5A9	-0.57575
CLCA2	0.400333333333333
MGC16025	0.873
STRAP	-0.825
C20orf196	0.3395
RRBP1	0.725666666666667
NAT13	-0.80825
MAT2B	0.765625
CSNK1D	-0.7345
KIR3DL1	0.33875
PRKAG3	0.141
ZNF599	1.2705
PRM3	0.2175
PER2	0.672666666666667
ASPHD1	-0.942
PRMT6	-0.71375
KCNE1L	0.341
FAM118A	0.345666666666667
TAF4	-0.33875
NDUFB6	-1.1885
TRIM9	-0.549916666666667
PMFBP1	-0.46575
KY	0.244
DKFZp762E1312	-2.02090909090909
CSMD1	-1.83575
TBP	-0.994333333333333
OR1Q1	-0.0276666666666667
RETNLB	1.307
HPGD	1.16484615384615
DNAJC12	-1.15583333333333
FKBP1B	-0.5965
ANKRD24	-0.0863333333333334
CXXC5	0.242333333333333
IL3	0.522857142857143
DRAM	1.9517
PTCH1	-1.389625
TP53BP1	0.30475
SLC17A7	0.0325
COL25A1	-1.8886
AMACR	0.611
RHCG	-0.03
VPS13A	-1.13608333333333
FAM55D	0.534
PRPF38B	-0.664
OSBPL6	-0.66675
PFDN5	0.5563
CMTM6	0.62825
KCNK12	-1.4755
RP2	0.19625
C16orf52	-1.41125
PICK1	0.528
IFNE1	-1.4878
SEMA4B	1.24925
TYRO3	-2.2755
OR12D2	0.6925
CSNK1A1	-0.3345
FANCF	1.1445
LONP2	0.16525
TBL1Y	-1.67975
LDOC1L	-0.278375
CCNC	-0.756
C3orf60	-1.1145
CHKA	0.09725
UBAP1	-0.12475
MAP3K1	0.1385
ANKRD9	-1.5015
FAM92A1	-1.08766666666667
GAB2	0.200857142857143
AZU1	-0.34825
DIS3	-0.7715
C21orf109	-1.98433333333333
IQCB1	-0.2825
SPATS2	-0.154166666666667
EFCAB3	-1.00225
PRB3	0.546
FUZ	0.836
ZNF813	0.30275
BMPER	-1.5914
HEG1	0.630375
ALS2CR11	-2.87766666666667
SURF2	-0.48425
PSMC1	-0.37125
OR2D2	2.318
SLC7A8	1.65433333333333
C4orf40	null
SPATA7	-0.18825
MAZ	0.0606666666666667
PIN4	0.41975
PDE1A	-0.51125
TAF6L	-0.276833333333333
OR2T34	-0.2195
KIAA0284	-0.2485
ACADS	-0.0501818181818182
MKRN2	0.206
C18orf56	-2.218
MS4A6E	-0.1155
GALNT4	-0.3186
C22orf31	0.1145
FLJ36070	0.1995
PSME4	0.32325
TFG	0.2468
EPHX2	1.475875
ANXA5	-0.175625
KRTAP1-1	-0.399111111111111
BATF	2.24625
KARS	-0.551
MSTP9	0.1015
GPR26	2.981125
CCDC72	-0.51275
TEF	0.383333333333333
FOXK1	-0.7911
PRLHR	0.7115
EMX1	2.0395
C11orf30	-0.63325
ICK	0.125
THSD7B	-0.0366666666666667
C21orf100	-1.207
DUOX1	2.57
EFCAB4B	-0.637
UBE2G2	-0.748166666666667
C3orf54	-0.13175
PARP1	-0.64575
FAM60A	-1.69125
C6orf146	-0.1235
OR9K2	0.314
DDX55	-0.821333333333333
RPS15	-0.893083333333333
ZNF618	1.2044375
DKFZp686D0972	2.13825
SSPO	-2.944
SHFM3P1	1.93333333333333
CPA6	-0.886
JAG2	1.83675
DEFA3	1.39
PPBPL2	0.8668
CD34	3.992875
SLCO4A1	-3.1735
AFG3L1	-1.59366666666667
SHD	-1.1945
RP13-122B23.3	0.254166666666667
PRKCSH	0.162
DPH5	-0.7275
HLA-F	3.046
TBC1D4	-0.43275
RIG	0.4122
GLUD1	-0.066
HNRPCL1	1.413625
HBXIP	-0.9185
RNF207	-0.461
APIP	-0.4605
PLA2G3	-3.03316666666667
CCDC84	-0.8525
MYLIP	-0.0432307692307692
PHIP	-0.37625
AARS2	-0.503333333333333
DHX32	0.28225
SCAPER	-0.6175
MEN1	0.720625
NIP7	-1.13025
FLJ25404	0.4685
FASTKD3	-0.88
TMEM158	-2.20583333333333
RARA	0.90675
BDH1	1.1815
ANKRD16	0.6145
CARM1	0.169
SS18	0.925166666666667
IKZF2	-0.220666666666667
MYD88	2.256
PML	1.37605
TAF1A	-0.72375
CBFB	-0.462875
HIST1H3H	0.3125
C7orf29	-1.69275
COMMD4	-0.418
DPP3	0.43525
DAB2	1.3935
LOC388882	-0.3035
YPEL4	0.0315
AGBL3	0.98275
LRP6	-0.6336
SERPINH1	1.19716666666667
TLE1	-1.14525
CD244	1.87033333333333
ZDHHC15	-0.66625
MGLL	0.067
PLDN	0.317916666666667
LOC654346	2.565
FAP	3.856
GPR37	-1.32583333333333
SCARA5	0.899166666666667
EBF4	1.424
LSM6	-0.60675
MLLT1	0.406125
SLC5A12	0.987
A2BP1	-2.40066666666667
COPS5	0.094
TPM4	-0.394
TNFSF4	1.89033333333333
ACADSB	1.0795
HERPUD1	0.94225
BCL2L11	-0.488222222222222
CEP78	-1.81625
CDCA3	-1.152
WBSCR19	-0.0823
MYO1A	-1.6865
PPEF1	2.45216666666667
LOC440348	-0.43525
CPEB2	0.349125
BPTF	-0.297916666666667
RPL21	-0.3049375
GSX2	0.8665
ADPRH	1.81866666666667
C17orf68	0.0128333333333333
KCNS1	-1.20266666666667
MLLT6	0.5276
PIWIL4	0.87
RNF26	-0.545
RAP1B	0.6895
ADAMTS1	-0.6631
ZNF571	0.495
P2RY6	0.823
TRIM21	1.6495
CADM3	0.2745
NLRC5	2.20183333333333
ADRA2B	-0.187333333333333
LOC90835	-0.12775
PCF11	0.308
LOC400451	1.274
GLTSCR1	0.7996
C17orf88	-0.495833333333333
CDH16	-1.8725
FGF7	2.301375
PCSK4	-0.486166666666667
NPC1L1	-1.45116666666667
TAT	-0.202625
TBCA	-1.11325
MGC33407	-0.00775000000000001
GPR115	-1.46828571428571
CYGB	0.3685
FNBP4	-0.852
C12orf43	0.16525
CBL	-0.5438
CLECL1	2.07475
PPAPDC1A	3.38125
WDR25	0.498166666666667
SGCA	-0.0555
C22orf29	-0.0528333333333333
YIPF1	1.35175
GALK2	-0.80275
RAB3B	-2.2065
LOC440087	0.59275
UCP1	-0.548
REEP5	1.46125
FADD	0.742
FOXA1	1.9515
CACNA1A	0.5635
ABI1	0.756166666666667
GRIN2D	1.06375
SLC1A4	-0.862833333333333
LOC401127	-1.2875
HINT2	-0.6535
PLD4	1.64316666666667
ZNF286A	-0.7655
ENY2	-0.88225
IL1F6	0.05
PXDNL	1.58375
C20orf79	0.13625
TNFSF13B	4.42566666666667
DENND3	1.335
JARID1D	-3.75
HIST1H2AK	0.708375
LOC93349	1.2958
SSH1	-0.7112
ENSA	1.347
LOC219854	0.267333333333333
CKAP2	-1.0369
DKFZP564J102	0.600833333333333
MGC87315	-0.186833333333333
HNRPAB	-0.16725
AMH	-0.153
ZNF526	0.5815
BRUNOL5	0.2829
CACNG3	-0.140333333333333
TRPM1	-1.988
PPP2R1A	0.432125
COL2A1	-1.6005
DDN	0.147666666666667
FLJ25770	0.299666666666667
HK2	-1.6355
ELOVL6	-2.129
MDK	-1.19425
EPHX1	1.11275
RASSF2	0.9635
DKFZP434B0335	-0.8715
DLX3	0.5835
PRTN3	-0.352
AVPR1A	2.01775
C21orf125	-2.3055
TNFAIP8	0.4705
GNB2L1	0.08725
CALCRL	2.9815
SCGB2A2	7.108
UBXD7	0.481
ZNF674	-1.2645
TMEM35	0.136875
BRSK2	-1.363
HECTD3	0.6315
TMEM188	0.125916666666667
LGALS9	3.084125
SCARB2	0.943416666666667
USP34	-0.494333333333333
C17orf28	1.96425
ZDHHC23	-0.031
AQP12B	-0.1485
SLC16A3	-1.419625
APLP2	1.277
ITIH2	-5.7785
MICAL3	-0.662625
TNNI3K	0.69
HDAC2	-0.6125
PRR7	-0.2676
THBS2	1.9575
LOC751071	0.122166666666667
CA2	-1.80616666666667
RANBP17	-1.365
RLN3	0.54125
CRYZ	-0.485833333333333
GBAS	-0.108
TAS1R1	-0.04275
MPZL3	0.00950000000000001
PCDH8	-2.2225
HSP90B1	-0.173166666666667
KCNK15	0.632
TNIP2	1.92116666666667
GPR146	-0.1405
NOL6	0.220875
SPC25	-2.88933333333333
STEAP2	1.7615
VAMP3	0.312333333333333
TCIRG1	0.6075
ZP4	0.318333333333333
PARL	0.980875
TRIM39	0.625333333333333
KIAA1305	0.11625
CRNN	2.4508
GRN	1.273
HSH2D	0.89425
SCAMP1	0.555625
KIAA1913	1.08
PTS	0.2505
BANP	0.178357142857143
PRKACG	0.31875
ADCY6	-0.0206666666666667
C16orf46	0.5185
CYP51A1	-0.225625
DDC	-5.19733333333333
ANPEP	0.321
PROM1	2.92483333333333
SIGLEC10	3.4535
COPG	1.1465
FAM26E	2.593375
TRIP4	0.1965
SNX3	1.05666666666667
C1orf175	0.247666666666667
PPY2	1.54966666666667
C14orf152	0.409
FTSJ1	0.3935
DST	-0.351263157894737
LOC554235	0.42125
GLRX5	-0.59525
C20orf12	0.9772
CAB39	0.303
MSH2	-1.3695
PIP4K2C	0.468875
CYLD	1.50625
WTAP	0.58025
MGAT4A	1.57844444444444
TSC22D4	0.5835
CHRM2	-1.5485
PPYR1	0.105833333333333
CCNH	-1.19966666666667
RRM1	-1.4285
ECAT8	-3.9755
LOC400120	0.270333333333333
GABRA4	0.668
C14orf4	0.0945
C1orf59	-0.1585
CTDSPL	0.49625
NHEDC2	-0.436
PDE11A	-1.87006666666667
KLHL29	-1.095
CD5	1.6942
TSPAN9	1.483
WDR67	-1.1555
THUMPD1	-0.2111
C18orf17	-0.51575
CLYBL	0.3405
FLJ13231	-0.8795
CMBL	-1.326125
LECT2	-0.35975
NKAPL	3.315
LOC654780	0.705
OR4C6	-2.2705
RAB30	1.186
TSSK4	-0.373
TMEM163	1.544
OSBPL11	0.3365
GNB5	-1.15233333333333
CCL21	1.54525
C1orf121	0.7295
FMO2	2.798
RPTN	2.876
MSTN	-1.2455
VCL	0.3615
FYTTD1	0.431
C11orf1	0.29575
CCDC88C	0.500625
HFE	0.552611111111111
MOGAT1	-1.5115
FAM125B	0.940166666666667
IRGQ	0.632
RAVER2	-0.86325
AKAP5	-2.624
SSSCA1	-0.63125
C11orf63	1.397625
ACTG2	0.2593
PORCN	-0.9295
DTL	-1.79790909090909
TMEM151	1.11225
FAM122C	-0.51375
RSAD2	5.7019
BAT4	-1.0385
KRTDAP	-3.0035
MYH8	0.347142857142857
CRTC3	1.7255
LRRFIP2	0.4157
INTS4	-0.659833333333333
TTN	-1.34116666666667
SLC26A5	0.158
PLLP	-0.496
RGS6	-0.781125
SRGAP3	0.874375
ZNF525	-0.355833333333333
NBR2	-1.01283333333333
C13orf1	-0.1601
ZNF137	0.1005
CEP27	-1.373
BEST2	-0.2075
RNF121	0.759
DMRTC2	0.462
C8orf76	-0.08025
BCCIP	0.331875
MEST	-0.15225
HTRA2	0.6335
ANGPTL2	2.02775
ILKAP	-0.1815
ERAS	-0.269
HBS1L	-1.550375
CPA5	0.751
TMEM30A	0.0348333333333333
CD300LF	2.90983333333333
WISP3	1.2285
CRK	0.713071428571429
PDS5A	-0.5274
BRPF3	0.279
NEDD9	-0.631375
SMPDL3B	1.839
PSG6	-2.30375
PSMD13	0.5235
ETV5	-1.4836875
OR51A4	0.155
BTBD7	-0.635083333333333
GSTO1	-0.6315
hCG_16001	0.5535
MAD2L1BP	-0.686666666666667
COX6A2	1.196
SCNN1A	2.71633333333333
LSM1	0.8215
UGT2B11	-4.04175
IDUA	1.17625
PPP2R3C	-0.761666666666667
COX11	-0.907666666666667
PDZK1	-3.22075
ZNF443	0.00183333333333333
MGC21874	0.910166666666667
ZNF323	1.957
KRTAP10-10	0.273
CXCL6	-0.5195
SLC34A2	1.2513
LOC284402	-0.087
NPTN	0.418333333333333
UPP1	-1.41058333333333
SLC6A9	-0.109
OR7G3	-0.13175
CISD1	-0.692833333333333
ZNF545	0.2525
SYT14	-0.66
NT5C3L	0.308666666666667
ZNHIT3	-0.4945
SNRPD3	-0.54425
KIAA0701	0.119875
UNC93B1	1.133
GMNN	-1.80225
SPCS2	0.86
LOC388524	-0.071
NAPRT1	0.46725
PNLIPRP1	0.213333333333333
OR6V1	0.4885
PRKAB1	-0.38475
EYA4	-3.35566666666667
KIF20A	-2.11025
ALG10	-0.15775
ITPKC	0.859333333333333
LMX1B	0.5015
RPUSD4	0.00200000000000001
C7orf34	0.1835
DLGAP2	0.564625
PFN1	0.5417
MICALL2	-0.455166666666667
ZNF654	-1.165
SS18L1	-0.337625
SLC16A8	0.48775
MKI67IP	0.575166666666667
ITGB3	-1.385
TCEA3	1.44316666666667
CEP152	-2.1885625
CLIP1	0.3625
ZNF75	0.7520625
ATP5C1	0.0878333333333333
NUDT5	-0.744833333333333
PSCDBP	2.4285
UBP1	0.39325
RBM27	-0.707
C13orf15	3.329375
ZNF282	0.464833333333333
ZNF222	0.0154
COL10A1	5.031
PRDM15	-0.343875
TTTY5	0.5115
FAM9C	-0.875555555555556
C20orf67	0.29125
GNG13	-0.053
F12	-0.9875
C1orf41	-1.132
CPXCR1	0.157
GSK3A	0.397875
SUPT6H	0.740166666666667
PI16	3.1415
ELL2	-0.920833333333333
C9orf167	-0.815666666666667
PVRL3	-1.8451
FLJ38596	-2.673
ADAM20	-1.044
GPR89A	1.4315
GPR87	-1.3295
ZNF30	0.34075
SMR3B	0.10225
ZNF770	-0.528875
TRPC4AP	0.302
DKFZP686E2158	0.776
C2orf28	-0.369833333333333
FREM1	-0.965166666666667
LAMA4	0.666833333333333
ADPRHL2	0.99825
EIF4G2	0.113666666666667
GUCA1A	0.0785
CTNNA2	-1.6115
NUDT15	0.04
CEPT1	-0.00183333333333333
ZNFX1	1.6121
CCDC92	2.0195
TDRD1	-2.442
KCNK5	-1.083
ETNK1	-0.313583333333333
LTA	0.527
TTPA	0.166
B3GALNT2	-0.045875
SC65	1.15416666666667
PEX5L	-2.13675
EPS15L1	-0.0255
MGEA5	0.073375
HIST1H3A	0.22825
ING1	0.307625
BCAT1	-2.004875
ORC6L	-2.902
KLK11	-4.609
C19orf28	-1.088375
DNER	-5.37525
MED22	-0.614785714285714
ETV6	0.870416666666667
CHAC2	-1.31025
CD300E	0.039
CEBPB	1.51308333333333
ZNF398	-0.3225
LRCH3	-0.032
HMGA1	-1.735
CAPN7	-0.239
MGC5566	-1.16825
CCL3	3.4055
NANOS1	-0.5925
ZFYVE19	-0.0255
APITD1	-1.2475
PARD3	-1.030375
IRAK4	-0.234666666666667
SERPINI2	0.045
CEP170L	-0.677
TTC9	1.73925
MYOM3	-0.8815
MLPH	1.4875
LOC222699	0.531
NRG1	-0.763363636363636
TBC1D9	1.26218181818182
TTK	-2.56683333333333
ZNF557	0.5901
DDX41	-0.364166666666667
FANK1	2.371
UBE2D2	-0.566625
PSMB10	0.97975
MYH7B	-0.0825
GABARAPL2	0.1485
MARVELD2	0.283166666666667
DGCR2	0.435833333333333
UNC45A	0.808666666666667
C6orf72	-0.1035
ZNF683	4.78625
GIT2	0.530125
CASK	0.51
