Hybridization REF	TCGA-AR-A1AX-01A-11R-A12P-07
KIF20A	-2.146
ALG10	-0.41125
ITPKC	0.894333333333333
LMX1B	0.176
RPUSD4	-0.672833333333333
C7orf34	-0.273333333333333
DLGAP2	-0.343428571428571
PFN1	-0.934
MICALL2	-0.4975
ZNF654	-0.1675
SS18L1	-0.76275
SLC16A8	0.28925
MKI67IP	0.624
ITGB3	-1.5635
TCEA3	2.11675
CEP152	-1.829
CLIP1	0.268
ZNF75	-0.014375
ATP5C1	0.226333333333333
NUDT5	-0.7675
PSCDBP	2.766
UBP1	-0.20175
RBM27	0.14175
C13orf15	2.817
ZNF282	-0.436833333333333
ZNF222	0.3632
COL10A1	5.868
PRDM15	-0.745571428571429
TTTY5	0.087
FAM9C	0.342666666666667
C20orf67	0.03525
GNG13	0.366
F12	0.537
C1orf41	-0.20525
CPXCR1	0.4255
GSK3A	0.65625
SUPT6H	-0.223666666666667
PI16	1.18916666666667
ELL2	-0.909916666666667
C9orf167	-1.3695
PVRL3	-2.2126
FLJ38596	0.223
ADAM20	1.679
GPR89A	0.8415
GPR87	-0.5365
ZNF30	0.8025
SMR3B	1.43
ZNF770	0.0582500000000001
TRPC4AP	-1.10633333333333
DKFZP686E2158	0.627833333333333
C2orf28	-0.295166666666667
FREM1	0.686666666666667
LAMA4	-0.170333333333333
ADPRHL2	0.04025
EIF4G2	0.370833333333333
GUCA1A	-0.324
CTNNA2	-1.52742857142857
NUDT15	-0.336666666666667
CEPT1	-0.181
ZNFX1	0.7698
CCDC92	0.87275
TDRD1	-2.5105
KCNK5	-1.04266666666667
ETNK1	-0.311333333333333
LTA	-0.5125
TTPA	-0.0684
B3GALNT2	0.0667499999999999
SC65	-0.72
PEX5L	-1.46328571428571
EPS15L1	-0.5405
MGEA5	0.168125
HIST1H3A	0.606
ING1	-0.381375
BCAT1	-3.64514285714286
ORC6L	-2.38454545454545
KLK11	-5.17516666666667
C19orf28	-1.458375
DNER	-4.38325
MED22	-0.605357142857143
ETV6	1.10291666666667
CHAC2	-0.4245
CD300E	0.3735
CEBPB	0.729166666666667
ZNF398	0.0435
LRCH3	0.0435
HMGA1	-1.98466666666667
CAPN7	-0.105333333333333
MGC5566	-1.618
CCL3	2.357625
NANOS1	2.078375
ZFYVE19	0.05225
APITD1	-0.347333333333333
PARD3	-0.724875
IRAK4	-0.0395
SERPINI2	-0.411
CEP170L	-1.2535
TTC9	1.090875
MYOM3	-2.21625
MLPH	0.95575
LOC222699	-0.177
NRG1	-1.258
TBC1D9	1.87272727272727
TTK	-1.67416666666667
ZNF557	0.1092
DDX41	-0.947
FANK1	2.156
UBE2D2	-0.145875
PSMB10	1.088875
MYH7B	-0.7195
GABARAPL2	0.13625
MARVELD2	0.997833333333333
DGCR2	0.561
UNC45A	0.284666666666667
C6orf72	0.476
ZNF683	5.5315
GIT2	0.465125
CASK	-0.162833333333333
C14orf161	2.89666666666667
LRRC44	0.0455
TIFA	0.882625
UTP11L	-0.490625
C6orf65	-1.792
FDPS	-0.39125
DUSP9	-1.9246
SLC17A8	1.39733333333333
OR51G1	0.1176
NANS	0.331
OLFML1	1.5175
ATP10B	-1.14957142857143
NPAS3	-0.47525
PRKCA	-2.43933333333333
GGA2	0.439625
LCE4A	0.609
SPANXN3	0.814333333333333
CCDC115	1.292
SDCCAG3	-0.9295
GLIPR1L1	-0.0816666666666666
TTC1	0.10125
C17orf76	0.237
MAD2L2	-1.56525
HIPK1	-0.3647
LRRC3B	0.308333333333333
CLN3	-0.3555
C17orf47	0.1815
FMN2	-2.5235
TUBB1	-1.0295
WAPAL	0.0518333333333334
C3orf21	-1.290625
SCN5A	-1.1545
SMYD1	-0.20025
BEX5	0.64225
ZNF192	-0.0625
SEC22A	0.237333333333333
GRIA2	0.384833333333333
KIAA0825	-0.918
NUSAP1	-1.37163636363636
LANCL1	-0.338875
C15orf40	-0.4842
ZNF645	0.528125
GPR61	0.31875
NLRP14	0.111
SNX21	-0.8915
C1QTNF8	0.1445
C17orf46	0.04025
IFNA8	0.658
SPRR1B	-2.7198
FLRT1	-0.7855
SNX17	-0.0286666666666667
ASB2	1.48283333333333
HBG1	-6.19
RPRML	-2.27766666666667
JOSD2	0.158833333333333
PLSCR3	0.0145
SPOCD1	0.0543333333333333
RAB39	0.0185
GHRH	-0.474833333333333
ITIH5L	0.74925
C17orf37	1.91725
SMCR8	0.78925
DPY19L2P3	-0.509
IL11RA	0.959166666666667
GDF3	-4.69866666666667
RPS6KB1	-1.15658333333333
DNAJC19	0.7518
TOP1	-0.12775
CRCT1	0.987833333333333
MPST	-0.3775
DPM2	0.586625
FAM38B	-0.8785
SLC18A1	-2.2115
FARP1	1.00433333333333
PAX7	0.2995
TUBD1	-1.27875
GNL3	-0.166875
BTG2	1.2822
NDUFS6	-0.313
C1orf79	-0.45575
ERAL1	-0.9395
ECHS1	0.31075
VPS4A	-1.12233333333333
CYP11A1	-0.976375
ABCC6	0.730785714285714
PBX4	-0.8065
MOSC1	-0.60875
NCF4	1.3925
HYMAI	0.094
NAGPA	-0.67125
OTOP2	-0.4125
ACOT12	-0.435
MTHFD2L	-0.544625
LOC441376	2.67675
C19orf34	-0.604
RAB1B	-0.121
ALDOAP2	-0.3995
NTRK1	0.027
ARTS-1	0.9741
SLC6A11	0.3465
NAP1L2	1.31
CNGB1	-0.236333333333333
EPB41L4B	0.801833333333333
FAM134B	1.009125
HS3ST3A1	-0.661666666666667
CPXM2	5.57325
SIRPB2	0.0175
CHORDC1	-0.797333333333333
TRIB3	-1.05583333333333
SLC2A5	1.24825
C2orf49	-0.541333333333333
DDX5	0.199
OR5L1	0.7535
ANAPC4	-0.202666666666667
ZSWIM1	0.58525
LOC93622	0.13175
KCNK3	-0.2682
RP11-35N6.1	-1.28157142857143
ZFP161	0.425
AQP9	0.87575
SLC15A2	-0.139166666666667
MREG	0.856833333333333
OR9I1	0.517
PDLIM2	0.228625
ADAM7	0.5375
GSTCD	-0.66
WDR21A	-0.562625
SLC12A8	0.873
TMEM174	0.2195
IGSF3	0.29225
LRRN1	-0.68775
LOC402117	0.359
SRPK1	-0.513
LY6K	1.0919375
NFIA	2.441
PTCD3	0.258
LEP	-0.174333333333333
PCDH21	-0.0593333333333333
MAPKAPK2	0.591857142857143
NMNAT1	-0.743833333333333
LHFPL2	0.408875
C9orf43	0.73275
DIP2A	-1.08283333333333
ACTR8	-0.073375
CCDC34	-1.34575
PTPN22	0.51375
ITGA3	-0.7765
FAM129C	3.3475
RABGGTA	-0.0906666666666667
UNC45B	-0.03325
KIAA1033	0.09825
ZNF510	-0.646666666666667
CYP2D6	-0.0473333333333333
SLC26A10	-1.969
STX8	0.11575
LUZP1	-0.09375
WDR89	0.00883333333333333
EIF4G3	-0.4636
C5AR1	0.444375
ZNF623	0.098
A2M	1.19425
TGM7	0.183
GRPEL1	0.00633333333333333
LMNB2	-2.0607
ROCK2	-0.463833333333333
SNX16	0.59525
CCDC66	-0.02925
ANXA3	0.60425
KIAA1609	-0.5035
EED	-0.1355
RNF32	0.0605
HES1	0.4246
CLC	1.8118
ISL1	0.681
KIAA0528	-0.16425
MANEA	0.34175
C1orf61	-3.6235
hCG_2001000	0.845
RAPGEF6	-0.0706
KIAA0020	-0.163833333333333
NEIL1	1.5825
C16orf45	-1.716625
RBM10	-0.550166666666667
C10orf125	-0.908375
MRS2L	-0.851
DNAH17	-0.586875
C19orf10	-1.14275
C1orf160	0.42425
SLFN12	2.04725
EXOC3	-0.773166666666667
HIST3H3	0.3695
NCOR2	-0.282166666666667
TNFRSF9	1.17625
MFSD8	0.7015
ALX1	-2.997
NOL1	-1.07
PODN	2.9965
TIAL1	-0.60625
HIST1H1E	0.44975
NPY6R	1.4665
TM4SF4	-0.395
CORO2A	-1.465
ETNK2	0.110833333333333
APOE	1.6298
ANGPT4	0.6665
HDGF2	-0.9635
G30	-0.038
ST8SIA4	0.180375
F2RL1	0.07775
FAM19A4	-2.0585
CCAR1	-0.30625
B3GNT7	-0.144666666666667
OPHN1	-0.1533
DSCR6	-2.294
C21orf13	1.60066666666667
GAS2L1	0.727083333333333
RFX3	-0.2625
COPS4	0.379125
BCHE	-3.57916666666667
BCL2	2.534
HBZ	-4.08683333333333
ARL13B	-0.329
MAPBPIP	1.134875
MYO15B	-0.0125
SPZ1	0.525
KIAA1324	2.14811111111111
PLCL2	0.71475
C4orf29	-0.2735
WDFY2	0.152
ZNF284	0.074
NAALADL1	0.321
DUSP5	1.0405
PXDN	-0.012375
SLMO1	-0.834
TNXB	0.4725
BIRC7	-0.48675
A4GALT	0.673833333333333
TIMM22	-0.282
FAM110C	0.164
TOMM34	-1.083
ABHD9	-0.145
ADAM32	0.9255
CRHBP	0.43475
AQP2	0.3255
LOC130355	0.966
ZNF187	0.0211666666666667
ZNF816A	1.1585
F7	0.000750000000000001
CNOT1	-1.0561
SLC13A4	-1.07475
ZBTB11	-0.1745
B3GALT5	0.53625
EXOC2	0.519166666666667
IRS1	-0.2553
TMEM1	-0.0443333333333334
MRPL34	-0.397
SAMM50	-0.51275
CDC42EP3	0.627625
HSF2	-0.2479
MFN2	-0.09575
TSPAN7	-0.0181666666666667
NUCB1	1.39883333333333
RHOH	0.30825
ARL16	0.2375
TACR1	0.320666666666667
SFRS5	-0.3805
SNX25	-0.556125
RHBDF1	0.257833333333333
PCDH18	1.72683333333333
HMG1L1	-0.32175
MYO5C	1.4755
MAPK10	2.598
LDHAL6A	0.6306
NUDT12	0.415333333333333
NCAM1	-0.367857142857143
GLIS2	0.515
GGTL4	0.7365
DAPP1	1.76575
ATF7	0.872
KIAA0748	1.212
NFIL3	0.90575
TM6SF1	0.8581
SEZ6	0.00712500000000003
NANOS3	-0.4985
DNAJA3	-0.121333333333333
CLDN6	-2.2925
CIITA	3.5682
EPHA4	-0.446
FANCC	-0.64425
CMTM3	-0.077125
PSG3	-0.580285714285714
MRPL15	0.46725
C21orf59	0.14125
PLCXD2	-0.3565
C2orf34	-0.0195714285714285
UBE2L6	3.03
MED14	0.0503333333333333
HP1BP3	-0.7386
C6orf208	-0.8585
TPBG	-0.044
OSR2	1.209
XPC	-0.307166666666667
KLHL7	-0.963666666666667
CCR3	-0.400333333333333
AGTPBP1	-0.437333333333333
PCSK6	-2.45706666666667
STAT5A	-0.7661
FAM18B	0.48425
LONRF2	0.643333333333333
PTPN2	0.04075
SF3A3	-1.043
EFCBP2	-0.309
HCFC1	-1.146
AHNAK	0.4953
ACTR5	-0.75375
KIF14	-2.47814285714286
TENC1	0.58025
HEATR5B	0.988
YIPF2	0.596833333333333
MYEOV2	0.724833333333333
DUSP18	0.6545
KIAA1012	-0.22875
AHR	0.3645
C17orf53	-1.64383333333333
PTPRH	-3.2215
ATP6V1C1	0.7897
TAS2R3	-0.804
LOC440356	-1.9575
COQ10B	0.62
PSMF1	0.0576666666666667
SORBS2	0.65025
NFE2L2	0.14425
TMCO7	-0.5125
SH3PXD2A	-0.5614
SH2D2A	0.17125
SPINK5	-3.22975
MRPS24	-1.08525
OPA3	0.432
TRAF7	-0.081
C4orf35	0.4934
MT1G	0.67175
MGC39545	1.3505
HS1BP3	-0.3043
OR2B2	0.5125
CHRM4	0.2315
SFRP2	3.30683333333333
RIC3	0.29875
ART1	0.7775
C6orf1	1.05225
DUS4L	-0.807
C10orf104	0.8355
TNFAIP6	3.0055
RTEL1	-1.4565
CCT4	-0.5135
ZNF709	-0.362
CHMP6	-0.0121666666666667
UPP2	0.7385
CYP19A1	-3.8015
CD151	-0.00833333333333333
NDUFA13	0.558333333333333
ARFRP1	-0.682
FAM26B	1.5825
CRYBA1	-0.727
MRPL41	-0.245833333333333
NPFFR2	-0.889625
HRH2	-1.011
SCAMP3	0.330833333333333
MTMR6	0.3116
MTG1	-1.00216666666667
UBTD1	1.109
CRABP1	-2.666
FLJ33790	-1.2609
KIAA1908	0.478666666666667
GPR158	-5.4725
PACSIN3	-0.586833333333333
OMD	2.97883333333333
CATSPER1	0.372166666666667
HOXB8	-0.511
FBXO46	0.886
OAS1	3.42516666666667
SVIL	1.09975
PHB2	-1.68725
ADCY3	-0.2
NDRG2	1.29933333333333
ERMAP	-0.000899999999999997
APBA2	-1.52266666666667
IGSF9	1.0845
WNT6	0.0907692307692307
MYCBPAP	1.104
ATP2B2	-0.155285714285714
CPVL	-0.1101
TRAM2	-0.749583333333333
NOP5/NOP58	-0.1665
ZNRF4	-1.42975
TLK1	-0.1095
MTMR12	-0.0341428571428571
ZNF384	-0.2905
FAM9B	-1.28025
RPN1	-0.1212
PMVK	0.8305
EIF3D	0.2496
SIX2	-0.24525
HPS1	0.505785714285714
RNF7	0.069
PSKH2	-2.4305
KCTD13	-0.879166666666667
CSMD3	-0.089
FBF1	-1.1265
IL8	-5.8425
SERPINB13	0.4083
FBXL20	-0.92675
BLR1	0.29725
SH2B1	-0.560333333333333
RFNG	-0.172125
RAB20	0.944333333333333
RBM7	0.16575
POLR1A	-0.6096
TMPRSS4	2.37275
TAF9	-0.095
TERF2	-0.4395
TNFRSF1A	-0.0095
ACADVL	-1.25316666666667
GTF2H5	0.27425
EDG8	-0.029
C9orf140	-1.137875
UST6	0.0256666666666667
ZBTB8OS	0.11275
ZNF710	1.29
GPR174	0.755
ATP6V0A2	-0.796
KIAA0319L	-0.351416666666667
XKRX	0.053
DOPEY2	1.2327
SDHD	0.4805
SUMF1	0.799
OSM	2.33425
OPN3	-2.2005
DAGLB	-0.313833333333333
PPFIBP1	-0.194
TRIM63	-1.4765
C10orf53	1.257
LYPD3	-0.211833333333333
BCL7A	-0.643625
AGER	-1.064
TCF19	-1.778625
SAT2	-0.583
PFTK1	0.1345
GABRE	-0.804125
C15orf38	1.3013
FIS1	0.7135
KCNV2	0.38425
CLPS	0.3365
PPCDC	-0.27025
FOXN2	0.021
NT5E	-2.5059
CD83	1.4055
IL18	2.428875
VPS16	-0.06575
IGFBP2	0.37
NOTCH2	0.3995
SIGLEC1	3.048125
CD93	4.775
SULF2	-0.31375
CEP164	-0.495875
P53AIP1	0.477833333333333
TOR2A	0.103833333333333
ZNF136	0.205
MGP	5.0255
CCDC144A	-0.485
TRPC1	-0.6855
SMS	-0.134666666666667
MAPK7	-0.836833333333333
RRAGC	0.95925
PARD6A	0.348666666666667
NUB1	1.17283333333333
SYNGR4	-0.22575
OR11H12	0.226
WIF1	4.037625
GCH1	0.4795
OR11H4	0.218
SLC44A5	-0.6495
GPRIN2	1.94116666666667
LOC401431	0.3135
CPA4	-2.3727
MELK	-1.61933333333333
IL15RA	1.04625
CUL3	0.466125
HMBOX1	0.01875
PODXL	-1.895
CCT6B	1.33333333333333
COMTD1	-0.7685
MUC20	-0.0516666666666667
GPX2	-2.85125
ITK	1.250625
FBXL5	1.32775
C13orf27	-1.78175
DEFA5	0.0415
TRHDE	0.192
MTP18	-1.11616666666667
UQCRQ	0.5222
ITGB2	2.20941666666667
CSRP2BP	0.5295
TAS2R44	0.171
PHPT1	-0.034875
FAM44C	-0.17675
ERH	-1.267
MPHOSPH1	-1.6035
MORC1	-1.5835
PARVB	-1.452
LAMA1	-2.08454545454545
PGBD3	0.1335
GIMAP6	5.11675
AREG	-0.337666666666667
LIPT1	0.87175
MGC99813	-0.6475
C1orf201	-0.523833333333333
GRIN2A	-0.01275
MAN2C1	-0.61425
NSUN5	-0.94525
SF3B5	0.46375
MYC	-0.944375
NRXN1	-0.711
ZNF18	-0.471
SPDYA	-0.400714285714286
SLC37A1	1.116
DECR2	0.494
ANKRD38	-0.198571428571429
SPTLC3	-0.677166666666667
SUPT16H	-1.249
DTWD2	-0.14725
ULBP1	0.1075
ZADH1	-0.0975
OIP5	-1.2555
IL10RB	0.478666666666667
OTUB2	-0.989
VWA3A	-0.5114
SPIC	1.48566666666667
OR6C4	-0.149
PSCD4	2.322
DPY19L2P2	-1.451
TRAPPC6A	1.106
C21orf2	-0.206166666666667
CEMP1	1.31475
LIN7B	1.1745
E2F7	-3.45
VCP	0.125
LAMA3	0.915833333333333
BGN	1.92525
GPR160	2.27516666666667
COCH	-3.78866666666667
GPR81	2.20383333333333
APOBEC3F	0.0935
tcag7.1017	-0.858
C1orf32	0.5105
SCGB1D2	7.30275
FLJ43987	0.436
C6orf170	-1.37675
KLK9	-0.1075
GPD1L	-0.077375
VPS37B	-0.25175
ATG3	-0.0503333333333333
ADAMTS17	0.448
KLHDC2	-0.312166666666667
NDUFV2	0.39
BLK	0.68375
MATN4	-1.5675
GPM6A	0.187875
GBP4	5.25216666666667
TMEM162	0.356
PKP2	-0.9315
HRASLS	0.0951111111111111
MMP1	-5.79425
SFXN3	-0.6109
FSD1	-2.3355
ST6GALNAC3	-0.900666666666667
CA12	3.4071
NCOA6	0.25075
C19orf58	0.5017
PPP4R1	-0.208666666666667
MAN1A2	0.5835
IKBKAP	-1.03325
UPF1	0.326666666666667
KIAA1219	0.43025
WNT16	0.4752
SNW1	-0.4795
IL18RAP	4.73075
RPP30	-0.173375
CDC40	0.217
SETD3	-0.443
SLAMF6	1.16566666666667
ELK4	-1.13
TRIM47	0.351333333333333
ACOX3	1.175625
TRIM6	0.7745
KIAA0372	-0.370166666666667
TP53AP1	0.26525
SMURF2	-0.62825
ADAD1	-0.7355
EBP	-1.3678
KRTAP13-2	-1.292
FLJ36874	-0.950166666666667
TOR1A	-0.0896666666666667
P2RY4	-0.094
GPBP1	0.24025
TRPV1	0.36525
ADAMTS12	0.242666666666667
PES1	-0.5665
ATG4A	0.732166666666667
MAGEA10	-6.84433333333333
WFS1	1.88425
CC2D1B	-0.5395
PABPN1	-1.071625
SLC25A30	0.16275
SLCO1C1	0.6174
SLC22A5	1.1455
KIF23	-1.254
SYN2	0.2305
ASPN	8.211
CENTG2	-0.45375
QSOX2	-1.8659
FLJ10815	-0.972833333333333
STK24	0.16775
SPEG	0.4118
STK10	0.850666666666667
DACT2	-1.231
AAAS	-1.28425
SSX3	-1.592875
ABCD3	0.778
C4orf12	0.584875
PARVG	1.76866666666667
FIG4	0.32475
C9orf46	1.81075
TMCO6	-0.9705
IGHMBP2	-0.91925
DUS2L	-0.697333333333333
FAM3C	0.57175
TMEM16D	-1.74214285714286
DCTN4	-0.06675
KCNH3	-0.814
EIF2AK2	0.542
AP1S3	0.525375
CST4	-0.261
PAM	0.10975
NUTF2	-0.9795
CITED2	1.0096
SLC39A4	0.789
C2orf52	-0.731
GRM3	0.17975
C12orf49	0.674625
CCDC49	-0.3796
GRAMD1B	-0.905125
FNDC4	0.215
SIAH2	-0.382625
GDPD4	-0.0393333333333333
C21orf87	0.13325
ATP5A1	0.179
C16orf63	0.244
LOC388135	2.77
ATP5J2	-0.642875
MMP3	0.76125
EMID2	-0.01675
CRHR1	0.2095
WDR70	-0.30275
C13orf31	2.0235
ZFAND1	1.0865
CCL18	3.90483333333333
C3orf49	0.1865
RINT1	-0.8165
KIAA0408	-1.034
F13A1	5.0067
SLC10A1	0.1944
OGN	3.6015
GIPC2	-0.955666666666667
XPO6	-0.0396666666666666
LCE1A	0.474
FMR1	0.3246
LOC374920	0.11725
DUSP3	-0.64375
ANKMY1	0.292
C7orf50	-0.33975
BBS9	-0.9125
UNC119B	-0.637
C9orf72	0.0735
MGC35440	-0.03625
ENTPD6	-0.6225
PPP1R2P9	1.19266666666667
ERCC4	-1.99225
FAHD2B	-0.4305
HMHA1	1.079
HACL1	-0.607
RAD23A	-0.132166666666667
FAM83B	-1.6115
PPP5C	-0.892
RNASEH2C	-0.96
C9orf153	-0.899
SCAMP4	-0.083125
GHITM	0.977
NDUFB7	0.1065
ADCYAP1	-0.140166666666667
SP110	3.2045
MAP3K7IP2	0.73925
DHH	0.269
AGRN	0.759428571428571
WDR33	-0.0575
CEP290	0.0336
PRPS1L1	-1.12533333333333
KLRA1	-0.9025
GPR97	-0.165
CHD7	-0.0134166666666667
TLR10	2.319
SLC30A8	-0.338
HIC1	0.796666666666667
IAPP	0.2655
RXFP4	0.47975
GP1BB	0.89475
SHQ1	0.6075
NKX2-3	0.161333333333333
API5	-0.5255
FTHP1	0.8565
MOV10L1	-0.2826
TRIM6-TRIM34	2.75966666666667
ADHFE1	0.73275
FAM117A	-0.3035
DDI1	1.23433333333333
CDON	-0.7875
TRIM73	0.1355
IGKC	5.949
MMP14	-0.985333333333333
DYNC1LI1	0.051625
C11orf66	0.35725
TRBV3-1	-0.61525
FASTKD5	0.27225
BIVM	-2.92175
LHX4	0.127
CXCL2	-0.3149
RAB2B	-0.857
IZUMO1	-0.518666666666667
MAP3K15	-1.933875
FAM19A2	0.221666666666667
ZC3H8	0.295
ZMAT1	1.28875
SPINK5L3	-2.13325
SLC10A6	1.419
APPL2	-0.919625
CARD10	-0.7985
LOC402176	0.22625
EEF1D	1.2505
RAB6A	0.0163
C12orf5	-0.329875
PAPOLG	0.59075
MSRB2	1.24475
BCR	0.659388888888889
PUS3	-0.01975
TIAM2	0.7095
ZNF317	0.174833333333333
CHD2	-0.134583333333333
FZD5	-2.77557142857143
NUDT8	-1.67325
ZNF763	-0.9975
PRC1	-1.04122222222222
ABCB9	0.268333333333333
SPATA3	0.72975
TRAK2	-0.154375
STAB1	2.89025
LRRTM2	-0.2582
psiTPTE22	1.057
DBI	1.686
SERPINA11	-2.579
NAT5	1.20625
C20orf58	-2.30525
RPS6KA4	0.0708333333333333
FLJ90650	-0.630666666666667
TGFBRAP1	-0.46625
CHRDL2	0.941625
FAHD2A	-0.751333333333333
CNTN1	0.93025
BBS4	0.5272
TMEM181	-0.095
MINPP1	-0.92875
MPHOSPH6	0.0509166666666667
HOXC10	1.2814
ITPKB	-0.137625
CLPTM1L	0.118
MEOX2	0.675833333333333
ATP6V0C	0.62225
PRPF8	-0.907166666666667
TMC5	4.27875
FKBP3	-0.56
PLEKHB2	0.187875
OR4D6	0.242
ZNF544	-0.5147
D2HGDH	-0.584875
RPL18A	0.1023
HEL308	0.18275
MPP6	-2.685
TCERG1	-1.581
KRT16	-1.46066666666667
KLF17	-0.66075
KLF5	-1.766
CDR1	1.411875
VCX3A	-5.141
FBLN2	2.03
C14orf104	-0.75475
HBE1	-5.814
OR4S2	-1.011
C1orf108	-0.663166666666667
ROBO4	3.01333333333333
CPEB4	0.213125
C11orf80	-0.5615
BCKDHA	0.781666666666667
MYOC	0.71
GIF	-0.0165
CKMT1A	2.809
RPL3	0.6315
THBS1	2.75675
APOO	-1.01075
ARMCX1	0.53075
HSZFP36	0.3255
SNAPC5	0.93225
EIF4ENIF1	0.634
ZNF433	-0.0433333333333333
TNFRSF21	0.032625
TMPRSS7	1.917
SPATA18	1.1251
HPDL	-2.3375
MKL2	1.7537
TBX3	1.07584615384615
C21orf93	0.6338
DAXX	-0.48725
ELMO1	0.38825
RGS13	5.10666666666667
TAF11	-0.2845
UNC13A	-2.32728571428571
LOC653314	-0.2108
ORC3L	-0.139
IMAA	-3.275
TARBP2	-0.52525
CABIN1	-0.247
TRIOBP	-0.03225
HIST1H2AC	1.19975
RGS22	1.416
NCOA1	0.855
IL25	1.325
SNCG	3.008
GPR6	0.0345
AMDHD1	-1.05433333333333
CHEK2	0.093375
C6orf142	-1.143
DRD4	0.45025
C14orf68	-1.37525
GDF11	-2.9815
SEMG2	-0.041
CD247	1.47075
CDAN1	-0.98675
RBMX2	-0.143833333333333
TGS1	0.03825
OIT3	-0.2915
SYF2	1.1425
MCM4	-1.653875
PKHD1L1	1.30525
CEP192	-0.614833333333333
IFT88	1
RPL9	0.718142857142857
RAB32	0.0965
DDX43	-1.30325
P2RX2	0.0683333333333333
OR5D18	-0.173
UBE1	0.495666666666667
SLC24A1	0.843875
ARHGAP5	-0.53525
CETP	0.35175
KIAA1731	-0.4578
SLC9A4	0.591
PTPN6	1.51325
BAHD1	1.173
GRIK3	-0.3605
CACNB2	-0.4404
PDE10A	-0.5865
DGCR14	-0.649
PCDHB9	-1.00083333333333
RHOQ	0.165666666666667
MAP3K4	-0.24675
KTI12	-0.216333333333333
RPL23AP13	-0.963
GNG11	0.01425
CLCN3	0.184333333333333
GPAM	-0.952285714285714
VSTM2A	-1.6745
SLAMF7	4.447
INTS2	-1.18125
PPP2CA	0.2927
LRP12	-1.3432
SEC14L2	0.66
DKFZP586H2123	1.733
MC3R	-0.2825
CIRH1A	-1.89283333333333
HIST1H2AB	0.958833333333333
POLH	-0.813875
MGC16703	-1.736
SNAPC2	0.0095
FILIP1L	0.805
RASGRP4	0.114
LRRC1	1.19725
GAS1	0.50925
PRAC	-0.5845
DGKA	0.150333333333333
NT5C3	-0.16475
PEG3	-4.16372727272727
NADK	-0.96375
PRR17	-1.18625
LOC374569	-0.95025
SGSH	0.435666666666667
NLRP8	-0.264
GALT	0.2002
MCF2	-0.5215
ZNF263	0.15675
TACSTD1	1.06033333333333
TYR	-7.272
ATP6AP2	0.5995
RNUXA	0.0865
ABHD10	0.0253
GDPD2	-1.298
SLC35C1	-0.0425
UBE2A	0.34925
HERC5	0.894666666666667
FAM112B	-4.7315
FBXL16	1.742
DKFZP434A0131	-0.68275
ELA3A	-2.3545
RBM41	-0.970875
HAO2	-0.114
RNH1	0.229625
SHANK2	1.20083333333333
OSBP2	-2.16371428571429
DAK	-0.488166666666667
C3orf58	0.253833333333333
TCL1B	0.1615
KBTBD2	-0.467375
SUGT1L1	-0.28725
UBE2E2	0.649666666666667
MYL9	2.598625
CDC23	-0.8205
PBXIP1	1.1742
CXorf40B	0.069
NBL1	0.45025
RTBDN	-0.04
RAB11FIP5	0.479125
TTTY13	0.3515
SCOTIN	0.701
SOHLH1	0.4435
CDKN1A	-0.880285714285714
NCK1	0.6505
ZNF550	0.60225
SAPS3	0.342333333333333
SPIN3	-0.0951666666666667
MAGEE2	-0.0675
MIS12	-0.816166666666667
OR8H2	0.1235
KIAA0774	-1.40566666666667
UNC5D	-1.1345
CUL7	-0.459666666666667
LIPC	-2.72816666666667
DIO1	2.905
C20orf11	-0.0302
CTRL	-0.40425
HS3ST2	0.20675
PAK4	0.489833333333333
CCRL1	3.021
RNF10	-0.70375
ZNF567	0.547
ZNF660	-1.108
TCEAL3	1.1205
MAGOH	0.680166666666667
CENPB	-0.592166666666667
C19orf7	0.83075
LOC388965	0.50575
ZCCHC13	2.61
JMJD1A	-0.8845
HIST1H4H	0.7235
TBRG1	-0.3518
GPC3	-3.049625
TAF1C	-0.955625
EBNA1BP2	-0.361
CIAPIN1	-0.73625
PDGFRA	-0.0162222222222222
CSTB	-1.243
CENPI	-2.08183333333333
GTF2E2	-0.5995
RPP21	-0.7145
CCNF	-0.776666666666667
KCNQ3	0.2925
FAM79A	0.765
SLC22A12	-0.297
NOVA1	-1.0775
FZD3	0.1016
AKAP8	-0.40525
SOCS5	0.21075
CFDP1	-1.08375
DLG5	0.263
PGM5	0.799416666666667
C1orf144	0.311833333333333
HDAC10	-1.3265
RND2	-0.5495
C20orf199	-1.21075
RNMT	-0.70625
SLURP1	-0.134125
ASTN1	0.61275
SH3BGR	2.48575
MYCL1	-0.285125
ZHX1	1.21016666666667
CENPK	-1.84125
FOSB	0.5483
LOC643406	-0.0235
C2orf59	0.276875
TMEM135	-0.133125
SLC27A2	-3.26975
KRT33A	0.4275
OVOL1	-0.293428571428571
PAMCI	-1.89666666666667
S100A7	3.7655
ZNF789	-0.39
HARS2	0.217
RPL23A	-0.508333333333333
TCF23	0.26275
UPF3B	-1.0225
C17orf78	2.19
HLA-DOB	1.67466666666667
C14orf142	0.296
TEKT5	1.491
DMWD	0.00549999999999999
POLD1	-1.938
GSCL	-0.301
CALD1	-0.3373
SCRT1	0.669333333333333
AIG1	1.25325
UNC84B	0.03675
ZNF404	-0.6745
TMED6	-3.48925
KIAA1462	0.303
LRRC27	2.07216666666667
PYGO1	-0.2425
PIGU	-0.277833333333333
ALAS2	-4.42866666666667
