Hybridization REF	TCGA-BH-A1ET-01A-11R-A137-07
BTN2A2	-1.0339
FRG1	-0.3705
HSP90AB6P	-0.38775
ENOX1	-0.927833333333333
ZNF706	0.2046
DOK1	1.9685
PGAP1	-1.0005
TMEM136	-0.0455
FSCN1	-1.8085
KIF17	0.11975
TRIM66	0.0695
CBR3	1.13033333333333
C13orf24	0.4515
C19orf52	-0.48075
BNIP1	0.7425
AQP3	1.897625
KRT6C	-2.38233333333333
SIRPA	0.0894166666666667
IGFBP6	-1.76516666666667
PLEKHK1	-1.260375
RNASE7	-0.233
ARHGEF15	0.58
NPHS2	1.5035
SRD5A1	-2.01725
REXO4	-1.039
EEF1DP3	0.26925
SLC37A2	0.21075
ZNF142	0.54775
ANKHD1	-1.4315
MUT	1.195
VPS37A	0.28025
GPRIN1	-1.59425
SLC38A3	-1.574125
BAZ2B	1.75675
WDR87	-0.107
BRD7	0.3995
POU6F2	-1.3855
NISCH	0.988875
TCEB1	-0.3965
LINGO2	-2.32575
TAX1BP3	-0.515
RPL34	0.414444444444444
MARK2	0.322833333333333
AKAP12	-1.3537
AMBN	-0.2015
SLC25A27	-1.83666666666667
FLJ21865	-0.448875
KIR2DS2	0.432666666666667
WDR77	-1.19025
ATF2	-0.0929166666666667
ITFG3	0.504
SLC39A13	0.3885
ARL6IP5	1.788125
C10orf137	-0.111
QTRT1	-0.139166666666667
CCNT1	-0.07675
DYNLL1	0.5981
WDR53	-0.11225
LIPG	-0.149166666666667
ASAH3	0.209
HELB	0.037
PHACTR2	-0.48825
VENTX	-0.52525
LAD1	-2.1595
PAOX	1.199
MAPK8	-0.1145
CCDC38	-0.3115
DNAJC8	-0.0902
RBBP8	-0.2765
WNT11	-0.2063
KCNJ12	-0.893833333333333
HDAC8	0.226
STARD4	-2.991
ACVR1	1.14066666666667
C14orf65	-0.851666666666667
KLB	-2.6465
C1orf65	0.063
ZFYVE28	0.9885
NSUN6	-0.14125
KIF27	0.814666666666667
SYTL2	0.716333333333333
UBXD2	0.6021
OR6T1	0.8635
CCDC91	1.29085714285714
GRID2	-0.233
CALN1	-1.122875
ZNF423	0.56275
PSMB4	-0.533666666666667
XPNPEP3	-0.7285
ARPP-21	-3.7901
SART1	-0.80975
RACGAP1P	-2.8165
SPTA1	-5.267
C6orf113	-0.496666666666667
C7orf16	-2.9925
CHST7	-0.856
C21orf29	-1.34416666666667
SEMA6D	-0.65275
PCMTD1	2.3711875
KIAA1754	-0.926
MYCN	-0.674875
KCNJ3	4.5135
MAPK13	2.3743
ERO1LB	-1.498
NTF3	-1.50916666666667
NKX6-2	-0.8355
GTF2B	0.577
GSPT1	-0.274166666666667
GUSB	-0.0156666666666667
LOC221091	-1.6105
LIG1	-1.23525
EXTL3	-0.129333333333333
NID2	-0.7955
TTC29	-0.36525
TMEM97	-1.907625
EXTL2	-1.108
SUZ12	-0.73425
IL1F8	-0.8795
KRT18	-0.221363636363636
MRPS16	-0.06575
PI4K2B	0.33275
LACRT	0.013
OR51F2	1.032
JMJD2C	-0.01975
KGFLP1	2.079
CDK5RAP3	-0.5722
YTHDF2	0.698333333333333
GGCX	0.58925
ARPC4	0.37225
EGLN2	0.766666666666667
KBTBD4	0.283142857142857
ROBO3	-1.0967
DEFB118	0.042
KIAA1543	1.60375
RTCD1	-0.142666666666667
MZF1	0.45475
C18orf26	0.051
CNIH4	-2.887
ZFP2	2.88583333333333
HTATSF1	0.237
WFDC2	3.866625
NDUFA7	0.2445
TTC22	0.2075
FAM40B	-3.457
DCPS	-0.87025
SH2D1B	-0.705666666666667
MRGPRE	0.6835
SBK1	1.0685
UNQ6411	0.4355
OSBPL9	-1.35875
NUP107	-1.6395
MYOZ3	-0.3009
PDE4B	1.13816666666667
FAM113A	-0.536
IDH3G	-0.019
FBXL7	0.22875
ARFGAP3	-0.08925
MAPRE2	-1.13869230769231
IL1RN	1.7876
KIF13A	-0.23125
RAC3	-0.6765
TCTE1	0.774
TMEM14B	0.0285
ADIPOR1	-0.0746666666666667
GRINA	0.862
CLIP4	-0.4315
LRIT2	-0.256
TFPI	-2.47085714285714
FABP6	-2.92225
SLITRK2	-0.3563
HKR1	0.897
SMTN	-0.62475
C1orf75	-0.8375
CD209	0.166875
CYB5R2	1.21125
DNTTIP2	-0.417
CSGlcA-T	1.04475
GABRB3	-2.959
PCBD1	0.724166666666667
TAF3	0.762083333333333
HOXD3	1.0155
GIPC3	-0.204333333333333
P11	0.8365
BFSP1	-0.212
LCP2	0.51125
TAS2R8	0.0845
SEZ6L	-0.22975
NR2C1	-1.255125
EXDL2	1.2709
TNFRSF13B	-1.97866666666667
MKI67	-3.72075
GLS	-0.204666666666667
C7orf54	-1.0013
LGALS13	0.00233333333333334
IL4R	0.43275
SEC11A	0.304166666666667
SPP2	0.467833333333333
C18orf32	1.79425
CLSPN	-2.53533333333333
SPAG1	1.926875
C9orf82	-0.09325
TM4SF1	0.21925
EMILIN2	-0.0255
SMG7	-0.0463333333333333
TAS2R13	0.1465
ZNF628	-0.0145
DZIP1L	-0.3395
ANKRD13A	-0.3779
VASP	0.41375
ZCCHC11	-2.3115
SYPL1	1.024125
MGC34774	0.63025
C4orf28	-0.1355
KIAA1211	0.0981666666666667
RPS27L	0.175
TATDN3	-0.995
PDCD1	0.13425
OR5P2	0.279
IFIT1L	0.9615
MIPOL1	0.92925
OR51D1	0.6245
C1orf92	-1.1985
LAMP2	0.786666666666667
CAT	0.824333333333333
C16orf80	-1.17275
C15orf32	-0.3525
ZNF746	0.10775
C1orf76	-0.937
ATXN1	0.86525
LAMC2	0.524125
SLC2A7	-1.0525
CPOX	-2.111
APH1B	2.36733333333333
LOC442245	0.41625
CTNND1	1.54633333333333
GABRG2	-0.991875
MADCAM1	-0.332333333333333
F5	-3.214875
SEMA4F	-0.337666666666667
NUDCD3	0.36425
PDZD11	0.5835
TRIML1	-0.134
GCNT3	-3.48433333333333
TMEM120A	0.60325
CNDP1	-0.46
N4BP1	0.11525
SLC35F2	-0.91975
LCP1	-0.067
IGBP1	0.5489
DCAKD	0.570125
ELA2A	-1.002
C12orf56	-2.921
PITRM1	0.512928571428572
GUK1	-0.027
RASSF8	-1.4200625
OR2A14	0.231
ADM	-3.71177777777778
FGD3	3.31316666666667
GHRHR	0.5705
RHPN2	-0.88175
C4orf39	1.46816666666667
VPS72	-0.983
SERF2	1.54411111111111
CD22	2.34416666666667
CD47	-1.0284
PPIC	0.653833333333333
IMPDH1	-0.03025
ACP6	0.4045
PRKACA	0.647875
PPP1R1A	-0.32925
TRPV3	-0.27475
ASXL1	-1.09475
C17orf55	-1.54833333333333
FXYD1	-0.084
LMOD2	-0.361
ANKRD33	0.326
LCE2C	-0.521375
ZNF620	0.2815
DKFZP566E164	-0.3975
VSIG2	1.16725
KIAA1128	1.36575
USO1	0.439
NUDT4	0.652071428571429
CLDN1	0.156428571428571
OR4Q3	0.3315
FASTK	-0.408
ICOS	1.69983333333333
LDB1	0.71275
GSTA5	-0.9045
ABCC1	-1.2155
FAM54A	-3.83275
PCBP2	-0.671833333333333
NUP205	-1.65425
ACTA1	-2.61933333333333
GABBR2	-1.7855
PIP5K1B	0.998666666666667
AGXT	-2.3555
RNF181	0.28275
ATP8A2	-1.53275
AFTPH	1.4075
FGF21	0.1665
FCER1G	2.50075
SNTB1	-1.95925
SLC24A3	1.78325
TXNL4B	-1.3879
RPL10L	0.0515
LOC389517	-0.996
TSGA13	0.335
SHOX2	-0.987166666666667
ITGA7	-0.6781
KCNIP2	-0.260166666666667
KLF13	-0.1337
ZFAND2A	-0.864
CEACAM1	0.494428571428571
PFKFB4	-1.94933333333333
MED19	0.217
LRRC57	0.149833333333333
RNF11	1.152
ANKRD32	-2.51675
P117	0.442
OBFC2A	-0.0161666666666667
POLD3	-1.20158333333333
RAB18	1.499625
TPH2	-0.635
PHB	-0.4051
JDP2	2.35083333333333
MORF4L1	-0.2563
POU2F1	-0.69525
CNNM2	-1.34825
LOXHD1	0.136333333333333
ZC3H15	-0.2685
ELK3	0.594166666666667
FAM111B	-1.299
CBLC	3.475
SBNO1	-0.0885
ANKMY2	-0.48125
PLEKHA5	-0.36075
DHX58	1.71466666666667
ARCN1	0.296
TREML1	0.4912
KNCN	-0.172
SEC24A	-0.413375
PSCA	-1.3145
MGC24125	0.8545
DNA2L	-1.705
CIB4	-0.496125
HIGD2A	0.465333333333333
TBX6	0.0783333333333333
TTLL5	-0.536
SGK3	-1.2535
GCN1L1	-0.85
AMOT	0.3175
LDOC1	-1.36583333333333
NRK	-0.716333333333333
ASB9	-3.25875
NAT1	5.9025
TRAFD1	0.338
PEAR1	0.870833333333333
FAM36A	0.351375
OR1S2	0.552166666666667
LOC388323	-2.22275
PGS1	-0.807166666666667
LEPREL1	-2.4035
TFF1	1.921
HAP1	0.31175
EPHB2	-0.97625
ACTG1	0.896333333333333
ZFP42	-2.748
HAVCR2	0.2925
NME1	-0.7465
SNX26	-0.47725
LACTB	0.560833333333333
ZKSCAN2	-0.01475
C5orf35	0.9565
ANKS3	0.02175
RBM28	-1.03575
DKFZP586P0123	-0.76075
HNRNPA1	0.205333333333333
BCAS3	-1.1155
FLJ20184	1.4365
POLA2	-1.5145
TMC7	0.250666666666667
HSD17B6	1.816
ZNF658B	1.57183333333333
TTTY10	0.058
RANBP9	0.0105833333333333
CPNE7	-2.803
EVL	2.04758823529412
LNX1	1.23475
IFNA21	-0.024
CFD	0.202
PYCARD	2.3205
MYBPC2	-2.525
ENPP3	-1.75333333333333
ACSL4	-1.5045
LOC440258	-1.16516666666667
TMEM176B	3.706
SOX2	-3.70825
SCO1	0.127666666666667
COMT	0.09375
AOC2	0.21525
PDLIM5	0.108142857142857
SPHK2	0.643666666666667
NXPH2	-2.1255
GPR108	0.4755
RAD51L1	0.359
TMEM54	0.78475
LETMD1	-1.09611111111111
SLC6A17	0.33725
KRT75	-0.3755
STT3B	-0.623666666666667
CD3EAP	-0.5935
TMEM63A	0.74325
DUSP13	-2.27875
CD1C	-0.1025
LASS2	0.390666666666667
AVP	0.3885
PITPNM1	-1.241875
FLJ22795	-1.7035
MCTP1	-2.57125
TRIM68	-1.19766666666667
UCK2	-1.87833333333333
ABHD1	1.19325
FAM50A	-0.39575
RNASEH1	-1.35933333333333
PCP2	2.49383333333333
OR52H1	1.3535
C20orf149	0.886
RBP5	1.3005
HYAL3	-0.4445
CLPB	-0.8855
SMNDC1	-0.1045
DONSON	-2.30816666666667
FLJ27523	-0.39575
BARHL2	0.176333333333333
SLC30A9	0.246666666666667
TMPRSS11B	0.172
E2F8	-3.12116666666667
CCDC25	0.5435
C14orf48	-0.834
C20orf116	0.664125
TSPAN11	0.225
YIF1B	-1.3015
FAM12B	2.96
OR1L6	0.494
HPN	1.716
NBN	1.0705
C14orf94	-0.147666666666667
OCLM	0.7165
ZSCAN18	1.4528
L3MBTL	-1.3217
TSTA3	1.725
RAC1	0.389625
C19orf15	0.437
NFE2	-4.875
KLK14	0.345
ARSF	0.022
MAST2	-0.320666666666667
AMICA1	2.0915
GTF2A1	-0.346125
ATP1A3	-0.3225
TC2N	3.9334
PNKP	0.000750000000000001
ODZ2	-0.456125
MATR3	0.42375
S100P	0.556625
KRT82	0.1035
CA13	-1.6993
PROZ	-0.0211666666666667
AASDH	0.746875
C19orf40	-0.404166666666667
DCK	-0.558538461538462
FAM5C	3.712
SLC6A4	-3.0155
MID1IP1	-0.51325
TESSP5	0.2685
TMOD4	-0.0665
DOCK2	-0.617833333333333
TUG1	-0.234875
NUP214	-1.001
DPYSL2	-0.643590909090909
GOLM1	2.73725
MPFL	-0.0215
SOX13	0.7315
SDCCAG8	0.7699
KEL	-2.439
NUP210L	-2.48925
GK	-0.608375
DNAJB1	1.05975
ALPK3	0.1235
CHID1	0.5197
CYLC2	0.5766
IKZF5	0.74025
C8orf51	1.62983333333333
PPM1J	2.6175
GIMAP8	3.41683333333333
GPR101	0.0355
NR2F1	-1.0065
ACAD8	0.60125
RBM35A	0.9535
GNAI2	0.469333333333333
METTL8	0.134333333333333
SLC39A7	-0.81775
FBXO8	1.03075
CAMK1	0.33425
RFC3	-1.6765
FAM129A	1.16578571428571
ILF2	-1.08475
FGFBP3	-2.47775
NOM1	-1.34933333333333
PSMA3	0.04125
ASCC3	-0.342
ZYG11A	-0.737
SOX21	-1.85425
LYRM1	0.57625
DEFB1	1.3485
LOC91431	-3.0145
OR7C2	1.087
FAM46B	1.581
TMEM18	-0.4175
ARHGAP30	1.18133333333333
TMEM86A	4.02441666666667
EPHA2	-1.17516666666667
C10orf46	1.27255
TCHH	-1.41883333333333
C3orf30	0.0578333333333333
LOC285636	0.256
PAIP2	0.0455
CYP2U1	-0.464125
C12orf34	1.47125
SARS2	-0.836833333333333
ZCWPW1	0.40925
SAMD12	2.1145
KIAA1430	0.3375
ACAT1	-0.26025
MEOX1	2.624
ADAMDEC1	3.89625
PHKA2	-0.35625
CARD11	-0.843333333333333
CALML4	-1.19
TSSC1	-0.587
TMEM45A	0.105666666666667
MPP7	1.6055
POU1F1	-0.1605
SLC2A13	-0.8615
FBN2	-1.64264285714286
ZC3H7A	0.6001
LAIR2	-2.26875
ST3GAL1	-0.0951666666666667
LCT	-2.89175
GEMIN8	2.07216666666667
KLF16	0.3415
HIF3A	-0.0995
FAM44A	0.0202857142857143
AQP10	-1.4145
PLA2G2A	-0.2445
FOLH1	0.308166666666667
C20orf186	0.378
MAPKAP1	-0.325
SPRR2D	-2.3735
UBQLN4	-0.392833333333333
RSHL1	-0.077
PIAS3	0.325375
MRPL24	0.451
GREB1	0.200375
FAM27E3	-2.0195
NUP62CL	1.33075
NEUROG3	0.1405
REEP3	1.48775
MARK1	0.375875
LMBRD1	1.168
PRPF19	-0.52
PNMT	0.0841666666666667
CTGLF1	-0.688
SLC25A16	1.4495
EIF2B3	-0.923
RPA2	-0.2705
PAK6	1.16883333333333
CCDC26	-4.8715
SEMA3E	2.30075
MXD4	1.2553
TNFSF10	5.1391
SMARCB1	-0.7965
DTX3L	0.983166666666667
PLA2G4E	-0.211
PPAP2A	1.37675
ULK1	-0.337333333333333
TAS1R3	0.325
SLC2A3	-2.90318181818182
ARID3A	-2.092
GNG5	0.51525
ACOX1	0.4633
KIF5B	-0.22525
NUP153	-0.6285
MUC7	0.47
CSDE1	-0.5145
CLPTM1	0.26125
C3orf23	0.04725
LRRC17	1.06766666666667
TTYH3	-1.14375
ATP5B	-1.0205
ELF3	1.9046
CPSF3L	0.157
ZNF665	0.5955
TLR6	0.5906
GPI	-1.480375
RAD9A	-0.196125
NDST4	-3.67175
AGPAT3	0.294833333333333
MAGI3	0.8815
ADORA2A	-0.775125
CACNG7	0.067
CAMK2D	-1.05907142857143
CCHCR1	-1.161
RPS27A	-0.31225
OR10G7	0.254166666666667
GCM2	0.1825
FAM135B	1.6317
E2F1	-2.3995
PLCB3	-0.142
OR2AE1	-0.0715
COIL	-0.0143333333333333
CDC25C	-3.498
RAB11FIP2	0.569583333333333
TSC2	0.387
CTGLF5	-1.427
CCDC108	1.1724
OR13C4	0.53725
C10orf81	5.7145
PTPRB	2.36725
ACP2	1.773
LAG3	-0.31125
MRPL54	0.63175
LOC201175	0.464
ITGB1BP3	-2.039
SPTAN1	0.122333333333333
SIPA1L2	-1.81425
RCAN2	-0.461
CDX2	1.1915
ECOP	0.3525
ACTR1A	0.579357142857143
PPARG	-1.042
BBS10	0.394833333333333
TMEM44	-2.04525
BPIL2	-0.182
CITED1	-0.05175
IRF6	4.22125
PRDM4	0.173666666666667
RRP9	-1.05433333333333
OR10H4	0.25775
IL31RA	-1.09825
GNB1L	-1.59266666666667
MYBL2	-3.416375
ZNF407	0.898166666666667
PPIG	0.393666666666667
TTC18	3.754
RPSA	-0.7005
MAPT	2.562375
MRE11A	-0.223642857142857
C8orf37	0.685333333333333
RASGEF1C	-0.546
STBD1	0.684
CTAG2	-0.678666666666667
MGAT5B	-2.2965
ECM1	1.573875
RLN1	4.658
PARP14	0.8221875
EPB41L1	0.8701
HOXA3	-0.85225
MAGEA9	-5.33375
RPS8	-0.312833333333333
RPS19BP1	-0.43125
FOXJ2	0.280625
C10orf76	0.765625
IL17RE	1.0465
C10orf65	-1.12425
ZNF343	0.138
FBXO33	-0.1355
UHMK1	0.4798
LY6G6C	1.4
FGF19	-2.19125
C14orf128	-0.0228333333333333
IFIT2	1.8475
TIGD1	-0.49
S100G	1.3285
GUCY1B3	2.179
NR3C1	-0.8673
CORO1B	0.352666666666667
PARP11	0.95775
DNALI1	4.4405
OR4N4	0.97625
MAP2K6	-0.305166666666667
FSTL4	1.668
ANKRD47	1.426
TMEM171	-2.226
PNLIP	-0.31375
YY1	-0.0716666666666667
CCDC138	-2.08483333333333
AASDHPPT	-0.3726
CKS1B	-1.1183
MCM3	-1.58966666666667
ANAPC7	-0.310333333333333
FAM110A	1.48
CDC37L1	1.57916666666667
THTPA	1.309
NBPF20	-0.6095
WDR24	0.6145
NPTX2	-2.81175
CBLB	0.465333333333333
CETN1	-0.0256666666666667
RPUSD1	0.081
FAF1	-0.52775
CDK6	-3.38
HMX2	0.159
CSK	-0.560166666666667
TEAD2	0.21775
SNAP25	-1.43425
TUFT1	0.1436
TMTC3	1.34083333333333
LCK	-2.18175
SGOL1	-2.64283333333333
AKTIP	1.79625
FURIN	0.885125
SOX12	-0.489333333333333
DEFB103A	-1.125
RAMP1	3.37025
KIR3DX1	-0.3015
GAS2L3	-1.9665
PDE8A	-1.8036
EDN3	2.1945
GMIP	0.91225
SF3A2	0.19175
FN3KRP	0.55925
SMAD7	0.82025
RHBDD2	0.94675
OR11H6	-0.144
PPP1R3B	1.3743
C9orf23	0.5395
CADPS	-1.5155
GOLGA8A	-4.136875
TMEM57	1.36483333333333
RGL3	0.484
S100A14	3.2035
FGFR2	1.2615625
XRCC3	-0.8635
RTN4RL2	0.46025
MGC3771	2.2475
GH2	0.284166666666667
BTBD2	0.0935
LMO2	0.387
RDBP	-1.002375
ACRBP	-1.9475
AMY2A	1.6495
DUOXA1	0.434
PTK7	-0.170833333333333
TWF2	0.2145
FAM80A	0.70175
TNNI2	-3.30166666666667
GLT25D1	-0.638833333333333
OCC-1	-3.21325
CYC1	-1.127
RPL22	0.410090909090909
MORN3	1.997
DISP1	0.568
PRB2	0.2955
CHUK	-0.1995
HR	-0.931
CCDC134	0.053125
DENND4B	-1.32875
C14orf130	0.02975
RAB33A	-1.72675
DCST2	0.4225
TNMD	-0.68575
PEX7	1.758
FAM62A	0.069875
SRD5A2L	1.3215
IL22	0.10825
RPS26	-0.739666666666667
HOXC5	0.3
SPATA6	1.287
FLJ38482	0.612125
ZNF234	0.491
C18orf22	0.9325
SPATA22	1.929
THOC1	-0.47175
CYP7B1	2.4145
KCNC3	-0.4065
C8orf42	-1.463
ALDH1B1	-0.329333333333333
CCDC100	-0.1081
ARMC4	-3.687
FAM18B2	0.264
SLC44A1	0.3525
FBXO17	-1.80716666666667
C6orf107	-0.295
C19orf29	-0.335
ZC3HAV1L	-0.5295
PARP6	0.0738
SULT2A1	-5.482
C1orf159	-0.64025
TMC1	1.03633333333333
CHST14	0.70975
GAMT	0.903333333333333
SMCP	0.370166666666667
TSPAN33	0.0338333333333333
MIDN	0.65875
NOX4	2.77875
RNASEN	-0.8206
TBX1	-1.66916666666667
SALL2	0.50525
C10orf35	0.7425
CYP2E1	0.470125
LRFN2	2.4715
ACO1	-0.994833333333333
IQCG	1.7591
MEGF9	1.18225
TM7SF4	0.62625
PLEKHA1	0.923
STK33	-3.1105
C1orf210	3.17
SNUPN	0.0191
KIAA0406	-1.1602
C20orf29	0.209
TMEM55B	-0.08975
OSTM1	-1.039125
CLCN7	0.3795
OTP	-0.03475
FLJ23049	-1.86775
HEATR4	1.5845
MAP3K10	0.546166666666667
PCDHGA9	0.0145
AMDHD2	-0.068
LCTL	-3.55
PDCD2L	-0.50675
CABLES2	-0.391
SLC5A9	-0.3015
CLCA2	-2.44233333333333
MGC16025	-0.752
STRAP	-0.735833333333333
C20orf196	-0.127
RRBP1	0.976166666666667
NAT13	-0.49025
MAT2B	0.203
CSNK1D	-0.783
KIR3DL1	0.32775
PRKAG3	-1.207
ZNF599	1.1635
PRM3	0.977
PER2	1.84616666666667
ASPHD1	-0.9665
PRMT6	0.11425
KCNE1L	-1.03842857142857
FAM118A	-1.76433333333333
TAF4	-0.46175
NDUFB6	-0.0455
TRIM9	-1.54391666666667
PMFBP1	-1.24825
KY	0.877
DKFZp762E1312	-4.13790909090909
CSMD1	-1.931
TBP	-0.532666666666667
OR1Q1	-0.525
RETNLB	0.02575
HPGD	0.484384615384615
DNAJC12	2.97366666666667
FKBP1B	-0.24525
ANKRD24	-0.1205
CXXC5	0.6575
IL3	-0.046125
DRAM	-0.3962
PTCH1	-1.6045
TP53BP1	0.164
SLC17A7	0.07825
COL25A1	-1.7529
AMACR	0.305
RHCG	-0.413
VPS13A	-0.349916666666667
FAM55D	1.715
PRPF38B	-0.483
OSBPL6	-1.55425
PFDN5	0.5568
CMTM6	0.741875
KCNK12	-2.2675
RP2	0.36575
C16orf52	-1.431
PICK1	-0.097
IFNE1	-1.6956
SEMA4B	0.72575
TYRO3	-2.60725
OR12D2	-0.012
CSNK1A1	0.4138
FANCF	1.047
LONP2	0.393
TBL1Y	-0.59725
LDOC1L	-0.283375
CCNC	0.17025
C3orf60	0.26175
CHKA	-1.366
UBAP1	-0.04375
MAP3K1	0.931
ANKRD9	-0.35275
FAM92A1	-0.913666666666667
GAB2	-0.49025
AZU1	-0.34875
DIS3	-0.667
C21orf109	-1.173
IQCB1	-1.28575
SPATS2	-0.2945
EFCAB3	-0.6685
PRB3	-0.10575
FUZ	0.392166666666667
ZNF813	0.187625
BMPER	-1.31666666666667
HEG1	0.11825
ALS2CR11	-2.0245
SURF2	-0.4785
PSMC1	-0.2665
OR2D2	0.2115
SLC7A8	2.3175
C4orf40	-0.1905
SPATA7	0.28925
MAZ	0.20375
PIN4	1.09275
PDE1A	0.238125
TAF6L	-0.251666666666667
OR2T34	0.1855
KIAA0284	0.17125
ACADS	-0.769636363636364
MKRN2	-0.575
C18orf56	-3.41875
MS4A6E	0.234333333333333
GALNT4	1.3485
C22orf31	-0.2225
FLJ36070	-0.0555
PSME4	0.24375
TFG	0.1089
EPHX2	2.475125
ANXA5	-0.162375
KRTAP1-1	-0.4294
BATF	2.068
KARS	-1.8995
MSTP9	-0.577
GPR26	-0.221428571428571
CCDC72	0.672
TEF	1.031
FOXK1	-1.3142
PRLHR	0.229
EMX1	4.4435
C11orf30	-0.1425
ICK	0.602625
THSD7B	-0.53475
C21orf100	-0.577
DUOX1	2.588
EFCAB4B	0.7515
UBE2G2	-1.2815
C3orf54	0.198
PARP1	-1.20475
FAM60A	-2.66858333333333
C6orf146	-0.588
OR9K2	0.4895
DDX55	-1.258
RPS15	0.328666666666667
ZNF618	0.4840625
DKFZp686D0972	0.49625
SSPO	-0.4775
SHFM3P1	0.905
CPA6	-0.786
JAG2	1.03625
DEFA3	0.23775
PPBPL2	0.388833333333333
CD34	4.357875
SLCO4A1	-3.468375
AFG3L1	-2.05583333333333
SHD	-1.36475
RP13-122B23.3	-0.688666666666667
PRKCSH	-0.553333333333333
DPH5	-0.384
HLA-F	2.051375
TBC1D4	-0.63175
RIG	0.0563333333333333
GLUD1	0.594
HNRPCL1	0.233875
HBXIP	-0.261
RNF207	-0.454
APIP	-0.1665
PLA2G3	0.793333333333333
CCDC84	-1.01375
MYLIP	0.478846153846154
PHIP	-0.1015
AARS2	-0.766833333333333
DHX32	1.02075
SCAPER	-0.1885
MEN1	0.0595
NIP7	-1.64925
FLJ25404	0.5215
FASTKD3	-0.2595
TMEM158	-2.97108333333333
RARA	1.61225
BDH1	1.2285
ANKRD16	0.935
CARM1	-0.022
SS18	0.508166666666667
IKZF2	1.13608333333333
MYD88	0.840625
PML	-0.0124
TAF1A	-1.61775
CBFB	-1.223875
HIST1H3H	-1.32516666666667
C7orf29	-1.6895
COMMD4	-0.426
DPP3	-0.47475
DAB2	1.88325
LOC388882	-0.194
YPEL4	-0.08775
AGBL3	0.3685
LRP6	0.2997
SERPINH1	-0.349583333333333
TLE1	-0.70575
CD244	1.0655
ZDHHC15	0.52275
MGLL	-1.2947
PLDN	-0.0984166666666667
LOC654346	2.1325
FAP	2.95825
GPR37	-0.989833333333333
SCARA5	1.286
EBF4	0.940636363636364
LSM6	-0.525
MLLT1	-0.1325625
SLC5A12	-0.28075
A2BP1	-2.55433333333333
COPS5	0.043
TPM4	-0.523928571428571
TNFSF4	0.698666666666667
ACADSB	1.79544444444444
HERPUD1	1.988
BCL2L11	-0.1755
CEP78	-1.829125
CDCA3	-2.33725
WBSCR19	0.1922
MYO1A	-2.468
PPEF1	2.87383333333333
LOC440348	-0.25575
CPEB2	1.11325
BPTF	-0.308
RPL21	-0.104
GSX2	-1.4065
ADPRH	1.0085
C17orf68	1.13183333333333
KCNS1	-1.24483333333333
MLLT6	-0.0411
PIWIL4	0.08
RNF26	-0.85
RAP1B	0.88525
ADAMTS1	-1.4733
ZNF571	1.69225
P2RY6	-0.2625
TRIM21	0.825333333333333
CADM3	-0.4075
NLRC5	1.04116666666667
ADRA2B	-0.359833333333333
LOC90835	0.9575
PCF11	-0.39675
LOC400451	2.28225
GLTSCR1	0.594
C17orf88	-0.722333333333333
CDH16	-2.158
FGF7	2.04775
PCSK4	0.705666666666667
NPC1L1	-1.62083333333333
TAT	-0.1
TBCA	-0.17
MGC33407	0.25275
GPR115	-1.385875
CYGB	0.677
FNBP4	-1.07516666666667
C12orf43	-0.1905
CBL	-0.8967
CLECL1	3.0215
PPAPDC1A	1.4335
WDR25	0.549
SGCA	1.091
C22orf29	-0.0341666666666667
YIPF1	2.09575
GALK2	-0.77025
RAB3B	-3.60008333333333
LOC440087	1.88125
UCP1	-0.2105
REEP5	1.9565
FADD	-0.0052
FOXA1	3.844875
CACNA1A	0.232666666666667
ABI1	0.497
GRIN2D	0.59425
SLC1A4	-0.0453333333333334
LOC401127	-0.31625
HINT2	0.9935
PLD4	1.68883333333333
ZNF286A	-0.4295
ENY2	-0.22975
IL1F6	0.308
PXDNL	1.58975
C20orf79	0.0367499999999999
TNFSF13B	2.468
DENND3	0.720625
JARID1D	-3.95325
HIST1H2AK	0.618125
LOC93349	-0.0027
SSH1	-1.2077
ENSA	0.89
LOC219854	1.0265
CKAP2	-1.0662
DKFZP564J102	1.077
MGC87315	0.137166666666667
HNRPAB	-0.2315
AMH	-0.901
ZNF526	0.627
BRUNOL5	-0.317
CACNG3	-0.0215
TRPM1	-1.9375
PPP2R1A	0.495125
COL2A1	-1.838
DDN	-0.394333333333333
FLJ25770	0.992916666666667
HK2	-0.342142857142857
ELOVL6	-0.843875
MDK	-1.11275
EPHX1	1.2975
RASSF2	0.48275
DKFZP434B0335	-0.09725
DLX3	-0.405
PRTN3	-0.74725
AVPR1A	0.4825
C21orf125	-2.6445
TNFAIP8	-1.05633333333333
GNB2L1	-0.3535
CALCRL	4.27575
SCGB2A2	7.77133333333333
UBXD7	-0.495
ZNF674	-0.3455
TMEM35	-0.2385
BRSK2	-0.7545
HECTD3	0.284333333333333
TMEM188	-1.16383333333333
LGALS9	2.291625
SCARB2	1.24808333333333
USP34	-0.00566666666666669
C17orf28	2.19216666666667
ZDHHC23	-1.41475
AQP12B	0.411
SLC16A3	-2.970875
APLP2	0.731875
ITIH2	-5.523
MICAL3	-1.4855
TNNI3K	0.346
HDAC2	-0.071875
PRR7	-0.647
THBS2	0.017625
LOC751071	0.224166666666667
CA2	-0.9335
RANBP17	-1.8805
RLN3	-0.066
CRYZ	-0.036
GBAS	0.784166666666667
TAS1R1	-0.5415
MPZL3	0.85
PCDH8	-1.8315
HSP90B1	-0.0988333333333333
