Hybridization REF	TCGA-BH-A0AZ-01A-21R-A12P-07
OAS1	0.825
SVIL	1.171
PHB2	-1.459
ADCY3	-0.0705
NDRG2	2.09066666666667
ERMAP	1.324
APBA2	0.3655
IGSF9	1.456
WNT6	0.00571428571428572
MYCBPAP	0.8845
ATP2B2	-0.471111111111111
CPVL	-1.1972
TRAM2	-0.227
NOP5/NOP58	-0.80225
ZNRF4	-0.121
TLK1	-0.04025
MTMR12	-0.0755714285714285
ZNF384	-0.164333333333333
FAM9B	-3.71025
RPN1	0.6633
PMVK	1.66925
EIF3D	0.0971
SIX2	-0.822
HPS1	0.375357142857143
RNF7	0.3675
PSKH2	-0.0605
KCTD13	-0.143833333333333
CSMD3	-0.6726
FBF1	-0.653
IL8	-6.195125
SERPINB13	-0.143818181818182
FBXL20	-0.643
BLR1	0.72025
SH2B1	-0.08
RFNG	1.15625
RAB20	0.6475
RBM7	-1.242
POLR1A	-0.150833333333333
TMPRSS4	-2.60725
TAF9	-0.945
TERF2	0.251333333333333
TNFRSF1A	0.994916666666667
ACADVL	-0.408
GTF2H5	0.93575
EDG8	0.980833333333333
C9orf140	-1.989
UST6	-0.36775
ZBTB8OS	-0.669
ZNF710	0.3345
GPR174	-1.4885
ATP6V0A2	-0.67175
KIAA0319L	-0.148416666666667
XKRX	-0.495
DOPEY2	0.7401
SDHD	-0.944666666666667
SUMF1	1.39425
OSM	1.963
OPN3	-0.61175
DAGLB	0.789666666666667
PPFIBP1	0.4473
TRIM63	-3.1795
C10orf53	-0.1835
LYPD3	1.0865
BCL7A	-0.360125
AGER	-1.776
TCF19	-0.87425
SAT2	-0.045
PFTK1	1.25466666666667
GABRE	-3.11675
C15orf38	1.059
FIS1	0.4075
KCNV2	-0.242
CLPS	-0.1145
PPCDC	-0.170625
FOXN2	0.0991666666666667
NT5E	-2.1325
CD83	0.491
IL18	0.565
VPS16	0.6825
IGFBP2	-1.02633333333333
NOTCH2	0.8595
SIGLEC1	2.341125
CD93	5.6325
SULF2	1.80425
CEP164	-0.24425
P53AIP1	-0.109
TOR2A	-0.0285
ZNF136	0.3505
MGP	3.5953
CCDC144A	0.053
TRPC1	-0.0795
SMS	-1.64583333333333
MAPK7	-0.00266666666666667
RRAGC	0.49125
PARD6A	0.844166666666667
NUB1	0.664
SYNGR4	0.53425
OR11H12	-0.545
WIF1	1.985625
GCH1	0.2095
OR11H4	-0.6465
SLC44A5	0.8425
GPRIN2	0.302666666666667
LOC401431	-0.09725
CPA4	-2.3072
MELK	-2.91033333333333
IL15RA	0.4805
CUL3	0.4035
HMBOX1	0.10375
PODXL	-1.56575
CCT6B	0.699333333333333
COMTD1	-0.2385
MUC20	0.187666666666667
GPX2	-2.4895
ITK	-1.310625
FBXL5	1.69725
C13orf27	-1.6525
DEFA5	0.482
TRHDE	-0.074
MTP18	-0.3535
UQCRQ	1.4153
ITGB2	1.78183333333333
CSRP2BP	0.36375
TAS2R44	0.34
PHPT1	0.792375
FAM44C	0.17325
ERH	-0.84775
MPHOSPH1	-2.33466666666667
MORC1	-1.0415
PARVB	-0.106
LAMA1	-1.07525
PGBD3	-0.1935
GIMAP6	4.349
AREG	1.14233333333333
LIPT1	-0.587
MGC99813	-1.41625
C1orf201	0.565666666666667
GRIN2A	-0.4113
MAN2C1	0.23125
NSUN5	-0.97725
SF3B5	0.47525
MYC	-2.497625
NRXN1	-0.748416666666667
ZNF18	0.66525
SPDYA	0.260875
SLC37A1	1.5165
DECR2	-0.25075
ANKRD38	2.706625
SPTLC3	-1.43516666666667
SUPT16H	-0.48475
DTWD2	0.1995
ULBP1	-0.325
ZADH1	-1.2755
OIP5	-3.69875
IL10RB	0.814
OTUB2	-0.497375
VWA3A	0.819833333333333
SPIC	0.333833333333333
OR6C4	-0.3065
PSCD4	1.2155
DPY19L2P2	-0.414
TRAPPC6A	1.273
C21orf2	0.532666666666667
CEMP1	-0.63175
LIN7B	0.187
E2F7	-2.5055
VCP	0.636125
LAMA3	1.33516666666667
BGN	3.178
GPR160	0.383166666666667
COCH	-5.23866666666667
GPR81	1.1035
APOBEC3F	-0.7385
tcag7.1017	-1.22375
C1orf32	0.167
SCGB1D2	6.69825
FLJ43987	0.5555
C6orf170	0.5495
KLK9	0.503
GPD1L	0.78475
VPS37B	-0.51675
ATG3	-0.714333333333333
ADAMTS17	0.164
KLHDC2	-0.331333333333333
NDUFV2	0.20525
BLK	-3.07125
MATN4	-1.368
GPM6A	0.548125
GBP4	3.562
TMEM162	-0.5272
PKP2	-0.43
HRASLS	0.192222222222222
MMP1	-0.122
SFXN3	0.3331
FSD1	-1.91266666666667
ST6GALNAC3	-1.00183333333333
CA12	3.0586
NCOA6	0.38075
C19orf58	0.1
PPP4R1	0.615166666666667
MAN1A2	1.26066666666667
IKBKAP	-1.6415
UPF1	-0.0261666666666667
KIAA1219	0.66875
WNT16	1.0575
SNW1	-0.74725
IL18RAP	2.541
RPP30	-0.327375
CDC40	-0.0589285714285714
SETD3	0.235833333333333
SLAMF6	0.99325
ELK4	0.215
TRIM47	1.32183333333333
ACOX3	0.611
TRIM6	0.415375
KIAA0372	-0.146
TP53AP1	0.455625
SMURF2	-0.195
ADAD1	0.158333333333333
EBP	-1.0414
KRTAP13-2	0.497
FLJ36874	-1.43816666666667
TOR1A	0.277166666666667
P2RY4	1.1155
GPBP1	-0.083
TRPV1	-0.59425
ADAMTS12	1.71333333333333
PES1	0.418
ATG4A	0.782166666666667
MAGEA10	-5.33125
WFS1	0.72975
CC2D1B	0.2096
PABPN1	-0.42075
SLC25A30	0.1255
SLCO1C1	0.659833333333333
SLC22A5	1.32475
KIF23	-2.69333333333333
SYN2	0.08
ASPN	7.37366666666667
CENTG2	0.203
QSOX2	-1.5437
FLJ10815	0.527
STK24	0.5311875
SPEG	0.00680000000000001
STK10	0.502
DACT2	-0.612
AAAS	-0.4235
SSX3	-0.921875
ABCD3	-0.7142
C4orf12	0.0778750000000001
PARVG	1.10033333333333
FIG4	0.82275
C9orf46	0.39
TMCO6	-0.768
IGHMBP2	-0.203
DUS2L	0.039
FAM3C	-0.107
TMEM16D	-2.14971428571429
DCTN4	1.078
KCNH3	0.4555
EIF2AK2	0.946
AP1S3	0.274125
CST4	3.177
PAM	1.2663125
NUTF2	0.2865
CITED2	-0.2072
SLC39A4	-1.29625
C2orf52	-1.536
GRM3	-0.37375
C12orf49	0.04
CCDC49	-0.1963
GRAMD1B	-1.648
FNDC4	2.04675
SIAH2	0.180625
GDPD4	0.179
C21orf87	0.404
ATP5A1	-1.00966666666667
C16orf63	-1.050375
LOC388135	0.6875
ATP5J2	-1.223875
MMP3	0.79075
EMID2	-0.18225
CRHR1	0.808
WDR70	-0.6555
C13orf31	1.359
ZFAND1	-0.6875
CCL18	2.56816666666667
C3orf49	2.1575
RINT1	-1.7985
KIAA0408	-1.719
F13A1	5.0919
SLC10A1	0.441166666666667
OGN	3.439
GIPC2	-1.20833333333333
XPO6	-0.288833333333333
LCE1A	1.273
FMR1	0.2209
LOC374920	-0.1035
DUSP3	0.361
ANKMY1	1.1695
C7orf50	0.9005
BBS9	-0.0910999999999999
UNC119B	-0.61275
C9orf72	-0.60275
MGC35440	-0.5115
ENTPD6	0.521
PPP1R2P9	-0.18325
ERCC4	-0.179
FAHD2B	0.0935
HMHA1	-0.3825
HACL1	-1.02875
RAD23A	0.0661666666666667
FAM83B	0.18925
PPP5C	0.436666666666667
RNASEH2C	-0.269625
C9orf153	-0.9925
SCAMP4	0.839375
GHITM	-0.3342
NDUFB7	0.5625
ADCYAP1	0.841666666666667
SP110	1.49216666666667
MAP3K7IP2	0.568
DHH	0.2695
AGRN	0.958214285714286
WDR33	0.397833333333333
CEP290	0.0261666666666667
PRPS1L1	-1.987
KLRA1	-0.2345
GPR97	0.499
CHD7	-1.51716666666667
TLR10	1.07725
SLC30A8	3.569
HIC1	2.79016666666667
IAPP	0.106
RXFP4	0.06525
GP1BB	2.36675
SHQ1	0.12
NKX2-3	-0.0951666666666666
API5	-0.415
FTHP1	0.611
MOV10L1	0.772833333333333
TRIM6-TRIM34	2.06433333333333
ADHFE1	0.2155
FAM117A	-0.25
DDI1	0.657166666666667
CDON	0.1305
TRIM73	-0.556
IGKC	4.226
MMP14	1.55516666666667
DYNC1LI1	-0.448125
C11orf66	0.03875
TRBV3-1	-1.28275
FASTKD5	-0.62775
BIVM	-1.0495
LHX4	-0.598
CXCL2	-2.05
RAB2B	-0.167
IZUMO1	-1.3395
MAP3K15	-2.5055
FAM19A2	0.0668333333333333
ZC3H8	-0.9075
ZMAT1	1.33275
SPINK5L3	-1.9215
SLC10A6	0.0005
APPL2	-0.2175
CARD10	0.155
LOC402176	-0.765
EEF1D	0.9728
RAB6A	0.4588
C12orf5	-1.11875
PAPOLG	-0.02825
MSRB2	1.21775
BCR	1.20505882352941
PUS3	-0.437
TIAM2	1.161
ZNF317	0.1495
CHD2	-0.149928571428571
FZD5	-1.11077272727273
NUDT8	-0.87625
ZNF763	0.239
PRC1	-1.67511111111111
ABCB9	0.401666666666667
SPATA3	0.345
TRAK2	0.466875
STAB1	2.91175
LRRTM2	0.2265
psiTPTE22	2.6405
DBI	0.73975
SERPINA11	1.80225
NAT5	1.216
C20orf58	0.2535
RPS6KA4	0.3875
FLJ90650	0.616
TGFBRAP1	0.46775
CHRDL2	-0.709125
FAHD2A	-0.3325
CNTN1	1.9795
BBS4	0.6777
TMEM181	0.91375
MINPP1	-0.25875
MPHOSPH6	-1.0545
HOXC10	0.3987
ITPKB	0.65275
CLPTM1L	0.03
MEOX2	0.171
ATP6V0C	0.820625
PRPF8	-0.0025
TMC5	2.18125
FKBP3	-0.267
PLEKHB2	-0.014375
OR4D6	0.7835
ZNF544	-0.9487
D2HGDH	-0.19075
RPL18A	-0.2369
HEL308	-0.382
MPP6	-3.1835
TCERG1	-1.81675
KRT16	0.758333333333333
KLF17	-1.0815
KLF5	-0.207625
CDR1	3.945625
VCX3A	-4.8985
FBLN2	3.33925
C14orf104	-1.08375
HBE1	-5.238
OR4S2	0.6215
C1orf108	-0.943333333333333
ROBO4	3.69433333333333
CPEB4	1.598375
C11orf80	-0.137666666666667
BCKDHA	0.800666666666667
MYOC	0.17725
GIF	0.2615
CKMT1A	-0.1775
RPL3	0.8459
THBS1	2.774875
APOO	-1.0485
ARMCX1	0.994
HSZFP36	-0.3705
SNAPC5	0.208
EIF4ENIF1	0.24425
ZNF433	0.2365
TNFRSF21	0.01925
TMPRSS7	0.616
SPATA18	1.5065
HPDL	-3.528
MKL2	0.9294
TBX3	0.480076923076923
C21orf93	0.181
DAXX	0.77175
ELMO1	0.255625
RGS13	2.309
TAF11	-0.92525
UNC13A	-1.974
LOC653314	0.4147
ORC3L	-0.726
IMAA	-3.8255
TARBP2	-0.52425
CABIN1	-0.0767
TRIOBP	0.355875
HIST1H2AC	0.676625
RGS22	0.534833333333333
NCOA1	1.26383333333333
IL25	0.556
SNCG	1.267
GPR6	0.19
AMDHD1	-1.75133333333333
CHEK2	-1.29
C6orf142	-0.2985
DRD4	1.819
C14orf68	-1.02275
GDF11	-1.2875
SEMG2	0.973
CD247	-1.41025
CDAN1	-1.3095
RBMX2	-0.0526666666666667
TGS1	-0.38725
OIT3	1.48125
SYF2	0.3345
MCM4	-2.561625
PKHD1L1	-0.24725
CEP192	-1.201
IFT88	-0.17625
RPL9	0.0822142857142857
RAB32	0.59275
DDX43	-0.89975
P2RX2	-0.0771666666666667
OR5D18	0.8335
UBE1	1.141
SLC24A1	-0.179375
ARHGAP5	-0.33475
CETP	-0.28725
KIAA1731	-1.63833333333333
SLC9A4	0.6355
PTPN6	0.97975
BAHD1	0.008
GRIK3	0.1025
CACNB2	-0.4603
PDE10A	0.6035
DGCR14	0.55775
PCDHB9	0.673666666666667
RHOQ	0.170166666666667
MAP3K4	0.42225
KTI12	-0.0405
RPL23AP13	-1.113
GNG11	0.419
CLCN3	0.385666666666667
GPAM	0.76475
VSTM2A	0.764
SLAMF7	1.31416666666667
INTS2	-1.293
PPP2CA	0.3072
LRP12	0.241666666666667
SEC14L2	2.43822222222222
DKFZP586H2123	2.643
MC3R	-0.572
CIRH1A	-1.212
HIST1H2AB	1.31366666666667
POLH	-0.5235
MGC16703	0.0604999999999999
SNAPC2	0.005
FILIP1L	2.2875
RASGRP4	-0.261
LRRC1	0.9705
GAS1	2.3745
PRAC	-1.55525
DGKA	0.447166666666667
NT5C3	-0.187
PEG3	-3.35083333333333
NADK	-0.023
PRR17	0.54525
LOC374569	-0.44475
SGSH	0.6485
NLRP8	0.092
GALT	-0.2305
MCF2	-0.7365
ZNF263	0.33625
TACSTD1	0.647833333333333
TYR	-6.3438
ATP6AP2	0.21075
RNUXA	-0.0575
ABHD10	-0.192666666666667
GDPD2	-0.53125
SLC35C1	0.12275
UBE2A	0.08925
HERC5	0.1715
FAM112B	-5.28983333333333
FBXL16	-1.1815
DKFZP434A0131	-1.38375
ELA3A	-3.3555
RBM41	-1.339
HAO2	0.213
RNH1	0.83675
SHANK2	0.565
OSBP2	-0.70725
DAK	0.442333333333333
C3orf58	0.74525
TCL1B	-1.6315
KBTBD2	0.063625
SUGT1L1	-1.06825
UBE2E2	0.838333333333333
MYL9	2.882375
CDC23	-0.7105
PBXIP1	2.1418
CXorf40B	0.3585
NBL1	2.5765
RTBDN	0.1845
RAB11FIP5	1.150875
TTTY13	-2.611
SCOTIN	0.312
SOHLH1	-0.6388
CDKN1A	0.538071428571429
NCK1	-0.04775
ZNF550	-0.39075
SAPS3	0.477833333333333
SPIN3	-0.304
MAGEE2	0.2285
MIS12	-1.291
OR8H2	0.4365
KIAA0774	-0.571333333333333
UNC5D	-2.2165
CUL7	0.520666666666667
LIPC	-2.9345
DIO1	-1.68475
C20orf11	-0.7613
CTRL	-1.01925
HS3ST2	1.1735
PAK4	0.840166666666667
CCRL1	4.0825
RNF10	0.576625
ZNF567	-0.664
ZNF660	-0.5615
TCEAL3	1.7535
MAGOH	-0.197
CENPB	0.3845
C19orf7	0.82025
LOC388965	0.34575
ZCCHC13	0.0635
JMJD1A	-1.4739
HIST1H4H	0.4645
TBRG1	-1.0062
GPC3	-3.223125
TAF1C	-0.76375
EBNA1BP2	-0.982166666666667
CIAPIN1	-0.046
PDGFRA	1.02011111111111
CSTB	-0.21975
CENPI	-3.11166666666667
GTF2E2	-0.884166666666667
RPP21	0.56475
CCNF	-0.986166666666667
KCNQ3	0.893
FAM79A	0.69325
SLC22A12	0.5555
NOVA1	-0.600166666666667
FZD3	-0.0983
AKAP8	-1.1775
SOCS5	0.16025
CFDP1	-0.93075
DLG5	1.495
PGM5	0.540083333333333
C1orf144	0.347
HDAC10	-1.346
RND2	0.65225
C20orf199	-1.49725
RNMT	-0.774375
SLURP1	-0.088875
ASTN1	0.188375
SH3BGR	0.79425
MYCL1	-0.994375
ZHX1	0.2175
CENPK	-4.1345
FOSB	1.2343
LOC643406	0.3835
C2orf59	-0.615625
TMEM135	-0.733
SLC27A2	1.6545
KRT33A	2.517
OVOL1	1.147625
PAMCI	-1.55716666666667
S100A7	-0.9945
ZNF789	-2.4165
HARS2	0.0045
RPL23A	-0.868166666666667
TCF23	-0.03125
UPF3B	-1.701625
C17orf78	-0.1355
HLA-DOB	0.495666666666667
C14orf142	-0.458666666666667
TEKT5	1.539
DMWD	0.602
POLD1	-2.0795
GSCL	0.993
CALD1	0.7621
SCRT1	0.950166666666667
AIG1	1.65
UNC84B	1.83675
ZNF404	-0.4795
TMED6	-2.56
KIAA1462	0.702
LRRC27	2.1044
PYGO1	-0.0605
PIGU	-0.2835
ALAS2	-4.19316666666667
WRNIP1	0.047375
CNNM3	1.131
ZNF2	0.89025
ST3GAL5	0.36125
MRPL23	0.46675
TSSK6	-0.419333333333333
PSMA6	-0.73575
C16orf70	0.335
KIAA1602	0.14575
ALMS1	-0.405
DCN	4.883
TMEM132D	-0.4005
SUCLG2	-0.06625
ABHD14A	0.09225
DEXI	0.324166666666667
AMPD2	-0.160166666666667
IFNAR2	-0.279833333333333
CYB5A	0.9533
TLOC1	0.88215
NXF5	-1.36416666666667
NRBF2	0.261875
KCTD3	1.2455
ITGAE	-0.627833333333333
SLC30A3	-2.32466666666667
ZRF1	-1.5975
IFRD2	-0.77325
XAB1	-0.63175
PYCR2	0.443333333333333
SERPINB3	-5.2065
TMLHE	-0.4252
GEFT	-1.0065
ABCA5	-0.205875
EMR4	-0.501833333333333
TSFM	-0.5935
HIST3H2BB	0.0415
ARHGEF19	1.7845
TSPAN17	0.538333333333333
ABCC8	2.34675
MAP1S	1.34366666666667
C22orf36	0.60975
BNC2	1.72192857142857
HIST1H4A	-1.448
NDUFS3	0.0885
WDR3	-1.159
XKR4	-0.5395
TTC33	-0.106785714285714
STMN2	3.81375
CPN2	-0.584333333333333
HSPC105	0.314
PCOLCE2	-1.9465
C3orf55	2.4985
KLHDC9	1.69366666666667
TBC1D23	0.31775
ATXN2L	-1.06266666666667
MAP2K3	0.481583333333333
SCAP	0.6045
ZNF486	-0.181666666666667
C20orf96	-0.4145
NARS	-1.01575
ADAMTSL1	-0.808357142857143
PRCC	1.07266666666667
CCDC126	1.533
ZNF675	-0.7515
CALCOCO1	0.726
ANKRD43	4.5975
CWF19L2	-0.346833333333333
ZBTB32	0.2365
BRAF	-0.71025
ODF4	0.05975
MGC14376	0.291833333333333
HORMAD1	-2.73233333333333
AAK1	0.162833333333333
PEBP1	0.687666666666667
TNFSF5IP1	0.227833333333333
DKFZp564N2472	0.26925
RMND1	0.389375
IGKV1-5	4.36375
COL1A2	4.02108333333333
SERPINA5	-0.8215
AANAT	0.387
C19orf21	1.519
GEMIN5	-0.0595
UBR4	0.015
LTBP3	2.20466666666667
AMHR2	-1.90316666666667
PROCR	-0.765
MYBBP1A	-0.9705
C20orf39	2.7235
ZNF697	0.00237499999999996
PASK	-0.5251
ZNF776	0.7885
RFXDC2	-0.478375
KIAA0467	-0.06025
C10orf96	-1.14233333333333
ZNF503	-0.17325
GULP1	-0.0776666666666667
KCNE4	2.1485
DKFZp434K191	-1.73371428571429
LOC196913	0.478
BHLHB4	2.3755
CH25H	1.43425
LOC81691	-1.83566666666667
ALPL	0.184285714285714
COL12A1	4.088875
FOLR3	-2.10533333333333
GPR123	-0.76875
TRIM62	0.733785714285714
ABLIM1	0.514
MAST3	0.24975
RHBDD1	0.375166666666667
LOC338809	3.303
RYBP	0.34525
TTC26	-0.90275
ZNF22	0.628
ISCA2	-0.88825
RDM1	-2.94
PIGM	0.5825
GNB3	-1.445
ACTR2	0.5268
HMGB1	-0.4171
EDG1	2.711
SOAT2	-3.047
OR10AD1	-1.436
RAP1GDS1	0.493583333333333
LCE1F	0.902
ESM1	-0.087875
RCN3	3.39475
CREBL1	0.06575
DBNL	1.252
PTGER3	2.866625
USP30	0.0955
BCL2L12	-1.44633333333333
KIF26B	2.8975
ZNF416	0.4835
ZNF225	0.4185
C17orf70	1.26775
ZNF554	0.90775
RAE1	-1.0675
TNIK	-0.4215
ACTN3	2.133
MGC45922	1.71
CCNA1	0.244666666666667
RYK	0.357166666666667
IL26	0.385
LRP3	1.52816666666667
QARS	-0.3975
SOX7	1.83485714285714
BID	-1.27875
OR2S2	1.038
CXCL14	5.39575
C11orf47	-1.279
MGC29891	0.484166666666667
HSPB8	1.7733
PRDM14	-1.571
NUFIP2	0.36125
MNAT1	-1.063875
ZDHHC2	0.163416666666667
MBNL2	0.572375
ADD3	0.0785
CSNK2A1P	-0.55825
KLK6	0.827166666666666
TMEM111	0.3702
KIAA1279	0.21675
NUBP2	0.683
RAB42	-0.42725
ID3	-0.1654
TM9SF1	0.7215
MDP-1	-0.6275
POU4F2	1.22075
IQCK	0.92925
C16orf14	-0.742
CAPN3	-1.92625
FAM43B	0.226125
RECQL	-0.5335
AP1G1	-0.188785714285714
CTNNBL1	0.134333333333333
ECHDC1	0.0136666666666667
SMARCC1	-0.1545
FOXQ1	-0.61625
GNAI3	-0.485166666666667
POLG2	-2.733
CD4	1.000375
ITLN1	-0.578
EBI2	2.40325
IRF1	1.43125
PTPRE	2.0127
PTK2B	0.20325
NXNL2	1.0495
SOX4	0.461277777777778
TSPAN3	1.164
SH2D1A	-2.9555
C8orf58	-0.187166666666667
USP20	0.215
DUSP22	-0.414083333333333
CALB1	-3.0665
L3MBTL2	1.38016666666667
MCRS1	0.53425
TMEM118	-0.745166666666667
C18orf8	0.878333333333333
FLJ10241	-0.336875
GJA12	1.3275
PKD1	0.356833333333333
ZFP3	0.3845
JAM3	0.51225
LAPTM4A	1.3389
DIRC2	0.2915
KIAA2022	1.17666666666667
MYOM1	0.8785
TRPM8	-3.31716666666667
MOP-1	1.4355
PHKG2	-0.0425
ZNF650	0.43225
KIAA1522	0.547125
PSG8	-1.01683333333333
DDX19B	0.454
MOBKL1B	-0.361
DIAPH2	-0.173166666666667
PTPN12	-0.41725
CLN8	-0.5031
CRYZL1	-0.491333333333333
CRY2	1.43241666666667
FCGR2B	3.63533333333333
PNPLA4	1.213125
ZNF454	0.779
DKFZp434B1231	-0.37925
CLDN11	0.6084
RFWD2	0.628666666666667
CIB2	0.647666666666667
MXRA8	4.133125
HRK	-0.08675
MAML2	-0.005
C4orf31	1.9675
C6orf192	0.227
COG6	0.749125
FAM5B	-0.46525
NFATC1	0.8999
SEPT10	-0.45
SCYL1	0.7201
RPP40	-0.73525
SCOC	0.7567
KIAA1450	0.20425
CTDSPL2	-0.3585
TBX5	2.66916666666667
NAPG	0.110625
RHD	-4.48466666666667
C14orf45	0.949166666666667
ZBTB22	0.915
PLCG1	-0.2505
ANKRD10	-1.30525
AQP7P2	2.0115
TAGLN2	0.622666666666667
HTR2C	0.0103999999999999
SLC16A7	0.0751666666666667
C17orf83	0.20125
TSGA14	-1.11475
MDH1	-0.575
PPP3R2	0.5876
DCBLD2	-1.48635714285714
RBM33	-1.6505
DPH3	-2.03775
SYT10	-1.4218
FMO4	3.0285
THYN1	-1.06675
DRD5	-2.271
OTOR	0.718166666666667
PGRMC2	0.3471
KATNAL1	-0.0165
PAQR6	-1.72675
UBE2I	-0.67675
C14orf28	0.2665
C8orf70	0.58125
FLYWCH1	-0.1195
ANGPTL3	-0.0455
GLRX2	0.0796666666666667
ATP11A	-0.8475
ARL5B	-0.03175
MUC16	2.2235
SLC25A5	-1.25807142857143
ACRC	-1.651
MYO1C	0.128875
FAM89B	1.40183333333333
FAS	0.56275
KIFAP3	1.7785
GLRA2	0.431
BTN3A2	0.6198
CNKSR3	-0.501
CSTF3	-0.354166666666667
ARPM1	0.8065
KIAA1530	-1.619
C9orf150	1.19
PRKCI	-0.275
tcag7.1015	-1.6205
SOD3	-0.2015
ZNF574	0.724
CYP21A2	2.116
RPL12	-0.112
COMMD2	-0.5805
WIZ	-0.1575
LOC344405	-2.117
ALDH4A1	-1.31129411764706
CRYAB	3.18025
COPA	1.18786666666667
PCDHGA7	1.1095
KIF11	-1.33454545454545
RASD2	0.227375
SLC26A3	-0.3765
ZNF175	-0.308
JAKMIP2	-1.7945
C8orf4	1.54916666666667
PTHLH	1.77675
SLC40A1	4.31275
OR7D4	-0.0361666666666667
PCDHB17	0.759
CD36	4.35228571428571
C6orf203	1.1828
PRKG2	-0.113
LOC400566	-0.62875
ANAPC13	0.49975
SLCO3A1	-0.391
ZNF692	-1.899
FANCL	-1.512
SH3GLB1	0.93975
C12orf61	0.508
KBTBD6	-0.4865
SUPT5H	0.52325
XRCC6	-0.1516
HUS1B	-0.824
FAM133B	-1.10471428571429
LOC728276	-0.1425
KCTD18	0.325
SOS2	0.684833333333333
CCDC99	-1.85475
C1QTNF5	4.948
NNAT	3.16616666666667
USP16	-0.142
LARS	-0.6825
ZBTB2	-0.18625
ABO	0.704333333333333
TRAF3	-0.29325
GALNT5	0.8425
NAP5	1.169875
ALG14	0.264833333333333
KIAA0515	-0.138230769230769
WDR75	-0.969666666666667
TEX261	-0.205666666666667
LY86	1.439
LOC389072	-0.4365
FLJ13611	-0.3365
MRGPRX2	0.3465
SNRPA	-0.80625
OR2G2	-0.5945
GPRASP2	0.53225
C7orf42	0.0921
C9orf163	-0.587
CYP11B2	0.263
FCRL3	0.120333333333333
PRDX1	0.26575
FGB	0.720833333333333
COX17	0.7236
C16orf33	0.075
PIWIL1	0.0383333333333333
FOLR1	-1.917
KIAA0082	0.23125
FREQ	-1.10033333333333
TMCC2	-0.0146666666666667
TCF12	0.189583333333333
ZNF721	-0.3155
FAM130A2	1.0015
POU4F1	-3.132
SNRPF	-1.094125
SGIP1	2.80516666666667
ZNF641	0.632333333333333
EMG1	-1.513125
PRRG4	0.96
HIRA	-2.1645
MYNN	-0.0546666666666667
AEBP2	-0.666166666666667
TBXA2R	0.689166666666667
ISL2	-1.21866666666667
PCDHB11	1.85
RNF144A	0.263
MARCH5	0.2375
DULLARD	0.279
DCLRE1B	-0.776666666666667
ITGA8	0.68575
TP73	0.694875
PRKCD	1.699
NDUFB4	0.09425
ATP13A4	3.681875
ANTXR2	0.34
COL4A3	-1.9916
MYO10	-0.7421
SLC6A18	0.35825
PEX1	-0.854
TMEM74	-2.69483333333333
RBM19	0.9435
TAPBP	0.95885
RUNX1	1.85925
MID1	-1.38841666666667
GPR64	0.767166666666667
RASEF	3.40925
GABRG1	0.280285714285714
MYO16	-0.68525
DBF4	-3.25266666666667
TSHZ2	3.759
RIPK2	-0.435
PPTC7	0.312333333333333
KIF4B	-1.356
LRRC31	4.183625
ZNF540	0.9505
EFNB3	0.471833333333333
LOH12CR1	-0.749125
STON2	0.621
GLP1R	0.35725
CSTF2T	-0.426875
IREB2	-1.252375
GRSF1	-0.2285
PDCD7	-0.207666666666667
LRRC43	1.1985
CNR1	0.655166666666667
IL1F7	-1.6525
C12orf64	1.42666666666667
FAM69B	0.30225
NR2E1	-2.0045
MS4A6A	2.1504
FTL	-0.4458
C7orf36	0.74975
PCLO	0.1204
DYRK2	0.966
ARIH2	-1.14875
SAMD7	0.5395
SCNN1D	-0.993
SLC32A1	-1.53214285714286
C22orf25	0.497166666666667
MRPS18A	0.00569999999999999
GPR112	0.242
EARS2	-1.22175
ERN2	0.4855
ATPBD3	0.7685
PRH2	-0.2935
CDKN2D	-0.2595
PGLYRP2	0.6405
TRIM40	0.246
SEC14L3	0.245
SLC22A1	-0.34975
BTN2A3	0.101
RASA4	0.59525
CCNL2	-0.931333333333333
MYBPC3	0.4945
GJA4	2.8695
CDC42SE1	0.427125
TRPV2	-1.55825
MYPN	-3.937375
SIM1	0.051
CDADC1	0.0165833333333334
ZFHX4	2.70625
NIBP	0.5565
ADAMTS19	-1.6395
ABTB2	-1.83
TSPYL2	0.0615
EIF2S3	-0.101
SOX30	-0.1905
AP2A1	0.392166666666667
DKFZP564O0523	-0.266333333333333
LOC285398	0.30325
CDH18	-5.2015
CHL1	3.15425
GATS	-0.0251
TBC1D2B	0.783166666666667
OR1J1	-1.7595
GSN	1.6215
DPCR1	-0.289571428571429
GARNL4	-0.160166666666667
SMARCA5	-0.74025
PLEKHG3	0.527166666666667
ZBTB45	0.8565
FRMD6	0.701666666666667
PLS1	-0.543833333333333
DGKZ	1.28316666666667
EFNA1	1.9435
WDR85	-0.97975
ANK2	0.408
PAGE4	-1.75
SENP6	0.127
AKR7A2	-0.122166666666667
FKBP10	-0.9985
VEGFC	-0.874166666666667
LARP1	0.4394375
SRBD1	0.185
ITGB6	3.33325
SLC1A2	1.11764285714286
INVS	-0.796333333333333
MPO	0.163
MOBKL3	-0.2444
CUTL2	-2.618875
KLK2	0.224833333333333
VIM	0.00849999999999999
REG1B	0.222666666666667
PCDHGC4	0.6725
C3orf34	0.0251666666666667
SUMO3	-0.116333333333333
CST9L	3.58025
MLL4	0.549
SPR	1.542
SAMD9L	0.919
ABCE1	-0.531
