Hybridization REF	TCGA-BH-A0DO-01B-11R-A12D-07
CD244	0.429666666666667
ZDHHC15	0.25275
MGLL	0.1305
PLDN	-0.716416666666667
LOC654346	1.3935
FAP	1.92175
GPR37	-0.599
SCARA5	1.7435
EBF4	1.51672727272727
LSM6	-0.71275
MLLT1	0.0768125
SLC5A12	-1.16425
A2BP1	-1.8395
COPS5	-0.507333333333333
TPM4	-1.08057142857143
TNFSF4	-0.952166666666667
ACADSB	1.85627777777778
HERPUD1	0.27925
BCL2L11	-0.937666666666667
CEP78	-1.659
CDCA3	-2.524125
WBSCR19	0.9045
MYO1A	-1.782
PPEF1	0.227166666666667
LOC440348	-0.85925
CPEB2	1.021
BPTF	-0.462083333333333
RPL21	-0.056375
GSX2	-0.9475
ADPRH	0.799333333333333
C17orf68	0.354833333333333
KCNS1	0.100333333333333
MLLT6	0.6131
PIWIL4	1.77125
RNF26	-0.2095
RAP1B	0.124125
ADAMTS1	-1.6495
ZNF571	1.10175
P2RY6	-1.163
TRIM21	1.1235
CADM3	1.04375
NLRC5	0.158333333333333
ADRA2B	0.242333333333333
LOC90835	0.658375
PCF11	0.75025
LOC400451	2.41425
GLTSCR1	0.8183
C17orf88	-0.677
CDH16	-1.9435
FGF7	2.256125
PCSK4	1.563
NPC1L1	-1.217
TAT	3.221375
TBCA	-0.82375
MGC33407	-0.132
GPR115	-1.642125
CYGB	0.208
FNBP4	-0.628666666666667
C12orf43	-0.3325
CBL	-0.7877
CLECL1	1.85525
PPAPDC1A	-0.10375
WDR25	0.959833333333333
SGCA	0.6965
C22orf29	-0.1555
YIPF1	1.44075
GALK2	-0.89625
RAB3B	-3.16875
LOC440087	0.83625
UCP1	5.304
REEP5	1.744875
FADD	0.0941
FOXA1	3.616125
CACNA1A	0.513
ABI1	0.393
GRIN2D	1.17925
SLC1A4	0.0553333333333333
LOC401127	-1.786
HINT2	0.48875
PLD4	0.763
ZNF286A	-1.04325
ENY2	-1.10975
IL1F6	0.6065
PXDNL	1.38275
C20orf79	0.353
TNFSF13B	1.796
DENND3	0.01075
JARID1D	-3.11
HIST1H2AK	-0.558375
LOC93349	-1.1443
SSH1	-1.2086
ENSA	-1.0605
LOC219854	0.790333333333333
CKAP2	-2.1572
DKFZP564J102	-0.216166666666667
MGC87315	-0.861833333333333
HNRPAB	-2.3635
AMH	-1.576
ZNF526	0.8715
BRUNOL5	0.1518
CACNG3	0.0828333333333333
TRPM1	-2.349
PPP2R1A	0.52975
COL2A1	-1.2405
DDN	-0.204
FLJ25770	1.84833333333333
HK2	-0.533785714285714
ELOVL6	-2.53275
MDK	-0.99575
EPHX1	1.1675
RASSF2	0.208375
DKFZP434B0335	-0.808
DLX3	-0.233875
PRTN3	-0.75625
AVPR1A	0.468
C21orf125	-1.9275
TNFAIP8	-0.604333333333333
GNB2L1	-0.1335
CALCRL	2.37975
SCGB2A2	7.137
UBXD7	-0.14825
ZNF674	-0.2975
TMEM35	0.010875
BRSK2	-1.176
HECTD3	0.096
TMEM188	-0.151833333333333
LGALS9	1.58425
SCARB2	0.656
USP34	-0.174166666666667
C17orf28	1.45825
ZDHHC23	-0.0065
AQP12B	-0.813
SLC16A3	-2.795875
APLP2	1.0315
ITIH2	-4.865
MICAL3	-0.463875
TNNI3K	1.2189
HDAC2	-0.1315
PRR7	-0.7779
THBS2	-0.226875
LOC751071	-0.626833333333333
CA2	4.14366666666667
RANBP17	0.3155
RLN3	0.133
CRYZ	0.1675
GBAS	1.12983333333333
TAS1R1	-0.168
MPZL3	0.6515
PCDH8	-1.00475
HSP90B1	-0.582583333333333
KCNK15	0.0165
TNIP2	0.339666666666667
GPR146	1.205
NOL6	-0.081625
SPC25	-4.47888888888889
STEAP2	4.4255
VAMP3	-0.124166666666667
TCIRG1	0.44075
ZP4	-0.136
PARL	-0.02875
TRIM39	0.298166666666667
KIAA1305	1.14225
CRNN	0.349
GRN	0.112
HSH2D	0.03775
SCAMP1	0.5219375
KIAA1913	0.84975
PTS	0.11875
BANP	0.104357142857143
PRKACG	0.09825
ADCY6	0.4005
C16orf46	0.8665
CYP51A1	0.00537499999999999
DDC	-4.3695
ANPEP	2.35166666666667
PROM1	5.03383333333333
SIGLEC10	1.84
COPG	0.938
FAM26E	1.182
TRIP4	0.3125
SNX3	0.171
C1orf175	0.751666666666667
PPY2	0.10425
C14orf152	0.90275
FTSJ1	-1.0135
DST	0.4695
LOC554235	0.38475
GLRX5	-0.46775
C20orf12	0.9823
CAB39	0.124333333333333
MSH2	-0.9105
PIP4K2C	0.58775
CYLD	0.6415
WTAP	0.8740625
MGAT4A	0.741111111111111
TSC22D4	0.302
CHRM2	-1.167
PPYR1	0.762666666666667
CCNH	-0.690166666666667
RRM1	-0.42475
ECAT8	-3.538
LOC400120	0.388
GABRA4	0.135375
C14orf4	1.36783333333333
C1orf59	-1.79275
CTDSPL	0.516333333333333
NHEDC2	-0.692
PDE11A	0.015
KLHL29	1.1215
CD5	-0.7702
TSPAN9	1.7590625
WDR67	-0.9195
THUMPD1	0.3817
C18orf17	-0.28525
CLYBL	0.839166666666667
FLJ13231	-0.380125
CMBL	0.0875
LECT2	-0.681
NKAPL	2.776
LOC654780	0.387
OR4C6	0.686
RAB30	0.2745
TSSK4	-0.1995
TMEM163	1.553
OSBPL11	-0.362333333333333
GNB5	-1.17616666666667
CCL21	0.7875
C1orf121	-0.404333333333333
FMO2	3.57383333333333
RPTN	-2.142
MSTN	0.6655
VCL	-0.271428571428571
FYTTD1	-0.4
C11orf1	0.62
CCDC88C	0.9045625
HFE	-0.409166666666667
MOGAT1	-1.6635
FAM125B	0.6445
IRGQ	-0.299
RAVER2	-0.0725
AKAP5	0.138
SSSCA1	-0.074
C11orf63	0.793625
ACTG2	1.7278
PORCN	-0.916
DTL	-2.98972727272727
TMEM151	0.33025
FAM122C	-1.304
RSAD2	1.3864
BAT4	-0.4615
KRTDAP	0.123833333333333
MYH8	-0.025125
CRTC3	0.93575
LRRFIP2	0.6111
INTS4	0.09
TTN	-1.919
SLC26A5	2.5735
PLLP	0.3315
RGS6	-0.1865
SRGAP3	1.23275
ZNF525	0.0453333333333333
NBR2	0.0518333333333333
C13orf1	-0.2953
ZNF137	0.7355
CEP27	-2.11175
BEST2	0.0435
RNF121	-0.062
DMRTC2	0.8275
C8orf76	-0.842
BCCIP	0.053375
MEST	-0.32075
HTRA2	-0.3145
ANGPTL2	0.33675
ILKAP	-0.308833333333333
ERAS	-0.1805
HBS1L	-0.500625
CPA5	0.164
TMEM30A	0.958833333333333
CD300LF	1.47616666666667
WISP3	3.5695
CRK	0.356642857142857
PDS5A	-0.4157
BRPF3	0.6605
NEDD9	-0.20725
SMPDL3B	0.37375
PSG6	-0.44175
PSMD13	0.503
ETV5	-1.3136875
OR51A4	-0.212
BTBD7	0.389833333333333
GSTO1	-1.578625
hCG_16001	0.5275
MAD2L1BP	-0.250333333333333
COX6A2	1.4045
SCNN1A	3.20666666666667
LSM1	-0.117333333333333
UGT2B11	5.7
IDUA	1.6115
PPP2R3C	-0.9055
COX11	-0.826
PDZK1	-1.21825
ZNF443	0.493333333333333
MGC21874	1.39016666666667
ZNF323	2.0742
KRTAP10-10	0.43
CXCL6	-0.61625
SLC34A2	3.9962
LOC284402	0.3715
NPTN	1.04883333333333
UPP1	-2.68033333333333
SLC6A9	-0.836
OR7G3	-0.0815
CISD1	-1.78116666666667
ZNF545	-0.241833333333333
SYT14	-1.1535
NT5C3L	-0.249
ZNHIT3	-0.0386666666666667
SNRPD3	-0.3915
KIAA0701	0.398125
UNC93B1	0.367333333333333
GMNN	-1.3805
SPCS2	0.892666666666667
LOC388524	-0.245
NAPRT1	0.262875
PNLIPRP1	0.25525
OR6V1	0.6835
PRKAB1	0.138
EYA4	-4.22
KIF20A	-3.81675
ALG10	-0.3425
ITPKC	1.68516666666667
LMX1B	1.073
RPUSD4	0.00483333333333333
C7orf34	0.286333333333333
DLGAP2	1.203625
PFN1	-0.4652
MICALL2	0.197916666666667
ZNF654	-1.6965
SS18L1	-1.64275
SLC16A8	0.52125
MKI67IP	0.0398333333333333
ITGB3	-1.2715
TCEA3	2.7875
CEP152	-2.8066875
CLIP1	-0.660125
ZNF75	0.3098125
ATP5C1	-0.7665
NUDT5	-1.19233333333333
PSCDBP	0.70725
UBP1	-0.12125
RBM27	-0.28625
C13orf15	2.124125
ZNF282	0.157333333333333
ZNF222	0.3411
COL10A1	4.752
PRDM15	-0.653875
TTTY5	-0.2015
FAM9C	-1.05075
C20orf67	0.12425
GNG13	-0.499
F12	-0.104
C1orf41	-1.1195
CPXCR1	0.324
GSK3A	0.3945
SUPT6H	0.230833333333333
PI16	2.32216666666667
ELL2	0.236583333333333
C9orf167	-2.1305
PVRL3	-2.0963
FLJ38596	0.9885
ADAM20	-0.47125
GPR89A	-0.3425
GPR87	0.6815
ZNF30	0.357
SMR3B	0.31675
ZNF770	-0.152125
TRPC4AP	-0.564
DKFZP686E2158	0.546333333333333
C2orf28	-0.2475
FREM1	0.951833333333333
LAMA4	0.171166666666667
ADPRHL2	0.3285
EIF4G2	0.1875
GUCA1A	-0.5455
CTNNA2	-1.76975
NUDT15	-0.984
CEPT1	1.78833333333333
ZNFX1	-0.0957
CCDC92	1.084
TDRD1	-1.4345
KCNK5	-1.33633333333333
ETNK1	0.601166666666667
LTA	0.7255
TTPA	1.82416666666667
B3GALNT2	-1.879125
SC65	-0.646333333333333
PEX5L	-2.587125
EPS15L1	0.912
MGEA5	0.34275
HIST1H3A	0.6295
ING1	0.06175
BCAT1	-4.310875
ORC6L	-3.88154545454545
KLK11	-0.611833333333333
C19orf28	-1.283
DNER	-4.136
MED22	-0.348857142857143
ETV6	1.48266666666667
CHAC2	-1.9255
CD300E	-0.1695
CEBPB	1.15433333333333
ZNF398	-0.01175
LRCH3	-0.472
HMGA1	-2.03166666666667
CAPN7	0.0378333333333333
MGC5566	-2.98725
CCL3	3.3135
NANOS1	-0.49225
ZFYVE19	0.60875
APITD1	-0.645333333333333
PARD3	0.7445
IRAK4	-0.682666666666667
SERPINI2	-0.3565
CEP170L	-1.25425
TTC9	3.124
MYOM3	-0.67025
MLPH	2.0175
LOC222699	0.2205
NRG1	-0.599166666666667
TBC1D9	3.77936363636364
TTK	-3.6095
ZNF557	1.1333
DDX41	-0.4675
FANK1	3.028
UBE2D2	-0.39125
PSMB10	-0.02425
MYH7B	1.017
GABARAPL2	-0.33425
MARVELD2	0.878333333333333
DGCR2	0.965
UNC45A	0.0256666666666667
C6orf72	-0.371
ZNF683	4.25075
GIT2	0.01175
CASK	-0.128333333333333
C14orf161	4.48283333333333
LRRC44	0.007
TIFA	1.396375
UTP11L	-0.5375
C6orf65	-1.3
FDPS	-0.28475
DUSP9	-2.112
SLC17A8	0.244166666666667
OR51G1	0.369166666666667
NANS	0.553
OLFML1	1.5495
ATP10B	-1.319875
NPAS3	-0.6965
PRKCA	-2.822
GGA2	0.09975
LCE4A	0.418
SPANXN3	0.47325
CCDC115	1.661
SDCCAG3	-1.0225
GLIPR1L1	0.248333333333333
TTC1	-0.47275
C17orf76	-0.26775
MAD2L2	-1.592
HIPK1	-0.3087
LRRC3B	2.145
CLN3	-0.0341818181818182
C17orf47	0.0825
FMN2	-2.757875
TUBB1	-2.0415
WAPAL	-0.1065
C3orf21	-0.644625
SCN5A	0.0252
SMYD1	0.945
BEX5	0.832
ZNF192	0.3155
SEC22A	0.0233333333333333
GRIA2	2.25707142857143
KIAA0825	-1.14975
NUSAP1	-3.84027272727273
LANCL1	-0.51125
C15orf40	-0.2982
ZNF645	0.14325
GPR61	0.403
NLRP14	0.4045
SNX21	0.1915
C1QTNF8	0.0445
C17orf46	0.4675
IFNA8	1.834
SPRR1B	-2.1665
FLRT1	-0.98725
SNX17	0.0908333333333333
ASB2	-0.356166666666667
HBG1	-4.4605
RPRML	-2.42525
JOSD2	0.346166666666667
PLSCR3	0.142
SPOCD1	-1.64716666666667
RAB39	-0.753
GHRH	0.235
ITIH5L	0.632
C17orf37	0.33875
SMCR8	0.40325
DPY19L2P3	-0.0856666666666667
IL11RA	0.8075
GDF3	-4.12633333333333
RPS6KB1	-1.16375
DNAJC19	0.2964
TOP1	-0.60325
CRCT1	-0.0232857142857143
MPST	0.1895
DPM2	0.04325
FAM38B	-2.348
SLC18A1	-3.05416666666667
FARP1	0.6465
PAX7	0.0515
TUBD1	-1.56025
GNL3	-0.20375
BTG2	2.43526666666667
NDUFS6	-1.154
C1orf79	-1.70425
ERAL1	-0.2785
ECHS1	0.64675
VPS4A	-0.736666666666667
CYP11A1	-0.29575
ABCC6	0.194
PBX4	-0.133
MOSC1	-0.6715
NCF4	0.088
HYMAI	0.355
NAGPA	-0.094625
OTOP2	0.27225
ACOT12	-0.0205
MTHFD2L	-0.155375
LOC441376	1.10675
C19orf34	-0.984
RAB1B	0.9155
ALDOAP2	-0.295
NTRK1	-0.969333333333333
ARTS-1	0.2278
SLC6A11	-1.404
NAP1L2	0.78275
CNGB1	-0.290833333333333
EPB41L4B	1.56725
FAM134B	2.61925
HS3ST3A1	-2.67383333333333
CPXM2	4.6865
SIRPB2	2.011
CHORDC1	-1.31933333333333
TRIB3	-0.7035
SLC2A5	0.7035
C2orf49	-1.32383333333333
DDX5	-0.05675
OR5L1	1.331
ANAPC4	-0.147
ZSWIM1	0.596125
LOC93622	-0.05725
KCNK3	-0.3712
RP11-35N6.1	-0.3825
ZFP161	0.941333333333333
AQP9	1.9455
SLC15A2	0.601166666666667
MREG	0.6065
OR9I1	0.3615
PDLIM2	0.424375
ADAM7	1.175
GSTCD	-0.858666666666667
WDR21A	0.021875
SLC12A8	1.6015
TMEM174	-0.11125
IGSF3	1.14983333333333
LRRN1	1.83275
LOC402117	0.6075
SRPK1	-1.0495
LY6K	-1.4460625
NFIA	3.167
PTCD3	-0.59675
LEP	3.21166666666667
PCDH21	-0.536166666666667
MAPKAPK2	0.557857142857143
NMNAT1	-1.03133333333333
LHFPL2	0.044875
C9orf43	0.29125
DIP2A	-0.861333333333333
ACTR8	-0.132875
CCDC34	-0.2455
PTPN22	-1.7175
ITGA3	-0.096625
FAM129C	0.90075
RABGGTA	0.487333333333333
UNC45B	0.399
KIAA1033	-0.3705
ZNF510	0.0133333333333333
CYP2D6	-0.0631666666666667
SLC26A10	-1.039
STX8	0.739
LUZP1	0.00674999999999999
WDR89	-0.56
EIF4G3	-0.6459
C5AR1	0.27525
ZNF623	0.2935
A2M	1.4965
TGM7	-0.3575
GRPEL1	-0.899333333333333
LMNB2	-1.5895
ROCK2	-0.460666666666667
SNX16	0.459625
CCDC66	0.32925
ANXA3	1.014
KIAA1609	-0.730375
EED	-0.37325
RNF32	0.890166666666667
HES1	2.1202
CLC	-0.168833333333333
ISL1	0.578
KIAA0528	-0.37325
MANEA	-0.37975
C1orf61	-1.965
hCG_2001000	0.681
RAPGEF6	-0.3982
KIAA0020	-0.194333333333333
NEIL1	1.29075
C16orf45	-0.16125
RBM10	-0.1795
C10orf125	-1.197625
MRS2L	-0.8905
DNAH17	-0.793125
C19orf10	0.136
C1orf160	0.71975
SLFN12	1.01675
EXOC3	-0.593833333333333
HIST3H3	0.423
NCOR2	0.2905
TNFRSF9	-0.6695
MFSD8	0.2355
ALX1	-4.32966666666667
NOL1	-1.55525
PODN	2.67975
TIAL1	-1.14425
HIST1H1E	-1.57225
NPY6R	0.5385
TM4SF4	-0.373
CORO2A	0.4395
ETNK2	0.2975
APOE	0.418
ANGPT4	0.00750000000000001
HDGF2	0.45475
G30	-0.3185
ST8SIA4	-0.674125
F2RL1	1.111375
FAM19A4	-2.861
CCAR1	-0.655
B3GNT7	0.1215
OPHN1	-0.2793
DSCR6	-1.293
C21orf13	1.51933333333333
GAS2L1	0.753833333333333
RFX3	0.425833333333333
COPS4	-0.081125
BCHE	-4.54866666666667
BCL2	2.628625
HBZ	-2.83766666666667
ARL13B	-0.34975
MAPBPIP	0.84625
MYO15B	0.8845
SPZ1	0.1705
KIAA1324	3.54766666666667
PLCL2	-0.846625
C4orf29	-0.97225
WDFY2	-0.75175
ZNF284	-0.5235
NAALADL1	0.717
DUSP5	1.11733333333333
PXDN	-0.845375
SLMO1	-0.42375
TNXB	0.5761
BIRC7	-1.19225
A4GALT	1.217
TIMM22	0.501
FAM110C	0.8655
TOMM34	-1.02975
ABHD9	-0.025
ADAM32	2.3515
CRHBP	1.84625
AQP2	0.327125
LOC130355	0.391
ZNF187	0.543333333333333
ZNF816A	0.5825
F7	1.864125
CNOT1	-0.5407
SLC13A4	-0.86875
ZBTB11	-0.3875
B3GALT5	2.139
EXOC2	0.824
IRS1	0.8834
TMEM1	-0.0236666666666667
MRPL34	-0.655333333333333
SAMM50	-0.261
CDC42EP3	1.0325
HSF2	-0.3152
MFN2	-0.05125
TSPAN7	-0.642333333333333
NUCB1	0.79125
RHOH	-0.86775
ARL16	-0.056
TACR1	0.25225
SFRS5	-0.0235
SNX25	-0.909375
RHBDF1	1.17916666666667
PCDH18	2.07716666666667
HMG1L1	-1.469
MYO5C	1.85775
MAPK10	3.0695
LDHAL6A	0.12
NUDT12	1.2255
NCAM1	0.732875
GLIS2	0.486
GGTL4	-0.02325
DAPP1	0.55225
ATF7	1.179125
KIAA0748	-1.41525
NFIL3	-0.84475
TM6SF1	0.0447000000000001
SEZ6	0.288625
NANOS3	-0.298833333333333
DNAJA3	-0.223
CLDN6	-1.4975
CIITA	2.8007
EPHA4	-1.59991666666667
FANCC	-0.25875
CMTM3	-0.138375
PSG3	-0.47975
MRPL15	-0.8545
C21orf59	-0.632
PLCXD2	-0.85675
C2orf34	-0.819125
UBE2L6	1.081625
MED14	-0.5966
HP1BP3	-0.4657
C6orf208	0.133
TPBG	0.58125
OSR2	-1.380125
XPC	-0.250166666666667
KLHL7	-0.912166666666667
CCR3	-0.355
AGTPBP1	-1.49566666666667
PCSK6	0.256733333333333
STAT5A	-0.9405
FAM18B	0.57325
LONRF2	0.836333333333333
PTPN2	-0.53125
SF3A3	-1.1885
EFCBP2	-0.17275
HCFC1	-0.257166666666667
AHNAK	0.237
ACTR5	-0.3475
KIF14	-4.728
TENC1	1.74575
HEATR5B	1.367
YIPF2	1.049
MYEOV2	0.224166666666667
DUSP18	0.873
KIAA1012	0.245
AHR	1.0735
C17orf53	-1.51266666666667
PTPRH	-3.545
ATP6V1C1	0.0132
TAS2R3	0.2185
LOC440356	-1.30375
COQ10B	0.80125
PSMF1	0.0459166666666667
SORBS2	3.71483333333333
NFE2L2	-0.2755
TMCO7	-0.89325
SH3PXD2A	-0.1027
SH2D2A	-0.157
SPINK5	-1.64925
MRPS24	-0.942
OPA3	0.6715
TRAF7	0.0746666666666667
C4orf35	0.0138333333333333
MT1G	-0.4195
MGC39545	0.1085
HS1BP3	-0.168
OR2B2	0.175
CHRM4	0.224
SFRP2	3.35233333333333
RIC3	2.446
ART1	0.1265
C6orf1	0.70625
DUS4L	-0.52225
C10orf104	0.4525
TNFAIP6	1.548
RTEL1	-0.82225
CCT4	-0.8084
ZNF709	0.4115
CHMP6	0.312333333333333
UPP2	1.2875
CYP19A1	-2.552375
CD151	0.378666666666667
NDUFA13	0.0943333333333333
ARFRP1	-0.870333333333333
FAM26B	1.652
CRYBA1	-1.715
MRPL41	-0.2625
NPFFR2	-2.14225
HRH2	0.1475
SCAMP3	0.625666666666667
MTMR6	0.3169
MTG1	-0.914666666666667
UBTD1	0.81175
CRABP1	-1.184
FLJ33790	0.8307
KIAA1908	0.383
GPR158	-3.82725
PACSIN3	0.0473333333333333
OMD	3.2575
CATSPER1	-1.16333333333333
HOXB8	-1.685625
FBXO46	1.0035
OAS1	0.0718333333333333
SVIL	1.4045
PHB2	-0.581
ADCY3	-0.578
NDRG2	2.32716666666667
ERMAP	1.5164
APBA2	-1.89783333333333
IGSF9	2.454
WNT6	0.0919285714285714
MYCBPAP	2.68725
ATP2B2	-0.6322
CPVL	-1.0965
TRAM2	-1.14866666666667
NOP5/NOP58	-0.93925
ZNRF4	0.029
TLK1	0.46575
MTMR12	0.431571428571429
ZNF384	-0.009
FAM9B	-3.06775
RPN1	0.4035
PMVK	0.95775
EIF3D	0.3501
SIX2	1.32325
HPS1	0.640214285714286
RNF7	-0.093
PSKH2	0.276
KCTD13	-0.0151666666666667
CSMD3	-0.3846
FBF1	-0.3015
IL8	-5.163125
SERPINB13	0.511545454545455
FBXL20	-0.7635
BLR1	0.573
SH2B1	0.269166666666667
RFNG	0.293625
RAB20	1.38283333333333
RBM7	0.35125
POLR1A	-0.472333333333333
TMPRSS4	-2.95375
TAF9	-0.69175
TERF2	-0.0513333333333333
TNFRSF1A	0.766583333333333
ACADVL	0.1575
GTF2H5	0.04575
EDG8	-0.521
C9orf140	-2.338
UST6	0.8495
ZBTB8OS	-0.8245
ZNF710	1.546
GPR174	-1.496
ATP6V0A2	-0.48425
KIAA0319L	-0.256166666666667
XKRX	0.124
DOPEY2	1.4729
SDHD	0.168583333333333
SUMF1	1.46825
OSM	2.96275
OPN3	-0.775
DAGLB	0.0526666666666667
PPFIBP1	-0.7282
TRIM63	-1.65575
C10orf53	0.282
LYPD3	0.586166666666667
BCL7A	-0.619
AGER	-1.308
TCF19	-1.886
SAT2	-0.2185
PFTK1	0.757666666666667
GABRE	-1.76475
C15orf38	0.555
FIS1	0.6475
KCNV2	0.16125
CLPS	0.366
PPCDC	-0.35025
FOXN2	-1.6245
NT5E	-2.5479
CD83	0.4635
IL18	-0.802125
VPS16	-0.1205
IGFBP2	0.366833333333333
NOTCH2	0.605
SIGLEC1	1.564875
CD93	5.259
SULF2	-0.8
CEP164	0.18875
P53AIP1	1.4285
TOR2A	0.0435
ZNF136	0.9965
MGP	3.9909
CCDC144A	0.171333333333333
TRPC1	-0.756
SMS	-0.687166666666667
MAPK7	-0.00933333333333334
RRAGC	0.47575
PARD6A	-0.517666666666667
NUB1	0.7935
SYNGR4	0.73775
OR11H12	0.3565
WIF1	4.303375
GCH1	-0.55175
OR11H4	0.4175
SLC44A5	4.7265
GPRIN2	2.391
LOC401431	-0.06825
CPA4	-2.3699
MELK	-4.00377777777778
IL15RA	-0.22125
CUL3	0.62
HMBOX1	-3.03425
PODXL	-1.77125
CCT6B	1.7445
COMTD1	-0.67775
MUC20	3.71433333333333
GPX2	-1.9455
ITK	-1.8745
FBXL5	1.30375
C13orf27	-2.177
DEFA5	0.87
TRHDE	-1.0265
MTP18	-0.914666666666667
UQCRQ	0.6553
ITGB2	0.793083333333333
CSRP2BP	0.516
TAS2R44	-0.078
PHPT1	-0.208625
FAM44C	-0.08325
ERH	-0.99
MPHOSPH1	-2.16566666666667
MORC1	-0.7715
PARVB	-0.9635
LAMA1	-1.93133333333333
PGBD3	0.7965
GIMAP6	4.09475
AREG	-0.470333333333333
LIPT1	0.3025
MGC99813	-0.58175
C1orf201	-0.1195
GRIN2A	-1.41722222222222
MAN2C1	-0.356875
NSUN5	-0.41475
SF3B5	0.41225
MYC	-1.3271875
NRXN1	1.24158333333333
ZNF18	0.634
SPDYA	-0.26925
SLC37A1	1.4875
DECR2	-0.11425
ANKRD38	0.16825
SPTLC3	-0.839833333333333
SUPT16H	-1.1005
DTWD2	-0.057
ULBP1	-0.1425
ZADH1	0.496833333333333
OIP5	-4.4685
IL10RB	-0.126
OTUB2	-0.1955
VWA3A	0.0406666666666667
SPIC	-0.247833333333333
OR6C4	0.4185
PSCD4	0.995833333333333
DPY19L2P2	-0.268
TRAPPC6A	1.60083333333333
C21orf2	0.635666666666667
CEMP1	0.6015
LIN7B	-0.0575
E2F7	-3.688
VCP	-0.14375
LAMA3	1.78541666666667
BGN	1.738
GPR160	1.93166666666667
COCH	-4.62916666666667
GPR81	2.411
APOBEC3F	-0.596
tcag7.1017	-0.2825
C1orf32	0.483
SCGB1D2	5.64775
FLJ43987	-0.912
C6orf170	0.566
KLK9	0.3015
GPD1L	1.750125
VPS37B	0.1085
ATG3	-0.488666666666667
ADAMTS17	-0.132
KLHDC2	0.75
NDUFV2	-0.20825
BLK	-1.083
MATN4	-0.6585
GPM6A	0.600333333333333
GBP4	2.2145
TMEM162	-0.089
PKP2	0.582
HRASLS	0.880777777777778
MMP1	-4.978
SFXN3	-0.696
FSD1	-1.851
ST6GALNAC3	-1.02383333333333
CA12	3.1432
NCOA6	0.2365
C19orf58	0.4476
PPP4R1	0.312666666666667
MAN1A2	0.0493333333333333
IKBKAP	0.00624999999999999
UPF1	0.292333333333333
KIAA1219	0.429
WNT16	0.592333333333333
SNW1	0.019
IL18RAP	2.3935
RPP30	-0.2055
CDC40	-0.371928571428571
SETD3	0.0268333333333333
SLAMF6	0.061
ELK4	-0.821
TRIM47	0.0121666666666667
ACOX3	1.553625
TRIM6	1.11375
KIAA0372	-0.502666666666667
TP53AP1	1.058375
SMURF2	-0.95925
ADAD1	0.11175
EBP	-1.5129
KRTAP13-2	-1.0595
FLJ36874	-0.931833333333333
TOR1A	0.00883333333333334
P2RY4	0.9655
GPBP1	0.2495
TRPV1	-0.020625
ADAMTS12	-0.187333333333333
PES1	-0.4472
ATG4A	0.435
MAGEA10	-4.8235
WFS1	1.838
CC2D1B	-0.411166666666667
PABPN1	-0.6375
SLC25A30	0.253
SLCO1C1	0.272166666666667
SLC22A5	1.5255
KIF23	-4.32866666666667
SYN2	0.185166666666667
ASPN	6.82966666666667
CENTG2	0.079
QSOX2	-1.1452
FLJ10815	-0.591166666666667
STK24	-0.3564375
SPEG	0.6754
STK10	-0.382666666666667
DACT2	1.2565
AAAS	-0.75725
SSX3	-1.807125
ABCD3	1.1151
C4orf12	-0.1105
PARVG	0.512333333333333
FIG4	1.01975
C9orf46	1.52925
TMCO6	-0.846
IGHMBP2	-0.13175
DUS2L	-0.962
FAM3C	0.1999375
TMEM16D	-1.318375
DCTN4	0.70975
KCNH3	-0.0175
EIF2AK2	-0.793
AP1S3	-0.50425
CST4	3.413
PAM	-0.5523125
NUTF2	-0.77325
CITED2	1.1283
SLC39A4	-0.65325
C2orf52	-2.219
GRM3	-0.1225
C12orf49	0.4275
CCDC49	-0.4692
GRAMD1B	-1.585875
FNDC4	1.038
SIAH2	-0.256375
GDPD4	-0.06525
C21orf87	0.19225
ATP5A1	-0.0506666666666667
C16orf63	-0.49975
LOC388135	0.180666666666667
ATP5J2	-0.607375
MMP3	0.46375
EMID2	0.0755
CRHR1	0.28675
WDR70	-0.19225
C13orf31	0.0995
ZFAND1	-0.2625
CCL18	3.51083333333333
C3orf49	1.097
RINT1	-0.396
KIAA0408	-1.57866666666667
F13A1	3.3109
SLC10A1	0.438833333333333
OGN	2.732
GIPC2	-0.1495
XPO6	-0.359333333333333
LCE1A	0.5055
FMR1	-0.6502
LOC374920	0.58025
DUSP3	-0.612
ANKMY1	1.23525
C7orf50	0.17575
BBS9	-0.1426
UNC119B	-0.23775
C9orf72	-0.12175
MGC35440	0.2035
ENTPD6	0.078
PPP1R2P9	0.2665
ERCC4	0.03675
FAHD2B	0.025
HMHA1	-0.419
HACL1	-0.3065
RAD23A	-1.1855
FAM83B	-2.47425
PPP5C	-0.357333333333333
RNASEH2C	-0.23375
C9orf153	-1.163
SCAMP4	1.17125
GHITM	0.2607
NDUFB7	0.108875
ADCYAP1	1.10066666666667
SP110	1.05366666666667
MAP3K7IP2	0.774
DHH	0.3295
AGRN	1.01285714285714
WDR33	0.276666666666667
CEP290	-1.47116666666667
PRPS1L1	-2.0535
KLRA1	-0.0675
GPR97	0.0235
CHD7	-0.70275
TLR10	2.446
SLC30A8	-1.387
HIC1	1.6545
IAPP	-0.259
RXFP4	0.28425
GP1BB	1.18525
SHQ1	0.326
NKX2-3	0.38
API5	0.08075
FTHP1	0.5915
MOV10L1	0.0783333333333333
TRIM6-TRIM34	1.258
ADHFE1	1.5125
