Hybridization REF	TCGA-A7-A13D-01A-13R-A12P-07
CALN1	-1.102
ZNF423	-0.79975
PSMB4	0.5845
XPNPEP3	-0.450666666666667
ARPP-21	-2.33125
SART1	-0.5445
RACGAP1P	-1.987
SPTA1	-4.30425
C6orf113	-0.732333333333333
C7orf16	-3.5925
CHST7	-1.13616666666667
C21orf29	0.515166666666667
SEMA6D	-1.65871428571429
PCMTD1	1.8065
KIAA1754	-0.185
MYCN	0.4505625
KCNJ3	-1.73425
MAPK13	2.5065
ERO1LB	-0.7235
NTF3	0.882333333333333
NKX6-2	-0.74525
GTF2B	-0.21025
GSPT1	-0.875333333333333
GUSB	0.315
LOC221091	-3.87
LIG1	-0.6295
EXTL3	-0.2745
NID2	-0.94475
TTC29	-0.01775
TMEM97	-0.953
EXTL2	-1.528
SUZ12	0.091625
IL1F8	1.021
KRT18	-1.24781818181818
MRPS16	-1.03083333333333
PI4K2B	-0.929
LACRT	1.135
OR51F2	0.812
JMJD2C	-0.51325
KGFLP1	0.6515
CDK5RAP3	-1.076
YTHDF2	1.09316666666667
GGCX	1.3315
ARPC4	0.95875
EGLN2	1.24083333333333
KBTBD4	-0.714307692307692
ROBO3	-0.6547
DEFB118	null
KIAA1543	1.5035
RTCD1	0.659833333333333
MZF1	0.112
C18orf26	0.5525
CNIH4	-0.0695
ZFP2	0.616
HTATSF1	0.26025
WFDC2	2.597
NDUFA7	-0.82
TTC22	0.703
FAM40B	-3.79971428571429
DCPS	0.6665
SH2D1B	-0.7366
MRGPRE	0.3265
SBK1	0.6625
UNQ6411	-1.9875
OSBPL9	-0.7315
NUP107	-0.94625
MYOZ3	-0.236
PDE4B	0.341454545454545
FAM113A	-0.8265
IDH3G	0.116666666666667
FBXL7	-0.268125
ARFGAP3	0.14725
MAPRE2	0.0523076923076923
IL1RN	1.8623
KIF13A	0.0215
RAC3	0.2265
TCTE1	-0.0105
TMEM14B	0.00283333333333333
ADIPOR1	-1.17733333333333
GRINA	0.9555
CLIP4	2.4245
LRIT2	0.9725
TFPI	-2.02676923076923
FABP6	1.80475
SLITRK2	-0.334444444444444
HKR1	0.38575
SMTN	0.41975
C1orf75	-0.46675
CD209	-0.3765
CYB5R2	2.63375
DNTTIP2	0.209333333333333
CSGlcA-T	1.415875
GABRB3	-2.86
PCBD1	-0.347333333333333
TAF3	0.486
HOXD3	-0.810833333333333
GIPC3	0.0173333333333334
P11	-0.0827
BFSP1	-0.10675
LCP2	-0.613
TAS2R8	-0.1525
SEZ6L	-2.69416666666667
NR2C1	-1.250625
EXDL2	0.0207
TNFRSF13B	-1.669
MKI67	-0.25725
GLS	2.80958333333333
C7orf54	0.2277
LGALS13	0.136833333333333
IL4R	0.40925
SEC11A	-0.874833333333333
SPP2	0.6186
C18orf32	0.0075
CLSPN	0.6035
SPAG1	2.046625
C9orf82	-0.94425
TM4SF1	2.04533333333333
EMILIN2	0.64
SMG7	0.367833333333333
TAS2R13	0.969
ZNF628	0.8895
DZIP1L	-0.8844
ANKRD13A	0.2245
VASP	1.931
ZCCHC11	-1.364
SYPL1	0.130125
MGC34774	-0.25
C4orf28	-0.077375
KIAA1211	0.264666666666667
RPS27L	-0.594
TATDN3	-1.414
PDCD1	-1.2055
OR5P2	-0.505
IFIT1L	0.438
MIPOL1	-0.21475
OR51D1	0.48175
C1orf92	-1.19125
LAMP2	2.36038888888889
CAT	-0.8025
C16orf80	-0.838
C15orf32	1.061
ZNF746	0.40725
C1orf76	-1.21
ATXN1	0.812
LAMC2	2.305875
SLC2A7	-0.561
CPOX	-2.09575
APH1B	0.132333333333333
LOC442245	-0.203
CTNND1	0.2225
GABRG2	-0.979
MADCAM1	-0.300333333333333
F5	-3.15775
SEMA4F	0.590333333333333
NUDCD3	0.611625
PDZD11	-0.422
TRIML1	0.638
GCNT3	-3.05283333333333
TMEM120A	1.34525
CNDP1	0.2265
N4BP1	-0.224625
SLC35F2	0.151375
LCP1	0.935083333333334
IGBP1	-1.0559
DCAKD	0.666625
ELA2A	-0.7155
C12orf56	-1.53875
PITRM1	1.3205
GUK1	0.161666666666667
RASSF8	-0.77625
OR2A14	1.4095
ADM	1.71322222222222
FGD3	-0.260166666666667
GHRHR	-0.5098
RHPN2	2.13925
C4orf39	0.425333333333333
VPS72	-0.151
SERF2	0.158222222222222
CD22	-1.07683333333333
CD47	1.2351
PPIC	0.891
IMPDH1	0.95725
ACP6	-0.1615
PRKACA	-0.52375
PPP1R1A	-1.75325
TRPV3	0.06875
ASXL1	-0.481625
C17orf55	-0.0828333333333334
FXYD1	-1.08183333333333
LMOD2	0.6355
ANKRD33	0.355
LCE2C	-0.0692857142857143
ZNF620	-4.901
DKFZP566E164	-0.694
VSIG2	-0.67425
KIAA1128	0.925
USO1	-0.883
NUDT4	-0.424571428571429
CLDN1	1.87464285714286
OR4Q3	-0.335
FASTK	0.2735
ICOS	-0.29
LDB1	0.28075
GSTA5	1.81975
ABCC1	-1.06916666666667
FAM54A	-0.1175
PCBP2	-0.8465
NUP205	-0.523
ACTA1	0.452666666666667
GABBR2	1.33725
PIP5K1B	-1.73633333333333
AGXT	-1.358
RNF181	0.85325
ATP8A2	-0.943
AFTPH	0.5468125
FGF21	0.1695
FCER1G	1.805875
SNTB1	0.16375
SLC24A3	0.601625
TXNL4B	-0.8119
RPL10L	-0.561333333333333
LOC389517	-0.23485
TSGA13	0.3815
SHOX2	1.51933333333333
ITGA7	-0.7439
KCNIP2	0.101
KLF13	0.2663
ZFAND2A	-0.05775
CEACAM1	3.1575
PFKFB4	-0.3685
MED19	-0.22825
LRRC57	0.187166666666667
RNF11	0.696
ANKRD32	-2.78625
P117	-0.06125
OBFC2A	0.149833333333333
POLD3	-1.09466666666667
RAB18	1.8985
TPH2	2.139
PHB	-0.2051
JDP2	1.119
MORF4L1	-0.3609
POU2F1	-0.314
CNNM2	-1.45658333333333
LOXHD1	-0.0758
ZC3H15	0.29675
ELK3	-0.344333333333333
FAM111B	-0.56475
CBLC	4.38166666666667
SBNO1	0.61475
ANKMY2	-0.982
PLEKHA5	0.275
DHX58	1.03533333333333
ARCN1	-0.0821666666666667
TREML1	-0.103555555555556
KNCN	-0.615
SEC24A	-1.157
PSCA	-1.21575
MGC24125	0.229666666666667
DNA2L	-0.45475
CIB4	1.803875
HIGD2A	-0.705666666666667
TBX6	-0.559
TTLL5	-1.37433333333333
SGK3	-0.271833333333333
GCN1L1	-0.31775
AMOT	1.6801
LDOC1	0.841333333333333
NRK	-0.0516666666666667
ASB9	-0.5575
NAT1	-0.5709
TRAFD1	-0.3495
PEAR1	-0.372833333333333
FAM36A	1.76825
OR1S2	-0.1582
LOC388323	-1.422
PGS1	0.567333333333333
LEPREL1	-1.293
TFF1	-4.71583333333333
HAP1	0.22425
EPHB2	1.4825
ACTG1	1.31683333333333
ZFP42	-1.1285
HAVCR2	-0.2861
NME1	-0.4125
SNX26	0.968333333333333
LACTB	-0.152
ZKSCAN2	-2.18875
C5orf35	-2.38425
ANKS3	-0.56175
RBM28	-0.019
DKFZP586P0123	-0.777
HNRNPA1	-0.790166666666667
BCAS3	-3.1075
FLJ20184	-1.026
POLA2	-1.52616666666667
TMC7	-0.791333333333333
HSD17B6	1.9265
ZNF658B	-0.614333333333333
TTTY10	0.367166666666667
RANBP9	-0.816916666666667
CPNE7	-3.08783333333333
EVL	-1.11805882352941
LNX1	-0.487666666666667
IFNA21	-0.4086
CFD	-2.2415
PYCARD	2.28433333333333
MYBPC2	-1.48
ENPP3	-3.1722
ACSL4	-0.971
LOC440258	-0.316333333333333
TMEM176B	1.928
SOX2	-5.130625
SCO1	-0.917333333333333
COMT	0.052
AOC2	-0.172
PDLIM5	1.33135714285714
SPHK2	0.4525
NXPH2	-1.2935
GPR108	-0.3715
RAD51L1	-0.435166666666667
TMEM54	1.1005
LETMD1	-2.00833333333333
SLC6A17	1.34475
KRT75	1.85
STT3B	-1.16233333333333
CD3EAP	2.1735
TMEM63A	0.51625
DUSP13	-2.777
CD1C	-3.4905
LASS2	-0.622666666666667
AVP	1.993
PITPNM1	-1.44175
FLJ22795	-1.0625
MCTP1	-3.13375
TRIM68	-1.67183333333333
UCK2	-0.125
ABHD1	0.7855
FAM50A	0.29975
RNASEH1	-0.0626666666666667
PCP2	-0.4296
OR52H1	1.056
C20orf149	0.715
RBP5	-2.516
HYAL3	-0.0025
CLPB	-0.35675
SMNDC1	0.30425
DONSON	-1.02583333333333
FLJ27523	1.20933333333333
BARHL2	0.3598
SLC30A9	-0.457833333333333
TMPRSS11B	0.3415
E2F8	-1.1545
CCDC25	-1.21816666666667
C14orf48	0.544
C20orf116	0.770125
TSPAN11	0.776
YIF1B	0.2035
FAM12B	0.815666666666667
OR1L6	0.309
HPN	1.4542
NBN	0.985625
C14orf94	-1.94216666666667
OCLM	0.792
ZSCAN18	0.7266
L3MBTL	-1.4179
TSTA3	1.13833333333333
RAC1	0.51925
C19orf15	-0.438333333333333
NFE2	-4.788
KLK14	0.7125
ARSF	0.582
MAST2	0.866666666666667
AMICA1	-0.5105
GTF2A1	-0.5225
ATP1A3	-0.157
TC2N	1.1543
PNKP	0.92825
ODZ2	-0.751
MATR3	0.43125
S100P	0.20375
KRT82	-1.6605
CA13	1.9633
PROZ	-1.713
AASDH	-0.014125
C19orf40	0.711666666666667
DCK	-1.36146153846154
FAM5C	-2.2745
SLC6A4	-2.296
MID1IP1	-0.880875
TESSP5	-0.4165
TMOD4	-0.757333333333333
DOCK2	-2.1355
TUG1	0.89
NUP214	-0.6745
DPYSL2	-0.639227272727273
GOLM1	0.70025
MPFL	0.0455
SOX13	0.53425
SDCCAG8	0.6157
KEL	-2.29066666666667
NUP210L	-2.39825
GK	-2.27225
DNAJB1	0.1855
ALPK3	-1.0185
CHID1	0.2375
CYLC2	0.1916
IKZF5	-0.1465
C8orf51	0.541
PPM1J	0.9015
GIMAP8	1.9115
GPR101	0.199
NR2F1	-1.0585
ACAD8	-1.2685
RBM35A	1.75875
GNAI2	-0.474333333333333
METTL8	0.0115
SLC39A7	-0.52625
FBXO8	-0.17625
CAMK1	-0.5655
RFC3	-1.435375
FAM129A	0.168785714285714
ILF2	0.01975
FGFBP3	-1.246375
NOM1	0.227166666666667
PSMA3	-0.802
ASCC3	-0.0147
ZYG11A	1.134
SOX21	-1.2314
LYRM1	-0.56425
DEFB1	3.7865
LOC91431	-2.53116666666667
OR7C2	3.116
FAM46B	-0.19675
TMEM18	-0.816375
ARHGAP30	1.2005
TMEM86A	0.5075
EPHA2	-0.266
C10orf46	1.04675
TCHH	-1.37316666666667
C3orf30	0.37325
LOC285636	0.2225
PAIP2	0.91175
CYP2U1	-0.43
C12orf34	1.72075
SARS2	0.335166666666667
ZCWPW1	0.40575
SAMD12	1.720375
KIAA1430	-0.659375
ACAT1	-0.9095
MEOX1	-1.1318
ADAMDEC1	4.34
PHKA2	-1.0375
CARD11	-2.37716666666667
CALML4	-0.056
TSSC1	-0.49525
TMEM45A	1.30466666666667
MPP7	1.4075
POU1F1	1.57166666666667
SLC2A13	-1.0804
FBN2	-1.20707692307692
ZC3H7A	-0.2623
LAIR2	-3.62925
ST3GAL1	1.5945
LCT	-2.565
GEMIN8	0.198833333333333
KLF16	1.4637
HIF3A	0.3386
FAM44A	-0.726142857142857
AQP10	-1.5192
PLA2G2A	-3.242
FOLH1	0.786333333333333
C20orf186	0.485
MAPKAP1	-0.720125
SPRR2D	-0.9865
UBQLN4	1.39316666666667
RSHL1	0.107833333333333
PIAS3	-0.079375
MRPL24	0.60525
GREB1	-3.079625
FAM27E3	-1.8775
NUP62CL	-3.30075
NEUROG3	2.472
REEP3	2.05558333333333
MARK1	1.112
LMBRD1	0.24
PRPF19	-1.496
PNMT	-1.09316666666667
CTGLF1	-0.9795
SLC25A16	-0.20875
EIF2B3	-0.1965
RPA2	-0.597
PAK6	1.8025
CCDC26	-4.28116666666667
SEMA3E	3.62
MXD4	0.823
TNFSF10	3.1731
SMARCB1	-0.313
DTX3L	1.44383333333333
PLA2G4E	-0.4965
PPAP2A	-0.29
ULK1	-0.511416666666667
TAS1R3	0.4845
SLC2A3	-1.70872727272727
ARID3A	-1.07
GNG5	-0.33375
ACOX1	1.3927
KIF5B	1.22025
NUP153	-0.5475
MUC7	-0.427
CSDE1	0.0264285714285714
CLPTM1	0.43025
C3orf23	-0.803875
LRRC17	-0.98
TTYH3	0.814
ATP5B	-1.6205
ELF3	2.9582
CPSF3L	0.713333333333333
ZNF665	0.726666666666667
TLR6	1.0723
GPI	0.34475
RAD9A	-0.222625
NDST4	-3.09
AGPAT3	-0.0206666666666667
MAGI3	1.757
ADORA2A	2.105625
CACNG7	0.236
CAMK2D	0.365857142857143
CCHCR1	-1.39675
RPS27A	-0.33
OR10G7	0.6146
GCM2	-0.281
FAM135B	-0.32
E2F1	0.308
PLCB3	0.53725
OR2AE1	2.5395
COIL	-0.484833333333333
CDC25C	-1.56916666666667
RAB11FIP2	0.111583333333333
TSC2	0.1575
CTGLF5	-1.644
CCDC108	1.17733333333333
OR13C4	-0.595
C10orf81	6.385
PTPRB	1.47075
ACP2	-1.06225
LAG3	-1.674
MRPL54	-0.7385
LOC201175	2.617
ITGB1BP3	-0.36325
SPTAN1	-0.564333333333333
SIPA1L2	0.9365
RCAN2	-1.0095
CDX2	-1.8395
ECOP	-0.30525
ACTR1A	-0.161142857142857
PPARG	-1.258
BBS10	-0.375
TMEM44	-1.441375
BPIL2	-0.4255
CITED1	-0.81325
IRF6	4.175
PRDM4	-0.654
RRP9	0.0175
OR10H4	1.19575
IL31RA	0.432666666666667
GNB1L	-1.01016666666667
MYBL2	0.01975
ZNF407	0.782166666666667
PPIG	-0.28
TTC18	0.58075
RPSA	-1.1385
MAPT	-0.8015
MRE11A	-0.52825
C8orf37	-0.961333333333333
RASGEF1C	1.4295
STBD1	0.918
CTAG2	-0.346333333333333
MGAT5B	-0.297
ECM1	-0.04925
RLN1	0.023
PARP14	0.993066666666667
EPB41L1	1.612
HOXA3	1.08333333333333
MAGEA9	-4.96466666666667
RPS8	-1.09266666666667
RPS19BP1	1.21375
FOXJ2	-0.070625
C10orf76	-0.132125
IL17RE	1.23575
C10orf65	-2.73925
ZNF343	-0.560166666666667
FBXO33	-0.4435
UHMK1	0.8827
LY6G6C	-0.157
FGF19	-2.37
C14orf128	0.586
IFIT2	2.789
TIGD1	0.07125
S100G	0.1805
GUCY1B3	3.087
NR3C1	-1.1764
CORO1B	0.057
PARP11	-0.0264166666666667
DNALI1	0.468166666666667
OR4N4	-0.25575
MAP2K6	-0.978666666666666
FSTL4	-0.43975
ANKRD47	1.315
TMEM171	-0.4245
PNLIP	-1.29566666666667
YY1	-0.860333333333333
CCDC138	-0.543666666666667
AASDHPPT	-1.4442
CKS1B	1.5927
MCM3	-1.78083333333333
ANAPC7	-1.03316666666667
FAM110A	2.35525
CDC37L1	0.210833333333333
THTPA	-0.4335
NBPF20	-0.4635
WDR24	0.12475
NPTX2	-2.11825
CBLB	0.669166666666667
CETN1	1.2262
RPUSD1	0.787
FAF1	-0.392
CDK6	-0.1008
HMX2	0.0415
CSK	-0.458833333333333
TEAD2	4.97525
SNAP25	-0.356666666666667
TUFT1	1.8241
TMTC3	0.628833333333333
LCK	-3.61875
SGOL1	-0.6255
AKTIP	0.98375
FURIN	0.772625
SOX12	-0.198166666666667
DEFB103A	0.00125
RAMP1	0.826
KIR3DX1	4.643
GAS2L3	-0.307
PDE8A	-2.03
EDN3	1.9815
GMIP	0.5915
SF3A2	1.767
FN3KRP	-0.1575
SMAD7	0.20025
RHBDD2	0.77
OR11H6	0.9445
PPP1R3B	0.8252
C9orf23	0.06275
CADPS	-0.38625
GOLGA8A	-2.146375
TMEM57	-0.432
RGL3	-1.634
S100A14	3.68975
FGFR2	1.9259375
XRCC3	-0.925
RTN4RL2	1.00225
MGC3771	0.2035
GH2	0.708166666666667
BTBD2	0.81325
LMO2	-1.05725
RDBP	-0.988125
ACRBP	-2.79425
AMY2A	3.63725
DUOXA1	-1.582
PTK7	1.666
TWF2	0.848
FAM80A	0.65775
TNNI2	-0.761166666666667
GLT25D1	0.140666666666667
OCC-1	-1.31375
CYC1	-0.6365
RPL22	0.195454545454545
MORN3	2.16883333333333
DISP1	-0.6515
PRB2	0.068
CHUK	-0.98275
HR	-0.37275
CCDC134	-0.025
DENND4B	-0.46525
C14orf130	-1.577375
RAB33A	-1.285
DCST2	0.4825
TNMD	-1.963
PEX7	-0.112
FAM62A	-0.367375
SRD5A2L	0.4455
IL22	-0.101333333333333
RPS26	-0.743
HOXC5	-2.372
SPATA6	0.569
FLJ38482	0.303875
ZNF234	1.981
C18orf22	-0.142
SPATA22	1.55575
THOC1	-0.8715
CYP7B1	4.85575
KCNC3	0.57575
C8orf42	0.5175
ALDH1B1	0.7055
CCDC100	-1.2977
ARMC4	-1.93125
FAM18B2	0.29925
SLC44A1	0.22525
FBXO17	-0.2965
C6orf107	-0.962
C19orf29	-0.0635
ZC3HAV1L	1.35175
PARP6	-0.0887
SULT2A1	-4.509875
C1orf159	0.64
TMC1	2.74933333333333
CHST14	-0.26175
GAMT	-2.35283333333333
SMCP	0.748
TSPAN33	1.68041666666667
MIDN	0.245125
NOX4	3.30775
RNASEN	0.2736
TBX1	1.12866666666667
SALL2	-1.964
C10orf35	2.52875
CYP2E1	2.25125
LRFN2	-1.1086
ACO1	-1.152
IQCG	1.9626
MEGF9	0.241
TM7SF4	0.3665
PLEKHA1	1.37126666666667
STK33	-1.893
C1orf210	2.52825
SNUPN	-0.2267
KIAA0406	-1.2767
C20orf29	0.31675
TMEM55B	-0.7855
OSTM1	-1.3246875
CLCN7	0.53825
OTP	0.0595
FLJ23049	0.118333333333333
HEATR4	-0.519
MAP3K10	1.86016666666667
PCDHGA9	0.658
AMDHD2	-0.02375
LCTL	1.6595
PDCD2L	0.526
CABLES2	0.33775
SLC5A9	-0.05525
CLCA2	-2.5732
MGC16025	-1.5335
STRAP	-0.543166666666667
C20orf196	-0.564
RRBP1	1.86883333333333
NAT13	0.125
MAT2B	-0.37625
CSNK1D	-0.0346666666666667
KIR3DL1	0.4125
PRKAG3	1.0745
ZNF599	-0.283
PRM3	1.5675
PER2	0.898333333333333
ASPHD1	0.503
PRMT6	-1.17725
KCNE1L	-0.0310714285714285
FAM118A	-0.468
TAF4	-0.72625
NDUFB6	-0.87975
TRIM9	-1.06883333333333
PMFBP1	-0.689
KY	-0.352
DKFZp762E1312	-1.27754545454545
CSMD1	-2.28475
TBP	-0.996
OR1Q1	0.152
RETNLB	-0.092
HPGD	-0.376076923076923
DNAJC12	-2.5015
FKBP1B	-2.12175
ANKRD24	-0.5454
CXXC5	1.3905
IL3	0.833
DRAM	0.7511
PTCH1	-1.29614285714286
TP53BP1	-0.47125
SLC17A7	0.34775
COL25A1	-0.541333333333333
AMACR	0.023
RHCG	3.137
VPS13A	-1.0715
FAM55D	0.5895
PRPF38B	-1.02066666666667
OSBPL6	0.7865
PFDN5	-0.392
CMTM6	0.51775
KCNK12	-0.84925
RP2	0.21375
C16orf52	-1.836
PICK1	1.279
IFNE1	-0.8386
SEMA4B	0.51375
TYRO3	-0.9715
OR12D2	0.184
CSNK1A1	-0.0385
FANCF	0.284
LONP2	-0.273625
TBL1Y	-1.0045
LDOC1L	-0.015
CCNC	-0.34425
C3orf60	-0.8765
CHKA	-1.0825
UBAP1	-0.75525
MAP3K1	-0.202
ANKRD9	-0.834
FAM92A1	-1.70916666666667
GAB2	0.30725
AZU1	-0.944
DIS3	-1.28841666666667
C21orf109	-1.19725
IQCB1	-0.00199999999999997
SPATS2	-0.134
EFCAB3	0.612
PRB3	0.5915
FUZ	-1.07266666666667
ZNF813	0.521375
BMPER	-1.6195
HEG1	0.143
ALS2CR11	1.10525
SURF2	-0.12
PSMC1	-0.842916666666667
OR2D2	-0.3445
SLC7A8	-0.952833333333333
C4orf40	2.127
SPATA7	-0.59675
MAZ	-0.41825
PIN4	0.16575
PDE1A	-1.7225
TAF6L	-0.114
OR2T34	0.325
KIAA0284	0.27425
ACADS	-0.314363636363636
MKRN2	-0.9985
C18orf56	-0.63
MS4A6E	0.4235
GALNT4	-0.503222222222222
C22orf31	-1.5985
FLJ36070	0.0185
PSME4	1.06825
TFG	0.118
EPHX2	-1.360375
ANXA5	-0.3995
KRTAP1-1	2.1828
BATF	1.0935
KARS	-1.14225
MSTP9	-0.373
GPR26	3.1095
CCDC72	1.08575
TEF	0.425666666666667
FOXK1	0.4692
PRLHR	-1.425
EMX1	0.61975
C11orf30	-0.168125
ICK	0.149625
THSD7B	-0.494666666666667
C21orf100	-1.801
DUOX1	2.5725
EFCAB4B	-0.2845
UBE2G2	-0.2825
C3orf54	0.0225
PARP1	-0.8775
FAM60A	-0.282166666666667
C6orf146	0.998333333333333
OR9K2	0.719
DDX55	-0.964
RPS15	-0.866666666666667
ZNF618	1.19633333333333
DKFZp686D0972	1.163
SSPO	2.569
SHFM3P1	0.1145
CPA6	-0.974
JAG2	1.7445
DEFA3	0.794
PPBPL2	-0.560833333333333
CD34	3.909125
SLCO4A1	-1.38925
AFG3L1	-2.16983333333333
SHD	-0.195
RP13-122B23.3	-0.723
PRKCSH	-0.392
DPH5	-0.826333333333333
HLA-F	2.295
TBC1D4	-0.59925
RIG	-0.403333333333333
GLUD1	-1.52733333333333
HNRPCL1	0.5255
HBXIP	0.081
RNF207	-0.3145
APIP	-1.1035
PLA2G3	-2.74483333333333
CCDC84	-2.325
MYLIP	-1.15423076923077
PHIP	-0.533
AARS2	-0.656333333333333
DHX32	0.32825
SCAPER	-1.177
MEN1	-0.298714285714286
NIP7	-0.69775
FLJ25404	0.292
FASTKD3	0.091
TMEM158	-0.0831666666666667
RARA	1.71225
BDH1	-0.3335
ANKRD16	1.593
CARM1	0.765
SS18	0.128833333333333
IKZF2	0.574583333333333
MYD88	0.53125
PML	0.6384
TAF1A	-0.73775
CBFB	-0.474125
HIST1H3H	-1.32733333333333
C7orf29	-1.05175
COMMD4	-0.973833333333333
DPP3	-1.17675
DAB2	1.490625
LOC388882	0.2285
YPEL4	-0.599571428571429
AGBL3	1.26
LRP6	0.752
SERPINH1	0.769666666666667
TLE1	0.47925
CD244	-0.535833333333333
ZDHHC15	-0.836
MGLL	-0.5325
PLDN	-0.126666666666667
LOC654346	1.428
FAP	2.568
GPR37	1.12183333333333
SCARA5	-2.15733333333333
EBF4	0.461636363636364
LSM6	-0.03675
MLLT1	-0.322875
SLC5A12	0.72675
A2BP1	-1.66716666666667
COPS5	-0.445333333333333
TPM4	0.6655
TNFSF4	1.28916666666667
ACADSB	-0.881833333333333
HERPUD1	-0.56475
BCL2L11	-0.146388888888889
CEP78	-1.4985
CDCA3	-0.696125
WBSCR19	0.3993
MYO1A	-2.597
PPEF1	2.19166666666667
LOC440348	-1.0045
CPEB2	-0.445
BPTF	-0.54975
RPL21	-0.506
GSX2	0.368
ADPRH	1.374
C17orf68	-0.554
KCNS1	2.6945
MLLT6	0.000800000000000001
PIWIL4	2.43875
RNF26	-1.186
RAP1B	0.374375
ADAMTS1	-1.8212
ZNF571	-0.2415
P2RY6	-0.66325
TRIM21	-0.00666666666666667
CADM3	0.685
NLRC5	0.474166666666667
ADRA2B	0.532
LOC90835	-2.27975
PCF11	-1.29225
LOC400451	-0.05275
GLTSCR1	1.3501
C17orf88	-1.13916666666667
CDH16	-2.4555
FGF7	1.54375
PCSK4	-0.396
NPC1L1	-1.28216666666667
TAT	1.08057142857143
TBCA	-1.054
MGC33407	0.396
GPR115	-0.912857142857143
CYGB	0.3805
FNBP4	-1.55316666666667
C12orf43	-0.80475
CBL	-0.3157
CLECL1	-1.06025
PPAPDC1A	2.47975
WDR25	-1.00933333333333
SGCA	1.443
C22orf29	-0.218
YIPF1	0.02975
GALK2	-1.00275
RAB3B	-1.24733333333333
LOC440087	-0.16475
UCP1	0.143
REEP5	0.1315
FADD	-0.8824
FOXA1	-2.21775
CACNA1A	0.368
ABI1	1.384
GRIN2D	2.21125
SLC1A4	-1.60183333333333
LOC401127	-1.078
HINT2	0.58475
PLD4	-1.69883333333333
ZNF286A	0.209
ENY2	0.42
IL1F6	-0.935
PXDNL	0.0325
C20orf79	0.36175
TNFSF13B	2.16066666666667
DENND3	-0.689625
JARID1D	-3.146
HIST1H2AK	0.72725
LOC93349	-0.5095
SSH1	-0.708
ENSA	-0.02725
LOC219854	-0.197333333333333
CKAP2	-0.8666
DKFZP564J102	-0.723333333333333
MGC87315	0.4575
HNRPAB	-3.493
AMH	-1.891
ZNF526	1.2595
BRUNOL5	0.2141
CACNG3	-0.2654
TRPM1	-0.816
PPP2R1A	1.192625
COL2A1	0.57075
DDN	0.146666666666667
FLJ25770	0.269333333333333
HK2	0.341
ELOVL6	-1.103375
MDK	-1.51775
EPHX1	0.6615
RASSF2	0.619875
DKFZP434B0335	0.2155
DLX3	0.158
PRTN3	-0.76875
AVPR1A	0.5105
C21orf125	-1.42525
TNFAIP8	-1.31916666666667
GNB2L1	-0.89175
CALCRL	1.357
SCGB2A2	0.145333333333333
UBXD7	0.2635
ZNF674	-1.191
TMEM35	-0.881125
BRSK2	0.080625
HECTD3	-0.0258333333333333
TMEM188	-0.556818181818182
LGALS9	1.158
SCARB2	0.36975
USP34	-0.095
C17orf28	1.95216666666667
ZDHHC23	-0.2225
AQP12B	0.264
SLC16A3	-0.17075
APLP2	-0.036875
ITIH2	-5.919
MICAL3	0.19675
TNNI3K	0.9665
HDAC2	0.4335
PRR7	0.7784
THBS2	0.95625
LOC751071	-1.07383333333333
CA2	0.570166666666667
RANBP17	2.3205
RLN3	0.40175
CRYZ	-0.935333333333333
GBAS	-0.309666666666667
TAS1R1	0.44575
MPZL3	1.6335
PCDH8	2.809
HSP90B1	0.942
KCNK15	-0.3175
TNIP2	0.427333333333333
GPR146	0.169
NOL6	-0.487625
SPC25	-1.17255555555556
STEAP2	0.238714285714286
VAMP3	-0.1725
TCIRG1	-0.52
ZP4	0.286666666666667
PARL	-0.100142857142857
TRIM39	-0.769
KIAA1305	2.21425
CRNN	0.384833333333333
GRN	0.526
HSH2D	-2.114
SCAMP1	-0.261625
KIAA1913	1.48325
PTS	0.54575
BANP	0.129928571428571
PRKACG	0.0593333333333333
ADCY6	0.446333333333333
C16orf46	-0.019
CYP51A1	0.31375
DDC	-4.8795
ANPEP	1.85833333333333
PROM1	4.08916666666667
SIGLEC10	1.3425
COPG	1.163
FAM26E	1.421625
TRIP4	-0.0735
SNX3	-0.270166666666667
C1orf175	0.459
PPY2	-0.56025
C14orf152	-0.535333333333333
FTSJ1	-0.6355
DST	-0.101277777777778
LOC554235	-0.07125
GLRX5	-0.66575
C20orf12	1.0062
CAB39	-0.527833333333333
MSH2	-0.037
PIP4K2C	0.58425
CYLD	0.340625
WTAP	0.612875
MGAT4A	0.714333333333333
TSC22D4	0.4648
CHRM2	-0.212
PPYR1	0.206333333333333
CCNH	-1.93266666666667
RRM1	-1.03875
ECAT8	-3.84925
LOC400120	0.33275
GABRA4	-0.259875
C14orf4	2.06216666666667
C1orf59	0.60975
CTDSPL	-0.188333333333333
NHEDC2	-0.743
PDE11A	-2.21054545454545
KLHL29	0.8315
CD5	-3.1954
TSPAN9	1.328125
WDR67	-0.6995
THUMPD1	-0.7343
C18orf17	-0.8285
CLYBL	0.4525
FLJ13231	0.088875
CMBL	-1.3975
LECT2	-0.113
NKAPL	1.70433333333333
LOC654780	0.7225
OR4C6	-0.381
RAB30	-0.790833333333333
TSSK4	-0.9515
TMEM163	-0.626
OSBPL11	0.667583333333333
GNB5	-0.895166666666667
CCL21	0.374
C1orf121	1.50416666666667
FMO2	0.438333333333333
RPTN	3.0275
MSTN	-2.011
VCL	0.210428571428571
FYTTD1	-0.027
C11orf1	-1.736
