Hybridization REF	TCGA-C8-A1HM-01A-12R-A137-07
BOK	-1.23425
CXorf6	-2.619
MYEOV	-1.6935
BTN2A2	0.5101
FRG1	-1.10525
HSP90AB6P	-0.23775
ENOX1	-0.000166666666666667
ZNF706	0.3818
DOK1	0.9596
PGAP1	-0.638125
TMEM136	0.1275
FSCN1	-2.6385
KIF17	0.25925
TRIM66	0.2925
CBR3	2.08116666666667
C13orf24	0.2485
C19orf52	-0.046
BNIP1	0.2055
AQP3	-1.993375
KRT6C	-2.726
SIRPA	0.18075
IGFBP6	-1.47783333333333
PLEKHK1	2.309125
RNASE7	-0.294
ARHGEF15	0.3785
NPHS2	0.22375
SRD5A1	0.5725
REXO4	-0.71725
EEF1DP3	0.351
SLC37A2	0.283
ZNF142	1.37425
ANKHD1	-1.0435
MUT	0.5805
VPS37A	0.2585
GPRIN1	-0.4705
SLC38A3	-0.96425
BAZ2B	0.92175
WDR87	-0.00399999999999999
BRD7	0.46125
POU6F2	-0.399
NISCH	-0.43925
TCEB1	1.227
LINGO2	-3.24675
TAX1BP3	-1.21425
RPL34	-0.0152777777777778
MARK2	0.314333333333333
AKAP12	-3.8696
AMBN	0.2365
SLC25A27	-0.172833333333333
FLJ21865	0.014125
KIR2DS2	2.03783333333333
WDR77	-0.7405
ATF2	0.127416666666667
ITFG3	0.2365
SLC39A13	-0.39425
ARL6IP5	0.80975
C10orf137	-0.15575
QTRT1	-0.880666666666667
CCNT1	0.4795
DYNLL1	0.4972
WDR53	0.63075
LIPG	-1.41666666666667
ASAH3	0.3385
HELB	0.00075
PHACTR2	0.844125
VENTX	-0.737
LAD1	0.966166666666667
PAOX	0.83775
MAPK8	-0.1525
CCDC38	0.71825
DNAJC8	-0.6804
RBBP8	-0.792
WNT11	-0.7562
KCNJ12	-1.50883333333333
HDAC8	0.195166666666667
STARD4	-1.43875
ACVR1	0.350666666666667
C14orf65	-1.16166666666667
KLB	-1.6435
C1orf65	1.02825
ZFYVE28	0.418375
NSUN6	0.05175
KIF27	0.7425
SYTL2	-0.2065
UBXD2	0.6833
OR6T1	0.4505
CCDC91	0.636357142857143
GRID2	-0.0395
CALN1	-1.15175
ZNF423	0.21175
PSMB4	1.4295
XPNPEP3	-0.110333333333333
ARPP-21	-3.76533333333333
SART1	-0.231
RACGAP1P	-0.4065
SPTA1	-4.74275
C6orf113	0.496166666666667
C7orf16	-3.0525
CHST7	0.0778333333333333
C21orf29	-0.254
SEMA6D	-2.37625
PCMTD1	2.1715625
KIAA1754	-1.1925
MYCN	-1.2379375
KCNJ3	3.95825
MAPK13	1.9326
ERO1LB	2.90275
NTF3	-1.875
NKX6-2	-0.57075
GTF2B	0.2885
GSPT1	-0.284
GUSB	-0.375
LOC221091	-3.0905
LIG1	1.158
EXTL3	-0.5985
NID2	-2.17725
TTC29	-1.698
TMEM97	0.834
EXTL2	-1.0195
SUZ12	0.539625
IL1F8	-0.0285
KRT18	0.740636363636364
MRPS16	1.47591666666667
PI4K2B	0.15175
LACRT	0.4455
OR51F2	0.9135
JMJD2C	-0.52525
KGFLP1	-0.55375
CDK5RAP3	-0.0553
YTHDF2	0.307166666666667
GGCX	0.694125
ARPC4	0.6485
EGLN2	1.645
KBTBD4	-0.0187857142857143
ROBO3	-0.7921
DEFB118	-0.846
KIAA1543	0.509
RTCD1	1.198
MZF1	0.1355
C18orf26	1.325
CNIH4	1.35983333333333
ZFP2	-0.582833333333333
HTATSF1	1.52675
WFDC2	1.67025
NDUFA7	0.129
TTC22	0.473166666666667
FAM40B	-2.470625
DCPS	-0.32425
SH2D1B	1.1745
MRGPRE	0.4475
SBK1	1.11325
UNQ6411	0.1175
OSBPL9	-1.20575
NUP107	-0.74375
MYOZ3	-0.2405
PDE4B	1.51316666666667
FAM113A	-0.2815
IDH3G	0.283
FBXL7	0.2405
ARFGAP3	-0.49075
MAPRE2	-0.848923076923077
IL1RN	1.6231
KIF13A	-0.2355
RAC3	-0.921
TCTE1	-0.269
TMEM14B	0.204666666666667
ADIPOR1	0.420166666666667
GRINA	1.637
CLIP4	-0.42725
LRIT2	1.4935
TFPI	-3.62207142857143
FABP6	1.5595
SLITRK2	-0.5212
HKR1	-0.43575
SMTN	-0.802
C1orf75	0.41525
CD209	0.809875
CYB5R2	0.7295
DNTTIP2	-0.0858333333333333
CSGlcA-T	-0.383125
GABRB3	-3.488
PCBD1	1.7515
TAF3	0.655583333333333
HOXD3	0.550333333333333
GIPC3	-0.249
P11	0.0612
BFSP1	-0.28175
LCP2	1.93325
TAS2R8	0.4655
SEZ6L	-1.157
NR2C1	-0.442625
EXDL2	0.2629
TNFRSF13B	-1.2675
MKI67	-0.301
GLS	-0.233666666666667
C7orf54	-0.9054
LGALS13	0.0593333333333333
IL4R	0.552
SEC11A	-0.0405
SPP2	0.517
C18orf32	0.78475
CLSPN	-0.739
SPAG1	1.4005
C9orf82	-0.647
TM4SF1	-2.66283333333333
EMILIN2	1.30525
SMG7	0.408666666666667
TAS2R13	0.523
ZNF628	0.4475
DZIP1L	-1.39566666666667
ANKRD13A	-0.6094
VASP	1.233125
ZCCHC11	-0.901625
SYPL1	-0.2625
MGC34774	-0.0595000000000001
C4orf28	-0.087375
KIAA1211	-1.08966666666667
RPS27L	0.413
TATDN3	0.25175
PDCD1	3.3155
OR5P2	0.3815
IFIT1L	0.654
MIPOL1	1.7475
OR51D1	0.1955
C1orf92	-0.229
LAMP2	2.25094444444444
CAT	0.831833333333333
C16orf80	-0.327
C15orf32	0.5825
ZNF746	-0.27425
C1orf76	-0.8045
ATXN1	0.537
LAMC2	-0.742375
SLC2A7	-0.8655
CPOX	-1.7335
APH1B	1.53083333333333
LOC442245	-1.99525
CTNND1	0.339888888888889
GABRG2	-1.453
MADCAM1	-0.520333333333333
F5	-2.1415
SEMA4F	-0.318
NUDCD3	0.15775
PDZD11	1.047
TRIML1	-0.6975
GCNT3	-2.29983333333333
TMEM120A	-0.2005
CNDP1	-0.198
N4BP1	0.84575
SLC35F2	-0.035625
LCP1	0.8505
IGBP1	0.0676
DCAKD	0.33975
ELA2A	-0.567
C12orf56	-1.736125
PITRM1	-0.703928571428571
GUK1	0.663833333333333
RASSF8	0.4385625
OR2A14	0.09625
ADM	-0.957777777777778
FGD3	1.5005
GHRHR	0.354666666666667
RHPN2	0.975
C4orf39	-0.1875
VPS72	0.3015
SERF2	0.773944444444444
CD22	1.257
CD47	-0.1136
PPIC	0.357833333333333
IMPDH1	-0.869416666666667
ACP6	-0.403
PRKACA	-0.135375
PPP1R1A	-0.043375
TRPV3	0.11975
ASXL1	-1.057625
C17orf55	-0.5925
FXYD1	-0.612
LMOD2	-0.212
ANKRD33	0.273
LCE2C	-0.073375
ZNF620	-0.9495
DKFZP566E164	-0.8155
VSIG2	1.853
KIAA1128	0.961
USO1	1.338
NUDT4	-0.192142857142857
CLDN1	-3.979
OR4Q3	0.4625
FASTK	-0.674333333333333
ICOS	3.86083333333333
LDB1	-0.163
GSTA5	-1.73025
ABCC1	-1.61883333333333
FAM54A	0.1535
PCBP2	-0.384666666666667
NUP205	-1.262
ACTA1	0.2315
GABBR2	-1.43075
PIP5K1B	-1.01766666666667
AGXT	-1.69166666666667
RNF181	0.9095
ATP8A2	0.26075
AFTPH	1.1608125
FGF21	0.34625
FCER1G	3.19475
SNTB1	-1.3895
SLC24A3	0.27275
TXNL4B	-0.4564
RPL10L	0.257833333333333
LOC389517	-0.50835
TSGA13	0.455
SHOX2	-2.091
ITGA7	-1.1335
KCNIP2	-0.359666666666667
KLF13	-0.8587
ZFAND2A	0.134
CEACAM1	1.50164285714286
PFKFB4	-2.08583333333333
MED19	0.23225
LRRC57	0.203333333333333
RNF11	-0.16275
ANKRD32	-1.23175
P117	0.231
OBFC2A	-0.0815
POLD3	-0.507083333333333
RAB18	1.107625
TPH2	-0.0376666666666667
PHB	0.3961
JDP2	1.03616666666667
MORF4L1	0.2576
POU2F1	0.44275
CNNM2	-0.951
LOXHD1	-0.00483333333333333
ZC3H15	-0.265
ELK3	0.17
FAM111B	0.399
CBLC	2.20883333333333
SBNO1	-0.0995
ANKMY2	-0.395
PLEKHA5	0.54925
DHX58	3.0815
ARCN1	0.0106666666666667
TREML1	0.3815
KNCN	0.4895
SEC24A	-0.776875
PSCA	0.11525
MGC24125	0.0848333333333333
DNA2L	0.708
CIB4	0.848
HIGD2A	-0.285333333333333
TBX6	-0.0641666666666667
TTLL5	-0.741666666666667
SGK3	1.8635
GCN1L1	-1.0995
AMOT	0.1759
LDOC1	0.885833333333333
NRK	0.735
ASB9	-0.77325
NAT1	2.7264
TRAFD1	0.767
PEAR1	0.5025
FAM36A	-0.016
OR1S2	0.491
LOC388323	-1.88525
PGS1	0.0276666666666667
LEPREL1	-4.1075
TFF1	-4.07183333333333
HAP1	0.2205
EPHB2	-0.26275
ACTG1	0.563
ZFP42	-1.9324
HAVCR2	1.8917
NME1	0.7375
SNX26	0.0730833333333333
LACTB	0.849666666666667
ZKSCAN2	-0.14525
C5orf35	0.5455
ANKS3	-0.545
RBM28	-0.682
DKFZP586P0123	-0.45725
HNRNPA1	-0.721
BCAS3	-0.520416666666667
FLJ20184	0.445
POLA2	-0.844
TMC7	-0.0958333333333333
HSD17B6	0.325
ZNF658B	0.789166666666667
TTTY10	-0.00583333333333334
RANBP9	0.261166666666667
CPNE7	-1.736
EVL	0.251235294117647
LNX1	-0.288083333333333
IFNA21	0.197333333333333
CFD	1.37975
PYCARD	3.49016666666667
MYBPC2	-0.8805
ENPP3	-2.06033333333333
ACSL4	-0.86675
LOC440258	-0.8135
TMEM176B	3.87033333333333
SOX2	-4.142625
SCO1	-0.197833333333333
COMT	-0.031
AOC2	-0.2435
PDLIM5	0.298714285714286
SPHK2	0.841833333333333
NXPH2	0.6655
GPR108	0.139666666666667
RAD51L1	-0.298833333333333
TMEM54	0.677
LETMD1	-1.13044444444444
SLC6A17	0.63775
KRT75	-0.3055
STT3B	-0.744833333333333
CD3EAP	-0.0585
TMEM63A	-0.3595
DUSP13	-0.2985
CD1C	-0.523
LASS2	0.739
AVP	0.918
PITPNM1	-1.15775
FLJ22795	-0.5265
MCTP1	-2.095
TRIM68	0.389
UCK2	-0.207
ABHD1	0.6655
FAM50A	0.28825
RNASEH1	-0.567833333333333
PCP2	0.7575
OR52H1	0.6325
C20orf149	0.10125
RBP5	-0.49
HYAL3	-0.0935
CLPB	-0.6655
SMNDC1	-0.97675
DONSON	0.059
FLJ27523	0.48175
BARHL2	0.0675
SLC30A9	0.463833333333333
TMPRSS11B	-0.8465
E2F8	0.512666666666667
CCDC25	-0.642166666666667
C14orf48	0.296333333333333
C20orf116	0.47175
TSPAN11	0.3065
YIF1B	-0.8725
FAM12B	0.46475
OR1L6	0.267
HPN	1.173
NBN	1.550125
C14orf94	-0.779666666666667
OCLM	-0.6145
ZSCAN18	0.3839
L3MBTL	-2.2935
TSTA3	1.27816666666667
RAC1	-0.041625
C19orf15	-0.238333333333333
NFE2	-3.811
KLK14	0.44
ARSF	0.3035
MAST2	-0.3815
AMICA1	2.992
GTF2A1	0.677625
ATP1A3	-0.74175
TC2N	3.4629
PNKP	0.72525
ODZ2	-3.4055
MATR3	0.47025
S100P	-0.000124999999999997
KRT82	0.153
CA13	-1.0836
PROZ	-1.5355
AASDH	0.623625
C19orf40	0.6285
DCK	0.672153846153846
FAM5C	-1.92325
SLC6A4	1.924
MID1IP1	-0.5505
TESSP5	0.1295
TMOD4	0.248333333333333
DOCK2	0.200333333333333
TUG1	-0.440375
NUP214	-0.1785
DPYSL2	-1.11368181818182
GOLM1	1.64541666666667
MPFL	0.41325
SOX13	1.49975
SDCCAG8	0.9443
KEL	-1.57966666666667
NUP210L	-2.883
GK	0.633375
DNAJB1	0.782
ALPK3	-0.263
CHID1	0.2475
CYLC2	0.875333333333333
IKZF5	0.1365
C8orf51	1.25316666666667
PPM1J	1.51575
GIMAP8	3.67366666666667
GPR101	-0.9155
NR2F1	-2.3755
ACAD8	-0.53525
RBM35A	2.963
GNAI2	-0.472666666666667
METTL8	0.039
SLC39A7	-1.853
FBXO8	-0.17525
CAMK1	0.1575
RFC3	-0.622375
FAM129A	-0.0815
ILF2	-0.042
FGFBP3	-1.2785
NOM1	-0.526833333333333
PSMA3	0.64875
ASCC3	0.7563
ZYG11A	0.2345
SOX21	-1.597875
LYRM1	0.149
DEFB1	1.6135
LOC91431	-1.7385
OR7C2	1.3355
FAM46B	0.054125
TMEM18	-1.09975
ARHGAP30	2.30033333333333
TMEM86A	2.56958333333333
EPHA2	-1.19966666666667
C10orf46	1.3654
TCHH	-1.1955
C3orf30	-0.00340000000000003
LOC285636	0.218833333333333
PAIP2	0.578
CYP2U1	0.187625
C12orf34	1.1715
SARS2	-0.795333333333333
ZCWPW1	1.09725
SAMD12	1.634375
KIAA1430	-1.361625
ACAT1	-0.84575
MEOX1	0.641333333333333
ADAMDEC1	7.5335
PHKA2	-0.21775
CARD11	0.545166666666667
CALML4	-0.4995
TSSC1	-0.713
TMEM45A	-0.816777777777778
MPP7	0.387625
POU1F1	-0.04775
SLC2A13	-0.461
FBN2	-0.763571428571429
ZC3H7A	0.042
LAIR2	1.7075
ST3GAL1	1.633
LCT	-3.01475
GEMIN8	0.215666666666667
KLF16	0.2573
HIF3A	-0.3714
FAM44A	-0.694071428571428
AQP10	-1.1936
PLA2G2A	-1.7385
FOLH1	-0.167
C20orf186	0.156
MAPKAP1	-1.326625
SPRR2D	-1.2535
UBQLN4	-0.427833333333333
RSHL1	0.3395
PIAS3	0.346125
MRPL24	1.0195
GREB1	-1.85375
FAM27E3	-2.8665
NUP62CL	0.74525
NEUROG3	0.607
REEP3	2.49941666666667
MARK1	2.550375
LMBRD1	0.83975
PRPF19	-1.737
PNMT	-0.0966666666666667
CTGLF1	-0.5065
SLC25A16	1.74375
EIF2B3	-1.1125
RPA2	-0.66625
PAK6	1.30233333333333
CCDC26	-4.332125
SEMA3E	0.189125
MXD4	0.1321
TNFSF10	4.9844
SMARCB1	-0.584833333333333
DTX3L	2.67333333333333
PLA2G4E	-0.428
PPAP2A	0.414
ULK1	-0.512416666666667
TAS1R3	0.065
SLC2A3	-2.79054545454545
ARID3A	-1.98325
GNG5	0.57875
ACOX1	0.8859
KIF5B	0.465
NUP153	-0.2005
MUC7	-0.4015
CSDE1	-0.330642857142857
CLPTM1	-0.322
C3orf23	-0.643
LRRC17	-3.89283333333333
TTYH3	-0.82275
ATP5B	-1.012
ELF3	1.7011
CPSF3L	-0.227166666666667
ZNF665	0.975333333333333
TLR6	1.3447
GPI	-0.288375
RAD9A	-0.110875
NDST4	-3.52925
AGPAT3	0.918666666666667
MAGI3	0.531333333333333
ADORA2A	0.477375
CACNG7	0.27
CAMK2D	-0.180071428571429
CCHCR1	-0.296
RPS27A	-0.78625
OR10G7	-0.299
GCM2	-0.2605
FAM135B	0.264
E2F1	-0.746
PLCB3	-0.6425
OR2AE1	0.32
COIL	1.04983333333333
CDC25C	-0.384666666666667
RAB11FIP2	-0.108083333333333
TSC2	0.1545
CTGLF5	-1.423
CCDC108	0.4284
OR13C4	0.5305
C10orf81	2.787
PTPRB	0.249
ACP2	0.69325
LAG3	4.054
MRPL54	0.85725
LOC201175	1.2645
ITGB1BP3	-1.631
SPTAN1	-0.566833333333333
SIPA1L2	-0.4835
RCAN2	-1.1205
CDX2	1.758
ECOP	0.44275
ACTR1A	-0.167642857142857
PPARG	-1.66283333333333
BBS10	0.6715
TMEM44	-1.1875
BPIL2	0.71675
CITED1	-1.40425
IRF6	3.4735
PRDM4	-0.096
RRP9	-0.7455
OR10H4	0.499
IL31RA	-0.66925
GNB1L	-1.35866666666667
MYBL2	-0.296625
ZNF407	0.354666666666667
PPIG	0.662
TTC18	4.35975
RPSA	-1.3135
MAPT	-0.3915
MRE11A	-0.152
C8orf37	0.9665
RASGEF1C	-0.246333333333333
STBD1	0.498
CTAG2	-0.204166666666667
MGAT5B	-1.0335
ECM1	0.304875
RLN1	1.498
PARP14	2.588875
EPB41L1	1.222
HOXA3	-1.72566666666667
MAGEA9	-4.06725
RPS8	-1.49466666666667
RPS19BP1	-0.4045
FOXJ2	0.186375
C10orf76	0.173
IL17RE	0.41775
C10orf65	-0.77825
ZNF343	-0.191333333333333
FBXO33	-0.680125
UHMK1	1.0779
LY6G6C	0.394
FGF19	-1.9025
C14orf128	-1.21533333333333
IFIT2	4.677875
TIGD1	-0.1625
S100G	0.1485
GUCY1B3	1.0455
NR3C1	-0.4913
CORO1B	0.4135
PARP11	1.34941666666667
DNALI1	3.0425
OR4N4	0.15275
MAP2K6	-0.368
FSTL4	1.86425
ANKRD47	0.895
TMEM171	-0.7005
PNLIP	-2.05233333333333
YY1	-0.693833333333333
CCDC138	-0.882
AASDHPPT	-0.5165
CKS1B	0.634
MCM3	0.408166666666667
ANAPC7	-0.610833333333333
FAM110A	2.331
CDC37L1	0.803666666666667
THTPA	0.32175
NBPF20	-0.9685
WDR24	0.5835
NPTX2	-4.243
CBLB	0.694333333333333
CETN1	0.0303333333333333
RPUSD1	0.3895
FAF1	-0.4645
CDK6	-3.0524
HMX2	0.1675
CSK	0.304
TEAD2	0.74125
SNAP25	-2.06275
TUFT1	1.9465
TMTC3	0.913166666666667
LCK	0.38375
SGOL1	0.0965
AKTIP	0.667
FURIN	0.291125
SOX12	-0.899
DEFB103A	-0.547
RAMP1	0.93425
KIR3DX1	-0.698
GAS2L3	-0.523
PDE8A	-0.6969
EDN3	-1.8235
GMIP	1.17125
SF3A2	0.76175
FN3KRP	0.29775
SMAD7	-0.40875
RHBDD2	0.0535
OR11H6	0.3385
PPP1R3B	-0.4767
C9orf23	0.18075
CADPS	-1.414
GOLGA8A	-3.725625
TMEM57	0.657833333333333
RGL3	-0.5495
S100A14	2.91525
FGFR2	1.0415
XRCC3	-0.547
RTN4RL2	0.53875
MGC3771	2.0485
GH2	0.247
BTBD2	-0.38275
LMO2	-0.19775
RDBP	-0.31325
ACRBP	-0.9855
AMY2A	0.2225
DUOXA1	0.43
PTK7	0.237666666666667
TWF2	-0.341666666666667
FAM80A	-0.0665
TNNI2	-2.47116666666667
GLT25D1	-0.618
OCC-1	-1.17625
CYC1	-0.253
RPL22	-0.406681818181818
MORN3	0.8625
DISP1	0.94675
PRB2	-0.2135
CHUK	-0.26975
HR	-0.47425
CCDC134	-0.43625
DENND4B	-0.53175
C14orf130	0.0828749999999999
RAB33A	0.2525
DCST2	0.4865
TNMD	-2.58225
PEX7	1.23225
FAM62A	-0.36075
SRD5A2L	0.6755
IL22	0.36925
RPS26	-0.569833333333333
HOXC5	0.1075
SPATA6	0.823
FLJ38482	-0.732
ZNF234	0.756
C18orf22	-0.9425
SPATA22	0.541
THOC1	-1.20725
CYP7B1	2.96425
KCNC3	-0.18225
C8orf42	0.557
ALDH1B1	-0.3875
CCDC100	0.3448
ARMC4	-0.4315
FAM18B2	0.25925
SLC44A1	1.15575
FBXO17	-0.835
C6orf107	0.6685
C19orf29	0.3485
ZC3HAV1L	-0.43825
PARP6	0.1077
SULT2A1	-4.433125
C1orf159	-0.14525
TMC1	0.59225
CHST14	-0.73075
GAMT	-1.02233333333333
SMCP	0.4205
TSPAN33	1.16466666666667
MIDN	-0.573125
NOX4	0.67
RNASEN	-0.7862
TBX1	1.51066666666667
SALL2	-0.3855
C10orf35	3.2255
CYP2E1	-1.889125
LRFN2	2.87783333333333
ACO1	-2.51366666666667
IQCG	0.5371
MEGF9	0.7925
TM7SF4	1.1295
PLEKHA1	0.436266666666667
STK33	-1.48475
C1orf210	1.8005
SNUPN	0.5688
KIAA0406	-0.2401
C20orf29	0.02475
TMEM55B	0.1455
OSTM1	-0.00468749999999992
CLCN7	0.167
OTP	0.10725
FLJ23049	-1.12775
HEATR4	0.5935
MAP3K10	0.600833333333333
PCDHGA9	0.5105
AMDHD2	0.02525
LCTL	-2.2015
PDCD2L	0.08075
CABLES2	0.32025
SLC5A9	-0.84625
CLCA2	-3.8395
MGC16025	0.6755
STRAP	-0.299833333333333
C20orf196	-0.0475
RRBP1	0.574666666666667
NAT13	-0.53925
MAT2B	0.553625
CSNK1D	0.109333333333333
KIR3DL1	1.1025
PRKAG3	1.1265
ZNF599	-0.709
PRM3	0.6785
PER2	0.387166666666667
ASPHD1	-2.548
PRMT6	0.03875
KCNE1L	0.354857142857143
FAM118A	-1.00216666666667
TAF4	0.31825
NDUFB6	-0.542
TRIM9	-2.074
PMFBP1	0.1075
KY	-0.276
DKFZp762E1312	-1.385
CSMD1	-1.39325
TBP	0.293166666666667
OR1Q1	0.366166666666667
RETNLB	0.2605
HPGD	0.131285714285714
DNAJC12	1.19416666666667
FKBP1B	-2.8325
ANKRD24	0.309333333333333
CXXC5	0.216166666666667
IL3	-0.036
DRAM	1.6682
PTCH1	-0.506125
TP53BP1	-0.4375
SLC17A7	-0.2065
COL25A1	-1.7145
AMACR	-0.336666666666667
RHCG	1.13425
VPS13A	-1.15833333333333
FAM55D	-0.0505
PRPF38B	-0.210833333333333
OSBPL6	0.28225
PFDN5	0.3317
CMTM6	0.3515
KCNK12	-0.65825
RP2	1.10175
C16orf52	-0.4035
PICK1	-1.002
IFNE1	-1.28083333333333
SEMA4B	0.86025
TYRO3	-1.853
OR12D2	0.104
CSNK1A1	-0.1865
FANCF	0.49775
LONP2	1.37325
TBL1Y	0.09225
LDOC1L	-0.384
CCNC	0.9635
C3orf60	-0.0345
CHKA	-0.51425
UBAP1	-0.15475
MAP3K1	1.643
ANKRD9	-1.1215
FAM92A1	0.2925
GAB2	-0.09275
AZU1	-0.183
DIS3	-1.14433333333333
C21orf109	-1.54925
IQCB1	-0.17725
SPATS2	-0.0105
EFCAB3	-0.3305
PRB3	-0.010125
FUZ	0.425
ZNF813	1.43775
BMPER	-1.733
HEG1	-0.68875
ALS2CR11	-2.3005
SURF2	0.0645
PSMC1	0.155666666666667
OR2D2	0.4205
SLC7A8	2.2405
C4orf40	0.589
SPATA7	0.058
MAZ	-0.44775
PIN4	0.23475
PDE1A	-2.454875
TAF6L	0.266833333333333
OR2T34	0.2095
KIAA0284	-0.4375
ACADS	0.193909090909091
MKRN2	-0.572
C18orf56	-0.998
MS4A6E	0.2185
GALNT4	0.1539
C22orf31	0.2635
FLJ36070	0.3115
PSME4	0.67225
TFG	0.1359
EPHX2	0.9895
ANXA5	0.153125
KRTAP1-1	0.8214
BATF	2.78625
KARS	-1.16225
MSTP9	-0.776
GPR26	0.34825
CCDC72	-0.24575
TEF	0.322666666666667
FOXK1	-1.0892
PRLHR	0.132
EMX1	1.678
C11orf30	-0.78175
ICK	1.770125
THSD7B	-0.49775
C21orf100	-0.6525
DUOX1	0.8105
EFCAB4B	0.096
UBE2G2	-0.428
C3orf54	-0.69325
PARP1	0.433
FAM60A	-0.341083333333333
C6orf146	0.308
OR9K2	0.355
DDX55	-0.711166666666667
RPS15	-0.434083333333333
ZNF618	1.0263125
DKFZp686D0972	0.22525
SSPO	-0.964
SHFM3P1	-0.194833333333333
CPA6	-0.44025
JAG2	-0.3415
DEFA3	0.34325
PPBPL2	-0.202333333333333
CD34	3.3025
SLCO4A1	-2.15175
AFG3L1	-0.958833333333333
SHD	-0.4085
RP13-122B23.3	-0.393
PRKCSH	-1.29583333333333
DPH5	-0.486666666666667
HLA-F	3.47475
TBC1D4	-0.97625
RIG	-0.3436
GLUD1	1.03166666666667
HNRPCL1	0.234625
HBXIP	0.55975
RNF207	-0.782
APIP	-0.29225
PLA2G3	-0.504
CCDC84	-0.5505
MYLIP	-0.0526153846153846
PHIP	0.38725
AARS2	-0.114166666666667
DHX32	0.40875
SCAPER	0.133833333333333
MEN1	-0.267875
NIP7	-0.62425
FLJ25404	-0.021
FASTKD3	0.424
TMEM158	-2.83958333333333
RARA	1.1235
BDH1	1.2175
ANKRD16	-0.0415
CARM1	-0.445
SS18	-0.142666666666667
IKZF2	0.359333333333333
MYD88	0.418
PML	1.266
TAF1A	-0.117
CBFB	0.55925
HIST1H3H	-0.973833333333333
C7orf29	-1.80275
COMMD4	0.320166666666667
DPP3	0.3505
DAB2	0.144125
LOC388882	0.1275
YPEL4	-0.789125
AGBL3	0.5935
LRP6	0.2248
SERPINH1	-0.96025
TLE1	0.069
CD244	2.391
ZDHHC15	0.28375
MGLL	-1.3004
PLDN	-1.06491666666667
LOC654346	2.655
FAP	0.977
GPR37	-1.58233333333333
SCARA5	-0.383166666666667
EBF4	1.28445454545455
LSM6	0.32975
MLLT1	-0.2345625
SLC5A12	-0.03375
A2BP1	-2.09133333333333
COPS5	0.467333333333333
TPM4	-0.509571428571428
TNFSF4	1.70583333333333
ACADSB	1.50183333333333
HERPUD1	0.40675
BCL2L11	-0.285277777777778
CEP78	-0.547
CDCA3	0.0745
WBSCR19	-0.3161
MYO1A	-1.456
PPEF1	0.7675
LOC440348	0.19525
CPEB2	0.765
BPTF	0.508333333333333
RPL21	-0.6860625
GSX2	-0.111
ADPRH	1.52033333333333
C17orf68	0.2415
KCNS1	-0.305
MLLT6	0.0203
PIWIL4	0.99
RNF26	-1.31275
RAP1B	0.53775
ADAMTS1	-2.6186
ZNF571	0.56475
P2RY6	1.19875
TRIM21	2.18033333333333
CADM3	-0.0775
NLRC5	1.9935
ADRA2B	0.0248333333333333
LOC90835	-0.3745
PCF11	-0.1905
LOC400451	1.85825
GLTSCR1	0.5743
C17orf88	-0.674333333333333
CDH16	-1.55825
FGF7	0.430875
PCSK4	-1.36833333333333
NPC1L1	-0.0893333333333333
TAT	0.138
TBCA	-0.082
MGC33407	0.1405
GPR115	-1.147375
CYGB	-0.3085
FNBP4	-0.922333333333333
C12orf43	0.12025
CBL	-0.2841
CLECL1	3.1525
PPAPDC1A	-0.36625
WDR25	-0.194833333333333
SGCA	-0.092
C22orf29	-0.125833333333333
YIPF1	0.5815
GALK2	-0.16125
RAB3B	-3.5375
LOC440087	4.108
UCP1	-0.401
REEP5	-0.0685
FADD	1.8619
FOXA1	3.01775
CACNA1A	0.190166666666667
ABI1	0.129166666666667
GRIN2D	0.962
SLC1A4	-0.0981666666666667
LOC401127	0.16325
HINT2	0.5775
PLD4	0.144833333333333
ZNF286A	-0.22
ENY2	0.73325
IL1F6	0.4695
PXDNL	1.36825
C20orf79	0.73425
TNFSF13B	4.55333333333333
DENND3	0.176125
JARID1D	-2.7795
HIST1H2AK	1.07275
LOC93349	1.0005
SSH1	-0.6653
ENSA	0.21575
LOC219854	0.0588333333333333
CKAP2	0.3292
DKFZP564J102	-0.574
MGC87315	-0.930666666666667
HNRPAB	-0.9515
AMH	-0.599
ZNF526	0.5195
BRUNOL5	0.1127
CACNG3	0.126166666666667
TRPM1	-2.5235
PPP2R1A	1.39175
COL2A1	-0.58275
DDN	-0.0763333333333334
FLJ25770	0.268583333333333
HK2	-1.56321428571429
ELOVL6	-1.092625
MDK	1.29875
EPHX1	0.918
RASSF2	0.676125
DKFZP434B0335	-0.3245
DLX3	0.9165
PRTN3	-0.35
AVPR1A	0.50775
C21orf125	-1.7425
TNFAIP8	0.214833333333333
GNB2L1	-1.134
CALCRL	2.06525
SCGB2A2	4.18916666666667
UBXD7	0.029
ZNF674	0.7035
TMEM35	1.406875
BRSK2	-0.3155
HECTD3	-0.736833333333333
TMEM188	0.0888333333333333
LGALS9	2.955
SCARB2	2.333
USP34	-0.0678333333333333
C17orf28	1.7015
ZDHHC23	-0.6305
AQP12B	-0.138
SLC16A3	-1.562125
APLP2	0.1945
ITIH2	-3.94925
MICAL3	-0.534625
TNNI3K	-0.6641
HDAC2	0.918375
PRR7	-0.6373
THBS2	-2.021
LOC751071	-1.256
CA2	6.6025
RANBP17	0.4775
RLN3	0.151
CRYZ	-0.491833333333333
GBAS	-0.045
TAS1R1	-0.329
MPZL3	1.9925
