Hybridization REF	TCGA-E2-A15L-01A-11R-A12D-07
ZNF384	-0.2965
FAM9B	-2.6905
RPN1	-0.0368
PMVK	1.1595
EIF3D	0.4164
SIX2	0.873
HPS1	0.317571428571429
RNF7	0.0705
PSKH2	0.0745
KCTD13	-0.294333333333333
CSMD3	-0.947888888888889
FBF1	0.342
IL8	-3.194625
SERPINB13	0.557
FBXL20	0.315
BLR1	0.53175
SH2B1	-0.270166666666667
RFNG	0.271
RAB20	0.960666666666667
RBM7	0.09525
POLR1A	-0.305
TMPRSS4	-3.4915
TAF9	0.157875
TERF2	-0.163
TNFRSF1A	0.736083333333333
ACADVL	-0.0256666666666667
GTF2H5	0.4525
EDG8	-0.575
C9orf140	-0.532125
UST6	0.152333333333333
ZBTB8OS	-0.3875
ZNF710	1.4335
GPR174	-2.0785
ATP6V0A2	-0.66725
KIAA0319L	0.53725
XKRX	-1.2355
DOPEY2	2.1437
SDHD	-0.0143333333333334
SUMF1	2.36375
OSM	1.07775
OPN3	-1.29675
DAGLB	-0.305166666666667
PPFIBP1	0.8347
TRIM63	-3.2375
C10orf53	0.195
LYPD3	0.5405
BCL7A	0.141375
AGER	-1.568
TCF19	-0.9095
SAT2	0.36975
PFTK1	1.146
GABRE	-3.454625
C15orf38	2.0829
FIS1	-0.0605
KCNV2	0.259
CLPS	-0.188
PPCDC	-0.17725
FOXN2	-0.622
NT5E	-2.7478
CD83	-0.648
IL18	-0.495375
VPS16	0.1425
IGFBP2	-1.38333333333333
NOTCH2	0.78275
SIGLEC1	1.375125
CD93	5.731
SULF2	1.871
CEP164	-0.509375
P53AIP1	0.0365
TOR2A	-0.152166666666667
ZNF136	0.19625
MGP	3.7741
CCDC144A	0.786666666666667
TRPC1	-0.479
SMS	-1.35983333333333
MAPK7	-0.485
RRAGC	0.43175
PARD6A	0.204
NUB1	0.337
SYNGR4	0.683
OR11H12	0.418
WIF1	0.489714285714286
GCH1	0.212
OR11H4	0.328
SLC44A5	1.9505
GPRIN2	1.7535
LOC401431	-0.57125
CPA4	-3.2684
MELK	-1.70988888888889
IL15RA	0.079
CUL3	-0.084375
HMBOX1	0.278
PODXL	-1.83325
CCT6B	1.15233333333333
COMTD1	-1.0375
MUC20	1.573
GPX2	-3.986375
ITK	-2.5625
FBXL5	1.544
C13orf27	-1.2255
DEFA5	0.024
TRHDE	0.121
MTP18	0.0171666666666667
UQCRQ	0.3068
ITGB2	1.53908333333333
CSRP2BP	0.474
TAS2R44	0.1265
PHPT1	0.19425
FAM44C	-0.081
ERH	0.000999999999999998
MPHOSPH1	-1.28166666666667
MORC1	-0.135
PARVB	-0.57925
LAMA1	-2.05245454545455
PGBD3	0.295
GIMAP6	4.164
AREG	-0.169833333333333
LIPT1	-0.10175
MGC99813	-1.123
C1orf201	0.105666666666667
GRIN2A	-1.0995
MAN2C1	-0.63075
NSUN5	-0.824
SF3B5	0.04025
MYC	-1.117625
NRXN1	-0.212444444444444
ZNF18	0.8255
SPDYA	-0.029875
SLC37A1	1.168
DECR2	0.48675
ANKRD38	2.293125
SPTLC3	-0.649166666666667
SUPT16H	-0.41325
DTWD2	1.42625
ULBP1	-0.89
ZADH1	0.531166666666667
OIP5	-1.722
IL10RB	0.139833333333333
OTUB2	0.33525
VWA3A	-0.034
SPIC	0.0896666666666666
OR6C4	0.00799999999999999
PSCD4	-0.0701666666666666
DPY19L2P2	-1.3055
TRAPPC6A	0.8055
C21orf2	-0.429666666666667
CEMP1	-0.39325
LIN7B	-0.0995
E2F7	-2.3305
VCP	0.2630625
LAMA3	1.0955
BGN	2.9205
GPR160	1.63083333333333
COCH	-4.928
GPR81	1.92533333333333
APOBEC3F	-2.15
tcag7.1017	-0.75875
C1orf32	0.263
SCGB1D2	2.077
FLJ43987	-0.9825
C6orf170	0.45325
KLK9	0.202
GPD1L	0.79275
VPS37B	0.50625
ATG3	-0.464333333333333
ADAMTS17	-0.8755
KLHDC2	0.553666666666667
NDUFV2	0.53475
BLK	-2.962
MATN4	-1.608
GPM6A	0.75475
GBP4	1.90333333333333
TMEM162	0.134666666666667
PKP2	0.6045
HRASLS	-3.135
MMP1	-2.64075
SFXN3	-0.2263
FSD1	-1.95866666666667
ST6GALNAC3	-2.0305
CA12	3.3662
NCOA6	-0.0605
C19orf58	-0.1427
PPP4R1	0.6985
MAN1A2	0.600166666666667
IKBKAP	-0.55875
UPF1	0.0238333333333333
KIAA1219	0.1215
WNT16	-0.7318
SNW1	-0.103
IL18RAP	-0.27275
RPP30	-0.600875
CDC40	0.0269285714285714
SETD3	0.272333333333333
SLAMF6	-0.249
ELK4	-0.315
TRIM47	-0.0383333333333333
ACOX3	2.140375
TRIM6	0.366625
KIAA0372	0.489333333333333
TP53AP1	1.003375
SMURF2	0.0395
ADAD1	0.154
EBP	-1.6227
KRTAP13-2	-0.727
FLJ36874	-0.812833333333333
TOR1A	0.1105
P2RY4	1.0165
GPBP1	0.25225
TRPV1	-0.26975
ADAMTS12	1.2715
PES1	-0.4777
ATG4A	0.6645
MAGEA10	-4.6005
WFS1	0.98025
CC2D1B	0.0476666666666667
PABPN1	-0.49775
SLC25A30	0.29325
SLCO1C1	-0.297833333333333
SLC22A5	1.32325
KIF23	-1.19966666666667
SYN2	-0.511
ASPN	8.35366666666667
CENTG2	0.6455
QSOX2	-1.6515
FLJ10815	-0.581166666666667
STK24	0.0145625
SPEG	-0.647
STK10	-0.460333333333333
DACT2	-2.602
AAAS	-0.90125
SSX3	-0.898428571428571
ABCD3	0.1745
C4orf12	-0.6315
PARVG	0.415333333333333
FIG4	1.112
C9orf46	1.26275
TMCO6	-1.0155
IGHMBP2	-0.585
DUS2L	-1.18233333333333
FAM3C	-0.39575
TMEM16D	-2.30825
DCTN4	0.765
KCNH3	-0.4595
EIF2AK2	-0.23675
AP1S3	0.24375
CST4	-0.795
PAM	2.09225
NUTF2	-0.7825
CITED2	0.4392
SLC39A4	-0.52725
C2orf52	-0.432
GRM3	-0.25075
C12orf49	0.754125
CCDC49	-0.1664
GRAMD1B	-1.479375
FNDC4	0.54275
SIAH2	1.2235
GDPD4	0.652333333333333
C21orf87	0.775
ATP5A1	0.0325
C16orf63	-0.992875
LOC388135	-0.915833333333333
ATP5J2	-0.886
MMP3	-2.86075
EMID2	-0.531
CRHR1	0.491
WDR70	0.654
C13orf31	1.80225
ZFAND1	-0.04925
CCL18	2.78283333333333
C3orf49	-0.5155
RINT1	-2.023
KIAA0408	-1.66883333333333
F13A1	5.9312
SLC10A1	0.0485
OGN	0.86625
GIPC2	-1.64933333333333
XPO6	-0.793
LCE1A	0.954
FMR1	-0.0967
LOC374920	-0.464
DUSP3	0.455125
ANKMY1	1.49525
C7orf50	-0.42225
BBS9	-0.4072
UNC119B	-0.57925
C9orf72	-0.29675
MGC35440	0.19925
ENTPD6	0.1935
PPP1R2P9	0.167
ERCC4	0.25
FAHD2B	0.292
HMHA1	-0.9075
HACL1	0.6685
RAD23A	-0.350666666666667
FAM83B	-0.83925
PPP5C	-0.823833333333333
RNASEH2C	0.156125
C9orf153	-0.54625
SCAMP4	0.563125
GHITM	0.5342
NDUFB7	-0.04775
ADCYAP1	-0.6794
SP110	1.09566666666667
MAP3K7IP2	0.455
DHH	-0.2815
AGRN	0.099
WDR33	-0.862666666666667
CEP290	-0.00466666666666667
PRPS1L1	-1.589
KLRA1	-0.9115
GPR97	-0.917
CHD7	-0.946666666666667
TLR10	0.31775
SLC30A8	0.031
HIC1	1.31783333333333
IAPP	0.4195
RXFP4	0.1195
GP1BB	1.071
SHQ1	0.886
NKX2-3	0.0961666666666667
API5	-0.27075
FTHP1	0.5975
MOV10L1	0.115666666666667
TRIM6-TRIM34	1.97583333333333
ADHFE1	0.6395
FAM117A	-1.23625
DDI1	0.0958333333333333
CDON	1.40616666666667
TRIM73	-1.731
IGKC	4.5455
MMP14	1.23041666666667
DYNC1LI1	-0.26525
C11orf66	0.39075
TRBV3-1	-1.527
FASTKD5	-0.9885
BIVM	-0.87425
LHX4	0.05175
CXCL2	-1.4278
RAB2B	-0.379333333333333
IZUMO1	-0.556333333333333
MAP3K15	-1.82928571428571
FAM19A2	-0.0215
ZC3H8	-0.403833333333333
ZMAT1	2.499375
SPINK5L3	-2.61125
SLC10A6	1.968
APPL2	0.425625
CARD10	0.128333333333333
LOC402176	-0.63275
EEF1D	0.2355
RAB6A	0.6696
C12orf5	-1.021125
PAPOLG	0.57575
MSRB2	0.79225
BCR	0.704944444444445
PUS3	0.08125
TIAM2	0.7885
ZNF317	0.110666666666667
CHD2	0.441571428571429
FZD5	-2.28968181818182
NUDT8	0.1065
ZNF763	-0.1275
PRC1	-0.661555555555556
ABCB9	0.5275
SPATA3	0.2525
TRAK2	0.881625
STAB1	3.025
LRRTM2	0.129666666666667
psiTPTE22	1.21475
DBI	0.04125
SERPINA11	2.1075
NAT5	0.2625
C20orf58	-2.056
RPS6KA4	-0.2875
FLJ90650	-0.1335
TGFBRAP1	0.09375
CHRDL2	0.074375
FAHD2A	-0.1385
CNTN1	-0.2975
BBS4	0.7595
TMEM181	1.2705
MINPP1	-0.08775
MPHOSPH6	-0.803916666666667
HOXC10	1.0202
ITPKB	0.128
CLPTM1L	0.5885
MEOX2	-1.7745
ATP6V0C	0.17625
PRPF8	-0.0863333333333333
TMC5	3.1035
FKBP3	0.083
PLEKHB2	-0.316625
OR4D6	0.758
ZNF544	-0.5664
D2HGDH	0.17975
RPL18A	-0.5267
HEL308	-0.095125
MPP6	-4.272
TCERG1	-1.58425
KRT16	-1.17033333333333
KLF17	-0.8905
KLF5	-1.762
CDR1	2.277375
VCX3A	-4.088
FBLN2	2.371625
C14orf104	-0.1995
HBE1	-5.2364
OR4S2	-0.1255
C1orf108	-1.067
ROBO4	3.607
CPEB4	1.97642857142857
C11orf80	0.711166666666667
BCKDHA	0.962333333333333
MYOC	0.606666666666667
GIF	-0.2405
CKMT1A	-2.475
RPL3	0.7612
THBS1	4.122
APOO	-0.8175
ARMCX1	2.239
HSZFP36	0.11975
SNAPC5	-0.486
EIF4ENIF1	0.53175
ZNF433	0.4235
TNFRSF21	-0.036375
TMPRSS7	0.085
SPATA18	0.706
HPDL	-3.857
MKL2	1.3639
TBX3	-0.156461538461539
C21orf93	0.171833333333333
DAXX	0.0665
ELMO1	-0.60075
RGS13	0.984
TAF11	-1.0205
UNC13A	-2.2405
LOC653314	-0.1154
ORC3L	-0.12225
IMAA	-3.4025
TARBP2	-0.64325
CABIN1	-0.0501
TRIOBP	0.40275
HIST1H2AC	1.410375
RGS22	-0.453833333333333
NCOA1	1.9105
IL25	1.445
SNCG	0.0965
GPR6	-0.082
AMDHD1	1.3395
CHEK2	-0.37675
C6orf142	-1.45875
DRD4	0.63475
C14orf68	0.1005
GDF11	-1.181
SEMG2	0.2185
CD247	-3.12725
CDAN1	-0.572
RBMX2	-0.125
TGS1	-0.53575
OIT3	0.389666666666667
SYF2	0.39675
MCM4	-2.137625
PKHD1L1	0.601625
CEP192	-0.561166666666667
IFT88	1.11875
RPL9	0.253857142857143
RAB32	-0.1965
DDX43	-2.03475
P2RX2	0.2465
OR5D18	0.2465
UBE1	0.145166666666667
SLC24A1	1.128625
ARHGAP5	-0.2195
CETP	-0.37775
KIAA1731	-0.866333333333333
SLC9A4	0.2225
PTPN6	0.8205
BAHD1	0.1555
GRIK3	0.039
CACNB2	-0.963
PDE10A	-0.58525
DGCR14	-0.399
PCDHB9	-0.963
RHOQ	0.289666666666667
MAP3K4	0.09025
KTI12	-0.107333333333333
RPL23AP13	-1.14475
GNG11	-0.8985
CLCN3	0.582333333333333
GPAM	-0.982625
VSTM2A	-0.6215
SLAMF7	1.1455
INTS2	-1.174
PPP2CA	-0.0389
LRP12	-0.0894
SEC14L2	3.84277777777778
DKFZP586H2123	1.16075
MC3R	-0.7845
CIRH1A	-1.99766666666667
HIST1H2AB	0.0436666666666667
POLH	-0.643125
MGC16703	-2.31283333333333
SNAPC2	0.153
FILIP1L	2.278
RASGRP4	0.343
LRRC1	2.6825
GAS1	2.19975
PRAC	-1.23275
DGKA	-0.503
NT5C3	-1.4025
PEG3	-2.589
NADK	-0.32275
PRR17	0.751
LOC374569	-0.6555
SGSH	0.893
NLRP8	1.8975
GALT	-0.6502
MCF2	-1.6445
ZNF263	0.35975
TACSTD1	1.42866666666667
TYR	-6.8534
ATP6AP2	0.63075
RNUXA	0.342
ABHD10	-0.00520000000000001
GDPD2	-0.918
SLC35C1	-0.52775
UBE2A	-0.227125
HERC5	-0.961166666666667
FAM112B	-5.3675
FBXL16	0.7525
DKFZP434A0131	-0.9525
ELA3A	-2.6925
RBM41	-0.833
HAO2	-0.65275
RNH1	0.3885
SHANK2	1.20166666666667
OSBP2	-1.691625
DAK	0.4505
C3orf58	-0.95325
TCL1B	-0.1885
KBTBD2	-0.39025
SUGT1L1	1.319
UBE2E2	0.548833333333333
MYL9	3.392875
CDC23	-0.785666666666667
PBXIP1	1.5457
CXorf40B	0.9085
NBL1	1.38775
RTBDN	0.0105
RAB11FIP5	0.52225
TTTY13	-1.156
SCOTIN	-0.112333333333333
SOHLH1	-0.6025
CDKN1A	0.213142857142857
NCK1	-0.22025
ZNF550	0.399
SAPS3	0.39625
SPIN3	-0.000666666666666663
MAGEE2	-0.67175
MIS12	-0.634833333333333
OR8H2	-0.0295
KIAA0774	-1.46166666666667
UNC5D	-2.3055
CUL7	-0.0503333333333333
LIPC	-3.357
DIO1	-2.437
C20orf11	-0.2771
CTRL	-1.19675
HS3ST2	3.132
PAK4	1.0315
CCRL1	2.3065
RNF10	0.304625
ZNF567	0.58225
ZNF660	-0.765
TCEAL3	1.9075
MAGOH	-0.560166666666667
CENPB	0.0938333333333333
C19orf7	0.043875
LOC388965	-0.00925
ZCCHC13	-1.737
JMJD1A	-0.693
HIST1H4H	0.3605
TBRG1	-0.3545
GPC3	-5.2955
TAF1C	-1.0625
EBNA1BP2	-0.666166666666667
CIAPIN1	-1.207
PDGFRA	-0.320833333333333
CSTB	-0.8225
CENPI	-1.70633333333333
GTF2E2	-0.648333333333333
RPP21	-0.43625
CCNF	-1.53283333333333
KCNQ3	0.56
FAM79A	1.32375
SLC22A12	0.3865
NOVA1	1.0915
FZD3	0.5539
AKAP8	-0.73925
SOCS5	0.54125
CFDP1	-0.97775
DLG5	0.85
PGM5	0.0928333333333334
C1orf144	0.290083333333333
HDAC10	-1.0595
RND2	-1.203
C20orf199	-1.0255
RNMT	-0.319625
SLURP1	0.357125
ASTN1	-0.224714285714286
SH3BGR	0.756
MYCL1	-1.249375
ZHX1	-0.0166666666666667
CENPK	-1.14575
FOSB	1.8994
LOC643406	0.11
C2orf59	-0.200375
TMEM135	0.0375
SLC27A2	-3.44025
KRT33A	2.088
OVOL1	0.40475
PAMCI	-2.01266666666667
S100A7	-1.042
ZNF789	-0.824
HARS2	0.035
RPL23A	-0.274833333333333
TCF23	0.078
UPF3B	-1.226875
C17orf78	-1.064
HLA-DOB	0.0535
C14orf142	0.562666666666667
TEKT5	1.821
DMWD	0.1975
POLD1	-1.70283333333333
GSCL	-2.38
CALD1	1.2371
SCRT1	0.479833333333333
AIG1	1.33325
UNC84B	0.2375
ZNF404	-2.69825
TMED6	-3.28575
KIAA1462	1.5335
LRRC27	1.7095
PYGO1	0.2915
PIGU	-0.357166666666667
ALAS2	-4.05116666666667
WRNIP1	0.31475
CNNM3	0.6085
ZNF2	0.70225
ST3GAL5	-0.176
MRPL23	-0.378
TSSK6	-0.21425
PSMA6	-0.367
C16orf70	-0.51625
KIAA1602	-0.2075
ALMS1	0.207333333333333
DCN	3.190875
TMEM132D	-0.697666666666667
SUCLG2	0.60525
ABHD14A	0.2425
DEXI	0.191333333333333
AMPD2	-0.8275
IFNAR2	-0.8465
CYB5A	2.6299
TLOC1	1.1676
NXF5	-0.292
NRBF2	0.024
KCTD3	1.8185
ITGAE	0.159666666666667
SLC30A3	-2.659
ZRF1	-1.222
IFRD2	-0.609125
XAB1	-0.1925
PYCR2	0.160666666666667
SERPINB3	-4.4295
TMLHE	-0.0891
GEFT	-0.868625
ABCA5	-0.975875
EMR4	0.210166666666667
TSFM	-0.18875
HIST3H2BB	-0.33975
ARHGEF19	0.93975
TSPAN17	-0.0816666666666667
ABCC8	3.093
MAP1S	-0.251833333333333
C22orf36	0.38175
BNC2	2.46085714285714
HIST1H4A	-1.0475
NDUFS3	-0.257666666666667
WDR3	-0.771833333333333
XKR4	-1.2755
TTC33	0.0649285714285714
STMN2	5.66325
CPN2	-1.63966666666667
HSPC105	0.979
PCOLCE2	-4.26775
C3orf55	1.534
KLHDC9	3.01416666666667
TBC1D23	0.174625
ATXN2L	-1.29925
MAP2K3	-0.0151666666666667
SCAP	-0.344
ZNF486	0.225666666666667
C20orf96	1.59275
NARS	0.03775
ADAMTSL1	-0.130571428571429
PRCC	0.771666666666667
CCDC126	2.08216666666667
ZNF675	-0.00299999999999999
CALCOCO1	0.52775
ANKRD43	4.2225
CWF19L2	0.375833333333333
ZBTB32	0.5215
BRAF	0.72125
ODF4	0.35825
MGC14376	0.31
HORMAD1	-2.7536
AAK1	-0.151545454545455
PEBP1	0.547083333333333
TNFSF5IP1	0.0326666666666667
DKFZp564N2472	0.000500000000000007
RMND1	0.248625
IGKV1-5	5.676
COL1A2	4.0705
SERPINA5	-1.254
AANAT	0.13
C19orf21	0.909
GEMIN5	-0.2585
UBR4	-0.5935
LTBP3	1.05616666666667
AMHR2	-3.1475
PROCR	-1.70425
MYBBP1A	-0.84875
C20orf39	2.743
ZNF697	-0.092875
PASK	0.128
ZNF776	0.393166666666667
RFXDC2	-0.067375
KIAA0467	-0.192
C10orf96	-1.1875
ZNF503	-1.03975
GULP1	-0.256666666666667
KCNE4	3.34833333333333
DKFZp434K191	-1.200125
LOC196913	-0.932
BHLHB4	1.0475
CH25H	-1.844
LOC81691	-0.673333333333333
ALPL	-0.2345
COL12A1	3.760375
FOLR3	-2.84933333333333
GPR123	0.502714285714286
TRIM62	0.542642857142857
ABLIM1	0.460666666666667
MAST3	-0.17325
RHBDD1	0.668166666666667
LOC338809	-1.075
RYBP	1.17675
TTC26	0.18
ZNF22	0.118
ISCA2	-0.44725
RDM1	-0.323
PIGM	0.60025
GNB3	-1.6935
ACTR2	0.1627
HMGB1	0.2941
EDG1	2.55283333333333
SOAT2	-4.0295
OR10AD1	1.1515
RAP1GDS1	1.23883333333333
LCE1F	0.9995
ESM1	0.126875
RCN3	2.5215
CREBL1	-0.46425
DBNL	0.0591666666666667
PTGER3	0.68475
USP30	0.44
BCL2L12	-0.895666666666667
KIF26B	2.326
ZNF416	0.7735
ZNF225	0.0815
C17orf70	0.10075
ZNF554	0.7675
RAE1	-0.987666666666667
TNIK	2.17066666666667
ACTN3	1.105
MGC45922	0.9965
CCNA1	-0.332166666666667
RYK	0.504333333333333
IL26	0.6945
LRP3	0.955166666666667
QARS	-0.08925
SOX7	0.470071428571428
BID	-0.53725
OR2S2	0.177
CXCL14	1.413
C11orf47	-1.2385
MGC29891	1.10916666666667
HSPB8	0.2726
PRDM14	-1.456
NUFIP2	0.14525
MNAT1	-0.60575
ZDHHC2	-1.26816666666667
MBNL2	0.84425
ADD3	-1.501125
CSNK2A1P	-0.64825
KLK6	-1.267
TMEM111	0.5922
KIAA1279	0.94725
NUBP2	-0.0481666666666667
RAB42	-1.54875
ID3	-0.6047
TM9SF1	0.26625
MDP-1	-0.1775
POU4F2	-0.11425
IQCK	1.7845
C16orf14	-1.0625
CAPN3	-1.520375
FAM43B	-0.318
RECQL	-0.87575
AP1G1	-0.479285714285714
CTNNBL1	-0.00316666666666667
ECHDC1	-0.903
SMARCC1	-0.1156
FOXQ1	-0.23075
GNAI3	-0.0765
POLG2	-1.7855
CD4	0.543375
ITLN1	-0.12475
EBI2	3.6975
IRF1	0.963
PTPRE	2.3195
PTK2B	-0.40975
NXNL2	-1.0955
SOX4	1.13994444444444
TSPAN3	-0.5765
SH2D1A	-4.17866666666667
C8orf58	-0.269833333333333
USP20	-0.73175
DUSP22	-1.22633333333333
CALB1	-1.744
L3MBTL2	1.27541666666667
MCRS1	-0.567
TMEM118	-1.02
C18orf8	0.309666666666667
FLJ10241	0.219125
GJA12	0.16675
PKD1	-0.399166666666667
ZFP3	-1.271
JAM3	-0.39175
LAPTM4A	1.6184
DIRC2	0.33225
KIAA2022	1.33516666666667
MYOM1	0.3535
TRPM8	-2.12916666666667
MOP-1	1.28225
PHKG2	-0.301375
ZNF650	0.515625
KIAA1522	1.497
PSG8	-1.4276
DDX19B	-0.5885
MOBKL1B	-0.23175
DIAPH2	-0.954583333333333
PTPN12	0.01375
CLN8	-0.4554
CRYZL1	-0.121
CRY2	1.45783333333333
FCGR2B	5.059
PNPLA4	2.202875
ZNF454	-0.28
DKFZp434B1231	-0.26575
CLDN11	0.1401
RFWD2	0.396
CIB2	-0.619333333333333
MXRA8	3.648625
HRK	-0.596375
MAML2	0.0035
C4orf31	2.63825
C6orf192	0.58
COG6	0.84475
FAM5B	-0.3735
NFATC1	1.0574
SEPT10	0.21575
SCYL1	-0.0587
RPP40	-0.872
SCOC	0.8333
KIAA1450	1.439
CTDSPL2	-0.166
TBX5	2.09716666666667
NAPG	-0.15575
RHD	-4.36525
C14orf45	3.54516666666667
ZBTB22	1.0225
PLCG1	-0.9205
ANKRD10	-0.4275
AQP7P2	0.25325
TAGLN2	0.249333333333333
HTR2C	-1.498
SLC16A7	-1.1775
C17orf83	0.65025
TSGA14	-0.2215
MDH1	-0.28825
PPP3R2	0.275666666666667
DCBLD2	-2.30971428571429
RBM33	-0.4215
DPH3	-1.29
SYT10	-1.10116666666667
FMO4	2.062875
THYN1	-0.57725
DRD5	-2.728
OTOR	0.36025
PGRMC2	1.193
KATNAL1	-0.67525
PAQR6	-2.35575
UBE2I	-0.796
C14orf28	0.3045
C8orf70	-0.861
FLYWCH1	-0.70525
ANGPTL3	-1.3525
GLRX2	-0.106666666666667
ATP11A	-0.748928571428571
ARL5B	-0.2515
MUC16	-1.5905
SLC25A5	-0.683071428571429
ACRC	-1.0595
MYO1C	0.129625
FAM89B	0.804666666666667
FAS	-0.206875
KIFAP3	1.24225
GLRA2	0.335
BTN3A2	-0.4878
CNKSR3	-1.07625
CSTF3	-0.335833333333333
ARPM1	1.24225
KIAA1530	-0.3705
C9orf150	2.90583333333333
PRKCI	0.15925
tcag7.1015	-1.36375
SOD3	-0.96775
ZNF574	0.18875
CYP21A2	2.08475
RPL12	0.23375
COMMD2	-0.74625
WIZ	0.04325
LOC344405	-1.329
ALDH4A1	-0.382647058823529
CRYAB	2.2725
COPA	0.848466666666667
PCDHGA7	0.817833333333334
KIF11	-0.784166666666667
RASD2	0.458125
SLC26A3	1.9845
ZNF175	-0.418
JAKMIP2	-2.24125
C8orf4	2.74016666666667
PTHLH	0.301
SLC40A1	1.22925
OR7D4	0.214333333333333
PCDHB17	-1.228
CD36	1.50471428571429
C6orf203	0.6346
PRKG2	0.476
LOC400566	1.753
ANAPC13	-0.02125
SLCO3A1	-0.48225
ZNF692	-1.1745
FANCL	-0.647
SH3GLB1	1.03075
C12orf61	-0.268
KBTBD6	0.156
SUPT5H	0.02625
XRCC6	-0.0932
HUS1B	-0.8387
FAM133B	-0.3325
LOC728276	-0.1135
KCTD18	1.1015
SOS2	0.785166666666667
CCDC99	-1.72
C1QTNF5	4.005
NNAT	0.0403333333333333
USP16	0.045
LARS	-0.44875
ZBTB2	-0.1585
ABO	-0.463
TRAF3	-0.24725
GALNT5	1.3685
NAP5	1.9615
ALG14	0.773333333333333
KIAA0515	0.136846153846154
WDR75	-0.866166666666667
TEX261	-0.111083333333333
LY86	0.5425
LOC389072	-1.168
FLJ13611	1.077
MRGPRX2	0.0385
SNRPA	-0.875875
OR2G2	0.2695
GPRASP2	1.1455
C7orf42	0.1877
C9orf163	-0.9535
CYP11B2	1.059
FCRL3	0.89825
PRDX1	-0.307
FGB	-5.9915
COX17	0.239666666666667
C16orf33	-0.674
PIWIL1	0.1345
FOLR1	-3.37366666666667
KIAA0082	-0.6105
FREQ	-0.741166666666667
TMCC2	-1.16033333333333
TCF12	0.484666666666667
ZNF721	0.2855
FAM130A2	0.493
POU4F1	-2.4675
SNRPF	-0.89425
SGIP1	2.68683333333333
ZNF641	0.8295
EMG1	-0.5645
PRRG4	0.3625
HIRA	-3.941
MYNN	0.618333333333333
AEBP2	-0.143083333333333
TBXA2R	0.2135
ISL2	-1.2745
PCDHB11	-0.5095
RNF144A	-0.349375
MARCH5	0.741375
DULLARD	0.0363333333333333
DCLRE1B	-1.05016666666667
ITGA8	0.78025
TP73	0.589875
PRKCD	2.14075
NDUFB4	0.589
ATP13A4	-0.0665
ANTXR2	-0.0843333333333333
COL4A3	-0.4522
MYO10	-0.0526
SLC6A18	0.6115
PEX1	0.28
TMEM74	-1.988
RBM19	-0.21275
TAPBP	0.182210526315789
RUNX1	3.137625
MID1	-2.54041666666667
GPR64	0.1675
RASEF	3.254
GABRG1	0.516285714285714
MYO16	-1.188
DBF4	-1.5925
TSHZ2	2.264
RIPK2	-0.301
PPTC7	-0.420166666666667
KIF4B	-0.563
LRRC31	3.839
ZNF540	1.386
EFNB3	-0.237333333333333
LOH12CR1	0.023
STON2	1.296
GLP1R	1.56233333333333
CSTF2T	-0.06175
IREB2	-0.50075
GRSF1	0.13825
PDCD7	-1.06766666666667
LRRC43	-0.0345
CNR1	-0.4965
IL1F7	-0.488
C12orf64	-0.13575
FAM69B	-0.966
NR2E1	-2.37416666666667
MS4A6A	2.4004
FTL	-0.2168
C7orf36	-0.30775
PCLO	1.8855
DYRK2	0.4825
ARIH2	-0.491125
SAMD7	1.3955
SCNN1D	-0.69775
SLC32A1	-1.04875
C22orf25	0.228
MRPS18A	-0.1366
GPR112	0.6715
EARS2	-0.95375
ERN2	0.8275
ATPBD3	-0.0558333333333333
PRH2	-0.1405
CDKN2D	-0.5675
PGLYRP2	-0.0355
TRIM40	0.18375
SEC14L3	1.83283333333333
SLC22A1	-0.40375
BTN2A3	-0.296
RASA4	-0.5515
CCNL2	-0.514583333333333
MYBPC3	0.498
GJA4	2.75525
CDC42SE1	1.180125
TRPV2	-1.758
MYPN	-3.129
SIM1	-0.1125
CDADC1	0.984916666666666
ZFHX4	1.65975
NIBP	0.629333333333333
ADAMTS19	2.77275
ABTB2	-1.50875
TSPYL2	-0.659
EIF2S3	-0.4762
SOX30	0.2115
AP2A1	-0.215666666666667
DKFZP564O0523	-0.2995
LOC285398	-0.0115
CDH18	-4.04675
CHL1	0.313375
GATS	-0.9575
TBC1D2B	0.456333333333333
OR1J1	1.994
GSN	1.10433333333333
DPCR1	0.102875
GARNL4	-0.569166666666667
SMARCA5	-0.21475
PLEKHG3	0.741833333333333
ZBTB45	0.463
FRMD6	0.258833333333333
PLS1	1.19916666666667
DGKZ	0.072
EFNA1	2.1887
WDR85	-0.755375
ANK2	-0.92775
PAGE4	-0.818833333333333
SENP6	0.813166666666667
AKR7A2	0.741666666666667
FKBP10	-2.11275
VEGFC	-1.09183333333333
LARP1	-0.078125
SRBD1	0.33725
ITGB6	4.00025
SLC1A2	-0.6425
INVS	-0.439333333333333
MPO	0.1585
MOBKL3	0.2843
CUTL2	-2.493875
KLK2	0.00183333333333334
VIM	-0.25225
REG1B	-0.1444
PCDHGC4	0.561
C3orf34	-0.515333333333333
SUMO3	-0.266166666666667
CST9L	-0.52875
MLL4	-0.49825
SPR	1.46833333333333
SAMD9L	0.45475
ABCE1	-0.39425
SUPT3H	-0.203
ACTBL1	-0.101
ADAMTS4	1.70816666666667
SLIT3	3.80025
RHEBL1	-1.03525
NPM2	-1.625
MAN1C1	2.9965
KIAA1856	0.900083333333333
HSPA6	1.78475
LOC388152	-1.122
C10orf140	-1.61325
