Hybridization REF	TCGA-C8-A1HL-01A-11R-A137-07
HIF3A	-0.2683
FAM44A	-1.60907142857143
AQP10	-1.4197
PLA2G2A	-1.7515
FOLH1	2.15966666666667
C20orf186	-1.1675
MAPKAP1	-0.014125
SPRR2D	-1.6015
UBQLN4	0.2665
RSHL1	0.0291666666666667
PIAS3	0.91125
MRPL24	1.12425
GREB1	0.39475
FAM27E3	-2.8975
NUP62CL	-0.129
NEUROG3	0.258
REEP3	0.970916666666667
MARK1	-1.063125
LMBRD1	-0.01925
PRPF19	-1.3685
PNMT	0.502
CTGLF1	0.063
SLC25A16	0.9465
EIF2B3	-1.729
RPA2	-0.48325
PAK6	0.989333333333333
CCDC26	-4.66225
SEMA3E	1.3235
MXD4	1.029
TNFSF10	3.7654
SMARCB1	0.246
DTX3L	1.06433333333333
PLA2G4E	-2.2055
PPAP2A	0.68175
ULK1	0.06375
TAS1R3	0.3375
SLC2A3	-3.04672727272727
ARID3A	-0.22225
GNG5	0.42775
ACOX1	0.3117
KIF5B	0.171
NUP153	-1.0925
MUC7	0.571
CSDE1	-0.909
CLPTM1	0.09
C3orf23	0.430125
LRRC17	0.026
TTYH3	-0.0355
ATP5B	-1.381
ELF3	1.8741
CPSF3L	0.880333333333333
ZNF665	0.1785
TLR6	0.0466
GPI	-0.430125
RAD9A	0.37425
NDST4	-2.02025
AGPAT3	0.667333333333333
MAGI3	-0.0193333333333333
ADORA2A	0.420375
CACNG7	0.3155
CAMK2D	-0.613071428571429
CCHCR1	0.253
RPS27A	-0.83925
OR10G7	0.317166666666667
GCM2	0.179
FAM135B	1.5108
E2F1	-0.2905
PLCB3	1.99175
OR2AE1	0.5465
COIL	0.502166666666667
CDC25C	0.582
RAB11FIP2	-0.949333333333333
TSC2	0.4195
CTGLF5	-1.1985
CCDC108	0.523875
OR13C4	0.831
C10orf81	3.73425
PTPRB	2.75775
ACP2	1.98025
LAG3	-0.12225
MRPL54	-0.1735
LOC201175	0.6265
ITGB1BP3	-2.1625
SPTAN1	0.751
SIPA1L2	0.59
RCAN2	0.3415
CDX2	0.7055
ECOP	0.66225
ACTR1A	1.08085714285714
PPARG	-0.635166666666667
BBS10	-0.337833333333333
TMEM44	0.70275
BPIL2	0.30675
CITED1	-1.3215
IRF6	4.9315
PRDM4	0.434833333333333
RRP9	0.147166666666667
OR10H4	0.39125
IL31RA	-0.907333333333333
GNB1L	-2.08516666666667
MYBL2	0.1875
ZNF407	0.9865
PPIG	-0.630833333333333
TTC18	0.05975
RPSA	-0.0435
MAPT	-1.227125
MRE11A	-0.722071428571429
C8orf37	-1.13233333333333
RASGEF1C	0.01
STBD1	0.202
CTAG2	-0.345833333333333
MGAT5B	-1.82983333333333
ECM1	3.769875
RLN1	-2.05
PARP14	0.2559375
EPB41L1	1.0912
HOXA3	-0.934083333333333
MAGEA9	-2.29675
RPS8	-0.596166666666667
RPS19BP1	0.70625
FOXJ2	0.2845
C10orf76	0.446875
IL17RE	0.97375
C10orf65	0.2395
ZNF343	-0.163166666666667
FBXO33	0.08425
UHMK1	-0.4416
LY6G6C	0.9745
FGF19	-1.99425
C14orf128	-1.19833333333333
IFIT2	0.1475
TIGD1	0.126
S100G	4.6365
GUCY1B3	3.195
NR3C1	-1.3613
CORO1B	2.5655
PARP11	-0.947333333333333
DNALI1	4.55966666666667
OR4N4	0.066125
MAP2K6	-0.525666666666667
FSTL4	0.83925
ANKRD47	2.117
TMEM171	-1.009
PNLIP	-0.30575
YY1	-0.349166666666667
CCDC138	-2.094
AASDHPPT	-1.5505
CKS1B	-0.1283
MCM3	-0.5935
ANAPC7	0.0473333333333333
FAM110A	2.02975
CDC37L1	0.498833333333333
THTPA	0.476
NBPF20	-1.7365
WDR24	1.2795
NPTX2	-3.83025
CBLB	0.672166666666667
CETN1	-0.3215
RPUSD1	0.5335
FAF1	-0.13225
CDK6	-3.1692
HMX2	0.907
CSK	0.220666666666667
TEAD2	1.43325
SNAP25	-1.17525
TUFT1	0.8787
TMTC3	0.221333333333333
LCK	-2.6345
SGOL1	-0.4255
AKTIP	0.81
FURIN	1.46725
SOX12	1.10783333333333
DEFB103A	-0.9405
RAMP1	1.71325
KIR3DX1	-1.031
GAS2L3	-0.60875
PDE8A	-0.7616
EDN3	0.7195
GMIP	1.568
SF3A2	0.6645
FN3KRP	0.44025
SMAD7	0.71725
RHBDD2	1.118
OR11H6	0.516
PPP1R3B	0.3903
C9orf23	0.05525
CADPS	-0.26925
GOLGA8A	-2.9675
TMEM57	0.773333333333333
RGL3	1.057
S100A14	3.868
FGFR2	0.869875
XRCC3	-0.056
RTN4RL2	0.695
MGC3771	0.456
GH2	0.436
BTBD2	0.67175
LMO2	0.667
RDBP	-0.166
ACRBP	-1.55925
AMY2A	1.213
DUOXA1	0.2975
PTK7	0.8265
TWF2	0.568833333333333
FAM80A	1.2395
TNNI2	-2.31533333333333
GLT25D1	-0.0196666666666667
OCC-1	-2.9235
CYC1	-0.726666666666667
RPL22	-0.261090909090909
MORN3	1.54283333333333
DISP1	1.5895
PRB2	0.3525
CHUK	-0.4375
HR	0.04875
CCDC134	0.142625
DENND4B	-0.4845
C14orf130	0.45225
RAB33A	-1.2265
DCST2	0.732
TNMD	-1.418
PEX7	0.63425
FAM62A	-0.145
SRD5A2L	0.8785
IL22	1.429
RPS26	-1.608
HOXC5	2.0125
SPATA6	0.87525
FLJ38482	-0.046625
ZNF234	-0.5065
C18orf22	1.1865
SPATA22	0.52
THOC1	-0.501
CYP7B1	1.9375
KCNC3	0.556
C8orf42	-1.9105
ALDH1B1	-0.115166666666667
CCDC100	-0.0645
ARMC4	-2.48825
FAM18B2	-0.6035
SLC44A1	-0.017625
FBXO17	-1.9685
C6orf107	-0.0655
C19orf29	-0.11325
ZC3HAV1L	-0.216
PARP6	0.5936
SULT2A1	-5.037625
C1orf159	0.19775
TMC1	0.696666666666667
CHST14	0.466375
GAMT	0.397666666666667
SMCP	0.0286666666666667
TSPAN33	1.3965
MIDN	0.55075
NOX4	2.90275
RNASEN	-0.5216
TBX1	-1.426
SALL2	-0.9195
C10orf35	0.90825
CYP2E1	-1.711125
LRFN2	4.119
ACO1	-2.78133333333333
IQCG	0.5948
MEGF9	1.993
TM7SF4	2.13375
PLEKHA1	-0.1512
STK33	-3.12925
C1orf210	3.5835
SNUPN	0.1211
KIAA0406	-0.745
C20orf29	0.59725
TMEM55B	0.52925
OSTM1	-0.852375
CLCN7	0.61875
OTP	-0.1165
FLJ23049	-1.39575
HEATR4	1.359
MAP3K10	0.0421666666666667
PCDHGA9	0.9275
AMDHD2	1.261
LCTL	-2.739
PDCD2L	-0.07425
CABLES2	0.11675
SLC5A9	-0.54025
CLCA2	-3.5285
MGC16025	-1.7775
STRAP	-1.25583333333333
C20orf196	0.308
RRBP1	0.7855
NAT13	-1.2275
MAT2B	-0.494
CSNK1D	-1.362
KIR3DL1	0.3755
PRKAG3	0.8795
ZNF599	0.7385
PRM3	1.035
PER2	1.17966666666667
ASPHD1	-1.513
PRMT6	-1.639
KCNE1L	-1.406
FAM118A	-1.3975
TAF4	-0.3415
NDUFB6	-0.942
TRIM9	-1.82036363636364
PMFBP1	-0.42025
KY	0.3915
DKFZp762E1312	-0.460545454545455
CSMD1	-1.71025
TBP	-0.376666666666667
OR1Q1	0.200166666666667
RETNLB	0.41025
HPGD	-0.616214285714286
DNAJC12	2.27533333333333
FKBP1B	-0.8315
ANKRD24	-0.673666666666667
CXXC5	1.1285
IL3	0.329375
DRAM	1.8482
PTCH1	-1.647375
TP53BP1	0.13325
SLC17A7	0.16625
COL25A1	-2.1859
AMACR	0.201833333333333
RHCG	2.21075
VPS13A	-1.07975
FAM55D	-0.5035
PRPF38B	-0.235083333333333
OSBPL6	-2.117
PFDN5	0.8418
CMTM6	1.344125
KCNK12	-1.04175
RP2	0.24475
C16orf52	-1.993
PICK1	0.5755
IFNE1	-1.20933333333333
SEMA4B	1.266
TYRO3	-1.06025
OR12D2	0.081
CSNK1A1	0.60795
FANCF	1.4055
LONP2	1.354875
TBL1Y	-3.26275
LDOC1L	-0.984875
CCNC	-0.91325
C3orf60	0.29675
CHKA	-0.83575
UBAP1	-0.05475
MAP3K1	-1.3595
ANKRD9	0.682
FAM92A1	-1.5155
GAB2	-0.366875
AZU1	-0.0125
DIS3	-0.784833333333333
C21orf109	-0.8325
IQCB1	-0.97875
SPATS2	0.263333333333333
EFCAB3	0.04875
PRB3	0.353375
FUZ	0.255166666666667
ZNF813	-0.198625
BMPER	-1.42166666666667
HEG1	0.787375
ALS2CR11	-0.54625
SURF2	0.7465
PSMC1	-0.214083333333333
OR2D2	0.969
SLC7A8	1.42416666666667
C4orf40	-1.7805
SPATA7	0.4695
MAZ	-0.05575
PIN4	-0.4195
PDE1A	0.658125
TAF6L	-0.131166666666667
OR2T34	0.395
KIAA0284	0.01025
ACADS	0.905
MKRN2	-0.689
C18orf56	-1.24175
MS4A6E	0.3846
GALNT4	0.358
C22orf31	1.318
FLJ36070	0.598
PSME4	0.51675
TFG	-0.7874
EPHX2	-0.105625
ANXA5	0.3185
KRTAP1-1	0.1578
BATF	3.09025
KARS	-0.877
MSTP9	-1.5345
GPR26	0.873625
CCDC72	0.99825
TEF	0.7835
FOXK1	-0.7789
PRLHR	0.0165
EMX1	0.485
C11orf30	-0.687
ICK	0.95725
THSD7B	-0.0955
C21orf100	-1.1135
DUOX1	1.4255
EFCAB4B	1.1425
UBE2G2	-0.649166666666667
C3orf54	0.9
PARP1	-0.562
FAM60A	-1.69127272727273
C6orf146	-0.00974999999999999
OR9K2	0.4485
DDX55	-0.743833333333333
RPS15	0.7065
ZNF618	1.419375
DKFZp686D0972	1.652
SSPO	-0.3625
SHFM3P1	1.67216666666667
CPA6	2.98
JAG2	2.384
DEFA3	0.2775
PPBPL2	0.3938
CD34	5.043625
SLCO4A1	-3.0015
AFG3L1	-0.677666666666667
SHD	-1.08225
RP13-122B23.3	-0.101666666666667
PRKCSH	-0.553333333333333
DPH5	-0.786333333333333
HLA-F	1.874375
TBC1D4	-0.7985
RIG	0.389833333333333
GLUD1	-0.386333333333333
HNRPCL1	0.320625
HBXIP	-0.623
RNF207	-0.9695
APIP	-0.838
PLA2G3	-0.680666666666667
CCDC84	-1.81625
MYLIP	-0.374153846153846
PHIP	0.51875
AARS2	-0.0726666666666667
DHX32	0.1145
SCAPER	-0.236833333333333
MEN1	-0.0157142857142857
NIP7	-0.8885
FLJ25404	0.1045
FASTKD3	-0.45525
TMEM158	-2.64108333333333
RARA	2.83525
BDH1	1.3985
ANKRD16	-0.01725
CARM1	0.286
SS18	1.31983333333333
IKZF2	2.09016666666667
MYD88	1.41925
PML	0.7839
TAF1A	-0.75925
CBFB	0.01325
HIST1H3H	0.939
C7orf29	-1.6775
COMMD4	0.773833333333333
DPP3	0.6875
DAB2	0.94175
LOC388882	-0.4315
YPEL4	-0.715125
AGBL3	0.52625
LRP6	-0.1917
SERPINH1	0.631166666666667
TLE1	0.12725
CD244	1.233
ZDHHC15	-1.3005
MGLL	1.2597
PLDN	-0.884333333333333
LOC654346	2.433
FAP	3.3045
GPR37	-1.88183333333333
SCARA5	-1.4255
EBF4	2.02118181818182
LSM6	-0.41825
MLLT1	-0.0369375
SLC5A12	-1.458
A2BP1	-2.54633333333333
COPS5	-0.647166666666667
TPM4	-0.750071428571429
TNFSF4	2.14166666666667
ACADSB	1.294
HERPUD1	0.134
BCL2L11	-0.443
CEP78	-0.671
CDCA3	0.3585
WBSCR19	-0.0785
MYO1A	-1.507
PPEF1	3.59716666666667
LOC440348	0.561
CPEB2	0.058125
BPTF	0.881416666666667
RPL21	-0.9370625
GSX2	null
ADPRH	1.4455
C17orf68	-0.849666666666667
KCNS1	-1.28983333333333
MLLT6	0.7824
PIWIL4	-0.26425
RNF26	-0.82025
RAP1B	0.167375
ADAMTS1	-1.4285
ZNF571	0.05
P2RY6	0.406
TRIM21	1.04183333333333
CADM3	-0.18275
NLRC5	1.31466666666667
ADRA2B	1.1605
LOC90835	0.04475
PCF11	-1.02475
LOC400451	2.246
GLTSCR1	0.5923
C17orf88	-0.295666666666667
CDH16	-1.61425
FGF7	1.582875
PCSK4	0.295166666666667
NPC1L1	0.928166666666667
TAT	4.225375
TBCA	-0.296
MGC33407	-0.0915
GPR115	1.34475
CYGB	1.263
FNBP4	-1.34566666666667
C12orf43	0.41925
CBL	-0.9538
CLECL1	2.171
PPAPDC1A	1.7605
WDR25	1.26466666666667
SGCA	0.868
C22orf29	-0.3796
YIPF1	1.424
GALK2	0.12625
RAB3B	-3.92616666666667
LOC440087	-0.73075
UCP1	-1.2995
REEP5	1.039375
FADD	-0.2412
FOXA1	3.16925
CACNA1A	0.651
ABI1	0.094
GRIN2D	0.12925
SLC1A4	0.429333333333333
LOC401127	0.01675
HINT2	0.24725
PLD4	0.7685
ZNF286A	-1.49375
ENY2	-0.91275
IL1F6	0.42
PXDNL	3.5415
C20orf79	0.05575
TNFSF13B	2.533
DENND3	0.440375
JARID1D	-3.53225
HIST1H2AK	1.448125
LOC93349	0.5285
SSH1	-0.4403
ENSA	1.545
LOC219854	-0.6535
CKAP2	-0.9807
DKFZP564J102	-0.465166666666667
MGC87315	-0.8915
HNRPAB	0.18325
AMH	-0.4985
ZNF526	0.8915
BRUNOL5	-0.1401
CACNG3	0.0988333333333333
TRPM1	-3.483
PPP2R1A	0.92325
COL2A1	-0.5695
DDN	-0.324166666666667
FLJ25770	0.3023
HK2	-0.2915
ELOVL6	-1.0515
MDK	-1.222
EPHX1	1.40025
RASSF2	0.5815
DKFZP434B0335	-0.00750000000000001
DLX3	1.46975
PRTN3	-0.69775
AVPR1A	1.55275
C21orf125	-0.85425
TNFAIP8	-1.01166666666667
GNB2L1	-0.1955
CALCRL	5.11325
SCGB2A2	7.39133333333333
UBXD7	0.00925000000000001
ZNF674	-0.671
TMEM35	0.3145
BRSK2	-0.10075
HECTD3	0.494166666666667
TMEM188	-0.3175
LGALS9	2.40425
SCARB2	0.811083333333333
USP34	-0.725666666666667
C17orf28	2.7305
ZDHHC23	-0.04825
AQP12B	-0.463
SLC16A3	-2.3195
APLP2	0.99925
ITIH2	-5.22525
MICAL3	-0.749625
TNNI3K	-0.5837
HDAC2	0.64475
PRR7	-0.0162
THBS2	-0.136
LOC751071	-0.654
CA2	-1.2215
RANBP17	0.7845
RLN3	0.03375
CRYZ	-0.999333333333333
GBAS	0.286333333333333
TAS1R1	-0.31475
MPZL3	0.9335
PCDH8	-0.61775
HSP90B1	-0.81875
KCNK15	1.726
TNIP2	1.10616666666667
GPR146	0.53675
NOL6	-0.328
SPC25	-1.04644444444444
STEAP2	-0.580428571428572
VAMP3	-0.131833333333333
TCIRG1	0.0055
ZP4	-0.0456666666666667
PARL	-0.63625
TRIM39	0.76
KIAA1305	1.1655
CRNN	-0.0101666666666667
GRN	0.06925
HSH2D	0.985
SCAMP1	0.101875
KIAA1913	0.75075
PTS	-0.71525
BANP	0.539
PRKACG	0.05875
ADCY6	0.786333333333333
C16orf46	0.3585
CYP51A1	-0.788625
DDC	-6.1185
ANPEP	0.62
PROM1	-2.68183333333333
SIGLEC10	2.42925
COPG	2.1385
FAM26E	2.121625
TRIP4	1.0025
SNX3	0.175
C1orf175	0.6675
PPY2	-0.0485
C14orf152	0.419
FTSJ1	0.011
DST	-0.34555
LOC554235	0.66075
GLRX5	-0.5585
C20orf12	0.8563
CAB39	0.141
MSH2	-1.37933333333333
PIP4K2C	1.699
CYLD	0.157
WTAP	0.16925
MGAT4A	1.492
TSC22D4	0.2555
CHRM2	-0.9375
PPYR1	0.256166666666667
CCNH	-0.396166666666667
RRM1	-0.26225
ECAT8	-2.56975
LOC400120	-0.037
GABRA4	0.00350000000000009
C14orf4	1.08666666666667
C1orf59	-1.2945
CTDSPL	0.58675
NHEDC2	-1.1605
PDE11A	-2.10875
KLHL29	-1.2325
CD5	-0.5166
TSPAN9	1.6150625
WDR67	-0.60675
THUMPD1	-0.2977
C18orf17	0.204
CLYBL	-1.10266666666667
FLJ13231	-0.99525
CMBL	2.391
LECT2	-0.16775
NKAPL	2.84433333333333
LOC654780	1.099
OR4C6	0.691
RAB30	-1.64866666666667
TSSK4	0.4565
TMEM163	0.826
OSBPL11	-0.0713333333333333
GNB5	-0.469166666666667
CCL21	1.2155
C1orf121	0.3945
FMO2	1.235
RPTN	-0.6265
MSTN	0.0435
VCL	-0.331142857142857
FYTTD1	-0.517
C11orf1	-0.93525
CCDC88C	1.1849375
HFE	0.270333333333333
MOGAT1	-2.3805
FAM125B	0.264
IRGQ	0.409
RAVER2	0.96025
AKAP5	1.547
SSSCA1	-0.123
C11orf63	0.249875
ACTG2	-0.1491
PORCN	-1.602
DTL	-0.986818181818182
TMEM151	1.13775
FAM122C	-0.26475
RSAD2	1.6968
BAT4	-0.6455
KRTDAP	-1.769
MYH8	0.439875
CRTC3	0.61
LRRFIP2	0.3318
INTS4	-1.30166666666667
TTN	-1.92083333333333
SLC26A5	1.013
PLLP	-0.5025
RGS6	-1.176375
SRGAP3	0.797125
ZNF525	-0.118666666666667
NBR2	-0.188166666666667
C13orf1	0.0214
ZNF137	0.3735
CEP27	-0.98875
BEST2	0.326
RNF121	-0.877
DMRTC2	1.06725
C8orf76	-0.64575
BCCIP	0.055875
MEST	-0.89
HTRA2	0.0545
ANGPTL2	0.5475
ILKAP	0.274833333333333
ERAS	-0.0355
HBS1L	-0.605375
CPA5	0.503
TMEM30A	-0.414333333333333
CD300LF	2.6615
WISP3	0.288
CRK	0.812285714285714
PDS5A	-0.7433
BRPF3	1.495
NEDD9	-1.384
SMPDL3B	2.5265
PSG6	-0.19875
PSMD13	0.74475
ETV5	-2.4065
OR51A4	0.5785
BTBD7	0.695916666666667
GSTO1	-0.517
hCG_16001	0.6615
MAD2L1BP	-0.1235
COX6A2	0.089
SCNN1A	3.2835
LSM1	0.390333333333333
UGT2B11	-2.63575
IDUA	1.243
PPP2R3C	-0.845
COX11	0.5685
PDZK1	2.157
ZNF443	0.121166666666667
MGC21874	1.41366666666667
ZNF323	1.2137
KRTAP10-10	0.619
CXCL6	-1.8545
SLC34A2	1.6409
LOC284402	0.481
NPTN	-0.432833333333333
UPP1	-1.4705
SLC6A9	0.4415
OR7G3	-0.274
CISD1	-1.92466666666667
ZNF545	-0.3285
SYT14	-1.446
NT5C3L	-0.884666666666667
ZNHIT3	0.811
SNRPD3	0.021
KIAA0701	-0.031125
UNC93B1	0.304166666666667
GMNN	-1.268625
SPCS2	-0.057
LOC388524	-0.098
NAPRT1	-1.018125
PNLIPRP1	1.552
OR6V1	0.756
PRKAB1	0.1835
EYA4	-3.84383333333333
KIF20A	-0.048
ALG10	-0.50375
ITPKC	1.1325
LMX1B	2.792
RPUSD4	-0.6685
C7orf34	-0.115833333333333
DLGAP2	0.46975
PFN1	0.3601
MICALL2	1.31758333333333
ZNF654	-1.78
SS18L1	-0.539
SLC16A8	0.267
MKI67IP	-0.333
ITGB3	-0.65425
TCEA3	3.20391666666667
CEP152	-1.600375
CLIP1	-0.2735
ZNF75	0.906875
ATP5C1	0.0971666666666667
NUDT5	0.3725
PSCDBP	-0.77375
UBP1	-0.16675
RBM27	-0.73425
C13orf15	2.43875
ZNF282	0.1675
ZNF222	-0.0682
COL10A1	5.223
PRDM15	-0.51575
TTTY5	-0.0665
FAM9C	-0.547166666666667
C20orf67	0.15925
GNG13	-0.3945
F12	1.419
C1orf41	-1.3015
CPXCR1	-1.0755
GSK3A	0.345
SUPT6H	0.512833333333333
PI16	-0.647
ELL2	-1.08241666666667
C9orf167	-1.22683333333333
PVRL3	-2.7269
FLJ38596	-0.296
ADAM20	0.405
GPR89A	-0.3595
GPR87	0.8965
ZNF30	1.416
SMR3B	1.50033333333333
ZNF770	-0.992625
TRPC4AP	-0.314666666666667
DKFZP686E2158	0.622333333333333
C2orf28	0.0541666666666667
FREM1	-2.56066666666667
LAMA4	0.851166666666667
ADPRHL2	0.37075
EIF4G2	0.869666666666666
GUCA1A	0.352
CTNNA2	-2.122
NUDT15	-0.6385
CEPT1	-0.534666666666667
ZNFX1	0.4716
CCDC92	1.3065
TDRD1	-2.001
KCNK5	-1.791
ETNK1	-1.21483333333333
LTA	0.71
TTPA	-0.428333333333333
B3GALNT2	-0.359875
SC65	-0.169833333333333
PEX5L	-2.57325
EPS15L1	0.1805
MGEA5	0.411
HIST1H3A	2.4645
ING1	0.73025
BCAT1	-2.599125
ORC6L	-1.072
KLK11	-5.32783333333333
C19orf28	-0.929625
DNER	-3.85175
MED22	-0.959071428571429
ETV6	0.46075
CHAC2	-1.186
CD300E	0.451
CEBPB	-0.148
ZNF398	-0.1915
LRCH3	-0.565
HMGA1	-1.06816666666667
CAPN7	-0.602666666666667
MGC5566	-3.465
CCL3	2.8745
NANOS1	-1.00875
ZFYVE19	0.71775
APITD1	0.0933333333333333
PARD3	1.1495
IRAK4	-0.300833333333333
SERPINI2	-0.3285
CEP170L	-1
TTC9	3.445
MYOM3	-1.02625
MLPH	2.146625
LOC222699	1.501
NRG1	-2.05241666666667
TBC1D9	2.66218181818182
TTK	-0.779166666666667
ZNF557	0.1077
DDX41	0.624833333333333
FANK1	3.0545
UBE2D2	-0.033375
PSMB10	1.650125
MYH7B	0.939
GABARAPL2	0.087
MARVELD2	2.10333333333333
DGCR2	0.295666666666667
UNC45A	1.06883333333333
C6orf72	0.077
ZNF683	3.9385
GIT2	-0.017125
CASK	1.1155
C14orf161	2.37033333333333
LRRC44	-1.577
TIFA	-0.698375
UTP11L	-0.202125
C6orf65	-1.18225
FDPS	0.661
DUSP9	-1.7211
SLC17A8	0.621666666666667
OR51G1	0.988166666666667
NANS	1.67225
OLFML1	2.198
ATP10B	-2.651125
NPAS3	-3.04775
PRKCA	-2.6278
GGA2	0.0628125
LCE4A	0.768
SPANXN3	0.463
CCDC115	1.159125
SDCCAG3	-0.7375
GLIPR1L1	0.605
TTC1	-0.37225
C17orf76	0.65
MAD2L2	-1.1905
HIPK1	-0.8141
LRRC3B	1.88833333333333
CLN3	-0.185818181818182
C17orf47	-0.197
FMN2	-2.041875
TUBB1	-2.022125
WAPAL	-0.211166666666667
C3orf21	-0.520875
SCN5A	-0.4065
SMYD1	-0.437
BEX5	-1.60875
ZNF192	0.226
SEC22A	-0.184833333333333
GRIA2	-0.0165384615384615
KIAA0825	-1.403
NUSAP1	-0.747363636363636
LANCL1	-1.274375
C15orf40	0.2608
ZNF645	-0.36025
GPR61	-0.271
NLRP14	-0.217
SNX21	-0.202
C1QTNF8	0.079
C17orf46	3.1355
IFNA8	-0.4675
SPRR1B	-2.46833333333333
FLRT1	-1.329
SNX17	-0.162166666666667
ASB2	-0.574333333333333
HBG1	-4.9985
RPRML	-2.40225
JOSD2	0.918166666666667
PLSCR3	0.17775
SPOCD1	0.256166666666667
RAB39	-0.45
GHRH	-0.472333333333333
ITIH5L	0.55825
C17orf37	2.14125
SMCR8	0.971
DPY19L2P3	-1.032
IL11RA	-0.252166666666667
GDF3	-3.87916666666667
RPS6KB1	-0.0131666666666667
DNAJC19	0.2795
TOP1	-0.2765
CRCT1	-0.4855
MPST	0.71875
DPM2	0.82275
FAM38B	-1.348
SLC18A1	-3.07483333333333
FARP1	1.80716666666667
PAX7	0.31425
TUBD1	0.263
GNL3	-0.23625
BTG2	1.11673333333333
NDUFS6	-0.154
C1orf79	-0.93975
ERAL1	0.36
ECHS1	1.3585
VPS4A	-0.0978333333333333
CYP11A1	-0.8615
ABCC6	-2.71228571428571
PBX4	-2.4315
MOSC1	0.3265
NCF4	1.56925
HYMAI	0.618
NAGPA	-0.060875
OTOP2	0.0995
ACOT12	-0.34025
MTHFD2L	-1.048
LOC441376	1.637
C19orf34	0.2505
RAB1B	0.77675
ALDOAP2	0.235
NTRK1	-1.6435
ARTS-1	-1.2527
SLC6A11	-2.154
NAP1L2	-3.0485
CNGB1	0.043
EPB41L4B	-0.935166666666667
FAM134B	3.8095
HS3ST3A1	-0.939666666666667
CPXM2	4.33125
SIRPB2	0.614
CHORDC1	-1.118
TRIB3	-0.0411666666666667
SLC2A5	0.65925
C2orf49	-0.488
DDX5	-0.2415
OR5L1	0.1975
ANAPC4	-1.033
ZSWIM1	1.1805
LOC93622	-0.7845
KCNK3	-1.0372
RP11-35N6.1	-2.5565
ZFP161	0.2515
AQP9	3.7955
SLC15A2	0.847166666666667
MREG	0.835
OR9I1	0.3325
PDLIM2	0.3255
ADAM7	0.548
GSTCD	-0.910833333333333
WDR21A	-0.526375
SLC12A8	1.63066666666667
TMEM174	0.54175
IGSF3	-0.00841666666666666
LRRN1	-2.52275
LOC402117	0.2485
SRPK1	-1.6425
LY6K	-0.6408125
NFIA	1.473
PTCD3	0.01125
LEP	1.27133333333333
PCDH21	-1.31416666666667
MAPKAPK2	1.71457142857143
NMNAT1	-0.4605
LHFPL2	-0.424
C9orf43	1.56325
DIP2A	0.236
ACTR8	0.19775
CCDC34	-0.74325
PTPN22	-1.405
ITGA3	-0.87425
FAM129C	-0.54175
RABGGTA	1.47183333333333
UNC45B	1.69425
KIAA1033	-0.424125
ZNF510	-0.336833333333333
CYP2D6	-0.278666666666667
SLC26A10	-1.685
STX8	0.55925
LUZP1	0.598
WDR89	0.007
EIF4G3	-0.1168
C5AR1	1.06225
ZNF623	0.3585
A2M	1.3435
TGM7	1.1345
GRPEL1	-0.608
LMNB2	-0.667
ROCK2	-0.160333333333333
SNX16	0.086
CCDC66	0.69875
ANXA3	-2.10925
KIAA1609	0.738625
EED	-1.60875
RNF32	-1.46283333333333
HES1	1.5059
CLC	0.172
ISL1	-1.55966666666667
KIAA0528	-0.709625
MANEA	-1.112125
C1orf61	-2.5245
hCG_2001000	0.72225
RAPGEF6	-0.0645
KIAA0020	-1.63433333333333
NEIL1	1.847
C16orf45	-1.2825
RBM10	0.497833333333333
C10orf125	-0.764875
MRS2L	0.12525
DNAH17	3.42357142857143
C19orf10	-0.36125
C1orf160	0.7325
SLFN12	0.2635
EXOC3	-0.368833333333333
HIST3H3	1.39275
NCOR2	0.095
TNFRSF9	-0.59975
MFSD8	0.126
ALX1	-4.43733333333333
NOL1	-0.079
PODN	3.236
TIAL1	-1.07325
HIST1H1E	0.82575
NPY6R	0.3035
TM4SF4	0.138
CORO2A	0.12825
ETNK2	-1.13066666666667
APOE	1.6037
ANGPT4	0.1965
HDGF2	0.41475
G30	2.465
ST8SIA4	-0.01925
F2RL1	-0.433125
FAM19A4	-4.6385
CCAR1	0.359
B3GNT7	-0.0795
OPHN1	-0.3958
DSCR6	2.9755
C21orf13	0.7225
GAS2L1	0.347916666666667
RFX3	-0.591
COPS4	-1.08975
BCHE	-4.564
BCL2	1.078125
HBZ	-3.17433333333333
ARL13B	-0.827
MAPBPIP	1.51775
MYO15B	0.231625
SPZ1	0.72225
KIAA1324	4.23277777777778
PLCL2	-0.43225
C4orf29	-0.68625
WDFY2	-0.374
ZNF284	-0.4535
NAALADL1	0.699
DUSP5	0.952833333333333
PXDN	0.260875
SLMO1	-0.281
TNXB	0.9361
BIRC7	0.13725
A4GALT	1.361
TIMM22	0.03725
FAM110C	2.63325
TOMM34	-1.10125
ABHD9	0.4865
ADAM32	1.1425
CRHBP	0.249
AQP2	0.70725
LOC130355	0.75275
ZNF187	-0.384833333333333
ZNF816A	0.098
F7	-0.208875
CNOT1	-0.374
SLC13A4	1.4065
ZBTB11	-0.3705
B3GALT5	0.15575
EXOC2	2.775
IRS1	0.1238
TMEM1	0.249
MRPL34	-0.372666666666667
SAMM50	-0.6595
CDC42EP3	-1.13475
HSF2	-1.0754
MFN2	-0.0255
TSPAN7	-1.538
NUCB1	0.628916666666667
RHOH	-0.629
ARL16	-0.7245
TACR1	-0.35425
SFRS5	-0.180166666666667
