Hybridization REF	TCGA-AR-A1AN-01A-11R-A12P-07
KIAA1430	0.25825
ACAT1	-0.26875
MEOX1	4.224
ADAMDEC1	1.9865
PHKA2	-0.802
CARD11	-0.372166666666667
CALML4	0.54
TSSC1	-0.46
TMEM45A	-0.667333333333333
MPP7	1.226375
POU1F1	0.371333333333333
SLC2A13	-0.2813
FBN2	-1.89230769230769
ZC3H7A	-0.0972
LAIR2	-1.18025
ST3GAL1	-0.416333333333333
LCT	-2.39025
GEMIN8	0.9515
KLF16	0.5066
HIF3A	0.0581
FAM44A	-0.870071428571428
AQP10	-1.0957
PLA2G2A	-0.063
FOLH1	0.604833333333333
C20orf186	-0.4805
MAPKAP1	0.138625
SPRR2D	-2.20125
UBQLN4	0.0648333333333334
RSHL1	0.196833333333333
PIAS3	1.07625
MRPL24	0.81825
GREB1	-1.957625
FAM27E3	-2.4695
NUP62CL	0.72525
NEUROG3	0.409
REEP3	0.409583333333333
MARK1	0.022875
LMBRD1	0.83175
PRPF19	-1.6535
PNMT	1.1015
CTGLF1	0.194
SLC25A16	0.3965
EIF2B3	-0.741
RPA2	-0.1875
PAK6	1.00183333333333
CCDC26	-4.70725
SEMA3E	3.514
MXD4	1.2441
TNFSF10	4.8312
SMARCB1	0.0255
DTX3L	0.898666666666667
PLA2G4E	0.96
PPAP2A	1.2215
ULK1	-0.28175
TAS1R3	0.1515
SLC2A3	-1.75418181818182
ARID3A	-2.23775
GNG5	-1.213
ACOX1	-0.4475
KIF5B	-0.30675
NUP153	-0.695
MUC7	0.751
CSDE1	-0.172785714285714
CLPTM1	0.19775
C3orf23	-0.40625
LRRC17	0.785333333333333
TTYH3	-0.64975
ATP5B	-0.303
ELF3	1.5964
CPSF3L	0.910166666666667
ZNF665	0.2265
TLR6	0.3663
GPI	-1.394125
RAD9A	-0.193875
NDST4	-4.08325
AGPAT3	-0.299583333333333
MAGI3	0.838333333333333
ADORA2A	0.967375
CACNG7	0.09
CAMK2D	-0.7285
CCHCR1	-1.0515
RPS27A	0.1215
OR10G7	-0.330833333333333
GCM2	-2.121
FAM135B	-0.0931
E2F1	-2.18875
PLCB3	0.34125
OR2AE1	-1.197
COIL	0.171833333333333
CDC25C	-2.69466666666667
RAB11FIP2	0.355833333333333
TSC2	1.49875
CTGLF5	-1.2245
CCDC108	0.4892
OR13C4	-0.039
C10orf81	5.599
PTPRB	2.4315
ACP2	0.46725
LAG3	-0.601
MRPL54	0.167
LOC201175	0.7535
ITGB1BP3	-1.70825
SPTAN1	0.0555
SIPA1L2	-0.363
RCAN2	-0.393
CDX2	2.3775
ECOP	-0.282
ACTR1A	0.345142857142857
PPARG	0.511166666666667
BBS10	-0.130166666666667
TMEM44	-0.773375
BPIL2	0.1185
CITED1	1.98675
IRF6	4.764
PRDM4	0.0513333333333333
RRP9	-0.691166666666667
OR10H4	-0.629666666666667
IL31RA	-1.708
GNB1L	-1.60366666666667
MYBL2	-3.137625
ZNF407	0.749333333333333
PPIG	-0.9815
TTC18	2.817
RPSA	-0.4085
MAPT	1.83828571428571
MRE11A	-0.327
C8orf37	-0.254833333333333
RASGEF1C	0.0633333333333333
STBD1	0.95175
CTAG2	-0.2456
MGAT5B	-2.161
ECM1	-0.104875
RLN1	1.0265
PARP14	0.13825
EPB41L1	0.4693
HOXA3	0.0186666666666667
MAGEA9	-4.61675
RPS8	0.042
RPS19BP1	0.4235
FOXJ2	0.296375
C10orf76	0.286125
IL17RE	0.594
C10orf65	-1.90533333333333
ZNF343	-0.136666666666667
FBXO33	-0.486125
UHMK1	0.9617
LY6G6C	0.4345
FGF19	-1.48625
C14orf128	0.43
IFIT2	0.117125
TIGD1	-0.8455
S100G	-0.3315
GUCY1B3	2.057
NR3C1	-0.3357
CORO1B	0.909166666666667
PARP11	0.878166666666667
DNALI1	4.47366666666667
OR4N4	-0.371428571428571
MAP2K6	0.395833333333333
FSTL4	-0.58325
ANKRD47	1.423125
TMEM171	-1.159
PNLIP	0.63475
YY1	-0.996833333333333
CCDC138	-2.0335
AASDHPPT	-0.6335
CKS1B	-0.5155
MCM3	-1.07583333333333
ANAPC7	0.169166666666667
FAM110A	1.052
CDC37L1	1.47033333333333
THTPA	0.47425
NBPF20	-0.9815
WDR24	1.2225
NPTX2	-3.719
CBLB	0.0671666666666667
CETN1	0.378666666666667
RPUSD1	0.83925
FAF1	-0.80825
CDK6	-2.7469
HMX2	-0.068
CSK	-0.0265
TEAD2	1.476
SNAP25	0.05125
TUFT1	3.1162
TMTC3	-0.055
LCK	-1.31525
SGOL1	-2.15433333333333
AKTIP	1.675
FURIN	0.3255
SOX12	-0.203333333333333
DEFB103A	-1.017
RAMP1	0.2585
KIR3DX1	-0.496
GAS2L3	-1.92425
PDE8A	-1.6333
EDN3	3.7745
GMIP	0.68225
SF3A2	0.65125
FN3KRP	0.29375
SMAD7	0.39475
RHBDD2	1.207
OR11H6	0.3465
PPP1R3B	1.6272
C9orf23	-0.568
CADPS	-2.27925
GOLGA8A	-3.610625
TMEM57	0.998833333333333
RGL3	0.0485
S100A14	1.2405
FGFR2	0.9354375
XRCC3	-1.1855
RTN4RL2	0.0895
MGC3771	1.5475
GH2	0.3242
BTBD2	0.365
LMO2	0.55075
RDBP	-0.94075
ACRBP	-1.3955
AMY2A	2.2405
DUOXA1	0.653
PTK7	1.04266666666667
TWF2	0.8485
FAM80A	-0.87725
TNNI2	-2.80533333333333
GLT25D1	-0.655
OCC-1	-1.29675
CYC1	-1.073
RPL22	0.392090909090909
MORN3	1.4705
DISP1	0.145
PRB2	-0.3445
CHUK	-0.2785
HR	0.3405
CCDC134	-0.591375
DENND4B	-0.50075
C14orf130	-0.613875
RAB33A	-0.68375
DCST2	0.278
TNMD	0.174
PEX7	0.76875
FAM62A	0.71325
SRD5A2L	-0.0785
IL22	0.654
RPS26	-0.858
HOXC5	1.1885
SPATA6	1.05825
FLJ38482	-0.128
ZNF234	0.055
C18orf22	0.78975
SPATA22	0.8755
THOC1	-0.4425
CYP7B1	2.94475
KCNC3	0.23
C8orf42	-0.5635
ALDH1B1	0.438166666666667
CCDC100	-0.1545
ARMC4	-2.95825
FAM18B2	0.86575
SLC44A1	0.917625
FBXO17	-1.3165
C6orf107	-0.5925
C19orf29	-0.3295
ZC3HAV1L	-0.282
PARP6	0.7138
SULT2A1	-4.90428571428571
C1orf159	-0.50175
TMC1	0.522666666666667
CHST14	0.569375
GAMT	0.3355
SMCP	-0.0175
TSPAN33	0.831333333333333
MIDN	0.111875
NOX4	0.99425
RNASEN	-0.7744
TBX1	-0.5556
SALL2	0.847
C10orf35	1.06325
CYP2E1	-0.829625
LRFN2	0.222333333333333
ACO1	-1.73333333333333
IQCG	1.3017
MEGF9	2.4085
TM7SF4	0.03025
PLEKHA1	0.384733333333333
STK33	-2.05825
C1orf210	2.0415
SNUPN	0.4766
KIAA0406	-0.8507
C20orf29	-0.90625
TMEM55B	0.1885
OSTM1	-1.1938125
CLCN7	1.11175
OTP	-0.102
FLJ23049	-2.251
HEATR4	1.0525
MAP3K10	0.686333333333333
PCDHGA9	-0.505
AMDHD2	1.3795
LCTL	-2.386
PDCD2L	-1.14725
CABLES2	-0.94
SLC5A9	0.172
CLCA2	1.09783333333333
MGC16025	-0.5855
STRAP	-0.8555
C20orf196	0.0555
RRBP1	0.318833333333333
NAT13	-0.87925
MAT2B	0.57575
CSNK1D	-0.986333333333333
KIR3DL1	0.1315
PRKAG3	0.2025
ZNF599	-0.028
PRM3	0.7455
PER2	1.88933333333333
ASPHD1	-2.869
PRMT6	-0.45775
KCNE1L	-0.326928571428571
FAM118A	-0.751166666666667
TAF4	-1.14525
NDUFB6	-0.434
TRIM9	-1.01083333333333
PMFBP1	-0.92625
KY	1.6735
DKFZp762E1312	-3.73245454545455
CSMD1	-1.7465
TBP	-0.534
OR1Q1	0.209666666666667
RETNLB	0.326
HPGD	0.449384615384615
DNAJC12	2.70733333333333
FKBP1B	-1.01075
ANKRD24	-0.0808333333333333
CXXC5	0.161333333333333
IL3	0.063
DRAM	0.1797
PTCH1	-1.448125
TP53BP1	0.5315
SLC17A7	-0.504125
COL25A1	-1.58433333333333
AMACR	-0.338666666666667
RHCG	-0.74
VPS13A	-0.772333333333333
FAM55D	1.784
PRPF38B	-0.564416666666667
OSBPL6	0.69325
PFDN5	1.1474
CMTM6	0.812625
KCNK12	-1.54325
RP2	0.31375
C16orf52	-1.096
PICK1	1.3395
IFNE1	-1.30116666666667
SEMA4B	1.10725
TYRO3	-2.106
OR12D2	-1.695
CSNK1A1	0.72695
FANCF	0.53825
LONP2	-0.186375
TBL1Y	-2.0145
LDOC1L	0.21975
CCNC	0.01925
C3orf60	-0.622
CHKA	-1.01775
UBAP1	0.26725
MAP3K1	1.494
ANKRD9	-0.64275
FAM92A1	-1.80883333333333
GAB2	-0.112428571428571
AZU1	-0.57275
DIS3	-0.581666666666667
C21orf109	-0.795
IQCB1	-0.29225
SPATS2	-0.301
EFCAB3	-1.3905
PRB3	-0.358
FUZ	1.07
ZNF813	0.06275
BMPER	0.218
HEG1	0.6325
ALS2CR11	-1.73725
SURF2	-0.683
PSMC1	-0.645166666666667
OR2D2	0.6895
SLC7A8	1.97883333333333
C4orf40	-0.633
SPATA7	-0.0325
MAZ	0.0659166666666666
PIN4	0.57
PDE1A	0.541625
TAF6L	-0.2815
OR2T34	-0.381
KIAA0284	-0.18425
ACADS	0.652727272727273
MKRN2	-0.353
C18orf56	-3.1265
MS4A6E	0.523166666666667
GALNT4	0.3401
C22orf31	0.316
FLJ36070	0.144
PSME4	0.1695
TFG	-0.0454
EPHX2	1.700875
ANXA5	0.183
KRTAP1-1	0.4856
BATF	1.52675
KARS	-1.21225
MSTP9	-0.644
GPR26	0.06425
CCDC72	0.04925
TEF	0.410833333333333
FOXK1	-0.4726
PRLHR	1.371
EMX1	3.91025
C11orf30	-0.892625
ICK	-0.142625
THSD7B	1.81966666666667
C21orf100	0.64
DUOX1	1.398
EFCAB4B	-0.8465
UBE2G2	-1.21316666666667
C3orf54	0.137
PARP1	-0.3185
FAM60A	-1.31933333333333
C6orf146	1.7545
OR9K2	0.3005
DDX55	-1.80533333333333
RPS15	0.315833333333333
ZNF618	-0.0745333333333333
DKFZp686D0972	1.563
SSPO	-1.525
SHFM3P1	1.51733333333333
CPA6	-0.935666666666667
JAG2	2.31325
DEFA3	0.7165
PPBPL2	0.579
CD34	4.986125
SLCO4A1	-3.187
AFG3L1	-1.54533333333333
SHD	-0.9855
RP13-122B23.3	0.0111666666666667
PRKCSH	-0.296333333333333
DPH5	-0.287666666666667
HLA-F	2.4555
TBC1D4	-0.20825
RIG	0.9315
GLUD1	-0.684833333333333
HNRPCL1	1.3125
HBXIP	-0.42275
RNF207	-0.722
APIP	-0.355
PLA2G3	0.324666666666667
CCDC84	-1.2335
MYLIP	-0.774692307692308
PHIP	0.24775
AARS2	-0.643666666666667
DHX32	0.6095
SCAPER	0.115166666666667
MEN1	-0.19575
NIP7	-1.05625
FLJ25404	0.8355
FASTKD3	-0.4095
TMEM158	-2.75283333333333
RARA	1.4095
BDH1	0.707
ANKRD16	0.53675
CARM1	0.6445
SS18	0.6885
IKZF2	0.0474166666666667
MYD88	1.1635
PML	0.3375
TAF1A	-0.61375
CBFB	-0.780375
HIST1H3H	-2.32766666666667
C7orf29	-1.6025
COMMD4	-0.034
DPP3	-0.747
DAB2	1.80975
LOC388882	-0.717
YPEL4	0.0815
AGBL3	0.9355
LRP6	-0.1826
SERPINH1	0.43625
TLE1	-0.4285
CD244	1.01366666666667
ZDHHC15	-0.686
MGLL	-0.1692
PLDN	-0.203416666666667
LOC654346	1.7745
FAP	3.13075
GPR37	-1.10166666666667
SCARA5	1.97083333333333
EBF4	1.361
LSM6	-0.50625
MLLT1	-0.22425
SLC5A12	-0.1705
A2BP1	-1.53766666666667
COPS5	0.105166666666667
TPM4	0.0100714285714285
TNFSF4	-0.0703333333333333
ACADSB	1.73394444444444
HERPUD1	-0.21925
BCL2L11	-0.949
CEP78	-1.657125
CDCA3	-2.211125
WBSCR19	0.0616
MYO1A	-2.5235
PPEF1	1.0335
LOC440348	-0.6585
CPEB2	1.421625
BPTF	-0.699083333333333
RPL21	0.6336875
GSX2	-2.042
ADPRH	0.833666666666667
C17orf68	-0.085
KCNS1	0.3995
MLLT6	0.5139
PIWIL4	0.29525
RNF26	-0.694
RAP1B	1.27975
ADAMTS1	0.1856
ZNF571	1.0715
P2RY6	-0.421
TRIM21	0.906666666666667
CADM3	1.06575
NLRC5	0.596166666666667
ADRA2B	-0.473833333333333
LOC90835	0.50525
PCF11	-0.17375
LOC400451	1.0235
GLTSCR1	0.6714
C17orf88	-0.316833333333333
CDH16	-1.59733333333333
FGF7	3.04175
PCSK4	-0.434666666666667
NPC1L1	-1.23233333333333
TAT	0.227
TBCA	-1.21675
MGC33407	0.00875000000000001
GPR115	-0.926
CYGB	1.915
FNBP4	-1.06333333333333
C12orf43	-0.44925
CBL	-0.7682
CLECL1	1.63325
PPAPDC1A	1.6625
WDR25	0.025
SGCA	0.781
C22orf29	0.438833333333333
YIPF1	0.85525
GALK2	-0.76125
RAB3B	-3.54525
LOC440087	1.63425
UCP1	2.463
REEP5	1.588625
FADD	-0.2709
FOXA1	2.451125
CACNA1A	-0.4645
ABI1	0.0338333333333333
GRIN2D	1.14325
SLC1A4	0.0633333333333333
LOC401127	-1.53075
HINT2	0.25175
PLD4	1.1955
ZNF286A	-1.1535
ENY2	-0.6605
IL1F6	0.4305
PXDNL	0.99
C20orf79	-0.744
TNFSF13B	2.642
DENND3	0.07625
JARID1D	-4.09375
HIST1H2AK	-0.68225
LOC93349	-0.178375
SSH1	-1.0895
ENSA	0.5595
LOC219854	0.823666666666667
CKAP2	-1.3994
DKFZP564J102	0.910166666666667
MGC87315	-0.172
HNRPAB	-0.759
AMH	-1.202
ZNF526	0.266
BRUNOL5	-0.118777777777778
CACNG3	0.311
TRPM1	-1.3265
PPP2R1A	1.03675
COL2A1	-1.89725
DDN	-0.439
FLJ25770	1.26988888888889
HK2	-0.711357142857143
ELOVL6	-2.581125
MDK	-0.504
EPHX1	0.8545
RASSF2	0.816625
DKFZP434B0335	-0.8175
DLX3	0.0585
PRTN3	-0.0475
AVPR1A	1.755
C21orf125	-1.33575
TNFAIP8	-0.3945
GNB2L1	1.0005
CALCRL	3.324
SCGB2A2	8.23883333333333
UBXD7	-0.55575
ZNF674	0.0285
TMEM35	0.2065
BRSK2	-1.714
HECTD3	0.071
TMEM188	-0.122083333333333
LGALS9	1.89575
SCARB2	0.372583333333333
USP34	-0.281666666666667
C17orf28	1.62141666666667
ZDHHC23	-0.43875
AQP12B	1.9715
SLC16A3	-3.043375
APLP2	0.252375
ITIH2	-6.214
MICAL3	-0.496625
TNNI3K	1.0646
HDAC2	0.3235
PRR7	-0.6229
THBS2	0.357
LOC751071	-1.46583333333333
CA2	1.38316666666667
RANBP17	-1.3765
RLN3	0.689
CRYZ	0.426833333333333
GBAS	0.642833333333333
TAS1R1	-0.53575
MPZL3	0.6255
PCDH8	-3.39975
HSP90B1	-0.522166666666667
KCNK15	-1.176
TNIP2	1.43983333333333
GPR146	1.35475
NOL6	-0.3155
SPC25	-2.99011111111111
STEAP2	3.74728571428571
VAMP3	0.678166666666667
TCIRG1	-0.42725
ZP4	0.284166666666667
PARL	0.781875
TRIM39	0.3145
KIAA1305	0.848
CRNN	0.634
GRN	0.2665
HSH2D	-1.7315
SCAMP1	0.6615
KIAA1913	1.144
PTS	-0.26625
BANP	-0.2485
PRKACG	-0.48275
ADCY6	0.971333333333333
C16orf46	-1.442
CYP51A1	-0.37925
DDC	-6.03175
ANPEP	1.23666666666667
PROM1	2.55533333333333
SIGLEC10	1.5955
COPG	0.434
FAM26E	1.561875
TRIP4	0.2935
SNX3	0.5745
C1orf175	0.735
PPY2	0.42625
C14orf152	2.31525
FTSJ1	-0.704833333333334
DST	0.83125
LOC554235	0.4615
GLRX5	-0.83125
C20orf12	0.8146
CAB39	-0.0531666666666667
MSH2	-1.0095
PIP4K2C	0.54575
CYLD	0.763375
WTAP	0.9315
MGAT4A	0.614111111111111
TSC22D4	0.4032
CHRM2	-1.356
PPYR1	0.0133333333333333
CCNH	-0.422
RRM1	-0.96975
ECAT8	-4.068
LOC400120	-0.41475
GABRA4	0.394571428571429
C14orf4	1.11333333333333
C1orf59	-1.37275
CTDSPL	0.965916666666667
NHEDC2	-0.5165
PDE11A	0.1174375
KLHL29	0.166
CD5	-0.258
TSPAN9	1.673125
WDR67	-1.2315
THUMPD1	0.4768
C18orf17	-0.162
CLYBL	0.262166666666667
FLJ13231	-0.89925
CMBL	-0.5435
LECT2	0.289
NKAPL	2.03283333333333
LOC654780	0.3475
OR4C6	0.188
RAB30	0.319333333333333
TSSK4	-0.227
TMEM163	0.773
OSBPL11	0.38475
GNB5	-1.26916666666667
CCL21	3.00525
C1orf121	0.180166666666667
FMO2	2.5625
RPTN	-2.1565
MSTN	2.2925
VCL	0.424642857142857
FYTTD1	0.09075
C11orf1	0.821
CCDC88C	-0.193625
HFE	-0.318666666666667
MOGAT1	-2.629
FAM125B	0.999
IRGQ	0.2825
RAVER2	-0.25575
AKAP5	0.52
SSSCA1	-0.8335
C11orf63	0.106285714285714
ACTG2	2.6072
PORCN	-1.386
DTL	-1.84518181818182
TMEM151	0.3445
FAM122C	-0.496
RSAD2	1.3256
BAT4	-1.038
KRTDAP	-1.43916666666667
MYH8	0.0895
CRTC3	1.1855
LRRFIP2	0.0045
INTS4	-0.370166666666667
TTN	-1.82625
SLC26A5	0.549
PLLP	-0.1425
RGS6	-0.315125
SRGAP3	0.956
ZNF525	-0.677
NBR2	-0.2426
C13orf1	0.0477
ZNF137	-0.587
CEP27	-2.02975
BEST2	-0.462
RNF121	-0.206
DMRTC2	0.487
C8orf76	-0.8945
BCCIP	0.4895
MEST	-0.50925
HTRA2	0.434
ANGPTL2	1.51225
ILKAP	-0.338166666666667
ERAS	-0.001
HBS1L	-0.698125
CPA5	0.247
TMEM30A	0.413333333333333
CD300LF	1.50483333333333
WISP3	2.8805
CRK	0.639785714285714
PDS5A	-0.5629
BRPF3	0.545166666666667
NEDD9	0.712
SMPDL3B	2.00225
PSG6	-2.443
PSMD13	0.44425
ETV5	-1.0785625
OR51A4	0.23
BTBD7	0.200083333333333
GSTO1	-1.192375
hCG_16001	0.742
MAD2L1BP	-0.0165
COX6A2	1.298
SCNN1A	2.1725
LSM1	0.342
UGT2B11	-2.2725
IDUA	1.432
PPP2R3C	-0.0923333333333333
COX11	-0.6755
PDZK1	1.022
ZNF443	-0.725
MGC21874	1.20933333333333
ZNF323	1.0688
KRTAP10-10	-0.0295
CXCL6	0.741
SLC34A2	2.4487
LOC284402	0.276
NPTN	0.909666666666667
UPP1	-1.49066666666667
SLC6A9	-0.538
OR7G3	-0.13225
CISD1	-1.30416666666667
ZNF545	-0.235666666666667
SYT14	-0.6365
NT5C3L	0.552833333333333
ZNHIT3	-0.312666666666667
SNRPD3	-0.29
KIAA0701	0.818125
UNC93B1	-0.108666666666667
GMNN	-1.3095
SPCS2	0.493
LOC388524	0.0515
NAPRT1	0.648375
PNLIPRP1	1.308
OR6V1	0.148
PRKAB1	-0.4025
EYA4	-3.7986
KIF20A	-2.967
ALG10	-0.2335
ITPKC	1.17633333333333
LMX1B	0.817166666666666
RPUSD4	-0.233833333333333
C7orf34	-0.333833333333333
DLGAP2	0.71625
PFN1	-0.2046
MICALL2	-0.0158333333333333
ZNF654	-1.2625
SS18L1	-1.127625
SLC16A8	0.865
MKI67IP	0.0451666666666667
ITGB3	-0.39725
TCEA3	3.11091666666667
CEP152	-2.84446666666667
CLIP1	-0.119125
ZNF75	0.514666666666667
ATP5C1	0.0165
NUDT5	-0.995166666666667
PSCDBP	1.325
UBP1	-0.19875
RBM27	-0.581
C13orf15	3.556375
ZNF282	0.742833333333333
ZNF222	-0.3051
COL10A1	5.15125
PRDM15	-0.72525
TTTY5	-0.1985
FAM9C	-0.1535
C20orf67	-0.0275
GNG13	-0.801
F12	0.85975
C1orf41	-1.51925
CPXCR1	-1.4805
GSK3A	0.12275
SUPT6H	0.4775
PI16	3.87933333333333
ELL2	-0.601083333333333
C9orf167	-1.26966666666667
PVRL3	-1.8247
FLJ38596	1.714
ADAM20	0.134
GPR89A	0.4235
GPR87	0.5665
ZNF30	-0.05925
SMR3B	4.6705
ZNF770	0.1945
TRPC4AP	-0.0233333333333333
DKFZP686E2158	0.355833333333333
C2orf28	0.009
FREM1	1.68966666666667
LAMA4	0.3275
ADPRHL2	0.863
EIF4G2	0.568
GUCA1A	-0.1855
CTNNA2	-1.528875
NUDT15	-0.5555
CEPT1	0.204333333333333
ZNFX1	0.5578
CCDC92	1.628
TDRD1	-0.572
KCNK5	-1.4725
ETNK1	-0.01475
LTA	0.4095
TTPA	0.6832
B3GALNT2	-0.582375
SC65	0.339333333333333
PEX5L	-1.352875
EPS15L1	0.03125
MGEA5	-0.203625
HIST1H3A	1.07925
ING1	0.12725
BCAT1	-4.147875
ORC6L	-3.94363636363636
KLK11	2.29883333333333
C19orf28	-1.63475
DNER	-4.03242857142857
MED22	-0.493357142857143
ETV6	1.16041666666667
CHAC2	-2.04475
CD300E	0.139
CEBPB	0.859333333333333
ZNF398	-0.166
LRCH3	0.3505
HMGA1	-2.5815
CAPN7	-0.0193333333333333
MGC5566	-2.713
CCL3	3.062375
NANOS1	0.50325
ZFYVE19	0.4775
APITD1	-0.196666666666667
PARD3	-0.27825
IRAK4	-0.6685
SERPINI2	1.474
CEP170L	-1.241
TTC9	1.720875
MYOM3	-0.9115
MLPH	1.697625
LOC222699	-1.17
NRG1	-0.619833333333333
TBC1D9	3.698
TTK	-3.199
ZNF557	0.0479
DDX41	-0.0436666666666667
FANK1	2.7655
UBE2D2	-0.446125
PSMB10	0.069625
MYH7B	0.599
GABARAPL2	0.44725
MARVELD2	0.825166666666667
DGCR2	0.536
UNC45A	0.807666666666667
C6orf72	-0.0325
ZNF683	4.15775
GIT2	0.0365
CASK	0.176833333333333
C14orf161	4.13716666666667
LRRC44	-0.511
TIFA	0.589125
UTP11L	-0.26675
C6orf65	-0.57375
FDPS	0.26725
DUSP9	-1.9606
SLC17A8	0.713833333333333
OR51G1	0.22
NANS	-0.11625
OLFML1	1.99625
ATP10B	-1.35716666666667
NPAS3	-0.2835
PRKCA	-2.4681
GGA2	0.0029375
LCE4A	0.695
SPANXN3	0.581
CCDC115	1.6155
SDCCAG3	-0.99325
GLIPR1L1	0.2225
TTC1	-0.2415
C17orf76	0.2275
MAD2L2	-0.74825
HIPK1	-0.5826
LRRC3B	0.536166666666667
CLN3	0.145045454545455
C17orf47	1.788
FMN2	-2.42825
TUBB1	-1.46457142857143
WAPAL	-0.3455
C3orf21	-0.565625
SCN5A	0.2806
SMYD1	-0.313
BEX5	1.36675
ZNF192	0.0825
SEC22A	0.448666666666667
GRIA2	1.30507142857143
KIAA0825	-0.700333333333333
NUSAP1	-2.59063636363636
LANCL1	-0.300125
C15orf40	-0.4161
ZNF645	0.741666666666667
GPR61	0.02675
NLRP14	0.4935
SNX21	0.0759
C1QTNF8	-0.036
C17orf46	-0.0405
IFNA8	0.989
SPRR1B	-2.626
FLRT1	-0.23525
SNX17	0.887333333333333
ASB2	0.047
HBG1	-5.9535
RPRML	-1.435
JOSD2	-0.523
PLSCR3	0.40225
SPOCD1	-1.88666666666667
RAB39	-4.247
GHRH	-0.2165
ITIH5L	0.68725
C17orf37	1.00825
SMCR8	0.48525
DPY19L2P3	-0.770833333333333
IL11RA	1.69533333333333
GDF3	-4.3845
RPS6KB1	-1.444
DNAJC19	0.3215
TOP1	-0.66325
CRCT1	-0.122
MPST	-0.040625
DPM2	0.42325
FAM38B	0.0616666666666667
SLC18A1	-1.95066666666667
FARP1	1.34116666666667
PAX7	-0.135
TUBD1	-1.2835
GNL3	-0.611125
BTG2	2.61806666666667
NDUFS6	-0.58475
C1orf79	-1.15975
ERAL1	-0.48075
ECHS1	0.46375
VPS4A	-0.594833333333333
CYP11A1	0.02425
ABCC6	-1.58914285714286
PBX4	-2.097
MOSC1	-0.7345
NCF4	0.967
HYMAI	2.9885
NAGPA	-0.085375
OTOP2	0.05825
ACOT12	0.78425
MTHFD2L	-0.380375
LOC441376	1.945
C19orf34	1.022
RAB1B	0.59675
ALDOAP2	0.3775
NTRK1	-0.920333333333333
ARTS-1	0.4671
SLC6A11	-0.7105
NAP1L2	0.69425
CNGB1	0.00616666666666667
EPB41L4B	-0.148333333333333
FAM134B	1.8665
HS3ST3A1	-2.50966666666667
CPXM2	5.44125
SIRPB2	-0.702
CHORDC1	-1.549
TRIB3	-1.24816666666667
SLC2A5	-0.4345
C2orf49	-1.2865
DDX5	0.54375
OR5L1	1.6615
ANAPC4	-0.272
ZSWIM1	0.256875
LOC93622	0.026375
KCNK3	-0.2663
RP11-35N6.1	-1.006625
ZFP161	0.421
AQP9	1.407
SLC15A2	-0.0948333333333333
MREG	0.896666666666667
OR9I1	1.528
PDLIM2	1.018125
ADAM7	-0.066
GSTCD	0.192833333333333
WDR21A	-0.534875
SLC12A8	1.43783333333333
TMEM174	-0.06475
IGSF3	0.554083333333333
LRRN1	2.43075
LOC402117	1.77225
SRPK1	-1.169
LY6K	-1.42875
NFIA	2.4205
PTCD3	-0.040125
LEP	1.36316666666667
PCDH21	-0.550333333333333
MAPKAPK2	0.971285714285714
NMNAT1	-0.546833333333333
LHFPL2	0.736
C9orf43	0.30675
DIP2A	-0.656666666666667
ACTR8	-0.286125
CCDC34	-0.75875
PTPN22	-1.114125
ITGA3	-0.72875
FAM129C	0.50825
RABGGTA	0.968166666666667
UNC45B	0.770333333333333
KIAA1033	-0.502875
ZNF510	0.484166666666667
CYP2D6	-0.206666666666667
SLC26A10	-0.583
STX8	1.0825
LUZP1	0.45
WDR89	-0.595333333333333
EIF4G3	-0.4044
C5AR1	0.385
ZNF623	-0.0325
A2M	1.8715
TGM7	0.2725
GRPEL1	-0.634833333333333
LMNB2	-1.7569
ROCK2	-0.620333333333333
SNX16	0.1045
CCDC66	-0.31975
ANXA3	1.224
KIAA1609	-0.493125
EED	-0.85675
RNF32	0.221666666666667
HES1	0.5354
CLC	-0.1142
ISL1	-2.033
KIAA0528	-0.12675
MANEA	-0.048875
C1orf61	-0.7425
hCG_2001000	0.98275
RAPGEF6	-0.5733
KIAA0020	-0.478833333333333
NEIL1	1.62975
C16orf45	-0.81175
RBM10	-0.1685
C10orf125	-1.148
MRS2L	-1.3645
DNAH17	-0.65
C19orf10	-1.04375
C1orf160	0.9135
SLFN12	1.67475
EXOC3	-0.109833333333333
HIST3H3	0.979
NCOR2	0.228166666666667
TNFRSF9	-0.5585
MFSD8	0.62975
ALX1	-4.098
NOL1	-1.4045
PODN	3.20075
TIAL1	-0.895
HIST1H1E	-2.448
NPY6R	0.77575
TM4SF4	-0.08925
CORO2A	-0.55625
ETNK2	0.317666666666667
APOE	1.3949
ANGPT4	-0.0655
HDGF2	0.53375
G30	-1.611
ST8SIA4	-0.119125
F2RL1	-0.508625
FAM19A4	-3.9285
CCAR1	-1.0425
B3GNT7	-0.03975
OPHN1	-0.3134
DSCR6	0.852
C21orf13	1.33066666666667
GAS2L1	0.471583333333333
RFX3	1.406
COPS4	0.293625
BCHE	-3.96966666666667
BCL2	2.760375
HBZ	-4.27166666666667
ARL13B	0.11575
MAPBPIP	0.935125
MYO15B	0.5435
SPZ1	0.5275
KIAA1324	2.75566666666667
PLCL2	0.0085
C4orf29	-0.44775
WDFY2	-0.42125
ZNF284	-0.941
NAALADL1	1.654
DUSP5	0.822666666666667
PXDN	0.9445
SLMO1	-1.451
TNXB	0.4632
BIRC7	-0.92475
A4GALT	0.819833333333333
