Hybridization REF	TCGA-E2-A14P-01A-31R-A12D-07
WDR89	-0.128666666666667
EIF4G3	-0.1483
C5AR1	1.01575
ZNF623	0.0435
A2M	-0.07775
TGM7	0.1705
GRPEL1	-0.518666666666667
LMNB2	-0.1094
ROCK2	1.127
SNX16	-0.1655
CCDC66	0.026
ANXA3	1.18675
KIAA1609	2.008875
EED	-1.29775
RNF32	0.106666666666667
HES1	1.2385
CLC	0.188333333333333
ISL1	-0.586666666666667
KIAA0528	-1.209125
MANEA	-0.267625
C1orf61	-0.891
hCG_2001000	1.43475
RAPGEF6	-1.0956
KIAA0020	-0.830833333333333
NEIL1	-0.3485
C16orf45	0.074
RBM10	0.379
C10orf125	-1.1565
MRS2L	-1.31
DNAH17	-0.81125
C19orf10	-0.70825
C1orf160	1.00375
SLFN12	-1.34625
EXOC3	0.950666666666666
HIST3H3	1.48875
NCOR2	0.003
TNFRSF9	0.90975
MFSD8	1.30875
ALX1	-3.61833333333333
NOL1	0.01125
PODN	2.035
TIAL1	-1.00275
HIST1H1E	0.15275
NPY6R	0.17275
TM4SF4	0.195
CORO2A	1.01975
ETNK2	1.007
APOE	1.2957
ANGPT4	0.108
HDGF2	1.58175
G30	0.782
ST8SIA4	-1.074625
F2RL1	0.2145
FAM19A4	-3.90225
CCAR1	-0.597
B3GNT7	0.7255
OPHN1	0.0135999999999999
DSCR6	-1.7175
C21orf13	0.610833333333333
GAS2L1	0.881833333333333
RFX3	-0.396333333333333
COPS4	-1.475375
BCHE	-5.754
BCL2	-0.4445
HBZ	-3.009
ARL13B	0.32325
MAPBPIP	-0.0655
MYO15B	0.39175
SPZ1	0.1985
KIAA1324	1.40477777777778
PLCL2	-1.6935
C4orf29	-1.0465
WDFY2	0.132375
ZNF284	-0.776
NAALADL1	-0.059
DUSP5	0.7465
PXDN	1.561125
SLMO1	-0.9615
TNXB	0.8997
BIRC7	-0.156
A4GALT	0.3155
TIMM22	0.5145
FAM110C	2.03475
TOMM34	0.014875
ABHD9	0.136
ADAM32	-0.2015
CRHBP	0.0685
AQP2	0.543375
LOC130355	0.7975
ZNF187	-1.19433333333333
ZNF816A	0.309
F7	-0.798625
CNOT1	1.0779
SLC13A4	-1.13025
ZBTB11	-0.632
B3GALT5	0.16325
EXOC2	-0.359
IRS1	-0.2956
TMEM1	-0.366833333333333
MRPL34	-0.540166666666667
SAMM50	-0.05275
CDC42EP3	-0.98475
HSF2	-0.5804
MFN2	-0.152
TSPAN7	-2.2645
NUCB1	0.741
RHOH	-1.53775
ARL16	-1.0385
TACR1	0.1915
SFRS5	-0.402166666666667
SNX25	-1.1205
RHBDF1	0.5635
PCDH18	0.354
HMG1L1	0.99775
MYO5C	0.249
MAPK10	-0.411
LDHAL6A	-0.462333333333333
NUDT12	-0.832833333333333
NCAM1	0.033375
GLIS2	1.7765
GGTL4	0.38825
DAPP1	-1.03525
ATF7	0.42925
KIAA0748	-0.68275
NFIL3	-0.4035
TM6SF1	-0.0907
SEZ6	0.207625
NANOS3	-0.5695
DNAJA3	-0.528166666666667
CLDN6	-2.2865
CIITA	2.2435
EPHA4	-1.84525
FANCC	0.666
CMTM3	2.151875
PSG3	-0.30625
MRPL15	-1.97725
C21orf59	0.2475
PLCXD2	0.41525
C2orf34	-0.67375
UBE2L6	0.89975
MED14	-0.054
HP1BP3	-0.4095
C6orf208	-0.0345
TPBG	-0.566
OSR2	-0.249125
XPC	0.445333333333333
KLHL7	-0.539416666666667
CCR3	-0.8935
AGTPBP1	-0.897
PCSK6	-1.6548
STAT5A	-1.2493
FAM18B	1.1965
LONRF2	-2.41733333333333
PTPN2	0.01725
SF3A3	0.252333333333333
EFCBP2	0.65875
HCFC1	-0.243666666666667
AHNAK	0.58825
ACTR5	1.13525
KIF14	-1.46285714285714
TENC1	1.269
HEATR5B	-0.2395
YIPF2	0.612833333333333
MYEOV2	0.835333333333333
DUSP18	1.443
KIAA1012	-0.4515
AHR	-0.984166666666667
C17orf53	-0.783166666666667
PTPRH	-3.38325
ATP6V1C1	-0.7314
TAS2R3	0.4145
LOC440356	-0.214
COQ10B	0.51625
PSMF1	0.758083333333333
SORBS2	1.35358333333333
NFE2L2	-1.00875
TMCO7	0.74525
SH3PXD2A	-0.5718
SH2D2A	-1.1495
SPINK5	-2.05025
MRPS24	-1.064
OPA3	0.77325
TRAF7	0.295666666666667
C4orf35	-0.0811666666666666
MT1G	-0.387125
MGC39545	0.94875
HS1BP3	0.9948
OR2B2	0.3895
CHRM4	0.172
SFRP2	1.18066666666667
RIC3	-1.593
ART1	-0.4115
C6orf1	-0.160125
DUS4L	-1.2895
C10orf104	-0.3545
TNFAIP6	1.28975
RTEL1	-0.3425
CCT4	-0.3862
ZNF709	-0.6705
CHMP6	0.286666666666667
UPP2	0.56575
CYP19A1	-2.528625
CD151	0.584
NDUFA13	0.187666666666667
ARFRP1	-0.227666666666667
FAM26B	0.06575
CRYBA1	-1.1465
MRPL41	0.925333333333333
NPFFR2	-1.90175
HRH2	0.2475
SCAMP3	-0.311
MTMR6	-1.5683
MTG1	0.263
UBTD1	1.85875
CRABP1	-3.471
FLJ33790	-1.8165
KIAA1908	-0.397333333333333
GPR158	0.35375
PACSIN3	1.57866666666667
OMD	0.384666666666667
CATSPER1	-1.40016666666667
HOXB8	-1.047
FBXO46	0.1485
OAS1	1.18533333333333
SVIL	-0.16
PHB2	-0.56175
ADCY3	-1.096
NDRG2	0.0451666666666667
ERMAP	0.2152
APBA2	-1.598
IGSF9	3.03175
WNT6	2.03578571428571
MYCBPAP	1.02
ATP2B2	0.237222222222222
CPVL	-1.6892
TRAM2	-0.607333333333333
NOP5/NOP58	-0.34025
ZNRF4	0.166
TLK1	-0.1275
MTMR12	1.26885714285714
ZNF384	0.0966666666666667
FAM9B	-3.024
RPN1	0.7807
PMVK	0.8635
EIF3D	0.033
SIX2	1.965
HPS1	0.377357142857143
RNF7	-0.926
PSKH2	0.8705
KCTD13	0.653666666666667
CSMD3	-1.0359
FBF1	0.7725
IL8	-1.89025
SERPINB13	0.340181818181818
FBXL20	1.7205
BLR1	0.425
SH2B1	-0.546
RFNG	0.235125
RAB20	1.91383333333333
RBM7	-1.54675
POLR1A	0.271333333333333
TMPRSS4	-1.14675
TAF9	-0.761625
TERF2	0.89
TNFRSF1A	0.72475
ACADVL	-0.178
GTF2H5	0.26525
EDG8	-0.670666666666667
C9orf140	0.530625
UST6	-0.19575
ZBTB8OS	-0.3255
ZNF710	2.27
GPR174	-0.8975
ATP6V0A2	-0.727
KIAA0319L	0.691583333333333
XKRX	-0.898
DOPEY2	1.8252
SDHD	-0.624416666666667
SUMF1	0.825
OSM	2.96075
OPN3	0.1055
DAGLB	1.40733333333333
PPFIBP1	-0.2167
TRIM63	-4.783
C10orf53	0.6865
LYPD3	1.99466666666667
BCL7A	-0.154625
AGER	-1.19533333333333
TCF19	-0.76975
SAT2	-0.57225
PFTK1	0.8485
GABRE	-0.627
C15orf38	1.9776
FIS1	0.32
KCNV2	-0.38975
CLPS	0.2035
PPCDC	-0.807625
FOXN2	0.0966666666666667
NT5E	-4.1087
CD83	0.3215
IL18	0.558875
VPS16	1.30325
IGFBP2	-0.1255
NOTCH2	-0.10825
SIGLEC1	1.994625
CD93	3.855
SULF2	0.14675
CEP164	-0.26775
P53AIP1	0.362666666666667
TOR2A	0.231333333333333
ZNF136	-0.099
MGP	2.6206
CCDC144A	2.1914
TRPC1	-2.7545
SMS	-1.18583333333333
MAPK7	0.134333333333333
RRAGC	1.42625
PARD6A	1.403
NUB1	-0.0326666666666667
SYNGR4	0.36325
OR11H12	0.062
WIF1	0.7075
GCH1	0.87275
OR11H4	-0.0115
SLC44A5	0.9405
GPRIN2	1.08066666666667
LOC401431	-0.38275
CPA4	-1.4192
MELK	-0.285222222222222
IL15RA	-0.215
CUL3	-0.546625
HMBOX1	-0.146
PODXL	-2.60725
CCT6B	-0.941
COMTD1	-0.309
MUC20	-1.00866666666667
GPX2	-2.82025
ITK	-0.60275
FBXL5	0.30225
C13orf27	0.0525
DEFA5	0.3845
TRHDE	-0.273
MTP18	-0.0376666666666667
UQCRQ	-0.1021
ITGB2	1.86791666666667
CSRP2BP	-0.058
TAS2R44	0.902
PHPT1	0.888375
FAM44C	-0.02925
ERH	-0.4145
MPHOSPH1	-2.1645
MORC1	-1.0875
PARVB	-1.26925
LAMA1	-2.38141666666667
PGBD3	-0.20475
GIMAP6	3.45225
AREG	-2.50583333333333
LIPT1	-0.99925
MGC99813	-0.7265
C1orf201	0.9095
GRIN2A	-0.317555555555556
MAN2C1	-0.2505
NSUN5	0.54625
SF3B5	1.41925
MYC	-2.6865625
NRXN1	-0.10825
ZNF18	-0.25025
SPDYA	1.283
SLC37A1	1.5385
DECR2	-1.3575
ANKRD38	-0.20625
SPTLC3	-0.753833333333333
SUPT16H	1.2845
DTWD2	-0.182
ULBP1	0.443
ZADH1	-0.332166666666667
OIP5	-1.38025
IL10RB	0.809666666666667
OTUB2	1.019875
VWA3A	0.116
SPIC	0.372166666666667
OR6C4	0.0415
PSCD4	0.528833333333333
DPY19L2P2	-0.535
TRAPPC6A	0.691833333333333
C21orf2	0.311666666666667
CEMP1	-0.91775
LIN7B	0.838
E2F7	-1.56033333333333
VCP	1.19125
LAMA3	-0.063
BGN	1.26075
GPR160	1.4
COCH	-1.66333333333333
GPR81	1.733
APOBEC3F	-1.39775
tcag7.1017	-0.3125
C1orf32	0.656
SCGB1D2	2.26325
FLJ43987	-0.4215
C6orf170	0.9665
KLK9	0.412
GPD1L	1.794
VPS37B	0.70625
ATG3	-0.6305
ADAMTS17	0.163
KLHDC2	-0.0146666666666667
NDUFV2	0.597
BLK	-1.1
MATN4	-0.478
GPM6A	0.482857142857143
GBP4	3.862
TMEM162	0.545166666666667
PKP2	1.0865
HRASLS	2.61455555555556
MMP1	-3.5745
SFXN3	-1.2395
FSD1	-1.58216666666667
ST6GALNAC3	-2.27283333333333
CA12	0.9959
NCOA6	-0.077
C19orf58	0.7031
PPP4R1	0.670166666666667
MAN1A2	-0.0361666666666667
IKBKAP	-1.3435
UPF1	0.916
KIAA1219	0.15825
WNT16	0.0598333333333333
SNW1	-0.256
IL18RAP	2.755
RPP30	-0.153875
CDC40	-1.03328571428571
SETD3	1.3225
SLAMF6	0.8345
ELK4	-0.4965
TRIM47	1.18183333333333
ACOX3	0.433375
TRIM6	-2.490125
KIAA0372	-1.28733333333333
TP53AP1	1.533625
SMURF2	2.60975
ADAD1	0.18025
EBP	-1.1957
KRTAP13-2	-1.025
FLJ36874	-0.9205
TOR1A	1.00366666666667
P2RY4	1.3715
GPBP1	-0.42125
TRPV1	-0.18875
ADAMTS12	-0.339666666666667
PES1	0.882
ATG4A	0.1635
MAGEA10	1.2165
WFS1	0.33175
CC2D1B	0.5515
PABPN1	0.21975
SLC25A30	0.235
SLCO1C1	-0.364333333333333
SLC22A5	0.0695
KIF23	-1.24583333333333
SYN2	-0.257333333333333
ASPN	4.69316666666667
CENTG2	1.0155
QSOX2	-1.2415
FLJ10815	1.434
STK24	0.6444375
SPEG	0.3018
STK10	0.509
DACT2	-1.9685
AAAS	-1.036
SSX3	-0.874375
ABCD3	-0.6503
C4orf12	-1.636125
PARVG	0.828666666666667
FIG4	2.31175
C9orf46	0.176
TMCO6	-1.5625
IGHMBP2	0.63625
DUS2L	1.41933333333333
FAM3C	-1.31
TMEM16D	-2.7645
DCTN4	-0.18225
KCNH3	0.02425
EIF2AK2	0.03075
AP1S3	1.50925
CST4	0.781
PAM	-1.7425
NUTF2	1.972
CITED2	-0.7076
SLC39A4	-0.6105
C2orf52	-0.2065
GRM3	0.09425
C12orf49	0.956875
CCDC49	-1.4137
GRAMD1B	-0.851125
FNDC4	0.5945
SIAH2	-0.87275
GDPD4	-0.12975
C21orf87	0.893875
ATP5A1	-0.382333333333333
C16orf63	-0.448125
LOC388135	-0.463333333333333
ATP5J2	-0.123875
MMP3	-1.14625
EMID2	-0.0395
CRHR1	0.4725
WDR70	0.055
C13orf31	2.1465
ZFAND1	-0.62525
CCL18	4.95733333333333
C3orf49	0.9955
RINT1	-0.5825
KIAA0408	-1.79683333333333
F13A1	3.5125
SLC10A1	0.841333333333333
OGN	0.1325
GIPC2	-1.86683333333333
XPO6	0.0890000000000001
LCE1A	0.8885
FMR1	0.1246
LOC374920	-0.473
DUSP3	-0.227625
ANKMY1	1.58525
C7orf50	1.03925
BBS9	-0.4849
UNC119B	-0.402875
C9orf72	0.1545
MGC35440	-0.67975
ENTPD6	0.2295
PPP1R2P9	-0.26025
ERCC4	-0.1505
FAHD2B	-0.1055
HMHA1	-0.7235
HACL1	-1.1785
RAD23A	0.3515
FAM83B	-0.1695
PPP5C	0.212166666666667
RNASEH2C	0.471125
C9orf153	-0.245
SCAMP4	1.077875
GHITM	-0.3736
NDUFB7	0.887625
ADCYAP1	-0.6036
SP110	1.99366666666667
MAP3K7IP2	0.75025
DHH	0.072
AGRN	1.55978571428571
WDR33	0.893833333333333
CEP290	0.0171666666666667
PRPS1L1	-3.65566666666667
KLRA1	-0.089
GPR97	0.6275
CHD7	-1.55491666666667
TLR10	0.69675
SLC30A8	-0.86
HIC1	1.38483333333333
IAPP	0.524
RXFP4	0.36375
GP1BB	2.82125
SHQ1	0.6745
NKX2-3	0.380166666666667
API5	-0.73725
FTHP1	1.3445
MOV10L1	0.169666666666667
TRIM6-TRIM34	1.49683333333333
ADHFE1	-0.68625
FAM117A	-0.65575
DDI1	0.6418
CDON	-1.00416666666667
TRIM73	-1.445
IGKC	4.4385
MMP14	-0.1125
DYNC1LI1	-0.221875
C11orf66	-0.449
TRBV3-1	-1.23675
FASTKD5	-0.1505
BIVM	-1.3545
LHX4	0.5095
CXCL2	0.4144
RAB2B	0.181833333333333
IZUMO1	-1.08475
MAP3K15	-2.386
FAM19A2	-0.0726666666666667
ZC3H8	-0.542333333333333
ZMAT1	0.72625
SPINK5L3	-3.32775
SLC10A6	0.1415
APPL2	-0.841625
CARD10	-0.0761666666666667
LOC402176	-0.348375
EEF1D	1.6262
RAB6A	0.2456
C12orf5	-0.42075
PAPOLG	1.02225
MSRB2	1.221
BCR	1.84761111111111
PUS3	-1.316
TIAM2	-0.56375
ZNF317	-0.0711666666666667
CHD2	-0.135142857142857
FZD5	-1.95586363636364
NUDT8	0.90425
ZNF763	-0.7435
PRC1	0.152888888888889
ABCB9	0.999666666666667
SPATA3	0.682
TRAK2	0.650875
STAB1	2.328125
LRRTM2	0.228333333333333
psiTPTE22	2.96175
DBI	1.75925
SERPINA11	-3.17375
NAT5	-0.2385
C20orf58	-2.18475
RPS6KA4	1.449
FLJ90650	1.054
TGFBRAP1	0.2975
CHRDL2	-0.620875
FAHD2A	-0.274166666666667
CNTN1	-0.49675
BBS4	0.074
TMEM181	-0.232
MINPP1	-1.64075
MPHOSPH6	2.33008333333333
HOXC10	1.7152
ITPKB	0.690875
CLPTM1L	1.236875
MEOX2	-0.413166666666667
ATP6V0C	0.245375
PRPF8	0.5805
TMC5	1.2345
FKBP3	1.35525
PLEKHB2	0.65325
OR4D6	0.4745
ZNF544	0.13
D2HGDH	1.06625
RPL18A	-0.2353
HEL308	-1.71725
MPP6	-4.5
TCERG1	-1.89225
KRT16	-0.618666666666667
KLF17	-1.30825
KLF5	0.817125
CDR1	2.65725
VCX3A	-4.7945
FBLN2	1.309625
C14orf104	-0.38025
HBE1	-4.9735
OR4S2	0.376
C1orf108	0.806166666666667
ROBO4	2.94883333333333
CPEB4	0.593625
C11orf80	1.03016666666667
BCKDHA	0.524833333333333
MYOC	1.9945
GIF	0.1345
CKMT1A	-0.844
RPL3	0.4467
THBS1	1.5715
APOO	-1.21475
ARMCX1	-2.092
HSZFP36	-0.09
SNAPC5	0.2305
EIF4ENIF1	-0.13775
ZNF433	-1.07275
TNFRSF21	-0.803
TMPRSS7	0.897
SPATA18	-0.3869
HPDL	-1.8515
MKL2	0.4128
TBX3	-0.505
C21orf93	0.513
DAXX	1.04525
ELMO1	-0.286375
RGS13	1.142
TAF11	-0.49775
UNC13A	-1.427625
LOC653314	1.5643
ORC3L	-1.24675
IMAA	-2.597
TARBP2	-0.12575
CABIN1	0.2223
TRIOBP	0.488
HIST1H2AC	0.368875
RGS22	-3.09366666666667
NCOA1	0.696666666666667
IL25	1.1805
SNCG	1.148
GPR6	0.6355
AMDHD1	-1.83283333333333
CHEK2	-0.871625
C6orf142	-0.0375
DRD4	1.67375
C14orf68	-1.446
GDF11	-2.0535
SEMG2	0.6305
CD247	-0.561
CDAN1	-0.254
RBMX2	-0.752833333333333
TGS1	-1.7585
OIT3	-0.70975
SYF2	0.08225
MCM4	-1.921875
PKHD1L1	1.218875
CEP192	-1.08166666666667
IFT88	1.46625
RPL9	-0.667928571428572
RAB32	0.575
DDX43	-2.78275
P2RX2	0.567
OR5D18	0.199
UBE1	0.541333333333333
SLC24A1	-1.12525
ARHGAP5	0.59825
CETP	0.3395
KIAA1731	-0.760833333333333
SLC9A4	0.014
PTPN6	1.53825
BAHD1	-0.39675
GRIK3	0.326
CACNB2	-1.3831
PDE10A	1.903
DGCR14	0.36525
PCDHB9	-0.5255
RHOQ	-0.183
MAP3K4	-0.42875
KTI12	0.0513333333333333
RPL23AP13	-1.78125
GNG11	-1.09575
CLCN3	0.2285
GPAM	0.222875
VSTM2A	0.943
SLAMF7	3.2145
INTS2	-0.02475
PPP2CA	-0.6654
LRP12	-2.13133333333333
SEC14L2	-0.0418888888888889
DKFZP586H2123	1.9595
MC3R	-0.124
CIRH1A	0.3605
HIST1H2AB	1.26883333333333
POLH	-0.733125
MGC16703	-1.381
SNAPC2	0.168
FILIP1L	0.278
RASGRP4	0.2985
LRRC1	1.385
GAS1	-1.13875
PRAC	-1.24475
DGKA	-0.5125
NT5C3	-1.4735
PEG3	-3.96390909090909
NADK	0.62125
PRR17	1.67625
LOC374569	-0.1705
SGSH	-0.149833333333333
NLRP8	-0.2155
GALT	-1.0015
MCF2	-0.3145
ZNF263	0.2995
TACSTD1	1.788
TYR	-6.5819
ATP6AP2	0.2735
RNUXA	-0.5325
ABHD10	0.2391
GDPD2	-1.693
SLC35C1	-0.2435
UBE2A	-0.122
HERC5	-2.06216666666667
FAM112B	-5.34983333333333
FBXL16	1.1755
DKFZP434A0131	-0.48725
ELA3A	-2.492
RBM41	-0.51875
HAO2	-0.201
RNH1	0.185875
SHANK2	1.029
OSBP2	-0.0995
DAK	1.8515
C3orf58	-1.66275
TCL1B	-1.0255
KBTBD2	-1.31025
SUGT1L1	-0.3735
UBE2E2	-1.19433333333333
MYL9	2.457875
CDC23	-1.13383333333333
PBXIP1	1.9563
CXorf40B	-0.438
NBL1	0.42275
RTBDN	0.3675
RAB11FIP5	0.179125
TTTY13	0.4905
SCOTIN	0.60925
SOHLH1	1.08266666666667
CDKN1A	-0.8525
NCK1	-1.60175
ZNF550	-1.09125
SAPS3	1.16108333333333
SPIN3	-0.850166666666667
MAGEE2	0.23975
MIS12	-1.22133333333333
OR8H2	0.204
KIAA0774	-0.563666666666667
UNC5D	-2.06
CUL7	-1.08466666666667
LIPC	-3.56316666666667
DIO1	-0.51875
C20orf11	0.3192
CTRL	0.114
HS3ST2	2.65625
PAK4	1.73683333333333
CCRL1	1.512
RNF10	-0.044875
ZNF567	-0.42675
ZNF660	-0.23
TCEAL3	1.13275
MAGOH	-0.163333333333333
CENPB	1.24266666666667
C19orf7	0.475375
LOC388965	-0.0715
ZCCHC13	1.0575
JMJD1A	-1.1791
HIST1H4H	2.33
TBRG1	-1.0422
GPC3	-4.06425
TAF1C	0.0335
EBNA1BP2	0.4115
CIAPIN1	1.78525
PDGFRA	-1.1215
CSTB	-0.945625
CENPI	-0.949833333333333
GTF2E2	1.48183333333333
RPP21	0.696
CCNF	0.773666666666667
KCNQ3	-0.393
FAM79A	0.441
SLC22A12	0.55
NOVA1	-1.52383333333333
FZD3	-0.3129
AKAP8	-0.90425
SOCS5	-1.287125
CFDP1	-0.128
DLG5	0.46075
PGM5	0.10575
C1orf144	1.19308333333333
HDAC10	-0.5085
RND2	-1.399
C20orf199	0.685
RNMT	-0.49725
SLURP1	0.73925
ASTN1	-0.92275
SH3BGR	-1.24
MYCL1	-0.617625
ZHX1	-1.27366666666667
CENPK	-3.2565
FOSB	2.5142
LOC643406	0.47975
C2orf59	-0.579125
TMEM135	-0.508875
SLC27A2	-3.78475
KRT33A	1.2705
OVOL1	1.77285714285714
PAMCI	-3.087
S100A7	4.215
ZNF789	-1.1
HARS2	0.02225
RPL23A	1.1705
TCF23	0.1705
UPF3B	-1.73875
C17orf78	0.822
HLA-DOB	0.935833333333333
C14orf142	0.616833333333333
TEKT5	0.757833333333333
DMWD	0.147
POLD1	-1.80666666666667
GSCL	-0.197
CALD1	-0.7325
SCRT1	1.374
AIG1	0.514
UNC84B	2.126
ZNF404	-0.76325
TMED6	-2.55125
KIAA1462	0.0245
LRRC27	1.52633333333333
PYGO1	-0.0665
PIGU	0.448833333333333
ALAS2	-3.93366666666667
WRNIP1	0.14325
CNNM3	1.4215
ZNF2	0.184
ST3GAL5	-0.582666666666667
MRPL23	-0.812
TSSK6	-0.0795
PSMA6	0.51325
C16orf70	1.1495
KIAA1602	-0.20625
ALMS1	0.390333333333333
DCN	0.707625
TMEM132D	0.105
SUCLG2	-0.8325
ABHD14A	-0.227
DEXI	-0.151666666666667
AMPD2	-1.58566666666667
IFNAR2	0.8045
CYB5A	1.3325
TLOC1	-0.00724999999999997
NXF5	-0.772333333333333
NRBF2	-0.659625
KCTD3	0.01925
ITGAE	-0.157166666666667
SLC30A3	-0.3615
ZRF1	-0.7435
IFRD2	-1.02075
XAB1	-0.509
PYCR2	0.668666666666667
SERPINB3	-4.0365
TMLHE	-0.7893
GEFT	-1.585625
ABCA5	-2.96625
EMR4	0.0535
TSFM	-0.57925
HIST3H2BB	1.103
ARHGEF19	1.44825
TSPAN17	0.8745
ABCC8	-0.037
MAP1S	0.903833333333333
C22orf36	1.312
BNC2	-1.24914285714286
HIST1H4A	0.30975
NDUFS3	0.104833333333333
WDR3	-1.92
XKR4	-0.566
TTC33	0.0401428571428571
STMN2	0.82225
CPN2	-0.951333333333333
HSPC105	0.1855
PCOLCE2	-2.1645
C3orf55	-0.396
KLHDC9	-0.507666666666667
TBC1D23	-0.35325
ATXN2L	-0.99625
MAP2K3	1.56558333333333
SCAP	0.50725
ZNF486	1.364
C20orf96	-0.1085
NARS	-0.8955
ADAMTSL1	-1.15271428571429
PRCC	-0.461
CCDC126	0.136333333333333
ZNF675	-0.172
CALCOCO1	-0.345
ANKRD43	-0.69475
CWF19L2	-0.747166666666667
ZBTB32	2.16666666666667
BRAF	0.60475
ODF4	0.2965
MGC14376	-0.6805
HORMAD1	0.0793333333333333
AAK1	0.2155
PEBP1	0.0856666666666667
TNFSF5IP1	0.727833333333333
DKFZp564N2472	0.2435
RMND1	-1.022625
IGKV1-5	4.89575
COL1A2	1.27933333333333
SERPINA5	-4.15975
AANAT	0.548
C19orf21	-2.3895
GEMIN5	0.09175
UBR4	0.515833333333333
LTBP3	0.932666666666667
AMHR2	-1.808
PROCR	-2.436
MYBBP1A	0.06475
C20orf39	-1.68733333333333
ZNF697	-0.824
PASK	1.1021
ZNF776	0.533166666666667
RFXDC2	-0.171625
KIAA0467	-0.23
C10orf96	-1.63475
ZNF503	-1.2365
GULP1	0.3355
KCNE4	0.0243333333333333
DKFZp434K191	-1.53125
LOC196913	0.869
BHLHB4	2.962
CH25H	0.06475
LOC81691	-1.78583333333333
ALPL	0.627357142857143
COL12A1	0.45575
FOLR3	-2.815
GPR123	-0.180625
TRIM62	0.930357142857143
ABLIM1	0.729666666666667
MAST3	-0.087
RHBDD1	0.425666666666667
LOC338809	-0.0995
RYBP	1.18075
TTC26	0.236375
ZNF22	0.2355
ISCA2	0.44825
RDM1	-2.36475
PIGM	0.84225
GNB3	-0.7135
ACTR2	1.3376
HMGB1	0.86655
EDG1	1.67866666666667
SOAT2	-3.755
OR10AD1	0.724
RAP1GDS1	-0.0376666666666667
LCE1F	0.6
ESM1	-2.511125
RCN3	1.9415
CREBL1	-0.403
DBNL	0.811666666666667
PTGER3	0.673625
USP30	-0.053
BCL2L12	-1.06266666666667
KIF26B	1.25475
ZNF416	0.356
ZNF225	-0.0775
C17orf70	0.4115
ZNF554	-0.20175
RAE1	1.19266666666667
TNIK	1.6095
ACTN3	1.599
MGC45922	2.0325
CCNA1	-2.073
RYK	0.8465
IL26	0.532
LRP3	1.84716666666667
QARS	0.84
SOX7	0.621857142857143
BID	-0.21675
OR2S2	0.1995
CXCL14	3.04425
C11orf47	-0.0105
MGC29891	0.179166666666667
HSPB8	-0.3633
PRDM14	-0.814
NUFIP2	1.88625
MNAT1	-0.28575
ZDHHC2	-2.36841666666667
MBNL2	0.548875
ADD3	-1.92325
CSNK2A1P	0.1695
KLK6	-1.69666666666667
TMEM111	0.136
KIAA1279	-0.79625
NUBP2	0.850833333333333
RAB42	-0.00975
ID3	-1.0242
TM9SF1	1.058
MDP-1	-0.5
POU4F2	0.8675
IQCK	0.83725
C16orf14	-1.166
CAPN3	-1.796375
FAM43B	-0.985625
RECQL	-1.05475
AP1G1	0.565428571428572
CTNNBL1	0.351
ECHDC1	-2.31033333333333
SMARCC1	0.2944
FOXQ1	-1.69875
GNAI3	-1.19366666666667
POLG2	-0.715
CD4	1.283375
ITLN1	0.225
EBI2	3.2495
IRF1	1.6725
PTPRE	0.6063
PTK2B	-0.159
NXNL2	-1.33
SOX4	0.382722222222222
TSPAN3	-2.1305
SH2D1A	-1.68583333333333
C8orf58	-1.4215
USP20	0.48375
DUSP22	-0.321
CALB1	-2.48566666666667
L3MBTL2	1.13616666666667
MCRS1	0.01125
TMEM118	-1.26283333333333
C18orf8	0.824333333333333
FLJ10241	0.5225
GJA12	-0.125
PKD1	-0.042
ZFP3	0.6005
JAM3	-1.9955
LAPTM4A	1.0457
DIRC2	0.65975
KIAA2022	-2.6205
MYOM1	0.663666666666667
TRPM8	-3.08033333333333
MOP-1	1.805
PHKG2	0.361125
ZNF650	0.317875
KIAA1522	1.394125
PSG8	-1.25633333333333
DDX19B	1.301
MOBKL1B	0.47025
DIAPH2	-1.18366666666667
PTPN12	0.063
CLN8	-1.6267
CRYZL1	-0.772166666666667
CRY2	0.411916666666667
FCGR2B	2.685
PNPLA4	1.16975
ZNF454	0.2025
DKFZp434B1231	0.02375
CLDN11	-0.1662
RFWD2	-0.0813333333333334
CIB2	1.4465
MXRA8	1.702375
HRK	1.645625
MAML2	-1.24275
C4orf31	-1.853
C6orf192	-2.5385
COG6	0.3815
FAM5B	0.30525
NFATC1	0.9044
SEPT10	-0.6095
SCYL1	1.2643
RPP40	-0.031
SCOC	0.1458
KIAA1450	0.4655
CTDSPL2	-0.206
TBX5	1.55133333333333
NAPG	0.780125
RHD	-4.8785
C14orf45	1.27783333333333
ZBTB22	0.708
PLCG1	-0.2475
ANKRD10	-0.8875
AQP7P2	2.25
TAGLN2	1.05316666666667
HTR2C	1.31216666666667
SLC16A7	-0.675166666666667
C17orf83	-0.09625
TSGA14	0.543
MDH1	0.12575
PPP3R2	0.5926
DCBLD2	-2.08742857142857
RBM33	-0.646875
DPH3	-1.4395
SYT10	-1.2985
FMO4	1.36875
THYN1	-1.172
DRD5	-2.7325
OTOR	0.35325
PGRMC2	0.8168
KATNAL1	-0.708875
PAQR6	-3.85675
UBE2I	-0.53775
C14orf28	0.122
C8orf70	0.08175
FLYWCH1	-0.497875
ANGPTL3	-0.4475
GLRX2	0.012
ATP11A	-0.188857142857143
ARL5B	0.12525
MUC16	-1.121
SLC25A5	-0.910928571428571
ACRC	-1.44075
MYO1C	0.369875
FAM89B	1.99266666666667
FAS	-1.29775
