Hybridization REF	TCGA-E2-A14W-01A-11R-A12D-07
RTN4RL2	1.3275
MGC3771	0.4865
GH2	0.253333333333333
BTBD2	-0.01075
LMO2	-0.99925
RDBP	0.260625
ACRBP	-2.325
AMY2A	1.39275
DUOXA1	2.266
PTK7	0.878
TWF2	-1.1915
FAM80A	0.33
TNNI2	-2.80083333333333
GLT25D1	-0.603666666666667
OCC-1	-1.211
CYC1	-0.884
RPL22	0.448272727272727
MORN3	2.13666666666667
DISP1	1.86125
PRB2	-0.3065
CHUK	-0.76725
HR	-0.74275
CCDC134	0.1235
DENND4B	-1.11275
C14orf130	-0.43775
RAB33A	-1.41825
DCST2	0.7305
TNMD	-2.992
PEX7	1.28225
FAM62A	0.2945
SRD5A2L	0.53525
IL22	-0.46875
RPS26	-1.633
HOXC5	1.157
SPATA6	1.3245
FLJ38482	0.050125
ZNF234	1.532
C18orf22	2.17875
SPATA22	-0.5965
THOC1	-0.756
CYP7B1	4.27375
KCNC3	-0.12825
C8orf42	-0.7665
ALDH1B1	-0.423
CCDC100	-0.0115
ARMC4	-0.58275
FAM18B2	-0.75675
SLC44A1	-0.12275
FBXO17	-0.0201666666666667
C6orf107	-0.43425
C19orf29	0.037
ZC3HAV1L	0.18975
PARP6	-0.2954
SULT2A1	-6.07157142857143
C1orf159	0.05175
TMC1	1.754
CHST14	-0.4185
GAMT	1.21433333333333
SMCP	0.0225
TSPAN33	0.485416666666667
MIDN	0.334375
NOX4	2.445
RNASEN	-0.1408
TBX1	2.00116666666667
SALL2	-0.067
C10orf35	2.6795
CYP2E1	-1.2655
LRFN2	3.637
ACO1	-1.33016666666667
IQCG	-0.1513
MEGF9	0.9325
TM7SF4	-0.46325
PLEKHA1	0.299066666666667
STK33	1.85875
C1orf210	3.5865
SNUPN	1.1414
KIAA0406	-1.2735
C20orf29	1.457
TMEM55B	-0.07425
OSTM1	-0.65675
CLCN7	-0.3175
OTP	0.50275
FLJ23049	0.3905
HEATR4	-0.4465
MAP3K10	0.182166666666667
PCDHGA9	0.5095
AMDHD2	-1.1265
LCTL	-2.1985
PDCD2L	0.07575
CABLES2	0.02625
SLC5A9	-0.036
CLCA2	-2.9528
MGC16025	-0.8185
STRAP	-1.19883333333333
C20orf196	-1.667
RRBP1	1.299
NAT13	-1.24
MAT2B	-0.565375
CSNK1D	0.119166666666667
KIR3DL1	0.33275
PRKAG3	2.2215
ZNF599	0.235
PRM3	1.697
PER2	1.22316666666667
ASPHD1	-0.982
PRMT6	0.149
KCNE1L	-0.702571428571429
FAM118A	-0.3235
TAF4	-0.14175
NDUFB6	-0.70075
TRIM9	-0.770333333333333
PMFBP1	-1.07475
KY	0.7115
DKFZp762E1312	-1.391
CSMD1	-1.20175
TBP	0.0623333333333333
OR1Q1	0.6435
RETNLB	0.2145
HPGD	-0.257615384615385
DNAJC12	0.236833333333333
FKBP1B	-3.3305
ANKRD24	0.193166666666667
CXXC5	1.302
IL3	0.46975
DRAM	-0.392
PTCH1	-2.3025
TP53BP1	-0.73775
SLC17A7	-0.217625
COL25A1	-1.38066666666667
AMACR	0.654833333333333
RHCG	0.03475
VPS13A	-1.25691666666667
FAM55D	0.519
PRPF38B	-0.0915
OSBPL6	0.9305
PFDN5	0.9134
CMTM6	0.332
KCNK12	-1.0735
RP2	-0.38175
C16orf52	-1.43525
PICK1	-1.33
IFNE1	-1.5292
SEMA4B	0.74325
TYRO3	-1.3895
OR12D2	0.212
CSNK1A1	0.7731
FANCF	1.68525
LONP2	0.33425
TBL1Y	-0.28275
LDOC1L	-0.95775
CCNC	-0.6855
C3orf60	-0.11675
CHKA	-0.709
UBAP1	-0.60025
MAP3K1	1.098
ANKRD9	-0.847
FAM92A1	-0.3905
GAB2	0.26475
AZU1	0.48275
DIS3	-0.917416666666667
C21orf109	-1.9005
IQCB1	-1.29375
SPATS2	-0.677
EFCAB3	-0.9735
PRB3	0.855375
FUZ	0.8485
ZNF813	0.310375
BMPER	-2.0934
HEG1	-0.772875
ALS2CR11	-2.33825
SURF2	0.238
PSMC1	-0.560666666666667
OR2D2	0.6435
SLC7A8	2.7315
C4orf40	0.702
SPATA7	-0.38225
MAZ	-0.260916666666667
PIN4	0.23925
PDE1A	-2.52725
TAF6L	0.406333333333333
OR2T34	0.7215
KIAA0284	-0.0185
ACADS	-0.779545454545455
MKRN2	-0.3735
C18orf56	-1.88375
MS4A6E	-0.237333333333333
GALNT4	-0.0246
C22orf31	-0.395
FLJ36070	0.124
PSME4	0.37275
TFG	-0.1772
EPHX2	0.7865
ANXA5	-0.83525
KRTAP1-1	-0.186333333333333
BATF	1.495
KARS	-2.54475
MSTP9	-0.0375
GPR26	0.485625
CCDC72	0.0615
TEF	0.509333333333333
FOXK1	-1.0394
PRLHR	-0.017
EMX1	1.44525
C11orf30	-0.66925
ICK	0.29775
THSD7B	0.4
C21orf100	1.548
DUOX1	3.439
EFCAB4B	0.498
UBE2G2	-0.767333333333333
C3orf54	0.71325
PARP1	-0.62175
FAM60A	-1.49036363636364
C6orf146	0.19175
OR9K2	0.549
DDX55	-0.856666666666667
RPS15	0.993
ZNF618	-0.0905
DKFZp686D0972	-0.56975
SSPO	0.6725
SHFM3P1	-0.759166666666667
CPA6	-0.728333333333333
JAG2	1.19875
DEFA3	1.01475
PPBPL2	0.885333333333333
CD34	2.949125
SLCO4A1	-3.208625
AFG3L1	-2.237
SHD	-0.15675
RP13-122B23.3	-1.27966666666667
PRKCSH	-0.627333333333333
DPH5	-0.00616666666666666
HLA-F	1.09375
TBC1D4	-1.582
RIG	0.261
GLUD1	-0.00399999999999999
HNRPCL1	-0.131625
HBXIP	0.28425
RNF207	-0.423
APIP	0.469
PLA2G3	-3.231
CCDC84	-0.35775
MYLIP	-0.949846153846154
PHIP	0.1105
AARS2	-0.1035
DHX32	-0.04125
SCAPER	0.0428333333333333
MEN1	0.139857142857143
NIP7	-1.226
FLJ25404	0.8815
FASTKD3	-0.70775
TMEM158	-2.14083333333333
RARA	2.48525
BDH1	-0.149
ANKRD16	1.174
CARM1	1.884
SS18	0.203666666666667
IKZF2	-0.620583333333333
MYD88	-0.54475
PML	0.51355
TAF1A	-1.9855
CBFB	-1.51725
HIST1H3H	-0.901333333333333
C7orf29	-2.365
COMMD4	0.07
DPP3	-0.57525
DAB2	-0.522125
LOC388882	-0.547
YPEL4	-0.324125
AGBL3	0.49575
LRP6	0.3988
SERPINH1	-0.886333333333333
TLE1	-1.99175
CD244	-0.463333333333333
ZDHHC15	0.404
MGLL	-1.9063
PLDN	-0.128916666666667
LOC654346	0.6775
FAP	1.581
GPR37	-0.238
SCARA5	-1.13233333333333
EBF4	2.08609090909091
LSM6	-0.78
MLLT1	-0.1968125
SLC5A12	-0.07575
A2BP1	-2.2475
COPS5	0.112833333333333
TPM4	-0.324857142857143
TNFSF4	1.2335
ACADSB	0.814722222222222
HERPUD1	0.3215
BCL2L11	-0.605166666666667
CEP78	-1.9295
CDCA3	-0.93825
WBSCR19	0.0878
MYO1A	-1.5635
PPEF1	2.70783333333333
LOC440348	-0.85325
CPEB2	1.466625
BPTF	0.5785
RPL21	-1.407875
GSX2	-1.225
ADPRH	2.20983333333333
C17orf68	-0.177666666666667
KCNS1	-1.0845
MLLT6	0.294
PIWIL4	-0.71675
RNF26	0.30375
RAP1B	1.686
ADAMTS1	-0.0901
ZNF571	0.972
P2RY6	-1.5065
TRIM21	0.355166666666667
CADM3	-0.25875
NLRC5	0.106333333333333
ADRA2B	0.1455
LOC90835	0.298875
PCF11	-0.6625
LOC400451	2.8905
GLTSCR1	0.3064
C17orf88	-0.352666666666667
CDH16	-1.63275
FGF7	1.044625
PCSK4	0.771833333333333
NPC1L1	-0.956666666666667
TAT	0.536142857142857
TBCA	0.31475
MGC33407	0.19
GPR115	-0.613428571428571
CYGB	0.3215
FNBP4	-0.795333333333333
C12orf43	0.22375
CBL	-0.3699
CLECL1	-0.5665
PPAPDC1A	1.1455
WDR25	-1.1912
SGCA	0.278
C22orf29	0.823166666666667
YIPF1	1.7465
GALK2	-0.723
RAB3B	-0.728166666666667
LOC440087	0.316
UCP1	-1.518
REEP5	1.9485
FADD	-0.5157
FOXA1	3.2805
CACNA1A	0.6132
ABI1	0.071
GRIN2D	-0.6325
SLC1A4	-0.281333333333333
LOC401127	-0.98475
HINT2	-0.047
PLD4	-0.568666666666667
ZNF286A	-0.357
ENY2	0.293
IL1F6	0.4975
PXDNL	3.40025
C20orf79	-0.90425
TNFSF13B	2.338
DENND3	-0.5355
JARID1D	-1.42075
HIST1H2AK	0.36775
LOC93349	-0.5685
SSH1	-0.7166
ENSA	-0.0545
LOC219854	-0.146166666666667
CKAP2	-1.8352
DKFZP564J102	0.626166666666667
MGC87315	-0.118166666666667
HNRPAB	-0.72225
AMH	-1.146
ZNF526	1.026
BRUNOL5	0.0154
CACNG3	0.0265
TRPM1	-2.835
PPP2R1A	0.71175
COL2A1	-1.732
DDN	-0.337333333333333
FLJ25770	2.663
HK2	0.192785714285714
ELOVL6	-0.98125
MDK	-1.18575
EPHX1	1.17225
RASSF2	-0.361875
DKFZP434B0335	-0.71275
DLX3	0.707
PRTN3	-0.335
AVPR1A	0.437
C21orf125	-1.95325
TNFAIP8	-1.60083333333333
GNB2L1	-0.964
CALCRL	1.3015
SCGB2A2	7.0036
UBXD7	-0.719
ZNF674	-0.3975
TMEM35	1.272875
BRSK2	0.042125
HECTD3	-0.120666666666667
TMEM188	-0.781545454545455
LGALS9	0.080625
SCARB2	0.73475
USP34	-0.3035
C17orf28	3.41
ZDHHC23	-1.19175
AQP12B	1.6035
SLC16A3	1.08775
APLP2	0.55525
ITIH2	-5.38325
MICAL3	-0.221875
TNNI3K	0.730333333333333
HDAC2	-0.034
PRR7	-0.0509
THBS2	0.3155
LOC751071	-0.509166666666667
CA2	-2.6925
RANBP17	1.20175
RLN3	0.4935
CRYZ	-0.2975
GBAS	0.0851666666666667
TAS1R1	1.7085
MPZL3	1.323
PCDH8	-3.1545
HSP90B1	1.0355
KCNK15	1.698
TNIP2	0.0891666666666667
GPR146	-1.48675
NOL6	-0.4535
SPC25	-2.35322222222222
STEAP2	3.677
VAMP3	-0.682666666666667
TCIRG1	-0.00875
ZP4	0.215
PARL	-0.508125
TRIM39	0.332666666666667
KIAA1305	1.7635
CRNN	0.7952
GRN	-0.43025
HSH2D	-0.96075
SCAMP1	0.59925
KIAA1913	-0.865
PTS	0.57975
BANP	0.129357142857143
PRKACG	-0.0713333333333333
ADCY6	0.561166666666667
C16orf46	0.516
CYP51A1	-0.387125
DDC	-4.3815
ANPEP	3.51883333333333
PROM1	2.6725
SIGLEC10	1.15225
COPG	1.7435
FAM26E	-0.17925
TRIP4	0.11625
SNX3	-1.10033333333333
C1orf175	0.86
PPY2	-0.057
C14orf152	-0.18575
FTSJ1	-1.0775
DST	-0.48055
LOC554235	0.08975
GLRX5	-1.16875
C20orf12	1.4682
CAB39	0.248666666666667
MSH2	-1.56033333333333
PIP4K2C	3.301125
CYLD	-0.015875
WTAP	0.6974375
MGAT4A	0.452777777777778
TSC22D4	-0.3809
CHRM2	-1.7425
PPYR1	0.261333333333333
CCNH	-0.1225
RRM1	-0.4865
ECAT8	-3.69875
LOC400120	-0.233666666666667
GABRA4	-0.681857142857143
C14orf4	1.97083333333333
C1orf59	0.84125
CTDSPL	0.8965
NHEDC2	-0.1335
PDE11A	-0.489666666666667
KLHL29	-1.92125
CD5	-2.05222222222222
TSPAN9	2.11425
WDR67	-0.11225
THUMPD1	0.6132
C18orf17	0.56725
CLYBL	-0.0656666666666667
FLJ13231	0.064875
CMBL	2.047875
LECT2	0.148
NKAPL	1.807
LOC654780	0.593
OR4C6	0.124
RAB30	1.1735
TSSK4	-0.219
TMEM163	-0.836
OSBPL11	0.698166666666667
GNB5	-1.60066666666667
CCL21	0.588
C1orf121	-0.702833333333333
FMO2	1.272
RPTN	2.1435
MSTN	1.3855
VCL	-0.500214285714286
FYTTD1	-0.243
C11orf1	0.47075
CCDC88C	0.3508125
HFE	-0.392222222222222
MOGAT1	-1.713
FAM125B	0.0733333333333333
IRGQ	0.497
RAVER2	0.333
AKAP5	-2.232
SSSCA1	-0.13675
C11orf63	2.323
ACTG2	-0.533
PORCN	-0.2205
DTL	-2.15663636363636
TMEM151	0.673
FAM122C	-0.69525
RSAD2	2.4275
BAT4	0.02
KRTDAP	-0.8095
MYH8	0.250375
CRTC3	1.0015
LRRFIP2	1.219
INTS4	-0.0476666666666667
TTN	-2.1015
SLC26A5	1.5375
PLLP	-0.84475
RGS6	-0.64325
SRGAP3	-0.1085
ZNF525	-0.081
NBR2	-0.684666666666667
C13orf1	0.7805
ZNF137	-0.0665
CEP27	-2.7555
BEST2	0.7895
RNF121	0.078
DMRTC2	3.5115
C8orf76	0.75725
BCCIP	-0.623625
MEST	-1.23375
HTRA2	-0.52
ANGPTL2	0.984
ILKAP	-0.082
ERAS	-0.1245
HBS1L	0.416625
CPA5	0.1045
TMEM30A	0.256666666666667
CD300LF	0.135333333333333
WISP3	-1.0705
CRK	-0.658357142857143
PDS5A	-0.1102
BRPF3	0.690833333333333
NEDD9	-2.309625
SMPDL3B	1.0245
PSG6	-0.932333333333333
PSMD13	0.27125
ETV5	-2.0785
OR51A4	0.124
BTBD7	0.315083333333333
GSTO1	-1.735625
hCG_16001	1.352
MAD2L1BP	-0.213833333333333
COX6A2	-0.0755
SCNN1A	2.43616666666667
LSM1	0.427833333333333
UGT2B11	-3.7155
IDUA	0.9235
PPP2R3C	-1.543
COX11	0.425166666666667
PDZK1	-3.471
ZNF443	0.337666666666667
MGC21874	1.509
ZNF323	1.8305
KRTAP10-10	1.3315
CXCL6	-0.966
SLC34A2	0.3183
LOC284402	1.946
NPTN	1.944
UPP1	-2.27633333333333
SLC6A9	-0.854
OR7G3	-0.59775
CISD1	0.354166666666667
ZNF545	0.1365
SYT14	-0.991
NT5C3L	0.275166666666667
ZNHIT3	-0.202333333333333
SNRPD3	0.69175
KIAA0701	0.77525
UNC93B1	0.868166666666667
GMNN	-1.81025
SPCS2	1.49816666666667
LOC388524	0.1735
NAPRT1	-2.537875
PNLIPRP1	2.544
OR6V1	0.531
PRKAB1	-0.457
EYA4	3.21983333333333
KIF20A	-1.097
ALG10	-1.0565
ITPKC	1.59516666666667
LMX1B	0.829833333333333
RPUSD4	0.08
C7orf34	0.216166666666667
DLGAP2	-0.372571428571428
PFN1	-0.7407
MICALL2	0.758833333333333
ZNF654	0.1285
SS18L1	-1.11925
SLC16A8	0.5695
MKI67IP	0.312833333333333
ITGB3	-1.571625
TCEA3	3.0355
CEP152	-2.1553125
CLIP1	0.687875
ZNF75	0.235466666666667
ATP5C1	-0.661333333333333
NUDT5	-0.427333333333333
PSCDBP	-1.4615
UBP1	-0.13275
RBM27	0.531
C13orf15	2.793375
ZNF282	-0.077
ZNF222	-0.3398
COL10A1	5.9785
PRDM15	-0.97175
TTTY5	-0.442
FAM9C	-0.722333333333333
C20orf67	-0.01275
GNG13	1.6785
F12	1.81825
C1orf41	-0.17575
CPXCR1	-0.819
GSK3A	0.839875
SUPT6H	0.209833333333333
PI16	-1.504
ELL2	-0.406583333333333
C9orf167	-2.68483333333333
PVRL3	-3.5581
FLJ38596	2.583
ADAM20	-1.02175
GPR89A	0.168
GPR87	-0.636
ZNF30	1.43175
SMR3B	0.29
ZNF770	-0.12525
TRPC4AP	-0.917166666666667
DKFZP686E2158	0.875
C2orf28	-0.508833333333333
FREM1	-4.1558
LAMA4	-0.2665
ADPRHL2	0.21875
EIF4G2	1.11083333333333
GUCA1A	-0.934
CTNNA2	-1.20414285714286
NUDT15	-1.45883333333333
CEPT1	-0.370333333333333
ZNFX1	-0.4902
CCDC92	1.34225
TDRD1	-2.144
KCNK5	-1.38633333333333
ETNK1	-0.615333333333333
LTA	0.7465
TTPA	0.342
B3GALNT2	0.297625
SC65	-0.1175
PEX5L	-1.74642857142857
EPS15L1	-0.175
MGEA5	-0.42425
HIST1H3A	0.85575
ING1	-0.112125
BCAT1	-3.570125
ORC6L	-3.02909090909091
KLK11	-5.17666666666667
C19orf28	-0.40975
DNER	-3.829125
MED22	-1.05885714285714
ETV6	0.6755
CHAC2	-1.90425
CD300E	0.00399999999999995
CEBPB	0.3475
ZNF398	-0.13575
LRCH3	-0.493
HMGA1	-1.65133333333333
CAPN7	0.4305
MGC5566	-3.22125
CCL3	2.665625
NANOS1	0.0491428571428571
ZFYVE19	-0.91675
APITD1	0.148166666666667
PARD3	0.441125
IRAK4	-0.8615
SERPINI2	-0.53
CEP170L	-1.93825
TTC9	2.99275
MYOM3	-2.474
MLPH	0.55875
LOC222699	2.286
NRG1	-1.58609090909091
TBC1D9	1.92245454545454
TTK	-1.805
ZNF557	0.7418
DDX41	-0.127166666666667
FANK1	1.4115
UBE2D2	-0.147875
PSMB10	0.37425
MYH7B	-0.134
GABARAPL2	-0.747125
MARVELD2	2.6095
DGCR2	1.47766666666667
UNC45A	0.868166666666667
C6orf72	-0.123
ZNF683	2.71075
GIT2	-0.28075
CASK	0.889166666666667
C14orf161	-0.0828333333333334
LRRC44	0.26975
TIFA	0.71775
UTP11L	-0.339375
C6orf65	-2.51775
FDPS	-1.388
DUSP9	-1.83
SLC17A8	0.4772
OR51G1	0.663166666666667
NANS	-0.1415
OLFML1	1.14975
ATP10B	-1.031375
NPAS3	-2.27575
PRKCA	-2.65422222222222
GGA2	-1.0124375
LCE4A	0.6515
SPANXN3	0.2445
CCDC115	1.36375
SDCCAG3	-1.3795
GLIPR1L1	0.7975
TTC1	-0.02225
C17orf76	1.43375
MAD2L2	-1.18475
HIPK1	0.239
LRRC3B	-1.067
CLN3	-0.463590909090909
C17orf47	0.386
FMN2	-2.90471428571429
TUBB1	-1.5135
WAPAL	0.263333333333333
C3orf21	-0.7545
SCN5A	-0.7541
SMYD1	0.315333333333333
BEX5	1.21925
ZNF192	-1.107
SEC22A	0.244833333333333
GRIA2	0.173545454545455
KIAA0825	-1.34075
NUSAP1	-2.48663636363636
LANCL1	-0.197875
C15orf40	0.0464
ZNF645	0.167
GPR61	-0.67575
NLRP14	-0.736
SNX21	-0.195
C1QTNF8	0.5645
C17orf46	0.143
IFNA8	0.864
SPRR1B	-2.31316666666667
FLRT1	-0.959
SNX17	-1.85566666666667
ASB2	-1.8435
HBG1	-4.916
RPRML	-0.533
JOSD2	1.6275
PLSCR3	-0.103
SPOCD1	-0.713166666666667
RAB39	-0.284
GHRH	0.5425
ITIH5L	-0.414666666666667
C17orf37	1.39825
SMCR8	1.977
DPY19L2P3	-0.578166666666667
IL11RA	-0.130166666666667
GDF3	-4.81266666666667
RPS6KB1	0.170166666666667
DNAJC19	0.2989
TOP1	-0.052
CRCT1	-0.372625
MPST	0.49725
DPM2	-0.161375
FAM38B	-0.064
SLC18A1	-3.0025
FARP1	0.649333333333333
PAX7	0.3835
TUBD1	-0.92
GNL3	-0.092
BTG2	0.8022
NDUFS6	0.107
C1orf79	-0.69
ERAL1	0.34825
ECHS1	0.3325
VPS4A	-0.4455
CYP11A1	2.02375
ABCC6	-1.42307142857143
PBX4	-2.0935
MOSC1	-0.0485
NCF4	-1.9415
HYMAI	0.662
NAGPA	-0.757625
OTOP2	0.10025
ACOT12	0.057
MTHFD2L	-0.0975
LOC441376	6.09475
C19orf34	0.3995
RAB1B	-0.113
ALDOAP2	0.53
NTRK1	-2.5058
ARTS-1	0.7182
SLC6A11	0.596
NAP1L2	1.48225
CNGB1	-0.0278333333333333
EPB41L4B	1.046
FAM134B	2.56675
HS3ST3A1	-1.5315
CPXM2	3.58375
SIRPB2	1.553
CHORDC1	-0.4815
TRIB3	-0.5685
SLC2A5	0.53525
C2orf49	0.0393333333333333
DDX5	0.3395
OR5L1	1.0515
ANAPC4	-0.272833333333333
ZSWIM1	0.8335
LOC93622	0.14375
KCNK3	-1.14722222222222
RP11-35N6.1	-2.42975
ZFP161	0.2175
AQP9	1.94675
SLC15A2	-1.8325
MREG	0.479833333333333
OR9I1	0.4075
PDLIM2	-0.327125
ADAM7	0.5675
GSTCD	-0.2545
WDR21A	-0.351125
SLC12A8	1.06416666666667
TMEM174	0.459
IGSF3	-0.03775
LRRN1	-2.135
LOC402117	0.1725
SRPK1	-0.754333333333333
LY6K	-2.30806666666667
NFIA	2.255
PTCD3	-0.3495
LEP	-0.594666666666667
PCDH21	-0.734
MAPKAPK2	0.900785714285714
NMNAT1	-0.596833333333333
LHFPL2	-0.235625
C9orf43	1.09075
DIP2A	-1.34916666666667
ACTR8	-0.396875
CCDC34	-0.8885
PTPN22	-2.32875
ITGA3	-1.042
FAM129C	0.121
RABGGTA	0.644833333333333
UNC45B	0.30375
KIAA1033	-0.119625
ZNF510	-0.7825
CYP2D6	-0.169166666666667
SLC26A10	0.1125
STX8	-0.21575
LUZP1	-0.614
WDR89	0.831
EIF4G3	0.6258
C5AR1	0.482875
ZNF623	0.4945
A2M	-1.67725
TGM7	1.27
GRPEL1	0.358
LMNB2	-0.6949
ROCK2	-0.454833333333333
SNX16	0.64475
CCDC66	-1.065
ANXA3	-1.0975
KIAA1609	-0.302125
EED	-1.1565
RNF32	0.287166666666667
HES1	0.5781
CLC	0.458833333333333
ISL1	-0.435166666666667
KIAA0528	0.42125
MANEA	-0.752
C1orf61	-2.3795
hCG_2001000	1.6985
RAPGEF6	0.5107
KIAA0020	-0.874333333333333
NEIL1	1.9375
C16orf45	0.448875
RBM10	-0.0908333333333333
C10orf125	-2.080875
MRS2L	0.113
DNAH17	0.0896250000000001
C19orf10	0.74475
C1orf160	1.347
SLFN12	0.8825
EXOC3	-0.548833333333333
HIST3H3	0.8995
NCOR2	0.580833333333333
TNFRSF9	-1.963
MFSD8	0.16675
ALX1	-4.7555
NOL1	-0.77075
PODN	2.728
TIAL1	-1.5685
HIST1H1E	-0.206
NPY6R	0.16825
TM4SF4	-1.082
CORO2A	-1.43025
ETNK2	0.532166666666667
APOE	0.1138
ANGPT4	-0.0305
HDGF2	-0.00525
G30	2.435
ST8SIA4	-1.47
F2RL1	0.31625
FAM19A4	-4.335
CCAR1	0.25
B3GNT7	0.4535
OPHN1	-0.307555555555556
DSCR6	1.7415
C21orf13	1.45966666666667
GAS2L1	0.223916666666667
RFX3	-0.652833333333333
COPS4	-0.34425
BCHE	-4.603
BCL2	3.358875
HBZ	-3.2035
ARL13B	-0.00737499999999999
MAPBPIP	0.54325
MYO15B	0.79825
SPZ1	0.137
KIAA1324	2.195
PLCL2	-2.90525
C4orf29	-1.72825
WDFY2	-1.166125
ZNF284	-0.183
NAALADL1	-1.378
DUSP5	1.2135
PXDN	1.2975
SLMO1	0.4345
TNXB	0.2778
BIRC7	0.10325
A4GALT	0.370666666666667
TIMM22	-0.0045
FAM110C	1.169
TOMM34	-1.568375
ABHD9	0.131
ADAM32	2.6505
CRHBP	-1.98525
AQP2	0.450625
LOC130355	1.434
ZNF187	0.406833333333333
ZNF816A	0.335
F7	-0.456571428571429
CNOT1	-0.8929
SLC13A4	-1.1775
ZBTB11	-0.73
B3GALT5	0.44475
EXOC2	-0.447833333333333
IRS1	-0.2078
TMEM1	-0.660166666666667
MRPL34	-0.252166666666667
SAMM50	-0.66675
CDC42EP3	-0.70475
HSF2	-1.0578
MFN2	0.36425
TSPAN7	-3.391
NUCB1	0.567
RHOH	1.22125
ARL16	1.011
TACR1	0.46975
SFRS5	-0.800666666666667
SNX25	0.657125
RHBDF1	0.2445
PCDH18	-0.504
HMG1L1	0.42175
MYO5C	1.38275
MAPK10	1.789
LDHAL6A	-0.1015
NUDT12	1.21666666666667
NCAM1	0.163125
GLIS2	0.45
GGTL4	1.0305
DAPP1	-0.95
ATF7	1.051875
KIAA0748	-1.857
NFIL3	-2.26975
TM6SF1	0.3049
SEZ6	0.011625
NANOS3	1.53516666666667
DNAJA3	-0.233833333333333
CLDN6	-1.682
CIITA	1.94855555555556
EPHA4	-0.457583333333333
FANCC	0.07625
CMTM3	-0.873375
PSG3	-0.213375
MRPL15	-0.46175
C21orf59	0.8325
PLCXD2	-0.129
C2orf34	0.321
UBE2L6	1.462
MED14	-0.153833333333333
HP1BP3	-1.0438
C6orf208	1.489
TPBG	1.179
OSR2	-0.352125
XPC	-0.5005
KLHL7	-0.549833333333333
CCR3	-0.3425
AGTPBP1	-1.98416666666667
PCSK6	-0.404933333333333
STAT5A	-1.2198
FAM18B	-0.57725
LONRF2	0.9605
PTPN2	0.073875
SF3A3	-0.889
EFCBP2	-1.4465
HCFC1	-0.84
AHNAK	0.3926
ACTR5	0.1065
KIF14	-1.66585714285714
TENC1	0.66275
HEATR5B	0.522
YIPF2	0.7
MYEOV2	1.4395
DUSP18	1.3125
KIAA1012	0.0865
AHR	-0.9025
C17orf53	-1.19133333333333
PTPRH	-4.018
ATP6V1C1	0.2757
TAS2R3	-0.164
LOC440356	1.768
COQ10B	0.1205
PSMF1	0.32075
SORBS2	2.53291666666667
NFE2L2	-0.693
TMCO7	-0.57175
SH3PXD2A	-0.6232
SH2D2A	-1.6995
SPINK5	-4.206
MRPS24	0.38025
OPA3	0.423125
TRAF7	-0.954333333333333
C4orf35	0.0752
MT1G	0.8815
MGC39545	-1.48475
HS1BP3	0.3244
OR2B2	0.6635
CHRM4	0.524
SFRP2	1.80008333333333
RIC3	2.53325
ART1	0.518
C6orf1	0.54525
DUS4L	-1.02675
C10orf104	0.757
TNFAIP6	1.82625
RTEL1	-0.31325
CCT4	-0.9683
ZNF709	-0.954
CHMP6	1.80566666666667
UPP2	0.5185
CYP19A1	-3.83014285714286
CD151	0.0993333333333333
NDUFA13	0.957
ARFRP1	-0.844
FAM26B	0.86175
CRYBA1	-1.402
MRPL41	0.0136666666666667
NPFFR2	1.113875
HRH2	0.3335
SCAMP3	-0.194666666666667
MTMR6	0.8919
MTG1	-1.93416666666667
UBTD1	1.046
CRABP1	-2.67
FLJ33790	1.0457
KIAA1908	-0.733666666666667
GPR158	-3.56333333333333
PACSIN3	0.0896666666666667
OMD	3.48416666666667
CATSPER1	0.546833333333333
HOXB8	-1.588625
FBXO46	1.4365
OAS1	0.0635
SVIL	-0.60125
PHB2	-0.7465
ADCY3	0.0725
NDRG2	0.837833333333333
ERMAP	0.1775
APBA2	-1.53516666666667
IGSF9	1.9035
WNT6	-1.2065
MYCBPAP	1.41925
ATP2B2	-0.692555555555555
CPVL	-2.2926
TRAM2	-0.418666666666667
NOP5/NOP58	0.30825
ZNRF4	0.69975
TLK1	0.11125
MTMR12	0.411071428571429
ZNF384	-0.3455
FAM9B	-2.496
RPN1	1.4839
PMVK	0.839
EIF3D	-0.4303
SIX2	-0.50975
HPS1	0.102785714285714
RNF7	0.778
PSKH2	0.487
KCTD13	0.9375
CSMD3	-0.7534
FBF1	-0.2585
IL8	-5.837125
SERPINB13	-0.183727272727273
FBXL20	0.0135
BLR1	0.493
SH2B1	-0.324333333333333
RFNG	0.2355
RAB20	0.0578333333333333
RBM7	-2.756
POLR1A	-0.324666666666667
TMPRSS4	-3.13675
TAF9	-0.729125
TERF2	-0.6025
TNFRSF1A	0.728583333333333
ACADVL	-0.952333333333333
GTF2H5	1.36825
EDG8	-1.8904
C9orf140	-0.917
UST6	1.03025
ZBTB8OS	0.095
ZNF710	0.605
GPR174	-1.395
ATP6V0A2	-0.95525
KIAA0319L	-0.282166666666667
XKRX	0.621
DOPEY2	1.0473
SDHD	-0.556833333333333
SUMF1	1.89
OSM	2.5435
OPN3	-2.06575
DAGLB	0.253
PPFIBP1	0.4984
TRIM63	-3.249
C10orf53	null
LYPD3	-0.185666666666667
BCL7A	-0.062875
AGER	-1.70783333333333
TCF19	-1.538375
SAT2	0.4735
PFTK1	0.406666666666667
GABRE	-2.16725
C15orf38	1.6004
FIS1	0.495
KCNV2	0.176
