Hybridization REF	TCGA-BH-A18N-11A-43R-A12D-07
PUM2	0.692
SPRYD5	-0.9995
ALG10B	0.1065
ZNF365	1.16325
PHC1	-1.43875
KIAA0913	0.224
ARX	0.32625
PPP3CB	1.024
IRX6	1.0445
ANGPTL4	1.8126
LSM14B	-0.4099
PCDHGB7	1.4755
INSM1	-1.09666666666667
WBP2NL	-1.0845
ZNF493	0.8376875
NGEF	-1.83925
RNASE13	-0.014
SPPL2A	-0.195
SFXN1	-2.51042857142857
FAM102A	0.72
SAPS2	-0.637
JTV1	-1.7425
OR51B4	-1.0655
SCGB1A1	-0.1425
NEUROD2	-0.0955
tAKR	1.514
C1orf26	1.04325
RICH2	1.2905
TEDDM1	0.6735
CYP2S1	-1.065
TBCE	-0.615833333333333
MAPK1	-1.178
HDHD1A	-0.53175
MRM1	-1.85975
ATP9A	-0.0890000000000001
HSD17B3	0.545
HN1L	-0.428083333333333
RNF216	-1.51
HOXD12	-0.836
PPP1R14B	-2.411625
SBF1	-1.54275
TAS2R42	0.581
USP46	0.802166666666667
LILRB3	2.738
SPI1	0.6165
OXSM	-0.18925
GYS2	0.226333333333333
NUPL2	-0.12
C8orf46	-0.8485
SF3A1	-0.3926
C21orf99	1.4185
HOXB4	0.7714
YRDC	-0.43375
GPRC5D	0.5965
BLVRA	0.24775
KIF12	2.8755
LRRC23	0.166
FAM14A	1.1455
RASL12	1.1055
DAZAP2	1.668
IKBKB	-0.078
ZNF271	0.761833333333333
BOK	1.15925
CXorf6	-0.095
MYEOV	0.10425
BTN2A2	-0.5511
FRG1	0.4275
HSP90AB6P	-1.44375
ENOX1	-0.148333333333333
ZNF706	0.6147
DOK1	0.2356
PGAP1	0.61675
TMEM136	0.00225
FSCN1	-3.50275
KIF17	1.26575
TRIM66	-0.00849999999999998
CBR3	0.812833333333333
C13orf24	0.914166666666667
C19orf52	-0.81375
BNIP1	0.5875
AQP3	-0.763875
KRT6C	0.6255
SIRPA	0.555166666666667
IGFBP6	1.011
PLEKHK1	-1.83125
RNASE7	0.8175
ARHGEF15	0.39975
NPHS2	1.203
SRD5A1	-1.1905
REXO4	-1.83675
EEF1DP3	-0.60775
SLC37A2	0.78925
ZNF142	0.605
ANKHD1	-1.1885
MUT	0.9925
VPS37A	0.26675
GPRIN1	-1.883
SLC38A3	-1.571875
BAZ2B	2.13875
WDR87	-0.600833333333333
BRD7	0.1955
POU6F2	-0.4165
NISCH	0.327375
TCEB1	-0.402
LINGO2	-0.66775
TAX1BP3	-1.95675
RPL34	0.786777777777778
MARK2	-0.5815
AKAP12	1.2814
AMBN	-0.753
SLC25A27	1.43666666666667
FLJ21865	-0.668125
KIR2DS2	0.335166666666667
WDR77	-1.2825
ATF2	0.388833333333333
ITFG3	-0.0693333333333333
SLC39A13	0.965
ARL6IP5	2.057
C10orf137	-0.313625
QTRT1	-0.649333333333333
CCNT1	-0.92425
DYNLL1	0.4657
WDR53	-0.2355
LIPG	0.0173333333333333
ASAH3	-0.059
HELB	-0.6575
PHACTR2	1.695375
VENTX	0.57425
LAD1	0.150166666666667
PAOX	1.46
MAPK8	0.196
CCDC38	1.64425
DNAJC8	0.1523
RBBP8	0.93925
WNT11	1.4438
KCNJ12	0.633
HDAC8	-0.0275
STARD4	-2.257
ACVR1	1.35766666666667
C14orf65	-0.348666666666667
KLB	1.075
C1orf65	-0.047
ZFYVE28	1.156875
NSUN6	1.41975
KIF27	0.773333333333333
SYTL2	-0.155
UBXD2	0.3512
OR6T1	0.262
CCDC91	1.08842857142857
GRID2	0.0785
CALN1	-0.022125
ZNF423	2.092
PSMB4	-0.3615
XPNPEP3	-0.438166666666667
ARPP-21	-3.157625
SART1	-1.5075
RACGAP1P	-3.4495
SPTA1	-4.2835
C6orf113	-0.131166666666667
C7orf16	-0.3345
CHST7	0.1095
C21orf29	0.2725
SEMA6D	0.97075
PCMTD1	2.5384375
KIAA1754	0.155333333333333
MYCN	-1.6545625
KCNJ3	0.67425
MAPK13	0.3112
ERO1LB	1.67125
NTF3	1.0895
NKX6-2	-0.46775
GTF2B	0.8405
GSPT1	-1.50833333333333
GUSB	-0.0253333333333333
LOC221091	2.164
LIG1	-2.473
EXTL3	-0.962666666666667
NID2	-1.306
TTC29	0.2365
TMEM97	-3.074375
EXTL2	-0.205166666666667
SUZ12	-0.72675
IL1F8	0.166
KRT18	-2.09990909090909
MRPS16	-0.855454545454545
PI4K2B	-0.3705
LACRT	0.295
OR51F2	0.321
JMJD2C	0.651375
KGFLP1	4.275
CDK5RAP3	-1.2116
YTHDF2	0.541333333333333
GGCX	0.386
ARPC4	-0.4255
EGLN2	-0.362833333333333
KBTBD4	-0.000499999999999993
ROBO3	0.2686
DEFB118	0.797
KIAA1543	-0.31275
RTCD1	-0.174833333333333
MZF1	-1.096
C18orf26	-0.625
CNIH4	-0.337833333333333
ZFP2	3.4015
HTATSF1	0.20825
WFDC2	2.969625
NDUFA7	-0.1865
TTC22	0.773833333333333
FAM40B	-3.059375
DCPS	-1.028
SH2D1B	0.173
MRGPRE	-0.2415
SBK1	-0.01125
UNQ6411	0.3475
OSBPL9	0.069
NUP107	-0.46525
MYOZ3	-0.268
PDE4B	1.26058333333333
FAM113A	-0.7775
IDH3G	-0.585666666666667
FBXL7	0.62825
ARFGAP3	0.3645
MAPRE2	-0.248615384615385
IL1RN	-0.7374
KIF13A	1.009
RAC3	-1.2035
TCTE1	-0.383
TMEM14B	-0.237333333333333
ADIPOR1	-0.632
GRINA	-0.503
CLIP4	2.5735
LRIT2	2.185
TFPI	-0.375428571428571
FABP6	-1.59225
SLITRK2	0.0411
HKR1	-0.657
SMTN	-0.6375
C1orf75	-0.7095
CD209	1.1535
CYB5R2	1.28725
DNTTIP2	0.152333333333333
CSGlcA-T	-0.395625
GABRB3	-2.55225
PCBD1	-0.177333333333333
TAF3	0.9355
HOXD3	-0.0709999999999999
GIPC3	-0.5575
P11	0.4596
BFSP1	0.02725
LCP2	1.0185
TAS2R8	0.18
SEZ6L	-1.65275
NR2C1	-0.170375
EXDL2	0.332
TNFRSF13B	-1.98816666666667
MKI67	-5.31525
GLS	0.774916666666667
C7orf54	-0.8119
LGALS13	0.0405
IL4R	0.288
SEC11A	0.0856666666666667
SPP2	0.105833333333333
C18orf32	1.0605
CLSPN	-3.08916666666667
SPAG1	0.600625
C9orf82	0.703
TM4SF1	0.919333333333333
EMILIN2	2.35175
SMG7	-0.826166666666667
TAS2R13	0.273
ZNF628	-0.6315
DZIP1L	0.911
ANKRD13A	0.0172
VASP	-0.225
ZCCHC11	-0.098375
SYPL1	0.767125
MGC34774	1.2235
C4orf28	1.3075
KIAA1211	-1.43008333333333
RPS27L	0.867
TATDN3	-0.17
PDCD1	-0.6845
OR5P2	0.843
IFIT1L	-0.6625
MIPOL1	0.62175
OR51D1	0.299
C1orf92	-0.5825
LAMP2	0.662888888888889
CAT	2.23333333333333
C16orf80	-0.15225
C15orf32	0.9245
ZNF746	-0.54025
C1orf76	-1.986
ATXN1	0.4315
LAMC2	2.945375
SLC2A7	-0.1435
CPOX	-1.5565
APH1B	1.586
LOC442245	0.2205
CTNND1	1.26438888888889
GABRG2	-0.1155
MADCAM1	-0.501
F5	-3.13285714285714
SEMA4F	-0.139166666666667
NUDCD3	-0.66775
PDZD11	-0.8485
TRIML1	-0.628
GCNT3	-3.03266666666667
TMEM120A	0.14675
CNDP1	0.3405
N4BP1	0.245
SLC35F2	-1.885625
LCP1	-1.0375
IGBP1	0.5287
DCAKD	0.191875
ELA2A	-0.592
C12orf56	-1.818
PITRM1	-0.231285714285714
GUK1	-0.156
RASSF8	-0.2630625
OR2A14	0.908333333333333
ADM	1.04633333333333
FGD3	0.830666666666667
GHRHR	0.420166666666667
RHPN2	0.3665
C4orf39	2.02816666666667
VPS72	-0.96625
SERF2	0.465888888888889
CD22	0.336666666666667
CD47	1.0183
PPIC	0.9615
IMPDH1	-1.23466666666667
ACP6	-1.13583333333333
PRKACA	-0.567125
PPP1R1A	3.841625
TRPV3	0.8175
ASXL1	-0.706375
C17orf55	-0.289666666666667
FXYD1	2.979
LMOD2	-0.573
ANKRD33	-0.0445
LCE2C	-0.042
ZNF620	-0.716
DKFZP566E164	-0.7665
VSIG2	2.58325
KIAA1128	1.867
USO1	0.424333333333333
NUDT4	0.432785714285714
CLDN1	0.556142857142857
OR4Q3	0.426
FASTK	-1.29833333333333
ICOS	0.588166666666667
LDB1	-0.90975
GSTA5	0.379
ABCC1	-2.44716666666667
FAM54A	-4.24425
PCBP2	-0.3045
NUP205	-1.6085
ACTA1	1.638
GABBR2	-2.23475
PIP5K1B	1.25716666666667
AGXT	-2.0515
RNF181	0.12725
ATP8A2	0.37075
AFTPH	1.0645625
FGF21	0.106
FCER1G	0.778875
SNTB1	-0.70925
SLC24A3	1.048125
TXNL4B	-1.0862
RPL10L	-0.1115
LOC389517	-1.33355
TSGA13	-0.1675
SHOX2	1.40383333333333
ITGA7	1.4376
KCNIP2	1.99833333333333
KLF13	-0.0276
ZFAND2A	-0.217
CEACAM1	0.532857142857143
PFKFB4	-3.5485
MED19	0.40325
LRRC57	0.920833333333333
RNF11	1.49075
ANKRD32	-2.32075
P117	-0.22125
OBFC2A	1.307
POLD3	-0.461333333333333
RAB18	1.729875
TPH2	0.6828
PHB	-0.6075
JDP2	2.60566666666667
MORF4L1	0.6772
POU2F1	0.2915
CNNM2	-1.00141666666667
LOXHD1	-0.217166666666667
ZC3H15	-0.0885
ELK3	0.4805
FAM111B	-2.93
CBLC	1.69016666666667
SBNO1	0.265
ANKMY2	0.6095
PLEKHA5	-0.28675
DHX58	1.45616666666667
ARCN1	-0.147166666666667
TREML1	0.0396
KNCN	-1.128
SEC24A	-0.449375
PSCA	-0.365
MGC24125	0.403833333333333
DNA2L	-1.841
CIB4	0.660375
HIGD2A	-0.907666666666667
TBX6	-0.227333333333333
TTLL5	-0.316166666666667
SGK3	2.59533333333333
GCN1L1	-0.68425
AMOT	1.3105
LDOC1	-0.4645
NRK	-1.122
ASB9	-1.445
NAT1	2.8028
TRAFD1	-1.19625
PEAR1	0.733666666666667
FAM36A	0.142875
OR1S2	-0.0691666666666667
LOC388323	-2.6485
PGS1	-1.67216666666667
LEPREL1	-1.04375
TFF1	-3.77825
HAP1	0.53625
EPHB2	-0.97775
ACTG1	-0.323
ZFP42	-0.372833333333333
HAVCR2	1.0164
NME1	-1.27
SNX26	-0.798583333333333
LACTB	0.721666666666667
ZKSCAN2	-1.01175
C5orf35	1.19625
ANKS3	-0.0265
RBM28	-1.27975
DKFZP586P0123	-0.8275
HNRNPA1	0.0885
BCAS3	-1.98433333333333
FLJ20184	-0.4875
POLA2	-3.03866666666667
TMC7	-0.513166666666667
HSD17B6	-0.5135
ZNF658B	1.609
TTTY10	-0.159666666666667
RANBP9	-0.38
CPNE7	-3.12933333333333
EVL	-0.194294117647059
LNX1	1.09525
IFNA21	-0.314333333333333
CFD	4.54875
PYCARD	-0.154166666666667
MYBPC2	-1.0275
ENPP3	-0.00199999999999997
ACSL4	-0.239
LOC440258	-0.617166666666666
TMEM176B	3.2685
SOX2	-5.60075
SCO1	-0.0716666666666667
COMT	-0.5185
AOC2	0.0105
PDLIM5	1.44885714285714
SPHK2	0.260333333333333
NXPH2	0.86
GPR108	-0.1065
RAD51L1	0.779833333333333
TMEM54	-0.356
LETMD1	-0.107555555555556
SLC6A17	-0.5585
KRT75	-1.051
STT3B	-0.5435
CD3EAP	-0.958666666666667
TMEM63A	-0.62825
DUSP13	-3.1825
CD1C	-0.0751666666666667
LASS2	-0.870666666666667
AVP	-1.491
PITPNM1	-2.429
FLJ22795	-1.5615
MCTP1	-1.57575
TRIM68	0.928166666666667
UCK2	-2.10066666666667
ABHD1	1.45325
FAM50A	-1.39825
RNASEH1	-1.30083333333333
PCP2	0.7605
OR52H1	-0.1385
C20orf149	-0.305
RBP5	0.2205
HYAL3	-1.4825
CLPB	-1.9545
SMNDC1	0.35175
DONSON	-2.77316666666667
FLJ27523	0.1225
BARHL2	0.805166666666667
SLC30A9	0.424666666666667
TMPRSS11B	0.24675
E2F8	-3.33733333333333
CCDC25	0.335916666666667
C14orf48	-0.178333333333333
C20orf116	-0.267125
TSPAN11	0.2045
YIF1B	-2.22966666666667
FAM12B	0.083
OR1L6	-0.305
HPN	-1.3484
NBN	0.756375
C14orf94	-0.350666666666667
OCLM	0.3585
ZSCAN18	0.9668
L3MBTL	-0.3506
TSTA3	-1.3085
RAC1	-0.07625
C19orf15	0.1832
NFE2	-4.9745
KLK14	-0.162
ARSF	-0.3815
MAST2	-1.211
AMICA1	2.356
GTF2A1	-1.255875
ATP1A3	-1.06025
TC2N	3.331
PNKP	-1.488
ODZ2	2.275
MATR3	0.36075
S100P	-5.481625
KRT82	0.2795
CA13	0.9882
PROZ	-1.77733333333333
AASDH	0.297875
C19orf40	-0.884166666666667
DCK	-0.512384615384615
FAM5C	-1.13025
SLC6A4	-0.3155
MID1IP1	-0.9425
TESSP5	0.829
TMOD4	-0.205333333333333
DOCK2	-1.52066666666667
TUG1	0.153
NUP214	-2.4935
DPYSL2	0.774636363636364
GOLM1	0.380416666666667
MPFL	-0.148
SOX13	0.491
SDCCAG8	1.3789
KEL	-1.6545
NUP210L	-2.57975
GK	-0.885
DNAJB1	0.0335
ALPK3	0.347
CHID1	-0.2501
CYLC2	0.259
IKZF5	1.0165
C8orf51	-0.862666666666667
PPM1J	-0.44025
GIMAP8	4.447
GPR101	-1.144
NR2F1	1.165
ACAD8	0.6375
RBM35A	0.28175
GNAI2	-1.07616666666667
METTL8	-0.1335
SLC39A7	-1.9895
FBXO8	1.70325
CAMK1	-0.538
RFC3	-1.179875
FAM129A	2.72128571428571
ILF2	-1.15025
FGFBP3	0.0785
NOM1	-0.539833333333333
PSMA3	-0.36775
ASCC3	0.226
ZYG11A	-1.391
SOX21	-1.461375
LYRM1	1.54625
DEFB1	3.386
LOC91431	-2.40133333333333
OR7C2	0.8445
FAM46B	1.145
TMEM18	0.19375
ARHGAP30	0.817833333333333
TMEM86A	1.83041666666667
EPHA2	-0.729166666666667
C10orf46	0.77215
TCHH	-0.0576666666666667
C3orf30	0.6945
LOC285636	0.00983333333333332
PAIP2	0.6495
CYP2U1	1.007875
C12orf34	0.72375
SARS2	-1.5045
ZCWPW1	1.57
SAMD12	0.667
KIAA1430	0.4715
ACAT1	0.61525
MEOX1	3.8855
ADAMDEC1	1.144
PHKA2	-0.42875
CARD11	-2.44866666666667
CALML4	0.601
TSSC1	-1.633
TMEM45A	-1.007
MPP7	2.3065
POU1F1	0.964
SLC2A13	-0.8453
FBN2	-1.63757142857143
ZC3H7A	0.2999
LAIR2	0.000499999999999987
ST3GAL1	-0.880166666666667
LCT	-2.6695
GEMIN8	0.409833333333333
KLF16	-0.8274
HIF3A	0.5578
FAM44A	0.591714285714286
AQP10	-1.4325
PLA2G2A	-0.1265
FOLH1	2.23466666666667
C20orf186	-0.372
MAPKAP1	-1.09425
SPRR2D	-1.213
UBQLN4	-1.847
RSHL1	-0.0605
PIAS3	-0.52225
MRPL24	-0.44825
GREB1	-1.372125
FAM27E3	-1.044
NUP62CL	-0.878
NEUROG3	-3.131
REEP3	0.9085
MARK1	1.769625
LMBRD1	1.8585
PRPF19	-1.616
PNMT	0.252
CTGLF1	-1.489
SLC25A16	1.04375
EIF2B3	-0.908
RPA2	-0.288
PAK6	0.771833333333333
CCDC26	-3.99842857142857
SEMA3E	3.629375
MXD4	0.3615
TNFSF10	4.2166
SMARCB1	-1.34766666666667
DTX3L	1.1795
PLA2G4E	0.5595
PPAP2A	2.82825
ULK1	-0.735166666666667
TAS1R3	-0.049
SLC2A3	-1.76909090909091
ARID3A	-3.2025
GNG5	-0.778
ACOX1	0.5354
KIF5B	0.64725
NUP153	-0.984
MUC7	0.6385
CSDE1	0.102857142857143
CLPTM1	-0.76075
C3orf23	0.094625
LRRC17	0.0116666666666667
TTYH3	-2.056
ATP5B	-1.6805
ELF3	0.9314
CPSF3L	-1.49733333333333
ZNF665	0.8505
TLR6	0.6206
GPI	-1.389125
RAD9A	-1.021375
NDST4	-4.77925
AGPAT3	0.0891666666666667
MAGI3	1.1335
ADORA2A	-1.52525
CACNG7	0.0105
CAMK2D	0.0515
CCHCR1	-1.76725
RPS27A	0.49025
OR10G7	0.0373333333333333
GCM2	0.9825
FAM135B	-0.3942
E2F1	-3.41275
PLCB3	-1.35775
OR2AE1	-0.5255
COIL	-0.1245
CDC25C	-5.327
RAB11FIP2	1.044
TSC2	-0.73875
CTGLF5	-1.259
CCDC108	-0.592333333333333
OR13C4	-0.14825
C10orf81	6.2615
PTPRB	3.24225
ACP2	-0.855
LAG3	-0.8825
MRPL54	0.141
LOC201175	-2.585
ITGB1BP3	-2.57775
SPTAN1	-0.306666666666667
SIPA1L2	-0.81
RCAN2	1.109
CDX2	-0.312
ECOP	-0.8525
ACTR1A	0.0643571428571428
PPARG	2.3615
BBS10	1.30116666666667
TMEM44	-1.19575
BPIL2	-0.999333333333333
CITED1	3.45675
IRF6	3.42575
PRDM4	0.4135
RRP9	-1.793
OR10H4	0.042
IL31RA	-1.54625
GNB1L	-1.614
MYBL2	-4.5035
ZNF407	1.242
PPIG	0.299833333333333
TTC18	4.0345
RPSA	-0.502
MAPT	1.337875
MRE11A	-0.352230769230769
C8orf37	-0.0456666666666667
RASGEF1C	0.236333333333333
STBD1	0.82175
CTAG2	-0.1988
MGAT5B	-1.8665
ECM1	-0.529625
RLN1	2.811
PARP14	0.327
EPB41L1	0.7624
HOXA3	0.14975
MAGEA9	-3.93
RPS8	0.693166666666667
RPS19BP1	-0.16625
FOXJ2	0.689
C10orf76	0.3035
IL17RE	-0.09075
C10orf65	1.234
ZNF343	-0.128666666666667
FBXO33	0.71375
UHMK1	0.6818
LY6G6C	0.6735
FGF19	-2.11925
C14orf128	1.92133333333333
IFIT2	2.064
TIGD1	-0.758
S100G	0.671
GUCY1B3	3.0705
NR3C1	1.3246
CORO1B	-1.4825
PARP11	1.34608333333333
DNALI1	4.22916666666667
OR4N4	0.50875
MAP2K6	0.148
FSTL4	-0.8455
ANKRD47	2.105125
TMEM171	-1.5015
PNLIP	-0.88175
YY1	-0.989666666666667
CCDC138	-1.8795
AASDHPPT	-0.2295
CKS1B	-1.4
MCM3	-1.92633333333333
ANAPC7	-0.813666666666667
FAM110A	0.486
CDC37L1	2.14333333333333
THTPA	0.6875
NBPF20	-1.22
WDR24	-1.283
NPTX2	-3.534
CBLB	0.402833333333333
CETN1	-0.7275
RPUSD1	-0.93025
FAF1	-1.1535
CDK6	-2.2041
HMX2	0.154
CSK	-1.75483333333333
TEAD2	-0.4575
SNAP25	0.4625
TUFT1	-0.0949
TMTC3	0.533
LCK	-3.061
SGOL1	-2.88216666666667
AKTIP	1.99975
FURIN	-0.25475
SOX12	-1.97333333333333
DEFB103A	1.7055
RAMP1	-0.1615
KIR3DX1	0.006
GAS2L3	-1.31025
PDE8A	-0.0412
EDN3	5.198
GMIP	-0.24525
SF3A2	-0.67525
FN3KRP	-0.44775
SMAD7	0.8295
RHBDD2	-0.64725
OR11H6	-0.59
PPP1R3B	2.1453
C9orf23	0.22925
CADPS	-1.621
GOLGA8A	-1.17275
TMEM57	-0.356833333333333
RGL3	-0.2855
S100A14	0.412
FGFR2	1.98025
XRCC3	-1.41275
RTN4RL2	-0.352
MGC3771	1.473
GH2	-0.375833333333333
BTBD2	-0.90325
LMO2	1.56625
RDBP	-0.825375
ACRBP	-2.326
AMY2A	3.6455
DUOXA1	0.523
PTK7	-1.06833333333333
TWF2	-1.19466666666667
FAM80A	-1.6815
TNNI2	-2.21533333333333
GLT25D1	-1.41216666666667
OCC-1	-1.017
CYC1	-2.00783333333333
RPL22	0.427590909090909
MORN3	0.203666666666667
DISP1	1.6035
PRB2	-0.1725
CHUK	0.32275
HR	-0.186375
CCDC134	-1.106
DENND4B	-1.591
C14orf130	0.21675
RAB33A	-1.074
DCST2	-0.0885
TNMD	4.154
PEX7	1.35775
FAM62A	-0.307125
SRD5A2L	0.22425
IL22	0.74325
RPS26	-1.01466666666667
HOXC5	-0.283
SPATA6	1.603
FLJ38482	0.618625
ZNF234	2.009
C18orf22	0.71675
SPATA22	2.85225
THOC1	-0.162
CYP7B1	3.56825
KCNC3	-0.26575
C8orf42	0.4355
ALDH1B1	-1.26383333333333
CCDC100	0.9698
ARMC4	-0.3375
FAM18B2	0.3465
SLC44A1	1.15375
FBXO17	-0.588833333333333
C6orf107	-0.5925
C19orf29	-0.7065
ZC3HAV1L	-0.178
PARP6	-0.663
SULT2A1	-4.15125
C1orf159	-0.98275
TMC1	0.614333333333333
CHST14	-0.860625
GAMT	-1.52233333333333
SMCP	0.576666666666667
TSPAN33	-0.677583333333333
MIDN	-0.830125
NOX4	2.504
RNASEN	-0.3252
TBX1	0.255833333333333
SALL2	-0.00325
C10orf35	1.00425
CYP2E1	-0.2225
LRFN2	-0.0108333333333333
ACO1	0.7365
IQCG	1.103
MEGF9	1.9405
TM7SF4	0.25525
PLEKHA1	1.07953333333333
STK33	-1.074
C1orf210	1.51325
SNUPN	0.3242
KIAA0406	-1.7962
C20orf29	0.44
TMEM55B	-0.59625
OSTM1	0.054
CLCN7	-1.7905
OTP	-0.1825
FLJ23049	-0.287
HEATR4	1.455
MAP3K10	-1.00333333333333
PCDHGA9	1.1465
AMDHD2	-1.531
LCTL	-1.1335
PDCD2L	-0.84325
CABLES2	-1.0375
SLC5A9	-0.53625
CLCA2	1.08083333333333
MGC16025	0.1515
STRAP	-0.604
C20orf196	-1.205
RRBP1	-0.519
NAT13	-0.61875
MAT2B	1.062625
CSNK1D	-1.71783333333333
KIR3DL1	-0.05275
PRKAG3	-0.118
ZNF599	0.039
PRM3	0.8385
PER2	2.23666666666667
ASPHD1	-2.9255
PRMT6	-0.618
KCNE1L	0.0506428571428571
FAM118A	-1.22866666666667
TAF4	-0.6905
NDUFB6	-0.14325
TRIM9	-0.6628
PMFBP1	-0.39225
KY	1.8265
DKFZp762E1312	-5.58963636363636
CSMD1	-0.62125
TBP	-0.203166666666667
OR1Q1	0.737166666666667
RETNLB	0.193
HPGD	0.887785714285714
DNAJC12	0.521166666666667
FKBP1B	-1.01625
ANKRD24	-0.485833333333333
CXXC5	-0.447666666666667
IL3	0.067375
DRAM	1.5012
PTCH1	-0.5485
TP53BP1	-0.8645
SLC17A7	-0.545375
COL25A1	-0.3848
AMACR	-0.1155
RHCG	0.35125
VPS13A	0.44
FAM55D	2.5955
PRPF38B	-0.0535
OSBPL6	-0.2755
PFDN5	1.0386
CMTM6	1.20225
KCNK12	-2.39725
RP2	1.08
C16orf52	-0.5195
PICK1	-0.642
IFNE1	0.181
SEMA4B	-0.67075
TYRO3	-0.223
OR12D2	0.2505
CSNK1A1	0.89385
FANCF	0.9815
LONP2	0.362625
TBL1Y	-1.15
LDOC1L	0.518875
CCNC	0.39575
C3orf60	0.00625
CHKA	-0.953
UBAP1	0.03825
MAP3K1	1.344
ANKRD9	-1.8355
FAM92A1	0.157
GAB2	0.441625
AZU1	-0.32
DIS3	-0.14525
C21orf109	-1.84225
IQCB1	-0.222
SPATS2	-1.37916666666667
EFCAB3	-0.621
PRB3	-0.308875
FUZ	-0.939833333333333
ZNF813	0.597625
BMPER	-0.0813333333333333
HEG1	0.169125
ALS2CR11	0.113
SURF2	-0.58725
PSMC1	-0.0420833333333333
OR2D2	-0.03
SLC7A8	1.38066666666667
C4orf40	0.1755
SPATA7	1.419
MAZ	-1.94616666666667
PIN4	1.196
PDE1A	1.091
TAF6L	-0.947666666666667
OR2T34	-0.2095
KIAA0284	0.6195
ACADS	1.069
MKRN2	-1.0045
C18orf56	-2.8035
MS4A6E	-0.0618333333333334
GALNT4	0.501
C22orf31	0.7925
FLJ36070	-0.3325
PSME4	-0.834
TFG	-0.1535
EPHX2	1.698625
ANXA5	0.5105
KRTAP1-1	-0.2792
BATF	1.7755
KARS	-1.38075
MSTP9	1.272
GPR26	0.5715
CCDC72	-0.0925
TEF	0.638166666666667
FOXK1	-0.9579
PRLHR	-0.168
EMX1	-0.09075
C11orf30	-0.6915
ICK	1.099625
THSD7B	0.337
C21orf100	-1.1005
DUOX1	2.6255
EFCAB4B	-0.6485
UBE2G2	-1.57666666666667
C3orf54	0.60875
PARP1	-1.29425
FAM60A	-1.30491666666667
C6orf146	0.2255
OR9K2	0.798
DDX55	-1.118
RPS15	-0.0520833333333333
ZNF618	0.5605625
DKFZp686D0972	0.6165
SSPO	0.175
SHFM3P1	-0.332666666666667
CPA6	0.04125
JAG2	0.75925
DEFA3	0.622
PPBPL2	-0.18
CD34	4.89975
SLCO4A1	-2.782375
AFG3L1	-1.67683333333333
SHD	-1.0125
RP13-122B23.3	-1.89733333333333
PRKCSH	-1.86216666666667
DPH5	-0.033
HLA-F	1.387375
TBC1D4	0.70425
RIG	0.2872
GLUD1	0.482
HNRPCL1	0.514375
HBXIP	-0.289
RNF207	-1.8725
APIP	0.68025
PLA2G3	-1.65183333333333
CCDC84	-0.02125
MYLIP	0.131538461538462
PHIP	0.5665
AARS2	-0.625666666666667
DHX32	0.49425
SCAPER	0.806333333333333
MEN1	-1.076375
NIP7	-0.856
FLJ25404	0.518
FASTKD3	-0.3015
TMEM158	-3.65133333333333
RARA	0.82175
BDH1	-0.4755
ANKRD16	-0.29625
CARM1	-0.7065
SS18	0.460333333333333
IKZF2	0.3305
MYD88	-1.168375
PML	0.37115
TAF1A	-0.4585
CBFB	-0.50025
HIST1H3H	-2.7035
C7orf29	-1.0485
COMMD4	-0.9395
DPP3	-2.85525
DAB2	1.519375
LOC388882	-0.3855
YPEL4	0.1
AGBL3	-0.65225
LRP6	0.1274
SERPINH1	-1.3265
TLE1	0.17425
CD244	0.908
ZDHHC15	1.02425
MGLL	1.6552
PLDN	0.26625
LOC654346	0.3425
FAP	1.98525
GPR37	0.150166666666667
SCARA5	3.51716666666667
EBF4	1.46309090909091
LSM6	0.4405
MLLT1	-0.6015
SLC5A12	0.36375
A2BP1	-0.9315
COPS5	0.0765
TPM4	-0.446214285714286
TNFSF4	-0.994166666666667
ACADSB	2.36905555555556
HERPUD1	0.91875
BCL2L11	-0.941611111111111
CEP78	-1.34375
CDCA3	-3.652875
WBSCR19	0.9013
MYO1A	-1.7175
PPEF1	-0.842166666666667
LOC440348	-0.6765
CPEB2	0.799375
BPTF	-0.143583333333333
RPL21	0.46375
GSX2	-1.0125
ADPRH	1.32066666666667
C17orf68	-0.4665
KCNS1	0.378
MLLT6	-0.2052
PIWIL4	2.119
RNF26	-1.108
RAP1B	0.8585
ADAMTS1	1.5929
ZNF571	1.404
P2RY6	-1.2765
TRIM21	1.09183333333333
CADM3	-0.44525
NLRC5	0.0721666666666667
ADRA2B	-0.476833333333333
LOC90835	-0.9495
PCF11	0.11075
LOC400451	0.78675
GLTSCR1	-0.6455
C17orf88	-0.764166666666667
CDH16	-1.11375
FGF7	4.51975
PCSK4	-0.2075
NPC1L1	-1.02583333333333
TAT	2.66725
TBCA	-0.665
MGC33407	-0.2655
GPR115	-1.293
CYGB	0.635
FNBP4	-0.228
C12orf43	-0.42675
CBL	-0.3792
CLECL1	1.615
PPAPDC1A	-2.83575
WDR25	-0.859833333333333
SGCA	1.816
C22orf29	-1.17
YIPF1	0.93775
GALK2	-0.49275
RAB3B	-3.70525
LOC440087	0.74025
UCP1	2.9825
REEP5	2.3065
FADD	-1.0039
FOXA1	2.42875
CACNA1A	-0.1225
ABI1	0.946666666666667
GRIN2D	-2.0865
SLC1A4	-0.436166666666667
LOC401127	-1.77475
HINT2	0.1105
PLD4	-0.392166666666667
ZNF286A	-0.8755
ENY2	-0.3555
IL1F6	0.452
PXDNL	0.0575
C20orf79	1.776
