Hybridization REF	TCGA-C8-A1HG-01A-11R-A137-07
OR4A16	0.481
EFEMP1	1.73725
TULP2	-0.431
RERE	0.76175
BNC1	-2.52775
PIGB	-0.5065
COMMD8	0.9635
TRIP11	-0.536166666666667
FLJ40142	0.55475
PCDHB6	-0.53725
FKBP8	-1.02633333333333
FLJ12716	0.3087
POT1	-0.87
KIAA1109	-0.261357142857143
PTPRC	1.83591666666667
UNQ9391	-0.0955
CCT7	0.0501666666666667
EEF1A2	0.3085
MIPEP	0.03375
ZFX	0.3642
UCHL3	0.6585
LOC388419	-0.116
GSG1L	0.787166666666667
RAB24	-0.278166666666667
SLA2	0.5725
SDS	2.66666666666667
LYPLA3	-0.1155
CASQ1	0.432
SLC25A40	-1.55666666666667
IRAK1BP1	0.93575
ACOT6	-0.0245
COL9A3	-0.77675
ASB11	0.164
C2orf18	0.629
FOXD2	1.12025
C6orf211	2.382
OR8G1	-0.0653333333333333
MDGA1	1.124
ADARB1	-0.881625
GGT1	0.03625
WNT1	0.5065
DBP	-0.000875000000000013
COL5A3	1.51425
RHOD	1.269
COL4A2	0.78
LOC201164	0.76675
HEBP1	-0.16275
LUM	2.20208333333333
ZCCHC6	0.488
PAGE1	-3.06833333333333
DTX2	-0.739
SLC7A13	2.5825
H3F3A	0.644142857142857
RABIF	0.328625
D4S234E	-2.206
DYRK3	1.76983333333333
PFAS	-1.7805
ALOXE3	0.392333333333333
RPLP0	-0.265214285714286
RBM34	-0.223
C12orf28	1.0845
U2AF2	-0.893166666666667
MKNK2	0.1103125
SEC16A	0.688583333333333
ZNF44	-0.3237
YWHAG	0.679625
IGF2BP2	-3.075
OR1D5	0.4095
SIX6	-1.81675
CCR6	0.7465
PALM	1.412
PUM2	-0.114714285714286
SPRYD5	-1.8575
ALG10B	-1.25542857142857
ZNF365	0.385
PHC1	-1.87525
KIAA0913	-0.17375
ARX	0.435
PPP3CB	0.746333333333333
IRX6	0.0609
ANGPTL4	-2.2551
LSM14B	0.7673
PCDHGB7	-0.333
INSM1	4.85375
WBP2NL	-0.011
ZNF493	-0.0623125
NGEF	-2.8765
RNASE13	0.1435
SPPL2A	-0.2715
SFXN1	-1.127
FAM102A	1.94325
SAPS2	0.301083333333333
JTV1	-0.8835
OR51B4	-1.506
SCGB1A1	0.376666666666667
NEUROD2	0.463125
tAKR	0.1035
C1orf26	0.63825
RICH2	-1.0755
TEDDM1	0.22175
CYP2S1	-0.521
TBCE	-0.211
MAPK1	-0.6725
HDHD1A	-0.95175
MRM1	0.12275
ATP9A	-0.2875
HSD17B3	0.757833333333333
HN1L	1.08583333333333
RNF216	-1.1655
HOXD12	-0.1805
PPP1R14B	-1.024375
SBF1	-0.9035
TAS2R42	-0.13
USP46	0.491833333333333
LILRB3	2.97916666666667
SPI1	1.39375
OXSM	-0.397
GYS2	0.1728
NUPL2	-0.3315
C8orf46	-1.35475
SF3A1	-0.6004
C21orf99	-0.3215
HOXB4	2.4492
YRDC	-0.257
GPRC5D	1.037
BLVRA	0.406375
KIF12	-0.3145
LRRC23	1.00725
FAM14A	0.759666666666667
RASL12	0.258625
DAZAP2	0.60675
IKBKB	0.600857142857143
ZNF271	1.101
BOK	0.80075
CXorf6	-0.115
MYEOV	-1.4575
BTN2A2	-0.0523
FRG1	-0.19625
HSP90AB6P	-0.172
ENOX1	0.597833333333333
ZNF706	2.4918
DOK1	-0.1547
PGAP1	-2.015125
TMEM136	-1.006
FSCN1	-2.4855
KIF17	0.67325
TRIM66	0.3925
CBR3	-0.6065
C13orf24	0.2425
C19orf52	0.361
BNIP1	0.88975
AQP3	-1.567625
KRT6C	-1.042
SIRPA	-0.102
IGFBP6	-1.43883333333333
PLEKHK1	0.012625
RNASE7	-0.1245
ARHGEF15	0.6045
NPHS2	0.121
SRD5A1	-0.2465
REXO4	-0.151
EEF1DP3	0.75425
SLC37A2	0.62925
ZNF142	0.50575
ANKHD1	-1.1115
MUT	0.5095
VPS37A	1.06325
GPRIN1	2.164
SLC38A3	-1.103625
BAZ2B	0.6905
WDR87	0.0311666666666667
BRD7	0.05925
POU6F2	0.203
NISCH	-0.513375
TCEB1	1.8995
LINGO2	-2.65375
TAX1BP3	-2.3075
RPL34	0.378111111111111
MARK2	-0.312166666666667
AKAP12	-2.4833
AMBN	0.216
SLC25A27	-0.4055
FLJ21865	0.31825
KIR2DS2	1.24
WDR77	-0.595
ATF2	-0.2635
ITFG3	0.438
SLC39A13	0.4905
ARL6IP5	0.868625
C10orf137	-0.051
QTRT1	0.159
CCNT1	-0.575
DYNLL1	1.0041
WDR53	0.72425
LIPG	-0.868
ASAH3	0.623
HELB	-0.8355
PHACTR2	-0.09725
VENTX	-0.48
LAD1	-0.585666666666667
PAOX	1.62425
MAPK8	-0.691
CCDC38	0.2985
DNAJC8	0.1457
RBBP8	0.81275
WNT11	-0.3826
KCNJ12	-1.56633333333333
HDAC8	0.400833333333333
STARD4	-2.0665
ACVR1	0.158833333333333
C14orf65	-0.708666666666667
KLB	-1.257
C1orf65	0.03
ZFYVE28	1.962375
NSUN6	-0.17
KIF27	0.357166666666667
SYTL2	-1.45266666666667
UBXD2	0.2596
OR6T1	0.5595
CCDC91	1.13814285714286
GRID2	0.496
CALN1	-0.55875
ZNF423	0.58825
PSMB4	0.437
XPNPEP3	-0.271333333333333
ARPP-21	-2.7863
SART1	-0.863
RACGAP1P	-2.1225
SPTA1	-4.38475
C6orf113	-0.326
C7orf16	-2.12125
CHST7	-0.672
C21orf29	-0.538333333333333
SEMA6D	-1.7715
PCMTD1	2.3195625
KIAA1754	-1.14566666666667
MYCN	-1.1419375
KCNJ3	5.8395
MAPK13	1.8163
ERO1LB	0.88125
NTF3	-0.329333333333333
NKX6-2	-0.366
GTF2B	0.4455
GSPT1	-1.47266666666667
GUSB	0.0763333333333333
LOC221091	-1.3065
LIG1	-1.01625
EXTL3	-0.890333333333333
NID2	-0.9675
TTC29	-0.69375
TMEM97	0.95575
EXTL2	-0.373166666666667
SUZ12	0.371875
IL1F8	0.0435
KRT18	-1.85781818181818
MRPS16	-0.433363636363636
PI4K2B	-0.114
LACRT	-0.0515
OR51F2	0.482
JMJD2C	-1.07125
KGFLP1	1.97125
CDK5RAP3	-0.2246
YTHDF2	0.460833333333333
GGCX	0.657
ARPC4	0.42425
EGLN2	0.835
KBTBD4	-0.0262857142857143
ROBO3	-0.8892
DEFB118	1.418
KIAA1543	0.9435
RTCD1	0.0931666666666667
MZF1	0.62775
C18orf26	-1.0005
CNIH4	-0.0236666666666667
ZFP2	2.88983333333333
HTATSF1	0.64475
WFDC2	-0.37925
NDUFA7	0.579
TTC22	0.878666666666667
FAM40B	-3.26725
DCPS	-1.139
SH2D1B	0.4945
MRGPRE	0.5515
SBK1	0.9425
UNQ6411	0.1625
OSBPL9	-0.4935
NUP107	-0.6935
MYOZ3	0.2664
PDE4B	0.0196666666666667
FAM113A	-0.358
IDH3G	0.444833333333333
FBXL7	-0.1805
ARFGAP3	0.3025
MAPRE2	0.391692307692308
IL1RN	-0.0999
KIF13A	-1.52
RAC3	-0.336
TCTE1	-0.4445
TMEM14B	0.714166666666667
ADIPOR1	0.0656666666666667
GRINA	1.4745
CLIP4	0.79825
LRIT2	0.37
TFPI	-3.37828571428571
FABP6	-0.91375
SLITRK2	-0.4066
HKR1	-0.57925
SMTN	-0.345
C1orf75	0.75925
CD209	0.485875
CYB5R2	-0.879
DNTTIP2	0.296
CSGlcA-T	-0.00975000000000002
GABRB3	2.84475
PCBD1	0.942166666666667
TAF3	0.421416666666667
HOXD3	-0.548666666666667
GIPC3	-0.601
P11	-0.0462
BFSP1	-0.651
LCP2	1.51725
TAS2R8	0.4015
SEZ6L	3.22875
NR2C1	-1.38475
EXDL2	0.0925
TNFRSF13B	-1.34616666666667
MKI67	-1.819
GLS	-0.0746666666666667
C7orf54	-1.4857
LGALS13	0.286333333333333
IL4R	-0.528
SEC11A	0.108
SPP2	0.2505
C18orf32	2.6585
CLSPN	-1.0105
SPAG1	2.782125
C9orf82	-0.07725
TM4SF1	-2.71975
EMILIN2	1.8655
SMG7	0.115666666666667
TAS2R13	0.3755
ZNF628	0.1215
DZIP1L	-1.0125
ANKRD13A	-0.1953
VASP	1.82775
ZCCHC11	-1.002375
SYPL1	-1.239375
MGC34774	0.612
C4orf28	0.389
KIAA1211	0.72875
RPS27L	0.2165
TATDN3	-0.24625
PDCD1	2.41925
OR5P2	0.7585
IFIT1L	0.5195
MIPOL1	2.081
OR51D1	0.71325
C1orf92	-0.4865
LAMP2	0.772833333333333
CAT	-0.077
C16orf80	-0.2425
C15orf32	-0.0905
ZNF746	0.29275
C1orf76	-1.4655
ATXN1	0.08375
LAMC2	0.314375
SLC2A7	0.1545
CPOX	-2.236
APH1B	0.7735
LOC442245	-0.986666666666667
CTNND1	0.291944444444444
GABRG2	-0.753375
MADCAM1	-0.255
F5	-1.38375
SEMA4F	0.852
NUDCD3	-0.269875
PDZD11	0.675
TRIML1	0.5445
GCNT3	-2.52433333333333
TMEM120A	0.69375
CNDP1	1.292
N4BP1	0.105125
SLC35F2	-1.014375
LCP1	-0.0654166666666667
IGBP1	0.0853
DCAKD	0.668375
ELA2A	-0.169
C12orf56	2.7115
PITRM1	-0.243928571428571
GUK1	-0.00966666666666667
RASSF8	0.9085
OR2A14	0.325
ADM	-2.94711111111111
FGD3	2.42116666666667
GHRHR	0.219333333333333
RHPN2	-0.26375
C4orf39	2.28333333333333
VPS72	-0.5535
SERF2	0.777611111111111
CD22	1.17333333333333
CD47	-0.00980000000000003
PPIC	0.119666666666667
IMPDH1	-0.354
ACP6	-0.660166666666667
PRKACA	-0.039
PPP1R1A	-0.681
TRPV3	0.32625
ASXL1	-0.806625
C17orf55	-0.565
FXYD1	-0.878
LMOD2	-0.272
ANKRD33	0.646
LCE2C	-0.25725
ZNF620	-0.657
DKFZP566E164	0.66725
VSIG2	-0.426
KIAA1128	1.25
USO1	0.256666666666667
NUDT4	-0.175214285714286
CLDN1	-2.72371428571429
OR4Q3	0.326
FASTK	-0.321166666666667
ICOS	3.2805
LDB1	-0.318
GSTA5	-1.50425
ABCC1	-0.869166666666667
FAM54A	-0.81175
PCBP2	-1.6815
NUP205	-1.53575
ACTA1	0.910833333333333
GABBR2	-1.62475
PIP5K1B	-0.455666666666667
AGXT	-1.88166666666667
RNF181	0.4385
ATP8A2	-0.81
AFTPH	1.298375
FGF21	0.45075
FCER1G	2.794875
SNTB1	-1.606
SLC24A3	-0.099875
TXNL4B	-0.8254
RPL10L	-0.262333333333333
LOC389517	-1.0376
TSGA13	0.1105
SHOX2	-0.776
ITGA7	-1.1949
KCNIP2	-0.324666666666667
KLF13	-0.2883
ZFAND2A	0.76325
CEACAM1	-1.42257142857143
PFKFB4	-1.93733333333333
MED19	0.535
LRRC57	0.955333333333333
RNF11	0.77175
ANKRD32	-1.79825
P117	0.87725
OBFC2A	-0.308166666666667
POLD3	-1.28933333333333
RAB18	1.30525
TPH2	0.0293333333333333
PHB	0.2941
JDP2	0.874166666666667
MORF4L1	0.2409
POU2F1	-0.4745
CNNM2	-0.323
LOXHD1	0.1405
ZC3H15	-0.55475
ELK3	-0.0161666666666667
FAM111B	-1.14125
CBLC	2.93433333333333
SBNO1	-0.425
ANKMY2	-0.0725
PLEKHA5	0.346
DHX58	2.71416666666667
ARCN1	-0.647666666666667
TREML1	0.2275
KNCN	0.3075
SEC24A	-0.17925
PSCA	-0.0155
MGC24125	0.648833333333333
DNA2L	-1.0565
CIB4	0.495
HIGD2A	0.3015
TBX6	-0.2485
TTLL5	-1.47966666666667
SGK3	4.46416666666667
GCN1L1	-0.76275
AMOT	-0.7086
LDOC1	1.06566666666667
NRK	0.304
ASB9	-2.62075
NAT1	5.1615
TRAFD1	-0.4685
PEAR1	0.0393333333333333
FAM36A	-0.191125
OR1S2	0.939666666666667
LOC388323	-1.5215
PGS1	0.1615
LEPREL1	-3.495
TFF1	-2.6125
HAP1	0.38525
EPHB2	0.38475
ACTG1	0.0936666666666667
ZFP42	-2.4764
HAVCR2	1.1879
NME1	0.524
SNX26	-0.2605
LACTB	0.451833333333333
ZKSCAN2	0.34875
C5orf35	-0.095
ANKS3	0.1755
RBM28	-1.01525
DKFZP586P0123	-1.2125
HNRNPA1	-0.344333333333333
BCAS3	-0.789583333333333
FLJ20184	0.3395
POLA2	-1.37066666666667
TMC7	-0.382333333333333
HSD17B6	1.952
ZNF658B	0.923166666666667
TTTY10	0.0475
RANBP9	0.984666666666667
CPNE7	-1.88816666666667
EVL	-0.266705882352941
LNX1	0.458916666666667
IFNA21	0.208166666666667
CFD	1.76075
PYCARD	0.617
MYBPC2	-1.4845
ENPP3	-2.9295
ACSL4	-0.90425
LOC440258	-2.09566666666667
TMEM176B	3.52783333333333
SOX2	-3.885625
SCO1	-0.626833333333333
COMT	-0.47475
AOC2	0.3035
PDLIM5	0.583928571428571
SPHK2	0.432833333333333
NXPH2	-0.6815
GPR108	0.5955
RAD51L1	-0.729666666666667
TMEM54	1.3535
LETMD1	-0.862222222222222
SLC6A17	0.678
KRT75	1.2385
STT3B	-0.9605
CD3EAP	0.384
TMEM63A	-0.5365
DUSP13	-1.71525
CD1C	-0.280666666666667
LASS2	0.0586666666666667
AVP	0.154
PITPNM1	-2.239625
FLJ22795	0.484
MCTP1	-2.4645
TRIM68	-0.125333333333333
UCK2	-0.950833333333333
ABHD1	0.31275
FAM50A	0.50725
RNASEH1	-0.988666666666667
PCP2	1.97783333333333
OR52H1	0.393
C20orf149	0.17275
RBP5	0.059
HYAL3	-0.48125
CLPB	-0.25875
SMNDC1	-0.1855
DONSON	-1.114
FLJ27523	0.5135
BARHL2	0.407
SLC30A9	0.418666666666667
TMPRSS11B	0.4135
E2F8	2.1735
CCDC25	-0.4595
C14orf48	0.5528
C20orf116	0.6735
TSPAN11	0.1745
YIF1B	-0.612
FAM12B	0.219
OR1L6	0.2275
HPN	-2.4344
NBN	1.942375
C14orf94	-0.446833333333333
OCLM	-0.5645
ZSCAN18	-0.5286
L3MBTL	-0.8576
TSTA3	1.45766666666667
RAC1	-0.065375
C19orf15	-0.1535
NFE2	-4.482
KLK14	0.6435
ARSF	-0.0455
MAST2	0.151833333333333
AMICA1	2.62383333333333
GTF2A1	0.0845
ATP1A3	-1.2675
TC2N	1.1402
PNKP	-0.0705
ODZ2	0.443125
MATR3	0.0845
S100P	0.743375
KRT82	0.0025
CA13	0.2585
PROZ	-1.72783333333333
AASDH	0.280625
C19orf40	0.375166666666667
DCK	0.428307692307692
FAM5C	-1.52975
SLC6A4	-1.417
MID1IP1	-0.569625
TESSP5	0.3815
TMOD4	-0.0626666666666667
DOCK2	-0.366166666666667
TUG1	-0.183
NUP214	-0.51775
DPYSL2	-0.451318181818182
GOLM1	1.61283333333333
MPFL	0.32075
SOX13	0.60675
SDCCAG8	1.0595
KEL	-1.65283333333333
NUP210L	-2.143
GK	-0.262875
DNAJB1	1.08
ALPK3	0.0435
CHID1	0.1823
CYLC2	0.313833333333333
IKZF5	0.88225
C8orf51	3.02283333333333
PPM1J	1.3035
GIMAP8	3.40733333333333
GPR101	0.289
NR2F1	-1.2175
ACAD8	-0.57
RBM35A	1.7165
GNAI2	-0.962333333333333
METTL8	-0.472
SLC39A7	-1.59175
FBXO8	0.90375
CAMK1	-0.74125
RFC3	0.667375
FAM129A	-0.315357142857143
ILF2	-0.87
FGFBP3	-0.6335
NOM1	-1.12866666666667
PSMA3	-0.4485
ASCC3	-0.1574
ZYG11A	-1.618
SOX21	-1.649125
LYRM1	0.568
DEFB1	1.968
LOC91431	-2.38833333333333
OR7C2	1.0625
FAM46B	-0.7855
TMEM18	-0.973875
ARHGAP30	1.34266666666667
TMEM86A	1.895
EPHA2	-2.10566666666667
C10orf46	0.9372
TCHH	-0.404333333333333
C3orf30	0.160666666666667
LOC285636	-0.457666666666667
PAIP2	0.8485
CYP2U1	0.31175
C12orf34	1.99375
SARS2	-0.484
ZCWPW1	0.7125
SAMD12	3.133625
KIAA1430	0.62025
ACAT1	-0.62125
MEOX1	0.787333333333333
ADAMDEC1	6.6285
PHKA2	-0.33625
CARD11	-0.657833333333333
CALML4	-0.3015
TSSC1	-0.7345
TMEM45A	-0.353222222222222
MPP7	-0.41475
POU1F1	0.234
SLC2A13	-0.3671
FBN2	-0.489285714285714
ZC3H7A	-0.3434
LAIR2	2.1
ST3GAL1	-0.779333333333333
LCT	-2.99175
GEMIN8	0.633333333333333
KLF16	-0.1522
HIF3A	-0.3775
FAM44A	-0.529571428571429
AQP10	-0.9984
PLA2G2A	-1.6675
FOLH1	0.399666666666667
C20orf186	0.412
MAPKAP1	-0.3995
SPRR2D	-0.9505
UBQLN4	-0.727333333333333
RSHL1	-0.0243333333333333
PIAS3	-0.068125
MRPL24	0.71975
GREB1	-1.68875
FAM27E3	0.1665
NUP62CL	0.2255
NEUROG3	-1.163
REEP3	0.834583333333333
MARK1	1.406375
LMBRD1	0.3595
PRPF19	-1.69
PNMT	1.3185
CTGLF1	-2.0975
SLC25A16	0.073
EIF2B3	-0.5515
RPA2	0.10675
PAK6	1.23533333333333
CCDC26	-4.129125
SEMA3E	0.84075
MXD4	0.1763
TNFSF10	3.1059
SMARCB1	-0.597333333333333
DTX3L	1.23166666666667
PLA2G4E	0.216
PPAP2A	0.82775
ULK1	-0.0186666666666667
TAS1R3	0.432
SLC2A3	-3.091
ARID3A	-1.69075
GNG5	-0.27275
ACOX1	0.3121
KIF5B	-0.549
NUP153	-1.1375
MUC7	0.356
CSDE1	-0.623214285714286
CLPTM1	-0.46975
C3orf23	-0.45875
LRRC17	-0.926833333333333
TTYH3	-0.715875
ATP5B	-1.935
ELF3	-0.2658
CPSF3L	-0.103166666666667
ZNF665	-0.328833333333333
TLR6	0.4281
GPI	-1.005125
RAD9A	-0.363875
NDST4	0.70975
AGPAT3	0.529833333333333
MAGI3	0.463
ADORA2A	0.86025
CACNG7	0.246
CAMK2D	-0.927285714285714
CCHCR1	0.12425
RPS27A	-0.701
OR10G7	0.443333333333333
GCM2	-0.1335
FAM135B	1.8
E2F1	-0.059
PLCB3	-0.173
OR2AE1	0.776
COIL	0.250166666666667
CDC25C	-0.100666666666667
RAB11FIP2	-0.195416666666667
TSC2	0.003
CTGLF5	-3.058
CCDC108	0.6797
OR13C4	0.31975
C10orf81	3.157
PTPRB	1.466
ACP2	-0.43675
LAG3	2.513
MRPL54	0.48275
LOC201175	0.0725
ITGB1BP3	-1.80525
SPTAN1	-0.590833333333333
SIPA1L2	-0.57875
RCAN2	-0.086
CDX2	1.464
ECOP	0.44925
ACTR1A	0.625428571428571
PPARG	-1.04166666666667
BBS10	1.12
TMEM44	-2.09225
BPIL2	-0.1025
CITED1	3.7825
IRF6	2.59875
PRDM4	0.618
RRP9	-0.138333333333333
OR10H4	0.41925
IL31RA	-0.3465
GNB1L	-0.776833333333333
MYBL2	-1.459375
ZNF407	1.44566666666667
PPIG	-0.599
TTC18	0.97975
RPSA	-0.485
MAPT	2.566125
MRE11A	-0.470428571428571
C8orf37	0.929
RASGEF1C	-0.0226666666666667
STBD1	-1.0055
CTAG2	3.66816666666667
MGAT5B	-0.3335
ECM1	-0.20525
RLN1	1.8445
PARP14	1.406375
EPB41L1	2.0838
HOXA3	-1.38341666666667
MAGEA9	2.797
RPS8	-0.415666666666667
RPS19BP1	0.7545
FOXJ2	-0.821
C10orf76	0.474
IL17RE	0.0165
C10orf65	-1.50675
ZNF343	0.122166666666667
FBXO33	0.681625
UHMK1	0.6434
LY6G6C	-0.18
FGF19	-0.741
C14orf128	0.0463333333333333
IFIT2	2.540875
TIGD1	-0.08575
S100G	6.1505
GUCY1B3	1.915
NR3C1	-0.7087
CORO1B	-0.327
PARP11	2.47925
DNALI1	4.0365
OR4N4	0.38875
MAP2K6	-0.0771666666666667
FSTL4	0.25575
ANKRD47	1.01325
TMEM171	-1.16
PNLIP	-0.38925
YY1	-1.4605
CCDC138	-1.3655
AASDHPPT	-0.851
CKS1B	-0.0703
MCM3	-0.330833333333333
ANAPC7	0.41
FAM110A	1.673
CDC37L1	0.549333333333333
THTPA	0.8805
NBPF20	-1.754
WDR24	1.17725
NPTX2	1.38775
CBLB	0.0561666666666667
CETN1	0.137
RPUSD1	0.621
FAF1	-0.55025
CDK6	-2.7703
HMX2	0.45
CSK	0.0736666666666667
TEAD2	-1.74725
SNAP25	3.93275
TUFT1	1.0136
TMTC3	-0.130166666666667
LCK	-0.6845
SGOL1	-0.453166666666667
AKTIP	1.23275
FURIN	0.253375
SOX12	-0.602166666666667
DEFB103A	-0.58075
RAMP1	2.769
KIR3DX1	0.0335
GAS2L3	-0.82575
PDE8A	-0.7771
EDN3	0.10175
GMIP	0.717
SF3A2	-0.0315
FN3KRP	0.3205
SMAD7	0.729
RHBDD2	0.95425
OR11H6	0.0205
PPP1R3B	-1.0361
C9orf23	0.40725
CADPS	-0.69925
GOLGA8A	-3.855
TMEM57	0.909166666666667
RGL3	-2.0065
S100A14	-0.25
FGFR2	2.88575
XRCC3	-0.592
RTN4RL2	0.41475
MGC3771	1.8025
GH2	0.4075
BTBD2	-1.01275
LMO2	-0.34375
RDBP	0.040875
ACRBP	-0.6205
AMY2A	1.3205
DUOXA1	0.316
PTK7	0.0941666666666667
TWF2	-0.2565
FAM80A	2.098
TNNI2	-2.5575
GLT25D1	-0.423333333333333
OCC-1	-0.4025
CYC1	0.7775
RPL22	0.414
MORN3	1.3625
DISP1	0.91275
PRB2	-0.3325
CHUK	-0.26375
HR	1.6345
CCDC134	0.12875
DENND4B	-1.27
C14orf130	-0.6155
RAB33A	-0.01775
DCST2	0.3355
TNMD	-1.24675
PEX7	1.7265
FAM62A	-0.495625
SRD5A2L	0.5205
IL22	0.43075
RPS26	-1.23816666666667
HOXC5	0.1945
SPATA6	0.90375
FLJ38482	0.61275
ZNF234	0.064
C18orf22	1.10375
SPATA22	0.35175
THOC1	0.29975
CYP7B1	2.474
KCNC3	1.93625
C8orf42	-1.891
ALDH1B1	-0.0856666666666667
CCDC100	0.315
ARMC4	-2.1245
FAM18B2	-0.341
SLC44A1	0.438125
FBXO17	-1.02016666666667
C6orf107	-0.3845
C19orf29	-0.1025
ZC3HAV1L	-0.426
PARP6	1.2623
SULT2A1	-4.648625
C1orf159	0.561
TMC1	0.567666666666667
CHST14	-0.63475
GAMT	0.6335
SMCP	0.255166666666667
TSPAN33	0.910583333333333
MIDN	-0.74075
NOX4	2.58725
RNASEN	-0.7374
TBX1	2.66316666666667
SALL2	-0.481
C10orf35	2.30225
CYP2E1	-0.9855
LRFN2	2.50466666666667
ACO1	-1.284
IQCG	1.5454
MEGF9	1.81725
TM7SF4	2.24075
PLEKHA1	0.6632
STK33	0.03475
C1orf210	2.0845
SNUPN	0.6493
KIAA0406	-0.7724
C20orf29	0.80025
TMEM55B	-0.027
OSTM1	0.202375
CLCN7	0.293
OTP	0.5555
FLJ23049	-0.594
HEATR4	0.00299999999999999
MAP3K10	0.125333333333333
PCDHGA9	0.6005
AMDHD2	0.0445
LCTL	-1.782
PDCD2L	0.0205
CABLES2	0.4055
SLC5A9	-0.38425
CLCA2	-1.94966666666667
MGC16025	1.8565
STRAP	-1.87
C20orf196	-0.1495
RRBP1	0.303833333333333
NAT13	-1.13275
MAT2B	0.7265
CSNK1D	-1.04266666666667
KIR3DL1	0.51675
PRKAG3	-0.608
ZNF599	0.585
PRM3	1.5385
PER2	0.073
ASPHD1	2.2695
PRMT6	0.0555
KCNE1L	-0.331642857142857
FAM118A	-0.112833333333333
TAF4	-0.296
NDUFB6	0.64925
TRIM9	-0.643166666666667
PMFBP1	0.8185
KY	0.3725
DKFZp762E1312	-1.52618181818182
CSMD1	-1.42225
TBP	-0.5635
OR1Q1	0.360833333333333
RETNLB	0.35825
HPGD	0.857571428571429
DNAJC12	3.17
FKBP1B	-0.89475
ANKRD24	-0.625666666666667
CXXC5	1.09066666666667
IL3	0.375
DRAM	1.1689
PTCH1	-0.765125
TP53BP1	-0.53275
SLC17A7	-0.13475
COL25A1	-1.688
AMACR	-0.165
RHCG	0.15075
VPS13A	-0.910666666666667
FAM55D	0.734
PRPF38B	-0.562333333333333
OSBPL6	0.554
PFDN5	0.263
CMTM6	0.1755
KCNK12	0.823
RP2	0.60025
C16orf52	-1.07275
PICK1	0.399
IFNE1	-1.32033333333333
SEMA4B	-0.14825
TYRO3	-1.331
OR12D2	0.32
CSNK1A1	0.2554
FANCF	1.64175
LONP2	0.90975
TBL1Y	-0.10825
LDOC1L	0.463125
CCNC	-0.5355
C3orf60	-0.09975
CHKA	-0.1175
UBAP1	0.05175
MAP3K1	0.0595
ANKRD9	-0.574
FAM92A1	1.28683333333333
GAB2	0.336375
AZU1	-0.02175
DIS3	-0.286333333333333
C21orf109	-0.90525
IQCB1	-0.92525
SPATS2	-0.846333333333333
EFCAB3	-0.255
PRB3	0.786125
FUZ	0.644833333333333
ZNF813	-0.061125
BMPER	-0.4305
HEG1	-0.32525
ALS2CR11	-2.4575
SURF2	0.79825
PSMC1	-0.710166666666667
OR2D2	0.066
SLC7A8	0.0338333333333333
C4orf40	0.1995
SPATA7	-0.448
MAZ	-0.0385833333333333
PIN4	1.8475
PDE1A	-1.409875
TAF6L	-0.335333333333333
OR2T34	0.2535
KIAA0284	-0.61975
ACADS	-1.31418181818182
MKRN2	-0.57
C18orf56	-0.83825
MS4A6E	0.0223333333333333
GALNT4	-0.1437
C22orf31	-0.518
FLJ36070	-0.063
PSME4	-0.242
TFG	-0.6353
EPHX2	-1.271375
ANXA5	-0.258625
KRTAP1-1	-0.0056
BATF	1.806
KARS	-1.95
MSTP9	-0.144
GPR26	2.01425
CCDC72	0.5075
TEF	0.678
FOXK1	-0.8812
PRLHR	-0.6845
EMX1	3.9285
C11orf30	-1.0355
ICK	0.901875
THSD7B	-0.21725
C21orf100	-1.817
DUOX1	1.548
EFCAB4B	0.655
UBE2G2	-0.561833333333333
C3orf54	0.32775
PARP1	-0.5575
FAM60A	-0.56875
C6orf146	0.655
OR9K2	0.598
DDX55	-1.39116666666667
RPS15	0.766416666666667
ZNF618	0.7211875
DKFZp686D0972	-0.24725
SSPO	-0.648
SHFM3P1	-0.407666666666667
CPA6	-1.722
JAG2	-0.278
DEFA3	0.5505
PPBPL2	0.284166666666667
CD34	3.391
SLCO4A1	-2.0495
AFG3L1	-1.6575
SHD	-0.5295
RP13-122B23.3	-0.7375
PRKCSH	-1.32516666666667
DPH5	0.161333333333333
HLA-F	2.9585
TBC1D4	-0.543
RIG	-0.1
GLUD1	0.209
HNRPCL1	-0.2595
HBXIP	0.743
RNF207	-0.8675
APIP	-0.3505
PLA2G3	-3.09883333333333
CCDC84	-1.2315
MYLIP	-1.781
PHIP	-0.41875
AARS2	-0.0141666666666666
DHX32	0.076
SCAPER	-0.152166666666667
MEN1	-0.2415
NIP7	-0.65475
FLJ25404	0.438
FASTKD3	-0.1725
TMEM158	-2.25566666666667
RARA	1.68175
BDH1	0.523
ANKRD16	0.871
CARM1	0.6915
SS18	0.9945
IKZF2	0.165166666666667
MYD88	-0.358625
PML	0.7202
TAF1A	-1.79475
CBFB	-0.578
HIST1H3H	0.5485
C7orf29	-0.156
COMMD4	0.257
DPP3	-0.87975
DAB2	0.46325
LOC388882	0.084
YPEL4	-0.535375
AGBL3	0.2685
LRP6	-1.1781
SERPINH1	-0.704916666666667
TLE1	-0.251
CD244	1.35316666666667
ZDHHC15	-1.4905
MGLL	-0.647
PLDN	-0.5205
LOC654346	1.492
FAP	3.0315
GPR37	-0.747
SCARA5	1.84666666666667
EBF4	1.55990909090909
LSM6	0.0125
MLLT1	-0.096
SLC5A12	1.148
A2BP1	-1.7325
COPS5	1.7755
TPM4	-0.887857142857143
TNFSF4	2.69166666666667
