Hybridization REF	TCGA-E2-A15J-01A-11R-A12P-07
TMEM44	-2.196
BPIL2	0.882
CITED1	-1.9825
IRF6	4.51
PRDM4	-0.212
RRP9	-0.414166666666667
OR10H4	0.77475
IL31RA	0.022
GNB1L	-0.968166666666667
MYBL2	-2.53075
ZNF407	1.161
PPIG	-0.619666666666667
TTC18	3.096
RPSA	-0.2265
MAPT	2.374125
MRE11A	-0.329357142857143
C8orf37	-0.0791666666666667
RASGEF1C	-0.316333333333333
STBD1	0.54075
CTAG2	0.037
MGAT5B	-2.13366666666667
ECM1	3.248125
RLN1	0.5195
PARP14	0.449375
EPB41L1	0.4107
HOXA3	-1.24858333333333
MAGEA9	-4.96566666666667
RPS8	0.0468333333333333
RPS19BP1	0.05175
FOXJ2	-0.14075
C10orf76	0.478875
IL17RE	0.107
C10orf65	-3.069
ZNF343	-0.0356666666666667
FBXO33	-0.521
UHMK1	1.0252
LY6G6C	-0.42425
FGF19	-2.34925
C14orf128	-1.0725
IFIT2	1.225375
TIGD1	-0.35525
S100G	1.31
GUCY1B3	1.6745
NR3C1	-0.3674
CORO1B	1.09233333333333
PARP11	0.301916666666667
DNALI1	4.41866666666667
OR4N4	0.311857142857143
MAP2K6	-1.4735
FSTL4	0.486
ANKRD47	0.847125
TMEM171	-2.072
PNLIP	1.268
YY1	-0.656833333333333
CCDC138	-1.7165
AASDHPPT	-0.5521
CKS1B	-0.7859
MCM3	-1.59266666666667
ANAPC7	-0.0438333333333333
FAM110A	1.34275
CDC37L1	1.952
THTPA	1.07075
NBPF20	-1.546
WDR24	0.571
NPTX2	-0.95575
CBLB	0.4525
CETN1	0.0948333333333333
RPUSD1	0.6735
FAF1	-0.77525
CDK6	-3.4189
HMX2	-0.0755
CSK	-0.291666666666667
TEAD2	1.482
SNAP25	-2.49575
TUFT1	1.5165
TMTC3	-0.1565
LCK	-3.74475
SGOL1	-1.88083333333333
AKTIP	0.25375
FURIN	0.2045
SOX12	-0.392166666666667
DEFB103A	-0.392
RAMP1	2.6835
KIR3DX1	0.819
GAS2L3	-1.865
PDE8A	-1.6928
EDN3	-0.594
GMIP	0.8505
SF3A2	1.609
FN3KRP	0.22375
SMAD7	-0.16425
RHBDD2	0.6325
OR11H6	-0.0845
PPP1R3B	0.1939
C9orf23	0.04425
CADPS	0.0415
GOLGA8A	-4.04575
TMEM57	0.569833333333333
RGL3	1.8645
S100A14	3.72475
FGFR2	2.764
XRCC3	-0.58975
RTN4RL2	0.833
MGC3771	1.4255
GH2	1.1215
BTBD2	0.80275
LMO2	-0.8835
RDBP	-0.71025
ACRBP	-0.94125
AMY2A	1.985
DUOXA1	0.751
PTK7	-0.604
TWF2	-0.067
FAM80A	-3.33875
TNNI2	-2.74766666666667
GLT25D1	-0.5735
OCC-1	-3.04175
CYC1	-0.204833333333333
RPL22	0.938863636363636
MORN3	1.89116666666667
DISP1	1.17925
PRB2	0.1865
CHUK	0.2275
HR	-1.2855
CCDC134	-0.17
DENND4B	-0.31425
C14orf130	-0.49925
RAB33A	-2.72625
DCST2	1.179
TNMD	-3.0055
PEX7	1.99
FAM62A	0.005625
SRD5A2L	1.106
IL22	-0.079
RPS26	-1.548
HOXC5	-0.0285
SPATA6	1.70375
FLJ38482	0.6925
ZNF234	-0.097
C18orf22	0.92775
SPATA22	-0.39575
THOC1	0.08975
CYP7B1	3.015
KCNC3	-0.32675
C8orf42	-2.0365
ALDH1B1	0.7445
CCDC100	-0.0369
ARMC4	-0.24625
FAM18B2	-0.044
SLC44A1	0.4855
FBXO17	-1.47966666666667
C6orf107	-0.06225
C19orf29	0.23025
ZC3HAV1L	0.34175
PARP6	0.1051
SULT2A1	-5.349625
C1orf159	-0.08325
TMC1	0.337
CHST14	-0.175125
GAMT	0.5985
SMCP	0.243166666666667
TSPAN33	0.910166666666667
MIDN	0.824
NOX4	1.336
RNASEN	-0.9226
TBX1	-2.53533333333333
SALL2	-0.57925
C10orf35	1.1355
CYP2E1	-0.146
LRFN2	3.02166666666667
ACO1	-1.15166666666667
IQCG	1.7676
MEGF9	1.329
TM7SF4	-0.09675
PLEKHA1	0.3836
STK33	-3.19325
C1orf210	2.6315
SNUPN	0.6002
KIAA0406	-0.8009
C20orf29	0.04625
TMEM55B	-0.0905
OSTM1	-1.3724375
CLCN7	1.05
OTP	-0.1285
FLJ23049	0.56025
HEATR4	0.8825
MAP3K10	1.114
PCDHGA9	0.4955
AMDHD2	1.0165
LCTL	-2.2665
PDCD2L	-0.51425
CABLES2	-1.18875
SLC5A9	-0.6935
CLCA2	-3.0112
MGC16025	-1.385
STRAP	-0.946833333333333
C20orf196	0.6155
RRBP1	-0.4745
NAT13	-0.74825
MAT2B	0.39725
CSNK1D	-0.847666666666667
KIR3DL1	0.49475
PRKAG3	-0.944
ZNF599	-0.13
PRM3	1.238
PER2	0.608
ASPHD1	-3.168
PRMT6	-0.68575
KCNE1L	-1.21042857142857
FAM118A	-2.18266666666667
TAF4	-0.32625
NDUFB6	-0.88925
TRIM9	-1.76236363636364
PMFBP1	-1.263
KY	-0.3295
DKFZp762E1312	-2.82409090909091
CSMD1	-2.1845
TBP	-0.514666666666667
OR1Q1	-0.0535
RETNLB	0.457
HPGD	0.502357142857143
DNAJC12	3.22166666666667
FKBP1B	-2.7055
ANKRD24	0.531
CXXC5	-0.216
IL3	1.248
DRAM	-0.7628
PTCH1	-1.498375
TP53BP1	0.26125
SLC17A7	-0.0190000000000001
COL25A1	-1.5793
AMACR	0.512
RHCG	-0.45625
VPS13A	-0.794
FAM55D	0.4915
PRPF38B	-0.408833333333333
OSBPL6	-2.41375
PFDN5	0.5636
CMTM6	-0.516
KCNK12	-2.085
RP2	-0.60675
C16orf52	-1.94375
PICK1	1.517
IFNE1	-1.116
SEMA4B	1.727
TYRO3	-2.49375
OR12D2	1.147
CSNK1A1	0.2635
FANCF	1.226
LONP2	0.47325
TBL1Y	0.58175
LDOC1L	0.639
CCNC	-0.153
C3orf60	-0.91525
CHKA	-1.425
UBAP1	0.03675
MAP3K1	0.54
ANKRD9	-0.65775
FAM92A1	-0.5725
GAB2	0.50875
AZU1	0.1955
DIS3	-0.6055
C21orf109	-2.066
IQCB1	-0.46875
SPATS2	-0.4925
EFCAB3	-0.046
PRB3	0.2685
FUZ	1.06516666666667
ZNF813	0.339
BMPER	-2.34483333333333
HEG1	-0.79875
ALS2CR11	-2.14525
SURF2	0.2735
PSMC1	-0.6965
OR2D2	0.571
SLC7A8	2.378
C4orf40	0.0425
SPATA7	0.27825
MAZ	0.895583333333333
PIN4	0.5865
PDE1A	-1.864375
TAF6L	0.428833333333333
OR2T34	0.4165
KIAA0284	0.61375
ACADS	-0.0137272727272727
MKRN2	-0.1685
C18orf56	-1.9105
MS4A6E	0.322
GALNT4	0.0638000000000001
C22orf31	0.0135
FLJ36070	0.5775
PSME4	0.47575
TFG	-0.2784
EPHX2	1.579625
ANXA5	-0.585
KRTAP1-1	-0.4348
BATF	3.5995
KARS	-1.48975
MSTP9	-0.635
GPR26	0.744875
CCDC72	-0.1965
TEF	-0.5015
FOXK1	-0.3232
PRLHR	0.586
EMX1	2.898
C11orf30	-0.65925
ICK	0.35925
THSD7B	-0.483666666666667
C21orf100	-2.3625
DUOX1	1.316
EFCAB4B	0.832
UBE2G2	-1.34416666666667
C3orf54	-0.692
PARP1	0.176
FAM60A	-0.783583333333333
C6orf146	0.708
OR9K2	0.556
DDX55	-1.55933333333333
RPS15	0.887
ZNF618	0.805
DKFZp686D0972	0.80975
SSPO	1.7765
SHFM3P1	1.46416666666667
CPA6	-0.000750000000000001
JAG2	1.16875
DEFA3	0.08575
PPBPL2	0.485
CD34	3.4555
SLCO4A1	-3.07775
AFG3L1	-1.95333333333333
SHD	-0.7445
RP13-122B23.3	-0.3225
PRKCSH	0.409333333333333
DPH5	0.718166666666667
HLA-F	1.588125
TBC1D4	-2.21375
RIG	0.1912
GLUD1	0.0616666666666667
HNRPCL1	0.887125
HBXIP	-0.506
RNF207	-1.1895
APIP	-0.3325
PLA2G3	-0.48
CCDC84	-1.23325
MYLIP	0.701461538461538
PHIP	0.007
AARS2	-0.354666666666667
DHX32	0.87025
SCAPER	-0.295833333333333
MEN1	0.565
NIP7	-1.80125
FLJ25404	0.8875
FASTKD3	-0.69325
TMEM158	-1.86791666666667
RARA	1.74825
BDH1	1.2265
ANKRD16	0.838
CARM1	0.075
SS18	0.437666666666667
IKZF2	-1.06416666666667
MYD88	0.690875
PML	0.2859
TAF1A	-0.1205
CBFB	-0.877875
HIST1H3H	-0.7645
C7orf29	-1.92275
COMMD4	-0.235166666666667
DPP3	0.197
DAB2	-0.694125
LOC388882	0.011
YPEL4	-1.325375
AGBL3	1.24825
LRP6	-0.3953
SERPINH1	-0.598583333333333
TLE1	-1.2945
CD244	-0.282166666666667
ZDHHC15	-1.989
MGLL	0.5392
PLDN	-0.627416666666667
LOC654346	1.737
FAP	1.996
GPR37	-0.9205
SCARA5	-1.2415
EBF4	1.00381818181818
LSM6	-0.8605
MLLT1	-0.0106875
SLC5A12	-0.28875
A2BP1	-1.51866666666667
COPS5	0.117
TPM4	-1.85871428571429
TNFSF4	0.766666666666667
ACADSB	1.69627777777778
HERPUD1	-0.53275
BCL2L11	0.448611111111111
CEP78	-1.59225
CDCA3	-1.571
WBSCR19	-0.1108
MYO1A	-2.3725
PPEF1	2.02
LOC440348	-0.62325
CPEB2	2.388625
BPTF	-0.647833333333333
RPL21	0.4090625
GSX2	-0.6075
ADPRH	-0.022
C17orf68	0.789666666666667
KCNS1	-1.4345
MLLT6	0.6438
PIWIL4	-0.75325
RNF26	-1.08
RAP1B	0.791625
ADAMTS1	-3.0998
ZNF571	0.75375
P2RY6	-0.731
TRIM21	0.377666666666667
CADM3	-0.18675
NLRC5	0.65
ADRA2B	0.877333333333333
LOC90835	0.899125
PCF11	-0.10975
LOC400451	1.941
GLTSCR1	0.7748
C17orf88	-0.186666666666667
CDH16	-1.383
FGF7	1.084125
PCSK4	0.608166666666667
NPC1L1	-0.788833333333333
TAT	-0.139285714285714
TBCA	-0.67575
MGC33407	0.12275
GPR115	-1.830625
CYGB	0.01
FNBP4	-1.249
C12orf43	0.03875
CBL	-0.8343
CLECL1	1.57175
PPAPDC1A	0.963
WDR25	0.552166666666667
SGCA	-0.272
C22orf29	0.273166666666667
YIPF1	1.80525
GALK2	-0.37625
RAB3B	-3.82458333333333
LOC440087	-1.2455
UCP1	-1.316
REEP5	1.101125
FADD	-0.3327
FOXA1	2.80575
CACNA1A	0.198
ABI1	0.451833333333333
GRIN2D	1.462
SLC1A4	0.633166666666667
LOC401127	-0.999
HINT2	0.252
PLD4	0.858
ZNF286A	0.64775
ENY2	-0.51775
IL1F6	0.425
PXDNL	-0.29825
C20orf79	0.62075
TNFSF13B	1.6905
DENND3	0.132125
JARID1D	-3.6045
HIST1H2AK	-0.111875
LOC93349	-0.7221
SSH1	-0.9236
ENSA	1.995
LOC219854	0.616666666666667
CKAP2	-1.521
DKFZP564J102	-0.468333333333333
MGC87315	-0.589166666666667
HNRPAB	-0.46075
AMH	-0.6065
ZNF526	0.319
BRUNOL5	-0.977444444444445
CACNG3	-0.166666666666667
TRPM1	-1.462
PPP2R1A	0.553875
COL2A1	-1.643
DDN	-0.257333333333333
FLJ25770	2.48575
HK2	-1.61107142857143
ELOVL6	-0.7475
MDK	-1.33575
EPHX1	-0.37375
RASSF2	0.146375
DKFZP434B0335	-0.5595
DLX3	-0.016
PRTN3	0.51575
AVPR1A	0.466
C21orf125	-2.44925
TNFAIP8	-0.244
GNB2L1	0.47275
CALCRL	2.01225
SCGB2A2	3.7075
UBXD7	-0.6345
ZNF674	-0.723
TMEM35	-0.52375
BRSK2	-0.902125
HECTD3	0.671166666666667
TMEM188	-1.20054545454545
LGALS9	1.9305
SCARB2	0.576166666666667
USP34	-0.0204166666666667
C17orf28	2.34466666666667
ZDHHC23	-0.8895
AQP12B	-0.8475
SLC16A3	-2.238
APLP2	-0.2695
ITIH2	-5.40575
MICAL3	-0.081125
TNNI3K	0.6327
HDAC2	0.05775
PRR7	0.6754
THBS2	-0.272375
LOC751071	0.849333333333333
CA2	-0.990666666666667
RANBP17	0.116
RLN3	0.601
CRYZ	-0.0708333333333333
GBAS	0.636666666666667
TAS1R1	-0.29225
MPZL3	1.2
PCDH8	-2.56275
HSP90B1	-0.843666666666667
KCNK15	0.3295
TNIP2	0.837166666666667
GPR146	-1.63275
NOL6	0.408428571428571
SPC25	-3.38177777777778
STEAP2	4.36014285714286
VAMP3	-0.26
TCIRG1	0.3225
ZP4	-0.248333333333333
PARL	0.032375
TRIM39	-0.101
KIAA1305	-0.12325
CRNN	-0.041
GRN	0.11375
HSH2D	-0.07275
SCAMP1	0.203
KIAA1913	-0.111
PTS	-0.444
BANP	0.204428571428571
PRKACG	-0.0905
ADCY6	1.11116666666667
C16orf46	-0.4585
CYP51A1	-0.163
DDC	-5.52525
ANPEP	-1.2455
PROM1	0.397333333333333
SIGLEC10	1.6615
COPG	0.8075
FAM26E	0.813125
TRIP4	0.213
SNX3	-0.197166666666667
C1orf175	0.427666666666667
PPY2	0.232333333333333
C14orf152	-0.0245
FTSJ1	-0.730333333333333
DST	-1.05105263157895
LOC554235	0.35
GLRX5	-0.61425
C20orf12	1.1867
CAB39	-0.169833333333333
MSH2	-1.3125
PIP4K2C	1.085625
CYLD	-0.277125
WTAP	0.73125
MGAT4A	2.94933333333333
TSC22D4	-0.1729
CHRM2	-1.8435
PPYR1	0.6565
CCNH	-0.536
RRM1	-0.9575
ECAT8	-3.42475
LOC400120	-0.48825
GABRA4	-0.9655
C14orf4	1.37916666666667
C1orf59	-0.14375
CTDSPL	0.16725
NHEDC2	-0.433
PDE11A	0.572066666666667
KLHL29	-2.4345
CD5	-1.9838
TSPAN9	1.582
WDR67	-1.28775
THUMPD1	0.7421
C18orf17	1.7485
CLYBL	0.503166666666667
FLJ13231	-0.774
CMBL	-0.871375
LECT2	-1.56825
NKAPL	1.053
LOC654780	1.109
OR4C6	0.864
RAB30	1.33983333333333
TSSK4	-0.359
TMEM163	-0.676
OSBPL11	0.447416666666667
GNB5	-2.82333333333333
CCL21	0.575
C1orf121	0.217166666666667
FMO2	1.06083333333333
RPTN	0.662
MSTN	0.093
VCL	-0.571428571428571
FYTTD1	-0.1145
C11orf1	0.99525
CCDC88C	-0.182
HFE	-0.472666666666667
MOGAT1	-2.2715
FAM125B	0.165166666666667
IRGQ	1.261
RAVER2	-1.46925
AKAP5	-1.172
SSSCA1	-0.70625
C11orf63	2.14275
ACTG2	0.0346
PORCN	-1.018
DTL	-2.37481818181818
TMEM151	0.29575
FAM122C	-1.3415
RSAD2	2.3599
BAT4	-0.966
KRTDAP	-1.706
MYH8	1.513875
CRTC3	0.89675
LRRFIP2	0.6509
INTS4	-0.104333333333333
TTN	-2.6328
SLC26A5	0.4465
PLLP	-0.234
RGS6	-1.046375
SRGAP3	-1.047125
ZNF525	0.291333333333333
NBR2	-0.753666666666667
C13orf1	0.00949999999999998
ZNF137	0.02
CEP27	-1.9975
BEST2	0.5175
RNF121	-0.13625
DMRTC2	3.25866666666667
C8orf76	-0.055
BCCIP	0.601875
MEST	-1.0385
HTRA2	0.101
ANGPTL2	-0.87725
ILKAP	0.0418333333333333
ERAS	-0.7655
HBS1L	-0.82475
CPA5	0.0405
TMEM30A	0.5575
CD300LF	1.104
WISP3	0.6195
CRK	0.812
PDS5A	-0.1516
BRPF3	0.718
NEDD9	-0.665125
SMPDL3B	2.26825
PSG6	0.24775
PSMD13	0.3725
ETV5	-2.459125
OR51A4	-0.075
BTBD7	0.0171666666666667
GSTO1	-1.55625
hCG_16001	1.452
MAD2L1BP	-0.378166666666667
COX6A2	1.8865
SCNN1A	2.87966666666667
LSM1	-0.860166666666667
UGT2B11	0.9215
IDUA	1.99375
PPP2R3C	-1.0485
COX11	-1.267
PDZK1	-4.3675
ZNF443	0.568333333333333
MGC21874	1.13283333333333
ZNF323	0.9421
KRTAP10-10	0.577
CXCL6	-0.06125
SLC34A2	1.2586
LOC284402	0.241
NPTN	0.78625
UPP1	-2.1775
SLC6A9	-0.0995
OR7G3	0.475
CISD1	-1.06333333333333
ZNF545	-0.684666666666667
SYT14	-0.962
NT5C3L	0.7105
ZNHIT3	-0.381
SNRPD3	-0.26325
KIAA0701	0.153
UNC93B1	0.539166666666667
GMNN	-2.794875
SPCS2	0.594
LOC388524	0.7585
NAPRT1	0.716125
PNLIPRP1	-0.550666666666667
OR6V1	1.204
PRKAB1	0.44375
EYA4	-3.31466666666667
KIF20A	-2.1255
ALG10	-0.343
ITPKC	1.16466666666667
LMX1B	1.94733333333333
RPUSD4	0.449666666666667
C7orf34	0.117833333333333
DLGAP2	0.260625
PFN1	-0.0978
MICALL2	-0.0553333333333333
ZNF654	-0.963
SS18L1	-1.055125
SLC16A8	0.0115
MKI67IP	0.338666666666667
ITGB3	-1.28175
TCEA3	2.62441666666667
CEP152	-3.057625
CLIP1	0.223875
ZNF75	-0.3038125
ATP5C1	-0.736833333333333
NUDT5	-0.7565
PSCDBP	0.46425
UBP1	-0.3605
RBM27	-0.269
C13orf15	2.335375
ZNF282	0.387166666666667
ZNF222	-0.636
COL10A1	5.2185
PRDM15	-0.8175
TTTY5	-1.439
FAM9C	-1.605
C20orf67	0.56425
GNG13	1.6875
F12	1.87525
C1orf41	-1.07925
CPXCR1	-0.4425
GSK3A	0.55675
SUPT6H	0.295
PI16	-0.9585
ELL2	0.563083333333333
C9orf167	-2.1975
PVRL3	-3.5881
FLJ38596	0.3205
ADAM20	0.65
GPR89A	0.2745
GPR87	-5.264
ZNF30	0.627
SMR3B	-0.263
ZNF770	0.278875
TRPC4AP	-0.293833333333333
DKFZP686E2158	0.303333333333333
C2orf28	-0.181333333333333
FREM1	-4.20233333333333
LAMA4	-0.424833333333333
ADPRHL2	0.207
EIF4G2	0.4145
GUCA1A	-0.185
CTNNA2	-2.11785714285714
NUDT15	-1.07983333333333
CEPT1	0.467
ZNFX1	0.7149
CCDC92	1.0905
TDRD1	-1.721
KCNK5	-2.27416666666667
ETNK1	0.765166666666667
LTA	0.573
TTPA	0.1404
B3GALNT2	-0.1395
SC65	0.501166666666667
PEX5L	-1.9855
EPS15L1	-0.0955
MGEA5	-0.074125
HIST1H3A	1.00575
ING1	-0.439125
BCAT1	-3.27575
ORC6L	-3.80772727272727
KLK11	-5.41916666666667
C19orf28	-0.789375
DNER	-4.63025
MED22	-0.554285714285714
ETV6	1.14558333333333
CHAC2	-1.8275
CD300E	0.647
CEBPB	0.765916666666667
ZNF398	-0.334
LRCH3	-0.3805
HMGA1	-0.496166666666667
CAPN7	0.313
MGC5566	-2.96575
CCL3	1.6785
NANOS1	-0.63725
ZFYVE19	-0.0385
APITD1	-0.3495
PARD3	0.455375
IRAK4	0.18
SERPINI2	-0.193
CEP170L	-0.57125
TTC9	0.388
MYOM3	-1.9065
MLPH	1.80525
LOC222699	0.2105
NRG1	-1.68266666666667
TBC1D9	3.35
TTK	-2.45366666666667
ZNF557	0.497
DDX41	-0.273833333333333
FANK1	3.414
UBE2D2	-0.09975
PSMB10	-0.27225
MYH7B	0.182
GABARAPL2	-1.058125
MARVELD2	1.24366666666667
DGCR2	0.579
UNC45A	0.587333333333333
C6orf72	-0.063
ZNF683	3.62725
GIT2	-0.375625
CASK	1.108
C14orf161	3.46483333333333
LRRC44	-1.616
TIFA	0.931625
UTP11L	-0.35675
C6orf65	-2.33125
FDPS	-0.2895
DUSP9	-1.6787
SLC17A8	0.6876
OR51G1	-0.0786666666666667
NANS	-0.16625
OLFML1	1.53025
ATP10B	-1.278375
NPAS3	-1.5535
PRKCA	-2.8699
GGA2	-0.32175
LCE4A	0.375
SPANXN3	1.0525
CCDC115	1.015375
SDCCAG3	-0.589
GLIPR1L1	-0.57475
TTC1	-0.0125
C17orf76	-0.99175
MAD2L2	-1.084
HIPK1	-0.7025
LRRC3B	-0.911333333333333
CLN3	0.336727272727273
C17orf47	1.035
FMN2	-3.03675
TUBB1	-2.217
WAPAL	0.0258333333333333
C3orf21	-0.64125
SCN5A	-0.7777
SMYD1	0.77575
BEX5	0.4965
ZNF192	-0.7675
SEC22A	-0.0215
GRIA2	0.432857142857143
KIAA0825	-1.16825
NUSAP1	-2.25554545454545
LANCL1	-0.242125
C15orf40	-0.6784
ZNF645	0.146857142857143
GPR61	0.32475
NLRP14	-1.195
SNX21	-0.9685
C1QTNF8	0.5635
C17orf46	0.3155
IFNA8	1.12
SPRR1B	-2.503
FLRT1	-0.50425
SNX17	0.207666666666667
ASB2	-1.16233333333333
HBG1	-5.4555
RPRML	-2.59025
JOSD2	0.663166666666667
PLSCR3	0.02825
SPOCD1	1.04716666666667
RAB39	-0.7185
GHRH	2.13266666666667
ITIH5L	0.166
C17orf37	0.7025
SMCR8	0.877
DPY19L2P3	-0.446333333333333
IL11RA	-1.66683333333333
GDF3	-4.03616666666667
RPS6KB1	-1.25883333333333
DNAJC19	0.5716
TOP1	-0.09
CRCT1	-0.515142857142857
MPST	0.733875
DPM2	0.7785
FAM38B	-0.163166666666667
SLC18A1	-2.7572
FARP1	0.723666666666667
PAX7	0.26575
TUBD1	-1.65075
GNL3	-0.129
BTG2	3.00933333333333
NDUFS6	-0.6325
C1orf79	-0.01775
ERAL1	0.118
ECHS1	0.796
VPS4A	-0.8565
CYP11A1	-0.727625
ABCC6	-1.23664285714286
PBX4	-3.5765
MOSC1	-0.47625
NCF4	-0.2055
HYMAI	0.6055
NAGPA	0.50525
OTOP2	0.39675
ACOT12	-0.53925
MTHFD2L	0.059
LOC441376	3.48575
C19orf34	0.2995
RAB1B	0.174
ALDOAP2	-0.2535
NTRK1	-2.40733333333333
ARTS-1	-0.7366
SLC6A11	-1.287
NAP1L2	-2.30775
CNGB1	0.0743333333333333
EPB41L4B	0.118166666666667
FAM134B	-0.8915
HS3ST3A1	-1.19983333333333
CPXM2	2.25175
SIRPB2	0.9505
CHORDC1	-0.530666666666667
TRIB3	-0.957166666666667
SLC2A5	0.612
C2orf49	-0.595833333333333
DDX5	-0.40575
OR5L1	1.4815
ANAPC4	-0.377333333333333
ZSWIM1	0.24975
LOC93622	0.162125
KCNK3	-0.950666666666667
RP11-35N6.1	-2.253
ZFP161	0.2995
AQP9	2.00725
SLC15A2	-1.9235
MREG	0.963666666666667
OR9I1	0.4975
PDLIM2	-0.307125
ADAM7	0.692
GSTCD	0.0438333333333333
WDR21A	-0.04025
SLC12A8	1.7075
TMEM174	-0.05725
IGSF3	-0.41225
LRRN1	-3.0985
LOC402117	-0.17675
SRPK1	-0.825666666666667
LY6K	-0.758875
NFIA	2.7455
PTCD3	-0.021125
LEP	0.548666666666667
PCDH21	-0.918166666666667
MAPKAPK2	1.21628571428571
NMNAT1	-0.3585
LHFPL2	-0.53775
C9orf43	1.276
DIP2A	-0.754666666666667
ACTR8	-0.176
CCDC34	-1.0445
PTPN22	-1.679875
ITGA3	-1.059625
FAM129C	0.2605
RABGGTA	0.522333333333333
UNC45B	-0.06675
KIAA1033	-0.1415
ZNF510	-0.0595
CYP2D6	0.248833333333333
SLC26A10	-0.954
STX8	0.07175
LUZP1	-0.158
WDR89	0.049
EIF4G3	-0.4118
C5AR1	1.1035
ZNF623	0.6255
A2M	-0.868
TGM7	0.082
GRPEL1	-0.555833333333333
LMNB2	-1.1932
ROCK2	-1.14866666666667
SNX16	1.214875
CCDC66	-0.108
ANXA3	-2.7555
KIAA1609	-1.323125
EED	-1.34125
RNF32	0.531166666666667
HES1	0.4315
CLC	0.352166666666667
ISL1	-1.07983333333333
KIAA0528	0.140125
MANEA	0.08575
C1orf61	-2.6695
hCG_2001000	1.69925
RAPGEF6	-0.5237
KIAA0020	-0.111
NEIL1	2.403
C16orf45	1.854625
RBM10	-0.192666666666667
C10orf125	-2.4
MRS2L	-0.7455
DNAH17	-1.755
C19orf10	-0.79425
C1orf160	0.66225
SLFN12	1.37175
EXOC3	-0.1215
HIST3H3	0.27775
NCOR2	-0.329333333333333
TNFRSF9	-0.63175
MFSD8	0.1645
ALX1	-4.5085
NOL1	-0.562
PODN	2.32875
TIAL1	-0.943
HIST1H1E	-1.1925
NPY6R	0.12075
TM4SF4	-0.64825
CORO2A	0.7105
ETNK2	0.978
APOE	0.5454
ANGPT4	0.9815
HDGF2	0.0295
G30	0.358
ST8SIA4	-0.498125
F2RL1	-2.631875
FAM19A4	-0.8925
CCAR1	-0.087
B3GNT7	0.047
OPHN1	-0.6418
DSCR6	-2.9605
C21orf13	1.34066666666667
GAS2L1	0.924333333333333
RFX3	0.713166666666667
COPS4	-0.136
BCHE	-4.82466666666667
BCL2	3.41775
HBZ	-3.03216666666667
ARL13B	-0.997
MAPBPIP	1.291
MYO15B	1.034
SPZ1	0.987333333333333
KIAA1324	2.54877777777778
PLCL2	-1.845375
C4orf29	-0.6205
WDFY2	-0.886875
ZNF284	-0.096
NAALADL1	-0.257
DUSP5	1.11016666666667
PXDN	0.52825
SLMO1	-0.0035
TNXB	0.633
BIRC7	-0.9945
A4GALT	0.2475
TIMM22	0.35225
FAM110C	2.08725
TOMM34	-0.766375
ABHD9	0.051
ADAM32	0.5695
CRHBP	-1.72325
AQP2	0.6305
LOC130355	1.456
ZNF187	-0.039
ZNF816A	0.373
F7	0.525375
CNOT1	-0.9654
SLC13A4	-1.272
ZBTB11	-0.14825
B3GALT5	-0.56775
EXOC2	0.470666666666667
IRS1	1.0838
TMEM1	-0.0488333333333333
MRPL34	-0.112333333333333
SAMM50	-0.2335
CDC42EP3	-1.822125
HSF2	-0.7299
MFN2	-0.269
TSPAN7	-2.76616666666667
NUCB1	1.0445
RHOH	-0.852
ARL16	-0.462
TACR1	-0.757333333333333
SFRS5	-0.829666666666667
SNX25	0.486
RHBDF1	0.915166666666667
PCDH18	-0.237
HMG1L1	-1.385
MYO5C	1.799375
MAPK10	2.753
LDHAL6A	-0.3212
NUDT12	1.33383333333333
NCAM1	-0.09625
GLIS2	0.737
GGTL4	0.599
DAPP1	0.586
ATF7	0.247
KIAA0748	-1.59925
NFIL3	0.03525
TM6SF1	0.112
SEZ6	0.43375
NANOS3	1.05633333333333
DNAJA3	0.0596666666666667
CLDN6	-2.31
CIITA	2.1418
EPHA4	-1.13933333333333
FANCC	-0.59775
CMTM3	-0.721875
PSG3	-0.32
MRPL15	-0.338
C21orf59	-0.18525
PLCXD2	-0.7995
C2orf34	0.62725
UBE2L6	1.307875
MED14	0.0721666666666667
HP1BP3	-0.998
C6orf208	0.219
TPBG	0.223
OSR2	-1.26825
XPC	-0.355666666666667
KLHL7	-1.90783333333333
CCR3	-0.817
AGTPBP1	-1.15933333333333
PCSK6	1.77766666666667
STAT5A	-0.2026
FAM18B	0.284
LONRF2	2.1425
PTPN2	-0.59275
SF3A3	-1.06166666666667
EFCBP2	-0.32875
HCFC1	-0.603
AHNAK	0.05915
ACTR5	-0.196
KIF14	-2.52642857142857
TENC1	1.60475
HEATR5B	1.1445
YIPF2	0.9055
MYEOV2	1.3045
DUSP18	0.945
KIAA1012	0.2495
AHR	0.7805
C17orf53	-1.49266666666667
PTPRH	-3.404
ATP6V1C1	0.4414
TAS2R3	-0.256
LOC440356	-0.067
COQ10B	0.39775
PSMF1	0.117166666666667
SORBS2	2.05658333333333
NFE2L2	-0.08125
TMCO7	-0.6925
SH3PXD2A	-1.2831
SH2D2A	-2.1805
SPINK5	-3.976
MRPS24	-0.94675
OPA3	0.74775
TRAF7	1.30583333333333
C4orf35	0.088
MT1G	-1.629125
MGC39545	-1.345
HS1BP3	0.5695
OR2B2	0.477
CHRM4	0.559
SFRP2	1.58016666666667
RIC3	1.59
ART1	0.057
C6orf1	1.48275
DUS4L	-0.674
C10orf104	0.38175
