Hybridization REF	TCGA-AR-A1AQ-01A-11R-A12P-07
FBXO33	-0.417125
UHMK1	0.3812
LY6G6C	-0.41325
FGF19	-2.06675
C14orf128	-1.08816666666667
IFIT2	2.67025
TIGD1	-0.07
S100G	0.2495
GUCY1B3	2.2275
NR3C1	-0.6576
CORO1B	0.99
PARP11	0.7725
DNALI1	-0.7075
OR4N4	0.30075
MAP2K6	2.37933333333333
FSTL4	-0.5415
ANKRD47	1.052625
TMEM171	-1.0685
PNLIP	0.04975
YY1	-0.3135
CCDC138	-0.3285
AASDHPPT	-0.0094
CKS1B	0.5416
MCM3	0.0898333333333333
ANAPC7	-0.368833333333333
FAM110A	1.60625
CDC37L1	1.24366666666667
THTPA	0.03725
NBPF20	-1.2735
WDR24	-0.4035
NPTX2	-2.67175
CBLB	1.40883333333333
CETN1	0.0215
RPUSD1	0.4585
FAF1	0.054
CDK6	-1.9339
HMX2	-0.0955
CSK	0.722833333333333
TEAD2	2.046
SNAP25	1.874
TUFT1	-0.1642
TMTC3	-0.2245
LCK	-0.05075
SGOL1	-0.670833333333333
AKTIP	0.861
FURIN	0.918375
SOX12	-0.214833333333333
DEFB103A	-0.64525
RAMP1	0.3425
KIR3DX1	0.9955
GAS2L3	-0.02375
PDE8A	-1.9912
EDN3	-0.583
GMIP	1.35825
SF3A2	-0.17325
FN3KRP	0.50725
SMAD7	1.408
RHBDD2	0.73025
OR11H6	-0.00750000000000001
PPP1R3B	1.956
C9orf23	0.42575
CADPS	-0.70275
GOLGA8A	-2.77625
TMEM57	-0.149333333333333
RGL3	-2.063
S100A14	2.9275
FGFR2	0.12725
XRCC3	-0.207
RTN4RL2	0.43775
MGC3771	-1.021
GH2	-0.0178333333333333
BTBD2	0.47475
LMO2	-0.29775
RDBP	-0.7545
ACRBP	-1.1855
AMY2A	4.741
DUOXA1	0.4295
PTK7	2.181
TWF2	0.190833333333333
FAM80A	-2.477
TNNI2	-1.0855
GLT25D1	0.615333333333333
OCC-1	-1.45475
CYC1	0.2275
RPL22	0.337090909090909
MORN3	2.84983333333333
DISP1	-0.20725
PRB2	-0.1655
CHUK	-0.12075
HR	0.415375
CCDC134	0.095
DENND4B	-0.29225
C14orf130	-0.653625
RAB33A	-0.64475
DCST2	0.765
TNMD	-2.39375
PEX7	0.124
FAM62A	-0.134
SRD5A2L	-0.37575
IL22	0.30625
RPS26	-1.64666666666667
HOXC5	-0.037
SPATA6	0.4695
FLJ38482	-0.3235
ZNF234	1.3495
C18orf22	1.5225
SPATA22	5.58275
THOC1	0.7935
CYP7B1	4.25525
KCNC3	0.37475
C8orf42	1.125
ALDH1B1	0.684333333333333
CCDC100	-0.4603
ARMC4	-4.94675
FAM18B2	0.1915
SLC44A1	0.0868749999999999
FBXO17	-0.702166666666667
C6orf107	-0.54675
C19orf29	-0.335
ZC3HAV1L	-0.134
PARP6	0.1789
SULT2A1	-5.32228571428571
C1orf159	0.30425
TMC1	0.3565
CHST14	0.10625
GAMT	-3.09116666666667
SMCP	0.397666666666667
TSPAN33	1.46841666666667
MIDN	-0.4605
NOX4	1.64125
RNASEN	-1.1903
TBX1	-2.50633333333333
SALL2	-1.61425
C10orf35	1.4335
CYP2E1	-0.316375
LRFN2	0.968833333333333
ACO1	-1.6945
IQCG	2.6352
MEGF9	0.129
TM7SF4	2.058
PLEKHA1	-0.136333333333333
STK33	0.89125
C1orf210	2.6315
SNUPN	-0.0861
KIAA0406	-0.1141
C20orf29	-0.49
TMEM55B	-0.417
OSTM1	-1.320125
CLCN7	-0.23375
OTP	0.14125
FLJ23049	-0.143
HEATR4	0.414
MAP3K10	-0.126333333333333
PCDHGA9	0.4645
AMDHD2	-0.012
LCTL	-2.1045
PDCD2L	-0.03525
CABLES2	1.11675
SLC5A9	-0.482
CLCA2	0.509666666666667
MGC16025	1.939
STRAP	-0.350833333333333
C20orf196	-0.081
RRBP1	0.176833333333333
NAT13	-0.9255
MAT2B	0.470125
CSNK1D	-0.999166666666667
KIR3DL1	1.19925
PRKAG3	0.5635
ZNF599	-0.563
PRM3	0.47
PER2	0.6695
ASPHD1	-0.2555
PRMT6	-0.6325
KCNE1L	0.718928571428571
FAM118A	-0.795333333333333
TAF4	-0.647
NDUFB6	-0.01875
TRIM9	-1.85325
PMFBP1	0.68525
KY	0.5965
DKFZp762E1312	-0.904909090909091
CSMD1	1.018
TBP	-0.0988333333333334
OR1Q1	0.412333333333333
RETNLB	0.196
HPGD	-0.6505
DNAJC12	-2.09916666666667
FKBP1B	-2.3885
ANKRD24	-0.0483333333333333
CXXC5	-1.49633333333333
IL3	0.151875
DRAM	1.1948
PTCH1	-0.849125
TP53BP1	-0.164
SLC17A7	0.1085
COL25A1	-1.4687
AMACR	-1.0705
RHCG	3.3215
VPS13A	-0.765833333333333
FAM55D	0.891
PRPF38B	-0.423416666666667
OSBPL6	-2.60675
PFDN5	-0.1903
CMTM6	0.6055
KCNK12	-0.82825
RP2	0.10075
C16orf52	-0.53825
PICK1	0.858
IFNE1	-1.79883333333333
SEMA4B	-0.28675
TYRO3	-1.327
OR12D2	-0.203
CSNK1A1	-0.6588
FANCF	0.6805
LONP2	-0.481
TBL1Y	-0.50275
LDOC1L	-0.229875
CCNC	0.16025
C3orf60	-0.29925
CHKA	0.335
UBAP1	0.954
MAP3K1	-0.1975
ANKRD9	-0.73075
FAM92A1	0.5345
GAB2	0.183875
AZU1	-0.15375
DIS3	0.149416666666667
C21orf109	-1.51925
IQCB1	-0.01
SPATS2	-0.295
EFCAB3	0.2515
PRB3	0.04425
FUZ	-0.47
ZNF813	-0.182125
BMPER	-1.77916666666667
HEG1	-0.27175
ALS2CR11	-1.67825
SURF2	-0.41175
PSMC1	-0.264166666666667
OR2D2	1.548
SLC7A8	-0.728833333333333
C4orf40	3.8165
SPATA7	-0.71675
MAZ	-0.565
PIN4	1.6505
PDE1A	-1.31325
TAF6L	0.594666666666667
OR2T34	-0.009
KIAA0284	0.21875
ACADS	-0.0896363636363636
MKRN2	-0.129
C18orf56	-0.609
MS4A6E	0.647333333333333
GALNT4	-0.4785
C22orf31	0.775
FLJ36070	-0.0165
PSME4	0.9385
TFG	0.8182
EPHX2	1.505
ANXA5	-0.374625
KRTAP1-1	-0.1608
BATF	1.68325
KARS	-0.713
MSTP9	-0.92
GPR26	-0.129125
CCDC72	-0.45875
TEF	-0.344333333333333
FOXK1	-0.846
PRLHR	-0.082
EMX1	0.19625
C11orf30	-0.187
ICK	1.2755
THSD7B	-0.0625
C21orf100	-0.412
DUOX1	0.171
EFCAB4B	0.0505
UBE2G2	-0.4485
C3orf54	0.222
PARP1	-0.12275
FAM60A	0.247416666666667
C6orf146	0.557
OR9K2	0.751
DDX55	-1.12233333333333
RPS15	-0.203083333333333
ZNF618	0.894625
DKFZp686D0972	0.62675
SSPO	-0.1965
SHFM3P1	-0.409666666666667
CPA6	-1.64975
JAG2	0.654
DEFA3	-0.06125
PPBPL2	0.492833333333333
CD34	3.64775
SLCO4A1	-1.75725
AFG3L1	-1.9235
SHD	-0.94525
RP13-122B23.3	-0.649
PRKCSH	1.14366666666667
DPH5	0.608833333333333
HLA-F	2.988125
TBC1D4	1.1385
RIG	-0.0486666666666667
GLUD1	-0.359333333333333
HNRPCL1	0.588375
HBXIP	-0.18525
RNF207	-0.016
APIP	0.24
PLA2G3	-2.37483333333333
CCDC84	-1.09025
MYLIP	-1.70984615384615
PHIP	-0.768
AARS2	0.193666666666667
DHX32	-0.2475
SCAPER	-0.295833333333333
MEN1	0.43825
NIP7	-1.062
FLJ25404	0.1925
FASTKD3	-1.023
TMEM158	-1.56616666666667
RARA	0.56175
BDH1	0.748
ANKRD16	1.6815
CARM1	0.2935
SS18	0.382166666666667
IKZF2	0.209166666666667
MYD88	0.83025
PML	0.9485
TAF1A	-0.228
CBFB	-0.2265
HIST1H3H	-1.2645
C7orf29	-1.0815
COMMD4	-0.515
DPP3	-0.1685
DAB2	0.092875
LOC388882	-0.3755
YPEL4	-0.910875
AGBL3	-0.02525
LRP6	0.5962
SERPINH1	0.908833333333333
TLE1	0.486
CD244	1.198
ZDHHC15	1.552
MGLL	-1.0784
PLDN	0.0465833333333333
LOC654346	2.619
FAP	2.432
GPR37	0.694166666666667
SCARA5	-0.0516666666666666
EBF4	0.895545454545455
LSM6	0.02025
MLLT1	0.3775
SLC5A12	-0.19525
A2BP1	-1.82016666666667
COPS5	0.639166666666667
TPM4	0.109357142857143
TNFSF4	1.0785
ACADSB	-1.69372222222222
HERPUD1	0.796
BCL2L11	-0.267055555555556
CEP78	-1.085375
CDCA3	0.193625
WBSCR19	-0.299
MYO1A	-2.02
PPEF1	2.13416666666667
LOC440348	-0.7765
CPEB2	-0.1635
BPTF	0.09825
RPL21	0.1131875
GSX2	0.5175
ADPRH	1.8155
C17orf68	0.115333333333333
KCNS1	1.74383333333333
MLLT6	-0.0351
PIWIL4	2.14425
RNF26	0.057
RAP1B	-0.4195
ADAMTS1	-1.3301
ZNF571	0.3775
P2RY6	1.424
TRIM21	1.39216666666667
CADM3	-0.333
NLRC5	1.8505
ADRA2B	0.1495
LOC90835	-0.899875
PCF11	-0.0625
LOC400451	-1.56975
GLTSCR1	0.3142
C17orf88	-0.940833333333333
CDH16	-1.5205
FGF7	1.52375
PCSK4	-1.82166666666667
NPC1L1	-1.99116666666667
TAT	0.190625
TBCA	-0.455
MGC33407	0.2305
GPR115	-0.36325
CYGB	0.5025
FNBP4	-0.466666666666667
C12orf43	-0.12325
CBL	0.00820000000000003
CLECL1	2.84025
PPAPDC1A	1.02525
WDR25	-0.335
SGCA	-0.186
C22orf29	-0.297166666666667
YIPF1	0.77125
GALK2	-0.84225
RAB3B	-3.89541666666667
LOC440087	-1.1615
UCP1	-0.688
REEP5	0.305875
FADD	0.1246
FOXA1	-2.8855
CACNA1A	0.646666666666667
ABI1	1.4715
GRIN2D	-0.59325
SLC1A4	0.0375
LOC401127	-0.94425
HINT2	0.1625
PLD4	0.855333333333333
ZNF286A	0.69375
ENY2	-0.118
IL1F6	0.075
PXDNL	2.08475
C20orf79	-0.4055
TNFSF13B	4.3595
DENND3	1.138625
JARID1D	-3.5505
HIST1H2AK	-0.565125
LOC93349	0.6335
SSH1	-0.9123
ENSA	1.121
LOC219854	0.179333333333333
CKAP2	0.0664
DKFZP564J102	0.181333333333333
MGC87315	0.042
HNRPAB	-0.6595
AMH	-2.391
ZNF526	1.1165
BRUNOL5	0.1392
CACNG3	0.225333333333333
TRPM1	-2.625
PPP2R1A	0.105
COL2A1	-1.682
DDN	0.536166666666667
FLJ25770	1.48733333333333
HK2	-0.0547857142857143
ELOVL6	-1.14
MDK	1.053
EPHX1	1.73625
RASSF2	0.75375
DKFZP434B0335	-0.16175
DLX3	0.30825
PRTN3	-0.39125
AVPR1A	1.36075
C21orf125	-2.31
TNFAIP8	-0.035
GNB2L1	-0.22375
CALCRL	3.4225
SCGB2A2	4.1625
UBXD7	0.0475
ZNF674	0.1375
TMEM35	-1.444125
BRSK2	1.467625
HECTD3	0.461833333333333
TMEM188	-0.511166666666667
LGALS9	2.829875
SCARB2	0.578166666666667
USP34	0.158916666666667
C17orf28	0.735166666666667
ZDHHC23	-0.7905
AQP12B	0.039
SLC16A3	-2.164875
APLP2	0.351125
ITIH2	-5.4855
MICAL3	-0.559625
TNNI3K	0.6819
HDAC2	1.028
PRR7	-0.2547
THBS2	-0.15425
LOC751071	0.5365
CA2	0.2445
RANBP17	0.36775
RLN3	-0.06325
CRYZ	-0.470166666666667
GBAS	-0.248666666666667
TAS1R1	-0.1975
MPZL3	1.084
PCDH8	1.21425
HSP90B1	0.2995
KCNK15	-1.065
TNIP2	-0.0795
GPR146	-1.488
NOL6	0.213625
SPC25	-1.96111111111111
STEAP2	1.79121428571429
VAMP3	0.0823333333333333
TCIRG1	0.64475
ZP4	1.24533333333333
PARL	0.593
TRIM39	-0.162333333333333
KIAA1305	1.98075
CRNN	0.413666666666667
GRN	1.098
HSH2D	0.06425
SCAMP1	0.0766875
KIAA1913	1.93275
PTS	0.48625
BANP	0.159214285714286
PRKACG	0.18725
ADCY6	-0.0408333333333333
C16orf46	0.012
CYP51A1	-0.823125
DDC	-2.12275
ANPEP	-0.451666666666667
PROM1	3.84633333333333
SIGLEC10	2.54475
COPG	1.154
FAM26E	1.156875
TRIP4	-0.27975
SNX3	-0.0805
C1orf175	0.493
PPY2	0.4095
C14orf152	0.21125
FTSJ1	0.266666666666667
DST	-0.5248
LOC554235	0.132
GLRX5	-0.675
C20orf12	1.0114
CAB39	0.3045
MSH2	0.4315
PIP4K2C	0.68475
CYLD	1.061125
WTAP	0.7224375
MGAT4A	1.16266666666667
TSC22D4	0.8251
CHRM2	-1.7545
PPYR1	0.561333333333333
CCNH	-0.8985
RRM1	0.29075
ECAT8	3.05875
LOC400120	0.16075
GABRA4	0.097875
C14orf4	0.076
C1orf59	0.87725
CTDSPL	-0.0531666666666667
NHEDC2	-0.731
PDE11A	-1.7415625
KLHL29	0.1705
CD5	0.8933
TSPAN9	0.9371875
WDR67	-0.19025
THUMPD1	-0.6055
C18orf17	0.40875
CLYBL	0.707833333333333
FLJ13231	-0.662125
CMBL	-2.043375
LECT2	-1.105
NKAPL	2.39033333333333
LOC654780	0.872
OR4C6	-0.0295
RAB30	-0.130666666666667
TSSK4	-0.119
TMEM163	2.16
OSBPL11	0.0423333333333334
GNB5	-0.744166666666667
CCL21	0.3305
C1orf121	0.118
FMO2	3.30516666666667
RPTN	1.28
MSTN	1.3215
VCL	-0.245071428571429
FYTTD1	0.1785
C11orf1	0.04825
CCDC88C	0.19625
HFE	-0.205333333333333
MOGAT1	1.3505
FAM125B	0.513
IRGQ	0.3465
RAVER2	0.77725
AKAP5	-1.1715
SSSCA1	0.0645
C11orf63	1.529
ACTG2	0.7645
PORCN	-0.6105
DTL	-1.52081818181818
TMEM151	-0.137
FAM122C	0.09725
RSAD2	4.6309
BAT4	-1.359
KRTDAP	0.3
MYH8	-0.132
CRTC3	0.48225
LRRFIP2	0.4069
INTS4	0.0168333333333333
TTN	-1.15766666666667
SLC26A5	0.519
PLLP	-1.191
RGS6	0.092
SRGAP3	-0.070125
ZNF525	-0.1685
NBR2	-0.156166666666667
C13orf1	0.2412
ZNF137	-0.549
CEP27	-1.634
BEST2	0.5685
RNF121	0.511
DMRTC2	0.592333333333333
C8orf76	0.572
BCCIP	0.014875
MEST	0.39225
HTRA2	-0.311
ANGPTL2	-0.06725
ILKAP	0.640333333333333
ERAS	-0.308
HBS1L	-1.36925
CPA5	0.495
TMEM30A	0.141333333333333
CD300LF	3.16266666666667
WISP3	0.1975
CRK	-0.0151428571428571
PDS5A	-0.3427
BRPF3	-0.142833333333333
NEDD9	-0.61125
SMPDL3B	2.39025
PSG6	-0.2645
PSMD13	1.1675
ETV5	-1.4383125
OR51A4	-1.2905
BTBD7	-0.805416666666667
GSTO1	-0.39875
hCG_16001	0.204
MAD2L1BP	0.262666666666667
COX6A2	-0.2455
SCNN1A	-0.487833333333333
LSM1	0.711666666666667
UGT2B11	-4.36025
IDUA	0.993
PPP2R3C	-0.985166666666667
COX11	-1.361
PDZK1	-2.63975
ZNF443	0.530333333333333
MGC21874	0.2945
ZNF323	0.7234
KRTAP10-10	0.334
CXCL6	2.65125
SLC34A2	3.1649
LOC284402	0.1965
NPTN	-0.231666666666667
UPP1	-1.33758333333333
SLC6A9	0.5755
OR7G3	0.287
CISD1	-1.1375
ZNF545	0.550833333333333
SYT14	-0.894
NT5C3L	0.234166666666667
ZNHIT3	-0.651
SNRPD3	-0.43325
KIAA0701	-0.131
UNC93B1	1.04533333333333
GMNN	-1.927
SPCS2	0.397333333333333
LOC388524	-0.7215
NAPRT1	0.201
PNLIPRP1	-0.2705
OR6V1	2.027
PRKAB1	-1.04625
EYA4	-2.94816666666667
KIF20A	-0.91325
ALG10	-0.424
ITPKC	0.990833333333333
LMX1B	0.0381666666666667
RPUSD4	-0.094
C7orf34	0.289333333333333
DLGAP2	0.0715
PFN1	0.5266
MICALL2	-0.8095
ZNF654	-1.001
SS18L1	0.047125
SLC16A8	2.31225
MKI67IP	0.528833333333333
ITGB3	-1.6675
TCEA3	1.16966666666667
CEP152	-2.06725
CLIP1	0.127875
ZNF75	0.239375
ATP5C1	1.75633333333333
NUDT5	1.45283333333333
PSCDBP	2.4885
UBP1	0.08475
RBM27	-0.000499999999999994
C13orf15	2.449375
ZNF282	0.0991666666666667
ZNF222	0.0027
COL10A1	5.17575
PRDM15	-0.49825
TTTY5	0.033
FAM9C	-0.326636363636364
C20orf67	0.76175
GNG13	0.2385
F12	0.92825
C1orf41	0.584
CPXCR1	0.4565
GSK3A	1.0715
SUPT6H	-0.1195
PI16	-0.0718333333333333
ELL2	-0.615083333333333
C9orf167	-2.16183333333333
PVRL3	-3.1783
FLJ38596	-0.60225
ADAM20	-0.17525
GPR89A	1.094
GPR87	0.3665
ZNF30	0.3395
SMR3B	0.224
ZNF770	-0.032125
TRPC4AP	-0.120666666666667
DKFZP686E2158	0.0223333333333333
C2orf28	0.199833333333333
FREM1	-1.931
LAMA4	0.0358333333333333
ADPRHL2	0.44975
EIF4G2	0.3025
GUCA1A	-0.7085
CTNNA2	0.297
NUDT15	0.0335
CEPT1	0.2865
ZNFX1	0.674
CCDC92	0.8565
TDRD1	2.3425
KCNK5	2.59983333333333
ETNK1	0.455833333333333
LTA	1.124
TTPA	-0.2646
B3GALNT2	-0.149
SC65	-1.013
PEX5L	-2.020375
EPS15L1	1.00175
MGEA5	-1.233375
HIST1H3A	0.65775
ING1	0.615375
BCAT1	-0.507875
ORC6L	-1.499
KLK11	-4.11566666666667
C19orf28	-0.864875
DNER	-4.662
MED22	-0.555928571428572
ETV6	2.045
CHAC2	-0.337
CD300E	0.00650000000000001
CEBPB	1.92358333333333
ZNF398	-0.3405
LRCH3	0.463
HMGA1	-1.22033333333333
CAPN7	-0.321166666666667
MGC5566	-2.45175
CCL3	2.96028571428571
NANOS1	0.362625
ZFYVE19	-0.557
APITD1	0.1565
PARD3	1.158
IRAK4	-0.453
SERPINI2	-0.8655
CEP170L	0.252
TTC9	1.640875
MYOM3	-1.185
MLPH	-1.34675
LOC222699	-0.108
NRG1	2.1745
TBC1D9	-0.711545454545455
TTK	-0.762666666666667
ZNF557	0.1286
DDX41	-0.215666666666667
FANK1	1.4895
UBE2D2	-0.25025
PSMB10	1.146125
MYH7B	-0.185
GABARAPL2	-0.683375
MARVELD2	0.258833333333333
DGCR2	0.148333333333333
UNC45A	-0.444333333333333
C6orf72	0.2365
ZNF683	4.466
GIT2	0.05375
CASK	1.60583333333333
C14orf161	3.14116666666667
LRRC44	-1.139
TIFA	0.883375
UTP11L	-0.268875
C6orf65	0.09825
FDPS	0.569
DUSP9	-1.6429
SLC17A8	0.110666666666667
OR51G1	0.301166666666667
NANS	-0.34675
OLFML1	1.14775
ATP10B	-0.199142857142857
NPAS3	-1.13075
PRKCA	-2.536
GGA2	-0.6091875
LCE4A	0.6795
SPANXN3	-0.55375
CCDC115	1.495625
SDCCAG3	-1.2115
GLIPR1L1	-0.038
TTC1	-0.18225
C17orf76	-0.75525
MAD2L2	-0.44425
HIPK1	-0.2592
LRRC3B	0.2625
CLN3	-0.466090909090909
C17orf47	0.6285
FMN2	-3.114625
TUBB1	-1.299375
WAPAL	0.308333333333333
C3orf21	-0.91675
SCN5A	-0.0387
SMYD1	1.049
BEX5	2.4795
ZNF192	-0.006
SEC22A	-0.700666666666667
GRIA2	0.153692307692308
KIAA0825	-2.3245
NUSAP1	-1.24218181818182
LANCL1	0.311
C15orf40	-0.8464
ZNF645	0.3
GPR61	0.281
NLRP14	0.405
SNX21	-0.3166
C1QTNF8	0.076
C17orf46	0.5395
IFNA8	0.601
SPRR1B	-1.0335
FLRT1	-0.000250000000000001
SNX17	0.3185
ASB2	0.919833333333333
HBG1	-5.2585
RPRML	-2.11025
JOSD2	0.365666666666667
PLSCR3	0.71175
SPOCD1	-1.08466666666667
RAB39	-0.0245
GHRH	-0.76
ITIH5L	0.32875
C17orf37	0.04075
SMCR8	0.48625
DPY19L2P3	-1.32916666666667
IL11RA	0.437166666666667
GDF3	-3.76416666666667
RPS6KB1	-1.9035
DNAJC19	-0.1073
TOP1	0.08975
CRCT1	-0.74775
MPST	-0.7365
DPM2	0.080625
FAM38B	-2.33433333333333
SLC18A1	-1.83783333333333
FARP1	0.772666666666667
PAX7	0.2545
TUBD1	-1.5285
GNL3	-0.274875
BTG2	0.883266666666667
NDUFS6	-0.9325
C1orf79	0.16525
ERAL1	-0.1435
ECHS1	-0.008
VPS4A	-0.360833333333333
CYP11A1	-0.982625
ABCC6	-2.30207142857143
PBX4	-1.4905
MOSC1	-1.953125
NCF4	2.1875
HYMAI	0.042
NAGPA	-0.63425
OTOP2	0.61875
ACOT12	-0.302
MTHFD2L	-0.21725
LOC441376	2.486
C19orf34	0.1965
RAB1B	0.13375
ALDOAP2	-1.6045
NTRK1	-1.36616666666667
ARTS-1	0.5878
SLC6A11	-0.1615
NAP1L2	-2.8965
CNGB1	0.3915
EPB41L4B	-0.506083333333333
FAM134B	-0.4915
HS3ST3A1	-1.33733333333333
CPXM2	3.70525
SIRPB2	-0.1565
CHORDC1	-0.0398333333333333
TRIB3	-1.59666666666667
SLC2A5	1.23825
C2orf49	0.0568333333333333
DDX5	-0.84175
OR5L1	1.418
ANAPC4	-0.403333333333333
ZSWIM1	0.202
LOC93622	-0.72175
KCNK3	0.3094
RP11-35N6.1	-1.352875
ZFP161	0.617333333333333
AQP9	3.876
SLC15A2	-0.461333333333333
MREG	-0.848166666666667
OR9I1	-0.0365
PDLIM2	0.0975000000000001
ADAM7	0.574
GSTCD	-1.75783333333333
WDR21A	0.437875
SLC12A8	1.71083333333333
TMEM174	0.049
IGSF3	0.99025
LRRN1	1.6155
LOC402117	0.5
SRPK1	-0.403333333333333
LY6K	1.4131875
NFIA	0.6135
PTCD3	-0.180875
LEP	0.769166666666667
PCDH21	-0.0188333333333333
MAPKAPK2	0.851285714285714
NMNAT1	-0.544833333333333
LHFPL2	0.777
C9orf43	0.33025
DIP2A	-0.337833333333333
ACTR8	0.044875
CCDC34	0.248
PTPN22	0.77725
ITGA3	-1.727125
FAM129C	1.31675
RABGGTA	0.835833333333333
UNC45B	0.5645
KIAA1033	-0.314875
ZNF510	-0.408666666666667
CYP2D6	-0.337666666666667
SLC26A10	-0.931
STX8	0.08275
LUZP1	0.397125
WDR89	-0.364166666666667
EIF4G3	-0.6192
C5AR1	1.310375
ZNF623	1.2795
A2M	0.59125
TGM7	0.1525
GRPEL1	-0.4055
LMNB2	-0.7421
ROCK2	0.1
SNX16	1.245125
CCDC66	-0.51275
ANXA3	1.31225
KIAA1609	0.558375
EED	-0.13425
RNF32	1.02533333333333
HES1	0.3677
CLC	1.33283333333333
ISL1	-1.32166666666667
KIAA0528	-0.558
MANEA	0.81875
C1orf61	0.6045
hCG_2001000	-0.143
RAPGEF6	-0.6987
KIAA0020	1.35966666666667
NEIL1	-0.726
C16orf45	-2.456
RBM10	-0.173333333333333
C10orf125	-0.159375
MRS2L	-0.4825
DNAH17	-0.919
C19orf10	0.4995
C1orf160	0.52975
SLFN12	0.405
EXOC3	-0.880666666666667
HIST3H3	0.43925
NCOR2	-0.371833333333333
TNFRSF9	2.39225
MFSD8	-0.015
ALX1	-1.353
NOL1	0.18075
PODN	1.967
TIAL1	-0.95025
HIST1H1E	-1.25025
NPY6R	0.23
TM4SF4	0.20775
CORO2A	-1.78575
ETNK2	-0.722833333333333
APOE	1.3534
ANGPT4	0.1295
HDGF2	0.34375
G30	-0.1155
ST8SIA4	0.61525
F2RL1	-1.40875
FAM19A4	-2.57575
CCAR1	-0.4685
B3GNT7	0.671
OPHN1	-0.3141
DSCR6	-0.2065
C21orf13	-0.817
GAS2L1	0.219416666666667
RFX3	0.716166666666667
COPS4	-0.326375
BCHE	-5.8465
BCL2	0.431
HBZ	-3.48416666666667
ARL13B	0.217625
MAPBPIP	1.113
MYO15B	-0.21125
SPZ1	-0.88525
KIAA1324	-1.60244444444444
PLCL2	0.416625
C4orf29	-1.03825
WDFY2	-0.3265
ZNF284	-0.4555
NAALADL1	0.661
DUSP5	-0.390833333333333
PXDN	0.781875
SLMO1	1.3605
TNXB	0.5256
BIRC7	-0.2965
A4GALT	0.282333333333333
TIMM22	0.5835
FAM110C	0.402
TOMM34	0.453375
ABHD9	0.763
ADAM32	3.2435
CRHBP	0.06325
AQP2	0.466
LOC130355	0.02175
ZNF187	-0.413166666666667
ZNF816A	-0.1125
F7	-1.01725
CNOT1	-0.4396
SLC13A4	-0.38725
ZBTB11	-0.225
B3GALT5	0.44325
EXOC2	0.130666666666667
IRS1	-1.9
TMEM1	-0.1935
MRPL34	-0.571333333333333
SAMM50	-0.30125
CDC42EP3	-0.10825
HSF2	0.1115
MFN2	0.17
TSPAN7	-2.96433333333333
NUCB1	0.48225
RHOH	-0.613
ARL16	0.3625
TACR1	-0.0325
SFRS5	-0.881
SNX25	-0.627125
RHBDF1	0.510333333333333
PCDH18	1.4255
HMG1L1	0.2565
MYO5C	-1.349375
MAPK10	0.274
LDHAL6A	-0.409
NUDT12	-0.668666666666667
NCAM1	-0.07025
GLIS2	0.2585
GGTL4	0.47075
DAPP1	1.81725
ATF7	-0.037375
KIAA0748	-0.0945
NFIL3	0.37575
TM6SF1	0.1077
SEZ6	0.112375
NANOS3	0.889
DNAJA3	0.595166666666667
CLDN6	-2.401
CIITA	3.2331
EPHA4	0.118083333333333
FANCC	0.12725
CMTM3	0.275875
PSG3	-0.0962857142857143
MRPL15	0.861
C21orf59	-0.01775
PLCXD2	-0.129
C2orf34	1.087125
UBE2L6	2.1535
MED14	-0.0898333333333333
HP1BP3	-0.5525
C6orf208	-0.0265
TPBG	-0.896
OSR2	-1.245125
XPC	-0.8535
KLHL7	-0.644083333333333
CCR3	-0.189
AGTPBP1	-0.2795
PCSK6	-1.74626666666667
STAT5A	-0.00879999999999993
FAM18B	0.20125
LONRF2	-2.13866666666667
PTPN2	0.9485
SF3A3	-0.141666666666667
EFCBP2	-0.518
HCFC1	-0.364
AHNAK	-1.09025
ACTR5	0.12175
KIF14	-0.998714285714286
TENC1	-0.335
HEATR5B	0.4055
YIPF2	1.63666666666667
MYEOV2	0.266166666666667
DUSP18	0.5025
KIAA1012	0.225
AHR	0.655333333333333
C17orf53	-0.800833333333333
PTPRH	-3.799
ATP6V1C1	-0.3239
TAS2R3	0.151
LOC440356	-1.34025
COQ10B	0.63275
PSMF1	0.498833333333333
SORBS2	0.926083333333333
NFE2L2	0.212
TMCO7	-0.475
SH3PXD2A	-0.3175
SH2D2A	0.92775
SPINK5	-1.86225
MRPS24	-0.671
OPA3	0.170625
TRAF7	0.519166666666667
C4orf35	-0.1274
MT1G	0.78475
MGC39545	0.258333333333333
HS1BP3	0.1624
OR2B2	0.134
CHRM4	0.0935
SFRP2	3.01433333333333
RIC3	1.62325
ART1	0.329
C6orf1	-0.249875
DUS4L	-0.484
C10orf104	-0.51425
TNFAIP6	3.2875
RTEL1	-0.52
CCT4	-0.3771
ZNF709	0.08375
CHMP6	-0.2585
UPP2	0.2545
CYP19A1	-2.492125
CD151	0.774166666666667
NDUFA13	0.703833333333333
ARFRP1	0.435333333333333
FAM26B	1.2275
CRYBA1	-3.7785
MRPL41	-0.930333333333333
NPFFR2	-2.130875
HRH2	0.2
SCAMP3	0.949166666666667
MTMR6	1.3064
MTG1	-1.10033333333333
UBTD1	1.62025
CRABP1	3.037
FLJ33790	0.2781
KIAA1908	-0.907
GPR158	-1.74275
PACSIN3	0.822333333333333
OMD	2.28483333333333
CATSPER1	-0.094
HOXB8	-2.15025
FBXO46	1.4525
OAS1	2.78883333333333
