Hybridization REF	TCGA-BH-A0DD-01A-31R-A12P-07
IGSF9	2.145
WNT6	-1.932
MYCBPAP	3.02875
ATP2B2	-0.0997
CPVL	-1.3116
TRAM2	-0.862
NOP5/NOP58	0.1455
ZNRF4	0.214
TLK1	0.085375
MTMR12	-0.0677142857142857
ZNF384	-0.187333333333333
FAM9B	-3.37125
RPN1	-0.6132
PMVK	0.46075
EIF3D	-0.149
SIX2	1.532
HPS1	0.109
RNF7	-0.21675
PSKH2	0.4865
KCTD13	-0.906666666666667
CSMD3	-0.0613
FBF1	-0.538
IL8	-3.696375
SERPINB13	0.603833333333333
FBXL20	2.55925
BLR1	0.1665
SH2B1	-1.54416666666667
RFNG	-1.37725
RAB20	-0.914333333333333
RBM7	-0.49225
POLR1A	-0.875666666666667
TMPRSS4	0.514
TAF9	0.619
TERF2	0.709
TNFRSF1A	-0.551916666666667
ACADVL	-2.13083333333333
GTF2H5	1.34875
EDG8	-1.27083333333333
C9orf140	-0.8965
UST6	0.335
ZBTB8OS	-0.41675
ZNF710	-0.0685
GPR174	-1.5485
ATP6V0A2	-0.1345
KIAA0319L	-0.0772499999999999
XKRX	0.6605
DOPEY2	0.8215
SDHD	-0.511333333333333
SUMF1	1.05675
OSM	3.408
OPN3	-1.365
DAGLB	-1.1625
PPFIBP1	0.0301
TRIM63	-4.49
C10orf53	0.313
LYPD3	-0.206833333333333
BCL7A	-0.12225
AGER	-1.21566666666667
TCF19	-0.330625
SAT2	-0.99725
PFTK1	0.483833333333333
GABRE	-0.272375
C15orf38	0.761
FIS1	0.354
KCNV2	0.67325
CLPS	0.445
PPCDC	-0.701375
FOXN2	-0.721
NT5E	-1.8258
CD83	0.34825
IL18	0.74
VPS16	0.111
IGFBP2	-1.74466666666667
NOTCH2	1.13325
SIGLEC1	2.8885
CD93	4.6135
SULF2	0.81675
CEP164	-0.50875
P53AIP1	0.841333333333333
TOR2A	0.00800000000000001
ZNF136	0.95975
MGP	4.176
CCDC144A	-1.2126
TRPC1	-1.60283333333333
SMS	0.328666666666667
MAPK7	0.388166666666667
RRAGC	0.994
PARD6A	0.999833333333333
NUB1	1.018
SYNGR4	1.0615
OR11H12	-0.1
WIF1	0.81325
GCH1	1.2175
OR11H4	0.318
SLC44A5	0.9765
GPRIN2	-0.263333333333333
LOC401431	0.41825
CPA4	-3.0071
MELK	0.018
IL15RA	0.2585
CUL3	2.232125
HMBOX1	0.30425
PODXL	-2.0055
CCT6B	-0.0733333333333333
COMTD1	-1.19925
MUC20	-1.23
GPX2	-3.971125
ITK	-0.483875
FBXL5	1.4355
C13orf27	-1.19875
DEFA5	0.489
TRHDE	-0.0035
MTP18	-1.2285
UQCRQ	0.0566
ITGB2	0.477333333333333
CSRP2BP	0.818
TAS2R44	0.3785
PHPT1	-0.412375
FAM44C	0.43075
ERH	-0.0225
MPHOSPH1	0.41
MORC1	-0.946
PARVB	-0.83175
LAMA1	-2.32858333333333
PGBD3	0.5185
GIMAP6	4.001
AREG	-0.255666666666667
LIPT1	0.88
MGC99813	-1.118
C1orf201	-0.0213333333333333
GRIN2A	-0.8583
MAN2C1	-2.186125
NSUN5	-1.831
SF3B5	-0.184
MYC	-1.0959375
NRXN1	0.62775
ZNF18	-0.56125
SPDYA	0.69125
SLC37A1	0.7435
DECR2	-0.1835
ANKRD38	0.9085
SPTLC3	-1.09641666666667
SUPT16H	-0.5705
DTWD2	1.80275
ULBP1	-1.127
ZADH1	1.6045
OIP5	-0.812
IL10RB	-0.640666666666667
OTUB2	-0.19925
VWA3A	0.3425
SPIC	1.4285
OR6C4	0.375
PSCD4	0.851666666666667
DPY19L2P2	-1.0735
TRAPPC6A	-0.177166666666667
C21orf2	-1.10666666666667
CEMP1	-0.885
LIN7B	-0.119
E2F7	-0.554666666666667
VCP	-0.7895
LAMA3	0.352583333333333
BGN	0.0285
GPR160	2.03266666666667
COCH	-1.05916666666667
GPR81	1.419
APOBEC3F	-1.8355
tcag7.1017	-0.5125
C1orf32	0.4285
SCGB1D2	6.284
FLJ43987	-0.188
C6orf170	0.525
KLK9	0.351
GPD1L	0.12125
VPS37B	-1.0965
ATG3	0.159333333333333
ADAMTS17	0.146
KLHDC2	0.1965
NDUFV2	0.12675
BLK	-3.6945
MATN4	-0.6685
GPM6A	1.215
GBP4	3.9175
TMEM162	0.366333333333333
PKP2	0.362
HRASLS	-3.14722222222222
MMP1	-2.798
SFXN3	-0.8259
FSD1	-2.1535
ST6GALNAC3	-1.91916666666667
CA12	3.6249
NCOA6	1.2715
C19orf58	-0.3707
PPP4R1	0.817666666666667
MAN1A2	0.458166666666667
IKBKAP	-0.60575
UPF1	-0.574
KIAA1219	1.4475
WNT16	0.5605
SNW1	0.162375
IL18RAP	3.45775
RPP30	0.065
CDC40	0.665071428571429
SETD3	0.542166666666667
SLAMF6	0.38775
ELK4	-0.4295
TRIM47	-1.19583333333333
ACOX3	0.575
TRIM6	1.66575
KIAA0372	-0.155166666666667
TP53AP1	2.064625
SMURF2	-0.02775
ADAD1	0.42025
EBP	-0.5315
KRTAP13-2	0.2465
FLJ36874	0.0085
TOR1A	-0.0778333333333333
P2RY4	-0.2945
GPBP1	0.589
TRPV1	0.57925
ADAMTS12	0.477666666666667
PES1	-1.664
ATG4A	1.19733333333333
MAGEA10	-4.53675
WFS1	0.8745
CC2D1B	-0.406333333333333
PABPN1	-0.39775
SLC25A30	-0.83725
SLCO1C1	0.2615
SLC22A5	1.09775
KIF23	0.117
SYN2	-0.913
ASPN	7.3445
CENTG2	0.50175
QSOX2	-1.9248
FLJ10815	-0.125666666666667
STK24	-0.7235625
SPEG	-0.5641
STK10	-1.0585
DACT2	-3.668
AAAS	-0.85675
SSX3	-1.32025
ABCD3	0.3752
C4orf12	1.377
PARVG	0.236333333333333
FIG4	1.27425
C9orf46	2.0055
TMCO6	-0.402
IGHMBP2	-1.57675
DUS2L	-0.953
FAM3C	0.674125
TMEM16D	-2.143
DCTN4	0.19575
KCNH3	-0.337
EIF2AK2	0.7975
AP1S3	-0.494625
CST4	1.043
PAM	0.058875
NUTF2	-1.41275
CITED2	0.8025
SLC39A4	-0.59525
C2orf52	-0.6895
GRM3	0.7475
C12orf49	0.300375
CCDC49	1.8854
GRAMD1B	-1.50025
FNDC4	-1.13475
SIAH2	1.505
GDPD4	0.177
C21orf87	1.205125
ATP5A1	0.132833333333333
C16orf63	0.13025
LOC388135	0.965166666666667
ATP5J2	-0.661625
MMP3	0.27125
EMID2	-0.3105
CRHR1	0.3525
WDR70	-0.40825
C13orf31	1.08875
ZFAND1	0.0885
CCL18	5.08116666666667
C3orf49	-0.6005
RINT1	-0.4065
KIAA0408	-1.188
F13A1	5.5272
SLC10A1	0.131333333333333
OGN	2.29025
GIPC2	-3.114
XPO6	-1.26316666666667
LCE1A	-0.188
FMR1	0.8029
LOC374920	0.7765
DUSP3	-0.15675
ANKMY1	-0.749
C7orf50	-1.17525
BBS9	0.1134
UNC119B	-0.303125
C9orf72	0.790875
MGC35440	-0.1195
ENTPD6	-0.746125
PPP1R2P9	0.53375
ERCC4	-0.50125
FAHD2B	-1.524
HMHA1	-0.973
HACL1	-0.642
RAD23A	-0.823166666666667
FAM83B	0.32
PPP5C	-2.03016666666667
RNASEH2C	-1.13275
C9orf153	-0.10875
SCAMP4	0.295
GHITM	0.3685
NDUFB7	-0.061875
ADCYAP1	-0.357166666666667
SP110	2.4505
MAP3K7IP2	1.41
DHH	0.5375
AGRN	-1.01085714285714
WDR33	0.182166666666667
CEP290	0.7215
PRPS1L1	-1.46966666666667
KLRA1	-0.81
GPR97	0.0235
CHD7	-0.022
TLR10	1.138
SLC30A8	-0.558
HIC1	0.339833333333333
IAPP	-0.1155
RXFP4	0.2615
GP1BB	-0.8535
SHQ1	0.8555
NKX2-3	0.666833333333333
API5	0.41025
FTHP1	1.1515
MOV10L1	0.1895
TRIM6-TRIM34	2.45366666666667
ADHFE1	0.6075
FAM117A	-0.93
DDI1	-0.1662
CDON	0.46
TRIM73	0.148
IGKC	4.5735
MMP14	-1.14058333333333
DYNC1LI1	0.128625
C11orf66	-0.5755
TRBV3-1	-1.77075
FASTKD5	0.6305
BIVM	-2.51225
LHX4	-0.21375
CXCL2	-1.5934
RAB2B	0.108333333333333
IZUMO1	-0.902
MAP3K15	-1.9115
FAM19A2	1.586
ZC3H8	0.660166666666667
ZMAT1	2.133
SPINK5L3	-2.43425
SLC10A6	0.5035
APPL2	1.081875
CARD10	-1.02466666666667
LOC402176	0.021625
EEF1D	1.5469
RAB6A	1.091
C12orf5	0.124875
PAPOLG	0.81775
MSRB2	0.7685
BCR	-0.3195
PUS3	-0.131
TIAM2	-0.09025
ZNF317	0.342333333333333
CHD2	-0.3795
FZD5	-2.73813636363636
NUDT8	-1.07325
ZNF763	0.8295
PRC1	-0.434444444444444
ABCB9	-0.5945
SPATA3	0.938
TRAK2	0.816125
STAB1	2.065
LRRTM2	-0.280333333333333
psiTPTE22	-1.55425
DBI	0.79025
SERPINA11	-2.4995
NAT5	0.88475
C20orf58	-2.249
RPS6KA4	-1.7995
FLJ90650	-0.787
TGFBRAP1	-0.57725
CHRDL2	1.240125
FAHD2A	-1.6205
CNTN1	0.07425
BBS4	0.2476
TMEM181	0.27425
MINPP1	0.8055
MPHOSPH6	0.166666666666667
HOXC10	1.9203
ITPKB	-0.232125
CLPTM1L	-0.39625
MEOX2	-1.12633333333333
ATP6V0C	-0.796625
PRPF8	-1.56783333333333
TMC5	1.90375
FKBP3	0.0985
PLEKHB2	-0.779
OR4D6	0.554
ZNF544	-0.2211
D2HGDH	-0.766625
RPL18A	-0.1369
HEL308	0.69075
MPP6	-4.0735
TCERG1	-1.047
KRT16	-2.51683333333333
KLF17	-1.41925
KLF5	-1.53475
CDR1	2.94725
VCX3A	-3.959
FBLN2	0.781
C14orf104	0.34025
HBE1	-5.2867
OR4S2	0.6435
C1orf108	-0.884166666666667
ROBO4	2.23416666666667
CPEB4	0.435375
C11orf80	0.667833333333333
BCKDHA	-0.341833333333333
MYOC	0.06075
GIF	0.249
CKMT1A	2.01
RPL3	0.2615
THBS1	2.84425
APOO	0.198
ARMCX1	1.6655
HSZFP36	1.30275
SNAPC5	-0.0105
EIF4ENIF1	0.777
ZNF433	1.00675
TNFRSF21	-0.43425
TMPRSS7	-0.372
SPATA18	1.1755
HPDL	-0.2155
MKL2	1.621
TBX3	2.20153846153846
C21orf93	0.453666666666667
DAXX	-0.63575
ELMO1	-0.157125
RGS13	0.962
TAF11	-0.31275
UNC13A	-2.68625
LOC653314	2.2907
ORC3L	0.36275
IMAA	-3.511
TARBP2	-1.50975
CABIN1	-0.6531
TRIOBP	-0.00412500000000001
HIST1H2AC	-1.183875
RGS22	2.51166666666667
NCOA1	0.8075
IL25	1.076
SNCG	0.5545
GPR6	0.997
AMDHD1	1.6955
CHEK2	-0.30625
C6orf142	-1.5315
DRD4	-1.4145
C14orf68	-1.4085
GDF11	-2.55
SEMG2	0.543
CD247	-1.13225
CDAN1	-0.36275
RBMX2	0.723666666666667
TGS1	-0.35925
OIT3	0.147
SYF2	-0.07525
MCM4	-1.95175
PKHD1L1	0.147625
CEP192	0.311666666666667
IFT88	1.425
RPL9	0.476071428571429
RAB32	0.59225
DDX43	-1.44775
P2RX2	0.264333333333333
OR5D18	0.6165
UBE1	-0.574666666666667
SLC24A1	1.020875
ARHGAP5	0.21725
CETP	-1.6605
KIAA1731	-0.544333333333333
SLC9A4	0.428
PTPN6	0.01525
BAHD1	-0.21575
GRIK3	0.9285
CACNB2	-0.6925
PDE10A	-1.13025
DGCR14	-0.947
PCDHB9	-0.0565
RHOQ	0.167333333333333
MAP3K4	0.1665
KTI12	-0.0985
RPL23AP13	-3.53325
GNG11	-1.60475
CLCN3	0.0238333333333333
GPAM	-0.393
VSTM2A	6.1855
SLAMF7	2.386
INTS2	0.413
PPP2CA	0.3173
LRP12	-0.525733333333333
SEC14L2	2.85288888888889
DKFZP586H2123	0.53125
MC3R	0.3455
CIRH1A	-1.4355
HIST1H2AB	0.753
POLH	-0.990375
MGC16703	-1.3505
SNAPC2	0.368
FILIP1L	1.312
RASGRP4	0.8005
LRRC1	2.69675
GAS1	1.22225
PRAC	-0.85925
DGKA	-1.12916666666667
NT5C3	0.436
PEG3	-4.3255
NADK	-1.487
PRR17	-0.981
LOC374569	-0.64
SGSH	-1.58416666666667
NLRP8	-0.0135
GALT	-0.8797
MCF2	-1.085
ZNF263	-0.14925
TACSTD1	2.01016666666667
TYR	-6.5407
ATP6AP2	1.2365
RNUXA	0.27375
ABHD10	-0.5662
GDPD2	0.1455
SLC35C1	-1.4255
UBE2A	1.262625
HERC5	1.67316666666667
FAM112B	-4.15483333333333
FBXL16	-0.50675
DKFZP434A0131	-0.393
ELA3A	-2.061
RBM41	-0.164875
HAO2	-0.6045
RNH1	-1.399375
SHANK2	1.95766666666667
OSBP2	-1.449125
DAK	-1.48816666666667
C3orf58	-1.53775
TCL1B	-1.6765
KBTBD2	0.635375
SUGT1L1	0.18475
UBE2E2	-1.068
MYL9	1.4015
CDC23	-0.0798333333333333
PBXIP1	0.4758
CXorf40B	0.7125
NBL1	-0.48325
RTBDN	0.11
RAB11FIP5	-0.455
TTTY13	0.322
SCOTIN	-0.261666666666667
SOHLH1	-1.6635
CDKN1A	-0.932714285714286
NCK1	0.66625
ZNF550	1.485
SAPS3	1.15258333333333
SPIN3	0.688
MAGEE2	-0.28
MIS12	-0.423166666666667
OR8H2	0.5645
KIAA0774	-3.465
UNC5D	-1.2025
CUL7	-0.872333333333333
LIPC	-2.30533333333333
DIO1	2.09775
C20orf11	0.0971
CTRL	-0.75425
HS3ST2	2.25525
PAK4	0.240666666666667
CCRL1	4.305
RNF10	-0.517375
ZNF567	1.77475
ZNF660	-0.683
TCEAL3	1.93925
MAGOH	0.433166666666667
CENPB	-0.757666666666667
C19orf7	0.94225
LOC388965	0.78275
ZCCHC13	0.479
JMJD1A	-0.3151
HIST1H4H	0.1865
TBRG1	-0.6852
GPC3	-2.50475
TAF1C	-0.879
EBNA1BP2	-0.361833333333333
CIAPIN1	-0.40075
PDGFRA	-0.3425
CSTB	-0.486375
CENPI	-0.165166666666667
GTF2E2	-0.305
RPP21	-0.4895
CCNF	-1.62433333333333
KCNQ3	0.1965
FAM79A	-0.1095
SLC22A12	0.299
NOVA1	0.969333333333333
FZD3	1.3787
AKAP8	-0.20775
SOCS5	0.066375
CFDP1	0.2035
DLG5	0.523
PGM5	0.289
C1orf144	-0.697666666666667
HDAC10	-1.7745
RND2	-0.239
C20orf199	-0.0795
RNMT	0.167125
SLURP1	0.150875
ASTN1	0.28025
SH3BGR	1.15375
MYCL1	0.743875
ZHX1	0.4375
CENPK	-0.344
FOSB	-0.1355
LOC643406	2.172875
C2orf59	-0.761375
TMEM135	-0.298625
SLC27A2	1.3545
KRT33A	1.374
OVOL1	1.304875
PAMCI	-2.35766666666667
S100A7	-2.0615
ZNF789	-1.021
HARS2	-0.3275
RPL23A	0.1435
TCF23	1.465
UPF3B	-0.64025
C17orf78	0.358
HLA-DOB	0.89
C14orf142	1.44283333333333
TEKT5	1.02466666666667
DMWD	0.244
POLD1	-1.9845
GSCL	0.076
CALD1	-0.6321
SCRT1	-0.876666666666667
AIG1	2.25825
UNC84B	-2.69625
ZNF404	1.0955
TMED6	-3.30675
KIAA1462	-0.246
LRRC27	2.22516666666667
PYGO1	-1.741
PIGU	-0.5105
ALAS2	-4.25766666666667
WRNIP1	0.28475
CNNM3	-0.931
ZNF2	0.32825
ST3GAL5	-0.835833333333333
MRPL23	-0.31675
TSSK6	-0.1435
PSMA6	-0.113
C16orf70	-0.0255
KIAA1602	-1.2695
ALMS1	0.728333333333333
DCN	2.7785
TMEM132D	-0.937
SUCLG2	0.787
ABHD14A	-0.35775
DEXI	-0.4805
AMPD2	-2.217
IFNAR2	-0.988333333333333
CYB5A	2.9314
TLOC1	0.71765
NXF5	-0.536
NRBF2	0.10825
KCTD3	2.65475
ITGAE	-0.134
SLC30A3	-2.13416666666667
ZRF1	-0.159
IFRD2	-1.082375
XAB1	0.22525
PYCR2	-0.994333333333333
SERPINB3	-3.758
TMLHE	-0.3249
GEFT	-2.0185
ABCA5	-1.87525
EMR4	0.0363333333333334
TSFM	-0.2245
HIST3H2BB	-1.30875
ARHGEF19	-0.74075
TSPAN17	-0.386666666666667
ABCC8	3.88475
MAP1S	-0.8595
C22orf36	-0.92725
BNC2	-0.317428571428572
HIST1H4A	0.48125
NDUFS3	-0.938666666666667
WDR3	-0.3895
XKR4	-0.30075
TTC33	-0.120642857142857
STMN2	3.655
CPN2	-0.591333333333333
HSPC105	1.228
PCOLCE2	-5.725
C3orf55	0.279
KLHDC9	2.06683333333333
TBC1D23	0.251125
ATXN2L	-1.39358333333333
MAP2K3	0.365
SCAP	-0.96325
ZNF486	1.67966666666667
C20orf96	0.562
NARS	0.4765
ADAMTSL1	0.186428571428571
PRCC	-0.0748333333333333
CCDC126	1.52541666666667
ZNF675	0.7235
CALCOCO1	0.1445
ANKRD43	0.9775
CWF19L2	-0.153666666666667
ZBTB32	1.87266666666667
BRAF	0.762
ODF4	0.64025
MGC14376	-0.216333333333333
HORMAD1	1.93383333333333
AAK1	-0.4265
PEBP1	0.989083333333333
TNFSF5IP1	0.889333333333333
DKFZp564N2472	0.15725
RMND1	0.772625
IGKV1-5	3.6245
COL1A2	2.13716666666667
SERPINA5	0.384125
AANAT	0.7145
C19orf21	-0.862166666666667
GEMIN5	-0.3105
UBR4	-1.089
LTBP3	-1.35183333333333
AMHR2	-2.3885
PROCR	-1.278
MYBBP1A	-1.7345
C20orf39	-0.0668333333333333
ZNF697	-0.22825
PASK	0.284
ZNF776	0.478666666666667
RFXDC2	-0.14875
KIAA0467	-1.01425
C10orf96	-3.45766666666667
ZNF503	-0.82
GULP1	-1.16866666666667
KCNE4	0.809166666666667
DKFZp434K191	0.260375
LOC196913	0.442
BHLHB4	-1.392
CH25H	0.633
LOC81691	-0.490833333333333
ALPL	-0.477
COL12A1	2.4235
FOLR3	-2.88016666666667
GPR123	0.00787500000000001
TRIM62	-0.285714285714286
ABLIM1	0.973166666666667
MAST3	-1.16375
RHBDD1	0.959833333333333
LOC338809	0.6415
RYBP	-0.06675
TTC26	0.452625
ZNF22	0.0855
ISCA2	0.4555
RDM1	-0.4795
PIGM	0.80525
GNB3	-1.208
ACTR2	0.0698
HMGB1	0.2593
EDG1	2.2935
SOAT2	-3.99425
OR10AD1	0.2395
RAP1GDS1	2.326
LCE1F	0.529
ESM1	-1.695
RCN3	0.26675
CREBL1	-0.754
DBNL	-1.39533333333333
PTGER3	2.758
USP30	0.420333333333333
BCL2L12	-0.0406666666666666
KIF26B	2.455
ZNF416	0.9285
ZNF225	1.055
C17orf70	-1.40775
ZNF554	2.18875
RAE1	-0.7385
TNIK	1.95066666666667
ACTN3	-0.7895
MGC45922	0.2105
CCNA1	0.477333333333333
RYK	-0.152166666666667
IL26	1.1355
LRP3	-0.107
QARS	-0.85075
SOX7	0.4245
BID	-0.754
OR2S2	0.343
CXCL14	5.45225
C11orf47	-0.795
MGC29891	0.0298333333333333
HSPB8	3.7144
PRDM14	-2.0565
NUFIP2	1.35
MNAT1	0.217375
ZDHHC2	-1.50891666666667
MBNL2	-0.93825
ADD3	-0.119
CSNK2A1P	-0.99025
KLK6	-2.972
TMEM111	0.1946
KIAA1279	1.4375
NUBP2	-1.34166666666667
RAB42	-1.4305
ID3	-1.2849
TM9SF1	-0.0625
MDP-1	0.2095
POU4F2	0.759333333333333
IQCK	1.241
C16orf14	-1.40275
CAPN3	-1.9775
FAM43B	-0.81225
RECQL	-0.60975
AP1G1	0.0057857142857143
CTNNBL1	-0.609333333333333
ECHDC1	-2.32716666666667
SMARCC1	-0.7835
FOXQ1	-2.163625
GNAI3	0.653166666666667
POLG2	-0.34525
CD4	1.120125
ITLN1	-0.0995
EBI2	4.20375
IRF1	0.08825
PTPRE	2.318
PTK2B	-0.813
NXNL2	0.888
SOX4	0.515833333333333
TSPAN3	-0.4175
SH2D1A	-1.79433333333333
C8orf58	-0.88
USP20	-1.52625
DUSP22	-1.02166666666667
CALB1	-2.49783333333333
L3MBTL2	0.12475
MCRS1	-0.2545
TMEM118	0.657666666666667
C18orf8	1.29666666666667
FLJ10241	0.072625
GJA12	-0.00700000000000001
PKD1	-1.4565
ZFP3	0.382
JAM3	-1.6865
LAPTM4A	1.5682
DIRC2	0.4305
KIAA2022	-2.547
MYOM1	-0.293
TRPM8	-3.5275
MOP-1	0.78475
PHKG2	-1.495625
ZNF650	0.69125
KIAA1522	0.7985
PSG8	-0.303166666666667
DDX19B	-0.1945
MOBKL1B	0.48525
DIAPH2	-0.32475
PTPN12	0.8655
CLN8	-0.7309
CRYZL1	0.351833333333333
CRY2	-0.561
FCGR2B	3.65983333333333
PNPLA4	1.784
ZNF454	-0.5075
DKFZp434B1231	0.0665
CLDN11	0.3348
RFWD2	0.191
CIB2	-0.333833333333333
MXRA8	1.565
HRK	-1.316375
MAML2	-0.77225
C4orf31	-0.36075
C6orf192	-0.02875
COG6	-0.242375
FAM5B	3.11275
NFATC1	-0.9971
SEPT10	0.18675
SCYL1	-1.3026
RPP40	-0.083
SCOC	1.3437
KIAA1450	1.554
CTDSPL2	0.22225
TBX5	3.07966666666667
NAPG	0.175875
RHD	-5.55775
C14orf45	2.11183333333333
ZBTB22	0.4985
PLCG1	-1.5605
ANKRD10	-2.0885
AQP7P2	-0.12875
TAGLN2	-0.168333333333333
HTR2C	-1.47016666666667
SLC16A7	-1.3745
C17orf83	0.106
TSGA14	0.706
MDH1	0.1235
PPP3R2	0.651333333333333
DCBLD2	-1.59842857142857
RBM33	0.619285714285714
DPH3	-0.8705
SYT10	-2.11233333333333
FMO4	1.430875
THYN1	-0.65075
DRD5	0.9805
OTOR	0.9465
PGRMC2	0.3551
KATNAL1	-0.46275
PAQR6	-2.75125
UBE2I	-0.7025
C14orf28	-0.14325
C8orf70	0.01975
FLYWCH1	-1.249125
ANGPTL3	-1.92266666666667
GLRX2	-0.2285
ATP11A	-2.16514285714286
ARL5B	0.432375
MUC16	-3.39925
SLC25A5	0.502
ACRC	0.115
MYO1C	-1.299375
FAM89B	0.00600000000000001
FAS	0.9485
KIFAP3	1.76725
GLRA2	-0.0535
BTN3A2	0.7477
CNKSR3	-0.229625
CSTF3	0.432666666666667
ARPM1	1.88675
KIAA1530	0.197
C9orf150	2.2095
PRKCI	0.04125
tcag7.1015	-1.35125
SOD3	-2.1055
ZNF574	0.324
CYP21A2	2.5765
RPL12	0.7695
COMMD2	-0.15425
WIZ	-0.01475
LOC344405	-0.8115
ALDH4A1	-1.58282352941176
CRYAB	0.81025
COPA	-0.213666666666667
PCDHGA7	0.189
KIF11	-0.0445833333333334
RASD2	-0.087125
SLC26A3	2.19
ZNF175	0.463
JAKMIP2	-1.225375
C8orf4	2.91683333333333
PTHLH	2.051
SLC40A1	4.44941666666667
OR7D4	0.454666666666667
PCDHB17	-1.001
CD36	1.34092857142857
C6orf203	1.7905
PRKG2	-0.123
LOC400566	0.999
ANAPC13	0.377
SLCO3A1	-1.073
ZNF692	-1.682
FANCL	-0.5065
SH3GLB1	0.28425
C12orf61	0.405
KBTBD6	-1.19575
SUPT5H	-0.308375
XRCC6	-0.1311
HUS1B	1.1336
FAM133B	0.201785714285714
LOC728276	0.2105
KCTD18	1.4185
SOS2	0.571666666666667
CCDC99	-0.161
C1QTNF5	2.018
NNAT	-0.187166666666667
USP16	0.77725
LARS	-0.666125
ZBTB2	1.43125
ABO	0.487833333333333
TRAF3	0.3525
GALNT5	-1.273
NAP5	1.666875
ALG14	0.732833333333333
KIAA0515	-0.539769230769231
WDR75	-0.0675
TEX261	-0.467
LY86	0.76225
LOC389072	-1.467
FLJ13611	0.46475
MRGPRX2	0.623
SNRPA	-1.406
OR2G2	0.3
GPRASP2	0.49175
C7orf42	0.3724
C9orf163	0.0475
CYP11B2	1.0385
FCRL3	1.7055
PRDX1	-0.34075
FGB	-6.64716666666667
COX17	1.00516666666667
C16orf33	-0.33075
PIWIL1	-0.1854
FOLR1	-3.625
KIAA0082	-0.6435
FREQ	-1.8285
TMCC2	-1.30516666666667
TCF12	0.26075
ZNF721	0.9855
FAM130A2	0.41575
POU4F1	-3.057
SNRPF	0.0445
SGIP1	2.89633333333333
ZNF641	1.8925
EMG1	-1.63825
PRRG4	1.7335
HIRA	0.25475
MYNN	0.689833333333333
AEBP2	-0.0520833333333333
TBXA2R	-0.629333333333333
ISL2	-1.28333333333333
PCDHB11	-1.1235
RNF144A	-0.560125
MARCH5	1.331
DULLARD	-1.28166666666667
DCLRE1B	0.189833333333333
ITGA8	-0.707
TP73	-0.388375
PRKCD	1.304
NDUFB4	0.52525
ATP13A4	0.364625
ANTXR2	-1.2185
COL4A3	-0.369833333333333
MYO10	-0.9122
SLC6A18	0.598
PEX1	1.46925
TMEM74	-1.8865
RBM19	-1.07175
TAPBP	-0.0127
RUNX1	0.6715
MID1	-1.32708333333333
GPR64	-2.17166666666667
RASEF	2.1105
GABRG1	0.15175
MYO16	-2.007
DBF4	0.5555
TSHZ2	2.433
RIPK2	1.588625
PPTC7	0.290333333333333
KIF4B	-0.101
LRRC31	0.926125
ZNF540	0.83375
EFNB3	-0.469
LOH12CR1	-0.08225
STON2	-0.0416666666666667
GLP1R	0.5185
CSTF2T	0.5255
IREB2	-0.59725
GRSF1	0.3925
PDCD7	-1.05933333333333
LRRC43	-0.5755
CNR1	-0.472333333333333
IL1F7	-1.045
C12orf64	-0.2715
FAM69B	-1.20175
NR2E1	-2.401
MS4A6A	3.263
FTL	-1.0688
C7orf36	0.70325
PCLO	2.8253
DYRK2	0.315166666666667
ARIH2	-0.3725
SAMD7	0.7855
SCNN1D	-0.764
SLC32A1	-1.093
C22orf25	-1.4795
MRPS18A	-0.8868
GPR112	0.6865
EARS2	-0.20225
ERN2	-0.0115
ATPBD3	-1.3135
PRH2	-0.5495
CDKN2D	1.22766666666667
PGLYRP2	3.373
TRIM40	0.00875000000000001
SEC14L3	-0.255833333333333
SLC22A1	-0.24125
BTN2A3	-0.481
RASA4	0.2115
CCNL2	-1.46541666666667
MYBPC3	0.6055
GJA4	2.8685
CDC42SE1	-1.136125
TRPV2	-1.84075
MYPN	-4.6429
SIM1	0.5895
CDADC1	0.72575
ZFHX4	1.69
NIBP	1.21383333333333
ADAMTS19	-2.255
ABTB2	-0.7685
TSPYL2	-1.028125
EIF2S3	-1.0966
SOX30	0.3015
AP2A1	-1.25433333333333
DKFZP564O0523	0.211
LOC285398	-0.2485
CDH18	-4.74925
CHL1	0.495375
GATS	-1.02377777777778
TBC1D2B	-0.776
OR1J1	0.184
GSN	-0.597666666666667
DPCR1	0.3
GARNL4	-1.01766666666667
SMARCA5	0.48425
PLEKHG3	-0.0875
ZBTB45	-0.175
FRMD6	1.01383333333333
PLS1	0.0855
DGKZ	-1.13783333333333
EFNA1	0.7504
WDR85	-1.20575
ANK2	-0.7175
PAGE4	-0.623166666666667
SENP6	1.72783333333333
AKR7A2	-1.27066666666667
FKBP10	-2.0875
VEGFC	-1.40266666666667
LARP1	-0.3209375
SRBD1	0.74475
ITGB6	4.3765
SLC1A2	0.215928571428571
INVS	-0.982833333333333
MPO	0.83475
MOBKL3	0.5935
CUTL2	3.798875
KLK2	0.00800000000000001
VIM	-1.9565
REG1B	-0.00199999999999998
PCDHGC4	0.50425
C3orf34	-0.624333333333333
SUMO3	0.128833333333333
CST9L	5.94825
MLL4	-0.87275
SPR	1.0465
SAMD9L	2.735
ABCE1	0.0845
SUPT3H	-0.155166666666667
ACTBL1	-0.3205
ADAMTS4	0.1225
SLIT3	2.9605
RHEBL1	0.14525
NPM2	-0.96275
