Hybridization REF	TCGA-AR-A1AL-01A-21R-A12P-07
CLCN7	0.99125
OTP	-0.04125
FLJ23049	-0.9735
HEATR4	1.234
MAP3K10	0.33
PCDHGA9	0.676
AMDHD2	0.23475
LCTL	-3.1095
PDCD2L	-0.5425
CABLES2	-1.03
SLC5A9	-0.94225
CLCA2	-2.36333333333333
MGC16025	-1.6815
STRAP	-0.7285
C20orf196	-0.9365
RRBP1	0.0576666666666667
NAT13	-0.2055
MAT2B	-0.233375
CSNK1D	-1.18816666666667
KIR3DL1	0.1185
PRKAG3	-0.213
ZNF599	1.468
PRM3	1.0425
PER2	0.246666666666667
ASPHD1	-1.503
PRMT6	-0.4935
KCNE1L	0.464785714285714
FAM118A	-0.931666666666667
TAF4	-0.88075
NDUFB6	-0.41525
TRIM9	-1.17158333333333
PMFBP1	-0.79625
KY	1.2345
DKFZp762E1312	-3.24518181818182
CSMD1	-2.04975
TBP	-0.5205
OR1Q1	0.4535
RETNLB	0.26875
HPGD	0.196928571428572
DNAJC12	0.781833333333333
FKBP1B	-1.121
ANKRD24	-0.433
CXXC5	-0.310833333333333
IL3	0.05
DRAM	0.5273
PTCH1	-1.239375
TP53BP1	-0.18275
SLC17A7	0.29675
COL25A1	-1.6009
AMACR	0.254
RHCG	0.70275
VPS13A	-1.34466666666667
FAM55D	0.987
PRPF38B	-0.690333333333333
OSBPL6	-1.0225
PFDN5	0.3115
CMTM6	0.279875
KCNK12	-1.382
RP2	0.13225
C16orf52	-1.7125
PICK1	0.289
IFNE1	-2.15733333333333
SEMA4B	0.86375
TYRO3	-1.0115
OR12D2	1.0975
CSNK1A1	-0.22445
FANCF	0.52075
LONP2	0.564375
TBL1Y	-1.00625
LDOC1L	-0.125625
CCNC	0.19375
C3orf60	-0.057
CHKA	-0.63625
UBAP1	0.612
MAP3K1	1.4865
ANKRD9	-0.809
FAM92A1	-1.21766666666667
GAB2	0.4805
AZU1	0.11125
DIS3	1.04283333333333
C21orf109	-1.714
IQCB1	-0.40425
SPATS2	-0.5365
EFCAB3	0.121
PRB3	-0.1345
FUZ	0.0025
ZNF813	1.06175
BMPER	1.0715
HEG1	0.281625
ALS2CR11	-1.712
SURF2	-0.01625
PSMC1	0.0826666666666667
OR2D2	0.5335
SLC7A8	1.7545
C4orf40	0.0905
SPATA7	0.2705
MAZ	0.231166666666667
PIN4	0.728
PDE1A	-0.35975
TAF6L	0.2355
OR2T34	0.3805
KIAA0284	0.58825
ACADS	0.804181818181818
MKRN2	0.413
C18orf56	-3.483
MS4A6E	0.814333333333333
GALNT4	1.8529
C22orf31	0.8165
FLJ36070	0.0285
PSME4	0.022
TFG	0.063
EPHX2	1.4025
ANXA5	-0.0105
KRTAP1-1	-0.2424
BATF	1.39325
KARS	-1.588
MSTP9	-0.911
GPR26	2.594875
CCDC72	0.36575
TEF	0.666
FOXK1	-0.3948
PRLHR	0.674
EMX1	0.59775
C11orf30	-0.6115
ICK	0.738125
THSD7B	0.563
C21orf100	-0.7945
DUOX1	2.985
EFCAB4B	0.41975
UBE2G2	-1.307
C3orf54	0.60275
PARP1	-0.3195
FAM60A	-0.776333333333333
C6orf146	0.587
OR9K2	0.662
DDX55	-1.2275
RPS15	1.16716666666667
ZNF618	0.948125
DKFZp686D0972	1.1055
SSPO	-1.029
SHFM3P1	0.313
CPA6	-1.21875
JAG2	1.5365
DEFA3	0.64525
PPBPL2	0.30975
CD34	4.680125
SLCO4A1	-2.594625
AFG3L1	-1.80616666666667
SHD	-0.93425
RP13-122B23.3	-0.213666666666667
PRKCSH	0.5615
DPH5	-0.752833333333333
HLA-F	1.764875
TBC1D4	0.667
RIG	1.049
GLUD1	0.470833333333333
HNRPCL1	0.228875
HBXIP	-0.1235
RNF207	-1.0595
APIP	-0.527
PLA2G3	0.394333333333333
CCDC84	-1.89725
MYLIP	-0.708461538461538
PHIP	-0.19975
AARS2	-0.107833333333333
DHX32	1.391
SCAPER	-0.349666666666667
MEN1	-0.19975
NIP7	-1.494
FLJ25404	0.5815
FASTKD3	-0.88925
TMEM158	-2.25158333333333
RARA	1.15425
BDH1	0.675
ANKRD16	0.1765
CARM1	0.805
SS18	0.0396666666666667
IKZF2	-0.889833333333333
MYD88	0.618375
PML	1.05465
TAF1A	-0.185
CBFB	-0.46475
HIST1H3H	-1.43283333333333
C7orf29	-1.11975
COMMD4	-0.369333333333333
DPP3	-0.00225
DAB2	0.82125
LOC388882	-0.3795
YPEL4	0.00650000000000003
AGBL3	0.49875
LRP6	-0.0724
SERPINH1	0.330083333333333
TLE1	0.3225
CD244	0.501166666666667
ZDHHC15	-0.22975
MGLL	1.1018
PLDN	-0.108583333333333
LOC654346	1.749
FAP	3.88025
GPR37	-1.81566666666667
SCARA5	1.33366666666667
EBF4	1.09327272727273
LSM6	-0.716
MLLT1	0.37325
SLC5A12	-0.63575
A2BP1	-1.99683333333333
COPS5	-0.349333333333333
TPM4	-0.0746428571428571
TNFSF4	1.79666666666667
ACADSB	2.23288888888889
HERPUD1	-0.18875
BCL2L11	-0.489555555555556
CEP78	-1.517625
CDCA3	-1.806875
WBSCR19	-0.6405
MYO1A	-1.9365
PPEF1	3.468
LOC440348	-0.52625
CPEB2	1.943875
BPTF	-0.369833333333333
RPL21	0.2439375
GSX2	-1.7295
ADPRH	1.51816666666667
C17orf68	-0.337
KCNS1	-1.0395
MLLT6	-0.071
PIWIL4	0.43075
RNF26	-0.8025
RAP1B	0.411875
ADAMTS1	-1.3739
ZNF571	1.26175
P2RY6	0.08725
TRIM21	0.373666666666667
CADM3	0.1015
NLRC5	0.455333333333333
ADRA2B	-0.0595
LOC90835	-0.332125
PCF11	0.7825
LOC400451	1.57225
GLTSCR1	0.4226
C17orf88	-0.491
CDH16	-1.61175
FGF7	3.7545
PCSK4	0.169833333333333
NPC1L1	-0.881833333333333
TAT	-0.378875
TBCA	-0.734
MGC33407	0.1055
GPR115	-1.61225
CYGB	2.1385
FNBP4	-1.19416666666667
C12orf43	-0.1915
CBL	-0.7924
CLECL1	2.3125
PPAPDC1A	2.91725
WDR25	0.1295
SGCA	1.764
C22orf29	-0.583666666666667
YIPF1	2.01425
GALK2	-0.845
RAB3B	-2.43075
LOC440087	-0.769
UCP1	0.019
REEP5	0.681
FADD	0.3551
FOXA1	3.77625
CACNA1A	0.875333333333333
ABI1	-0.003
GRIN2D	0.3955
SLC1A4	0.765
LOC401127	-0.487
HINT2	-0.15075
PLD4	1.09233333333333
ZNF286A	-1.511
ENY2	-0.60375
IL1F6	0.0325
PXDNL	1.09775
C20orf79	-0.61825
TNFSF13B	2.34616666666667
DENND3	0.030625
JARID1D	-3.60625
HIST1H2AK	-0.529875
LOC93349	-1.4551
SSH1	-0.7022
ENSA	0.5205
LOC219854	0.454666666666667
CKAP2	-1.3524
DKFZP564J102	0.411666666666667
MGC87315	-0.789666666666667
HNRPAB	-0.86925
AMH	-0.0185
ZNF526	0.578
BRUNOL5	0.3415
CACNG3	0.0378333333333333
TRPM1	-2.75
PPP2R1A	0.613125
COL2A1	-1.97475
DDN	-0.133
FLJ25770	1.36408333333333
HK2	-1.49757142857143
ELOVL6	-0.841125
MDK	-0.81925
EPHX1	2.39125
RASSF2	0.807125
DKFZP434B0335	-0.17675
DLX3	-0.243375
PRTN3	-0.868
AVPR1A	2.4465
C21orf125	-2.098
TNFAIP8	-1.03433333333333
GNB2L1	-0.51075
CALCRL	4.0725
SCGB2A2	7.56333333333333
UBXD7	-0.77775
ZNF674	-0.3945
TMEM35	0.475875
BRSK2	1.755125
HECTD3	1.0495
TMEM188	-0.0931666666666667
LGALS9	2.28275
SCARB2	2.18666666666667
USP34	-0.32
C17orf28	1.14083333333333
ZDHHC23	-1.15125
AQP12B	0.5725
SLC16A3	-2.081875
APLP2	0.38025
ITIH2	-5.515
MICAL3	-0.876875
TNNI3K	0.727
HDAC2	-0.404125
PRR7	-0.6391
THBS2	1.4165
LOC751071	0.433166666666667
CA2	4.95266666666667
RANBP17	-0.50775
RLN3	0.311
CRYZ	0.237333333333333
GBAS	0.5595
TAS1R1	0.41
MPZL3	1.0925
PCDH8	-2.80475
HSP90B1	-0.408916666666667
KCNK15	-0.353
TNIP2	-0.151666666666667
GPR146	0.96225
NOL6	0.192625
SPC25	-3.41322222222222
STEAP2	4.58964285714286
VAMP3	0.59
TCIRG1	1.1295
ZP4	-0.0618333333333333
PARL	0.2095
TRIM39	0.019
KIAA1305	1.455
CRNN	-0.0723333333333333
GRN	0.62875
HSH2D	-2.0175
SCAMP1	0.552375
KIAA1913	1.1885
PTS	-0.22675
BANP	0.41
PRKACG	0.599
ADCY6	0.810333333333333
C16orf46	0.2055
CYP51A1	-0.353125
DDC	-6.194
ANPEP	1.179
PROM1	-1.0565
SIGLEC10	2.574
COPG	1.7415
FAM26E	2.739375
TRIP4	-0.2885
SNX3	0.6975
C1orf175	0.301333333333333
PPY2	0.32225
C14orf152	0.554
FTSJ1	-0.492
DST	-0.0131
LOC554235	0.1945
GLRX5	-0.56575
C20orf12	0.266
CAB39	0.3325
MSH2	-1.9295
PIP4K2C	0.199
CYLD	0.626
WTAP	0.8294375
MGAT4A	0.826666666666667
TSC22D4	-0.1339
CHRM2	-1.7865
PPYR1	0.305666666666667
CCNH	-0.537333333333333
RRM1	-1.1615
ECAT8	-3.119
LOC400120	0.093
GABRA4	0.473875
C14orf4	0.6575
C1orf59	-0.6335
CTDSPL	0.323916666666667
NHEDC2	1.991
PDE11A	0.0754375
KLHL29	-0.59525
CD5	-0.451
TSPAN9	1.7834375
WDR67	-1.58325
THUMPD1	-0.6134
C18orf17	1.3865
CLYBL	0.375833333333333
FLJ13231	-1.239875
CMBL	-0.298375
LECT2	0.5265
NKAPL	3.59766666666667
LOC654780	0.4785
OR4C6	-0.26
RAB30	-0.141833333333333
TSSK4	0.0725
TMEM163	0.1885
OSBPL11	0.130416666666667
GNB5	-1.29766666666667
CCL21	1.18475
C1orf121	1.0235
FMO2	3.432
RPTN	2.472
MSTN	0.303
VCL	0.161571428571429
FYTTD1	0.66525
C11orf1	-0.08775
CCDC88C	-0.1238125
HFE	-1.0005
MOGAT1	0.9955
FAM125B	0.341
IRGQ	0.5795
RAVER2	0.821
AKAP5	-0.809
SSSCA1	-0.08675
C11orf63	0.601
ACTG2	0.4461
PORCN	-0.8735
DTL	-1.99609090909091
TMEM151	1.057
FAM122C	-1.476
RSAD2	3.0432
BAT4	-0.8815
KRTDAP	-0.839
MYH8	0.864571428571429
CRTC3	0.74125
LRRFIP2	2.0021
INTS4	-0.0691666666666667
TTN	-1.69366666666667
SLC26A5	0.852
PLLP	0.30875
RGS6	0.648125
SRGAP3	0.18075
ZNF525	0.635
NBR2	-0.375
C13orf1	0.4394
ZNF137	0.4795
CEP27	-1.33525
BEST2	0.3215
RNF121	0.148
DMRTC2	1.654
C8orf76	-0.27625
BCCIP	0.4
MEST	-0.51175
HTRA2	-0.281
ANGPTL2	1.8165
ILKAP	-0.446
ERAS	-0.1905
HBS1L	-0.397875
CPA5	1.2385
TMEM30A	1.43766666666667
CD300LF	2.36066666666667
WISP3	-0.046
CRK	0.0475
PDS5A	-0.6445
BRPF3	0.362166666666667
NEDD9	-0.398
SMPDL3B	1.16125
PSG6	0.955
PSMD13	0.61325
ETV5	-1.62925
OR51A4	-0.0985
BTBD7	0.422833333333333
GSTO1	-0.51275
hCG_16001	0.1965
MAD2L1BP	-0.113166666666667
COX6A2	0.465
SCNN1A	3.193
LSM1	-0.4025
UGT2B11	-3.76525
IDUA	0.52125
PPP2R3C	-0.579333333333333
COX11	-1.4175
PDZK1	0.1975
ZNF443	0.625833333333333
MGC21874	0.799
ZNF323	1.6257
KRTAP10-10	0.1835
CXCL6	3.83925
SLC34A2	-0.1541
LOC284402	1.1395
NPTN	1.65766666666667
UPP1	-1.5225
SLC6A9	0.0705
OR7G3	0.621
CISD1	-0.905666666666667
ZNF545	0.0866666666666667
SYT14	-1.102
NT5C3L	-0.265666666666667
ZNHIT3	-0.8955
SNRPD3	-1.1605
KIAA0701	0.87725
UNC93B1	1.48583333333333
GMNN	-2.495375
SPCS2	0.401833333333333
LOC388524	0.312
NAPRT1	-0.047375
PNLIPRP1	0.2705
OR6V1	0.7235
PRKAB1	0.3055
EYA4	-2.52266666666667
KIF20A	-2.4895
ALG10	-0.5675
ITPKC	1.099
LMX1B	1.35333333333333
RPUSD4	-0.231666666666667
C7orf34	0.436166666666667
DLGAP2	0.397625
PFN1	0.1511
MICALL2	-0.370416666666667
ZNF654	-0.602
SS18L1	-1.681375
SLC16A8	0.91775
MKI67IP	0.301666666666667
ITGB3	0.87125
TCEA3	2.30058333333333
CEP152	-3.0545
CLIP1	0.5485
ZNF75	0.174625
ATP5C1	-0.5545
NUDT5	-1.36116666666667
PSCDBP	0.57875
UBP1	0.27725
RBM27	-0.6155
C13orf15	2.50225
ZNF282	0.193833333333333
ZNF222	1.0676
COL10A1	4.92375
PRDM15	-0.9225
TTTY5	-0.214
FAM9C	-0.724545454545455
C20orf67	1.27775
GNG13	1.2875
F12	-0.337
C1orf41	-1.02875
CPXCR1	0.5005
GSK3A	0.716375
SUPT6H	-0.1695
PI16	2.45333333333333
ELL2	0.564666666666667
C9orf167	-1.75183333333333
PVRL3	-1.7323
FLJ38596	0.57575
ADAM20	-0.07025
GPR89A	0.443
GPR87	-3.876
ZNF30	1.345
SMR3B	-0.08675
ZNF770	-0.04225
TRPC4AP	-0.0455
DKFZP686E2158	0.563833333333333
C2orf28	-0.421833333333333
FREM1	1.60816666666667
LAMA4	1.3005
ADPRHL2	0.09325
EIF4G2	0.549
GUCA1A	0.45
CTNNA2	-1.776625
NUDT15	-0.635666666666667
CEPT1	0.932166666666667
ZNFX1	1.2605
CCDC92	1.337
TDRD1	-1.4815
KCNK5	-2.82816666666667
ETNK1	0.785083333333333
LTA	0.51
TTPA	-0.617666666666667
B3GALNT2	-0.0595
SC65	-0.267166666666667
PEX5L	-1.6625
EPS15L1	0.5
MGEA5	-1.2445
HIST1H3A	1.12125
ING1	1.277125
BCAT1	-1.969875
ORC6L	-3.34218181818182
KLK11	-3.651
C19orf28	-0.28375
DNER	-3.85225
MED22	-0.650142857142857
ETV6	0.959083333333333
CHAC2	-1.88675
CD300E	0.1815
CEBPB	-0.20575
ZNF398	0.00525
LRCH3	0.0045
HMGA1	-1.264
CAPN7	0.679166666666667
MGC5566	-2.756
CCL3	3.12128571428571
NANOS1	0.493125
ZFYVE19	-0.175
APITD1	-0.756333333333333
PARD3	-0.100375
IRAK4	-0.222666666666667
SERPINI2	0.222
CEP170L	0.4745
TTC9	2.377125
MYOM3	-1.981
MLPH	1.058625
LOC222699	0.4585
NRG1	-1.39066666666667
TBC1D9	2.88354545454545
TTK	-2.61066666666667
ZNF557	1.2189
DDX41	-0.639333333333333
FANK1	1.8425
UBE2D2	-0.178125
PSMB10	0.34
MYH7B	0.088
GABARAPL2	-0.611625
MARVELD2	1.08116666666667
DGCR2	0.391833333333333
UNC45A	-0.0396666666666667
C6orf72	0.3195
ZNF683	3.49425
GIT2	0.2045
CASK	0.324833333333333
C14orf161	2.88033333333333
LRRC44	-2.5325
TIFA	-0.47075
UTP11L	-0.38225
C6orf65	0.7165
FDPS	-0.533
DUSP9	-1.8779
SLC17A8	-0.1815
OR51G1	0.645
NANS	0.36625
OLFML1	2.071
ATP10B	-1.76975
NPAS3	-0.805
PRKCA	-2.51
GGA2	-0.606875
LCE4A	0.595
SPANXN3	1.14825
CCDC115	1.6515
SDCCAG3	-0.76975
GLIPR1L1	0.0745
TTC1	-0.23875
C17orf76	0.6125
MAD2L2	-1.217
HIPK1	-0.2644
LRRC3B	-0.216833333333333
CLN3	-0.185136363636364
C17orf47	-0.1595
FMN2	-0.877125
TUBB1	1.055375
WAPAL	0.123166666666667
C3orf21	-0.662
SCN5A	-0.5398
SMYD1	0.252
BEX5	-0.45275
ZNF192	-0.1575
SEC22A	-0.251333333333333
GRIA2	0.611769230769231
KIAA0825	-1.3535
NUSAP1	-2.289
LANCL1	-0.999375
C15orf40	-0.4065
ZNF645	0.089875
GPR61	0.4975
NLRP14	0.089
SNX21	0.1183
C1QTNF8	-0.002
C17orf46	0.25325
IFNA8	0.7605
SPRR1B	-3.03533333333333
FLRT1	-1.5055
SNX17	-0.169
ASB2	-1.04116666666667
HBG1	-5.0945
RPRML	-1.17775
JOSD2	1.15033333333333
PLSCR3	0.15325
SPOCD1	0.622833333333333
RAB39	0.318
GHRH	-0.0255
ITIH5L	0.449
C17orf37	0.33975
SMCR8	0.79475
DPY19L2P3	-0.867833333333333
IL11RA	1.097
GDF3	-4.052
RPS6KB1	-1.4965
DNAJC19	2.9103
TOP1	-0.051
CRCT1	0.522625
MPST	0.035375
DPM2	0.576125
FAM38B	-1.682
SLC18A1	-2.62116666666667
FARP1	1.62766666666667
PAX7	0.11025
TUBD1	-2.16075
GNL3	-0.051125
BTG2	1.85253333333333
NDUFS6	-0.79875
C1orf79	-1.33725
ERAL1	0.1035
ECHS1	1.15325
VPS4A	-0.347333333333333
CYP11A1	0.2215
ABCC6	-1.02142857142857
PBX4	-2.5745
MOSC1	0.5915
NCF4	1.04075
HYMAI	-0.148
NAGPA	-0.361125
OTOP2	0.35825
ACOT12	-0.105
MTHFD2L	1.422125
LOC441376	3.5295
C19orf34	-1.12
RAB1B	0.6195
ALDOAP2	-0.7235
NTRK1	-0.713
ARTS-1	-0.125
SLC6A11	-1.4785
NAP1L2	-2.2505
CNGB1	-0.227833333333333
EPB41L4B	1.07008333333333
FAM134B	3.742375
HS3ST3A1	-0.882333333333333
CPXM2	4.35025
SIRPB2	-0.3565
CHORDC1	-1.55283333333333
TRIB3	-0.5895
SLC2A5	1.2305
C2orf49	-0.855833333333333
DDX5	-0.548
OR5L1	0.3435
ANAPC4	-0.674666666666667
ZSWIM1	0.360125
LOC93622	-0.2945
KCNK3	-0.1641
RP11-35N6.1	-2.149125
ZFP161	0.479833333333333
AQP9	4.02225
SLC15A2	-1.37166666666667
MREG	0.0843333333333333
OR9I1	0.1585
PDLIM2	0.58325
ADAM7	0.9495
GSTCD	-1.37266666666667
WDR21A	0.07
SLC12A8	1.60466666666667
TMEM174	0.53025
IGSF3	0.301416666666667
LRRN1	-1.52575
LOC402117	-0.24925
SRPK1	-1.386
LY6K	-0.0576875
NFIA	1.862
PTCD3	-0.9235
LEP	2.90866666666667
PCDH21	-0.8475
MAPKAPK2	1.59578571428571
NMNAT1	-0.857666666666667
LHFPL2	0.662125
C9orf43	-0.4745
DIP2A	-0.647666666666667
ACTR8	-0.00387500000000002
CCDC34	-1.4195
PTPN22	0.54075
ITGA3	-1.43075
FAM129C	0.53125
RABGGTA	0.445666666666667
UNC45B	1.44925
KIAA1033	-0.18825
ZNF510	0.794166666666667
CYP2D6	-0.719333333333333
SLC26A10	-1.0525
STX8	-0.0335
LUZP1	0.239375
WDR89	-0.0226666666666667
EIF4G3	-0.3301
C5AR1	0.9165
ZNF623	0.5745
A2M	0.8745
TGM7	0.3075
GRPEL1	-0.916166666666667
LMNB2	-0.9933
ROCK2	-0.729333333333333
SNX16	1.135
CCDC66	0.564
ANXA3	-0.04125
KIAA1609	-1.606875
EED	-1.23425
RNF32	-0.290833333333333
HES1	0.1828
CLC	0.542833333333333
ISL1	-1.68666666666667
KIAA0528	0.081375
MANEA	0.016875
C1orf61	-2.1195
hCG_2001000	0.439
RAPGEF6	-1.0456
KIAA0020	-0.274666666666667
NEIL1	1.0855
C16orf45	-0.6505
RBM10	-0.631333333333333
C10orf125	-0.16325
MRS2L	-0.7525
DNAH17	-0.53225
C19orf10	0.60525
C1orf160	1.203
SLFN12	0.20375
EXOC3	0.133833333333333
HIST3H3	0.3565
NCOR2	0.1925
TNFRSF9	1.4945
MFSD8	-0.436
ALX1	-4.00183333333333
NOL1	-0.628
PODN	3.285
TIAL1	-0.5955
HIST1H1E	-0.506
NPY6R	0.3855
TM4SF4	-0.5105
CORO2A	-0.715
ETNK2	1.814
APOE	0.6155
ANGPT4	0.199
HDGF2	-0.333
G30	-0.799
ST8SIA4	-0.087875
F2RL1	0.5055
FAM19A4	-1.3535
CCAR1	-0.62375
B3GNT7	0.154
OPHN1	-0.2177
DSCR6	-2.6355
C21orf13	0.0458333333333333
GAS2L1	0.8345
RFX3	0.0861666666666667
COPS4	-0.35275
BCHE	-3.964
BCL2	2.435875
HBZ	-3.06116666666667
ARL13B	-0.794375
MAPBPIP	0.753125
MYO15B	-0.316625
SPZ1	2.03225
KIAA1324	2.71544444444444
PLCL2	0.033125
C4orf29	-1.218
WDFY2	-0.62775
ZNF284	-0.009
NAALADL1	1.0425
DUSP5	-0.235333333333333
PXDN	0.9195
SLMO1	0.383
TNXB	0.9888
BIRC7	-0.9815
A4GALT	0.877166666666667
TIMM22	0.1995
FAM110C	1.05475
TOMM34	-0.489
ABHD9	0.0765
ADAM32	1.0515
CRHBP	1.67675
AQP2	0.745625
LOC130355	1.47225
ZNF187	0.462333333333333
ZNF816A	0.865
F7	0.86375
CNOT1	-0.3959
SLC13A4	-0.3825
ZBTB11	-0.1135
B3GALT5	1.1015
EXOC2	0.216833333333333
IRS1	0.3409
TMEM1	-0.0115
MRPL34	-0.166166666666667
SAMM50	-0.6375
CDC42EP3	0.225625
HSF2	-0.6521
MFN2	-0.29525
TSPAN7	-1.36016666666667
NUCB1	0.944
RHOH	-0.6255
ARL16	-0.9295
TACR1	0.4685
SFRS5	-0.4485
SNX25	-0.355125
RHBDF1	0.61
PCDH18	3.8275
HMG1L1	-0.805
MYO5C	2.11475
MAPK10	0.4545
LDHAL6A	-0.000333333333333334
NUDT12	1.43983333333333
NCAM1	-0.191625
GLIS2	0.058
GGTL4	-0.36175
DAPP1	0.1185
ATF7	0.403
KIAA0748	-0.3985
NFIL3	-0.8055
TM6SF1	0.4306
SEZ6	0.28775
NANOS3	0.731666666666667
DNAJA3	-0.1125
CLDN6	-2.6735
CIITA	2.4075
EPHA4	0.0800000000000001
FANCC	-0.65075
CMTM3	1.017375
PSG3	0.285625
MRPL15	-0.5695
C21orf59	-0.25425
PLCXD2	-0.306
C2orf34	0.151625
UBE2L6	0.637
MED14	-0.436833333333333
HP1BP3	-0.3462
C6orf208	0.482
TPBG	1.758
OSR2	2.39175
XPC	-0.437333333333333
KLHL7	-0.463666666666667
CCR3	-0.7426
AGTPBP1	-0.486666666666667
PCSK6	1.45686666666667
STAT5A	-0.8298
FAM18B	0.1445
LONRF2	0.503833333333333
PTPN2	-0.69025
SF3A3	-0.974333333333333
EFCBP2	-0.27075
HCFC1	-0.155833333333333
AHNAK	0.3305
ACTR5	-0.02275
KIF14	-2.93671428571429
TENC1	1.344
HEATR5B	0.874
YIPF2	1.317
MYEOV2	0.711833333333333
DUSP18	0.7855
KIAA1012	0.88975
AHR	0.298166666666667
C17orf53	-1.66516666666667
PTPRH	-2.015
ATP6V1C1	0.3296
TAS2R3	-0.0465
LOC440356	-2.20275
COQ10B	-0.223
PSMF1	0.59825
SORBS2	2.50933333333333
NFE2L2	-0.1265
TMCO7	-0.668
SH3PXD2A	0.5548
SH2D2A	-0.16575
SPINK5	-4.5585
MRPS24	-0.76925
OPA3	0.0825
TRAF7	1.33633333333333
C4orf35	0.927833333333333
MT1G	-1.12075
MGC39545	-0.338
HS1BP3	0.4797
OR2B2	0.861
CHRM4	-0.2855
SFRP2	4.00766666666667
RIC3	-1.251
ART1	1.364
C6orf1	1.271
DUS4L	-0.97775
C10orf104	0.49275
TNFAIP6	3.33525
RTEL1	-1.2245
CCT4	-1.0674
ZNF709	0.5835
CHMP6	0.293166666666667
UPP2	0.42625
CYP19A1	-2.463
CD151	1.009
NDUFA13	0.0998333333333333
ARFRP1	-0.671833333333333
FAM26B	1.9275
CRYBA1	-3.1185
MRPL41	0.105833333333333
NPFFR2	4.596
HRH2	0.4235
SCAMP3	0.657833333333333
MTMR6	1.1033
MTG1	-0.857833333333333
UBTD1	1.2875
CRABP1	-3.002
FLJ33790	0.5432
KIAA1908	-1.3175
GPR158	-2.934
PACSIN3	-0.271
OMD	4.08233333333333
CATSPER1	-0.0165
HOXB8	0.160625
FBXO46	0.618
OAS1	0.715666666666667
SVIL	0.27225
PHB2	-0.27925
ADCY3	0.185
NDRG2	0.539333333333333
ERMAP	1.5115
APBA2	-0.474666666666667
IGSF9	0.5475
WNT6	-0.4075
MYCBPAP	0.466
ATP2B2	-0.6626
CPVL	-0.7051
TRAM2	-0.22375
NOP5/NOP58	-1.52525
ZNRF4	0.14325
TLK1	-0.02425
MTMR12	0.377428571428572
ZNF384	-0.231833333333333
FAM9B	-3.387
RPN1	1.1117
PMVK	0.7155
EIF3D	-0.1739
SIX2	1.74875
HPS1	0.7075
RNF7	0.419
PSKH2	0.22
KCTD13	0.202166666666667
CSMD3	-0.8686
FBF1	-0.7445
IL8	-3.204875
SERPINB13	-0.0569
FBXL20	-0.65425
BLR1	0.4145
SH2B1	-0.636
RFNG	0.234125
RAB20	1.80666666666667
RBM7	-0.07275
POLR1A	-0.0118333333333333
TMPRSS4	-3.10775
TAF9	-0.445625
TERF2	0.234166666666667
TNFRSF1A	0.56475
ACADVL	-0.508166666666667
GTF2H5	-0.601
EDG8	-0.559
C9orf140	-0.956875
UST6	0.296666666666667
ZBTB8OS	-0.57125
ZNF710	0.1235
GPR174	-1.793
ATP6V0A2	-0.81375
KIAA0319L	-1.24266666666667
XKRX	1.1545
DOPEY2	1.2056
SDHD	0.0933333333333333
SUMF1	0.90525
OSM	2.4115
OPN3	0.33275
DAGLB	-0.256333333333333
PPFIBP1	-0.2451
TRIM63	-2.7135
C10orf53	-1.251
LYPD3	0.0613333333333333
BCL7A	0.16975
AGER	-1.298
TCF19	-1.0785
SAT2	0.1875
PFTK1	0.460833333333333
GABRE	-2.447375
C15orf38	0.7185
FIS1	0.296
KCNV2	0.1955
CLPS	0.40775
PPCDC	-0.7105
FOXN2	-1.17833333333333
NT5E	-2.3105
CD83	-0.14725
IL18	1.533
VPS16	-0.04575
IGFBP2	-2.10066666666667
NOTCH2	1.238
SIGLEC1	3.476625
CD93	5.7645
SULF2	0.27275
CEP164	-0.0515
P53AIP1	0.535833333333333
TOR2A	-0.1595
ZNF136	0.165
MGP	2.1328
CCDC144A	-0.774666666666667
TRPC1	-0.285
SMS	-0.621666666666667
MAPK7	-0.320166666666667
RRAGC	1.0985
PARD6A	0.286666666666667
NUB1	0.638833333333333
SYNGR4	-0.0165
OR11H12	0.2895
WIF1	0.756125
GCH1	1.134
OR11H4	0.385
SLC44A5	0.4925
GPRIN2	0.827333333333333
LOC401431	-0.1295
CPA4	-3.2611
MELK	-2.22677777777778
IL15RA	0.088
CUL3	0.702625
HMBOX1	1.075
PODXL	-1.835
CCT6B	-0.173166666666667
COMTD1	-1.2785
MUC20	2.67883333333333
GPX2	-3.821625
ITK	-1.077375
FBXL5	0.92225
C13orf27	-0.3265
DEFA5	0.0745
TRHDE	0.11
MTP18	-0.747666666666667
UQCRQ	0.1324
ITGB2	1.8985
CSRP2BP	-0.0555
TAS2R44	-0.0065
PHPT1	0.019125
FAM44C	-0.20625
ERH	-0.54425
MPHOSPH1	-1.4125
MORC1	-0.866
PARVB	-0.1705
LAMA1	-1.48616666666667
PGBD3	-0.40375
GIMAP6	4.2775
AREG	5.48166666666667
LIPT1	-0.05475
MGC99813	-0.70775
C1orf201	-0.1045
GRIN2A	-0.6886
MAN2C1	-0.869875
NSUN5	-0.68825
SF3B5	0.14925
MYC	-0.9376875
NRXN1	-1.351
ZNF18	-0.2805
SPDYA	-0.937285714285714
SLC37A1	1.342
DECR2	-0.099
ANKRD38	2.354875
SPTLC3	-1.27283333333333
SUPT16H	-0.50175
DTWD2	-0.8095
ULBP1	-0.9815
ZADH1	-0.757666666666667
