Hybridization REF	TCGA-C8-A133-01A-32R-A12D-07
ERAL1	-0.448
ECHS1	1.21125
VPS4A	0.370666666666667
CYP11A1	-0.972125
ABCC6	-0.9475
PBX4	-4.1765
MOSC1	-1.221
NCF4	-0.112
HYMAI	0.047
NAGPA	-0.3385
OTOP2	0.12525
ACOT12	-0.19425
MTHFD2L	-0.15375
LOC441376	2.249
C19orf34	0.7315
RAB1B	1.07
ALDOAP2	0.4595
NTRK1	-1.5878
ARTS-1	-0.7301
SLC6A11	-0.898
NAP1L2	-1.56175
CNGB1	-0.087
EPB41L4B	0.511
FAM134B	4.432625
HS3ST3A1	-3.38416666666667
CPXM2	1.8475
SIRPB2	-0.00800000000000001
CHORDC1	-1.32133333333333
TRIB3	-1.26066666666667
SLC2A5	0.12125
C2orf49	0.215833333333333
DDX5	-1.15125
OR5L1	1.148
ANAPC4	-0.211666666666667
ZSWIM1	-0.145125
LOC93622	0.343375
KCNK3	1.0489
RP11-35N6.1	-2.03925
ZFP161	0.252666666666667
AQP9	0.579
SLC15A2	-1.68966666666667
MREG	0.2615
OR9I1	0.0315
PDLIM2	-0.637285714285714
ADAM7	0.4005
GSTCD	-0.1825
WDR21A	-0.45025
SLC12A8	1.69966666666667
TMEM174	0.271
IGSF3	-2.64666666666667
LRRN1	-1.06925
LOC402117	-0.005
SRPK1	-0.879333333333333
LY6K	-1.61106666666667
NFIA	2.5475
PTCD3	-0.521875
LEP	0.1578
PCDH21	-0.7616
MAPKAPK2	0.8555
NMNAT1	0.3265
LHFPL2	-0.7185
C9orf43	0.485
DIP2A	-0.4365
ACTR8	0.597625
CCDC34	-0.38025
PTPN22	-2.59275
ITGA3	-0.23725
FAM129C	-0.56525
RABGGTA	0.9575
UNC45B	-0.14275
KIAA1033	-0.2945
ZNF510	0.588666666666667
CYP2D6	-0.798
SLC26A10	-2.397
STX8	0.0955
LUZP1	-0.43
WDR89	0.0773333333333333
EIF4G3	0.1149
C5AR1	0.205125
ZNF623	0.0695
A2M	-1.157
TGM7	0.473
GRPEL1	0.294166666666667
LMNB2	-1.7908
ROCK2	-0.252666666666667
SNX16	-0.307125
CCDC66	0.5345
ANXA3	-2.84375
KIAA1609	-0.374625
EED	-1.4325
RNF32	0.41
HES1	0.6473
CLC	0.5995
ISL1	-0.659833333333333
KIAA0528	0.596125
MANEA	0.524375
C1orf61	-1.7245
hCG_2001000	1.32
RAPGEF6	-0.7031
KIAA0020	-1.25466666666667
NEIL1	1.023
C16orf45	-2.7705
RBM10	-0.3335
C10orf125	-2.642
MRS2L	-0.633
DNAH17	-1.32425
C19orf10	0.02775
C1orf160	0.98175
SLFN12	-1.1325
EXOC3	0.601666666666667
HIST3H3	0.03675
NCOR2	-0.444666666666667
TNFRSF9	-0.741
MFSD8	0.816
ALX1	-3.662
NOL1	-1.196
PODN	0.527
TIAL1	-0.89925
HIST1H1E	1.0735
NPY6R	1.509
TM4SF4	-0.26725
CORO2A	-2.5875
ETNK2	-1.1785
APOE	0.3957
ANGPT4	1.324
HDGF2	0.013
G30	0.022
ST8SIA4	-0.953875
F2RL1	-3.004125
FAM19A4	-4.01375
CCAR1	-0.2205
B3GNT7	0.323
OPHN1	-0.4497
DSCR6	-1.988
C21orf13	2.05833333333333
GAS2L1	0.452166666666667
RFX3	-1.37883333333333
COPS4	0.461125
BCHE	-5.5215
BCL2	3.591125
HBZ	-2.73866666666667
ARL13B	-0.179
MAPBPIP	0.422125
MYO15B	-1.129125
SPZ1	1.04825
KIAA1324	3.78555555555555
PLCL2	-2.3265
C4orf29	-1.03475
WDFY2	-0.6755
ZNF284	0.0535
NAALADL1	-1.424
DUSP5	-0.0151666666666667
PXDN	0.744125
SLMO1	-0.18475
TNXB	0.7934
BIRC7	-0.42325
A4GALT	-0.1995
TIMM22	0.16825
FAM110C	2.20975
TOMM34	-0.11325
ABHD9	-0.187
ADAM32	1.9755
CRHBP	0.03
AQP2	0.725125
LOC130355	1.1585
ZNF187	0.741333333333333
ZNF816A	0.1015
F7	-0.774
CNOT1	-0.4987
SLC13A4	-1.00466666666667
ZBTB11	-0.36625
B3GALT5	0.4745
EXOC2	0.538166666666667
IRS1	-1.2293
TMEM1	0.209
MRPL34	0.376833333333333
SAMM50	-0.11925
CDC42EP3	-1.06725
HSF2	-0.5081
MFN2	0.02875
TSPAN7	-1.87566666666667
NUCB1	1.4405
RHOH	1.1815
ARL16	-0.0205
TACR1	1.15275
SFRS5	-1.38716666666667
SNX25	0.40775
RHBDF1	0.426333333333333
PCDH18	-0.608833333333333
HMG1L1	-0.15
MYO5C	1.68625
MAPK10	1.146
LDHAL6A	1.15666666666667
NUDT12	1.9815
NCAM1	-0.147875
GLIS2	1.124
GGTL4	-0.05675
DAPP1	-0.8995
ATF7	0.664625
KIAA0748	-1.4465
NFIL3	-2.734
TM6SF1	0.8914
SEZ6	-0.1145
NANOS3	1.48666666666667
DNAJA3	-0.585
CLDN6	-1.8
CIITA	1.5099
EPHA4	-1.37991666666667
FANCC	-0.71325
CMTM3	-1.8875
PSG3	-0.792142857142857
MRPL15	-1.0935
C21orf59	0.5115
PLCXD2	0.0785
C2orf34	-0.110625
UBE2L6	1.840625
MED14	-0.696166666666667
HP1BP3	-0.747
C6orf208	1.9435
TPBG	-1.2915
OSR2	0.5515
XPC	0.5815
KLHL7	-1.36075
CCR3	-0.3215
AGTPBP1	-0.163666666666667
PCSK6	1.40873333333333
STAT5A	-1.7934
FAM18B	0.42325
LONRF2	0.485
PTPN2	-0.637625
SF3A3	-0.4735
EFCBP2	0.21925
HCFC1	-0.902
AHNAK	0.7172
ACTR5	-0.59225
KIF14	-4.06628571428571
TENC1	1.95825
HEATR5B	1.9145
YIPF2	1.47633333333333
MYEOV2	1.338
DUSP18	0.991
KIAA1012	0.255
AHR	-1.75383333333333
C17orf53	-1.23333333333333
PTPRH	-2.382
ATP6V1C1	0.1363
TAS2R3	-1.648
LOC440356	-0.963
COQ10B	0.42825
PSMF1	0.59025
SORBS2	2.8535
NFE2L2	-0.44275
TMCO7	0.02475
SH3PXD2A	-2.156
SH2D2A	-2.83425
SPINK5	-3.79125
MRPS24	-0.5185
OPA3	1.12025
TRAF7	-0.138
C4orf35	-0.1156
MT1G	0.91525
MGC39545	1.13325
HS1BP3	0.6587
OR2B2	0.507
CHRM4	0.057
SFRP2	-2.10033333333333
RIC3	1.98775
ART1	-1.833
C6orf1	1.009625
DUS4L	-1.30575
C10orf104	0.661
TNFAIP6	-0.10925
RTEL1	-0.725
CCT4	-0.6871
ZNF709	-0.9805
CHMP6	0.269
UPP2	-0.62725
CYP19A1	-1.96825
CD151	0.476666666666667
NDUFA13	0.4585
ARFRP1	-1.29666666666667
FAM26B	0.229
CRYBA1	-0.257
MRPL41	0.7195
NPFFR2	-1.654
HRH2	0.188
SCAMP3	0.1575
MTMR6	0.9647
MTG1	-1.02183333333333
UBTD1	1.494
CRABP1	-3.1245
FLJ33790	1.8115
KIAA1908	-0.00616666666666669
GPR158	-3.115
PACSIN3	0.6775
OMD	0.1435
CATSPER1	-1.5495
HOXB8	-1.388875
FBXO46	0.7765
OAS1	2.18616666666667
SVIL	-2.53125
PHB2	-0.929
ADCY3	0.1845
NDRG2	0.955333333333333
ERMAP	0.4595
APBA2	-2.16033333333333
IGSF9	-0.10825
WNT6	-0.0494285714285714
MYCBPAP	3.2605
ATP2B2	0.3801
CPVL	-1.7341
TRAM2	-0.947
NOP5/NOP58	-0.405
ZNRF4	0.06925
TLK1	-0.0865
MTMR12	-0.454
ZNF384	-0.33
FAM9B	-1.9685
RPN1	0.2828
PMVK	1.653
EIF3D	0.1637
SIX2	1.70175
HPS1	0.892857142857143
RNF7	-0.04025
PSKH2	0.858
KCTD13	-0.4165
CSMD3	-0.335
FBF1	-0.661
IL8	-5.082625
SERPINB13	0.5933
FBXL20	-0.62975
BLR1	0.34625
SH2B1	-0.406
RFNG	1.2575
RAB20	0.3715
RBM7	-1.317
POLR1A	-0.0466666666666667
TMPRSS4	-2.9415
TAF9	-0.651
TERF2	0.358666666666667
TNFRSF1A	0.184166666666667
ACADVL	-0.0856666666666667
GTF2H5	0.91525
EDG8	-1.23466666666667
C9orf140	-1.298125
UST6	0.839666666666667
ZBTB8OS	-0.37925
ZNF710	0.141
GPR174	-2.11
ATP6V0A2	-1.732
KIAA0319L	1.14383333333333
XKRX	-2.473
DOPEY2	0.5489
SDHD	-0.844916666666667
SUMF1	1.99725
OSM	0.58675
OPN3	-3.02775
DAGLB	-0.2955
PPFIBP1	-0.292
TRIM63	-3.7955
C10orf53	0.963
LYPD3	-0.667833333333333
BCL7A	-0.198375
AGER	-1.12833333333333
TCF19	-1.79375
SAT2	1.18925
PFTK1	-0.136666666666667
GABRE	-3.597875
C15orf38	1.5836
FIS1	0.6885
KCNV2	-0.0845
CLPS	0.5195
PPCDC	-0.026375
FOXN2	-0.0235
NT5E	-3.9873
CD83	-0.60075
IL18	-0.957375
VPS16	-0.0365
IGFBP2	-1.037
NOTCH2	-0.60575
SIGLEC1	2.420875
CD93	3.7855
SULF2	-1.33475
CEP164	-0.157
P53AIP1	0.274166666666667
TOR2A	0.341833333333333
ZNF136	0.05
MGP	0.6018
CCDC144A	0.7475
TRPC1	-2.566
SMS	-1.39233333333333
MAPK7	-0.742
RRAGC	0.3605
PARD6A	2.4175
NUB1	0.919166666666667
SYNGR4	0.84125
OR11H12	0.358
WIF1	0.66325
GCH1	0.367
OR11H4	-0.429
SLC44A5	-0.948
GPRIN2	-0.963
LOC401431	0.515
CPA4	-2.74511111111111
MELK	-3.40533333333333
IL15RA	-0.6095
CUL3	0.9775
HMBOX1	0.4545
PODXL	-2.3815
CCT6B	2.7305
COMTD1	0.10925
MUC20	1.022
GPX2	-3.65675
ITK	-2.5515
FBXL5	1.778
C13orf27	-2.36925
DEFA5	-2.082
TRHDE	0.3565
MTP18	-0.170166666666667
UQCRQ	0.6759
ITGB2	0.824666666666667
CSRP2BP	0.755
TAS2R44	0.8165
PHPT1	0.765625
FAM44C	-0.233
ERH	0.03025
MPHOSPH1	-3.4945
MORC1	-0.1945
PARVB	0.39675
LAMA1	-2.63672727272727
PGBD3	0.21525
GIMAP6	3.237
AREG	-6.56233333333333
LIPT1	-0.28375
MGC99813	0.11175
C1orf201	0.3355
GRIN2A	-0.1215
MAN2C1	-0.150625
NSUN5	-0.8505
SF3B5	0.33425
MYC	-0.6585
NRXN1	-0.874909090909091
ZNF18	1.51225
SPDYA	-0.263857142857143
SLC37A1	0.8145
DECR2	1.069
ANKRD38	-0.55625
SPTLC3	-1.51125
SUPT16H	-0.3585
DTWD2	0.754
ULBP1	0.343
ZADH1	1.032
OIP5	-3.43475
IL10RB	0.131833333333333
OTUB2	0.096625
VWA3A	0.351166666666667
SPIC	0.329333333333333
OR6C4	0.022
PSCD4	0.514333333333333
DPY19L2P2	0.3335
TRAPPC6A	1.2135
C21orf2	0.4475
CEMP1	0.284
LIN7B	1.5345
E2F7	-3.214
VCP	0.239125
LAMA3	1.485
BGN	-0.10175
GPR160	0.6605
COCH	-5.359
GPR81	1.42116666666667
APOBEC3F	-2.55475
tcag7.1017	-0.73
C1orf32	0.7065
SCGB1D2	7.03725
FLJ43987	-0.4935
C6orf170	-0.422
KLK9	0.2745
GPD1L	0.806125
VPS37B	-0.6675
ATG3	-0.406166666666667
ADAMTS17	0.384
KLHDC2	0.7935
NDUFV2	0.71675
BLK	-2.4635
MATN4	-1.5835
GPM6A	0.17
GBP4	2.97083333333333
TMEM162	0.122333333333333
PKP2	0.9915
HRASLS	0.731222222222222
MMP1	-4.70225
SFXN3	0.0049
FSD1	-1.64466666666667
ST6GALNAC3	-1.8835
CA12	2.4875
NCOA6	-0.37625
C19orf58	-0.2859
PPP4R1	0.000166666666666667
MAN1A2	0.936833333333333
IKBKAP	-0.93
UPF1	0.2575
KIAA1219	0.08975
WNT16	0.8095
SNW1	0.066
IL18RAP	0.3425
RPP30	-0.88
CDC40	0.725571428571429
SETD3	0.750333333333333
SLAMF6	0.0365
ELK4	-1.8125
TRIM47	0.498833333333333
ACOX3	1.702625
TRIM6	-0.59225
KIAA0372	0.225333333333333
TP53AP1	1.365875
SMURF2	-0.5315
ADAD1	0.2725
EBP	-1.1475
KRTAP13-2	-0.707
FLJ36874	-1.92
TOR1A	-0.2185
P2RY4	1.65
GPBP1	-0.3275
TRPV1	-0.170625
ADAMTS12	-1.04633333333333
PES1	0.1413
ATG4A	0.784
MAGEA10	-4.60225
WFS1	2.04725
CC2D1B	-0.200166666666667
PABPN1	-0.198375
SLC25A30	0.23525
SLCO1C1	0.2534
SLC22A5	0.70225
KIF23	-3.41166666666667
SYN2	-0.6225
ASPN	3.20666666666667
CENTG2	0.38425
QSOX2	-1.4208
FLJ10815	0.497833333333333
STK24	0.88175
SPEG	-1.4232
STK10	-0.623333333333333
DACT2	-3.5945
AAAS	-1.09775
SSX3	-1.448
ABCD3	0.9161
C4orf12	0.756625
PARVG	0.126
FIG4	1.30625
C9orf46	0.91075
TMCO6	-0.462
IGHMBP2	0.204
DUS2L	-0.1425
FAM3C	-0.2458125
TMEM16D	-2.46285714285714
DCTN4	0.946
KCNH3	-0.347
EIF2AK2	2.0765
AP1S3	-0.632375
CST4	-0.2735
PAM	-2.05073333333333
NUTF2	-0.6305
CITED2	0.8742
SLC39A4	-1.26775
C2orf52	0.137
GRM3	-0.000999999999999964
C12orf49	0.683125
CCDC49	-0.4962
GRAMD1B	-0.612625
FNDC4	-1.051
SIAH2	2.359
GDPD4	0.135
C21orf87	1.0625
ATP5A1	0.1415
C16orf63	-0.775875
LOC388135	-0.0981666666666667
ATP5J2	-0.23375
MMP3	-3.5
EMID2	0.06025
CRHR1	0.35775
WDR70	-0.43475
C13orf31	1.894
ZFAND1	0.47625
CCL18	1.784
C3orf49	0.9375
RINT1	-0.868
KIAA0408	-2.369
F13A1	3.0885
SLC10A1	0.825
OGN	-2.52575
GIPC2	-2.065
XPO6	-0.662333333333333
LCE1A	0.049
FMR1	0.487
LOC374920	-0.27425
DUSP3	0.785125
ANKMY1	1.15725
C7orf50	-0.5335
BBS9	-0.6121
UNC119B	0.322
C9orf72	0.04525
MGC35440	-0.3075
ENTPD6	1.244
PPP1R2P9	0.02925
ERCC4	0.22225
FAHD2B	-0.3135
HMHA1	-0.264
HACL1	-0.468
RAD23A	0.601333333333333
FAM83B	-1.472
PPP5C	-0.850166666666667
RNASEH2C	0.315
C9orf153	-0.325
SCAMP4	1.05525
GHITM	1.1575
NDUFB7	0.300625
ADCYAP1	-0.5044
SP110	1.70866666666667
MAP3K7IP2	0.3655
DHH	0.547
AGRN	0.609
WDR33	0.228333333333333
CEP290	1.23416666666667
PRPS1L1	-2.18533333333333
KLRA1	-0.6705
GPR97	0.4525
CHD7	-2.18625
TLR10	1.13266666666667
SLC30A8	-0.6705
HIC1	-0.5875
IAPP	1.712
RXFP4	0.57
GP1BB	2.4225
SHQ1	-0.3145
NKX2-3	0.5605
API5	-0.25025
FTHP1	-0.421
MOV10L1	0.5195
TRIM6-TRIM34	3.03583333333333
ADHFE1	-0.30975
FAM117A	0.285
DDI1	0.461
CDON	0.897333333333333
TRIM73	-2.342
IGKC	-1.4915
MMP14	-1.64558333333333
DYNC1LI1	1.42675
C11orf66	0.74775
TRBV3-1	-2.06766666666667
FASTKD5	-0.524
BIVM	-0.5515
LHX4	0.4555
CXCL2	-2.4149
RAB2B	-0.564833333333333
IZUMO1	-0.4835
MAP3K15	-1.362375
FAM19A2	0.738666666666667
ZC3H8	-0.678
ZMAT1	0.972
SPINK5L3	-1.62233333333333
SLC10A6	1.426
APPL2	-0.43825
CARD10	0.338
LOC402176	-0.034125
EEF1D	0.61
RAB6A	0.3305
C12orf5	-1.26325
PAPOLG	-0.354
MSRB2	1.14275
BCR	1.27772222222222
PUS3	0.64225
TIAM2	-2.00275
ZNF317	-0.134833333333333
CHD2	-0.324153846153846
FZD5	-1.48322727272727
NUDT8	-1.69475
ZNF763	-0.613
PRC1	-2.62944444444444
ABCB9	0.854
SPATA3	1.26675
TRAK2	0.05375
STAB1	2.628625
LRRTM2	-0.9928
psiTPTE22	2.23275
DBI	0.6745
SERPINA11	-1.63925
NAT5	0.06375
C20orf58	-1.95175
RPS6KA4	-0.191833333333333
FLJ90650	-0.5645
TGFBRAP1	0.5535
CHRDL2	-1.75828571428571
FAHD2A	-0.135166666666667
CNTN1	-0.302
BBS4	0.6006
TMEM181	1.8035
MINPP1	-0.86825
MPHOSPH6	0.599333333333333
HOXC10	0.2526
ITPKB	-0.467625
CLPTM1L	0.720625
MEOX2	-1.528
ATP6V0C	1.1525
PRPF8	-0.2635
TMC5	3.678
FKBP3	-0.11075
PLEKHB2	0.49075
OR4D6	0.0745
ZNF544	-0.3431
D2HGDH	0.2135
RPL18A	-0.1474
HEL308	-0.190625
MPP6	-4.738
TCERG1	-2.025
KRT16	-1.12983333333333
KLF17	-1.7835
KLF5	-2.593875
CDR1	0.188625
VCX3A	-4.3325
FBLN2	-1.727625
C14orf104	-0.072
HBE1	-4.7638
OR4S2	0.307
C1orf108	-0.4055
ROBO4	3.0245
CPEB4	0.973
C11orf80	-2.3048
BCKDHA	1.88566666666667
MYOC	0.62
GIF	-0.0235
CKMT1A	2.379
RPL3	1.0604
THBS1	2.84
APOO	0.125
ARMCX1	-2.4025
HSZFP36	-0.3615
SNAPC5	-0.2375
EIF4ENIF1	0.558
ZNF433	0.3145
TNFRSF21	-0.451
TMPRSS7	2.237
SPATA18	3.3588
HPDL	-3.5235
MKL2	0.212
TBX3	2.62415384615385
C21orf93	1.1364
DAXX	1.62025
ELMO1	0.880375
RGS13	0.869166666666667
TAF11	-0.516
UNC13A	-2.50471428571429
LOC653314	0.3547
ORC3L	-0.198
IMAA	-3.9865
TARBP2	-0.298
CABIN1	0.1086
TRIOBP	-0.033625
HIST1H2AC	2.90525
RGS22	4.30916666666667
NCOA1	1.6665
IL25	0.146
SNCG	0.1255
GPR6	0.5225
AMDHD1	-0.688333333333333
CHEK2	-1.5605
C6orf142	-1.3595
DRD4	1.306
C14orf68	-1.19
GDF11	-2.40725
SEMG2	0.4045
CD247	-3.45875
CDAN1	0.42825
RBMX2	-0.530833333333333
TGS1	-1.36625
OIT3	-0.539
SYF2	0.09375
MCM4	-2.87775
PKHD1L1	-0.030125
CEP192	-1.28833333333333
IFT88	1.91
RPL9	0.558857142857143
RAB32	-0.863
DDX43	-3.33425
P2RX2	0.482
OR5D18	0.489
UBE1	-0.0743333333333333
SLC24A1	0.601375
ARHGAP5	0.733
CETP	-0.74075
KIAA1731	-0.5665
SLC9A4	-0.8
PTPN6	0.93775
BAHD1	-0.12375
GRIK3	1.406
CACNB2	1.7055
PDE10A	-3.00675
DGCR14	0.086
PCDHB9	-2.14683333333333
RHOQ	-0.547166666666667
MAP3K4	-0.93475
KTI12	-0.331666666666667
RPL23AP13	-2.387
GNG11	-0.72
CLCN3	1.38066666666667
GPAM	-1.1325
VSTM2A	0.8065
SLAMF7	0.704166666666667
INTS2	-1.17825
PPP2CA	-0.4553
LRP12	-0.1438
SEC14L2	-0.130222222222222
DKFZP586H2123	1.34525
MC3R	-1.921
CIRH1A	-1.44966666666667
HIST1H2AB	1.67733333333333
POLH	-0.441875
MGC16703	-0.0333333333333333
SNAPC2	1.045
FILIP1L	0.93025
RASGRP4	0.471
LRRC1	1.507
GAS1	-3.3905
PRAC	-0.9735
DGKA	-0.1625
NT5C3	-0.52475
PEG3	-3.9415
NADK	0.50975
PRR17	0.7675
LOC374569	-1.32225
SGSH	1.15433333333333
NLRP8	0.2315
GALT	-1.7796
MCF2	-0.0965
ZNF263	0.50225
TACSTD1	1.911
TYR	-6.1197
ATP6AP2	0.53075
RNUXA	-0.32625
ABHD10	0.94
GDPD2	-2.03
SLC35C1	-0.80775
UBE2A	0.651875
HERC5	0.754666666666667
FAM112B	-4.20466666666667
FBXL16	1.74075
DKFZP434A0131	-0.63925
ELA3A	-1.91
RBM41	-0.928375
HAO2	-0.15775
RNH1	0.2305
SHANK2	1.5335
OSBP2	-0.355
DAK	1.16333333333333
C3orf58	-0.911454545454545
TCL1B	-1.8945
KBTBD2	-0.93825
SUGT1L1	1.20275
UBE2E2	-0.611166666666667
MYL9	0.84725
CDC23	-1.18716666666667
PBXIP1	1.5559
CXorf40B	-0.144
NBL1	3.11575
RTBDN	0.6545
RAB11FIP5	1.37875
TTTY13	0.701
SCOTIN	0.4865
SOHLH1	-0.4234
CDKN1A	1.30985714285714
NCK1	-0.1835
ZNF550	-0.16425
SAPS3	0.422666666666667
SPIN3	0.0933333333333334
MAGEE2	-0.72425
MIS12	-1.10216666666667
OR8H2	0.041
KIAA0774	-0.409333333333333
UNC5D	-2.0355
CUL7	0.491666666666667
LIPC	-3.98083333333333
DIO1	2.95025
C20orf11	-0.3438
CTRL	-1.0995
HS3ST2	0.1
PAK4	0.723833333333333
CCRL1	1.52375
RNF10	0.5055
ZNF567	-0.18525
ZNF660	-0.7015
TCEAL3	1.64125
MAGOH	-1.96466666666667
CENPB	0.421333333333333
C19orf7	0.43325
LOC388965	0.478
ZCCHC13	1.95
JMJD1A	-1.2794
HIST1H4H	2.492
TBRG1	-0.4171
GPC3	-3.29075
TAF1C	-0.877375
EBNA1BP2	-0.6535
CIAPIN1	-0.4885
PDGFRA	-3.01344444444444
CSTB	-0.606875
CENPI	-2.19116666666667
GTF2E2	-1.18533333333333
RPP21	-0.217
CCNF	-0.809166666666667
KCNQ3	0.371
FAM79A	1.48
SLC22A12	0.873
NOVA1	-0.123666666666667
FZD3	1.1208
AKAP8	-1.422
SOCS5	0.027
CFDP1	-1.0185
DLG5	1.3415
PGM5	-0.420916666666667
C1orf144	0.230416666666667
HDAC10	-0.878
RND2	-0.4425
C20orf199	-0.834
RNMT	-0.705375
SLURP1	1.1355
ASTN1	-0.773375
SH3BGR	2.13
MYCL1	-1.363625
ZHX1	1.14116666666667
CENPK	-3.96375
FOSB	-0.6165
LOC643406	-0.719375
C2orf59	-1.251875
TMEM135	-0.548125
SLC27A2	2.15125
KRT33A	1.1125
OVOL1	-0.203375
PAMCI	-4.6126
S100A7	-2.179
ZNF789	-2.1305
HARS2	-0.19175
RPL23A	0.269333333333333
TCF23	1.49275
UPF3B	-1.45675
C17orf78	0.296
HLA-DOB	0.395
C14orf142	0.410166666666667
TEKT5	0.126833333333333
DMWD	0.43
POLD1	-1.97933333333333
GSCL	0.1685
CALD1	-2.8334
SCRT1	1.22283333333333
AIG1	1.91325
UNC84B	0.06675
ZNF404	-0.74
TMED6	-3.8025
KIAA1462	0.374
LRRC27	1.87283333333333
PYGO1	0.932
PIGU	-0.981666666666667
ALAS2	-3.75583333333333
WRNIP1	0.34025
CNNM3	1.0335
ZNF2	0.326
ST3GAL5	-0.914583333333333
MRPL23	-0.2465
TSSK6	-0.07325
PSMA6	-0.20625
C16orf70	0.3635
KIAA1602	-0.194
ALMS1	-0.299333333333333
DCN	-1.4175
TMEM132D	-0.15925
SUCLG2	-0.19275
ABHD14A	2.04925
DEXI	0.309666666666667
AMPD2	-0.7545
IFNAR2	-0.280666666666667
CYB5A	2.5173
TLOC1	1.2289
NXF5	-0.949833333333333
NRBF2	-0.588125
KCTD3	2.13025
ITGAE	-1.14483333333333
SLC30A3	-2.22633333333333
ZRF1	-1.683
IFRD2	-0.225875
XAB1	-0.18825
PYCR2	0.005
SERPINB3	-2.7055
TMLHE	1.0733
GEFT	-2.08257142857143
ABCA5	0.716875
EMR4	-0.250333333333333
TSFM	-0.12875
HIST3H2BB	0.821
ARHGEF19	-1.273
TSPAN17	0.274333333333333
ABCC8	0.89825
MAP1S	0.0993333333333333
C22orf36	-0.16975
BNC2	-2.27607142857143
HIST1H4A	-1.012
NDUFS3	-0.0185
WDR3	-0.671
XKR4	-1.2125
TTC33	-0.257071428571429
STMN2	1.42825
CPN2	-0.603
HSPC105	2.027375
PCOLCE2	-5.1175
C3orf55	-1.46
KLHDC9	3.10516666666667
TBC1D23	0.2885
ATXN2L	-1.389
MAP2K3	0.417083333333333
SCAP	0.491
ZNF486	0.411833333333333
C20orf96	2.72675
NARS	-0.1785
ADAMTSL1	-1.3355
PRCC	-0.0851666666666667
CCDC126	1.76808333333333
ZNF675	-0.229
CALCOCO1	0.71575
ANKRD43	-2.609
CWF19L2	-0.257833333333333
ZBTB32	-0.5624
BRAF	0.13725
ODF4	0.4705
MGC14376	0.299833333333333
HORMAD1	-3.14875
AAK1	-0.307416666666667
PEBP1	2.23166666666667
TNFSF5IP1	-0.0283333333333333
DKFZp564N2472	0.50275
RMND1	-0.159125
IGKV1-5	0.62325
COL1A2	0.02625
SERPINA5	-1.076125
AANAT	0.5335
C19orf21	1.4995
GEMIN5	-0.3
UBR4	-0.0346
LTBP3	1.85233333333333
AMHR2	-1.49233333333333
PROCR	-1.71775
MYBBP1A	-0.57225
C20orf39	-2.52516666666667
ZNF697	-0.629625
PASK	-1.1087
ZNF776	1.3755
RFXDC2	-0.351125
KIAA0467	-0.0765
C10orf96	-1.817
ZNF503	0.294
GULP1	-1.41933333333333
KCNE4	6.32833333333333
DKFZp434K191	-1.241
LOC196913	0.134
BHLHB4	2.352
CH25H	-0.4645
LOC81691	-0.944
ALPL	-0.227142857142857
COL12A1	-0.573875
FOLR3	-1.94066666666667
GPR123	-0.168714285714286
TRIM62	0.147
ABLIM1	1.299
MAST3	-0.54875
RHBDD1	0.307833333333333
LOC338809	-0.429
RYBP	0.94475
TTC26	-0.091375
ZNF22	-0.573
ISCA2	0.07075
RDM1	-2.17125
PIGM	0.2885
GNB3	-0.954
ACTR2	0.1792
HMGB1	-0.2134
EDG1	1.37633333333333
SOAT2	-3.76525
OR10AD1	0.4405
RAP1GDS1	2.53566666666667
LCE1F	0.897
ESM1	-0.455875
RCN3	0.10325
CREBL1	-0.602
DBNL	0.2015
PTGER3	-0.266142857142857
USP30	-0.3155
BCL2L12	-1.07466666666667
KIF26B	0.66325
ZNF416	1.13725
ZNF225	0.2065
C17orf70	0.4705
ZNF554	1.22425
RAE1	-1.57983333333333
TNIK	-1.27483333333333
ACTN3	-0.1095
MGC45922	1.694
CCNA1	-3.10566666666667
RYK	0.1105
IL26	1.399
LRP3	1.84433333333333
QARS	0.117
SOX7	-0.690785714285714
BID	-1.037875
OR2S2	0.9715
CXCL14	3.726
C11orf47	-0.602
MGC29891	-0.0503333333333333
HSPB8	4.3059
PRDM14	-1.1965
NUFIP2	0.2145
MNAT1	-0.830375
ZDHHC2	2.041
MBNL2	0.588375
ADD3	-1.7635
CSNK2A1P	-1.33475
KLK6	-1.9025
TMEM111	0.5756
KIAA1279	0.97025
NUBP2	0.835166666666667
RAB42	-1.5415
ID3	-1.4955
TM9SF1	0.382
MDP-1	0.0995
POU4F2	0.94225
IQCK	0.88525
C16orf14	0.26675
CAPN3	-2.63475
FAM43B	-0.37075
RECQL	-1.56825
AP1G1	0.276214285714286
CTNNBL1	-1.16933333333333
ECHDC1	0.0151666666666667
SMARCC1	0.2479
FOXQ1	-1.753
GNAI3	0.00550000000000001
POLG2	-2.04075
CD4	1.1915
ITLN1	-0.73875
EBI2	-0.2185
IRF1	-0.1045
PTPRE	1.6057
PTK2B	-0.16925
NXNL2	-0.707
SOX4	-1.74894444444444
TSPAN3	0.882166666666667
SH2D1A	-4.0554
C8orf58	-1.11166666666667
USP20	-0.2915
DUSP22	-0.137416666666667
CALB1	-1.97133333333333
L3MBTL2	1.35591666666667
MCRS1	-0.30425
TMEM118	-1.17466666666667
C18orf8	0.991666666666667
FLJ10241	0.305375
GJA12	-0.0025
PKD1	-0.421666666666667
ZFP3	-1.3655
JAM3	-1.58375
LAPTM4A	1.2528
DIRC2	0.9765
KIAA2022	2.7625
