Hybridization REF	TCGA-BH-A0AU-11A-11R-A12P-07
OR51B4	-0.629
SCGB1A1	0.172166666666667
NEUROD2	0.5225
tAKR	-0.26225
C1orf26	0.74825
RICH2	0.5735
TEDDM1	-0.02375
CYP2S1	-0.283
TBCE	-1.00733333333333
MAPK1	-1.454125
HDHD1A	-0.23125
MRM1	-0.58975
ATP9A	-0.316142857142857
HSD17B3	0.671833333333333
HN1L	-0.00108333333333336
RNF216	-0.674375
HOXD12	0.458
PPP1R14B	-1.480625
SBF1	-0.80625
TAS2R42	-0.785
USP46	-0.49
LILRB3	1.0635
SPI1	0.05175
OXSM	-0.24275
GYS2	0.392333333333333
NUPL2	-0.916
C8orf46	-0.81975
SF3A1	0.0162
C21orf99	0.241
HOXB4	0.3413
YRDC	-0.70175
GPRC5D	0.493
BLVRA	0.129875
KIF12	2.9595
LRRC23	0.04575
FAM14A	1.01166666666667
RASL12	0.934375
DAZAP2	1.1655
IKBKB	0.393928571428571
ZNF271	0.775666666666667
BOK	0.749
CXorf6	-1.25675
MYEOV	1.8795
BTN2A2	-0.7678
FRG1	0.18875
HSP90AB6P	-1.06275
ENOX1	-0.793
ZNF706	-0.0079999999999999
DOK1	0.1101
PGAP1	-0.387875
TMEM136	-0.57025
FSCN1	-1.89925
KIF17	0.103
TRIM66	-0.0055
CBR3	1.14866666666667
C13orf24	0.571
C19orf52	-0.866
BNIP1	-0.19075
AQP3	0.6105
KRT6C	-0.558666666666667
SIRPA	1.10458333333333
IGFBP6	0.374833333333333
PLEKHK1	-2.1915
RNASE7	0.7285
ARHGEF15	0.764
NPHS2	1.40075
SRD5A1	-1.08975
REXO4	-0.86
EEF1DP3	0.9565
SLC37A2	-0.69125
ZNF142	0.18575
ANKHD1	-1.0575
MUT	0.624
VPS37A	-0.50575
GPRIN1	-1.84925
SLC38A3	-0.909375
BAZ2B	1.6395
WDR87	1.1655
BRD7	-0.3085
POU6F2	-0.257
NISCH	1.638375
TCEB1	-0.7435
LINGO2	-2.57125
TAX1BP3	-0.8665
RPL34	1.46755555555556
MARK2	0.0795
AKAP12	-1.1203
AMBN	0.0195
SLC25A27	1.3235
FLJ21865	0.484125
KIR2DS2	0.452166666666667
WDR77	-1.43775
ATF2	-0.226583333333333
ITFG3	-0.542166666666667
SLC39A13	0.3775
ARL6IP5	1.364
C10orf137	-0.452125
QTRT1	0.0548333333333333
CCNT1	-0.558
DYNLL1	-0.1229
WDR53	-0.242
LIPG	-1.00716666666667
ASAH3	0.179
HELB	-1.2235
PHACTR2	0.227375
VENTX	-0.12375
LAD1	0.709666666666667
PAOX	1.29825
MAPK8	-0.00849999999999999
CCDC38	0.98825
DNAJC8	-0.1117
RBBP8	0.31075
WNT11	0.672
KCNJ12	-0.312333333333333
HDAC8	-0.7535
STARD4	-3.19775
ACVR1	0.5945
C14orf65	-0.2545
KLB	-1.025
C1orf65	-0.05125
ZFYVE28	0.893625
NSUN6	0.41275
KIF27	0.227
SYTL2	-1.10883333333333
UBXD2	-0.2746
OR6T1	0.445
CCDC91	0.732285714285714
GRID2	0.139
CALN1	0.1225
ZNF423	-0.038
PSMB4	-0.794833333333333
XPNPEP3	-0.416
ARPP-21	-3.715625
SART1	-0.366
RACGAP1P	-2.8015
SPTA1	-4.63925
C6orf113	-0.429833333333333
C7orf16	-1.85025
CHST7	-0.397166666666667
C21orf29	-0.126833333333333
SEMA6D	0.742625
PCMTD1	1.6325
KIAA1754	-0.943166666666667
MYCN	-0.643125
KCNJ3	0.09625
MAPK13	1.516
ERO1LB	0.19175
NTF3	0.731833333333333
NKX6-2	-0.35525
GTF2B	0.35325
GSPT1	-1.723
GUSB	0.114166666666667
LOC221091	-0.2605
LIG1	-0.87075
EXTL3	-0.565833333333333
NID2	-3.30275
TTC29	-0.64675
TMEM97	-1.9705
EXTL2	-0.626166666666667
SUZ12	-0.636125
IL1F8	0.41
KRT18	-1.32054545454545
MRPS16	-1.10141666666667
PI4K2B	-0.3395
LACRT	4.655
OR51F2	0.4165
JMJD2C	0.183875
KGFLP1	2.2125
CDK5RAP3	-0.0365
YTHDF2	0.145333333333333
GGCX	-0.016
ARPC4	-0.10025
EGLN2	0.4015
KBTBD4	0.0294285714285714
ROBO3	1.0042
DEFB118	1.0985
KIAA1543	1.202
RTCD1	-0.502333333333333
MZF1	0.5075
C18orf26	-2.9115
CNIH4	-0.961166666666667
ZFP2	2.81316666666667
HTATSF1	0.52025
WFDC2	2.805375
NDUFA7	-0.4675
TTC22	0.666666666666667
FAM40B	-3.4235
DCPS	-1.4015
SH2D1B	-1.4285
MRGPRE	0.354
SBK1	-0.23675
UNQ6411	0.1365
OSBPL9	-0.3585
NUP107	-0.89825
MYOZ3	0.1513
PDE4B	0.5055
FAM113A	-0.156
IDH3G	0.0381666666666667
FBXL7	-0.02225
ARFGAP3	0.204
MAPRE2	-0.992230769230769
IL1RN	-0.4047
KIF13A	-1.159
RAC3	-1.01
TCTE1	0.1195
TMEM14B	-0.639
ADIPOR1	-0.443833333333333
GRINA	0.378
CLIP4	1.86925
LRIT2	0.3415
TFPI	-1.57592857142857
FABP6	-1.47025
SLITRK2	-0.1397
HKR1	0.74475
SMTN	-0.41
C1orf75	-1.2025
CD209	0.30125
CYB5R2	2.00625
DNTTIP2	0.00383333333333334
CSGlcA-T	-0.241875
GABRB3	-1.9865
PCBD1	0.0866666666666667
TAF3	0.474083333333333
HOXD3	0.745166666666667
GIPC3	-0.298833333333333
P11	0.9493
BFSP1	-0.18525
LCP2	-0.592
TAS2R8	0.017
SEZ6L	-0.337625
NR2C1	-0.9305
EXDL2	0.2526
TNFRSF13B	-1.61033333333333
MKI67	-5.051
GLS	-0.113833333333333
C7orf54	-0.1308
LGALS13	0.438333333333333
IL4R	1.0435
SEC11A	-0.150666666666667
SPP2	0.314
C18orf32	0.57975
CLSPN	-2.8785
SPAG1	-1.248125
C9orf82	-0.41475
TM4SF1	0.512666666666667
EMILIN2	0.71225
SMG7	-0.344833333333333
TAS2R13	0.5785
ZNF628	-0.2285
DZIP1L	0.194166666666667
ANKRD13A	-0.2165
VASP	-0.515625
ZCCHC11	-0.329875
SYPL1	0.24625
MGC34774	0.6735
C4orf28	0.46175
KIAA1211	-0.889583333333333
RPS27L	0.52725
TATDN3	-0.85975
PDCD1	-0.2295
OR5P2	0.501
IFIT1L	0.2565
MIPOL1	-0.46025
OR51D1	0.23425
C1orf92	-0.39
LAMP2	0.6035
CAT	1.20933333333333
C16orf80	-0.19425
C15orf32	0.13
ZNF746	-0.26975
C1orf76	-1.5715
ATXN1	0.0575
LAMC2	2.327125
SLC2A7	0.6
CPOX	-1.913
APH1B	0.496166666666667
LOC442245	0.38775
CTNND1	1.16066666666667
GABRG2	-1.21875
MADCAM1	0.570833333333333
F5	-3.3895
SEMA4F	-0.383333333333333
NUDCD3	-0.0465
PDZD11	-0.639
TRIML1	-1.412
GCNT3	-2.9845
TMEM120A	0.32375
CNDP1	0.7635
N4BP1	-0.211125
SLC35F2	-1.560375
LCP1	-1.36883333333333
IGBP1	0.4006
DCAKD	1.16225
ELA2A	-0.13
C12orf56	-2.070125
PITRM1	0.00721428571428571
GUK1	-0.335666666666667
RASSF8	-1.3986875
OR2A14	0.15125
ADM	-1.23755555555556
FGD3	0.0915
GHRHR	-0.560333333333333
RHPN2	0.2575
C4orf39	1.8115
VPS72	-0.77125
SERF2	0.301
CD22	-0.332333333333333
CD47	0.6271
PPIC	-0.0715
IMPDH1	-1.11425
ACP6	0.0735
PRKACA	0.045375
PPP1R1A	2.274
TRPV3	-0.0812500000000001
ASXL1	-0.397125
C17orf55	-0.699
FXYD1	1.56566666666667
LMOD2	0.088
ANKRD33	0.157
LCE2C	0.2765
ZNF620	-0.4745
DKFZP566E164	-0.39625
VSIG2	2.712
KIAA1128	1.7275
USO1	0.287333333333333
NUDT4	-0.3
CLDN1	-1.214
OR4Q3	0.1395
FASTK	-0.585666666666667
ICOS	1.01916666666667
LDB1	0.55275
GSTA5	0.2885
ABCC1	-2.58666666666667
FAM54A	-5.044
PCBP2	-0.196666666666667
NUP205	-1.512
ACTA1	-1.56033333333333
GABBR2	-1.196
PIP5K1B	0.503833333333333
AGXT	-1.90983333333333
RNF181	-0.5335
ATP8A2	-0.87925
AFTPH	1.156
FGF21	0.06125
FCER1G	1.239
SNTB1	-0.384
SLC24A3	0.859625
TXNL4B	-0.6064
RPL10L	0.649
LOC389517	-0.0275
TSGA13	0.4735
SHOX2	-1.21666666666667
ITGA7	0.5814
KCNIP2	0.453833333333333
KLF13	-0.1572
ZFAND2A	-0.70475
CEACAM1	0.943071428571429
PFKFB4	-2.1895
MED19	0.4865
LRRC57	0.245666666666667
RNF11	0.687
ANKRD32	-2.5885
P117	0.13425
OBFC2A	-0.523166666666667
POLD3	-1.24308333333333
RAB18	1.104
TPH2	0.6674
PHB	-0.1494
JDP2	1.13583333333333
MORF4L1	-0.2303
POU2F1	-0.92
CNNM2	-1.108
LOXHD1	0.0498333333333333
ZC3H15	-0.73375
ELK3	-0.5355
FAM111B	-4.543
CBLC	2.12383333333333
SBNO1	-0.241
ANKMY2	-0.09775
PLEKHA5	0.026
DHX58	1.477
ARCN1	-0.600666666666667
TREML1	0.5684
KNCN	0.1365
SEC24A	-1.052375
PSCA	-0.2255
MGC24125	0.0345
DNA2L	-3.2405
CIB4	0.309625
HIGD2A	-0.702833333333333
TBX6	0.378166666666667
TTLL5	-0.339833333333333
SGK3	1.671
GCN1L1	-0.36325
AMOT	1.1396
LDOC1	0.0883333333333333
NRK	-0.594333333333333
ASB9	-2.16875
NAT1	1.5208
TRAFD1	-0.5625
PEAR1	0.850666666666667
FAM36A	-0.004125
OR1S2	-0.133666666666667
LOC388323	-1.2325
PGS1	-0.801833333333333
LEPREL1	-1.63575
TFF1	-2.5235
HAP1	0.23025
EPHB2	-1.45875
ACTG1	0.0463333333333333
ZFP42	-1.5266
HAVCR2	-0.644
NME1	-1.08
SNX26	0.767916666666667
LACTB	-0.791
ZKSCAN2	-0.557125
C5orf35	0.56425
ANKS3	0.09725
RBM28	-1.34125
DKFZP586P0123	-0.98975
HNRNPA1	-0.0456666666666667
BCAS3	-1.10275
FLJ20184	-0.1455
POLA2	-1.48183333333333
TMC7	-1.2115
HSD17B6	-2.014
ZNF658B	1.14266666666667
TTTY10	-0.02
RANBP9	-0.960166666666667
CPNE7	-1.7185
EVL	0.391
LNX1	0.434916666666667
IFNA21	0.2934
CFD	3.808
PYCARD	0.368
MYBPC2	-0.3055
ENPP3	-1.82866666666667
ACSL4	-1.45175
LOC440258	0.156
TMEM176B	3.05133333333333
SOX2	-4.505625
SCO1	-0.4015
COMT	0.403
AOC2	-0.289
PDLIM5	1.19735714285714
SPHK2	0.259333333333333
NXPH2	-0.068
GPR108	0.578333333333333
RAD51L1	0.0716666666666667
TMEM54	0.08925
LETMD1	0.735111111111111
SLC6A17	0.225
KRT75	-0.028
STT3B	-1.50633333333333
CD3EAP	-1.00316666666667
TMEM63A	0.79875
DUSP13	-2.49925
CD1C	-0.367666666666667
LASS2	-0.581666666666667
AVP	1.4655
PITPNM1	-1.160125
FLJ22795	-0.2985
MCTP1	-1.7975
TRIM68	1.01983333333333
UCK2	-1.26316666666667
ABHD1	0.669
FAM50A	-0.8645
RNASEH1	-1.53533333333333
PCP2	1.40916666666667
OR52H1	0.289
C20orf149	-0.1035
RBP5	-0.681833333333333
HYAL3	-1.04375
CLPB	-1.676
SMNDC1	-0.22175
DONSON	-3.13333333333333
FLJ27523	0.68625
BARHL2	0.0306666666666667
SLC30A9	0.370833333333333
TMPRSS11B	-0.155
E2F8	-2.99933333333333
CCDC25	-0.00525000000000001
C14orf48	0.0102
C20orf116	0.123125
TSPAN11	0.7065
YIF1B	-1.22316666666667
FAM12B	0.73525
OR1L6	-0.0525
HPN	0.5874
NBN	0.262375
C14orf94	0.153333333333333
OCLM	0.653
ZSCAN18	1.1878
L3MBTL	-0.2252
TSTA3	-0.408833333333333
RAC1	0.33775
C19orf15	0.3575
NFE2	-4.2515
KLK14	0.439
ARSF	0.099
MAST2	-0.201
AMICA1	2.00733333333333
GTF2A1	-0.51825
ATP1A3	0.0885
TC2N	2.8369
PNKP	0.05575
ODZ2	2.20425
MATR3	0.11175
S100P	-4.178
KRT82	-0.816
CA13	0.3999
PROZ	-1.58883333333333
AASDH	0.192125
C19orf40	-1.19783333333333
DCK	-0.663230769230769
FAM5C	-0.8335
SLC6A4	-1.5115
MID1IP1	-1.109875
TESSP5	0.573
TMOD4	0.167666666666667
DOCK2	-1.111
TUG1	-0.197
NUP214	-0.49725
DPYSL2	0.420590909090909
GOLM1	0.554083333333333
MPFL	0.46575
SOX13	0.2845
SDCCAG8	0.7062
KEL	-2.0035
NUP210L	-2.18375
GK	-1.74975
DNAJB1	0.577
ALPK3	0.2
CHID1	0.6997
CYLC2	0.422166666666667
IKZF5	0.29125
C8orf51	-0.650333333333333
PPM1J	0.352
GIMAP8	3.58766666666667
GPR101	0
NR2F1	0.9055
ACAD8	0.421
RBM35A	0.0855
GNAI2	-0.594833333333333
METTL8	-1.32616666666667
SLC39A7	-1.81675
FBXO8	0.69375
CAMK1	-0.37275
RFC3	-1.177125
FAM129A	1.30271428571429
ILF2	-1.2015
FGFBP3	-0.095125
NOM1	-1.37233333333333
PSMA3	-0.78825
ASCC3	-0.6492
ZYG11A	-2.51525
SOX21	-1.316875
LYRM1	0.4155
DEFB1	3.179
LOC91431	-2.17866666666667
OR7C2	0.609
FAM46B	1.26925
TMEM18	0.7555
ARHGAP30	0.770166666666667
TMEM86A	1.301
EPHA2	0.0898333333333333
C10orf46	0.54815
TCHH	-1.27916666666667
C3orf30	-0.177833333333333
LOC285636	-0.234166666666667
PAIP2	0.45125
CYP2U1	0.4125
C12orf34	0.2825
SARS2	-0.408
ZCWPW1	1.56175
SAMD12	0.999125
KIAA1430	0.099125
ACAT1	-0.90475
MEOX1	2.963
ADAMDEC1	0.3265
PHKA2	0.04125
CARD11	-0.6065
CALML4	-0.78
TSSC1	-0.92675
TMEM45A	-1.48977777777778
MPP7	0.981125
POU1F1	-0.14625
SLC2A13	-1.4524
FBN2	-1.394
ZC3H7A	0.1902
LAIR2	-1.7855
ST3GAL1	-0.515333333333333
LCT	-0.4875
GEMIN8	0.433833333333333
KLF16	0.8455
HIF3A	0.7916
FAM44A	-0.4345
AQP10	-1.1305
PLA2G2A	-1.347
FOLH1	3.24466666666667
C20orf186	0.2125
MAPKAP1	-0.3505
SPRR2D	-0.7475
UBQLN4	-1.527
RSHL1	0.26
PIAS3	0.21325
MRPL24	-0.2035
GREB1	-0.902125
FAM27E3	-0.8345
NUP62CL	-1.0375
NEUROG3	1.9275
REEP3	0.617333333333333
MARK1	0.57
LMBRD1	1.70375
PRPF19	-0.9275
PNMT	-0.203666666666667
CTGLF1	0.1205
SLC25A16	-0.63875
EIF2B3	-1.337
RPA2	-0.116
PAK6	1.00883333333333
CCDC26	-3.67925
SEMA3E	2.8985
MXD4	0.7429
TNFSF10	4.1702
SMARCB1	-0.556166666666667
DTX3L	-0.183333333333333
PLA2G4E	0.4815
PPAP2A	1.55725
ULK1	-0.13825
TAS1R3	0.05
SLC2A3	-3.60072727272727
ARID3A	-2.3465
GNG5	-1.07375
ACOX1	-0.3591
KIF5B	-1.0525
NUP153	-1.17975
MUC7	-0.459
CSDE1	-0.2565
CLPTM1	-0.1555
C3orf23	-0.6905
LRRC17	-0.551166666666667
TTYH3	-1.559625
ATP5B	-1.1635
ELF3	1.3284
CPSF3L	-0.2395
ZNF665	0.4965
TLR6	0.2418
GPI	-1.842875
RAD9A	-0.060625
NDST4	-3.128
AGPAT3	-0.5285
MAGI3	0.186666666666667
ADORA2A	-0.497125
CACNG7	0.255
CAMK2D	-0.466071428571429
CCHCR1	-0.53275
RPS27A	1.0965
OR10G7	0.378666666666667
GCM2	0.7205
FAM135B	0.962
E2F1	-1.615
PLCB3	-0.94775
OR2AE1	0.159
COIL	-0.0965
CDC25C	-4.14416666666667
RAB11FIP2	0.44375
TSC2	0.798
CTGLF5	-0.7535
CCDC108	0.6391
OR13C4	-0.03575
C10orf81	5.275
PTPRB	1.488
ACP2	-0.36525
LAG3	-0.2725
MRPL54	-0.00325
LOC201175	1.623
ITGB1BP3	-1.4675
SPTAN1	-0.127
SIPA1L2	-0.96225
RCAN2	-1.389
CDX2	-0.0585
ECOP	-1.00425
ACTR1A	-0.5375
PPARG	0.6845
BBS10	1.05416666666667
TMEM44	-1.12675
BPIL2	-0.6235
CITED1	2.7675
IRF6	3.2775
PRDM4	0.1845
RRP9	-0.527833333333333
OR10H4	0.000749999999999999
IL31RA	-1.58775
GNB1L	-1.29816666666667
MYBL2	-3.22875
ZNF407	1.16783333333333
PPIG	-0.664666666666667
TTC18	3.617
RPSA	-0.303
MAPT	1.678
MRE11A	-0.212857142857143
C8orf37	-0.935
RASGEF1C	1.24816666666667
STBD1	0.44275
CTAG2	-0.2942
MGAT5B	-2.5125
ECM1	-1.42725
RLN1	1.39
PARP14	-0.1261875
EPB41L1	0.4182
HOXA3	1.41216666666667
MAGEA9	-4.24425
RPS8	0.313666666666667
RPS19BP1	0.04225
FOXJ2	0.375625
C10orf76	0.333125
IL17RE	0.24925
C10orf65	-0.6855
ZNF343	-0.3125
FBXO33	0.39625
UHMK1	-0.3594
LY6G6C	-0.2505
FGF19	-1.26075
C14orf128	1.2305
IFIT2	1.544
TIGD1	0.0515
S100G	0.5535
GUCY1B3	0.9025
NR3C1	0.325
CORO1B	0.0348333333333333
PARP11	0.632583333333333
DNALI1	3.374
OR4N4	0.5005
MAP2K6	0.2825
FSTL4	-0.407
ANKRD47	1.432875
TMEM171	-0.967
PNLIP	0.21675
YY1	-0.462666666666667
CCDC138	-2.06166666666667
AASDHPPT	-0.8316
CKS1B	-0.6858
MCM3	-1.41583333333333
ANAPC7	-0.774666666666667
FAM110A	1.14275
CDC37L1	1.32133333333333
THTPA	0.526
NBPF20	-1.217
WDR24	0.0955
NPTX2	-4.5175
CBLB	0.6625
CETN1	0.308166666666667
RPUSD1	0.17175
FAF1	-0.578
CDK6	-1.6025
HMX2	0.493
CSK	-0.5395
TEAD2	-0.2255
SNAP25	-0.52625
TUFT1	-0.2054
TMTC3	-0.212166666666667
LCK	-1.13475
SGOL1	-1.94466666666667
AKTIP	0.91775
FURIN	-0.259
SOX12	-1.34883333333333
DEFB103A	0.1325
RAMP1	0.71975
KIR3DX1	3.17
GAS2L3	-1.91375
PDE8A	-1.241
EDN3	6.0715
GMIP	0.0225
SF3A2	1.60075
FN3KRP	0.6315
SMAD7	-0.0265
RHBDD2	0.18575
OR11H6	0.196
PPP1R3B	1.0491
C9orf23	0.22025
CADPS	-1.797
GOLGA8A	-0.395375
TMEM57	-0.0423333333333333
RGL3	0.285
S100A14	1.17175
FGFR2	2.0225
XRCC3	-0.75825
RTN4RL2	0.44075
MGC3771	0.577
GH2	0.286333333333333
BTBD2	0.088
LMO2	0.384
RDBP	-0.77475
ACRBP	-1.80075
AMY2A	3.802
DUOXA1	1.6895
PTK7	0.655166666666667
TWF2	-0.0713333333333333
FAM80A	-1.6875
TNNI2	-0.527
GLT25D1	-1.45516666666667
OCC-1	-2.56175
CYC1	-1.23633333333333
RPL22	0.814954545454546
MORN3	0.253333333333333
DISP1	0.79025
PRB2	0.846
CHUK	-0.9935
HR	0.948125
CCDC134	-0.4535
DENND4B	-0.73525
C14orf130	-0.1665
RAB33A	-1.925
DCST2	0.3455
TNMD	2.74475
PEX7	0.98675
FAM62A	-0.013375
SRD5A2L	-0.2965
IL22	-0.4585
RPS26	-0.986833333333333
HOXC5	0.257
SPATA6	0.79425
FLJ38482	0.0445
ZNF234	1.3545
C18orf22	0.504
SPATA22	0.35325
THOC1	-1.0245
CYP7B1	2.9495
KCNC3	0.211
C8orf42	-0.2305
ALDH1B1	-1.00716666666667
CCDC100	0.096
ARMC4	-2.166
FAM18B2	-0.3245
SLC44A1	0.4995
FBXO17	-0.603333333333333
C6orf107	-0.509
C19orf29	-0.209
ZC3HAV1L	0.3785
PARP6	0.0711
SULT2A1	-3.906125
C1orf159	-0.45725
TMC1	-0.341
CHST14	-0.013375
GAMT	-0.153
SMCP	0.808
TSPAN33	0.519833333333333
MIDN	-0.833
NOX4	-1.8765
RNASEN	-0.5458
TBX1	-1.11183333333333
SALL2	0.11725
C10orf35	1.543
CYP2E1	-0.55975
LRFN2	-0.113333333333333
ACO1	-1.16266666666667
IQCG	1.083
MEGF9	1.79625
TM7SF4	0.452
PLEKHA1	0.5872
STK33	-3.481
C1orf210	0.755
SNUPN	0.1942
KIAA0406	-1.1097
C20orf29	-0.39475
TMEM55B	-0.00800000000000001
OSTM1	-1.185625
CLCN7	-0.2595
OTP	0.106
FLJ23049	-0.35
HEATR4	0.2535
MAP3K10	1.57666666666667
PCDHGA9	-0.464
AMDHD2	-0.17025
LCTL	-1.749
PDCD2L	-0.5455
CABLES2	-0.9525
SLC5A9	-0.56475
CLCA2	-0.762333333333333
MGC16025	0.0665
STRAP	-1.41166666666667
C20orf196	0.0425
RRBP1	-0.347
NAT13	-1.077
MAT2B	0.9415
CSNK1D	-1.1415
KIR3DL1	0.2845
PRKAG3	0.3505
ZNF599	0.5395
PRM3	1.547
PER2	1.55133333333333
ASPHD1	-1.9885
PRMT6	-0.80775
KCNE1L	-0.129142857142857
FAM118A	-1.2325
TAF4	-0.75725
NDUFB6	-0.47825
TRIM9	-0.317666666666667
PMFBP1	-0.734
KY	1.0745
DKFZp762E1312	-4.47281818181818
CSMD1	-0.31825
TBP	-0.0338333333333333
OR1Q1	0.366666666666667
RETNLB	-0.18175
HPGD	-0.0679285714285714
DNAJC12	0.247666666666667
FKBP1B	-0.2625
ANKRD24	-0.36
CXXC5	-0.296833333333333
IL3	0.1075
DRAM	0.6023
PTCH1	-0.183
TP53BP1	-0.36375
SLC17A7	0.2285
COL25A1	-0.6153
AMACR	-0.302833333333333
RHCG	0.86875
VPS13A	-0.35
FAM55D	1.38
PRPF38B	0.0488333333333333
OSBPL6	-1.49275
PFDN5	1.3633
CMTM6	0.712125
KCNK12	-0.86975
RP2	0.05725
C16orf52	-0.6945
PICK1	0.112
IFNE1	0.557333333333333
SEMA4B	0.6355
TYRO3	-1.432
OR12D2	0.3375
CSNK1A1	0.34655
FANCF	1.077
LONP2	0.118375
TBL1Y	-1.41275
LDOC1L	0.18375
CCNC	-0.07
C3orf60	-0.6975
CHKA	0.01975
UBAP1	-0.0275
MAP3K1	0.373
ANKRD9	-0.58475
FAM92A1	-0.952833333333333
GAB2	0.53375
AZU1	0.08625
DIS3	-0.3795
C21orf109	-0.60675
IQCB1	0.0225
SPATS2	-1.06483333333333
EFCAB3	-0.45
PRB3	0.192125
FUZ	0.109
ZNF813	0.142625
BMPER	-0.768666666666667
HEG1	-0.408875
ALS2CR11	-1.067
SURF2	-0.18825
PSMC1	-0.327
OR2D2	0.0205
SLC7A8	1.34816666666667
C4orf40	0.005
SPATA7	0.87825
MAZ	-0.71625
PIN4	0.96925
PDE1A	-0.51775
TAF6L	-0.317166666666667
OR2T34	0.1
KIAA0284	0.346
ACADS	0.622
MKRN2	-1.109
C18orf56	-2.863
MS4A6E	-0.147
GALNT4	0.182
C22orf31	1.5955
FLJ36070	1.453
PSME4	-0.723
TFG	-0.5168
EPHX2	1.776
ANXA5	-0.543375
KRTAP1-1	0.2812
BATF	1.21825
KARS	-1.108
MSTP9	0.864
GPR26	-0.269125
CCDC72	-0.24875
TEF	1.483
FOXK1	0.0976
PRLHR	1.3315
EMX1	0.31525
C11orf30	-0.833375
ICK	0.6335
THSD7B	0.2405
C21orf100	-0.27
DUOX1	2.3115
EFCAB4B	-0.3405
UBE2G2	-1.005
C3orf54	0.758
PARP1	-1.833
FAM60A	-0.76475
C6orf146	0.369
OR9K2	0.465
DDX55	-1.27066666666667
RPS15	0.614916666666667
ZNF618	0.8519375
DKFZp686D0972	1.0955
SSPO	-0.4265
SHFM3P1	1.15116666666667
CPA6	2.0245
JAG2	2.1915
DEFA3	0.39825
PPBPL2	0.382
CD34	4.13775
SLCO4A1	-3.1445
AFG3L1	-1.1015
SHD	-0.72725
RP13-122B23.3	-0.304
PRKCSH	-0.745833333333333
DPH5	-0.0356666666666667
HLA-F	2.005875
TBC1D4	0.59475
RIG	0.0245
GLUD1	-0.586666666666667
HNRPCL1	0.122125
HBXIP	-0.21725
RNF207	0.165
APIP	-0.5145
PLA2G3	-1.78666666666667
CCDC84	-0.511
MYLIP	0.421384615384615
PHIP	0.65075
AARS2	-0.358
DHX32	0.04275
SCAPER	0.2955
MEN1	-0.206
NIP7	-1.0595
FLJ25404	0.4825
FASTKD3	-0.527
TMEM158	-1.95683333333333
RARA	0.84625
BDH1	0.6175
ANKRD16	-0.23325
CARM1	-0.7365
SS18	0.222
IKZF2	-0.332833333333333
MYD88	-0.094375
PML	0.3896
TAF1A	-1.222
CBFB	-0.963625
HIST1H3H	-2.01216666666667
C7orf29	-1.84975
COMMD4	-1.0365
DPP3	-1.33475
DAB2	0.42125
LOC388882	0.119
YPEL4	0.801625
AGBL3	0.92425
LRP6	0.0458
SERPINH1	-0.960583333333333
TLE1	0.25625
CD244	0.264666666666667
ZDHHC15	0.0725
MGLL	1.1588
PLDN	-0.772583333333333
LOC654346	0.843
FAP	0.1465
GPR37	-0.688
SCARA5	2.69266666666667
EBF4	1.56409090909091
LSM6	0.00900000000000001
MLLT1	0.00449999999999999
SLC5A12	-0.22875
A2BP1	-1.16566666666667
COPS5	-0.308666666666667
TPM4	-1.60092857142857
TNFSF4	-1.39066666666667
ACADSB	1.25561111111111
HERPUD1	0.6135
BCL2L11	-0.405222222222222
CEP78	-1.703875
CDCA3	-2.475625
WBSCR19	1.058
MYO1A	-1.4665
PPEF1	-1.23733333333333
LOC440348	-0.0445
CPEB2	-0.281625
BPTF	-0.358166666666667
RPL21	1.0613125
GSX2	-0.1445
ADPRH	0.4765
C17orf68	-0.2655
KCNS1	0.494666666666667
MLLT6	0.4994
PIWIL4	1.59475
RNF26	-0.7675
RAP1B	0.258375
ADAMTS1	-1.2419
ZNF571	1.2665
P2RY6	-1.38275
TRIM21	0.833666666666667
CADM3	0.4195
NLRC5	0.2805
ADRA2B	0.124666666666667
LOC90835	-0.51225
PCF11	-0.54825
LOC400451	1.1565
GLTSCR1	1.378
C17orf88	-0.444833333333333
CDH16	0.70175
FGF7	2.488875
PCSK4	1.1245
NPC1L1	-0.613
TAT	2.893
TBCA	-0.76125
MGC33407	-0.035
GPR115	-1.22375
CYGB	0.1805
FNBP4	-0.788833333333333
C12orf43	-0.34875
CBL	-0.9248
CLECL1	0.8765
PPAPDC1A	-2.043
WDR25	0.260833333333333
SGCA	0.7495
C22orf29	0.2935
YIPF1	0.9575
GALK2	-0.27325
RAB3B	-3.14016666666667
LOC440087	1.78675
UCP1	1.9025
REEP5	1.69275
FADD	-0.3111
FOXA1	1.866875
CACNA1A	1.53066666666667
ABI1	0.444
GRIN2D	2.301
SLC1A4	-0.176666666666667
LOC401127	-1.8705
HINT2	0.0955
PLD4	0.264333333333333
ZNF286A	-1.43
ENY2	-0.5555
IL1F6	0.289
PXDNL	-0.67325
C20orf79	-0.393
TNFSF13B	1.3965
DENND3	0.614
JARID1D	-1.712
HIST1H2AK	-0.103125
LOC93349	-0.7734
SSH1	-1.4917
ENSA	-0.27775
LOC219854	0.320166666666667
CKAP2	-2.3194
DKFZP564J102	1.10233333333333
MGC87315	-0.751
HNRPAB	-1.5325
AMH	-0.689
ZNF526	0.3055
BRUNOL5	0.2129
CACNG3	-0.021
TRPM1	-0.7385
PPP2R1A	0.157
COL2A1	-0.2795
DDN	-0.0523333333333334
FLJ25770	1.71091666666667
