Hybridization REF	TCGA-AR-A1AR-01A-31R-A137-07
AMH	-1.833
ZNF526	0.81
BRUNOL5	-0.5663
CACNG3	0.0178333333333333
TRPM1	-3.3225
PPP2R1A	0.432125
COL2A1	-2.39675
DDN	-0.0325
FLJ25770	1.242
HK2	-1.31528571428571
ELOVL6	-0.297875
MDK	0.18075
EPHX1	0.686
RASSF2	1.410375
DKFZP434B0335	-0.71025
DLX3	-0.505125
PRTN3	-1.2065
AVPR1A	2.3585
C21orf125	-2.38125
TNFAIP8	0.451166666666667
GNB2L1	-0.4445
CALCRL	3.77725
SCGB2A2	-0.0305000000000001
UBXD7	0.542
ZNF674	0.163
TMEM35	-0.367625
BRSK2	-0.319
HECTD3	0.438333333333333
TMEM188	0.0774166666666666
LGALS9	3.14725
SCARB2	0.95425
USP34	0.00525
C17orf28	-0.90075
ZDHHC23	0.3605
AQP12B	-0.5925
SLC16A3	-1.268
APLP2	0.3855
ITIH2	-5.3465
MICAL3	-0.449
TNNI3K	-0.224
HDAC2	0.74875
PRR7	-0.3472
THBS2	-0.0645
LOC751071	-0.139166666666667
CA2	1.32666666666667
RANBP17	0.44
RLN3	0.7485
CRYZ	-0.908
GBAS	0.432166666666667
TAS1R1	-0.50625
MPZL3	1.5605
PCDH8	-2.30525
HSP90B1	-0.745166666666667
KCNK15	-0.8275
TNIP2	0.587833333333333
GPR146	0.63225
NOL6	0.273125
SPC25	-1.169
STEAP2	1.84157142857143
VAMP3	0.4915
TCIRG1	1.249
ZP4	0.420833333333333
PARL	0.58625
TRIM39	-0.207666666666667
KIAA1305	0.23725
CRNN	0.0145
GRN	0.60425
HSH2D	-1.7515
SCAMP1	-0.0609375
KIAA1913	0.936
PTS	-0.44625
BANP	0.335714285714286
PRKACG	0.08975
ADCY6	-0.370166666666667
C16orf46	0.302
CYP51A1	0.062625
DDC	-2.677
ANPEP	1.695
PROM1	2.17166666666667
SIGLEC10	3.17625
COPG	0.811
FAM26E	1.641625
TRIP4	-0.1885
SNX3	0.885333333333333
C1orf175	0.560666666666667
PPY2	-0.23575
C14orf152	-0.0315
FTSJ1	-0.5015
DST	-1.08865
LOC554235	0.3945
GLRX5	-0.31025
C20orf12	-0.6283
CAB39	0.453
MSH2	0.034
PIP4K2C	0.48225
CYLD	1.16175
WTAP	1.3494375
MGAT4A	2.50077777777778
TSC22D4	0.3395
CHRM2	-1.841
PPYR1	0.557666666666667
CCNH	-0.9705
RRM1	-0.02825
ECAT8	-3.6055
LOC400120	-0.56475
GABRA4	-0.520571428571429
C14orf4	1.1565
C1orf59	-0.00775
CTDSPL	0.28075
NHEDC2	1.7995
PDE11A	-2.3804
KLHL29	2.07575
CD5	1.2948
TSPAN9	0.5808125
WDR67	-0.55075
THUMPD1	-0.4855
C18orf17	0.83475
CLYBL	-0.112166666666667
FLJ13231	-0.858
CMBL	-3.094375
LECT2	-0.11675
NKAPL	3.512
LOC654780	0.883
OR4C6	-0.8835
RAB30	-1.29883333333333
TSSK4	-0.6975
TMEM163	1.863
OSBPL11	0.7465
GNB5	-1.48483333333333
CCL21	1.23075
C1orf121	0.814166666666667
FMO2	3.5155
RPTN	-0.487
MSTN	0.2125
VCL	-0.0892142857142857
FYTTD1	0.57925
C11orf1	-0.71175
CCDC88C	0.1159375
HFE	-0.205277777777778
MOGAT1	-0.424
FAM125B	1.67733333333333
IRGQ	0.4715
RAVER2	1.346
AKAP5	-0.579
SSSCA1	-0.3825
C11orf63	1.34525
ACTG2	-0.0968
PORCN	-1.626
DTL	-0.562
TMEM151	0.17025
FAM122C	-0.103
RSAD2	4.3283
BAT4	-1.1425
KRTDAP	0.377166666666667
MYH8	0.211625
CRTC3	-0.04225
LRRFIP2	0.681
INTS4	0.0153333333333333
TTN	-1.45583333333333
SLC26A5	0.388
PLLP	-1.88075
RGS6	-0.759714285714286
SRGAP3	-0.1615
ZNF525	0.513666666666667
NBR2	-0.479333333333333
C13orf1	-0.6896
ZNF137	0.4305
CEP27	-0.83175
BEST2	0.796
RNF121	-0.21475
DMRTC2	-1.79325
C8orf76	0.13675
BCCIP	-0.456625
MEST	-0.468
HTRA2	-0.007
ANGPTL2	0.9065
ILKAP	0.406333333333333
ERAS	0.066
HBS1L	-0.842375
CPA5	0.64
TMEM30A	1.121
CD300LF	3.73883333333333
WISP3	6.1915
CRK	0.420571428571429
PDS5A	-0.198
BRPF3	0.339666666666667
NEDD9	-1.483
SMPDL3B	1.60575
PSG6	-2.281
PSMD13	0.63925
ETV5	-1.662
OR51A4	-0.0225
BTBD7	0.5755
GSTO1	-0.585125
hCG_16001	0.461
MAD2L1BP	-0.269
COX6A2	1.206
SCNN1A	-2.233
LSM1	2.30516666666667
UGT2B11	-3.49325
IDUA	1.05
PPP2R3C	-0.334666666666667
COX11	-1.348
PDZK1	-4.4985
ZNF443	0.479166666666667
MGC21874	0.454333333333333
ZNF323	2.2921
KRTAP10-10	0.3545
CXCL6	0.5475
SLC34A2	4.308
LOC284402	0.275
NPTN	0.00866666666666667
UPP1	0.0455833333333333
SLC6A9	0.131
OR7G3	-0.707666666666667
CISD1	0.120833333333333
ZNF545	0.160666666666667
SYT14	0.6075
NT5C3L	-0.256166666666667
ZNHIT3	-0.6695
SNRPD3	-0.4445
KIAA0701	-0.24475
UNC93B1	0.836
GMNN	-0.067
SPCS2	0.265666666666667
LOC388524	0.948
NAPRT1	0.241625
PNLIPRP1	0.381
OR6V1	0.855
PRKAB1	-1.26675
EYA4	-3.92466666666667
KIF20A	-0.89925
ALG10	-0.16025
ITPKC	1.30016666666667
LMX1B	1.1755
RPUSD4	0.147833333333333
C7orf34	-0.611333333333333
DLGAP2	-0.223625
PFN1	-0.0102
MICALL2	0.478166666666667
ZNF654	-1.361
SS18L1	-1.248875
SLC16A8	0.734
MKI67IP	1.19033333333333
ITGB3	0.867375
TCEA3	1.34341666666667
CEP152	-2.1595
CLIP1	-0.372625
ZNF75	0.0760625
ATP5C1	0.200166666666667
NUDT5	0.506833333333333
PSCDBP	2.24125
UBP1	0.28475
RBM27	0.453
C13orf15	2.4045
ZNF282	0.686333333333333
ZNF222	0.4614
COL10A1	5.21875
PRDM15	-0.4595
TTTY5	0.039
FAM9C	-0.177727272727273
C20orf67	-0.1955
GNG13	-0.464
F12	0.461
C1orf41	-0.38725
CPXCR1	0.563
GSK3A	0.590625
SUPT6H	-0.451333333333333
PI16	1.9645
ELL2	-0.677583333333333
C9orf167	-0.767333333333333
PVRL3	-0.426
FLJ38596	-0.0785
ADAM20	0.21475
GPR89A	-0.228
GPR87	1.013
ZNF30	0.6495
SMR3B	7.5515
ZNF770	-0.44
TRPC4AP	-0.7395
DKFZP686E2158	0.0521666666666667
C2orf28	-0.543
FREM1	-1.06616666666667
LAMA4	0.911666666666667
ADPRHL2	0.424
EIF4G2	0.650333333333333
GUCA1A	-0.147
CTNNA2	-1.92175
NUDT15	-0.416833333333333
CEPT1	1.12516666666667
ZNFX1	0.3944
CCDC92	0.678
TDRD1	-2.457
KCNK5	-2.18266666666667
ETNK1	1.52675
LTA	0.7515
TTPA	-0.133333333333333
B3GALNT2	0.477
SC65	-1.1515
PEX5L	-2.68575
EPS15L1	-0.09575
MGEA5	-0.736
HIST1H3A	0.97175
ING1	0.074
BCAT1	-1.894875
ORC6L	-1.40318181818182
KLK11	-5.4295
C19orf28	-0.7805
DNER	-4.803625
MED22	-0.271785714285714
ETV6	1.39708333333333
CHAC2	0.43625
CD300E	1.628
CEBPB	1.27966666666667
ZNF398	0.3595
LRCH3	0.4175
HMGA1	-0.711666666666667
CAPN7	0.235
MGC5566	-1.66025
CCL3	3.5755
NANOS1	-0.4085
ZFYVE19	-0.56025
APITD1	-0.8135
PARD3	0.395875
IRAK4	-0.282166666666667
SERPINI2	1.29
CEP170L	0.10675
TTC9	0.3625
MYOM3	-1.872
MLPH	-3.14325
LOC222699	0.128
NRG1	-1.732
TBC1D9	0.819272727272727
TTK	0.406166666666667
ZNF557	1.4384
DDX41	-0.558
FANK1	0.526
UBE2D2	-0.111875
PSMB10	0.89775
MYH7B	-1.4385
GABARAPL2	-0.39675
MARVELD2	0.386166666666667
DGCR2	0.0161666666666667
UNC45A	-0.193333333333333
C6orf72	0.219
ZNF683	5.26575
GIT2	0.376125
CASK	1.1795
C14orf161	2.70316666666667
LRRC44	-2.09875
TIFA	1.162875
UTP11L	0.10375
C6orf65	-0.23275
FDPS	-0.0995
DUSP9	-1.8587
SLC17A8	0.0248
OR51G1	0.478
NANS	-0.3595
OLFML1	1.779
ATP10B	-0.674125
NPAS3	-2.91875
PRKCA	-1.796
GGA2	-0.30925
LCE4A	0.5065
SPANXN3	1.71525
CCDC115	1.237625
SDCCAG3	-0.28575
GLIPR1L1	1.28575
TTC1	-0.47675
C17orf76	0.106
MAD2L2	-0.96775
HIPK1	-0.2418
LRRC3B	-1.02166666666667
CLN3	-0.379863636363636
C17orf47	-1.6235
FMN2	-2.78525
TUBB1	-1.90225
WAPAL	-0.0448333333333333
C3orf21	-0.49175
SCN5A	-0.7143
SMYD1	-0.0285
BEX5	0.611
ZNF192	-0.204
SEC22A	0.744
GRIA2	0.742142857142857
KIAA0825	-2.2085
NUSAP1	-1.29009090909091
LANCL1	-0.034
C15orf40	-1.1809
ZNF645	0.60825
GPR61	0.6085
NLRP14	0.3905
SNX21	-0.7283
C1QTNF8	0.9505
C17orf46	0.19825
IFNA8	-0.481
SPRR1B	-3.19916666666667
FLRT1	-1.15575
SNX17	-0.0888333333333333
ASB2	0.835666666666667
HBG1	-5.4685
RPRML	-1.6365
JOSD2	1.03783333333333
PLSCR3	0.37675
SPOCD1	0.0841666666666667
RAB39	0.6605
GHRH	-0.9235
ITIH5L	-0.37275
C17orf37	-0.189
SMCR8	0.564
DPY19L2P3	-0.565
IL11RA	0.815
GDF3	-4.18816666666667
RPS6KB1	-1.65183333333333
DNAJC19	0.4213
TOP1	-0.779
CRCT1	-0.556625
MPST	0.064625
DPM2	0.65
FAM38B	-2.27983333333333
SLC18A1	-1.3825
FARP1	-0.7745
PAX7	0.017
TUBD1	-1.924
GNL3	0.379375
BTG2	0.967133333333333
NDUFS6	-0.94375
C1orf79	-0.06
ERAL1	-0.4715
ECHS1	-0.077
VPS4A	-0.442666666666667
CYP11A1	1.280375
ABCC6	-2.24785714285714
PBX4	-0.746
MOSC1	-1.557125
NCF4	1.9585
HYMAI	-0.287
NAGPA	-0.04075
OTOP2	0.73725
ACOT12	-0.53175
MTHFD2L	1.013125
LOC441376	4.261
C19orf34	0.555
RAB1B	-0.2605
ALDOAP2	-0.6845
NTRK1	-1.25033333333333
ARTS-1	0.4594
SLC6A11	-0.1615
NAP1L2	0.99725
CNGB1	-0.2465
EPB41L4B	1.17308333333333
FAM134B	0.302375
HS3ST3A1	-1.27816666666667
CPXM2	4.8835
SIRPB2	0.155
CHORDC1	0.165333333333333
TRIB3	-2.85783333333333
SLC2A5	2.032
C2orf49	0.179333333333333
DDX5	-0.4245
OR5L1	1.0925
ANAPC4	-0.466833333333333
ZSWIM1	0.05125
LOC93622	-0.820875
KCNK3	0.3711
RP11-35N6.1	-3.061
ZFP161	0.2685
AQP9	5.762
SLC15A2	0.8065
MREG	0.0533333333333333
OR9I1	0.6955
PDLIM2	0.107714285714286
ADAM7	0.499
GSTCD	-1.3145
WDR21A	1.45925
SLC12A8	2.94116666666667
TMEM174	0.509
IGSF3	-0.082
LRRN1	-0.1335
LOC402117	-0.0376666666666667
SRPK1	0.214166666666667
LY6K	-0.4120625
NFIA	1.2765
PTCD3	-0.206
LEP	3.5525
PCDH21	-0.9136
MAPKAPK2	1.10807142857143
NMNAT1	-0.156
LHFPL2	1.291
C9orf43	1.05925
DIP2A	-0.192333333333333
ACTR8	0.194625
CCDC34	1.04075
PTPN22	0.857
ITGA3	-1.361
FAM129C	2.083
RABGGTA	0.379833333333333
UNC45B	0.81275
KIAA1033	-0.2875
ZNF510	0.150333333333333
CYP2D6	-0.727666666666667
SLC26A10	-1.2
STX8	-0.3375
LUZP1	0.54175
WDR89	-0.0435
EIF4G3	0.0195
C5AR1	1.793
ZNF623	0.427
A2M	0.397
TGM7	-0.5495
GRPEL1	-0.521666666666667
LMNB2	-0.1048
ROCK2	0.409833333333333
SNX16	0.8465
CCDC66	0.2065
ANXA3	1.6315
KIAA1609	-0.365875
EED	0.048
RNF32	-0.416
HES1	0.6206
CLC	0.585666666666667
ISL1	-1.55816666666667
KIAA0528	0.36975
MANEA	0.47625
C1orf61	-2.031
hCG_2001000	0.70975
RAPGEF6	-1.3149
KIAA0020	1.11316666666667
NEIL1	-0.549
C16orf45	-2.191625
RBM10	-0.454333333333333
C10orf125	-0.0015
MRS2L	0.37625
DNAH17	-1.073
C19orf10	-0.378
C1orf160	0.41475
SLFN12	1.61375
EXOC3	-0.988666666666667
HIST3H3	0.135
NCOR2	-0.124
TNFRSF9	2.4375
MFSD8	1.973
ALX1	-2.094
NOL1	-0.85425
PODN	3.0175
TIAL1	-0.72875
HIST1H1E	-0.94875
NPY6R	0.13375
TM4SF4	2.90275
CORO2A	-0.923
ETNK2	-2.35416666666667
APOE	1.6106
ANGPT4	0.4195
HDGF2	-0.2905
G30	-1.398
ST8SIA4	0.88675
F2RL1	0.585875
FAM19A4	-2.704
CCAR1	0.31575
B3GNT7	0.263
OPHN1	-0.4631
DSCR6	-0.826
C21orf13	0.343
GAS2L1	0.518583333333333
RFX3	0.492333333333333
COPS4	0.74075
BCHE	-4.586
BCL2	1.206125
HBZ	-3.08733333333333
ARL13B	-0.417125
MAPBPIP	0.803625
MYO15B	-0.395
SPZ1	0.78425
KIAA1324	-3.22088888888889
PLCL2	0.81475
C4orf29	-0.6535
WDFY2	-0.028375
ZNF284	0.369
NAALADL1	0.5355
DUSP5	-0.522333333333333
PXDN	0.601125
SLMO1	0.5245
TNXB	0.522
BIRC7	-1.166
A4GALT	0.702166666666667
TIMM22	-0.00575
FAM110C	-1.2215
TOMM34	-0.791125
ABHD9	4.477
ADAM32	4.1235
CRHBP	1.23275
AQP2	0.517375
LOC130355	0.83125
ZNF187	0.190666666666667
ZNF816A	0.8845
F7	-1.304625
CNOT1	-0.29
SLC13A4	-1.443
ZBTB11	0.2125
B3GALT5	0.13575
EXOC2	0.354
IRS1	1.3441
TMEM1	0.461166666666667
MRPL34	-0.0778333333333333
SAMM50	-0.49575
CDC42EP3	0.085
HSF2	-0.2033
MFN2	-0.063
TSPAN7	-1.4
NUCB1	1.25808333333333
RHOH	-1.55275
ARL16	-0.784
TACR1	-0.112
SFRS5	-0.698166666666667
SNX25	-0.413125
RHBDF1	-0.207166666666667
PCDH18	1.65733333333333
HMG1L1	-1.25475
MYO5C	-0.299125
MAPK10	1.053
LDHAL6A	-0.187166666666667
NUDT12	-1.59583333333333
NCAM1	-0.7545
GLIS2	0.142
GGTL4	-0.38475
DAPP1	1.44075
ATF7	0.041625
KIAA0748	0.352
NFIL3	0.90075
TM6SF1	0.2199
SEZ6	0.18675
NANOS3	0.478
DNAJA3	-1.04133333333333
CLDN6	-2.8815
CIITA	3.5758
EPHA4	2.27783333333333
FANCC	0.52725
CMTM3	0.474125
PSG3	-1.01075
MRPL15	0.63275
C21orf59	0.23475
PLCXD2	-0.444
C2orf34	0.720125
UBE2L6	1.642
MED14	0.0741666666666667
HP1BP3	0.2653
C6orf208	-0.209
TPBG	0.03125
OSR2	-1.874375
XPC	-0.9105
KLHL7	0.224916666666667
CCR3	-0.0706
AGTPBP1	0.889333333333333
PCSK6	-1.407
STAT5A	-0.9833
FAM18B	0.4675
LONRF2	-4.26066666666667
PTPN2	0.73025
SF3A3	-0.914333333333333
EFCBP2	-0.055
HCFC1	-0.417166666666667
AHNAK	-0.4349
ACTR5	-0.72275
KIF14	-0.869857142857143
TENC1	0.71825
HEATR5B	1.0545
YIPF2	0.999666666666667
MYEOV2	0.66
DUSP18	1.012
KIAA1012	0.279
AHR	0.523166666666667
C17orf53	-0.8495
PTPRH	-3.172
ATP6V1C1	0.0703999999999999
TAS2R3	0.13
LOC440356	-0.98475
COQ10B	0.39025
PSMF1	-0.550416666666667
SORBS2	3.39391666666667
NFE2L2	0.69025
TMCO7	-0.08425
SH3PXD2A	0.1401
SH2D2A	0.6505
SPINK5	-0.38325
MRPS24	-0.16725
OPA3	0.7175
TRAF7	-0.137
C4orf35	0.3955
MT1G	0.39325
MGC39545	-0.225333333333333
HS1BP3	0.1062
OR2B2	0.7085
CHRM4	0.245
SFRP2	2.14733333333333
RIC3	-1.233
ART1	0.1315
C6orf1	0.555875
DUS4L	-0.87725
C10orf104	-0.35575
TNFAIP6	2.57
RTEL1	-0.86075
CCT4	-0.055
ZNF709	-0.04475
CHMP6	-0.374333333333333
UPP2	0.078
CYP19A1	-1.5115
CD151	0.136
NDUFA13	-0.0446666666666667
ARFRP1	-0.705666666666667
FAM26B	2.1125
CRYBA1	-1.731
MRPL41	-0.463666666666667
NPFFR2	-3
HRH2	0.277
SCAMP3	0.506833333333333
MTMR6	0.6396
MTG1	-1.1025
UBTD1	1.38525
CRABP1	-1.922
FLJ33790	-1.0675
KIAA1908	-0.0536666666666667
GPR158	0.81625
PACSIN3	-0.081
OMD	2.62933333333333
CATSPER1	0.8795
HOXB8	-1.368875
FBXO46	0.689
OAS1	1.90566666666667
SVIL	0.058
PHB2	-1.072
ADCY3	1.0775
NDRG2	-0.162666666666667
ERMAP	0.7289
APBA2	-0.4135
IGSF9	1.105
WNT6	0.207
MYCBPAP	-0.7235
ATP2B2	0.8489
CPVL	0.5009
TRAM2	-0.787083333333333
NOP5/NOP58	-0.06775
ZNRF4	0.26825
TLK1	0.494
MTMR12	-0.389214285714286
ZNF384	-0.501333333333333
FAM9B	-3.709
RPN1	0.7606
PMVK	0.8145
EIF3D	-0.0378
SIX2	-0.52425
HPS1	0.761214285714286
RNF7	0.29625
PSKH2	-1.193
KCTD13	0.435
CSMD3	-0.6073
FBF1	-0.784
IL8	-1.237625
SERPINB13	0.318333333333333
FBXL20	-0.4225
BLR1	0.03525
SH2B1	-0.429666666666667
RFNG	-0.45875
RAB20	0.444666666666667
RBM7	0.78375
POLR1A	0.0268333333333333
TMPRSS4	-3.10375
TAF9	-0.65525
TERF2	-0.312833333333333
TNFRSF1A	0.571
ACADVL	-0.232333333333333
GTF2H5	0.1165
EDG8	-0.555
C9orf140	-0.18525
UST6	0.191
ZBTB8OS	0.2865
ZNF710	1.2715
GPR174	-0.421
ATP6V0A2	-0.1145
KIAA0319L	-1.77575
XKRX	-0.9885
DOPEY2	1.2316
SDHD	0.37225
SUMF1	0.91175
OSM	4.70825
OPN3	-1.17025
DAGLB	0.580833333333333
PPFIBP1	-0.8118
TRIM63	-3.2385
C10orf53	0.73
LYPD3	-2.26616666666667
BCL7A	-0.728
AGER	-0.831666666666667
TCF19	-0.414375
SAT2	0.215
PFTK1	-0.618833333333333
GABRE	-2.02475
C15orf38	1.091
FIS1	0.44
KCNV2	0.0265
CLPS	0.934
PPCDC	-1.0445
FOXN2	0.193666666666667
NT5E	-2.6957
CD83	1.55875
IL18	2.454375
VPS16	-0.36875
IGFBP2	-3.5235
NOTCH2	0.64625
SIGLEC1	4.19575
CD93	6.178
SULF2	-0.73225
CEP164	0.21875
P53AIP1	-0.5386
TOR2A	0.0733333333333334
ZNF136	0.0965
MGP	3.5558
CCDC144A	-1.1188
TRPC1	-1.072
SMS	-0.624833333333333
MAPK7	-0.1565
RRAGC	1.21675
PARD6A	-0.9145
NUB1	1.10233333333333
SYNGR4	0.22125
OR11H12	0.4615
WIF1	-0.349375
GCH1	0.14275
OR11H4	0.0525
SLC44A5	2.6565
GPRIN2	2.90733333333333
LOC401431	0.52775
CPA4	0.7606
MELK	0.459
IL15RA	1.766
CUL3	-0.036125
HMBOX1	-0.10975
PODXL	-1.20225
CCT6B	0.529166666666667
COMTD1	-1.12575
MUC20	-0.407
GPX2	-3.81
ITK	0.52525
FBXL5	0.8045
C13orf27	-0.888
DEFA5	0.6185
TRHDE	0.0505
MTP18	-0.6125
UQCRQ	-0.4178
ITGB2	2.79175
CSRP2BP	-0.6055
TAS2R44	-0.1315
PHPT1	-0.661375
FAM44C	-0.18775
ERH	0.19775
MPHOSPH1	-1.0095
MORC1	-0.8965
PARVB	0.0415
LAMA1	-2.06941666666667
PGBD3	0.619
GIMAP6	4.74525
AREG	-5.13366666666667
LIPT1	0.35025
MGC99813	-1.61525
C1orf201	-0.034
GRIN2A	-1.3647
MAN2C1	-0.89875
NSUN5	-0.3235
SF3B5	0.3725
MYC	-0.2049375
NRXN1	-1.65991666666667
ZNF18	-0.17625
SPDYA	-0.02875
SLC37A1	1.026
DECR2	-0.52625
ANKRD38	-0.760571428571429
SPTLC3	-2.31066666666667
SUPT16H	-1.1275
DTWD2	0.02525
ULBP1	-1.806
ZADH1	-0.333666666666667
OIP5	-1.08575
IL10RB	0.880666666666667
OTUB2	-0.647375
VWA3A	0.207833333333333
SPIC	2.73283333333333
OR6C4	0.2065
PSCD4	2.33033333333333
DPY19L2P2	-1.16
TRAPPC6A	0.5355
C21orf2	-0.142333333333333
CEMP1	-0.65075
LIN7B	-0.6265
E2F7	-1.45
VCP	0.3049375
LAMA3	-1.3365
BGN	2.26925
GPR160	-1.4505
COCH	-4.7655
GPR81	-0.463
APOBEC3F	-0.49775
tcag7.1017	-0.6415
C1orf32	0.4875
SCGB1D2	-0.761
FLJ43987	-0.659
C6orf170	0.19525
KLK9	0.0925
GPD1L	-0.354375
VPS37B	-0.12125
ATG3	0.2925
ADAMTS17	-0.093
KLHDC2	-0.265166666666667
NDUFV2	-0.5075
BLK	-1.193
MATN4	-1.4475
GPM6A	0.3465
GBP4	3.38733333333333
TMEM162	0.175666666666667
PKP2	-1.0655
HRASLS	2.129
MMP1	-1.50725
SFXN3	-0.3908
FSD1	-2.1425
ST6GALNAC3	-1.5615
CA12	0.2107
NCOA6	-0.25475
C19orf58	0.8414
PPP4R1	0.0803333333333333
MAN1A2	0.864833333333333
IKBKAP	-1.106
UPF1	0.295333333333333
KIAA1219	-0.5205
WNT16	1.3545
SNW1	0.036625
IL18RAP	4.6955
RPP30	0.163875
CDC40	0.158285714285714
SETD3	0.069
SLAMF6	0.98275
ELK4	-0.1535
TRIM47	1.166
ACOX3	0.282
TRIM6	0.58125
KIAA0372	-0.7585
TP53AP1	-0.078625
SMURF2	-0.11375
ADAD1	0.58225
EBP	-0.9564
KRTAP13-2	-0.188
FLJ36874	-0.122833333333333
TOR1A	0.421166666666667
P2RY4	1.0135
GPBP1	-0.309
TRPV1	0.255375
ADAMTS12	0.492666666666667
PES1	-0.461
ATG4A	0.776
MAGEA10	-4.51275
WFS1	-0.4195
CC2D1B	-0.291666666666667
PABPN1	-0.553875
SLC25A30	0.40125
SLCO1C1	0.378333333333333
SLC22A5	-0.38525
KIF23	-1.24866666666667
SYN2	-0.626166666666667
ASPN	7.09916666666667
CENTG2	-1.036
QSOX2	-0.9145
FLJ10815	0.0335
STK24	-0.406875
SPEG	0.6366
STK10	0.854666666666667
DACT2	0.1435
AAAS	-0.9815
SSX3	-2.315875
ABCD3	-0.1115
C4orf12	0.393125
PARVG	2.4665
FIG4	0.503
C9orf46	0.983
TMCO6	-0.7055
IGHMBP2	-0.79325
DUS2L	-0.655666666666667
FAM3C	0.47975
TMEM16D	-2.72575
DCTN4	-0.1645
KCNH3	-0.1205
EIF2AK2	0.22025
AP1S3	0.64725
CST4	-2.629
PAM	0.066625
NUTF2	-0.34125
CITED2	0.6547
SLC39A4	-0.74825
C2orf52	-1.113
GRM3	-1.27475
C12orf49	0.491
CCDC49	-0.3831
GRAMD1B	-1.038375
FNDC4	1.68325
SIAH2	-0.10275
GDPD4	0.26375
C21orf87	0.547125
ATP5A1	0.201
C16orf63	-0.744125
LOC388135	-1.254
ATP5J2	0.158375
MMP3	-1.364
EMID2	0.369
CRHR1	0.422
WDR70	-0.74725
C13orf31	2.176
ZFAND1	0.1705
CCL18	4.51383333333333
C3orf49	0.7425
RINT1	1.0165
KIAA0408	-2.1165
F13A1	5.6714
SLC10A1	-0.260833333333333
OGN	1.67075
GIPC2	-0.632
XPO6	0.00383333333333333
LCE1A	0.8255
FMR1	0.014
LOC374920	-0.20725
DUSP3	0.240125
ANKMY1	0.273
C7orf50	-0.1165
BBS9	-0.0405
UNC119B	-0.5115
C9orf72	0.868125
MGC35440	0.51325
ENTPD6	-0.697625
PPP1R2P9	1.32466666666667
ERCC4	-0.4145
FAHD2B	-0.6865
HMHA1	0.199
HACL1	-0.59625
RAD23A	-0.691666666666667
FAM83B	-0.6835
PPP5C	-0.283
RNASEH2C	-0.201625
C9orf153	-0.83275
SCAMP4	0.3245
GHITM	-0.2894
NDUFB7	-0.067125
ADCYAP1	0.605666666666667
SP110	1.56883333333333
MAP3K7IP2	0.821
DHH	0.5785
AGRN	0.6795
WDR33	0.124
CEP290	-2.062
PRPS1L1	-1.13883333333333
KLRA1	-0.7285
GPR97	-0.00649999999999999
CHD7	-0.193666666666667
TLR10	2.28175
SLC30A8	-3.1565
HIC1	1.61416666666667
IAPP	-0.2365
RXFP4	0.824
GP1BB	1.11475
SHQ1	0.2635
NKX2-3	0.0711666666666667
API5	0.225
FTHP1	0.8225
MOV10L1	0.6995
TRIM6-TRIM34	1.12683333333333
ADHFE1	2.52725
FAM117A	-0.925
DDI1	0.5365
CDON	-0.996166666666667
TRIM73	-0.869
IGKC	3.235
MMP14	-0.415583333333333
DYNC1LI1	0.552125
C11orf66	0.46225
TRBV3-1	-0.8045
FASTKD5	0.0445
BIVM	-2.70125
LHX4	-1.0475
CXCL2	3.6531
RAB2B	-1.09816666666667
IZUMO1	-1.58475
MAP3K15	-2.4955
FAM19A2	0.277333333333333
ZC3H8	0.9715
ZMAT1	0.959125
SPINK5L3	-3.09875
SLC10A6	1.6075
APPL2	-0.7125
CARD10	-1.3505
LOC402176	0.032
EEF1D	0.3812
RAB6A	0.5803
C12orf5	0.15575
PAPOLG	0.93475
MSRB2	1.085
BCR	0.538555555555556
PUS3	0.6255
TIAM2	-0.336
ZNF317	0.0648333333333333
CHD2	-0.223
FZD5	-0.793272727272727
NUDT8	-0.46
ZNF763	-0.0995
PRC1	-0.939222222222222
ABCB9	-0.489666666666667
SPATA3	0.0915
TRAK2	0.09325
STAB1	3.73075
LRRTM2	-0.843333333333333
psiTPTE22	0.97025
DBI	0.36025
SERPINA11	-3.526
NAT5	-0.072
C20orf58	-2.5135
RPS6KA4	0.767833333333333
FLJ90650	0.7335
TGFBRAP1	-0.4075
CHRDL2	2.8865
FAHD2A	-0.682166666666667
CNTN1	-0.4175
BBS4	-1.5498
TMEM181	-0.3025
MINPP1	-0.90925
MPHOSPH6	-0.362333333333333
HOXC10	0.4203
ITPKB	0.16225
CLPTM1L	-0.56575
MEOX2	0.760166666666667
ATP6V0C	0.355875
PRPF8	-0.399666666666667
TMC5	-0.72275
FKBP3	0.228
PLEKHB2	0.067875
OR4D6	1.262
ZNF544	-0.286
D2HGDH	-0.566625
RPL18A	1.3518
HEL308	0.486125
MPP6	0.18525
TCERG1	-1.233
KRT16	1.60866666666667
KLF17	-1.03625
KLF5	0.300375
CDR1	3.641125
VCX3A	-4.5445
FBLN2	1.974375
C14orf104	0.28275
HBE1	-5.1156
OR4S2	1.057
C1orf108	0.500166666666667
ROBO4	3.89783333333333
CPEB4	-0.143625
C11orf80	-0.658
BCKDHA	0.496833333333333
MYOC	-0.0465
GIF	0.1965
CKMT1A	0.1455
RPL3	0.4412
THBS1	2.47075
APOO	-0.88075
ARMCX1	1.852
HSZFP36	0.546
SNAPC5	-0.81275
EIF4ENIF1	0.42425
ZNF433	0.5985
TNFRSF21	-0.15675
TMPRSS7	-1.0305
SPATA18	0.7434
HPDL	0.087
